date,title,content
2024-11-15,롯데관광개발 매출·영업익 최고 실적,"3분기 매출 1390억·영업익 220억여행업·호텔·카지노 동반성장 덕“4분기부터 수익구조 획기적 변화”롯데관광개발이 지난 3분기에 역대 최대 실적을 기록했다. 롯데관광개발은 3분기에 연결 기준 매출 1391억4900만원, 영업이익 221억6400만원을 기록했다고 14일 공시했다. 매출은 기존 최대 실적이었던 지난 2분기보다 19.9% 늘었다. 영업이익도 종전 최고였던 1분기(87억9100만원) 실적을 훌쩍 뛰어넘었다. 작년 동기와 비교하면 영업이익은 64배 치솟았다.롯데관광개발 관계자는 “캐시카우인 제주 드림타워 복합 리조트의 카지노와 호텔은 물론 전통 사업 분야인 여행업까지 3대 부문이 동반 성장하면서 역대 최대 실적을 기록할 수 있었다”고 설명했다. 드림타워 카지노는 3분기에 분기 사상 최대 순매출(총매출에서 에이전트 수수료 등을 뺀 금액)을 기록했다. 3분기 카지노 입장객 수는 10만7553명으로, 2021년 6월 개장 이후 처음으로 분기 입장객 10만명을 넘겼다. 호텔 부문(그랜드 하얏트 제주)은 2분기보다 12.5% 늘어난 매출 259억8000만원을 기록했다. 3분기 외국인 투숙 비율은 사상 처음으로 70%를 돌파(70.1%)했다. 기존 사업 분야인 여행업 매출도 작년 3분기 대비 90.4% 급증했다.롯데관광개발은 오는 30일이 만기인 8000억원대 담보대출의 리파이낸싱(자금 재조달)을 추진하고 있다. 기존 2금융권에서 받은 대출을 시중은행으로 갈아타겠다는 계획이다. 롯데관광개발 관계자는 “담보대출의 리파이낸싱이 순조롭게 진행되고 있다”며 “리파이낸싱이 마무리되면 이자율 인하에 따라 4분기부터 수익성 구조에 획기적인 변화를 기대할 수 있을 것”이라고 말했다."
2024-09-03,롯데관광 제주 드림타워 리조트 8월 매출 500억 돌파 ‘최대기록’,"롯데관광개발 제주 드림타워 복합리조트. /롯데관광개발롯데관광개발은 제주 드림타워 복합 리조트가 지난달 매출 500억원을 넘겨 월간 최대 매출을 기록했다고 2일 밝혔다. 제주 드림타워는 8월 매출 505억4900만원을 올려 1년 전(321억5800만원)보다 57% 늘었고, 올해 5월 기록한 직전 월 최고 매출(410억5600만원)도 훌쩍 뛰어넘었다.롯데관광개발은 “외국인 관광객들을 대상으로 하는 카지노 부문 매출이 크게 증가한 덕분”이라고 설명했다. 드림타워 카지노는 지난달 매출 330억원을 기록해 1년 전(179억600만원)보다 84% 급증했다. 롯데관광개발 관계자는 “올 들어 카지노를 찾는 외국인 관광객이 꾸준히 증가하는 가운데 8월부터 도쿄~제주 직항 노선이 재개돼 일본인 관광객도 많이 늘었다”고 했다."
2024-12-30,"‘무안 제주항공 참사’ 여파, 제주 해넘이·맞이 행사 줄줄이 취소","올해 1월1일 오전 제주 서귀포시 중문해수욕장에서 열린 제25회 서귀포 겨울바다 국제펭귄수영대회에서 참가자들이 바다를 향해 달려가고 있다./뉴스1전남 무안국제공항 제주항공 여객기 참사 여파로 제주에서 예정됐던 연말연시 행사가 취소되고 있다.제주시는 오는 31일 밤 진행 예정이었던 제야의 용고타고 행사를 전면 취소했다. 김완근 제주시장은 30일 “희생자들의 명복을 빌며 유가족께 깊은 애도와 위로의 말씀을 드린다”며 “예기치 못한 큰 슬픔을 겪고 계실 유가족의 아픔을 제주시민과 함께 나누겠다”고 말했다.31일부터 1월 1일로 이어지며 새해 소원성취와 만사형통을 기원하는 제주 대표 일출 행사 ‘제32회 성산일출축제’도 취소됐다.서귀포시는 내년 1월 1일 중문색달해수욕장에서 예정된 ‘제26회 서귀포 겨울 바다 국제 펭귄수영대회’를 취소했다. 새해 첫날 겨울 바다에 뛰어들어 새해 소망과 건강을 기원하는 행사지만, 전날 무안공항에서 발생한 여객기 참사에 따른 국가애도기간 중 행사 개최가 적절치 않다는 판단에 따른 것이다.서귀포시 대정읍도 31일 예정됐던 새해 무사 안녕을 비는 ‘대정 동일 해넘이 축제’를 개최하지 않기로 했다.제주지역 호텔들도 연말 카운트다운 행사를 취소하고 있다. 제주신화월드는 자우림과 악동뮤지션, 이무진 등 유명 가수가 출연할 예정이던 ‘제주신화월드 카운트다운 2025′ 콘서트를 열지 않기로 했다.제주신화월드는 “국가애도기간인 내년 1월 4일까지 공식 홈페이지를 통한 예약에 대해 무료 취소를 진행할 예정”이라며 “이 기간 불꽃놀이 등도 중단된다”고 밝혔다.롯데관광개발도 제주 드림타워 복합리조트 그랜드하얏트 제주 최고층에서 진행할 예정이었던 연말 카운트다운 이벤트를 취소했다. 엠버퓨어힐 호텔 앤 리조트도 카운트다운 파티를 열지 않을 예정이다."
2024-06-28,"김기병 롯데관광개발 회장, 4·19혁명 기념사업 공로 ‘모란장’","김기병 롯데관광개발 회장이 27일 열린 호국보훈의 달 정부포상식에서 국민훈장 모란장을 수훈했다. 김 회장은 4·19혁명 기념사업을 하면서 관련 단체의 위상을 높인 공로를 인정받았다. 국민훈장은 5등급으로 나눠지는데, 모란장은 상위 둘째에 해당된다.김 회장은 1960년 4·19혁명 당시 한국외대 총학생회장으로서 4·19 혁명에 참여했을 뿐 아니라, 전국대학생질서수습위원회 의장으로 활동했다. 그는 이후 4·19혁명 50주년 기념사업회 집행위원장 및 60주년 기념사업 회장을 역임하면서 전국 8개 지역에 4·19혁명 기념 표지석을 설치하고, 4·19혁명사를 발간해 전국 교육 기관·도서관·공공단체에 배포해왔다. 지난해부터는 4·19혁명 관련 단체들이 연합한 4·19혁명 공법단체총연합회 의장을 맡고 있다."
2023-09-06,中 관광객 몰려오자 카지노주 강세,"내국인용 강원랜드만 주가 하락중국이 한국 단체 관광을 허용한 지 한 달이 다 돼가는 가운데 국내 카지노주의 희비가 엇갈리고 있다. 외국인 전용 카지노를 보유한 롯데관광개발과 파라다이스는 ‘유커(游客)’ 테마주로 분류돼 주가가 급등한 반면, 내국인 전용인 강원랜드는 주가가 하락했다.5일 한국거래소에 따르면 최근 한 달 새 롯데관광개발 주가는 44.15% 올랐다. 외국인 관광객 유입 기대감 덕분이다. 실제 롯데관광개발이 운영하는 제주 드림타워 복합 리조트 내 외국인 전용 카지노엔 중국인 관광객이 몰려 8월 한 달 이용객이 역대 최고치(2만8734명)를 기록했다. 8월 카지노 순매출도 전년 동기 대비 353% 늘었다.외국인 영업을 하는 다른 카지노주도 강세였다. 최근 한 달 새 파라다이스가 16.53%, ‘세븐럭’ 운영사GKL(그랜드코리아레저)가 15.47% 올랐다. 후쿠시마 원전 오염수 방류 이후 중국 내 반일 감정 확산으로 일본 대신 한국을 찾는 중국인이 늘 것이란 기대도 주가에 긍정적이었다.반면 내국인 영업만 하는 강원랜드는 이 기간 주가가 3.03% 빠졌다. 중국인 단체 관광 수혜를 기대하기 어렵기 때문이다. 게다가 내국인의 경우 해외여행 쏠림 현상이 심해 당분간 강원랜드의 실적이 부진할 것이란 전망이 나온다."
2023-01-03,"‘中 방역 완화 수혜주’ 급제동, 공매도 다시 늘어","새해 증시에 중국 경계령지난달 중국의 본격적인 코로나 방역 완화와 함께 주가가 급등했던 중국 리오프닝(경제활동 재개) 수혜주들의 상승세에 제동이 걸렸다. 중국 내 코로나 감염자와 사망자 수가 급증하면서 리오프닝 효과가 예상보다 느리게 나타날 것이라는 예측이 커졌기 때문이다. 관광, 면세점, 화장품 등 일부 리오프닝 수혜주의 공매도 잔액(투자자가 공매도를 한 뒤 아직 갚지 않은 금액)이 다시 늘었고, 2일 새해 첫 증시에서는 관련주 주가가 일제히 하락했다.리오프닝 수혜주 공매도 잔액 증가세2일 한국거래소에 따르면, 지난달 27일 기준 코스피 시장의 공매도 잔액 비율 순위 10위권 내에 롯데관광개발(1위), 아모레퍼시픽(5위), 호텔신라(7위) 등 리오프닝 관련주가 3개 포함됐다. 공매도는 주식을 빌려서 매도한 다음 일정 기간 후 사서 갚는 거래 기법이다. 주가가 하락해야 수익을 얻는 투자 기법이라, 공매도 잔액 비율이 높다는 것은 공매도를 한 투자자가 아직 주가가 더 하락할 것으로 보고 매수를 하지 않았다는 뜻이다. 주가가 하락세를 보일 가능성이 높다고 본다는 것이다.롯데관광개발의 경우 지난달 내내 공매도 잔액 비율이 1위였는데 12월 1일에는 한 달 전(2022년 11월 1일) 공매도 비율(9.72%)보다 줄어든 8.32%를 기록했다. 같은 달 27일에는 9.7%로 다시 9%대를 기록했다. 12월 초만 해도 중국 리오프닝으로 인한 관광객 증가에 대한 기대감이 있었지만 연말로 갈수록 시장의 경계가 커진 것으로 해석된다.중국 수출량이 전체 매출에서 차지하는 비율이 커 대표적인 중국 리오프닝 수헤주로 꼽히는 아모레퍼시픽의 경우 공매도 잔액 비율이 꾸준히 상승했다. 면세점을 보유한 호텔신라의 경우 공매도 잔액 비율이 줄어드는 추세지만 여전히 순위가 높다.지난달 29일에는 공매도 거래량 기준 상위 10개 기업에 아모레퍼시픽,CJ등 리오프닝 수혜주가 포함됐다. 아모레퍼시픽의 경우 시총 대비 공매도 거래 대금의 비율이 작년 11월 20%대에서 12월 초 8%까지 떨어졌다가 연말에는 다시 29%로 높아지면서 공매도 거래량 2위가 됐다.중국발 ‘훈풍’은 오리무중2일 정부가 중국발 입국자에 대한 출입국 규제를 강화하면서 리오프닝 관련주들은 일제히 하락세를 보였다. 롯데관광개발과 하나투어가 각각 6.23%, 1.65% 하락했고 호텔신라(-1.93%)와 신세계(-1.36%) 등 면세점주도 하락했다.최근 2개월 사이 최소 25% 이상 크게 뛰었던 저가항공주들도 이날은 하락세를 보였다. 11월부터 두 달간 57% 급등했던 티웨이항공은 1.41% 내렸고 제주항공(-1.34%)과 진에어(-2.74%)도 하락세를 면치 못했다. 카지노주인 파라다이스와GKL은 각각 0.85%, 0.79% 소폭 하락했다. 이들 종목은 지난 11월부터 두 달간 20%대 상승률을 보였다. 아모레퍼시픽(-1.82%)과LG생활건강(-0.28%)도 하락세를 보였다.리오프닝 수혜주 투자는 단기간에 이익 실현을 목표로 해야 한다는 전문가들의 조언이 많다. 이웅찬 하이투자증권 연구원은 “중국 리오프닝 관련주는 수혜 분야를 늘려가면서 중국인 관광객이 한국에 들어오는 시점을 하차 지점으로 보고 따라가면 된다”며 “실제로 관광객 입국 시점 즈음이 되면 상승 동력이 약해질 것이고, 주가가 코로나 이전 수준까지 반등하기를 기대하는 것은 무리일 수 있다”고 했다.중국의 코로나 개방으로 실질적인 경기 상황과 지표들이 개선되기 위해서는 시간이 걸릴 것이라는 전망이 나온다. 우리나라의 대중국 수출도 실제적인 개선은 하반기부터 이루어질 것으로 봐야 한다는 것이다. 그동안의 ‘제로(0) 코로나’ 봉쇄 여파가 올해 1분기까지 이어질 가능성이 높고, 대중국 수출이 회복되는 시점은 1분기를 바닥으로 해서 하반기에나 가능할 것이라는 예측이 나온다. 양해정DS투자증권 연구원은 “중국 지표는 여전히 부진하며 봉쇄 완화 기대감으로 주식시장이 먼저 움직이고 있을 뿐”이라며 “확진자 수가 늘어나면서 일시적인 경제활동 위축은 반드시 거쳐야 하는 과정”이라고 했다."
2022-10-27,수천만원 펑펑 쓴다… 서울 날아드는 VVIP 정체는,"여행업계 ‘럭셔리 단체관광’ 경쟁전세기 띄우고 카지노VIP투어도국내 여행업계가 해외 ‘큰손’ 단체 고객을 유치하기 위해 분주하다. 본격적인 거리 두기 해제 시대를 맞아, 1인당 지출이 기본 수천만원을 웃도는VVIP급 해외 관광객을 유치함으로써 수익성을 극대화하겠다는 전략이다.12일 창덕궁을 찾은 외국인 관광객들이 후원 앞에서 해설사의 설명을 듣고 있다./연합뉴스26일 한국관광공사는 미국 메트로폴리탄 박물관 회원 16명이 27일부터 7박8일 일정으로 서울과 경주를 돌아보는 ‘트래블 위드 더 멧(TravelwithTheMet)’ 프로그램에 참가한다고 밝혔다. 이들 미국인 관광객들은 한명당 우리 돈으로 1300만원에 해당하는 금액을 내고 국립중앙박물관·경주국립박물관을 비롯한 우리나라 주요 박물관과 유네스코 세계문화유산을 둘러보고 가게 된다. 한국관광공사 관계자는 “이들 관광객들은 모두 국내 5성급 호텔에 묵고 국내 최고급 식당에서 식사를 할 예정”이라고 말했다.한국관광공사는 다음 달 1일에도 미국 럭셔리 여행사 ‘애버크롬비 앤 켄트’와 손잡고 미국·영국을 비롯한 6개 나라에서 전세기로 입국하는 42명의 큰손 관광객을 맞을 예정이다. 이들은 22일 동안 터키·베트남을 포함한 7개 나라를 전세기로 돌아보는 여행을 하는데 한국이 첫 행선지다.제주 드림타워 복합리조트를 운영하는 롯데관광개발도 최근 전세기를 띄워 카지노를 이용할 일본인VVIP유치에 나섰다. 다음 달 4일과 12월 30일에 일본 도쿄에서 제주로 오는 카지노 전용 단독 전세기를 운항하기로 했다. 롯데관광개발 관계자는 “코로나 이후 소형 항공기로 중국인 카지노 고객이 20~30명씩 제주도를 방문한 적은 있지만 이렇게 대형 전세기를 타고 외국인 큰손 고객이 오는 것은 처음”이라면서 “189석짜리 전세기가 만석이 될 것으로 보인다”고 말했다. 앞서 롯데관광개발은 지난달 29일 160명의 일본 여행사 관계자와 인플루언서, 일본 카지노VIP수십여 명을 2박3일 관광 일정으로 초청하기도 했다. 롯데관광개발 관계자는 “VVIP관광객을 위한 프로그램을 마련했다는 사실을 알리기 위한 것”이라고 말했다."
2022-10-01,"“킹 달러? 모르겠고, 일단 나가자” 연휴 맞아 일본·괌·베트남 여행 폭발","두 차례의 황금연휴… 해외여행 수요 증가북적이는 인천국제공항 - 30일 오후 인천국제공항 제2터미널 출국장. 출국 절차를 밟으려는 해외여행객이 빼곡하게 줄을 섰다. 인천국제공항 관계자는 “연휴가 이어지면서 해외로 떠나려는 여행객이 가파르게 늘고 있다”고 말했다. /뉴스1개천절까지 이어지는 황금 연휴가 시작되기 전날인 지난달 30일 오후 인천국제공항 2터미널 출국장. 출국 절차를 밟는 여행객 수백명으로 발 디딜 틈이 없었다. 몇 달 전까지만 해도 썰렁했던 식당도 빈자리가 거의 없을 정도로 붐볐다. 인천국제공항 관계자는 “30일 오후 3시까지 2만2000여 명이 출국했는데 이는 평소보다 70%가량 많은 수준”이라면서 “이제부터 본격적으로 여행객이 많아질 것으로 보인다”고 말했다.원-달러 환율이 1420~1440원을 오르내리고 있지만, 본격 일상 회복기와 황금 연휴가 겹치면서 해외여행 수요가 급증하고 있다. 개천절과 한글날까지 이어지는 연휴 기간에 외국으로 나가는 여행객은 더 많아질 것으로 보인다. 반면 제주도·동해 같은 우리나라 주요 관광 여행지는 국내 여행객이 해외로 빠져나간 자리만큼 공백을 겪게 된 데다, 최근 숙박·식음료 가격까지 너무 올라 황금 연휴 특수를 놓치지 않을까 우려가 커지고 있다.'킹달러’에도 나간다국내 1위 여행 업체 하나투어는 지난달 1일부터 28일까지 하루 평균 일본 여행 예약 건수는 8월 같은 기간보다 1031.8% 증가했다고 30일 밝혔다. 하나투어 관계자는 “우리 여행사를 통해 지난달 30일 하루 동안에만 2000명 정도가 해외로 나갔다”면서 “이 중 상당수가 일본과 베트남, 괌으로 가는 여행객이었다”고 말했다. 일본 정부가 11일부터 입국자 하루 5만명 상한 기준을 철폐하고 외국인 무비자 입국을 허용하면서 우리나라 관광객의 일본 여행 수요가 폭발한 것이다.일본으로 출발하는 일부 전세기 여행 상품은 나오자마자 품절 사태까지 빚었다. 롯데관광개발이 11월에 3박 4일 일정으로 출발하는 미야자키 단독 전세기 여행 상품은 출시되자마자 436좌석이 모두 팔렸다. 롯데관광개발 관계자는 “단독 전세기 상품 좌석이 모두 팔린 것은 코로나 이후 처음”이라고 말했다.2022년 늘어나는 해외여행객일본뿐 아니라 홍콩, 대만 여행 예약 문의도 늘고 있다. 참좋은여행에 따르면 이달 홍콩·대만 여행 상품 관련 문의는 지난달보다 2배가량 늘었다. 홍콩이 2년 반 넘게 유지해오던 입국자 호텔 격리 규정을 지난 26일부터 폐지했고, 대만은 지난 29일부터 한국, 일본 등 관광객의 무비자 입국을 재개했다. 참좋은여행 관계자는 ”이달 중순쯤 중국이 제로 코로나 정책을 완화하고 항공 노선도 늘릴 것으로 보고, 대만 여행 패키지 17종을 만들어 놓았다”고 말했다.한국관광공사에 따르면 지난 8월 해외로 나간 우리나라 관광객은 70만2153명이었다. 전년 같은 달보다 409.9%가 늘어난 수치다. 1월(14만7434명)에 비해서도 5배 가까이로 급증했다.국내 여행사들은 때를 놓칠세라 해외여행 수요에 맞추고자 상품을 공격적으로 잇따라 내놓고 있다.SSG닷컴은 한진관광과 온라인에 여행 브랜드 ‘칼팍’의 공식 스토어를 열고 각종 일본 패키지 여행 특가 판매를 시작했다. 티몬은 3일부터 일본·동남아 특가 여행 상품을 판매하고, 하나투어는 이달부터 태국 방콕·치앙마이 여행 상품 프로모션을 시작할 계획이다.너무 비싼 국내 여행… 특수 줄어들라반면 제주도·동해를 비롯한 국내 관광지는 황금 연휴 특수를 날리지 않을까 걱정하는 분위기다. 코로나 특수로 숙박·식당·렌터카 등 국내 여행에 드는 비용이 너무 오른 것도 마이너스 요인이다. 회원이 100만명인 여행 관련 인터넷 카페에는 최근 “제주도 렌터카 비용만 4박 5일에 100만원이 들길래 제주 여행을 포기하고 일본 항공권을 예약했다” “동해 펜션이 하룻밤 70만원이나 되는 것을 보고 여행을 취소했다” 같은 글이 잇따라 올라왔다.실제로 지난 2분기 제주 지역과 강원도 지역 소비자물가 상승률은 각각 6.8%, 6.6%를 기록하며 전국 평균(5.7%)을 웃돌았다.국내 여행객은 줄고 해외로 나가는 여행객은 계속 늘면서 여행 경상수지 적자는 계속 커지고 있다. 한국은행에 따르면 지난 7월 여행 경상수지 적자는 8억6000만달러로 지난 1월(5억6000만달러)에 비해 53%나 늘었다."
2022-06-27,[유통 브리핑] 제주드림타워 리조트 재무구조 개선,롯데관광개발은 지난 20일 이사회를 열고 회사가 소유한 제주 드림타워 복합리조트 토지에 대한 자산재평가 평가금액 5680억원을 2022년 상반기 결산에 반영하기로 했다고 밝혔다. 이번 자산재평가로 3259억원이 자기자본으로 반영될 예정이다.회사는 이번 자산재평가로 회사의 재무구조가 크게 개선될 것으로 보고 있다. 자기자본은 올해 1분기말 기준 911억원에서 4170억원으로 4.5배 이상 증가한다. 부채비율은 반면 1358%에서 322%로 줄어든다. 롯데관광개발 관계자는 “코로나 이후 카지노 매출이 증가하고 호텔이 흑자 전환을 하면서 3분기엔 흑자전환을 할 것을 보인다”면서 “올해 매출 1조클럽에 드는 것이 목표”라고 말했다.
2022-01-24,"제주 드림타워 복합리조트, 호텔 등 3곳 매출 200억원 돌파","롯데관광개발은 제주 드림타워 복합리조트의 호텔과 카지노, 리테일 3개 부문에 걸친 지난 달 매출이 200억원대를 돌파했다고 밝혔다.지난 달 호텔 부문 매출액은 115억원으로 개관 1년 만에 처음으로 100억원대를 기록했다. 직전 달 매출(95억원)보다 22% 늘었다. 호텔 부문 총운영이익(GOP)은 7억3000만원이다.롯데관광개발 관계자는 “코로나 확산으로 인한 사회적 거리두기 강화에도 불구하고 작년 말부터 1600개 객실 가동 체제로 들어가면서 오히려 예약이 크게 늘었고 식음업장과 부대시설 매출도 증가해 최대 실적을 올렸다”고 말했다."
