date,title,content
2023-09-29,롯데손보·MG손보·KDB생명…줄줄이 매물로 나온 보험사에 금융지주사들 ‘눈독',"/롯데손해보험 제공최근 롯데·MG손해보험,KDB생명 등 여러 보험사들이 기업 인수합병(M&A) 시장에 매물로 나오면서, 이에 눈독을 들이는 금융지주사들 간의 눈치 작전이 치열하다. 갈수록 비(非)은행 부문의 중요성이 강조되는 추세에서, 보험 부문을 강화하려는 지주사들이 관심을 보이는 것으로 업계는 보고 있다.현재 시장은 가장 매력적인 매물로 롯데손해보험을 꼽고 있다. 올해 상반기 순이익 1130억원을 기록한 알짜 보험사다. 현재 최대주주인JKL파트너스는 롯데손보 매각을 위한 주관사 선정 작업을 시작한 상태다.JKL파트너스는 롯데손보의 3분기 실적 집계가 끝나는 다음달부터 본격적으로 매각 절차에 돌입할 것으로 알려졌다. 주요 지주사의 롯데손보 인수 가능성이 거론되자, 롯데손보의 주가는 이달 들어 50% 이상 올랐다.롯데손보 두고 신한·하나 각축전특히 신한금융과 하나금융이 롯데손보 인수를 놓고 신경전을 벌이고 있다. 우선 신한금융은 올 상반기에KB금융에 ‘리딩금융’ 자리를 뺏긴 뒤 손해보험 부문 포트폴리오를 강화해야 하는 상황이다.  신한금융은 상반기 순익이KB금융보다 3700억원 가량 뒤처졌는데, 비은행 계열사 중 보험 부문 격차가 크게 벌어진 영향이 크다.KB손해보험은 상반기 5252억원 순이익을 기록한 반면, 신한EZ손보는 같은 기간 13억원 당기순손실을 기록했기 때문이다.하나금융도 하나손해보험을 자회사로 두고 있지만, 실적이 좀처럼 개선되지 않아 골머리를 앓고 있다. 하나손보는 올해 상반기 212억원의 당기순손실로 전년 동기(211억원 순손실) 대비 실적이 더 악화됐다. 하나금융은 자산 규모가 약 1조5000억원인 하나손보보다 규모가 더 큰 손보사 인수를 원하는 것으로 알려졌다. 롯데손보 자산규모는 13조원이 넘는다.보험사 없는 우리금융도 잠재 후보군작년 ‘부실금융기관’으로 지정된 후 예금보호공사가 경영 중인MG손해보험도 매각 절차 중이다. 잠재 인수 후보군으로는 우리금융와 교보생명 등이 꼽힌다. 우리금융은 현재 주요 지주사 중 유일하게 보험 계열사를 갖추지 않은 곳으로, 비은행 부문을 강화하는 차원에서 보험사 인수를 추진할 수 있다는 관측이다. 교보생명은 금융지주사 전환을 위해 손보업으로 사업을 확대하는 과정에서MG손보 인수를 염두에 두고 있다는 분석이 나온다.서울 시내의MG손해보험 지점 모습/뉴스1생명보험업계에선KDB생명이 매각을 앞두고 있는다. 현재 우선협상대상자로 선정된 하나금융이KDB생명에 대한 실사를 마무리 짓고, 인수 여부를 최종 검토 중인 것으로 알려졌다. 하나금융은 실사 과정에서KDB생명의 기업 가치에 대해 긍정적인 평가를 내린 것으로 전해지는데, 이 때문에 업계에선 하나금융의 인수 가능성을 크게 보고 있다고 한다.지주CEO들은 손사래… “몸값 띄우기 견제”이렇듯 금융지주사들이 각 보험사의 인수 후보자로 거론되고 있지만, 금융지주 최고경영자(CEO)들은 적어도 표면적으로는 손사래를 치고 있다.임종룡 우리금융 회장은 지난달 한 행사에서 비은행 회사 인수 계획에 대한 질문을 받고 “증권사는 인수를 계속 추진하겠지만, 보험사 인수는 계획이 없다”고 말했다. 진옥동 신한금융 회장도 지난 13일 영국에서 금융감독원과 공동으로 가진 투자자 행사에서 “적당한 손해보험사 매물이 없다”고 말했다고 한다. 진 회장은 또 “현재 매물로 나와 있는 보험사의 가격이 너무 높다”며 “회계 제도 변경으로 증가한 이익을 그대로 인정하기도 어렵고, 좀 더 지켜봐야 한다”고 했다.일각에선 이들CEO들의 발언에 대해 ‘매물(보험사)의 몸값 띄우기'에 장단을 맞추지 않겠다'는 뜻을 피력한 것으로 해석하고 있다. 인수전이 과열 양상을 띠면, 보험사들의 몸값이 적정 가치보다 ‘뻥튀기’될 수 있다는 우려에서 짐짓 관심 없다는 제스쳐를 취한다는 것이다.예를 들어 투자은행(IB) 업계에선 롯데손보 매각가를 2조7000억~3조원 수준으로 예측하는데, 이것이 너무 과대평가됐다는 분석도 나온다. 설용진SK증권 연구원은 최근 보고서에서 “(롯데손보) 상반기 실적과 경영 프리미엄 등을 적용해 보면 대략적 (매각 예상) 가격은 1.2조~2조원 정도”라고 했다.서울 중구KDB생명보험 본사. /KDB생명 제공"
2022-12-10,“삼성 등 빅4 손보사 車보험료 내려달라”,"與 성일종 정책위의장 요청국민의힘 성일종 정책위의장은 9일 “아직도 자동차보험 시장의 85%를 차지하고 있는 ‘빅4 손해보험사’는 자동차보험료 인하에 대해 특별한 입장을 내놓지 않고 있다”며 “국민이 자동차보험에 대한 부담을 덜고 가계 주머니에 조금이나마 희망이 깃들 수 있도록 더 많은 손해보험사가 동참해 주시기를 다시 한번 요청한다”고 했다.성 의장이 말한 ‘빅4 손해보험사’는 삼성화재, 현대해상,DB손해보험,KB손해보험이다. 업계에서는 이들 네 곳이 가입자 규모 등으로 볼 때 자동차보험료의 가격 결정권을 쥐고 있다고 평가한다. 성 의장은 손해보험업계 5위인 메리츠화재와 10위인 롯데손해보험의 보험료 인하 움직임을 언급하면서 “당의 자동차보험료 인하 요청에 공감하고 국민 고통 분담에 동참해 주신 손해보험사에 감사의 말씀을 드린다”며 이같이 말했다. 메리츠화재와 롯데손해보험은 보험료를 각각 최대 2.5%, 2.9% 인하할 것을 적극 검토하는 것으로 알려졌다. 빅4도 여기에 동참하라고 촉구한 것이다.성 의장은 “대부분의 국민이 자동차를 소유하고 있고 자동차보험을 필수로 들어야 하는 상황에서 자동차보험료 인하는 민생 부담 완화에 중요한 부분”이라고 했다. 성 의장은 지난 9월에도 “코로나와 고유가로 손보사가 떼돈을 벌고 있다”며 “자동차보험료 대폭 인하가 필요하다”고 했었다.올해 상반기 자동차보험 손해율은 77%로 지난해 같은 기간 79.4%에 비해 감소했다. 코로나와 고유가에 차량 이동이 감소하고 사고 발생이 줄었기 때문이란 분석이다."
2022-10-17,"SK C&C, 보험 보상한도는 70억 불과... 고객 피해는 보험으로 해결 안 될 듯","17일 한 택시에 붙어있는 카카오T 안내문. 지난 15일 카카오가 입주한SKC&C 데이터센터에 불이 나면서 관련 서비스가 중단됐다. 택시 앱을 이용하는 기사들도 매출에 타격을 입었다. /뉴스1‘카카오 먹통 사태’로 인한 이용자들의 불만이 속출하는 가운데 카카오가 보험으로 이용자들의 피해를 보상해주기는 어려울 전망이다.17일 금융 당국에 따르면, 이번 먹통 사태의 원인은 카카오가 입주한 경기 판교의SKC&C 데이터센터 화재인데SKC&C가 가입한 배상 책임 보험의 보상 한도가 70억원 정도에 불과한 것으로 파악됐다. 배상책임 보험은 건물주인SKC&C가 데이터센터에 입주한 기업들이 입은 피해를 배상할 경우 그 금액을 보장한다. 현대해상(60%)과 롯데손해보험(40%)이 공동 인수한SKC&C의 배상책임 보험 보상 한도는 70억여 원이다.이번 사태로 인한 추정 손해액은 아직 산정되지 않았지만, 이날KB증권은 카카오의 단순 피해 규모만 하루 최대 220억원이 될 것으로 분석했다.금융 당국 관계자는 “SKC&C가 카카오의 영업손실 이외에 이용자들이 입은 손해까지 물어줘야 하느냐는 따로 논의해야 하겠지만, 이용자에게 보상한다 해도 지금 보험금으로 하긴 사실상 어렵다”며 “카카오가 자체적으로 이용자 피해를 보상하든가SKC&C에 보상 책임을 묻는 방식이 될 것으로 보인다”고 했다.SKC&C는 화재 피해를 보장하는 재물 피해 보상 보험도 들었다. 현대해상(40%)·롯데손해보험(30%)·KB손해보험(20%)·삼성화재(10%) 등이 함께 인수했다. 보상 한도는 4000억원으로 높지만 이 보험은 건물과 서버 등이 입은 화재 피해를 보상하는 것이기 때문에 카카오 이용자들의 피해 보상과는 거리가 멀다.카카오 이용자들이 기업 휴지 보험을 통해 손실을 보전받을 여지도 거론됐다. 사고가 발생해 기업이 사업을 중단했을 때 영업 중단으로 인한 피해를 보상하는 보험이다. 하지만 손해보험업계는 카카오가 별도의 기업 휴지 보험은 들지 않았다고 보고 있다."
2022-08-25,1억 넣으면 매달 최대 48만원이… ‘이자지급 채권’ 내달 또 나온다,"롯데손보, 공모 후순위채 발행이달 ‘현대’ 발행은 1400억 팔려연금처럼 매달 이자를 주는 ‘월이자 지급식’ 채권이 또 나온다.서울 시내의 시중은행ATM기기의 모습. /뉴스124일 금융투자 업계에 따르면 롯데손해보험이 다음 달 2일 공모 후순위채를 발행한다. 총 1400억원 규모로A-(안정적) 등급에 최고 연 6.9% 금리를 매월 쪼개서 주는 게 특징이다. 표면상 만기는 10년이지만 발행일로부터 5년 뒤에 조기 상환할 수 있는 콜옵션이 붙는다. 메리츠증권이 대표 주관사다. 25일 기관을 대상으로 수요예측을 실시하는데, 회사 측은 공모 희망 금리를 6.4~6.9%로 제시했다.최고 금리인 6.9%로 결정될 경우, 1억원을 투자하면 매달 세전 57만원, 세후 약 48만원씩 받을 수 있다. 주관사 측은 “최근 시장 분위기상 최고 금리로 발행이 결정될 것으로 보인다”고 전했다.이달 초 현대카드·현대캐피탈이 발행(삼성증권 판매)한 월이자 지급식AA등급 선순위채는 24일까지 총 1400억원어치가 팔렸다. 이 채권은 만기 1~3년에 세전 연 3.7~4.4% 수익률을 지급하는데, 1억원을 투자할 경우 세후 매달 30만원씩 받을 수 있는 구조다. 만기가 3년 이하로 짧으면서도 매월 이자를 주는 채권이 처음이어서, 정기적 수입이 없는 은퇴 생활자들에게 인기를 끌었다.통상 회사채는 3개월~1년 단위로 정해진 이자를 지급하는 게 기본이다. 박주한 삼성증권 채권상품팀장은 “월이자 지급식 채권은 발행 기업들이 관리하기 어렵다는 이유로 발행량이 많지 않지만, 최근 채권 상품에 대한 개인 투자자들의 관심이 높아지면서 인기를 끌고 있다”고 말했다.롯데손보 월이자 지급식 채권의 경우 후순위채라는 점에 주의해야 한다. 후순위채는 ‘후순위’라는 표현 그대로, 발행사가 부도나면 상환 순위가 뒤로 밀린다. 예금자 보호 대상이 아니고 만기 전에 중도 해지가 되지 않기 때문에 가입 시 금융회사의 안정성과 본인의 자금 운용 계획 등을 꼼꼼히 따져 투자해야 한다.메리츠증권 관계자는 “보험사는 특성상 선순위 채무가 존재하지 않아 후순위채가 실질적인 선순위 채권의 지위에 있다”고 설명했다. 롯데손보의 자산은 업계 7위,RBC(보험금 지급여력 비율)는 업계 5위 수준이다.금리가 가파르게 오르고 안전 자산에 대한 관심이 늘어나면서 개인 투자자들의 자금이 채권시장으로 유입되는 현상은 가속화하고 있다.금융투자협회에 따르면 연초 이후 22일까지 장외 채권시장에서 개인들의 채권 순매수액은 총 10조1834억원을 기록했다. 지난해 개인의 총채권 순매수액(4조5675억원)의 2배가 넘는 규모다. 유형별로는 회사채 순매수액이 약 4조6400억원으로 가장 많았다."
2022-01-10,코로나 ‘집콕’이 대세되자… 가전제품 보증기간 연장하는 보험 ‘특수’,"[모닝]롯데손보, 14개월만에 30만건냉장고,TV,세탁기, 노트북 등 가전제품 무상 수리 기간을 연장해주는 ‘틈새 보험’이 인기를 끌고 있다. 코로나로 ‘집콕족’이 늘면서 특수를 누리는 것이다.통상 가전제품의 무상 수리 보증기간은 구매 시점으로부터 1~2년에 그친다. 하지만, 쿠팡이나 롯데하이마트, 해외 직구를 통해 가전제품을 구매할 때 이 보험에 가입하면 보증기간을 최대 5년까지 연장할 수 있다.전자제품 수리 보증기간을 최대 5년으로 늘린 롯데손해보험의 ‘안심케어’ 보험이 출시 1년 2개월 만에 30만건 넘게 판매됐다. ‘쿠팡 안심케어’와 ‘롯데하이마트 안심케어’ 등 2개 상품 판매량을 합친 수치다.파손을 제외하고, 구매자 과실 없이 제품 기능이 고장 났을 때 보험 혜택을 받을 수 있다. 보험료(일시납)는 가전제품 가격에 따라 1000원에서 7만1000원으로 다양하다.보험업계 관계자는 “코로나로 집에서 보내는 시간이 길어지면서 가전 제품 수리 빈도도 늘어나면서 무상 수리 기간을 늘리기 위해 보험을 들어두려는 사람들이 늘어난 것으로 보인다”고 말했다."
2024-10-03,"“골프보험이 290원이라고요?”... 요즘 보험사 이 상품, 커피 한잔 값 안 된다는데","보험사, 저렴한 보험료에 보장기간 짧은 미니보험 속속 출시/일러스트=조선디자인랩 정다운최근 보험사들이 1만원 이하의 적은 보험료만 내면 가입할 수 있는 미니보험(단기소액보험) 상품을 속속 출시하고 있다. 보험료가 커피값 수준으로 싸기 때문에 보험사 입장에선 수익을 내긴 어렵지만, 2030세대 등 미래 고객을 확보하겠다는 전략이다.2일 금융권에 따르면, 카카오페이손해보험은 골프 라운드 중에 발생할 수 있는 상해후유장해와 배상책임, 홀인원 축하금 등을 보장하는 ‘골프보험’을 출시했다. 이 보험은 실력에 따라 본인이 원하는 보장만 골라 설계할 수 있어 보험료 부담이 확 낮아진다.예컨대, ‘남에게 피해를 줬을 때’와 ‘내가 다쳤을 때’ 패키지만 선택해 가입하면 1인이 부담하는 보험료(4인 가입 기준, 순수 보장형)는 290원 수준이다. 모든 패키지를 선택해 최대 보장으로 가입해도 1인이 부담해야 할 보험료(4인 가입 기준, 순수 보장형)는 5680원 수준. 이 상품은 라운딩 당일을 보장받는 1일권으로 구성된다. 필요한 때, 필요한 보장만 쏙쏙 골라 받을 수 있는 상품이다.NH농협손해보험은 지난달 월 최저 보험료 3000원으로 암 관련 보장을 받을 수 있는 상품을 지난달 30일 출시했다. 농협은행 올원뱅크 앱을 통해 비대면으로 가입 가능한 ‘(무)NH무암도전미니암보험’이다. 가입대상을 19~39세로 한정했다. 이 상품은 암 관련 주요 담보와 함께 5년간 최대 6억원까지 보장 받을 수 있는 ‘암주요치료비’를 탑재해 보장을 넓힌 것이 특징이다.특색 있는 미니보험도 많다. 롯데손해보험의 ‘덕밍아웃보험’은 대중음악 공연장 상해와 티켓 등의 직거래에 따른 사기 피해까지 보장한다. 또, ‘캠핑차박보험’을 통해 캠핑 바비큐를 하다 입을 수 있는 화상 관련 사고를 담보한다.다만, 미니보험의 수익성은 보험사의 고민거리다. 보험사 관계자는 “미니보험은 아무래도 1회성 가입이 대부분이고 보험료가 낮아서 장기보험 등 기존 상품보다 수익성이 떨어진다”면서도 “보험상품에 관심이 비교적 적은 젊은 세대를 끌어들여 미래고객으로 확보하는 차원”이라고 했다."
2024-07-19,"해외여행보험 비교·간단가입… 네이버페이, 업계 첫 서비스","/네이버페이네이버페이가 업계 최초로 ‘해외여행 보험 비교·추천’ 서비스를 시작한다고 18일 밝혔다.네이버페이 ‘해외여행 보험 비교·추천’은 손해보험사들이 제공하는 해외여행 보험들의 가격을 비교해 가입까지 간편하게 할 수 있는 서비스다. 사용자들은 휴대품 손해부터 항공기 및 수화물 지연, 해외 의료비, 여행 중단 사고 등 14가지 주요 담보를 설정해 비교할 수 있다. 해당 서비스와 제휴한 손해보험사들은 14가지 담보에 맞춰 해외여행 보험을 제공한다.서비스를 통해 제공되는 가격은 제휴 보험사가 자사 홈페이지에서 제공하는 가격과 동일하다. 롯데손해보험, 메리츠화재, 캐롯손해보험, 하나손해보험, 한화손해보험,NH농협손해보험 등 손해보험사 6곳과 서비스를 시작하며, 이달 중 제휴사를 추가하는 등 제휴 손해보험사를 지속적으로 확대할 예정이다. 연말까지 네이버페이를 통해 해외여행 보험에 가입하면 보험료의 10%를 돌려주는 이벤트도 이어진다.해외여행 보험 비교·추천 서비스는 함께 여행하는 동반자를 9명까지 추가해 총보험료를 비교할 수 있다. 보험 비교부터 가입까지 사용자 정보 입력 단계를 간소화해 편의성을 높였다. ‘네이버 항공권’ 서비스로 항공권을 예매하면 보험 비교를 위한 여행 기간 입력 단계에서 입력한 항공권 정보를 통해 자동으로 여행 일정을 불러오고, 보험 가입을 위해 보험사 페이지로 이동해도 비교했던 보장 내용이 자동으로 기입된다."
2024-06-25,“우승하면 우대 금리” “아이돌 멤버랑 같이 저축”,"팬심 노린 금융상품 출시 잇따라카카오뱅크는 '기록통장withNCTWISH'를 출시했다고 밝혔다. /카카오뱅크은행, 보험사 등 금융사들이 스포츠 구단, 연예인 팬들을 사로잡기 위한 상품을 잇따라 출시하고 있다. 이런 상품들은 ‘덕질(연예인 등을 좋아하는 행위)’을 하면서 우대 혜택을 받을 수 있다는 점에서 2030세대뿐만 아니라 중장년층까지 다양한 연령대 팬들의 인기를 끌고 있다. 금융사 입장에선 충성도 높은 고객을 확보하는 효과를 볼 수 있다.하나은행은 ‘K리그 우승 적금’ 상품을 지난 11일 출시했다. 이 상품은 하나은행 앱을 통해서만 가입할 수 있는데, 가입 시 고객이 선택한 K리그 응원팀으로 상품명이 정해진다. 기본 금리는 연 2%다. 응원팀이 우승하면 연 1%포인트의 우대 금리가 적용되는 등 우대 금리 조건을 충족하면 최고 연 7%까지 받을 수 있다.야구 팬들을 위한 상품도 있다. 신한은행 ‘신한 프로야구 적금’의 기본 금리는 연 2.5%지만, 응원팀 성적에 따라 최대 연 4.2% 금리까지 받을 수 있다. 구단 10개 중 원하는 구단을 골라 가입할 수 있다.아이돌 팬도 공략 대상이다. 카카오뱅크가 올해 4월 출시한 ‘기록 통장 위드NCT위시’는 하루 만에 1억 원이 넘는 저축액이 모였다.NCT위시는SM엔터테인먼트 소속 아이돌이다. 이 상품은 그룹 멤버들이 ‘노래가 듣고 싶을 때’ 등 일종의 저축 규칙을 정하고, 이에 맞춰 팬들이 저축하는 방식으로 흥행에 성공했다.보험사에서도 덕질과 관련한 보험 상품이 나왔다. 롯데손해보험이 지난달 출시한 ‘덕밍아웃상해보험’은 좋아하는 아이돌·트로트 가수의 공연을 찾았다가 다치거나, 굿즈 직거래를 하다 사기를 당했을 때 보상해 준다."
2024-06-13,보험료 1000원… MZ 겨냥 초저가 미니보험 인기,"콘서트장 상해 피해 보장 등미래 고객 유치 마케팅 활발최근 보험사들이 커피 값 정도의 싼 보험료만 내도 가입할 수 있는 ‘미니 보험’을 잇따라 내놓고 있다. 미니 보험은 보험료가 초저가이기 때문에 보험사 수익엔 당장 큰 도움은 되지 않는다. 하지만 젊은 세대가 미니 보험을 경험 삼아 가입할 수 있고, 이들이 곧 보험사의 미래 고객으로 이어진다는 판단하에 마케팅에 열을 올리고 있다.롯데손해보험은 지난달 콘서트장에서 발생할 수 있는 상해와 직거래 사기 피해 등을 보장하는 ‘빌런 덕밍아웃상해보험’을 출시했다. 이 상품은 사람이 많이 몰리는 콘서트장에서 다치는 경우에 골절 수술비나 깁스 치료비 등을 보장한다. 콘서트 티켓이나 포토카드 같은 ‘굿즈(관련 상품)’를 직거래하다 사기를 당했다면 최대 50만원 내에서 피해 금액의 90%를 보상받을 수 있다. 보험료는 1일 가입 시 1000원이다.카카오페이손해보험의 해외여행자보험은 가입자가 사고 없이 귀국하면 보험료의 10%를 돌려준다. 카카오톡 메신저로 간편하게 가입할 수 있고 보험료도 저렴해 인기다. 일본으로 3박 4일 여행 시 해외 병원 상해 의료비 3000만원, 휴대 물품 손해 40만원 등을 보장해주는 카카오페이 기본형 보험의 경우 5400원 정도다. 현재까지 약 130만명이 이 상품에 가입했다.골프 경기 중 공을 홀에 한 번에 넣는 ‘홀인원’을 했을 때 기념품 구입 비용, 축하 라운드 비용 등을 보장해 주는 ‘홀인원 보험’도 인기다. 골프는 홀인원을 하면 한턱을 내야 하는데 미니 보험에 가입해두면, 1게임당 1만원 안팎의 보험료로 보장받을 수 있다."
2024-02-26,세계에 K테크놀로지 전파… 첨단산업 중심 대학으로 도약,"서강대학교서강대 학생 25명이 서울경제진흥원, 관악구청 등 관계기관과 협약을 통해 추진된 ‘SogangGlobalLINCAmbassador’프로그램에 참여해 유망기업의 글로벌 진출을 도왔다. /서강대학교 제공서강대학교(총장 심종혁)는 국내에서 가장 혁신적인 대학 중 하나로 손꼽힌다. 서강대는 지난 2022년 ‘3단계 산학연협력 선도대학 육성 사업(LINC3.0)’수요 맞춤 성장형에 선정된데 이어 교육부와 한국연구재단 주관의 2023년 ‘대학혁신지원 사업’ 교육혁신 부문에서도 최고에 해당하는 ‘S등급’을 획득했다.서강대의 비전은 ‘가치 창조를 통해 인류 공동체 발전에 기여하는 대학’으로 예수회 대학의 특수성을 바탕으로 인류 문화와 공동체 발전에 헌신할 수 있는 참인재를 양성한다.전통적으로 인문·사회학 부문에서 높은 인지도를 지녔던 서강대는 최근LINC3.0 사업을 통해서 첨단산업 중심 대학으로의 전환을 거듭하고 있다.특히 서강대는 인문·사회 분야 연구 및 교육 역량과 과학기술 분야의 시너지로 미래 사회 융합인재를 양성하는데 주력한다.이러한 혁신의 성과는 ▲전국 1위 유지 취업률 ▲외부 연구비 수주 상승 ▲교내 창업기업 성공 신화 ▲반도체·전자 관련 첨단 기업과 함께하는 캠퍼스 등으로 확인할 수 있다.K-테크놀로지 글로벌 전도사로서의 ‘서강’2023년은 서강대가 전 세계 기업에 ‘서강(Sogang)’이라는 브랜드를 가장 많이 알린 한해였다. 서강대는 지난해 창업기업들의 글로벌 마케팅 역량 지원에 심혈을 기울였다. 서강대는 중소벤처기업부·창업진흥원·한국디자인진흥원 등과 함께 프랑스 파리에서 열린 ‘비바 테크놀로지(VivaTechnology·이하 비바테크)’에 참가했다. ‘비바테크’는 174개국 15만 명이 참관하는 유럽 최대 규모의 스타트업 박람회다. 서강대 학생들은 참가기업의 기술력과 아이디어를 해외 바이어들에게 전달하는 서포터즈로 활약했다.서강대는 지난해 11월 ‘2023SogangGlobalTechnologyRoadshow’을 통해 가족회사의 글로벌 기술사업화 역량을 강화하고, 글로벌 혁신기업과의 네트워크도 구축했다.서강대LINC사업단은 미국 라스베이거스에서 열린 ‘CES(ConsumerElectronicShow·국제가전제품박람회) 2024′에도 참여했다.CES는 미국 소비자 기술협회(CTA)에서 주관하는 세계 최대 규모의ICT융합 전시회다. 서강대는 ‘CES2024′에서 유망기업의 글로벌 진출을 지원하고 학생의 글로벌 창업 의지도 북돋았다. 서강대는SGLA(SogangGlobalLINCAmbassador) 프로그램으로 대학생 서포터즈 25명을 선발했다. 이는 단일대학으로는 최대 참가 규모다. 선발된 학생들은 해외 바이어 등 비즈니스 관계자 대상으로 서울통합관에 참가한 25개 기업의 글로벌 마케팅을 지원했다. 또 ‘SogangGlobalDevelopedBusiness’사업을 통해 혁신산업 및 기술을 보유한 서강 가족회사 5개의 전시 부스도 마련했다.이밖에 서강대는 서울 관악구와 연계해 ‘CES2024′를 글로벌 지·산·학(地·産·學) 네트워크 활성화의 장으로 활용했다. 서강대LINC사업단은 서울경제진흥원·관악구청과 ‘CES2024 서울통합관×관악구 스타트업 대학생 서포터즈 운영을 위한 업무협약’을 체결했다. 이를 통해 ‘CES2024′ 서울통합관 관악S밸리존에 참가하는 8개 기업과 서강대 학생을 일대일로 매칭했다. 이러한 활동을 통해 서강대는 가족기업뿐 아니라 지역 벤처기업의 글로벌 역량 강화를 지원하고, 글로벌 딥테크 사업화로 한국의 벤처도 육성할 계획이다.지역사회 해결사로서의 ‘서강’서강대는LINC3.0 사업을 추진하면서 대학과 기업의 경계를 넘어선 협력에 주력한다. 학생들은 대학 내에서 기업의 다양한 관계자들을 만나고 자신들의 아이디어를 자유롭게 프로젝트화할 수 있다. 서강대는 ‘SG-Competition’프로그램을 통해 지역사회와 대학이 협업해 문제를 해결하는 ‘지역 기반 개방형 혁신(RegionalOpenInnovation)’의 가능성을 제시했다. 서강대 학생들이 서울시의 다양한 이해관계자가 제시한 문제 해결 방안을 직접 검토하는 자리다. ▲롯데손해보험 ▲신세계 등 민간기업뿐만 아니라 ▲세종문화회관 등 공공기관까지 폭넓은 참여가 이뤄졌다. 산업체와 기관은 학생들 관점으로 현장 문제 해결에 대한 아이디어를 얻었다. 동시에 학생들은 산업에 대한 이해와 문제해결 역량까지 키울 수 있었다.서강대는 지난 1월 ‘서강대학교LINC지·산·학 심포지엄’에서 지역사회-기업-대학의 공유 및 협업을 통해 창출된LINC3.0 사업의 주요 성과를 공유하고, 지·산·학(地·産·學) 협력을 강화했다.서강대는LINC3.0 사업으로 누린 혜택을 지역사회에 환원하고 있다. 서강대는 연구의 결과물을 교육과 산업에 적극적으로 활용하고 환원하는 선순환 구조 기틀을 구축한다. 현대 사회에서는 기술 발전으로 물질적 풍요를 누리는 이면에 개인의 심리적 스트레스 지수는 점점 높아지고, ‘은둔형 외톨이’ ‘자살’ ‘묻지 마 살인’ 등 다양한 사회적 문제가 발생하고 있다. 서울시는 이런 문제 해결을 위해 마포구청 및 서울시 교육청과 ‘심리상담 지원 프로그램’을 진행해 왔는데 서강대는 전문기관의 체계적이고 장기적인 협조가 필요하다고 판단해 상담센터를 설립하고 지역사회의 정신건강 수요에 대처할 수 있는 다양한 맞춤형 심리상담 프로그램을 운영하고 있다. 서강대는 ‘심리상담 전문가 교육’과 ‘실무 상담심리 전문가 인력양성’을 통해 지역사회에 이바지하고자 한다.뿐만 아니라 서울시 청년 활동 지원센터와 함께 서울시 청년이나 서강대 재학생들이 영화를 제작하고, 영화제를 경험해 볼 수 있는 기회도 제공한다. 서강대는 이들이 전문 영화인으로 발돋움할 수 있게 돕고, ‘제2의 박찬욱’을 양성하겠다는 목표다. ‘올드 보이’ ‘헤어질 결심’ 등을 연출한 영화감독 박찬욱은 서강대 철학과를 졸업했다.글로벌 혁신 중심의 한국, 서울, 그리고 ‘서강’‘한류’가 전 세계적으로 인기를 끌고 있다. 최근 ‘한류’는 글로벌 혁신의 키워드로 자리 잡았다. 과거 ‘글로벌화’의 초점이 제품의 수출이었다면, 최근 ‘글로벌화’는 세계를 주도하는 것으로 달라졌다. 이 변화의 흐름에 서강대도 ‘글로벌화’ 추진을 강화하고 있다. 서강대는 지난해 ‘2023 글로벌 기술교류회SogangGlobalTechnologyRoadshow’를 개최했다. 얀 피터 발켄엔데(JanPieterBalkenende) 네덜란드 전 총리와 다국적 제약회사 로슈(Roche)의 디렉터 주디스 반 샤이크(JudithvanSchaik), 노르웨이 오픈이노베이션 랩(OpenInnovationLab)의CEO트룰스 베르겐(TrulsBergen) 등 10여 명의 해외 인사가 참석한 이 행사는 ▲글로벌 혁신기업 ▲서강대 가족기업 ▲지역사회 기업들의 기술개발 협력을 촉진·도모하는 장이 됐다. 대학 내 글로벌 혁신 트렌드 및 글로벌 기술 사업화에 대한 공감대 형성과 글로벌 역량 강화를 끌어냈고, ‘산학협력 기반 외교’라는 새로운 가능성까지 제시했다.서강 가족회사(엠피웨이브)의 박형민 대표가 ‘CES2024’에서 바이어 및 관계자들을 대상으로 피칭하고 있다. 엠피웨이브는 2개 부문에서 혁신상을 받았다.또한 서강대 교원 기술창업 기업인 엠피웨이브는 ‘CES2024′에서 ▲MobileDevices,Accessories&Apps▲DigitalHealth등 2개 부문 혁신상을 받았다. 사용자 삶의 질 향상과 사회적 가치 실현 공로가 높이 평가됐다. 엠피웨이브는 음성향상 및 음성인식 분야에서 25년 이상 연구 경험을 쌓아온 박형민 전자공학과 교수가 설립한 스타트업이다. 그들은 복잡한 잡음 환경에서 사용할 수 있는 음성향상 및 음성인식 관련 핵심 원천 기술을 개발해냈다. 난청자의 보청기 대체 수준을 넘어, 일반인도 시끄러운 상황에서 원하는 소리를 왜곡 없이 잘 들을 수 있도록 돕는다. 이러한 혁신적인 기술은 보청기의 근본적인 문제 해결과 동시에 저렴한 앱 형태로 개발되어 일반인들도 부담 없이 청각 보조장치로 활용할 수 있게 하였다."
