date,title,content
2024-11-05,"롯데칠성음료, 3분기 영업익 787억…전년 대비 6.6% 줄어","서울의 한 대형마트에 진열된 롯데칠성음료 제품 /뉴스1롯데칠성음료는 올해 3분기 실적(연결 기준)으로 매출 1조650억원, 영업이익 787억원을 기록했다고 5일 공시했다. 매출은 전년 동기 대비 28.3% 증가, 영업이익은 6.6% 감소한 수준이다.음료 부문(별도 기준) 실적은 매출액 5391억원으로 전년 대비 5.1%(289억원) 감소했고, 영업이익은 528억원으로 전년보다 15.1%(94억원) 감소했다. 롯데칠성음료 관계자는 “내수 소비경기 둔화와 긴 장마, 설탕이나 오렌지와 같은 원재료비 증가와 사업경비 부담이 지속되는 상황 속에서 탄산, 커피, 생수, 주스 카테고리에서 대부분 매출과 영업이익이 줄었다”고 했다.다만 에너지음료는 수요 증가로 전년과 대비해 2% 매출이 증가했다.스포츠음료 카테고리도 전년 대비 매출이 8% 증가했다. 스포츠 및 야외 활동 증가와 올해 2분기에 출시된 ‘게토레이 제로’ 제품 판매가 늘어난 영향이다. 또 ‘밀키스’ ‘알로에주스’ 등 제품이 미국, 일본, 동남아 등 50여 개국에 판매되며 수출 실적도 전년비 3.1% 증가했다.주류 부문의 올해 3분기 실적은 매출액 2042억원으로 전년비 1.5%(31억원) 증가했고, 영업이익은 97억원으로 전년비 30.7%(43억원) 감소했다. 관계자는 “주류 사업은 시장 내 경쟁이 치열해져 수익성이 하락했지만, 소주와 맥주를 비롯한 주류 매출은 꾸준히 늘고 있다”고 했다."
2024-06-25,‘와인 자회사에 인력 부당지원’ 롯데칠성음료 벌금 1억원,"롯데칠성음료./뉴스1와인을 판매하는 자회사에 본사 인력을 부당하게 지원한 혐의로 기소된 롯데칠성음료가 1심에서 약식명령액과 같은 벌금형을 선고받았다.서울중앙지법 형사5단독 박병곤 판사는 25일 독점규제 및 공정거래에 관한 법률 위반 혐의로 기소된 롯데칠성음료 법인에 벌금 1억원을 선고했다.재판부는 “롯데칠성음료가 자회사인MJA와인에 인력 지원 행위를 한 것은 공정거래법이 금지하는 행위에 해당한다는 사실을 충분히 인정할 수 있다”고 했다.롯데칠성음료는 자회사인MJA와인에 본사 직원 26명을 보내 회계 처리, 매장 관리, 용역비 관리, 판매 마감 등 업무를 대신하도록 한 혐의로 2022년 12월 약식기소됐다. 약식기소는 검찰이 피의자를 정식 재판에 넘기지 않고 서면 심리 등을 통해 벌금형을 내려달라고 청구하는 것이다.당시 검찰은 2012~2019년 적자가 계속되거나 영업이익이 거의 없었던MJA와인이 시장에서 퇴출되지 않고 살아남은 이유가 모기업의 지원이 있었기 때문이라고 보고 약식기소했다. 법원은 작년 3월 롯데칠성음료에 벌금 1억원의 약식명령을 내렸다. 롯데칠성음료는 이같은 처분에 불복해 정식 재판을 청구했지만, 정식 재판에서도 같은 결과를 받았다."
2024-05-08,"공정위, 코카콜라·롯데칠성 등 현장조사…‘음료 가격 담합’ 혐의","공정위 전경국내 음료 업체들이 담합을 벌여 가격을 올렸다는 의혹에 대해 공정거래위원회가 8일 조사에 착수했다.업계에 따르면 공정위는 이날 한국코카콜라, 롯데칠성음료, 동서음료 등 국내 대표적 음료 업체 3곳에 조사관을 보내 음료 판매 관련 자료를 확보했다. 공정위는 국내 음료시장을 과점 중인 이 업체들이 서로 짜고 서로 음료 가격을 올렸는지 여부를 살펴보는 것으로 알려졌다.업계에선 최근 정부가 생활 물가 잡기에 전력을 기울이고 있는 것이 이번 조사의 배경이라고 보고 있다. 앞서 지난 3월에도 공정위는CJ제일제당·삼양사·대한제당 등 대표적인 국내 설탕 제조업체의 담합 정황을 포착하고 현장조사를 나갔다.공정위는 올해 업무 추진 계획에서도 국민의 경제적 부담을 가중시키는 의·식·주 분야의 담합에 대한 감시를 강화하겠다고 밝혔다.지난 1일부터는 공정위 홈페이지에 ‘민생 밀접 분야 불공정행위 신고센터’도 신설됐다. 민생과 밀접한 생필품 등 품목에서 업체들의 담합 정황을 포착한 사람은 누구나 신고센터를 통해 당국에 신고할 수 있다.공정위 관계자는 “음료업체들의 담합 사실이 확인되면 엄정 조치할 것”이라고 말했다."
2024-01-25,"롯데칠성, 증류식 소주 '여울' 출시… ‘대장부’ 생산 중단한지 3년 만","롯데칠성, 증류식 소주 '여울' 출시롯데칠성음료가 증류식 소주 ‘여울’을 출시한다고 25일 밝혔다. 지난 2021년 증류식 소주 ‘대장부’ 생산을 중단한지 3년 만이다.새로 선보이는 증류식 소주 ‘여울’은 국산 쌀과 국산 효모 등을 사용한 제품이다. 용량은 375㎖, 알코올 도수는 25도다. 식당·술집·대형마트 등의 채널에서 판매될 예정이다. 가격은 대형마트 기준 1만원대 초반으로 경쟁 제품인 하이트진로의 일품진로와 비슷한 수준일 것으로 예상된다.롯데칠성음료는 “최적의 비율로 도정한 국산쌀을 원재료로 사용해 약 20~25도의 상온에서 단기간 2단 발효를 하고, 병입 전 0℃ 냉동 여과를 통해 부드럽고 깨끗한 맛을 냈다”고 설명했다.롯데칠성음료는 지난 2016년 증류식 소주 ‘대장부’를 내놓았었지만 하이트진로의 ‘일품진로’와 ‘화요’에 밀리며 출시 4년 만인 2021년 생산을 중단했다. 하지만 최근 위스키나 증류식 소주 등이 인기를 끌며 신제품을 내놓은 것으로 해석된다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2024-01-12,"국순당·롯데칠성, 청주·약주·탁주 출고가도 선제적 인하","사진은 이날 대형마트에 진열된 백세주의 모습. /뉴스1주류업계가 발효주와 기타주류의 출고가격을 조기에 인하한다. 이번 인하는 2월 1일부터 적용되는 기준판매비율에 앞서 이루어진다.국순당은 12일 백세주, 차례주 예담, 법고창신 선물세트를 포함한 약주와 기타주류의 출고가격을 선제적으로 인하한다고 발표했다. 백세주·차례주 예담·법고창신 등 약주 출고가는 평균 4.7% 인하된다. 국순당 쌀 바나나, 국순당 쌀 바밤바밤, 국순당 쌀 단팥 등 탁주형 기타주류의 출고가도 4.5% 내려간다.롯데칠성음료도 같은 날 출고 가격 인하 계획을 발표했다. 청주 ‘청하’,‘청하 드라이’,‘백화수복’의 출고가는 5.8% 인하된다. 기타주류 ‘별빛 청하’,‘로제 청하’는 4.5% 인하한다. 과실주 ‘설중매’,‘설중매 골드’와 ‘레몬진’ 3종, 국산 와인 ‘마주앙’은 5.3% 인하된다.이번 가격 인하는 2월 1일부터 시행되는 발효주와 기타주류에 대한 기준판매비율 도입에 앞서 이루어진다. 국순당과 롯데칠성음료는 소비자 부담을 줄이고 시장 경쟁력을 강화하기 위해 선제적 조치를 취했다. 해당 인하 조치는 각각 12일과 17일부터 적용된다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2024-11-28,"롯데 계열사 대표 18명 교체, 전체의 31%... 3세 신유열 부사장 승진 [명단]","롯데그룹이 28일 정기 임원인사를 단행했다. 신동빈 회장의 장남이자 롯데그룹 3세인 신유열 미래성장실장이 부사장으로 승진했다.롯데는 이날 롯데지주 포함 37개 계열사 이사회를 열고 2025년 정기 임원인사를 단행했다고 밝혔다. 임원인사 결과 롯데그룹 전체 임원 규모는 지난해 말 대비 13% 줄었으며, 58개 계열사 가운데 18개 계열사의 대표이사를 교체했다.그룹 차원의 체질 개선과 쇄신을 위해 임원 22%가 퇴임했다. 그 결과 임원 규모는 지난해 말 대비 13% 축소됐다. 코로나 시기인 2021년 임원인사보다 더욱 큰 폭이다.신유열 전무, 부사장 승진신동빈 회장의 장남인 롯데지주 미래성장실장 신유열 전무는 부사장으로 승진하며 경영 전면에 나선다. 신 부사장은 롯데지주 미래성장실장과 롯데바이오로직스 글로벌전략실장을 겸임했다. 올해 본격적으로 신사업과 글로벌사업을 진두지휘할 예정이다. 바이오CDMO등 신사업의 성공적 안착과 핵심 사업의 글로벌 시장 개척을 본격적으로 주도할 전망이다.신유열 롯데지주 미래성장실장 /롯데신 부사장은 2022년 롯데스트레티직인베스트먼트(LSI) 대표이사, 롯데파이낸셜 대표이사 등 투자 계열사 대표직을 역임했다. 롯데케미칼 동경지사, 롯데지주 미래성장실, 롯데바이오로직스 글로벌전략실 등에서 근무했다.‘비상경영’ 롯데, 대표이사 31% 교체롯데는 이번 인사에서 경영 체질을 근본적으로 바꾸고 성과에 대한 엄정한 책임을 묻는데 집중했다고 밝혔다. 그 결과 전체 58개 계열사 가운데 31%(18명)의 대표이사가 교체됐다. 실장까지 포함하면 교체된 전체CEO는 21명이다. 앞서 롯데는 지난 8월 비상경영에 돌입했다.롯데 화학군은 총 13명의CEO중 지난해 선임된 롯데알미늄, 롯데에너지머티리얼즈,LCUSA의 대표를 제외한 10명이 교체된다. 롯데 화학군HQCTO(기술전략본부장) 황민재 전무가 부사장으로 승진해 롯데케미칼 첨단소재 대표이사로, 롯데이네오스화학 대표이사 정승원 전무가 부사장으로 승진해 롯데정밀화학 대표이사로 기용됐다. 롯데 측은 “내부에서 검증된 인재들을CEO로 인선해 롯데 화학군의 사업 혁신을 선도하고 조직의 변화를 이끌겠다”고 밝혔다.롯데 화학군은 임원도 큰 폭으로 세대교체가 이뤄졌다. 약 30%에 달하는 롯데 화학군 임원들이 퇴임한다. 특히 60대 이상 임원의 80%가 경영 일선에서 물러난다. 롯데 측은 “롯데 화학군의 대대적인 쇄신을 위한 인사 조치”라고 밝혔다.호텔롯데는 법인내 3개 사업부(롯데호텔, 롯데면세점, 롯데월드) 대표이사가 전부 물러났다. 롯데면세점은 롯데지주HR혁신실 기업문화팀장 김동하 상무가 전무로 승진해 신임 대표이사로, 롯데월드는 권오상 신규사업본부장 전무가 신임 대표이사로 내정됐다.롯데월드타워 전경/롯데그룹 제공김동하 전무는 1997년 롯데웰푸드(옛 롯데제과)로 입사 후 롯데 정책본부 개선실, 롯데슈퍼 전략혁신부문장 등을 역임했으며, 2022년부터 롯데지주 기업문화팀장을 맡아 그룹 노무와 생산성 관리를 책임졌다. 앞서 롯데면세점은 올해 6월 비상경영체제를 선포했다.권오상 전무는 1994년 롯데백화점으로 입사한 뒤 2013년부터 12년간 롯데월드의 전략 · 신사업 · 마케팅 · 개발 등을 책임져 온 테마파크 전문가다. 최근에는 롯데월드의 글로벌 사업 확장을 위해 베트남과 동남아 현지에 맞는 비즈니스 모델을 직접 기획, 추진해왔다.롯데지주 이동우 부회장을 비롯해 롯데 식품군 총괄대표 이영구 부회장과 롯데 유통군 총괄대표 김상현 부회장 및 주요 식품 · 유통 계열사의CEO는 유임된다. 롯데지주 이동우 부회장은 위기 관리를 총괄하며 그룹의 변화 방향과 속도를 점검하게 됐다. 롯데 식품군과 유통군은 현재 추진하고 있는 사업 전략의 일관성을 유지하되, 올해 중 가시적 성과를 내기 위해 사업실행력을 높인다는 방침이다.롯데지주에서는 경영혁신실장 노준형 부사장이 사장으로 승진했다. 또 롯데지주의 경영혁신실과 사업지원실이 통합돼 그룹사 비즈니스 구조조정과 혁신의 중심축 역할을 수행하게 됐다. 롯데 측은 “롯데그룹 전반의 사업 포트폴리오를 조정하고, 강력한 혁신 드라이브를 추진하고자 한다“며 “신규 조직은 노 사장을 중심으로 그룹 컨트롤타워 역할을 강화해 각 계열사 혁신을 가속화해 나갈 계획”이라고 밝혔다.1968년생인 노 사장은 2002년 롯데이노베이트(옛 롯데정보통신)에 입사 후 경영지원부문장, 전략경영본부장 등을 역임했다. 2021년 대표이사에 부임한 뒤 메타버스, 전기차 충전, 자율주행 등의 신사업과 그룹IT·DT사업을 주도했다. 노 사장은 전략 · 기획 · 신사업 전문가로 기존 사업의 역량 제고 및 그룹의 사업 포트폴리오를 고도화할 적임자로 평가받아 2023년부터 롯데지주 경영혁신실장으로 재임 중이다.롯데케미칼에서는 첨단소재 대표이사 이영준 부사장이 사장으로 승진해 롯데 화학군 총괄대표를 맡는다. 이 사장은 1991년 삼성종합화학에 입사한 후 제일모직 케미칼 연구소장, 삼성SDIPC사업부장을 거친 뒤 2016년 롯데그룹에 합류했다. 롯데케미칼 첨단소재PC사업본부장과 첨단소재 대표이사를 역임하며 제품 포트폴리오를 고부가제품 중심으로 강화하는 한편 주요 거래선을 지속적으로 확대해 축소되는 판매량과 스프레드에 효율적으로 대응했다는 성과를 인정 받았다.롯데 측은 “이 사장은 화학과 소재 분야 전문가로, 사업과 조직의 체질을 바꿔 롯데 화학군 전반의 근본적 경쟁 우위를 확보할 인물로 평가받는다“며 ”기초화학 중심 사업을 고부가가치 스페셜티 중심 사업구조로 신속하게 전환하는 작업을 진두지휘할 것”이라고 밝혔다.롯데 화학군을 이끌었던 이훈기 사장은 일선에서 용퇴한다. 이 사장은 롯데지주 경영혁신실장 재임 시 추진했던 일부 M&A 및 투자와 화학군 실적 부진에 대한 책임을 지고 물러나겠다는 뜻을 밝힌 것으로 알려졌다.롯데지주 사업지원실장 정호석 부사장은 호텔롯데 대표이사로 내정됐다. 정 부사장은 롯데 그룹사의 전략 수립을 지원하고 경영 리스크를 관리해온 경영 전문가다. 1991년 롯데알미늄(옛 롯데기공)에 입사한 뒤 롯데 정책본부 운영실, 롯데물산 기획개발부문장, 롯데지주REVA(부동산 관리)팀장을 역임했다. 2022년부터 롯데지주 사업지원실을 이끌며 롯데그룹의 수익성 중심 경영을 추진해왔다.70년대생CEO전면 배치롯데는 70년대생CEO를 전면 배치해 세대 교체를 추진했다. 롯데 측은 “경영 역량과 전문성이 검증된 내부 젊은 인재들의 그룹 내 역할을 확대해 사업 경쟁력을 강화하고 신사업 추진 속도를 높이겠다”고 밝혔다.롯데면세점 김동하 대표이사(1970년생), 롯데이노베이트 김경엽 대표이사(1970년생), 롯데엠시시 박경선 대표이사(1970년생),LCTitan장선표 대표이사(1970년생), 롯데케미칼 첨단소재 황민재 대표이사(1971년생), 롯데이네오스화학 성규철 대표이사(1971년생), 한국에스티엘 윤우욱 대표이사(1971년생), 에프알엘코리아 최우제 대표이사(1974년생), 아사히 최준영 대표이사(1973년생), 롯데중앙연구소 윤원주 연구소장(1974년생), 롯데벤처스 김승욱 대표이사(1974년생), 롯데베르살리스엘라스토머스 김해철 대표이사(1974년생) 등 12명이 신임CEO로 배치됐다.한편 60대 이상 임원들은 퇴진했다. 60대 롯데 계열사 대표이사 8명 (35%)이 퇴진했으며, 전체 60대 이상 임원의 50% 이상이 퇴임하게 됐다.롯데는 글로벌 경쟁력을 보유한 외부 전문가 영입 기조를 유지하기로 했다. 롯데바이오로직스는 다음 달 11일자로 글로벌 바이오 전문가를 새로운 대표로 영입한다. 롯데바이오로직스는 지난해 7월 인천송도국제도시 바이오 캠퍼스 1공장을 착공했으며, 2027년 상업생산을 목표로 착실히 사업을 진행 중이다. 롯데 측은 “신임 대표가 바이오CDMO전문성과 글로벌 네트워크를 기반으로 사업 역량을 키우고 의약품 수주 확대를 주도해 롯데 바이오 사업을 성공적으로 안착시킬 것으로 기대하고 있다”고 밝혔다.롯데는 연말 정기적으로 단행해온 정기 임원인사 체제를 수시 임원인사 체제로 전환한다는 계획을 밝혔다. 글로벌 경영 불확실성에 유연하게 대처하고 사업의 속도감과 실행력을 높인다는 취지다. 롯데 측은 “성과 기반의 적시·수시 임원 영입과 교체를 통해 경영 환경을 극복하겠다는 방침”이라고 밝혔다.※아래는 2025년 롯데그룹 정기임원 인사 명단.◼ 대표이사 및 단위조직장 승진화학군 총괄대표 兼 롯데케미칼㈜ 기초소재사업 대표이사 사장 이영준롯데지주㈜ 경영혁신실장 사장 노준형롯데케미칼㈜ 첨단소재사업 대표이사 (내정) 부사장 황민재롯데정밀화학㈜ 대표이사 (내정) 부사장 정승원롯데지주㈜ 커뮤니케이션실장 부사장 임성복롯데지주㈜ 미래성장실장 兼 롯데바이오로직스㈜Global전략실장 부사장 신유열㈜호텔롯데 롯데면세점 대표이사 (내정) 전무 김동하롯데이노베이트㈜ 대표이사 전무 김경엽롯데피플네트웍스 대표 상무 최인태한국에스티엘㈜ 대표이사 (내정) 상무 윤우욱롯데베르살리스엘라스토머스㈜ 대표이사 (내정) 상무 김해철롯데이네오스화학㈜ 대표이사 (내정) 상무 성규철LCTitan대표이사 상무 장선표◼ 대표이사 및 단위조직장 보임㈜호텔롯데 대표이사 (내정) 부사장 정호석㈜호텔롯데 롯데월드 대표이사 (내정) 전무 권오상롯데벤처스㈜ 대표이사 (내정) 전무 김승욱롯데중앙연구소 연구소장 상무 윤원주롯데엠시시㈜ 대표이사 (내정) 상무 박경선롯데지에스화학㈜ 대표이사 상무 정종식㈜롯데아사히주류 대표이사 (내정) 상무보 최준영에프알엘코리아㈜ 대표이사 (내정) 상무보 최우제◼ 승진[롯데웰푸드㈜]전무 배성우상무 진헌탁, 최인태, 최호형상무보 강성택, 김미송, 권영일, 황자영[롯데칠성음료㈜]상무 정용주상무보 신해모, 우태식, 이주한[롯데지알에스㈜]상무 이승주상무보 김진우[롯데상사㈜]상무 이세호상무보 김세련[롯데쇼핑㈜ 백화점사업부]전무 김원재상무 강우진, 윤우욱, 정동필상무보 김동섭, 박상우, 박준홍, 유현권[롯데쇼핑㈜ 마트사업부]상무 신수경상무보 김동호, 심영석, 표정수[롯데쇼핑㈜ e커머스사업부]상무보 김장훈, 정진욱[㈜코리아세븐]상무 문대우상무보 이동은[롯데홈쇼핑]상무보 김연수[롯데하이마트㈜]상무 김보경상무보 정상국[한국에스티엘㈜]전무 김진엽[에프알엘코리아㈜]전무 정현석[롯데멤버스㈜]상무보 강성진[롯데케미칼㈜ 기초소재사업]부사장 황민재상무 권조현, 김해철, 유승용, 윤종규상무보 김영번, 김재호, 김주익, 김철수, 박성준, 박성진, 박진의, 박재선, 배지훈[롯데케미칼㈜ 첨단소재사업]사장 이영준상무 권기혜, 이한수상무보 강태곤, 고성욱, 안재석[롯데정밀화학㈜]상무 윤희용상무보 최병욱, 황석민[롯데에너지머티리얼즈㈜]상무보 조성욱[롯데이네오스화학㈜]부사장 정승원상무 성규철상무보 정재규[LCTitan]상무 장선표[롯데엠시시㈜]상무 이태환[롯데알미늄㈜]상무 정창명상무보 이상엽[㈜호텔롯데]상무 권정근상무보 양재혁[㈜호텔롯데 롯데면세점]상무보 심재우[㈜호텔롯데 롯데월드]상무보 이해열[롯데건설㈜]전무 고용주상무 강민종, 차길봉, 한정호, 홍상균상무보 김명준, 김종태, 이승환, 최정일[롯데렌탈㈜]전무 김경봉상무 이광호, 이규필상무보 정동주[롯데이노베이트㈜]전무 김경엽상무 이원종상무보 김경장, 이창윤, 이환희, 전숭녕, 추경일[롯데글로벌로지스㈜]상무 권순근상무보 강병윤, 안재용, 이용감[롯데캐피탈㈜]상무보 홍종성[롯데물산㈜]상무 신창훈[롯데에이엠씨㈜]상무보 김민영[㈜대홍기획]상무보 박승규, 한근조[캐논코리아㈜]상무 전형준상무보 김희준[롯데미래전략연구소㈜]상무 이승환[롯데자산개발㈜]상무보 김정원[롯데바이오로직스㈜]상무 임태형[롯데지주㈜]사장 노준형부사장 신유열, 임성복전무 김동하, 박왕근, 최영준상무 변영오, 심형섭, 장병철상무보 김민성, 박상섭"
2023-04-13,"롯데칠성음료, 자회사에 ‘본사 인력 부당지원’ 벌금 1억원","롯데칠성음료가 계열사이자 자회사인 ‘MJA와인’의 시장 퇴출을 막기 위해 본사 인력 26명을 부당 지원한 혐의로 벌금형을 받았다.서울 서초동 서울중앙지법 /뉴스113일 법조계에 따르면, 서울중앙지법 형사33단독 박소정 판사는 ‘독점 규제 및 공정 거래에 관한 법률’ 위반 혐의로 약식 기소된 롯데칠성음료 법인에 지난달 31일 벌금 1억원의 약식명령을 내렸다.롯데칠성음료는MJA와인에 자사 직원 26명을 보내 회계 처리, 매장 관리, 용역비 관리, 판매 마감 등 업무를 대신 하도록 부당하게 지원한 혐의로 작년 12월 벌금 1억원에 약식 기소됐다. 롯데칠성음료가 정식 재판을 청구하지 않아 약식명령이 법원에서 그대로 확정됐다.MJA와인에서 근무한 본사 직원들의 급여는 롯데칠성음료가 지급한 것으로 조사됐다.MJA와인은 백화점 와인 매장을 다른 와인 소매업체들과 공동 임차한 후 롯데칠성음료에서 와인을 공급받아 판매했다.검찰은 작년 12월 롯데칠성음료를 재판에 넘기면서 “MJA와인은 2012년부터 2019년까지 적자가 계속되거나 영업이익이 극히 적은 상황이었는데, 모기업인 대기업의 지원이 없었다면 시장에서 퇴출됐을 것”이라고 밝혔다."
2023-03-03,"신동빈 롯데그룹 회장, 3년 만에 롯데칠성음료 경영 복귀","신동빈 롯데그룹 회장 /롯데지주신동빈 롯데그룹 회장이 3년 만에 롯데칠성음료 경영에 복귀한다.롯데칠성음료는 오는 3월 22일 서울 롯데호텔월드에서 정기주주총회를 열고 신 회장을 롯데칠성음료 사내이사로 선임하는 안건을 의결한다고 3일 공시했다.신 회장은 2017년 롯데칠성음료 사내이사가 됐고 2019년 재선임됐으나 임기 만료 3개월 전인 2019년 12월 사임했다. 당시 롯데쇼핑, 호텔롯데, 롯데건설 이사직도 함께 그만뒀다. 이번에 다시 등기이사가 되면 3년 만에 롯데칠성음료에 복귀하는 것이다.현재 신 회장이 등기이사로 올라 있는 롯데 계열사는 롯데지주, 롯데제과, 롯데케미칼, 캐논코리아 4곳이다.롯데칠성음료는 “책임경영을 강화하는 차원으로, 글로벌 투자와 M&A,사업 확장과 관련한 의사 결정을 신속히 하기 위해 신 회장이 이사로 복귀하는 것”이라고 밝혔다."
2023-04-21,"롯데, 사내 시상식 ‘롯데 어워즈’ 열어... ‘새로’ 소주 내놓은 롯데칠성음료가 대상","'롯데 어워즈' 참석한 신동빈 롯데 회장(서울=연합뉴스) 신동빈 롯데 회장(왼쪽 다섯 번째)이 21일 서울 송파구 시그니엘 서울에서 열린 '롯데 어워즈'에 참석해 올해 대상을 받은 롯데칠성음료 소주BM팀과 기념 촬영하고 있다. 2023.4.21 [롯데지주 제공. 재판매 및DB금지]photo@yna.co.kr/2023-04-21 13:02:54/<저작권자 ⓒ 1980-2023 ㈜연합뉴스. 무단 전재 재배포 금지.>롯데가 21일 서울 송파구 시그니엘 서울에서 사내 시상식 ‘롯데 어워즈’를 개최했다. 롯데는 영업·마케팅 등 각 분야 별로 과감한 도전을 통해 신시장 개척, R&D 강화 및 프로세스 개선, 파트너사와의 동반성장 등 고객 삶을 이롭게 만드는 활동에 기여한 사내 조직을 선정해 시상하고 있다.올해 롯데 어워즈에는 34개 계열사 103건의 사례가 접수돼 내·외부 전문가로 구성된 심사위원들이 3차례의 심사를 통해 영업·마케팅, R&D,상생·동반성장 부문에서 6개팀을 선정했다.대상은 소주 ‘새로’를 선보인 롯데칠성음료 소주BM팀이 수상했다. 제로 슈거 소주 시장을 선도하고 제품을 성공적으로 안착시켰다는 점을 인정받았다.최우수상은 롯데마트, 롯데웰푸드, 롯데홈쇼핑, 롯데케미칼, 롯데물산의 각 팀에 주어졌다. 영업·마케팅 부문에서 수상한 롯데마트 보틀벙커팀은 주류 전문매장 보틀벙커를 열어 ‘마트에서는 저가 와인을 판매한다’는 고정관념을 깼다는 평가를 받았다. 롯데웰푸드 뉴비즈전략팀은 무설탕 디저트 시장을 확장한 점을 높게 평가받았다. 롯데홈쇼핑 캐릭터팀은 ‘어메이징 벨리곰’ 공공전시를 성공적으로 이끈 공로를 인정받았다.롯데케미칼 수소탱크팀은 독자기술로 수소탱크 개발에 성공해 R&D 부문에서 수상했고, 롯데물산 몰기술팀과 마케팅팀은 석촌호수 수질을 개선하며 지역 동반 상생 시너지를 높인 점을 인정받아 상생·동반성장 부문에서 상을 받았다.대상 및 최우수상 수상팀에는 각각 5000만원, 3000만원의 상금과 트로피가 수여됐다.신동빈 회장은 시상식에서 “매년 이 자리에서 임직원들의 도전을 응원할 수 있어 기쁘다”며 “지난 한 해 많은 변화를 경험하고 때로는 어려움을 겪었지만 혁신적인 도전으로 새로운 시장을 찾아냈고 차별화된 브랜드 가치를 만들어냈다”고 말했다."
2022-12-27,檢 ‘자회사에 인력 부당지원’ 롯데칠성음료 벌금형 약식기소,"어려움을 겪는 자회사의 시장 퇴출을 막기 위해 본사 인력 수십명을 지원한 대기업 집단 소속 기업이 약식 기소됐다.서울중앙지검 공정거래조사부(부장 이정섭)는 롯데칠성음료 법인을 공정거래법 위반 혐의로 벌금형에 약식기소했다고 27일 밝혔다.서울 서초구 서울중앙지검./뉴스1롯데칠성음료는 자회사인MJA와인에 자사 직원 26명을 보내 회계 처리, 매장 관리, 용역비 관리, 판매 마감 등MJA와인의 고유 업무를 대신 수행하도록 부당지원한 혐의를 받는다. 이들 직원들의 급여도 롯데칠성음료가 지급했다.MJA와인은 백화점 와인 매장을 다른 와인 소매업체들과 공동임차한 후 모회사인 롯데칠성음료로부터 와인을 공급받아 판매했다. 검찰은 2012년부터 2019년까지MJA와인의 적자가 이어지고 영업이익이 거의 없는 상황에서, 모기업인 롯데칠성음료의 지원이 없었다면MJA와인이 시장에서 퇴출됐을 것으로 보고 있다. 검찰은 이로 인해 중소 규모 와인 소매업체의 백화점을 통한 시장 진입이 어려워졌고, 공정한 경쟁이 제한됐다고 판단하고 있다. 검찰은 다만, 당시 시행되던 주세법령 상 제한(주류 수입 업체의 소매 금지)을 회피하기 위해 당시 업계에 이 같은 잘못된 관행이 퍼져 있던 점을 고려해 개인들은 형사 처벌 대상에 포함시키지 않았다고 설명했다.검찰 관계자는 “자체 경쟁력과 무관하게 대기업 계열사라는 이유로 유지·성장하는 소위 ‘금수저 기업’이 시장에서 탄생하지 못하도록 공정한 경쟁 질서를 회복하기 위하여 노력할 예정”이라고 말했다."
