date,title,content
2024-11-01,"롯데하이마트, 3분기 영업익 312억원 “5년 뒤 1000억원대 목표”","롯데하이마트 점포 중 한 곳의 매장 전경. /롯데하이마트롯데하이마트는 3분기 경영실적으로 매출 6859억원, 영업이익 312억원을 기록했다고 1일 공시했다. 매출은 전년 동기 대비 5.5%, 영업이익은 13.8% 감소한 수준이다. 롯데하이마트 관계자는 “티메프 사태로 인한 일회성 비용 등을 제외하면 전년과 비슷한 수준”이라고 했다.1일 롯데하이마트는 경영 실적을 발표하며 2029년까지 매출 2.8조원, 영업이익 1000억원을 달성하겠다는 목표를 밝혔다. 또한 이익 배당을 통한 주주 환원을 이행하고, ‘선 배당액·후 배당기준일 확정 구조’를 도입해 배당 예측 가능성과 주주가치를 동시에 제고하겠다고 했다.롯데하이마트는 2023년 이후 고객과 상권 특성을 고려한 점포 리뉴얼 작업을 진행하고 있다. 점포 진열 가이드를 구축해 진열을 재정비하는 동시에, 상품 구색을 확대해 전반적인 상품 라인업을 강화했다.또한, 서비스 상담 전용 센터를 리뉴얼 점포에 설치해 고객 구매 생애 주기를 케어하는 다양한 서비스들을 전면에 내세워 고객 유입 확대와 관계 장기화에 힘쓰고 있다. 그 결과 지난 9월까지 리뉴얼을 완료한 누적 71개 점포의 매출이 리뉴얼 전 대비 평균 4% 이상 성장했다.롯데하이마트 관계자는 “부동산 침체와 같은 악조건에도 3분기 매출은 상반기 대비 감소폭을 대폭 줄였고, 영업이익은 2분기 연속 흑자, 올해 누적 흑자로 전환했다”고 했다."
2024-09-29,롯데하이마트의 실험…MZ 타깃으로 로고 없애고 체험 공간처럼 꾸며,"동대문 ‘던던’에 ‘더나노스퀘어’ 열어1인 가구·MZ겨냥한 체험·전시에 중점페르소나 쇼룸. /롯데하이마트롯데하이마트가 서울 동대문 복합쇼핑몰 ‘던던’에MZ세대 1인가구를 타깃으로 한 매장을 28일 열었다. 하이마트 로고와 이름 없이 ‘더나노스퀘어’(TheNANOSQUARE)라는 이름으로 문화·예술 작품 전시실 콘셉트로 운영한다.롯데하이마트에 따르면 더나노스퀘어는 외국인 유동 인구와 20~30대 1인 가구가 많은 동대문 상권 맞춤형 특화 매장으로, 쇼핑몰 던던 지하 2층에 1057㎡(약 320평) 규모로 자리하고 있다. 보통의 가구매장은 전면에TV,냉장고, 세탁기, 스탠드형 에어컨 등을 배치하는 반면, 더나노스퀘어는 알록달록한 원색 계열의 소품으로 공간을 꾸몄다.더나노스퀘어 전경. /롯데하이마트더나노스퀘어는 ‘페르소나 쇼룸’ ‘큐레이션 라이브러리’ ‘일렉 소사이어티’ 등 크게 3가지 공간으로 구성됐다. 페르소나 쇼룸은 1인 가구의 생활양식에 맞춰 ‘살림’ ‘음악·영상’ ‘뷰티’ ‘게임’ ‘주방’ 등 5개 테마로 이뤄져 있다.도서관 서고처럼 생긴 큐레이션 라이브러리에서는 개인 취향이 뚜렷한MZ세대의 감성을 자극하는 다양한 소형 가전이 배치돼 있다. 일렉 소사이어티는 팝업 공간이다. 가전 액세서리부터 비가전 생활용품 편집숍까지 다양한 형태의 팝업 행사가 진행될 예정이다. 고객의 휴식 장소나 만남의 장소로도 활용될 수 있다.페르소나 쇼룸. /롯데하이마트롯데하이마트는 이번 ‘더나노스퀘어’의 공간 기획과 디자인을 도시 콘텐츠 전문기업 ‘어반플레이(URBANPLAY)’와 협업해 완성했다. 어반플레이는 각종 기업과 협업을 통해 서울 서대문구 ‘연남장’,부산 ‘피아크’ 등 다양한 문화복합공간을 기획해 왔다.한편, 최근 롯데자산개발은 서울 동대문구에 위치한 롯데 피트인을 던던으로 리뉴얼 오픈했다. 체험형 복합문화공간인 이 매장은 지하 3층~지상 8층으로 약 1만 6000㎡ 규모로 지어졌다. ‘던던’은 극적인 순간을 강조하기 위해 사용되는 ‘두둥’과 비슷한 의성어로, 동대문 상권 회복 및 추후 상생을 통해 열어갈 새 공간이라는 의미를 담고 있다."
2024-06-16,"롯데하이마트, 매장 영업직 1400명 직접 고용","롯데하이마트가 매장 영업직원 1400명을 직접 고용한다고 16일 밝혔다. 대부분은 기존 삼성전자와LG전자 판촉사원들로, 이들은 롯데하이마트에서 파견근무를 하다가 경력직 정규직으로 일하게 됐다.롯데하이마트는 지난 2020년 공정거래위원회로부터 파견된 가전업체 직원들에게 다른 가전업체 제품을 팔게 한 행위가 대규모유통업법에 위반된다며 시정명령과 함께 과징금 10억원을 부과받았다. 이에 롯데하이마트는 브랜드 판촉사원들의 파견근무를 이달 30일 종료하기로 했다. 빈자리를 채우기 위해 지난달부터는 매장 영업직 공개채용 절차를 진행했다.이번에 합격한 사원들의 90% 정도는 기존 롯데하이마트에서 근무하던 판촉사원들이라고 한다. 일부 신입사원도 뽑았다. 이들은 다음달 1일 전국 매장에 배치된다. 롯데하이마트는 “정부 판촉사원 운영 지침을 준수하기 위한 근본적인 변화이며 가전양판점 본연의 경쟁력을 강화하기 위한 조치”라고 설명했다.롯데하이마트 로고 /롯데하이마트"
2023-10-31,단순 변심도 절반 가격에 신상품 교체해준다...롯데하이마트 업계 최초 ‘가전 교체 서비스’ 도입,"가전제품 양판 업체 롯데하이마트가 글로벌 디지털 보험사 ‘볼트테크(Bolttech)’와 손잡고 다음 달 2일 가전 업계 처음으로 ‘교체 서비스’를 시작한다.고객이 모바일, 태블릿, 노트북, 데스크탑 4개 품목 상품을 살 때 연회비를 내고 가입하면, 3년간 3회까지 저렴한 가격에 신상품으로 교체할 수 있는 서비스다.롯데하이마트 관계자는 “디지털 가전은 상대적으로 교체 주기가 짧고 신상품의 스펙 향상 속도와 트렌드 변화 속도가 빠르다. 파손·고장 가능성도 크다. 이런 점 때문에 교체 수요가 많은 점을 고려해 서비스를 기획했다”고 말했다.롯데하이마트가 다음달 2일 가전 업계 최초로 '교체 서비스'를 시작한다. 고객이 서비스 상담을 받고 있는 모습. /롯데하이마트연회비는 처음 구매 상품 가격대에 따라 4·8·12·18만원으로 구분된다. 50만원 이하 상품은 4만원, 50만원 초과~100만원 이하 상품은 8만원이다.교체는 연 1회, 3년간 3회까지 가능하다. 교체 비용은 1년차에는 신상품의 50%, 2년차엔 40%, 3년차엔 30%다.예를 들어 고객이 최초에 100만원짜리 휴대폰을 산 뒤 2년차에 100만원짜리 새 상품으로 교체하려는 경우, 연회비 16만원(8만원 x2)과 40만원을 합쳐 총 56만원이 필요하다. 절반 가격 수준으로 새 상품을 받을 수 있다.처음 구매한 상품의 가격대(80~105%)와 품목만 맞추면 브랜드나 제품에 관계없이 교체가 가능하고, 교체 사유 제약이 없어 단순 변심으로도 교체할 수 있는 게 서비스 특징이라고 롯데하이마트는 설명했다.롯데하이마트는 디지털 가전을 시작으로 생활 가전, 주방 가전, 대형 가전으로도 대상 품목을 확대할 계획이라고 밝혔다."
2023-11-01,“반값에 가전제품 바꾸세요” 롯데하이마트 회원제 서비스,"[모닝]롯데하이마트가 연회비를 내면 기존 제품을 반납하는 조건으로 새 제품을 최대 70% 할인된 가격에 구매할 수 있는 ‘디지털 가전 교체 서비스’를 2일 선보인다. 디지털 제품은 휴대 중 파손되는 사례가 많고 신제품 성능도 금방 향상되기 때문에, 교체 주기가 갈수록 빨라진다는 점에 주목한 서비스다.모바일, 태블릿, 노트북, 데스크톱 등 4개 품목을 구매한 고객이 연회비를 내면 3년간 최대 3회까지 신제품을 50~70% 할인된 가격에 살 수 있다. 할인율은 가입 1년 차엔 50%, 2년 차엔 60%, 3년 차엔 70%로 커진다. 연회비는 처음 구매하는 상품 가격대에 따라 4·8·12·18만원으로 달라진다.예컨대 이 서비스에 가입하고 100만원짜리 휴대폰을 구매한 회원은 2년 차에 100만원짜리 새 휴대폰을 40만원(할인율 60%)에 살 수 있다. 2년간 연회비 16만원을 포함하면 총 56만원에 새 휴대폰을 구매하는 셈이다. 새 제품은 기존 제품 가격의 80~105% 가격 내에서 고를 수 있고, 품목만 같으면 동일 브랜드가 아니어도 된다."
2024-09-30,‘옷 파는 세븐일레븐’ 여는 롯데… 동대문에 ‘체험형 쇼핑몰’ 개장,"지난 26일, 익일 개점을 앞두고 사전공개한 롯데자산개발의 던던 동대문. 과거 이름은 롯데 피트인으로 약 3년 10개월 만에 재개장했다. /최효정 기자롯데가 체험형 복합 쇼핑몰 ‘던던 동대문점’을 27일 열었다. 지난 2020년 운영 종료된 롯데 쇼핑몰인 롯데 피트인을 새단장한 곳으로, 지하 3층부터 지상 8층까지 약 1만6000㎡(약 4840평) 규모다.롯데는 이곳에 ‘옷과 화장품을 파는 편의점 세븐일레븐’ ‘미술관 같은 롯데하이마트’처럼 실험적인 매장을 입점시켰다. 패션·뷰티 특화 매장으로 기획된 세븐일레븐은 건물의 지하 1층에 있다. 264.5㎡(약 80평) 규모로 일반 점포 대비 3.5배 넓고, 입구부터 패션 브랜드와 화장품 진열대를 배치했다. 지하 1~2층에 있는 롯데하이마트는 기존의 이름과 로고를 없애고, ‘더나노스퀘어’라는 이름으로 운영 중이다. 가전 매장이 아닌 예술 전시 공간처럼 원색 계열 소품을 전면에 배치해 20~30대 고객을 겨냥했다. 롯데 유통군 관계자는 “외국인 관광객과 20~30대 유동 인구가 많은 동대문 상권을 공략하기 위해 기존 유통 계열사들이 가진 이미지를 과감하게 바꾸는 시도를 했다”고 말했다."
2023-05-04,하이마트 여름가전 할인… 이달 에어컨 등 최대 13%,"롯데하이마트가 5월 한 달간 에어컨과 선풍기 등 여름 가전을 최대 13% 할인 판매한다.롯데하이마트는 8일까지 2022·2023년형LG전자 오브제컬렉션 휘센타워 에어컨(이하 행사용 모델 한정)을 사면 캐시백으로 최대 70만원을 되돌려 주는 식으로 할인한다. 31일까지 삼성전자 무풍갤러리 에어컨(2023년형)을 구매한 고객에게는 최대 80만원어치 롯데모바일상품권을 증정한다. 할인율이 10~13% 정도다.또 이달 말까지LG전자·삼성전자 에어컨과 같은 브랜드의 공기청정기를 사는 고객, 삼성 시스템 에어컨과 한일 선풍기를 동시 구매한 고객에겐 최대 10만원어치 캐시백·상품권 혜택을 준다.롯데하이마트는 “무더위가 예상되는 올여름을 미리 대비하는 고객이 빠르게 늘고 있다”고 했다. 최근 2주간 롯데하이마트의 에어컨, 선풍기, 서큘레이터 매출은 직전 2주보다 각각 20%, 80%, 170% 늘었다. 기상청은 지난달 말 “5월 기온은 평년보다 높고, 6월과 7월도 평년과 비슷하거나 더 더울 것으로 예상한다”고 발표했다."
2023-02-01,"하이마트, 신학기 IT세일","롯데하이마트가 신학기 시즌을 맞아 2월 한 달 동안 인기 노트북·모바일 제품 할인 판매 행사를 진행한다.롯데하이마트는 2월 말까지LG전자 노트북을 구매하는 고객에게 최대 30만원을 현금(캐시백)으로 돌려준다. 매주 금·토·일·월요일에는 애플, 마이크로소프트, 레노버 같은 해외 브랜드 노트북을 최대 20% 할인 판매한다.삼성전자가 내놓는 스마트폰 신제품 갤럭시S23을 13일까지 구매 예약하면 모델에 따라 최대 20만 캐시백 혜택을 준다. 또 7~14일 행사 카드로 아이폰 14를 구매하는 소비자에게는 최대 8만 캐시백 혜택을 제공한다. 아이폰 14 구매 고객 선착순 1000명에겐 롯데하이마트 2만원 모바일 상품권도 증정한다롯데하이마트는 오는 20일까지 ‘IT트렌드 상품 기획전’도 연다. 매주 금·토·일·월요일 애플 에어팟 프로2, 애플워치SE2, 갤럭시 버즈2 프로, 갤럭시 워치5 중에서 같은 모델을 2대 구매한 고객 500명에게 최대 5만원어치 롯데하이마트 모바일 상품권을 증정한다."
2024-02-21,하이마트 뛰어넘었다… 삼성·LG닷컴의 영업 비밀은,"양판점·오픈마켓 판매와 병행LG전자는 이달부터 자사 홈페이지에서LCD가 아닌 유기발광다이오드(OLED) 디스플레이를 장착한 노트북 ‘LG그램 프로’를 판매하고 있다. 이 제품은 가전 양판점이나 온라인 오픈마켓에는 없는 ‘닷컴 온리’ 제품이다. 세탁기와 건조기를 일체형처럼 쌓은 ‘워시타워’,바퀴가 달려 이동이 간편한TV‘스탠바이미’도 일부 기능과 색상을 차별화해LG닷컴에서만 판매한다.LG전자 관계자는 “닷컴 판매를 강화한 결과 올 1월LG전자에서 판매한 노트북 중 닷컴 판매 비율이 역대 최대인 13%로 나타났다”고 했다.가전 업계가 공식몰을 통해 소비자에게 직접 판매하는 D2C(DirecttoConsumer·소비자와의 직접 거래) 전략을 일제히 강화하고 있다. 양판점에서 여러 물건을 비교해가며 제품을 사는 소비 방식이 ‘브랜드’를 먼저 선택하고 제품을 고르는 트렌드로 바뀌어 가고 있기 때문이라는 분석이 나온다. 애플, 테슬라 같은 글로벌 제조사들이 딜러나 통신 업체를 거치지 않고 소비자에게 직접 판매해 브랜드 가치를 높인 것도 D2C 전략 확산에 영향을 미쳤다. 삼성전자는 지난해 강신봉 요기요 대표를 D2C센터장(부사장)으로,LG전자는 이달 11번가에서 근무했던 디지털 커머스 전문가 이영민 상무를 D2C 사업그룹 담당 임원으로 영입했다. 온라인 시장에 강점을 가진 전문가를 전면에 내세운 것이다.그래픽=김성규D2C 핵심은 단독 제품과 혜택가전 업체들의 온라인몰 강화 전략의 핵심은 전용 제품이다. D2C의 모범 사례로 꼽히는 스포츠 브랜드 나이키와 아디다스는 공식몰을 통해 고객이 직접 운동화의 소재, 디자인에 들어가는 색상을 고를 수 있을 뿐 아니라 자신의 이니셜을 넣을 수 있는 커스터마이징 서비스를 만들어 큰 호응을 끌었다. 고객들이 공식 사이트에 접속할 수밖에 없는 명확한 이유를 만든 것이다.삼성전자는 스마트폰 갤럭시 시리즈와 무선 이어폰 갤럭시 버즈 등을 삼성닷컴의 얼굴로 내세우고 있다. 지난달 출시한 갤럭시S24 시리즈의 경우 티타늄 그린 등 일부 색상은 삼성닷컴에서만 판매하는 것이 대표적이다. 21일에는 판다 푸바오의 쌍둥이 동생인 ‘쌍둥바오’를 모티브로 한 갤럭시 버즈2 특별 패키지를 내놓는다. 삼성닷컴이 급격한 성장세를 보이면서 삼성전자가 오프라인 매장인 삼성스토어를 포함한 자체 유통 채널에서 소비자에게 판매한 매출은 지난 2022년 3조4463억원으로 국내 가전 유통 부문 1위 롯데하이마트(3조3368억원)를 뛰어넘었다. 업계 관계자는 “닷컴 전용 제품을 개발하면 소비자를 공식몰로 유인할 수 있을 뿐만 아니라 외부에 지급하는 수수료나 마케팅 비용도 줄일 수 있다”고 말했다.그래픽=김성규빠른 배송이나 큰 폭의 할인율을 공식몰의 강점으로 내세우는 곳도 있다.LG전자는TV등 일부 대형 가전 제품에 대해 오후 3시까지 주문하면 다음 날 바로 배송과 설치까지 해준다. 쿠쿠나 쿠첸 같은 중견 가전기업은 공식몰에서 라이브 커머스를 진행하며 큰 폭의 할인율을 제공한다. 쿠쿠는 지난해 자체 몰 회원 수 100만명을 넘겼다.D2C 전략은 충성도 높은 고객을 붙잡아둔 채 지속적인 소비를 유발할 수 있는 ‘록인(Lock-in·자물쇠) 효과’도 기대할 수 있다. 공식몰에서 제품을 구매하는 경우 추후 구매에 쓸 수 있는 포인트나 쿠폰을 제공하면서 다음 방문을 유도하는 식이다.고객 데이터까지 잡아라가전 업체들의 D2C 전략에는 고객 데이터를 확보하기 위한 목적도 있다. 양판점이나 오픈마켓 같은 다른 유통 채널을 통해 판매하는 경우 고객의 성별이나 연령대별 구매 패턴을 파악하기 어렵다. 하지만 최근 인공지능(AI) 기술 발전에 따라 빅데이터를 활용한 머신러닝(기계학습) 기술로 고객 데이터를 분석하는 게 용이해졌다.LG전자 관계자는 “D2C 판매로 얻는 고객 데이터를 기반으로 성별, 나이대, 지역 등을 세분화해 신제품을 기획하거나 개발할 수 있다”고 말했다. 삼성전자도 고객의 구매 패턴 등을 분석해 시기별 필요한 제품을 맞춤형으로 제안하는 식으로 데이터를 활용하고 있다. 가전 업계 관계자는 “제품 기획과 개발, 유통과 판매에 이르는 모든 과정을 경험하면서 고객에 대한 기업의 이해도가 높아지는 것도 D2C 전략의 장점으로 꼽힌다”고 했다."
2023-09-15,판매만 했던 전자랜드·하이마트 “수리도 해줍니다”,"가전업계 오프라인 전략 강화가전제품을 전문으로 유통하는 양판점 전자랜드가 회사 창립 35년 만에 처음으로 오프라인AS센터를 열었다. 14일 전자랜드는 주요 거점 매장인 일산점 내에 수리 센터를 연다고 밝혔다. 고장 난 밥솥, 청소기, 공기청정기 같은 소형 생활 가전을 가져오면 현장에서 수리해 준다. 전자랜드 관계자는 “이전에는 고객들이 각 가전 제조사의 서비스센터를 찾아야 했지만 이제는 전자랜드 매장을 찾아 빠른 서비스를 받을 수 있게 한 것”이라며 “단순히 제품을 사고파는 양판점에서 나아가 서비스 확대로 고객의 방문 빈도를 높이려는 전략”이라고 했다.가전 판매점들이 잇따라 오프라인 전략을 강화하고 있다. 국내 가전 양판점 1위 롯데하이마트는 올해 초부터 매장 내에 수리와 가전 클리닝 서비스를 제공하는 ‘홈 만능 해결 센터’를 만들어 모객에 나섰다. 삼성전자와LG전자도 자사 오프라인 매장에 골프 클래스와 피아노 공연까지 열면서 고객의 발길을 붙잡기 위해 애를 쓰고 있다. 엔데믹 이후 가전 시장 자체가 불황기에 접어들자 소비자의 마음을 사로잡기 위한 판매점들의 분투가 이어지고 있는 것이다.그래픽=양인성위기 직면 양판점 “매장으로 오세요.”과거 양판점은 삼성전자·LG전자부터 신일전자 쿠쿠, 위니아 등 중견 기업까지 다양한 브랜드를 한 공간에서 합리적인 가격에 판매한다는 장점으로 인기를 끌었다. 하지만 최근 들어 사정이 달라졌다. 삼성전자와LG전자에서 비스포크, 오브제 컬렉션처럼 가전의 톤앤매너를 통일한 프리미엄 제품들이 나오자 가전을 하나의 브랜드로 장만하는 사람들이 많아졌다. 중저가 소형 가전은 온라인 판매가 급속히 늘면서 양판점을 위협했다. 네이버, 쿠팡뿐 아니라 배달의 민족, 마켓컬리, 오늘의집, W컨셉 등 이커머스(온라인 상거래) 업체들이 이 시장에 공격적으로 뛰어들었다. 지난해 롯데하이마트는 국내 가전 유통시장에서 처음으로 삼성스토어에 매출 1위 자리를 내줬다. 롯데하이마트와 전자랜드는 지난해 각 520억, 109억원의 적자를 냈다.제품 관련 서비스를 앞세워 오프라인을 강화하는 가전 양판점들의 전략 수정은 이런 위기감에서 비롯됐다. 롯데하이마트는 수리, 클리닝, 이전 설치, 보증보험 등 가전 구매와 관련된 서비스를 제공하는 ‘홈 만능 해결 센터’를 올해 처음 만들어 전국 13곳으로 확대했다. 롯데하이마트 관계자는 “가전 판매에서 나아가 홈 토털 케어 서비스 기업이 되겠다는 것”이라며 “오프라인 매장 방문 주기가 짧아지면 자연스럽게 매출도 올라갈 것으로 기대한다”고 밝혔다.전자랜드는 온라인 구매 고객을 붙잡기 위해 지난 4월 온라인 최저가를 보장하는 유료 회원제 매장 ‘랜드500′을 냈다. 매년 3만~5만원의 가입비를 내면 온라인 최저가 수준의 가격으로 제공하는 매장으로, 6개월 만에 11곳으로 늘었다.삼성LG,집토끼 잡아라삼성전자와LG전자도 이에 맞서 ‘집토끼’를 붙잡기 위해 오프라인 매장 전략을 강화하고 있다. 이들은 오프라인 매장을 지역 커뮤니티 거점으로 만든다는 목표로 각종 강연, 행사를 선보이며 ‘백화점 문화센터’처럼 바꾸고 있다. 지난 7월 삼성스토어 인천 연수송도점에서는 프로 골퍼가 진행하는 원데이 골프클래스가 열렸다. 골프 자세 교정을 해주고 동시에 골프 기능이 있는 ‘갤럭시워치5′ 활용법을 안내해주는 강좌다. 그뿐만 아니라 삼성전자는 쿠킹, 인테리어 클래스, 유아와 초등생 대상 코딩 클래스인 ‘삼성스토어 코딩 스쿨’도 주기적으로 개최하고 있다.지난 4월LG전자 베스트샵 서초지점에서는 시각장애 피아니스트와 가야금 연주자의 합동 연주회가 열렸다. 울산, 부산 등 영남 지역 베스트샵에서는 지역 교향악단이나 음악학원과 연계한 클래식 공연이 열린다.LG전자 관계자는 “가전을 구매할 때만 매장을 방문하는 것이 아니라 남녀노소 편안하게 매장을 찾게 하기 위한 것”이라며 “앞으로도 이 같은 각종 강연과 행사를 늘려나갈 계획”이라고 말했다."
