date,title,content
2024-12-26,AI가 당뇨병 위험까지 예측한다,"英서 세계 처음 임상 시험 시작그래픽=양인성질병이 생기기 10여 년 전부터 당뇨병 위험을 예측할 수 있는 인공지능(AI)이 개발돼 내년부터 영국 공공 의료 체계에 시범 도입된다.AI를 활용해 질병을 예측하는 임상 시험을 공공 의료 영역에서 대규모로 시행하는 것은 전 세계적으로 처음이다. 우선 1000명을 대상으로 1차 임상 시험을 진행하고, 이후 정식으로 도입할 계획이다.AI를 활용해 질병을 정확히 예측할 수 있으면, 예방을 통해 의료비를 아끼고 삶의 질과 인간 수명에도 큰 영향을 줄 수 있다.AI를 통한 질병 예측이 공중 보건의 ‘게임 체인저’가 될 수 있는 것이다. 이번 기술을 개발한 연구진은 “당뇨병 위험이 있는 사람들이 식단을 조절하고, 건강한 체중을 유지한다면 발병을 예방할 수 있다”며 “AI예측을 통한 질병 예방이 보건 의료를 혁신할 거대한 잠재력을 갖고 있다”고 했다.그래픽=양인성◇“당뇨 예측 정확도 70%”영국 일간지 가디언은 “영국 국가보건서비스(NHS)가 세계 최초로 산하 병원 2곳에서 당뇨병 위험을 측정하는AI(Aire-DM)를 시범 운영한다”고 24일 보도했다. 영국은 공공 의료 체계인NHS를 통해 국민에게 무상 의료 서비스를 제공한다.영국 임피리얼 칼리지 런던과 소속 병원 연구팀이 개발한 이번AI는 심장의 전기적 활동을 분석한 심전도(ECG)를 통해 최대 13년 뒤의 당뇨병 위험을 예측해 준다. 연구팀은 심전도 데이터 약 120만개를 사용해 당뇨병 위험도를 예측하는AI를 만들었다. 심장 전기신호의 전달 방식이 변하거나 특정 전기가 발생하는 패턴의 변화는 당뇨병의 초기 경고 신호다. 하지만 심전도 변화는 너무 다양하고 미묘하기 때문에 숙련된 의사라고 해도 해석하기 어렵다. 이 문제를AI가 해결한 것이다. 연구팀이 50만명 이상의 의료 데이터 등으로 이번AI를 검증한 결과, 다양한 연령·성별·민족 등 사람들의 당뇨병 위험을 70% 정확도로 예측했다. 환자의 나이, 성별, 고혈압 및 과체중 여부 등의 세부 정보를 추가하면AI의 예측 정확도는 더 높아졌다.연구팀은 내년부터 임피리얼 칼리지, 첼시·웨스트민스터 병원 등 2곳에서 환자 최대 1000명을 대상으로AI시스템이 실제로 당뇨병 위험을 예측하는 데 도움을 주는지 시험할 계획이다. 이 연구에 자금을 지원한 영국심장재단은 “당뇨병 위험이 있는 사람들을 찾아내는 일이 궁극적으로 생명을 구할 수 있을 것”이라고 했다. 당뇨병을 제대로 관리하지 않으면 심장마비나 뇌졸중 같은 합병증으로 이어지는데, 미리 위험을 알고 대처할 수 있게 된다는 뜻이다. 실제로 연구팀은 심전도를 통해 당뇨병 외에 심부전, 심혈관 질환 등의 위험을 예측하는 모델을 개발하고 있다. 연구팀은 “이 기술이 앞으로 몇 년 안에 영국이나 세계 다른 나라의 전체 의료 서비스에 도입되기를 바라고 있다”고 했다.◇암, 알츠하이머 예측으로 확장이번 사례는 의료AI가 질병 진단이나 판독을 넘어 예측까지 진화했다는 것을 보여준다는 평가를 받는다. 현재 의료 현장에서 사용되는AI는 주어진 이미지나 영상을 보고 현재 질병 유무를 판독하는 진단 분야가 대다수다. 하지만 현재 상태를 판단하는 것을 넘어, 미래의 질병 위험도까지 판단하는AI가 본격적으로 의료 현장에 진입하고 있는 것이다. 의료계에서는AI질병 예측이 대중화하면 맞춤형 지원을 통해 질병 예방까지 나아갈 수 있어 공중 보건을 혁신할 것으로 본다. 시장조사 업체 프레시던스 리서치에 따르면, 세계 질병 예측 시장 규모는 2024년 42억4000만달러(약 6조1870억원)에서 2034년 204억달러까지 성장할 전망이다.AI를 통해 암이나 심혈관 질환, 알츠하이머 등 위험도가 높은 질환을 포착하려는 시도 또한 이어지고 있다. 국내 의료AI기업 루닛은 유방암 위험도를 예측하는AI‘루닛 인사이트 리스크’의 미 식품의약국(FDA) 허가를 추진하고 있다. 유방 촬영 영상을 분석해 향후 5년 내 환자의 유방암 발생 위험도를 예측하는 모델이다. 또 국내AI스타트업인 메디웨일은 망막 촬영기로 3분 만에 심혈관 위험 정도를 예측하는AI의료 기기 ‘닥터눈’을 개발했다. 망막 혈관 패턴으로 심혈관 관련 질환, 혈당 수치, 질환의 위험도 등을 예측하는 것이다. 영국 케임브리지대는 인지 검사와MRI결과로 알츠하이머 진행을 예측하는AI를 개발하고 있다.글로벌 제약사 아스트라제네카는 50만명 이상의 바이오 마커(생체 지표) 데이터를 학습해 1000개 이상의 질병을 높은 수준으로 예측할 수 있는AI모델 ‘밀턴(MILTON)’을 개발했다. 헬스케어 업계 관계자는 “대다수의AI예측 기술은 아직 임상에서 유의미하게 적용할 수 있는 수준까지 도달하지는 못했다”면서도 “AI질병 예측이 대중화할 경우 많은 사람의 다양한 질병 위험 자체를 줄일 수 있을 것”이라고 했다."
2024-03-13,"루닛, 뉴질랜드 의료 AI기업 인수 법원 승인","의료 인공지능(AI) 기업 루닛이 최근 뉴질랜드 고등법원으로부터 뉴질랜드 의료AI기업 ‘볼파라 헬스 테크놀로지’ 인수안에 대한 1차 승인을 획득했다고 13일 밝혔다. 루닛은 뉴질랜드 금융 당국의 투자 승인에 이어 이번 법원 승인까지 사실상 모든 법적 절차를 통과했다고 설명했다. 볼파라는 미국 내 2000곳 이상 의료기관에 유방암 검진AI소프트웨어를 공급하고 있다.볼파라는 다음 달 12일 주주총회를 열고 인수를 마무리하기 위한 절차에 들어간다. 매각이 결정되면 루닛은 볼파라 주식 100%를 취득하게 된다. 루닛은 지난해 12월 볼파라를 1억9307만 달러에 인수하는 계약을 체결했다. 서범석 루닛 대표는 “인수를 위한 자금 조달 역시 순조롭게 진행 중인 만큼, 다가오는 5월에는 인수를 완료할 수 있을 것”이라고 말했다."
2024-02-15,"루닛 작년 매출 250억원, 전년 대비 81% 증가","의료 인공지능(AI) 기업 루닛이 지난해 매출 250억8000만원(연결기준)을 기록했다고 15일 공시했다. 지난해 같은 기간 대비 80.9% 증가한 숫자다. 루닛은 지난해 422억원의 적자(영업손실)을 기록했지만, 적자폭은 2022년(507억원) 대비 16.7%를 줄였다. 지난해 매출 가운데 해외 매출은 213억원으로 전체 매출의 85%를 차지했다. 2022년(110억원)의 2배 수준이다. 같은 기간 국내 매출도 29억원에서 38억원으로 32% 늘었다.루닛은 “지난해 주력한 루닛 스코프 신규매출이 크게 늘었고, 기업 정부간 거래 (B2G) 매출도 늘어나면서 사상 최대 실적을 기록했다”고 밝혔다. 루닛에 따르면 지난해 11월 기준으로 암 진단을 위한 흉부 엑스레이 영상분석 솔루션 ‘루닛 인사이트CXR’과 유방촬영술 영상분석 솔루션 ‘루닛 인사이트MMG’를 도입한 의료기관이 글로벌 3000곳을 돌파했다.해외 정부를 대상으로 한 비즈니스도 확장 중이다. 루닛은 지난해 7월 사우디아라비아 전역 의료기관에 디지털 기술을 적용하는 ‘SEHA가상병원’ 프로젝트에 참여했고, 10월 사우디 보건의료 디지털 대전환을 위한 국가 전략사업 ‘헬스케어 샌드박스’에 전격 참여했다. 루닛은 현재 사우디 전국 150개 가상병원에AI솔루션을 공급하는 등 중동시장을 집중 공략하고 있다."
2023-12-15,"루닛, ‘유방암 검진’ 다국적기업 인수","국내 의료AI선두, 美시장 진출의료 인공지능(AI) 업체 루닛이 다국적 의료AI기업 ‘볼파라 헬스 테크놀로지’를 1억9307만달러(약 2525억원)에 인수하는 계약을 체결했다고 14일 밝혔다. 유방암을 진단하는AI영상 분석 설루션을 개발한 루닛은 올 3분기까지 매출 196억8300만원을 내는 등 국내 의료AI스타트업 중 선두를 달리고 있다. 이번 인수를 통해 미국을 시작으로 글로벌 시장에 본격 진출한다는 계획이다.이날 루닛은 볼파라의 지분 100%를 인수하는 계약을 체결했다고 공시했다. 볼파라는 유방암 검진에 특화된AI플랫폼 업체다. 미국 시애틀에 사무소를 둔 볼파라는 미국 전체 유방 촬영술 검진 기관의 3분의 1에 해당하는 2000여 곳에AI설루션을 공급하고 있다. 루닛은 “볼파라의 고객 기관을 대상으로 자사 설루션을 추가 공급할 기회를 얻었고, 전 세계에 볼파라의 플랫폼을 유통하며 매출을 끌어올리겠다”고 했다.또 루닛은 볼파라의 데이터를 확보해 경쟁 업체들과의 격차를 더 벌리겠다는 계획이다. 볼파라는 서양권 여성 유방 촬영 이미지를 약 1억장 보유하고 있고, 인수 후에도 데이터를 연 2000만장 이상 확보할 전망이다. 루닛은 이를 통해 동양권 여성의 데이터를 학습한 루닛의 설루션을 고도화할 예정이다. 또 볼파라의 방대한 데이터를 초거대AI에 적용해, 암 판독 정확도가 100%에 가까운 ‘자율형AI’구축에 활용하겠다는 계획이다.서범석 루닛 대표는 “루닛의 볼파라 인수는 루닛이 미국 시장에 진출하는 가장 빠르고 효과적인 방법이자, 앞으로 루닛이 암 조기 진단을 위한 강력한 설루션 개발을 가속화할 수 있는 기회”라고 했다."
2023-12-14,"루닛, 유방암 특화 AI 기업 볼파라 인수...美 진출 본격화","루닛과 볼파라CI의료 인공지능(AI) 기업 루닛이 다국적 기업 ‘볼파라 헬스 테크놀로지(이하 볼파라)’를 인수하는 계약을 체결했다고 14일 밝혔다. 루닛 창립 이래 처음으로 해외 의료AI기업을 인수하는 것이다.이날 루닛은 1억 9307만 달러(약 2525억 원)에 볼파라의 지분 100%를 인수하는 계약을 체결했다고 공시했다. 이는 호주증권거래소(ASX)에 상장된 볼파라 주가를 주당 1.15 호주달러(AUD)로 책정한 것으로, 전일 종가 기준 주당 0.78 호주달러에 프리미엄 47.4%를 붙인 가격이다. 전일 기준 볼파라 시가총액은 1억 9332만 호주달러(한화 약 1672억원)다.볼파라는 지난 2009년 뉴질랜드 웰링턴에 설립된 유방암 검진에 특화된AI플랫폼 기업이다. 미국 시애틀에 사무소를 두고 미국 내 임상 및 영업 활동을 활발히 진행, 현재 미국 내 2000곳 이상 의료기관에AI솔루션을 공급하고 있다. 지난 2016년 4월 호주증권거래소에 상장된 이후 견조한 성장세를 보이고 있다.서범석 루닛 대표는 이날 기자 간담회에서 “볼파라는 유방암 검진에 특화된 정밀한AI모델을 개발하기 위해 미국 등 서양권 여성 약 1억장의 유방촬영 이미지를 보유하고 있다”며 “또 서비스를 제공하고 있는 미국 건강검진 기관 등으로부터 매년 지속적인 자료가 더 들어오고 있는 상황이어서 루닛이 가진 3억장의 데이터와 더해 다른 기업이 따라올 수 없는 차별점을 만들 수 있을 것”이라고 했다.루닛은 볼파라 데이터를 활용해 주로 동양권 여성의 데이터를 학습한 루닛의 유방촬영술AI영상분석 솔루션 ‘루닛 인사이트MMG’및 최근 미국 식품의약국(FDA) 허가를 획득한 3차원 유방단층촬영술AI영상분석 솔루션 ‘루닛 인사이트DBT’제품을 고도화 한다는 계획이다.이번 계약에 따라 볼파라는 내년 2분기 이내에 주주총회를 열게 된다. 주주 75% 동의를 얻으면 최종 절차가 마무리된다. 합병 완료 까지는 3~6개월이 소요될 것으로 전망된다. 루닛 측은 “인수자금을 외부 차입 등을 통해 충당할 계획”이라며 “볼파라 인수 후 양사의 사업적, 재정적 시너지를 통해 흑자전환 시기를 앞당기는 데 최선을 하겠다”고 했다."
2023-11-13,"루닛, 3분기 누적 매출 196억 돌파…“글로벌 중심 성장 이어갈 것”","루닛은 13일 2023년 3분기 연결기준 누적 매출액이 전년동기 대비 98.4% 증가한 196억 8천3백만 원을 기록했다고 공시했다./그래픽=조선디자인랩 이연주의료 인공지능(AI) 기업 루닛은 13일 2023년 3분기 연결기준 누적 매출액이 전년동기 대비 98.4% 증가한 196억 8천3백만 원을 기록했다고 공시했다. 분기 영업손실은 120억 2300만 원을 기록했다.루닛의 올해 3분기 누적 해외 매출은 170억 3천6백만 원으로 전체 누적 매출의 약 86.5%를 차지했다. 국내 매출은 26억 4천7백만 원을 기록하며 전체의 13.5%로 나타났다. 이중 3분기 한정 해외매출 비중은 90.1%로 특히 높은 비중을 보였다.암 진단 분야에서 루닛AI솔루션을 도입한 의료기관 수는 지난 3월 2000곳을 넘어선 뒤 이달 3000곳을 돌파했다. 이와 함께 루닛은 암 치료 분야에서 글로벌 제약사 20여 곳과AI바이오마커 ‘루닛 스코프’를 활용한 연구개발 협업을 활발히 진행하고 있다. 특히 올해 3분기에는 글로벌 제약사들이 연구개발 과정에서 루닛 스코프를 사용한 데 따른 연구용 매출이 처음으로 발생했다.루닛은 올해 4분기에 루닛 인사이트 제품군의 글로벌 판매를 확대하는 데 집중할 예정이다. 서범석 루닛 대표는 “루닛은 올해 3분기 싱가포르, 말레이시아, 사우디 등 아세안 및 중동 지역에서 다수의 공급 계약 성과를 거두며 누적 매출이 전년대비 2배 증가했다”며 “4분기에는 미국 캔서엑스 프로젝트 참여와 3차원 유방단층촬영술AI영상분석 솔루션 ‘루닛 인사이트DBT’의 미국 식품의약국(FDA) 승인이 예상되는 만큼 미국 시장을 중심으로 성장을 이어가겠다”고 말했다."
2023-08-11,"루닛, 올해 상반기 매출로 ‘작년 전체 매출 넘었다’","의료 인공지능(AI) 기업 루닛이 올해 상반기 매출만으로 지난해 전체 매출을 뛰어넘으며 역대 최대 반기 매출을 달성했다./루닛 제공의료 인공지능(AI) 기업 루닛이 올해 상반기 매출만으로 지난해 전체 매출을 뛰어넘으며 역대 최대 반기 매출을 달성했다.루닛은 11일 올해 상반기 연결기준 매출액이 164억1600만원을 기록했다고 공시했다. 지난해 전체 매출액 138억6600만원을 초과한 것으로 전년 동기 대비 200% 증가한 실적이다. 올해 2분기 매출액은 54억4500만원으로 전년 동기 25억100만원에 비해 118% 늘었다.반기 최대 실적은 해외 매출이 견인했다. 올해 상반기 해외 매출은 140억9100만원으로 전체 매출의 85.8%를 차지했다. 국내 매출은 23억2500만원으로 전체 14.2%를 기록했다. 올해 상반기AI영상진단 솔루션 ‘루닛 인사이트’를 도입한 의료기관이 전 세계 2000곳을 돌파했다. 루닛은 아시아와 중동 시장을 적극 공략하며 글로벌 시장 점유율 확대에 나서고 있다.AI바이오마커 플랫폼 ‘루닛 스코프’도 상반기 글로벌 기업과의 프로젝트 진행을 통한 기술료 회득과 함께 클리아 랩(CLIALAB)을 통한 데이터 분석 서비스 매출을 처음으로 올리는 등 성과를 이어가고 있다.서범석 루닛 대표는 “상반기에는 해외 판매 확대와 중동 시장 등 수익성 높은 신시장을 개척하며 반기 최대 실적을 기록했다”면서 “하반기에는 추진 중인 B2B 사업과 한국, 일본에서의 건강보험 적용 등 정책적 지원에 힘입어 더 좋은 성과를 내도록 최선을 다할 것”이라고 했다."
2023-05-08,"루닛, 美 ‘ASCO 2023′서 연구초록 16편 발표…”의료AI 기업 중 최다”","루닛AI바이오마커 플랫폼 '루닛 스코프IO'(왼쪽)와AI병리분석 솔루션 '루닛 스코프PD-L1'(오른쪽)/루닛 제공의료 인공지능(AI) 기업 루닛이 6월 2일부터 6일까지 미 시카고에서 개최되는 ‘2023 미 임상종양학회(ASCO2023)’에서 연구초록 16편을 발표한다고 8일 밝혔다.ASCO2023에 참여하는 국내 기업 중 최다이며, 전 세계 의료AI기업 중에서도 가장 많다.미 임상종양학회(ASCO)는 1964년 설립된 세계 최고 권위의 암 학회로, 매년 4만 명 이상의 의료 관계자들이 참석한다. 루닛은 지난 2019년부터 매년ASCO에 참석해 최신 연구를 발표하고 있다.루닛은ASCO2023에서AI기반의 바이오마커 루닛 스코프를 화학방사선요법(CRT) 치료 중인 국소 진행성 직장암 환자의 병리 조직에 적용해 면역세포인 종양침투림프구 수치 변화를 측정한 결과를 발표한다. 이번 연구는 일본 최고의 암 전문병원인 일본 국립암센터와 함께 진행해 신뢰도를 높였다. 또 국내 연구자 주도 임상시험으로 두경부 편평세포암 환자의 면역항암제 더발루맘(제품명 ‘임핀지’) 및 트레멜리무맙 병용요법 치료 전후의 변화를 루닛 스코프로 조사한 연구 결과도 발표한다.세계 최정상급 병원인 미국 메이요클리닉이 주도해 환자의 면역학적 형질에 따라 각각 면역 활성, 면역 제외, 면역 결핍으로 분류한 루닛 스코프의 세 가지 면역표현형을 3기 대장암 환자에게 적용한 결과와 미국 국립보건원 빅데이터의 암 조직을 루닛 스코프를 통해 분석한 결과 등도 함께 공개할 예정이다.서범석 루닛 대표는 “올해ASCO2023 학회에서AI바이오마커 플랫폼 루닛 스코프를 다양한 분야에 적용한 연구 결과를 대거 발표할 예정”이라며 “특히 역대 가장 많은 초록 발표를 통해 루닛 스코프가 면역항암제의 치료 반응을 예측할 뿐 아니라 경과 추적, 종양 미세환경 분석 및 유전체 정보 예측 등 다양하게 활용될 수 있음을 잘 보여줬다”고 말했다."
2023-04-24,의료AI 기업 ‘루닛’ 대통령표창 받아,의료 인공지능(AI) 기업 루닛이 과학·정보통신의 날을 맞아 과학기술 진흥 부문 대통령 표창을 받았다고 22일 밝혔다. 루닛 관계자는 “독보적인 의료AI기술력을 기반으로 회사의 전체 매출 중 80% 이상을 해외 수출로 창출한 공로를 인정받아 수상했다”고 말했다.루닛의 대표 제품인 루닛 인사이트는AI로 암을 조기에 발견하거나 발병 위험을 예측하는 설루션이다. 특히 흉부 엑스레이AI영상 분석 설루션인 ‘루닛 인사이트CXR’과 유방촬영술AI영상 분석 설루션 ‘루닛 인사이트MMG’를 도입한 의료 기관은 전 세계 2000 곳을 넘는다.21일 서울 강남구 한국과학기술회관에서 개최된 수상식에서 서범석 루닛 대표는 “앞으로도 우리나라가 의료AI분야 강국으로 발돋움하는 데 기여할 수 있도록 최선을 다하겠다”고 말했다.
2024-02-28,"루닛 AI 분석 솔루션, 폐 질환 양성 최대 94% 정확히 진단","루닛 로고 /뉴스1의료 인공지능(AI) 기업 루닛의AI영상분석 솔루션 ‘루닛 인사이트’가 흉부 엑스레이를 통해 폐 질환 양성 여부를 최대 94% 정확하게 진단해 낼 수 있는 것으로 나타났다.루닛은 다음달 3일까지 오스트리아 빈에서 열리는 ‘2024 유럽영상의학회’에 참석해 루닛 인사이트를 활용한 최신 연구 성과 7건을 발표한다고 28일 밝혔다.가장 중요한 연구는 흉부 엑스레이 영상 1만 6996건을 분석해AI의 폐 질환 식별률을 확인하고, 의사의 진단 결정을 어떻게 돕는지에 대한 구연 발표다. 루닛은 이 연구에서 흉부 엑스레이에 특화된 ‘루닛 인사이트CXR’가 얼마나 정확하게 폐 질환을 진단해낼 수 있는지 확인했다.실험 결과 폐 질환별로 실제 양성 사례를 정확하게 양성으로 진단할 확률이 최대 94%에 달하는 것으로 나타났다.  실제 음성인 경우 정확하게 음성으로 진단할 확률은 99%로 더욱 높았다. 또 기존에는 ‘정상’으로 판정됐던 사례에 대해서는 질환이 양성일 경우 82%에 대해 정확하게 양성으로 진단해낼 수 있었고, 음성일 경우 95%의 확률로 음성으로 진단하는 것으로 나타났다. 루닛 측은 “이번 연구 결과는AI가 응급 상황에서의 빠른 판독 및 상대적 저위험 질환의 정확한 판독에 특히 유용할 수 있음을 시사한다”고 밝혔다.또 다른 연구에서 루닛 인사이트CXR의 폐결절 검출 능력은AI모델의 성능 평가 지표인AUC기준 0.93으로 나타났다. 루닛은 “이는 분석된 모든AI솔루션 중 가장 우수한 성능”이라고 강조했다."
