date,title,content
2023-10-18,"공정위, 침대 스프링 등 강선 가격 담합한 제강사들에 548억원 과징금","정창욱 공정거래위원회 카르텔조사국장이 18일 정부세종청사에서 ""10개 제강사의 가격 담합에 과징금 약 548억원을 부과하고 6개 제강사를 검찰에 고발하기로 결정했다""고 밝히면서 세부 내용을 설명하고 있다. /연합뉴스침대 스프링이나 자동차, 정밀기계 등에 쓰이는 강선(철로 만든 선)을 만들어 파는 10개 제강사가 6년 가까이 가격 담합을 벌이다 적발됐다. 이들의 시장점유율은 80%에 달한다. 18일 공정거래위원회는 법 위반 기간이 짧은 1개 업체를 제외한 나머지 9개 업체에 총 548억원 과징금을 부과하고, 이 중 6개 업체를 검찰 고발한다고 밝혔다.공정위에 따르면 이들은 2016년 4월부터 지난해 2월까지 5년 10개월간 13차례에 걸쳐 가격을 짬짜미한 혐의를 받는다. 원자재 가격이 오르면 제품 가격을 함께 올리고, 원자재 가격이 떨어지면 가격 인하를 자제하기로 합의했다.그 결과 제조업 분야에 광범위하게 쓰이는 강선 제품 가격이 전반적으로 올랐다. 침대 스프링용 강선은 가격이 최대 120% 오른 것으로 조사됐다. 2016년 3월 1㎏당 660원에서 지난해 2월 1460원으로 올랐다. 같은 기간 침대 가격도 30% 올라 담합이 소비자에게도 피해를 줬다는 게 공정위 설명이다. 다른 강선 제품 가격도 37~62% 올랐다.적발된 10개 업체는 고려제강·대강선재·대흥산업·동일제강·DSR제강·만호제강·영흥·청우제강·한국선재·홍덕산업 등이다. 법 위반 기간이 짧은 대강선재는 과징금을 피했다. 대흥산업·동일제강·DSR제강· 만호제강·영흥·청우제강 등 6개 업체는 담합에 적극 가담해 검찰 고발됐다. 이번 조치는 2021년 12월 공정위가 담합 관련 과징금 부과 기준율을 관련 매출액의 최대 10%에서 20%로 상향한 이후 첫 제재다. 정창욱 공정위 카르텔조사국장은 “법 개정으로 약 160억원의 과징금이 더 부과됐다”고 했다."
2023-06-14,제2의 SG증권발 사태?... 동일산업 등 5종목 무더기 하한가,"동일산업·대한방직 등 폭락… 오늘부터 무기한 거래 정지14일 동일산업·대한방직·만호제강·방림(이상 코스피)과 코스닥 상장사 동일금속 등 5종목 주가가 하한가로 추락해 금융 당국이 조사에 착수하고, 해당 종목들의 거래를 15일부터 무기한 정지하기로 했다. 지난 4월 말 다우데이타 등 8종목이 최장 나흘 연속으로 무더기 하한가를 기록했던 ‘SG증권발 주가 폭락 사태’와 유사한 주가조작 사건 아니냐는 의혹이 제기된다.이 종목들의 주가는 이날 오전 10~11시쯤 갑자기 떨어지기 시작해 1~2시간 만에 가격 제한 폭인 30%까지 급락했다. 주식시장에선 “온라인 주식 투자 카페 운영자인 강모(52)씨가 회원들을 동원해 이 종목들을 꾸준히 매집해 오다가 한꺼번에 팔아 가격이 급락한 것 아니냐”는 주장이 나왔다. 회원이 6000여 명에 달하는 이 카페에는 하한가를 맞은 종목들을 추천하는 글이 다수 올라와 있다. 강씨는 이날 언론 인터뷰에서 “증권사들이 카페 회원들에게 신용 융자(대출) 연장을 해주지 않아 회원들이 해당 종목들을 팔았고, 이 때문에 주가가 하락했다”는 취지로 말했다.한국거래소는 투자자 보호를 위해 5종목에 대해 ‘해제 필요시’까지 사실상 무기한으로 거래를 정지했다. 하한가 사태가 연일 이어지는 것을 막으려는 조치다.금융감독원은 이날 폭락 사태가 시세조종 등 불공정 거래와 관련됐는지에 대해 긴급 점검에 착수했다. 앞서 ‘SG사태’에 대한 검찰 수사 결과, 라덕연(구속 기소) H투자자문사 대표 등 주가조작 일당의 시세조종 혐의가 있었던 것으로 드러났다. 라씨 일당은 시세조종이 쉬운 중소형주를 타깃으로 삼아 2~3년간 꾸준히 주가를 올렸는데, 14일 폭락 종목들도 비슷한 측면이 있다.이날 폭락 종목들은 철강(동일산업·만호제강), 건설기계 부품(동일금속), 섬유 소재(대한방직·방림) 등으로 업종이 나뉘었지만, 모두 시가총액이 1000억~3000억원대로 중소형주에 속한다. 또 대주주 비율이 높아 유통 가능한 주식 비율이 30~50%대로 비교적 낮다는 것도SG사태 때 폭락한 종목들과 공통점이다. 시세조종 세력이 상대적으로 적은 자금만 가지고도 손쉽게 주가를 올릴 수 있는 종목들인 것이다.실제 이 종목들 주가는 지난 2020년부터 3년여간 꾸준히 올랐다. 만호제강 주가는 지난 2020년 1월 2일 1만5750원에서 폭락 직전인 지난 13일 6만5400원으로 4배 이상으로 뛰었다. 같은 기간 다른 4종목의 주가 상승률도 168~282%에 이른다.다만 이번 폭락은SG사태와 달리 차액결제거래(CFD)를 통하지 않았고, 팔자 주문이 대량으로 나온 창구도 특정 외국계 증권사가 아니라 다수의 국내 증권사였다는 차이점이 있다.CFD거래란 투자자가 원금의 2.5배만큼 주식 매매를 주문한 뒤 나중에 시세 차액만 정산하는 고위험 상품이다.한편 이날 폭락한 종목들을 추천해 온 주식 투자 카페 운영자 강씨는 지난 2014~2015년 조광피혁 등 여러 종목의 시세를 조종한 주가조작 혐의로 기소돼 작년 대법원에서 징역 2년에 집행유예 4년, 벌금 4억원이 확정됐다."
2023-07-04,"지난달 동시 하한가 5종목, 거래 재개하자 또 폭락","4종목은 하한가, 다시 거래중지지난달 15일 매매거래 정지된 여의도KRX한국거래소 홍보관 모니터에 떠 있는 5종목 주가 현황. /뉴시스지난달 무더기 하한가를 기록해 거래정지됐던 5종목 중 4곳이 거래 재개 첫날 다시 하한가로 추락했다. 3일 서울 증시에서 동일산업·동일금속·대한방직·방림은 개장하자마자 가격 제한폭(-30%)까지 떨어져 하한가로 장을 마감했다. 만호제강은 28.7% 폭락세로 시작했지만 이후 하락폭이 줄며 10.6% 하락한 채 장 마감했다.한국거래소는 지난달 14일 5종목이 동시에 하한가를 기록하자 다음 날인 15일부터 30일까지 해당 종목에 대한 거래를 정지시켰다. 지난 4월 말 발생한 ‘SG증권발 폭락 사태’ 같은 연속 하한가 사태를 막기 위한 조치였다.SG사태 당시 일부 종목은 최장 4거래일 연속 하한가를 맞았었다.증권가에서는 빚투(빚내서 투자) 비중이 높은 일부 종목이 추가로 하락할 가능성이 있다고 보고 있다. 돈을 빌려준 증권사들이 대출 손실을 최소화하기 위해 담보로 잡고 있던 주식을 매각하는 반대매매를 할 수 있기 때문이다. 종목별 신용 비중(전체 주식 중 대출을 끼고 산 주식의 비율)은 대한방직(6.48%)·동일금속(5.57%)·방림(5.37%)·동일산업(3.79%) 순이다. 신용 비중이 1.26%로 낮은 만호제강만 하한가 행렬에서 벗어난 상태다.하지만 일각에서는 검찰이 주가조작 혐의 계좌들에 대해 ‘기소 전 추징 보전’ 조치를 취했기 때문에 추가 폭락 가능성이 높지 않다는 시각도 있다. ‘기소 전 추징 보전’은 피의자가 기소 전에 범죄 수익을 처분하지 못하도록 하는 조치로, 주가조작 세력이 주식을 팔지 못하게 하는 것이다.검찰은 이번 5종목 하한가 사태와 관련, 온라인 주식카페 운영자 강모(52)씨 등 관련자들을 출국 금지하고, 강씨의 주거지를 압수 수색해 주식 거래 관련 자료를 확보했다. 강씨는 시세 조종으로 104억원 부당이득을 취한 혐의를 받고 있다. 강씨는 “소액주주 운동 차원에서 오랜 기간 주식을 사들여 왔을 뿐 시세 조종 등 주가조작에 관여하지 않았다”는 입장이다."
2023-06-16,‘5종목 하한가’ 온라인 카페 운영자 출국금지,"5개 종목 무더기 하한가 사태와 관련, 15일 서울남부지검이 시세조종 의혹을 받는 온라인 주식카페 운영자 강모(52)씨를 비롯한 관련자들을 출국금지했다.또 강씨의 주거지를 압수 수색해 주식 거래 관련 자료를 확보했다.동일산업·만호제강·대한방직·방림·동일금속 등 5종목 주가는 지난 14일 가격 제한 폭(-30%)까지 급락했다. 모두 시가총액 1000억~3000억원대 중소형주인 데다 대주주 지분율이 높아 시세 조종 대상이 되기 쉬운 공통점이 있는 종목들이다. 5종목의 거래는 투자자 보호를 위해 15일부터 무기한 정지됐다.강씨는 2012년부터 네이버의 주식카페인 B투자연구소에 이번에 폭락한 종목들을 추천하는 내용을 포함해 2000건 넘는 글을 올렸다. ‘만호제강, 최대 주주와 소수 주주가 함께 승자가 되는 법’ ‘동일금속 전년 대비 영업이익 568% 증가 공시’ 등의 글이었다.강씨는 이날 본지 통화에서 “카페 회원들과 증권사 대출을 받아 투자했는데SG증권발 주가 폭락 사태 이후 증권사들이 대출을 연장해주지 않는 바람에 회원들이 견디지 못하고 주식을 팔게 된 것”이라며 증권사들에 책임을 돌렸다. “3년 전부터 증권사 대출을 끼고 총 300억원을 투자했지만 다 날리고 빚만 100억원이 됐다. 두 딸을 비롯해 큰누나, 작은 매형, 처형까지 반대매매로 인해 깡통계좌가 됐다”고도 했다."
2023-09-13,그분 한마디에 주가 요동… 핀플루언서 ‘거품 주의보’,"개미들은 팬덤 형성해 추종… 증권사 상대 집단 행동도핀플루언서란 금융(Finance)과 인플루언서(Influencer)의 합성어로SNS상에서 주식 등 금융지식을 제공하는 유명인사를 뜻한다. /자료=민트유튜브·인스타그램 등 소셜미디어에 등장하는 인플루언서(영향력 있는 사람)들이 증권사 등 기존 금융사를 대신해 증시에 큰 영향을 미치고 있다. 코로나를 거치며 이들을 지칭하는 ‘핀플루언서’라는 신조어까지 확산됐다. ‘금융(Finance)’과 ‘인플루언서(Influencer)’를 합친 말이다.개인 투자자들은 ‘팬덤(열성 지지자 모임)’까지 형성해 가며 이들을 추종한다. 이차전지·초전도체 등 핀플루언서가 찍은 종목에는 개인 투자자들이 불나방처럼 몰리며 수백%씩 주가가 뛰기도 한다.하지만 과도한 쏠림으로 인한 주가 상승이 거품으로 이어질 수 있다는 경고가 나온다. 실제 핀플루언서의 조언에 따르면 오히려 손해를 본다는 연구 결과도 있다.그래픽=백형선주가 좌지우지하는 핀플루언서일명 ‘밧데리 아저씨’로 불리는 박순혁씨는 일부 개인 투자자 사이에서 전폭적인 지지를 받는다. 그가 지난 5월 한국거래소 공시 위반 제재를 받고 이차전지 소재 기업 금양 홍보이사직을 그만둔 후에도 그가 나서는 강연회에 인파가 운집했다. 투자자들은 “증권사는 믿을 수 없고, 박씨 추천을 따랐더니 실제 돈을 벌었다”며 그를 옹호한다. 대한투자신탁(현 하나증권) 애널리스트(증권 분석가) 출신인 박씨는 이차전지 주식 8종을 대표 종목으로 꼽았고, 이 중 에코프로는 올 들어 750% 폭등했다. 온라인상에서는 ‘이런 분이 고위 공직자면 대한민국 국력이 크게 신장되고, 대통령 선거에 출마하면 무조건 찍어주고 싶다’는 댓글까지 올라왔다.하지만 11일 박씨는 투자 일임사의 운용본부장과 이차전지 회사(금양) 임원을 겸직하면서 이차전지주를 추천한 것으로 드러나 금융감독원 조사를 받게 됐다.구독자 50만 주식 유튜버이자 개인 투자자 김정환씨도 핀플루언서로 인정받았지만 뒤로는 증시를 교란한 행위가 적발됐다. 검찰은 지난 6월 김씨가 미리 특정 종목을 몰래 사놓은 뒤 개인들을 꼬드겨 투자하게 해 58억원의 부당이득을 취했다며 불구속 기소했다. 김씨는 경제 분야 유튜브에서 구독자 수 10위권에 들었을 뿐 아니라 언론에서도 전문가로 소개돼 왔다. 범행이 알려진 후 김씨는 유튜브 동영상을 모두 내렸다.회원수 6000여 명 주식 카페 운영자 강기혁은 대주주 지분이 커서 거래가 잘 안 되는 종목을 선정해 2~3년간 주가를 꾸준히 올렸다. 그는 2012년부터 투자 카페에 2000건 넘는 글을 올리며 2020~2023년 만호제강·동일산업 등 4종목 주가를 3~4배 끌어올렸다. 하지만 검찰은 강씨가 시세조종 등을 한 것으로 보고 구속했다.한탕 꿈 좇는 개인들… 집단 행동까지주택과 코인 가격 폭등을 경험한 개인 투자자들이 ‘주식 인생 한 방’을 노리며 핀플루언서 주위로 몰려드는 바람에 이들의 입김은 더 세지고 있다. 한국예탁결제원에 따르면 최근 5년 새 증시 개인 투자자는 502만명에서 1424만명이 돼 3배 가까이로 급증했다.일부 개인 투자자는 과잉 행태까지 보인다. 이차전지 주가가 떨어지면 수익이 나는 상품이 12일 출시되자 관련 증권사 계좌 해지 운동이 벌어졌다. 한 투자자는 “국가 미래 산업 주가 하락에 돈을 거는 매국 상품 판매자다. A 증권뿐 아니라 계열 은행·보험까지 모든 계좌를 해지하는 폭탄을 던져야 한다”며 격한 반응을 보였다.지난 4월 에코프로 매도 보고서를 낸 하나증권 김모 연구원에게는 협박성 항의 전화를 쏟아붓는 것도 모자라 일부 투자자가 금감원에 민원을 넣기도 했다. 한 애널리스트는 “기업 분석은 애널리스트의 고유 영역이지만 일부 개인은 이를 존중하지 않고 ‘조리돌림’ 수준으로 비난한다”고 했다.핀플루언서 등장에 공모 펀드 시장까지 위축되면서 ‘증권사의 두뇌’로 불리는 리서치센터 애널리스트 수가 현재 1000명대로 쪼그라들었다. 애널리스트 수는 2012년 1400명을 넘기도 했다. 공모 펀드 설정액은 지난 4월 말 100조원 밑으로 내려가며 2008년(172조원)과 비교했을 때 반 토막 났다.손실로 귀결되는 경우 많아 주의핀플루언서 말만 믿고 막무가내식으로 소수 종목에 투자하는 행태는 수익률과 별 연관이 없다는 연구도 있다. 스위스금융연수원(SFI)이 낸 ‘핀플루언서들’이란 제목의 논문에 따르면, 미국의 주식 관련 소셜미디어에서 활동하는 핀플루언서 중 절반 이상(56%)의 추천 종목 월평균 수익률을 확인했더니 오히려 2.3% 손실을 본 것으로 나타났다.☞핀플루언서Finance(금융)와Influencer(인플루언서)를 합친 말로 유튜브, 인스타그램, 틱톡 등 각종 소셜미디어를 통해 주식 등 투자 관련 정보를 제공하는 유명인을 뜻한다."
2023-07-28,‘5개 종목 하한가’ 주식카페 운영자 기소,"서울남부지방검찰청 모습. /뉴스1‘5개 종목 하한가 사태’와 연루됐다는 의혹을 받는 주식 정보 카페 운영자 강모(52)씨 등 4명이 28일 재판에 넘겨졌다. 다만 검찰은 강씨 등이 시세 조종에 관여한 종목의 수를 5개가 아닌 4개로 보고 있다.이날 서울남부지검과 금융당국 합동수사팀은 동일산업·동일금속·만호제강·대한방직 등 4개 종목에 대해 시세조종 행위를 한 혐의(자본시장법 위반)를 받는 강씨 등 3명을 구속 기소하고, 1명을 불구속 기소했다.검찰에 따르면 강씨 등은 2020년 1월부터 지난 6월까지 해당 종목들의 주문을 반복하며 통정거래 등 시세조종 행위로 361억원 상당의 부당이득을 취득한 혐의를 받는다.강씨는 하한가 사태의 배경으로 지목된 네이버 주식카페의 운영자다. 그는 지난 2014~2015년 조광피혁 등 여러 종목의 시세를 조종한 혐의로 기소돼 지난해 징역 2년·집행유예 4년·벌금 4억원을 선고받은 전력이 있다."
2023-07-12,‘5종목 하한가’ 주식카페 운영자 구속,‘5개 종목 하한가 사태'와 관련해 온라인 주식정보 카페 운영자 강모 씨(앞) 등 3명이 12일 오전 양천구 서울남부지법에서 열리는 영장실질심사에 출석하고 있다. 운영자 강씨와 카페에서 함께 활동한 손모·박모씨 등 총 3명은 동일산업·동일금속·만호제강·대한방직·방림 등 5개 종목 주문을 반복하면서 통정매매 등 수법으로 주가를 띄우고 359억원의 부당이득을 취한 혐의(자본시장법 위반)를 받는다. /연합뉴스‘5개 종목 하한가 사태’와 연루됐다는 의혹을 받는 주식정보 카페 운영자 강모(52)씨 등 3명이 12일 구속됐다.서울남부지법 김지숙 영장전담 부장판사는 이날 동일산업·동일금속·만호제강·대한방직·방림 등 5개 종목에 대해 시세조종 행위를 한 혐의(자본시장법 위반)를 받는 강씨 등 3명에 대해 “도망할 염려가 있다”며 구속영장을 발부했다.검찰에 따르면 강씨 등은 2020년 1월부터 지난 5월까지 해당 종목들의 주문을 반복하며 통정거래 등 시세조종 행위로 359억원 상당의 부당이득을 취득한 혐의를 받는다.강씨는 하한가 사태의 배경으로 지목된 네이버 주식카페의 운영자다. 이 카페에서 강씨는 주가가 폭락한 5개 종목을 추천하는 등 자주 언급했다고 한다.강씨는 지난 2014년~2015년 조광피혁 등 여러 종목의 시세를 조종한 혐의로 기소돼 지난해 징역 2년·집행유예 4년·벌금 4억원을 선고받은 전력이 있다.검찰과 금융당국은 주가 폭락에 앞서 불공정 거래 여부를 주시해왔다. 하한가 사태 이튿날인 지난달 15일 강씨 사무실을 압수수색하며 강제수사에 들어갔다.
2023-07-06,"검찰, ‘5종목 하한가’ 주식카페 운영자 구속영장",서울남부지검 /뉴스1검찰이 ‘5개 종목 하한가 사태’와 연루됐다는 의혹을 받는 주식정보 카페 운영자 강모(52)씨 등에 대해 6일 구속영장을 청구했다.서울남부지검·금융위원회·금융감독원 합동수사팀은 이날 동일산업·동일금속·만호제강·대한방직·방림 등 5개 종목에 대해 시세조종 행위를 한 혐의(자본시장법 위반)를 받는 강모씨 등 3명에 대해 사전구속영장을 청구했다고 밝혔다.검찰에 따르면 강씨 등은 2020년 1월부터 지난 5월까지 해당 종목들의 주문을 반복하며 통정거래 등 시세조종 행위로 359억원 상당의 부당이득을 취득한 혐의를 받는다.강씨는 하한가 사태의 배경으로 지목된 네이버 주식카페의 운영자다. 이 카페에서 강씨는 주가가 폭락한 5개 종목을 추천하는 등 자주 언급했다고 한다.강씨는 지난 2014년~2015년 조광피혁 등 여러 종목의 시세를 조종한 혐의로 기소돼 지난해 징역 2년·집행유예 4년·벌금 4억원을 선고받은 전력이 있다.검찰과 금융당국은 주가 폭락에 앞서 불공정 거래 여부를 주시해왔다. 하한가 사태 이튿날인 지난달 15일 강씨 사무실을 압수수색하며 강제수사에 들어갔다.
2023-06-30,"‘무더기 하한가’ 동일산업 등 5종목, 다음주부터 거래 재개","금융위원회 내부 (금융위원회 제공) 2021.4.14/뉴스1최근 무더기 하한가 사태를 맞았던 동일산업 등 5개 종목에 대한 매매거래 정지가 다음주부터 풀린다.금융위원회와 한국거래소는 30일 “다음달 3일부터 동일산업, 대한방직, 만호제강, 방림, 동일금속 등 5개 종목에 대한 매매거래 정지 조치를 해제하기로 했다”고 밝혔다.지난 14일 이들 5개 종목은 장중에 갑자기 급락해 모두 하한가를 기록했고, 거래소는 다음날인 15일부터 해당 종목에 대한 거래를 정지시켰다. 지난 4월 발생한 ‘SG증권발 폭락 사태’같은 연속 하한가 사태를 막기 위한 조치였다.당시 하한가 사태 배후에 시세조종 세력이 있다는 의혹이 일었고, 이후 검찰은 이 의혹의 핵심 인물인 온라인 주식카페 운영자 강모(52)씨를 비롯한 관련자들을 출국금지했다. 또 강씨의 주거지를 압수 수색해 주식 거래 관련 자료를 확보했다.금융당국 관계자는 “향후에도 금융당국 및 한국거래소는 유관기관 간 긴밀한 협업을 통해 시장질서 교란세력에 대해 단호히 대응하는 등 투자자 보호 및 주식시장 안정을 위해 최선의 노력을 다하겠다”고 말했다."
2023-06-28,주가 폭락한 그 회사들… 증권사는 3년간 한번도 안 들여다봤다,"올해 주가 폭락 기업들 대부분 해당… 깜깜이 투자가 사태 키워국내 상장사 10곳 중 6곳 꼴로 지난 1년 동안 증권가의 애널리스트 보고서가 전무(全無)했던 것으로 나타났다. 애널리스트 보고서는 투자자 입장에서 회사의 주가가 적정한지를 판단할 수 있는 기준 역할을 한다. 상당수 투자자들이 전문가들의 분석이 없는 기업에 깜깜이 투자를 하고 있는 셈이다.지난 4월 8개 종목이 최장 나흘 연속 폭락한 ‘SG증권발 폭락 사태’나 지난 14일 발생한 ‘5종목 하한가 사태’의 피해자들도 이런 ‘정보의 공백’ 상태에서 시세조종 세력에 현혹됐을 가능성이 높다. 금융투자 업계에선 “작전 세력에 언제든 이용당할 수 있는 종목들이 도처에 지뢰처럼 깔려있다”는 말이 나온다.일러스트=백형선그래픽=백형선그래픽=백형선그래픽=백형선대형·인기 주에 쏠리는 보고서27일 금융정보업체 에프앤가이드에 따르면, 지난 1년간 국내 증권사들의 애널리스트 보고서가 1건이라도 나온 회사는 1035곳으로 전체 상장사(2598곳)의 약 40%에 그쳤다. 같은 기간 10건 이상의 보고서가 나온 곳은 362곳(14%)에 불과했다. 한 달에 한 번 정도로 현재 주가가 적정한지 체크할 수 있는 상장사가 전체의 7분의 1도 안 된다는 뜻이다.애널리스트 보고서는 삼성전자 같은 대형 주나 각 업종의 대표 종목에 쏠려 있었다. 보고서 숫자 상위 1~5위는 삼성전자(247건),LG에너지솔루션(182건),SK하이닉스(180건),LG전자(169건),LG이노텍(160건)이었다. 또 보고서 수 상위 10종목 가운데LG이노텍과 엔씨소프트를 제외한 8종목은 모두 시가총액이 10조원 이상이었다.LG이노텍과 엔씨소프트는 각각IT부품과 게임 업종의 대표 주다.반면 거래량이 작은 중소형 주들은 대체로 보고서가 적거나 아예 없었다. 최근 주가 조작의 타깃이 된 종목들이 대표적이다. 지난 14일 하한가를 맞은 5종목(동일산업·동일금속·방림·대한방직·만호제강)의 경우 주가가 오르기 시작한 2020년 초부터 3년여 동안 보고서 수가 ‘제로(0)’였다. 지난 4월 무더기 하한가를 맞은 8종목 중에서도 4종목(대성홀딩스, 세방, 선광, 다우데이타)은 최근 4년간 분석 보고서가 없었다.매도 의견은 0.07%에 불과종목 보고서엔 해당 업종을 오랫동안 분석해 온 애널리스트가 주가수익비율(PER), 주가순자산비율(PBR) 등 전문 지표를 기초로 산출한 ‘목표(적정) 주가’가 기재되고, 투자자는 이를 바탕으로 투자 여부를 판단한다. 보고서가 없는 종목은 풍문이나 소셜미디어에 도는 일방적 주장에 따라 주가가 출렁이게 된다.SG사태와 관련, 주가조작 혐의로 구속 기소된 라덕연씨는 투자 설명회에서 “핵폭탄처럼 모든 (추천) 종목이 오를 것”이라고 주장했다. 한 증시 전문가는 “주가 조작 세력이 일부러 ‘정보 부족’ 종목을 노리는 것”이라고 말했다.보고서에 기업 주가가 너무 비싸다는 ‘매도 의견’이 거의 없다는 점도 문제다. 강병원 더불어민주당 의원실 자료에 따르면, 작년 1년간 국내 증권사들이 발간한 종목 보고서 총 4329건 가운데 매도 의견을 낸 것은 3건(0.07%)에 불과했다. 회사채 발행이나 기업공개(IPO), 인수합병(M&A) 등 기업들에 금융 서비스를 제공하는 증권사들이 ‘잠재적 고객’인 기업에 불리한 보고서를 내지 않는 관행 때문이다.일부 애널리스트는 보고서를 이용해 부정한 돈을 벌기도 한다. 금융감독원 자본시장 특별사법경찰은 증권사 애널리스트 A씨의 부정거래 혐의를 수사해 기소 의견으로 검찰에 송치했다고 27일 밝혔다. A씨는 본인이 ‘매수 보고서’를 내기 전에 해당 종목 주식을 샀다가, 보고서 발간 후 주가가 오르면 파는 방식으로 5억원 넘는 부당이득을 챙긴 혐의다.모든 애널리스트들이 불법에 동조하거나 침묵하는 것은 아니다. 유진투자증권의 황성현 연구원은 작년 11월 삼천리에 대해 ‘매도 보고서’를 냈다. 당시 삼천리 주가가 약 38만원일 때 목표 주가를 3분의 1 수준인 11만원으로 대폭 낮춘 것이다. 삼천리는 지난 4월SG증권발 무더기 하한가 사태 때 주가가 폭락한 종목 중 하나다. 황 연구원은 본지 통화에서 “삼천리는 가스 유통업체로 한국가스공사와 일반 소비자 사이에서 중간 마진을 챙기는 사업이라, 성장성이 제한돼 있다”며 “당시 비합리적인 수준으로 주가가 올라 소신대로 의견을 쓴 것”이라고 했다."
