date,title,content
2024-12-28,매일유업 3인 각자 대표 체제로,매일유업은 27일 이사회에서 이인기 운영총괄과 곽정우 사업총괄을 대표이사로 새로 선임했다고 밝혔다. 매일유업은 김선희 부회장에게 신규 선임된 2명을 더해 3인 각자 대표이사 체제로 운영된다.
2024-12-16,"﻿우유에서 세척액이…매일유업, 제품 회수 이어 사과문 발표","매일유업 ﻿오리지널 멸균 200㎖ 제품에서 붉은색 액체가 나오는 모습. /온라인 커뮤니티매일유업이 16일 일부 제품에 세척수가 혼입된 일에 대해 “결코 있어서는 안 될 품질 사고가 발생했다”면서 사과했다.매일유업은 이날 웹사이트에 김선희 대표이사 부회장 명의로 올린 사과문에서 “생산 작업 중 밸브 작동 오류로 세척액이 약 1초간 혼입된 것을 확인했다”며 “이때 생산된 제품은 약 50개로, 특정 고객사 한 곳에 납품된 것을 파악했다”고 설명했다.매일유업은 문제가 발생한 날 생산된 제품 전량을 회수한다고 밝혔다. 해당 제품은 지난 9월 19일 광주공장에서 생산됐다. 현재까지 1만5000개 이상의 제품을 회수했다.매일유업은 “단 한 팩의 우유에서도 절대 일어나서는 안 될 일이었다”며 “생산 과정 관리와 품질 검수 절차가 부족했음을 깊이 반성하고 있다”고 했다. 이어 “동일한 사고를 방지하기 위해 작업 오류를 원천 차단할 수 있는 소프트웨어 시스템을 즉시 개선했다”며 “지속적으로 품질 안전관리 체계를 강화하겠다”고 약속했다.또 ‘2025년 2월 16일’ 소비기한이 표시된 매일우유 멸균 오리지널 200㎖ 미드팩 제품을 보유한 소비자는 고객센터로 연락해달라면서 “변질된 제품을 드시고 치료받거나 불편을 겪은 고객이 있다면 최선을 다하겠다”고 했다.김선희 매일유업 부회장이 16일 사과문을 냈다. /매일유업이번 일은 지난 12일 한 대기업 연구소에서 사내 급식으로 매일우유 오리지널 멸균 200㎖ 제품을 먹은 일부 직원이 복통, 냄새 이상, 변색 등을 신고하면서 벌어졌다. 이 우유에서 빨간색 액체가 나오는 영상이 온라인에서 확산하면서 불안감이 더욱 커졌다.매일유업은 원인을 파악하고자 설비, 공정 등을 점검했고 설비 세척 중 작업 실수로 일부 제품에 세척수가 혼입된 사실을 확인했다.식품의약품안전처는 16일 매일유업 광주공장에 대한 현장검사를 실시한다. 식약처는 검사 결과에 따라 매일유업에 대한 행정처분 여부를 결정할 계획이다."
2024-12-13,"매일유업, ‘멸균 200㎖' 일부 제품 회수…“세척수 혼입”",/매일유업매일유업이 13일 품질 이상이 발견된 자사 매일우유 오리지널 멸균 200㎖ 일부 제품을 자발적으로 회수하기로 했다.매일유업은 이날 홈페이지를 통해 “일부 제품에서 품질 이상이 발견돼 선제적으로 자율 회수를 결정했다”고 밝혔다.문제가 된 제품은 매일유업 광주공장에서 제조한 소비기한 2025년 2월 16일인 ‘매일우유 오리지널(멸균) 200㎖’다.이 제품은 제조 과정에서 작업 실수로 세척수가 혼입됐다. 매일유업은 다만 소비기한이 ’2025년 2월 16일’이라고 적힌 제품에서만 문제가 발견됐다며 그 외 판매되는 매일우유 오리지널(냉장) 제품은 무관하다고 했다.매일유업은 “문제가 재발되지 않도록 생산 중 모니터링을 통해 즉각 조치했다”며 “이후 동일 라인에서 생산된 제품의 품질도 확인했으나 이상이 없었다”고 했다.이어 “심려를 끼친 점에 대해 사과의 말씀을 드린다”며 “앞으로 소비자 안전과 제품의 품질 관리에 만전을 다하겠다”고 했다.
2024-10-09,"다섯 쌍둥이 출산 부부에게… 매일유업, 1년간 분유 지원","다섯 쌍둥이 아버지 김준영씨(왼쪽)에게 매일홀딩스 고정수 최고운영책임자(COO)가 분유 지원을 약속하며 기념촬영을 하고 있다. /매일유업매일유업이 지난달 국내 최초 자연 임신으로 다섯 쌍둥이를 출산한 김준영(31)·사공혜란(30)씨 부부에게 1년간 분유를 지원한다고 8일 밝혔다. 경기도 동두천시에 사는 사공씨는 지난달 20일 서울성모병원에서 아들 셋, 딸 둘을 출산했다. 자연 임신으로 다섯 쌍둥이가 태어난 건 국내에선 처음이고, 세계에서도 희귀한 일이다.매일유업은 다섯 쌍둥이의 출산을 축하하며 1년간 분유(앱솔루트 프리미엄 산양)를 지원하기로 결정했다. 앞서 윤석열 대통령이 자연산 미역과 아기 옷 다섯벌을, 지난 2021년 다섯 쌍둥이를 출산한 서혜정(33) 육군 소령은 유모차를 선물하기도 했다."
2024-08-12,"매일유업, 태권도 금메달리스트 박태준 선수에 격려금 전달","건강기능식품 ‘셀렉스’LA올림픽까지 후원하기로파리올림픽 태권도 남자 58㎏급 금메달리스트 박태준 선수와 가족에게 매일유업이 축하 격려금을 전달하고, 2028년LA올림픽까지 단백질 보충제를 지원하기로 했다. 박 선수의 부친 박옥천씨는 매일유업의 디저트 전문 회사 엠즈베이커스 직원이다. 매일유업은 박태준 선수의 올림픽 경기 출전 당일에 사내 메일로 이 소식을 전하며 함께 응원에 나섰고, 금메달 획득 소식이 전해지자 다시 한번 축하 인사를 전했다.매일유업이 파리 올림픽 태권도 남자 58kg급 금메달리스트 박태준 선수의 아버지인 박옥천(왼쪽 두 번째)씨에게 축하 격려금을 전달하고, 자사 건강기능식품 '셀렉스'를 4년간 후원하겠다고 12일 밝혔다. 박씨는 매일유업 산하 디저트 전문 업체 엠즈베이커스 직원이다. /매일유업매일유업은 12일 박옥천씨를 매일유업 본사로 초청해 축하 격려금과 함께 자사 단백질 제품 ‘셀렉스’ 지원을 약속했다. 매일유업이 박 선수에게 지원하는 제품은 단백질 음료 ‘WPI셀렉스 초콜릿 드링크’ 5000여개, 에너지바 ‘셀렉스 프로틴 너츠바’와 ‘셀렉스 프로틴 베리오트바’ 각각 5000여개, 단백질 파우더 ‘셀렉스 프로틴 락토프리 500여개 등으로, 금액으로는 총 6000만원 상당이다.이날 전달식에는 조성형 엠즈베이커스 대표 등 경영진과 임직원이 참석해 박 선수의 성과를 축하했다. 조 대표는 “박태준 선수의 놀라운 성취에 매일유업이 함께 기뻐할 수 있어 영광이다. 앞으로도 박 선수의 건강과 성장을 지원하며, 그의 미래를 응원하겠다”고 했다.박옥천씨는 “박태준 선수가 어려서부터 20년간 매일유업 분유, 우유를 먹고 자라 건강한 체력을 키우는 데 많은 도움을 받았다”며 “임직원들의 진심 어린 응원과 축하에 깊이 감사드린다”고 소감을 밝혔다."
2023-03-04,[경제계 인사] 매일유업 부회장에 김선희,"매일유업은 김선희 매일유업 대표이사 사장을 부회장으로 승진 임명했다고 3일 밝혔다. 김 부회장은 2009년 매일유업에 재경본부장으로 입사해 2014년 유가공 업계 최초 여성CEO에 올랐다. 매일유업은 “기존 사업을 성장시키고 신사업, 혁신, 해외 사업 강화를 통해 새로이 도약하기 위한 조치”라고 설명했다."
2022-01-03,뵈브클리코賞 수상 김선희 매일유업 대표 “위기 속에서 기회 찾았다”,"프랑스 유명 샴페인 브랜드 뵈브 클리코가 김선희 매일유업 대표를 ‘제3회 볼드 우먼 어워드(BoldWomanAward) 코리아’ 수상자로 선정했다고 3일 밝혔다. 이 상은 남편이 세상을 떠나고 1805년부터 회사를 크게 일궜던 마담 클리코의 정신을 기리고자 만들어졌다. 1972년부터 세계 27국에서 여성 기업인 350명에게 상을 수여했고, 한국에선 한현옥 클리오 대표, 심재명 명필름 대표가 앞서 수상했다.김선희(오른쪽) 매일유업 대표가 뵈브 클리코의 제임스 페이턴 한국 대표와 함께 샴페인 병 모양의 상패를 들고 있다. /뵈브 클리코뵈브 클리코는 “김 대표는 지난 8년간 매일유업의 파격적인 혁신을 이끌었고, 기존 우유 시장을 넘어 다양한 유제품 브랜드를 성공적으로 개발해 우유업계 흐름을 바꿨다”고 했다. 저출산으로 국내 유제품 시장이 침체하는 가운데 2018년 성인 단백질 보충 식품 ‘셀렉스’ 등을 내놓으며 변화를 주도한 점을 높이 평가한 것이다. 김 대표는 글로벌 투자은행 업계에서 일하다 2009년 매일유업에 재경본부장으로 합류했고, 2014년 대표 자리에 올랐다.시상식에 앞서 지난 15일 가진 기자간담회에서 김 대표는 “2014년CEO가 됐을 땐 마치 (미국 드라마) 지정생존자 주인공이 된 느낌이었다”고 말했다. 이 드라마는 테러로 연방 행정부 인사가 모두 사망해 불가피하게 미국 대통령직을 승계하게 된 내각 각료의 이야기를 다루고 있다.지난달 15일 김선희 매일유업 대표가 ‘제3회 볼드 우먼 어워드 코리아’ 시상식에 앞서 기자간담회를 하고 있다. /뵈브 클리코김 대표가 합류한 시기 매일유업은 실적 정체와 식품 안정성 논란 등 각종 악재를 겪고 있었다. 그는 “회사가 중소기업에서 중견기업으로 커지면서 여러 가지 성장통을 겪는 시기였다”며 “큰 포부보다는 소박하게 ‘식품 회사의 안정적인 성장을 이끌 시스템을 만들어야겠다’는 생각만 했다”고 말했다.출산율 감소로 국내 유가공 제품 수요가 줄고, 글로벌 국가들과 맺은FTA로 인해 시장은 개방되고 있다. 분유나 흰 우유만으로 회사의 성장을 담보하기 어려워진 상황에서 김 대표는 다른 곳으로 눈을 돌렸다. 성인용 단백질 제품 ‘셀렉스’,우유 대체 음료인 ‘아몬드 브리즈’ 등이 그렇게 탄생했다. 김 대표는 “새로운 일을 한다는 건 구성원 모두에게 두려운 일이었지만 여러 위기와 위협 속에서 기회를 찾았다”고 했다. 유통기한이 긴 멸균 유제품 상품을 강화하고, 온라인 중심으로 유통을 전환한 것도 김 대표의 성과로 꼽힌다.국내 유업계 최초의 여성 최고경영자인 그는 “이전에 일했던 글로벌 투자은행은 ‘젠더’보다 ‘퍼포먼스’가 더 중요한 곳이었다”며 “매일유업에 합류한 후 이전엔 크게 고민해보지 않았던 여성 리더십에 대해 많은 생각을 하게 됐다”고 했다. 그는 취임 후 조직 문화를 정비하고, 탄력 근무제, 육아기 근로시간 단축제 등 가족친화적 제도를 강화했다.(사진 왼쪽부터) 심재명 명필름 대표, 김선희 매일유업 대표, 한현옥 클리오 대표. /뵈브 클리코김 대표는 “회사에서 성공하거나 교육을 받는 데 있어 젠더 차이로 불이익을 받아서는 안된다고 생각했다”며 “이런 최고경영진의 생각에 부합하는, 열심히 뛰는 여자 후배들이 많이 나왔다”고 했다. 현재 구매팀장,CS팀장 등 중요 직책을 여성이 맡고 있다. 김 대표는 다만 “(여성 리더십에 대해) 어떤 수치나 타이틀을 목표로 두고 가진 않는다”며 “열정이 있다면 여성이든 남성이든, 주니어든 시니어든 모두 기회를 반드시 줘야 한다”고 했다.김 대표는 지난해 3월SK의 사외이사로 합류했다. 대기업에서 다양성을 추구하기 위해 여성 사외이사를 영입하고 있는 만큼, 여성 기업인으로서 자신이 해야 할 역할이 있다고 봤다.SK그룹의 지주사인SK㈜가 투자에 큰 관심을 두고 있는 만큼, 금융업계에서 일했던 전문성을 살리기에도 적합하다고 생각했다. 그는 “회사를 위해, 좀 더 큰 흐름을 보기 위해 합류한 측면도 있다”며 “예상보다도 더 많은 일을 하고 있어 주경야독하는 중”이라고 웃으며 말했다."
2022-01-04,"매일유업 김선희 대표, 뵈브 클리코賞 수상","프랑스 유명 샴페인 브랜드 뵈브 클리코가 김선희 매일유업 대표를 ‘제3회 볼드 우먼 어워드(BoldWomanAward) 코리아’ 수상자로 선정했다고 3일 밝혔다. 이 상은 남편이 세상을 떠나고 1805년부터 샴페인 회사를 일궜던 마담 클리코 퐁사르댕의 정신을 기리고자 만들어졌다. 1972년부터 세계 27국에서 여성 기업인 350명에게 상을 수여했고, 한국에선 한현옥 클리오 대표, 심재명 명필름 대표가 앞서 수상했다.뵈브 클리코는 “김 대표는 지난 8년간 매일유업의 파격적인 혁신을 이끌었고, 기존 우유 시장을 넘어 다양한 유제품 브랜드를 성공적으로 개발해 우유업계 흐름을 바꿨다”고 했다.저출산으로 국내 유제품 시장이 침체하는 가운데 매일유업은 2018년 성인 단백질 식품 ‘셀렉스’를 내놓으며 변화를 꾀했다. 김 대표는 “새로운 일을 한다는 건 구성원 모두에게 두려운 일이었지만 위기 속에서 기회를 찾았다”며 “앞으로는 뛰어난 여성 후배가 많아져 이 상의 후보자를 뽑는 것 자체가 힘들어지는 세상이 올 것이라고 생각한다”고 말했다."
2024-12-27,[우리 아기가 태어났어요] 조교운·안성진 딸 아린 외,[아이가 행복입니다]온 가족에게 기쁨을 안겨 준 아기의 탄생을 알려주세요. 홈페이지 주소 입력창에 아가야안녕.com이라고 입력하면 됩니다. 매일유업 육아 정보 사이트 매일아이(maeili.com)를 통해서도 접속할 수 있습니다. 추첨을 통해 출산 소식과 사진이 지면에 실린 가족에게는 ①케이크 구매권 ②엄마와 아기 영양을 챙겨줄 매일유업 ‘탄생 축하 선물’ ③출산 소식을 생일 날짜 본지 1면에 담은PDF파일 ④조선일보 1개월 무료 구독권을 드립니다. 당첨자 중 한 가족을 선정하여 해당 지면을 고급 프레임에 담아 제공하는 ‘조선일보 리프린트’도 제작해 드립니다. 홈페이지에서는 균형 영양식 메디웰 2만원 할인 혜택도 드리고 있습니다.
2024-12-13,[우리 아기가 태어났어요] 소성경·박영민 아들 노아 외,[아이가 행복입니다]온 가족에게 기쁨을 안겨 준 아기의 탄생을 알려주세요. 홈페이지 주소 입력창에 아가야안녕.com이라고 입력하면 됩니다. 매일유업 육아 정보 사이트 매일아이(maeili.com)를 통해서도 접속할 수 있습니다. 추첨을 통해 출산 소식과 사진이 지면에 실린 가족에게는 ①케이크 구매권 ②엄마와 아기 영양을 챙겨줄 매일유업 ‘탄생 축하 선물’ ③출산 소식을 생일 날짜 본지 1면에 담은PDF파일 ④조선일보 1개월 무료 구독 체험권을 드립니다. 당첨자 중 한 가족을 선정하여 해당 지면을 고급 프레임에 담아 제공하는 ‘조선일보 리프린트’도 제작해 드립니다. 홈페이지에서는 균형 영양식 메디웰 2만원 할인 혜택도 드리고 있습니다.
