date,title,content
2024-12-19,"檢, ‘신주인수권부사채 부정거래’ 메리츠증권 압수수색",서울 여의도 메리츠증권 본사. /뉴스1서울중앙지검 조세범죄조사부(부장 이진용)는 19일 임직원의 자본시장법 위반 혐의로 서울 영등포구의 메리츠증권 본점을 압수수색했다고 밝혔다.검찰은 메리츠증권 임직원이 이그룹(옛 이화그룹)의 신주인수권부사채(BW) 발행 및 매각과 관련해 부정거래행위를 한 정황을 포착해 수사 중이다.이그룹 계열사인 이화전기·이아이디·이트론은 2021년 메리츠증권을 상대로 1700억원 상당의BW를 발행했다. 김영준 이그룹 회장은 당시 이화전기 등이 메리츠증권에 담보를 제공했는데도 무담보로 사채를 발행한 것처럼 허위 공시한 혐의(자본시장법 위반) 등으로 지난 9월 13일 구속 기소됐다.검찰은 메리츠증권이 미공개 정보를 이용해 이화전기 등 이그룹 계열사의BW와 신주인수권을 행사한 주식을 매도했는지도 수사 중이다.
2024-12-20,"대신증권, 10번째 ‘종투사’로 지정될 듯","대신증권이 종합금융투자사(종투사) 지정을 눈앞에 뒀다.금융위원회 증권선물위원회는 지난 18일 제22차 회의에서 대신증권의 종투사 지정 안건을 통과시켰다. 오는 24일 금융위에서 최종 의결하면 모든 절차는 마무리되고, 대신증권은 10번째 종투사로 이름을 올리게 된다.종투사란, 중소기업 창업과 성장을 지원하고 기업의 해외 프로젝트 수행 시 종합적 금융 서비스 제공하기를 목표로 대형 증권사를 투자은행(IB)으로 육성한다는 취지로 마련한 제도다.자본시장법에 따르면 종투사는 3조원 이상의 자기자본 요건을 갖춘 증권사가 금융위에 지정 신청하면, 금융위는 신용 공여 업무 수행에 따른 위험 관리 능력, 내부 통제 기준 등 내용을 검토해 지정 여부를 결정한다.종투사가 되면 신용 공여 한도가 자기자본의 100%에서 200%로 늘어나고, 헤지펀드에 자금을 대출하는 프라임브로커리지 서비스도 할 수 있게 되는 등 영업 여건이 크게 좋아진다.금융 당국의 종투사 지정은 지난 2022년 키움증권 이후 2년 만이다. 현재 종투사는 미래에셋증권, 한국투자증권,NH투자증권, 삼성증권,KB증권, 메리츠증권, 하나증권, 신한투자증권, 키움증권 등 9곳이다."
2024-11-27,"메리츠증권, 2년간 주식 거래 수수료 안 받는다","메리츠증권이 2026년 말까지 2년여간 일부 계좌 이용자들에게 국내·미국 주식 거래 수수료와 달러 환전 수수료를 무료화한다.26일 메리츠증권은 지난 18일부터 2026년 말까지 자사의 ‘수퍼365계좌’ 이용자에게 국내·미국 주식 수수료, 달러 환전 수수료를 받지 않기로 했다고 밝혔다. 기존에는 국내 주식은 0.009%, 미국 주식은 0.07%의 거래 수수료를 적용했다. 기존 달러 환전 수수료 우대율은 95%였다. 또 메리츠증권은 미국 주식을 매도할 때 내야 하는 미국 증권거래위원회(SEC) 수수료 0.0008%와 한국거래소·예탁결제원 수수료 0.0036396% 등도 증권사에서 부담하기로 했다.메리츠증권 측은 해당 계좌를 이용하는 기존 고객, 신규 계좌 개설 고객 모두에게 이 같은 혜택이 적용된다고 했다. 증권가에서는 “해외 주식 수수료 수입 비중이 낮은 메리츠증권이 개인 투자자(리테일) 영역을 강화하기 위해 선제적인 변화에 나섰다”는 반응이 나온다. 메리츠증권 관계자는 “지난 18일 이벤트를 시작한 이후 일 평균 개인 투자자들의 신규 계좌 개설 건수가 20배 정도 늘어났다”며 “투자자 입장에서는 거래 비용이 줄면 수익이 그만큼 커지는 효과가 있다”고 했다."
2024-12-28,신세계·알리바바 제휴에 ‘싸늘’…이마트 주가 10% 급락,"외국인 투자자들 429억 순매도증권가 “中 자본에 소비자 반감…뚜렷한 시너지 효과 예측 어려워""이마트 주가가 27일 6만8100원에 마감했다. 이날 코스피는 전날 대비 1.02% 하락했는데, 이마트 주가는 전날 종가(7만5500원) 대비 9.8% 떨어졌다. 이날 외국인 투자자들은 이마트 주식 429억원어치를 순매도(매도가 매수보다 많은 것)했다. 전날 장 마감 후 신세계그룹이 전격적으로 중국 알리바바 인터내셔널과 이커머스 합작 법인을 만드는 등 전략적 동맹을 맺는다는 발표를 했는데, 시장이 부정적인 반응을 보였다는 분석이 나온다. 일부 증권사도 우려 섞인 보고서를 내놓았다.상승세 꺾인 이마트 주가그래픽=김하경이마트 주가는 지난 19일부터 4거래일 연속 상승했다. 신세계그룹 정용진 회장이 국내 인사 중 처음으로 미국 도널드 트럼프 대통령 당선인과 식사하고 대화를 나눴다는 소식 등이 호재로 작용했다. 하지만 26일 장 마감 후 신세계그룹이 “알리바바와 전략적 파트너십을 구축하기로 했다”고 발표하면서 7만원대까지 올랐던 주가가 6만원대로 주저앉았다. 신세계그룹이 실적 부진이 계속되고 있는 G마켓을 떼어내 알리바바와 만드는 합작 법인 밑에 넣기로 했는데, ‘몸통’인 이마트 주가가 떨어지는 상황이 벌어진 것이다. 이마트 주식 토론방에서는 “‘멸공’을 외쳤던 이마트가 중국과 손을 잡았다” “트럼프 만나고 와서 뜬금없이 중국과 협력하겠다는 건 어떻게 봐야 하느냐” 등의 반응도 쏟아졌다.증권가에서도 중국 기업과의 협업에 대해 부정적인 분석이 나왔다. 한화투자증권 이진협 연구원은 “중국 자본에 대한 국내 소비자들의 반감이 형성될 수 있어 이마트에 부담으로 작용할 가능성도 있다”며 “특히 중국으로의 개인 정보 유출 가능성에 대해서 민감할 수 있기 때문에 향후 소비자들에게 안전성에 대한 충분한 설득 과정을 거칠 필요가 있다”고 분석했다. 개인정보보호위원회는 지난 7월 알리익스프레스가 보호 조치 없이 해외 판매 업체 18만여 곳에 한국 고객의 정보를 제공했다며 알리익스프레스 모회사 알리바바닷컴에 과징금 19억7800만원 부과를 의결하기도 했다. 신세계그룹 측은 “G마켓은 현재와 마찬가지로 독립적으로 플랫폼을 운영해 개인 정보가 유출될 수 없다”고 말했다.시너지로 작용할까신세계그룹은 알리바바와의 합작 법인에 G마켓을 현물로 출자한다. 알리바바는 알리익스프레스 코리아 지분과 현금 3000억원을 출자하는 것으로 알려졌다. 시장에서는 두 회사의 합작사가 수년 내에 기업공개(IPO)에 나설 가능성도 거론된다. 신세계그룹 관계자는 “IPO계획은 구체적으로 결정된 게 없다”고 밝혔다.리테일 분석 서비스 와이즈앱·리테일·굿즈에 따르면 11월 기준 국내 종합 몰 앱 이용자 순위는 쿠팡, 알리익스프레스, 11번가, 테무, G마켓 순이었다. 쿠팡의 사실상 독주가 계속되고 있는 상황에서 G마켓과 알리익스프레스는 협업을 통한 시너지를 기대하고 있다. 한국 시장에서 세를 확대하려는 알리바바는 G마켓의 검증된 판매자들을 활용할 수 있다는 점을 기대할 수 있다. G마켓은 알리바바의 글로벌 네트워크를 통해 투자 유치를 하고 판매자들의 판로를 확장할 수 있을 것으로 보고 있다. G마켓 정형권 대표는 알리바바와의 협력이 공표된 직후 사내 공지를 통해 “시장 변화에 더 적극적으로 대처하고 선도 기업으로서 주도권을 확보하고자 이번 합작 법인 설립을 결정했다”고 설명했다.두 회사의 협력이 실제 시너지로 작용할지에 대해선 엇갈린 분석이 나왔다. 한국투자증권 김명주 연구원은 “뚜렷한 전략 방향성이 없던 G마켓이 전략 파트너를 확보한 것은 긍정적이지만 합작 법인 설립을 통한 뚜렷한 시너지를 예측하기 어렵다”며 “시너지 전략의 구체화가 필요하다”고 지적했다. 메리츠증권 오정하 연구원은 “G마켓은 국내 소비자의 신뢰를 확보하고 있고, 알리는 자본력을 갖췄다는 점에서 양 사 시너지가 기대된다”는 분석을 내놨다.이날 이마트 주가가 하락한 것과 달리CJ대한통운은 ‘신세계그룹-알리바바 협력 수혜주’로 꼽히며 주가가 5.54% 상승했다.CJ대한통운은 지난 9월부터 G마켓의 도착일 보장 배송 서비스를 전담하고 있다. 여기에 더해CJ대한통운은 알리익스프레스의 한국 택배 물량 약 80%를 처리하고 있다."
2024-02-01,"검찰, '내부 정보 이용 전환사채 투자 의혹' 메리츠증권 前임원 소환","메리츠증권 직원들이 사모 전환사채(CB) 투자자 주선 과정에서 내부 정보를 이용해 사익을 추구했다는 의혹을 수사하는 검찰이 1일 전직 메리츠증권 임원을 소환한 것으로 전해졌다.서울중앙지검. /뉴스1서울중앙지검 조세범죄조사부(부장 박현규)는 이날 오전 메리츠증권 전직 상무보 박모씨를 자본시장법 위반 혐의의 피의자 신분으로 불러 조사 중이라고 한다.검찰은 박씨 등 전현직 메리츠증권 임직원 6명이 직무 정보를 사적으로 이용해 전환사채(CB) 투자에 활용했다고 의심하고 수사 중이다.금융감독원은 작년 10월 기획검사 결과, 메리츠증권 기업금융(IB) 본부 임직원이 사모CB투자자 주선 등의 과정에서 얻은 정보를 이용해 본인과 가족 자금으로 해당CB에 투자했다는 정황을 포착해 검찰에 통보했다. 이 과정에서 수십억원의 수익을 얻었다는 것이다.금감원 통보로 수사에 착수한 검찰은 지난해 11월 메리츠증권 본사 등을 압수 수색한 바 있다."
2024-09-29,"메리츠증권, 고려아연 백기사되나...국민연금 역할론도","영풍·사모펀드MBK와 고려아연 경영진의 경영권 분쟁이 점차 격화하는 가운데 메리츠증권이 최윤범 고려아연 회장의 백기사로 나설 수 있다는 관측이 제기되고 있다. 일각에서는MBK의 주요 투자자이자, 고려아연 지분을 7.8%를 들고 있는 ‘국민연금의 역할론’도 불거지고 있다.◇메리츠증권, 고려아연 백기사 되나29일 투자은행(IB) 업계에 따르면, 최 회장은 최근 메리츠증권에 3000억원의 자금 지원을 요청했다. 최 회장이 고려아연 경영권을 방어하기 위해선 약 6%의 지분이 추가로 필요한데, 영풍·MBK측이 제시한 공개매수 가격 75만원을 기준으로 하면 약 1조원가량의 자금이 필요하기 때문이다. 최 회장 측은 실탄 확보를 위해 메리츠증권 외에도 베인 캐피털,KKR등 다수의 사모펀드들과 접촉 중이다.현재 영풍·MBK측은 고려아연 경영권을 가져오기 위해 현재 공개매수를 진행 중이다. 영풍·MBK측이 보유한 고려아연 지분은 현재 33.13%로 공개매수를 통해 지분 7~14.6%를 추가로 매수할 계획이다. 최 회장 측 역시 영풍·MBK의 공개매수에 대항한 공개매수를 검토 중인 것으로 알려졌다.◇국민연금 역할론 부상이런 상황에서 ‘국민연금의 역할론’이 부상하고 있다. 현재 국민연금은 고려아연의 지분 7.8%를 갖고 있다. 업계에서는LG화학, 현대차, 한화그룹 등 친 최 회장 지분을 34% 정도로 평가한다. 여기에 국민연금이 가세하면 40%가 넘어가는 것이다. 과반은 아니지만, 어느 정도 영향력은 행사할 수 있는 지분이다.뿐만 아니라, 현재MBK자금에서 국내 자본은 대부분이 국민연금인 것으로 알려졌다. 한IB업계 관계자는 “현재MBK한국 자본중 대부분이 국민연금인 것으로 알려졌다”며 “그 외MBK자금 대부분은 미국·유럽·중동 기관 자금이고, 중국 자금이 5% 정도”라고 말했다.현재 국민연금은 올해 상반기 1조5500억원 규모의 사모펀드 위탁운용사로MBK를 선정하기도 했는데, 이를 두고도 국회에서는 시끄럽다. 박희승 더불어민주당 의원은 “올해 국감에서 국민연금의MBK파트너스 위탁운용사 선정 과정과MBK파트너스의 잇따른 논란이ESG원칙에 문제가 없는지 집중적으로 따져볼 것”이라고 말했다.IB업계 관계자는 “어쨌든MBK에게 한 마디 할 수 있는 건 국내에는 국민연금 밖에 없을 것”이라고 말했다."
2024-08-14,‘직원 통해 1186억 부동산 대출’ 메리츠증권 전 임원 불구속 기소,지난 1월 30일 서울 여의도 메리츠증권 본사 모습. /뉴스1직원들끼리 대출을 알선해주고 대가를 주고받은 혐의를 받는 메리츠증권 전 임직원이 재판에 넘겨졌다.14일 법조계에 따르면 서울중앙지검 조세범죄조사부(부장 이진용)는 특정경제범죄가중처벌법상 증재·횡령 혐의로 메리츠증권 임원을 지낸 박모씨를 최근 불구속 기소했다. 박씨에게 대출을 알선해주고 거액을 받은 직원 김모씨와 이모씨는 특경가법상 수재 혐의로 재판에 넘겨졌다.박씨는 2014년 10월부터 2017년 9월까지 부동산 매입 자금을 마련하기 위해 김씨와 이씨를 통해 5차례 걸쳐 부동산 매입용 자금 1186억원을 대출받고 두 사람에게 대가를 건넨 혐의를 받고 있다. 박씨는 업무를 하면서 알게 된 부동산 프로젝트파이낸싱(PF) 정보를 이용한 부동산 투자 수익을 내기 위해 가족 법인 명의로 부동산 11건을 900억원에 취득·임대한 것으로 조사됐다. 김씨와 이씨는 A사에서 월급이나 퇴직금 명목으로 각각 4억6000만원과 3억8000만원을 받았다.검찰은 금융감독원의 수사 의뢰를 받고 지난 1월 서울 여의도 메리츠증권 본점과 박씨 거주지 등을 압수수색했다. 지난 5월 22일 박씨 등의 구속영장을 청구했지만 법원이 기각했다. 신영희 서울중앙지법 영장전담 부장판사는 “주요 범죄 혐의에 관해 다퉈볼 여지가 있어 방어권 보장의 필요성이 있고 증거를 인멸할 염려가 있다고 보기 부족하다”고 밝혔다.
2024-10-30,직무 정보 이용해 사익 챙긴 증권사 임직원...8명 재판행,"업무상 알게 된 정보를 이용해 사익을 취한 전직 증권사 임직원들이 무더기로 재판에 넘겨졌다.서울중앙지검 조세범죄조사부(부장 이진용)는 증권사 임직원의 직무정보이용 범행을 수사해 30일까지 전직 메리츠증권 임직원 7명과 다올투자증권 직원 1명을 불구속 상태로 재판에 넘겼다고 밝혔다. 검찰은 메리츠증권 임원 A씨를 지난 7월 먼저 기소했고, 나머지 7명을 직무정보이용 혐의로 이날 불구속 기소했다.서울 서초구 서울중앙지검 전경. /뉴스1A씨는 직무 중 알게 된 부동산 매각 정보를 이용해 부동산을 취득하고, 이 과정에서 부하 직원들에게 대출 알선을 청탁하고 그 대가로 금품을 건넨 혐의를 받았다.A씨는 부하 직원들의 알선으로 금융사들에게 총 1186억원을 대출받았고, 이를 바탕으로 11건의 부동산을 취득해 차익과 임대료로 총 245억원을 벌었다. 그는 부하 직원 B씨와 C씨의 가족을 자신의 회사 직원으로 허위 등재하고 월급을 주는 방법으로 두 사람에게 알선 대가 8억5000만원을 제공했다. 검찰은 다만 A씨의 직무정보이용 범행은 공소시효가 완성돼 기소하지 않았다고 밝혔다. B씨와 C씨도 A씨에게 억대 금품을 받은 혐의 등으로 재판에 넘겨졌다.B씨와 C씨 등 5명은 2019년 3월 코스닥 상장사의 전환사채(CB) 발행을 주선하면서 알게 된 정보를 이용해 억대 이익을 낸 혐의 등도 받는다. 이들은 지인인 회계사 명의로 특수목적법인(SPC)을 설립, 가족 등이 해당SPC에 투자하게 하고SPC명의로CB25억원을 인수했다. 이후CB를 주식으로 전환해 처분해 이자 및 전환차익으로 총 9억9000만원의 이익을 취했다고 한다.이들은 2022년 9월에도 같은 수법으로CB40억원을 인수해 이자 명목으로 3억9000만원을 벌었다.D씨와 E씨는 다른 코스닥 상장사의CB150억원을 인수하면서 얻은 정보로 그중 30억원을 D씨가 보유한 자산운영사에 매각하도록 해 운영 보수를 취득했다. 또 30억원 중 6억원에 대한 콜옵션을 지인 명의로 취득해 행사함으로써 700만원을 벌었다.앞서 금융감독원은 2023년 10월~12월 다올투자증권, 메리츠증권,LS증권, 하이투자증권, 현대차증권 등 5개 증권사를 상대로 기획검사를 실시해 이들 증권사 모두에서 불법 관행을 적발, 검찰에 통보·고발했다.사건을 넘겨받은 검찰은 1년간 수사 끝에 메리츠증권, 디올투자증권 임직원 8명을 기소했다.LS증권 임직원의 범행은 서울중앙지검 반부패수사3부(부장 이승학)가 수사 중이다.검찰은 “공신력 있는 대형 증권사 임직원들이 대출 알선 대가로 억대 금품을 수수하고, 직무상 얻게 된 정보를 이용해 다양한 방법으로 사익을 취하는 등 심각한 모럴 헤저드 사례를 확인했다”면서 “이번 수사로 인해 재발방지 및 임직원의 위법행위 근절을 위한 증권사의 내부통제제도 강화 필요성이 대두됐다”고 했다. 이어 “향후에도 금융기관 임직원들의 불법행위에 대해 법과 원칙에 따라 계속 엄정하게 대응해 자본시장 신뢰회복을 위한 수사를 해나갈 것”이라고 밝혔다."
2024-05-22,"檢, ‘부동산 PF 내부정보 거래’ 前 메리츠증권 임‧직원 구속영장 청구","검찰이 미공개 부동산 정보를 이용해 차익을 얻은 전직 메리츠증권 임‧직원들에 대한 구속영장을 22일 청구했다.서울중앙지검 청사 전경./조선DB서울중앙지검 조세범죄조사부(부장 박현규)는 22일 특정경제범죄가중처벌법상 수‧증재 혐의를 받는 전 메리츠증권 임원 박모씨, 전 직원 김모씨, 이모씨 등 3명에 대해 구속영장을 청구했다고 밝혔다. 지난 1월 서울 여의도에 있는 메리츠증권 본점, 박씨의 주거지 등을 압수 수색한지 4개월 만이다.박씨는 직무와 관련해 부동산 프로젝트파이낸싱(PF) 정보를 이용해 부동산을 사들이고, 이 과정에서 부하 직원들에게 거래 자금을 마련하기 위해 대출 알선을 청탁하는 등 혐의를 받는다. 이 과정에서 대가를 주고 받은 것으로 전해진다.부하 직원인 김씨와 이씨는 2014년 10월~2017년 9월까지 박 씨로부터 부동산 담보 대출 알선 청탁 대가로 각각 4억6000만원과 3억8000만원 상당의 뇌물을 수수한 것으로 알려졌다.금융감독원은 작년 10~12월 사이 5개 증권사의 부동산PF기획 검사를 실시한 뒤 이 사건과 같은 임‧직원 사익 추구 정황을 포착해 검찰에 수사를 의뢰한 바 있다."
2024-01-30,검찰 ‘임직원끼리 대출 알선’ 의혹 메리츠증권 압수수색,"메리츠증권 임원이 부동산 미공개 정보를 이용해 100억원 상당의 매매 차익을 얻은 의혹과 관련해 검찰이 강제수사에 나섰다. 사진은 30일 압수수색 중인 서울 여의도 메리츠증권 본사 모습. /뉴스1메리츠증권 임직원이 직무정보를 이용해 부동산을 취득하는 과정에서 서로 대출을 알선해주고 대가를 주고받은 의혹과 관련해 검찰이 압수수색에 나섰다.서울중앙지검 조세범죄조사부(부장 박현규)는 30일 오전 서울 여의도 메리츠증권 본점과 임원 박모씨·직원 2명의 거주지 등 총 6곳에 검사와 수사관을 보내 압수수색하고 전산 자료와 각종 서류, 장부 등을 확보했다.박씨는 2014년부터 2015년 초까지 직원 2명을 통해 다른 금융기관의 대출을 알선받고 이에 따른 대가를 건넨 혐의(특정경제범죄 가중처벌법상 증재)를 받는다. 박씨에게 대출을 알선해 주고 대가를 받은 직원들은 특경법상 수재 혐의가 적용됐다.박씨는 직무와 관련된 부동산 프로젝트파이낸싱(PF) 정보를 이용해 가족 법인 A사를 통해 900억원 상당의 부동산 11건을 취득·임대한 것으로 조사됐다. 이후 3건을 처분에 100억원 상당의 매매차익을 얻었다는 의혹을 받고 있다.검찰은 박씨가 부동산 취득 자금을 마련하기 위해 회사 직원 2명에게 다른 금융기관에 대출을 알선해달라고 청탁했다고 보고 있다.직원들은 대출 알선 대가로 금품을 받았다는 의심을 받는다. 검찰은 직원들의 가족이 A사를 통해 급여를 지급받는 방식으로 금품을 받았다고 보고 있다."
