date,title,content
2024-10-17,"CNH, 거액 대출 연체… 중소형 캐피털社 부실 우려","자금 빌려준 카드사 등 긴장한 중소 캐피탈사에서 부동산 프로젝트파이낸싱(PF) 등의 부실 여파로 대규모로 대출 연체가 발생하자 캐피털사·카드사 등이 긴장하고 있다.16일 금융권에 따르면 중소형 캐피털사인CNH캐피탈이 카드사·캐피탈사 등 여신금융전문사와 시중은행에서 1500억원가량 대출을 받은 후 대규모 연체를 했다. 이 업체의 차입금은 2월 말 기준으로 1572억원이다. 빌려준 곳은 농심캐피탈 307억원, 신한카드 275억원, 메리츠캐피탈 207억원, 롯데카드 196억원,BNK캐피탈 111억원, 산업은행 65억원, 우리은행 25억원,NH농협은행 22억원 등이다. 다만 전체 대출을 모두 연체한 것은 아니고, 일부만 부실화된 것으로 알려졌다.업계에선 캐피털사에서 발생한 부실이 자신들이 빌린 대출까지 연체할 정도로 커진 것 아니냐는 우려가 나온다. 해당 업체는 리스와 할부금융 등을 취급하는 데 경영이 악화하며 부실이 발생한 것으로 알려졌다. 다른 금융사로 부실이 번질 우려도 나온다. 앞서 4일 신한카드는 해당 대출 관련 부실 채권이 206억6200만원 규모로 발생했다고 공시하기도 했다. 신한카드 관계자는 “채권 회수를 진행하고 있으며 현재 70억원 정도 남았다. 회수 가능성이 높다고 판단해 계속 협의 중”이라고 했다.상반기 말 캐피털사 51곳 중 연체율이 10% 넘는 곳이 10곳에 달하고, 연체율 30%가 넘는 곳도 4곳이다. 중소형 캐피털사 위주로 부동산PF에 돈을 대줬다가 건설 침체 등으로 원리금을 제대로 못 받는 곳이 많기 때문이다. 다만 금융감독원은 일부 중소형 캐피털사 위주로 자산 건전성이 악화하는 곳이 있지만, 6월 말 전체 캐피털사 연체율은 1분기보다 소폭 하락했다고 했다."
2024-08-30,[부음] 김윤식씨 별세 외,"▲김윤식별세,김학수전북지방변호사회 회장 부친상=28일22시28분 전주 효자장례타운, 발인 31일8시30분, (063)228-4441▲김태영경북대 사회복지학과 명예교수 별세,정추자남편상,김선엽·김정엽·김정화·김정섭메리츠캐피탈 영업1본부장 상무 부친상=28일18시41분 대구 영남대병원, 발인 31일8시30분, (053)620-4241"
2024-02-13,[부음] 박연죽씨 별세 외,"▲박연죽별세,배진숙·배성수·배준수메리츠캐피탈 부사장 모친상,안지환장모상,강유정·김지연시모상=11일16시20분 서울성모병원, 발인 14일5시50분, (02)-2258-5940▲박호정고려대 식품자원경제학과 교수 별세,김현경아들상,김송희남편상,박재윤·박재영부친상=11일2시40분 순천향대병원, 발인 13일8시40분, (02)792-1656▲유성규세계전통시인협회 회장 별세,원소인남편상,유민정·유신정·유호정·유소연부친상,이상준·이장균·노창현·최운찬장인상=8일12시33분 서울성모병원, 14일8시, (02)2258-2940▲이종전前 경향신문 논설위원 별세,박계옥남편상,이승우강릉원주대 건설환경공학과 교수·이선우·이윤우부친상,전흥재연세대 기계공학부 교수·백성욱세종대 소프트웨어학과 교수 장인상,이지은시부상,이상민·이상진조부상,전지현·전범준·백유빈·백채빈외조부상=10일16시52분 삼성서울병원, 발인 13일9시, (02)3410-6915▲이찬인前 한화투자증권 사장 별세,이정순남편상,이영숙·이용석前 연세대 전기전자공학과 교수·이영희부친상,조의열미국 미시간주 정신과 의사·김병로前 명지대 부총장·정혁진사업 장인상=10일10시 신촌세브란스병원, 발인 13일8시, (02)2227-7556▲전달선별세,정용진·정용운·정용원KG모빌리티 대표·정화순·정경희모친상,김복규·이종순장모상,이숙희·김경랑·최성미시모상=12일9시 수원중앙병원, 발인 14일11시, (031)231-8888"
2022-12-24,[경제계 인사] 농협은행 외,▲농협은행▷행장 이석용▲농협생명▷대표 윤해진▲농협캐피탈▷대표 서옥원▲NH벤처투자▷대표 김현진▲메리츠화재◇부사장 승진▷김경환◇전무 승진▷홍경표◇상무 승진▷김근영 김승욱 명재열 신동욱 이국진 이용혁 임성환◇상무보▷김정진 박호경 양정용 정학수 최원준▲메리츠캐피탈◇상무보▷ 김경태▲메리츠금융지주◇상무 승진▷최연묵▲우리금융지주▷본부장 곽성민▲우리은행▷본부장 안재설 김동희 이해광 정재훈 문형도 박수영 강기중 민복기 김상철 박영하 손형주 신재철 구자민 이재영 김선 김호상 양동혁 정동일 조진오 김홍주(캄보디아우리은행 법인장) 이정미 전현기 강동원 김지일 이상민 조한래
2022-10-06,[단독] ‘다달이 이자주는’ 채권 열풍… 금융지주도 뛰어들었다,"카드·캐피털 이어… 우리금융지주 3000억원 발행 앞둬서울 중구 우리금융그룹 본사. /우리금융그룹 제공신용등급AAA로 초우량급인 우리금융지주가 국내 금융지주사 중 처음으로 ‘월이자 지급식’ 채권 발행에 나선다. 카드·캐피털사 등 더블A급(AA) 여신 전문 금융회사들이 올해 하반기 들어 매달 이자를 지급하는 채권을 잇따라 발행했는데, 트리플A급인 은행권으로까지 확산된 것이다.주식시장 하락세 속에 개인 투자자들이 안전 자산인 채권으로 몰리면서 월이자 지급식 채권이 큰 인기를 끌고 있다. 5일 투자은행(IB) 업계에 따르면, 우리금융은 18일 월이자지급식 신종자본증권 발행을 위해 기관투자자들을 대상으로 수요 예측을 진행한다. 3000억원 규모로 발행될 예정인 우리금융지주 신종자본증권의 금리는 최고 연 6% 정도로 예상된다. 1억원을 투자했을 때 매달 50만원씩(세전) 이자를 받을 수 있는 셈이다.채권의 일종인 신종자본증권은 만기가 없거나 매우 길고, 일정 주기로 이자나 배당을 주는 금융 상품이다. 변제 순서가 선순위채, 후순위채보다 뒤에 있어 금융지주사 신종자본증권 신용등급은AA-로 분류되고 금리는 상대적으로 높다.IB업계 관계자는 “지난달 미국 연방준비제도의 세 번째 자이언트 스텝(기준금리 0.75%포인트 인상)으로 채권 투자 심리가 위축되자 최근 개인 투자자들이 선호하는 방식으로 투자를 유인하려는 것”이라며 “우리금융 신종자본증권 신용등급이AA-라고 해도 발행사 신용등급이 트리플A로 초우량 기업이기 때문에 안정성과 수익성을 모두 잡을 것으로 보인다”고 말했다.은행권까지 퍼진 월이자 지급식 채권은행권에서 우리금융에 앞서 월이자 지급식 채권을 발행한 곳은 신한은행이다. 지난달 14일 신한은행은 500억원 어치 규모로 월이자 지급식 채권을 발행했다. 발행 금리는 연 4.12%에 2년 만기 상품이었다. 신한은행은 추가로 오는 17일 월이자 지급식 신종자본증권을 발행하기로 하고, 6일 수요 예측을 통해 발행 금리와 금액을 정할 예정이다. 금액은 3000억원, 금리는 최고 5.95% 정도로 예상된다.통상 회사채는 3개월마다 정해진 이자를 지급하는 방식이 일반적이었다. 하지만 최근 채권 시장에 개인 투자자들이 몰리면서, 매달 이자를 받는 방식을 원하는 개인 투자자들의 수요가 늘었다. 실제로 삼성증권이 지난 8월 현대카드·현대캐피탈이 발행한 월이자 지급 채권을 사들인 투자자들을 분석한 결과 60%가량이 60대 이상으로 집계됐다. 고정적인 현금 흐름이 필요한 은퇴자들이 이런 방식의 채권에 투자한 것이다. 채권을 발행하는 회사 입장에서도 투자자들이 몰리면 조달 금리를 낮추는 효과를 기대할 수 있다.개인 채권 순매수액 1년 전보다 9배 급증채권 시장에서 월이자 지급식 채권 발행의 원조는 카드사와 캐피털 등 여신 전문 금융회사였다. 지난 8월 현대카드·현대캐피탈이 삼성증권을 통해 월이자 지급식 채권을 발행한 이후 롯데카드, 롯데캐피탈, 신한카드, 메리츠캐피탈이 발행했다. 하지만 하반기 들어 개인 투자자들의 채권 매수세가 급증하면서 월이자 지급식 채권 발행이 은행권으로 확산된 것이다.금융투자협회에 따르면, 작년부터 올해 6월까지 개인의 채권 순매수액은 매달 평균 5000억원씩 정도였는데 올해 7월에는 4조2958억원으로 급증했다. 8월과 9월에도 각각 3조2463억원, 3조906억원으로 높은 수준을 유지하고 있다. 올해 7~9월 개인의 채권 순매수액은 10조6327억원으로 작년 같은 기간(1조1807억원)의 9배가량으로 늘어났다.채권 시장에서 개인 투자자들이 차지하는 비율도 커졌다. 2012~2021년까지 10년간 전체 채권 순매수액 중 개인 비율은 0.8% 수준이었다. 그런데 올해는 지난달까지 3.5%에 달하고 있다. 개인 순매수액이 몰린 7~9월까지 세 달간은 이 비율이 6.7%까지 늘어났다.김지만 삼성증권 애널리스트는 “채권 투자는 동일 금리를 가정할 때 은행 예·적금보다 세금이 적은 데다, 중도 해지 개념이 없고 상황에 따라 매수·매도가 자유롭다”며 “올해 들어 채권 금리가 전반적으로 상승해 투자 매력이 높아진 것”이라고 말했다."
2022-09-14,[단독] AAA급 신한은행까지?… ‘월이자 지급식’ 채권 발행 열풍,"2년 만기 연 4.12% 500억 한도로1억 투자하면 월 34만원 수입서울 남대문로 신한은행 본점./조선일보DB신한은행이 14일 ‘월이자 지급식’ 채권을 발행했다. 500억원어치 규모로,KB증권 등이 판매한다. 발행 금리 4.12%에 2년 만기 상품이다. 1억원을 투자했을 때 매월 약 34만원씩(세전) 이자를 받을 수 있다. 최근 시장에 더블A(AA)급 우량채가 월이자 지급 방식으로 속속 발행되고 있는데, 트리플A(AAA)급 초우량채가 나오는 건 이번이 처음이다.신한은행은 신용 등급이AAA인 초우량급 회사로, 굳이 월이자 지급식 채권(월 이표채)을 발행할 이유는 없다. 통상 회사채는 3개월마다 정해진 이자를 지급하는 방식(3개월 이표채)이 일반적이다. 월 단위로 발행하다 보면 듀레이션(투자 자금을 평균적으로 회수하는 기간)이 짧아져 선호하지 않는다.신한은행 측은 “최근 채권 금리 상승으로 개인 투자자들의 채권 투자가 늘어나고 있는 점을 감안해 개인 투자자의 수요를 맞추기 위해 발행을 결정하게 됐다”고 설명했다.최근 카드·캐피털 등 여신 전문 금융회사들을 중심으로 월이자 지급 방식 채권 발행이 봇물을 이루고 있다. 지난달 삼성증권이 현대카드·현대캐피탈 월이자 지급식 채권을 발행한 이후 롯데카드·롯데캐피탈, 신한카드, 메리츠캐피탈 등이 동참했다."
2022-09-07,"올해 개미들 주식서 뺀 11조 들고 탈출했다, 이곳으로…","‘머니 무브’ 채권, 투자 꿀팁은지난 달 29일(현지시간) 미국 뉴욕증권거래소(NYSE) 입회장에서 트레이더들이 업무를 처리하고 있다. 이날 뉴욕 증시는 앞으로도 높은 수준의 금리를 유지하겠다는 제롬 파월 연방준비제도(연준·Fed) 의장 발언의 여진에 일제히 하락했다. /로이터·연합뉴스올 초부터 시작된 주식시장 하락세 속에 개미들이 안전 자산으로 투자금을 옮기고 있다. 안정적이면서도 은행 예·적금보다 높은 이자 수익을 기대할 수 있는 채권이 대표적이다. 6일 금융투자협회에 따르면 증시 대기 자금을 의미하는 투자자예탁금은 8월 말 기준 53조633억원으로 1월(70조3447억원)과 비교하면 17조원가량 줄었다.반면 개인 투자자들의 채권 순매수액은 1~8월 11조3432억원을 기록했다. 작년 한 해 개인 투자자의 채권 순매수액(4조5676억원)보다도 이미 2.5배나 늘어난 것이다. 특히 하반기 들어 나타난 베어마켓 랠리(약세장에서 주가가 오르는 현상) 속에서도 주식시장을 탈출한 개미들이 채권 시장으로 자금을 옮기는 ‘머니 무브’ 현상이 나타났다. 7~8월 두 달간 증시 대기 자금은 4조원 감소했지만, 개인 투자자들의 채권 순매수액은 6조2440억원에 달했다.중도 해지 페널티 없지만 원금 보장은 안 돼최근 개인들의 채권 투자가 늘어난 배경은 무엇일까. 채권은 발행한 회사나 국가가 부도만 나지 않는다면 약정된 이자와 원금을 받을 수 있다. 여기에 은행 예·적금보다 상대적으로 금리가 높다는 점 때문에 지금처럼 다른 투자 자산이 하락하는 시기에 수익률을 방어할 수 있는 안전 자산으로서 매력이 부각되고 있다.김지만 삼성증권 애널리스트는 “올해 들어 채권 금리가 전반적으로 크게 상승하면서 투자 매력이 높아졌고, 동일 금리를 가정할 때 예·적금 대비 적은 세금으로 이자 소득이 더 크다”며 “또한 은행 예·적금은 해지에 따른 페널티가 있지만 채권은 중도 해지 개념이 없고 상황에 따라 매수·매도가 자유롭다”고 밝혔다.종류별로 보면 최근 개미들의 투자금이 가장 많이 몰린 채권은 금융채였다. 7~8월 두 달간 개인들의 채권 순매수액(6조2240억원) 중 절반에 가까운 2조8425억원(45.5%)이 금융채로 몰렸다. 이어 회사채(2조2003억원·35.2%), 국채(7731억원·12.4%) 순이었다.금융채 중에서는 은행채(3712억원)보다 카드나 캐피털 등 금융사가 발행한 채권(2조4713억)에 투자금이 몰렸다. 은행채는 안정성이 높지만 금리가 낮다. 반면 카드 및 캐피털사가 발행하는 채권은 안정성과 높은 금리 두 토끼를 잡을 수 있다는 점에서 투자금이 몰린 것으로 보인다.금리 상승기엔 다양한 만기 활용한 ‘사다리 타기’ 활용회사채 중에서는 신용 등급AA등급 회사채 투자가 크게 증가했다. 과거에는AA등급 회사채가 투자 안정성에도 A등급 대비 상대적으로 금리가 낮아 개인들의 투자가 많지 않았다. 하지만 올해 금리 수준이 크게 상승하면서AA-등급의 회사채 금리도 4%를 넘기는 등 개인들의 투자 수익률 눈높이를 우량 회사채 금리가 맞추면서 투자가 늘어난 것이다. 공사채 중에서는 올해 대규모 적자가 예상되는 한국전력 발행 채권에 투자가 집중됐다.개인 투자자들은 증권사들이 물량을 확보해 개인들에게 쪼개 파는 채권을 직접 사거나, 채권ETF(상장지수펀드)를 통해 간접 투자하면 된다. 전문가들은 지금처럼 금리 상승기에는 채권 만기가 돌아오면 비슷한 만기의 상품이나 더 높은 금리의 채권에 투자하는 ‘사다리 타기’ 방식을 추천한다.예컨대 채권 투자금을 1년, 3년, 5년, 10년 만기 채권에 각각 동일하게 분산 투자해 시세 변동 위험을 최대한 낮추고, 적정 수준의 수익성도 확보하는 방식이다. 수익률이 높지만 유동성 확보가 쉽지 않은 장기 채권의 한계를 단기 채권에서 보완하는 것이다.최근 증권사들이 개인 투자자들의 선호에 맞춰 매달 이자를 지급하는 상품도 내놓고 있다는 점도 눈여겨볼 만 하다. 삼성증권은 지난달 세전 수익률 연 3.7~4.4%, 만기 1~3년의 월이자 지급식 채권(현대카드·현대캐피탈 발행)을 발행했고, 키움증권도 지난 1일부터 세전 연 4.48% 금리로 매달 이자를 지급하는 메리츠캐피탈 채권을 판매하기 시작했다."
2022-11-25,차 시장도 돈 가뭄… 한파가 몰려온다,"자금 시장이 급격히 경색되면서, 자동차 할부금융 시장도 급격히 얼어붙고 있다. 자동차 할부 상품을 운용하는 금융사들은 조달 금리가 올라가자 소비자를 상대로 금리를 7~10% 수준으로 올리고 있고, 일부 캐피탈사들은 자금 조달이 어렵자 자동차 할부 영업을 아예 중단하고 있다. 신차 구입을 위해 6개월~1년을 기다렸던 소비자들 중에는 할부 금리가 치솟자 구매를 취소하거나, 까다로워진 신용 심사에서 탈락해 구매를 포기하는 사례가 속출하고 있다. 현재와 같은 고금리와 자금 경색이 지속되면 연말 이후 자동차 판매도 큰 타격을 입을 전망이다.그래픽=백형선할부금리 10%대 육박… 다수 캐피탈사들 영업 중단현대차에 따르면, 현대차가 현대캐피탈과 운용 중인 신차 할부 금리는 지난 7월까지 2.8%(36개월 전액 할부 기준)였지만, 8~10월 4%, 이달에는 6.7%로 급등했다. 금리가 상대적으로 저렴해 인기가 높았던 카드사들의 금리도 치솟고 있다. 삼성카드는 6개월 전만 해도 1.9%의 금리로 공격적인 영업을 했지만, 현재는 7.4%의 금리를 요구한다. 3838만원인 기아 쏘렌토를 6개월 전 삼성카드 48개월 할부로 구매했다면 월 이자로 83만원을 내면 됐지만 지금은 월 92만6000원을 내야 하는 셈이다. 총 비용은 457만원이 올랐다. 현재 카드사 오토 할부 상품 중 5% 이하의 금리는 찾아볼 수 없다.할부 금융을 이용할 수 있으면 그나마 다행이다. 최근 대다수 금융사들은 돈줄이 마르자 신용 심사를 까다롭게 하고 있다. 자동차 구매 플랫폼 직카의 한민우 대표는 “두어달 전만 해도 신용 10등급 중 5등급(일반 등급) 이상이면 무리 없이 할부 승인이 났지만, 지금은 우량 등급에 속하는 3~4등급도 다중채무가 있다는 이유로 거절당해 우리 고객 100명 중 70명은 심사에서 탈락하고 있다”며 “특히 전액 할부는 사라졌고 차 가격의 10~30%인 선수금을 내야 승인을 내준다”고 말했다.수입차 금리는 더 높다. 현재 수입차 할부를 취급하는 산은캐피탈은 10.8%,NH농협캐피탈은 15%에 달한다. 그동안 고금리 할부 상품을 ‘끼워팔기’한다고 비판을 받던 벤츠·BMW같은 수입차 업체 산하 캐피탈사들의 금리(7~9%)가 오히려 저렴해졌다.다수 캐피탈사들은 돈줄이 막히자 자동차 할부금융을 아예 중단하고 있다. 직카에 따르면, 롯데·메리츠·KB·미래에셋·BNK·우리금융 캐피탈 등은 일부 선구매한 재고 차량 판매를 제외하고는 할부 영업을 중단했다. 한 캐피탈사 관계자는 “예전엔 채권을 발행하면 1000억원 정도는 쉽게 모였는데 지금은 7~7.5% 금리를 내걸어도 200억~300억원에 그칠 정도로 자금경색이 심하다”며 “내년엔 국산차 할부 금리도 10% 수준에 달할 것”이라고 말했다.내년 車 시장 한파 예고… 정부는 이 와중에 개소세 인하 중단자동차 업계는 이 같은 자금 경색과 고금리가 지속되면 내년 자동차 시장에 엄청난 한파가 닥칠 것이라고 우려한다. 업계에선 신차 고객의 70%가 자동차를 할부(렌트·리스 포함)로 구매하고 있다고 본다. 할부 금융 업체들의 돈줄이 마르면 차를 사고 싶어도 살 수 없는 소비자들이 속출할 수밖에 없다는 것이다. 배송업을 하는 이모씨는 1년을 기다려 소형 트럭 포터를 출고받으려 했지만, 할부 신용 심사에서 탈락해 차를 포기해야 했다. 직장인 유동욱(48)씨는 10년 탄SUV를 교체하려고 신차 구매를 알아보다가 7%대 할부 금리를 보고 구매를 미루기로 했다. 현대차의 한 딜러는 “통상 월초 보유 중인 계약이 100건이라고 치면 달마다 해약 건수가 30건, 신규 계약이 50건이 들어와 다음 달엔 120건으로 늘어나는 상황이었다”며 “하지만 이번 달에는 해약 건수가 50건 수준으로 크게 늘었다”고 말했다.이런 상황에서 정부는 지난 정부 때부터 4년 가까이 이어오던 승용차 개별소비세 인하(5%→3.5%)를 오는 12월 종료하는 방안을 검토하는 것으로 전해졌다. 최근 몇 달간 자동차 내수 판매가 호조를 보였다는 이유다. 자동차 업계 관계자는 “정부가 따뜻한 물 나오기 시작했다고 수도꼭지를 너무 일찍 돌리는 것 같다”며 “차가 안 팔리기 시작하면 부품업계, 정비·판매업계 모두 침체로 갈 수밖에 없어 경기 침체가 가속화될 수 있다”고 우려했다."
2022-08-25,1억 넣으면 매달 최대 48만원이… ‘이자지급 채권’ 내달 또 나온다,"롯데손보, 공모 후순위채 발행이달 ‘현대’ 발행은 1400억 팔려연금처럼 매달 이자를 주는 ‘월이자 지급식’ 채권이 또 나온다.서울 시내의 시중은행ATM기기의 모습. /뉴스124일 금융투자 업계에 따르면 롯데손해보험이 다음 달 2일 공모 후순위채를 발행한다. 총 1400억원 규모로A-(안정적) 등급에 최고 연 6.9% 금리를 매월 쪼개서 주는 게 특징이다. 표면상 만기는 10년이지만 발행일로부터 5년 뒤에 조기 상환할 수 있는 콜옵션이 붙는다. 메리츠증권이 대표 주관사다. 25일 기관을 대상으로 수요예측을 실시하는데, 회사 측은 공모 희망 금리를 6.4~6.9%로 제시했다.최고 금리인 6.9%로 결정될 경우, 1억원을 투자하면 매달 세전 57만원, 세후 약 48만원씩 받을 수 있다. 주관사 측은 “최근 시장 분위기상 최고 금리로 발행이 결정될 것으로 보인다”고 전했다.이달 초 현대카드·현대캐피탈이 발행(삼성증권 판매)한 월이자 지급식AA등급 선순위채는 24일까지 총 1400억원어치가 팔렸다. 이 채권은 만기 1~3년에 세전 연 3.7~4.4% 수익률을 지급하는데, 1억원을 투자할 경우 세후 매달 30만원씩 받을 수 있는 구조다. 만기가 3년 이하로 짧으면서도 매월 이자를 주는 채권이 처음이어서, 정기적 수입이 없는 은퇴 생활자들에게 인기를 끌었다.통상 회사채는 3개월~1년 단위로 정해진 이자를 지급하는 게 기본이다. 박주한 삼성증권 채권상품팀장은 “월이자 지급식 채권은 발행 기업들이 관리하기 어렵다는 이유로 발행량이 많지 않지만, 최근 채권 상품에 대한 개인 투자자들의 관심이 높아지면서 인기를 끌고 있다”고 말했다.롯데손보 월이자 지급식 채권의 경우 후순위채라는 점에 주의해야 한다. 후순위채는 ‘후순위’라는 표현 그대로, 발행사가 부도나면 상환 순위가 뒤로 밀린다. 예금자 보호 대상이 아니고 만기 전에 중도 해지가 되지 않기 때문에 가입 시 금융회사의 안정성과 본인의 자금 운용 계획 등을 꼼꼼히 따져 투자해야 한다.메리츠증권 관계자는 “보험사는 특성상 선순위 채무가 존재하지 않아 후순위채가 실질적인 선순위 채권의 지위에 있다”고 설명했다. 롯데손보의 자산은 업계 7위,RBC(보험금 지급여력 비율)는 업계 5위 수준이다.금리가 가파르게 오르고 안전 자산에 대한 관심이 늘어나면서 개인 투자자들의 자금이 채권시장으로 유입되는 현상은 가속화하고 있다.금융투자협회에 따르면 연초 이후 22일까지 장외 채권시장에서 개인들의 채권 순매수액은 총 10조1834억원을 기록했다. 지난해 개인의 총채권 순매수액(4조5675억원)의 2배가 넘는 규모다. 유형별로는 회사채 순매수액이 약 4조6400억원으로 가장 많았다."
2022-05-25,존리 “한국이 갑자기 선진 증시 되면 이런 일 벌어져”,"[방현철 박사의 머니머니] 존리 “MSCI선진국지수 편입, 마냥 좋은 건 아냐”25일 오후 5시 조선일보의 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해 공개된 ‘방현철 박사의 머니머니’에선 존리 메리츠자산운용 대표와 ‘코리아 디스카운트 해법’이라는 주제로 존리 대표의 투자 원칙에 대해서 알아 봤습니다.존리 대표는 코리아 디스카운트를 “한국에 상장돼 있다는 이유로 회사의 가치가 제대로 반영되지 않고 있는 것”이라고 정의했습니다. 그 원인으로 한반도의 지정학적 불안감과 한국 기업들의 불합리한 주주환원 정책을 들었습니다.국내에서 코리아 디스카운트 해소 방법의 하나로MSCI(모건스탠리캐피탈인터내셔널) 선진국지수에 편입돼야 한다는 논의가 있습니다.MSCI지수는 선진국, 신흥국, 프론티어 시장 등으로 나뉘어 있습니다. 현재 한국은 중국과 같이MSCI신흥국 지수에 포함돼 있는데, 2008년부터MSCI선진국지수 편입을 시도했습니다.그런데 존리 대표는 “MSCI선진국 지수로 가는 게 무조건 좋다는 생각은 조심해야 한다”고 했습니다. 선진국 지수에 포함되면 글로벌 펀드 매니저들이 삼성전자 등 대기업에만 손이 가고, 중견기업이나 중소기업들은 소외될 수 있다는 것입니다.한국경제연구원은 작년 5월 우리 증시가MSCI선진국증시로 승격되면, 외국인 주식 투자 자금이 추가로 159억~547억 달러 순유입 된다고 분석했습니다. 이에 코스피지수도 최고 4035까지 오를 수 있다고 했습니다. 그런데 증권 업계에서는MSCI신흥국지수에서 빠지면 일단 이 지수를 추종해서 한국에 투자하는 패시브자금 440억 달러가 빠질 것으로 보고 있습니다. 반면 선진국지수에 포함되면서 유입되는 패시브 자금은 이에 못 미치는 200억~300억 달러에 불과해 결국 130억~150억 달러 쯤의 순유출이 있을 수 있다고 보기도 합니다. 다만 종목을 선정해서 적극적으로 투자하는 글로벌 액티브 자금이 어떤 움직임을 보일 지는 가늠하기 힘듭니다. 그런데 존리 대표는MSCI선진국 지수에 편입되면 글로벌 펀드 매니저들이 삼성전자 등 대기업에만 투자할 가능성이 있다고 한 것입니다.대신 코리아 디스카운트 해소를 위해 국내 기업들의 주주환원 정책이 선진국 수준으로 되는 게 중요하다고 했습니다. 존리 대표는 “소액주주의 권리가 침해된다는 것은 한국 증시에 악영향을 미칠 수밖에 없다”며 “대주주나 소액주주를 가리지 않고 기업 이익을 공정하게 나눠야 한다”고 했습니다. 존리 대표는 “한국 주식 시장이 누구나 다 공평하게 돈을 벌 수 있는 시장이 돼야 한다”고 덧붙였습니다.존리 대표는 미국 월스트리트의 스커더 스티븐슨 앤 클라크, 라자드자산운용 등에서 펀드 매니저 등으로 일했습니다. 존리 대표는 한국으로 돌아와 2014년부터 메리츠자산운용 대표를 맡고 있습니다.‘방현철 박사의 머니머니’는 월·수·금요일 오후 5시 시장분석, 자산운용, 재테크 전문가, 증권가 고수들의 목소리를 듣는 시간입니다. 영상은 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해서 공개됩니다."
