date,title,content
2024-12-27,"지방 아파트도, 한국 주식도 손실... “국민만 아프다”","2024년 주요 자산별 성적표 분석美 주식은 2년 연속 20%대 상승[왕개미연구소]올해 자산시장에선 미국 기준 금리 인하 호재로 모든 자산 가격이 뛰는 ‘에브리싱 랠리(everythingrally)’ 현상이 나타났다. 일반적인 경제 이론을 뒤엎고, 안전자산인 금(金)과 위험자산인 가상화폐가 동반 상승하는 독특한 흐름이 이어졌다.전문가들조차도 정확히 앞을 내다보기 어려운 혼돈의 시기에 최고의 재테크 농사를 지은 자산과 최악의 자산은 무엇이었을까. 새해에 부자가 될 기회를 선점하고 싶다면, 올해 시장 판도에서 투자의 힌트를 얻어 전략을 짜야 한다.그래픽=조선디자인랩 한유진✅비트코인, 2년 연속 금메달27일NH투자증권이 주요 17개 자산을 분석한 자료에 따르면, 올해 압도적으로 높은 수익을 올린 자산은 비트코인이었다. 작년에 154% 올랐던 비트코인은 올 상반기에는 지루한 횡보세를 보였다. 하지만 트럼프 대통령 당선인이 ‘가산자산 대통령’을 자처하고 친(親)가상화폐 정책 공약을 내놓으면서 반전의 드라마를 썼다. 비트코인은 올해 136% 급등하면서 수익률 1위를 차지했다.수익률 2위는 42.2%의 성과를 올린KRX금(金)이었다.KRX금은 일반인이 금을 실시간 거래할 수 있는 현물 매매시장이다. 마치 주식처럼 증권사HTS·MTS를 통해 손쉽게 사고 팔 수 있다. 매매 차익은 비과세되며, 금융소득종합과세 대상에서도 제외된다는 것이 장점이다.3위는 미국 주식(S&P500)이었다. 작년에도 24% 넘게 올랐는데, 올해도 26% 넘게 오르면서 작년 성과를 뛰어 넘었다. 대장주인 애플은 인공지능(AI) 붐에 따른 아이폰 교체 수요 기대감 등에 힘입어 연일 사상 최고치를 경신 중이다. 미국 역사상 첫 ‘시가총액 4조달러’(약 5900조원) 문턱에도 바짝 다가섰다.기술주 중심의 나스닥지수는 지난 11일 사상 최고로 2만선을 넘었다./그래픽=박상훈강선우 미래에셋증권 수석매니저는 “지난 10년 간 미국 S&P500지수가 200% 상승하는 동안 한국 코스피지수는 20% 상승하는 데에 그쳤다”면서 “지금까지와 같은 한미(韓美) 증시 성과 차이는 앞으로도 계속될 것”이라고 예상했다. 미국은 생산의 3요소(노동력·기술·자본)에서 전부 우위를 점해 기업 성장을 위한 최적의 환경을 제공하는 곳이기 때문에 증시 상승도 이어진다는 설명이다.강선우 매니저는 “내년에도 ‘미국예외주의’가 지속될 수 있는 만큼, 현재 포트폴리오에서 한국 주식 비중이 높다면 미국으로의 지역 분산을 고려하라”고 권했다.✅올해 최악의 자산은 한국 주식17개 자산 중에서 올해 손실을 본 자산은 3개 뿐이었다. 이 중에서 2개가 한국 관련 자산이었다. 인구가 줄어드는 지방은 신규 공급이 계속되면서 미분양이 쌓이고 있다. 그 결과 올해 서울 아파트가 4.5% 상승한 동안, 지방 아파트 가격은 1.7% 떨어지면서 양극화 현상이 심해졌다.정보현NH투자증권Tax센터 부동산 수석연구원은 “서울 아파트는 지난 3월부터 상승폭을 확대했지만 그 이외 지역은 약세를 이어가면서 격차가 더 벌어지고 있다”면서 “내년에도 입지나 신축·구축 여부에 따라 상승·하락 지역이 상존하는 차별·국지화 장세가 이어질 것”이라고 말했다.그래픽=양인성원유(WTI)도 올해 2% 가량 하락했는데, 중국 등 주요국 경기 부진 우려가 확대되면서 원유 수요에 부정적인 영향을 미쳤다. 내년에도 원유 가격은 약세를 이어갈 전망이다. 26일 대한석유협회와 에너지정보청(EIA) 보고서에 따르면, 중동 지역 분쟁 완화와 더불어 주요 산유국 연대인OPEC+의 감산 가능성이 낮아지면서 유가가 약 10% 하락할 전망이다.올해 전세계 주요 자산 중 가장 나쁜 수익률을 기록한 건 한국 코스피지수였다. 24일까지 8% 하락해 17개 자산 중에서 꼴찌였다. 내수 부진에 계엄 사태 이후 정치 불안이 이어지고 원·달러 환율까지 1500원에 육박하면서 최악의 시절을 보내는 중이다. 이경민 대신증권 연구원은 “국내 정치 리스크가 투자심리 위축과 원화 약세 압력 증폭, 외국인 매도 압박을 잇는 악순환의 고리를 만들고 있다”고 말했다.그래픽=조선디자인랩 한유진주가 하락으로 한국 증시는 역사적 저평가 국면에 진입한 상황이다. 코스피지수의 밸류에이션(실적 대비 주가 수준)이 역대 최저 수준이다(위 그림 참고).27일 미래에셋증권에 따르면, 이달 말 기준 코스피지수의 12개월 선행 주가수익비율(12MFPER)은 7.8배다. 과거 5개년PER평균(10배)에 턱없이 모자란다. 내년 실적 전망을 감안하면, 코스피지수가 저평가됐다는 뜻이다. 반면 미국, 인도, 호주 등의 주요 시장은 12개월 선행PER이 5년 평균보다 높아 투자 심리가 과열된 상태다.하지만 주가수익비율(PER)과 같은 정량적인 수치가 절대적인 기준이 되긴 어렵다는 반박도 있다. 증권업계 관계자 A씨는 “가는 장이 더 가고 빠지는 장은 더 빠진다는 측면에서 보면, 매수 타이밍을 잡는 지표로 밸류에이션은 유효하지 않을 수 있다”고 말했다."
2024-09-20,외부 연결없이 사용가능 미래에셋에 AI모델 구축,"네이버클라우드, 보안성 높인 소형네이버클라우드가 금융에 특화된 인공지능(AI) 언어 모델을 미래에셋증권에 구축했다고 19일 밝혔다. 보안을 위해 외부 연결 없이 내부 시스템으로 운영되는 ‘구축형 모델’로, 네이버클라우드의 경량AI모델인 ‘하이퍼클로바X 대시’를 기반으로 했다.금융 용어와 법령, 제도를 학습시킨 후, 임직원이 금융 관련 질문을 하면AI가 답변하는 식이다. 미래에셋증권 관계자는 “금융 관련 법령과 제도는 워낙 복잡해 일반적인 인터넷 검색으로는 원하는 내용을 찾기 어려워 자체AI모델을 구축했다”고 말했다.네이버클라우드는 기업·기관 대상 구축형 모델 제공에 속도를 내겠다는 방침이다. 임태건 네이버클라우드 전무는 “보안상 이유로 클라우드 형태의 거대 언어 모델 사용을 주저했던 공공기관, 금융 기업들이 구축형 생성형AI를 활용하게 될 것”이라고 했다."
2023-05-11,"삼성·미래에셋증권 1분기 영업이익,  시장 전망치 20% 이상 웃돌았다","삼성증권 본사삼성증권과 미래에셋증권이 11일 시장 전망치를 웃도는 올해 1분기 실적을 발표했다.삼성증권은 연결 기준 올해 1분기 영업이익이 작년 동기보다 60.99% 증가한 3416억원으로 잠정 집계됐다고 이날 공시했다.이번 영업이익은 시장 전망치 2793억원을 22.3% 웃도는 실적이다.매출은 4조4112억원으로 작년 동기 대비 14.38% 증가했다. 순이익은 2526억원으로 66.44% 늘었다.삼성증권은 “자산관리(WM)사업 부문에서 자산 1억원 이상 고객 수가 직전 분기 대비 15.5% 증가하며 초고액자산가 시장의 지배력을 강화했다”며 “거래대금 증가에 따라 순수탁수수료도 전분기 대비 42.3% 증가했다”고 설명했다.이어 “시장금리 안정에 따라 본사 영업부문도 운용손익과 금융수지 등이 큰 폭으로 개선됐다”고 했다.미래에셋 본사. /미래에셋증권 제공미래에셋증권도 시장 전망치보다 좋은 1분기 실적을 올렸다. 이 회사는 1분기 영업이익이 2817억원으로 잠정 집계됐다고 이날 공시했다.이는 작년 동기보다 1% 감소한 것이지만, 시장 전망치(2254억원)보다 25% 높았다. 매출은 6조8654억원으로 작년 동기 대비 30.6% 증가했다. 순이익은 2382억원으로 15.7% 늘었다.미래에셋증권은 또 지배주주 자기자본이 11조300억원으로 집계됐다고 밝혔다. 2021년 금융투자업계 최초로 자기자본 10조원을 돌파한 데 이어 2년 만에 달성한 기록이다.미래에셋증권은 “1분기 해외사업 관련 환산손익이 증가했고 투자자산들의 평가이익이 늘어나며 자기자본이 크게 증가했다”며 “주주들이 주신 소중한 자본을 잘 활용해 신뢰감 있게 금융을 이끄는 투자은행이 될 것”이라고 했다."
2023-01-06,"1위 증권사마저…미래에셋증권 희망퇴직 단행, 조건은?","서울 중구 을지로 미래에셋증권 본사 전경./조선일보DB최근 증권업계에 감원 바람이 몰아닥친 가운데, 업계 1위인 미래에셋증권도 희망퇴직에 돌입했다.미래에셋증권은 10년 이상 근무자 중 만 45세 이상인 정규직 직원을 대상으로 이날까지 희망퇴직 신청을 받고 있다고 6일 밝혔다.희망퇴직 신청자는 최대 24개월치 급여와 최대 8000만원의 생활안정 지원금, 5년간 자녀 학자금을 지원받을 수 있다. 이와 함께 전직을 원하는 직원에게는 3개월 유급 휴직 급여와 전직 지원 교육을 받을 수 있도록 했다.회사 측은 “인력 감축을 위한 희망퇴직과는 성격이 다르다”면서 “최근 이직이나 전직, 가족 돌봄, 육아, 재무적 상황 등의 사유가 있는 직원들 중 희망퇴직 수요가 있어 이를 반영한 것”이라고 설명했다. 미래에셋증권은 지난해에도 희망퇴직을 실시해 수십명이 회사를 떠났다.앞서 하이투자증권, 다올투자증권, 케이프투자증권 등 부동산 프로젝트파이낸싱(PF) 등으로 자금 사정이 어려워진 증권사들이 희망퇴직을 실시했다.KB증권도 지난 연말 만 40세 이상(1982년 이전 출생) 정규직을 대상으로 희망퇴직 대상자를 모집해 총 70여명이 회사를 떠났다."
2024-12-16,"검찰, ‘채권 돌려막기’ 증권사 8곳 압수수색","서울 양천구 서울남부지방검찰청./뉴스19개 증권사의 채권형 랩어카운트(랩)·신탁 돌려막기 의혹을 수사 중인 검찰이 이들과 거래한 증권사에 대한 강제 수사에 나섰다.서울남부지검 금융수사과는 16일 오전부터 ‘채권 돌려막기’ 의혹을 받는 9개 증권사와 거래한 증권사 8곳을 압수수색하고 있다고 밝혔다.하나증권,KB증권, 교보증권, 미래에셋증권, 유안타증권, 유진투자증권, 한국투자증권,NH투자증권,SK증권 등 9개 증권사는 지난 2022년 하반기 레고랜드 사태로 자금시장이 경색되자 랩·신탁 환매 과정에서 시장 혼란을 일으킨 혐의를 받는다.지난해 5월 금융감독원(금감원)은 9개 증권사를 대상으로 채권형 랩·신탁 업무 실태에 관한 집중 점검에 착수했고, 증권사들이 특정 고객의 수익률을 보장하고자 다른 고객 계좌로 손실을 돌려막거나 회사 고유자금으로 손실 일부를 보전해 준 사실을 파악했다.랩·신탁은 펀드와 달리 증권사가 고객과 일대일 계약을 통해 자산을 운용하는 금융상품이다. 랩·신탁은 그간 법인 고객이 단기 자금을 운용할 때 자주 찾던 상품이었다. 하지만 지난 2022년 레고랜드 채무 불이행 사태로 지방정부(강원도)마저 약속한 지급 보증을 이행하지 않을 수 있다는 인식이 번지자 채권 시장이 급격하게 얼어붙으며 문제가 생겼다.다수의 법인 고객이 증권사에 랩·신탁 환매를 요청했으나, 장기 채권 등 편입 자산은 시장에서 팔리지 않았다. 이에 증권 업체는 5000억원 규모의 손실을 고객 간 전가하는 등 각종 편법을 저질렀다.앞서 금감원 제재심의위원회는 9개 증권사들에 대한 랩·신탁 제재 결과를 통보했다.KB증권, 하나증권, 미래에셋증권, 유진투자증권, 한국투자증권, 교보증권, 유안타증권은 원안대로 중징계에 해당하는 3~6개월 영업정지 조치를 받았다.고객 보호를 위한 사후 수습 노력에 대한 소명이 일부 참작된NH투자증권과SK증권은 각각 영업정지 3개월에서 1개월로, 영업정지 1개월에서 기관경고로 제재 수위가 감경됐다."
2024-02-06,"디블록자산운용, 안종균 전 미래에셋 부사장 대표로 영입",디블록자산운용이 안종균 전 미래에셋증권 부사장을 공동 대표이사로 선임했다고 6일 밝혔다. 안 대표는 30여년 간 금융업계에 몸담은 부동산IB(투자은행) 전문가로 2005년 미래에셋증권에 입사해 2008년부터2016년까지 약 9년간 부동산 개발금융(PF) 본부장을 역임했다. 이후 미래에셋그룹 리스크관리부문 대표와 경영혁신부문 대표 등 중추적 열할을 맡았다.안 대표는 “디블록자산운용을 부동산 금융에 특화된 운용사로 성장시키고 그룹 내 다른 계열사들과 연계해 종합부동산 그룹으로서 경쟁력 강화에 이바지하겠다”고 말했다.디블록자산운용은 서울 종로구 세운지구에서 대규모 도심복합개발을 주도하고 있는 디블록그룹(옛 한호건설그룹)의 계열사다. 2022년 11월 설립됐다.
2023-12-12,"최현만, 미래에셋자산운용 지분 450억에 처분","미래에셋컨설팅이 사들여지난 10월 경영 일선에서 물러난 최현만 전 미래에셋증권 회장(현 고문)이 450억원어치의 미래에셋자산운용 지분을 전량 처분해 현금화했다. 이 지분은 미래에셋 창업주 박현주 회장 측이 사들였다.11일 업계에 따르면, 박현주 미래에셋금융그룹 회장의 가족 기업 격인 미래에셋컨설팅은 지난달 20일 이사회를 열고 최 전 회장 등 개인 주주 3명으로부터 미래에셋자산운용 주식 35만5911주를 주당 15만2345원에 취득하기로 결정했다.이에 따라 최 전 회장은 자신이 가지고 있던 29만5055주(2.17%)를 모두 처분해 449억원가량을 손에 쥐게 됐다. 지분을 사들인 미래에셋컨설팅은 미래에셋운용 지분율이 36.92%로 높아졌다. 미래에셋컨설팅은 박 회장이 지분 48.63%를, 아내가 10.24%를, 박 회장의 자녀와 조카 등도 지분을 보유하고 있어 가족 회사로 불린다.최 전 회장의 지분 매각을 두고 업계에선 “박 회장이 창업을 도운 최 전 회장에게 일종의 위로금을 지급한 것이나 다름없다”는 말이 나온다. 미래에셋운용은 상장돼 있지 않은데, 통상 비상장사 지분 매각이 쉽지 않은 상황을 고려할 때 박 회장이 창업 동지인 최 전 회장에게 예우를 해준 것 아니겠느냐는 시각이다. 아울러 최 전 회장이 갖고 있는 미래에셋캐피탈 지분 0.98%도 박 회장이 사들일 수 있다는 관측이 나온다.최 전 회장은 1997년 미래에셋 창립 멤버 중 한 명이다. 미래에셋운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일했다. 지난 10월 말부터 경영고문을 맡고 있다."
2023-12-11,"‘박현주 창업동지’ 최현만, 미래에셋운용 주식 450억에 모두 처분","1999년 미래에셋증권 출범 기념식에서의 박현주(오른쪽) 회장과 최현만 미래에셋증권 대표이사 회장. 미래에셋 창업 멤버인 최현만 회장은 2023년 10월 23일 회장직에서 물러났다.지난 10월 경영 일선에서 물러난 최현만 전 미래에셋증권 대표이사 회장(현 고문)이 450억원 가량의 미래에셋자산운용 지분을 전량 처분(엑시트)하며 홀로서기에 나섰다. 이 지분은 창업주 박현주 회장 측이 사들였다.11일 투자은행(IB) 업계에 따르면 박현주 미래에셋금융그룹 회장의 가족기업 격인 미래에셋컨설팅은 지난달 20일 이사회를 열고 최 전 회장 등 개인주주 3명으로부터 미래에셋자산운용 주식 35만5911주를 주당 15만2345원에 취득하기로 결정했다.최 전 회장은 자신이 가지고 있던 29만5055주(2.17%)를 모두 처분해 449억원 가량을 손에 넣게 됐다. 해당 지분을 사들인 박 회장 측 가족기업 미래에셋컨설팅은 미래에셋자산운용 지분율이 36.92%로 높아졌다. 미래에셋컨설팅은 박 회장이 지분 48.63%를, 부인이 10.24%를, 박 회장의 자녀와 조카 등도 지분을 보유하고 있어 가족회사로 불린다.최 전 회장의 지분 엑시트를 두고 업계에선 “박 회장이 창업을 도운 최 전 회장에게 일종의 위로금을 지급한 것이나 다름없다”는 말이 나온다. 통상 비상장사 지분 엑시트가 쉽지 않은 상황을 고려할 때 박 회장이 창업 동지인 최 전 회장에 대한 예우를 갖춘 것이 아니겠느냐는 시각이다.최 전 회장이 갖고 있는 미래에셋캐피탈 지분 0.98%도 박 회장이 사들일 수 있다는 관측이 나온다.최 전 회장은 1997년 미래에셋금융그룹의 창립 멤버 중 하나다. 그해 미래에셋자산운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일해왔다. 지난 10월 말 세대교체를 위해 용퇴한 뒤 경영고문을 맡고 있다."
2023-11-07,2800억 대출계약서 위조 사건 발생한 미래에셋,"미래에셋증권 본사 전경.미래에셋증권이 내부 투자심의위원회를 거치지 않고 2800억원대 대출계약서를 위조한 직원을 적발해 검찰에 고소했다. 대출이 실제 집행되기 전에 적발됐지만 계약 상대방 회사가 사업 진행이 지체돼 손해를 봤다며 문제를 제기하고 나섰기 때문이다. 미래에셋측은 “회사와 관계 없는 개인의 일탈”이라는 입장이다.7일 투자은행(IB) 업계에 따르면 미래에셋증권은 투자개발본부 A팀장(이사)이 2800억원(2억1000만달러)에 달하는 대출 계약서 위조 사실을 자체 감사에서 적발한 뒤 지난 8월 면직 처분했다. 이 사건은 미국 바이오연료 시설 개발업체 라이즈 리뉴어블스(Ryzerenewables)이 미래에셋에게 소송을 하겠다는 항의를 해오면서 드러났다.A팀장은 2021년 1월 라이즈 리뉴어블스에 2800억원을 대출해주겠다는 내용의 30~40쪽짜리 대출계약서를 위조해 보낸 의혹을 받고 있다. 이 회사는 미국 라스베이거스에 신재생 디젤 연료 시설을 증설하는 프로젝트를 진행했다. A팀장은 회사 투심위에 올리지도 않고 프로젝트에 “미래에셋이 대출을 해주겠다”는 대출계약서를 보냈다. 그는 개인적으로 특수목적회사(SPC)를 만든 뒤 대출자 모임인 대주단까지 꾸리려 했다. 하지만 대출은 실패로 돌아갔고, 대출을 받지 못한 라이즈는 지난 5월 민간조정 및 중재 서비스 업체(JAMS)를 통해 미래에셋에 손해 배상을 요구했다.감사 결과 해외 1건, 국내 2건 등 위조 사실들이 추가로 드러났다. 미래에셋 측은 “회사와 전혀 관련 없는 개인 일탈이어서 소송 자체가 성사될 수 없다”고 소명했다.투자 업계 관계자들은 부동산 대체투자 활황기 때 나타난 부작용으로 본다. 부동산 등 대체투자 거래에서 생기는 수수료만 수십억원에 달해 비리가 일어나기 쉬운 환경이었다는 것이다. 코로나 이후 대체투자에 대거 뛰어든 국내 증권사들이 임직원들의 도덕적 해이를 미연에 방지할 감시 기능을 제대로 갖추지 못했다는 비판도 제기된다.미래에셋증권 관계자는 “회사 내부통제 시스템에 따라 상황을 인지해 자체 감사를 진행했다”며 “금전적 피해는 전혀 없었고 해당 직원을 해고한 뒤 검찰에 고소했다”고 말했다."
2023-10-24,‘박현주 창업 동지’ 최현만… 미래에셋 회장직서 용퇴,"경영고문 맡기로… 세대교체 포석최현만 미래에셋증권 회장. /미래에셋증권 제공박현주 회장과 함께 미래에셋그룹을 공동 창업한 최현만 미래에셋증권 대표이사 회장이 현직에서 물러났다. 1997년 미래에셋 창립 멤버로 참여한 지 26년 만이자, 2021년 미래에셋증권 회장에 오른 지 2년 만이다.23일 미래에셋그룹은 최 회장의 후임자를 포함한 그룹 인사를 단행했다. 최 회장은 일선에선 물러나지만 경영 고문직을 맡는다.최 회장은 1961년생으로 전남대를 졸업하고 동원증권에 입사해 지점장으로 근무하다 박 회장과 함께 미래에셋을 창업했다.1997년 미래에셋자산운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일해왔다. 1999년 12월 자본금 500억원에 설립된 미래에셋증권이 2021년 금융투자업계 최초로 자기자본 10조원을 달성하는 등 국내 최대 규모 증권사로 성장하는 데 기여했다는 평가를 받는다.박 회장의 창업 동지이자 복심으로 알려진 최 회장은 금융투자업계 처음으로 전문 경영인 출신 회장직에 올랐다. 이후 최 회장은 그룹 주력 회사인 미래에셋증권의 경영을 총괄하고, 박 회장은 해외시장 진출과 인수·합병(M&A) 등 그룹 차원의 전략을 짜는 데 집중해 왔다.이날 최 회장뿐 아니라 조웅기·최경주·이만열 등 부회장들을 포함한 1963년생(60세) 이상 임원들도 현업에서 물러났다. 박 회장은 “26년 전 창업 이후 지금까지 가장 큰 고민이 세대교체다. 향후 10년 이상을 준비하는 전문 경영 체제를 출발시키기로 했다”며 “이번에 퇴임하는 창업 멤버 그룹에 대한 헌신에 무한한 존경을 보낸다”고 밝혔다. 박 회장은 현재 맡고 있는 글로벌전략가(GSO)와 홍콩법인 회장직을 유지한다.이날 미래에셋은 신임 부회장 6명을 선임했다. 증권에서 김미섭 글로벌사업담당 사장, 허선호WM(자산관리)사업부 사장, 이정호 홍콩법인 사장, 자산운용에서 이준용 멀티운용총괄 사장, 스와루프 모한티 인도법인 사장, 생명에서 김재식 사장이 부회장으로 승진했다. 이들 인사는 향후 임시 주주총회에서 최종 확정된다.▲미래에셋그룹◇사장 승진▷미래에셋증권 전경남▷미래에셋자산운용 김영환▷미래에셋금융서비스 김평규◇부사장 승진▷미래에셋증권 안인성 박경수▷미래에셋자산운용 구용덕 김남기 윤주영(GlobalXJapan)▷미래에셋생명 조성식"
