date,title,content
2024-01-05,미래에셋컨설팅 2대 주주에 박현주 회장 아들...지분 승계 시동,"고모가 지분 증여1993년생, 벤처투자 심사역 근무미래에셋 박현주 회장(왼쪽)이 2023년 12월 미래에셋센터원에서 미래에셋희망재단과 주식 기부약정서를 체결했다. /미래에셋그룹 제공미래에셋금융그룹 박현주 회장의 아들 박준범씨가 그룹 지배 구조 핵심에 있는 미래에셋컨설팅의 2대 주주에 올랐다. 미래에셋금융그룹은 ‘박 회장→미래에셋컨설팅→미래에셋자산운용→미래에셋캐피탈→미래에셋증권→미래에셋생명’으로 이어지는 지배 구조를 갖고 있다. 이에 미래에셋도 본격적인 경영 승계에 나선 것 아니냐는 말이 나온다.4일 금융감독원 공시에 따르면, 지난달 26일 박 회장의 여동생 박정선씨가 미래에셋컨설팅 보통주 2만5884주(3.33%)를 조카인 박준범씨에게 증여했다. 박준범씨의 지분율이 기존 8.19%에서 11.52%로 높아지면서 아버지 박 회장(48.63%)에 이어 2대 주주에 오르게 됐다. 1993년생인 박준범씨는 현재 미래에셋벤처투자에서 심사역으로 일하고 있다.기존 2대 주주였던 박 회장의 아내 김미경(10.24%)씨는 셋째로 밀렸다. 이어 박 회장의 딸 박하민·박은민씨가 각각 기존과 같은 8.19%, 박 회장의 조카 송성원·송하경씨가 각각 1.37%를 보유하고 있다.박 회장은 최근 미래에셋컨설팅 지분 25%를 미래에셋희망재단에 기부하는 약정을 맺었는데 이참에 여동생 박정선씨가 박준범씨에게 지분을 증여한 것으로 보인다. 박정선씨도 보유 중인 미래에셋컨설팅 지분을 재단에 기부할 예정이다.현행법상 공익법인인 미래에셋재단이 지분 5% 초과해 기부받으면 증여세를 내야 한다. 그래서 지분 5%가 넘었던 박정선씨는 조카 박준범씨에게 3.3%를 무상 증여하고 나머지 지분(2.36%)만 기부하는 방식을 택한 것으로 보인다. 3.3%를 증여받은 데 따른 세금은 박준범씨가 내는데 증여세만 백억원대에 이를 것으로 보인다."
2024-01-02,"박현주 미래에셋 회장, 미래에셋컨설팅 주식 25% 기부 약정","미래에셋 박현주 회장(왼쪽)이 2023년 12월 미래에셋센터원에서 미래에셋희망재단과 주식 기부약정서를 체결했다.(미래에셋그룹 제공)박현주 미래에셋그룹 회장이 미래에셋컨설팅 지분 25%를 미래에셋희망재단에 기부하기로 약속했다.2일 미래에셋그룹에 따르면 박 회장은 지난달 26일 이러한 내용의 기부약정서를 썼다. 현재 박 회장은 미래에셋컨설팅 지분 48%를 보유하고 있다.미래에셋희망재단은 박 회장이 부모님의 유지를 받들어 1998년 설립했다. 국내 대학생에 장학금을 지원하는 등 사회 공헌 사업을 하고 있다.박 회장은 미래에셋캐피탈, 미래에셋자산운용 주식도 향후 가족 간 협의를 거쳐 기부할 계획이다. 박 회장은 “향후 미래에셋희망재단이 기부 받은 주식으로 한국 경제의 근간인 과학 기술을 발전시키고 청년 인재를 육성하기를 희망한다”고 말했다.미래에셋 관계자는 “앞으로 기부를 하겠다는 선언적 의미라 구체적 시점이 정해지지는 않았다”며 “주식 기부 약속은 전문 경영인 체제를 약속한 박 회장의 의지를 드러낸 것”이라고 했다."
2023-12-12,"최현만, 미래에셋자산운용 지분 450억에 처분","미래에셋컨설팅이 사들여지난 10월 경영 일선에서 물러난 최현만 전 미래에셋증권 회장(현 고문)이 450억원어치의 미래에셋자산운용 지분을 전량 처분해 현금화했다. 이 지분은 미래에셋 창업주 박현주 회장 측이 사들였다.11일 업계에 따르면, 박현주 미래에셋금융그룹 회장의 가족 기업 격인 미래에셋컨설팅은 지난달 20일 이사회를 열고 최 전 회장 등 개인 주주 3명으로부터 미래에셋자산운용 주식 35만5911주를 주당 15만2345원에 취득하기로 결정했다.이에 따라 최 전 회장은 자신이 가지고 있던 29만5055주(2.17%)를 모두 처분해 449억원가량을 손에 쥐게 됐다. 지분을 사들인 미래에셋컨설팅은 미래에셋운용 지분율이 36.92%로 높아졌다. 미래에셋컨설팅은 박 회장이 지분 48.63%를, 아내가 10.24%를, 박 회장의 자녀와 조카 등도 지분을 보유하고 있어 가족 회사로 불린다.최 전 회장의 지분 매각을 두고 업계에선 “박 회장이 창업을 도운 최 전 회장에게 일종의 위로금을 지급한 것이나 다름없다”는 말이 나온다. 미래에셋운용은 상장돼 있지 않은데, 통상 비상장사 지분 매각이 쉽지 않은 상황을 고려할 때 박 회장이 창업 동지인 최 전 회장에게 예우를 해준 것 아니겠느냐는 시각이다. 아울러 최 전 회장이 갖고 있는 미래에셋캐피탈 지분 0.98%도 박 회장이 사들일 수 있다는 관측이 나온다.최 전 회장은 1997년 미래에셋 창립 멤버 중 한 명이다. 미래에셋운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일했다. 지난 10월 말부터 경영고문을 맡고 있다."
2023-12-11,"‘박현주 창업동지’ 최현만, 미래에셋운용 주식 450억에 모두 처분","1999년 미래에셋증권 출범 기념식에서의 박현주(오른쪽) 회장과 최현만 미래에셋증권 대표이사 회장. 미래에셋 창업 멤버인 최현만 회장은 2023년 10월 23일 회장직에서 물러났다.지난 10월 경영 일선에서 물러난 최현만 전 미래에셋증권 대표이사 회장(현 고문)이 450억원 가량의 미래에셋자산운용 지분을 전량 처분(엑시트)하며 홀로서기에 나섰다. 이 지분은 창업주 박현주 회장 측이 사들였다.11일 투자은행(IB) 업계에 따르면 박현주 미래에셋금융그룹 회장의 가족기업 격인 미래에셋컨설팅은 지난달 20일 이사회를 열고 최 전 회장 등 개인주주 3명으로부터 미래에셋자산운용 주식 35만5911주를 주당 15만2345원에 취득하기로 결정했다.최 전 회장은 자신이 가지고 있던 29만5055주(2.17%)를 모두 처분해 449억원 가량을 손에 넣게 됐다. 해당 지분을 사들인 박 회장 측 가족기업 미래에셋컨설팅은 미래에셋자산운용 지분율이 36.92%로 높아졌다. 미래에셋컨설팅은 박 회장이 지분 48.63%를, 부인이 10.24%를, 박 회장의 자녀와 조카 등도 지분을 보유하고 있어 가족회사로 불린다.최 전 회장의 지분 엑시트를 두고 업계에선 “박 회장이 창업을 도운 최 전 회장에게 일종의 위로금을 지급한 것이나 다름없다”는 말이 나온다. 통상 비상장사 지분 엑시트가 쉽지 않은 상황을 고려할 때 박 회장이 창업 동지인 최 전 회장에 대한 예우를 갖춘 것이 아니겠느냐는 시각이다.최 전 회장이 갖고 있는 미래에셋캐피탈 지분 0.98%도 박 회장이 사들일 수 있다는 관측이 나온다.최 전 회장은 1997년 미래에셋금융그룹의 창립 멤버 중 하나다. 그해 미래에셋자산운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일해왔다. 지난 10월 말 세대교체를 위해 용퇴한 뒤 경영고문을 맡고 있다."
2023-10-26,[경제계 인사] 미래에셋그룹,▲미래에셋증권◇부문대표 선임▷GlobalBiz한현희▷Operation노정숙▷IB1 강성범▷IB2 주용국▷PI강길환▷WM영업 최준혁▷채권 이재현▷연금1 류경식▷리스크관리 이두복(내정)◇본부장 선임▷기업금융2 이홍석▷Advisory박광청▷대체투자금융1 김동춘▷대체투자금융2 손임표▷대체투자금융3 김정수▷인프라투자 주원소▷마케팅 변재광▷디지털PB김상화▷상품컨설팅 김진호▷WM혁신 손병호▷대체투자심사 이영준(내정)▷정보보호 사재식▷금융소비자보호 이남곤▷AI솔루션 주세민▷IT인프라 서동현▷트레이딩플랫폼 우규택▷고객자산시스템 신성철◇전무 승진▷IT부문대표 박홍근▷뉴욕법인CEO류재홍▷커뮤니케이션본부장 박신규 ▲미래에셋자산운용◇총괄대표 선임▷대체투자부문 최창훈▷운용부문 이준용▷혁신/글로벌경영부문 김영환▷마케팅부문 이병성◇부문대표/부문장선임▷마케팅전략 이우혁▷WM연금마케팅 손수진▷인프라투자 김방현▷AI최용민▷경영혁신 김국태▷디지털혁신 조정오◇전무 승진▷GlobalXJapanCEO장봉석▲미래에셋생명◇부문대표 선임▷마케팅 김욱래▷보험서비스 조성호▷GA영업 황문규▷디지털 최진혁◇부문대표 전보▷재무 조성식◇본부장 선임▷영업지원 유형창▷상품개발 오상훈▷고객서비스 홍혜진▷감사실장 박준우◇본부장 전보▷방카영업 민유식▷선임계리사&계리(겸직) 이미현▷소비자보호실장(CCO) 최선경▲미래에셋캐피탈◇전무 승진▷신성장투자부문대표 정지광
2023-10-24,‘박현주 창업 동지’ 최현만… 미래에셋 회장직서 용퇴,"경영고문 맡기로… 세대교체 포석최현만 미래에셋증권 회장. /미래에셋증권 제공박현주 회장과 함께 미래에셋그룹을 공동 창업한 최현만 미래에셋증권 대표이사 회장이 현직에서 물러났다. 1997년 미래에셋 창립 멤버로 참여한 지 26년 만이자, 2021년 미래에셋증권 회장에 오른 지 2년 만이다.23일 미래에셋그룹은 최 회장의 후임자를 포함한 그룹 인사를 단행했다. 최 회장은 일선에선 물러나지만 경영 고문직을 맡는다.최 회장은 1961년생으로 전남대를 졸업하고 동원증권에 입사해 지점장으로 근무하다 박 회장과 함께 미래에셋을 창업했다.1997년 미래에셋자산운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일해왔다. 1999년 12월 자본금 500억원에 설립된 미래에셋증권이 2021년 금융투자업계 최초로 자기자본 10조원을 달성하는 등 국내 최대 규모 증권사로 성장하는 데 기여했다는 평가를 받는다.박 회장의 창업 동지이자 복심으로 알려진 최 회장은 금융투자업계 처음으로 전문 경영인 출신 회장직에 올랐다. 이후 최 회장은 그룹 주력 회사인 미래에셋증권의 경영을 총괄하고, 박 회장은 해외시장 진출과 인수·합병(M&A) 등 그룹 차원의 전략을 짜는 데 집중해 왔다.이날 최 회장뿐 아니라 조웅기·최경주·이만열 등 부회장들을 포함한 1963년생(60세) 이상 임원들도 현업에서 물러났다. 박 회장은 “26년 전 창업 이후 지금까지 가장 큰 고민이 세대교체다. 향후 10년 이상을 준비하는 전문 경영 체제를 출발시키기로 했다”며 “이번에 퇴임하는 창업 멤버 그룹에 대한 헌신에 무한한 존경을 보낸다”고 밝혔다. 박 회장은 현재 맡고 있는 글로벌전략가(GSO)와 홍콩법인 회장직을 유지한다.이날 미래에셋은 신임 부회장 6명을 선임했다. 증권에서 김미섭 글로벌사업담당 사장, 허선호WM(자산관리)사업부 사장, 이정호 홍콩법인 사장, 자산운용에서 이준용 멀티운용총괄 사장, 스와루프 모한티 인도법인 사장, 생명에서 김재식 사장이 부회장으로 승진했다. 이들 인사는 향후 임시 주주총회에서 최종 확정된다.▲미래에셋그룹◇사장 승진▷미래에셋증권 전경남▷미래에셋자산운용 김영환▷미래에셋금융서비스 김평규◇부사장 승진▷미래에셋증권 안인성 박경수▷미래에셋자산운용 구용덕 김남기 윤주영(GlobalXJapan)▷미래에셋생명 조성식"
2023-10-23,"[단독] 미래에셋 창업 그룹, 일선서 용퇴, 차세대 전문경영진 체제로","최현만 회장 임명 2년만에...경영고문으로 물러나최현만 미래에셋증권 회장./미래에셋증권박현주 회장과 함께 미래에셋그룹을 공동 창업한 최현만 미래에셋증권 대표이사 회장이 현직에서 물러났다. 1997년 미래에셋 창립 멤버로 참여한지 26년만이자, 2021년 미래에셋증권 회장에 오른지 2년만이다.23일 미래에셋그룹은 최 회장의 후임자를 포함한 그룹 인사를 단행했다. 최 회장은 일선에서는 물러나지만 경영 고문직을 맡게 된다.최 회장은 1961년생으로 전남대를 졸업하고 동원증권에 입사해 지점장으로 근무하다 박 회장과 함께 미래에셋을 창업했다.1997년 미래에셋자산운용 대표이사 상무를 시작으로 26년 동안 미래에셋캐피탈·미래에셋생명·미래에셋증권 등 주요 계열사의 최고경영자(CEO)로 일해왔다. 1999년 12월 자본금 500억원에 설립된 미래에셋증권이 2021년 금융투자업계 최초로 자기자본 10조원을 달성하는 등 국내 최대 규모 증권사로 성장하는 데 기여했다는 평가를 받는다.박 회장의 창업 동지이자 복심으로 알려진 최 회장은 금융투자업계 처음으로 전문경영인 출신 회장직에 올랐다. 이후 최 회장은 그룹 주력 회사인 미래에셋증권의 경영을 총괄하고, 박 회장은 해외시장 진출과 인수·합병(M&A) 등 그룹 차원의 전략을 짜는데 집중해왔다.한 금융투자업계 고위 관계자는 “최 회장의 퇴진은 젊은 임원 선임 등 그룹 분위기를 쇄신 중인 미래에셋 인사의 연장선으로 볼 수 있다”면서도 “최 회장이 금융투자업계에서 갖는 지명도나 인맥 등을 감안할 때 고문으로 그룹에 계속 기여할 것”이라고 말했다.최 회장과 조웅기·최경주·이만열 등 부회장들을 포함, 1963년생(60세) 이상 임원들이 현업에서 물러났다. 퇴임 부회장들은 고문으로 그룹에 기여하게 된다. 박 회장은 “26년전 창업 이후 지금까지 가장 큰 고민이 세대교체다. 향후 10년 이상을 준비하는 전문 경영체제를 출발시키기로 했다”며 “이번에 퇴임하는 창업 멤버 그룹에 대한 헌신에 무한한 존경을 보낸다”고 밝혔다. 박 회장은 현재 맡고 있는 글로벌전략가(GSO)와 홍콩법인 회장직을 유지한다.6명의 신임 부회장들이 선임됐다. 증권에서 김미섭 글로벌사업담당 사장, 허선호WM(자산관리)사업부 대표, 이정호 홍콩법인 대표, 자산운용에서 이준용 멀티운용총괄 대표, 스와루프 모한티 인도법인 대표, 생명에서 김재식 대표가 부회장으로 승진했다. 이들 인사는 향후 임시주주총회 승인을 통해 최종 확정된다."
2022-10-24,"미래에셋, 머스크 트위터 인수 참여…투자 규모는","미래에셋금융그룹 사옥 전경미래에셋금융그룹이 테슬라CEO인 일론 머스크가 추진하고 있는 440억달러(약 63조원) 규모의 트위터 인수에 3000억원 규모로 참여하는 것으로 24일 알려졌다.이날 투자은행(IB)업계에 따르면, 미래에셋자산운용은 최근 머스크의 트위터 인수를 위해 약 3000억원 규모의 펀드를 조성했다. 머스크와 함께 트위터 지분을 공동 인수하는 구조다.일론 머스크 트위터 프로필. /로이터=연합뉴스이 펀드는 미래에셋증권과 미래에셋캐피탈 등 미래에셋 계열사가 미래에셋자산운용이 결성한 ‘미래에셋파트너스제11호사모투자합자회사’에 출자하는 방식으로 조성된다.미래에셋증권은 지난 20일 이 펀드에 1억5796만달러(약 2371억원)를 21일 출자한다고 공시했다. 나머지 약 600억여원은 미래에셋캐피탈과 미래에셋운용 측에서 출자하는 것으로 알려졌다.미래에셋그룹은 머스크가 트위터 인수를 추진하던 지난 4월부터 투자를 계획한 것으로 알려졌다. 하지만 7월 머스크가 트위터 인수 계약 파기를 선언하면서 투자가 보류됐다. 이후 머스크가 트위터 인수를 다시 추진한다고 밝히면서, 미래에셋금융그룹의 이번 투자 참여도 진행된 것으로 보인다.미래에셋은 앞서 7월 머스크의 우주탐사 기업 스페이스X가 유상증자를 시행하자 1억달러(약 1400억원)를 투자하기도 했다.트위터를 사겠다고 했다가 입장을 번복했던 머스크는 현재 계약을 이행하라며 트위터 측에 소송을 당한 상태다. 미국 델라웨어주 형평법 법원은 최근 일론 머스크에게 오는 28일까지 트위터 인수를 완료하라고 명령했다. 그러면서 소송을 일시 중단시켰다.트위터 측은 머스크가 28일까지 440억 달러 규모의 인수 계약을 이행하기 바란다고 압박하고 있다."
2022-11-17,[경제계 인사] 미래에셋그룹,▲미래에셋증권◇사업부 대표 선임▷Global사업부 조웅기▷IB1 사업부 강성범▷IB2 사업부 주용국▷WM사업부 허선호▷PI사업부 강길환▷경영혁신실 이만열(내정)▷경영지원실 전경남◇부문 대표 선임▷GlobalIB부문 양완규▷기업금융부문 김미정▷투자개발부문 이형락▷프로젝트금융부문 김동춘▷투자전략부문 김성주▷경영혁신부문 안종균(내정)▷리스크관리부문 이영준(내정)▷경영지원부문 이기상◇전무▷베트남법인 강문경▷기업금융부문 김미정▷S&T부문 박경수▷그룹위험관리단 노용우▷프로세스혁신본부 노정숙◇PB전무▷투자센터여의도WM남미옥◇상무▷런던법인 김승욱▷프로젝트투자금융1본부 정종욱▷IPO2팀 김진태▷투자센터판교WM정상윤▷연금1부문RM1본부 양희철▷연금1부문RM2본부 김병천▷멀티솔루션본부 박응식▷디지털플랫폼본부 김세훈▷고객케어본부 권오만▷경영혁신본부 김도현▷혁신추진단 정종균▷미디어콘텐츠본부 서상영▷Equity솔루션본부 이제헌▷DeltaOne본부 최선민▲미래에셋자산운용◇부문대표 선임▷투자플랫폼사업부문 이우혁▷ETF마케팅부문 성태경▷투자솔루션부문 권오성◇전무▷미래에셋자산운용(홍콩) 이필상◇상무▷ETF마케팅본부 이승원▷리스크관리부문 김국태▷미래에셋자산운용(홍콩) 송성원▷GlobalXJapan장봉석▲미래에셋생명◇부문대표 선임▷자산운용부문 김준▷방카영업2부문 조성식◇전무▷고객서비스부문(CCM) 정의선▷연금영업부문 전순표◇상무▷고객서비스본부 이후민▷계약관리본부 우지희▷대체투자팀 주원소▲미래에셋캐피탈◇부문대표 선임▷경영혁신부문 강경탁(내정)▲멀티에셋자산운용◇사장▷대표이사 권순학▲미래에셋컨설팅◇사장▷대표이사 김승건◇전무▷광고부문 김은령◇상무▷부동산자산관리본부 김태영▲미래에셋금융서비스◇상무▷운영부문 김수진▷감사(내정) 차승렬
2024-11-13,[경제계 인사] 코오롱인더스트리 대표이사 허성 외,"코오롱그룹의 주력 계열사 코오롱인더스트리 대표이사 사장에 허성 코오롱ENP대표이사 부사장이 승진 내정됐다. 이 회사는 화학·산업 소재의 제조부문과FnC(패션)부문으로 나뉘는데 허 신임 사장은 제조부문을 총괄한다.코오롱그룹은 12일 단행한 정기 사장단 인사에서 그룹의 중국 지주사 대표로 유석진 코오롱인더스트리FnC대표를 겸직 발령내, 글로벌 패션 시장을 본격 공략하기로 했다.BMW·볼보 등 수입차 딜러 사업을 하는 코오롱모빌리티그룹은 이번에 자동차사업과 신사업 부문으로 나눠, 각각 강이구 코오롱베니트 대표(겸직)와 최현석 전무를 각자 대표이사로 선임했다.플라스틱 등 소재기업인 코오롱ENP대표는 김영범 코오롱인더스트리 대표, 자동차 시트 등 원단 가공 전문기업인 코오롱글로텍 대표에는 재무를 총괄했던 정덕용 상무가 각각 내정됐다.▲㈜코오롱▷전무 이수진▷상무 박성중▷상무보 최유정▲코오롱인더스트리제조부문▷전무 박연호▷상무 공원석 김선태 나영일 배진철 이민혁▷상무보 김재철▲코오롱인더스트리FnC부문▷전무 문희숙 안태준▷상무 손형오▷상무보 김정은 김지택▲코오롱글로벌▷부사장 송혁재▲코오롱글로텍▷상무보 권영훈▲코오롱ENP▷상무보 김종오▲코오롱생명과학▷상무보 송영선▲로터스카스코리아▷상무보 김찬기▲코오롱미래기술원▷상무 최헌식노진서LX홀딩스 사장, 하우시스 대표 겸임LX그룹은 노진서LX홀딩스 사장이LX하우시스 대표이사를 겸임하기로 했다고 12일 밝혔다.노 사장은 한주우LX하우시스CPO(최고생산책임자)와 각자 대표를 맡는다.▲LX하우시스▷상무 김우홍 민병기 유혜종▲LX인터내셔널▷전무 강성철▷상무 최민▲LX판토스▷전무 김춘우▷상무 오근택 김성욱 최양옥▲LX세미콘▷부사장 나준호▷전무 윤호권 조장호▲미래에셋증권◇부문대표▷PWM김화중▷WM1 최준혁▷WM2 이성우▷연금RM1 류경식▷연금RM2 양희철▷연금RM3 이종길▷연금혁신 박신규▷투자전략 김민균▷그룹위험 관리 노용우▷Global경영관리 김승욱◇해외법인장▷미래에셋증권 런던법인 김민태◇부사장▷IB2부문 주용국▷파생부문 김연추◇전무▷채권부문 이재현▷리스크관리부문 이재용▷인재혁신부문 이기상▷미래에셋증권(인도) 유지상◇상무▷Trading사업추진본부JonathanRobertSweemer▷PassiveMarketMaking팀 장천기▷채권상품운용본부 배원준▷Equity투자금융팀 이건명▷고용보험기금운용본부 양우석▷Global경영관리본부 계경태▷Global전략팀 문지현▷투자센터창원WM류향수▷투자센터대구WM여재동▷투자센터판교WM오재환▷Sage솔루션2본부 김화중▷Sage솔루션1본부 류희석▷연금1부문RM2본부영업2팀 김현욱▷연금본부 최종진▷결제본부 김영윤▷리서치센터 박희찬▷정보보호본부 사재식▷WM혁신본부 손병호▷홍보팀 엄호천▷재무본부 임용석▷혁신추진단 김민진▷미래에셋증권(싱가포르) 성준엽▷미래에셋증권(홍콩) 이지연▷미래에셋증권(베트남) 이동원▲미래에셋생명◇부문대표▷GA영업 민유식◇전무▷대표이사 황문규◇상무▷자산운용본부 배영식▷디지털본부 이정기▷변액운용본부 위득환▲미래에셋자산운용◇전무▷채권운용2본부 신재훈▷법무실 박종찬▷홍보실 김범석▷미래에셋자산운용(홍콩) 조완연◇상무▷주식운용2본부 문일권▷전략ETF운용본부 이경준▷ITO부문 조정오▲에너지인프라자산운용◇상무▷운용본부 김용수▲미래에셋금융서비스◇전무▷경영혁신부문 김수진▲미래에셋캐피탈◇상무▷감사실 박인찬▷경영혁신본부 박광주▷신성장투자 1본부 이충환▷투자관리실 이재구▲미래에셋벤처투자◇전무▷PE본부 홍동희◇상무▷경영관리본부 박준엽"
