date,title,content
2023-11-16,박영수 재판서 이재명 거론...“대장동 컨소시엄 구성때 이름 등장”,"박영수 전 특별검사.이른바 ‘50억 클럽’ 의혹으로 기소된 박영수 전 특별검사의 재판에서 이재명 민주당 대표의 이름이 언급됐다. 대장동 민간업자들이 컨소시엄을 구성하는 과정에서 박 전 특검과 이 대표 등이 부국증권을 배제하자는 의견을 전달해왔다는 취지의 증언이 나온 것이다.천화동인 4호 소유주인 남욱 변호사는 16일 서울중앙지법 형사33부(재판장 김동현) 심리로 열린 박 전 특검과 양재식 전 특검보 재판에 증인으로 출석해 이같이 증언했다.박 전 특검은 우리은행 이사회 의장이던 2014년 11~12월 남씨와 김만배(화천대유 대주주)씨 등으로부터 대장동 개발 사업 관련 컨소시엄 참여를 청탁 받고, 그 대가로 200억원 상당의 땅과 건물을 약속받은 혐의 등으로 구속기소됐다. 당시 대한변협회장 선거에 출마했던 박 전 특검은 남씨로부터 선거자금 명목의 현금 3억원을 수수한 혐의도 받는다.남씨는 이날 박 전 특검의 도움으로 우리은행이 대장동 성남의뜰 컨소시엄에 합류할 가능성이 높아진 2014년 11월 김만배씨 등으로부터 부국증권을 컨소시엄에서 제외하자는 말을 들었다고 증언했다. 위례 신도시 개발에 참여했던 부국증권은 당초 성남의뜰 컨소시엄에도 참여할 예정이었지만 결과적으로 배제됐다.남씨는 “김씨가 성남도시개발공사에서 하는 (대장동) 사업에 부국증권이 연달아 참여하는 것에 부담을 느낀 것 같다”면서 “수익분배 분쟁도 생길 수 있어 빼자고 했다”고 말했다. 남씨는 이어 “박 전 특검이 (부국증권 참여를) 걱정한다고 김씨와 양 전 특검보가 전달해왔다”며 “결국 박 전 특검도 반대한다고 해서 제가 직접 부국증권을 빼게 됐다”고 했다.검찰이 “당시 김씨는 박 전 특검뿐 아니라 다른 사람도 들면서 부국증권을 빼야 한다고 했는데 기억이 나느냐”고 묻자 남씨는 “이재명 대표”라고 주장했다. 박 전 특검뿐만 아니라 당시 성남시장이었던 이 대표도 민간업자들의 컨소시엄 구성에 의견을 전해왔다는 취지의 진술이다. 검찰이 “최재경 전 수석도 (김씨가 언급한 사람에) 있었느냐”고 하자 남씨는 “있었다”고 답했다.남씨는 또 2014년 10월쯤 김씨 등과 함께 양 전 특검보를 통해 박 전 특검에게 우리은행의 컨소시엄 참여를 청탁했고, ‘도와주겠다’는 취지의 답을 들었다고 증언했다. 남씨는 박 전 특검으로부터 “필요한 일 있으면 이야기해라. 실무적인 부분은 양 전 특검보와 상의하라”는 얘기도 들었다고 주장했다.남씨는 자신들의 청탁을 승낙한 박 전 특검이 변협회장 선거자금 마련을 요청했다고도 말했다. 검찰이 “양 전 특검보로부터 ‘곧 박 전 특검이 변협회장 선거에 나가는데 자금이 좀 필요할 거 같다’며 선거자금을 요청받은 적 있느냐”고 묻자 남씨는 “그렇다”고 답했다.이후 남씨는 양 전 특검보를 통해 2014년 11∼12월 총 세 차례 걸쳐 현금 3억원을 전달했다고 증언했다. 남씨는 이 같은 사실을 보고받은 박 전 특검이 “고맙다”고 했다고도 말했다."
2023-04-24,"검찰, ‘곽상도 50억 뇌물’ 관련 산업은행·호반건설 압수수색","대장동 ‘50억 클럽’ 의혹을 수사 중인 검찰이 곽상도 전 국회의원 등의 뇌물 혐의와 관련해 산업은행과 호반건설을 압수수색 하고 있다.서울중앙지검 전경. /뉴스1서울중앙지검 반부패수사3부(부장 강백신)는 24일 곽 전 의원과 아들 곽병채씨 등의 범죄수익은닉규제법 위반 혐의, 곽병채씨에 대한 특가법 위반(뇌물) 혐의와 관련해 산업은행과 호반건설 등 관계자들의 이메일 서버 등에 대한 압수수색을 진행 중이라고 밝혔다.검찰이 산업은행 컨소시엄에 대해 압수수색에 나선 것은 이번이 두번째다. 검찰은 지난 11일에도 호반건설과 부국증권을 압수수색 했다. 호반건설, 부국증권은 화천대유 대주주 김만배씨 등 대장동 일당과는 별개로 사업을 추진하거나 검토한 기업들이다.검찰은 대장동 사업 공모 당시 산업은행 컨소시엄 측이 김만배씨가 참여한 ‘성남의뜰’ 컨소시엄 소속인 하나은행에게 ‘산은 컨소시엄과 함께 대장동 사업을 하자’고 제안한 상황에서 곽 전 의원이 하나은행에 영향력을 행사해 성남의뜰에서 이탈하지 못하게 해주는 대가로 김만배씨에게 돈을 받았다고 보고 있다.지난 2월 1심 법원은 곽 전 의원이 김만배씨로부터 아들의 화천대유 퇴직금 명목으로 50억원(세후 25억원)을 받았다는 혐의에 대해 무죄를 선고했다. 이후 검찰은 보강 수사를 통해 곽 전 의원의 아들을 뇌물 혐의 공범으로 입건한 상태다.곽 전 의원은 이날 “검찰의 압수수색 대상은 호반건설, 산업은행, 부국증권 등 화천대유와 하나은행이 참여한 컨소시엄의 경쟁 컨소시엄 구성사들일 뿐이고, 특경법상 알선수재 혐의와 관련된 것에 불과하다”면서 “압수수색 영장 상의 혐의인 범죄수익은닉규제법위반과는 무관한 별건 압수수색을 한 것”이라고 했다."
2022-03-31,"삼성전자∙카카오도 발라 버린 ‘연봉 2억’ 회사, 어디?","삼성전자, 카카오, 네이버 등 국내 날고 긴다는 대기업들도 직원들의 지갑을 채워주는 데 있어서는 이 회사들을 따라가기 힘들다는 분야가 있다. 요즘 가장 잘 나간다는IT∙게임회사들보다 더 잘나간다는 이곳. 바로 증권업계다.직원 평균 연봉이 2억원대, 실화냐?2021년 유달리 실적이 좋았던 증권업계. 이 덕분에 국내 증권사들의 직원 평균 연봉(1인당 평균 급여)이 1억원을 넘어 이젠 2억원대를 맞았다. 1인당 평균 급여는 한 해동안 지급한 전체 급여액을 등기 임원을 제외한 전 직원 수로 나눈 값이다. 이 금액에는 매달 받는 급여를 비롯해 상여금과 성과금, 복리후생비 등이 포함된다.국내 증권사 가운데는 직원 평균보수가 2억원이 넘는 곳들이 있다각 증권사가 공시한 2021년 사업보고서를 살펴보면, 직원 1인당 평균 급여액이 2억원을 넘은 증권사는 부국증권, 한양증권, 메리츠증권,BNK투자증권 등이었다. 이 가운데 부국증권은 2020년 2억원대 평균 보수를 기록한 이후 2년 연속 2억원대 보수를 기록했다. 이외 증권사들은 2021년 새롭게 2억원 클럽에 진입했다.2억원대 보수를 지급하는 증권사들 가운데서도 가장 많은 돈을 준 회사는BNK투자증권이었다.BNK투자증권의 2021년 직원 1인당 평균 급여액은 2억6600만원으로, 전체 증권사 가운데 가장 많았다. 더 놀라운 건BNK증권의 높은 급여 인상률이다. 이 회사의 2020년 직원 1인당 평균 급여액은 1억5400만원이었다. 단순하게 생각해 보면,BNK증권 직원들은 지난 1년간 연봉이 약 1억1200만원, 그러니까 72.7%나 오른 것이다.특히 이 회사의 본사 영업직과 운용∙리서치 부문의 남성 근로자 평균 보수는 4억6700만원을 기록해 눈길을 끌었다. 반면 지원∙리테일 부문 여성 근로자의 1인당 평균 보수는 7600만원 수준이었다. 직군과 성별로 연봉 차이가 꽤 벌어진 셈이다.보수 2위는 부국증권이었다. 부국증권의 2021년 1인당 평균 급여액은 2억4269만원이었다. 그 다음은 한양증권과 메리츠증권이 각각 2억2500만원, 2억492만원 순으로 많은 보수를 지급한 것으로 나타났다.2억원에 미치지는 못했지만 2억원 수준의 보수를 준 증권사들도 있었다. 2022년 다올투자증권으로 사명을 바꾼KTB투자증권과 이베스트투자증권이었다. 이들 회사의 직원 1인당 평균 보수는 1억9900만원이었다.삼성증권과NH투자증권 등 대형 증권사들의 직원 평균 보수는 대체로 1억원 수준이었다. 삼성증권이 1억6800만원,NH투자증권이 1억5800만원,KB증권이 1억5600만원이었다. 한국투자증권과 미래에셋증권도 각각 1억5475만원, 1억 4400만원을 기록했다.반면 1억원에 미치지 못하는 보수를 지급하는 증권사들도 있었다. 상상인증권과 유화증권의 2021년 직원 1인당 평균 급여액은 각각 7100만원과 4400만원이었다.‘한 해 보수 68억’…대표보다 많이 받는 지점장 나오기도성과가 좋으면 많은 돈을 벌 수 있는 증권업계증권사 직원 개인으로 봤을 때는 ‘연봉킹’은 삼성증권 소속이었다. 강정구 삼성증권 영업지점장은 2021년 급여와 상여로 각각 7800만원과 67억6300만원을 받았다. 이를 더하면 강 지점장이 2021년 보수로 챙겨간 금액은 총 68억5500만원에 달한다.같은 시기 장석훈 삼성증권 대표이사가 받은 보수 총액은 23억1200만원이었다. 영업지점장이 대표보다 훨씬 많은 돈을 받아간 것이다. 삼성증권은 “강 지점장은 글로벌 트렌드 인사이트를 바탕으로 국내외 투자를 적극적으로 확대해 고객 수익률에 크게 기여했다”고 설명했다. 성과가 좋았던만큼 많이 가져간 것이 당연하다는 설명이었다.강 지점장처럼 60억원대 수익을 기록한 이들로는BNK투자증권의 임익성 상무와 김남원 이사대우가 있다. 이들의 보수는 각각 61억8000만원과 60억9800만원 수준이었다. 이들 역시 강 지점장과 마찬가지로 급여보다는 상여 부문에서 급여 총액의 대부분을 벌어 들였다.증권사 보다는 적어도 ‘억소리’나는 상장사도 다수증권사보다는 ‘소박’하지만 직원들에게 상당한 보수를 지급하는 상장사들도 적지 않다. 국내 주요 상장사 가운데 2021년 직원 평균연봉이 1억원을 넘는 회사들은 스무곳 이상이었다.직원들에게 높은 연봉을 지급하는 주요 상장사들금융감독원 전자공시시스템에 공시된 주요 상장사들의 사업보고서를 보면 2021년 직원 평균 연봉이 1억원을 넘는 회사는 총 24개사였다. 이중 가장 많은 연봉을 지급한 회사는 카카오였다. 카카오의 직원 평균연봉은 1억7200만원이었다. 카카오의 연봉은 2020년의 1억800만원과 비교하면 59% 오른 수치다.그 다음으로는SK텔레콤이 많은 보수를 주는 것으로 나타났다.SK텔레콤 직원들의 평균연봉은 1억6200만원이었다. 느낌상으로는 가장 많은 연봉을 줄 것으로 여겨졌던 삼성전자는 1억4400만원을 지급해 국내 주요 상장사 가운데서는 세 번째로 많은 연봉을 줬다.카카오의 라이벌인 네이버의 평균연봉은 1억2900만원이었으며 그 뒤로는 삼성SDS(1억1900만원),SK하이닉스(1억1520만원), 에쓰오일(1억1500만원), 삼성물산(1억1300만원), 대한유화(1억1200만원), 삼성엔지니어링·금호화학석유·LX인터내셔널(1억1100만원), 삼성전기·삼성SDI(1억1000만원), 포스코(1억900만원), E1(1억800만원) 등의 순이었다.2021년 처음으로 평균연봉 1억원대 기업에 이름을 올린 기업들도 있다. 포스코(1억900만원)와LG화학(1억300만원), 롯데케미칼(1억700만원), 팬오션(1억원), 기아(1억1000만원),SK(1억700만원) 등 11개사다.네이버는 2020년 1억200만원을 기록하며 평균연봉 1억원을 달성했고, 2021년 1억2900만원으로 1억원대를 2년 연속 유지했다.SK하이닉스는 2010년대 후반까지 평균연봉 1억원을 유지하다가 2020년 9400억원으로 떨어졌다가 2021년 다시 1억원 수준을 회복했다.KT와LG유플러스는 각각 9500만원, 9400만원대 평균연봉을 기록해 1억원대 연봉을 주는 기업 리스트에 이름을 올리지 못했다. 현대차는 평균연봉 9400만원을 기록했다."
2022-04-08,“연봉 1억에 기뻐했더니”...직장인 ‘꿈의 연봉’ 2억 시대 열린다,"직장인들의 꿈의 연봉은 얼마일까요? 저마다 희망하는 연봉은 다르겠지만 ‘연봉 1억’은 직장인에게 성공의 상징 같은 숫자입니다. 고소득자임을 증명함과 동시에 사회에서 어느 정도 자리잡았음을 드러내는 지표이지요. 연봉 1억원이면 각종 세금을 떼고 한 달에 600만원 정도를 번다고 볼 수 있습니다.그런데 이 ‘꿈의 연봉 1억’ 시대가 닫히고 있다고 합니다. 직원 평균 연봉이 1억원대를 우습게 넘는 업종들이 최근 몇 년 새 등장하고 있어요. ‘내 월급 빼고 다 오른다’는 말은 언제나 옳지만 그렇다고 월급이 아예 오르지 않은 것은 아니기 때문이죠. 직장인 연봉 지형이 어떻게 변화하고 있는지 잡스엔이 살펴봤습니다.◇ 대기업 4곳 중 1곳은 ‘연봉 1억’직원 연봉이 1억원을 넘는 이른바 ‘1억 클럽’에 해당하는 국내 대기업 수는 2년 새 2배 넘게 늘었습니다. 전국경제인연합회 산하 한국경제연구원이 매출액 100대 비금융업 상장사 중 2019~2021년 3개년 사업보고서가 공개된 기업 85개사를 살펴봤더니, 2021년 평균 연봉이 1억원을 넘긴 기업은 모두 21곳이었습니다.‘연봉 1억’ 기업은 2020년은 10곳, 2019년은 8곳이었습니다. 2년 만에 2.6배 늘어난 수치죠. 비율로 따지면 2019년 기업 10곳 중 1곳(약 9%)이 직원 평균 연봉이 1억원이었는데 2020년엔 기업 4곳 중 1곳(약 25%)이 직원 평균 연봉이 1억원인 셈입니다.삼성전자,SK텔레콤, 에쓰오일,LG화학, 삼성물산, 롯데케미칼, 네이버, 기아, 포스코 등이 이러한 ‘1억 클럽’에 있는 기업입니다. 그 중SK텔레콤이 평균 연봉 1억 622만원으로 가장 높았지요.2022년 ‘1억 클럽’ 기업 수는 더 많아질 듯합니다. 지난 3년간 연봉 증가율을 고려하면 2022년에는 31곳으로 늘어날 것이라고 한경연은 예측했습니다.LG전자, 현대모비스, 만도, 동국제강, 현대건설, 아모레퍼시픽 등이 유력 후보이지요.또 이 조사에서 금융사나 3년치 사업보고서가 없는 카카오 같은IT·플랫폼 업체가 포함되지 않았음을 고려하면 연봉 1억 직장은 더 많을 것으로 추정돼요. 금융감독원 전자공시시스템에 따라 산출한 카카오 임직원의 2021년 평균 연봉은 1억7200만원이었습니다.평균 연봉이 2억원을 넘는 회사들이 속출하면서 직장인 성공의 상징인 ‘연봉 1억’의 의미가 달라지고 있다. /픽사베이◇ 증권사 평균 연봉 2억 시대 열다그렇다면 금융사는 어떨까요? 이미 평균 연봉 1억원대를 훌쩍 넘고 연봉 2억원 시대를 연 업계가 있습니다. 2021년 실적 호조를 겪은 증권사들이지요. 동학개미(국내 주식 투자자)와 서학개미(해외 주식 투자자)의 투자 열풍에 힘입어 이들 회사는 역대 최대 실적을 내면서 직원 성과급도 두둑히 챙겨줬습니다.최근 각 사가 공시한 2021년 사업보고서를 볼까요? 2021년 직원 1인 평균 급여액이 2억원을 넘는 증권사는BNK투자증권(2억6600만원), 부국증권(2억642억원), 한양증권(2억2500만원), 메리츠증권(2억492만원) 등입니다.여기에서 1인 평균 급여액은 연간 급여 총액을 직원 수(등기 임원 제외)로 나눈 값입니다. 급여, 상여, 성과급, 복리후생비까지 포함했지요.2020년만 해도 직원 평균 연봉 2억원인 회사는 부국증권(2억642억원)이 유일했는데 한 해 만에 4곳으로 늘어났지요. 특히 2021년 부국증권 본사영업·운용·리서치 부문 남성 직원 161명의 평균 보수는 4억6700만원에 달했습니다. 직군과 성별에 따라 연봉 격차가 큰 것으로 보입니다.대형사를 비롯해 증권사들의 2021년 평균 연봉은 이미 1억5000억원대를 형성하고 있습니다. 삼성증권(1억6800만원),NH투자증권(1억5800만원),KB증권(1억5600만원), 한국투자증권(1억5475만원), 미래에셋증권(1억4400만원)의 평균 연봉 수준을 보면 ‘연봉 1억 클럽’보다는 ‘연봉 1억5000 클럽’이라고 부르는 게 합당해 보입니다.2021년 사업보고서를 공시한 25개 국내 증권사 중 평균 급여가 1억원 미만인 회사는 소형사인 유화증권과 상상인증권 2곳 뿐이었습니다.은행은 어떨까요? 신한·KB국민·하나·우리은행 등 4대 시중은행 평균연봉이 처음으로 나란히 1억원을 돌파했습니다. 이제 금융권에서 ‘억대 연봉’은 명함도 내밀지 못하겠네요.◇ 코인 업계는 평균 연봉 4억 회사도 등장코인 거래소 두나무의 2021년 직원 평균 연봉은 4억원에 이른다. /두나무국내 가상화폐 거래소 업비트 운영사인 두나무는 실적도 말그대로 ‘돈 복사’에 가깝습니다. 2021년 임직원 평균 연봉이 4억원에 육박했지요. 두나무가 얼마 전 공시한 2021년 사업보고서에 따르면 지난해 임직원 1명당 평균 급여는 3억9294만원이었습니다. 다만 이들의 평균 연봉은 대표이사부터 신입사원까지 전 직원을 단순히 머릿수로 나눴기에 모든 직원이 4억원씩 받는다고 보기엔 무리는 있습니다.2021년 두나무의 영업수익(매출)은 3조746억원을 기록하며 전년 대비 21배 급증했죠. 2021년 가상자산 시세가 급변하면서 거래량이 증가하자 수수료 수익이 늘고 폭발적으로 회사가 성장한 거예요.직원 수가 적은 것도 ‘4억 연봉’의 원인으로 꼽힙니다. 2021년 한 해 영업이익만 3조억원대로 대형 금융지주와 맞먹지만 직원 수는 370명에 불과합니다. 직원 1인당 87억원을 벌어들인 셈이지요. 일례로KB국민은행은 2조5908억원을 벌어들였지만 직원 수가 1만5503명에 이릅니다. 그러니 코인 거래소인 두나무가 여느 금융권보다 직원 한 명이 가져가는 연봉이 높을 수밖에 없는 것입니다.어찌됐든 평균 연봉이 공개되자, 업계에서는 ‘두나무가 아니라 돈나무’라는 우스개도 나오고 있어요. 새삼 이 회사의 복지도 화제가 되고 있습니다.두나무 임직원은 매년 본인을 포함해 4인가족 기준 1인당 100만원 상당의 건강검진을 지원하고 있습니다. 또 연봉의 3배까지 보상해주는 생명보험, 본인·배우자 및 직계 존비속 대상 치과 진료를 포함한 실손 의료비가 지원됩니다. 1년 이상 재직하면 최대 1억원까지 무이자 대출을 받을 수 있고요.여러모로 연봉 1억원의 꿈이 무색해지는 시대가 되었습니다. 잘 나가는 업계에서는 평균 급여가 4억원인 회사까지 나온 마당이니까요. 곧 꿈의 연봉이 2억원대로 조정되는 날도 머지 않아 보입니다."
2023-06-08,"50억 곽상도, 하나은행의 대장동 사업 이탈 막아준 정황","부국·호반 “하나은행, 성남의뜰서 나와라” 압박대장동 ‘50억 클럽’ 의혹을 수사하는 검찰은 부국증권과 호반건설 등이 하나은행을 성남의뜰 컨소시엄에서 빼내려 했고 곽상도 전 의원이 이를 막아준 의혹을 수사 중인 것으로 8일 전해졌다.곽상도 전 의원이 지난 2월 1심에서 무죄를 선고받고 심경을 밝히는 모습. /뉴스1서울중앙지검 반부패수사3부(부장 강백신)는 2015년 대장동 사업을 준비하던 하나은행이 성남의뜰 컨소시엄을 이탈하려고 하자 곽 전 의원이 영향력을 행사해 이탈을 막고, 그 대가로 화천대유 대주주 김만배씨로부터 50억원을 받은 혐의를 수사 중이다.검찰은 지난해 2월 곽 전 의원을 김씨로부터 아들 퇴직금 명목으로 50억원(세후 25억원)의 뇌물을 받은 혐의로 기소하면서, 산업은행 컨소시엄에 속해 있던 호반건설이 하나은행에게 더 많은 수익을 보장하겠다며 접근하자 김씨가 곽 전 의원에게 부탁해 하나은행 이탈을 막아달라고 부탁했다고 밝혔다.그러나 1심 법원은 지난해 2월 곽 전 의원에게 무죄를 선고했다. 법원은 곽 전 의원이 김씨에게 청탁을 받았다고 볼 수 없고, 하나은행 이탈로 성남의뜰 컨소시엄이 와해될 위기에 처했다고 보기 어렵다고 판단했다.이후 재수사에 착수한 검찰은 호반건설과 부국증권 등 산업은행 컨소시엄에 속해 있던 회사들이 조직적으로 하나은행을 성남의뜰 컨소시엄에서 이탈시키려 했다고 판단하고 있다. 검찰은 지난 4월 호반건설과 산업은행을 두 차례에 걸쳐 압수수색 했다. 최근 참고인 조사를 거의 끝마친 검찰은 조만간 곽 전 의원 등을 피고인 신분으로 소환 조사할 전망이다."
2023-04-11,"검찰, ‘50억 클럽’ 곽상도 아들 뇌물공범 입건","대장동 사건을 수사하는 검찰이 11일 이른바 ‘50억 클럽’ 의혹을 받고 있는 곽상도 전 의원과 아들의 뇌물 수수 및 범죄수익 은닉 혐의를 보강하기 위한 압수수색에 나섰다.이날 서울중앙지검 반부패수사 3부(부장 강백신)는 호반건설, 부국증권 등을 압수수색했다. 호반건설과 부국증권은 2015년 대장동 사업 공모 당시 김만배(화천대유 대주주)씨 등 대장동 일당과는 별개로 사업을 추진하거나 검토했던 기업들이다.검찰은 대장동 공모 당시 산업은행 컨소시엄 소속이던 호반건설이 김만배씨가 참여한 성남의뜰 컨소시엄 소속인 하나은행에 ‘산은 컨소시엄과 함께 대장동 사업을 하자’고 제안하자 곽상도 전 의원이 하나은행에 영향력을 행사해 성남의뜰에서 이탈하지 못하게 해주는 대가로 김만배씨에게 돈을 받았다고 보고 있다. 이날 압수수색은 이를 뒷받침하는 참고 자료를 확보하기 위한 것이다.지난 2월 1심 법원은 곽 전 의원이 김만배씨로부터 아들의 화천대유 퇴직금 명목으로 50억원(세후 25억원)을 받았다는 혐의에 대해 무죄를 선고했다. 이에 이원석 검찰총장은 “반드시 진실을 찾아 정의를 바로 세우기 바란다”고 했고, 검찰은 보강 수사를 통해 곽 전 의원의 아들을 뇌물 혐의 공범으로 입건했다."
2023-04-11,"검찰, ‘50억 클럽’ 곽상도 父子 관련 호반건설 압수수색","대장동 ‘50억 클럽’ 의혹을 수사하는 검찰이 곽상도 전 의원과 아들 병채씨의 범죄 수익 은닉 및 뇌물 혐의와 관련해 호반건설 등에 압수수색에 나섰다.서울 서초구 서울중앙지검. ⓒNews1 박세연 기자서울중앙지검 반부패수사3부(부장 강백신)는 11일 오전 호반건설과 부국증권 관계자 사무실 등 10여곳에 검사와 수사관을 보내, 이들 업체가 대장동 사업 과정에서 산업은행 컨소시엄에 참여했던 것과 관련해 자료를 확보 중이다.검찰은 산업은행 컨소시엄 측이 대장동 개발 최종 사업자로 선정된 ‘성남의뜰’ 컨소시엄에서 하나은행을 밀어내려고 했다는 정황을 포착한 것으로 전해졌다. 호반건설은 산업은행 컨소시엄에 참여를 했고, 부국증권은 산업은행 컨소시엄 측으로부터 참여 제안을 받고 고민을 하다가 최종적으로는 참가하지 않은 것으로 알려졌다. 대장동 수사팀이 산업은행 컨소시엄 관련 압수수색에 나선 것은 이번이 처음이다.검찰은 곽 전 아들 병채씨를 곽 전 의원의 뇌물 혐의 공범으로 입건하고, 곽 전 의원 부자(父子)가 뇌물을 병채씨의 화천대유 퇴직 때 성과금 명목으로 받으면서 범죄 수익을 은닉한 것으로 보고 수사 중이다.검찰은 작년 2월 곽 전 의원을 대장동 일당인 김만배(화천대유 대주주)씨로부터 아들 퇴직금 명목으로 50억원(세후 25억원)의 뇌물을 받은 혐의로 기소하면서, 호반건설이 성남의뜰에 참여하기로 한 하나은행에게 손을 잡자고 제안한 상황에서 곽 전 의원이 하나은행에 영향을 행사해 성남의뜰 컨소시엄이 와해되는 것을 막아달라는 청탁을 받았다고 밝힌 바 있다.곽 전 의원은 하나은행 측에 영향력을 행사하는 대가로 김만배씨로부터 뇌물을 받았다는 혐의 외에도 남욱 변호사(천화동인 4호 소유주)에게 불법 정치자금 5000만원을 받은 혐의로 기소됐고, 지난 2월 1심에서 불법 정치자금 위반 혐의만 유죄로 인정돼 벌금 800만원과 추징금 5000만원을 선고받았다.곽 전 의원 측은 “곽 전 의원과 아들이 범죄수익은닉규제법위반 혐의로 입건되었다는 것은 처음 들었다”며 “곽 전 의원과 아들에 대한 압수수색도 없었다. 그런데 곽 전 의원과 아들에 대한 압수수색이 되는 것처럼 오해될 수 있는 내용이 공지된 것에 유감을 표한다”는 입장을 밝혔다. 그러면서 “최근 김만배씨에 대한 보석 심문에서 검찰이 김만배씨가 이성문씨를 통하여 곽 전 의원 아들에게 증언 연습을 시켰다는 취지로 주장을 하였다고 보도됐다”며 “이것도 금시초문으로 사실이 아닌 것으로 알고 있다. 검찰은 언제 어디서 어떻게 증언 연습을 시켰다는 것인지 그 내용을 밝혀야 한다”고 했다."
2024-07-18,[부음] 김현욱 前 4선 국회의원 별세 외,"▲김현욱前 4선 국회의원 별세,김혜선단국대 음대 명예교수 남편상,김석원벽산엔지니어링 근무·김영은수원대 음대 학장 부친상,이호준민주평통 근무 장인상,나은경시부상=17일3시 분당서울대병원, 발인 19일6시30분, (031)787-1508▲이근호별세,이종성부국증권 기업금융본부장 장인상=17일8시 중앙대병원, 발인 19일10시, (02)860-3502▲장정선별세,김승민·김성배·김승희모친상,박호윤前 한국프로골프협회 사무국장 장모상=17일2시 신촌세브란스병원, 발인 19일6시, (02)2227-7500"
2024-05-08,[부음] 구영회 청평영락교회 협동목사 별세 외,"▲구영회청평영락교회 협동목사 별세,구자동DBS은행 본부장·구자봉목사·구은경중앙대 박사과정·구자철치과의사 부친상=7일18시41분 삼성서울병원, 발인 10일6시45분, (02)3410-6901▲김병래별세,윤귀순남편상,김경옥·김영희·김희선·김상범부친상,최용복상해진화한국 부사장·홍석동이투데이 편집부 기자 장인상,장명심시부상=6일17시28분 고대안암병원, 발인 8일11시, (02)927-4404▲김종삼별세,김수前 광주광역시 동신고 교사·김덕용화가·김현신서울 삼선중 행정실 근무·김혜란전남 보성 회천초 교사·김혜정초등학교 교사 부친상,김형규전남 구례중 교감·김형준광주지방법원 서기관 장인상=6일14시 광주광역시VIP장례타운, 발인 9일8시, (062)521-4444▲서윤호별세,노명옥남편상,서주민TV조선 정치부 차장·서주빈삼성전자 연구원 부친상,박정은서울지방식품의약품안전청 주무관 시부상=7일17시51분 고대구로병원, 발인 9일10시, (02)857-0444▲윤석자별세,김진명전북대 명예교수·김경원경기대 명예교수·김보수글로벌산업경쟁력포럼 회장·김지수前 부국증권 상무 모친상,어윤경국립공주대 교수·박원선시모상=6일14시2분 서울아산병원, 발인 9일7시, (02)3010-2000▲황미옥별세,김문석·김명희·김동석한인유권자연대 대표·김홍석·김순희·김성희모친상=7일9시 일산백병원, 발인 10일5시30분, (031)902-4444"
2024-03-19,[부음] 김원태씨 별세 외,"▲김원태별세,이상철삼성서울병원 심장뇌혈관병원장 장인상=18일14시31분 삼성서울병원, 발인 20일6시50분, (02)3410-6919▲김충언별세,이종성부국증권 기업금융본부장 모친상=18일1시 경남 진주제일병원, 발인 20일8시30분, (055)750-7100▲김훈곤前 한국서예협회 이사장 별세,기영순남편상,김석원현대캐피탈 캐나다지사 감사팀장·김상원부친상=16일21시57분 고려대 구로병원, 발인 19일7시30분, (070)7606-4166▲박상태前 서강대 사회학과 교수 별세,한영숙남편상,박진아파주 연세송내과 원장·박덕준서울 기린성형외과 원장 부친상,송대훈파주 연세송내과 원장 장인상,이정원JW노무사사무소 대표 시부상=17일20시8분 신촌세브란스병원, 발인 20일7시, (02)2227-7556▲안혜성별세,우연숙·우인숙모친상,김영수前 인하대 의대 교수·한승경우태하 한승경 피부과 원장 장모상,김지완·김경완·한시우·한유선외조모상=17일19시 신촌세브란스병원, 발인 20시7시30분, (02)2227-7550▲유덕택前 조선일보 인천지사장 별세,유세웅부친상=18일6시52분 인하대병원, 발인 20일5시20분, (032)890-3191▲이금별세,김민호사업·김경호모친상,박주상태광티에프 대표 장모상=18일2시40분 서울아산병원, 발인 20일5시40분, (02)3010-2000"
