date,title,content
2024-12-31,"尹의 검찰 선배 김홍일·윤갑근, 변호인으로 나서","체포영장 청구되자 선임계 제출김홍일 전 방송통신위원장(왼쪽)과 윤갑근 변호사.고위공직자범죄수사처(공수처)가 30일 내란 우두머리(수괴) 등 혐의로 체포영장을 청구하자, 윤석열 대통령은 김홍일 전 방송통신위원장과 대구고검장 출신의 윤갑근 변호사를 변호인으로 선임했다.윤 대통령 법률대리인단 대표를 맡은 김 전 위원장은 윤 대통령이 “섞박지를 보면 떠오르는 귀한 선배”라고 말할 정도로 가까운 사이로 알려진 인물이다. 김 전 위원장의 ‘섞박지 일화’는 작년 12월 윤 대통령이 그를 방통위원장 후보자로 지명하면서 알려졌다. 윤 대통령이 가까운 인사들과 설렁탕 가게를 찾았을 때 “부모님을 일찍 여읜 김 선배가 세 동생을 직접 키우면서 섞박지를 그렇게 많이 만들어 반찬으로 먹었다고 했다”며 “그런데 돈이 없어 고춧가루 대신 무에 소금으로만 간을 했다더라. 섞박지를 보면 생각나는 이유”라고 말했다는 것이다.김 전 위원장은 서울중앙지검 3차장, 대검찰청 마약·조직범죄부장, 중앙수사부장, 부산고검장 등을 지낸 검찰 내 대표적인 특수부 검사 출신이다. 대검 중수부장 시절 중수2과장이던 윤 대통령과 호흡을 맞춰 2011년 부산저축은행 비리 사건 수사를 함께 이끌었다. 2022년 대선 때는 윤석열 캠프 내 정치공작진상규명특별위원장을 맡았고, 윤 대통령 취임 이후엔 국민권익위원장과 방통위원장을 지냈다.김 전 위원장은 지난 7월 더불어민주당이 탄핵하려 하자 자진 사퇴했고, 지난 10월 고문 변호사로 있던 법무법인 세종에 복귀했다. 김 전 위원장은 이달 초 세종 측에 구두로 퇴직 의사를 밝힌 것으로 알려졌다.역시 특수부 선배인 윤갑근 변호사는 박근혜 정부 때인 2016년 8~11월 우병우 전 청와대 민정수석의 비리 의혹 특별수사팀장을 지냈고, 2015년 대검 반부패부장으로 ‘정윤회 문건’ 사건 수사를 지휘했다. 2014년 윤 대통령이 대구고검으로 좌천된 이후 이듬해 12월 윤 변호사가 대구고검장으로 부임하면서 함께 근무한 인연도 있다."
2024-09-24,"부산시 주·부금고, 부산·국민은행 그대로 유지","부산 남구 문현동 문현금융단지 안BNK부산은행 본점 전경. /BNK부산은행 제공부산시 주금고(제1금고)와 부금고(제2금고)로BNK부산은행과KB국민은행이 각각 다시 선정됐다.부산시는 24일 금고선정심의위원회에서 주금고 1순위로 부산은행을, 부금고 1순위로 국민은행을 각각 선정했다고 밝혔다. 이로써 부산은행과 국민은행은 내년부터 4년간 15조원이 넘는 부산시 예산을 계속 관리하게 됐다. 시는 박형준 부산시장의 결재를 거쳐 오는 10월 초 부산시 금고 최종 선정 결과를 공고할 계획이다.부산은행은 2001년부터 24년째 부산시 주금고를, 국민은행은 12년째 부산시 부금고를 맡고 있다. 올해 부산시 주금고 선정 입찰에는 부산은행 외에 국민은행과IBK기업은행이 뛰어들어 치열한 경쟁을 펼쳤다.부산시 주금고는 부산시 예산 중 70%가량인 일반회계와 19개 기금을, 부금고는 나머지 30%가량인 14개 특별회계 예산을 각각 관리한다. 또 시 금고로 지정될 경우 지역에서의 브랜드 신뢰도 상승 등 부가효과를 얻는다.시 측은 “앞으로 4년 안에 부산시가 연간 28조원에 달하는 지방소비세 납입관리자로 지정될 가능성이 높다”며 “주금고와 부금고 가운데 높은 예치금리를 제시하는 쪽이 지방소비세를 관리할 수 있게 되는 이점도 있다”고 말했다.부산은행은 부산신용보증재단에 2020년부터 5년간 연평균 101억원, 모두 505억원을 출연하며 상생 경영을 실천하고, 지역 사회공헌 활동을 활발히 펼치는 등 지역 사회 기여와 시민 편의성 등에서 높은 평가를 받은 것으로 알려졌다.국민은행은 올해 부산신보에 은행 가운데 가장 많은 120억원을 출연했고, 금리와 막강한 자금력을 장점으로 부금고 수성에 성공한 것으로 평가된다."
2023-12-19,"PF 담당 은행원들이 ‘떡값’ 상품권 수수…금감원, 부산은행 검사 착수","BNK부산은행 전경(부산은행 제공)BNK부산은행의 부동산 프로젝트파이낸싱(PF) 대출 업무 담당 직원이 건설사로부터 상품권 등 금품을 받은 혐의로 금융당국의 검사를 받고 있는 것으로 19일 알려졌다.이날 금융권에 따르면, 금감원은 지난 7일부터 부산은행 본점 등의PF담당 직원 8명의 부당한 금품 수수 의혹에 대해 검사에 들어갔다. 이들은 지난 3년간 부산지역 한 건설사로부터 상품권 등을 수수한 혐의를 받고 있는 것으로 전해졌다.수수 금액은 아직 정확히 확인되지 않았지만, 1000만원을 조금 넘는 수준인 것으로 알려졌다. 금융 당국 관계자는 “일종의 ‘명절 떡값’ 명목으로 돈을 받아온 것으로 안다”고 말했다.앞서 부산지검이 이 혐의와 관련 부산은행을 압수수색했고, 이 사실을 은행이 금감원에 보고한 것으로 알려졌다. 금감원은 해당 직원들이 금품을 수수한 대가로, 해당 업체에PF대출을 해 줄 때 부당 특혜를 줬는지 여부를 들여다보고 있는 것으로 전해졌다.앞서 지난 8월엔 같은BNK금융지주 소속인 경남은행에서 3000억원대 횡령이 발생했다. 한 금융업계 관계자는 “BNK금융지주의 내부통제 문제가 또다시 불거질 전망”이라고 말했다."
2024-03-28,부산 중견 건설사-은행 직원 ‘검은 거래’ 10명 무더기 재판행,"부산지검 동부지청 정문 전경한쪽은 향응·금품을 제공하고 다른 쪽은 그 대가로 대출 조건을 유리하게 설정해주는 등 부산지역 금융계의 검은 커넥션을 형성해온 중견 건설기업 창업자·회장과 은행 간부·직원들이 무더기로 검찰에 적발됐다.부산지검 동부지청 형사3부(부장 나희석)는 특정경제범죄가중처벌법 위반 혐의로 대표 등 건설사 관계자 3명과 모 은행 직원 7명 등 모두 10명을 불구속기소 했다고 28일 밝혔다.검찰에 따르면 은행 직원 중 부서장 2명은 지난해 7월 해당 건설사가 은행에 담보로 제공한 신탁 계좌에서 70억원을 빼내갈 수 있도록 부당하게 대출 조건을 바꿔줘 해당 은행에 손해 발생 위험을 안긴 혐의를 받고 있다. 검찰은 “부서장 2명을 포함, 직원 7명이 2020년 9월부터 지난해 9월까지 이 건설사 대표 등으로부터 6000만원 상당의 금품을 받은 것으로 확인됐다”고 말했다.검찰은 특경법 위반으로 입건된 은행 직원 4명이 더 있었지만 이들은 직책이나 실질적 이익 규모 등을 고려해 기소유예 처분했다고 덧붙였다.검찰 관계자는 “지역 중견기업과 대형 지역은행이 조직적으로 금품·향응을 제공하고 대출조건을 좋게 해주는 등 뿌리 깊은 유착관계를 형성하고 있었음을 확인했다”며 “앞으로도 지역 기업과 금융기관의 검은 유착에 따른 부패 범죄에 엄정 대응하겠다”고 밝혔다."
2023-09-08,"“부산저축은행 사건, 검사 윤석열이 무마할 수 있는 사안 아니었다”","여권 “현직 대통령 형도 구속됐던 초대형 사건”은행 간부들의 불법대출로 고객돈 빼돌린 사건“대장동 대출은 담보 충분해 문제 없는 대출”JTBC가 2022년 2월 28일 대출 브로커 조우형씨 측근들이 ‘조씨가 부산저축은행 사건으로 조사받을 당시 주임 검사였던 윤석열 대통령과 커피를 마셨다고 말했다’는 취지로 보도하는 장면(위 사진).JTBC는 같은 달 21일에 이어 같은 내용을 반복해 보도했다. 뉴스타파는 그해 3월 6일 ‘윤 대통령이 검사 시절 자신의 사무실에서 조우형씨를 만났고 조씨 수사를 무마했다’는 취지의 내용이 담긴 김만배씨 녹음 파일을 보도했다(아래 사진).이들 보도는 ‘가짜 뉴스’로 드러났다./JTBC·뉴스타파 캡처대장동 사건의 ‘몸통’인 김만배(화천대유 대주주)씨가 지난 대선 국면에서 ‘윤석열 수사 무마’ 가짜 뉴스를 기획한 정황이 드러나고 있다. 이 가짜 뉴스의 소재는 대검찰청 중앙수사부가 지난 2011년부터 수사했던 ‘부산저축은행 불법 대출 사건’이다. 더불어민주당과 일부 언론은 ‘김만배 허위 인터뷰’ 한 달 뒤인 2021년 10월부터 오늘(8일)까지도 “윤석열 대통령이 부산저축은행 사건을 수사할 때 관련 수사를 무마했다”고 주장하고 있다.당시 대검 중수부는 9조원대 금융 비리를 저지른 혐의 등으로 부산저축은행그룹 전·현직 임원과 정관계 인사 42명을 구속 기소하는 등 76명을 재판에 넘겼다. 윤석열 대통령은 당시 부장검사급인 대검 중수부 중수2과장으로 이 사건의 주임검사였다.법조계와 정치권에선 “부산저축은행 사건을 조금이라도 안다면 윤석열 검사가 사건을 무마했다는 말을 할 수 없다”며 “부장검사 급인 주임검사가 건드릴 수 있는 사건 사이즈가 아니다”는 얘기가 나온다.2022년 3월 이재명 더불어민주당 대선후보가 대통령선거 후보TV토론회에서 윤석열 국민의힘 대선후보 옆을 지나가고 있다. /뉴스1부산저축은행 사건은 수조원의 공적 자금 손실을 초래한 초대형 금융비리 사건이었다. 대검 중수부는 수사 인력 130여 명을 투입해 부산저축은행그룹 5개 계열은행(부산·부산2·중앙부산·대전·전주저축은행)이 천문학적 규모의 금융 비리를 저지른 사실을 밝혀냈다. 대검 중수부는 1조원대의 책임·은닉 재산을 찾아내 예금보험공사에 통보하기도 했다. 당시 중수부 조사를 받은 인원만 1000명이 넘는 것으로 알려졌다.당시 중수부 수사 결과, 부산저축은행은 수조원대 고객 예금을 불법 대출한 뒤 자신들이 운영하는 특수 목적 법인(SPC) 120곳에 넣고서 아파트 건설, 휴양지 개발, 납골당 건설, 선박 투자 등의 투기 사업을 굴리는 데 사용한 것으로 밝혀졌다.박연호 회장, 김양 부회장, 김민영 부산저축은행장 등 부산저축은행그룹 전·현직 임원 20명이 검찰 수사로 금융 비리가 적발돼 재판에 넘겨졌다. 이명박 전 대통령의 형인 이상득 의원, 김두우 전 청와대 홍보수석, 김해수 전 청와대 정무비서관, 김광수 전 금융위원회 금융정보분석원(FIU) 원장, 은진수 전 감사원 감사위원 등 고위급 정관계 인사들도 대거 기소됐다.청와대나 금융감독원에 줄을 대기 위해 각종 로비를 펼친 박태규씨 등 로비스트 8명은 물론 전·현직 금감원 직원 8명, 국세청 공무원 7명, 감사보고서를 허위로 작성한 공인회계사 4명 등도 사법 처리됐다.지난 2011년 부산저축은행 예금자들은 은행 측의 영업정지 전 대량 예금 인출 사태에 항의하며 금융감독원 부산지원 앞에서 시위를 벌였다./ 조선DB하지만 인터넷 매체 뉴스타파는 대선 사흘 전인 2022년 3월 6일 ‘윤석열 후보가 검사 시절 부산저축은행 사건을 수사할 때 대출 브로커 조우형(천화동인 6호 실소유주)씨를 만났고, 그와 관련된 수사를 무마해줬다’는 내용의 기사를 보도했다. 당시 신학림 전 전국언론노조위원장이 김만배씨와 인터뷰한 녹음 파일 편집본과 그 내용도 함께 공개했다.녹음 파일에는 ‘윤석열 검사가 조사를 받으러 온 조우형씨에게 커피를 타준 뒤 사건을 봐줬다’는 김만배씨의 육성이 포함됐는데 이는 일부 짜깁기된 것으로 드러났다. 실제로는 김씨가 커피를 타준 대상으로 언급한 인물이 박모 검사인지, 검찰청 직원인지 오락가락 했다는 것이다.이재명 당시 민주당 대선 후보는TV토론에서 공개적으로 윤석열 당시 국민의힘 대선 후보에게 “조우형에게 왜 커피를 타줬느냐”고 묻기도 했다.부산저축은행 사건을 잘 아는 한 법조인은 “당시 주임검사이던 윤석열 대검찰청 중수2과장이 누구의 부탁을 받고 조금이라도 사건을 무마할 수 있는 구조가 전혀 아니었다”고 말했다.민주당이 주장하는 조우형씨의 대장동 대출은 대검 중수부의 수사 대상도 아니었고, 조씨는 주요 피의자 축에 낄 수준도 아니라는 것이다. 실제로 조우형씨는 2011년 초 대검 중수부에서 김양 전 부산저축은행 부회장의 돈 전달 심부름을 한 것과 관련해 참고인 신분으로 조사를 받았다.  조씨는 박연호 전 부산저축은행 회장의 인척이다.여권 고위 관계자는 “금감원은 부산저축은행 사건 이전의 금감원과 그 이후의 금감원으로 나뉜다는 말이 나올 정도로 상징적인 사건이었다”며 “그만큼 투명성이 강조됐고, 특혜가 조금이라도 있었다면 바로 언론에 대서특필 될 정도로 온 국민이 지켜보고 있었다”고 했다. 이 관계자는 “현직 대통령 측근들 다수가 구속된 것만 봐도 알 수 있지 않으냐”고 했다."
2023-02-28,"부산은행장에 방성빈, 경남은행장에 예경탁","/BNK금융그룹BNK금융그룹은 28일 부산은행장에 방성빈(57) 전BNK금융그룹 전무, 경남은행장에 예경탁(56) 경남은행 부행장보를 내정했다고 밝혔다. 다음 달 주주총회에서 확정된다.방성빈 행장 내정자는 브니엘고와 동아대 법학과를 나왔다. 경남은행 예경탁 행장 내정자는 밀양고와 부산대 사회학과를 졸업했다.BNK캐피탈 대표에는 김성주(60)BNK신용정보 대표가 내정됐다."
2023-02-16,공공기관 360곳 지방 이전에… 부산 “산업은행 달라” 강원 “우린 韓銀”,"지자체간 유치경쟁 과열 양상정부가 최대 360개 수도권 공공기관의 지방 이전을 추진하는 가운데 각 지자체 간 유치 경쟁이 과열 양상을 보이고 있다. 일부 지자체는 ‘알짜’ 기관들에 대한 우선 선택권도 요구하는 것으로 알려져 이전 작업을 총괄하는 국가균형발전위원회(이하 균형위)가 곤혹스럽다는 입장이다.현재 부산은 산업은행·수출입은행, 대구는IBK기업은행, 강원도는 한국은행·금융감독원, 전남은 농협중앙회 등 이전을 요구하는 것으로 알려졌다. 지자체별로 30개가 넘는 이전 대상 공공기관을 선정해 유치 전략을 수립하고 나섰다. 우동기 위원장은 “지방이 어려우니 이전 요구도 큰 것 같다”며 “과열되지 않도록 여러 제반 사항을 고려할 것”이라고 했다.균형위는 윤석열 정부의 120대 국정 과제 중 하나인 ‘2차 공공기관 이전’과 관련해 올해 상반기 국토교통부와 이전 원칙과 선정 기준 등을 협의하고 이르면 하반기 이전을 시작한다는 계획을 갖고 있다. 균형위는 ‘이제 시작’이라는 입장이지만 전북의 경우 도지사가 직접 나서서 “이전 대상 선정에 그치지 말고 왜 이전해야 하는지 답을 구하라”는 요구를 공무원에게 하는 것으로 알려졌다. 충남은 “노무현 정부가 진행한 1차 공공기관 이전 때 세종시 건설을 이유로 배제됐다”며 배려를 요구하는 것으로 전해졌다. 14일에는 이철우 경북도지사가 “KBS·MBC의 지방 이전을 준비 중인 것으로 알고 있다”고 말하기도 했다. 균형위 관계자는 “MBC는 공공기관 이전 대상이 되기 힘들다”면서도 “반박하거나 추가 설명을 하면 또 다른 오해를 낳을 수 있어 최대한 로키(low-key)로 대응하고 있는 중”이라고 했다. 우 위원장에게도 개별 경로로 지자체장과 지역구 의원들의 민원이 쇄도하고 있는 것으로 전해졌다.균형위는 “공공기관 이전은 상반기 정해질 원칙에 따라 진행된다”는 입장이다. 하지만 내년 총선을 앞두고 지역구 의원들도 유치전에 뛰어들면 경쟁이 더 과열될 수 있다. 산업은행, 한국은행, 한국수출입은행 등의 경우 여야 의원들이 앞다퉈 이전 법안들을 발의한 상태다."
2024-12-02,“수표 1220만원을 현금으로”… 은행원 ‘촉’에 보이스피싱 조직원 덜미,"은행원이 수표를 현금으로 바꿔달라고 들고 온 남성의 보이스피싱 연루 가능성을 의심하고 있다. /경찰청 유튜브수표를 현금으로 교환하려던 보이스피싱 조직원이 이를 수상히 여긴 은행 직원의 신고로 경찰에 검거됐다. 은행원은 조직원 입출금 내역을 확인하던 중, 자주 사용하지 않던 통장에서 여러 차례 걸쳐 돈이 들어오고 빠져나간 흔적을 보고 범죄 연루 가능성을 의심했다.2일 부산경찰청에 따르면, 지난 6일 오후 4시 14분쯤 부산 동래구 한 은행에서 50대 A씨는 수표 1220만원을 현금으로 교환해달라고 은행원 B씨에게 요청했다. 당시 A씨는 마감 직전 급하게 달려와 수표 교환을 요구했다고 한다.B씨가 A씨의 행동에 수상함을 느끼고 입출금 내역을 확인했더니 평소 자주 사용하지 않던 통장에 수차례에 걸쳐 돈이 들어오고 빠져나간 흔적이 남아 있었다. 이에 B씨는 A씨를 자극하지 않기 위해 다른 직원에게 부탁해 경찰 신고를 부탁한 뒤 의도적으로 업무 처리를 지연시켰다.이후 도착한 경찰에 의해 A씨는 체포됐고, 조사 결과 그는 보이스피싱 범죄 조직에서 인출책을 맡고 있던 것으로 확인됐다. 자신 명의 계좌로 돈을 입금받고, 이 돈을 인출해 피싱 조직에 보내는 일을 담당한 것으로 파악됐다. 현재 경찰은 A씨 거래 내역 등의 분석을 통해 보이스피싱 조직까지 추적 중이다.이 같은 사건은 지난달 28일 경찰청 공식 유튜브 채널에도 소개됐다. A씨 검거에 결정적인 제보를 한 은행원 B씨는 “(은행 시스템에) 신분증 조회하는 서비스가 있는데, 거기서 조회했을 때 약간 의심스러운 부분이 있었다”며 “평소 사용하지 않던 통장이 그날 하루에만 거래가 여러건이 있었다. 통장으로 금액이 들어오자마자 바로 인출이 됐더라”고 했다.B씨는 신고 당시 상황에 대해선 “제 자리에서 바로 신고하면 의심되니까 다른 창구에 112 신고해달라고 협조를 구했다”고 했다.B씨는 “고객님들의 돈을 보호해 드렸다는 생각이 들 때 제 일에 대한 보람을 많이 느낀다”며 “앞으로 보이스피싱이 일어나지 않았으면 좋겠다”고 했다."
2022-10-21,"이재명, 대장동 특검 다시 요구… “尹 부산저축은행 의혹도 밝히자”","검찰, 李 최측근 김용 민주연구원 부원장 구속영장 청구에李, 당 대표 취임 후 첫 긴급 기자회견 열어”대선자금은커녕 사탕 하나 받은 것도 없다”이재명 더불어민주당 대표가 21일 오전 서울 여의도 국회 당대표 회의실에서 특별 기자회견을 하고 있다. 2022.10.21. (공동취재사진)더불어민주당 이재명 당대표는 21일 긴급 기자회견을 열고 “대통령과 여당에 공식 요청합니다. 화천대유 대장동 개발과 관련된 특검을 수용하십시오”라며 “대장동 개발 및 화천대유에 관한 실체규명은 물론, 결과적으로 비리세력의 종잣돈을 지켜준 대통령의 부산저축은행 부정수사의혹 및 허위사실 공표 의혹 대통령 부친의 집을 김만배 누나가 구입한 경위 등 화천대유 자금흐름 진술이 갑자기 변경되는 과정에서 제기된 조작수사와 허위진술교사 의혹도 밝혀야 한다”고 했다.자신을 둘러싼 대장동 특혜 비리 의혹과 관련한 특검을 내세우면서, 윤석열 대통령을 겨냥한 부산저축은행 의혹 등도 엮어 함께 진상을 밝혀내야 한다고 주장한 것이다. 결국 명목상 ‘대장동 특검법’이지만 실제로는 윤 대통령을 겨냥한 특검이라는 말이 나온다. 민주당은 지난 대선부터 윤 대통령이 대검 중수2과장 시절 주임검사로 수사에 참여했던 2011년 부산저축은행 사건 당시 대장동 대출 건을 수사 대상에서 제외했고, 이 때문에 대장동 사태가 불거졌다고 주장하고 있다. 정치권 일각에선 “측근에 대한 수사망이 좁혀오자 재차 대장동 특검을 꺼내들었는데, 대선 때도 줄기차게 요구했던 특검 요구와 다를 바가 없다”는 말도 나온다.이 대표는 이날 오전 최고위가 시작되기 불과 몇 분 전 언론에 특별기자회견을 열겠다고 밝혔다. 이 대표는 오전 11시 기자회견에서 “사건의 실체적 진실은 왜곡되고, 야당을 향한 정치탄압과 보복수사의 칼춤소리만 요란하다”며 대장동 특검을 촉구했다. 이 대표는 “거듭 말씀드리지만, 이재명은 단 1원의 사적 이익도 취하지 않았다”며 “온갖 방해에도 민간이 독차지하려던 택지개발이익 중 3분지 2가 넘는 5500억원 이상을 공공환수했다”고 했다.이 대표는 검찰이 관련 사건을 조작한 정황이 의심된다고 주장했다. 그는 “정권이 바뀌고 검사들이 바뀌니, 관련자들 말이 바뀐다”며 “진실을 찾아 죄를 주는 것이 아니라, 죄를 주기 위해 진실을 조작, 날조하는 것이 아닌가 의심된다”고 했다. “저는 대선자금은커녕 사탕 하나 받은 것도 없다”라고도 강조했다.그러면서 이 대표는 대장동 특검을 거듭 촉구했다. 이 대표는 “모든 의혹들을 남김없이 털어낼 좋은 기회”라며 “대통령과 여당이 떳떳하다면 특검을 거부할 이유는 없을 것”이라고 했다.이 대표는 “대통령 부친의 집을 김만배 누나가 구입한 경위 등 화천대유 자금흐름 진술이 갑자기 변경되는 과정에서 제기된 조작수사와 허위진술교사 의혹도 밝혀야한다”고 했다. 화천대유 최대주주 김만배씨의 친누나로 알려진 김모씨가 지난 2019년 4월 윤석열 대통령 부친 윤기중씨 소유 서울 연희동 단독주택을 19억원에 매입한 것을 겨냥한 것이다. 김씨는 대장동 개발 사업 시행사인 ‘성남의뜰’에 주주로 참여한 천화동인 3호 사내이사다. 김씨가 윤 대통령 부친 연희동 집을 샀을 때 윤 대통령은 서울중앙지검장이었고, 김만배씨는 경제지 법조 담당 기자였다.0초0초광고 후 계속됩니다.다음 동영상subjectauthor취소이재명, 대장동 특검 다시 요구… “尹 부산저축은행 의혹도 밝히자”조선일보재생111재생 (space/k)재생01:180:00:00재생 (space/k)재생음소거 (m)음소거00:00/01:18실시간설정전체 화면 (f)해상도자동 480p자막사용 안함재생 속도1.0x (기본)인기 구간 표시해상도자동 (480p)480p360p270p144p자막설정사용 안함옵션글자 크기배경색재생 속도0.5x1.0x (기본)1.5x2.0x죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.도움말음소거 상태입니다.도움말라이선스디버그 정보 다운로드고화질 재생이 가능한 영상입니다.설정에서 해상도를 변경해보세요.더 알아보기00:00하지만 이 대표가 주장한 대장동 특검 요구는 지난 3월 민주당이 당론으로 발의했던 대장동 특검과 비슷하다는 분석이 나온다. 민주당은 대선 직전인 지난 3월 3일 ‘대장동 개발 비리 사건 및 이와 관련한 불법 대출·부실수사·특혜 제공 등의 의혹 규명을 위한 특검 수사요구안’을 당론으로 발의했다. 이 법안은 2011년 윤 대통령이 부산저축은행 대출 브로커를 봐줬다는 의혹을 특검에서 수사하자는 성격이 짙다. 당시 민주당의 특검법이 명시한 6가지 수사 대상 가운데 5가지가 ‘부산저축은행 부실 수사’ 등과 관련되어 있다. 반면 지난해 9월 국민의힘·국민의당이 발의한 별도의 대장동 특검법안은 성남시장으로 사업의 최종 인허가 승인권자였던 이재명 대표를 겨냥했다. 이는 이 대표의 ‘배임’ 혐의에 초점을 맞춘 법안이었다. 국민의힘·국민의당 특검법안은 민주당의 저지로 국회 법제사법위원회 상정이 무산됐었다.이날 이 대표는 대장동 특검을 반대한 것은 국민의힘이라고 주장했다. 이 대표는 “여러분도 기억하시겠지만 저는 대선 토론에서 특검하자고 얘기했다”며 “당시 윤석열 후보의 태도가 모호하긴 했지만, 국민의힘 당시 일관된 주장은 특검하자였습니다. 저도 역시 특검하자고 얘기했다”고 했다. 이 대표는 “그런데 실제로 협상하면 이상한 핑계를 대면서 특검을 거부했던 게 국민의힘”이라고 주장했다."
2022-10-24,"‘부산 이전’ 산업은행, 올해 자발적 퇴직자 71명","산업은행 본점 전경/뉴스1산업은행의 올해 퇴직자가 이미 지난해 퇴직자 수를 넘어선 것으로 나타났다. 산은이 부산이전을 추진하면서 ‘인력 유출’이 심화되는 것이 아니냐는 우려의 목소리가 나온다.24일 산업은행이 국회 정무위원회 소속 윤영덕 더불어민주당 의원에게 제출한 자료에 따르면, 올해 9월까지 산은 퇴직자는 100명으로 이미 지난해(77명)보다 많다. ‘자발적 퇴직’인 의원 퇴직도 71명으로 지난해(43명)의 1.7배 수준이다.올해 의원 퇴직자 수는 2018년 이후 가장 많았던 2019년의 51명보다 더 많다. 2020년 41명으로 줄었다가 지난해 43명으로 다시 늘기는 했지만, 올해 크게 늘어난 셈이다.산업은행 이전은 윤석열 대통령의 대선 공약이다. 하지만 지난 6월 김두관 더불어민주당 의원도 산업은행 본점을 서울시에 두도록 하는 산업은행법 개정안을 발의한 바 있다. 산업은행 본점을 ‘대한민국’ 어디에나 둘 수 있도록 하는 내용이다.다만 국회 정무위는 이러한 법 개정안에 대해 “장기적으로는 (공공기관이 이전한) 혁신도시의 인구유입 양상이 같은 시·도 내의 주변 지역으로부터 이뤄지면서 오히려 지역의 쇠퇴 위기를 불러오거나, 지속적인 일자리 창출에 어려움을 겪는 등 한계 또한 나타나는 것으로 평가된다”며 “한국산업은행의 경우 혁신성장금융, 기업금융 및 투자금융, 글로벌금융, 통일금융 등 국내 정책금융에서 다양한 역할을 수행하고 있어 정부 관계부처, 법률, 조세, 기술, 컨설팅 등 다수의 전문가와 인적 네트워크가 필수적으로 요구된다는 점에서 서울에 본점을 둘 지리적 이점을 간과할 수 없다는 지적도 있다”고 했다."
