date,title,content
2024-12-02,"삼성SDI 임원 12명 승진인사, 전고체 전문가 등 발탁…승진 규모는 줄어","삼성의 배터리 제조 계열사 삼성SDI가 2일 부사장급 이하 임원 인사를 발표했다. 부사장 3명, 상무 8명, 마스터 1명 등 총 12명이 승진해 승진 규모는 전년(16명)보다 줄었다. 앞서 삼성전자가 이전 대비 적은 규모의 승진 인사를 발표한 데 이어 그룹 주요 계열사도 임원 승진 규모를 줄이는 분위기가 이어졌다.삼성SDI기흥 본사. /삼성SDI제공삼성SDI는 이날 인사에 대해 “전기차 수요 성장세 둔화 등 불확실한 글로벌 경영환경 속에서도 초격차 기술경쟁력과 최고의 품질, 수익성 우위의 질적 성장이라는 경영방침 아래 글로벌 사업 확장을 차질없이 준비하고, 지금까지와는 차원이 다른 변화와 혁신으로 ‘2030년 글로벌 톱티어 회사’로 도약하기 위해 각 분야별 차세대 리더를 과감히 발탁하고 중용하는 미래지향적인 임원 인사를 실시했다”고 설명했다.차세대 전고체 전지의 양산화 추진을 통해 기술 우위 선점을 주도한 박규성 상무, 전자재료 개발 및 사업 경쟁력 제고를 주도한 남주영 상무, 글로벌 사업 확대에 필요한 투자 재원 확보와 주주 가치 제고를 주도한 김윤태 상무가 각각 부사장으로 승진했다.※ 삼성SDI,2025년 정기 임원 인사 승진자 명단△부사장 김윤태 남주영 박규성△상무 김익수 김현욱 남중현 변상원 송정훈 안희정 유형우 황선욱△마스터(Master) 송재혁"
2024-12-04,"삼성SDI·스텔란티스 합작법인에 대출 지원… 美 에너지부, 10.5조원","배터리 제조사 삼성SDI와 완성차 기업 스텔란티스의 미국 현지 배터리 합작법인이 미 정부로부터 10조5800억원 규모의 대출 지원을 받게 됐다.미국 에너지부는 2일 바이든 정부의 미 제조업 부활 정책 ‘미국 내 투자(InvestinAmerica)’에 따라 양사의 합작법인 ‘스타플러스에너지’에 최대 75억4000만달러(약 10조5800억원) 조건부 대출을 결정했다고 발표했다. 대출 자금은 미국 인디애나주에 조성 예정인 스타플러스에너지의 배터리 및 모듈 공장에 쓰일 예정이다. 삼성SDI는 2021년 10월 스텔란티스와 배터리 합작법인 업무협약(MOU)을 체결하고 이후 순차적으로 미 현지 공장을 추진해왔다.미국 에너지부는 “공장이 완전히 가동되면 연간 전기차 67만대에 공급 가능한 67GWh(기가와트시) 규모 배터리가 생산될 예정”이라며 “북미 지역의 전기차 배터리 제조 능력을 제고해 중국과 같은 적대적인 국가에 대한 미국의 의존도 등을 낮추게 될 것”이라고 밝혔다. 이자율은 미국 국채 금리 수준인 약 4.4% 수준, 상환 조건은 최대 10년 활용이 가능한 대출로 알려졌다. 대출 실행까지 기술, 환경 관련 조건을 충족해야 하는데 내년 1월쯤 완료될 것으로 전망된다.다만, 내년 1월 출범하는 트럼프 2기 정부가 변수로 남아있다. 트럼프 당선인은 전기차 산업에 대한 정부 지원에 줄곧 부정적인 입장을 표명해왔다. 배터리 업계에선 바이든 정부가 정권 교체 전 대출 절차를 완료하기 위해 속도를 낼 것으로 전망하고 있다."
2024-08-29,"4.6조원 배터리 합작공장, 삼성SDI·GM 본계약 체결","최윤호 삼성SDI대표이사 사장(가운데)과 컬트 켈티(KurtKelty)GM배터리셀&팩 총괄 부사장(오른쪽)이 27일 삼성 서초사옥에서 열린 삼성SDI-GM전기차 배터리 합작법인 설립 본계약 체결식에서 기념 촬영을 하고 있다. /삼성SDI배터리 제조사 삼성SDI가 북미 1위 완성차 기업인GM과 4조6000억원(35억달러)을 투자해 미국 인디애나주에 고성능 배터리를 생산하는 합작 공장을 설립한다. 전기차 ‘캐즘(일시적 수요 정체)’이 길어지는 가운데, 이례적인 대규모 투자다. 양 사는 캐즘 이후를 내다보고 프리미엄 배터리를 탑재한 전기차로 시장을 공략할 계획이다.삼성SDI는 지난 27일 서울 삼성 서초사옥에서 이 같은 내용의 본계약을 체결했다고 28일 밝혔다. 양 사는 작년 3월 합작 법인 관련 양해각서(MOU)를 체결한 뒤 부지 위치 등 세부 사항을 협의해 왔다. 양 사는 2027년 양산을 목표로 연 생산 규모 27GWh(기가와트시) 배터리 공장을 설립한다. 전기차 35만대에 탑재 가능한 규모다. 에너지 밀도와 출력이 높은NCA(니켈·코발트·알루미늄) 기반의 고성능 하이니켈 각형 배터리를 생산해 향후 출시될GM전기차에 탑재할 예정이다. 합작사 지분은 삼성SDI가 50.01%,GM이 49.99%를 취득한다. 삼성SDI로서는 완성차 기업 스텔란티스와 약 3조원을 투자해 인디애나주에 건설 중인 공장에 이어 두 번째 미국 생산 거점이 된다.양 사는 캐즘을 고려해MOU당시 계획보다 규모, 시점을 일부 조정했으나, 대규모 투자 원칙은 흔들지 않았다. 당초 계획은 30GWh규모 2026년 가동이었다. 최윤호 삼성SDI사장은 “GM과 굳건한 파트너십을 바탕으로 미국 전기차 시장을 선도할 프리미엄 배터리 생산 거점을 마련하게 됐다”고 했다."
2024-08-28,"삼성SDI-GM, 4.6조원 투자해 美 배터리 합작법인 설립한다…“캐즘 이후 대비”","배터리 제조사 삼성SDI와 북미 판매 1위 완성차 기업 제너럴모터스(GM)가 미국에 배터리 생산 합작법인을 설립한다. 작년 맺은 양해각서(MOU)의 계획보다, 규모는 일부 줄이고 양산시점도 다소 미뤘지만 총 35억달러(약4조6000억원)를 쏟는 대규모 투자에 합의했다. 전기차·배터리 캐즘(일시적 수요 정체) 이후 시장에 대비한다는 계획이다.최윤호(가운데) 삼성SDI대표이사 사장과 컬트 켈티(KurtKelty)GM배터리셀&팩 총괄 부사장(오른쪽)이 지난 27일 삼성 서초사옥에서 열린 삼성SDI-GM전기차 배터리 합작법인 설립 본계약 체결식에서 기념 촬영을 하고 있다./삼성SDI삼성SDI는 지난 27일 서울 삼성 서초 사옥에서GM과 배터리 생산을 위한 합작법인을 설립하는 내용의 본계약을 체결했다고 28일 밝혔다. 양사는 작년 3월MOU를 체결하고, 부지 선정 등 세부 사항을 협의해왔다. 본계약 체결식에는 최윤호 삼성SDI대표이사를 비롯한 양사 주요 경영진이 참석했다.이번 본 계약으로 양사는 2027년 양산을 목표로 약 35억 달러를 투자해 초기 연산 27GWh(기가와트시) 규모의 배터리 공장을 설립한다. 초기 연간 생산 규모는MOU(30GWh) 보다 축소했지만, 연산 규모는 향후 36GWh까지 확대될 것으로 예상된다. 양산시점도 길어지고 있는 캐즘을 고려해 당초 2026년에서 2027년으로 1년 미뤘다.합작법인은 미국 인디애나주 뉴칼라일에 설립한다. 부지 규모는 277만㎡(약 84만평)로, 양사의 합작법인 설립은 1600개 이상의 일자리 창출할 것으로 전망된다. 이후NCA(니켈·코발트·알루미늄) 기반 고성능 하이니켈 각형 배터리를 생산해 향후 출시될GM전기차에 공급할 예정이다.최윤호 삼성SDI사장은 “GM과 지난해MOU체결 이후 굳건한 파트너십을 바탕으로 프리미엄 배터리 생산 거점을 마련했다”며 “삼성SDI만의 초격차 기술력을 담은 제품으로GM이 전기차 시장 리더십을 강화하는 데 최선의 노력을 다하겠다”고 말했다．"
2024-09-11,"삼성SDI 편광필름 사업, 中에 1.1조원 매각","中 저가 공세에 가격경쟁력 잃어삼성SDI가 중국과의 가격 경쟁으로 수익성이 크게 하락한 편광필름 사업을 중국 우시헝신광전재료유한공사에 1조1210억원에 매각한다고 10일 공시했다. 편광필름은 스마트폰용 화면이나PC모니터,TV화면 등에 탑재돼 선명하고 맑은 화면을 구현하는 데 사용되는 핵심 소재다.LCD(액정표시장치)나OLED(유기발광다이오드)의 디스플레이 패널에 부착해 빛의 흐름을 제어하거나 밝기를 조절한다.매각 대상은 청주·수원 사업장의 편광필름 제조 및 판매 등 사업 일체와 중국 우시법인 지분 전량이다. 이 회사는 2015년 2000억원을 투자해 중국 우시(無錫)에 편광필름 공장도 세웠는데, 약 9년 만에 철수하게 된 것이다. 대신 반도체·OLED·배터리 소재에 투자를 더 늘려 주력인 배터리 사업과의 시너지를 높이기로 했다.최근 수년간, 중국 기업들이 대량 생산한 편광필름을 저가에 대량 판매하면서 경쟁력이 크게 떨어진 것이 매각 이유다. 매수자로 나선 우시헝신광전재료유한공사도 편광필름을 만드는 중국HMO와 투자회사인 눠옌(NY) 캐피털이 함께 만든 합자회사다.또 작년 6월 삼성디스플레이가LCD사업에서 철수하면서, 그룹 내부에서 공급할 곳이 없어지기도 했다.삼성뿐만 아니라 다른 기업들도 편광필름을 포함한LCD관련 분야에서 철수하는 추세다.LCD는 사실상 중국이 시장을 장악하고 있다. 일본 대표 디스플레이 기업 중 한 곳인 샤프는 지난 8월TV용LCD생산을 중단했다.LG디스플레이도 2022년 국내에서TV용LCD생산을 중단했고, 중국 광저우 공장 매각 절차를 밟고 있다. 이와 관련,LG화학도 지난해 편광판 및 편광판 소재 사업을 중국 업체에 넘겼다."
2024-07-04,"삼성SDI, 美서 1조원 규모 ESS 공급 앞둬","배터리 제조사 삼성SDI가 미국에서 에너지저장장치(ESS) 대규모 공급 계약 관련 막바지 협상 중인 것으로 4일 알려졌다. 미국 대형 전력기업과 복수의 프로젝트 계약을 논의 중인데 계약이 모두 체결될 경우, 총 6.3GWh(기가와트시) 규모로 역대 최대 규모ESS공급이 유력하다. 향후 가격 변동을 감안해도 약 1조원 규모로 전망된다.지난달 19일 독일 뮌헨에서 개최된 '인터배터리 유럽 2024'에서 삼성SDI가 공개한ESS./뉴스14일 업계에 따르면, 삼성SDI는 미국의 한 전력기업과ESS용 배터리 공급을 두고 협상 중이다. 주력 제품은NCA(니켈·코발트·알루미늄) 배터리셀을 적용한 ‘삼성배터리박스(SBB) 1.5′ 제품으로, 같은 공간에 더 많은 셀을 넣는 식으로 기존 제품보다 에너지 밀도를 37% 높인 모델이다.ESS는 에너지가 남아돌 때 저장한 뒤 부족할 때 쓸 수 있도록 한 저장 장치로 태양광·풍력 등 재생에너지 사업이 활발한 북미 시장 수요가 크다.현재 세계ESS시장은 가격이 저렴한LFP(리튬인산철) 배터리를 활용한 중국ESS제품이 장악하고 있지만, 미국이 2026년부터 중국산 제품 관세를 7.5%에서 25%로 인상을 예고해, 경쟁 상품인 한국 제품 수요가 늘 것으로 전망된다.에너지 전문 시장조사기관SNE리서치에 따르면, 작년ESS시장 점유율은 중국이 약 86%를 차지했다. 국내 기업들은 전기차·배터리 캐즘(일시적 수요 정체)을ESS로 포트폴리오를 다양화해 실적을 방어한다는 계획이다. 삼성SDI도 작년 말ESS전담 조직인 ‘ESS비즈니스팀’을 신설하고 사업을 확대하고 있다."
2024-07-02,“전기차 캐즘을 도약 기회로” 삼성SDI 최윤호 사장 밝혀,"최윤호 삼성SDI사장이 1일 기흥사업장에서 열린 54주년 창립기념식에서 기념사를 하고 있다. /삼성SDI최윤호 삼성SDI사장이 최근 전기차·배터리 시장의 캐즘(일시적 수요 정체)과 관련해 “시장의 일시적 성장세 둔화 위기를 반드시 극복하고 도약의 기회로 만들어야 한다”고 했다. 최 사장은 1일 경기도 용인 기흥 본사에서 임직원 200여 명이 참석한 가운데 열린 54주년 창립 기념식에 참석해 이같이 말했다. 최 사장은 ‘어두운 구름 밖으로 나오면 반드시 밝은 날이 온다’는 뜻을 가진 사자성어 ‘운외창천(雲外蒼天)’을 언급하며 “2030년엔 글로벌 톱티어(최상위) 회사라는 목표에 다가가자”고 했다.최 사장은 특히 기술 경쟁력을 강조했다. 기존 주력 제품 강화에 더해, ‘꿈의 배터리’로 불리는 전고체 배터리 등 첨단 배터리를 적기 개발할 것을 주문했다. 그는 “가격 경쟁력에 대한 고객 요구가 강해진 만큼 세계 최고의 원가 경쟁력을 달성하자”고도 했다."
2024-03-25,"“美에 배터리 단독 공장 건설” 삼성SDI의 ‘파격 선택’, 왜?","‘캐즘’ 탈출하라… 전기차·배터리 시장  돌파구 찾는 K배터리그래픽=양인성배터리 제조사 삼성SDI가 미국에 전기차 배터리 첫 단독 공장 건설을 검토한다. 그간 북미 지역에 단독·합작 공장 모두 추진한 경쟁사와 달리 단독 공장 없이 완성차 기업과 합작만 준비해온 삼성SDI로선 공격적인 투자다. 투자 시기는 미확정이지만, 최윤호 삼성SDI대표이사 사장이 최근 “미국 단독 공장 건설도 준비할 예정”이라고 공식화했다.업계에선 K배터리 3사 중 가장 보수적인 투자 전략을 취했던 삼성SDI의 변화에 주목하고 있다. 글로벌 배터리 기업들이 경쟁적으로 증설 러시를 벌였던 2022년에도 삼성SDI는 “스텔란티스와 북미 합작(JV)에 집중하고 있으며 북미 시장에 독자적으로 진출할 계획은 없다”고 했었다. 최근 전기차·배터리 시장이 급격히 위축되는 상황에서도 미래 주도권을 잡기 위해 ‘불황 속 투자’를 택했다는 평가다. 회사마다 수백조원에 달하는 수주 잔고를 대응하기 위한 차원이기도 하다.◇차세대 원통형 등 포트폴리오 확대전기차에 부정적인 도널드 트럼프 전 미국 대통령의 대선 당선 가능성, 대규모 투자에 대한 재무 부담, 중국산 중저가 배터리 공세 등 미래 전기차 시장을 우려하는 요인은 여전하다. 이런 변수에 따라서 ‘캐즘(시장 확대 이전 일시적인 수요 정체기)’이 더 길어질 것이라는 전망도 제기된다.배터리 3사는 기준 금리 하락, 전기차 신차 라인업 확대를 기다리면서 올 하반기 생산을 앞둔 ‘원통형 배터리’에 기대를 걸고 있다. K배터리 3사는 미국 테슬라를 비롯한 글로벌 전기차 업체가 주목하고 있는 원통형 배터리 생산을 가시화하고 있다. 그간 파우치형·각형 배터리가 대세였는데, 테슬라 신차에 탑재될 원통형 배터리 공급을 두고 한일 기업들이 경쟁하고 있다.LG엔솔이 이르면 ‘올해 8월’ 양산을 시작하고, 다른 기업들도 다양한 원통형 배터리 시제품을 생산하며 완성차 기업과 생산을 조율하고 있다. 삼성SDI가 검토 중인 미국 단독 공장에서도 원통형 배터리 생산이 유력한 것으로 전해졌다.◇1000조원 돌파한 수주잔고가 캐즘 버틸 체력국내 배터리 3사로서는 합계 기준 1000조원을 돌파한 수주 잔고가 캐즘을 버텨낼 체력이다.LG엔솔 김동명 사장은 최근 “어려운 상황을 극복하기 위해서는 불필요한 비용의 최소화, 효율적인 인력 운영 등 비효율을 과감하게 제거하는 것을 뛰어넘어 기존 방식과는 완전히 다른 수준의 신속한 의사 결정과 조치로 생산성과 효율성을 밀도 있게 높여 나갈 것”이라고 했다.그간 상향 평준화된 배터리 시장에서 에너지 밀도, 출력 업그레이드에 집중해왔다면 중저가 모델의 가격 경쟁력에도 시선을 옮기고 있다.LG엔솔은 중저가 전기차용 미드니켈(니켈 함유량 40~60%) 배터리 모델을 확대하고,CTP(CelltoPack) 신기술을 도입해 가격을 잡겠다는 전략이다.CTP는 배터리셀을 패키지로 만드는 과정에서 부품에 해당하는 모듈 비중을 줄여 더 많은 배터리셀을 배치하는 기술이다. 부품 수가 크게 줄어 비용 절감 효과를 기대할 수 있다.그래픽=양인성후발주자로 2017년 배터리 사업에 뛰어든SK온은 2022년까지 공격적 투자를 통해 외형 성장에 집중해왔다. 앞으로는 고성장·고수익이 예상되는 미국 시장 중심으로 수익성을 확보한다는 전략이다.SK온은 경쟁사 대비 미국 수주 비율이 높다. 고객사와 파우치형·각형에 이어 원통형까지 배터리 폼팩터(규격)를 다양화하면서 장기 체력도 키운다는 전략이다. 최근 일본 완성차 닛산에도 공급을 논의하고 있다. 작년 수주 잔고도 전년(2022년·290조원)보다 약 110조원 늘어나 400조원을 기록했다.삼성SDI도 작년 기준 역대 최대인 1조1364억원을 연구·개발(R&D)에 투자하는 등 ‘게임 체인저’로 불리는 전고체 배터리 2027년 양산 계획에도 집중하고 있다. 올해 시설 투자 규모도 작년(4조3000억원) 이상을 예고했다.◇완성차의 속도조절…공급 과잉 버텨야정부도 배터리 업계의 장기 경쟁력을 위해 향후 이차전지 산업에 5년간 총 5000억원 이상 R&D 예산을 지급한다는 계획이다. 안덕근 산업통상자원부 장관은 지난 18일 충북 청주시LG엔솔 공장에서 수출 지원 간담회를 열고 “이차전지는 전기차, 바이오 등과 함께 새로운 수출 동력으로서 큰 역할을 해왔지만, 전기차 업계의 배터리 재고 조정 및 광물 가격 하락 등으로 수출 여건이 녹록지 않다”면서 “이럴 때일수록 선제 투자를 확대하고 전고체 배터리 등 초격차 연구개발(R&D)에 집중해야 한다”고 했다.수주는 탄탄하지만 공급 과잉에 대한 우려도 있다. K배터리가 북미 중심으로 증설한 대규모 공장이 올해 하반기부터 본격 가동된다. 합작 배터리 공장을 세운 완성차 기업의 생산 조절에 대해 배터리 한파가 길어질 우려도 있다. 한 배터리 업계 관계자는 “북미 전기차 시장 침투율이 아직 10%이기 때문에 시장 확대 가능성은 여전히 크다”면서도 “트럼프 변수, 공급 과잉에 대응하는 동시에 비(非)중국 시장에서 중국 기업에 점유율 역전도 대비해야 한다”고 했다."
2024-03-05,"삼성SDI 신공장 착공.. 울산시, 인허가 기간 2년 6개월 단축","그래픽=조선디자인랩 권혜인울산시는 전담 공무원 현장 파견을 통해 삼성SDI의 이차전지 신공장 인허가 기간을 통상보다 2년 6개월 가량 앞당겼다고 5일 밝혔다.시는 지난해 7월 신공장 건립을 추진 중인 삼성SDI에 전담 공무원 1명을 파견했다. 파견 공무원은 매일 삼성SDI로 출근하며 투자사업 수립, 공장 건립 관련 포괄적 컨설팅과 업무 지원, 최적의 사업추진계획 수립 등 허가 업무를 대행했다.삼성SDI가 수십 년 동안 매입하지 못해 난제로 남았던 공장 부지 내 무연고 사유지에 대해 4개월 만에 수용 결정을 받도록 하고 산업단지 개발과 공장 건축을 동시에 추진하는 ‘준공 전 토지 사용’ 등 맞춤형 현장 지원을 제공했다.이에 따라 파견 약 6개월 만인 지난 1월, 5000억 규모의 양극재 소재 공장 건축 허가를 마무리했다. 시 측은 “통상 3년 이상 소요될 허가 기간을 2년 6개월 가량 단축했다”고 말했다. 삼성SDI는 이달 중 울산 하이테크밸리 일반산단 3공구 안에 이 신공장을 착공할 계획이다."
2024-10-15,제네시스 GV90에 삼성SDI 배터리 탑재한다,"2026년 출시 예정인 제네시스 전기차 ‘GV90′에 삼성SDI배터리가 탑재될 전망이다. 삼성SDI배터리가 제네시스 전기차에 탑재되는 첫 사례다.제네시스 전기차GV90의 토대가 될 콘셉트카 '네오룬'./제네시스15일 업계에 따르면, 현대차 고급 브랜드 제네시스가 개발 중인 대형SUV전기차GV90에 삼성SDI의 각형 배터리가 탑재된다.GV90은 현대차그룹 전용 전기차 플랫폼 ‘E-GMP’가 아닌 2세대 전용 전기차 플랫폼 ‘eM’에서 생산되는 첫 차량이다. 올해 그 토대가 될 콘셉트카 ‘네오룬’이 공개되며 큰 관심을 모았었다.삼성SDI배터리가 제네시스 전기차에 탑재되는 건 이번이 처음이다. 제네시스는 그간SK온과LG에너지솔루션의 파우치형 배터리를 이용해 왔다. 삼성SDI는 작년 현대차가 유럽에서 생산하는 전기차에 배터리를 공급하기로 했는데, 이번에는 제네시스로 협력이 확대된 것이다.업계에선 현대차가 전기차 캐즘(일시적 수요 둔화)으로 시장이 불투명해지는 가운데, 각형 배터리 탑재를 통해 새 돌파구를 찾는 것 아니냐는 분석이 나온다. 배터리 공급사를 다양화해 향후 변동성이 큰 시장 상황에 더 기민하게 반응하고자 한다는 것이다."
