date,title,content
2024-12-20,암세포 잡는 유도미사일 ‘ADC’… 국내 제약·바이오 업계서 개발 경쟁 치열,"삼성바이오로직스, 전용 생산 시설 연내 완공키로셀트리온, 2029년까지ADC신약 상용화 목표GC녹십자, 이중 항체ADC공동 개발 계약 맺어암세포를 잡는 ‘유도미사일’로 불리는 항체·약물 접합체(ADC)를 둘러싼 국내 제약·바이오 업계의 개발 경쟁이 치열해지고 있다.ADC는 항체에 약물을 붙여 정확히 암세포에만 전달하는 치료 기술이다. 일반 세포에 가해지는 악영향은 줄이고 치료 효과는 극대화할 수 있어, 글로벌 항암제 시장의 핵심으로 떠오르고 있다. 글로벌 시장조사 기관 이벨류에이트에 따르면, 지난해 100억달러(약 14조원) 규모였던ADC시장 규모는 2028년 280억달러로 급성장할 전망이다. 국내 기업들도ADC시장에 합류하기 위해 연구·개발(R&D)에 사활을 걸고 있다.항체는 암세포 표면의 항원을 인식하고 결합해 독성을 없앤다.ADC는 이처럼 길잡이 역할을 하는 항체에 약물(페이로드)을 링커로 연결해 특정 암세포만을 공격하게 된다.ADC의 개념을 적용한 첫 약물은 1970년대 개발됐다. 이후 아스트라제네카와 다이이찌산쿄가 공동 개발한 유방암ADC치료제 ‘엔허투’가 압도적인 효능을 보이면서 세계ADC개발 열풍을 이끌었다.아직 국내에서 개발된ADC치료제는 없지만 국내 제약·바이오 업계에서는 생산 시설과 파이프라인을 구축하고 있다. 삼성바이오로직스는 연내 완공을 목표로ADC전용 생산 시설을 신설하고 있다. 고객사와 계약을 맺어 의약품을 생산하는 위탁 개발 생산(CDMO)이 주력인 만큼, 최대 500L 규모 생산 설비를 구축해ADC수요에 대응하겠다는 것이다. 셀트리온은 지난달 국제 콘퍼런스에서 각각 폐암과 방광암을 타깃으로 하는ADC치료제 2종의 개발 성과를 공개했다. 2029년까지ADC신약을 상용화하겠다는 목표다.동아에스티는 지난해ADC전문 업체 앱티스를 인수했다. 앱티스는 위암 치료제 ‘AT-211′을 개발하고 있다. 지난달GC녹십자는 카나프테라퓨틱스와 이중 항체ADC공동 개발 계약을 체결했다. 리가켐바이오는 지난해 미국 얀센과 2조원 규모의ADC항암제LCB84의 기술 이전 계약을 맺었고, 이달 고형암 치료제LNCB74의 미국 임상 1상 시험 계획(IND) 승인을 받았다."
2024-10-23,"삼성바이오로직스, 3분기 누적 매출액 3조 넘겼다","삼성바이오로직스 본사. /삼성바이오로직스삼성바이오로직스 3분기 누적 매출이 처음으로 3조원을 넘어서며 역대 최대를 기록했다. 국내 제약바이오 업계 최초로 연 매출 4조원 돌파도 가능할 것이라는 전망이 나온다.삼성바이오로직스는 올해 3분기 연결 기준 매출 1조1871억원, 영업이익 3386억원을 기록했다고 23일 밝혔다. 3분기 매출 사상 최대 규모로 전년 동기 대비 15% 증가했다. 영업이익은 6% 늘었다.이에 따라 올 3분기까지 누적 매출은 3조2909원, 영업이익은 9944억원을 기록했다. 작년에 비해 각각 26%, 30% 늘었다.삼성바이오로직스는 글로벌 상위 제약사 20곳 중 17곳을 고객사로 확보하고 있다. 지난 22일에는 창립 이래 최대 수주 금액인 1조7000억원대 위탁 생산(CMO) 계약을 했다고 공시했다.한편 삼성바이오에피스는 3분기 매출 3303억원, 영업이익 679억원을 기록했다고 23일 밝혔다. 전년 동기 대비 매출은 26%, 영업이익은 38% 늘었다. 삼성바이오에피스가 품목 허가를 받은 바이오시밀러(바이오 복제약)는 국내 9종, 유럽 8종, 미국 8종 등이다."
2024-09-26,"삼성바이오로직스, 위탁 개발 설루션 2종 공개","美 글로벌 바이오 콘퍼런스서바이오 의약품CMO(위탁 생산)에 주력해온 삼성바이오로직스가 신약 개발 과정에서 필요한 제조 공정 개발과 임상 지원, 인허가 컨설팅 등을 지원하는CDO(위탁 개발) 역량도 강화하고 있다.삼성바이오로직스는 미국 보스턴에서 열린 ‘2024 바이오 프로세스 인터내셔널(BPI)’ 행사에서 신규CDO설루션 2종을 공개했다고 25일 밝혔다. 이번에 첫선을 보인 ‘에스-에이퓨초’는 항암 효과가 강화된 항체를 생산할 수 있도록 하는 특징이 있고, ‘에스-옵티차지’는 단백질 제조 공정 중 발생하는 변이를 정밀하게 조절해 안정성을 높이는 장점이 있다. 삼성바이오로직스는 “에스-에이퓨초는 암과 같은 질병 치료에 더 효과적인 항체 의약품을 만드는 데 사용될 수 있고, 에스-옵티차지는 주요 공정 지표를 최적화해 고품질 단백질을 생산하는 역량을 강화했다”고 밝혔다.일반적으로CDO는 약품을 대량으로 생산하는CMO보다는 수익성이 떨어지지만,CDO고객이CMO까지 이어지는 경우가 많기 때문에 고객사를 선점할 수 있다는 장점이 있다. 이 분야에 2018년 진출한 삼성바이오로직스는 올해 2분기까지 총 120건의CDO계약을 체결했다."
2024-07-24,"삼성바이오로직스, 올해 상반기 매출 2조 돌파","삼성바이오로직스가 2011년 창립 이래 처음으로 상반기 매출액 2조원을 돌파했다고 24일 밝혔다. 특히 2분기 영업이익은 전년 동기 대비 71% 급증했다.삼성바이오로직스는 이날 올해 상반기 연결 기준 매출 2조1038억원, 영업이익 6558억원을 기록했다고 공시했다. 전년 동기 대비 매출은 33%, 영업이익은 47% 증가했다. 연결 기준 2분기 매출은 1조1569억원, 영업이익은 4345억원으로 각각 34%, 71% 증가했다. 유리한 환율 환경과 대규모 수주에 기반한 4공장의 원활한 가동률 증가, 바이오시밀러 품목 허가 등에 따른 결과다.삼성바이오로직스의 상반기 별도 기준 매출은 1조4797억원, 영업이익은 5620억원으로 각각 전년 동기 대비 20%, 15% 증가했다. 삼성바이오에피스의 상반기 매출은 8100억원, 영업이익은 2952억원으로 각각 전년 동기 대비 73%, 278% 증가했다. 회사는 “바이오시밀러 신규 품목 허가에 따른 마일스톤(개발 성과에 대한 대가)의 영향으로 매출과 영업이익이 모두 큰 폭으로 상승했다”고 밝혔다.삼성바이오로직스는 올해UCB와 3819억원 규모의 증액 계약을 시작으로 글로벌 상위 제약사들과 총 7건의 신규 및 증액 계약을 체결했다. 삼성바이오에피스는 국내 기업 최초로 글로벌 블록버스터 약물(연 매출이 1조원 이상인 약물) 스텔라라의 바이오시밀러 품목 허가를 미국과 유럽에서 모두 획득하는 등 바이오시밀러 업계에서 입지를 굳히고 있다. 미국과 유럽 시장에서 바이오시밀러 8종에 대해 품목 허가를 획득했고, 국내 판매 제품 또한 총 9종으로 늘렸다. 삼성바이오로직스 측은 “하반기 4공장 가동률 상승과 바이오시밀러 사업 매출 확대 등으로 국내 제약·바이오 기업 최초로 연 매출 4조원 돌파도 가능할 것으로 예상된다”고 했다.삼성바이오로직스의 실적은 미국이 바이오시밀러에 유리한 환경을 조성하면서 더욱 성장할 것으로 전망된다. 미국 정부와 의회는 최근 약가(藥價)를 낮추기 위해 관련법을 손봐 오리지널 약보다 저렴한 바이오시밀러에 시장 문턱을 낮추고 있다."
2024-07-02,"삼성바이오로직스 1.47조 위탁 생산 수주, 역대 최대 규모","삼성바이오로직스 제4공장 전경. 삼성바이오로직스 4공장은 단일 공장 기준 세계 최대 규모(24만L)로, 2023년 6월부터 전체 가동에 들어갔다. /삼성바이오로직스삼성바이오로직스가 1조4700억원 규모의 바이오 의약품 위탁 생산(CMO) 계약을 체결했다. 국내 바이오 기업의 위탁 생산 수주 액수로는 역대 최대이고, 삼성바이오로직스의 지난해 전체 수주 금액의 42%에 달하는 규모다.삼성바이오로직스는 2일 공시를 통해 미국 소재 제약사에서 10억6000만달러(약 1조4723억원) 규모의CMO계약을 수주했다고 밝혔다. 고객사 및 제품명은 비밀 유지 조항에 따라 공개되지 않았다. 계약 기간은 2030년 12월 31일까지다.이번 계약은 지난해 6월 체결된 투자의향서(LOI)의 본계약으로, 약 1년 만에 9억4749만달러(약 1조3164억원) 증액된 규모로 체결됐다. 기존 최대 수주액은 지난해 화이자와 맺은 9227억원 규모 계약이었는데, 1.6배에 이르는 금액으로 기록을 다시 썼다.삼성바이오로직스는 이번 계약으로 올 상반기 누적 수주 금액이 2조5000억원을 넘어섰다고 밝혔다. 올해는 약 6개월 만에 지난해 전체 수주액(3조5009억원)의 70% 이상을 수주한 것이다. 회사 측은 “올해 글로벌 제약사와 체결한 계약 7건 중 6건은 기존 계약 생산 물량을 늘린 것”이라며 “강한 신뢰를 쌓은 결과”라고 했다.이번에LOI보다 훨씬 큰 규모의 계약이 성사된 배경엔 미국 정부의 중국 바이오 기업 제재 움직임이 작용했을 것으로 분석된다. 최근 미국 의회는 중국 바이오 기업과의 거래를 제한하는 바이오 보안법(안)을 발의하고 제재 대상 목록에 글로벌 3위CDMO(위탁 개발 생산) 기업인 중국의 우시바이오로직스를 명시했다. 올해 안에 법안이 통과될 가능성이 크다는 전망에 글로벌 제약사들이 우시바이오로직스와의 신규 계약을 꺼리고, 글로벌 4위CDMO기업인 삼성바이오로직스를 선호하는 경향이 커지고 있다는 것이다. 김혜민KB증권 연구원은 “미국의 바이오 보안법(안)이 통과되면 삼성바이오로직스의 실적이 늘어날 수 있다”고 전망했다.지속되고 있는 강(强)달러 현상도 삼성바이오로직스의 실적에 긍정적 영향을 끼치고 있다. 하나증권은 이날 발표한 리포트에서 삼성바이오로직스의 2분기 연결 기준 실적이 매출액 9742억원, 영업익 3159억원으로 각각 전년 동기 대비 12.5%, 24.7% 늘어날 것으로 전망했다."
2024-08-15,‘분식 회계’ 삼성바이오 80억원 과징금 취소,"5년 9개월 만에 1심 선고삼성바이오로직스. /뉴스1삼성바이오로직스(삼성바이오)가 분식 회계를 했다며 2018년 금융 당국이 과징금 80억원과 징계 처분을 내린 것에 대해 법원이 14일 취소하라고 판결했다.서울행정법원 행정3부(재판장 최수진)는 이날 삼성바이오가 증권선물위원회와 금융위원회를 상대로 낸 시정 요구 등 취소 소송에서 원고 승소 판결을 내렸다. 소송 시작 5년 9개월 만이다.금융위 등은 2018년 11~12월 “삼성바이오가 회계 기준을 임의로 적용해 4조5000억원 규모의 분식 회계를 저질렀다”며 과징금 80억원을 부과하고 대표 및 회계 담당 임원을 해임하라고 권고했다. 삼성바이오는 2012~2014년 자회사 삼성바이오에피스(에피스)를 재무제표상 ‘종속 회사’로 처리하다가 2015년 ‘관계 회사’로 변경했다. 이에 따라 에피스의 가치는 2900억원에서 4조8000억원으로 늘었고, 4년간 적자였던 삼성바이오는 1조9000억원 흑자가 됐다.당시 참여연대 등은 “2015년 삼성물산과 제일모직 합병 당시 제일모직 자회사인 삼성바이오의 가치가 부풀려져 이재용 당시 부회장이 이득을 봤다”며 분식 회계 의혹을 제기했다. 삼성바이오는 “적법한 회계 처리”라고 맞섰다.이에 대해 재판부는 “2012~2014년 에피스를 종속 회사로 처리한 것은 위반으로 보기 어렵지만, 2015년 에피스를 관계 회사로 변경한 것은 재량권 남용에 해당한다”고 했다. 그러면서 “금융 당국의 처분 사유가 일부 인정되더라도, 기초 사실을 오인하거나 법 위반 정도를 초과한 제재에 해당되기 때문에 처분을 모두 취소하라”고 판결했다.앞서 지난 2월 분식 회계 등 혐의로 기소된 이재용 회장의 형사 사건 1심도 무죄가 선고됐다."
2023-11-29,"삼성바이오로직스, 年 수주액 첫 3조 돌파","7608억 위탁생산 계약 5건 체결삼성바이오로직스가 7608억원 규모의 위탁생산(CMO) 계약 5건을 체결하면서 연간 누적 수주 금액 3조4867억원을 기록했다. 연간 누적 수주 금액이 3조원을 넘은 것은 2011년 창사 이래 처음이다.삼성바이오로직스는 28일 아시아 소재 제약사와 1건의 신규, 4건의 증액CMO계약을 체결했다고 공시했다. 이번 계약으로 연간 누적 수주 금액이 처음으로 3조원을 돌파하며 역대 최고치를 달성했다. 지난해 1조7835억원 대비 두 배가량 증가한 수치다.삼성바이오로직스의CMO계약은 최소구매물량보전(MTOP) 방식으로 진행된다. 이 때문에 계약 이후에도 고객사의 요구에 따라 금액과 물량이 늘어나는 경우가 많다. 2022년 공시한 11건의 계약 중 증액 계약이 7건이며, 올해도 1조1581억원 규모 증액 계약 12건이 공시됐다. 고객사도 글락소스미스클라인(GSK), 아스트라제네카, 모더나, 일라이릴리 등 상위 글로벌 빅파마 20곳 중 14곳을 확보했다.삼성바이오로직스는 대규모 수주를 통해 높은 성장세를 이어가고 있다. 올해 공시한 신규 수주 및 증액 계약 중 1000억원 이상의 대규모 계약만 9건이다. 대규모 수주가 이어지면서 단일 공장 기준으로 세계 최대 규모인 24만 리터 규모의 4공장 가동률이 예상보다 빠르게 상승하며 2023년 연간 매출 전망치도 지난 10월 기존 ‘15~20%’에서 ‘20% 이상’으로 높였다. 삼성바이오로직스는 수주 규모가 늘어나는 것을 감안해 지난 4월 18만 리터 규모의 5공장 증설에 착수했다. 2025년 4월 5공장이 완공되면 전체 생산 능력은 78만4000리터가 된다."
2024-01-02,"삼성바이오로직스, 새해 핵심 키워드는 고객만족 등 ‘4E’","존림 삼성바이오로직스 대표이사가 최고경영자(CEO) /삼성바이오로직스 제공삼성바이오로직스가 새해 고객만족·운영효율성·품질·임직원 역량을 강화하는 ‘4E(Excellence)’를 내세웠다.존림 대표는 2일 새해를 맞아 임직원들에게 발송한 ‘CEO메시지에서 4가지 분야에서의 탁월함(excellence)을 강조했다. 고객만족을 의미하는 ‘CustomerExcellence’,우수한 운영 효율을 뜻하는 ‘OperationExcellence’,최고 품질을 추구한다는 뜻의 ‘QualityExcellence’,뛰어난 임직원 역량을 의미하는 ‘PeopleExcellence등이다.존림 대표는 “철저하게 고객을 최우선으로 하는 고객지향적 마인드를 갖춰야 할 것”이라며 “또 2024년에는 조직·업무·프로세스의 단순화 및 표준화에 집중하고, 디지털 트랜스포메이션(DigitalTransformation)을 가속화할 것”이라고 했다. 이를 위해 더불어 생산 효율을 극대화하고, 배치(Batch) 성공률 100% 달성을 위해 더욱 총력을 기울여줄 것을 주문했다.지난해 주요 성과로는 △4공장 완전 가동 및 5공장 착공 △글로벌 상위 20개 제약사 중 14개사를 고객사로 확보하며 수주 경쟁력 입증 △신규 개발 플랫폼 에스초지언트(S-Chosient)·에스글린(S-Glyn) 출시 △지속가능경영 유공 대통령상 수상 등을 언급했다.존림 대표는 “무결점 품질 관리는 아무리 강조해도 지나치지 않은 가치이자 우리 업의 근간”이라며 “우리가 생산한 바이오의약품을 투약하는 환자, 우리를 선택한 고객, 그리고 함께 일하는 동료를 생각해 책임감 있는 태도로 업무에 임해달라”고 했다."
2023-10-22,"삼성바이오로직스, 임직원 부모 초청 행사 개최…“가족 간 일터에 대한 공감 높여”","지난 21일 인천 송도 삼성바이오로직스 본사 내 바이오플라자 대강당에서 임직원, 가족 1,100여명이 단체 사진을 찍고 있는 모습/삼성바이오로직스 제공삼성바이오로직스가 지난 21일 인천 송도 본사에서 임직원 부모와 함께하는 ‘부모 초청 행사’를 개최했다고 22일 밝혔다.임직원 부모에게 업무 환경과 회사의 비전을 소개하고 추억을 쌓을 기회를 마련하기 위해 기획된 이번 행사는 임직원과 부모, 형제 등 1100여명이 참여했다. 행사는 임직원이 부모를 위해 준비한 환영 영상을 시작으로 회사 소개, 레크리에이션, 사업장 및 사무실 방문, 기념사진 촬영, 민속놀이, 기념 선물 증정 등의 프로그램으로 진행됐다.삼성바이오로직스는 사업장과 홍보관 투어를 통해 임직원 부모에게 바이오 의약품 위탁개발생산(CDMO) 사업 및 자녀들의 업무를 설명하고, 임직원 부모들이 자녀의 사무공간을 방문해 업무 환경을 직접 둘러 볼 수 있도록 했다. 이후에는 부모와 함께 즐길 수 있는 레크리에이션을 진행하는 한편, 사업장 곳곳에 가족사진을 남길 수 있도록 포토존을 설치했다.삼성바이오로직스는 가족 간 일터에 대한 이해와 공감을 높이고 직원들의 소속감과 자긍심을 제고하기 위해 지난해부터 가족 초청 행사를 진행하고 있다. 올해는 자녀 초청 행사와 부모 초청 행사 등 2회로 나눠 행사에 더 많은 가족이 참여할 수 있도록 했다.행사에 참여한 마이크로 바이올로지 그룹 이주경 프로는 “부모님이 회사에 대해 궁금해 해도 설명하기가 어려웠었는데 이번 행사를 통해 궁금증을 잘 해소한 것 같다”며 “회사가 부모님과 더 잘 소통할 수 있는 연결 다리 역할을 해준 것 같다”고 소감을 밝혔다.존 림 삼성바이오로직스 대표는 “임직원이 생명을 살리는 중요한 역할을 하고 있음을 가족들도 잘 이해하고 있었으면 한다”면서 “앞으로도 다양한 가족친화제도를 운영해 일과 가정의 양립을 적극적으로 지원하고 임직원이 행복한 회사를 만들어나가는 데 힘쓸 것”이라고 했다.지난 21일 인천 송도 삼성바이오로직스 본사 내 사무실에서 가족들이 임직원이 근무하는 자리를 직접 방문해 체험하고 있는 모습/삼성바이오로직스 제공"
2023-10-25,"삼성바이오로직스, 분기 첫 매출 1조원 돌파","삼성바이오로직스 4공장 전경/뉴스1삼성바이오로직스가 창립 이래 처음으로 분기 매출 1조원을 돌파했다. 공장 운영의 효율화와 함께 4공장 가동이 매출에 반영된 영향 때문이다.삼성바이오로직스는 25일 공시를 통해 2023년 3분기 연결 기준 매출액 1조 340억원, 영업이익 3185억원을 기록했다고 밝혔다. 4공장 가동률 상승으로 매출액이 전년 동기 대비 1610억원 증가하며 역대 최대 분기 실적을 달성했다.3분기 누적 매출은 2조 6211억원, 영업이익 7637억원으로 전년 동기 대비 각각 5853억원, 929억원 증가했다. 삼성바이오로직스는 2023년 연간 매출 전망치로 전년 대비 20% 이상 성장한 3조 6016억원 이상을 제시한 바 있다."
