date,title,content
2024-10-10,퇴직연금 실물이전 시행 31일로 연기된다… 삼성생명 등 일부 금융사는 더 지연,"일러스트=조선디자인랩 김영재퇴직연금 가입자가 다른 금융회사로 손쉽게 상품을 갈아탈 수 있도록 하는 ‘퇴직연금 실물이전 서비스’ 시행 시기가 이달 15일에서 31일로 늦춰졌다.10일 금융감독원은 퇴직연금가입자가 기존 운용 상품을 매도하지 않고 퇴직연금사업자만 바꾸어 이전할 수 있는 ‘실물이전 서비스’가 오는 31일 개시된다고 밝혔다. 당초 이번달 15일 서비스 개시를 목표로 했지만, 업계에서 추가 테스트 기간이 필요하다는 의견이 나오면서 보름 정도 늦춰졌다.지금은 퇴직연금 계좌를 다른 금융사로 이전하려면, 계좌에 보유하고 있던 투자 상품을 모두 팔아 현금으로 만든 뒤 갈아타야 한다. ‘실물 이전’은 투자 상품을 허물지 않고 그대로 금융사를 갈아탈 수 있는 것이다. 이 제도가 시행되면, 투자자들의 불편이 줄어 대규모 ‘머니 무브’가 일어날 것이란 기대가 많았다.다만, 이달 31일에도 일부 금융사는 서비스를 제공하지 못할 것으로 보인다. 삼성생명과 부산은행, 경남은행, 하나증권, 광주은행,im은행,im증권 등 7개사를 이용하는 고객은 실물 이전 서비스가 준비되기를 기다려야 한다. 이 금융사들은 서비스 개시 지연사유 및 개시 예정일자를 홈페이지 및 금융감독원 통합연금포탈에 안내할 예정이다.금감원은 “가입자의 편의성 제고를 위해 보유한 상품의 실물이전 가능 여부를 신청 전에 조회할 수 있는 ‘사전조회 기능’을 빠른 시일 내에 추가 열 예정”이라며 “중 장기적으로DC에서IRP로의 실물 이전 등 금번 이전 범위에 포함되지 못한 상품에 대해서도 실물이전이 가능하도록 추가 검토하는 등 가입자에 대한 서비스 제고 노력을 지속적으로 추진해 나갈 계획”이라고 밝혔다."
2024-09-04,"보험사도 주담대 제한… 삼성생명, 무주택자만 대출하기로","김병환 금융위원장이 지난달 28일 오전 서울 여의도 보험개발원에서 10개 보험사CEO,생명보험협회, 손해보험협회, 화재보험협회, 보험개발원 관계자 등과 간담회를 하고 있다./금융위원회은행권에 이어 보험사도 유주택자에 대한 주택담보대출을 제한하기 시작했다. 가계부채 급증에 따른 대출 제한이 전 금융권으로 확산하는 모양새다.3일 금융권에 따르면 삼성생명은 이날부터 기존에 주택을 가지고 있는 사람에게는 수도권 주택을 담보로 한 대출을 제한하라고 각 영업점에 통보했다. 특히 1주택자가 기존 주택을 처분하기로 하고 대출받는 형식의 ‘즉시처분조건부 대출’도 해 주지 않기로 했다. 완전한 무주택자만 주택담보대출을 받을 수 있다는 것이다. 아울러 원금을 제외한 이자만 일정 기간 낼 수 있는 거치형 대출을 중단하기로 했다. 이 경우 대출 이후 원리금을 함께 상환해야 해 대출자에게는 부담으로 작용한다.은행권에 이어 보험사가 주택 보유자에 대한 주택담보대출을 제한하기 시작한 것은 이른바 ‘풍선 효과’를 사전에 선제적으로 차단하기 위해서다.한편 주택담보대출을 중심으로 시중은행의 가계대출이 급증하자 금융 당국이 은행의 거시건전성 규제를 강화하겠다고 이날 밝혔다.금융감독원 관계자는 “향후 투기성이나 고(高)총부채원리금상환비율(DSR) 등 고위험 대출의DSR를 관리하는 방식으로 은행의 리스크 관리 강화를 지도할 계획”이라고 말했다. 금감원이 지난달 27일 ‘향후 가계부채 관리 대응’ 자료에서 “가계대출 증가액이 경영 계획을 초과한 은행은 내년 시행하는 은행별DSR관리 계획 수립 때 더 낮은DSR관리 목표를 수립하도록 지도하겠다”고 설명한 데 이어 고위험 대출DSR관리를 강화하겠다는 것이다.DSR은 대출자가 한 해에 갚아야 하는 원리금 상환액을 연 소득으로 나눈 값으로, 은행권의 경우 대출자의DSR이 40%를 넘지 않아야 한다."
2023-12-01,"홍원학 삼성생명 사장, 이문화 삼성화재 사장, 박종문 삼성증권 사장","삼성 금융 계열사가 1일 임원후보추천위원회와 이사회를 열고, 사장단 교체 인사를 단행한다.삼성생명 사장에는 홍원학(59) 삼성화재 사장이, 삼성화재 사장으로는 이문화(56) 삼성생명 전략영업본부장(부사장)이 선임될 것으로 알려졌다. 삼성증권 사장은 박종문(58) 현 삼성생명 자산운용부문 대표가 맡을 것으로 전해졌다. 신임 대표 후보들은 추후 주총에서 최종 선임될 예정이다.전영묵 삼성생명 사장과 장석훈 삼성증권 사장은 퇴진한다. 삼성 금융계열사 관계자는 “1964~1967년생 50대 대표들로 세대교체가 진행되는 것”이라고 말했다.홍원학 신임 삼성생명 사장은 1990년 삼성생명에 입사해 삼성전자 인사팀장, 삼성생명FC영업1본부장을 거쳐 2021년 12월 삼성화재 대표로 취임했다. 이후 삼성화재가 최고 실적을 내며 맏형 삼성생명 실적을 제치는 데 공을 세운 것으로 평가받고 있다.이문화 신임 삼성화재 사장은 삼성화재 경영지원팀장, 일반보험부문장 등을 거친 ‘삼성화재 맨’이다. 박종문 신임 삼성증권 사장은 삼성생명으로 입사해 해외사업본부, 경영지원실 등을 거쳐 지난해부터 자산운용부문을 이끌어왔다."
2023-07-28,"검찰, ‘아난티 부동산 부정거래’ 삼성생명 前임직원 압수수색","서울 서초구 삼성생명 본사./뉴스1호텔·리조트 운영사 아난티와 삼성생명 간의 부동산 부정거래 의혹을 수사 중인 검찰이 삼성생명 전 임직원들에 대한 압수 수색에 나섰다.서울중앙지검 공정거래조사부(부장 이정섭)는 28일 전직 삼성생명 부동산사업부장 이모씨와 팀장 황모씨 등의 사무실과 자택을 압수 수색하고 있다고 밝혔다. 황씨 등은 아난티와 삼성생명의 부동산 거래를 주도해 삼성생명에 수백억원의 손해를 끼친 혐의를 받고 있다.이 사건은 금융감독원이 2019년 아난티의 회계감리 중 허위 공시 정황을 발견하고 수사의뢰를 통보하면서 시작됐다. 검찰은 수사 중 아난티와 삼성생명 간 수상한 부동산 거래 정황을 포착했다. 아난티는 2009년 4월 송파구 신천동 일대 땅과 부동산을 500억원에 매입했다. 그런데 최종 잔금을 납부하기도 전인 같은 해 6월 아난티는 그 두 배에 가까운 969억원을 받고 삼성생명에 되팔았다. 두 달 만에 469억원의 이익을 본 것이다.검찰은 황씨를 이 거래를 주선한 ‘브로커’로 보고, 아난티와 삼성생명 임직원 간에 뒷돈이 오갔을 가능성을 의심하고 있다. 황씨는 약 15년 동안 삼성생명에서 부동산 투자 사업을 담당한 것으로 알려졌다.이 사건과 관련해 검찰은 지난 2월 아난티와 삼성생명을 압수 수색했고 삼성생명 관계자들도 불러 조사해왔다. 검찰은 지난 3월 이만규 아난티 대표의 동생인 이홍규 전 아난티 최고재무책임자(CFO)를 허위 공시 혐의로 불구속 기소했다."
2024-12-18,안세영 “질타 많이 받았지만 후회 안해”… 작심발언 후 밝힌 심경,"세계배드민턴연맹이 공개한 안세영 인터뷰./유튜브한국 배드민턴 간판 안세영(22·삼성생명)이 2024 파리올림픽에서 금메달을 획득한 직후 대표팀의 부상 관리와 운영 방식 등에 대해 작심발언을 했던 것과 관련 “후회하지 않는다”고 밝혔다.세계배드민턴연맹(BWF)은 지난 17일 공식 유튜브 채널을 통해HSBCBWF월드 투어 파이널스 2024를 마치고 한해를 결산하는 영상을 공개했다.영상 마지막은 안세영의 인터뷰로 꾸며졌다. 이 인터뷰에서 안세영은 파리올림픽에서 우승을 확정한 뒤 대한배드민턴협회의 대표팀 운영을 두고 내뱉은 쓴소리와 이후 벌어진 상황에 대한 속마음을 처음으로 털어놨다.안세영은 “문제점을 말한 사람이 된 것 같아서 힘든 시간을 보냈다”며 “문제점이라고 하기 보다는 부족했던 부분을 개선하면 좋은 방향으로 가지 않을까 하는 생각이었다”고 했다.이어 “(결승에서) 이기든 지든 말했을 것”이라면서도 “내가 그렇게 말하면서 파장이 이렇게 커질 것이라고는 솔직히 생각하지 못했다”고 했다. 그러면서 “답변을 한 데 대해서는 크게 후회하지도 않는다”며 “많은 분들의 도움을 받고 다시 일어설 수 있었다”고 했다.올림픽 우승의 기쁨을 온전히 누리지 못한 데 대한 아쉬움도 있었다고 한다.안세영은 “올림픽에서 (금)메달을 따고 나서 많은 축하를 받기보다는 질타도 많이 받았다”며 “좀 아쉽지만 내가 그런 상황을 만들었으니 나름대로 난 괜찮았다”고 했다.끝으로 그는 “지금은 재밌게, 한 경기 한 경기 정말 좋은 플레이를 하면서 그냥 즐기고 싶다는 생각밖에 없는 것 같다”며 “배드민턴계 레전드가 되고 싶다”고 덧붙였다.안세영은HSBCBWF월드 투어 파이널스 2024에서 동메달을 따고 지난 16일 인천공항을 통해 귀국했다. 대회에 앞서 안세영은BWF올해의 여자 선수상, 여자 선수들이 뽑은 올해의 여자 선수 등 2관왕에 올랐다."
2022-12-08,"삼성생명, 자산운용부문 사장에 박종문","삼성생명 금융경쟁력제고 태스크포스(TF)를 이끌어온 박종문 부사장이 8일 삼성생명 자산운용부문 사장으로 승진했다. 내년 3월 임기 만료 예정이었던 전영묵 사장은 유임됐다. 이에 따라 앞으로 삼성생명은 전 사장과 박 사장 2인 체제로 간다는 방침이다. 삼성생명이 2인 사장 체제를 둔 건 2009년 12월 이후 13년만이다.1965년생인 박 사장은 부산 내성고, 연세대 경영학 학사, 한국과학기술원 금융공학 석사 출신이다. 삼성생명에서 지원팀장 상무, 해외사업본부 담당임원 상무,CPC전략실장 상무 등을 거쳤다.2018년 12월 금융경쟁력제고TF장으로 보임된 뒤에는 중장기 사업전략 수립을 지원해왔다. 금융 계열사간 시너지 발굴 등을 통해 금융의 미래 먹거리 창출과 경쟁력 제고를 도맡아왔다는 평가다.삼성생명은 “이번 사장 승진을 통해 자산운용부문장을 맡아 불확실한 금융환경에 대응하고 미래 준비에 집중하는 데 기여할 것으로 기대한다”고 밝혔다. 삼성생명은 부사장 이하 정기 임원인사와 조직개편을 조만간 확정해 발표할 예정이다.한편 이날 단행된 삼성금융계열사 정기 사장단 인사에서 홍원학 삼성화재 대표, 김대환 삼성카드 대표도 유임됐다. 시장의 불확실성이 커지고 있어 변화보다는 `안정`을 택한 것으로 풀이된다."
2022-11-23,"‘즉시연금 미지급’ 항소심… 삼성생명, 1심 뒤집고 승소","서울고법/조선일보DB삼성생명의 ‘즉시연금 미지급’을 두고 가입자 57명과 삼성생명 간 벌어지는 소송의 항소심 법원인 서울고법 민사12부가 23일 1심 판결을 뒤집고 삼성생명 측 손을 들어줬다.즉시연금은 가입자가 목돈을 한꺼번에 보험사에 낸 뒤 매달 보험금을 연금처럼 받는 상품이다. 보험사는 가입자가 낸 보험료의 운용 수익의 일부를 매달 연금으로 지급한다. 삼성생명을 상대로 소송을 낸 이들은 가입 만기 때는 가입자가 처음 납부한 보험료 전액을 돌려받는 상속만기형에 가입했다.그런데 이들이 가입한 상품은 순보험료(납입보험료에서 사업비를 뺀 금액)에서 공시이율을 적용한 액수 전체를 매월 연금으로 지급하지 않았다. 가입 만기 때 가입자가 낸 원금을 온전히 돌려주기 위한 재원을 마련하기 위해, 가입자들에게 매월 지급하는 돈에서 일정 액수(사업비)를 빼고 지급했다.이에 대해 가입자들은 “상품 가입 때 ‘적립액이 공제된다’는 안내를 받지 못했다”며 금융감독원에 민원을 냈다. 금감원은 ‘보험사가 약관에 분명하게 명시하지 않았다’며 가입자들에게 지급하지 않고 공제됐던 연금액을 돌려줄 것을 권고했지만, 삼성생명이 거부해 소송으로 갔다.1심은 가입자들 손을 들어줬다. 1심은 “삼성생명이 적립액 중 일부가 공제가 되고, 나머지를 지급하도록 돼 있다는 점을 약관이나 어디에도 명시하지 않았다”며 “삼성생명이 상품 판매 과정에서 가입자들에게 이를 설명했다고도 볼 수 없다”고 했다.그러나 항소심 판단은 달랐다. 항소심 재판부는 “삼성생명이 연금액 산정과 관련 가입자들에게 보험 체결 여부를 결정할 수 있을 정도로 구체적으로 설명한 것으로 보인다”고 했다.이번 소송에서 다툰 금액은 6억원 정도다. 그러나 다른 보험사들도 비슷한 소송을 겪고 있어 ‘즉시연금 미지급’ 분쟁 규모는 최대 1조원에 이른다고 한다. 소송마다 각 법원 재판부가 다른 판단을 내리고 있다. 법조계와 보험업계에선 “대법원 판례가 나오기 전까진 혼란스러울 것”이란 말이 나온다."
2022-12-13,[경제계 인사] 삼성생명 외,▲삼성생명▷부사장 송상진 이완삼▷상무 권영임 권웅원 김선진 김혜진 변인철 이상헌 최종충 하걸희 허정무▲삼성화재▷부사장 구영민 김준하 최재봉▷상무 김민경 김범중 김태윤 오일석 윤종호 이용복 장효정 전경은 정동진 주종혁▲삼성카드▷부사장 김태선 양덕열▷상무 김현주 장철 조혜진▲삼성증권▷부사장 이찬우▷상무 백승목 천정환 한성주▲삼성자산운용▷상무 임태혁 조성섭▲삼성글로벌리서치▷부사장 신창목 이영국▷상무 권선제 오승원 이훈 홍정우▲호텔신라▷부사장 이정호▷상무 이재완▲제일기획▷부사장 윤영석▷상무 정용화 한보현▲에스원▷부사장 문남수 박현양 조영식▷상무 김병수 김송범 소택영 전진권 한부석▲연우코리아▷대표 박상용▲에치앤지▷대표 한상복▲북경콜마▷전무 김정호▲한국콜마▷상무 김형상 박병준▷상무대우 김충원 여민혁▲콜마비앤에이치▷상무 문재민 조영주▷상무대우 최민한▲HK이노엔▷상무 진경철 최명기 박상욱▷상무대우 김우성 최성욱 최광도▲무석콜마▷상무대우 박인기
2022-09-29,"삼성생명·화재, 블랙스톤과 9300억원 펀드투자약정","삼성네트웍스 출범이후 최대규모해외부동산·인프라 등에 투자확대삼성금융네트웍스BICI삼성그룹 보험 계열사인 삼성생명과 삼성화재가 해외 대체투자를 확대하기 위해 세계 최대 사모펀드 운용사 블랙스톤과 6억5000만달러(약 9300억원) 규모의 펀드 투자 약정을 맺었다고 28일 밝혔다. 이를 통해 블랙스톤이 운영하는 해외 부동산과 인프라,PE펀드 투자를 적극적으로 진행한다는 방침이다. 펀드 관리는 삼성자산운용과 삼성SRA자산운용이 맡는다. 이번 약정은 지난 4월 삼성 금융 계열사 공동 브랜드인 삼성금융네트웍스가 출범한 이후 세계 주요 운용사와 체결한 펀드 투자 약정 중 최대 규모다.삼성금융네트웍스는 최근 글로벌 투자를 적극적으로 확대하고 있다. 삼성생명은 지난해 글로벌 부동산 네트워크에 강점이 있는 영국의 부동산 자산운용사인 새빌스(Savills)IM의 지분 25%를 취득해 2대 주주로 올라섰고, 삼성화재는 2019~2020년 영국 로이즈 캐노피우스사 지분을 19% 취득해 경영에 참여했다. 삼성자산운용은 지난 4월 미국 상장지수펀드(ETF) 전문 운용사인 앰플리파이에 지분 20% 투자 계약을 체결하기도 했다. 올해 들어 글로벌 주식·채권 시장이 동반 약세를 보이고 있지만, 대체 자산 시장은 상대적으로 선방하는 모습을 보이고 있다. 삼성생명과 화재 모두 작년에 순이익 1조원을 넘겼다. 전년과 비교해 삼성생명은 16.1%, 삼성화재는 42.5%나 이익이 늘었다.삼성생명은 “세계 3대 사모펀드 중 하나인 블랙스톤과 큰 규모의 투자 약정을 체결하게 돼 뜻깊다”며 “앞으로 수익 기반 강화 및 다변화를 위한 글로벌 자산운용 사업 확대를 적극 추진할 것”이라고 밝혔다."
2024-04-09,삼성생명·아난티 부정거래 의혹 무혐의… 아난티 대표 허위공시 혐의만 기소,"검찰이 1년여간 이어온 삼성생명과 아난티의 부동산 부정거래 의혹을 무혐의 처분했다. 검찰은 이만규 아난티 대표가 사업보고서를 허위로 공시한 혐의만 재판에 넘겼다.서울중앙지검 전경. /조선DB서울중앙지검 공정거래조사부(부장 용성진)는 9일 이 대표를 자본시장법 및 외부감사법 위반 혐의로 불구속 기소했다. 이 대표는 2015~2016년 동생인 이홍규 전 아난티CFO와 공모해 지출 내용을 증빙할 수 없는 회삿돈 수십억원을 선급금으로 잡아 허위 공시하는 등 회계 처리에 문제가 없는 것처럼 장부를 꾸민 혐의를 받는다. 검찰은 이 사건의 공소시효 만료를 앞둔 지난해 3월 이 전CFO를 먼저 불구속 기소했었다.한편 검찰은 삼성생명과 아난티 간 부동산 부정거래 의혹에 따른 관련자들의 배임 등 혐의는 무혐의 처분했다. 아난티는 2009년 4월 해당 부동산을 500억원에 매입하기로 계약한 뒤, 잔금을 치르기도 전에 같은 건물을 삼성생명에 조건부로 파는 계약을 맺었다. 삼성생명이 이 부동산을 970억원에 구매하면서 아난티는 큰 수익을 얻었다.이를 두고 삼성생명이 아난티의 부동산을 비싸게 사들이면서 회사에 손해를 끼쳤다는 의혹이 번졌다. 검찰은 삼성생명 부동산사업부 출신인 자산운용사 대표 황모씨가 거래를 주선한 정황에 대해 수사를 벌였지만, 당시 부동산 시장을 고려했을 때 배임으로 보기는 어렵다고 결론 내렸다."
2022-01-26,암 걸려도 보험금 지급 안한 삼성생명 중징계···향후 1년간 신사업 중단,"삼성생명 서울 서초동 본사.금융위원회가 고객들에게 암 입원 보험금을 제대로 지급하지 않은 삼성생명에 대해 ‘기관경고’와 과징금을 부과하는 등의 제재를 확정했다. 금융위는 26일 제2차 정례회의에서 삼성생명 종합검사 결과를 심의해 “과징금 1억5500만원을 부과하라”고 의결했다. 암 입원보험금 미지급이 보험업법을 위반했다고 판단한 것이다.금융위는 “삼성생명에 대한 조치명령 및 과징금 부과를 통보 조치하고, 금융감독원은 금융위 의결 후 금융감독원장에 위임된 기관제재(기관경고) 및 임직원 제재 등을 조치할 예정”이라고 말했다. 기관경고와 임직원 제재 조치는 중징계에 해당한다.금융위는 의료자문결과 등을 종합적으로 감안해 금감원 검사결과 지적된 총 519건 중 496건이 약관상 ‘암의 치료를 직접 목적으로 한 입원’에 해당한다고 판단했다.이번 중징계 결정에 따라 삼성생명과 자회사는 앞으로 1년간 금융 당국의 심사가 필요한 신사업 진출이 제한되면서 마이데이터 등 디지털 사업에도 차질이 생기게 됐다.이날 금융위는 삼성생명이 대주주인 외주업체 삼성SDS와 용역계약을 진행하는 과정에서 지체상금을 미청구한 건에 대해서는 조치명령을 부과했다.조치명령의 주요내용은 대주주 등 외주업체와의 용역계약·검수업무 처리, 지체상금 청구 등이 적정하게 이루어질 수 있도록 업무처리절차와 기준을 마련·개선하고, 이에 따라 해당 건 대주주인 외주업체와 체결한 용역계약의 지체상금 처리방안을 마련해 이사회 보고 후 이행할 것 등이다.다만 금융위는 삼성생명의 용역계약 관련 지체상금 미청구가 보험업법 위반에 해당하는지에 대해서는 최근 대법원 등 판례와 법령해석심의위원회 자문내용 등을 고려해 위반대상행위를 제한적으로 규정하고 있는 현행 보험업법 규정으로는 제재가 어렵다고 봤다.·"
2024-12-02,"﻿금메달리스트 불참한 배드민턴협회 포상식…안세영, 대신 포착된 곳","대한배드민턴협회의 파리올림픽 포상식이 열린 지난달 30일 안세영이 프로농구 경기를 관람하는 모습이 중계 카메라에 잡혔다. /KBSN스포츠대한배드민턴협회가 파리올림픽 메달리스트들을 치하하는 포상식을 열었으나 안세영(22‧삼성생명)은 불참했다. 그 시각 안세영은 농구장 관중석에서 포착됐다.협회는 지난달 30일 경남 밀양의 아리나호텔에서 2024 파리올림픽 포상식을 개최했다. 여자 단식 금메달리스트 안세영이 1억원을 받았고, 혼합복식 은메달리스트 김원호(삼성생명)‧정나은(화순군청)은 각 5000만원을 상금으로 받았다.파리올림픽 메달리스트 중 정나은만 현장을 찾았다. 김원호는 군사훈련 일정으로 참석하지 못했고, 안세영은 개인 일정으로 불참했다. 두 사람을 대신해 길영아 삼성생명 감독이 대리 수상했다. 협회는 안세영의 올림픽 활약을 편집한 영상으로 대신했다.지난달 30일 오후 경남 밀양시 아리나 호텔에서 열린 2024 파리올림픽 배드민턴 선수단 포상식에서 김택규 대한배드민턴협회 회장이 안세영 선수 대리 길영아 삼성생명 감독에게 기념패와 포상금을 전달하고 있다. /뉴시스안세영은 같은 시각 경기도 용인에서 열린 여자 프로농구 삼성생명과BNK의 정규시즌 경기를 관람했다. 중계 화면을 통해 관중석에 있는 그의 모습이 잡혔다.안세영은 앞서 올림픽 경기가 끝난 직후 협회의 선수 부상 관리‧훈련 방식‧의사결정 체계 등을 지적했다. 양측의 껄끄러운 관계가 봉합되려면 시간이 필요할 것으로 보인다. 지난달 덴마크 오픈에서 안세영이 불편해하는 기류가 감지된 김학균 감독은 포상식이 끝나고 취재진과 만나 “시간이 필요하다”고 말했다. 김 감독은 “우리도 (선수에게) 접근할 것이고, 또 안세영 선수도 (다가오기를) 기다리고 있을 것”이라며 “다음 달부터 대표 선수 선발전이 있다. 대화가 충분히 이뤄질 수 있고, 또 그렇게 해야 할 시기라고 본다”고 했다.한편 김택규 협회장은 지난달 28일 휴대전화 압수수색 등 경찰의 강제 수사를 받았다. 경찰은 배드민턴협회가 보조금법을 위반해 셔틀콕 등 후원 물품을 부당하게 배부했다는 문화체육관광부 사무 검사 결과 등을 바탕으로 김 회장에 대한 수사를 진행하고 있다."
2023-09-27,"생명 존중·안내견 사업… 삼성 금융사, 20년간 1200억 지원","‘상생금융 방안’ 발표삼성 계열 금융사들이 20년간 청소년 자살 예방, 지역 활성화 등을 위해 1200억원을 지원하고, 금융 취약 계층 보호를 위해 상생금융 상품도 내놨다. 삼성 금융사의 공동 브랜드인 삼성금융네트웍스는 26일 이 같은 ‘상생금융 방안’을 발표했다.먼저 삼성금융네트웍스는 늘어나는 청소년 자살 문제를 해결하기 위해 청소년 생명존중사업에 20년간 300억원을 지원한다. 이는 교육부의 ‘학생 정신건강 증진과 위기 학생 지원 방안’의 일환으로 중고생의 마음 건강을 강화하고 학교 내 생명존중 문화를 확산시키는 사업이다.삼성생명은 지역 사회 문제 해결을 위해 ‘지역청년 지원사업’에 20년간 300억원을 투입한다. 삼성생명·행정안전부·사회연대은행의 민간 협력 사업으로 지역 문제 해결을 위해 노력하는 청년 활동가를 지원한다. 삼성화재는 올해 30주년을 맞은 ‘안내견 사업’에 20년간 600억원을 투입한다. 안내견 양성 사업을 지속하고 사회적 인식 개선을 위한 노력도 기울일 예정이다.금융 취약 계층 보호를 위한 상생 금융 상품도 출시했다. 삼성생명은 빚의 대물림 방지와 사회적 안전망 강화를 위한 신용생명보험 상품인 ‘인생금융 대출안심보험’을 출시했다. 사망·장애 시 대출금이 가족에게 상속되지 않도록 보호한다. 내 집 마련 디딤돌 대출 이용자와 다자녀 가정은 가입 시 보험료가 20% 할인된다. 삼성화재는 올해 초 내놓은 ‘사이버사고 보상보험’에 디지털 취약계층 할인을 신설했다. 이는 피싱, 해킹 등 사이버 금융 범죄 피해와 인터넷 직거래와 인터넷 쇼핑몰 사기 피해를 보상하는 상품이다. 만 60세 이상 디지털 취약계층 계약자는 보험료를 30% 할인받을 수 있다."
