date,title,content
2024-12-31,삼성전자 레인보우로보틱스 최대 주주로,"대표 이사 직속 ‘미래로봇추진단’도 신설지난달 20일 대전 유성구 레인보우로보틱스 연구실에서 이동형 양팔 로봇(RB-Y1)이 컵 쌓기를 하고 있다. 삼성전자는 31일 레인보우로보틱스 지분을 추가로 확보해 최대 주주에 올랐다고 밝혔다. /신현종 기자삼성전자가 로봇 개발 기업 레인보우로보틱스의 최대 주주가 됐다. 대표이사 직속으로 미래로봇추진단도 신설해 휴머노이드 등 미래 로봇 개발에 속도를 내기로 했다.31일 삼성전자는 레인보우로보틱스에 대해 보유하고 있던 콜옵션(주식 매입 권리)을 행사해 지분 35%로 최대 주주에 올랐다고 밝혔다. 레인보우로보틱스는 삼성전자의 연결재무제표상 자회사로 편입된다. 레인보우로보틱스는 오준호 카이스트 교수가 2011년 창업한 협동로봇·보행로봇 개발 회사로 국내 최초 이족 보행 로봇 ‘휴보’를 개발한 것으로 유명하다.앞서 삼성전자는 지난해 1월 레인보우로보틱스의 지분 10.22%를 590억원에 매입했다. 같은해 3월 278억원을 들여 지분을 추가 매입하면서 콜옵션 계약을 맺어 인수 가능성이 제기됐다. 약 1년 9개월 만에 콜옵션을 행사하면서 지분이 기존 14.7%에서 35%로 늘어나면서 2대 주주에서 최대 주주가 됐다.삼성전자는 대표이사 직속의 미래로봇추진단도 신설했다. 미래로봇추진단은 휴머노이드를 포함해 미래 로봇 기술 개발에 집중하는 조직으로 앞으로 미래 로봇의 원천 기술 경쟁력을 확보해 로봇을 핵심 성장 동력으로 만든다는 계획이다. 레인보우로보틱스의 창업자인 오준호 명예교수가 레인보우로보틱스에서 퇴임하고 삼성전자 미래로봇추진단장을 맡는다.삼성전자는 레인보우로보틱스 자회사 편입에 따라 두 회사가 서로 시너지를 낼 수 있다고 본다. 구체적으로 삼성전자는 레인보우로보틱스의 협동로봇, 양팔로봇, 자율이동로봇 등을 제조, 물류 등 업무 자동화에 활용한다는 계획이다. 레인보우로보틱스는 삼성전자의 글로벌 영업 인프라를 활용해 해외 시장에도 적극 진출할 수 있을 것으로 기대된다.삼성전자 관계자는 “삼성전자가 레인보우로보틱스의 최대 주주가 됨에 따라 미래로봇 개발에 시너지 효과를 기대하고 있다“고 말했다."
2024-12-31,"커지는 불확실성… “삼성전자, 내년이 더 추울 수도”","中 물량 공세·트럼프 관세·반도체 특별법 표류 등 3중고삼성전자는 올해 반도체 수장을 교체하며 절치부심(切齒腐心)의 시간을 보냈지만, 새해 뚜렷한 사업 목표를 제시하지 못하고 있다. 특히 내년에는 중국 업체들의 범용 반도체 물량 공세, 트럼프 2기 행정부의 관세 부담, 표류 중인 반도체 특별법 등 국내외 환경이 더 호락호락하지 않을 것이라는 전망이 나온다. 증권사들은 삼성전자 실적 전망치를 잇따라 낮추고 있다. 30일 금융 정보 업체 에프앤가이드에 따르면, 국내 증권사가 예상한 내년 삼성전자 영업 이익 전망 평균치는 40조4845억원이다. 4개월 전인 8월 전망치(63조5962억원)와 비교하면 36.3% 줄어든 것으로 나타났다. 부정적 전망을 극복하기 위해선 내부적으로 고대역폭 메모리(HBM) 등 인공지능(AI) 반도체에서 성과를 내야 할 뿐만 아니라, 삼성전자가 국내 경제에 미치는 영향력을 감안할 때 연구개발(R&D) 인력에 대한 주52시간 예외 적용 등 반도체 특별법을 포함한 제도적 지원이 필요하다는 목소리가 커지고 있다.그래픽=양인성◇트럼프 당선 뒤 전망치 20% 낮아져삼성전자 실적의 가장 큰 직접적 변수는 중국 업체들의 범용 반도체 물량 공세다. D램 제조 업체 창신메모리(CXMT) 등 중국 업체들이 삼성전자 제품의 절반 가격으로 시장에 내놓고 있다. D램 가격은 올해 여름 이후 하락하기 시작, 11월에도PC용 D램 범용 제품의 평균 가격은 전달보다 20.6% 하락한 1.35달러에 그쳤다. 신년에 중국 반도체의 공세는 더 거세질 전망이다. 시장조사 업체 트렌드포스는 중국의 물량 확대로 내년 D램 생산량은 올해보다 25% 증가할 것으로 보고 있다. 이승우 유진투자증권 리서치 센터장은 “내년 D램 시장과 낸드 시장 모두 녹록지 않을 것”이라며 “내년 삼성전자 영업 이익은 33조원으로 올해 영업 이익보다 줄어들 것으로 보인다”고 분석했다. 증권사들의 삼성전자 영업 이익 전망치는 올해 35조원에서 내년 40조원으로 증가할 것으로 집계됐지만, 유진투자증권 등 일부 증권사는 감소할 것으로 봤다.AI붐으로 인한 반도체 시장의 상승세에 올라타기 어렵다는 것이다.그래픽=양인성미국에 유리하도록 관세정책을 펼치겠다는 트럼프 2기 행정부가 내년 1월 출범한다는 점도 부담이다. 높은 관세로 인한 가격 상승으로 삼성전자 반도체가 들어가는 스마트폰과PC판매가 부진할 수 있다. 트럼프 당선 이후 두 달간 삼성전자 영업 이익 전망치는 20%가량 낮아졌다. 증권 업계 관계자는 “내년 삼성전자 실적은 변수가 많아 어느 때보다 난도가 높다”며 “그만큼 삼성전자 반도체를 둘러싼 불확실성이 크다는 의미”라고 했다. 실제 증권가에서 삼성전자 영업 이익 전망치는 현재 최대 55조원, 최소 24조원으로 증권사 간 격차가 30조원 이상이다.◇기강은 잡고 있지만, 제도적 뒷받침 필요범용 반도체와 달리AI반도체 시장은 내년에도 성장세가 이어질 가능성이 크다. 하지만 이 분야에선 삼성전자가 아직 경쟁사를 넘어설 만한 기술력을 보여주지 못하고 있다. 올해 안에 가능할 것이라던 엔비디아HBM3E 공급은 내년으로 미뤄졌다.삼성전자는 기술 리더십 회복을 위해 내부 기강 다잡기에 나섰다. 지난 5월 원 포인트 인사로DS(반도체 사업부) 부문장에 전영현 부회장이 부임한 후, 느슨해진 조직 문화를 바꾸는 작업에 착수했으나 별다른 성과를 보지 못했다고 한다. 업계 관계자는 “전 부회장의 지시로 그동안 해이해진 분위기를 일신하기 위한 비공식 조직을 만든 것으로 안다”며 “경영진의 요구가 일선 직원들에게 전달되지 않는 원인을 파악하고 해법을 찾는 중”이라고 말했다. 전 부회장은 지난달에는DS소속 임원들과 다섯 차례에 걸쳐 끝장 토론을 진행했다. 토론회에 참석한 한 임원은 “우리의 문제를 적나라하게 드러내고 임원들에 대한 강한 질타가 이어졌다”며 “이후 조직 전체적으로 기술적 문제를 깊게 파고들어 해결하자는 분위기가 확산되고 있다”고 전했다.반도체 연구개발(R&D) 인력을 52시간제 적용 대상에서 제외하는 내용을 담은 반도체 특별법 표류가 삼성의 기술력 회복에 걸림돌이 된다는 지적이 나온다. 야당은 이 법이 통과될 경우 주52시간제의 골격이 흔들린다며 반대하고 있다. 하지만 실제 ‘주52시간제 적용 예외 대상’은 삼성전자 반도체 부문 전체 직원 7만5000명 중 약 9% 수준인 7000명에 그친다. 이 때문에 삼성전자 고위 임원들이 야당 의원을 찾아 반도체 특별법 국회 통과를 설득하고, 김용관 삼성전자 사장은 26일 직접 “반도체 산업 발전과 국가 경제 기여를 위해 지속적인 관심과 지원이 필요하다”고 호소했다. 업계 관계자는 “AI반도체 등 최첨단 반도체일수록 고객사 요구에 따라 R&D 인력이 붙어 치열하게 개발하고 일해야 한다”며 “여러 사람을 투입한다고 해결될 문제가 아니다”라고 했다."
2024-12-20,"﻿삼성전자, 메모리 사업부에 ‘역대 최대’ 성과급 쏜다","지난 10월 서울 삼성전자 서초사옥 모습. /뉴스1삼성전자가 반도체를 담당하는 디바이스솔루션(DS)부문의 메모리사업부에 역대 최대 성과급을 지급한다.삼성전자는 20일 오전 사내망을 통해 올해 하반기 목표달성 장려금(TAI) 지급률을 공지했다.TAI는 삼성전자가 운영하는 성과급 제도 중 하나로, 매년 상‧하반기 한 차례씩 실적을 토대로 최대 월 기본급의 100%까지 차등 지급한다.메모리사업부에는 상한선을 뛰어넘는 200%의TAI지급률이 책정됐다. 지난해와 비교해 큰 폭의 실적개선 성과를 이뤄낸 결과다.DS부문 역대 최고 지급률이다.이 밖에도 삼성 반도체 50주년을 맞아DS부문 전 사업부에 200만원의 격려금도 지급하기로 했다.DS부문은 그간 반도체 업황 악화 등의 영향으로 비교적 낮은 성과급을 받아야 했다. 2022년 하반기부터 시작된 실적 둔화로 그해 하반기에는 50%만을 받았다.특히 작년 하반기에는 적자 누적으로 메모리사업부는 12.5%를, 파운드리‧시스템LSI는TAI를 아예 받지 못했다.TAI제도 시행 후 8년 만에 역대 최저치였다.증권가에서는 작년 메모리 부분에서 10조원의 적자가 났지만, 올해는 20조원 내외의 흑자를 낼 것으로 보고 있다.메모리사업부와 달리 여전히 고전 중인 시스템LSI와 파운드리 사업부는 올해 하반기 성과급으로 25%의 지급률이 결정됐다. 반도체연구소,AI센터 등은 37.5%를 받는다.디바이스경험(DX) 부문의 경우 영상디스플레이(VD) 사업부와 모바일경험(MX) 사업부는 기본급의 75%를 받는 것으로 공지됐다.TV신제품과 갤럭시Z 시리즈의 판매 호조 덕으로 보인다.생활가전(DA), 중국사업혁신팀 등은 37.5%를, 네트워크사업부는 25%를 각각 받게 된다."
2024-12-28,"삼성전자 반도체 성과급, 연봉의 0% →12~16%로","삼성전자 반도체 사업을 담당하는DS부문이 연봉의 12~16%를 성과급을 받는다.DS부문은 계속해서 최대 한도인 연봉의 50%를 성과급으로 받아오다, 지난해에는 반도체 사업에서 적자를 기록해 한 푼도 받지 못했다.27일 삼성전자DS부문은 올해 ‘초과이익성과급(OPI·옛PS)’으로 연봉의 12~16%를 지급한다고 밝혔다. 매년 1월 지급되는OPI는 연간 경영 실적을 기준으로 초과이익 20% 한도에서 연봉의 최대 50%까지 지급한다. 앞서DS직원들은 반기 실적별로 지급하는 목표달성장려금(TAI)도 전년 대비 크게 뛴 월 기본급의 25~200%에 ‘반도체사업 50주년 격려금‘ 200만원을 별도로 받았다.삼성전자가 올해 반도체 부문 성과급을 대폭 늘린 이유는 전년 대비 큰 폭의 흑자를 낸 것으로 추정되기 때문이다. 작년엔 반도체에서 14조8800억원의 적자를 냈으나, 올해는 3분기까지 12조원이 넘는 흑자를 기록했다. 경쟁사로의 이직을 막기 위한 목적도 있다는 분석이다.반도체 부문 외에 다른 사업부는 줄었다.MX사업부(스마트폰)는 40~44%,VD사업부(TV)는 22~27%,DA사업부(생활가전)는 7~9%로 결정됐다. 지난해와 비교하면 많게는 17%포인트가량 감소했다."
2024-12-17,"삼성전자, 오늘부터 사흘간 ‘글로벌 전략회의’","서울 서초구 삼성전자 서초사옥에서 깃발이 휘날리고 있다.  /뉴시스삼성전자가 17일 본사 경영진과 해외 법인장 등 약 300명에 달하는 주요 임원이 참석한 ‘하반기 글로벌 전략협의회’를 연다. 최근 인사와 조직개편을 마무리한 삼성전자의 글로벌 주요 임원들이 머리를 맞대고 상반기 사업 전략 논의에 나선 것이다. 스마트폰·TV·가전 등 완제품을 담당하는DX부문은 17일부터 18일까지, 반도체를 총괄하는DS부문은 오는 19일 각각 회의를 갖는다.매년 상·하반기 한차례씩 전략 회의를 갖는 삼성전자에게 있어 올해 전략회의는 다소 침체된 분위기 속에서 이뤄질 전망이다. 삼성전자는 올해 특히IT시장 침체와 제품 판매 부진, 글로벌 경영 불확실성이라는 복합 악재 속에 힘든 한 해를 보냈다. 특히 반도체는 인공지능(AI) 칩 시장에 실기(失期)해 위기를 겪고 있다. 주가는 지난달 4만원대까지 추락하며 ‘4만전자’라는 오명도 얻었다.이번 회의에서 특히DX(세트)·DS(반도체)부문 모두 글로벌 경영 불확실성이 심화하는 가운데 제품별 판매 확대 전략과 고환율 등에 따른 리스크 관리 전략 등이 논의될 전망이다. 스마트폰과 가전 등이 포함된DX부문에선 고가(高價)의 프리미엄 제품 판매 확대, 온라인 및 B2B(기업 간 거래) 제품 판매 강화 등이 논의될 전망이다.DX부문은 올해 인사에서 유임된 한종희DX부문장(부회장)이 회의를 주관한다.이번 인사에서 메모리사업부장과 파운드리사업부장이 전격 교체된 반도체 부문의 경우 특히 고대역폭메모리(HBM) 등 반도체 사업의 전반적인 부진에 대해 집중 논의할 것으로 알려졌다. 전영현DS부문장(부회장)이 주관하는 회의에서 삼성전자 반도체의 근원적 경쟁력을 확보할 방안을 모색하고 판매 전략을 대폭 점검할 방침이다. 내년 미국 도널드 트럼프 2기 행정부 집권을 앞두고 미중 갈등 심화 등 반도체 산업을 둘러싼 대외 변수가 큰 만큼 관련 리스크를 최소화하기 위한 대책을 마련하는 데에도 심도 있는 논의를 할 전망이다.앞서 지난달 1일 삼성전자 창립 55주년 기념사에서 임원진들은 모두 고개를 숙이고 미래를 위한 도약을 다짐했다. 한 부회장과 전 부회장은 공동 명의 창립기념사에서 “임원진 모두가 사활을 걸고 본질인 기술 리더십을 더욱 강화해 한치의 부족함 없는 품질 경쟁력을 확보해야 한다”며 “변화 없이는 아무런 혁신도, 성장도 만들 수 없다. 고객에게 더 나은 경험과 편리한 삶을 제공할 수 있도록 세상에 없는 기술, 세상을 바꿀 수 있는 기술을 선제적으로 확보해 미래 차별화 경쟁력의 원천으로 만들어 나가자”고 했다."
2024-12-18,삼성·LG전자 임원 600명 총집합… ‘가시밭길’ 새해 로드맵 짠다,"양사 이번주 글로벌 사업전략 회의삼성전자와LG전자가 이번 주 주요 경영진들이 모여 내년 사업 계획 수립을 위한 전략 회의를 연다. 삼성전자는 17일부터 사흘간 국내외 임원 약 300명이 참여한 가운데 사업 부문별 하반기 글로벌 전략 회의에 돌입했다.LG전자도 20일 임원 300여 명이 모여 확대 경영 회의를 개최한다. 재계 관계자는 “트럼프 2기 행정부가 들어서고 관세와 환율, 글로벌 수요 침체 등 어느 때보다 불확실성이 큰 상황”이라며 “이에 대비하기 위한 글로벌 공급망 재편과 대미 투자 등을 집중적으로 논의할 것”이라고 했다. 삼성전자는HBM(고대역폭 메모리) 기술 개발, 파운드리 고객 확보 등 반도체 전략과 온디바이스 인공지능(AI) 전략을 집중 점검한다.LG전자는 신사업과 글로벌 사업 전략 위주로 논의가 이뤄질 예정이다.그래픽=백형선내년 반등을 위한 방안 논의삼성전자는 17~18일 스마트폰·TV·생활가전을 담당하는DX부문 회의와 19일 반도체를 담당하는DS부문 회의가 예정돼 있다. 한종희DX부문장(부회장)과 전영현DS부문장(부회장)이 각각 해당 회의를 주관하며 국내외 임원 약 300명이 온·오프라인으로 참석한다. 업계 관계자는 “트럼프 당선인 취임 이후 내놓는 관세 정책에 따라 해외 생산 기지를 조정하거나 글로벌 공급망에 변화를 주는 방안도 회의에서 나올 것”이라고 했다.삼성전자는 지난달 1일 창립 55주년을 맞아 한종희·전영현 부회장 공동 명의 기념사에서 “임원진 모두가 사활을 걸고 본질인 기술 리더십을 더욱 강화해 한치의 부족함 없는 품질 경쟁력을 확보해야 한다”고 한 만큼, 이를 실천할 세부 내용을 집중적으로 논의한다. 반도체 부문은 11월에 이뤄진 인사에서 메모리사업부장과 파운드리사업부장이 전격 교체된 이후 처음 열린 글로벌 전략회의이다. 메모리 사업을 직접 맡은 전영현 부회장이 고대역폭메모리(HBM) 등AI반도체 개발 중장기 계획을 직접 챙길 예정이다. 파운드리 부문에선AI반도체 관련 국내외 주요 팹리스(설계 전문업체)를 고객으로 확보하는 방안을 점검한다. 업계 관계자는 “지난 5월 전 부회장이DS부문장을 맡은 후 준비해 온 삼성 반도체 위기 극복 방안을 공유하는 자리가 될 것”이라고 했다.지난해까지 적자를 기록한 삼성전자 가전 부문은 이번 회의에서 내년 흑자 전환을 목표로 내놓는다. 모바일 부문은 올해 폴더블 시장에서의 실적이 기대보다 낮아, 내년 초 출시될 플래그십 제품인 갤럭시S25 에 관한 전략을 집중적으로 논의할 예정이다. 올해 스마트폰으로는 처음으로AI를 탑재한 만큼, 내년에는 온디바이스(내장형)AI기술을 심화시키는 내용도 포함된다.TV부문은 세계 점유율 1위를 고수하고 있지만, 중국의 발 빠른 추격에 대비하는 전략을 내놓는다. 이 밖에 다음 달 미국 라스베이거스에서 열리는 세계 최대IT전시회 ‘CES2024′에 대한 최종 점검도 이뤄질 전망이다.트럼프 행정부 2기 대비하라LG전자는 20일 조주완 최고경영자(CEO) 주관으로 임원 약 300명이 모여 확대 경영 회의를 연다. 확대 경영 회의는 매년 상·하반기 국내외 경영 현황과 전략을 점검하는 자리다.이번 회의에서는 글로벌 사업 전략과 신사업에 대한 논의가 핵심 안건이다. 업계 관계자는 “내년은 예년과 달리 국내외 상황이 모두 급변하는 시기이기 때문에 여기에 대비한 다양한 가능성을 논의할 것”이라며 “지경학적 이슈, 경쟁 심화 등을 돌파하고 기회로 활용하기 위한 경영 전략과 추진 방안 등에 대해 논의할 것”이라고 했다. 또 구독 사업의 해외 확대, 기업 간 거래(B2B) 사업 강화 등을 통한 수익성 확보도 안건으로 다룰 예정이다.LG전자는 확대 경영 회의를 앞두고 17일 주주가치 제고를 위해 자사주를 내년 중 소각하기로 했다고 밝혔다. 소각 물량은 약 76만1000주로LG전자 전체 발행주식수의 0.5% 수준이다. 또 지난 6일 인도법인IPO를 위한 상장예비심사서류를 인도 증권거래위원회에 제출했다. 예비심사가 통과되면 내년에 본격적으로 인도 상장에 나서게 된다.두 회사뿐 아니라 재계는 최근 국내 상황과 트럼프 2기 출범으로 더욱 불확실해진 상황에 대비하기 위한 전략 마련에 고심하고 있다. 현대차그룹은 지난 12일 글로벌 권역본부장회의를 열었다. 장재훈 현대차 사장, 송호성 기아 사장 주재로 북미와 유럽, 중남미, 중국 등 주요 권역 본부장들이 모두 모여 지역별 판매 실적을 점검하고 향후 대응 방안 등을 논의했다. 최근 유동성 위기론에 시달린 롯데그룹은 연초 롯데지주 대표와 실장, 사업군 총괄 대표, 계열사 대표 등이 총출동하는 밸류크리에이션미팅(VCM·옛 사장단 회의)을 열고 위기 대응책, 사업 전략 등을 점검한다."
2024-12-21,"삼성전자 메모리사업부, 月기본급 200% 성과급","반도체 사업 50주년 200만원 격려금삼성전자 메모리사업부가 월 기본급의 200%를 성과급으로 받는다. 이는 예년보다 높은 비율이다. 이와 별도로 반도체 사업을 담당하는 디바이스설루션(DS) 부문은 올해 ‘삼성 반도체 50주년’을 맞아 200만원의 위기극복 격려금을 받는다.20일 삼성전자DS부문은 올해 하반기 ‘목표 달성 장려금(TAI)’으로 월 기본급의 25~200%를 지급한다고 밝혔다. 메모리사업부는 200%, 파운드리사업부와 시스템LSI사업부는 각 25%로 책정됐다. 상·하반기 지급되는TAI는 연초 세운 목표(매출과 영업이익 등) 달성 여부를 토대로 최대 월 기본급의 100%까지 차등 지급한다.삼성전자가 반도체 성과급을 대폭 늘린 이유는 사기 진작을 위해서라는 분석이 나온다. 업계 관계자는 “삼성전자 반도체 사업부의 올해 매출과 영업이익이 시장 기대에 못 미쳤지만, 성과급마저 경쟁사 대비 너무 낮게 나오면 인재 유출의 요인이 될 수 있다고 판단한 것으로 보인다”고 했다.이보다 규모가 더 큰 ‘초과이익성과급(OPI)’은 이달 말 사업부별로 공지될 예정이다.OPI는 사업부 실적이 연초 세운 목표를 넘겼을 때 초과 이익의 20% 한도 내에서 개인 연봉의 최대 50%까지 지급한다."
2024-12-20,‘반도체 핵심 인력 중국 이직 알선’ 삼성전자 전 임원 구속 기소,"삼성전자의 중국 시안 반도체 공장 전경./삼성전자 제공국내 반도체 관련 핵심 인력이 중국 반도체 회사로 이직할 수 있도록 알선해주는 대가로 3억원을 받은 전 삼성전자 임원이 구속 기소됐다.서울중앙지검 정보기술범죄수사부(부장 안동건)는 20일 무등록 국외직업소개업체 대표 최모씨를 직업안정법 위반과 범죄수익은닉규제법 위반 혐의로 구속 기소했다고 밝혔다.앞서 검찰은 삼성전자 임원과 하이닉스반도체(현SK하이닉스) 부사장을 지낸 최모 중국 청두가오전(CHJS) 대표를 산업기술보호법과 부정경쟁방지법 위반 등의 혐의로 지난 9월 구속 기소했다. 최 대표는 중국에 반도체 회사 ‘진세미’를 설립한 뒤, 청두시에서 약 4600억원을 투자받아 2020년 9월 합작회사CHJS를 설립했다. 그는 삼성전자의 독자 기술인 20나노급(18나노·20나노) D램 반도체 생산에 필요한 온도, 압력 등 700여 단계 공정 핵심 정보를 중국으로 빼돌려 무단으로 사용한 혐의를 받고 있다.최씨는 진세미의 한국사무소 소속 고문으로 근무하면서 최 대표의 요청을 받아 삼성전자 출신 기술인력이 진세미 중국 본사로 이직하도록 알선하고, 그 대가로 이직자 연봉의 20%를 지급받은 것으로 조사됐다.검찰은 이번달 초 최씨 사건을 경찰에서 송치받아 최씨와 최 대표가 공모해 위장업체를 통해 알선 소개료를 받고 허위 전자세금계산서를 발급받은 사실을 확인했다고 설명했다. 이에 두 사람에게 범죄수익은닉규제법 위반 혐의를 적용하고, 국세청에 고발 의뢰도 했다.최씨는 국내 반도체 핵심 기술인력이 해외로 대거 이직하는 게 문제될까봐 직업 소개 업체 등록을 하지 않은 것으로 조사됐다.이번 사건은 기술유출 목적의 인력 유출 행위에 대해 사전구속영장이 발부된 최초 사례이다. 기술유출 소개·알선·유인 행위를 모두 처벌할 수 있는 산업기술보호법 개정안은 국회에 계류 중이다."
2024-12-13,"구글, 삼성전자 손 잡고 '무한 도전'...'안드로이드XR' 공개","삼성, 내년 ‘프로젝트 무한’ 출시메타·애플과 정면 승부 나선다구글 안드로이드XR./구글구글이 메타·애플이 키운 확장현실(XR) 경쟁에 본격 참전한다. 12일 구글은 삼성전자와 퀄컴과의 파트너십을 통해 개발한XR운영체제(OS) ‘안드로이드XR’을 공개했다. 이OS는 삼성전자가 내년에 선보이는XR기기 ‘프로젝트 무한’에 처음으로 탑재되게 된다.샤흐람 이자디 구글XR부문 부사장은 이날 “10여년 전 구글은 ‘모두를 위한 컴퓨팅 환경의 변화’라는 아이디어에서 안드로이드를 출시했고, 이제는 미래를 향한 다음 단계로 나아간다”며 “안드로이드XR을 통해 차세대 컴퓨팅과 혁신적인 헤드셋·안경의 경험을 제공할 것”이라고 밝혔다.구글은 2013년부터 빅테크 중 가장 먼저AR안경인 ‘구글 글래스’ 개발에 나섰지만, 당시 기술로 구현할 수 있는 서비스가 전화받기·메시지 확인 등에 제한돼 곧 판매가 중단됐었다. 이후 구글이 메타가 ‘퀘스트’ 시리즈를 선보이고, 애플이 올해 ‘비전 프로’를 내놓는 동한 스마트 기기 분야에서는 큰 움직임이 없었다. 테크 업계에선 “구글이 자신이 가장 잘하는 소프트웨어 분야에서 다시XR시장에 뛰어들었다”는 평가가 나온다.구글은 안드로이드XR을 통해 다양한 기기제조사와 협력한다는 계획이다. 모바일OS인 안드로이드를 기반으로 삼성전자를 포함한 다양한 스마트폰 제조사에OS를 판매하고, 앱 개발자를 지원한 것과 같은 비즈니스 모델이다. 이날 구글은 안드로이드XR에서 개발자가 새로운 안드로이드XR기기용 게임과 앱을 쉽게 개발할 수 있도록 지원하겠다고 밝혔다.안드로이드XR은 내년 1월 미국 새너제이에서 열리는 갤럭시 S25 언팩에서 함께 공개될 것으로 예상되는AR안경 ‘프로젝트 무한’에 가장 먼저 탑재될 예정이다. 구글은 이날 “헤드셋을 통해 이용자는AI비서인 제미나이와 대화하고, 가상세계와 현실세계를 자유롭게 넘나들 수 있다”고 했다.구글 안드로이드XR이 탑재된 스마트 안경에서 한국어 메뉴가 자동으로 영어로 번역된 모습./구글구글이 올 1월 삼성전자의 갤럭시 S24에 가장 먼저 탑재했던 ‘서클 투 서치’ 기능도AR안경에 그대로 탑재될 예정이며, 구글의 인기 앱들인 유튜브·구글 포토·구글 지도 등도 삼성의 기기에 최적화돼 제공될 예정이다. 이날 구글이 공개한 시연 영상에선 안경 하단에 구글 지도가 작게 표시되며 목적지까지 가는 방향을 제시해줬고, 한글로 ‘김밥’ ‘만두’ 등이 쓰여져 있는 메뉴판을 안경이 자동으로 영어로 번역해 보여주기도 했다.구글 안드로이드XR가 탑재된 스마트 안경에서 구글 지도가 방향을 알려주는 모습./구글구글 플레이에서 사용할 수 있었던 모바일 앱 역시 대부분 사용할 수 있을 것으로 보인다. 이자디 부사장은 “휴대폰을 꺼내지 않고도 길 찾기, 번역하기, 메시지 요약 등 서비스를 사용할 수 있고, 모든 정보가 눈 앞에 펼쳐지거나 귀에 직접 들리게 된다”고 했다.삼성전자도 구글과 함께 ‘스마트 안경’ 시장에 재진출한다. 삼성전자는 지난 2015년VR기기 ‘기어VR’을 출시했었지만, 큰 성적을 내지 못하고 관련 신제품을 수년째 내놓지 않았다. 업계에 따르면 삼성전자는 프로젝트 무한 제품을 내년 3분기와 4분기에 각각 2만~3만대 이상 공급할 예정이다. 스마트폰 시장의 최대 라이벌인 애플과 스마트안경 분야에서도 정면 승부를 벌이게 될 전망이다."
2024-12-12,"검찰, 中에 반도체 기술유출한 前 삼성전자 부장에 징역 20년 구형","검찰이 반도체 핵심 기술을 중국 회사에 유출한 혐의를 받는 전직 삼성전자 부장에게 1심에서 징역 20년을 구형했다.서울중앙지법 전경. /조선일보DB12일 서울중앙지법 형사25부(재판장 지귀연) 심리로 열린 김모씨의 산업기술유출방지보호법 위반 등 혐의 결심공판에서 검찰은 김씨에게 징역 20년을 구형했다. 김씨와 함께 기소된 전직 협력업체 직원 방모씨에게는 징역 10년을 구형했다.검찰은 “기술 유출 범죄는 국가와 피해 기업의 기술적 기반을 흔들 수 있는 중대 범죄”라며 “제2, 제3의 범죄가 발생하지 않도록 엄정한 법 집행을 통해 경종을 울려야 한다”며 구형 이유를 설명했다. 김씨는 국가 핵심기술인 삼성전자의 18나노 D램 반도체 공정 정보를 무단 유출해 중국 기업CXMT가 제품 개발에 사용하게 한 혐의로 지난 1월 기소됐다. 방씨는 김씨와 공모해 반도체 장비를 납품하는 A사의 설계기술자료를CXMT에 넘긴 혐의를 받는다.김씨는 최종진술에서 “중국CXMT(창신메모리테크놀로지)의 모든 자료는CXMT의 경영층과 박사급들이 만들어내는 자료로, 제가 만들 수 있는 자료는 일부에 불과하다”며 “저는 개발자가 아니다.CXMT가 공장을 건설할 때 지원인력이었을 뿐이다”라고 했다. 그러면서 “저는 단위공장 엔지니어일 뿐”이라며 “물의가 발생한 데 대해 진심으로 사죄한다”고 말했다.선고는 내년 1월 22일 이뤄질 예정이다."
