date,title,content
2024-09-04,"법원 “배당 사고 낸 삼성증권, 국민연금에 18억 배상하라”","삼성증권이 2018년 일어난 ‘배당 사고’로 인한 주가 하락으로 손실을 본 국민연금공단(연금공단)에 손해액 절반을 지급하라는 법원 판결이 나왔다.삼성증권의 한 영업점에서 직원들이 업무를 보고 있다. 사진은 기사와 관련 없음. /뉴스14일 법조계에 따르면 서울중앙지법 민사41부(재판장 정회일)는 연금공단이 삼성증권을 상대로 낸 손해배상 소송에서 “삼성증권은 연금공단에 18억6600만원을 지급하라”며 원고 일부 승소로 판결했다.이 사건은 지난 2018년 4월 삼성증권이 우리사주 주주(삼성증권 주식을 가진 자사 직원)들에게 배당을 잘못하는 오류를 저지르는 바람에 시작됐다.당시 삼성증권에선 우리사주 주주인 자사 직원 2000여 명에게 1주당 배당금 ‘1000원’을 줘야 하는데, 담당 직원의 실수로 1주당 ‘1000주’를 입력하는 배당 사고가 일어났다. 직원 2000여명에게 28억1200만원의 현금 배당이 이뤄지는 대신 28억1200만주가 지급된 것이다.삼성증권은 곧바로 직원들에게 ‘입력 실수이니 해당 주식을 팔지 마라’고 공지했지만 직원 20여명은 약 30분 동안 주식 501만주를 매도했다. 주식 시장에 삼성증권 매물이 넘치면서 이날 삼성증권 주가는 장중 최대 11.7％ 폭락했다.이후 주식 투자자 등이 “삼성증권 잘못으로 주가가 폭락해 손해를 봤다”는 취지로 삼성증권을 상대로 손배소를 제기했다. 연금공단도 지난 2019년 6월 “299억여원 및 이에 대한 지연손해금을 지급하라”며 소송을 냈다.재판부는 “삼성증권은 임직원이 우리사주조합원에 대한 배당금 지급업무 등을 효율적으로 처리함으로써 배당의 과·오지급 등의 위험을 방지할 수 있도록 내부적 처리기준이나 방침을 마련할 필요가 있음에도 마련하지 않았다”며 삼성증권 측 책임을 인정했다.그러면서도 “이 사건 사고는 피고 배당직원들의 의도하지 않은 오류나 피고 매도직원들의 개인적인 부정이 게재돼 발생한 것으로 연금공단의 손해를 모두 삼성증권에 책임지게 하는 것은 가혹한 측면이 있다”며 삼성증권의 책임을 50%로 뒀다."
2024-05-27,"삼성증권, 오전 한때 시스템 오류...잔고 조회 등 서비스 지연","삼성증권 서버에서 발생한 시스템 오류로 모바일트레이딩시스템(MTS)과 홈트레이딩시스템(HTS) 내 일부 기능이 27일 오전 한때 지연됐다.삼성증권은 이날 공지를 내고 서버 문제가 일시적으로 발생해 서비스 처리가 지연되고 있다고 밝혔다. 시스템 오류는 이날 오전 10시 44분쯤 발생해 약 20분간 지속됐으며, 오전 11시부터 순차적으로 복구되고 있다.일부 고객들에게는 “삼성증권 서버 문제가 일시적으로 발생하여 서비스 처리가 지연되고 있다”는 메시지가 뜨고 있는 것으로 알려졌다. 삼성증권 관계자는 고객 불편과 관련해선 “개별 내용을 확인한 뒤 적절히 보상할 예정”이라고 말했다."
2023-08-21,"삼성증권, 전경련 복귀하지 않기로…4대 그룹 계열사 중 처음","삼성 서초사옥에서 삼성기가 펄럭이고 있다. /뉴스1삼성증권이 전국경제인연합회(전경련) 후신인 한국경제인연합회(한경협)에 복귀하지 않을 것으로 알려졌다. 4대 그룹 계열사 중 한경협에 합류하지 않기로 결정한 곳은 삼성증권이 처음이다. 한경협 합류를 계열사 자율에 맡긴 만큼, 삼성증권 이외의 다른 삼성 계열사 중에서도 한경협에 합류하지 않는 계열사가 더 나올 수 있다는 전망도 나온다.21일 재계에 따르면 이날 삼성증권은 이 같은 방안을 이사회에 보고했다고 한다. 한경협 합류에 대한 재계 안팎의 시선이 곱지만은 않은데다, 삼성 준법감시위원회(준감위)가 전경련의 혁신 의지에 의문을 제기하며 “관계사가 한경협 가입을 결정하더라도 정경유착 행위가 있으면 즉시 탈퇴할 것 등 필요한 권고를 했다”고 밝힌 만큼 부담을 느꼈기 때문으로 풀이된다. 삼성증권의 미복귀 결정은 그룹과도 사전에 교감이 있었던 것으로 알려졌다.재계에서는 삼성증권이 준감위 협약사가 아니기 때문에 정경유착을 막을 만한 제도적 장치가 부족하다는 판단도 미복귀 결정에 영향을 미쳤을 것으로 보고 있다. 삼성 준감위와 협약을 맺은 곳은 삼성전자, 삼성물산, 삼성생명, 삼성SDI,삼성전기, 삼성SDS,삼성화재 등 7곳이다. 재계 일각에서는 그룹이 일부러 삼성증권을 복귀시키지 않았다는 해석도 나온다. 재계 관계자는 “한경협 합류에 비판적 여론이 상당한 가운데 모든 계열사가 일괄적으로 복귀하는 모양새는 부담스러웠을 것”이라고 말했다.앞서 삼성은 5개 계열사 최고재무책임자(CFO)들이 세 차례 회의를 갖고, 각 계열사 최고경영자(CEO) 보고를 거쳐 전경련 산하 한국경제연구원(한경연)의 해산에 동의했으며, 한경연 회원 자격 자동 승계는 이사회와 준감위 논의를 거쳐 결론 낼 것이라고 밝힌 바 있다. 삼성은 2017년 2월 전경련에서 탈퇴했지만, 삼성전자와 삼성SDI,삼성생명, 삼성화재, 삼성증권 등 5개 계열사는 한경연 회원으로 남아 있었다. 전경련은 22일 임시총회를 열고 전경련의 명칭을 한경협으로 바꾸면서 한경연을 흡수하는 안건을 처리할 예정이다."
2022-05-27,삼성증권 “금리 상승기 사면 좋은 주식은요”,"[방현철 박사의 머니머니] 삼성증권 김용구 “퀄러티 있는 기업에 대한 배당 투자는 양수겸장”27일 오후 5시 조선일보의 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해 공개된 ‘방현철 박사의 머니머니’에선 김용구 삼성증권 수석연구위원과 ‘금리 상승기 배당 투자 전략’에 대해 얘기해 봤습니다. 김용구 수석연구위원은 조선일보와 금융정보업체 에프앤가이드가 선정한 ‘2021 베스트 애널리스트’ 평가에서 스트래터지스트(투자전략) 부문 베스트 애널리스트로 선정됐습니다. 증권가 경력은 17년쯤 되는 베테랑 전략가입니다.김용구 수석연구위원은 “올해 금리 상승기에는 배당 투자가 대안이 될 수 있다”며 두 가지 이유를 들었습니다. 첫째, 배당으로 확인되는 주주 친화 정책이 ‘안전마진’ 역할을 한다는 것입니다. 김 연구위원은 “배당은 금리 상승기에 나타나는 시장 변동성을 이기는 버팀목이 될 수 있다”고 했습니다. 둘째, 금리 상승기라고 하지만 아직은 명목금리에서 인플레를 뺀 실질금리는 마이너스(-) 상태여서 배당이 매력적이라고 했습니다. 김 연구위원은 “이런 상황에선 배당 등 또박또박 수익(yield)이 나오는 투자가 각광을 받을 수 있다”고 했습니다.하지만 김 연구위원은 무조건적인 고배당주 투자보다는 ‘플러스 알파’가 있어야 한다고 했습니다. 김 연구위원은 “고배당 주식이 2~5%의 배당수익률 뿐 아니라, 시세 차익을 줄 수 있는 기업인지까지 따져 봐야 한다”고 했습니다. 시세 차익의 근원은 ‘퀄러티(quality)’에서 나온다고 했습니다. 고배당이면서 퀄러티가 있는 기업에 투자해야 한다는 것입니다. 김 연구위원은 ‘주식의 퀄러티가 높다’는 것은 기업의 재무 안정성, 이익의 가시성, 내부 정책 환경의 건강함 등이 입증됐다는 뜻이라고 했습니다. 김 연구위원은 “고배당과 퀄러티라는 양수겸장(兩手兼將, 양쪽에서 동시에 하나를 노림을 비유적으로 이르는 말)을 얻어야 한다”고 했습니다.김 연구위원은 고배당 기업이면서도 ‘중간배당’을 주는 것은 신호 효과가 있다고 했습니다. 중간배당은 결산이 끝난 후가 아닌 반기 말 등 한해 중간에 배당을 주는 것을 가리킵니다. 김 연구위원은 “중간배당은CEO(최고경영자) 등이 알고 있는 내부 정보를 주는 신호”라면서 “꾸준히 배당을 준다는 것은 자신이 있다는 것인데, 배당을 주는 주기가 촘촘해진다는 것은 회사에 대한 자신감이 더 있다는 것으로 해석될 수 있다”고 했습니다.실제로 삼성증권이 분석한 바에 따르면, 5차례 이상 중간배당한 기업의 2분기~연말 코스피 대비 초과 수익률은 2020년 9.7%, 작년 4.0%를 기록했습니다. 김 연구위원은 “중간배당을 주는 기업들은 대단히 안정적인 초과 성과가 이어진다”며 “중간배당 기업들은 반기 말인 6월 말을 경계로 반짝 상승하고 마는 게 아니라 2분기부터 하반기로 갈수록 주가가 좋아지는 모습을 보였다”고 했습니다.김 연구위원은 영상에서 보통주보다 많은 배당을 주는 우선주의 투자 전략에 대해서도 소개합니다. 관심 있으신 분들은 확인하시기 바랍니다.‘방현철 박사의 머니머니’는 월·수·금요일 오후 5시 시장분석, 자산운용, 재테크 전문가, 증권가 고수들의 목소리를 듣는 시간입니다. 영상은 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해서 공개됩니다."
2022-05-23,삼성증권 “7월 지나면 코스피 3000 볼 것”,"[방현철 박사의 머니머니] 삼성증권 김용구 “6~7월 증시 지뢰밭 지나면, 올 하반기 코스피 3000 볼 수도 있다”23일 오후 5시 조선일보의 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해 공개된 ‘방현철 박사의 머니머니’에선 김용구 삼성증권 수석연구위원과 ‘하반기 시장 전망과 투자 전략’에 대해 얘기해 봤습니다. 김용구 수석연구위원은 조선일보와 금융정보업체 에프앤가이드가 선정한 ‘2021 베스트 애널리스트’ 평가에서 스트래터지스트(투자전략) 부문 베스트 애널리스트로 선정됐습니다. 증권가 경력은 17년쯤 되는 베테랑 전략가입니다.김용구 수석연구위원은 올해 하반기 코스피가 최고 3000 을 볼 수 있을 것으로 내다 봤습니다. 현재 코스피지수는 2600대 초반으로 작년 말 2900대 후반에서 10% 넘게 떨어지면서 증시에 불안감이 강합니다. 하지만 김 수석연구위원은 하반기에 증시 분위기가 반전되는 기회가 올 수 있다고 했습니다. 김 수석연구위원은 “미국 연준의 6월과 7월FOMC(연방공개시장위원회)까지는 다분히 지뢰밭 통과와 같은 증시 분위기가 불가피해 보이지만, 이미 우리 증시는 과거 금융위기 수준의 불확실성이 주가에 미리 반영돼 왔던 측면이 있다는 걸 감안해야 한다”며 “7월에서 9월을 경계로 하는 시점에 터닝 포인트(전환점)가 올 수 있다고 본다”고 했습니다. 김 수석연구위원은 “코스피 바닥 지지선은 2500 선 쯤으로 보고 있으며, 9월FOMC를 기점으로 해서 인플레가 꺾이고 경기 회복 기대감이 되살아나면서 미 연준의 긴축 기조가 경기까지 고려하는 식으로 바뀌면서 증시가 연말까지 회복될 가능성이 있다고 본다”라고 했습니다.다만, 김 수석연구위원은 현재 시장에 퍼져 있는 스태그플레이션 우려도 반영하는 투자 전략을 짤 필요가 있다고 했습니다. 스태그플레이션은 경기 침체와 인플레이션이 동반하는 상황을 가리킵니다. 김 수석연구위원은 “시장의 비판적인 경기 인식은 과장됐을 가능성이 있다고 보지만, 현재 스태그플레이션 리스크를 배제하거나 부인할 수 있는 직접적인 근거도 없다”고 했습니다. 때문에 나타날 가능성은 적을지라도 스태그플레이션 리스크는 감안해야 한다는 것입니다.이에 따라 김 수석연구위원은 “하반기에는 불황에 강한 기업은 뭘까 찾는 게 중요하다고 본다”며 “실적에서 구조적으로 추가적인 성장이 나타날 수 있는지 아니면 배당 등 추가로 안전마진을 줄 수 있는지 여부를 점검해야 한다”고 했습니다. 김 수석연구위원은 하반기에 주목해야 할 업종으로 반도체, 2차전지, 자동차, 정유, 방산, 은행 등을 들었습니다. 영상에서 더 상세한 설명을 덧붙입니다. 관심 있으신 분들은 영상에서 확인하시기 바랍니다.‘방현철 박사의 머니머니’는 월·수·금요일 오후 5시 시장분석, 자산운용, 재테크 전문가, 증권가 고수들의 목소리를 듣는 시간입니다. 영상은 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴을 통해서 공개됩니다."
2022-03-31,"‘유령주식 사태’ 삼성증권 전·현직 직원들, 대법서 유죄 확정","삼성증권 이미지/뉴스1배당 사고로 자신의 계좌에 잘못 입고된 이른바 ‘유령 주식’을 팔아치운 삼성증권 전현직 직원들에게 유죄가 확정됐다.대법원 3부(주심 노정희 대법관)는 31일 자본시장법 위반, 배임 등 혐의로 기소된 전 삼성증권 과장 구모씨에 대한 상고심에서 징역 1년6월에 집행유예 3년을 선고한 원심을 확정했다. 함께 기소된 가담자 최모 씨 등 7명의 처벌도 그대로 유지됐다.구씨 등은 2018년 4월 삼성증권의 우리사주에 주당 1000원의 현금을 배당하려다가 실수로 주당 1000주를 배당하는 사고를 일으킨 뒤, 자신의 계좌에 잘못 입고된 주식을 시장에 내다 판 혐의로 재판에 넘겨졌다. 당시 배당 사고로 발행된 ‘유령 주식’은 삼성증권 정관상 주식 발행 한도를 수십배 뛰어넘는 28억 1295만주(직전 거래일 종가 기준 111조9천억원 상당)였다.사고 당일 구씨 등 직원 21명이 매도 주문을 했고, 여기서 16명의 501만주(약 1820억원) 주문이 체결됐다. 5명은 매도 주문을 했지만 거래가 성사되지 않았다. 원래 존재하지 않았어야 할 물량이 대거 풀리며 삼성증권 주가는 그날 최대 11.7%까지 떨어졌다.1심에서 구씨와 최씨는 징역 1년6월에 집행유예 3년을, 같은 혐의를 받은 이모씨와 지모씨 등은 징역 1년에 집행유예 2년을 받았다. 나머지 4명은 벌금 1,000만~2,000만원의 판결을 받았다. 항소심은 징역형 형량은 유지하면서도 벌금형 부과가 일부 누락됐다며 집행유예를 받은 4명에 대해 벌금형을 추가로 선고했다.주가가 급락한 상태에서 주식을 팔아 손해를 본 투자자들은 손해배상 소송을 제기하기도 했다. 지난해 9월 1심은 삼성증권의 배상 책임을 인정하고 원고인 투자자 3명에게 손해액의 절반인 1인당 2800만∼4900만원을 지급하라고 판결했다."
2024-12-25,"해외 주식으로 105만원 번 전업 주부, 연말정산 인적공제는 탈락","年 250만원 차익은 비과세되지만연말정산 인적공제 제외엔 유의[왕개미연구소]“고객님, 올해 해외주식 매매로 총 3000만 원의 수익이 발생했습니다. 내년에 약 600만원 가량 양도소득세를 납부해야 할 것으로 보입니다. 현재 손실 중인 주식이 있다면 절세가 가능할 수도 있어요. 도움을 드릴까요?”요즘 증권사VIP고객들은 해외주식 양도소득세와 관련해PB(금융 전문가)들의 안내 전화를 받고 있다. 해외주식은 양도소득세 부과 대상인데, 매년 1월부터 12월까지 거래 내역을 기준으로 과세가 이뤄지기 때문에 추가 매매를 한다면 서두르기 위해서다.그래픽=조선디자인랩 권혜인✅年 250만원씩 차익 실현 유리해외주식 양도세는 인당 250만원의 기본공제를 적용한 후에 22%(지방세 포함) 세율을 곱해 계산한다. 차익 250만원까지는 내야 할 세금이 없다.환율은 실제 환전일과 상관없고, 매도∙매수 결제일의 기준 환율이 적용된다. 요즘처럼 원·달러 환율이 1450원대까지 높아져서 환차익이 생겼다면, 전부 양도차익에 포함되어 과세된다.올해 해외주식에서 실현한 수익이 250만원을 초과해 양도소득세 부담이 커질까 걱정된다면, 12월 말까지 평가손실 중인 해외주식을 매도하면 양도차익을 줄일 수 있다. 해외주식 양도소득은 이익과 손해를 모두 고려하는 손익 통산 방식으로 계산하기 때문이다.만약 올해 해외주식을 팔아서 1000만원 차익이 생겼다면, 내년 5월에 양도소득세로 165만원 가량 내야 한다. 하지만 연말까지 손실 중인 해외주식을 매도해 600만원 손해를 본다면, 최종 수익은 400만원(1000만원-600만원)이 된다. 내년에 내야 할 양도세는 400만원에서 기본공제(250만원)를 뺀 150만원의 22%인 33만원이다.양도세 절감 목적에서 해외주식 절세 매매를 진행한다면, 투자하는 나라의 결제일을 꼭 확인해야 한다. 나라별로 결제일이 제각각이기 때문이다. 삼성증권에 따르면, 2024년 기준 결제 가능한 마지막 거래일은 일본·베트남 12월 26일, 미국·싱가포르·대만 12월 27일, 중국 12월 30일 등이다.그래픽=조선디자인랩 이연주✅年 100만원 넘으면 인적공제 탈락기본공제 250만원은 해외주식 투자자 입장에선 1년마다 주어지는 비과세 한도다. 1년 단위인 비과세 한도를 놓치기 아까울 수 있다. 일부 투자자들은 250만원 비과세 혜택을 챙기려고 보유 주식을 매도해서 수익을 실현한 뒤 되사기도 한다.하지만 미성년자나 전업주부의 경우, 양도소득금액이 100만원 넘게 발생하면 연말정산에서 생각지 못한 불이익을 받을 수 있으니 유의해야 한다.미성년자나 전업주부가 해외주식 투자로 양도소득금액이 100만원 넘게 생기면, 연말정산의 부양가족 인적공제에서 제외된다. 인적공제는 배우자나 부양가족의 종합∙양도∙퇴직소득금액 합계가 연 100만원 이하인 경우에만 가능하기 때문이다. 인적공제 대상자에서 제외되면 1인당 150만원의 기본공제를 적용받을 수 없게 된다. 또 신용카드 소득공제, 보험료∙교육비 세액공제 등도 빠진다.과다 공제를 예방하기 위해 2025년 1월부터 '간소화 서비스'가 전면 개편된다./그래픽=조선디자인랩 권혜인지금까지는 부양가족 소득이 초과되었는지 아닌지 여부를 알기 힘들어서 과다 공제를 받는 사례가 많았다. 이에 국세청이 연말정산 간소화 서비스 시스템을 전면 개편했다.내년 1월부터는 소득이 초과되어 자격 미달인 가족은 ‘소득 초과’로 표시되어 부양가족 공제를 받을 수 없고, 연말정산 관련 자료도 제공하지 않는다(위 그림 참고)."
2024-12-24,"올해 ‘최고 복덩이’는 HD현대일렉트릭, 4.5배 뛰었다","국내 증시 결산, 최고·최악 종목은연초 이후 코스피가 8% 이상, 코스닥은 20% 이상 하락했다. 하지만 시장이 아무리 안 좋아도 오를 주식은 오른다. 24일 한국거래소에 따르면, 올 들어 지난 20일까지 세 자릿수의 주가 상승률을 보인 종목은 53개였다. 올해 최고의 수익을 안겨준 종목, 그리고 최악의 손실을 안겨준 종목은 무엇일까?그래픽=이진영K푸드·K방산보다 K전력이 최고올해 국내 주식시장에서 돈을 번 세 가지 키워드는 K전력, K푸드, K방산이었다. 그런데 이 중에서도 K푸드와 K방산이 K전력을 이기지는 못했다.올해 코스피에서 최고의 수익을 낸 종목은 K푸드 불닭볶음면 신화의 주인공인 삼양식품도, K방산 열풍의 대장주인 한화에어로스페이스도 아닌HD현대의 전력회사인HD현대일렉트릭이었다. 올 들어 지난 20일까지HD현대일렉트릭의 주가 상승률은 345.26%에 달했다. 2위인 삼양식품은 246.30%, 9위인 한화에어로스페이스는 136.81%다.HD현대일렉트릭은 변압기 등 전력 인프라 관련 기기를 주로 만드는데, 인공지능(AI) 개발 열풍 등으로 전력난을 겪고 있는 북미·유럽 등 현지 시장에서 급성장을 이루며 올 3분기 역대 최대 실적을 경신했다. 같은 K전력 인프라 종목인 효성중공업도 6위로 152.93%,LS일렉트릭도 18위로 108.20% 증가율을 기록했다. 김태현IBK투자증권 연구원은 “HD현대일렉트릭의 경우 초고압 변압기 수요 확대 흐름이 여전한 가운데, 미국 시장 선점 효과와 고사양 변압기 수주 대응 능력이 커져 내년에도 실적 성장세가 지속될 것으로 기대된다”고 말했다.코스닥 시장 1위는PCB(인쇄회로기판) 핵심 설비 제조 업체 ‘태성’이었다. 올해 주가가 577.75% 급등했다.AI반도체 시장 성장과 함께 고성능 반도체에 대한 수요가 증가하면서 태성의 ‘유리기판’ 사업이 주목받았다. 미국 아마존에 납품하는 K화장품의 선두주자로 하유미팩(배우 하유미가 쓰는 마스크팩)으로 유명한 ‘제닉’(2위 ·490.28%)과 화장품 유통 플랫폼인 ‘실리콘투’(4위·311.80%), 이재명 더불어민주당 대표의 테마주인 오리엔트정공(3위·406.64%) 등보다 상승률이 높았다.그래픽=이진영지난해 스타, 올해는 추락한 이차전지반면, 올해 국내 주식 시장에서 돈을 잃은 3가지 키워드는 이차전지, 친환경, 부동산(리츠·REITs·부동산투자신탁)이었다.올해 들어 코스피 하락률 1위는 ‘스타에스엠리츠’로 78.55% 하락했다. 법무법인 태평양은 “올해는 고금리와 부동산에 대한 투자 심리 위축 등으로 상장 리츠들의 주가가 급락했다”며 “상장 리츠들의 자산 편입과 유상증자 이슈 등으로 주가가 하락하는 현상이 있었다”고 분석했다.리츠를 제외하고 하락률이 제일 컸던 건 이차전지주였다. 배터리 아저씨로 불리던 박순혁 작가가 홍보 이사로 재직했던 금양(-77.11%), 이차전지 소재 기업인 포스코DX(-73.71%), 이엔플러스(-71.61%),SK아이이테크놀로지(-71.17%)가 하락률 2~5위를 기록했다. 지난해 최고의 스타였던 ‘이차전지’주가 올해는 최악의 주가 된 것이다.장정훈 삼성증권 애널리스트는 “트럼프 2기 행정부에서 전기차 수요 둔화 가능성을 높이는 이벤트가 추가로 발생할 확률이 높은 만큼 이차전지는 보수적인 시각을 유지하는 것이 바람직하다”고 말했다.코스닥 시장에서 손실률 1위를 차지한 주식은 자동차 렌털 등의 사업을 하는CNH다. 올해 중순 경영권 매각 등의 이슈로 급등과 급락을 반복하다 현재는 거래 정지 상태로 상장 폐지 위험 종목이다. 경영권 분쟁 종목은 함부로 들어가면 안 된다는 것을 보여준다는 게 증권가의 얘기다. 한때 종가로 200만원까지 올랐던 영풍·MBK등과 경영권 분쟁 중인 고려아연 주가도 한 달 전 수준인 110만원대로 내려왔다.2위인 의류제조기업 엠에프엠코리아도 매각 이슈 등으로 혼란을 겪으며 93.90% 하락한 후 거래 정지 상태다. 청정 에너지 기업으로 각광받던 에스엘에너지도 91.32% 하락했다."
2023-12-01,"홍원학 삼성생명 사장, 이문화 삼성화재 사장, 박종문 삼성증권 사장","삼성 금융 계열사가 1일 임원후보추천위원회와 이사회를 열고, 사장단 교체 인사를 단행한다.삼성생명 사장에는 홍원학(59) 삼성화재 사장이, 삼성화재 사장으로는 이문화(56) 삼성생명 전략영업본부장(부사장)이 선임될 것으로 알려졌다. 삼성증권 사장은 박종문(58) 현 삼성생명 자산운용부문 대표가 맡을 것으로 전해졌다. 신임 대표 후보들은 추후 주총에서 최종 선임될 예정이다.전영묵 삼성생명 사장과 장석훈 삼성증권 사장은 퇴진한다. 삼성 금융계열사 관계자는 “1964~1967년생 50대 대표들로 세대교체가 진행되는 것”이라고 말했다.홍원학 신임 삼성생명 사장은 1990년 삼성생명에 입사해 삼성전자 인사팀장, 삼성생명FC영업1본부장을 거쳐 2021년 12월 삼성화재 대표로 취임했다. 이후 삼성화재가 최고 실적을 내며 맏형 삼성생명 실적을 제치는 데 공을 세운 것으로 평가받고 있다.이문화 신임 삼성화재 사장은 삼성화재 경영지원팀장, 일반보험부문장 등을 거친 ‘삼성화재 맨’이다. 박종문 신임 삼성증권 사장은 삼성생명으로 입사해 해외사업본부, 경영지원실 등을 거쳐 지난해부터 자산운용부문을 이끌어왔다."
2024-12-27,올해 신규 상장 73%가 공모가 밑돌아,"70% 넘게 떨어진 종목도올해 코스피·코스닥 시장에 신규 상장한 기업 중 73%가 공모가를 하회하는 주가를 기록했다. 올 상반기(1~6월) 금리 인하 기대감에 국내 증시가 활황을 보였지만, 하반기 들어 미국의 기준금리 인하 속도 조절, 계엄·탄핵 등 대내외 증시 악재로 상장 등IPO(기업공개) 시장에 대한 투자 심리가 크게 위축됐기 때문이다.26일 한국거래소에 따르면, 올해 코스피·코스닥 시장에 신규 상장한 기업(리츠와 스팩 제외)은 각각 7곳, 88곳으로 총 95곳이었다. 지난해 82곳(코스닥 5곳·코스닥 77곳)보다는 소폭 늘었다. 올해 공모 금액이 1000억원 이상인 대어급 상장사는HD현대마린솔루션(7423억원), 시프트업(4350억원) 등 5곳이었다.그러나 새내기주들의 성과는 좋지 않았다. 거래소에 따르면, 지난 24일 기준 상장을 완료한 77종목(스팩 제외) 중 이날 종가가 공모가 아래로 떨어진 종목은 56종목으로 72.7%에 달했다. 코스닥 시장에서 이에이트(-70.85%), 제일엠앤에스(-69.95%), 포스뱅크(-66.89%) 등이 공모가 대비 하락률이 가장 컸다. 특히 올해 하반기에는 공모가를 희망 범위 하단이나 미달로 확정하는 기업이 연이어 발생했고, 케이뱅크와 씨케이솔루션 등 6개 기업은 상장을 위해 증권 신고서를 제출했다가 철회하기도 했다.전문가들 사이에선 내년에도 탄핵 정국과 트럼프 2기 출범 등 국내외 불확실성이 강해지는 만큼IPO시장이 계속 위축될 것이라는 분석이 나온다. 이창희 삼성증권 연구원은 “향후IPO시장의 흥행은 국내 주식시장의 지수 반등이 선행돼야 할 것으로 보인다”고 했다."
