date,title,content
2024-11-30,삼성카드 대표이사 후보 김이태,삼성카드는 29일 임원 후보 추천 위원회를 열고 김이태 삼성벤처투자 사장을 신임 대표이사 후보로 추천했다고 밝혔다. 김 신임 대표이사 내정자는 기획재정부 국제금융과장 출신으로 2016년 삼성전자에 합류해 글로벌커뮤니케이션그룹장과 대외협력팀장 등을 역임했다. 지난해 말 삼성벤처투자 대표이사를 맡아 벤처 생태계의 혁신을 주도했다는 평가를 받았다.
2024-12-29,탄핵 정국에 소비 심리 위축…음식점·유흥업종 매출 4% 가량 떨어져,"이달 23일 서울 종로구 음식점 밀집 거리가 한산한 모습/뉴스1탄핵 정국으로 소비 심리가 얼어붙으면서 이달 음식점과 유흥업종 매출이 줄어든 것으로 나타났다.29일 국회 정무위원회 소속 김현정 더불어민주당 의원실이 신한·KB·삼성·현대카드에서 받은 자료에 따르면 이달 1일부터 20일까지 4개 카드사의 매출은 28조2045억원으로 집계 됐다. 지난달 같은 기간 28조7997억원보다 2% 가량 줄어든 것이다.특히 음식점과 유흥업소의 매출 감소가 두드러졌다.KB국민카드의 이달 20일까지 식당 및 식품 판매점 매출은 7110억원으로 전달(7405억원) 대비 4% 가량 줄었다.삼성카드의 일반 음식점 매출은 5763억원으로 전월(6010억원) 대비 4.1% 가량 줄었다. 또, 노래방·나이트·단란주점 등이 포함된 유흥업종 매출은 200억원으로 전월(203억원)에 비해 줄었다. 음식점과 유흥업소 매출 감소가 두드러진 건 비상계엄 여파 등으로 연말 송년회·회식이 줄었기 때문으로 풀이된다.반면 연말을 맞아 유통업계 행사가 이어지면서 백화점 등의 업종에서는 매출이 소폭 늘었다. 같은 기간KB국민카드 유통 매출은 2조5848억원으로 작년(2조2921억원)보다 12.8% 늘었다. 신한카드 백화점 매출은 2088억원으로 작년보다 3.1% 늘었다.교육업종 역시 소비가 늘어난 분야다.KB국민카드의 교육업종 매출은 1575억원으로 작년보다 10.6%, 전월보다 4.1% 가량 늘었다. 삼성카드의 학원 업종 매출은 2130억원으로 작년보다 7.5%, 전월보다 2.6% 늘었다.앞서 한국은행에 따르면 12월 소비자심리지수(CCSI)는 88.4로 11월보다 12.3포인트 떨어졌다. 코로나 팬데믹 이후 2년여만에 가장 큰 폭으로 악화한 것이다."
2023-10-18,신한카드도 해외서 삼성페이로 결제 가능해져,"삼성카드, 우리카드, 롯데카드,NH농협카드에 이어 신한카드도 삼성페이로 해외에서 결제할 수 있게 된다.신한카드는 해외여행객이 실물 카드가 없어도 현지 가맹점에서 모바일 디바이스로 자유롭게 결제할 수 있는 삼성페이 해외 결제 서비스를 시작했다고 17일 밝혔다.마스터카드(Mastercard) 로고가 있는 신한카드를 소지한 고객은 근거리무선통신(NFC) 마크가 있는 전 세계 가맹점에서 삼성페이로 결제할 수 있다. 삼성페이 앱에서 신한카드를 선택해 ‘해외 결제 등록’을 하고 이용하면 된다.삼성페이는 애플페이에 대항해 해외 결제 서비스 확대에 열을 올리고 있다. 현재 삼성·우리·롯데·NH농협카드의 마스터카드 브랜드 신용카드에 대해 해외 결제 서비스가 가능하고, 삼성카드의 경우 비자(Visa) 로고가 있는 카드도 가능하다. 다른 카드사들도 비자 카드 브랜드의 삼성페이 해외 결제가 곧 가능해질 전망이다.신한카드는 삼성페이 해외 결제 서비스 개시에 따라 이달 말까지 이용 고객을 대상으로 스타벅스 쿠폰과 신세계백화점 상품권 등을 증정하는 경품 행사를 진행한다."
2024-12-02,“필요한 가전 쏙쏙” ‘AI 구독클럽’ 시작,"삼성전자, 다양한 요금제 제공삼성전자가 1일부터 소비자가 월 구독료를 내고 일정 기간 제품을 사용할 수 있는'AI구독클럽' 서비스를 전국 삼성스토어와 삼성닷컴에 선보인다고 밝혔다./삼성전자삼성전자가 1일부터 가전 구독 서비스 ‘AI구독 클럽’을 시작했다. 월 구독료를 내고 가전제품을 쓸 수 있는 이번 서비스는 전국 삼성스토어와 삼성닷컴을 통해 이용할 수 있다. 구독 대상 가전은TV,냉장고, 세탁기, 청소기 등이고 이 중 90% 이상은 인공지능(AI) 제품으로 구성했다.삼성전자는 소비자가 필요한 제품과 서비스만 선택해 구매할 수 있도록 다양한 요금제를 제공한다고 밝혔다. 예컨대 사용 기간 5년의 ‘올인원 요금제’는 제품 구매, 무상 수리, 방문 케어 등 관리 서비스를 선택적으로 결합할 수 있다. ‘AI구독클럽 삼성카드’로 결제해야 하는 올인원 요금제와 달리 ‘스마트 요금제’는 일반 카드를 쓸 수 있고 기간도 3년과 5년 중에서 선택 가능하다.삼성전자 관계자는 “이미 제품을 보유한 소비자들은 소모품 교체와 내·외부 청소, 종합점검 등을 제공하는 케어 서비스만 따로 선택해 구독할 수 있다”고 밝혔다."
2024-12-04,[경제계 인사] 깨끗한나라 외,▲깨끗한나라▷대표이사 이동열▲삼성벤처투자▷부사장 손헌배▷상무 김종욱 이재민 ▲삼성생명▷부사장 박해관 이종훈▷상무 김원 송준규 양경용 원창희 유승협 장정수 ▲삼성화재▷부사장 고기호 박민재 방대원 이상동▷상무 김도형 김수연 김철진 이범열 이해성 조진만 최성진 ▲삼성카드▷부사장 김대순▷상무 김도헌 유상일 한상민 ▲삼성증권▷부사장 고영동▷상무 김영수 박성호 이기덕 이병훈 이성주 ▲삼성자산운용▷부사장 김용민▷상무 박지호 유진환▲코웨이▷전무 김형권▲홈앤쇼핑▷전무 이성한▷상무 황의식
2024-07-25,복날 삼계탕 MZ가 더 챙겨 먹네… 20대 소비증가율 최고,"중복 하루 전날인 24일 서울 시내 한 삼계탕집이 입장을 기다리는 시민들로 북적이고 있다./연합뉴스복날 일평균 삼계탕 소비량이 평일에 비해 3.1배 더 많은 것으로 조사됐다. 특히 2030 연령층이 평소보다 복날에 삼계탕을 더 먹는 것으로 나타났다.25일 삼성카드 블루데이터랩에 따르면, 작년 6~8월 서울·부산·대구 지역의 삼계탕 소비량을 분석한 결과 복날의 일평균 삼계탕 매출액은 평일 대비 3.1배 더 많았다. 초복은 평일 대비 4.5배, 중복은 3.2배, 말복은 1.6배 소비량이 더 많았다.평소에는 연령대가 높을수록 삼계탕을 선호하지만 복날에는 젊은 연령층에서 소비 증가율이 높은 것으로 나타났다.20대의 복날 삼계탕 매출액은 평일 대비 5.1배 더 많았다. 30대는 3.6배, 40대 3.1배, 50대 3.0배, 60대 2.6배, 70대 이상 2.8배 순이었다.삼성카드는 “연령이 낮을수록 복날과 같은 이벤트에 강하게 반응하기 때문”이라고 분석했다.10명 중 7명(72%)은 냉면을 선택할 때 비빔냉면보다 물냉면을 선호하는 것으로 나타났다. 20~40대의 물냉면 선호는 74%, 50대는 71%, 60대 이상은 66%로 집계됐다."
2024-02-15,삼성화재 21% vs 삼성엔지니어링 -18%… 삼성 계열사 주가 희비 가른 요인은,"연초 삼성 계열사株 등락률 보니그래픽=김하경최근 저평가된 주식인 ‘저PBR(주가순자산비율)주 장세’가 나타나는 가운데, 삼성그룹 상장 종목들도 이의 수혜를 받는 주식과 그러지 못한 주식 간 희비가 뚜렷하게 갈린 것으로 나타났다. 한 그룹으로 묶여 있지만, 주주 친화 정책의 차이에 따라 주가 등락의 차이를 보인다는 것이다. 삼성화재·삼성생명·삼성카드 등 삼성금융주와, 지주사 격인 삼성물산은 올 들어 두 자릿수 상승을 나타낸 반면, 삼성SDI와 삼성엔지니어링은 급락했다.14일 한국거래소에 따르면 삼성그룹 상장 종목 22개 중 올 초 대비 지난 13일 등락률 상위 1~6위는 삼성물산우B(21.79%), 삼성화재(21.29%), 삼성물산(20.62%) 삼성생명(20.41%), 삼성화재우(17.37%), 삼성카드(11.9%)였다. 반면 삼성엔지니어링(-18.45%), 삼성SDI(-17.16%), 삼성전자(-4.2%) 등은 마이너스 수익률을 냈다.금융위원회는 이달 중 ‘기업 밸류업(가치 상승) 프로그램’을 발표하고 주가순자산비율(PBR)이 낮은 종목의 가치 상승을 유도한다는 계획이다.PBR은 주가를 주당순자산으로 나눈 것으로, 이 수치가 1배 미만이면 회사의 시장가치가 장부상 가치만큼도 안 될 정도로 저평가돼 있다는 뜻이다.PBR을 높이려면 배당 확대 등으로 분모인 자산을 줄이거나, 자사주 소각 등을 통해 분자인 주가를 높여야 한다. 이에PBR이 1배 미만인 저PBR주를 중심으로 강한 주가 상승세를 보이는 ‘저PBR주 장세’가 나타나고 있다.그래픽=김하경주가 뛰는 삼성 금융주금융업이 대표적인 저(低)PBR수혜 종목으로 분류되면서 삼성 금융 계열사들의 주가도 뛰었다. 삼성생명과 삼성카드, 삼성증권은 최근 5년간PBR이 한 번도 1배를 넘긴 적이 없다. 삼성화재의PBR은 1.07배로 1배를 조금 웃돌기는 한다. 하지만 삼성화재의 경우엔 보험업계 순이익 기준 1위라는 게 더 부각되고 있다.지난 8일 삼성생명 주가가 하루 만에 10%대 급등하며 4년 만에 최고 오름폭을 보이는 등 최근 급등했다. 삼성생명은 지난 13일 3거래일 만에 주가가 7%대 뛰었고, 같은 기간 삼성카드도 6% 급등했다. 삼성카드는 보유 중인 자사주 약 910만주를 정부 정책에 맞춰 소각할 가능성이 부각되며 주가가 올랐다.이에 삼성그룹 계열사 종목을 담고 있는 ‘ACE삼성그룹동일가중’ 상장지수펀드(ETF)는 지난 13일 1만7525원에 마감하며 52주 신고가를 기록했다. 이ETF는 삼성생명·삼성물산·삼성화재·삼성카드 등을 상위 1~4위로 약 7%씩 담고 있다.주가 운명 가른 주주 환원책그룹 지주사 격인 삼성물산도PBR이 작년 4분기 말 기준 0.75배 수준으로, 저PBR종목으로 꼽힌다. 올 들어 20%대 상승했다. 특히 삼성물산은 지난달 31일 7676억원 규모의 자사주 소각 계획을 공시하면서 13만원을 밑돌던 주가가 15만원을 넘겼다. 보통주보다 배당이 높을 것으로 예상되는 삼성물산 우선주의 경우 삼성그룹주 중 가장 상승률이 높았다.하지만 삼성엔지니어링은 작년 역대 최대 실적을 기록했음에도 올 들어 18.45% 떨어져 삼성그룹 중 올해 하락률이 가장 컸다. 실적 발표 당일인 지난달 30일에만 주가가 7%대 빠지며 최근 1년간 가장 낮은 주가를 기록했다. 순현금이 24% 감소하면서 주주 환원 계획 발표가 미뤄졌기 때문이다. 증권사들은 삼성엔지니어링의 목표 주가를 낮추고 있다. 삼성SDI도 작년 4분기 실적 악화에, 올 들어 이차전지 업계 전반이 고전하면서 연초 대비 주가가 17%나 빠졌다.삼성전자는 이들보다 상대적으로 강한 주주 친화 정책을 쓰고 있지만, 올 들어 4%대 하락하며 ‘8만전자(삼성전자 주가가 8만원)’에 좀처럼 이르지 못하고 있다. 올해 주가 낙폭이 큰 삼성엔지니어링, 삼성SDI,삼성전자 모두PBR이 1배가 넘어 최근 시장의 관심사인 ‘저평가 프리미엄’을 받지 못했다.증시 관계자는 “삼성그룹 내에서도PBR이 낮으면서 자사주 소각 여력이 있는 종목 위주로 주가가 오르고 있다”며 “같은 그룹사여도 회사별로 주주 환원 정책이 다르기 때문에 중장기적인 배당 정책 등을 잘 살펴 투자해야 한다”고 했다."
2024-02-13,"“가전 사고 최대 80만원 캐시백 받으세요” 삼성전자, 혼수·이사 특별기획전","삼성전자는 2월13일부터 3월31일까지 '혼수·이사 특별 기획전'을 실시한다고 밝혔다. /삼성전자결혼과 이사를 앞둔 소비자들을 위한 삼성전자의 대규모 프로모션이 시작됐다.13일 삼성전자는 이날부터 다음달 31일까지 ‘혼수·이사 특별 기획전’을 실시한다고 밝혔다. 이번 행사는 신혼부부와 이사를 앞둔 고객들의 가전 제품 구매를 지원하기 위해 마련됐다.행사 기간 동안 삼성스토어에서 가전 제품을 구매하는 결혼 및 입주 예정 고객에게는 구매 금액에 따라 최대 80만원 상당의 포인트 또는 캐시백을 제공한다. 구매 금액이 600만원 이상일 경우 20만원부터, 2500만원 이상일 경우 80만원 상당의 혜택을 받을 수 있다. 이를 위해서는 결혼 또는 입주 관련 증빙이 필요하다.제휴카드를 사용하는 고객에게는 추가 혜택이 주어진다. 삼성카드 쇼핑몰에서 사용 가능한 최대 45만원 상당의 할인쿠폰이 지급된다. 1000만원, 1500만원, 2500만원 이상 결제 시 각각 15만원, 30만원, 45만원권 할인쿠폰을 받을 수 있다. 이 혜택은 삼성스토어 베네핏 삼성카드로 결제하고 삼성카드 제휴할부 조건을 충족한 고객들이 이용할 수 있다.삼성카드로 가전 제품을 구매할 경우 ‘웨딩마일리지’ 혜택도 있다. 카드 이용 금액과 가전 구매 금액에 따라 최대 500만원까지 캐시백을 받을 수 있다. ‘비스포크 이사클럽’과 ‘비스포크 웨딩클럽’과의 연계 혜택도 제공된다. 이사클럽에서는 포장이사, 가구 등 이사 준비에 필요한 대표 브랜드들을, 웨딩클럽에서는 결혼 준비부터 신혼여행, 신혼 살림 마련까지 선별된 웨딩 브랜드들을 만날 수 있다.삼성전자는 이번 기획전을 통해 더 많은 소비자들이 혜택을 받을 수 있도록 다양한 이벤트도 준비했다. 행사 모델 구매 후 응모한 고객 중 추첨을 통해 시몬스 베개를 증정한다. 삼성닷컴에서 진행하는 퀴즈 이벤트에 응모한 1000 명의 고객에게는 스타벅스 커피쿠폰을 제공한다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2023-11-08,큰손 고객 모셔라… ‘아파트 단지 카드’ 부활,"‘원베일리 홈닉 삼성카드’ 등 출시주민 전용, 1% 할인과 혜택 풍성큰손 고객을 끌어 모으려는 카드사들의 경쟁이 뜨거워지면서 최근 특정 아파트 입주민만을 위한 신용카드까지 출시됐다.삼성카드는 삼성물산과 협업해 래미안 원베일리 입주민 전용 신용카드인 ‘원베일리 신세계 홈닉 삼성카드’와 ‘원베일리 홈닉 삼성카드’를 최근 출시했다. 이 카드는 래미안 원베일리 입주민 인증을 받아야만 발급받을 수 있다. 래미안 원베일리는 서울 서초구 반포동 한강변에 위치한 단지로 20평대 매매가가 30억원에 달한다.이른바 ‘아파트 카드’는 지난 2010년 신한카드가GS건설과 협업해 출시한 ‘자이(Xi) 멤버스 카드’가 최초다. 2020년 이 카드가 단종된 이후 카드업계에선 아파트 카드를 찾아보기 어려웠는데, 첫 출시된 지 약 13년 만에 삼성카드가 아파트 카드를 부활시킨 것이다.‘원베일리 신세계 홈닉 삼성카드’는 단지 인근에 있는 신세계백화점에 특화된 혜택을 제공한다. 이용 금액의 1%를 할인해주고 각종 제휴 서비스를 전월 이용 금액과 할인 한도 제한 없이 받을 수 있다. 전월 이용 금액에 따라 이 외 영화, 외식, 교육, 편의 시설 등 다양한 업종에서도 혜택을 제공한다. 이 카드의 연회비는 국내 전용 4만7000원, 해외 겸용(마스터카드) 4만9000원이다. 신세계백화점 특화 혜택이 빠진 ‘원베일리 홈닉 삼성카드’의 연회비는 국내 전용 1만4000원, 해외 겸용(마스터카드) 1만5000원이다.업계에서는 최근 고금리 여파로 수익성에 빨간불이 들어온 카드사들의 큰손 고객 모시기 경쟁이 더욱 치열해지고 있다고 본다. 일반 고객들의 결제 건으로는 사실상 큰 수익을 내기 어려운 상황이라, 한 명의 우량 고객이라도 잡아 고액 결제 비중을 높이겠다는 전략이다. 삼성카드 관계자는 “앞으로도 아파트 단지별 맞춤형 신용카드를 지속적으로 출시할 예정”이라고 했다."
2023-10-06,‘미술계 큰손’ 이제는 2040… 컬렉터들이 젊어졌다,"키아프 카드 결제 분석해보니…지난달 7일 서울 코엑스에서 열린 아트페어 키아프의 피그먼트 갤러리 부스. 젊은 부부가 ‘330만원’ 가격이 적힌 아크릴화 앞에서 구매를 고민했다. 5년째 키아프에 참여한 이 갤러리는 매년 억대 매출을 내는 인기 부스. 전반적인 미술 시장 침체에도 올해 매출이 작년보다 좋았다. 구매자들은 젊었다. 20대 후반에서 30대 고객이 전체 매출의 60~70%를 차지한 것. 이선영 큐레이터는 “3년 전부터 젊은 컬렉터가 눈에 띄게 늘어, 올해는 아예 입문자들이 많이 찾는 300만~500만원대부터 다양한 가격대의 작품을 가지고 왔다”고 했다.지난달 7일 키아프의 '히든엠 갤러리' 부스에서 관람객들이 작품을 살펴보고 있다. 올해 키아프에선 젊은 컬렉터의 성장이 두드러졌다. 삼성카드 결제 데이터를 보니 20~40대 결제 규모가 작년보다 62% 뛰었다. /장련성 기자올해 공동 개최된 아트페어 프리즈 서울과 키아프는 기존 갤러리나 옥션에 비해 젊은 입문 컬렉터들이 부담 없이 접근하기 좋은 미술 시장이었다. 5일 삼성카드에 의뢰해 카드 결제가 가능한 범위의 작품들이 있는 키아프의 결제 데이터를 분석해 보니, 수치로도 젊은 컬렉터들의 증가가 나타났다. 연령대별로 보니, 올해 20~40대가 키아프에서 결제한 금액은 작년에 비해 62%나 뛰어 젊은 층의 관심이 뜨거웠음을 알 수 있었다. 20~30대에서 25%, 40대에서 96% 늘었다. 반면 50대의 경우엔 56% 줄었다.구매된 미술품의 평균 가격은 내려갔다. 젊은 입문자들이 늘어나면서 평균 결제 가격도 소액화된 것으로 분석됐다. 300만원 이하 미술품 결제 비중이 작년 대비 10% 늘었다. 100만원 이상 300만원 미만 결제의 경우엔 전체적으로 4% 늘어났는데, 20~30대만 떼어서 보면 20% 늘어났다. 서진수 미술시장연구소 소장(강남대 명예교수)은 “기존 미술 시장은 가격 정보를 알기 어렵고 기존 고객을 우선하며 갤러리와 개인적으로 소통해야 하는 성격이 강한데, 아트페어는 누구나 설명을 들을 수 있고 부담 없이 선택할 수 있는 환경”이라며 “아트페어가MZ세대 성향에도 잘 맞아 미술 인구가 늘어나는 데 역할을 하고 있다”고 했다. 갤러리들도MZ세대에 맞춰 접근 방법을 달리하고 있다. 올해 프리즈와 키아프 참여 갤러리들이 행사와 파티 등을 열고 많은 사람이 열린 공간에서 미술을 즐길 수 있는 분위기를 만든 것도 이런 차원이다.젊은 컬렉터의 성장은 전체 미술품 시장(화랑·옥션·아트페어)의 성장도 이끌고 있다. 삼성카드에 따르면 올해 미술시장 침체로 전반적으로 작년에 비해 전체 결제 금액은 5% 줄었다. 그러나 20대에서만큼은 10% 증가했다. 전년 대비 60% 성장한 작년만큼은 아니지만 증가세를 이어간 것이다. 30대도 4% 늘었다. 반면 40대는 13%, 50대는 8% 줄었다. 삼성카드가 회원 400명을 대상으로 진행한 설문에선 미술품 구매 장소로 ‘아트페어’(19→24%)와 ‘온라인 플랫폼’(42→42.3%)은 전년 대비 비중이 커지고, ‘화랑’(22→18%)이나 ‘옥션’(20→4%)의 비율은 줄었다. 작년부터 키아프를 후원하며 현장 홍보 부스를 운영하고 있는 삼성카드는 “미술품에 대한 젊은 층 구매 열기를 실감하고 있다”고 했다. 소액 미술품 결제가 늘어나면서 키아프 기간에 카드 한도를 늘려주는 프로모션도 진행했다."
