date,title,content
2023-04-11,"자동차 주간주행등 소재… 삼양사, 첫 국산화 성공","삼양사가 자동차 주간주행등 소재를 국산화하는 데 성공했다.삼양그룹의 화학 계열사인 삼양사는 국내 최초로 자동차 주간 주행등을 만드는 플라스틱 소재인 고투과 폴리카보네이트(PC)를 개발했다고 10일 밝혔다. 자동차 주간주행등은 시동을 걸면 낮에도 자동으로 켜지는 램프로, 밝고 균일한 점등이 필수적이고 혹시 모를 사고에 대비해 충격과 열에 강한 소재로 만들어진다.이번에 개발한 고투과PC는 일반PC보다 빛의 투과율이 좋아 주간주행등에 쓰이는 전구의 개수를 줄일 수 있다. 소재가 투명색에서 황색으로 변하는 정도가 적은 것도 특징이다. 이 제품은 지난해 12월 산업통상자원부 국가기술표준원의 신기술(NET) 인증을 획득했다.이 제품은 현재 국내외 자동차 부품사에서 테스트를 진행하고 있어 이르면 올 상반기 양산에 들어갈 것으로 보인다. 강호성 삼양사 대표는 “고투과 폴리카보네이트는 지금까지 전량 수입에 의존하고 있어 원료 수급 불안정 리스크가 있었다”며 “이번 신소재 국산화 성공으로 자동차 부품사는 안정적인 원료 공급처를 확보할 수 있게 됐다”고 말했다."
2024-04-01,CJ제일제당 이어 삼양사·대한제분도 밀가루값 인하,"1일부터 소비자 판매용 제품 가격 인하서울의 한 대형마트에 진열된 대한제분 밀가루. /뉴스1CJ제일제당을 시작으로 대한제분과 삼양사 등 식품기업들이 1일 밀가루 제품값을 내린다.1일 식품업계에 따르면 삼양사는 이날부터 소비자 판매용 중력분 1㎏, 3㎏ 제품 가격을 평균 6% 내린다. 대한제분도 소비자 판매용 밀가루 1㎏, 2㎏, 2.5㎏, 3㎏ 등 제품 가격을 인하한다. 다만 대한제분은 구체적인 인하율을 밝히지는 않았다.대한제분은 지난해 7월에도 제품 가격을 평균 6.4% 내린 바 있다.앞서 정부는 식품업계에 재료 가격 하락분을 제품 가격에 반영할 것을 권고했다.유엔식량농업기구(FAO)가 발표한 곡물 가격지수는 올해 2월 113.8로 우크라이나 전쟁 발발 직후인 2022년 3월(170.1) 대비 33.1% 하락했다.유지류 가격지수는 2022년 3월 251.8로 고점을 찍은 뒤 지난 2월 120.9로 떨어졌다.정부 권고에 따라CJ제일제당이 지난 달 가장 먼저 소비자 판매용 밀가루 3종 가격을 평균 6.6% 내리겠다고 발표한 이후 삼양사와 대한제분도 각각 제품 가격 인하를 결정했다.국제 유지류 가격 하락에 따라 식용유 가격도 내려간다. 오뚜기는 식용유 제품 가격을 이날부터 평균 5% 인하하기로 했다."
2022-12-03,[경제계 인사] 삼양사 외,▲삼양사▷AMBU영업PU장 박현호▷식품BU영업PU장 이의도▷식품지원PU장 겸 삼양에프엔비 대표 박성수▷재경PU장 김현미▲베트남EP▷법인장 김용관
2022-12-03,삼남석유화학 대표이사 이운익,"삼양그룹은 2일 이운익 베트남EP법인장을 삼남석유화학 대표이사로 임명하는 등 주요 계열사 정기 임원 인사를 단행했다. 이 대표는 2018년 베트남EP법인 신설과 초기 안정적인 생산 기반을 구축한 공로를 인정받았다. 삼양그룹은 대내외 위기 상황을 고려해 주요 경영진을 대부분 유임시킨 반면 젊은 리더들을 전면에 등장시켰다. 승진하는 리더 6명 중 5명이 1970년 이후 출생자이고, 그룹 최초로 40대 여성 임원이 발탁됐다.▲삼양사▷AMBU영업PU장 박현호▷식품BU영업PU장 이의도▷식품지원PU장 겸 삼양에프엔비 대표 박성수▷재경PU장 김현미▲베트남EP▷법인장 김용관"
2024-03-20,"CJ제일제당, 밀가루값 최대 10% 내려","대한제분·삼양사도 참여할 듯CJ제일제당이 다음 달 1일부터 소비자에게 판매하는 밀가루 제품 가격을 내린다고 밝혔다. 가격을 내리기로 결정한 품목은 중력 밀가루 1kg과 2.5kg제품, 부침용 밀가루 3kg등 3가지다. 대형마트 출고 가격을 기준으로 제품에 따라 3.2~10%, 평균 6.6% 정도 값이 내려간다. 부침용 밀가루와 중력 밀가루는 일반 가정에서 많이 사용하는 제품으로,CJ제일제당이 취급하는 기업과 소비자 간 거래(B2C) 물량의 절반 이상을 차지한다.CJ제일제당이 밀가루 가격 인하를 발표하면서 대한제분과 삼양사도 조만간 가격 인하에 나설 것으로 보인다. 삼양사와 대한제분은 이날 “조만간 가격을 내릴 계획이고 내부적으로 인하 폭을 논의하고 있다”고 했다.앞서 정부는 최근 2년 동안 국제 원맥 가격이 하락세인 것을 강조하며 밀가루 업계에 가격 인하를 요구해왔다. 농림축산식품부는 지난 13일 식품 업계 관계자들과 가진 간담회에서 “국제 원재료 가격 변화를 탄력적으로 가격에 반영해 물가 안정에 협조해 달라”고 촉구했다."
2023-05-17,"원자재값 내렸는데 가격 안내려… 식품업계, 최대 실적","원자재값 핑계로 가격 올리더니지난해 초부터 밀가루·식용유지류 같은 원자재 가격과 물류비, 인건비 등이 올랐다는 이유로 제품 가격을 올린 식품 업체들이 최근 사상 최대 실적을 거둔 것으로 나타났다. 이 때문에 원자재 가격 인상을 ‘핑계’로 제품 가격을 올린 식품 업체들이 작년 하반기부터 원자재 가격이 하락했는데도 인상된 가격을 유지해 수익을 챙겼다는 비판이 제기되고 있다. 소비자들 사이에선 “원자재 가격이 올랐을 때 가격을 인상했던 것처럼, 원자재 가격이 떨어지면 제품 가격을 낮춰 소비자물가 부담을 줄여줘야 하는 것 아니냐”는 지적까지 나오고 있다./그래픽=양진경가격 올린 식품 업체 호(好)실적 냈다지난 2년간 3차례 이상 제품 가격을 올린 라면 업계가 대표적이다. 농심은 올해 1분기 매출 8604억원, 영업이익 638억원으로 전년 동기 대비 매출은 16.9%, 영업이익은 85.8% 늘었다. 어닝 서프라이즈(예상보다 좋은 실적)다. 오뚜기도 1분기 매출(8567억8400만원)이 전년 동기보다 15.4%, 영업이익(653억7100만원)은 10.7% 증가했다. 고물가와 불황으로 라면 인기가 높아진 덕분이기도 하지만, 제품 가격 상승 이후 원자재 가격이 하락해 이득을 봤다는 분석이 더 많다.한국농수산식품유통공사의 식품산업 통계 정보에 따르면, 지난해 5월 1t당 419달러였던 밀 가격은 올해 5월 229달러로 반 토막 수준으로 떨어졌다. 콩기름 재료인 대두, 과자·빵 같은 가공식품 원재료인 옥수수 가격도 같은 기간 14~18% 하락했다. 다른 라면 업체들보다 늦은 지난해 11월에야 가격을 올린 삼양식품은 올 1분기 매출(2455억원)이 21.5% 증가했지만 영업이익은 소폭 감소했다.다른 식품 업체들도 호(好)실적을 기록했다. 지난해 주력 상품인 동원참치와 조미김 가격을 올린 동원F&B도 올 1분기 영업이익 신장률이 매출 신장률(14%)의 2배가 넘는 34.7%로 나타났다. 롯데푸드와 롯데제과가 합병한 롯데웰푸드는 올 1분기 매출 신장률(4.1%)보다 높은 영업이익(36.5%) 신장률을 기록하기도 했다. 롯데웰푸드도 올해 초부터 빙과류와 과자류 등의 제품 가격을 순차적으로 올렸다.식품 업체에 원자재를 공급하는 회사의 실적도 덩달아 좋아졌다. 소맥과 옥수수 같은 원자재를 사들여 식품 업체에 납품하는 삼양사는 지난해 식품 부문에서 역대 최대 매출인 1조4918억원을 올렸다. 삼양사는 지난해 밀가루 가격을 전년(57만원)에 비해 46% 비싼 1톤당 74만2000원으로 올리고, 설탕 가격은 22%, 전분당 가격은 29% 인상했다. 식품 업체의 원가 부담을 부추긴다는 비판에도 삼양사의 매출이 지난 2011년 이후 가장 높은 수준을 기록했다. 올해 1분기에도 삼양사의 식품 부문 매출은 전년 대비 16.6% 증가했다.원자재 값 연동한 인하도 필요소비자들의 장바구니 부담은 식품 업체의 출고가 인상 폭보다 크게 뛴다. 한국소비자원의 가격 정보 종합 포털 ‘참가격’에 따르면, 올해 5월 대형 마트 전체 평균 가격 기준 농심 신라면(5개입) 가격은 3675원에서 4100원으로 11.6% 올랐다. 또 오뚜기 콩기름(900mL)은 30%, 해찬들 우리쌀 태양초골드(1kg)는 27%, 동원참치 라이트 스탠다드(4캔)는 12%,CJ제일제당의 햇반(210g)은 14% 비싼 가격에 팔리고 있다. 체감 물가는 출고가 인상률(6~11%)보다 큰 셈이다.한국소비자단체협의회 등 소비자 단체들은 “식품 기업이 가격을 올릴 때마다 불가피하다고 주장했던 원자재 가격 등이 안정되고 있다”며 “이제는 가격을 인하해 물가 인상에 고통받는 소비자의 어려움을 함께 짊어져야 한다”고 요구한다. 실제로 지난 2010년 라면 업계는 밀가루 값이 1년 전보다 10% 이상 하락하자, 이를 반영해 주요 인기 제품이었던 신라면·삼양라면·진라면·왕라면 가격을 20~50원 인하했다. 올해 초, 오뚜기가 진짜쫄면과 바베큐소스 등 일부 제품 가격을 10%가량 낮췄지만 주력 제품이 아닌 탓에 효과가 크지는 않았다.원자재 가격이 하락해도 인건비, 가스나 전기 같은 공공 요금 가격이 급등해 원가 부담은 여전하고, 원가 부담으로 영업이익이 하락한 식품 업체가 있다는 반박도 나온다.CJ제일제당은 올해 1분기 매출(CJ대한통운 제외)이 전년 동기 대비 2.1% 증가했는데 영업이익은 58.8% 감소했고, 오리온 역시 같은 기간 매출은 1.6% 늘었지만 영업이익은 8.7% 줄어들었다."
2022-06-21,대기업 번호 착신하고 대금 가로챘다... 경찰도 속은 신종 피싱,"경찰 로고. /조선DB식품회사 대표 전화를 착신 전환해 중간에서 물품 대금을 가로챈 전화금융사기(보이스피싱) 사건이 발생해 경찰이 수사에 나섰다.21일 김해중부경찰서에 따르면 경남 김해시에 있는 식품업체 A 사는 지난 9일 대기업 식품회사 삼양사 직원이 알려준 계좌로 식용유 대금 3000만원을 선입금 했다. 하지만 전날 통화를 한 이 직원은 다음날 전화를 받지 않았고, 콜센터 역시 계속 통화 중이었다.A사 측은 물품 사기를 의심해 경찰을 찾았고, 내용을 전해 들은 경찰관이 직접 삼양사 대표전화로 연락했다. 삼양사 직원이라고 하는 인물은 경찰에게 “정상적인 거래이고 식용유도 곧 보낼 것이다”라는 취지로 답변했다. 경찰은 A사 직원에게 조금 더 기다려 볼 것을 권유했다. 하지만 날짜가 지나도 A사가 선입금한 식용유는 도착하지 않았고, 연락은 아예 두절됐다.경찰은 A사가 일명 ‘전화 가로채기’ 수법의 보이스 피싱 사기에 당한 것으로 판단하고 있다. 전화 가로채기 수법은 정상적으로 전화해도 보이스피싱 조직 쪽으로 연결되도록 해 돈을 빼앗는 신종 사기다. 삼양사 대표번호로 전화한 경찰관 역시 실제로는 보이스피싱 조직과 통화했던 셈이다.경찰은 앞서 보이스피싱 조직이 통신회사를 가장해 삼양사에 접근한 뒤 회선 문제를 이유로 삼양사 대표 전화를 착신 전환시킨 것으로 보고 있다. 이후 삼양사로 걸려오는 전화는 보이스피싱 조직 쪽으로 착신 전환됐고, 이들은 마치 삼양사 직원인 것처럼 속이는 방식으로 사기를 벌였을 것으로 경찰은 추정하고 있다.경찰 관계자는 “삼양사 직원이라고 속인 인물은 A사 측에 ‘식용유 할당량이 남았다’ ‘식용유를 공급해주겠다’는 식으로 접근해 마치 대기업과 거래할 수 있는 것처럼 속인 것으로 파악된다”며 “현재까지는 이번 사건 외 또 다른 추가 피해는 확인되지 않았다”고 말했다.삼양사 측은 “최근 식품 도매상을 대상으로 삼양사 직원을 사칭해 선입금을 요구하는 사례가 다수 접수돼 주의를 당부한다”는 안내문을 홈페이지에 공지했다."
2023-12-01,삼양그룹 정기 임원인사…4세 김건호 삼양홀딩스 사장 선임,"삼양그룹은 김건호(40) 삼양홀딩스 경영총괄사무를 삼양홀딩스 사장으로 신규 선임하는 등 정기 임원인사 및 조직 개편을 단행했다고 1일 밝혔다. 김 신임 사장은 김윤 삼양홀딩스 회장의 장남이다.삼양그룹은 “이번 임원 인사는 성과 중심의 인사를 원칙으로 나이에 상관없이 맡은 부문에서 탁월한 공로를 세운 젊은 리더를 신규 임원으로 선임했다”고 밝혔다. 신규 임원 8명 중 7명이 1970년 이후 출생자다.김건호 삼양홀딩스 전략총괄 사장./삼양그룹지주사인 삼양홀딩스 사장으로 신규 선임된 김건호 신임 사장은 전략총괄 직책을 맡아 그룹의 성장전략과 재무를 담당하게 된다. 김 사장은 2014년 삼양사 입사 후 해외팀장, 글로벌성장팀장, 삼양홀딩스 글로벌l성장PU(PerformanceUnit)장, 경영총괄사무 및 휴비스 미래전략주관(사장)을 거쳤다.조직개편은 지주회사인 삼양홀딩스 내 전략총괄과 재경기획PU를 신설해 그룹 전체의 경영전략과 재무관리 역량을 강화하고, 환경·사회·지배구조(ESG)경영 강화를 위해 대표이사 직속의 사회공헌(CSR)총괄을 신설했다. 식품그룹에서는 북미지역에서의 스페셜티 사업 확대를 위해 식품BU(BusinessUnit) 직속의 북미사업팀을 신설했다.<신규 임원 명단>■ 삼양홀딩스▷ 김건호 전략총괄 사장 ▷ 안민엽MD사업PU장■ 삼양사▷ 이연우 재경PU장 ▷ 지현찬 화학마케팅PU장 ▷ 박성원Specialty사업PU장 ▷ 윤병각 유통PU장 ▷ 권경노 아산공장장■ 삼양이노켐▷ 장성천 생산PU장"
2023-12-06,주요그룹·네카오 뭉쳐 글로벌 위기 대응,"한경협 ‘임원 협의회’ 출범삼성·SK·현대차·LG등 주요 그룹과 네이버·카카오 등이 참여하는 ‘글로벌 경제 현안 대응 임원 협의회’가 출범했다. 한국경제인협회는 5일 여의도FKI타워에서 협의회 출범식을 가졌다고 밝혔다. 만성화한 대외 리스크에 대응하기 위해 주요 기업과 정부가 힘을 합쳐 대응하자는 취지다. 류진 한경협 회장은 개회사에서 “동시 다발적 전쟁 발발, 공급망 재편,IRA(인플레감축법) 등 각국의 보호주의 통상 정책, 다양한 환경규제 신설 등 대외 리스크가 뉴 노멀이 된 상황”이라며 “빠르게 상황을 공유하고 함께 대응하기 위해 정부와 기업이 국제 무대 속에서 팀코리아로 함께 움직이자”고 했다. 이날 박진 외교부 장관은 특별 연사로 나와 경제 안보를 위한 민관의 긴밀한 소통과 협력을 강조했다.협의회에는 4대 그룹과 포스코·롯데·한화·HD현대·GS·대한항공·두산·LS·풍산·KT·삼양사 등 한국 대표 기업 20여 사가 참여했다. 분기마다 글로벌 현안을 논의할 예정이다. 각 사의 글로벌 비즈니스 담당 임원이 참여하며, 정부 인사와 전문가를 초청해 주요 글로벌 현안에 대한 정보를 교환하고 공동 대응 방안을 논의한다."
2024-11-26,[경제계 인사] 삼양그룹 화학2그룹장에 김건호 사장 외,"삼양그룹 화학2그룹장에 김건호 사장삼양그룹은 25일 김건호 삼양홀딩스 전략총괄 사장이 삼양엔씨켐·케이씨아이 등 스페셜티(고기능성) 사업 중심의 화학2그룹장을 겸직하는 등의 임원 인사를 단행했다고 밝혔다. 김 사장은 ‘삼양가(家) 4세’로, 김윤 회장의 장남이다.▲삼양홀딩스▷사장 김경진▷HRC장 이수범▲삼양사▷식품지원PU장 윤경수▷인천1공장장 문우식▷식품연구소장 한정숙▲삼양패키징▷아셉틱영업PU장 윤광석▲삼양화성▷대표이사 이영훈▲HD한국조선해양▷부사장 류근찬▷전무 이동원▷상무 서일원 서호균 지춘호 김형택 남기일 박동범▲HD현대중공업▷전무 윤훈희 이재희 홍석환 우권식 강민호 김정배▷상무 이상진 옥정석 이강국 정동찬 조양삼 윤상식 김오균 김재락 정대열 함형원 이태원 송재훈 이진 김영호 김건헌 문중수 이경구 김인태 ▲HD현대미포조선▷부사장 오세광▷전무 이동진 김창환▷상무 손용석 신동효 안윤수▲HD현대삼호중공업▷전무 전경석 이준혁▷상무 최승재 서정훈 ▲HD현대마린솔루션▷부사장 윤병락▷전무 박영언 김정혁▷상무 최봉준 ▲HD현대마린엔진▷상무 우영제 ▲HD현대사이트솔루션▷전무 오병수▷상무 김동목 박치형 현정미 ▲HD현대건설기계▷부사장 송희준▷전무 최태근 김기형 ▲HD현대인프라코어▷전무 정욱 이종윤▷상무 전성호 ▲HD현대오일뱅크▷전무 임평순 정태오 정춘섭▷상무 이세연 김한돈 ▲HD현대일렉트릭▷부사장 이창호▷전무 양재철 안재한 강봉주▷상무 강진호 김용한 김홍태 황종현 김민수 ▲HD현대로보틱스▷상무 박정훈 ▲HD현대에너지솔루션▷상무 김기범 ▲HD현대▷상무 정지원"
