date,title,content
2022-08-26,“비용·시간 줄여라” AI로 신약개발 뛰어든 중소 제약사,"삼진제약 등AI벤처 손잡고 개발막대한 비용 드는 기존 방식보다후보물질 선별 등에서 효율적중소·중견 제약사들이 신약 개발에 인공지능(AI)을 적극적으로 도입하고 있다. 대형 제약사와 달리 자금력이 부족한 중소·중견 제약사 입장에선 신약 개발에 드는 천문학적 비용을 줄이고 오랜 개발 기간을 단축할 수 있다는 장점이 있다.삼진제약은 국내 인공지능 신약 개발 기업인 심플렉스와AI신약 개발 공동 연구 협약을 체결했다고 24일 밝혔다. 삼진제약은 현재 검토 중인 여러 신약 후보 물질을 심플렉스가 가진 기술로 선별하겠다는 계획이다. 앞서 삼진제약은 이달 초 캐나다AI신약 개발 기업 사이클리카와도 신약 개발 공동 연구에 대한 계약을 체결했다.동화약품은 심플렉스의AI기술로 면역 질환 치료제 개발에 나섰다. 또AI신약 벤처기업 온코크로스와 신약을 공동 개발하기로 했다. 동화약품이 보유한 항암 신약 후보 물질을AI를 통해 기존과 다른 암에 적용할 수 있는지 알아볼 계획이다. 경동제약도 양자역학 기반AI신약 개발 업체 인세리브로와 신약 공동 연구 개발을 위한 계약을 체결했다.통상 신약 개발은 후보 물질 탐색부터 동물 실험, 사람을 대상으로 한 임상시험을 거치면 평균 15년이 걸린다. 개발 비용도 2조~3조원에 달하며, 5000~1만 개의 신약 후보 물질 가운데 단 1개만이 최종적으로 약으로 출시된다. 하지만AI를 활용하면 한번에 100만 건 넘는 관련 논문을 찾아 분석할 수 있어, 연구자 수십 명이 5년간 할 일을 하루에 끝낼 수 있다."
2023-02-08,"13m 수직 텃밭, 하늘의 휴게실… MZ 사로잡는 신개념 사무실","건축가 김찬중의 파격 실험마곡 삼진제약 연구센터·엑셈 사옥김찬중이 설계한 마곡 '엑셈(EXEM) 사옥'.4~7층 네 층을 뚫어 만든 거대한 공간에 계단이 가로지르고 공중에 휴게실이 달렸다.   /건축사진가 김용관‘MZ잡기’와 ‘지속 가능성’.요즘 기업들이 직면한 화두다. 재택근무에 익숙해진 직원들과 사무실 사이 원심력은 커졌고,ESG(환경∙사회∙지배구조) 시대에 친환경은 경쟁력 가늠자가 됐다.최근 서울 마곡 지구에 들어선 삼진제약 연구센터와IT기업 엑셈(EXEM) 사옥은 건축적으로 두 이슈를 고민한 결과물이다. 설계자는 마곡 ‘서울식물원’,울릉도 ‘코스모스 리조트’,서울 삼성동KEB하나은행 ‘플레이스 원’ 등으로 한국 건축에 창의적 숨결을 불어넣어 온 건축가 김찬중(54·더시스템랩 대표) 소장. 두 건물을 찾아 그의 난제 풀이법을 살펴봤다.건축가 김찬중. /건축사진가 김용관‘멀티 페르소나’ 맞춰 유연한 공간한 건물 건너 나란히 위치한 두 사옥의 외관은 확연히 다르다. 하얀 캉캉 치마를 연상시키는 입면의 삼진제약 연구센터는 발랄한 이미지, 네모난 엑셈은 단정한 느낌이다.서쪽 입면을 주름치마처럼 만든 마곡 삼진제약 연구센터. /건축사진가 김용관특수 알루미늄 차광판으로 온몸을 두른 엑셈(EXEM) 사옥 외관. /건축사진가 김용관겉모습은 딴판이지만 공동의 맥이 있다. 건축가가 말하는 두 건물의 공통 키워드는 ‘심리적 지속 가능성’과 ‘환경적 지속 가능성’이다. ‘심리적 지속 가능성’은 김 소장이 만든 개념으로 “근무시간을 때우는 게 아니라 최적의 심리 상태로 일을 효율적으로 할 수 있는 환경을 만드는 것”을 의미한다. 직원이 건강해야 기업도 건강할 수 있다는 논리다.이 관점에서 직원 대다수를 차지하는MZ세대의 특징인 ‘멀티 페르소나(여러 자아를 지님)’에 주목했다. 김 소장은 “이 세대는 수시로 나를 숨겼다가 드러내고 싶어 한다. 답은 공간의 유연성. 본인이 환경을 구축할 수 있는 디자인을 지향했다”고 설명했다.삼진제약 연구센터 외부에 붙은 주름 모양 패널. 빛을 차단하면서도 바깥 풍경을 내려다 볼 수 있게 고안한 것이다. /건축사진가 김용관삼진제약 프로젝트의 열쇠는 서쪽 입면에 붙인 주름 형태의 두께 80mm초고강도콘크리트(UHPC) 패널이다. 이 주름 안쪽에 해당하는 건물의 가장자리에 연구원들의 개인 책상을 뒀다. 조용히 혼자 일하고 싶을 땐 개인 책상에, 개방된 공간에서 일하고 싶을 땐 건물 중앙의 실험실로 가면 된다.'엑셈(EXEM) 사옥'.4~7층 가운데를 뚫어 만든 거대한 공간을 대형 계단이 가로지른다.  /건축사진가 김용관엑셈 사옥은 지상 8층 중 4~7층의 한가운데를 뻥 뚫어 거대한 보이드(void·빈 공간)를 만들었다. 여기에 상하좌우로 가로지르는 X자 계단을 설치하고 공중에 떠 있는 듯한 형태의 휴게실도 뒀다. 마치SF영화 속 미래 도시 같은 풍경이 펼쳐진다.공간의 주인공이 계단이다. 사무 공간을 중앙, 동선을 가장자리에 배치하는 일반적인 사무실 배치 공식을 뒤집었다. “기존 폐쇄형 사무실과 실리콘밸리 스타일 개방형 사무실을 절충한 것”이라고 한다. 김 소장은 “탕비실에서 눈인사하고 빈백에 누워 얘기하는 실리콘밸리식 문화는 한국 직장인들에겐 불편하다. 이 사무실에선 계단을 오르내리는 동료 모습이 자연스럽게 노출되며 풍경이 된다. 한국 정서에 맞게 시각적인 상호작용을 만든 것”이라고 설명했다.네 층을 뚫어 역동적으로 계단을 배치한 마곡 엑셈 사옥. /김미리 기자야외 발코니, 텃밭… 심리적 탈출구김 소장은 지금까지 오피스 건물을 20여 개 설계하며 흥미로운 발견을 했다. “고층 통유리 건물에서 팔짱 끼고 도시를 내려다보는 모습을 성공한 기업인의 이미지로 생각하더라. 그건 사장의 욕망일 뿐 현실은 변했다. 통유리 건물은 덥고 추우며 시대와도 맞지 않는다.”그가 말한 ‘시대’는 사무 환경의 변화다. “종이로 서류 작업하던 시대엔 자연광이 풍부해야 했다. 모니터로 작업하는 시대엔 너무 강한 빛이 화면 보는 데 방해가 된다. 롤스크린으로 빛을 차단하고 실내등을 켠다. 전기료가 올라가고 뷰는 가려진다. 악순환의 연속이다.” 그래서 고민한 화두가 ‘빛을 막으면서 도시와의 관계 열어주기’였다.루버와 유리 외벽 사이 만든 엑셈 사옥 외부 발코니. /김미리 기자두 건물은 서향. 삼진제약 연구센터의 해법은 서쪽에 붙인 주름 모양 콘크리트 패널이다. 빛을 차단하면서 주름이 뜬 사이로 바깥 풍경을 내려다볼 수 있게 했다. 엑셈은 외벽에 특수 알루미늄 루버(차광판)를 붙여 오후에 서쪽으로 들어오는 강한 빛을 차단했다. 차광판과 유리벽 사이엔 발코니를 둬 직원들이 밖으로 나가 바깥 공기를 쐬게 했다.삼진제약 연구센터 로비에 설치된 건물 3층 정도 높이의 13m 수직 스마트 팜. 조금씩 회전한다. /건축사진가 김용관실내 정원도 공통점이다. 삼진제약 연구센터 1층 로비에 들어서면 천천히 회전하는 높이 13m 스마트 팜이 시선을 뺏는다. 관상용이 아니라 여기서 재배된 채소를 연구원들이 따 먹는다. 엑셈은 4층에 오솔길처럼 실내 정원을 만들었다. 직원들을 위한 심리적 탈출구이자 습도 유지 장치다.엑셈(EXEM) 사옥 4층에 설치된 실내 정원. /건축사진가 김용관재택근무에 익숙한 직원들을 돌아오게 하는 사무실을 고민하는 회사들에 김 소장이 꺼낸 처방전은 명료했다. “집보다 좋아야 한다. 그냥 말고, 집이 주지 못하는 것을 확실히 주는 공간이 돼야 한다. 산책이든 카페든 뭐든.”"
2024-05-01,[부음] 강경모 별세 외,"▲강경모별세,조주연남편상,강신국·강혜진·강혜란·강혜은·강혜리부친상,성창호법무법인 광장 변호사·남광우·오민철장인상=30일7시50분 서울아산병원, 발인 2일6시, (02)3010-2000▲곽상규별세,곽승훈넥슨코리아 대외정책실 부실장 부친상=30일12시46분 분당제생병원, 발인 2일9시, (031)708-4444▲김희민대한예수교장로회 은퇴목사 별세,김준표제주 동회천 순례자의 교회 목사·김미경대한예수교장로회 새미교회 목사·김미성제주동물친구들 대표 부친상,권무혁어나더북스 대표·김부곤장인상=29일14시30분 제주대병원, 발인 1일11시, (064)717-2900▲박언재별세,안영지남편상,박순옥·박종운KPI뉴스 서부경남취재본부장·박종설부친상,이병조장인상,임미선·심영희시부상=29일1시15분 경남진주장례식장, 발인 1일9시, (070)8970-7748▲박정화별세,이동훈디스트릭트 코리아 부사장·이동욱前NC다이노스 감독 모친상=30일11시28분 삼성창원병원, 발인 2일9시, (055)233-5131▲변현민前KLPGA투어 프로골프 선수 별세,변현진동생상=29일9시45분 의정부을지대병원, 발인 1일5시, (031)951-7444▲부순자별세,고호성제주대 명예교수·고호빈호남대 교수·고호진한국경제신문 편집부 부국장대우·고호정모친상,김윤희김윤희치과의원 원장·남영주법제처 과장 시모상=30일0시30분 제주 서문성당, 발인 2일8시30분, (064)753-2979▲서호석前 대한약품 상무 별세,서민정외교부 주UN대표부 공사참사관·서상혁삼진제약 팀장 부친상,조현숙아시아나항공 과장 시부상=30일2시30분 이대서울병원, 발인 2일7시30분, (02)6986-4440▲장신강별세,이춘익아내상,이영림·이혜림·이한철·이경림모친상,진승호한국투자공사 사장·김신용·하기석장모상=29일20시25분 서울아산병원, 발인 2일8시, (02)3010-2000"
2023-08-15,"안재용 SK바사 대표, 상반기 제약바이오 업계 보수 1위","안재용SK바이오사이언스 사장(SK바이오사이언스 제공)안재용SK바이오사이언스 대표이사가 올해 상반기 제약·바이오 업계에서 현직 임원 중 가장 많은 보수를 받은 것으로 나타났다. 안 대표는 지난해에도 업계 ‘연봉킹’ 자리에 올랐다.15일 국내 제약·바이오업계 반기보고서를 종합해보면 안 대표는 올해 상반기 36억 5000만원의 보수를 받아 업계에서 가장 많은 금액을 기록했다. 안 대표는 급여 3억 5000만원과 상여금 33억원을 지급받았다. 상여금은 지난해 성과에 대한 경영성과급 3억원과 과거 3개년 경영 성과에 대한 특별 보상금 30억원 등이다.안 대표는 지난해에도 약 72억원의 보수를 받아 업계에서 가장 많은 금액을 기록했다.같은 회사의 김훈 글로벌 R&BD대표도 올해 상반기 총 36억원의 보수를 받은 것으로 나타났다. 급여 3억원과 상여 33억원으로 안 대표와 비슷한 수준이다.회사는 보고서를 통해 매출액, 영업이익, 세전이익, 당기순이익 등으로 구성된 계량지표와 리더십, 전문성, 기타 회사 기여도로 구성된 비계량지표를 종합적으로 평가해 경영성과급을 지급했다고 밝혔다. 성과급의 규모는 연봉의 200% 내에서 결정된다.한편 올 상반기 역대 상반기 기준 최대 실적을 달성한 삼성바이오로직스의 존림 대표는 10억 3800만원의 보수를 받았다. 급여 약 8억5000만원, 상여 8000만원, 복리후생금 약 1억원 등이다. 10억원대의 보수를 받았다.또 이장한 종근당홀딩스 회장의 상반기 보수는 약 8억9000만원, 김영진 한독 회장의 보수는 6억4000만원, 삼진제약 최승주·조의환 회장의 보수는 각각 5억 8000만원을 기록했다."
2024-01-10,‘유도탄 암 치료제’ 국내도 개발 경쟁,"셀트리온·종근당·삼바 등기술 확보와 지분투자 나서올해 국내 제약·바이오사들의 항체·약물 접합체(ADC) 개발 경쟁이 뜨거워질 전망이다.ADC는 항체에 약물을 붙여 암세포를 직접 표적으로 삼아 치료하는 기술이다.셀트리온, 종근당, 동아에스티, 삼성바이오로직스 등 국내 대형 제약사들이ADC신약 개발에 뛰어들었고, 바이오 기업들 도전도 이어지고 있다. 지난달 26일 레고켐바이오는ADC후보 물질을 미국 얀센에 2조2000억원에 기술 이전하는 계약을 체결해 주목받았다.종근당은 네덜란드 바이오 기업 시나픽스에서ADC플랫폼 기술을 도입한 데 이어 올해 본격적으로ADC항암제 개발에 나선다.동아에스티는 지난달 20일ADC개발 기업 앱티스(AbTis)를 인수했다고 밝혔다. 동아에스티는 앱티스의 3세대ADC링커 플랫폼 기술과 파이프라인을 활용해 신성장 동력을 확보한다는 계획이다.셀트리온과 삼성바이오로직스는 인수·합병(M&A) 대신 지분 투자로ADC기술 확보에 나섰다. 셀트리온은 지난해 초 직간접 투자를 통해 영국ADC개발사 익수다세러퓨틱스의 최대 주주가 됐다. 이미 지난 2022년 국내ADC개발사인 피노바이오와 타깃 15개에 대한ADC플랫폼 기술 이전 계약을 체결한 셀트리온은 올해 본격적인ADC신약 개발에 들어간다.삼성바이오로직스와 삼성물산, 삼성바이오에피스는 공동으로 1700억원을 출자해 국내ADC개발 기업 ‘에임드바이오’에 지분 투자를 결정했다. 삼성바이오로직스는 올해ADC치료제 생산 시설 구축에 나선다는 계획이다. 또 알테오젠, 에이비엘바이오, 삼진제약,SK팜테코, 롯데바이오로직스 등이ADC개발에 나섰다.ADC시장은 꾸준한 성장이 예측되고 있다. 시장조사 업체 리서치앤드마켓스에 따르면, 세계ADC의약품 시장은 2022년 59억달러(약 7조7000억원)에서 2026년 131억달러(약 17조2000억원)로 연평균 22% 성장할 것으로 전망된다."
2023-11-27,송년회 ‘숙취해소제’ 경쟁… MZ “우린 짜먹어요”,"젊은층 겨냥 스틱 제품 속속 출시… 섭취·휴대 간편하고 맛 좋아 인기HK이노엔의 숙취 해소제.모임이 많은 연말·연시를 앞두고 제약사들이 숙취 해소제 마케팅 경쟁에 돌입했다. 키워드는 ‘먹기 편하고’ ‘맛도 좋은’ ‘MZ세대 공략’이다.국내 숙취 해소제 시장점유율 1위 상품은 한국콜마 계열사HK이노엔의 ‘컨디션’이다.HK이노엔은 지난해 젤리 제형 ‘컨디션 스틱’을 출시해 소문을 탔다. 컨디션 스틱은 지난해 3월 출시 이후 올해 3분기 매출 36억원을 기록해 전년 동기 대비 56.5% 성장했다.HK이노엔은 올해도 연예인 박재범을 모델로 내세워 2030세대를 공략한 홍보를 이어간다는 계획이다.종근당도 지난 14일 스틱형 젤리 제형 숙취 해소제 ‘깨노니 스틱’ 2종을 출시했다. 깨노니 스틱은 천연물 노니에서 추출한 ‘노니트리’를 주원료로 헛개나무 열매 추출 분말, 수용성 밀크시슬 등을 배합했다. 종근당 관계자는 “배사과맛과 납작복숭아맛 2종으로 구성해 맛을 차별화했다”고 했다.한독도 스틱형 젤리 제형 ‘레디큐 스틱’ 2종이CU,GS25, 세븐일레븐, 이마트24 등 주요 편의점에 입점했다고 최근 밝혔다. 레디큐 스틱은 숙취 해소를 위한 커큐민과 음주 후 피로 회복을 위한 타우린 등을 함유하고 있다.이 외에도 동국제약 ‘아니벌써’,삼진제약 ‘파티히어로’,알리코제약 ‘다깼지’ 등 스틱형 숙취 해소제가 시장에서 치열한 경쟁을 벌이고 있다.국내 숙취 해소제 시장은 꾸준한 성장세를 보이고 있다. 시장조사 업체 닐슨코리아에 따르면 국내 숙취 해소제 시장 규모는 2018년 2236억원에서 지난해 3127억원으로 5년 만에 40%가량 커졌다. 특히 스틱형 제품의 출시가 늘어나는 것은 상대적으로 휴대와 섭취가 편하다는 특징 때문에 젊은 층의 선호도가 높아서다. 롯데멤버스가 지난 7월 성인 남녀 2000명을 대상으로 음주와 해장 등에 관해 진행한 설문조사에 따르면 20대는 16%가 음주 시 숙취 해소제를 복용한다고 답한 반면 50대 이상에서는 5.3%에 그쳤다. 또 20대는 56.7%가 환 또는 젤리 등의 비음료 숙취 해소제를 선호하는 반면 50대 이상은 77.1%가 액상 숙취 해소제를 선호하는 것으로 나타났다."
2023-07-08,국내 제약사는 ‘먹는 치매약’ 임상 중,"10여개 업체들 개발 뛰어들어국내 제약바이오 업계에서도 알츠하이머 치료제 개발에 두각을 나타내는 업체들이 있다.아리바이오는 한국과 미국에서 동시에 먹는 알츠하이머 치료제 ‘AR1001′에 대한 임상시험을 진행하고 있다. 지난달 식품의약품안전처에 임상 3상 계획서를 신청했고, 미국에서는 식품의약국(FDA)의 허가를 받아 지난해 12월부터 임상을 진행하고 있다. 회사에 따르면AR1001은 뇌 신경세포의 신호 전달을 활성화하면서 신경세포의 사멸을 막고 생성을 촉진한다. 또 뇌에서 각종 독성 단백질이 축적되는 것을 막는 효과도 있다. 식약처가 임상을 허가하면 아리바이오와 삼진제약이 공동으로 150명의 환자를 모집해 임상을 시행할 예정이다.젬벡스는 신약물질GV1001을 알츠하이머 치료제로 개발하고 있다. 국내에서는 임상 3상을 허가받았고 미국 등에서는 임상 2상 단계에 있다. 이 외에 차바이오텍이 줄기세포 치료를 통한 알츠하이머 정복에 도전하고 있고 디앤디파마텍, 보로노이, 오스코텍, 엔케이맥스 등의 알츠하이머 치료 신약 물질이 임상 1~2상 단계에 있다.7일FDA승인을 얻은 레켐비는 우리나라 식약처에도 지난달 허가 신청을 완료했다. 업계에서는 이르면 내년 하반기, 늦어도 내후년 초에는 승인이 가능할 것으로 보고 있다. 다만 식약처 승인 이후에 실제로 환자가 사용하기 위해서는 국민건강보험 등재 여부에 대한 심사를 거쳐야 한다. 박재경 하나증권 연구원은 “알츠하이머 치료제 신약이라는 새 시장이 열리는 것은 국내 제약 바이오 업계에도 기회가 될 수 있다”며 “후발 주자들은 기존 치료제들이 충족시키지 못한 수요를 공략할 수 있기 때문에 꼭 먼저 출시하는 것이 유리한 것은 아니다”라고 했다."
2023-05-03,"5년 걸릴 분석, 하루면 끝… AI가 앞당기는 신약","이젠 필수가 된 ‘AI신약개발’/그래픽=양진경모더나가IBM과 손잡고 인공지능(AI)과 양자컴퓨터 기술을 활용해 메신저리보핵산(mRNA) 치료제 개발에 나선다고 26일 밝혔다. 모더나는mRNA가 신체 내에서 이동할 때 이를 캡슐화해 보호하는 지질나노입자(LNP)를IBM의 생성형AI‘몰포머’로 최적화하고 신약 후보 물질을 탐색한다. 모더나 측은 “신약 개발 기간을 단축하는 등 차세대 기술을 탐구하는 데 도움이 될 것”이라고 밝혔다.제약 바이오 기업들이 앞다퉈AI로 신약 개발에 나서고 있다.AI로 단백질 구조나 부작용을 예측해 신약 개발 기간과 비용을 줄이면서 성공률을 높일 수 있기 때문이다. 한국과학기술정보연구원은 글로벌AI신약 개발 시장 규모가 매년 45.7% 성장해 2027년 40억350만달러(약 5조4600억원)에 이를 것으로 전망했다. 김우연 한국제약바이오협회AI신약개발지원센터장은 “신약 개발 과정에서AI활용 분야가 넓어지고 있기 때문에 이제AI는 선택이 아닌 필수”라고 했다.AI로 신약 개발 가속AI신약 개발의 가장 큰 장점은 개발 시간 단축이다. 한국보건산업진흥원에 따르면, 전통 방식 신약 개발에는 평균 15년이 필요하다. 5000~1만여 신약 후보 물질 중 전 임상 시험에 들어가는 물질을 찾는 데만 5년이 걸리고, 독성 시험과 임상, 허가에도 10년이 걸린다. 반면AI기술을 이용하면 논문 100만편 이상을 한 번에 분석할 수 있다. 연구자 수십 명이 5년간 할 일을 하루 만에 끝낼 수 있을 정도다.국내 기업들도AI기반 신약 개발에 나서고 있다. 바이오헬스 기업HK이노엔은AI신약 개발 기업인 에이인비와 신약 공동 개발에 나섰다. 세포 유전자 치료제를 위한 항체 후보 물질을 발굴할 계획이다.HK이노엔 관계자는 “AI를 활용해 신약 후보 물질과 신규 기술 확보 소요 시간을 앞당길 수 있을 것”이라고 했다. 항체 신약 개발 기업 와이바이오로직스도 에아스텍과 항체 성능을 개선하거나 면역 항암제를 개발하는 등 공동 연구를 추진할 계획이다. 국내에서만AI신약 개발 기업 51곳이 새로운 후보 물질이나 약물 적응증 탐색, 약물 설계 등에 뛰어들고 있다. 삼진제약이나 대웅제약 등은 아예 사내AI전담팀을 만들어 자체AI분석 기술을 확보하거나 관련 데이터를 확보하고 있다.AI신약 개발 “이제 시작”김 센터장은 “전 세계에서 약 개발에AI를 접목하는 시도가 늘어나고 있지만 아직은 초기 단계”라고 강조했다. 당장AI를 접목해도 신약 개발 속도가 눈에 띄게 빨라지거나 허가 제품이 늘어나지는 않는 것이다. 실제로 한국제약바이오협회AI신약개발협의회가 지난해AI신약 개발 기업 11곳의 임상 현황을 파악할 결과,AI신약 개발은 81건이 진행되고 있지만 임상에 들어간 건 4건에 그쳤다. 그마저 대부분 기존 약물을 다른 질병에 활용하거나 복합 처방 조합을 찾을 때AI를 활용했고,AI를 신약 개발 전 과정에 접목해 성공한 사례는 없었다.AI기반 신약 개발 기업 온코크로스 김이랑 대표는 “AI로 신약을 개발해도 독성 평가나 임상, 효과성 검토 등의 과정은 종전 방식대로 이뤄지기 때문에 당장 신약 개발 기간이 대폭 단축되지는 않는다”면서 “지금은AI가 신약 개발 후보 물질을 찾는 단서를 제공해주는 정도지만 향후에는AI기반의 신약 개발이 주류가 될 것”이라고 밝혔다."
2024-12-16,삼진제약 임직원 133명 승진 인사,"삼진제약(대표이사 최용주)은 2025년 1월 1일부로 임직원 133명에 대한 승진을 단행하였다고 밝혔다.승진인사 명단△전무이사: 이수민△상무이사: 신범규, 우종형, 박창익△상 무 보: 진성환△이    사: 김영각, 장명수, 최재돈, 노선규△부    장: 오종현 외 8명△차    장: 정명재 외 22명△과    장: 김영민 외 20명△대    리: 김신태 외 18명△주    임: 이한얼 외 19명△수 석 Ⅰ: 정동구△수 석 Ⅱ: 이근호 외 5명△책    임: 김은영 외 2명△프    로: 김화정 외 14명"
2024-12-02,"삼진제약-에이피트바이오, ADC 신약 공동 연구 협약","삼진제약-에이피트바이오 ‘ADC공동 연구개발’ 협약식 (좌 / 삼진제약 이수민 센터장, 우 / 에이피트바이오 윤선주 대표이사)삼진제약(대표이사 최용주)은 지난 29일, 항체 신약 개발 전문기업 ‘에이피트바이오(APITBIO,Inc.,대표이사 윤선주)’와 ‘ADC(Antibody-drugconjugates,항체-약물접합체) 신약 개발’을 위한 공동연구 협약을 체결했다고 밝혔다. 협약에 의거 삼진제약은 자체적 확보하고 있는 혁신적 기전의 ‘링커-페이로드 결합체(Linker-Payload,이하LP결합체)’를 활용한ADC약물을 개발하게 되며, ‘에이피트바이오’는 특정 난치성 고형암에서 과발현된 단백질을 표적하는 항체 개발을 담당하게 된다.이번 협약은 지난 9월 삼진제약과 에이피트바이오가 ‘성공적인ADC(Antibody-drugconjugates,항체-약물접합체)신약 개발’을 위해 체결한 ‘MTA(MaterialTransferAgreement,물질이전계약)’의 연장선상에 있는 것으로서, 향후 양사는ADC후보물질 최적화 추진과 확보된ADC약물의 추가 개발 및 상업화 가능성 등의 극대화를 위한 포괄적 파트너십을 구축해 나갈 계획이다.현재, 삼진제약과 에이피트바이오는MTA기간 내 개발 중인 고효능ADC약물 후보 물질에서 기존 약물에 주로 사용되던Deruxtecan등과TopoisomeraseI 억제제 기반 약물 대비 뛰어난 성과를 이미 도출해내고 있으며, 후보 물질의 우수성은 ‘2024 바이오 유럽(BioEU2024)’에서 글로벌 제약사들에게 큰 주목을 받은 바 있다.삼진제약 이수민 연구센터장은 ""항체 개발에 탁월한 역량을 보유한 에이피트바이오의 혁신적인 기전의 항체와 삼진제약이 오랜 기간 축적해 온 신약 개발 역량을 통해 완성한 새로운 기전의 페이로드를 결합하여 기존ADC와 차별화된 더욱 뛰어난 신개념ADC를 개발할 계획이다.""라고 이번 공동연구에 대한 포부를 밝혔다.에이피트바이오의 윤선주 대표는 “당사의 항체 기술이 활용된 링커와 페이로드 기술, 그리고 의약화학 및 신약개발에 대한 풍부한 경험과 인프라를 보유한 삼진제약이 글로벌 경쟁력을 가지는first-in-classADC를 공동 개발하게 되어 무척 기쁘게 생각한다”라며, “이를 계기로 앞으로 더 많은 혁신적인ADC공동 개발을 성공해 낼 수 있도록 항체 부분에서 큰 역할을 다하겠다”라고 소감을 전하였다.에이피트바이오는 자체 인간합성항체(Fab) 라이브러리 및 단클론항체 발굴, 이중항체 제작기술이 바탕 된 항암 및 만성 B형 간염치료용 단클론항체,CD3T-cellengager이중항체 그리고ADC치료제 개발과 혈액순환종양세포(CTC) 분리 및 췌장암 / 담도암 진단키트 등을 개발하고 있다."
