date,title,content
2023-10-24,대어 서울보증보험 퇴각으로 힘 빠진 IPO 시장,"고금리 장기화 전망에 투자 심리 냉각… 다시 빙하기 오나SGI서울보증보험 본사 전경./뉴스1고금리 장기화 우려에 따른 투자 심리 위축에 기업공개(IPO) 시장이 직격탄을 맞았다. 최소 3조원이 넘는 몸값으로 주목받으며IPO시장의 대어(大魚)로 꼽히던 서울보증보험이 예상보다 부진한 수요 예측에 23일 상장결정을 철회하면서IPO시장에 힘이 빠진 모양새다.뒤이어IPO를 준비하던 기업들은 잔뜩 긴장하고 있다. 중동 지역 불안으로 증시가 약세를 보이면서 기업 가치를 제대로 평가받기 어려운 환경이 된 데다, 서울보증보험의 상장 포기로 기관 투자자들의IPO투자 심리가 더 위축될 수 있다는 우려도 커졌다.IPO시장에 작년 같은 빙하기가 다시 찾아올지 투자 업계의 관심이 쏠리고 있다.그래픽=백형선백기 든 서울보증보험당초 서울보증보험은 지난 13~19일 기관 투자자를 대상으로 수요 예측을 마치고 이달 말 일반청약을 진행할 예정이었다. 그러나 수요 예측이 기대에 훨씬 못 미치면서 끝내 상장을 포기했다. 서울보증은 23일 “회사 가치를 적절히 평가받기 어려운 측면 등을 고려해 잔여 일정을 취소하고 철회 신고서를 제출한다”고 밝혔다. 수요 예측에 참여한 기관 대부분이 희망 공모가 범위 하단에 가까운 금액에 주문을 넣은 것으로 알려졌다.시장 환경이 변수가 됐다. 지난 7일 이스라엘·하마스 간 전쟁으로 10년 만기 미국 국채 금리가 연 5% 돌파한 이후, 투자 심리가 급속도로 냉각됐다. 코스피는 7개월 만에 2400선이 깨졌다.여기에 서울보증보험의 특수한 공모 구조도 영향을 미쳤다. 이번 기업공개는 최대 주주인 예금보험공사가 가진 주식을 매각하는 100% 구주 매출로 진행되는 데다 6개월 뒤 대규모 매도 물량이 쏟아질 수 있다는 오버행(대량 대기 매물) 우려도 흥행에 걸림돌이 됐다. 고금리가 보험사 수익 감소로 이어져 고배당을 실시하기 어려워질 수 있다는 점도 참패 요인으로 꼽혔다미국·유럽IPO시장도 ‘찬바람’시장이 얼어붙으면서IPO시장에 찬바람이 불기는 다른 나라도 마찬가지다. 유럽에선 이달 초, 1주일 사이 3개 기업이IPO를 철회하거나 연기해 시장에 충격을 안겼다. 고금리, 고물가로 투자 심리가 위축된 여파다. 프랑스IPO시장의 최대어로 꼽혔던 서비스형 소프트웨어 업체 플라니스웨어가 지난 11일 상장 예정일을 불과 5일 남겨두고 상장을 철회했다. 독일 방산 기업 렝크도 지난 4일IPO철회를 선언했다. 이달 증시에 데뷔할 예정이었던 독일 통행료 지불 서비스 제공 업체DKV모빌리티는 지난 10일 상장을 내년으로 미뤘다.미국IPO시장도 부진하긴 마찬가지다. 지난 9월 화려하게 증시에 데뷔한 영국의 반도체 업체ARM과 미국 식료품 배송 업체 인스타카트 주가는 현재 공모가를 밑돌고 있다. 침체에 빠진 유럽 대신 뉴욕 증시를 택했던 독일 샌들업체 버켄스탁은 상장 첫날인 지난 11일 공모가보다 13% 낮은 가격에 거래를 마치며 체면을 구겼다.상황이 이렇자 미국 기업들은 기존 주식(구주)을 매각하거나 전환사채(CB) 발행으로 자금을 융통하고 있다. 블룸버그는 22일(현지 시각) “버켄스탁 등 공모 실패 사례가 쌓이면서 미국 내IPO비관론이 커지고 있다”고 했다.에코프로머티리얼즈, 분위기 반전 꾀할 수 있을까시장의 관심은 이달 말 수요 예측이 예정된 에코프로머티리얼즈에 쏠리고 있다. 이차전지 핵심 소재인 전구체를 생산하는 업체로, 에코프로 그룹주 가운데 처음으로 내달 유가증권시장에 데뷔한다. 예상 시가총액은 희망 공모가 상단 기준으로 3조원을 넘는다.대외 여건은 녹록지 않다. 테슬라의 3분기 실적 충격으로 국내 이차전지주 주가가 연일 약세를 보이면서 제값을 받기 어려워졌기 때문이다. 공모가 고평가 논란도 부담이다. 일반 청약에서 33조원을 끌어모으며 흥행한 두산로보틱스는 지난 5일 상장 첫날 종가 대비 주가가 30%나 빠졌다. 지난 7월 상장한 버넥트 주가는 공모가(1만6000원) 대비 48%나 떨어졌다.투자업계 관계자는 “에코프로머티리얼즈 수요 예측 결과에 따라 연말IPO시장 분위기가 좌우될 것으로 보인다”고 했다. 이달 말까지 에이직랜드, 에스와이스틸텍, 에이텀, 캡스톤파트너스 등 기업들이IPO를 위한 수요 예측을 진행한다."
2023-10-04,이달에만 서울보증보험 등 15개 기업  IPO 출격,"지난달 21일 서울 오전 여의도 한국투자증권 영업부에서 고객들이 두산로보틱스 공모주 일반청약을 위해 대기하고 있다. 이날부터 22일까지 진행된 일반 청약에는 33조원이 넘는 증거금이 몰렸다./뉴스1지난달 두산로보틱스의IPO(기업공개)가 흥행에 성공한 가운데, 10월에도 ‘몸값 3조’ 서울보증보험을 비롯한 15개 기업이 신규 상장을 위한 일반 청약에 나선다. 이들 기업의 공모가를 합하면 최대 7692억원으로, 올해 1~9월 전체IPO공모액(1조7315억원)의 절반에 가깝다. 최근IPO시장이 회복세를 보이자 연내 상장을 목표로 하는 기업들이 몰린 것으로 분석된다.이 중 가장 주목되는 것은 25~26일 일반 청약에 나서는 서울보증보험이다. 2010년 지역난방공사 이후 13년 만에 이뤄지는 공기업 상장이다. 상장 후 시가총액이 최대 3조6100억원에 달할 것으로 평가된다.반도체와 이차전지 업종에서도 줄줄이 출격을 준비하고 있다. 반도체 소재 기업 퓨릿이 이달 5~6일, 반도체용 케미컬 제조 업체 워트가 16~17일, 반도체 공정 장비 기업 퀄리타스반도체가 18~29일,RF필터 파운드리 기업 ‘쏘닉스’가 26~27일 각각 청약을 받는다. 이차전지 정밀금형 부품·소재 기업 유진테크놀로지(23~24일)와 이차전지·반도체 공정용 장비 부품 업체 메가터치(31일~11월 1일)도 청약에 나선다.이 밖에 우주 분야 전문 스타트업 컨텍이 18~19일, 국내 1세대 벤처캐피털(VC)로 꼽히는 캡스톤파트너스가 26~27일 청약을 진행한다. 항암 면역세포 치료제를 개발하는 바이오 기업 큐로셀은 30~31일 청약을 받는다.한편 33조원이 넘는 증거금을 끌어모았던 국내 협동로봇 1위 기업 두산로보틱스는 5일 코스피에 입성한다. 올해 두 번째 코스피 상장 종목으로, 일각에선 상장 첫날 주가가 공모가 대비 400%까지 오르는 첫 ‘따따블’ 사례가 될지 주목하고 있다."
2023-06-01,서울보증·두산로보 하반기 IPO 출격… 대어들 몰려온다,"하반기엔 대형주도 빛 볼까기업 가치가 조(兆) 단위인 대어급 회사들이 올해 하반기에 줄줄이 기업공개(IPO) 시장에 나올 전망이다. 상반기에 중·소형 공모주 중심으로 불던IPO훈풍이 하반기에 대형주에까지 옮겨갈 수 있을지 투자자들의 관심이 집중되고 있다.31일 금융투자업계에 따르면, 국내 최대 종합보증업체인 서울보증보험은 6월 중 한국거래소에 상장예비심사를 청구할 예정이다. 이르면 10월 말쯤 코스피 시장에 입성하게 된다. 서울보증보험의 예상 시가총액은 2조~3조원에 달한다.두산그룹의 로봇 계열사 두산로보틱스도 조만간 코스피 상장예비심사를 청구할 계획이다. 두산로보틱스의 기업 가치도 1조원 이상으로 추산된다. 이 회사의 올 1분기(1~3월) 매출은 106억원으로 로봇업계에선 가장 규모가 크다. 동종업계인 레인보우로보틱스(1분기 매출 31억원)의 3배 수준이다. 이 외에 반도체 설계기업 파두, 2차전지 소재 업체 에코프로머티리얼즈는 이미 지난 3~4월 상장예비심사를 청구해 승인을 앞두고 있다.올해는 연초부터 연이어 ‘공모주 따상(시초가가 공모가의 2배로 정해지고 상한가로 마감하는 것)’ 현상이 나왔지만, 이는 모두 시가총액 1000억원대 안팎의 중·소형 회사들이었다. 그런데 하반기에 이런 ‘스타급’ 기업들이 상장시장에 데뷔하면서 공모주 흥행의 판이 커질 것이란 기대감이 퍼지고 있다.다만 공모주 펀드 설정액이 여전히 감소 추세이고, 경기 침체 우려로 인해 증시 변동성이 심한 상황은 공모주 흥행에 부정적이다. 박종선 유진투자증권 연구원은 “시장에서 끌어올 수 있는 돈이 2~3년 전 코로나 특수 때보다 상당히 줄어든 만큼, 실적과 전망이 좋은 기업들에만 선별적으로 투자자금이 몰릴 것”이라고 말했다."
2023-07-26,저소득 청년에 전세보증료 30만원 지원,"오늘부터 신혼부부 등도 대상정부가 전세 사기에 취약한 청년과 신혼부부를 보호하기 위해 전세 보증금 반환 보증료를 최대 30만원까지 지원한다.국토교통부는 사회초년생 등 저소득 청년을 위한 ‘청년 전세보증금 반환보증 보증료 지원 사업’을 26일부터 전국에서 동시 시행한다고 25일 밝혔다. 이번 보증료 지원사업은 전세 사기에 노출될 위험이 상대적으로 큰 청년·신혼부부 등의 전세보증 가입을 유도하기 위한 것으로, 하반기 경제정책 방향의 후속 조치다.올해 1월 1일 이후 전세보증금 반환보증에 가입한 전세보증금 3억원 이하, 연소득 5000만원(신혼부부 7000만원) 이하인 무주택 청년 임차인이 지원 대상이다. 분양권이나 입주권을 보유하고 있는 경우에는 지원할 수 없다. 청년 연령은 각 지자체 조례에서 정하는 기준에 따라 경기·부산은 만 34세 이하, 전남은 만 45세 이하, 그 외 지역은 만 39세 이하로 정한다. 총 지원 규모는 122억원이다.우선 신청인이 주택도시보증공사(HUG), 한국주택금융공사(HF),SGI서울보증보험을 통해 보증 가입을 하고 보증료를 납부해야 한다. 이후 임차 주택 주소지 관할 지자체에 지원 사업을 신청하면 심사를 거쳐 지자체가 최대 30만원까지 신청인 계좌로 보증료를 환급해준다.주소지 관할 시·군·구청 등을 방문해 신청할 수 있으며, 온라인 접수 시스템이 구축된 지자체는 온라인으로도 신청할 수 있다. 대상자 요건, 접수처 등 구체적인 사항은 국토부 민원 콜센터(1599-0001)에 문의하면 된다. 원희룡 국토부 장관은 “이번 사업을 통해 전세사기에 취약한 사회 초년생을 보다 두텁게 보호할 수 있을 것으로 기대한다”고 말했다."
2023-01-07,"[땅, 땅… 오늘의 판결] “깡통전세 숨긴 중개사, 떼인 보증금 40% 배상”","‘깡통 전세’를 소개하면서 임차인에게 보증금을 떼일 위험성을 전혀 설명하지 않은 부동산 중개사는 나중에 임차인이 받지 못한 보증금의 40%를 손해배상해야 한다는 법원의 1심 판결이 나왔다.서울중앙지법 민사87단독 반정우 부장판사는 임차인 A씨가 공인중개사와 서울보증보험을 상대로 낸 손해배상 청구 소송에서 원고 일부 승소 판결했다고 6일 밝혔다.A씨는 2015년 8월 공인중개사 B씨를 통해 서울 구로구에 있는 한 건물의 방 하나를 보증금 1억원에 2년간 임차했다. 이 건물에는 방이 70개 정도 있었다. 그런데 A씨가 계약할 때 22억2000만원의 근저당권이 건물에 설정돼 있었다. 또 A씨보다 먼저 확정일자를 받은 임차인들의 보증금 합계도 29억2000여 만원이나 됐다. 근저당과 선순위 보증금의 합계가 건물 가격을 넘어서는 ‘깡통 전세’였던 것이다. 하지만 B씨는 중개대상물 설명서에 이런 내용을 전혀 기재하지 않았다고 한다.A씨가 입주한 건물은 2018년 1월 경매에 넘겨져 48억8000여 만원에 팔렸다. 이 돈은 근저당 채권자와 선순위 확정일자 임차인 등에게 모두 배당됐고, A씨는 한 푼도 받지 못했다. 그러자 A씨는 “보증금을 돌려받지 못할 위험성을 알려주지 않아 손해를 입었다”며 1억원을 청구하는 소송을 낸 것이다.재판부는 “A씨가 기존 임차인 보증금 합계가 최소 29억원 이상이라는 사실을 알았다면 계약을 체결하지 않았을 개연성이 충분하다”면서 “B씨는 선순위 보증금 합계액이 큰 액수일 수 있다는 사실을 충분히 알 수 있었는데 중개대상물 설명서에 이를 전혀 기재하지 않아 그릇된 정보를 전달했고 신의를 지켜 성실하게 중개할 의무를 어겼다”고 했다.재판부는 다만 A씨가 계약 당시 건물의 시가나 권리 관계를 확인하지 않았기 때문에 60%의 책임이 있다고 봤다. 이에 따라 B씨 등이 A씨에게 4000만원을 손해배상금으로 지급하라는 판결이 내려졌다. A씨와 B씨가 항소하지 않아 판결은 그대로 확정됐다.부동산 전문인 한 변호사는 “대출 연체로 경매가 예정된 건물주가 중개사와 짜고 이 사실을 숨긴 채 30여 명과 전세 계약을 맺은 사례가 최근 적발됐다”면서 “세입자가 계약 체결 전에 등기부 등을 통해 담보권이나 선순위 보증금을 반드시 확인해야 한다”고 말했다."
2024-10-07,"한동훈, 김대남 사퇴에 “용납못해…필요하면 법적 조치”","한동훈 국민의힘 대표가 7일 ‘공격 사주’ 의혹이 제기된 김대남 전 대통령실 행정관에 대해 “필요한 감찰을 진행하고 필요한 경우 법적 조치를 진행하겠다”고 밝혔다.한 대표는 이날 국회에서 열린 최고위원회의에서 “김대남씨 또는 관련자들이 하고 있는 행동들은 용납될 수 없다”며 이같이 말했다.김대남 전 대통령실 행정관./뉴스1김 전 행정관은 7·23 국민의힘 전당대회를 앞두고 유튜브 채널 ‘서울의소리’에 한 대표에 대한 공격을 사주했다는 의혹을 받고 있다. 서울의소리가 공개한 녹취에는 “김건희 여사가 한 후보 때문에 죽으려고 한다. 이번에 잘 기획해서 치면 여사가 좋아할 것”이라는 김 전 행정관의 발언이 담겼다.한 대표는 “우리 당은 서울의소리 같은 극단적인 악의적 세력과 야합해 당 소속원을 공격하는 것을 용납하지 않는 정당”이라며 “포용은 최소한의 기강을 전제로 한다. 기강을 바로 세우겠다”고 강조했다.이어 “‘별것 아닌데 넘어가 주자’는 말씀도 있는데 그렇게 생각하는 분들은 구태정치에 익숙해 있는 것 아닌가”라며 “우리 국민, 우리 당원, 우리 당은 이것보다 훨씬 나은 정치를 가질 자격이 있다. 기강을 바로 세우겠다”고 말했다.국민의힘은 이날 중앙윤리위원회 구성을 마치고 첫 회의를 열어 김 전 행정관 의혹에 대해 논의할 예정이다.한편 김 전 행정관은 이날SGI서울보증보험 감사직에서 사퇴했다. 김 전 행정관은 회사와 당·정에 부담을 주고 싶지 않다는 이유로 사의를 표한 것으로 알려졌다. 지난해 10월 대통령실을 퇴직한 김 전 행정관은 올해 8월 수억원대 연봉의SGI서울보증보험 상임감사위원으로 임명돼 ‘낙하산’ 논란이 불거졌었다."
2024-10-01,한동훈 “정부투자기관 감사가 좌파 유튜버에 저 공격하라 사주”,"1일 오전 경기 성남시 서울공항에서 열린 건군 76주년 국군의 날 기념식에 참석한 한동훈(가운데) 국민의힘 대표가 우원식 국회의장, 주호영 국회부의장과 인사하고 있다. /연합뉴스한동훈 국민의힘 대표가 1일 “현재 정부 투자 금융기관 감사인 사람이 지난 전당대회 당시 좌파 유튜버와 직접 통화하면서 저를 어떻게든 공격하라고 사주했다고 한다”고 했다.한 대표는 이날 오전 페이스북에 글을 올려 이같이 밝히고 “국민들과 당원들께서 어떻게 보실지 부끄럽고 한심하다”고 했다.한 대표는 해당 인사의 실명을 거론하지는 않았다. 그러나 유튜브 채널 ‘서울의소리’가 최근 통화 녹취를 공개한 김대남 전 대통령실 선임행정관을 겨냥한 발언으로 해석됐다. 김 전 선임행정관은 공공기관인 예금보험공사의 자회사인 서울보증보험에서 상근감사로 있다.서울의소리가 공개한 녹취에 따르면, 김 전 선임행정관은 국민의힘 대표를 선출하는 7·23 전당대회를 앞둔 시점에 서울의소리 관계자와 통화하면서 “김건희 여사가 한동훈 후보 때문에 죽으려고 한다”며 “이번에 잘 기획해서 (한 후보를) 치면 여사가 좋아할 것”이라고 했다.이와 관련해 친한계 김종혁 국민의힘 최고위원은 이날 새벽 페이스북에 글을 올려 “도무지 이해가 안 되는 것은, 대통령실 비서관(김 전 선임행정관을 지칭)이 어떻게 김 여사와의 대화를 공개한 전력이 있는 좌파 매체 서울의소리 기자와 지난해 9월부터 올해 8월까지 무려 11개월이나 통화를 계속 했느냐는 것”이라고 했다. 그러면서 “도대체 대통령실에는 보안 의식, 혹은 기강이란 게 있기는 한 건지 혀를 차게 만든다”고 했다.김 최고위원은 “더 충격적인 것은 통화 내용”이라며 “정치 부패와 공작정치, 좌우를 뛰어넘는 정언유착의 실상이 적나라하게 담겨 있다”고 주장했다. 김 최고위원은 “지난 경선 때 한동훈을 죽이려는 다양한 시도가 있었던 건 알고 있었다”며 “하지만 좌파 매체까지 동원됐으리라곤 상상도 못했다”고 했다.김 최고위원은 “영화와 소설처럼 공작정치 당사자에겐 보상이 주어졌다”며 김 전 선임행정관이 지난 8월 서울보증보험 상근감사로 임명된 것을 거론했다.그는 “한동훈에 대한 공작을 지시한 김대남의 배후가 있는가. 김대남을 스스로 선택한 자리로 보내줄 정도의 막강한 힘이 개입한 것인가”라며 “수사를 통해 누가 배후이고 어떤 공작이 있었는지 명명백백 밝혀져야 한다”고 주장했다."
2024-10-07,與 “이재명 재판 서둘러야” 野 “김여사 공천 심각한 문제”,"7일 열린 국회 법제사법위원회의 대법원(법원행정처) 국정감사에서 여야가 더불어민주당 이재명 대표의 재판을 두고 맞붙었다. 김건희 여사의 이른바 ‘공천 개입’ 논란에 대한 공방도 이어졌다.천대엽 법원행정처장이 7일 오전 서울 여의도 국회 법제사법위원회에서 열린 대법원(법원행정처)·사법연수원 등에 대한 국정감사에서 의원 질의에 답하고 있다. /뉴스1이 대표는 ‘7개 사건 11개 혐의’로 기소돼 4개 재판을 받고 있다. 앞서 검찰은 이 대표의 공직선거법 위반·위증교사 혐의에 대해 각각 징역 2년·징역 3년을 구형했다. 공직선거법 위반 사건은 다음달 15일, 위증교사 사건은 다음달 25일에 1심 선고가 예정돼 있다.여당은 이 대표의 재판이 지연되고 있다는 문제를 제기했다. 곽규택 의원은 “이 대표의 공직선거법 위반 사건은 기소 이후 선고가 나오는 데 2년 이상, 위증교사는 1년 이상 걸리게 됐다”며 “거대 야당의 대표라는 이유만으로 이렇게 재판을 지연시켜도 되는지 굉장한 의구심이 든다”고 했다.장동혁 의원은 이 대표가 불법 대북송금 재판 과정에서 재판부 변경 신청을 한 것에 대해 “아직 첫 번째 공판 준비 기일만 진행돼 공판기일이 진행되지도 않았다. 재판이 시작되기도 전에 피고인이 재판부 변경 요청을 한다고 하는 것은 납득하기 어렵다”고 지적했다.반면 야당은 이 대표에 대한 검찰의 기소가 무리하다 맞섰다. 박균택 의원은 이 대표의 위증교사 사건에 대해 “위증죄는 검찰의 독자적 수사 대상이 아니다. 모법(母法)인 검찰청법을 어기며 입법 정신을 무시한 것”이라며 “위증죄가 검찰의 직접 수사 대상인 경제∙부패 범죄가 맞느냐”며 반박했다.전현희 의원은 검찰이 공직선거법 위반 혐의로 이 대표에 징역 2년을 구형한 것에 대해 “여러 판례를 비교할 때 합당하지 않다”며 “20대, 21대 총선 당시 허위 사실 공표로 선거법 위반 혐의를 받은 자들에 대한 검찰의 구형은 대부분 70∼80만원의 벌금형이었다”고 했다.조희대 대법원장이 7일 국회에서 열린 법제사법위원회의 대법원 등에 대한 국정감사에 출석해 인사말을 하고 있다. /이덕훈 기자법원행정처장, 김 여사 공천 논란에 “적절치 않다”이날 국정감사에서는 김 여사의 이른바 ‘공천 개입 논란’에 대한 공방도 이어졌다. 천대엽 법원행정처장은 김 여사의 공천 개입 논란에 대해 “적절하지 않은 행위”라고 밝혔다.김용민 의원은 대통령실 행정관 출신 김대남씨가 지난 총선 공천에서 탈락한 뒤SGI서울보증에 취업한 것과 관련해 김 여사의 ‘후보자 매수죄’가 성립한다고 주장했다.김 의원은 “김대남씨는 후보 출마를 보기하고 서울보증보험 상근감사위원에 임명돼 수억원의 연봉과 성과급을 보장받았다. 심각한 범죄라 보는데 입장을 밝혀달라”고 천 처장을 향해 물었다.그러자 천 처장은 “맥락을 잘 몰라 특정 사안에 대해 단정적인 말씀을 드리는 건 어렵다”면서도 “적절치는 않은 행위인 것 같다”고 답했다.관련 특검법에 윤석열 대통령이 거부권을 행사한 것에 대해 입장을 묻자, 천 처장은 “대통령 거부권 행사의 헌법적인 한계에 대해서는 학술적으로 많은 논란이 있다”며 “모든 국가 권력이 적절하게 행사돼야 하는 것은 사법부든 입법부든 행정부든 마찬가지”라고 답했다."
2024-10-04,"[사설] 선거 전리품 된 감사 자리, 이대로 둬야 하나","김대남 대통령실 시민소통비서관이 7일 오후 서울 용산구 국방컨벤션에서 열린 사단법인 미래를 준비하는 사람들 창립기념식에서 축사를 하고 있다. 2023.2.7/뉴스1용산 대통령실 선임 행정관 출신인 김대남SGI서울보증보험 상근 감사위원이 좌파 유튜버와 통화한 5시간 녹취록이 공개돼 여권에 파장을 일으키고 있음에도 정상 출근하며 감사 자리를 지키고 있다고 한다. 심지어 대통령을 “꼴통”이라고 비난한 발언까지 공개됐는데도 대통령실 근무 경력을 바탕으로 차지한 자리에서 버티는 것을 보면서 국민은 도대체 어떤 자리이길래 하는 궁금증을 가질 것이다.김씨는 지난 8월 초SGI출근을 앞두고 한 통화에서 “감사는 2인자라도 사장이 뭐라 못 하는 자리” “그냥 만고땡. 사실 사장보다 편하다”고 했다. 김씨는 또 “연봉도 다른 공기업보다 세지. 제네시스 G80 나오고 운전기사 붙여주고 비서 생기고”라며 “내가 선택했지. 찍어가지고. 다른 데는 (임기) 2년인데 여기는 3년이니까”라고 했다.SGI는 준 정부 기관인 예금보험공사가 지분 90% 이상을 소유한 자회사인데, 감사 연봉은 기본급(1억6000만원)에 성과급까지 합해 2억4000만~3억6000만원 수준이고, 법인 카드도 별도로 월 470만원까지 쓸 수 있다.공공기관 감사는 겉으로 드러나지 않으면서 억대 연봉에 업무 강도도 세지 않아 정치권 인사들 사이에서 ‘꽃보직’으로 변질한 지 오래다. 전임 문재인 정부 때 “보은 인사는 없다”고 해놓고 임기 끝나기 직전까지 공공기관 감사 자리에 대선 캠프나 청와대 출신의 전문성 없는 정치권 인사를 마구 내리꽂았다. “문 정부 출범 이후 약 83%가 ‘낙하산 감사’ 의혹”이라고 당시 야당이던 국민의힘 측이 분석 자료를 냈다. 그래 놓고 여야가 바뀌어도 달라진 건 없다. 윤석열 정부 초반에 단행한 25기관의 상임감사 인선 중 80%가 정치권 출신이었다. 에너지 공기업의 경우, 2013년부터 2023년까지 10년간 한국전력과 한국가스공사의 상임 감사 10명 중 7명이 대선 캠프에 참여하거나 출마 경력이 있는 정치권 인사였다.이 고질적 ‘낙하산 감사’를 개선하겠다고 지난 2020년 ‘공공기관의 운영에 관한 법률’을 개정해 공인 회계사 또는 변호사로 3년 이상 경력이 있거나, 감사 업무를 3년 이상 담당한 사람 등으로 자격 조건을 구체화했지만, 시행령에 1년 이상 정당·시민단체 등에서 근무한 경력도 가능하도록 예외 규정을 두어 있으나 마나 한 법 개정이 됐다. 전문성 강화는커녕 온갖 정치 백수가 머물렀다 가는 통로가 됐다. 정권 전리품이 돼버린 감사 자리를 이대로 둘 것인지 심각하게 검토할 필요가 있다."
2024-05-23,"금융공공기관, 작년 취약층 빚 13조원 대신 갚아","대위변제액 2배 이상 급증지난해 고금리·고물가 등으로 빚을 제때 갚지 못한 대출자가 급증하면서 금융공공기관이 대신 갚아주는 대위변제액이 전년보다 2배 이상 급증한 것으로 나타났다.22일 더불어민주당 오기형 의원실이 13개 금융 공공기관·금융공기업에서 제출받은 자료에 따르면, 이들의 지난해 대위변제액은 13조4412억원으로 전년의 5조8297억원보다 130.6% 급증했다. 대위변제는 대출자가 원금을 갚지 못할 때 정책기관이 대신 빚을 갚아주는 것을 말한다.13개 기관은 주택도시보증공사·주택금융공사·서울보증보험·서민금융진흥원·신용보증기금·지역신용보증재단·기술보증기금·수출입은행·산업은행·중소기업은행·한국무역보험공사·해양진흥공사·한국자산관리공사 등이다.이 중 주택도시보증공사의 대위변제액 규모가 가장 컸다. 주택도시보증공사의 지난해 대위변제액은 4조9229억원으로 전년의 1조581억원보다 365.3%나 급증했다. 전세 사기와 전세금 반환보증 사고가 늘어난 영향으로 보인다.자영업자와 소상공인의 경영난이 심화하면서 신용보증기금의 대위변제액은 2022년 1조3599억원에서 지난해 2조2759억원으로 67.4% 증가했고, 지역신용보증재단 대위변제액도 같은 기간 5076억원에서 1조7126억원으로 237.4% 급증했다.서민금융진흥원은 같은 기간 3673억원에서 1조149억원으로, 서울보증보험은 1조2409억원에서 1조6464억원 등으로 대위변제액이 증가했다. 또 주택금융공사는 3375억원에서 6357억원으로, 기술보증기금은 4946억원에서 9596억원으로 늘었다."
