date,title,content
2023-12-08,세아그룹 2024 정기 인사,"세아그룹이 승진 22명, 신규 임원 선임 2명이 포함된 정기 인사를 8일 발표했다. 세아그룹은 “국내외 경영 환경의 흐름을 빠르게 파악하고 미래를 대비하는 통찰력, 안전·환경·거버넌스 등 기업의 사회적 책임과 투명성을 강화하기 위한 전문성, 변화를 선도하는 혁신가 정신을 지닌 인재를 중용했다”고 밝혔다.세아그룹은 “고물가 및 저성장 장기화에 따른 글로벌 경기 침체, 이념 대립 및 분쟁 심화, 신기술 출현으로 인한 시장 패러다임 변화 등 격동하는 경영 환경 속에서도, 지속 가능한 기업을 향한 세아인들의 합심과 노력, 풍부한 경험에서 다져진 자신감, 가치 중심적 조직문화를 바탕으로 슬기롭게 대처해 나갈 방침”이라고 밝혔다.<승진>○ 부 사 장동아스틸               조 진 호 (이상 1명)○ 전    무세아제강               조 영 빈세아베스틸           서 한 석 (이상 2명)○ 상    무세아제강지주       손 성 활세아제강              조 희 현세아베스틸          윤 찬 식 (이상 3명)○ 이 사 보세아제강지주      정 성 환세아제강지주      공 봉 용세아제강             김 익 곤세아제강             박 기 성세아제강             양 흥 모세아제강             김 희 대세아제강             이 영 재세아베스틸지주   강 동 필세아베스틸         김 대 호세아베스틸         장 영 수세아베스틸         정 준 용세아창원특수강  강 대 철세아창원특수강  손 성 준세아창원특수강  신 남 도세아창원특수강  이 승 헌동아스틸  김 동 주 (이상 16명)<신규 선임>○ 이    사세아베스틸       김 동 열 (이상 1명)○ 이 사 보세아홀딩스       김 윤 정 (이상 1명)발령일자: 2024. 1. 1 부"
2023-02-27,"세아 그룹주,  일론 머스크 ‘스페이스X’ 납품설에 급등","세아그룹CI27일 오전 세아그룹 주가 일제히 강세를 보이고 있다. 테슬라CEO인 일론 머스크가 이끄는 스페이스X와 납품 계약을 논의 중이라는 소식에 매수세가 몰렸다는 분석이 나온다.27일 오전 10시 40분 기준 세아베스틸지주는 전일 대비 가격 상승 제한폭인 5480원(29.83%)까지 급등한  2만3850원에 거래 중이다. 같은 시간 세아특수강(24%), 세아홀딩스(17%), 세아메카닉스(2.2%), 세아제강(1.7%) 등도 일제히 상승 중이다.이러한 급등세는 세아그룹 계열사인 세아창원특수강이 스페이스X와 특수합금 공급 계약을 맺기 위한 협상에 착수했다는 소식이 영향을 미친 것으로 풀이된다. 세아창원특수강은 세아그룹 중간지주사인 세아베스틸지주의 100% 자회사다. 세아그룹 측은 이번 계약설에 대해 “확인해줄 수 없다”는 입장이다."
2022-01-20,“치킨집인데 치킨은 안 판다?” 연이은 물적분할에 뿔난 개미들 [왕개미연구소],"물적분할 나선 세아베스틸 14% 급락세아베스틸 군산공장“철강회사가 철강 부분을 분할한다니, 이게 무슨 소린가요. 치킨집에서 치킨을 안 판다는 얘긴가요?”(세아베스틸 주주 A씨)“세아홀딩스, 세아제강지주, 이번엔 세아베스틸지주?? 적당히 좀 하세요.”(Y증권사 애널리스트)“곧 정부에서 물적분할 규제한다고 하니까 서둘러서 발표하는 겁니까? 한국 기업 클라스는 진짜...”(소액주주 이모씨)20일 특수강 제조기업인 세아베스틸이 물적분할을 통한 지주회사 전환을 결정했다고 밝히면서 소액 주주들의 분노 게이지가 폭발하고 있다.이날 유가증권 시장에서 세아베스틸은 전날보다 13.83% 하락한 1만4950원에 거래를 마쳤다. 오후 2시쯤 물적분할 공시가 나오면서 주가가 무너졌다세아베스틸은 특수강 제조 등 사업 부문 일체를 물적분할해서 세아베스틸(가칭)을 신설한다고 이날 공시했다. 분할 기일은 4월 1일. 분할 존속회사는 상호를 세아베스틸지주(가칭)로 변경해 지주회사로 전환하기로 했다.회사 측은 “특수강 사업에 특화된 전문적이고 체계적인 관리 및 자회사의 수평적 시너지 창출을 위해 지주사 전환을 결정했다”고 밝혔다.세아베스틸은 지주회사 체제로 전환하지만, 신설회사IPO(기업공개) 계획은 세우지 않은 것으로 알려졌다. 하지만 난데없는 물적분할 소식을 접한 소액 주주들은 황당할 뿐이다.세아베스틸 주주 이모씨는 “물적분할을 하게 되면 개미들은 쪽박차고, 오로지 대주주만 공모를 통해 대박을 친다”면서 “입법기관은 기존 주주들에 대한 보호 장치 없는 물적 분할을 금지하는 제도를 만들어야 한다”고 주장했다.최근 국내 증시에서는 물적분할에 나서는 기업들이 줄잇고 있다. 올해IPO대어라고 하는SSG닷컴은 이마트에서 쪼개져 나왔고,CJENM도 콘텐츠 제작 부문을 물적분할한다는 계획이다. 또 포스코,NHN,만도, 한화솔루션 등도 전부 물적분할 계획을 발표했다. 본업보다 오히려 물적분할로 수익을 더 많이 올리는 카카오와SK그룹 역시 또다시 자회사를 떼어내서 상장할 계획이다.물적분할을 하게 되면 모(母)회사 주주들에겐 불리하다. 알짜 자회사가 상장하면 그만큼 모회사의 기업 가치가 낮아지고, 주가도 내리막길을 걷게 된다. 하지만 기업들의 생각은 다르다. 유상증자를 하면 기존 지배 주주의 보유 주식 비중이 줄어들어 불리하지만, 물적분할을 하면 돈은 돈대로 유치하면서 모회사 지분을 그대로 보유할 수 있어 유리하다.대선 주요 후보들은 물적분할 제도를 손보겠다면서 표심잡기에 나선 상태다. 물적분할한 기업이 증시 상장을 할 때 기존 주주들에게 신주를 먼저 배정하게 하는 것이 골자다."
2023-12-09,[경제계 인사] 호반건설계열 외,▲호반건설계열▷부사장 변부섭▷전무 김철희▷상무 박종삼 이진섭▷대외협력실장 겸 서울미디어홀딩스 대표이사 이종락▷재무관리실장 김철희▷대전용산개발 대표이사 정성기▷호반자산개발 대표이사 김동남▲호반산업 계열▷티에스써밋 대표이사 변경수▲대한전선▷상무 노재준▲호반골프▷호반써밋 대표이사 김석진▷호반서서울 대표이사 이은래▷호반USA대표이사 박공석▲세아제강지주▷상무 손성활▷이사보 정성환 공봉용▲세아제강▷전무 조영빈▷상무 조희현▷이사보 김익곤 박기성 양흥모 김희대 이영재▲세아홀딩스▷이사보 김윤정▲세아베스틸지주▷이사보 강동필▲세아베스틸▷전무 서한석▷상무 윤찬식▷이사 김동열 ▷이사보 김대호 장영수 정준용▲세아창원특수강▷이사보 강대철 손성준 신남도 이승헌▲동아스틸▷부사장 조진호 ▷이사보 김동주
2022-12-14,[경제계 인사] 대원제약 총괄사장 백인환 외,대원제약은 마케팅본부장 백인환(38) 전무를 경영 총괄 사장으로 승진 임명했다고 13일 밝혔다. 백 사장은 창업주인 고(故) 백부현 선대 회장의 장손이며 2세인 현 백승호 회장의 장남이다. 임기는 내년 1월 1일부터 시작이다.▲대원제약▷부사장 임한일 조봉철 김주일▲세아제강지주▷이사보 김정욱 김철홍▲세아제강▷상무 이상호▷이사 조현용▷이사보 김주봉 한사진▲세아베스틸지주▷전무 양영주▲세아베스틸▷부사장 김용진▷이사보 김대영▲세아창원특수강▷사장 이상은▷전무 채민석▷상무 박건훈▷이사 김호경▷이사보 김종호▲세아특수강▷이사보 강동균▲세아메탈▷이사 주형백▷이사보 이준기▲세아씨엠▷부사장 김동규▲세아엠앤에스▷이사 김경수▷이사보 조성각▲세아엘앤에스▷이사보 이정환▲세아항공방산소재▷이사 장창범▲동아스틸▷이사보 설인수
2024-07-11,"[기업 브리핑] 美에 공장 건설, 특수합금 시장 진출",세아베스틸지주의 자회사인 세아창원특수강은 미국 텍사스주 템플시에 1억1000만달러(약 1520억원)를 투자해 공장을 건설하고 미 특수합금 시장에 진출한다고 10일 밝혔다. 2026년 준공되는 이 공장은 연간 6000t 규모의 특수합금 생산 능력을 갖출 예정이다.
2022-11-08,빈살만 방한에 출렁이는 네옴시티株 … 따져봐야 할 항목은,"22일(현지 시각) 터키 수도 앙카라를 방문한 무함마드 빈 살만(가운데) 사우디아라비아 왕세자가 레제프 타이이프 에르도안(오른쪽) 터키 대통령과 공식 환영 행사가 열린 대통령 청사로 향하며 손을 흔들고 있다. 사우디의 실질적인 통치자인 빈 살만 왕세자가 터키를 방문한 것은 2018년 사우디 출신 언론인 자말 카슈끄지가 터키에서 살해된 이후 처음이다. /AFP연합뉴스무함마드 빈살만 사우디아라비아 왕세자의 방한 일정이 구체화되는 가운데, 사우디의 대규모 건설 프로젝트인 ‘네옴시티’와 관련됐다는 종목들 주가가 출렁이는 모습을 보이고 있다.8일 한국거래소에 따르면, 이날 이른바 ‘네옴시티 관련주’로 꼽히는 토목업체 도화엔지니어링 주가는 전거래일 대비 4.8% 오른 1만850원에 마감됐다. 이날 장 초반엔 12% 가까이 치솟기도 했다. 역시 네옴시티 관련주로 분류되는 건설업체 코오롱글로벌도 이날 장 초반 10% 이상 상승했다가 내렸다.이는 앞서 이날 개장 전에 빈살만 사우디 왕세자가 오는 17일 방한할 가능성이 높다는 언론 보도가 나온 데 따른 것으로 풀이된다. 네옴시티는 사우디가 오는 2030년까지 700조원 가량을 들여 북서부 홍해 인근에 대규모 신도시를 건설하는 사업인데, 빈살만 왕세자의 방한이 한국 건설·토목기업의 네옴시티 사업 수주에 호재로 작용할 것이란 기대감을 불러일으키기 때문이다.앞서 지난 2일에도 빈살만 왕세자가 이달 방한 가능성이 유력하다는 보도가 나오자, 당일과 다음날 이틀에 걸쳐 도화엔지니어링 주가는 22% 급등했다. 같은 기간 한미글로벌(+7%), 세아베스틸지주(+5%) 등도 상승세를 보였다. 반면, 지난달엔 빈살만 방한이 무산되거나 연기될 것이란 소식이 전해지자 관련주들은 급락세를 보였다.증권업계 전문가들은 “구체적인 수주 실적 없이, 단순히 빈살만 왕세자의 방한 여부를 가지고 호재로 보는 것은 근거가 부족하다’고 말한다. 이 같은 소식에 일부 종목이 뜨고 지는 것은 대부분 심리적인 요인 때문이라는 것이다.이른바 ‘네옴시티 관련주’로 묶이는 종목들도 잘 구분해서 봐야한다는 지적이 나온다. 업계에 따르면, 현재까지 실제로 네옴시티 사업을 수주한 국내 기업은 현대건설과 삼성물산, 한미글로벌 정도다. 나머지 종목들은 과거 사우디 건설 사업 경험이 있다거나 사우디 회사와 합작을 하는 등 간접적인 연관성밖에 없다는 것이다.이태환 대신증권 연구원은 “회사 공시 등으로 네옴시티 사업과의 연관성이 입증된 3사보다, 오히려 관련성이 명확하지 않은 중소주들이 빈살만 왕세자 방한 소식에 더 민감하게 반응하는 경향을 보인다”며 “투자시 구체적인 수주 가능성 여부를 잘 따져봐야 한다”고 말했다."
2022-08-08,"세아창원특수강, 아람코와 합작법인 설립...중동 공략",세아창원특수강의 스테인리스 무계목 강관 제품/세아세아창원특수강이 사우디아라비아 국영 석유기업 아람코와 함께 합작법인을 설립하고 중동 시장 공략에 나선다. 세아창원특수강은 세아그룹의 특수강사업지주사인 세아베스틸지주의 자회사다.세아창원특수강은 아람코가 대주주인 사우디 산업투자공사와 함께 사우디 현지 합작법인SGSI(SeAHGulfSpecialSteelIndustries) 설립을 마무리했다고 8일 밝혔다. 양사는 앞서 지난해 9월 2억3000만달러(약 3000억원)를 투자해 현지에 스테인리스 무계목 강관·튜브 공장을 설립하기로 계약을 맺었다. 무계목 강관은 용접 부위가 없어 내구성이 더 강한 제품을 말한다.SGSI는 최근 한국·유럽연합(EU)·사우디·중국을 포함한 6국에 기업결합 신고를 완료했다.SGSI공장은 아람코가 사우디 동부 지역에 에너지 산업 국제 허브로 조성 중인 ‘킹 살만 에너지 파크’ 내에 설립된다. 이 공장은 연산 1만7000t 규모의 고부가 스테인리스 무계목 강관·튜브 제품을 생산할 예정이다. 올해 4분기 착공하고 2025년 상반기 양산을 시작한다.세아창원특수강 관계자는 “SGSI는 사우디 정부의 대규모 국책사업 프로젝트를 시작으로 사우디뿐 아니라 중동 시장 공략의 중심지 역할을 맡는다”고 말했다.
2023-01-04,풍력·2차전지로… ‘철강 불황’ 넘는 철강기업들,"신사업 늘리고 고부가 제품에 활로동국제강은 오는 6월 1일을 목표로 지주사 ‘동국홀딩스’ 출범을 추진하고 있다. 설립 69년 만의 지주사 체제 전환이다. 이를 통해 향후 철강 사업에서 각각 열연과 냉연 사업을 맡을 신설 법인 동국제강과 동국씨엠(가칭)을 두고 동국홀딩스는 그룹 컨트롤 타워 역할을 맡아 장기적인 성장 동력을 발굴한다는 계획이다.지주사 전환 후 친환경 철강 제품 중심의 ‘스틸 포 그린(SteelforGreen)’ 성장 전략에 속도를 내게 된다. 올해 이사회 복귀 가능성이 큰 장세주 동국제강 회장이 동국홀딩스를 이끌 전망이다.작년 하반기 글로벌 경기 침체 여파로 부진한 실적을 냈던 철강업계가 고부가 제품 집중 육성을 통한 수익성 개선과 해상풍력 발전 장비 같은 신사업 확대에 적극 나서고 있다. 철강 사업에만 의존할 경우 업황에 좌우되는 한계를 극복하기 위해 지주사 체제로 경영 구도를 재편하고 신사업 비중을 늘리는 흐름도 이어지고 있다.항공·방산·전기차 소재, 해상풍력까지 사업 확대냉연 사업을 맡은 동국씨엠은 ‘DK컬러비전 2030′ 경영 전략으로 고부가 상품인 컬러강판 사업을 확대한다. 철강에 디자인을 입힌 컬러강판은 대리석이나 나무 같은 원하는 소재와 무늬 질감을 구현해 고급 가전과 건축 내·외장재에 쓰이는 고부가 제품이다. 작년 개발에 성공한 바이오매스를 60% 이상 사용한 친환경 컬러강판도 올해 상업화에 나설 예정이다. 동국제강 관계자는 “2030년 컬러강판 매출 2조원을 목표로 현재 인도, 태국, 멕시코 3국 거점을 북미, 유럽까지 확대해 7국, 8개 거점으로 확장할 계획”이라고 했다.세아홀딩스와 세아제강지주 양대 지주회사 체제로 운영 중인 세아그룹은 해양 풍력발전 설비, 전기차 소재와 같은 신사업 투자에 적극 나서고 있다. 세아제강지주의 해외 법인 세아윈드는 해상풍력 발전 비중이 높은 유럽 지역에서 해상풍력 하부 구조물인 ‘모노파일’ 사업을 확대하고 있다. 작년 7월 연 24만t 규모의 영국 현지 공장을 착공했으며, 2024년 2분기 본격적으로 가동에 들어간다. 영국에서 대규모 해상풍력 발전 프로젝트를 추진 중인 덴마크의 다국적 기업 오스테드(Orsted)로부터 작년 9월 3억6400만파운드(약 5600억원) 규모의 모노파일 공급 계약도 따냈다.특수강 사업에 주력하는 세아베스틸은 전기차·수소차 위주로 전환되고 있는 자동차 시장 패러다임에 맞춰 완성차 업체와 함께 내연기관 대비 강도가 높은 특수강 소재를 개발·생산하고 있다. 무게는 줄이되 에너지 효율을 높일 수 있는 특수강 소재 로터샤프트(동력 계통 부품)를 생산하는 동시에 전기차 엔진용 베어링도 개발 중이다. 작년 6월에는 자회사 세아창원특수강이 한국항공우주산업(KAI)과 ‘위드 코리아 팀’ 컨소시엄을 구성해 알루미늄, 타이타늄 같은 항공기용 부품 국산화 사업도 확대했다.포스코, 현대제철 특화 신사업 확대작년 포스코홀딩스 지주사 체제로 전환한 포스코그룹은 철강 기업에서 ‘친환경 미래 소재’ 기업으로 전환을 발표하고 2차 전지 소재 사업을 확대하고 있다. 아르헨티나 리튬 개발에 이어 전량 수입하던 인조 흑연 음극재 국산화를 위해 포항에 올해 완공을 목표로 연간 1만6000t(전기차 42만대 공급량) 규모 공장을 조성 중이다현대제철은 최대 고객사인 현대차와 기아에 공급하기 위한 친환경차 강판 개발을 확대하고, 자동차 소재 전문 브랜드 ‘H솔루션’을 중심으로 자동차용 소재 개발에 힘을 쏟고 있다. 대표적인 것이 차량 경량화에 특화된 전기차용 ‘핫스탬핑강’이다. 이 강판은 기존 소재보다 강도는 20% 높고 무게는 10% 정도 가볍다. 현대제철 관계자는 “초고강도 소재와 충돌 규정 강화를 대비한 신강종 개발을 통해 글로벌 수주를 확대할 것”이라고 했다."
2024-12-04,12월5일 인사,⊙ 국민일보 <편집국> △산업2부장 문수정 △디지털뉴스센터 디지털뉴스부장 박지훈 △〃 콘텐츠랩장 강준구 <종교국> △부국장 신상목 △종교부장 우성규 △미션탐사부장 조민영 <문화정책국> △부국장 박재찬⊙ 농협그룹 <승진> 농협금융지주 △부사장 황종연 농협은행 △부행장 김성훈 박내춘 박도성 백남성 양재영 엄을용 이영우 이청훈 최동하 최운재 황준구 △부행장보 △정태영(전 농협생명 정보보호최고책임자) ◇본부장 △경기 김성록△전북 김성훈 △전남 류종필 △경북 김주원 △제주 고은정 △부산 정민규 △대구 손영민 △인천 오승철 △광주 장재영 △대전 황진선 △울산 백창훈 농협생명 △부사장 김기동 임도곤 농협중앙회 ◇상무 △교육지원 이광수 조은주 △상호금융 김기관 정재헌 ◇상무보 △교육지원 윤재춘 이영규 △상호금융 김민자 ◇본부장 △경기 엄범식 △충북 이용선 △충남 정해웅 △전북 이정환 △전남 이광일 △경북 최진수 △경남 류길년 △제주 고우일 △서울 맹석인 △부산 이수철 △대구 전경수△울산 이종삼 농협경제지주 ◇상무 △농업경제 정승일 △축산경제 공형식 최강필⊙ 삼성그룹 <승진> 삼성웰스토리 △상무 공영수 김상신 변제욱 삼성물산 <상사부문> △부사장 조희섭 최석  △상무 김형국 배정환 이일한 정용수 조영진 <건설부문> △부사장 김성준 김영래 장병윤 조혜정 △상무 강신혁 김주영 노정수 류길상 윤동훈 윤준영 임진석 정환우 형시원 <패션부문> △상무 송태근 <리조트부문> △상무 정태진 삼성이엔에이 △부사장 윤형식 이형우 △상무 이동헌 이정은 이진 정상묵 정영훈 조동만 조유식 최성필 삼성중공업 △부사장 임종진 △상무 민준호 박용구 허희영 △마스터 방창선 삼성재단 △상무 최인 이정진 제일기획  △부사장 기민수 △상무 김우성 박대훈 인고은 에스원  △부사장 강항식 이동성 이민정 △상무 강창우 김현국 신재형 오인선 호텔신라 △부사장 김준환 △상무 안재호 윤재필⊙ 세아그룹 <승진> △부사장 세아항공방산소재 성창모 ◇상무 △세아제강 최영준 △세아베스틸 김동혁 △세아특수강 서태복 이종탁 ◇이사 △세아제강 박춘섭 △세아베스틸지주 신완철 전남철 △세아베스틸 김영환 △세아창원특수강 이영생 김대연 △세아씨엠 허성화 ◇선임 △세아씨엠 대표이사 조진호 △동아스틸 〃 최영준⊙ 에이치에스효성 <승진> ◇부사장 △지원본부장 신덕수 △효성 홀딩스USACEO이종복 에이치에스효성첨단소재 ◇전무 △지원실 임원 박형민 ◇상무 △TechnicalYarnPU장 주정권 △미래전략실 미래전략 담당 김태원 ◇상무보 △타이어보강재PUSCTO이충열 △PR1팀장 한창석 △지원실 총무팀 김석범
