date,title,content
2024-03-15,[경제계 인사] 세아제강 홍만기 부사장 대표이사로 외,세아제강 홍만기 부사장 대표이사로세아제강은 홍만기 부사장을 대표이사로 신규 선임했다고 14일 밝혔다. 홍 신임 대표이사는 이휘령 대표이사(부회장)와 각자 대표를 맡는다.위메이드 신임 대표이사 박관호위메이드는 14일 이사회 결의로 박관호 의장을 신임 대표이사에 선임했다.컴투스 신임 대표에 남재관게임 기업 컴투스가 남재관 사업경영담당 부사장을 대표로 14일 내정했다.
2023-12-08,세아그룹 2024 정기 인사,"세아그룹이 승진 22명, 신규 임원 선임 2명이 포함된 정기 인사를 8일 발표했다. 세아그룹은 “국내외 경영 환경의 흐름을 빠르게 파악하고 미래를 대비하는 통찰력, 안전·환경·거버넌스 등 기업의 사회적 책임과 투명성을 강화하기 위한 전문성, 변화를 선도하는 혁신가 정신을 지닌 인재를 중용했다”고 밝혔다.세아그룹은 “고물가 및 저성장 장기화에 따른 글로벌 경기 침체, 이념 대립 및 분쟁 심화, 신기술 출현으로 인한 시장 패러다임 변화 등 격동하는 경영 환경 속에서도, 지속 가능한 기업을 향한 세아인들의 합심과 노력, 풍부한 경험에서 다져진 자신감, 가치 중심적 조직문화를 바탕으로 슬기롭게 대처해 나갈 방침”이라고 밝혔다.<승진>○ 부 사 장동아스틸               조 진 호 (이상 1명)○ 전    무세아제강               조 영 빈세아베스틸           서 한 석 (이상 2명)○ 상    무세아제강지주       손 성 활세아제강              조 희 현세아베스틸          윤 찬 식 (이상 3명)○ 이 사 보세아제강지주      정 성 환세아제강지주      공 봉 용세아제강             김 익 곤세아제강             박 기 성세아제강             양 흥 모세아제강             김 희 대세아제강             이 영 재세아베스틸지주   강 동 필세아베스틸         김 대 호세아베스틸         장 영 수세아베스틸         정 준 용세아창원특수강  강 대 철세아창원특수강  손 성 준세아창원특수강  신 남 도세아창원특수강  이 승 헌동아스틸  김 동 주 (이상 16명)<신규 선임>○ 이    사세아베스틸       김 동 열 (이상 1명)○ 이 사 보세아홀딩스       김 윤 정 (이상 1명)발령일자: 2024. 1. 1 부"
2023-12-09,[경제계 인사] 호반건설계열 외,▲호반건설계열▷부사장 변부섭▷전무 김철희▷상무 박종삼 이진섭▷대외협력실장 겸 서울미디어홀딩스 대표이사 이종락▷재무관리실장 김철희▷대전용산개발 대표이사 정성기▷호반자산개발 대표이사 김동남▲호반산업 계열▷티에스써밋 대표이사 변경수▲대한전선▷상무 노재준▲호반골프▷호반써밋 대표이사 김석진▷호반서서울 대표이사 이은래▷호반USA대표이사 박공석▲세아제강지주▷상무 손성활▷이사보 정성환 공봉용▲세아제강▷전무 조영빈▷상무 조희현▷이사보 김익곤 박기성 양흥모 김희대 이영재▲세아홀딩스▷이사보 김윤정▲세아베스틸지주▷이사보 강동필▲세아베스틸▷전무 서한석▷상무 윤찬식▷이사 김동열 ▷이사보 김대호 장영수 정준용▲세아창원특수강▷이사보 강대철 손성준 신남도 이승헌▲동아스틸▷부사장 조진호 ▷이사보 김동주
2023-01-04,풍력·2차전지로… ‘철강 불황’ 넘는 철강기업들,"신사업 늘리고 고부가 제품에 활로동국제강은 오는 6월 1일을 목표로 지주사 ‘동국홀딩스’ 출범을 추진하고 있다. 설립 69년 만의 지주사 체제 전환이다. 이를 통해 향후 철강 사업에서 각각 열연과 냉연 사업을 맡을 신설 법인 동국제강과 동국씨엠(가칭)을 두고 동국홀딩스는 그룹 컨트롤 타워 역할을 맡아 장기적인 성장 동력을 발굴한다는 계획이다.지주사 전환 후 친환경 철강 제품 중심의 ‘스틸 포 그린(SteelforGreen)’ 성장 전략에 속도를 내게 된다. 올해 이사회 복귀 가능성이 큰 장세주 동국제강 회장이 동국홀딩스를 이끌 전망이다.작년 하반기 글로벌 경기 침체 여파로 부진한 실적을 냈던 철강업계가 고부가 제품 집중 육성을 통한 수익성 개선과 해상풍력 발전 장비 같은 신사업 확대에 적극 나서고 있다. 철강 사업에만 의존할 경우 업황에 좌우되는 한계를 극복하기 위해 지주사 체제로 경영 구도를 재편하고 신사업 비중을 늘리는 흐름도 이어지고 있다.항공·방산·전기차 소재, 해상풍력까지 사업 확대냉연 사업을 맡은 동국씨엠은 ‘DK컬러비전 2030′ 경영 전략으로 고부가 상품인 컬러강판 사업을 확대한다. 철강에 디자인을 입힌 컬러강판은 대리석이나 나무 같은 원하는 소재와 무늬 질감을 구현해 고급 가전과 건축 내·외장재에 쓰이는 고부가 제품이다. 작년 개발에 성공한 바이오매스를 60% 이상 사용한 친환경 컬러강판도 올해 상업화에 나설 예정이다. 동국제강 관계자는 “2030년 컬러강판 매출 2조원을 목표로 현재 인도, 태국, 멕시코 3국 거점을 북미, 유럽까지 확대해 7국, 8개 거점으로 확장할 계획”이라고 했다.세아홀딩스와 세아제강지주 양대 지주회사 체제로 운영 중인 세아그룹은 해양 풍력발전 설비, 전기차 소재와 같은 신사업 투자에 적극 나서고 있다. 세아제강지주의 해외 법인 세아윈드는 해상풍력 발전 비중이 높은 유럽 지역에서 해상풍력 하부 구조물인 ‘모노파일’ 사업을 확대하고 있다. 작년 7월 연 24만t 규모의 영국 현지 공장을 착공했으며, 2024년 2분기 본격적으로 가동에 들어간다. 영국에서 대규모 해상풍력 발전 프로젝트를 추진 중인 덴마크의 다국적 기업 오스테드(Orsted)로부터 작년 9월 3억6400만파운드(약 5600억원) 규모의 모노파일 공급 계약도 따냈다.특수강 사업에 주력하는 세아베스틸은 전기차·수소차 위주로 전환되고 있는 자동차 시장 패러다임에 맞춰 완성차 업체와 함께 내연기관 대비 강도가 높은 특수강 소재를 개발·생산하고 있다. 무게는 줄이되 에너지 효율을 높일 수 있는 특수강 소재 로터샤프트(동력 계통 부품)를 생산하는 동시에 전기차 엔진용 베어링도 개발 중이다. 작년 6월에는 자회사 세아창원특수강이 한국항공우주산업(KAI)과 ‘위드 코리아 팀’ 컨소시엄을 구성해 알루미늄, 타이타늄 같은 항공기용 부품 국산화 사업도 확대했다.포스코, 현대제철 특화 신사업 확대작년 포스코홀딩스 지주사 체제로 전환한 포스코그룹은 철강 기업에서 ‘친환경 미래 소재’ 기업으로 전환을 발표하고 2차 전지 소재 사업을 확대하고 있다. 아르헨티나 리튬 개발에 이어 전량 수입하던 인조 흑연 음극재 국산화를 위해 포항에 올해 완공을 목표로 연간 1만6000t(전기차 42만대 공급량) 규모 공장을 조성 중이다현대제철은 최대 고객사인 현대차와 기아에 공급하기 위한 친환경차 강판 개발을 확대하고, 자동차 소재 전문 브랜드 ‘H솔루션’을 중심으로 자동차용 소재 개발에 힘을 쏟고 있다. 대표적인 것이 차량 경량화에 특화된 전기차용 ‘핫스탬핑강’이다. 이 강판은 기존 소재보다 강도는 20% 높고 무게는 10% 정도 가볍다. 현대제철 관계자는 “초고강도 소재와 충돌 규정 강화를 대비한 신강종 개발을 통해 글로벌 수주를 확대할 것”이라고 했다."
2022-12-14,[경제계 인사] 대원제약 총괄사장 백인환 외,대원제약은 마케팅본부장 백인환(38) 전무를 경영 총괄 사장으로 승진 임명했다고 13일 밝혔다. 백 사장은 창업주인 고(故) 백부현 선대 회장의 장손이며 2세인 현 백승호 회장의 장남이다. 임기는 내년 1월 1일부터 시작이다.▲대원제약▷부사장 임한일 조봉철 김주일▲세아제강지주▷이사보 김정욱 김철홍▲세아제강▷상무 이상호▷이사 조현용▷이사보 김주봉 한사진▲세아베스틸지주▷전무 양영주▲세아베스틸▷부사장 김용진▷이사보 김대영▲세아창원특수강▷사장 이상은▷전무 채민석▷상무 박건훈▷이사 김호경▷이사보 김종호▲세아특수강▷이사보 강동균▲세아메탈▷이사 주형백▷이사보 이준기▲세아씨엠▷부사장 김동규▲세아엠앤에스▷이사 김경수▷이사보 조성각▲세아엘앤에스▷이사보 이정환▲세아항공방산소재▷이사 장창범▲동아스틸▷이사보 설인수
2024-11-11,반도체·화장품까지 타깃… 행동주의 펀드 공격 10배 급증,"지분 매입·경영 개입, 왜 늘어났나그래픽=이철원지난 6일 미국 달튼인베스트먼트가 화장품 기업 한국콜마의 지주사인 콜마홀딩스 지분 5.02%를 보유하고 있다고 공시했다. 달튼은 올 초부터 지분을 사들여 오다가, 상장사 주식 5% 이상을 매입하면 공시해야 하는 ‘5% 규정’에 따라 정체가 드러난 것이다. 달튼은 투자 목적을 ‘단순 투자’로 밝혔으나, 업계에선 조만간 주주 환원 확대를 앞세운 행동주의 운동에 나설 것으로 보고 있다. 달튼은 2019년 현대홈쇼핑, 2020년 삼영무역, 2022년SK그룹을 상대로 ‘주주 환원 확대’를 요구한 전례가 있다.그 이튿날인 7일KT&G는 국내 행동주의 펀드 플래쉬라이트 캐피탈 파트너스(FCP)의 투자 의향서를 사실상 거부하는 회신을 보냈다.FCP는 지난달KT&G 경영진에 자회사KGC인삼공사 지분의 100%를 1조9000억원에 인수하겠다는 일방적 투자 의향서를 보낸 바 있다. 인삼공사를 매물로 내놓지도 않았고, 불과 1년 전KT&G가 3대 핵심 사업으로 키우겠다고 발표했는데FCP가 ‘실적이 악화되고 있다’고 주장하며 느닷없이 인수를 제안한 것이다.KT&G는 “당사와 주주들, 시장에 혼란을 초래하지 않도록 유의해 달라”고 회신했다.3~4세 경영 대기업 겨냥… 행동주의 펀드 공세내년 주주총회 철을 앞두고 행동주의 펀드들이 본격적 움직임에 나서고 있다. 행동주의 펀드는 특정 기업 주식을 대량 매수한 뒤, 기업 의사 결정에 영향을 끼쳐 이익을 추구하는 펀드를 뜻한다. 이사회 구성을 바꾸라 요구하고, 주주총회에 안건을 제안하거나, 위임장 대결을 하겠다고 선언하며 협상에 나서는 등 다양한 방식으로 기업 경영에 개입한다.그래픽=이철원행동주의 펀드의 한국 기업 공격은 2019년 8건에서 지난해 77건으로 급속히 느는 추세다. 한국 대기업들이 3~4세 경영으로 넘어가면서 지분이 잘게 나뉘는 데다, 상속세 부담 때문에 적극적으로 주가 부양에 나서지 못하는 상황을 정면 겨냥하고 있는 것으로 해석된다. 또 외국 기업보다 상대적으로 폐쇄적인 이사회, 상호 출자처럼 상속을 염두에 둔 복잡한 지배 구조 등이 기업 저평가 원인이라고 보고 공세에 나서고 있다.실제로 최근 한 달 새에만 영국 팰리서캐피탈과 한국의 얼라인파트너스가 각각SK스퀘어와 두산밥캣의 지분을 1% 이상씩 확보하고 주주 가치 향상 방안을 요구하고 나섰다.SK그룹의 중간 지주사인SK스퀘어는 반도체 기업SK하이닉스의 지분 20%를 보유한 최대 주주다. 두산밥캣은 자회사 합병 추진 과정에 쓰려던 1조5000억원을 주주 환원용으로 돌리라는 요구를 받았다.증권가에선 행동주의 펀드들이 표적으로 삼을 법한 종목만 모은 주주 환원 관련 상장지수펀드(ETF)에 돈이 쏠리고 있다. 한국투자신탁이 운용하는 상품은 올 들어 수익률 22.4%를 기록했는데, 세아제강지주, 영원무역홀딩스, 더블유게임즈 등이 포함돼 있다.중견·중소기업도 ‘미래 투자’ 못 하고 ‘경영권 방어’재계는 행동주의 펀드들이 자체 연합을 꾸리거나, 소액주주들과 연대할 가능성을 주목하고 있다. 이를 통해 핵심 안건이나 경영권 분쟁 상황에서 캐스팅보트를 쥘 수 있다는 것이다. 지난 3월 삼성물산 주주총회에선 행동주의 다섯 펀드가 결합해 자사주 5000억원 매입과 주당 4500원으로 배당 늘리기를 안건으로 올렸다가 부결되기도 했다.재계에선 단기적 기업 성과에 집착할 경우, 중장기적 기업 가치가 떨어질 수 있다고 우려한다. 최근 한국경제인협회가 행동주의 캠페인을 겪은 미국 상장사 970곳을 분석한 결과, 단기적으로는 기업 가치가 일부 개선됐지만 4년 뒤엔 평균 1%포인트 하락하는 등 악영향이 나타났다. 재계 관계자는 “행동주의 펀드가 득세하면서 대기업뿐 아니라 우량 중견·중소기업들까지 제대로 미래 투자에 나서지 못하고, 경영권 방어를 위해 돈을 쏟아부어야 하는 상황”이라며 “국부가 해외로 유출되지 않고 국내 기업들의 미래 먹거리 발굴에 쓰이게 할 대책이 필요하다”고 했다.☞행동주의 펀드특정 기업 주식을 매수한 뒤, 의사 결정 과정에 개입해 중장기적 가치보다는 단기 이익을 추구하는 성향을 보이는 펀드. 배당 확대, 자사주 매입, 구조 조정 등 다양한 방법을 동원한다. 소액주주 이익을 대변해 주주 환원에 기여한다는 평가도 있지만, 단기 차익을 주로 추구해 기업의 미래 가치를 훼손시킨다는 비판도 받는다."
2022-07-05,대기업 총수도 올 상반기 주식성적표 -20%… 이 와중에 웃은 회장님은?,"올 상반기에만 국내 33개 주요 그룹 총수 주식재산이 13조 원 넘게 증발한 것으로 나타났다. 33명의 그룹 총수 중 90% 정도는 올 초 대비 6월 말 기준 주식가치가 하락했는데, 이중에서도 카카오 김범수 창업자는 4조 7000억 원 이상 가장 많이 떨어진 것으로 파악됐다. 반면OCI이우현 부회장은 올 상반기에만 주식재산이 40% 정도 불어난 것으로 조사됐다. 또 6월 말 기준 주식평가액 10조 클럽에 가입한 총수는 삼성 이재용 부회장만 나홀로 남았다.기업분석전문 한국CXO연구소는 5일 이 같은 내용의 ‘2022년 상반기(1월 초 대비 6월 말 기준) 주요 그룹 총수 주식평가액 변동 조사’ 분석 결과를 발표했다. 조사 대상은 공정거래위원회가 관리하는 대기업집단 중 올해 6월 말 기준 주식평가액이 1000억 원 넘는 그룹 총수 33명. 주식재산은 총수가 해당 상장사 주식종목 지분을 직접 보유한 경우와 함께 비(非) 상장사를 통해서 해당 그룹 상장 계열사 주식을 갖고 있는 현황까지 포함했다. 비상장사의 경우 해당 회사 지분을 50% 이상 보유한 경우로 제한해 조사가 이뤄졌다. 주식평가액은 올 초(1월 3일)와 6월 말(6월 30일) 종가(終價)를 기준이고, 보유 주식은 6월 25일까지 보유 현황으로 해당 금액을 산출했다. 우선주도 조사 범위에 포함됐다.33 그룹 총수의 올해 1월 초와 3월 말 주식평가액은 각각 64조 6325억 원, 59조 7626억 원이었다. 6월 말에는 51조 4463억 원으로 3월 말보다 주식가치가 더 내려앉았다. 올 초 대비 6월 말 기준으로 보면 최근 6개월 새 33곳 그룹 총수 주식재산은 13조 1862억 원이나 감소했다. 이는 20.4%나 하락한 것으로, 올 초 때 파악된 총수 주식재산의 5분의 1 정도가 사라져 버린 셈이다.올 상반기 주식재산 10% 상승한 총수는 4명…이우현OCI부회장 40% 증가이우현OCI부회장이런 와중에도 4명의 그룹 총수는 주식가치가 상승해 눈길을 끌었다. 올 상반기(1월 초 대비 6월 말) 주식평가액 증가율 1위 그룹 총수는OCI이우현 부회장. 이 부회장은OCI종목에서만 주식을 보유 중이다.OCI주식종목 주가가 40% 가까이 크게 오르면서 이우현 부회장의 주식평가액도 올 초 1244억 원에서 6월 말 1725억 원으로 480억 원 이상 주식가치가 껑충 뛰었다.OCI주가가 크게 오른 배경에는 국내 유일의 폴리실리콘 생산업체라는 프리미엄도 한 몫 거들었다. 폴리실리콘은 태양광 패널과 반도체 웨이퍼에 사용되는 핵심 원료 중 하나이다.세아 이순형 회장과 롯데 신동빈 회장도 올 상반기 주식재산이 20% 넘게 껑충 뛰었다. 이순형 회장은 1113억 원에서 1388억 원으로 최근 6개월 새 주식평가액이 275억 원(24.7%) 증가했다. 이 회장은 세아제강지주와 세아제강 주식종목 등에서 주가가 오른 영향이 컸다. 신동빈 회장은 6943억 원에서 8485억 원으로 1541억 원(22.2%)이나 주식재산이 불어났다. 신 회장의 경우 롯데쇼핑과 롯데지주 등의 주식종목에서 주가가 20% 이상 오르면서 신 회장의 주식재산도 1000억 원 넘게 증가했다.현대중공업 대주주인 정몽준 아산재단 이사장의 주식가치도 올 초 1조 1262억 원에서 6월 말 1조 2481억 원으로 최근 6개월 새 1219억 원(10.8%) 넘게 주식재산이 늘었다.HD현대 주식종목의 주가가 올 초 5만 3600원에서 6월 30일에 5만 9400원으로 오르면서 정 이사장의 주식가치도 최근 6개월 새 10% 이상 많아졌다.넷마블 방준혁, 반토막 수준…조(兆) 단위 주식재산 감소한 그룹 총수도 4명김범수 카카오 창업자. /카카오반면 대부분의 그룹 총수들은 주식 가치가 크게 떨어졌다. 주식평가액 기준으로 올 상반기에만 1조 원 넘게 하락한 그룹 총수도 4명이나 됐다. 여기에는 카카오 김범수 창업자가 가장 먼저 꼽혔다. 김 창업자는 최근 6개월 새 4조 7690억 원이나 주식평가액이 가장 많이 줄어든 것으로 파악됐다. 김 창업자는 카카오와 카카오게임즈에서 주식을 보유 중인데, 1월 초 대비 6월 말 기준 카카오 39%, 카카오게임즈 47.2% 수준으로 주가가 떨어진 영향이 결정적이었다. 이외 삼성 이재용 부회장(2조 1530억 원↓), 넷마블 방준혁 의장(1조 2147억 원↓), 셀트리온 서정진 명예회장(1조 1069억 원↓) 세 명도 올 초 대비 6월 말 기준 주식재산이 1조 원 넘게 크게 줄었다.주식재산 하락률 1위는 넷마블 방준혁 이사회 의장. 넷마블의 종가는 올 초 12만 7500원이었는데 지난 6월 30일에는 6만 8900원으로 46%나 고꾸라졌다. 넷마블 주식이 큰 폭으로 하락하다 보니 방 의장이 보유한 주식가치도 2조 6430억 원에서 1조 4283억 원으로 내려앉았다. 다우키움 그룹 김익래 회장도 올 초 2116억 원에서 6월 말에는 1262억 원으로 주식평가액이 850억 원 넘게 깎였다. 올 상반기에만 김 회장의 주식가치만 해도 40.3%나 감소했다.카카오 김범수 창업자 39% ↓(1월 초 12조 2269억 원→6월 말 7조 4578억 원), 네이버 이해진 36.2%↓(2조 3048억 원→1조 4711억 원), 코오롱 이웅열 명예회장 30.7%↓(3068억 원→2128억 원), 에이치디씨(HDC) 정몽규 회장 30.5%↓(2838억 원→1972억 원) 등도 큰 폭으로 주식재산 가치가 떨어진 것으로 나타났다."
2024-01-15,"국민연금, 포스코홀딩스 빼고 대신 ‘이 종목’ 주워 담았다","삼성전기 지분율 1.82%포인트 늘려지난 5일 서울 중구 국민연금 종로중구지사의 모습. /뉴스1국민연금이 작년 말 포스코홀딩스와 카카오 보유 지분을 줄인 반면 삼성전기 등을 사들였다.15일 금융정보업체 에프앤가이드에 따르면 지난해 4분기 국민연금은 포스코홀딩스 지분율을 6.71%로 작년 3분기 말(7.72%)보다 1.01%포인트 줄였다. 그 사이 포스코홀딩스 주가는 15% 이상 떨어지면서 보유 주식 평가액도 9362억원 줄어든 2조5588억원이 됐다.같은 기간 국민연금은 카카오 지분은 6.38%에서 5.41%로 축소했다. 그러나 그동안 카카오 주가가 35% 오르면서 보유 주식 평가액은 1조4253억원으로 1798억원 늘었다.국민연금이 포스코홀딩스와 카카오를 팔고 사들인 종목은 무엇일까. 지난해 4분기 국민연금은 삼성전기 지분을 8.8%에서 10.62%로 1.82%포인트 늘렸다. 삼성전기 주가는 그사이 7.5% 올랐다. 보유 주식 평가액은 1조1729억원으로 2694억원 늘었다.포스코홀딩스CI.이밖에 국민연금은 지난해 4분기 중 제이엘케이, 기가비스, 우신시스템, 원텍,SK오션플랜트, 와이솔, 한화오션, 코미코, 하이트진로,SK디스커버리, 롯데웰푸드 등 11개사를 5% 이상 대량 지분 보유 종목에 신규로 편입했다.기존 대량 보유 종목인 씨앤씨인터내셔널,HK이노엔, 이수페타시스, 한올바이오파마, 대한유화, 비에이치, 클리오, 동국제강, 코스메카코리아, 진시스템, 롯데쇼핑, 세아제강지주, 신세계인터내셔날의 보유 지분을 2~3%포인트 이상 늘렸다.한편 국민연금이 보유한 국내 상장사 지분 가치는 연말 주가 상승에 힘입어 130조원 이상으로 불어났다. 국민연금이 5% 이상 지분을 보유해 공시 대상인 국내 상장사는 지난 10일 기준 283개사로 보유 주식 평가액은 총 133조8349억원으로 집계됐다.지난해 3분기 말 282개사, 129조6747억원과 비교해 종목 수는 비슷했다. 하지만 평가액은 4조1601억원(3.21%) 증가했다. 지난해 고금리 장기화 우려 속에 약세를 보이던 증시가 11월부터는 반등했기 때문이다.국민연금 보유 종목 중 주식 평가액 1조원 이상은 삼성전자(평가액 33조7557억원·지분율 7.68%)를 비롯해SK하이닉스(7조6794억원·7.90%),LG에너지솔루션(5조5550억원·5.78%),NAVER(3조5천23억원·9.34%), 현대차(3조1048억원·7.86%), 삼성바이오로직스(2조9740억원·5.60%), 기아(2조6103억원·7.17%) 등 21개사다. 이들 종목은 국민연금의 전체 보유 주식 평가액에서 약 62%를 차지한다."
2022-01-20,“치킨집인데 치킨은 안 판다?” 연이은 물적분할에 뿔난 개미들 [왕개미연구소],"물적분할 나선 세아베스틸 14% 급락세아베스틸 군산공장“철강회사가 철강 부분을 분할한다니, 이게 무슨 소린가요. 치킨집에서 치킨을 안 판다는 얘긴가요?”(세아베스틸 주주 A씨)“세아홀딩스, 세아제강지주, 이번엔 세아베스틸지주?? 적당히 좀 하세요.”(Y증권사 애널리스트)“곧 정부에서 물적분할 규제한다고 하니까 서둘러서 발표하는 겁니까? 한국 기업 클라스는 진짜...”(소액주주 이모씨)20일 특수강 제조기업인 세아베스틸이 물적분할을 통한 지주회사 전환을 결정했다고 밝히면서 소액 주주들의 분노 게이지가 폭발하고 있다.이날 유가증권 시장에서 세아베스틸은 전날보다 13.83% 하락한 1만4950원에 거래를 마쳤다. 오후 2시쯤 물적분할 공시가 나오면서 주가가 무너졌다세아베스틸은 특수강 제조 등 사업 부문 일체를 물적분할해서 세아베스틸(가칭)을 신설한다고 이날 공시했다. 분할 기일은 4월 1일. 분할 존속회사는 상호를 세아베스틸지주(가칭)로 변경해 지주회사로 전환하기로 했다.회사 측은 “특수강 사업에 특화된 전문적이고 체계적인 관리 및 자회사의 수평적 시너지 창출을 위해 지주사 전환을 결정했다”고 밝혔다.세아베스틸은 지주회사 체제로 전환하지만, 신설회사IPO(기업공개) 계획은 세우지 않은 것으로 알려졌다. 하지만 난데없는 물적분할 소식을 접한 소액 주주들은 황당할 뿐이다.세아베스틸 주주 이모씨는 “물적분할을 하게 되면 개미들은 쪽박차고, 오로지 대주주만 공모를 통해 대박을 친다”면서 “입법기관은 기존 주주들에 대한 보호 장치 없는 물적 분할을 금지하는 제도를 만들어야 한다”고 주장했다.최근 국내 증시에서는 물적분할에 나서는 기업들이 줄잇고 있다. 올해IPO대어라고 하는SSG닷컴은 이마트에서 쪼개져 나왔고,CJENM도 콘텐츠 제작 부문을 물적분할한다는 계획이다. 또 포스코,NHN,만도, 한화솔루션 등도 전부 물적분할 계획을 발표했다. 본업보다 오히려 물적분할로 수익을 더 많이 올리는 카카오와SK그룹 역시 또다시 자회사를 떼어내서 상장할 계획이다.물적분할을 하게 되면 모(母)회사 주주들에겐 불리하다. 알짜 자회사가 상장하면 그만큼 모회사의 기업 가치가 낮아지고, 주가도 내리막길을 걷게 된다. 하지만 기업들의 생각은 다르다. 유상증자를 하면 기존 지배 주주의 보유 주식 비중이 줄어들어 불리하지만, 물적분할을 하면 돈은 돈대로 유치하면서 모회사 지분을 그대로 보유할 수 있어 유리하다.대선 주요 후보들은 물적분할 제도를 손보겠다면서 표심잡기에 나선 상태다. 물적분할한 기업이 증시 상장을 할 때 기존 주주들에게 신주를 먼저 배정하게 하는 것이 골자다."
2023-02-27,"세아 그룹주,  일론 머스크 ‘스페이스X’ 납품설에 급등","세아그룹CI27일 오전 세아그룹 주가 일제히 강세를 보이고 있다. 테슬라CEO인 일론 머스크가 이끄는 스페이스X와 납품 계약을 논의 중이라는 소식에 매수세가 몰렸다는 분석이 나온다.27일 오전 10시 40분 기준 세아베스틸지주는 전일 대비 가격 상승 제한폭인 5480원(29.83%)까지 급등한  2만3850원에 거래 중이다. 같은 시간 세아특수강(24%), 세아홀딩스(17%), 세아메카닉스(2.2%), 세아제강(1.7%) 등도 일제히 상승 중이다.이러한 급등세는 세아그룹 계열사인 세아창원특수강이 스페이스X와 특수합금 공급 계약을 맺기 위한 협상에 착수했다는 소식이 영향을 미친 것으로 풀이된다. 세아창원특수강은 세아그룹 중간지주사인 세아베스틸지주의 100% 자회사다. 세아그룹 측은 이번 계약설에 대해 “확인해줄 수 없다”는 입장이다."
