date,title,content
2024-12-18,셀트리온 ‘24조 시장’ CDMO 뛰어든다,"총 3조원 투입해 전문 자회사 출범국내에 최대 20만L 생산시설 구축인천 송도 셀트리온 본사./셀트리온셀트리온 그룹이 바이오 의약품 위탁 개발 생산(CDMO) 전문 자회사를 설립하고, 최대 3조원을 투자한다. 고객사의 위탁을 받아 의약품을 대신 개발·생산하는CDMO시장이 급성장하는 데 따른 대응이라는 분석이 나온다.셀트리온은CDMO전문 자회사 ‘셀트리온 바이오 솔루션스’를 출범시켰다고 17일 밝혔다. 서정진 셀트리온 회장은 이날 기자 간담회에서 “셀트리온 바이오 솔루션스 법인 설립을 끝냈다”며 “셀트리온 100％ 자회사로 시작한다”고 했다. 초기 자본금은 100억원이다. 서 회장은 “초기 설비 구축 등을 위해 셀트리온 그룹 자체 투자금으로 최대 1조5000억원을 투입하고, 추가로 외부에서 최대 1조5000억원 투자금을 유치할 것”이라고 했다.신규 법인의 생산 시설은 부지 후보를 검토 중인 단계다. 서 회장은 “국내에 최대 20만L 규모로 설계하고, 우선 내년에 10만L 규모로 1공장 착공에 들어갈 예정”이라고 밝혔다. 항체 약물 접합체(ADC), 세포·유전자 치료제(CGT) 등 다양한 생산이 가능하도록 설비를 갖춘다는 계획이다.이번CDMO전문 자회사 출범을 계기로 셀트리온은 기존 바이오 시밀러(바이오 복제약) 중심의 사업 구조에서CDMO로 사업 영역을 본격 확장한다. 셀트리온은 “바이오 의약품 수요가 커지는 가운데 국내외 시장에서 위탁 요청을 받고 지난 9월CDMO사업 본격화를 위한 투자를 결정했다”고 밝혔다.셀트리온 바이오 솔루션스는 신약 후보 물질 선별부터 세포주 및 공정 개발, 임상 시험 계획, 허가 서류 작성, 상업 생산까지 의약품 개발의 각 과정에 관련된 서비스도 제공할 예정이다. 대표에는 이혁재 셀트리온 수석 부사장이 내정됐다.시장조사 기관 모도 인텔리전스에 따르면 글로벌CDMO시장은 올해 182억달러(약 24조원)에서 2029년 약 305억달러까지 성장할 전망이다. 셀트리온은CDMO전문 자회사에서 2028년부터는 상업 생산과 본격적 매출이 발생할 것으로 보고 있다. 서 회장은 “2031년 총 기대 매출은 약 3조원에 이를 것”이라고 했다."
2024-12-03,"셀트리온, 서정진 소유 계열사에 무상으로 '약품 보관' 서비스…과징금 4억원","셀트리온 제공@News1국내 대표적 바이오 기업인 셀트리온이 그룹 총수인 서정진 회장이 소유한 계열사에 부당한 이익을 제공한 혐의가 적발돼 공정거래위원회로부터 약 4억원의 과징금 처분을 받았다.공정위는 셀트리온의 공정거래법 위반 혐의에 대해 시정명령과 과징금 4억3500만원을 부과했다고 3일 밝혔다.공정위에 따르면, 셀트리온은 2016~2019년 당시 그룹 계열사엿던 셀트리온헬스케어(현재는 셀트리온에 흡수합병)에 의약품 보관 서비스를 무상으로 제공하고 자신의 상표권을 무상으로 사용하도록 해 약 11억8000만원의 부당한 이익을 줬다.또 다른 계열사인 셀트리온스킨큐어에게도 상표권을 무상으로 사용하게 해 약 3000만원의 이익을 제공했다.셀트리온헬스케어는 부당한 이익을 제공받을 당시 서정진 회장이 지분 88% 소유한 회사였다. 셀트리온스킨큐어는 서 회장이 지분 69.7%를 보유한 회사다.특히 셀트리온은 상표권 무상 사용 행위가 지속되던 2018년 초엔 상표권의 적정사용료를 계산한 바도 있었으나, 해당 위법행위를 2019년까지 지속했다는 것이 공정위 조사 결과다.공정위 관계자는 “이번 조치는 대기업 집단 계열사가 총수의 개인 회사를 지원함으로써 결과적으로 특수 관계인에게 부를 이전시킨 행위를 적발했다는 데 의의가 있다”고 말했다.이에 대해 셀트리온 측은 “이번 공정위 처분은 셀트리온이 세계에서 처음으로 바이오시밀러 사업을 시작했던 사업 초기 당시에 처리된 창고보관료, 상표권사용료에 관한 것”이라며 “해당 사항들은 공정위 조사가 있기 전에 이미 개선 완료된 상황으로, 공정위도 이 점을 고려해 처분을 결정한 것으로 이해하고 있다”고 밝혔다.그러면서 “셀트리온은 앞으로도 내부 준법경영 체제를 더욱 강화해 공정하고 투명한 경영에 최선을 다하겠다”고 했다."
2024-12-05,"셀트리온, 5600억 규모 자사주 소각","올해 3번째, 누적 1조2500억원“내달 6일 소각, 주주가치 제고”셀트리온 본사 전경. 셀트리온은 약 5600억원 규모의 자사주 소각을 추진할 예정이다./셀트리온셀트리온이 주주 가치를 높이기 위해 약 5600억원 규모의 자사주 소각을 추진한다. 셀트리온의 자사주 소각은 올해 3번째로 누적 1조2500억원 규모에 달한다.셀트리온은 보유 자사주의 약 25%인 301만1910주를 소각하기로 결의했다고 4일 밝혔다. 3일 종가 기준 약 5629억원 규모다. 주식 소각에 따라 회사의 발행 주식 총수는 2억1707만8554주에서 2억1406만6644주로 줄어든다. 셀트리온은 “이번 결의로 주식 수가 줄어들면 주식을 보유한 기존 주주들의 주식 가치는 자연스럽게 상승할 전망”이라고 했다. 소각 예정일은 다음 달 6일이다.셀트리온은 올해 잇따른 자사주 매입·소각을 통해 주주 친화 정책을 펴고 있다. 총 5차례에 걸쳐 4250억원 규모의 자사주를 매입했고, 3차례에 걸쳐 1조2584억원 규모의 자사주를 소각했다. 작년에도 총 1조2500억원 규모의 자사주를 매입했다. 셀트리온은 회사가 빠르게 성장하고 있는 만큼 이익을 투자자에게 환원하기 위해 배당 확대 등 주주 친화 정책을 편다는 계획이다.셀트리온 관계자는 “올해 역대 최대 수준인 3조5000억원 매출을 달성할 것으로 전망한다”며 “주주 환원 정책을 통해 주주들과 동반 성장을 이어가고 기업 가치를 높이는 데 최선을 다할 것”이라고 했다."
2024-12-20,암세포 잡는 유도미사일 ‘ADC’… 국내 제약·바이오 업계서 개발 경쟁 치열,"삼성바이오로직스, 전용 생산 시설 연내 완공키로셀트리온, 2029년까지ADC신약 상용화 목표GC녹십자, 이중 항체ADC공동 개발 계약 맺어암세포를 잡는 ‘유도미사일’로 불리는 항체·약물 접합체(ADC)를 둘러싼 국내 제약·바이오 업계의 개발 경쟁이 치열해지고 있다.ADC는 항체에 약물을 붙여 정확히 암세포에만 전달하는 치료 기술이다. 일반 세포에 가해지는 악영향은 줄이고 치료 효과는 극대화할 수 있어, 글로벌 항암제 시장의 핵심으로 떠오르고 있다. 글로벌 시장조사 기관 이벨류에이트에 따르면, 지난해 100억달러(약 14조원) 규모였던ADC시장 규모는 2028년 280억달러로 급성장할 전망이다. 국내 기업들도ADC시장에 합류하기 위해 연구·개발(R&D)에 사활을 걸고 있다.항체는 암세포 표면의 항원을 인식하고 결합해 독성을 없앤다.ADC는 이처럼 길잡이 역할을 하는 항체에 약물(페이로드)을 링커로 연결해 특정 암세포만을 공격하게 된다.ADC의 개념을 적용한 첫 약물은 1970년대 개발됐다. 이후 아스트라제네카와 다이이찌산쿄가 공동 개발한 유방암ADC치료제 ‘엔허투’가 압도적인 효능을 보이면서 세계ADC개발 열풍을 이끌었다.아직 국내에서 개발된ADC치료제는 없지만 국내 제약·바이오 업계에서는 생산 시설과 파이프라인을 구축하고 있다. 삼성바이오로직스는 연내 완공을 목표로ADC전용 생산 시설을 신설하고 있다. 고객사와 계약을 맺어 의약품을 생산하는 위탁 개발 생산(CDMO)이 주력인 만큼, 최대 500L 규모 생산 설비를 구축해ADC수요에 대응하겠다는 것이다. 셀트리온은 지난달 국제 콘퍼런스에서 각각 폐암과 방광암을 타깃으로 하는ADC치료제 2종의 개발 성과를 공개했다. 2029년까지ADC신약을 상용화하겠다는 목표다.동아에스티는 지난해ADC전문 업체 앱티스를 인수했다. 앱티스는 위암 치료제 ‘AT-211′을 개발하고 있다. 지난달GC녹십자는 카나프테라퓨틱스와 이중 항체ADC공동 개발 계약을 체결했다. 리가켐바이오는 지난해 미국 얀센과 2조원 규모의ADC항암제LCB84의 기술 이전 계약을 맺었고, 이달 고형암 치료제LNCB74의 미국 임상 1상 시험 계획(IND) 승인을 받았다."
2024-11-08,"셀트리온 3분기 매출 8819억, 역대 최대","인천 송도 셀트리온 본사./셀트리온셀트리온이 올해 3분기 매출액(연결기준) 8819억원을 기록했다고 8일 공시했다. 전년 동기 대비 31.2% 증가한 역대 최대 분기 매출이다. 올해 3분기까지 누적 매출 또한 2조 4936억원으로 이미 전년도 연간 매출(2조 1764억원)을 뛰어넘었다.셀트리온 측은 매출 성장 요인으로 바이오 의약품의 글로벌 처방 확대를 꼽았다. 특히 자가면역질환 치료제 ‘램시마SC’,‘유플라이마’ 등 매출이 3425억 원으로 전년 동기 대비 112.5% 늘었다. 올해 초 미국에서 출시된 짐펜트라(램시마SC의 미국 제품명)도 지난달 미국 3대 처방약 급여관리업체에서 운영하는 6개 공·사보험 계약을 모두 확보하며 성장세를 뒷받침하고 있다. 지난 1일에는 독일, 네덜란드 등 유럽 주요국에서 자가면역 치료제 바이오시밀러 ‘스테키마’가 출시돼 시장을 확장하고 있다.3분기 영업이익은 전년 동기 대비 22.4% 감소한 2077억원으로 집계됐다. 이에 대해 셀트리온 측은 “지난해 12월 셀트리온헬스케어와의 합병에 따른 비용으로 영업이익이 감소한 것”이라고 했다. 다만 이번 영업이익은 직전 분기(2분기)보다는 186.5% 늘었다. 셀트리온 관계자는 “후속 제품군 매출이 전년 동기 대비 2배 이상 늘었고, 매출원가 개선과 합병 상각비 감소가 작용해 역대 최대 분기 매출과 실적 개선을 동시에 이뤄낼 수 있었다”고 밝혔다."
2024-10-25,"셀트리온 1000억 원 규모 자사주 매입 결정, 올해 4번째","인천 송도 셀트리온 본사./셀트리온 제공셀트리온이 약 1000억 원 규모의 자사주 추가 매입을 결정했다고 25일 밝혔다. 올해 들어 네 번째 자사주 매입이다.셀트리온 측은 오는 28일부터 장내 매수를 통해 53만 7924주를 취득할 예정이라고 이날 밝혔다. 회사는 , 지난 3월과 4월, 6월에 각각 약 750억원 이상의 자사주를 매입했다. 올 한해 총 3346억 원 규모, 약 181만 6000주의 자사주를 취득하게 됐다.셀트리온은 지난해에도 약 1조 2652억원 규모의 자사주를 매입하며 자사주 취득과 소각을 병행 중이다. 올해는 1월 자사주 약 230만 9813주(약 4955억원 ), 4월 약 111만 9924주(약 2000억원 ) 등 총 7000억원 규모의 자사주를 소각했다.자사주 취득과 소각은 기업의 대표적인 주주가치 제고 정책으로, 특히 기업이 자사주를 매입하고 소각하면 시중에 유통되는 주식 수가 줄어들면서 자연스럽게 주식을 보유한 주주들의 주식 가치 상승으로 이어진다.셀트리온 관계자는 “주력 제품의 글로벌 시장 점유율 확대와 신제품 출시, 후속 파이프라인 개발 등이 순항 중인 상황에서 주주가치를 제고하기 위해 자사주 추가 매입을 결정했다”며 “향후에도 셀트리온은 주주가치 제고를 위해 자사주 매입과 소각, 꾸준한 배당 정책을 이어갈 방침”이라고 말했다. 셀트리온은 램시마, 유플라이마, 베그젤마 등 기존 제품 외에도 올해만 글로벌 주요국에서 ‘옴리클로’,‘아이덴젤트’,‘스테키마’ 등 신제품 허가를 획득해 현재 9개 바이오시밀러 제품 포트폴리오를 구축했다."
2024-12-31,﻿상속 없이 주식 부자 된 인물 2위는 방시혁…1위는?,"방시혁 하이브 이사회 의장(왼쪽), 박순재 알테오젠 대표. /뉴스1국내 주식부호 상위 50명 중 상속 대신 창업으로 부를 쌓은 인물이 10년 전에 비해 2배 이상 늘어난 것으로 나타났다.31일 기업분석연구소 리더스인덱스에 따르면 지난 27일 기준 국내 주식부호 현황을 10년 전(2014년 12월 20일)과 비교해 조사한 결과, 주식부호 상위 50명 중 ‘창업 부호’는 5명에서 12명으로 140% 증가했다.이번 조사는 10년 전 부호 순위와 비교한 것으로, 올해는 개인별 보유 주식을 연말 종가로 계산했다. 비상장사 보유지분은 순자산가치에 보유지분율로 평가해 반영했다.창업 부호 중에서는 박순재 알테오젠 대표(8위)가 50인에서 가장 높은 순위를 차지했다. 이어 방시혁 하이브 이사회 의장(10위), 박현주 미래에셋그룹 회장(11위), 김범수 카카오 경영쇄신위원장(12위), 장병규 크래프톤 이사회 의장(13위), 서정진 셀트리온 회장(18위), 이중근 부영그룹 회장(19위0, 이동채 에코프로그룹 전 회장(20위), 이해진 네이버 글로벌투자책임자(23위) 등이 뒤를 이었다.방준혁 넷마블 이사회 의장(24위), 박진영JYP엔터테인먼트 대표 프로듀서(40위), 김상헌DN그룹 회장(41위)도 새롭게 명단에 포함됐다.창업부호를 탄생시킨 업종은 10년 새 크게 달라졌다. 10년 전에는 고(故) 김정주 넥슨 창업주(11위), 김범수 당시 다음카카오 이사회 의장(12위), 이해진 네이버이사회 의장(22위) 등 정보기술(IT) 분야가 주를 이뤘으나 올해에는 엔터테인먼트, 바이오, 이차전지 등으로 다양해졌다.지난 10년간 창업부호 6명, 상속형 부호 12명 등 총 18명이 새롭게 주식부호 상위 50위 명단에 이름을 올렸다. 신규 진입한 주식부호 중 지분가치가 가장 높은 부호는 조정호 메리츠금융 회장(9조9213억원·2위)이다.전체 주식부호 1위는 10년간 삼성그룹 오너일가가 지키고 있다. 10년 전에는 이건희 선대 회장이 12조912억원으로 1위였으나 현재는 이재용 삼성전자 회장이 12조1671억원으로 그 자리를 대신하고 있다. 다만 이 회장의 삼성 계열사 보유 가치는 크게 떨어졌다. 연초 이 회장이 보유한 주식 지분은 14조3755억원이었지만, 1년 새 그 가치가 15.4%(2조2084억원) 하락한 것으로 집계됐다.이 회장 외에 다른 삼성가 3명도 상위권을 차지했다. 홍라희 전 삼성미술관 리움 관장(5조4824억원‧3위), 이부진 호텔신라 사장(4조9023억원‧4위), 이서현 삼성물산 전략기획담당 사장(4조2336억원‧6위)이다. 이들은 10년 전에는 주식부호 순위 10위권 밖에 있었으나 상속과 함께 보유 자산을 키운 것으로 분석됐다.여성 부호는 현재 기준 총 7명으로, 모두 상속으로 부를 일궜다. 홍라희 전 리움 관장, 이부진 사장, 이서현 사장, 최기원SK행복나눔재단 이사장(30위), 김영식 여사(故 구본무LG선대회장 부인‧36위), 이명희 신세계그룹 회장(49위) 등 6명은 10년 전에도 주식부호 50위 안에 들었다. 여기에 구연경LG복지재단 대표(45위)가 새로 포함되면서 1명이 더 늘어났다.주식부호 50인의 평균 나이는 10년 전 55.9세에서 올해는 61.3세로 5.4년 많아졌다. 정기선HD현대 수석부회장(39위)이 42세로 가장 나이가 적었으며 정몽구 현대자동차 명예회장(5위)이 86세로 최고령이었다.주식부호 상위 50명의 지분 가치는 84조1235억원에서 86조798억원으로 10년간 2.3% 증가하는 데 그쳤다. 이 기간 코스피‧코스닥 시장 가치가 1311조원에서 2319조원으로 76.9% 늘어난 것과는 크게 차이 난다. 리더스인덱스는 “지난 10년 동안 경영권 승계와 상속 과정에서 보유 지분이 분산된 데다, 새롭게 편입된 창업 부호들의 지분가치가 올해 들어 하락한 것이 주된 원인”이라고 분석했다."
2024-08-28,의료공백에도 이상無… 삼바·셀트리온은 상반기 ‘홈런’,"제약·바이오업계 실적 ‘선방’사진=게티이미지뱅크전공의 집단 이탈로 의료 공백이 생겨 실적에 큰 타격을 입을 것으로 예상됐던 제약·바이오 업계가 올 상반기 ‘선방’했다는 평가를 받고 있다. 양대 바이오 기업인 삼성바이오로직스와 셀트리온은 상반기 매출로는 역대 최고 실적을 올렸다. 제약·바이오 기업 중 수익성이 나빠진 곳도 있는 반면, 자체 신약에서 성과를 낸 기업은 높은 실적을 기록했다. 업계에서는 “신약 보유 여부가 앞으로 더욱 제약 기업의 실적을 좌우할 것”이라는 전망이 나온다.그래픽=양진경삼바·셀트리온 상반기 매출 최대삼성바이오로직스는 올 상반기 매출 2조1038억원을 기록했다. 전년 동기보다 33% 늘어난 액수로, 상반기 매출이 2조원을 넘긴 것은 처음이다. 영업이익도 올 상반기 6558억원으로, 전년 동기보다 47% 늘었다. 삼성바이오로직스는 글로벌 제약사에서 수주해 바이오 의약품을 개발하고 생산하는 위탁 개발 생산(CDMO) 기업이다. 상반기 실적도 계약 규모 증가가 견인했다. 올 상반기에 주요 글로벌 제약사에서 새로 따내거나 늘린 계약이 7건에 이른다. 특히 미국의 한 제약사와는 단건으로는 최대인 1조4637억원짜리 계약을 맺었다. 삼성바이오로직스는 “약 6개월 만에 수주액 2조5000억원을 넘겼는데, 이는 작년 전체 수주액의 70%”라며 “올해 국내 제약·바이오 기업 중 최초로 연 매출 4조원 돌파도 가능하리라 예상한다”고 했다.셀트리온도 올 상반기 역대 최대치인 1조6117억원 매출을 올렸다. 이는 전년보다 44% 늘어난 규모다. 핵심 바이오시밀러(바이오 복제약) 제품군이 안정적 성장을 보이고 있는 점이 셀트리온 실적을 견인했다. 자가면역질환 치료제 램시마, 유플라이마, 전이성 직결장암 치료제 베그젤마가 모두 2분기 역대 최대 매출을 경신했다. 셀트리온은 “지난 3월 램시마의 피하 주사 제형인 ‘짐펜트라’를 미국에 출시해 빠르게 시장에 안착하고 있다”고 밝혔다. 다만 지난해 말 셀트리온헬스케어와 합병하면서 재고 합산에 따른 원가율 상승 등 일시적 영향으로 영업이익은 76% 감소했다.신약이 가른 제약업계 실적대다수 상위권 제약사도 매출이 늘어 외형적으로 성장했다. 다만 영업이익과 영업이익률은 감소하는 등 수익성이 떨어진 곳도 있다.상반기 9478억원으로 전년 동기 대비 매출액이 4% 증가한 유한양행은 영업이익은 전년 동기의 절반 수준인 219억원으로 줄어들었다.GC녹십자는 상반기 매출이 7742억원으로 1% 줄었고, 영업이익은 26억원으로 74% 급감했다. 유한양행은 폐암 치료 신약 렉라자의 미 식품의약국(FDA) 승인에 힘입어 하반기 실적은 반등할 것으로 보고 있다. 녹십자도FDA승인을 받고 미국 진출이 본격화된 혈액 제제 알리글로가 하반기 실적을 끌어올릴 것으로 기대한다.그래픽=양진경자체 개량, 혁신 신약을 앞세운 기업들은 역대 최대 수준 실적을 냈다. 한미약품은 창업주 일가의 경영권 분쟁에도 올 상반기 매출 7818억원, 영업이익 1348억원을 기록했다. 이상 지질혈증 치료 복합 신약 로수젯의 상반기 누적 원외 처방 매출이 1000억원을 넘어서고, 고혈압 치료 복합 신약 아모잘탄도 362억원 매출을 내는 등 신약 처방 확대에 힘입은 것이다. 대웅제약도 보툴리눔톡신(보톡스) 제제 ‘나보타’와 위식도 역류 질환 치료 신약 ‘펙수클루’에 힘입어 올 상반기 6000억원대 매출을 올렸다. 제약 업계 관계자는 “의료 공백이라는 악재 속에서 오히려 신약의 가치가 더욱 빛났다”며 “새로운 수익을 창출할 수 있는 신약 파이프라인이 향후 제약사 간 실적 격차를 더욱 확대하는 요인이 될 것”이라고 했다."
2024-08-27,"셀트리온 ‘스테키마’, 유럽서 의약품 허가","국내 바이오시밀러 업체 약진FDA서 13개 허가, 美 이어 2위인천 송도 셀트리온 본사. /셀트리온셀트리온의 자가면역질환 치료제 ‘스테키마’가 유럽에서 판매 허가를 받았다. ‘스테키마’는 글로벌 제약사 얀센의 자가면역질환 치료제 ‘스텔라라’의 바이오시밀러(복제약) 제품으로 지난 6월 한국, 지난 7월 캐나다에서도 승인을 획득했다.셀트리온은 스테키마가 유럽연합 집행위원회(EC)로부터 품목허가를 받았다고 26일 밝혔다. 지난 6월 유럽의약품청(EMA) 산하 약물사용자문위원회로부터 승인 권고 의견을 받은 지 2개월 만이다. 이 약은 건선성 관절염과 크론병, 궤양성 대장염 등에 처방된다. 의약품 시장조사 기관 아이큐비아에 따르면 지난해 기준 이 약의 성분인 우스테키누맙의 글로벌 시장 규모는 204억달러(약 27조원)에 달한다. 유럽 시장은 그중 약 15%를 차지한다. 셀트리온은 “유럽에서 자가면역질환 치료제 시장 공략에 속도를 올릴 것”이라며 “스테키마는 미 식품의약국(FDA) 허가 절차도 진행하고 있다”고 했다.스테키마뿐 아니라 국내 바이오시밀러들은 최근 미국·유럽 등 주요국에서 잇따라 품목 허가를 따내며 약진하고 있다.FDA가 7월 말까지 허가한 바이오시밀러 57개 중 13개가 한국 기업의 제품이다. 1위인 미국(24개)에 이은 2위다. 셀트리온은 세계 최초의 항체 바이오시밀러 램시마 등 총 5종의FDA허가를 받았다. 삼성바이오에피스는 바이오시밀러 8개의FDA허가를 받았는데, 올해에만 3개의 허가를 따냈다. 미 의회가 약가 인하를 위해 바이오시밀러 처방 확대를 추진하면서, 국내 업체들의 미국 진출도 가속화할 전망이다. 셀트리온 관계자는 “자가면역질환뿐 아니라 항암제, 골질환, 안과질환 등 다양한 영역에서 허가를 얻어 2025년까지 11개 바이오시밀러 포트폴리오를 확보하겠다”고 했다."
2024-08-17,"셀트리온·셀트리온제약, 합병 계획 중단","셀트리온 전경. /셀트리온셀트리온과 셀트리온제약의 합병 계획이 중단됐다. 셀트리온 그룹은 16일 이사회를 통해 셀트리온과 셀트리온 제약의 합병을 현시점에서 추진하지 않기로 했다고 밝혔다. 앞서 지난해 셀트리온 그룹은 셀트리온과 셀트리온헬스케어를 합병했고, 올해는 셀트리온제약과 합병해 그룹을 하나로 통합할 계획이었다.이번에 이사회가 합병을 추진하지 않기로 한 데는 주주들 의견이 큰 영향을 끼친 것으로 알려졌다. 셀트리온 그룹에 따르면, 주주 설문조사에서 셀트리온 주주들은 합병에 찬성 8.7%, 반대 36.2%, 기권 55.1%으로 찬성 비율이 10%에 미달했다. 설문에 앞서 서정진 셀트리온 그룹 회장과 셀트리온홀딩스 등 대주주들은 개인 주주 의견을 존중하는 차원에서 ‘대주주의 지분은 찬반 결과 다수 의견에 합산한다’는 원칙을 내세웠다. 이 원칙을 적용하면 반대 비율은 최종 70.4%까지 올라가고 여기에 기권 의견까지 더하면 96%의 주주들이 합병에 찬성하지 않는 것으로 집계됐다.셀트리온 주주들이 셀트리온에 비해 셀트리온제약의 주가가 고평가됐다고 보고 합병하면 주식 가치가 낮아져 손해가 불가피하다고 판단했다는 분석이 나온다.셀트리온 그룹은 셀트리온제약의 사업 역량을 강화해 향후 합병을 재추진한다는 계획이다. 셀트리온그룹 관계자는 “통합은 주주가 원하면 언제든 검토할 수 있고, 주주가치를 높이기 위해 성장에 집중하겠다”고 했다."
