date,title,content
2024-03-18,"셀트리온 제약 지난해 영업 이익 361억원, 전년 比 5% 감소","셀트리온제약 본사 전경/셀트리온제약 제공셀트리온제약의 지난해 연간 매출이 전년 대비 0.7% 증가한 것으로 나타났다. 그러나 코로나 엔데믹 영향으로 영업이익은 5.5% 감소했다.회사는 18일 경영실적 공시를 통해 2023년 연간 매출액 3888억원, 영업이익 361억원을 기록했다고 밝혔다.케미컬 의약품 부문에서는 주력 제품인 간장용제 ‘고덱스’가 전년대비 11% 성장한 연매출 691억원을 기록했다. 고혈압 치료제 ‘이달비’는 전년대비 14.8% 성장하며 매출 100억원을 넘어섰다.바이오시밀러 사업 부문은 주력 제품의 고른 성장으로 매출이 전년대비 18.2% 성장한 733억원을 기록했다. 특히 자가면역질환 치료제 ‘램시마’는 ‘램시마SC’와 시너지를 통해 24.9% 상승한 404억원을 기록해 매출 성장을 견인했다.셀트리온제약은 “2022년 출시한 자가면역질환 치료제 ‘유플라이마’와 항암제 ‘베그젤마’가 시장에 안착하고 있는 만큼, 마케팅 강화와 엄격한 품질관리를 통해 바이오시밀러 부문 성장을 이어 갈 것”이라며 “당뇨병치료제 ‘네시나’,‘액토스’,고혈압치료제 ‘이달비’ 등 주요 제품의 생산 내재화에도 속도를 내 안정적인 제품 공급과 수익성 강화에 나설 계획”이라고 밝혔다."
2024-08-17,"셀트리온·셀트리온제약, 합병 계획 중단","셀트리온 전경. /셀트리온셀트리온과 셀트리온제약의 합병 계획이 중단됐다. 셀트리온 그룹은 16일 이사회를 통해 셀트리온과 셀트리온 제약의 합병을 현시점에서 추진하지 않기로 했다고 밝혔다. 앞서 지난해 셀트리온 그룹은 셀트리온과 셀트리온헬스케어를 합병했고, 올해는 셀트리온제약과 합병해 그룹을 하나로 통합할 계획이었다.이번에 이사회가 합병을 추진하지 않기로 한 데는 주주들 의견이 큰 영향을 끼친 것으로 알려졌다. 셀트리온 그룹에 따르면, 주주 설문조사에서 셀트리온 주주들은 합병에 찬성 8.7%, 반대 36.2%, 기권 55.1%으로 찬성 비율이 10%에 미달했다. 설문에 앞서 서정진 셀트리온 그룹 회장과 셀트리온홀딩스 등 대주주들은 개인 주주 의견을 존중하는 차원에서 ‘대주주의 지분은 찬반 결과 다수 의견에 합산한다’는 원칙을 내세웠다. 이 원칙을 적용하면 반대 비율은 최종 70.4%까지 올라가고 여기에 기권 의견까지 더하면 96%의 주주들이 합병에 찬성하지 않는 것으로 집계됐다.셀트리온 주주들이 셀트리온에 비해 셀트리온제약의 주가가 고평가됐다고 보고 합병하면 주식 가치가 낮아져 손해가 불가피하다고 판단했다는 분석이 나온다.셀트리온 그룹은 셀트리온제약의 사업 역량을 강화해 향후 합병을 재추진한다는 계획이다. 셀트리온그룹 관계자는 “통합은 주주가 원하면 언제든 검토할 수 있고, 주주가치를 높이기 위해 성장에 집중하겠다”고 했다."
2023-12-13,"셀트리온 주당 500원 배당 결정, 내년 4200억 규모 자사주 소각","셀트리온 주주들이 지난 10월 열린  2023 셀트리온 임시 주주총회장으로 들어서고 있다. 셀트리온 그룹은 이날 임시주주총회를 통해 셀트리온과 셀트리온헬스케어의 합병을 결정했다./뉴스1셀트리온이 보통주 1주당 500원씩 총 1037억원 규모의 현금 배당을 결정했다.셀트리온그룹은 이사회를 거쳐 셀트리온과 셀트리온제약의 배당을 각각 결정했다고 13일 밝혔다. 셀트리온헬스케어는 신주로 통합된 통합 셀트리온의 주주 자격으로 배당을 받게 된다. 배당 기준일은 12월 31일이다.먼저 셀트리온은 보통주 1주당 500원의 현금배당이 결정됐다. 셀트리온과 셀트리온헬스케어의 합병 기일인 12월 28일 기준, 합병법인의 발행주식 총수(약 2억 2029만주)에서 자기주식(약 1291만주)을 제외한 2억 738만주를 대상으로 산정한 배당 규모는 1037억 원이다. 지난해 배당 규모인 718억원의 1.4배 수준이다.셀트리온제약은 보통주 1주당 0.05주의 주식이 배당될 예정이다. 주식배당 발행 총수는 197만 2158주(총 1688억원 규모)다.셀트리온과 셀트리온헬스케어는 올해 약 1조 2500억원 규모의 자사주 매입을 단행했다. 셀트리온 측은 “자사주는 별도 배당이 없는 만큼 기존 보유한 자사주와 올해 시장에서 매입한 자사주를 포함한 약 1291만주 분만큼의 배당금은 회사 재투자에 이용할 수 있어 주주들은 주당 500원 이상의 배당 효과를 누릴 전망”이라고 했다.이번 배당을 통한 셀트리온의 주주환원율은 163.3%로 지난해 코스피 상위 10대 기업 평균인 54.7%를 훌쩍 뛰어넘는 수준이다. 또 셀트리온은 주식 가치 희석을 최소화하기 위해 내년 1월 약 4236억 규모, 231만주의 자사주 소각을 진행할 계획이다. 셀트리온 측은 “이번 배당은 회사가 성장하는 데 지지를 보내준 주주들과 이익을 공유하는 차원에서 주주가치 제고라는 대원칙을 바탕으로 각 사의 상황을 고려해 결정된 것 “이라며 “향후에도 주주환원 정책을 강화하기 위해 이익 의 30% 수준까지 현금 배당을 높인다는 계획”이라고 했다.셀트리온과 셀트리온헬스케어는 12월 28일 통합 법인으로 출범할 예정이다. 내년 1월 신주 상장이 마무리되면 합병의 모든 절차가 끝난다."
2023-08-17,"셀트리온, 셀트리온헬스케어 흡수 합병","인천시 연수구에 있는 셀트리온 공장의 모습./뉴스1셀트리온그룹은 17일 이사회를 열고 계열사인 셀트리온과 셀트리온헬스케어의 합병 절차에 돌입한다고 밝혔다. 서정진 회장은 “먼저 두 회사를 합병한 이후 6개월 내에 셀트리온제약과 두 번째 합병을 추진할 것”이라고 했다. 이번 합병은 셀트리온이 셀트리온헬스케어를 흡수 합병하는 형태다. 셀트리온헬스케어 주주들에게 셀트리온 신주를 발행하는 방식으로, 절차를 거쳐 오는 연말까지 합병이 마무리될 계획이다.현재 셀트리온그룹은 셀트리온홀딩스가 3사를 거느리고 있다. 셀트리온이 의약품 연구·생산을 맡고, 셀트리온헬스케어와 셀트리온제약은 셀트리온의 생산 물량을 각각 해외와 국내에 독점 판매하고 있다. 해외에서 셀트리온 의약품을 구매하면 셀트리온과 셀트리온헬스케어 두 회사에 매출이 잡히는 구조 탓에 일각에서는 ‘매출 부풀리기’ 의혹을 제기해 왔다. 이번 합병을 통해 지배구조를 단순화하겠다는 것이다. 현재 서정진 회장은 셀트리온홀딩스 지분의 98%를 보유하고 있다.셀트리온그룹은 2030년까지 매출 12조원을 달성하고, 전체 매출의 40%를 신약으로 채운다는 목표다. 서 회장은 “합병을 통해 경쟁력을 강화하고 대규모 투자를 진행할 수 있을 것”이라며 “사업 운영의 투명성도 높일 수 있을 것”이라고 말했다."
2023-07-26,셀트리온의 숙원 ‘3형제 합병’ 개시,"셀트리온·헬스케어·제약 등 3사미래에셋 주관 연내 합병 가능성셀트리온 그룹의 오랜 숙원 사업인 그룹 내 상장사 3사 합병 작업이 시작됐다. 증권가에서는 이르면 다음 달부터 본격 합병 절차에 들어가 연내 합병이 마무리될 것으로 전망한다.셀트리온 그룹은 최근 셀트리온, 셀트리온헬스케어, 셀트리온제약의 합병 주관사로 미래에셋증권을 선정한 것으로 알려졌다. 셀트리온은 코스피, 셀트리온헬스케어와 셀트리온제약은 코스닥에 상장돼 있다.3사 합병은 셀트리온 그룹의 오랜 숙원 사업이다. 현재 셀트리온 그룹은 셀트리온홀딩스가 3사를 거느리고 있다. 셀트리온이 의약품 연구·생산을 맡고, 셀트리온헬스케어와 셀트리온제약은 셀트리온의 생산 물량을 각각 해외와 국내에 독점 판매하고 있다. 이런 구조 때문에 해외에서 셀트리온의 의약품을 구매할 경우에 셀트리온과 셀트리온헬스케어 양쪽 모두 매출이 잡혔다. 이를 두고 일각에서는 ‘매출 부풀리기’ 의혹을 제기해 왔다. 셀트리온 그룹은 이번 합병을 통해 서정진 회장-셀트리온홀딩스-3사 합병법인으로 지배구조를 단순화하겠다는 구상이다. 현재 서정진 회장은 셀트리온홀딩스 지분의 98%를 보유하고 있다.업계에서는 3사 합병이 완료되면 경영 효율화와 회계 투명성을 확보할 수 있을 것으로 기대한다. 다만 합병으로 인해 본인들이 보유한 주가가 떨어질 것을 우려하는 일부 주주들의 반발은 넘어야 할 산이다. 합병에 반대하는 주주는 회사 측에 보유 주식을 매입해 달라고 주식매수청구권을 행사할 수 있다. 지난해 말 기준 셀트리온의 소액주주는 전체 주식의 66%, 셀트리온헬스케어는 59%, 셀트리온제약은 45%를 차지하고 있다."
2023-03-10,"서정진 경영일선 복귀에, 셀트리온 삼총사 주가 급등","이사회 공동의장 이달 복귀하지만3사 합병 등 풀어야할 과제 많아포스트코로나, 성장동력 확보 시급서정진 셀트리온 명예회장의 경영 일선 복귀 소식 이후 그룹 3사의 주가가 일제히 상승세다. 9일 셀트리온(9.4%)과 셀트리온헬스케어(19.7%), 셀트리온제약(47.1%)의 주가는 복귀 소식이 전해진 전날인 2일보다 대폭 급등 마감했다. 특히 셀트리온헬스케어와 셀트리온제약의 주가는 5거래일 연속 상승했다.코로나 이후 바닥으로 떨어졌던 셀트리온 상장사들의 주가가 ‘서정진 효과’를 보고 있다. 한때 40만원이었던 셀트리온 주가는 서 명예회장의 퇴진 이후 하락하며 14만원대까지 떨어졌고, 셀트리온헬스케어와 셀트리온제약도 마찬가지로 2년 새 약 70% 폭락했다.2021년 3월 돌연 사임한 서 명예회장은 오는 28일 주주총회를 거쳐 지주사인 셀트리온홀딩스와 그룹 3사의 이사회 공동의장으로 경영에 참여할 예정이다. 증권가에서는 “서 명예회장의 복귀는 주가와 기업가치 상승을 견인할 긍정적 신호”라는 평가가 나오지만 업계에서는 “서 명예회장이 풀어야 할 숙제들이 많을 것”으로 예상한다.먼저 셀트리온 그룹 3사 합병 문제가 가장 큰 숙제다. 셀트리온 그룹은 일각에서 제기하는 매출 부풀리기 의혹을 해소하기 위해 3사 합병을 추진하고 있다. 셀트리온 그룹엔 현재 바이오 의약품의 연구·생산을 맡는 셀트리온과 생산 물량을 각각 해외와 국내에 판매하는 법인인 셀트리온헬스케어와 셀트리온제약이 있다. 이런 구조 탓에 셀트리온의 매출이 셀트리온제약과 셀트리온헬스케어 양쪽에 잡힌다는 지적이 나온다.셀트리온의 지배구조는 지주사인 셀트리온홀딩스가 3개 회사를 거느리는 구조다. 앞으로 3사 합병을 통해 서정진-지주회사-3사 합병법인으로 단순화된다. 바이오 업계 관계자는 “두 아들에게 그룹을 승계하기 위해서도 3사 합병을 서둘러야 하는 상황”이라며 “셀트리온 분식 회계 이슈가 해소되면서 복귀에 부담이 덜했을 것”이라고 말했다.포스트 코로나 시대로 접어들면서 회사 성장 동력 확보도 시급하다. 지난해 매출은 2조2839억원으로 역대 최대를 기록했지만, 영업이익은 13% 감소했다. 증권가에서도 셀트리온의 목표 주가를 낮추는 상황이다. 이를 돌파하기 위해 셀트리온은 세계 최대 바이오 시장인 미국 진출을 준비하고 있다. 미국 제약사 에브비가 개발한 자가면역질환 치료제 ‘휴미라’의 바이오시밀러(바이오 복제약) ‘유플라이마’와 주력 제품인 자가면역질환 치료제 램시마SC가 올해 허가를 앞두고 있다. 또한 업계에서는 서 명예회장이 신약 회사 인수·합병(M&A)에 적극 나설 것으로 예상한다. 셀트리온 측은 “서 명예회장의 빠른 판단과 의사 결정으로 미국 진출과 신약 후보군 확보에 속도가 날 것”이라고 했다."
2023-03-29,‘주가 폭락’ 셀트리온 어제 주총… 돌아온 서정진 회장에 주주들 분풀이,"시끌벅적 주총서 경영 복귀 확정28일 인천 송도 컨벤시아에서 열린 셀트리온 주주총회에서 주가 폭락에 뿔난 주주들이 2년 만에 복귀한 서정진<사진>회장과 경영진에 항의하며 큰 소동이 일어났다. 서 회장은 주주들에게 “죄송하다”며 거듭 사과했다.이날 700여 명의 주주가 모인 셀트리온 주총에서 서정진 회장의 경영 일선 복귀가 확정됐다. 2021년 3월 사임한 서 회장은 이날 그룹 3사(셀트리온·셀트리온헬스케어·셀트리온제약)의 사내이사와 이사회 공동의장으로 선임됐다. 서 회장은 “전 세계가 어렵기 때문에 그룹 총수가 영업 현장에 들어가야 한다”며 “열심히 일해서 신속하게 결정하고, 위기를 극복하겠다”고 말했다.위기 극복을 이유로 서 회장이 복귀했지만 주총장에서는 주가 폭락으로 손해 본 주주들의 성토가 이어졌다. 코로나 팬데믹(대유행)이 한창이던 2020년 12월 40만원을 넘으며 고점을 찍었던 셀트리온 주가는 2년 새 60% 넘게 폭락했다. 현재 셀트리온 주가는 15만원대에 머물러 있다. 셀트리온헬스케어와 셀트리온제약도 고점 대비 약 70% 떨어진 상태이다.머리에 빨간 띠를 두른 주주 30여 명은 “주가 하락에 대해 경영진이 책임져야 한다”며 고성을 질렀다. 한 주주는 “그동안 경영을 제대로 못 해 역성장을 만든 경영진은 사퇴해야 한다”며 “기우성 대표와 서진석 의장이 동반 사퇴해야 한다”고 말했다. 다른 주주도 “주가가 정상화될 수 있도록 노력해야 한다”고 했다. 주총 중에서 경영진에게 소리치며 항의하던 일부 주주가 퇴장당하기도 했다.서 회장은 주주들을 달래느라 진땀을 흘렸다. 그는 “요새 금융시장이 어렵다 보니 여러분한테 입이 열 개라도 할 말이 없다”며 “여러분을 화나게 해 대단히 죄송하다”고 말했다. 서 회장은 이날 앞으로 경영 계획도 밝혔다. 그는 인수·합병(M&A)과 관련해 “상반기는 관찰하고 연말에 움직일 것”이라고 했다. 또 3사 합병에 대해서는 “(금융감독원 심사 결과에 대한) 행정 절차가 7월에 끝나지만 금융시장이 언제 안정될지 모르니 기다려야 한다”고 말했다."
2023-03-03,"서정진 셀트리온 명예회장, 2년만에 경영 복귀","셀트리온 창업주 서정진 명예회장이 경영 일선에서 물러난 지 2년 만에 복귀한다.서정진 셀트리온 명예회장 /셀트리온셀트리온그룹은 3일 이사회를 열고 “서정진 명예회장을 셀트리온홀딩스를 비롯해 그룹 내 상장사인 셀트리온, 셀트리온헬스케어, 셀트리온제약의 사내이사 겸 이사회 공동의장 후보자로 추천하는 안건을 통과시켰다”고 밝혔다. 오는 28일 열리는 회사별 주주총회와 회사별 이사회를 거쳐 선임이 최종 확정된다. 임기는 2년이다.서 명예회장은 2021년 만 65세가 되면서 돌연 경영에서 물러났다. 이후 셀트리온홀딩스와 셀트리온, 셀트리온제약의 이사회 의장은 장남인 서진석씨가, 셀트리온헬스케어의 이사회 의장은 차남인 서준석씨가 맡아왔다.셀트리온은 “글로벌 경제가 심각한 위기 상황이고 전략 제품 출시, 신약 후보군 확보, 계열사 합병 등 여러 현안이 산적해 있다”며 “서 명예회장의 빠른 판단과 의사 결정이 필요해 이번 이사회에서 경영 복귀를 추진한 것”이라고 밝혔다.투자 업계에서는 서 명예회장이 주주들의 불만을 잠재우기 위해 경영에 복귀했다는 분석도 내놓는다. 현재 셀트리온 주가는 코로나 사태가 한창이던 2020년 말과 비교해 반 토막 수준으로 떨어졌다. 서 명예회장의 경영 복귀 소식이 전해진 3일 셀트리온(4.8%)·셀트리온헬스케어(7.1%)·셀트리온제약(15.6%)의 주가는 일제히 급등 마감했다."
2022-03-15,분식회계 의혹 벗어나자… 셀트리온 3형제 주가 일제히 상승,"셀트리온 4%, 제약 6% 넘게 올라인천 송도자유경제구역에 위치한 셀트리온 2공장./셀트리온셀트리온그룹 3사가 분식회계 의혹에서 벗어나면서 일제히 주가가 상승했다.14일 유가증권시장에서 셀트리온은 전 거래일보다 4.34% 오른 18만500원에 거래를 마쳤다. 코스닥시장에서 셀트리온헬스케어와 셀트리온제약은 각각 5.11%, 6.09% 주가가 올랐다.앞서 금융위원회 증권선물위원회(증선위)는 지난 11일 셀트리온, 셀트리온헬스케어, 셀트리온제약이 회계 처리 기준을 위반하긴 했지만 고의성은 없었다는 결론을 내렸다. 사실상 분식회계는 아니었다고 본 것이다.과실에 대한 조치로는 담당 임원 해임 권고, 감사인 지정조치, 과징금 부과를 의결했다. 셀트리온 3사는 임직원의 검찰 고발·통보 대상이 되지 않았기 때문에 투자자들이 우려했던 거래 정지는 피했다.2018년 말부터 금융 당국의 조사가 시작된 셀트리온 분식회계 논란의 핵심은 셀트리온헬스케어가 재고 자산을 부풀렸는지 여부다. 셀트리온헬스케어는 셀트리온이 개발·생산한 바이오시밀러(바이오 복제약)를 해외에 판매한다. 금융 당국은 셀트리온헬스케어가 재무제표에 재고 자산 가치의 하락을 제대로 반영하지 않았다고 의심했다.이날 증권가에서는 “셀트리온 3사가 분식회계 논란에서 벗어나며 투자 심리 개선 효과가 클 것”이라고 분석했다. 올해 1월 14일 증선위의 분식회계 감리 소식이 전해지자 셀트리온헬스케어 주가가 17% 급락하는 등 셀트리온 3사의 주가는 계속 약세를 보였다."
2022-01-15,셀트리온 ‘분식회계’ 검찰에 고발되나,"증선위 곧 위반여부 논의 시작… 셀트리온 3社 주가는 12% 폭락분식회계 의혹을 받고 있는 셀트리온에 대해 금융위원회 증권선물위원회(증선위)가 조만간 분식회계 여부와 과징금 부과, 검찰 고발 등 제재안을 확정하는 논의를 시작할 것으로 14일 알려졌다. 이 같은 소식이 전해지자 셀트리온과 셀트리온헬스케어, 셀트리온제약의 주가는 이날 모두 12%가량 폭락했다.2018년 말 금융 당국의 조사가 시작된 셀트리온 분식회계 논란의 핵심은 셀트리온헬스케어가 재고 자산을 부풀렸는지 여부다. 셀트리온이 개발·생산한 바이오시밀러(바이오 복제약)는 셀트리온헬스케어와 셀트리온제약이 각각 해외와 국내에서 판매한다. 이 과정에서 셀트리온헬스케어와 셀트리온제약은 셀트리온으로부터 바이오시밀러를 사들여 창고에 쌓아둔다.금융 당국은 셀트리온헬스케어가 쌓아둔 재고 자산 가치의 하락을 반영하지 않았다고 의심하고 있다. 시간이 지나면서 재고 자산의 가치는 떨어지는데, 이를 재무제표에 제대로 반영하지 않았다는 것이다. 그만큼 손실 처리가 안 됐다는 의미다. 셀트리온헬스케어의 재고 자산은 지난해 3분기 기준 1조7883억원이다. 지난해 3분기 누적 매출액 1조1987억원보다 많다.계열사들이 지배-종속 관계면 내부 거래는 연결 실적에서 제외되지만, 셀트리온과 셀트리온헬스케어는 지분 구조상 별개의 회사여서 내부 거래도 매출과 영업이익에 반영해 왔다. 이로 인해 시장에서는 “두 회사가 내부 거래로 매출을 부풀리는 것 아니냐”는 논란도 있었다. 이에 대해 셀트리온 측은 “회계법인의 감사를 받은 정상적인 회계 처리였으며, 증선위가 열리면 성실하게 소명하겠다”고 말했다.하지만 시장에서는 “소액주주들의 반발을 우려한 금융 당국이 대선을 앞둔 시점에서 쉽게 결정을 내리기는 쉽지 않을 것”이라는 전망도 나온다. 실제로 소액 주주들은 이날 주가가 급락하자 “금융 당국이 3년 넘게 처리를 미루다가 하필이면 주가가 고점 대비 50% 이상 급락한 상황에서 제재를 검토하느냐”고 반발했다."
