date,title,content
2024-12-20,에르메스 등 장애인 고용 의무 안 지킨 328개 업체 공개,"지난 2022년 현대백화점 판교점의 에르메스 쇼윈도/조선DB정부가 장애인 고용 의무를 다하지 않은 사업체 328개 명단을 20일 공개했다. 정부와 지자체, 공공기관의 경우 의무 고용률인 3.6% 미만, 민간 업체는 1.55% 미만이면 공개 대상이다.20일 고용노동부에 따르면, 올해 공개된 사업체 수는 전년에 비해 28% 감소했다. 그러나 여전히 장애인을 한 명도 고용하지 않거나 10년 이상 고용 의무를 다하지 않는 곳도 있었다. 대표적인 게 명품 업체 에르메스다. 405명의 상시 근로자를 고용한 에르메스코리아는 12명의 장애인 고용 의무가 있지만, 단 한 명도 고용하지 않았다. 까르띠에, 피아제, 몽블랑 등이 속한 리치몬트코리아는 1393명의 상시 근로자가 근무하지만, 장애인은 단 2명(0.14%)만 일하고 있다. 리치몬트코리아는 10년 이상 장애인 의무 고용 비율을 지키지 않는 업체 중 하나였다.지자체 중에선 충북 음성군·강원 화천군·전남 영암군 등이, 공공기관 및 출자·출연법인 중엔 한국기상산업기술원·재단법인전주문화재단·재단법인 남양주시복지재단 등이 이름을 올렸다. 민간에서는 제조업체인 더블유씨피(0%)와 신성통상(0.18%), 종근당(0.3%), 오케이저축은행(0.47%) 등이 장애인 고용 의무를 다하지 않은 것으로 나타났다."
2023-09-14,"영남이공대, 신성통상과 전문인력 양성 협약 체결","이재용 총장과 강석균 본부장이 협약식을 마치고 기념사진을 촬영하고 있다영남이공대학교는 13일 천마스퀘어 역사관에서 신성통상과 전문인력 양성을 위한 상호협력 업무협약을 체결했다.이번 협약식은 산학 네트워크 구축을 통해 패션디자인마케팅 분야 전문인력을 양성하고 지역 청년 일자리 창출 및 취업 연계를 위해 마련됐다.이날 협약식에는 영남이공대학교 이재용 총장, 권기홍 교학부총장, 패션디자인마케팅과 이혜주 학과장, 허지영 교수, 신성통상㈜ 탑텐사업본부 강석균 상무, 영업팀 이상윤 팀장, 상권개발팀 최연민 팀장,HR팀 최종락 팀장 등 양 기관 관계자 10여 명이 참석했다.양 기관은 이번 협약을 통해 ▲산업체 현장실습 및 취업 지원 ▲교육과정 및 교재 공동개발 ▲계약학과 및 주문식 교육과정 개발 및 운영 ▲캡스톤디자인 등 학교 교육 프로그램 참여 ▲산업 기술의 공동 연구 및 개발 ▲산학협력 프로젝트 공동참여 ▲산업체 전문 인력 강의 참여 ▲산업체위탁교육 및 학술 정보 교류 등을 약속했다.신성통상은 니트의류 전문 수출업체로 출발해 현재 수출과 내수의 양대 사업을 축으로 지속적인 성장을 이루고 있으며, 2023년 대한민국 올해의 브랜드 대상을 수상한 탑텐과 탑텐키즈를 비롯한 캐주얼, 아동복 브랜드, 지오지아 올젠 에디션 등의 남성복 브랜드를 보유한 최고의 패션기업이다.영남이공대학교 이재용 총장은 “국내 패션브랜드 시장의 선두를 달리고 있는 신성통상㈜과의 협약으로 산업체 맞춤형 전문인력 양성과 취업 연계가 성공적으로 이뤄지길 기대한다”며 “대학과 협약기업의 인적·물적 인프라를 적극적으로 활용해 패션 산업을 이끌어갈 실무형 전문 인재 양성에 최선을 다하겠다”고 말했다.영남이공대학교는 전국 최고 학과 경쟁력 및 취업 시스템 구축, 일학습병행 및 지자체 상생 발전 등을 위한 다양한 국고 지원 사업 선정으로 직업교육 중심대학으로 인정받았으며, 국가고객만족도(NCSI) 전문대학 부문 10년 연속 전국 1위에 선정으로 국내 전문대학을 대표하는 '톱클래스'임을 증명하고 있다."
2024-12-11,"탑텐, 유엔난민기구와 파트너십 협약","강석균 신성통상㈜ 패션Biz총괄 본부장(왼)과 전혜경 유엔난민기구 아시아태평양 지역본부장이 유엔난민기구 파트너십 협약에 서명하는 모습SPA브랜드 탑텐(TOPTEN10)이 유엔난민기구(UNHCR)와 손잡고 다양한 난민 보호 활동에 동참한다. 탑텐은 지난 10일 유엔난민기구와 파트너십 협약을 체결하고, 현물, 현금기부, 공익연계마케팅, 난민 채용 등 주요 보호 활동에 협력하기로 하였다.탑텐은 좋은 옷으로 희망을 나눈다는 새로운 캠페인 슬로건 ‘GOODWEAR,GOODHOPE’를 내걸고, 유엔난민기구와의 파트너십 체결을 통해 한국을 넘어 국제 사회의 관심과 지원이 시급한 ‘난민 보호’에 나서기로 했다.10일 진행된 협약식에는 강석균 신성통상㈜ 패션Biz총괄 본부장과 전혜경 유엔난민기구 아시아태평양 지역본부장이 참석해 협약서에 서명하고, 난민 아동 지원을 포함해 주요 난민 이슈 현안을 짚어보며, 지속가능한 파트너십을 위한 실질적인 방안에 대해 논의를 나눴다.이번 파트너십을 통해 탑텐은 전 세계 난민의 기초적인 일상에 필요한 보건 및 겨울 의류 기부뿐 아니라, 경제적 자립을 지원하기 위해 내년 상반기부터 일부 탑텐 매장 내 한국 거주 중인 난민을 채용할 예정이다.또한, 다양한 사회 구성원과 더불어 사는 삶의 의미를 나누는 ‘세계 지구의 날’,‘세계 난민의 날’ 등의 기념일에는 특별한 디자인의 티셔츠를 출시해 판매 금액 일부를 후원하는 지속가능한 지원 계획도 세웠다.강석균 신성통상㈜ 패션Biz총괄 본부장은 “옷은 개인의 다양한 개성 표현을 돕는 아이템이기 이전에 건강하고 쾌적한 일상을 유지하는 데 기초적인 아이템”이라며 “유엔난민기구와의 파트너십을 통해 어려운 환경에 처했어도 희망을 잃지 않는 난민분들에게 장기적인 관점에서 탑텐에서 할 수 있는 가장 실질적인 도움을 나누고 싶다”라고 말했다.전혜경 유엔난민기구 아시아태평양 지역본부장은 “탑텐과의 파트너십은 전 세계 난민들에게 큰 도움이 될 것”이라며 “특히 현물, 현금 기부를 통한 지원을 넘어, 난민 채용 등 자립을 돕는 해결책을 포함하는 포괄적 파트너십이라는 점에서, 이번 탑텐과의 협력을 매우 감사하고, 기쁘게 생각한다. 이는 한국에서는 첫 사례로 앞으로 모범적인 협력 모델이 될 것으로 기대한다”라고 말했다."
2024-12-03,"탑텐, 난방 취약계층에 발열내의 온에어·연탄 기부","탑텐, 어려운 이웃 위해 온에어 1만장 및 연탄 2천장 기부신성통상(대표 염태순)SPA브랜드 탑텐(TOPTEN10)이 지난 2일 추워지는 날씨 속 난방 취약계층에 따스한 온기를 전달하기 위해 탑텐의 천연 보습 발열내의 온에어 및 연탄을 기부했다.탑텐은 좋은 세상을 위한 탑텐의 움직임을 뜻하는'GOODACTION,GOODWEAR'라는 슬로건 하에 도움이 필요한 지역 사회에 의류 나눔부터 플로깅, 연탄 나눔 등 다양한 봉사 활동을 적극적으로 진행해 왔다. 이 가운데 올해 연말에도 지난해와 마찬가지로 취약 계층에 발열내의 온에어 1만 장과 연탄 2천 장을 기부하며 온기를 전하기로 결정했다.올해도 서울 노원구 상계동 별빛마을에서 진행된 나눔 활동에는 탑텐 임직원뿐 아니라 탑텐 모델로 활동하고 있는 국가대표 피겨스케이팅 선수 차준환과 탑텐 임직원들이 참석해 이웃들과 직접 인사를 나누고 온에어와 연탄을 전하는 등 따뜻한 마음을 나눴다.탑텐은 상계동을 포함해 이후 서울, 강원, 경기, 인천, 전북, 충남 등 도움이 필요한 전국 취약계층에 밥상공동체 연탄은행을 통해 총 1만 장의 온에어를 전달할 계획이다.신성통상 패션Biz마케팅부문 양명아 상무는 ""고물가에 따른 경기 침체가 장기간 이어지고 있지만, 이럴 때일수록 서로를 도우며 함께 일어서야 한다고 생각한다”라며 “올 한 해도 모두 고생 많으셨고 내년에도 탑텐은 좋은 옷을 통해 소비자에게 보답하는 동시에 지역 사회에 도움이 될 수 있도록 다양한 방안을 모색해 나가겠다”라고 말했다.한편, 탑텐은 매년 산불 및 수해 피해 지역 및 의무경찰, 소방관, 의료진 등 도움이 필요한 다양한 계층에 의류 지원 등을 통해 지역 사회 곳곳에서 나눔을 적극 실천하고 있다. 최근에는 여름 폭염으로 고생하는 취약 계층에 땀과 열을 배출하는 기능성 의류인 쿨에어 1만 5천 장을 기부한 바 있다."
2023-05-14,한국인 명품소비 잠재웠다…8000억 매출 대박 난 패션 브랜드,"신종 코로나바이러스 감염증(코로나19) 기간 주춤했던 제조·유통 일괄(SPA) 패션 브랜드가 기지개를 켜고 있다. 엔데믹으로 일상 회복이 가시화되면서 가두점(roadshop) 위주로 매출을 올리는SPA브랜드가 선방했다는 분석이 나온다. 금리 인상과 고물가로 지갑이 얇아진 소비자들이 ‘가성비’를 내세우는SPA브랜드를 찾은 점도 주효했다.이달 초 리뉴얼 개장한 서울 영등포구IFC몰 내 자라 매장 전경. 사진 자라코리아14일 관련 업계에 따르면 이른바 ‘노재팬(일본 상품 불매)’ 타격을 받았던 유니클로는 지난해 국내서 8000억원이 넘는 매출을 올려SPA브랜드 매출 1위를 기록했다. 유니클로를 운영하는 에프알엘코리아는 8월에 연간 매출 등을 공개한다. 하지만 이에 앞서 에프알엘코리아에 49% 지분을 출자한 롯데쇼핑이 지난 3월 공개한 사업보고서에서 유니클로의 연간 매출이 공개됐다. 지난해 매출은 8036억원으로 전년 대비 31% 증가했으며, 같은 기간 영업이익은 1348억원으로 73% 늘었다.그래픽=신재민 기자shin.jaemin@joongang.co.kr신성통상이 운영하는 탑텐도 지난해 전년 대비 37% 뛴 7800억원의 매출을 기록했다. 탑텐은 유니클로에 대항하는 국산SPA브랜드로 ‘노재팬’ 특수에 힘입어 매년 두 자릿수 매출 증가율을 기록하고 있다. 또 다른 국산SPA브랜드 이랜드 스파오도 지난해 전년 대비 25% 증가한 4000억원의 매출을 기록했다.탑텐, 스파오, 에잇세컨즈 등 국내SPA브랜드도 지난해 고루 성장했다. 사진 스파오스페인SPA패션 브랜드 자라는 지난해 국내서 온·오프라인 통합 매출 5552억원, 영업이익 639억원을 기록했다. 각각 전년 대비 8.7%, 71% 상승한 결과다. 또 다른 글로벌SPA브랜드 H&M은 지난해 국내서 3368억원의 매출을 올려 전년 대비 12.4% 성장했다.SPA브랜드의 고른 성장 배경으론 ‘리 오프닝(경제 활동 재개)’이 꼽힌다. 사회적 거리 두기 해제로 외출이 잦아지면서 의류 수요가 증가한 데다, 오프라인 매장 위주로 매출을 올리는SPA브랜드가 주로 수혜를 입었다는 분석이다. 실제 자라의 경우 지난해 온라인(아이티엑스코리아) 매출은 1410억원으로 전년 대비 오히려 소폭 감소했지만, 오프라인(자라리테일코리아) 매출은 4142억원으로 12% 증가했다.고물가로 소비 심리가 약화하면서 ‘가성비’가 다시 고개를 들고 있다는 분석도 나온다. 코로나19 기간 해외 여행길이 막히며 상대적으로 넉넉해진 주머니로 명품 등 고가 패션에 눈을 돌렸던 소비자들이 물가 인상으로 소비 여력이 떨어지면서 다시 저렴한SPA브랜드를 찾고 있다. 일례로 삼성물산이 전개하는SPA브랜드 에잇세컨즈의 올해 1분기 매출은 전년 동기 대비 30% 늘었다. 이랜드 스파오 역시 올해 4월까지 매출이 전년 대비 30% 신장한 상태다.에잇세컨즈는 올해 1분기 전년 동기 대비 30% 높은 매출을 기록했다. 사진 삼성물산반면 고가 및 수입 패션 브랜드의 성장세는 주춤하고 있다. 신세계인터내셔날은 올 1분기 매출 3122억원으로 전년 동기 대비 11.4% 줄었다. 영업이익은 103억원으로 69% 감소했다. 타임·마인 등 고가 여성복 위주로 전개하고 있는 한섬은 올 1분기 4059억원으로 전년 동기 대비 3.7% 증가하는 데 그쳤다. 영업이익은 8.2% 감소해 543억원을 기록했다.주요 패션 기업 2023년 1분기 실적. 그래픽=신재민 기자shin.jaemin@joongang.co.krSPA브랜드는 코로나19 기간 주춤했던 성장에 고삐를 죄고 있다. 공격적 행보도 보인다. 유니클로는 지난달 부산 동래점에 이어 경주 지역 첫 매장을 열며 오프라인 접점 확대에 나섰다. 자라는 지난해 서울 잠실 롯데월드몰 매장 재정비에 이어 최근에는 여의도IFC몰점을 새로 바꿔 재개장했다. 스파오 역시 올해 매장 30개를 추가로 열어 올해 매출을 5000억원까지 끌어올린다는 계획이다.지난달 28일 유니클로는 경북 경주 지역에 첫 매장의 문을 열었다. 사진 유니클로"
2022-05-04,"SPA에도 봄바람이...탑텐 1위, 자라·H&M 완연한 회복세","신종 코로나바이러스 감염증(코로나19) 확산과 불매 운동 여파 등으로 실적 뒷걸음질을 쳤던SPA(제조·유통·판매 일괄형) 패션 브랜드들이 완연한 회복세를 보이며 기지개를 켜고 있다.지난해 12월 자라와 한국 패션 브랜드 아더에러와의 협업 제품을 사기 위한 긴 줄이 늘어선 모습. [사진 자라]4일 금융감독원 전자공시시스템에 따르면 자라의 한국 법인 자라리테테일코리아는 2021 회계연도(2021년 2월1일~2022년 1월31일) 기준 3697억원의 매출을 기록했다. 이는 전년 대비 21% 늘어난 규모다. 영업이익은 267억원, 당기순이익 165억원으로 모두 흑자 전환에 성공했다. 자라의 온라인 사업법인인 아이티엑스코리아는 매출 1411억원으로, 두 법인의 합산 매출은 4828억원이다. 전년 대비 8.9% 늘어난 수치다.이는 글로벌SPA브랜드 1위인 유니클로와의 격차를 크게 좁힌 기록이라 눈길을 끈다. 유니클로를 운영 중인 에프알엘코리아의 2021년 회계연도(2020년 9월 1일~2021년 8월 31일) 매출액은 5824억원으로 전년 대비 5.1% 줄었다. 유니클로는 2019 회계연도(2018년 9월 1일~2019년 8월 1일)에 1조3700억원의 매출을 기록한 후, 일본 제품 불매 운동 영향으로 다음 해 매출이 6000억원대로 떨어지는 등 하락세를 지속해왔다.스웨덴 패션 브랜드 H&M을 운영하는 한국법인 에이치앤엠헤네스앤모리츠도 지난해 2995억원의 매출을 기록해 큰 폭으로 성장했다. 전년 대비 12.3% 늘어난 규모다. 같은 기간 영업이익은 92억원으로 25.7% 늘었으며, 당기순이익은 26.0% 증가한 67억원이다.탑텐·스파오 등 토종SPA브랜드의 약진도 두드러졌다. 4일 패션 업계에 따르면 신성통상이 운영하는 탑텐의 매출이 5850억원을 기록,SPA브랜드 1위로 올라섰다. 전년 대비 36% 신장한 규모다. 탑텐은 2019년 일본 제품 불매 운동 여파로 반사이익을 얻으면서 이후 매년 1000억원 안팎의 매출 증가를 기록하고 있다. 2019년에는 3340억원, 2020년에는 4300억원의 매출을 올렸다. 이랜드가 전개하는 스파오도 2년 연속 3200억 원대 매출을 올리고 있다.SPA패션 브랜드의 실적 회복세는 지난해부터 시작된 보복소비 등이 영향을 준 것으로 보인다. 코로나19가 장기화하면서 억눌렸던 소비 심리가 분출하면서 매출이 전반적으로 살아난 것이다. 패션 업계 관계자는 “거리 두기 전면 해제, 실외 마스크 의무화 폐지 등 일상 회복이 빠르게 진행되고 있어 오프라인 판매 업장을 중심으로 운영됐던SPA브랜드의 매출 회복세는 더욱 빨라질 것으로 보인다”고 했다."
2024-10-16,신성통상 오너 일가의 수상한 주식거래…자녀 ‘편법 증여’ 의혹,"염태순 회장, 자녀들에 지분 줬다 비싼값에 되사들여…국세청장 “들여다보고 있다”지난 2019년 8월 14일 일본의 무역 보복에 반발해 국내에서 일제 불매운동이 벌어지던 당시 서울 명동의 탑텐 매장에서 광복절을 기념해 만든 티셔츠가 진열된 모습. 연합뉴스염태순 신성통상 회장이 주식 내부거래를 통해 자녀에게 부를 편법 증여하고 이 과정에서 주식 불공정거래가 있었다는 의혹이 제기됐다. 신성통상은 의류 브랜드 탑텐, 지오지아 등을 운영하는 중견 의류 기업이다. 앞서 신성통상은 상장폐지를 목적으로 가족 회사를 앞세워 공개매수를 추진해 논란이 인 바 있다.16일 금융감독원 전자공시와 국회 기획재정위원회 소속 오기형 더불어민주당 의원실 설명을 들어보면, 염 회장은 2021년 6월7일 자녀인 혜영·혜근·혜민씨에게 신성통상 지분을 4%(574만여주)씩 증여했다. 이에 염 회장의 지분은 8.21%로 줄었다. 1인당 증여 재산 가액(증여일 당시 종가 기준으로 추산)은 약 152억원이다.그런데 석달 뒤인 9월14일 세 자매는 각각 100만주씩 주식을 돌연 팔아치웠다. 사들인 쪽은 신성통상의 최대주주인 가나안이다. 가나안은 염 회장과 그의 아들 상원씨가 모두 지분 90% 이상을 들고 있는 사실상 염 회장 가족회사다. 염 회장이 세 자매에게 지분을 증여했다가 그 중 일부를 가나안을 통해 다시 사들인 모양새다.공교로운 건 지분을 되팔 때 주가가 사실상 고점이었다는 점이다. 신성통상의 주가는 증여 당시 2645원이었으나 이후 추세적 상승을 해 주식을 되판 9월14일엔 4100원까지 올랐다. 그 뒤 다시 이 회사 주가는 추세적으로 하락해 보름 뒤인 10월1일에는 3500원을 밑돌았다. 세 자매가 아버지 회사에 주식을 고점 매도하면서 벌어들인 차액은 각각 약 22억원이다. 이 거래 이후 세 자매의 주식 거래는 없다가 올해 2월 염 회장의 추가 증여에 따라 6월 말 현재 세 자매의 지분율은 1인당 5.3%(약 760만주)다.오기형 의원은 이날 국회 국정감사에서 이 주식 거래에 대해 편법 증여는 물론 미공개 정보 이용 가능성을 제기했다. 오 의원은 “염 회장은 신성통상의 대표 이사이자 주주로서, 세 딸에게 개인주식을 증여할 2021년 6월 당시 신성통상의 2021년 실적이 과거에 비해 크게 개선되었다는 점을 알고 있었을 것으로 보인다”고 주장했다. 이에 대해 강민수 국세청장은 “해당 이슈에 대해서 들여다보고 있다”며 “국정감사장에서 제기한 이슈이니 소홀히 하지 않겠다”고 했다. 신성통상 쪽은 “현재 해당 사안에 대해 파악 중”이라고 밝혔다.신성통상 누리집 갈무리"
2024-07-25,"신성통상, 공개매수 실패…상장폐지로 ‘배당 잔치’ 꼬이나?","포괄적 주식 교환으로 선회할 수도탑텐 매장 전경. 연합뉴스국내 의류 브랜드 탑텐, 지오지아 등을 운영하는 신성통상이 상장폐지를 목적으로 가족 회사를 앞세워 추진한 공개매수가 실패로 돌아갔다. 앞서 시장에서는 대주주 일가가 상장폐지 후 배당을 통해 약 3천억원의 유보금을 가족끼리 나눠 가지려는 것 아니냐는 의혹이 불거진 바 있다.24일 주식회사 가나안과 에이션패션이 공시한 공개매수 결과보고서를 보면, 지난달 21일부터 지난 22일까지 한달간 진행된 공개매수를 통해 신성통상 대주주 일가가 확보한 지분은 종전보다 5.89% 증가한 83.87%에 그쳤다. 상장사가 자진 상장폐지를 신청하려면 현행 유가증권시장 상장규정상 대주주가 발행주식수의 95%를 보유한 상태여야 하는데, 요건을 충족하는데 실패한 것이다. 가나안은 신성통상 대주주인 염태순 회장의 아들 염상원씨가 대주주인 비상장사다. 에이션패션 역시 염 회장과 가나안이 함께 지분의 99.8%를 가진 비상장사다.당초 염 회장 일가는 가족회사인 가나안과 에이션패션 돈으로 소액주주가 가진 신성통상 지분 22.02%를 주당 2300원에 사들이려했다. 그러나 소액주주들 사이에서 공개매수 가격이 지나치게 낮다는 공감대가 확산하며 공개매수에 응하지 않은 이들이 많았던 걸로 보인다.신성통상이 상장폐지를 강행한다면 택할 수 있는 길은 두가지다. 자진 상장폐지 신청에 필요한 추가 지분 11.13%를 확보하기 위해 재차 공개매수에 나서는 것이다. 다만, 이미 한차례 공개매수가 실패한 터라, 공개매수 가격을 높이지 않는 한 성공 가능성이 높지 않을 전망이다.포괄적 주식 교환을 통해 상장폐지를 밀어붙일 가능성도 점쳐진다. 포괄적 주식교환이란, 회사가 다른 회사를 완전자회사로 만들기 위해, 완전자회사로 만들려는 회사 주주가 가진 주식을 자사 주식이나 현금과 바꾸는 걸 말한다. 상법상 양사 주주총회 특별결의가 필요하다. 발행주식 총수 3분의 1, 출석 주주의 3분의 2 이상 동의가 있어야 한다는 뜻이다. 염 회장 일가의 양사 지분율은 이미 이런 요건을 만족하는 터라, 가족회사인 가나안이 상장사인 신성통상을 완전자회사로 만드는 식으로 상장폐지에 나설 가능성도 충분한 셈이다.신성통상 쪽 관계자는 “아직 2차 공개매수에 나설지 결정된 게 없다”고 말했다."
2024-07-03,"22년간 21억 배당한 이 회사, 상장폐지 뒤 가족끼리 수천억 ‘배당잔치’?","국내 의류 브랜드 탑텐, 지오지아 운영 신성통상가족 보유 계열사 앞세워 잔여지분 공개매수이익잉여금 수천억, 가족끼리 나눠 먹나지난 2019년 8월 14일 일본의 무역 보복에 반발해 국내에서 일제 불매운동이 벌어지던 당시 서울 명동의 탑텐 매장에서 광복절을 기념해 만든 티셔츠가 진열된 모습. 연합뉴스의류 브랜드 탑텐, 지오지아 등을 운영하는 신성통상이 상장 49년 만에 공개매수를 통한 상장폐지에 나서면서 논란이 인다. 대주주 일가가 경영권을 틀어쥐고 약 22년간 일반주주에겐 21억원만 배당했는데, 상장폐지 뒤 회사에 쌓아둔 이익잉여금 수천억원을 가족끼리 독식하는 ‘배당잔치’를 벌이려는 것 아니냐는 것이다.지난달 21일 공시된 신성통상 ‘공개매수 설명서’를 보면, 신성통상 대주주 일가는 이날부터 오는 22일까지 보유 지분 77.98%를 제외한 나머지 일반주주 지분 22.02%를 모두 사들여 상장폐지에 나설 계획이다. 염태순 신성통상 대표가 지분 53.3%(지난해 6월30일 기준)를 가진 에이션패션과 그의 아들 염상원씨가 보유한(지난해 8월31일 기준 지분율 82.43%) 가나안이 공개매수에 응한 주식을 4대6 비율로 나눠 매수한다.에이션패션과 가나안은 염 대표 일가가 보유한 비상장사로 염 대표 사위와 아들이 각각 대표이사를 맡고 있다. 가나안은 신성통상 지분 42.10%를 가진 최대주주, 에이션패션은 17.66%를 가진 2대주주다. 대주주 일가가 비상장 가족회사 돈으로 상장사 주식을 사들여 완벽한 가족회사로 만들려는 의도인 셈이다. 이들이 제시한 매수 가격은 공시 전일 종가(2030원)보다 약 13% 높은 2300원이다. 공개매수가보다 높은 값에 주식을 샀던 주주들은 손실이 불가피해진 셈이다.신성통상은 2019년 일본과의 무역분쟁 당시 유니클로 불매운동 등 반사 효과로 주가가 두배 가까이 올랐고, 대주주 일가의 지분율을 높이는 과정에도 주가가 크게 뛰었다. 이때 주식을 매입한 투자자들은 큰 손실을 보게 된다.주주들이 특히 반발하는 건 염 대표가 그간 회사 실적과 무관하게 배당을 거의 하지 않았기 때문이기도 하다. 염 대표 일가가 신성통상 경영권을 잡은 건 2002년 11월이다. 1999년 9월 회사정리 수순에 들어선 신성통상을 염 대표가 가족회사인 가나안 등을 통해 720억원을 주고 인수했다. 이후 2022년 말까지 약 20여년간 일반주주에게는 2011년과 2012년 두 차례에 걸쳐 합계 5억원을 배당한 게 전부다.그러다 소액주주들의 거센 주주환원 요구가 이어지자 지난해에야 주당 50원씩, 당기순이익의 8.6% 가량인 약 72억원을 배당했다. 일반주주에게 돌아간 몫은 16억원가량이다. 그 사이 배당 않고 남은 이익잉여금 규모는 3096억원(지난 3월 말 기준)으로 늘었다. 시가총액에 맞먹는 규모다. 최근 밸류업 바람을 타고 시장의 주주환원 요구가 거세지는 가운데 상장폐지를 추진하는 오너 일가를 두고 뒷말이 나오는 배경이다.이에 신성통상이 상장폐지로 일반주주 없는 순수 가족회사가 되면 대주주 일가가 배당률을 높일 것이라는 이야기가 일반주주 등을 중심으로 제기된다. 실제 신성통상의 관계사들은 최근 ‘배당잔치’를 벌여온 터다. 염 대표 아들 염상원씨가 최대주주이자 대표인 가나안은 2020년 9월∼2023년 8월 3년간 당기순이익의 49.44 % , 24 .24%, 12.54%를 현금 배당(총 360억원)했다. 염씨가 받은 배당금은 297억원에 이른다. 가나안은 염 회장 일가가 지분 100%를 보유한 비상장사다.신성통상 쪽은 이 같은 가능성에 대해 한겨레에 “배당 여부와 구체적 배당률은 9월에 결정된다”며 “공개매수는 회사의 상장폐지를 통해 경영활동의 유연성과 의사결정의 신속함을 확보해 경쟁력을 유지하기 위한 목적”이라고 밝혔다."
2024-10-14,"‘가성비’ SPA 브랜드, 1020 패션 플랫폼 속속 입점…노림수는?","에이블리 제공가격 경쟁력을 강점으로 내세운 스파(SPA·제조와 유통 일원화) 브랜드들이 젊은층이 주로 찾는 패션 플랫폼과 손잡고 인기를 얻고 있다. 오프라인 유통 채널 중심인 스파 브랜드들이 자사 온라인채널을 강화하기보다는 패션 플랫폼 입점을 통해 젊은 소비자를 공략하고 있는 것으로 풀이된다.14일 카카오스타일이 운영하는 패션 플랫폼 지그재그는 “신성통상의 스파 브랜드 탑텐과 폴햄이 공식 입점했다”고 밝혔다. 지그재그에는 현재 스파오, 로엠, 지오다노, 미쏘, 후아유, 에잇세컨즈 등 10여 개의 국내 스파 브랜드가 입점해 있는데, 탑텐과 폴햄도 여기에 가세한 것이다.패션 플랫폼을 통한 스파 브랜드의 매출이 늘고 있기 때문으로 보인다. 이날 지그재그는 올해(1~9월) 스파 브랜드 거래액이 전년 동기 대비 약 40% 증가했다고 밝혔다. 지그재그는 “고물가 시대에 합리적인 쇼핑을 원하는 1030 여성들이 다양한 스파 브랜드를 한눈에 둘러보고 구매할 수 있는 플랫폼으로 지그재그를 찾고 있다”고 설명했다.젊은 여성들이 주로 찾는 패션 플랫폼 에이블리의 경우도 마찬가지다. 에이블리의 올해 3분기 스파 브랜드의 거래액은 전년 동기 대비 20% 늘었다. 에이블리는 “고물가가 지속하면서 비교적 가성비가 좋은 상품을 많이 제공하는 스파 브랜드와 스트릿캐주얼 브랜드가 인기를 끌고 있다”고 설명했다.스파 브랜드를 찾는 소비자들이 늘고 있는 데도 패션 플랫폼에 속속 입점하는 배경엔 자사 온라인몰을 강화하기에는 녹록지 않은 현실도 존재한다. 또한 2009년 무렵부터 시작한 ‘오래된’ 스파 브랜드들이 젊은층 소비자를 지속해서 공략하기에도 패션 플랫폼 입점이 유리하다는 판단이다.한 온라인 패션업계 관계자는 “사실 스파 브랜드 입장에서는 패션 플랫폼에 입점하면 수수료도 내야 해서 자사 온라인 채널을 강화하는 게 제일 좋다. 하지만 워낙 온라인 패션업계 경쟁이 치열해 스파 브랜드들이 자체 온라인 채널을 강화하기 쉽지 않아 패션 플랫폼에 입점을 택하는 것”이라고 했다. 또 다른 업계 관계자는 “10대 청소년들이 주로 찾는 패션 플랫폼 입점을 통해 지속해서 젊은 소비자층을 공략할 수 있어 유리하다고 판단한다”고 했다."
