date,title,content
2024-10-01,이마트 “신세계건설 주식 공개 매수 후 상장폐지”,"29일까지 지분 95% 이상 확보이마트가 자회사 신세계건설의 주식을 공개 매수한 뒤 상장폐지에 나선다고 30일 밝혔다. 신세계그룹 정용진 회장이 지난 3월 회장에 취임한 뒤 이커머스 계열사 대표 등에 대한 인사를 단행한 데 이어 그룹 전반의 사업 구조 재편에 본격적으로 나섰다는 분석이 나온다.신세계건설은 프로젝트 파이낸싱(PF) 부실 여파 등으로 2022년 이후 대규모 적자를 내고 있다. 특히 지난해 신세계건설이 1878억원의 적자를 내면서 이마트는 12년 만에 처음으로 연결재무제표 기준 영업 손실을 기록했다. 신세계건설의 부실로 그룹의 주력인 이마트마저 제대로 평가를 받지 못하게 되자, 이마트가 주식 공개 매수에 이은 상장폐지라는 카드로 신세계건설 정상화에 속도를 내겠다는 것이다.신세계건설 지분 70.5%를 보유하고 있는 이마트는 10월 29일까지 신세계건설 주식 공개 매수를 진행해 자발적인 상장폐지 요건인 지분 95% 이상을 확보한다는 계획이다. 이마트 관계자는 “효율적인 경영 의사 결정 체제를 구축하고 건설의 사업 구조 재편 등을 속도감 있게 추진할 수 있을 것으로 기대한다”고 했다."
2024-09-30,"이마트, 신세계건설 주식 공개매수...자발적 상장폐지 나선다",이마트가 신세계건설 주식 공개매수를 실시한다고 30일 밝혔다. 이마트는 27일 이사회를 열고 자회사인 신세계건설 주식 공개매수 건을 승인했다.이마트는 30일부터 다음달 29일까지 30일 동안 신세계건설 주식 공개 매수를 진행한다. 공개매수가는 1주당 1만8300원이다. 이마트는 “이사회 의결 전일인 26일 종가 기준 신세계건설 1주당 주가 1만5370원보다 19% 가량 높은 액수”라고 설명했다.이마트는 현재 신세계건설 지분 70.5%를 보유하고 있다. 이마트는 이번 신세계건설 주식 공개매수를 통해 자발적 상장폐지 요건인 지분 비중 95% 이상을 확보한다는 계획이다. 이마트가 신세계건설 지분 100%를 확보하기 위해선 388억원의 자금이 투입돼야 한다. 이마트는 신세계건설 주식 공개매수를 거친 뒤 신세계건설 상장폐지를 추진한다는 계획이다.신세계건설은 수년 동안 실적 부진의 늪에 빠져 있다. 신세계건설의 수익성 악화는 이마트의 실적에도 부담으로 작용해왔다. 신세계건설은 상장폐지를 거친 뒤 고강도 구조조정에 나설 것으로 전망된다. 회사 관계자는 “이마트가 신세계건설의 지분을 100% 확보함으로써 효율적인 경영 의사결정 체제를 구축해 건설의 사업 구조 재편과 중·장기 사업 포트폴리오 수립 전략 등을 속도감 있게 추진할 수 있을 것으로 기대된다”고 말했다.신세계건설CI
2024-04-03,"정용진 회장의 첫 인사, 신세계건설 대표 경질","그룹 쇄신차원… 새 대표 허병훈신세계그룹이 주주총회를 통해 지난달 말 연임이 확정됐던 신세계건설 대표를 일주일 만에 교체했다. 지난달 8일 정용진 회장의 승진 이후 그룹 차원에서 실시한 첫 번째 인사다.사진=신세계신세계그룹은 정두영 신세계건설 대표를 경질하고 신임 대표로 허병훈 경영전략실 경영 총괄 부사장을 내정했다고 2일 밝혔다. 이날 신세계그룹은 정 대표와 함께 신세계건설의 영업본부장과 영업 담당도 교체했다.신세계건설은 그간 부동산 경기 침체에 따른 분양 실적 부진 등으로 유동성 위기를 겪어왔다. 작년 연결 기준 영업손실만 1878억원에 달해 모기업인 이마트의 사상 첫 연간 영업손실의 원인이 됐다. 2018년 자체 주거 브랜드 ‘빌리브’를 내놓고 주상복합, 오피스텔 건설 등으로 사업을 확장했지만 대구에서 건설한 빌리브 헤리티지가 대거 미분양되면서 공사비를 받지 못해 위기론이 나왔다. 이번 인사는 이에 관한 책임을 묻는 과정이었다는 분석이다.새로 내정된 허병훈 대표는 1962년생으로 신세계그룹 백화점 부문 기획전략본부장, 전략실 재무본부장 등을 거쳤다.신세계 관계자는 “앞으로도 최고경영자와 임원진을 회사 내부의 성과 지표를 토대로 수시로 평가해 기대 실적에 못 미치거나 경영 성과가 저조할 경우엔 엄정하게 인사를 실시하겠다”고 했다."
2024-06-20,"신세계, 쿠팡·알리바바 출신 모셔왔다","적자 늪 이커머스 ‘돌파구 찾기’신세계그룹이 이커머스 사업의 대표, 임원 등 수뇌부를 물갈이했다. 이커머스 업계 경쟁사인 중국 알리바바, 쿠팡, 네이버 출신을 영입해 수뇌부를 채우는 ‘고강도 처방’을 했다. 정용진 회장이 지난 3월 회장으로 승진한 후 연임이 확정됐던 신세계건설 대표를 일주일 만에 교체한 데 이어 이커머스 사업에도 칼을 댔다는 분석이 나온다. 재계에서는 중국의 알리·테무·쉬인 등 이른바 ‘알테쉬’와 쿠팡 등 이커머스의 공세에 대응책 마련이 시급한 국내 유통업계 1위 신세계그룹이 인적 쇄신을 비롯해 ‘외과수술식 개혁’을 당분간 계속해 나갈 것으로 전망한다.이커머스 양대 계열사 대표 교체신세계그룹은 이커머스 양대 계열사인 G마켓과SSG닷컴의 대표를 모두 교체했다. G마켓을 이끌 새 대표로 정형권(51) 전 알리바바코리아 총괄을 영입했다. 정 신임 대표(부사장)는 중국 최대 온라인 쇼핑몰 기업인 알리바바 그룹의 한국지사 총괄 겸 알리페이 유럽·중동·코리아 대표를 지냈다. 쿠팡에서 재무 임원으로도 일했다.SSG닷컴의 신임 대표에는 최훈학(52) 전무가 내정됐다. 최 신임 대표는 기존에 맡았던SSG닷컴 영업본부장을 겸직한다.SSG닷컴 이인영 대표는 단독 대표에 오른 지 9개월 만에 물러나게 됐다.G마켓CPO(최고제품책임자)에 해당하는PX본부장에는 네이버에서 쇼핑플랫폼 책임리더를 지낸 김정우 상무를 영입했다. G마켓은 개발자 조직인 테크(Tech)본부를 별도 조직으로 분리하고 본부장에 쿠팡에서 엔지니어 디렉터를 역임한 오참 상무를 영입했다. 내부 인사 중에선 이마트DT(디지털 전환) 총괄을 맡고 있던 안종훈 상무가SSG닷컴 D/I(데이터/인프라) 본부장으로 자리를 옮겼다. 중국 기업, 국내 경쟁사 출신에 더해 내부 인사 이동까지 인사에서 쓸 수 있는 모든 카드를 활용했다는 분석이 나온다.그래픽=백형선신세계그룹은 이번 인사에 대해 “신세계그룹이 추진해온 이커머스 혁신 토대의 완성”이라고 자평했다. 신세계그룹은 지난 5일CJ그룹과 사업제휴 합의서 체결식을 가지며 이커머스 배송을CJ대한통운에 맡기는 등 물류 협력을 하기로 했다. 신세계는 보도자료에서 “물류 시스템 정비에 이어 주요 핵심 임원을 동시에 교체하는 ‘완전한 변화’를 선택함으로써 잠시 주춤했던 온라인 사업의 새로운 성장에 시동을 걸었다”라고 썼다.적자의 늪에 빠진 이커머스 계열사이번에 대표가 모두 교체된 G마켓과SSG닷컴은 돌파구를 찾지 못하고 적자의 늪에서 허덕이고 있다. G마켓은 2020년 850억원의 영업이익을 냈지만, 신세계그룹이 2021년 3조4000억원에 인수한 후 적자 행진 중이다.SSG닷컴은 2018년 물적분할 이후 한 해도 빠짐 없이 적자를 기록 중이다. 작년에는 처음으로 매출액이 이전보다 줄어드는 역성장을 기록했다. 신세계그룹은 “핵심 사업들의 미래 전략을 살펴본 결과, 이커머스 사업군은 새로운 성장 동력 마련이 절실했다”고 밝혔다.2019년 이마트는 사상 초유의 분기(2분기) 적자를 기록한 뒤 처음으로 외부 인사인 강희석 베인앤드컴퍼니 파트너를 대표이사로 영입했다. 임시처방이었다. 신세계그룹은 지난해 9월 강 대표를 포함해 그룹 핵심 계열사 6곳 중 5곳의 대표이사를 교체했다. 이때부터 신세계그룹은 외부 인사를 물색해왔던 것으로 알려졌다. 근본적인 변화를 위해 신세계그룹은 지난해 11월 경영전략실을 개편하고 경영진단팀을 신설했다. 경영진단팀은 사업군별 경쟁력을 현미경으로 들여다봤고, 이커머스 계열사가 첫 번째 처방 대상이 됐다. 재계 관계자는 “정용진 회장이 회장에 오른 뒤 첫 처방전을 이커머스 부문에 발급한 것”이라고 말했다.신세계그룹 안팎에선 인적 쇄신이 계속될 것으로 본다. 신세계그룹은 지난 4월 신세계건설 대표를 경질하며 “앞으로도 최고경영자와 임원진을 회사 내부의 성과 지표를 토대로 수시로 평가해 기대 실적에 못 미치거나 경영 성과가 저조할 경우엔 엄정하게 인사를 실시하겠다”고 밝혔다."
2024-06-19,"신세계 정용진, 쿠팡 알리바바 출신 대표로 영입… 온라인 부문에 칼 댔다","서울 중구 신세계백화점과 신세계그룹 본사 전경.신세계그룹이 이커머스 사업의 대표, 임원 등 수뇌부를 물갈이했다. 이커머스 업계 경쟁사인 중국 알리바바, 쿠팡, 네이버 출신을 영입해 수뇌부를 채우는 ‘고강도 처방’을 했다. 정용진 회장이 지난 3월 회장으로 승진한 후 연임이 확정됐던 신세계건설 대표를 일주일 만에 교체한 데 이어 이커머스 사업에도 칼을 댔다는 분석이 나온다. 재계에서는 중국의 알리·테무·쉬인 등 이른바 ‘알테쉬’와 쿠팡 등 이커머스의 공세에 대응책 마련이 시급한 국내 유통업계 1위 신세계그룹이 인적 쇄신을 비롯해 ‘외과수술식 개혁’을 당분간 계속해 나갈 것으로 전망한다.이커머스 양대 계열사 대표 교체신세계그룹은 이커머스 양대 계열사인 G마켓과SSG닷컴의 대표를 모두 교체했다. G마켓을 이끌 새 대표로 정형권(51) 전 알리바바코리아 총괄을 영입했다. 정 신임 대표(부사장)는 중국 최대 온라인 쇼핑몰 기업인 알리바바 그룹의 한국지사 총괄 겸 알리페이 유럽·중동·코리아 대표를 지냈다. 쿠팡에서 재무 임원으로도 일했다.SSG닷컴의 신임 대표에는 최훈학(52) 전무가 내정됐다. 최 신임 대표는 기존에 맡았던SSG닷컴 영업본부장을 겸직한다.SSG닷컴 이인영 대표는 단독 대표에 오른 지 9개월 만에 물러나게 됐다.G마켓CPO(최고제품책임자)에 해당하는PX본부장에는 네이버에서 쇼핑플랫폼 책임리더를 지낸 김정우 상무를 영입했다. G마켓은 개발자 조직인 테크(Tech)본부를 별도 조직으로 분리하고 본부장에 쿠팡에서 엔지니어 디렉터를 역임한 오참 상무를 영입했다. 내부 인사 중에선 이마트DT(디지털 전환) 총괄을 맡고 있던 안종훈 상무가SSG닷컴 D/I(데이터/인프라) 본부장으로 자리를 옮겼다. 중국 기업, 국내 경쟁사 출신에 더해 내부 인사 이동까지 인사에서 쓸 수 있는 모든 카드를 활용했다는 분석이 나온다.신세계그룹은 이번 인사에 대해 “신세계그룹이 추진해온 이커머스 혁신 토대의 완성”이라고 자평했다. 신세계그룹은 지난 5일CJ그룹과 사업제휴 합의서 체결식을 가지며 이커머스 배송을CJ대한통운에 맡기는 등 물류 협력을 하기로 했다. 신세계는 보도자료에서 “물류 시스템 정비에 이어 주요 핵심 임원을 동시에 교체하는 ‘완전한 변화’를 선택함으로써 잠시 주춤했던 온라인 사업의 새로운 성장에 시동을 걸었다”라고 썼다.적자의 늪에 빠진 이커머스 계열사이번에 대표가 모두 교체된 G마켓과SSG닷컴은 돌파구를 찾지 못하고 적자의 늪에서 허덕이고 있다. G마켓은 2020년 850억원의 영업이익을 냈지만, 신세계그룹이 2021년 3조4000억원에 인수한 후 적자 행진 중이다.SSG닷컴은 2018년 물적분할 이후 한 해도 빠짐 없이 적자를 기록 중이다. 작년에는 처음으로 매출액이 이전보다 줄어드는 역성장을 기록했다. 신세계그룹은 “핵심 사업들의 미래 전략을 살펴본 결과, 이커머스 사업군은 새로운 성장 동력 마련이 절실했다”고 밝혔다.2019년 이마트는 사상 초유의 분기(2분기) 적자를 기록한 뒤 처음으로 외부 인사인 강희석 베인앤드컴퍼니 파트너를 대표이사로 영입했다. 임시처방이었다. 신세계그룹은 지난해 9월 강 대표를 포함해 그룹 핵심 계열사 6곳 중 5곳의 대표이사를 교체했다. 이때부터 신세계그룹은 외부 인사를 물색해왔던 것으로 알려졌다. 근본적인 변화를 위해 신세계그룹은 지난해 11월 경영전략실을 개편하고 경영진단팀을 신설했다. 경영진단팀은 사업군별 경쟁력을 현미경으로 들여다봤고, 이커머스 계열사가 첫 번째 처방 대상이 됐다. 재계 관계자는 “정용진 회장이 회장에 오른 뒤 첫 처방전을 이커머스 부문에 발급한 것”이라고 말했다.신세계그룹 안팎에선 인적 쇄신이 계속될 것으로 본다. 신세계그룹은 지난 4월 신세계건설 대표를 경질하며 “앞으로도 최고경영자와 임원진을 회사 내부의 성과 지표를 토대로 수시로 평가해 기대 실적에 못 미치거나 경영 성과가 저조할 경우엔 엄정하게 인사를 실시하겠다”고 밝혔다."
2024-05-09,신세계 1분기 매출 5.4% 늘어 2조8187억,"백화점 매출 1조8014억 ‘1분기 최대’신세계는 올 1분기(1~3월) 매출(연결 기준)이 2조8187억원으로 작년 같은 기간보다 5.4% 늘고, 영업이익은 1630억원으로 7% 증가했다고 8일 밝혔다. 백화점 매출이 1분기 기준으로 역대 최대치를 기록하고, 주요 자회사들이 양호한 실적을 낸 덕분이다.1분기 백화점 사업 매출은 1조8014억원으로 7.9% 늘었다. 작년 기록했던 1분기 최대 매출 기록을 넘었다. 영업이익(1137억원)은 3.1% 늘었다. 신세계는 “고물가·고금리로 소비 심리가 위축됐지만, 차별화된 콘텐츠를 선보이며 경쟁력을 다진 결과”라고 했다.작년 1분기 88억원 영업손실을 낸 신세계까사는 올 1분기에는 10억원 영업이익을 내면서 흑자 전환했다. 수면 전문 브랜드 ‘마테라소’와 베스트셀러 소파 ‘캄포’ 등이 인기를 끌면서 매출이 30% 증가했다.TV홈쇼핑인 신세계라이브쇼핑도 패션PB(자체 브랜드) 판매가 늘면서 매출·영업이익이 모두 확대됐다. 패션 회사인 신세계인터내셔날은 매출이 0.9% 감소했지만 영업이익은 8.7% 늘었다. 면세점 사업을 하는 신세계디에프 매출은 4.8% 줄었다.신세계그룹의 핵심 계열사인 이마트와 관련 자회사는 다음 주 실적을 발표한다. 지난해 이마트가 첫 적자를 내게 된 주요 원인이었던 신세계건설 부진이 계속되면서 전체 실적에도 영향을 미칠 것으로 예상된다."
2023-11-17,신세계그룹 경영전략실장에 임영록 대표,"8년 만에 경영전략실 수장 교체계열사 대표의 겸직 첫 사례임영록 신세계 경영전략실장. /신세계신세계그룹은 임영록 신세계프라퍼티 겸 조선호텔앤리조트 대표를 경영전략실장으로 선임했다고 16일 밝혔다. 경영전략실 수장 교체는 8년 만이다. 계열사 대표가 경영전략실장을 겸임하는 첫 사례이기도 하다.경영전략실은 1993년 설치된 이후 계열사 경영과 사업·재무·인사 등을 조율하고 지휘하는 역할을 맡아왔다. 신세계와 이마트를 연결하는 핵심 조직이다.임영록 경영전략실장은 1964년생으로, 진주고등학교, 성균관대학교 정치외교학과를 졸업했다. 1997년 8월 신세계건설에 입사했다. 이후 그룹 전략실 개발·신사업PJT상무 등을 역임했다. 2015년 신세계프라퍼티 부사장보로 승진한 후 이듬해 12월 대표직에 선임됐다. 지난 9월 정기 인사 이후에는 조선호텔앤리조트 대표를 겸직하고 있다. 경영전략실장 교체로 향후 그룹 후속 인사와 조직개편에도 속도가 붙을 것으로 전망된다.【 경영전략실 】=임영록 ㈜신세계프라퍼티 대표이사兼 ㈜조선호텔앤리조트 대표이사 → 경영전략실장 (사장) 兼 ㈜신세계프라퍼티 대표이사= 허병훈 ㈜신세계인터내셔날 지원본부장 → 경영전략실 경영총괄 (부사장)= 김민규 정책지원본부장 → 경영전략실 경영지원총괄 (부사장)【 대표이사 】= 이주희 ㈜신세계건설 레저부문 대표이사 → ㈜신세계건설 레저부문 대표이사兼 ㈜조선호텔앤리조트 대표이사【 백화점부문 】= 김선호 전략실 지원본부장 → 백화점부문 기획전략본부장 (부사장)【SCKCOMPANY】= 신동우 전략실 재무본부장 → 전략기획본부장 (상무)"
2023-09-20,"‘정용진의 남자’도 물러났다… 신세계, 창사 이래 최대강도 인사 [명단]","20일 그룹 임원인사 단행…이마트·백화점CEO동시 교체(왼쪽부터) 박주형 신세계 신임 대표이사, 한채양 이마트 신임 대표이사./신세계그룹 제공신세계그룹은 20일 그룹 정기 임원 인사를 발표했다. 그룹 창사 이래 역대급이라고 할 정도로 인사 폭이 크다. 대표인사의 40%가 교체됐다.‘정용진의 남자’라고 불릴 정도로 정 부회장의 신임을 받았던 강희석 대표가 물러났고, 이마트와 이마트에브리데이, 이마트24 등 통합한 유통사업군의 대표를 조선호텔앤리조트 대표였던 한채양 대표가 맡게 됐다.신세계백화점 부문인 손영식 신세계 대표이사 자리엔 (주)신세계센트럴시티 박주형 대표가 내정됐다. 이로써 박주형 대표는 신세계와 신세계센트럴시티 대표를 겸직하게 됐다.신세계푸드와 신세계L&B는 신세계푸드 대표인 송현석 대표가 겸직하게 됐다. 신세계프라퍼티와 조선호텔앤리조트는 신세계프라퍼티 대표인 임영록 대표가 겸직한다.신세계그룹 임원인사【 대표이사 내정 】 박주형 ㈜신세계센트럴시티 대표이사 → ㈜신세계 대표이사兼 ㈜신세계센트럴시티 대표이사 한채양 ㈜조선호텔앤리조트 대표이사 → 3社One대표 체제㈜이마트 대표이사㈜이마트에브리데이 대표이사㈜이마트24 대표이사 송현석 ㈜신세계푸드 대표이사 → ㈜신세계푸드 대표이사㈜신세계L&B 대표이사 임영록 ㈜신세계프라퍼티 대표이사 → ㈜신세계프라퍼티 대표이사兼 ㈜조선호텔앤리조트 대표이사 이석구 ㈜신세계 신성장추진위 대표 → ㈜신세계라이브쇼핑 대표이사 김현우 외부영입 → ㈜마인드마크 대표이사 이주철 ㈜지마켓 전략사업본부장 → ㈜더블유컨셉코리아 대표이사【 각사별 임원 승진 내용 】㈜신세계 대표이사 내정박주형: ㈜신세계 대표이사 兼 ㈜신세계센트럴시티 대표이사 상무 승진장수진: ㈜신세계 상품본부장 兼BTS담당허제: ㈜신세계 갤러리담당이혜정: ㈜신세계 강남점 고객서비스담당김경환: ㈜신세계 천안아산점장□ ㈜신세계인터내셔날 상무 승진신상화: ㈜신세계인터내셔날 재무담당서민성: ㈜신세계인터내셔날 코스메틱2담당 兼 ㈜퍼셀 대표이사 상무보 승진안유성: ㈜신세계인터내셔날 상품2담당□ ㈜신세계디에프 상무 승진이희재: ㈜신세계디에프 인사담당□ ㈜신세계센트럴시티 상무 승진김범수: ㈜신세계센트럴시티 지원담당□ ㈜신세계까사 상무 승진김찬후: ㈜신세계까사 지원담당□ ㈜신세계라이브쇼핑 대표이사 내정이석구: ㈜신세계라이브쇼핑 대표이사 전무 승진이규봉: ㈜신세계라이브쇼핑 지원담당□ ㈜마인드마크 대표이사 내정김현우: ㈜마인드마크 대표이사□ 백화점부문 기획전략본부 상무 승진김현진: 백화점부문 기획담당□ ㈜이마트 대표이사 내정한채양: ㈜이마트 대표이사※ 3社One대표 체제 (㈜이마트, ㈜이마트에브리데이, ㈜이마트24) 전무 승진황운기: ㈜이마트 상품본부장※ 3社 통합본부장 체제 (㈜이마트, ㈜이마트에브리데이, ㈜이마트24)박승학: ㈜이마트 판매본부장김수완: ㈜이마트 미국법인장 상무 승진정지윤: ㈜이마트 가전문화담당송태승: ㈜이마트 인사담당 상무보 승진김동민: ㈜이마트 신선2담당신근중: ㈜이마트 가공담당강정모: ㈜이마트SO기획담당노병간: ㈜이마트PL상품담당□ ㈜SSG.com 전무 승진최훈학: ㈜SSG.com영업본부장 상무 승진김일선: ㈜SSG.com라이프스타일1담당임정환: ㈜SSG.com그로스전략담당신정훈: ㈜SSG.com플랫폼Group장 兼 플랫폼개발담당 상무보 승진전용표: ㈜SSG.com기획관리담당한건수: ㈜SSG.comSCM담당□ ㈜신세계푸드 전무 승진공병천: ㈜신세계푸드 베이커리본부장 兼 베이커리담당 상무 승진원정훈: ㈜신세계푸드 F&amp;B담당 상무보 승진김규식: ㈜신세계푸드FC담당김성웅: ㈜신세계푸드 지원담당□ 신세계건설㈜ 상무보 승진정성진: 신세계건설㈜ 영업담당□ ㈜조선호텔앤리조트 대표이사 내정임영록: ㈜조선호텔앤리조트 대표이사 兼 ㈜신세계프라퍼티 대표이사 전무 승진임영준: ㈜조선호텔앤리조트 지원담당 兼 브랜드사업담당 상무 승진이수연: ㈜조선호텔앤리조트 기획담당 상무보 승진이희종: ㈜조선호텔앤리조트 강남호텔 총지배인□ ㈜이마트에브리데이 대표이사 내정한채양: ㈜이마트에브리데이 대표이사※ 3社One대표 체제 (㈜이마트, ㈜이마트에브리데이, ㈜이마트24)□ ㈜이마트24 대표이사 내정한채양: ㈜이마트24 대표이사※ 3社One대표 체제 (㈜이마트, ㈜이마트에브리데이, ㈜이마트24) 상무 승진최은용: ㈜이마트24MD담당 상무보 승진김성훈: ㈜이마트24 지원담당□ ㈜신세계프라퍼티 상무 승진이정근: ㈜신세계프라퍼티SF담당 상무보 승진하수진: ㈜신세계프라퍼티DesignLab담당서재옥: ㈜신세계프라퍼티 개발담당 兼 화성PJ담당□ ㈜신세계L&B 대표이사 내정송현석: ㈜신세계L&amp;B대표이사 兼 ㈜신세계푸드 대표이사□ ㈜SCKCOMPANY 상무보 승진백지웅: ㈜SCKCOMPANY기획담당□ ㈜지마켓Director승진목승원: ㈜지마켓 마케팅본부장□ ㈜더블유컨셉코리아 대표이사 내정이주철: ㈜더블유컨셉코리아 대표이사□ 전략실 상무보 승진구인회: 전략실 재무팀장"
2023-11-18,신세계 경영전략실장 8년만에 교체… 임영록 대표 선임,"신세계그룹은 임영록 신세계프라퍼티 겸 조선호텔앤리조트 대표를 경영전략실장으로 선임했다고 16일 밝혔다. 백화점과 이마트 등 그룹 계열사들의 경영과 사업·재무·인사 등을 총괄하는 경영전략실의 수장 교체는 8년 만이다. 또 1993년 설치 이후 계열사 대표가 경영전략실장을 겸임하는 첫 사례이기도 하다.신세계그룹 측은 “이번 조직 개편을 통해 기존 경영전략실이 수행해 온 최고 경영진 보좌 임무를 넘어, 그룹 계열사 사업을 조정하고 통합하는 컨트롤 타워의 기능이 더욱 강화될 것”이라고 설명했다. 경영전략실의 역할이 확대· 강화됐다는 뜻이다.임영록 경영전략실장은 1997년 8월 신세계건설에 입사, 그룹 전략실 개발·신사업PJT상무 등을 역임했다. 지난 9월 정기 인사 이후에는 조선호텔앤리조트 대표를 겸직하고 있다.경영총괄에는 허병훈 부사장이, 경영지원총괄에는 김민규 부사장이 각각 임명됐다.이번 경영전략실장 교체로 향후 그룹 후속 인사와 조직 개편이 계속 이어질 것으로 알려졌다."
2024-11-29,꽁꽁 언 지방 부동산… 중견 건설사까지 ‘줄적자’,"3분기 주요 업체 영업 실적 악화아파트가 빼곡히 들어선 대구 도심 풍경. 지방 주택 경기 침체가 장기화하면서 주요 중견 건설사까지 올 3분기 영업 손실을 기록한 것으로 나타났다./뉴스1부동산 경기가 침체한 지방에서 지역 중소 건설사 부도가 잇따르는 가운데, 주요 중견 건설사까지 3분기에 줄줄이 영업 손실을 기록한 것으로 나타났다. 대형 건설사들이 해외 수주나 신사업으로 돌파구를 모색하는 것과 달리, 국내 주택 사업 비율이 높은 중견 건설사들이 주력 시장인 지방 분양시장 침체가 길어지자 수익성이 크게 악화한 것이다.28일 건설업계에 따르면, 코오롱글로벌과 금호건설, 동부건설, 신세계건설 등은 올해 3분기(연결기준) 나란히 영업 손실을 기록했다. 신세계건설은 540억원의 영업 손실을 내며 8분기 연속 적자 행진을 이어갔고, 코오롱글로벌(-211억원)도 2분기 연속 적자를 기록했다. 금호건설(-1574억원)과 동부건설(-219억원)은 3분기 들어 적자로 돌아섰다.해외 사업 비율이 높지 않고, 국내에서 주택·토목 사업을 주력으로 하는 중견 건설사들은 대형 건설사보다 국내 주택 경기에 더 많은 영향을 받는다. 특히 중견 건설사들이 주택 사업에서 매출을 올리는 지방 분양 시장 침체가 장기화하면서 타격이 컸다. 9월 말 기준 ‘악성 미분양’으로 불리는 준공 후 미분양의 83.3%(1만4375가구)가 지방에 몰려 있다.이런 가운데 공사비는 급등하고, 주택 경기 위축에 공기(工期)도 지연되면서 원가율은 계속 치솟고 있다. 금호건설의 3분기 원가율은 132.9%에 달했고, 신세계건설도 107.7%로 100%를 웃돌았다. 동부건설(98.0%)과 코오롱글로벌(96.9%)도 100%에 육박하는 원가율을 보이며 수익성이 크게 떨어졌다.한편 올해 건설업 부도업체는 총 26곳으로 이미 작년 연간 집계(23곳)를 넘어섰다. 최근에는 시공능력평가 105위인 부산 건설사 신태양건설이 230억여 원 상당의PF(프로젝트 파이낸싱) 어음을 막지 못해 부도를 맞았다. 1995년 설립된 신태양건설은 부산 해운대구 ‘누리마루APEC하우스’ 시공에 참여하며 이름을 알린 업체다. 한 중견 건설사 관계자는 “부동산 시장 양극화로 지방 미분양 주택은 계속 쌓이고, 공사비 증액분을 회수하기도 어려워 내년에도 부진한 실적이 이어질 것”이라고 말했다."
