date,title,content
2024-12-12,[신상목의 스시 한 조각] [186] 가미카제 창시자의 최후,"일러스트=조선디자인랩·Midjourney태평양전쟁 당시 일본군의 무모함을 보여주는 사례로 널리 알려진 것이 ‘신풍(神風) 특별공격대’의 존재다. 흔히 ‘가미카제’로 불리는 이 자살 공격이 무모한 것은, 그 비인도성을 차치하더라도 이성적으로 생각한다면 그러한 작전으로 얻을 수 있는 전과(戰果)가 그로 인해 치러야 하는 비용보다 클 수가 없음이 자명하기 때문이다. 최고급 전력인 전투기 조종사를 자살 공격에 투입할수록 일본군의 전력은 그만큼 회복 불능의 손실을 입는 ‘필패의 우책(愚策)’인 셈이다.특공 작전을 입안한 오니시 다키지로(大西瀧治郎) 해군 중장은 포츠담 선언 수락에 반대하며 결사 항전을 주장한 대표적 주전파의 한 사람이다. 특공 작전이 비록 실질적인 타격이 제한적일지라도 적의 전쟁 의지를 꺾어 일본과의 강화(講和)를 유도하는 심리적 효과를 노릴 수 있다는 것이 그의 논리였다. 그의 도착(倒錯)된 전쟁관을 보여주는 사례가 소위 ‘2000만인 특공 발언’이다. 1945년 8월 13일 어전회의에 참석한 그는 도고(東鄕) 외상에게 “일본 국민 2000만을 특공 작전에 투입하면 지지는 않을 것”이라며 마지막까지 항복 반대의 뜻을 굽히지 않았다. 구국의 일념이라기에는 도가 지나친 망상이었다.그의 최후는 다른 의미로 일본인들의 뇌리에 깊은 인상을 남겼다. 그는 항복 선언 다음날인 8월 16일 미명(未明)을 기해 할복(割腹)에 나선다. 가이샤쿠닌(介錯人•할복자 곁에서 숨통을 끊는 조력자) 없는 단독 할복이었다. 아침 무렵에 부관과 지인들이 그를 발견했지만, 그는 어떠한 의료 처치도 거부한 채 몇 시간이나 단장(斷腸)의 고통 속에 몸부림치다가 생을 마감한다. 자살 공격으로 희생된 대원들에 대한 속죄의 의미를 담아 그가 선택한 죽음의 방식이었다. 일본인들 사이에서는 그러한 죽음에 숙연함과 동정을 느끼는 분위기도 있다. 그러나 그가 어떠한 식으로 속죄를 하려했건, 그가 사지로 몰아넣은 영령들이 살아 돌아오지 못한다는 사실에는 변함이 없다.△매일 조선일보에 실린 칼럼 5개가 담긴 뉴스레터를 받아보세요. 세상에 대한 통찰을 얻을 수 있습니다. 구독하기 ☞https://page.stibee.com/subscriptions/91170"
2023-03-15,"검찰, 91억원대 횡령 혐의 신풍제약 사장 등 기소","서울중앙지검/뉴스1서울중앙지검 형사7부(부장 김형석)는 신풍제약 장원준 사장을 회삿돈 91억원을 횡령하고 재무제표를 허위로 작성한 혐의로 불구속 기소했다고 15일 밝혔다.검찰은 또 신풍제약 장 사장의 비자금 조성을 담당한 노모 전무를 구속 기소하고, 비자금 세탁에 관여한 대부업자를 불구속 기소했다고 밝혔다. 검찰은 이 외에 신풍제약 비자금 조성 사실을 제보하겠다며 신풍제약 측을 협박해 51억원을 뜯어간 납품업체 이사와 세무사를 구속 기소했다.장 사장과 노 전무는 2008년 4월부터 2017년 9월 아버지이자 신풍제약 창업주인 고(故) 장용택 전 회장과 공모해 납품업체인 A사와 과다 계상 또는 가공 거래 후 차액을 되돌려 받는 방법으로 약 91억 원의 비자금을 조성하고, 신풍제약 주식을 사거나 생활비로 쓴 횡령 혐의를 받고 있다. 대부업자 이모씨는 장 사장의 비자금을 세탁해 준 혐의 등을 받는다.장 사장 등의 비자금 조성 사실을 안 한 납품업체 A사의 이사인 서모씨와 세무사 양모씨는 2019년 10월부터 작년까지 신풍제약 비자금 조성 사실을 수사기관에 제보하겠다고 노 전무와 신풍제약을 협박해 50억7400만원을 갈취한 혐의를 받는다."
2023-01-19,"검찰, ‘57억 비자금’ 신풍제약 2세 장원준 전 대표 구속영장 청구","‘신풍제약 비자금 의혹’을 수사하는 검찰이 장원준 전 신풍제약 대표에 대해 횡령 등의 혐의로 구속영장을 청구했다.서울중앙지검 형사7부(부장 성상욱)는 19일 납품업체와 가공 거래를 통해 수십억원의 비자금을 조성하여 이를 횡령한 혐의로 장 전 대표에 대해 구속영장을 청구했다. 장 전 대표는 신풍제약 창업주인 고(故) 장용택 전 회장의 아들이다.서울 서초구 서울중앙지검./뉴스1장 전 사장은 신풍제약 전무 A씨(구속기소)와 공모해 2011년 4월부터 2018년 3월까지 의약품 원재료 업체와 가공 거래 후 차액을 되돌려 받아 57억원 규모의 비자금을 조성하고, 신풍제약 재무제표를 허위로 작성해 공시한 혐의(특경가법상 횡령·배임, 외부감사법 위반) 등을 받는다.당초 신풍제약의 비자금 규모는 200억원대에 달하는 것으로 알려졌지만, 서울경찰청 금융범죄수사대는 수사 결과 57억원 규모로 파악했다. 경찰은 신풍제약 임원 A씨를 작년 5월 횡령 혐의로 검찰에 불구속 송치하고, 신풍제약 법인은 외부감사법 위반 혐의로 송치했다. 검찰은 작년 9월 신풍제약 본사와 관련자들의 사무실, 주거지 등을 압수 수색했다.검찰은 장 전 대표 등이 추가로 조성한 비자금이 있는지 수사 중이다."
2022-12-16,"검찰, ‘57억 비자금’ 신풍제약 임원 구속 기소","서울 서초구 서울중앙지검 전경. /뉴스1‘신풍제약 비자금 의혹’을 수사하는 서울중앙지검 형사7부(부장 성상욱)가 비자금 조성을 총괄한 것으로 알려진 신풍제약 전무 A씨를 구속 기소했다고 16일 밝혔다.A씨는 2000년대 중반부터 10여년간 의약품 원료회사와 허위로 거래하고, 원료 단가를 부풀리는 등 방식으로 57억원 규모의 비자금을 조성한 혐의(특경가법상 횡령·배임, 외부감사법 위반)를 받는다.애초 신풍제약의 비자금 규모는 200억원대에 달하는 것으로 알려졌지만, 서울경찰청 금융범죄수사대는 수사 결과 57억원 규모로 파악했다. 경찰은 신풍제약 임원 A씨를 지난 5월 특정경제범죄가중처벌법상 횡령 혐의로 검찰에 불구속 송치하고, 신풍제약 법인은 외부감사법 위반 혐의로 송치했다.검찰은 지난 9월 신풍제약 본사와 관련자들 사무실·주거지 등을 압수 수색했다. 검찰은 경찰이 파악한 것보다 더 많은 비자금이 있는지 확인 중인 것으로 알려졌다."
2022-11-27,"검찰, ‘57억 비자금 조성’ 신풍제약 임원 구속영장","신풍제약의 비자금 의혹을 수사 중인 서울중앙지검 형사7부(부장 성상욱)는 비자금 조성을 총괄한 것으로 알려진 신풍제약 전무 A씨에 대해 횡령 등의 혐의로 구속영장을 청구했다고 27일 밝혔다. A씨에 대한 영장실질심사는 다음주 서울중앙지법에서 열린다.서울 서초구 서울중앙지검./뉴스1A씨는 2000년대 중반부터 10여년간 의약품 원료회사와 허위로 거래하고, 원료 단가를 부풀리는 방식 등을 통해 57억원 규모의 비자금을 조성한 혐의를 받는다.애초 신풍제약의 비자금 규모는 200억원대에 달하는 것으로 알려졌지만, 서울경찰청 금융범죄수사대는 수사 결과 57억원 규모로 파악했다. 경찰은 신풍제약 임원 A씨를 지난 5월 특정경제범죄가중처벌법상 횡령 혐의로 검찰에 불구속 송치하고, 신풍제약 법인은 외부감사법 위반 혐의로 송치했다. 검찰은 지난 9월 신풍제약 본사와 관련자들 사무실·주거지 등을 압수 수색했다. 검찰은 경찰이 파악한 것보다 더 많은 비자금이 있는지 확인 중인 것으로 알려졌다.검찰은 또 앞서 신풍제약 비자금 조성 과정에 동원된 납품업체 전 직원 B씨를 구속 기소했다. B씨는 A씨에게 “비자금을 만든 증거를 수사기관과 금융당국에 제출하겠다”는 편지를 보내 협박하고 돈을 요구했다는 공갈 등의 혐의를 받는다."
2022-09-15,"검찰, ‘57억 비자금 조성’ 신풍제약 압수수색","검찰이 납품업체와의 거래 내용을 조작해 비자금을 조성한 혐의를 받는 신풍제약에 대해 압수 수색에 나섰다.서울 서초구 서울중앙지검./연합뉴스서울중앙지검 형사7부(부장 성상욱)는 15일 오전 신풍제약 본사와 관련자들의 사무실·주거지 등에 검사와 수사관을 보내 관련 자료를 확보 중이다.신풍제약은 2000년대 중반부터 10여년간 의약품 원료회사와 허위로 거래하고, 원료 단가를 부풀리는 방식 등을 통해 57억원 규모의 비자금을 조성한 혐의를 받는다. 당초 비자금 규모가 250억원에 달하는 것으로 알려졌지만 서울경찰청 금융범죄수사대의 수사 결과 57억원 규모로 산정됐다.경찰은 신풍제약 임원 A씨를 지난 5월 특정경제범죄가중처벌법상 횡령 혐의로 검찰에 불구속 송치하고, 신풍제약 법인은 외부감사법 위반 혐의로 송치했다. 법조계에선 검찰이 신풍제약의 비자금 용처를 확인하기 위해 압수 수색에 나섰다는 얘기가 나온다."
2024-10-15,[만물상] 현대판 ‘호국신산’,"일러스트=김성규1274년 칭기즈칸의 손자 쿠빌라이 황제의 명령으로 여몽 연합군이 일본 정벌에 나섰다. 합포(마산)를 출발해 대마도를 거쳐 규슈로 쳐들어갔다. 그런데 갑자기 들이닥친 태풍이 원정을 망쳤다. 1281년 여몽 연합군이 2차 일본 정벌에 나섰다. 또 태풍이 불었다. 병사 14만명 중 살아서 온 병력은 3만명에 불과했다. 일본인들은 이 태풍에 가미카제(神風)라는 이름을 붙였다. 일본인들에게 신풍은 신성한 힘의 상징으로 자리 잡았다.▶대만에는 신풍 대신 신산(神山)이 있다. 고구마 모양의 대만섬 동쪽엔 남북을 종단하는 중앙산맥이 있다. 3000m 이상 고봉을 200개 이상 거느린 험산 준령이다. 대만 섬 동쪽은 지진대 단층이라 매년 크고 작은 지진이 1만5000번 이상 발생한다. 필리핀 해상에서 발생하는 태풍이 가장 먼저 도착하는 곳도 대만섬 동쪽 연안이다. 그런데 거대한 중앙산맥이 태풍을 막고, 지진 충격을 완화하는 보호막 역할을 한다. 그래서 대만인들은 중앙산맥을 호국신산(護國神山)이라고 부른다.▶요즘 대만인들이 호국신산이라고 부르는 대상은 중앙산맥이 아니라 세계 1위 반도체 파운드리(위탁 생산 기업)TSMC다.TSMC가 중국의 대만 침공을 막는 ‘전략 무기’ 역할을 한다고 믿기 때문이다. 엔비디아 등 글로벌 빅테크 기업들에AI반도체를 독점 공급하다시피 하는TSMC가 중국 수중에 들어가는 것은 미국이 막을 것이란 계산이다. 실제로 미국의 군사전략가 중엔 유사시 대만 반도체 생산 시설을 폭파하는 ‘초토화 전략’을 수립해야 한다고 주장하는 사람도 있다.▶기업의 호국신산 기능은 2차 세계대전 때 미국이 여실히 보여줬다. 포드, 보잉 등 미국 기업들은 전쟁 기간 군용 트럭 200만대, 항공기 30만대, 탱크 8만6000대, 선박 6만500척, 대포 19만문을 생산했다. 독일 나치즘의 유럽 지배, 일본 제국주의 확산을 막은 일등 공신은 미국 제조 기업의 가공할 생산력이었다.▶북한 독재자 김정은은 핵폭탄을 호국신산으로 여길 것이다. 한국의 호국신산은 무엇일까. 우리의 진정한 호국신산도 대만처럼 글로벌 첨단 기업들이라고 생각한다. 한국 반도체 산업은 여전히 세계 D램 메모리 반도체의 70%를 공급하고 있다. 미국은 군함 수리 및 제조를 세계 최고 한국 조선소에 맡기려 한다. 우리는 배터리 산업의 강국이다. 한국 기업이 만든K-9 자주포,K-2 전차, 천궁 대공미사일, 잠수함, 구축함은 세계 최고 수준이다. 기업의 세금과 생산품으로 나라를 지키니 그야말로 호국신산이다."
2022-01-06,"날아오른 배터리, 추락했던 바이오… 올해는 어떨까","배터리株 중장기적으론 매력적작년 급등한 게 부담으로 작용바이오株, 백신 공급되며 약세신약개발 힘쓰며 업황 개선될듯지난해 증시에서는 ‘미래 유망 업종’으로 꼽히는 바이오와 배터리 기업들의 주가가 상반된 모습을 보였다. 신풍제약(-74.2%)이나 셀트리온헬스케어(-49.8%) 등 바이오주 주가는 크게 하락했는데, 배터리 소재 기업인 엘앤에프의 주가는 223.4% 상승했다.두 업종의 명암이 엇갈리면서 코스닥 시장 시가총액 상위 5종목도 한 해 사이 많이 바뀌었다. 2020년 말에는 5종목 모두 바이오 기업이었는데, 지난해 말에는 시총 1위인 셀트리온헬스케어를 제외하면 나머지가 모두 배터리 소재와 게임 기업으로 바뀌었다. 코로나 백신이 충분히 보급되면서 코로나 치료제·백신 개발 분야에서 ‘후발 주자’였던 국내 바이오 기업의 투자 매력이 떨어진 반면, 전기차 생산 확대로 배터리 소재 기업의 ‘몸값’은 크게 올라간 것이다.2021년은 바이오의 ‘겨울’코로나 사태가 시작된 2020년은 바이오 기업들의 해였다. 코로나 치료제나 백신, 진단 키트 등을 개발·생산하는 기업들이 많은 수익을 거둘 수 있을 것이라는 기대감에 주가가 오른 것이다. 신풍제약의 주가가 1612.7% 올랐고, 씨젠(529.7%)과 셀트리온헬스케어(213.6%) 등도 고공행진을 했다.지난해에는 상황이 달라졌다. 모더나·화이자의 코로나 백신이 충분히 공급되기 시작했고, 머크와 화이자 등이 먹는 코로나 치료제를 내놨다. 그러자 제대로 된 백신이나 치료제를 내놓지 못한 국내 바이오 기업의 주가가 약세를 보이기 시작한 것이다.신풍제약이나 셀트리온헬스케어 외에도 셀트리온제약(-46.3%), 셀트리온(-43.8%) 등의 주가가 지난해 급락했다. 코스닥 시총 1위인 셀트리온헬스케어의 시총은 2020년 말 24조7450억원에서 지난해 말 12조4330억원으로 반 토막 났다. 재작년 말 시총 2~4위였던 셀트리온제약(작년 말 7위), 씨젠(11위), 알테오젠(10위), 에이치엘비(8위)는 배터리·게임주에 밀려 순위가 내려갔다.올해는 상황이 나아질 것으로 보인다. 임윤진 대신증권 연구원은 “코로나 백신이나 치료제 개발에 편중되었던 R&D(연구·개발) 역량이 신약 개발 분야로 이어질 전망”이라며 “알츠하이머 치료제나 세포 유전자 치료제 분야의 글로벌 시장이 성장하면서 해당 분야의 국내 바이오 기업에 대한 관심도 커질 것”이라고 했다.날아오른 배터리주지난해 배터리 소재 기업의 주가는 날아올랐다. 김정환 한국투자증권 수석연구원은 “예상을 넘어서는 수준으로 전기차 판매가 급증했고, 이에 따라 배터리 소재 분야에 대한 투자도 늘어난 영향”이라고 했다.에코프로비엠은 한 해 동안 주가가 194.4% 오르며 코스닥 시총 2위 기업이 됐다. 지난해 말 기준 시총 1위인 셀트리온헬스케어와 시총 차이는 2조원 미만이다. 또 다른 배터리 소재 기업인 엘앤에프도 주가가 223.4% 오르며 코스닥 시총 4위가 됐다. 배터리 소재 기업 천보의 주가도 지난해 91.1% 올랐다.장정훈 삼성증권 수석연구원은 “이들 회사는 사상 최대 판매 계약과 고객사의 수주 확대에 따른 대규모 시설 증설 등의 호재가 있었다”면서 “장기 실적 개선 기대감으로 투자하는 것은 유효하지만 중국의 동종 업체에 비해 주가 수준이 높아진 측면이 있어 조심스러운 접근이 필요할 것”이라고 했다."
2022-01-05,"날아오른 배터리, 추락했던 바이오··· 올해는 어떨까?","지난해 국내 증시에서 ‘미래 유망 업종’으로 꼽히는 바이오와 배터리 기업들의 주가는 상반된 모습을 보였다. 신풍제약(-74.2%)이나 셀트리온헬스케어(-49.8%) 등 바이오주 주가는 크게 하락했는데, 배터리 소재 기업인 엘앤에프의 주가는 223.4% 상승했다.올해는 코로나 치료제나 백신 기업에 역량을 집중했던 바이오 기업들이 다른 신약 개발 등에 힘쓰면서 업황이 개선될 것으로 보인다. 반면 배터리 소재주는 중장기적으로는 여전히 매력적이지만, 지난해 급등한 것이 부담으로 작용해 단기적으로 투자에 주의할 필요가 있다는 분석이 나온다.두 업종의 명암이 엇갈리면서 코스닥 시장 시가총액 상위 5종목도 한 해 사이 많이 바뀌었다. 2020년 말에는 5종목 모두 바이오 기업이었는데, 지난해 말에는 시총 1위인 셀트리온헬스케어를 제외하면 나머지가 모두 배터리 소재와 게임 기업으로 바뀌었다. 코로나 백신이 충분히 보급되면서 코로나 치료제·백신 개발 분야에서 ‘후발 주자’였던 국내 바이오 기업의 투자 매력이 떨어진 반면, 전기차 생산 확대로 배터리 소재 기업의 ‘몸값’은 크게 올라간 것이다.2021년은 바이오의 ‘겨울’신풍제약이나 셀트리온헬스케어 외에도 셀트리온제약(-46.3%), 셀트리온(-43.8%) 등의 주가도 급락했다. 진단 키트 업체인 씨젠(-37.1%)이나 바이오 의약품 기업인 알테오젠(-36.8%)도 주가가 많이 하락했다. 코스닥 시총 1위인 셀트리온헬스케어의 시총도 2020년 말 24조7450억원에서 지난해 말 12조4330억원으로 반 토막 났다. 재작년 말 시총 2~4위였던 셀트리온제약(작년 말 7위), 씨젠(11위), 알테오젠(10위), 에이치엘비(8위)는 배터리·게임주에 밀려 순위가 내려갔다.코로나 사태가 시작된 2020년은 바이오 기업들의 해였다. 코로나 치료제나 백신, 진단 키트 등을 개발·생산하는 기업들이 많은 수익을 거둘 수 있을 것이라는 기대감에 주가가 오른 것이다. 신풍제약의 주가가 1612.7% 올랐고, 씨젠(529.7%)과 셀트리온헬스케어(213.6%) 등도 고공행진을 했다.지난해에는 상황이 달라졌다. 모더나·화이자의 코로나 백신이 충분히 공급되기 시작했고, 머크와 화이자 등이 먹는 코로나 치료제를 내놨다. 그러자 제대로 된 백신이나 치료제를 내놓지 못한 국내 바이오 기업의 주가는 약세를 보이기 시작한 것이다.올해는 상황이 나아질 것으로 보인다. 임윤진 대신증권 연구원은 “코로나 백신이나 치료제 개발에 편중되었던 R&D(연구·개발) 역량이 신약 개발 분야로 이어질 전망”이라며 “알츠하이머 치료제나 세포 유전자 치료제 분야의 글로벌 시장이 성장하면서 해당 분야의 국내 바이오 기업에 대한 관심도 커질 것”이라고 했다.날아오른 배터리주지난해 배터리 소재 기업의 주가는 날아올랐다. 김정환 한국투자증권 수석연구원은 “예상을 넘어서는 수준으로 전기차 판매가 급증했고, 이에 따라 배터리 소재 분야에 대한 투자도 늘어난 영향”이라고 했다.에코프로비엠은 한 해 동안 주가가 194.4% 오르며 코스닥 시총 2위 기업이 됐다. 지난해 말 기준 시총 1위인 셀트리온헬스케어와 시총 차이는 2조원 미만이다. 또 다른 배터리 소재 기업인 엘앤에프도 주가가 223.4% 오르며 코스닥 시총 4위가 됐다. 배터리 소재 기업 천보의 주가도 지난해 91.1% 올랐다.장정훈 삼성증권 수석연구원은 “이들 회사는 사상 최대 판매 계약과 고객사의 수주 확대에 따른 대규모 시설 증설 등의 호재가 있었다”면서 “장기 실적 개선 기대감으로 투자하는 것은 유효하지만 중국의 동종 업체에 비해 주가 수준이 높아진 측면이 있어 조심스러운 접근이 필요할 것”이라고 했다.국내 배터리 3사의 주가는 엇갈렸다.SK이노베이션 주가는 지난해 연초 대비 25.5% 상승했고, 삼성SDI주가도 4.3% 올랐다. 반면LG화학 주가는 25.4% 하락했다.LG화학은 지난해 제너럴모터스(GM) 배터리 리콜 사태 등으로 주가가 하락했고,LG화학에서 분리된 배터리 회사인LG에너지솔루션이 상장을 앞두고 있다는 점도 ‘주가 하락 요인’이었다는 분석이 나온다. 배터리에 투자하고 싶은 투자자라면LG화학 대신LG에너지솔루션에 투자하게 될 가능성이 높기 때문이다."
2024-11-27,"판교발 KTX, 문경까지 90분대...중부내륙선 철도 개통","경북 문경시 문경읍에 위치한 문경역사. 중부내륙선이 지나며 충주, 이천까지 이어진다./경북도경기 성남에서 경북 문경까지 이어지는 중부내륙선 충주~문경 구간이 개통한다.국토교통부와 충북·경북도는 27일 오후 경북 문경역에서 중부내륙선 2단계 (충주~문경) 철도사업 개통식을 연다고 밝혔다.개통식에는 국토교통부 백원국 제2차관을 비롯해 지자체, 지역 국회의원, 공공기관, 공사 관계자 등 약 250명이 참석한다. 이번에 개통하는 구간은 중부내륙선 충주역과 문경역을 잇는 연장 39.2km신설 노선이다. 사업비는 1조 3386억원이 투입됐다.그래픽=조선디자인랩 김영재앞서 1단계 이천(부발)~충주 구간(54.0㎞)은 지난 2021년 12월 개통해 운행하고 있다. 이번 2단계 충주~문경 구간(39.2㎞)이 완전히 개통하면서 경기 성남 판교역에서 이천과 음성, 충주와 괴산, 문경까지 잇는 종축 고속철도망이 30일 정식 운행을 시작하게 된다. 운행 열차론 최고 시속 250km의 준고속철도KTX-이음이 투입된다. 열차는 하루 왕복 8회 운행할 예정이다.그래픽=조선디자인랩 김영재노선 중 수안보온천역과 연풍역 사이에 있는 신풍터널과 화천터널 입구에는 열차가 터널을 통과할 때 터널 출구에서 발생하는 미기압파(소닉붐)를 약 75% 줄이는 소음 저감 시설을 국내 최초로 설치했다. 문경역·연풍역·수안보온천역·살미역 등 4개 역사는 문경새재 등 지역의 대표 상징물을 형상화한 디자인으로 설계했다.또 중부내륙선 판교역에서 신분당선으로 갈아타면 서울 강남과 수원 광교 등 수도권 각 지역을 편리하게 진입할 수 있다. 판교에서 충주 살미역까지 74분, 수안보온천역은 81분, 연풍역까지는 87분 등 1시간 30분대에 이동이 가능해진다. 승용차 대비 30분 이상, 시외버스 대비 90분 이상 이동 시간이 단축될 것으로 예상하고 있다.충북도는 중부내륙선 전면 개통으로 경부선에서 소외된 침체 지역의 생활 인구 증대와 경제 활성화를 기대하고 있다. 수안보온천과 월악산 국립공원, 조령산 휴양림, 문경새재 등 관광지와 충주·음성·괴산에 있는 산업단지 경쟁력 강화에도 도움이 될 것으로 보고 있다.국토교통부는 2030년 완공을 목표로 수서~광주선, 문경~김천선, 남부내륙선(김천~거제) 철도 사업을 차례로 완공해 서울에서 거제까지 국토 중심을 관통하는 내륙 간선 철도망 구축 사업도 추진하고 있다.김영환 충북지사는 “대한민국의 중심지인 충북에서 북쪽으로는 수도권을, 남쪽으로는 경북을 시원하게 가로지를 수 있는 교통 대혁신의 계기가 마련됐다”며 “중부내륙발전을 위해 청주공항~김천 철도노선과 중부내륙선 감곡~혁신도시 지선 등의 대한민국 내륙을 잇는 철도 노선이 제5차 국가철도망구축계획에 반영되도록 노력하겠다”고 말했다."
