date,title,content
2024-12-06,신한은행장 정상혁 연임,"신한금융지주는 5일 자회사 최고경영진 후보 추천 위원회를 열고 정상혁<사진>현 은행장을 차기 신한은행장 후보로 추천했다고 밝혔다. 정 후보는 1990년 신한은행에 입사해 경영기획그룹 상무, 소비자보호센터장, 자금시장 그룹 담당 부행장 등을 거쳐 작년 2월에 행장에 취임했다. 정 은행장은 금융권 최초로 책무구조도를 제출하는 등 내부 통제 강화를 위해 적극적으로 노력했다는 평가를 받는다. 신한금융지주는 “중장기적 관점으로 경영에 집중할 수 있도록 2년 연임을 추천했다”고 밝혔다.이날 신한금융지주는 자회사 13곳 중 9곳의 최고경영자도 새로 추천했다고 밝혔다. 신한카드 문동권 사장 후임으로 박창훈 본부장을, 신한투자증권 김상태 사장 후임으로 이선훈 부사장을 추천했다. 이영종 신한라이프 사장은 정 행장과 마찬가지로 다시 후보로 추천됐다."
2024-12-13,"신한은행·광주은행, ‘같이 성장’ 협약 맺어","광주은행-신한은행, 상생협력 업무 협약식.신한은행과 광주은행이 12일 광주은행 본점에서 ‘같이 성장’ 업무 협약을 체결하고 지역 금융 활성화를 위해 손을 맞잡았다. 이번 협약은 수도권 집중 부작용 해소를 위해 지역 산업을 지원하는 지역 금융이 살아야 한다는 공감대를 바탕으로 추진됐다.협약은 디지털 협업 체계 구축, 소상공인과 지역 내 취업 활성화 지원, ‘같이 성장’ 문화 조성을 위한 상호 협력 등으로 구성된다. 구체적으로 지역 신용보증재단 보증서 공동 출연, 사업자 대출 판매 채널 확대, 취업 박람회 공동 개최 등의 방안을 마련했다.이복현 금융감독원장도 협약식에 참석, “전체 은행권의 유사한 협업 모델로 확산될 수 있는 마중물 역할이 되기를 희망한다”며 “지역 격차 해소를 위해 감독 당국 차원에서 필요한 노력을 아끼지 않을 것”이라고 했다.이번 협약 체결엔 진옥동 신한금융 회장의 의지가 강했던 것으로 알려졌다. 최근 시중은행이 지방자치단체 금고 입찰 경쟁에 뛰어들면서, 지방은행의 경영 기반을 흔든다는 지적이 많았다. 진 회장은 “금융도 생태계 보존 차원에서 서로 영역을 존중하는 경영을 했으면 한다”며 “오늘의 협약이 많이 알려져서 다른 대형 은행들도 동참해 줬으면 한다”고 했다."
2024-12-23,[경제계 인사] 신한은행 외,▲신한은행◇부행장▷영업추진1그룹장 김재민▷영업추진3그룹장 양군길▷고객솔루션그룹장 이봉재▷자산관리솔루션그룹장 강대오▷CIB그룹장 장호식▷Tech그룹장 윤준호◇상무▷디지털이노베이션그룹장 최혁재▷경영지원그룹장 이정빈▷준법감시인 전종수▷정보보호본부 송영신▲신한금융지주◇상무▷준법지원파트장 이영호
2024-09-30,"신한금융 “계열 저축銀 고객, 은행 대출로 전환”","원금 5000만원 이내 등 기준 마련서울 중구 신한금융 사옥 모습. /뉴스1신한금융그룹이 신한저축은행 고객의 중금리 신용 대출을 신한은행의 저금리 대출로 바꿔주는 ‘브링업 앤 밸류업(Bring-Up&Value-Up)’ 프로젝트를 시작한다고 29일 밝혔다.이번 프로젝트는 신한저축은행에서 중금리로 돈을 빌린 중신용 급여소득자가 신한저축은행에서 받은 개인 신용 대출을 상대적으로 이자가 낮은 신한은행 대출로 갈아탈 수 있게 해주는 것이다. 대출 갈아타기를 신청하려면 ‘원금 5000만원 이내’,‘총부채 원리금 상환 비율(DSR) 70% 이하’ 등의 기준을 충족해야 한다.신청은 비대면으로 이뤄진다. 신한저축은행 앱을 통해 신청 가능 여부와 금리 등을 확인한 후, 자격이 되면 신한은행 앱에서 대출을 받아 신한저축은행의 기존 대출금을 상환하면 된다. 신한은행은 저축은행 고객 전용 대환 대출 재원으로 2000억원을 사용하겠다는 계획이다. 신한금융은 이번 프로젝트를 통해 이자 비용을 줄이고, 신용 등급을 올릴 수 있는 대상자가 1만2000명 정도 될 것으로 봤다. 향후에는 대환 대출 프로젝트 상시화, 중금리 카드론으로 확대 등 프로젝트를 더욱 확장할 계획이다.한편, 이날 우리금융그룹은 서민 금융 지원에 1650억원을 추가 투입하겠다고 밝혔다. 우리은행, 우리금융캐피탈, 우리금융저축은행이 1500억원을 모아 금융위원회가 선정한 19개 우수 대부 업체를 중심으로 저금리 자금을 지원한다. 이 외에도 우리은행은 서민금융진흥원에 150억원을 추가로 출연하기로 했다."
2024-09-11,"신한은행, 보유 주택 팔면 1주택자도 주담대 허용","신한은행. /뉴스1신한은행이 10일 가계 대출 제한 관련 실수요자 예외 조항을 발표했다. 지난주 실수요자 예외 적용을 발표한 우리은행에 이은 것이다.신한은행이 이날 오전 발표한 실수요자를 위한 예외 조항에 따르면, 주택담보대출을 실행하는 당일에 기존 보유 주택을 매도하는 조건으로 주택을 구입하는 경우에는 1주택자도 신규 주택 구입 목적의 주택담보대출이 가능하도록 했다. 이 경우 보유 주택 매도계약서와 구입 주택 매수 계약서를 모두 제출해야 한다.앞서 신한은행은 이날부터 주택을 새로 구입하는 목적으로 주택담보대출을 받는 경우 무주택 세대에만 허용하겠다고 밝혔다. 또 1주택자의 ‘주택처분 조건부’ 주택담보대출도 취급하지 않기로 했다. 하지만 실수요자가 대출을 못 받는 상황이 생길 수 있다는 우려에 예외를 허용하는 것이다.최대 연 소득까지만 내주기로 했던 신용대출에 대해서도 예외 조항을 발표했다. 본인 결혼이나 직계 가족 사망, 자녀 출산, 의료비 지출 등의 경우 연 소득의 150%(최대 1억원)까지 신용대출을 받을 수 있다. 지난 3일부터 시행된 ‘생활안정자금 목적의 주택담보대출 한도 1억원’ 규제에도 전세금에 해당하는 임차보증금 반환 목적의 경우 1억원을 초과할 수 있도록 했다."
2024-08-22,"신한은행, 갭투자 이용되는 전세대출 제한","26일부터 당분간 취급 않기로신한은행. /뉴스1주택 거래와 관련한 가계 대출 급증세를 완화하기 위해 신한은행이 ‘갭투자(전세를 끼고 매수)’ 등에 이용되던 일부 전세자금대출을 막기로 했다. 다만, 전세 보증금 증액 등을 위해 실수요자가 이용하던 일반 전세대출을 막지는 않는다.21일 금융권에 따르면 신한은행은 일부 조건부 전세자금대출을 26일부터 당분간 취급하지 않기로 결정했다. 갭투자를 막기 위해 ‘임대인 소유권 이전’ 조건부 대출을 내주지 않기로 한 것이 대표적이다. 이 대출은 매매 계약과 임차 계약이 같은 날 이뤄지는 전세대출이다. ‘갭투자’는 임차인을 미리 구해 놓고 하는 경우가 많고, 이 경우 임차인이 매매 계약일과 같은 날에 전세대출을 신청하는 경우가 있는데 이런 형식의 대출은 해 주지 않겠다는 것이다.이와 함께 선순위 채권 말소·감액 관련 전세대출도 취급하지 않기로 했다. 예를 들어 5억원의 주택을 소유한 A씨가 신한은행에 3억원의 주택담보대출이 있을 경우, 해당 주택에 대해서는 전세대출이 추가로 나가기 힘들다. 이럴 때 주택담보대출 3억원 중 일부를 갚고 전세대출을 받는 경우가 있는데 이를 막겠다는 것이다. 주택 처분 조건부 전세대출도 제한된다. 2주택자가 자신의 주택 1채를 처분하는 조건으로 받아 왔던 전세대출을 내 주지 않겠다는 것이다. 은행 관계자는 “전세 실수요자의 대출은 건드리지 않으면서 일부 전세대출을 줄여서라도 가계대출 총량을 줄이겠다는 취지”라고 했다.이와 함께 신한은행은 26일부터 플러스모기지론을 중단하기로 했다. 이 대출은 주택담보대출과 동시에 소액 임차 보증금 변제 보험을 가입해 대출 한도를 늘여주는 방식이다. 보험에 가입하지 않으면 소액임차보증금(서울 5500만원, 경기 4800만원 등)을 뺀 금액만 대출이 가능하기 때문에 사실상 대출 한도를 축소하는 효과를 기대할 수 있다."
2024-06-24,신한은행 이어 KB도… 금리 年2%대 주담대 잇따라,"가계 대출 다시 불붙나지난 6월 12일 서울 시내의 한 은행 앞에 대출과 금리 안내 현수막이 걸려있다. /연합뉴스올해 안에 기준금리를 내릴 것이라는 기대감에 최근 시장금리가 하락하면서 시중은행 주택담보대출 최저 금리가 연 2%대로 떨어지고 있다. 주택담보대출 금리가 연 2%대를 기록하는 건 약 3년 만이다. 다음 달 대출 한도가 줄어드는 ‘스트레스 총부채원리금상환비율(DSR) 2단계’ 시행을 앞두고 규제 전에 대출을 받으려는 막차 수요와 맞물려 가계 대출이 큰 폭으로 늘어날 수 있다는 우려가 나온다.◇연 2%대 주택담보대출 다시 등장23일 금융권에 따르면KB국민은행의 주택담보대출 혼합형(5년간 고정금리 뒤 변동금리를 적용) 금리와 주기형(5년마다 금리 결정) 고정금리의 최저 금리가 24일 연 2%대에 진입한다.KB국민은행 관계자는 “지난 21일 연 3.09%였던 혼합형·주기형 금리 하단에 은행채 금리 하락분(0.10%포인트)을 빼면 24일부터 연 2.99%의 최저 금리가 적용된다”고 했다. 앞서 19일 신한은행 주택담보대출의 5년 고정금리 하단도 연 2.98%를 기록하며 연 2%대로 내려왔다. 21일엔 연 2.94%로 더 떨어졌다. 시중은행 주택담보대출 고정금리가 연 2%대였던 것은KB국민은행의 경우 2021년 8월(2.92%)로 2년 10개월, 신한은행의 경우 2021년 3월(2.96%)로 약 3년 3개월 만이다.그래픽=이철원지난 21일 기준KB국민·신한·하나·우리은행의 주택담보대출 혼합형 금리는 연 2.94~5.445% 수준이다. 지난 5월 3일 연 3.480~5.868%와 비교하면 하단이 0.54%포인트나 떨어졌다. 같은 기간 혼합형 금리의 주요 지표인 은행채 5년물 금리가 연 3.895%에서 연 3.454%로 0.441% 급락했기 때문이다. 업계 관계자는 “최근 정부의 금리 인하 언급과 미국과 한국의 소비자 물가 상승률 둔화 등으로 기준금리 인하에 대한 기대가 커지면서, 시장금리도 연 저점에 이르렀다”고 했다.금리가 낮아지면서 그만큼 대출자의 원리금 상환 부담도 줄어들 전망이다. 한 시중은행의 내부 시뮬레이션에 따르면 작년 말 기준으로 코픽스 기준 6개월 주기 변동금리(연 4.74%)를 적용해 5억원을 40년간 빌리면 연간 원리금 상환액은 2790만6319원이다. 이를 24일 적용될 변동금리로 바꾸면 금리가 연 3.74%로 떨어지면서 연간 원리금 총액은 2411만4913원으로 379만1406원이나 줄어든다. 혼합형 금리도 같은 기간 연 3.38%에서 연 2.99%로 떨어지면서 대출자의 연간 원리금 상환액은 136만9120원 줄어든다.그래픽=이철원◇가계 대출 증가세 다시 뛰나주택담보대출 금리가 하락하면 대출자의 부담은 줄어들지만, 주택 거래 회복세와 맞물려 가계 대출이 다시 증가할 수 있다는 우려가 나온다. 특히 다음 달 1일부터 대출 한도가 줄어드는 2단계 스트레스DSR시행을 앞두고 그 전에 대출을 받으려는 수요가 한꺼번에 몰릴 수 있다.지난 20일 기준KB국민·신한·하나·우리·NH농협은행 등 5대 은행의 가계 대출 잔액은 707조6362억원으로 지난달 말(703조2308억원)보다 4조4054억원 늘었다. 가계 대출은 4월 이후 3개월 연속 매달 5조원 내외의 증가세를 보이고 있다. 가계 대출의 95%가량이 주택담보대출이다.특히 최근 부동산 매수 심리가 되살아나며 가계 대출이 다시 들썩이고 있다는 진단이 나온다. 서울부동산정보광장에 따르면 올해 서울 아파트 매매 거래량은 1월 2611건, 2월 2570건, 3월 4229건, 4월 4376건 등으로 매월 늘어나는 추세를 보였다. 5월엔 4755건을 기록하며 지난 2021년 7월(4796건) 이후 가장 많은 거래량을 보였다.이 때문에 시중은행에서는 하반기부터 가산금리를 올리거나 대출 한도를 축소하는 등의 조치를 통해 가계 대출의 총량 관리에 들어갈 가능성이 커졌다는 관측이 나온다. 금융 당국은 주요 은행에 ‘성장률 이내로 가계 대출 증가를 관리할 것’을 당부하고 있다. 한국은행은 지난달 ‘향후 통화정책 운용의 주요 리스크’ 보고서에서 “정책금융 확대와 주택담보대출 금리 하락으로 금융권 가계 대출이 지난 4월 증가세로 돌아섰다”며 “앞으로 피벗(통화정책 전환)이 주택 가격 상승 기대를 자극하면서 가계 부채 증가를 부추길 가능성이 있다”고 경고했다."
2024-12-30,“1000명 대기 중”... 연말정산 앞두고 기부 사이트 접속 급증,"“10만원 쓰고 13만원 이득 챙기자”연말 고향사랑기부제 관심 급증[왕개미연구소]2024년 귀속 연말정산 준비를 하려는 직장인들이 한꺼번에 몰리면서 30일 고향사랑기부제 사이트 접속 지연 현상이 빚어졌다.이날 오후 행정안전부가 운영하는 고향사랑기부제 사이트인 ‘고향사랑e음’은 대기자 수가 1000명을 넘어섰다. 오는 31일까지 기부를 완료해야만 내년 1월 연말정산에서 절세 혜택을 받을 수 있기 때문에 접속자들이 한꺼번에 몰린 것으로 풀이된다. 행정안전부에 따르면, 지난해 고향사랑기부제 모금액의 40%가 연말에 집중됐다.30일 연말정산을 준비하는 직장인들이 한꺼번에 몰리면서 고향사랑e음 사이트 접속 지연이 하루 종일 빚어졌다./고향사랑e음40대 회사원 이모씨는 “회사 동료가 10만원 기부하면 전액 세액공제 받으면서 답례품으로 돼지 목살을 2kg어치 받았다고 해서 해보려고 한다”면서 “답례품 품목을 보니까 한우뿐만 아니라 쌀, 생선, 김치, 딸기, 장어, 젓갈, 참기름 등 무척 다양해서 둘러보는 재미가 있다”고 말했다.고향사랑기부제는 직장인이 주민등록상 주소지 외의 지자체에 기부하면 세액공제 혜택과 함께 기부금의 30% 상당 답례품을 받는 제도다. 대다수 직장인들은 10만원 기부를 선택한다. 연말정산 때 전액 돌려받는 액수가 10만원이 최대 금액이기 때문이다. 10만~500만원은 세액공제(16.5% 지방세 포함) 혜택을 받는다.기부금은 연말정산 간소화 서비스에 자동으로 반영되기 때문에 소비자는 별도의 영수증 등록 절차 없이 세액공제를 받을 수 있다.2024년 1월 1일부터 12월 31일까지 기부한 금액 중 10만원까지는 전액 공제되고, 10만원 초과 금액에 대해선 16.5%의 세액공제가 적용된다./고향사랑e음✅일본은 15년 만에 1조엔 돌파올해로 시행 2년째를 맞은 한국의 고향사랑기부제는 일본이 지방소멸 극복방안의 하나로 시도해 성공한 고향납세제(ふるさと納税)를 본따서 만든 것이다. 개인이 2000엔 이상 원하는 지역에 기부하면 답례품(기부액의 30% 이내)과 세액공제 혜택을 받을 수 있다.일본은 제도 시행 15년 만인 지난해 고향납세 기부액이 1조엔(약 9조3248억원)을 넘어섰다. 고향납세로 주민세 공제를 받은 사람은 전년 대비 107만명 증가한 1000만2000명으로 역대 최대를 기록했다.한국은 작년에 고향사랑기부금으로 651억원을 모았다. 행정안전부에 따르면, 올해는 작년보다 더 금액이 늘어날 전망이다. 지난 30일까지 기부금은 약 800억원으로, 전년 동기 대비 23% 늘었다.행정안전부 관계자는 “기부자에게는 답례품 포인트가 지급되는데, 5년간 유효하다”면서 “기부 시점 이후에도 언제든지 답례품 신청이 가능하므로 대기자 수가 상대적으로 적은 연초에 접속하면 빠르게 신청할 수 있다”고 말했다.그래픽=조선디자인랩 이연주✅민간 플랫폼, 이달부터 본격 가동고향사랑기부제는 이달부터 민간 플랫폼 참여에 본격 시동이 걸리면서 날개를 달 전망이다. 업계 관계자는 “일본에서도 고향납세제가 원래는 관(官) 주도였다가 2014년 민간에 개방하면서 폭발적으로 성장했다”면서 “한국 역시 민간 플랫폼들의 참여가 늘어나면서 기부가 더욱 활성화될 것”이라고 말했다.현재 민간 플랫폼으로는 ‘위기브’와 ‘놀고팜’ 등이 있고,KB국민은행, 신한은행, 하나은행,IBK기업은행,NH농협은행 등 은행들도 서비스 제공을 시작했거나 계획 중이다.그런데 민간 플랫폼을 통해서 납세자가 기부하면 일정 수수료(약 10%)가 일부 플랫폼의 몫으로 돌아간다. 이에 대해 수수료 부담을 지적하는 목소리도 있지만, 플랫폼이 적극적으로 홍보 활동을 벌이는 점을 고려하면 타당하다는 반박도 있다.실제로 ‘위기브’는 12월 기부자 전원에게 2000원 상당의 포인트를 지급하고, 추첨을 통해 다이슨청소기 등 선물을 주는 이벤트도 진행 중이다. 페이코 사이트를 통해서 접속해 기부하면 5000원 어치 포인트도 추가로 얻을 수 있다.민간 플랫폼에 최근 참여한 A지자체 고향기부사랑제 담당자는 “작은 식당이 배달 플랫폼을 통해서 더 많은 손님들을 확보하듯, 지자체 입장에선 수수료가 들더라도 홍보가 더 많이 되는 것도 중요하다”면서 “작년보다 기부 참여자 수가 크게 늘어나서 민간 플랫폼 효과를 톡톡히 보고 있다”고 말했다."
2024-01-31,KB국민·신한은행도 ELS 판매 전면 중단,"주요 시중은행들이 잇따라 고위험 파생 금융상품인 주가연계증권(ELS)의 전면 판매 중단에 나서고 있다.30일 금융권에 따르면KB국민은행은 이날 오후 회의를 거쳐ELS상품 판매를 전면 중단하기로 했다.KB국민은행 관계자는 “글로벌 금융시장의 변동성이 확대되는 상황을 고려해ELS판매를 잠정 중단하기로 결정했다”고 말했다. 신한은행도 5일부터ELS를 취급하지 않기로 결정했다. 미국 S&P500, 일본 닛케이평균 등ELS가 기초 자산으로 삼는 주요 주가 지수가 많이 올라 소비자 보호를 위한 능동적인 관리가 필요하다는 이유에서다.이에 앞서 하나은행은 비예금상품위원회의ELS판매 중단 권고를 받아들여 29일부터ELS판매를 중단했고,NH농협은행은 이미 지난해 10월부터 원금 비보장형ELS를 취급하지 않고 있다. 우리은행은 아직ELS를 판매 중이지만, 향후ELS판매를 중단할 가능성도 있다. 우리은행 관계자는 “내부적으로ELS판매 중단 여부를 신중하게 검토하고 있다”고 말했다.2021년 판매된 홍콩H지수ELS의 대규모 손실이 최근 현실화하면서 은행들이 무리하게 고위험 상품을 팔았다는 지적이 나온 데다, 금융 당국도 은행의ELS판매 중단을 검토하겠다고 나섰기 때문으로 풀이된다."
2023-11-16,차기 은행연합회장에  조용병 전 신한금융지주 회장,"지난 3월 자리에서 물러났던 조용병 전 신한금융지주 회장이 8개월 만에 차기 은행연합회장 단독 후보로 선출되며 금융계에 복귀했다.조용병 전 신한금융지주 회장이 지난해 7월 개최한 ‘신한문화포럼’에서ESG(환경·사회적 책임·지배구조)의 중요성에 대해 강연하고 있다./신한금융그룹 제공은행연합회는 16일 회장후보추천위원회(회추위)와 이사회를 열고 차기 은행연합회장 후보로 조 전 회장을 단독 추천했다고 밝혔다. 조 전 회장은 고려대 법학과를 졸업하고 1984년 신한은행에 입행해 리테일부문장 겸 영업추진그룹 부행장, 신한BNP파리바자산운용 사장 등을 거쳐 2015년 신한은행장에 취임했다. 2017년에는 제3대 신한금융지주 회장에 올라 한 차례 연임 후 지난 3월 자리에서 물러났다. 조 전 회장은 3연임이 유력했으나 지난해 12월 차기 신한금융지주 회장 면접 과정에서 세대 교체를 선언하며 갑작스럽게 용퇴 의사를 밝혔다. 당시 금융지주 회장들의 장기 집권에 대한 부정적 여론이 일자 자진해서 물러났다는 말이 나왔다.이번 회장 자리를 놓고는 박진회 전 한국씨티은행장, 손병환 전NH금융지주 회장, 임영록 전KB금융지주 회장, 조준희 전 기업은행장 등 5명이 경합을 벌였다. 회추위는 윤종규 현KB금융지주 회장도 후보군에 포함했으나 윤 회장은 “은행권의 목소리를 대변할 수 있는 분이 선임되시길 바란다”며 고사 의사를 밝혔다. 조 전 회장의 은행연합회장 임기는 다음달 1일부터 3년이다."
