date,title,content
2023-11-16,차기 은행연합회장에  조용병 전 신한금융지주 회장,"지난 3월 자리에서 물러났던 조용병 전 신한금융지주 회장이 8개월 만에 차기 은행연합회장 단독 후보로 선출되며 금융계에 복귀했다.조용병 전 신한금융지주 회장이 지난해 7월 개최한 ‘신한문화포럼’에서ESG(환경·사회적 책임·지배구조)의 중요성에 대해 강연하고 있다./신한금융그룹 제공은행연합회는 16일 회장후보추천위원회(회추위)와 이사회를 열고 차기 은행연합회장 후보로 조 전 회장을 단독 추천했다고 밝혔다. 조 전 회장은 고려대 법학과를 졸업하고 1984년 신한은행에 입행해 리테일부문장 겸 영업추진그룹 부행장, 신한BNP파리바자산운용 사장 등을 거쳐 2015년 신한은행장에 취임했다. 2017년에는 제3대 신한금융지주 회장에 올라 한 차례 연임 후 지난 3월 자리에서 물러났다. 조 전 회장은 3연임이 유력했으나 지난해 12월 차기 신한금융지주 회장 면접 과정에서 세대 교체를 선언하며 갑작스럽게 용퇴 의사를 밝혔다. 당시 금융지주 회장들의 장기 집권에 대한 부정적 여론이 일자 자진해서 물러났다는 말이 나왔다.이번 회장 자리를 놓고는 박진회 전 한국씨티은행장, 손병환 전NH금융지주 회장, 임영록 전KB금융지주 회장, 조준희 전 기업은행장 등 5명이 경합을 벌였다. 회추위는 윤종규 현KB금융지주 회장도 후보군에 포함했으나 윤 회장은 “은행권의 목소리를 대변할 수 있는 분이 선임되시길 바란다”며 고사 의사를 밝혔다. 조 전 회장의 은행연합회장 임기는 다음달 1일부터 3년이다."
2024-12-23,[경제계 인사] 신한은행 외,▲신한은행◇부행장▷영업추진1그룹장 김재민▷영업추진3그룹장 양군길▷고객솔루션그룹장 이봉재▷자산관리솔루션그룹장 강대오▷CIB그룹장 장호식▷Tech그룹장 윤준호◇상무▷디지털이노베이션그룹장 최혁재▷경영지원그룹장 이정빈▷준법감시인 전종수▷정보보호본부 송영신▲신한금융지주◇상무▷준법지원파트장 이영호
2024-12-06,신한은행장 정상혁 연임,"신한금융지주는 5일 자회사 최고경영진 후보 추천 위원회를 열고 정상혁<사진>현 은행장을 차기 신한은행장 후보로 추천했다고 밝혔다. 정 후보는 1990년 신한은행에 입사해 경영기획그룹 상무, 소비자보호센터장, 자금시장 그룹 담당 부행장 등을 거쳐 작년 2월에 행장에 취임했다. 정 은행장은 금융권 최초로 책무구조도를 제출하는 등 내부 통제 강화를 위해 적극적으로 노력했다는 평가를 받는다. 신한금융지주는 “중장기적 관점으로 경영에 집중할 수 있도록 2년 연임을 추천했다”고 밝혔다.이날 신한금융지주는 자회사 13곳 중 9곳의 최고경영자도 새로 추천했다고 밝혔다. 신한카드 문동권 사장 후임으로 박창훈 본부장을, 신한투자증권 김상태 사장 후임으로 이선훈 부사장을 추천했다. 이영종 신한라이프 사장은 정 행장과 마찬가지로 다시 후보로 추천됐다."
2024-12-05,주저앉은 ‘밸류업’...금융주 등 줄줄이 약세,"계엄령 파장에 힘 못 써5일 서울 중구 하나은행 본점 딜링룸에서 증시 종가가 표시되고 있다. 이날 코스피 지수는 전 거래일 대비 22.15포인트(0.90%) 하락한 2441.85를, 코스닥 지수는 6.21포인트(0.92%) 하락한 670.94로 장을 마쳤다. /뉴스1비상계엄 선포·해제 사태로 4~5일 국내 주식시장의 밸류업(기업 가치 제고) 대표 종목인 은행주, 항공주, 수출주 등이 큰 폭으로 하락했다. 윤석열 정부가 올 초부터 추진하던 밸류업 정책의 동력이 떨어질 수 있다는 전망에 더해서, 정치적 불확실성도 커지고 있기 때문이다. 여기에 트럼프 정책 리스크, 경기 침체 우려까지 겹치고 있다.개별 종목뿐 아니라 지난 9월 발표한 밸류업 지수, 그리고 이 지수를 바탕으로 지난달 상장한 밸류업 관련 상장지수펀드(ETF)들도 줄줄이 하락세다.전문가들은 “밸류업 추진 동력 자체가 이번 정치적 혼란으로 사라지는 것 아니냐”고 깊은 우려를 나타내고 있다.그래픽=김하경◇밸류업 정책 수혜 금융주 폭락한국거래소에 따르면 5일KB금융은 10.06%, 신한지주는 5.50%, 우리금융지주는 3.77%, 하나금융지주는 3.25% 하락하며 장을 마쳤다. 계엄 사태 직후부터 따지면KB금융은 15.22%, 신한지주가 11.7% 하락했다. 올해 국내 증시가 어려운 가운데도 주주환원 여력이 높다는 이유로 밸류업 정책을 동력으로 업종 중에서 거의 유일하게 상승세를 보였던 금융주가 줄줄이 하락한 것이다.김도하 한화투자증권 애널리스트는 “금융주의 연이은 주가 급락은 비상계엄 이후 정치적 불확실성이 확대된 것과 밸류업 정책 이행에 대한 불안감에 기인한 것으로 해석한다”며 “전향적인 자본정책의 이행에 차질이 생길 수 있다는 우려가 주가 하락의 원인”이라고 했다.밸류업 대장주였던 현대차, 기아도 이날 각각 2.15%, 4.18% 하락했다. 트럼프 당선으로 관세 우려가 커진 가운데 비상계엄 사태까지 겹쳤다.달러당 1410원대 고환율로 항공주도 좋지 않다. 이날 한진칼 주가는 6.63%, 아시아나는 2.01%, 대한항공은 0.81% 하락했다. 안도현 하나증권 연구원은 “당분간 1400원대 고환율이 지속될 가능성이 크다”며 “고환율은 아웃바운드(한국인의 해외여행) 여행 수요를 위축시킨다”고 했다. 안 연구원은 “달러 가치 절상은 항공사 비용 증가를 야기한다”며 “항공사 영업비용의 3분의 1을 차지하는 유류비가 달러화에 연동되는 가운데 항공기 리스료·정비비 등 전반적인 비용 상승으로 이어질 수 있다”고 덧붙였다.그래픽=김하경◇밸류업ETF도 마이너스...골드만삭스 “불확실성, 이어질 듯”밸류업 대표 종목들이 타격을 받다 보니, 지난 9월 30일 992.13으로 시작한 밸류업 지수도 5일 971.51로 마감해 이 기간 2.08% 하락했다.지난달 4일 일제히 상장한 밸류업 상장지수펀드(ETF)도 수익이 나지 않는다. 한국거래소에 따르면 국내 증시에 상장한 12개 밸류업ETF는 5일 일제히 하락했다.트러스톤자산운용의 ‘TRUSTON코리아밸류업액티브’와 타임폴리오자산운용의 ‘TIMEFOLIO코리아밸류업액티브’의 경우는 이날 하루에만 각각 1.90%, 1.05% 하락했다. 12개 밸류업ETF는 이날 기준으로 수익률 모두 마이너스(-)를 기록 중이다.특히 올해 초 밸류업에 대한 기대감으로 국내 증시로 진입했던 외국인들이 밸류업 정책에 대한 실망감으로 썰물처럼 빠져 나간 것이 영향을 줬다.5일 유안타증권에 따르면, 외국인 투자자들은 작년 11월부터 올해 7월까지 31조8000억원어치의 국내 주식을 순매수(매수가 매도보다 많은 것)했고, 올해 8월부터 10월까지 14조3000억원을 순매도했다. 최근 3개월 동안 이전 9개월간 순매수 규모의 약 45%를 순매도한 것이다. 이날도 외국인 투자자들은 약 3400억원 순매도했다. 반도체 경기에 대한 우려에 더해 비상계엄 사태에 이은 탄핵 정국 등 정치적 불확실성이 커지는 데 영향을 받은 것으로 보인다.김대준 한국투자증권 연구원은 “정치, 경제적 불확실성이 중장기적으로 흐르면 국가신용등급에 불리한 영향을 미치기에 코스피가 약세 압력에 노출될 수 있다”며 “한국주식을 보는 해외 투자자의 시각도 변할 가능성이 있다”고 말했다.골드만삭스는 “한국의 잠재적인 실적 하방 리스크와 정책 불확실성을 고려할 때 당분간 변동성 높은 거래 환경이 지속될 것으로 예상한다”며 “잠재적 탄핵 표결까지 높은 수준의 변동성이 계속될 가능성이 있으며, 국내 정책 불확실성 등이 시장에 영향을 미칠 가능성이 높다”고 분석했다.그래픽=김하경"
2023-01-24,"금융지주 회장 자사주 매입 그후… 수익률 2위는 신한 조용병, 1위는?","/뉴시스주요 금융지주 회장들이 회장 취임 이후 사들인 자사주의 투자 수익률이 두자릿수까지 늘어난 것으로 나타났다. 올 들어 배당이 늘어날 수 있다는 기대감 속에 은행주 주가가 크게 올라 수익률이 높아졌다.24일 본지가 금융감독원 공시 내용과 지난 19일 주가를 기준으로 집계한 결과 주요 금융지주 회장 중 윤종규KB금융지주 회장의 자사주 매입 수익률이 18.7%로 가장 높았다. 윤 회장은 2015년 7월부터 2019년 3월까지KB금융지주 주식 1만5700주를 7억5665만원을 들여 사들였다. 주당 평균 4만8194원에 산 것인데, 19일 종가(5만7200원) 기준 수익률은 18.7%에 달한다.조용병 신한금융지주 회장의 수익률도 두자릿수다. 조 회장은 2018년 3월부터 지난해 10월까지 신한금융지주 주식 8066주를 3억289만원을 들여 사들였다. 지난 19일 주가 기준 수익률은 13%다.손태승 우리금융지주 회장도 2019년 2월부터 지난해 7월까지 9억5718만원을 들여 우리금융지주 주식 8만주를 매수했다. 손 회장의 투자 수익률은 4.5% 수준이다.함영주 하나금융지주 회장은 지난해 회장 취임 이후에는 자사주를 사들였다고 공시한 적이 없다. 다만 지주 부회장 시절인 2020년 3월 5000주 2만4400원에 매수했는데, 19일 주가를 기준으로 보면 수익률이 108.2%에 달한다. 코로나 사태로 주가가 급락했던 시기에 국면에 주식을 사들여 100%가 넘는 수익률을 기록한 것이다.자료=금융감독원지주 회장들은 본인들의 경영 성과에 책임을 지는 자세를 보여주는 차원에서 자사주를 사들이는 경우가 많다. 주식을 팔아 차익을 거둔 것은 아니지만, 최근 은행주 주가가 크게 오르면서 최근 주가 기준으로 높은 평가 수익률을 기록 중이다.지난해 11월 이복현 금융감독원장이 금융지주 배당 등 주주 환원에 금융당국의 개입을 최소화하겠다고 밝힌 바 있고, 최근에는 행동주의 펀드 얼라인파트너스가 금융지주를 상대로 주주 환원 정책을 강화할 것을 요구하고 있다. 이런 이유로 금융지주의 배당이 늘어날 것이라는 기대감이 커지면서 올 들어 주가가 크게 오르고 있다. 연초 이후 지난 20일까지 신한금융지주 주가가 23% 올랐고, 하나금융지주(22.5%),KB금융지주(17.5%), 우리금융지주(10%) 등도 높은 주가 상승률을 기록한 바 있다."
2024-11-27,“고배당 믿었다가 -30% 날벼락”... 리츠 투자자들의 한숨,"상장 후 5개월 만에 주가 -30% 급락전문가 “매수 주체 없어 당분간 조정”[왕개미연구소]“노후 자산을 운용하기에 적합하다고 해서 투자했는데, 어떻게 5개월 만에 30%나 하락하나요?” “초기 투자자들이 탈출하려고 상장하고 개인들은 희생양이 된 건 아닌가 의심스럽습니다.”26일 오전 ‘신한글로벌액티브리츠’ 주주 총회가 열린 서울 광화문 센터포인트빌딩 회의실. 신한글로벌액티브리츠는 신한금융지주의 100% 자회사인 신한리츠운용이 지난 7월 상장시킨 해외 부동산 투자 상품이다. 미국 부동산 펀드 3개를 기초 자산으로 삼고 있는데, 상장 이후 2년간 연 8.5%를 확정 배당한다고 해서 관심을 모았다.하지만 5개월이 지난 현재, ‘신한글로벌액티브리츠’는 공모가 3000원 대비 30% 하락해 2120원선에서 거래되고 있다. 기관 자금 탈출이 이어지면서 지난 13일에는 장중 1885원까지 하락했다. 기관 투자자들이 상장 이후 팔아 치운 금액만 155억원에 달한다. 고배당 약속과 운용사 브랜드에 이끌려 투자한 개인들은 배당금 이상으로 빠져버린 주가 때문에 속앓이를 하고 있다.그래픽=조선디자인랩 김영재✅5개월 만에 -30% 수익률지난 7월 상장한 ‘신한글로벌액티브리츠’는 공모를 통해 약 700억원의 자금을 조달했다. 이 상품은 미국 부동산 펀드 3개(USGB,PRISA,CBREUSCP)에 투자해서 받은 수익을 배당으로 돌려주는 상품이다.당시 일각에선 미국 부동산 시장의 가격 조정이 끝나지 않은 상황에서 무리하게 상장을 추진하는 것이 아니냐는 지적이 나왔다. 초기 투자자(기관)의 자금 회수 목적에서 일반인들에게 과도한 리스크를 전가하는 것 아니냐는 비판이었다.리츠가 실제 건물을 보유한 것이 아니라 부동산 펀드에 투자하는 형태이기 때문에 담보가 없고, 이 때문에 대출 금리가 8%대에 달할 정도로 비싸서 수익률을 훼손한다는 지적도 나왔었다.이날 질의·응답(Q&A) 시간에서는 개인 투자자들이 날선 질문들을 연거푸 쏟아냈다. 투자자들은 지난 7월 공모가 3000원에 상장해서 단 5개월 만에 주가가 30%나 떨어진 점에 대해 분통을 터뜨렸다.그래픽=조선디자인랩 김영재한 남성 투자자는 “리츠가 투자 중인 미국 부동산 펀드들은 기준가가 오르고 있는데 왜 리츠 주가는 거꾸로 가는지 이해하지 못하겠다”면서 “안정적인 배당으로 노후를 준비하려는 예비 은퇴자들의 피해만 커졌다”고 말했다.윤영진 신한리츠운용 이사는 “유동성 가뭄 속에 리츠 시장에 매수 주체가 사라지면서 주가가 순자산가치(NAV) 보다 낮은 수준까지 떨어졌다“면서 “금리 인하 협상, 환헤지 전략 변경 등 비용을 줄여 재무 구조 개선에 노력하겠다”며 고개를 숙였다.그래픽=조선디자인랩 김영재✅33%vs-33%... 리츠 수익률 디바이드​최근 한국 증시에 상장되어 있는 리츠들은 종목별 차별화가 극심해져 투자자들의 희비도 갈리고 있다.마스턴프리미어리츠(프랑스), 제이알글로벌리츠(벨기에) 등 해외 부동산에 투자하는 리츠들은 올 들어서만 28~34% 하락해 투자자들의 가슴을 찢어 놨다. 한화리츠 역시 올해 수익률이 -25%대로 부진한데, 모회사인 한화그룹의 본사 사옥(장교동 한화빌딩)을 인수하기 위한 대규모 유상증자(약 3800억원)가 악재가 됐다. 유상증자로 대규모 신주가 발행되면 지분 가치가 희석되어 기존 주주에게는 불리하다.앞서 지난 달 이리츠코크렙 역시 대주주(이랜드리테일)가 보유 중인 건물(강남e스퀘어) 매입을 검토했다가 주주들의 거센 반대로 철회했다. “수년째 팔리지 않는 대주주 건물을 리츠에 떠넘기려 한다”는 말이 퍼지면서 이리츠코크렙 주가는 지난 달 2018년 상장 이후 최저가(4070원)를 기록했다.리츠가 보유 중인 수도권 물류센터 건물./ESR켄달스퀘어리츠한편, 올해 양호한 수익률(33%)을 보이고 있는 리츠는 ‘ESR켄달스퀘어리츠’다. 글로벌 부동산 투자 회사인ESR그룹이 운용하는 국내 최초 물류(대부분 쿠팡) 전문 리츠다.이경자 삼성증권 연구원은 “ESR켄달스퀘어리츠는 거대 자산을 한 번에 편입하기보다 중소 자산을 꾸준히 편입하며 체력을 키운 뒤, 편입 자산 규모를 증대시키는 점진적 성장 방식을 추구한다”면서 “2021년부터 주당배당금이 매년 2원씩 꾸준히 상승했고, 내년 배당도 전년 대비 2원 증가한 276원으로 예상한다”고 말했다."
2024-10-28,금리 하락기에도… 역대급 돈방석 금융지주,"대출 증가로 이자 이익 늘어난 덕KB·신한·우리·하나 등 4대 금융지주가 올해 3분기(7~9월) 일제히 역대급 실적을 올린 것으로 나타나고 있다. 국내외 금리 하락 기대로 시장 금리가 떨어지면서 대출로 돈을 벌기 어려워지지만, 대출 규모를 불리면서 이자 이익을 늘린 결과다.지난 24일 가장 먼저 실적을 발표한KB금융지주의 3분기 순이익은 1조6140억원으로 작년 같은 기간(1조3689억원)보다 약 18% 늘었다. 3분기까지 누적 순이익은 4조3953억원으로 1년 전보다 188억원 늘며 사상 최대치를 기록했다. 이어 나온 신한금융지주의 3분기 당기순이익(1조 2386억원)도 작년 같은 기간(1조1921억원)보다 3.9%(465억원) 증가했다. 3분기까지 누적 순이익(3조9856억원)은 작년(3조8183억원)보다 4.4% 늘어나면서 역시 사실상 역대 최대치다.그래픽=조선디자인랩 김영재우리금융지주의 3분기까지 누적 순이익은 작년 같은 기간보다 9.1% 증가한 2조6591억원을 기록했다. 그러자 우리금융지주는 “(올해는) 3분기 만에 지난해 연간 실적(2조5063억원)을 초과 달성했다. ‘연간 당기순이익 3조원’을 향한 순조로운 행보를 이어 나갔다”고 자평하는 자료를 냈다.이런 좋은 실적은 마진폭은 줄었지만, 서울·수도권 주택 가격 상승으로 주택담보대출 규모 등이 늘어나면서 이자 이익이 늘어난 영향이 컸다. 게다가 8월 들어 금융 당국이 대출 규제를 강화하라고 요구하자 대출 금리에 가산금리를 붙이는 식으로 이자 수익이 주는 걸 막았다.KB의 3분기 이자이익은 3조1650억원으로 작년보다 1.3%, 신한은 2조8550억원으로 3.3%, 우리는 2조2190억원으로 1.5% 불어났다. 비이자이익 증가도 실적 개선에 한 몫 했다.KB금융의 경우 은행의 방카슈랑스와 증권사의 각종 수수료 수입이 증가하면서 비이자이익(1조3414억원)이 지난해(8352억원) 보다 약 60% 증가했다. 증가 폭은 이자이익(1.3%)보다 훨씬 크다.이런 현상은 4분기(10~12월)에도 이어질 것으로 보인다. 한 금융지주 관계자는 “대출 규모는 커지는데, 정부의 대출 죄기에 따라 대출금리까지 오르다 보니 이익이 커질 수 밖에 없는 환경이 조성되고 있다”고 말했다."
2024-10-18,美 은행주들 웃자… 국내 은행주들도 신바람,"외국인들 순매수 행렬미국 월가의 대형 은행들이 올해 3분기(7~9월) 3년 만에 분기 최대 실적을 거두면서 주가 상승세를 보이고 있다. 금리 인하와 맞물려 기업 공개(IPO), 인수합병(M&A) 등에서 활기를 되찾은 영향이 컸다는 분석이다. 국내 금융주들도 글로벌 금융주발(發) 훈풍에 외국인의 집중 매수가 이어지며 주가가 오름세다. 전문가들은 “국내 금융주들은 가계 대출 증가에 따른 수익 증대와 밸류업(기업 가치 개선) 기대감 등으로 추가적인 주가 상승 모멘텀이 있다”고 했다.그래픽=김성규3분기 호실적, 美 월가 은행주 강세월가 대형 투자은행인 모건스탠리는 16일 뉴욕증권거래소에서 주가가 6.5% 상승한 119.51달러를 기록하며 사상 최고치를 경신했다. 모건스탠리는 이날 3분기 실적을 발표하면서 “영업이익이 전년 동기 대비 32% 급증한 32억 달러를 기록했다”고 밝혔다. 투자은행(IB) 부문 수익, 기관 투자자 대상 증권 부문 수익이 전년 동기 대비 각각 56%, 20% 급증했다.골드만삭스는 15일 “3분기 순이익이 전년 동기 대비 45% 증가한 29억9000만 달러로 집계됐고, 매출도 같은 기간 7% 늘었다”고 발표했다. 주식 거래 수익이 급증했고, M&A,IPO등도 활기를 보이며 투자 은행 부문 수수료가 전년 동기 대비 20% 증가한 것이 좋은 실적의 배경으로 꼽힌다. 골드만삭스 주가는 이달 들어서만 9% 넘게 올랐다. 뱅크오브아메리카와 시티그룹도 최근 한 달간 주가가 8% 이상 오르는 등 강세다.블룸버그통신은 “코로나 팬데믹 이후 시장 변동성이 가장 극심했던 올해 3분기에 대형 은행들이 시장 예상을 뒤엎고 실적을 만회했다”고 분석했다. 데이비드 솔로몬 골드만삭스 최고경영자(CEO)는 콘퍼런스콜에서 “최근 금융시장 환경은 불확실성으로 가득 차 있다”면서도 “고객이 투자 포지션을 재조정하고 방향을 재설정하는 등 거래가 활발했다”고 했다. 고용·물가 등 경제 지표가 나올 때마다 시장 출렁임이 강했지만, 그만큼 투자자들이 거래를 활발하게 하면서 월가 금융주들이 수혜를 입었다는 얘기다.그래픽=김성규국내 금융주엔 ‘외국인 순매수세’ 몰려국내 금융주들도 글로벌 금융주의 상승세에 힘입어 외국인 투자자들의 매수세가 몰리면서 주가가 강세를 보이고 있다.17일 한국거래소에 따르면, 외국인 투자자는 이달 들어KB금융을 1820억원 규모로 순매수(매수가 매도보다 많은 것)했다. 코스피(유가증권시장) 전 종목 중 넷째로 많이 순매수한 종목이었다. 같은 기간 외국인 투자자는 우리금융지주와 신한지주를 각각 775억원, 500억원쯤 순매수했다. 외국인 투자자의 대규모 매수세에 힘입어KB금융은 이달 들어서만 주가가 14% 올랐고, 우리금융지주도 4.1% 올랐다.국내 금융지주들의 3분기 실적도 양호할 것으로 전망된다. 금융정보업체 에프앤가이드에 따르면,KB‧신한‧하나‧우리금융 등 4대 금융지주의 3분기 당기순이익 예상치는 4조6504억원으로 지난해 3분기(4조4222억원)보다 5.1% 증가할 것으로 예상된다. 이는 금융지주의 핵심 계열사인 은행들이 고금리에도 주택담보대출을 중심으로 한 가계대출을 늘리며 이자이익도 급증했기 때문이라는 분석이 나온다. 특히 지난달 스트레스 총부채원리금상환비율(DSR) 2단계 규제 전 대출을 받으려는 ‘막차 수요’가 몰리면서 주택담보대출이 큰 폭으로 늘었다.”주주환원 기대감·밸류업 모멘텀도 남아”증권가에서는 국내 금융주에 대해 높아진 실적 전망 외에도 연말 배당과 같은 주주환원 확대 기대감, 밸류업 지수 편입 등 추가적인 주가 상승 모멘텀이 남았다고 보고 있다.특히 한국거래소가 지난달 발표한 밸류업 지수에서 제외됐던KB금융과 하나금융이 3분기 실적 발표 이후 밸류업 공시를 계획하고 있는 만큼, 향후 지수 리밸런싱(재조정) 과정에서 편입될 가능성도 높아지고 있다. 하인환KB증권 연구원은 “실적 발표와 함께 밸류업 계획을 공시한다면 그 자체에 따른 효과뿐만 아니라 향후 밸류업 지수 리밸런싱 때 신규 편입도 기대해볼 수 있을 것”이라고 했다."
2024-09-25,"첫 밸류업 지수… 현대차 턱걸이, KB금융 탈락","대표 상장사 100곳 선정서울 서초구 양재동 현대자동차그룹 본사 앞으로 시민들이 지나고 있다. /뉴스1정부가 연초부터 추진하고 있는 밸류 업(기업 가치 개선)에 모범적인 기업 100곳을 선정한 ‘코리아 밸류 업 지수(이하 밸류 업 지수)’가 24일 베일을 벗었다. 이 지수는 30일부터 도입된다. 밸류 업 지수에는 시가총액뿐만 아니라 수익성, 주주환원 등 다양한 조건을 만족한 100종목이 포함됐다.일러스트=김현국시가총액 10위 기업 중LG에너지솔루션, 삼성바이오로직스,KB금융, 포스코홀딩스 등 4곳이 탈락한 가운데, 현대차·신한지주 등은 기준엔 미달했지만 기업 가치 개선 계획을 자진 공시해서 턱걸이로 지수에 포함되기도 했다.그래픽=김현국◇희비 엇갈린 기업들한국거래소는 24일 밸류 업 지수의 선정 기준과 구성 종목을 발표했다. 기존에 증시에서 밸류 업 수혜주는 금융·자동차 업종에 집중됐었는데, 이날 나온 밸류 업 지수에는 예상을 깨고 정보기술(IT), 산업재 기업도 다수 포함됐다. 거래소 관계자는 “연기금, 자산운용사 등의 다양한 의견을 수렴하고 시가총액, 수익성, 주주 환원, 주가 순자산 비율(PBR), 주가 수익 비율(ROE) 등을 따졌다”며 “특정 산업군에 편중되거나 소외되지 않고, 고르게 편입되도록 했다”고 말했다.이 과정에서 기준엔 미달돼도 미리 기업 가치 개선 계획을 발표한 기업들은 특례 적용을 받아 지수에 들어갔다. 시가총액 5위인 현대차와 신한지주·우리금융지주·미래에셋증권 등 일부 금융사가 이 혜택을 받았다.하지만 시가총액 3위와 4위인LG에너지솔루션과 삼성바이오로직스는 주주 환원을 실시하지 않고 있는 것이 탈락 요인이 됐다. 금융 대장주인KB금융은 주주 환원 측면에서 호평을 받았지만,PBR이 낮아 탈락했다.SK텔레콤,KT등 통신사는 전부 들어가지 않았다.이에 선정 잣대가 모든 기업에 공정하게 적용됐는지를 두고 논란이 일었다. 이남우 한국기업거버넌스포럼 회장은 “삼성전자가 지수에 포함될 만큼 밸류 업에 진심이 있는지 의문”이라며 “밸류 업 주목 기업이었던KB금융과 하나금융지주가 아직 밸류 업 공시를 하지 않았다고 포함되지 않은 것도 이해 가지 않는다”고 했다. 이부연 한국거래소 경영지원본부 상무는 “2026년부터 삼성전자,SK하이닉스와 같은 기업도 밸류 업 공시를 하지 않으면 지수에서 빠진다”고 말했다. 거래소는 매년 한 번 지수 구성 종목을 재평가할 예정이다.◇증권가 “과한 기대는 금물”이번 밸류 업 지수 선정에서 탈락한 기업들이 밸류 업에 더 공을 들이고, 선정된 기업들은 빠지지 않기 위해 노력하면서 코리아 디스카운트(한국 주식 저평가)가 완화되고 주가도 오를 수 있을지가 시장의 관심사다.거래소에 따르면, 밸류 업 지수를 과거로 소급해서 최근 5년 수익률을 따져봤더니 43.5%였다. 이는 같은 기간 200개 우량 기업의 주가로 만든 코스피200 지수의 상승률 33.7%보다 높다.하지만 전문가들은 밸류 업 지수가 주가 상승 효과로 이어질지에 대해선 대체로 신중했다. 이경민 대신증권 연구원은 “연초부터 밸류 업 프로그램에 대한 기대감이 많이 반영돼왔다”며 “기업 가치 제고에 긍정적 변화는 맞지만, 단기간 드라마틱한 변화를 야기하는 그림은 아니다”라고 말했다.국내 증시의 ‘큰손’인 연기금이 밸류 업 지수의 지원에 나설지도 주요 변수다. 이경수 하나증권 연구원은 “연기금이 향후 어느 정도 밸류 업 종목을 매수하거나 밸류 업 지수를 벤치마크로 삼는지 등이 밸류 업 지수 효과가 나타날지 관건이 될 것”이라고 했다.이날 밸류 업 지수는 장 마감 후 발표했다. 그럼에도 이날 밸류 업 지수에 포함된 100종목 중 81종목이 올랐다. 지수에 포함된 기업들이 대부분이 상승세를 타는 종목이었다는 뜻이다. 특히 코스닥 종목인 소재 전문 기업인 에코프로에이치엔(9.15%), 연예기획사JYP엔터테인먼트(7.53%)의 상승률이 높았다.황세운 자본시장연구원 선임연구위원은 “밸류 업 지수는 기업이 밸류 업 정책을 얼마나 열심히 했는지를 뒤따라가면서 측정하는 후행 지표”라며 “앞으로 지수 편입 기업들이 꾸준하고 안정적으로 실적을 보여주는지 잘 살펴야 할 것”이라고 말했다. 거래소는 이날 오는 11월에는 밸류 업 지수를 활용한 지수선물과 상장지수펀드(ETF)도 상장될 예정이라고 밝혔다.그래픽=김현국"
2024-09-27,10년 보유 약속 후 5년 뒤 매각… 흑자기업 적자 만들기도,"사모펀드들, 인수 후엔 어떻게 했나사모펀드MBK가 오렌지라이프(옛ING생명)를 2조3000억원에 신한금융에 매각함으로써 ‘대박 신화’를 만들었다. 사진은 서울 중구 오렌지라이프 본사 모습. /조선일보DBMBK파트너스는 고려아연 경영권을 확보할 경우 최소 10년 이상 장기 투자를 하고, 해외로의 매각이나 인력 구조 조정은 없을 것이라는 입장을 밝혔다. 그러나 업계에서는 “사모 펀드들의 과거 기업 인수 행적을 보면 이 같은 약속은 설득력이 떨어진다”는 지적이 나오고 있다. 사모 펀드들은 성공 사례도 있지만, 인수 기업들을 10년 보유한다고 약속했다가 2년 만에 매각 작업에 들어가기도 하고, 흑자 기업을 인수했다가 적자 기업을 만들기도 했다.MBK는 2013년ING생명을 인수할 때 “10년 이상 보유하며, 고용 승계도 이뤄질 것”이라고 했다. 하지만MBK는 인수 약 6개월 만에 임원 절반 이상을 내보냈고, 평직원의 30% 감축을 목표로 희망퇴직을 받았다. 또 법적 재매각 금지 기간인 2년이 끝나자마자 안방보험 등 중국계 금융회사를 포함한 매수 희망자들과 협상에 돌입했고, 이후ING생명 지분 40%를 매각했다. 그리고 2018년 잔여 지분 일체를 신한금융지주에 넘겼다. 10년 약속과 달리 인수한 지 5년 만에ING생명을 되팔아 2조원의 차익을 남긴 것이다.2017년 홍콩계 사모 펀드인 어피너티에쿼티파트너스가 인수한 밀폐 용기 회사 락앤락은 흑자였던 회사가 적자로 바뀐 경우다. 사모 펀드는 기업 가치를 올려서 파는 게 목적이기 때문에 통상 적자 기업이라도 인수하면 흑자로 바꾸는 게 일반적이다. 락앤락은 작년 매출 4848억원에 영업 손실 210억원을 내서 적자전환했다. 인수전 영업 흑자였던 락앤락이 영업 손실을 본 것은 2005년 이후 처음이다.미국계 사모 펀드인KKR은 1988년 미국 식품·담배 회사인RJR나비스코를 당시로서는 천문학적 액수인 250억달러에 인수했다. 2007년까지 이 기록이 깨지지 않았을 정도였다. 하지만 너무 비싸게 산 탓에 회사의 다양한 사업부를 분사해 팔면서 궁극적으로 기업 가치를 올렸다고 보긴 어렵다는 평가를 받는다. 또 인력 구조 조정 과정에서RJR나비스코 공장이 폐쇄된 지역은 급속히 쇠락하면서 미국 내에서도 비난이 잇따랐다."
