date,title,content
2024-12-06,신한은행장 정상혁 연임,"신한금융지주는 5일 자회사 최고경영진 후보 추천 위원회를 열고 정상혁<사진>현 은행장을 차기 신한은행장 후보로 추천했다고 밝혔다. 정 후보는 1990년 신한은행에 입사해 경영기획그룹 상무, 소비자보호센터장, 자금시장 그룹 담당 부행장 등을 거쳐 작년 2월에 행장에 취임했다. 정 은행장은 금융권 최초로 책무구조도를 제출하는 등 내부 통제 강화를 위해 적극적으로 노력했다는 평가를 받는다. 신한금융지주는 “중장기적 관점으로 경영에 집중할 수 있도록 2년 연임을 추천했다”고 밝혔다.이날 신한금융지주는 자회사 13곳 중 9곳의 최고경영자도 새로 추천했다고 밝혔다. 신한카드 문동권 사장 후임으로 박창훈 본부장을, 신한투자증권 김상태 사장 후임으로 이선훈 부사장을 추천했다. 이영종 신한라이프 사장은 정 행장과 마찬가지로 다시 후보로 추천됐다."
2024-12-20,"대신증권, 10번째 ‘종투사’로 지정될 듯","대신증권이 종합금융투자사(종투사) 지정을 눈앞에 뒀다.금융위원회 증권선물위원회는 지난 18일 제22차 회의에서 대신증권의 종투사 지정 안건을 통과시켰다. 오는 24일 금융위에서 최종 의결하면 모든 절차는 마무리되고, 대신증권은 10번째 종투사로 이름을 올리게 된다.종투사란, 중소기업 창업과 성장을 지원하고 기업의 해외 프로젝트 수행 시 종합적 금융 서비스 제공하기를 목표로 대형 증권사를 투자은행(IB)으로 육성한다는 취지로 마련한 제도다.자본시장법에 따르면 종투사는 3조원 이상의 자기자본 요건을 갖춘 증권사가 금융위에 지정 신청하면, 금융위는 신용 공여 업무 수행에 따른 위험 관리 능력, 내부 통제 기준 등 내용을 검토해 지정 여부를 결정한다.종투사가 되면 신용 공여 한도가 자기자본의 100%에서 200%로 늘어나고, 헤지펀드에 자금을 대출하는 프라임브로커리지 서비스도 할 수 있게 되는 등 영업 여건이 크게 좋아진다.금융 당국의 종투사 지정은 지난 2022년 키움증권 이후 2년 만이다. 현재 종투사는 미래에셋증권, 한국투자증권,NH투자증권, 삼성증권,KB증권, 메리츠증권, 하나증권, 신한투자증권, 키움증권 등 9곳이다."
2024-10-13,"신한투자증권, 1300억원 규모 ETF LP 운용 손실 발생","신한투자증권에서ETF(상장지수펀드) 선물 매매와 관련해 1300억여원의 운용 손실이 나는 금융 사고가 발생했다.서울 여의도에 위치한 신한투자증권 본사사옥 전경./신한투자증권 제공13일 금융투자업계에 따르면, 신한투자증권은 지난 11일 장내 선물 매매 및 청산에 따라 1300억원으로 추정되는 손실이 발생했다는 내용의 주요 경영상황을 공시했다. 공시에 따르면, 상장지수펀드(ETF) 유동성 공급자(LP)가 목적에서 벗어난 장내 선물 매매를 했고, 과대 손실이 발생했으나 이를 스왑 거래인 것처럼 허위 등록하며 손실 발생 사실을 감췄다.LP는ETF나 주식워런트증권(ELW) 종목에 매수와 매도 호가를 지속적으로 제시함으로써 안정적인 가격 형성을 유도하는 기능을 한다. 추가 수익을 추구하는 선물매매를 하던 중 과도 손실이 발생하자 허위 스왑거래를 등록한 것으로 추정된다. 스왑거래란 미래 특정 시점 또는 특정기간을 설정해 금융자산이나 상품 등을 서로 교환하는 거래를 말한다.이같은LP의 부정행위는 지난 8월 2일부터 이달 10일까지 이뤄진 것으로 파악된다. 지난 8월 2일은 미국의 경기 침체 우려가 부각되면서 국내외 증시가 출렁인 시기로 같은달 5일 이른바 ‘검은 월요일’에 국내외 증시들이 급락했던 시기였다.신한투자증권은 내부통제시스템을 통해 스왑거래 등록이 허위인 것을 확인했고, 내부 조사를 통해 이같은 사실을 확인하고 이를 금감원에 신고했다고 밝혔다. 다만, 신한투자증권 측은 이번 사건으로 인해서ETF투자자들의 투자금 등에 손실이 발생한 것은 아니며, 증권사의 운용자산에 손실이 생긴 것이라고 설명했다. 손실금액은 회계에 반영된다. 회사 관계자는 “내부 감사가 진행 중인 상황”이라며 “필요시 법적 조치할 것”이라고 밝혔다."
2022-10-26,"신한투자증권, 실리콘밸리에 사무소 개설… 증권업계 ‘최초’","왼쪽부터 정희준 신한투자증권 실리콘밸리 사무소장, 이영창 신한투자증권 사장, 윤상수 샌프란시스코 총영사, 박용민 코트라 실리콘밸리무역관장./뉴스1신한투자증권은 미국 캘리포니아주 팰로앨토에 실리콘밸리 사무소를 열고 본격적인 업무에 돌입했다고 26일 밝혔다. 국내 증권사 중 실리콘밸리에 현지 사무소를 낸 것은 신한이 처음이다. 현지 사무소는 지점이나 현지 법인을 설립하기 위한 준비 단계의 조직이다.최근 금리 급등과 경기 침체 우려 속에 국내외 투자 업계가 신규 투자를 자제하는 것과 대조적으로 신한은 지금이 오히려 투자 기회라고 본 것이다. 현지 사무소는 신한금융그룹이 국내외를 잇는 글로벌 벤처 생태계를 구축하는 데 교두보 역할을 맡을 예정이다.이영창 신한투자증권 사장은 개소식에서 “최근 전 세계 금융시장의 불확실성이 높아지고 있으나 세계 최고 인재와 기술이 결집한 실리콘밸리는 혁신과 성장을 멈추지 않을 것”이라며 “신한투자증권 본사가 가진 투자 역량,IB전문성과 결합해 실리콘밸리에 미래를 위한 투자의 씨앗을 심을 것”이라고 말했다.신한투자증권은 뉴욕과 홍콩, 베트남과 인도네시아에 현지 법인을 운영하고 있으며 중국에 상하이 사무소를 두고 있다.이날 행사에는 대한무역투자진흥공사(코트라)와 산업은행, 한국투자공사(KIC) 등 현지에 진출한 국내 기관 현지 책임자들과SK·LG·한화 등 대기업 현지 법인 대표, 현지 벤처캐피털 관계자 등이 참석했다. 한국 여성으로 첫 스탠퍼드대 종신교수이자 뇌 회로 분석을 통한 뇌 질환 치료제 개발 기업 엘비스(LVIS) 창업자인 이진형 교수 등 현지 유망 벤처기업인들과의 간담회도 열렸다."
2024-12-26,“해외주식 절세 막차 타자”... 이달 7배 급증한 부부 증여,"새해 개정 세법 시행 앞두고 분주테슬라 같은 급등주 양도세 줄여31일까지 주식 이관, 3개월내 신고[왕개미연구소]“연말까지 부부 증여를 해야 해외 주식 세금을 아낄 수 있다는데, 어떻게 해야 하나요?”(50대 주부 이모씨)내년 1월 새로운 세법 시행을 앞두고, 증권사 상담 창구에 해외 주식 투자자들의 ‘부부 증여’와 관련한 문의가 급증하고 있다. 내년부터 배우자 증여를 통한 해외 주식 양도소득세 절감 전략이 막히기 때문이다. 한 대형 증권사 관계자는 “내년 세법 변경을 앞두고, 이달 해외 주식 이체를 진행한 고객이 1~11월 평균 대비 7배로 늘어났다”고 말했다.일러스트=조선디자인랩 정다운올해까지는 배우자에게 해외 주식을 증여한 후 배우자가 해당 주식을 매도하면 증여 시점 시가를 기준으로 양도소득세가 계산된다.예컨대 남편이 1억원어치 사둔 테슬라 주식이 6억원이 되었을 때 매도하면 차익 5억원에 대해 약 1억945만원의 양도소득세(기본공제 250만원, 세율 22%)를 내야 한다. 하지만 남편이 아내에게 증여한 다음에 아내가 단기 매도하면, 양도세는 증여 시점의 주가(증여 전후 2개월 평균가)가 기준이 된다. 주가 변동이 크지 않다면 사실상 양도세가 0원이 될 수도 있다. 절감액이 커서 국세청조차 ‘해외 주식 절세 꿀팁’으로 소개할 정도였다.2025년 1월부터는 부부 간 증여를 활용한 해외주식 양도세 절감 전략에 제한이 생긴다./그래픽=이진영하지만 정부가 세법을 바꿔서 내년부터는 해외 주식을 증여한 이후 1년 이내에 팔면 불이익이 생긴다. 현재 시점의 주가가 아니라, 증여자가 처음 매수했을 때의 가격이 취득가액으로 계산돼 양도세 부담이 커질 수 있다. 위의 사례의 경우, 내년에 아내가 남편에게 6억원어치 주식을 증여받고 바로 파는 경우, 아내의 증여자산 취득가액은 6억원이 아니라 1억원이 된다.이점옥 신한투자증권 연구위원(세무사)은 “해외 주식을 배우자에게 증여한 이후 1년 동안 보유한 다음에 매도하면 기존 방식대로 절세가 가능하다”면서 “다만 증여 후 1년간 주가가 하락한다면 수익이 줄어 기대했던 절세 효과를 챙기지 못할 수도 있다”고 말했다.바뀌는 세법을 적용받지 않으려면, 오는 31일까지 배우자 계좌로 주식을 이관한 뒤 3개월 내에 증여 신고를 하면 된다. 부부간 증여세 면제 한도는 10년간 최대 6억원이다. 같은 증권사는 해외 주식 대체가 당일 처리되지만, 타 증권사는 1~2일 걸릴 수 있어 여유 있게 신청하는 것이 좋다."
2022-08-17,신한금융투자 사명 변경… 증권 넣어 ‘신한투자증권’,"신한금융투자는 10월 1일부터 신한투자증권으로 사명을 변경하기로 했다고 16일 밝혔다. 2002년 굿모닝증권과 신한증권을 합친 굿모닝신한증권이 신한금융지주에 편입된 지 20년 만이고, 2009년 신한금융투자로 사명을 바꾼 지 13년 만이다. 증권회사라는 정체성을 명확하게 하기 위한 것이라고 회사 측은 밝혔다. 앞서 지난달 하나금융투자도 하나증권으로 사명을 변경했다."
2023-04-05,"신한금투, 분당M타워...작년에만 6조, ‘알짜 빌딩’ 쓸어담는 외국자본","국내 상업 부동산 거래액서 외국자본 비율, 1년새 2배 급증서울 종로구 율곡로에 있는 지상 15층 오피스 건물인 ‘삼환빌딩’이 최근 2230억원에 팔렸다. 인수자는 싱가포르계 투자회사인 케펠자산운용이었다. 이미 서울 여의도 파이낸스타워와 종로 한누리빌딩, 영등포 쉐라톤 디큐브시티호텔 등을 매입하는 등 국내 상업용 부동산 시장에서 큰손으로 꼽힌다. 케펠자산운용은 인수 후 삼환빌딩의 이름을 ‘INNO(이노) 88 타워’로 바꾸고, 전면 리모델링을 하겠다는 계획도 밝혔다. 부동산 업계 관계자는 “예전엔 이런 매물이 나오면 국내 연기금이나 공제회들도 인수전에 뛰어들었는데, 이번에는 외국계 자본과 일부 국내 자산운용사만 입찰에 참여했다”며 “최근 들어 핵심 지역의 빌딩이 매물로 나오면, 외국계 사모펀드와 외국계 부동산 투자 회사들이 큰 관심을 보인다”고 말했다.외국계 자본이 국내 알짜 오피스 빌딩을 잇따라 사들이고 있다. 미·중 갈등 후 중국에서 빼낸 투자금 등으로 비교적 안전한 국내 부동산 시장에 대대적으로 투자를 하고 있다. 국내 상업용 부동산 거래액에서 외국계 자본이 차지하는 비율도 2021년 6.7%에서 지난해에는 12.1%까지 늘었다.최근 국내 투자사인 이지스자산운용과 손잡은 싱가포르투자청에 매각된 서울 여의도의 신한투자증권빌딩. /신한금융 제공알짜 빌딩 사들이는 외국 자본올해 초 경기 분당구 판교테크노밸리 핵심 지역에 있는 오피스 빌딩GB1과GB2가 나란히 미국 뉴욕에 본사를 둔 글로벌 부동산 투자회사 벤탈그린오크에 팔렸다. 원래 이든자산운용 등 국내 투자 회사 소유였지만, 미국계 투자사에 매각된 것이다. 매각 가격은 지상 11층GB1이 2660억원, 지상 9층GB2는 1180억원이었다. 판교테크노밸리 중심에 위치한 이 빌딩에는 게임 관련 벤처 기업 등이 입주해 있어 공실이 거의 없는 알짜 빌딩으로 알려져 있다.또 서울 지하철 5호선 서대문역에 인접한 현대인베스트먼트 소유의 19층짜리 빌딩 웨스트게이트타워도 최근 2280억원에 미국 투자 회사 하인즈에 매각됐다. 서울 여의도의 신한투자증권타워(옛 신한금융투자타워)도 국내 투자사인 이지스자산운용과 손잡은 싱가포르투자청(GIC)에 매각됐다.GIC는 국내에 이미 서울파이낸스센터(SFC)와 더익스체인지서울, 강남파이낸스센터(GFC) 등에도 투자한 것으로 알려져 있다.이처럼 외국계 자본이 국내 주요 오피스 빌딩을 사들이면서, 국내 부동산에 투자한 외국 자본의 규모는 크게 늘었다. 글로벌 부동산 컨설팅 회사인 ‘컬리어스’에 따르면, 지난해 외국 자본의 국내 상업용 부동산 투자액은 5조9480억원으로 2021년(3조7910억원)과 비교해 57% 증가했다. 이는 2018년 6조7890억원 이후 최대였다. 상업용 부동산 전문 자산운용사 고위 관계자는 “해외 주요 기관 투자자들 사이에서 미·중 갈등 이후 중국 부동산 투자 비중을 줄이고 아시아 내에서 대체 투자처를 찾으려는 움직임이 활발하다”며 “이런 자금이 한국의 상업용 부동산으로 흘러들어 온다”고 말했다.풍부한 자금력 앞세워 공격 투자국내 오피스 빌딩 시장에서 외국 자본의 비중이 커진 것은 상대적으로 국내 기관 투자자들이 부동산 투자에 소극적으로 돌아섰기 때문이라는 분석이다. 이전에는 행정공제회와 교직원공제회, 군인공제회 등 국내 연기금 투자자들이 판교 알파돔이나 광화문 더케이트윈타워 등에 투자하며 상업용 부동산 시장에서 중요한 자금줄 역할을 했다. 하지만 최근 연기금들은 부동산 대신 채권 등 안전자산으로 투자처를 바꾸고 있다는 게 전문가들의 분석이다. 지난해 미래에셋자산운용은 국내 기관 투자자들의 자금을 유치해 서울 여의도IFC건물 인수를 추진했지만, 국내 연기금과 공제회들이 나서지 않으면서 결국 무산됐다. 상업용 부동산 전문 자산운용사 고위 관계자는 “지난 정부에선 ‘부동산 투자가 비생산적’이라는 이유로 국내 연기금과 공제회에 부동산 투자를 줄이라는 압박도 있었던 것으로 안다”며 “부동산 투자로 손실이라도 나면 안팎에서 큰 비판을 받기 때문에, 국내 기관 투자자들은 안전한 자산에 보수적으로 투자하는 경향이 강해졌다”고 말했다.반면 외국 투자 자본은 자기 자본이 풍부해 금리 상승의 영향을 덜 받고, 공격적으로 투자를 하고 있다는 분석이다. 부동산 컨설팅회사 ‘컬리어스’의 장현주 이사는 “외국계 기관들은 자금력에서 한국 기관보다 유리한 위치에서 적극적으로 부동산 자산을 매입한다”며 “신흥시장과 비교해 한국 오피스 빌딩은 안정적인 투자처로 평가하는 만큼, 당분간 외국 자본의 국내 부동산 투자는 계속 늘어날 것”이라고 말했다."
2023-02-08,"신한 순익, KB금융 제쳐… 3년 만에 리딩뱅크 탈환","서울 중구 신한은행 본점의 모습. 신한금융은 지난해 실적에서KB금융을 제치고 3년 만에 '리딩 뱅크' 자리를 되찾았다. /뉴스1신한금융지주가 지난해 순이익 4조6423억원으로 사상 최대 실적을 기록했다고 8일 공시했다. 전년보다 16%(6230억원) 증가했다. 순이익 기준으로KB금융지주(4조4133억원)를 제치고 3년 만에 1위 자리를 탈환했다. 신한은행도 지난해 순익이 전년보다 22% 증가한 3조450억원으로KB국민은행(2조9960억원)을 앞질러 ‘리딩 뱅크’ 자리를 되찾았다.지난해 금리 상승으로 이자 이익이 역대 최대를 기록했고, 신한투자증권 사옥 매각 이익(세전 4438억원) 등이 영향을 미쳤다. 신한금융의 연간 이자 이익은 10조6757억원으로 전년보다 18% 늘었다. 비이자 이익은 수수료와 유가증권 관련 수익이 줄어 30% 줄어든 2조5315억원이다.이날 신한금융은 신임 신한은행장에 정상혁 자금시장그룹 부행장을 내정했다. 최근 건강상 이유로 취임 1개월여 만에 사퇴한 한용구 행장 후임이다.우리금융지주도 지난해 순이익이 3조1693억원으로 지주 출범 후 처음으로 3조원을 넘어섰다. 전년보다 23%(5814억원) 증가한 역대 최대 실적이다. 신한금융과 마찬가지로 이자 이익이 급증했다. 전년보다 25% 증가한 8조6996억원이었고, 비이자 이익은 15% 줄어든 1조1491억원으로 집계됐다. 우리은행 순이익이 전년보다 23% 증가한 2조9198억원을 기록했다.전날 실적을 발표한KB금융에 이어 이날 신한금융, 우리금융까지 일제히 사상 최대 실적을 기록하는 등 은행권은 지난해 고금리 효과를 누렸다. 인터넷 전문 은행인 카카오뱅크도 지난해 당기순이익이 29% 증가한 2631억원으로 최대 실적을 냈다.금융감독원은 금융지주 등에 대한 정기 검사에 들어갈 예정이다. 올해 첫 대상으로 신한금융지주와 신한은행이 검토되는 것으로 알려졌다. 신한에 대한 정기 검사는 지난 2019년 이후 3년 만이다. 금감원이 올해 주요 업무로 은행 지배 구조와 관련된 이사회 운영을 살펴보겠다고 발표한 상황이라 이사회에 대한 점검이 이뤄질 것으로 보인다.신한은행장 정상혁 내정정상혁 신한은행장 내정자(신한은행 제공)이날 신한금융은 신임 신한은행장에 정상혁<사진>자금시장그룹 부행장을 내정했다. 최근 건강상 이유로 취임 1개월여 만에 사퇴한 한용구 행장 후임이다."
2022-12-21,"신한은행장 한용구, 카드 사장엔 문동권","차기 신한은행장에 추천된 한용구 부행장. /신한금융 제공신한금융지주는 20일 자회사경영관리위원회와 이사회를 열고 신한은행장에 한용구(56) 신한은행 부행장을 내정하는 등 이달 말 임기 만료를 앞둔 자회사 10곳의CEO중 4명을 교체했다. 신한금융지주 조용병 회장, 진옥동 차기 회장과 가까운 것으로 알려진 인물들이 아니어서 발탁 인사, 파격 인사라는 평가가 나온다. 금융권에서는 “정치권 입김 등이 작용했을 가능성이 있어 보인다”는 말이 나온다.한용구 신임 신한은행장은 청주고와 성균관대 경제학과를 졸업한 ‘영업통’이다. 1991년 신한은행에 입행해 퇴직연금사업부 부장과 신한금융지주 원신한전략팀 본부장, 신한투자증권 경영지원그룹 부사장 등을 거쳤다.문동권 사장신한카드 사장에는 문동권(54) 현 신한카드 부사장이 선임됐다. 통합 신한카드 출범 이후 최초의 내부(옛LG카드) 출신 수장이다. 신한라이프 사장에는 이영종(56) 신한라이프 퇴직연금사업그룹장이 선임됐다.신한캐피탈과 신한자산운용, 신한저축은행, 신한AI,신한벤처투자 사장은 1년 연임으로 결정됐다. 신한투자증권은 김상태 사장 단일대표 체제로 전환한다.조 회장이 추진했던 신한금융지주 부회장직 신설은 무산됐다. 이에 따라 임영진 신한카드 사장은 부회장 승진을 하지 못하고 퇴임하게 됐다."
2024-12-23,“美 리츠 주목… 액티브 ETF로 시장에 민첩 대응을”,"주식·금융 투자 고수들 2025 돈 버는 비법 공개그래픽=이진영“코스피ETF(상장지수펀드)로 투자하려면 내년 상반기 2300~2350 정도에 매수하세요. 회복력이 좋은 미국 전력 인프라 관련주에도 주목하세요.”(남석관 베스트인컴 회장)“일본의 길을 따라 완화적 통화정책을 펼 수밖에 없는 중국 시장의 주식도 눈여겨봐야 합니다.”(홍춘욱 프리즘투자자문 대표)20~21일 이틀 동안 서울 대치동 세텍(SETEC)에서 열린 ‘2025 재테크 박람회’가 투자자들의 많은 관심 속에 막을 내렸다. 강추위에도 불구하고 15명의 1타 재테크 강사들이 펼치는 명강연을 듣기 위해 연인원 2만명의 참관객들이 전국에서 몰렸다. 대구에서 온 윤상준(67)씨는 “재테크 강연을 유튜브에서 자주 보긴 하지만, 현장에서 들으니 귀에 쏙쏙 들어와 몰입도가 다른 것 같다”고 했다.금융투자의 고수들은 강연에서 한목소리로 내년 경제의 불확실성이 적지 않다고 했다. 하지만 한치 앞이 보이지 않아 보여도, 유망한 투자처는 있다고 했다.◇미국 리츠, 전력 인프라에 주목홍춘욱 프리즘투자자문 대표는 미국 주택 가격지수가 역대 최고치를 기록한 것을 주목해야 한다며 ‘미국 리츠(REITs·부동산투자신탁)’가 가장 유망해 보인다고 했다. 그는 “부동산 디벨로퍼 출신인 트럼프 대통령이 취임하면 미국의 부동산 관련 상품들이 부각될 수밖에 없다”고 했다. 그는 “트럼프와는 그 나라의 정책 결정권자가 직접 만나 협상을 해야 하는데, 한국에 지금 그럴 사람이 없어 문제”라면서도 “환율과 유가와 같은 교역 조건이 나쁘지 않아 내년 우리 경제가 생각만큼 나쁘지 않을 것이고, 한국 주식도 포트폴리오에 담을 준비를 항상 해야 한다”고 했다.올해 높은 수익률로 ‘여의도 황금손’이란 별명이 붙은 김남호 타임폴리오자산운용 펀드매니저와 김효식 삼성액티브자산운용 팀장은 트럼프 시대에도 마음 편하게 투자할 수 있는ETF(상장지수펀드) 투자 전략을 제시했다. 김남호 매니저는 투자 금액(1000만원, 1억원, 10억원)별로 고수익을 낼 수 있는ETF투자 포트폴리오를 선보였다. 그러면서 “패시브ETF보다 보수가 다소 비싸기는 하지만, 펀드매니저가 수시로 종목·비중을 변경해 운용하는 액티브ETF를 활용하면 시장에 민첩하게 대응하며 수익을 더 거둘 수 있다”고 추천했다.김효식 삼성액티브운용 팀장은 미국의 전력 인프라 투자를 강조했다. 그는 “전력 인프라 사업은 노후 시설 교체 수요와AI(인공지능)발 신규 설치 수요가 함께 발생하는 사이클에 있다”라며 “AI가 밀고 정책이 당기는, 트럼프 시대의 유망 투자처”라고 했다.진율 전 제이피모건 이사는 리스크가 상대적으로 낮은 채권을 투자 포트폴리오에 포함할 것을 추천했다. 그는 “만약 연 5~8% 수익률을 바란다면 P2P 부동산 담보대출 채권이나, 만기가 짧은 증권계좌 담보대출 채권을 고려할 만하다”고 했다.◇“공급 물량 줄고, 재건축 환경 악화”김제경 투미부동산컨설팅 소장은 “내년에는 구축 아파트의 비율이 늘어나고 재건축 환경이 악화할 것이 분명하다”고 했다. 올해 3만 채를 넘었던 서울 지역 아파트 공급량이 2026년에는 1만채 정도로 쪼그라들고, 인허가 대비 착공 비율이 점점 낮아지고 있기 때문이다. 김 소장은 “전국 주택의 1.1%에 해당하는 서울 지역의 5년 이내 신축 아파트에 대한 선호는 여전할 것”이라고 했다.증여세와 양도세, 상속세와 관련한 사례별 절세 설루션을 제시해 준 이점옥 신한투자증권 연구위원(세무사)의 강연도 인기였다. 다주택자인 참관객 이모(72)씨는 “국내 비거주 자녀를 뒀을 때엔 어떻게 절세 전략을 짜면 되는지까지 아주 구체적으로 설명해줘서 도움이 됐다”고 했다. 이 위원은 양도세 이월과세 적용대상에 주식도 추가되는 세법 변경 사항에 대해서도 소개했다.MZ세대의 재테크 멘토 김경필 머니트레이닝랩 대표의 노후 준비 강의는 20대부터 70대에 이르기까지 다양한 연령층의 관심을 받았다. 그는 현재 월지출비에서 교육비와 대출이자를 뺀 순생활비의 2배를 노후생활비로 가정했다. 그러면서 “노후 준비는 수익률이 아니라 안정성의 게임”이라며 “미국의 경기침체 사이클이 예상되는 지금, 위험자산인 주식 비중을 급격히 늘리기보다는 주택 임대소득, 공적연금, 퇴직연금, 세컨드 잡(제2의 직업) 준비로 4개의 현금 파이프라인을 설계해야 한다”고 강조했다."
