date,title,content
2024-05-07,"정부, 비수도권 유턴기업에 400억까지 지원...유통업종도 유턴 기업으로 인정","산업부, 유턴기업 지원전략 수립자본리쇼어링도 유턴으로 인정 추진수도권은 200억까지 지원R&D에 추가 50억 보조금 지원그래픽=양진경정부가 그동안 미흡하다는 비판을 받아온 국내복귀기업(유턴기업) 지원을 확대한다. 유통업종도 앞으로는 유턴기업으로 인정받게 된다. 해외 진출 기업들의 유턴이 지지부진하자 지원을 늘리고, 범위도 확대하는 것이다. 지난 2022년 코트라 조사에서 해외 진출 기업 중 95%는 ‘유턴을 계획하지 않는다’고 답할 정도였다.산업통상자원부는 7일 안덕근 장관 주재로 화신·심텍 등 유턴기업 10개사 대표가 참석한 가운데 ‘유턴기업 지원정책 간담회’를 갖고, 이같이 밝혔다. 산업부 관계자는 “최근 공급망 재편, 미․중 전략경쟁, 자국 보호주의 등에 따라 첨단산업 등의 유턴을 활성화할 필요성이 커졌다”며 “업계·전문가·관계부처 등의 의견수렴을 거쳐 지원전략을 수립했다”고 말했다.먼저 정부 지원대상이 되는 유턴기업의 인정범위는 넓어지고, 선정·지원 요건은 완화된다. 산업부는 유턴 인정 업종에 유통업을 추가하고, 국내기업이 해외에서 벌어들인 돈을 국내로 들여와 투자하는 자본리쇼어링의 경우에도 유턴투자로 인정하는 방안을 검토·추진하기로 했다. 지난해 국내 기업의 자본리쇼어링 규모는 434억5000만달러(약 59조원)에 달했지만, 유턴으로 인정받지는 못했다.또 해외사업장 구조조정 면제업종에 국가전략기술, 첨단전략기술, 미래 자동차 부품·제품 등 전략업종도 추가한다. 앞으로는 나노·반도체·원자력 등 산업발전법의 첨단기술과 반도체·바이오 등 소부장특별법에 따른 150개 핵심전략기술 외에도 해외사업장을 청산·양도·축소하지 않더라도 유턴기업으로 인정받게 되는 것이다. 해외사업장 구조조정 면제 기업이 보조금을 받으면 일정 기간 해외 투자를 제한하는 규정도 폐지하기로 했다.첨단산업 분야 인센티브도 확대한다. 보조금 예산을 지난해(570억원)의 두 배 수준인 1000억원으로 늘린 데 이어 보조금 지원한도를 수도권은 150억원에서 200억원, 비수도권은 300억원에서 400억원으로 확대하기로 했다. 또 연구·개발(R&D)투자에 대해선 추가로 50억원까지 추가 지원하고, 전문·기능인력 등에 주는 E7 비자 발급 직종 확대, 첨단전략산업·소부장 특화단지 입주 시 우대, 수출지원 사업 우대 등 국내 정착 지원도 강화하겠다고 밝혔다.안덕근 장관은 “최근 고물가‧고금리‧고환율 등 어려운 여건 속에서 유턴투자를 비롯한 투자 활성화는 수출‧고용 촉진 효과뿐 아니라, 공급망 안정 등 경제 안보 면에서도 매우 중요하다”며 “관련 법령을 조속히 개정하고 지원전략을 차질 없이 시행해 나가겠다”고 말했다."
2024-03-21,[부음] 강영자 별세 외,"▲강영자별세,이형문KT부장·이형주동아일보 사회부 부장 모친상,박인규前 근로복지공단 광주본부장 장모상=20일18시58분 광주 천지장례식장, 발인 22일10시30분, (062)527-1000▲김원범별세,김태윤한양대 행정학과 교수·김태준·김태석부친상,윤지영·권예리·한준아시부상=20일6시43분, 한양대병원, 발인 22일5시40분, (02)2290-9459▲이갑주별세,김성회남편상,이진승·이진석·이영희·이문숙·이원경부친상,장인환·엄효식前 합동참모본부 공보실장 장인상,허경순·안경혜시부상,이승호·이관호·이다호·이지호조부상,장지희·장성아·강민식·강범식·엄희철·엄혜린외조부상=20일6시50분 충북 영동제일병원, 발인 22일7시, (043)744-1143▲이진호별세,전경숙·전혜숙·전원배심텍 경영지원센터장 모친상,송인협·최용규前 서울신문 논설위원 장모상=19일18시48분 대전성모병원, 발인 21일10시, (042)220-9980"
2023-02-18,2023년 세계경제 전망은 어둡지만 동남아 경제는 밝은 이유 [고영경의 아세안비즈니스 ],"지난해 우리나라 코스피와 미국의 S&P 500는 연초 보다 각각 25%, 19% 떨어졌다. 그런데 아세안에 속하는 싱가포르와 인도네시아 주가지수는 각각 5.1%, 4.1% 이상 올랐다. 태국과 필리핀은 연초와 비교하면 거의 변동이 없었다. 말레이시아 주가지수는 다소 떨어졌지만, 신흥시장 벤치마크인MSCI이머징마켓 인덱스(-22.97%)를 크게 웃도는 괄목할만한 성과를 거뒀다. 아세안 경제가 상대적으로 튼실하게 성장했기 때문이다.2022년 견조한 성장을 기록한 아세안아시아개발은행(ADB)이 최근 발표한 동남아시아의 지난해 경제성장률 예측치는 5.5%다. 한국과 선진국이 저조한 성적을 거둔 것과는 달리 작년 동남아는 팬데믹에서 벗어나며 강하게 반등했다. 특히 3분기 성장이 두드러졌다. 작년 9월 예측치는 0.4%포인트 상향조정됐다. 말레이시아는 지난해 3분기 성장률이 무려 14.2%에 달했고, 베트남은 8.8%, 필리핀도 7.6%를 기록했다. 동남아 전역에서 내수소비가 살아났고, 수출이 증가했으며, 리오프닝 이후 관광업도 점차 회복됐기 때문이다.가장 높은 경제성장률이 예상되는 국가는 베트남(7.5%)이고, 필리핀(7.4%), 말레이시아(7.3%) 그리고 인도네시아(5.4%)순으로 성장율이 높았다. 경제 회복은 주식시장에도 긍정적인 영향을 끼쳤다. 다만 베트남 주식시장은 높은 성장률에도 불구하고 주가조작과 회사채 발행 사기 사건 등이 터지면서 투자심리가 크게 위축돼 30%가 넘는 큰 폭의 하락을 기록했다.새해 아세안 경제, 신흥시장에서 강한 상승세를 보일 것새해 전 세계 경제 전망은 밝지 않다. 러시아-우크라이나 전쟁은 여전히 진행 중이고 미국과 중국의 대립이 격화하면서 국제통화기금(IMF)은 올해 세계 경제성장률을 2.7%로 전망했다. 선진국은 1.107%, 신흥시장과 개발도상국의 경우 3.734%에 달할 것으로 예상했다.JP모건이 내놓은 전망은 더 암울하다. 세계 경제성장률은 1.6%이며, 선진국은 0.8%, 신흥국가의 성장률도 2.9%로 예측했다. 중국의 성장률은 기관마다 전망의 차이가 다소 크다.JP모건은 4%를, 모건 스탠리는 5.4%에 이를 것으로 예상했다.그렇다면 아세안의 경제는 어떨까.아시아개발은행은 올해 동남아 경제성장률이 5%에서 4.7%로 더 낮아질 것으로 전망했다. 아세안 경제에서 가장 중요한 파트너로 부상한 중국이 예전과 같은 성장을 이어가지 못하고, 수출 대상인 선진국 시장이 침체에 빠질 것이라는 점이 부정적인 영향을 미쳤다. 그럼에도 불구하고 이는 전세계 평균보다 높고, 신흥국 평균 성장률전망치(IMF추정 3.7%) 보다 높다. 동남아 개발도상국가와 유사하거나 더 높은 성장률을 기록할 국가는 인도가 유일하다.이처럼 아세안 주요국가들의 경제가 힘을 얻는 이유는 세 가지이다.먼저 제조업에서 탈중국 흐름이 계속되고 있다. 애플은 아이폰 생산라인을 인도와 베트남으로 이전하고 있으며, 베트남은 아이팟의 허브가 될 예정이다. 애플의 주요 공급자인 대만 폭스콘 역시 베트남에서 맥북을 생산한다는 계획하에 2억7000만 달러를 투자했다. 이미 베트남에 대규모 생산시설을 보유한 삼성전자는 R&D센터를 건립하며 글로벌 전략거점으로 투자를 계속 확대하고 있다. 나이키와 아디다스 역시 중국의존도를 줄이고 베트남과 태국, 인도네시아로 생산라인을 옮겨가고 있다. 한국의 반도체 회로기판(PCB) 생산하는 심텍은 지난해 말레이시아 페낭에 신규설립한 공장 가동을 시작했다. 대만 업체들도 중국을 떠나 말레이시아와 태국, 베트남으로 이전을 추진 중이다. 제조업체들이 중국을 떠나는 이유는 임금상승에 따른 경쟁력 약화도 있지만, 미국의 압박이 거세질 것으로 예상하기 때문이다. 아세안은 중국이나 미국 모두의 러브콜을 받는 지역으로 갈등에서 비켜갈 수 있다. 금융분야에 있어서도 탈중국이 진행되고 있으며 싱가포르가 이미 홍콩을 대체하는 허브로 부상했다.두번째는RCEP과CPTPP등 다자간 무역협정을 통한 지역통합과 소비시장의 성장이다. 2015년에 출범한 아세안경제공동체로 인해 역내 관세 장벽은 사라졌다. 또 아세안 국가들의 소득수준이 높아지면서 구매력은 상승하고 있다. 현대자동차가 인도네시아에 공장을 가동한 이유도 구매력 증가에 따른 시장의 성장 가능성을 고려한 결정이었다. 중산층의 증가도 긍정적인 요인이지만 젊은층 인구비중이 높아지고 있다는 점도 장점으로 꼽힌다. 젊은 층은 노동 소득이 증가하면서 소비에 적극적이다. 이처럼 노동가능연령에 유입되는 인구가 계속 늘어나기 때문에 향후에도 소비시장은 커지게 된다. 당장 지금은 선진국이 매력적일 수 있어도 노령화가 진행되고 있다는 점을 고려하면 기업들은 아세안과 인도 시장에 관심을 가질 수 밖에 없다. 지난해 12월 골드만삭스는 자체 데이터를 이용한GDP추정치에 기반해 국가 경제규모 순위를 발표했는데 2050년이 되면 중국이 1위, 미국이 2위, 인도와 인도네시아가 각각 3위와 4위로 올라선다. 2075년에는 인도와 미국의 순위가 뒤바뀌고, 인도네시아는 4위 자리를 유지한다. 나이지리아가 5위, 파키스탄이 6위로 등극하고, 필리핀이 14위에 진입할 것으로 전망 한 바 있다. 여기에는 인구효과와 높은 경제성장률이 전제돼 있다.세번째는 그린경제, 순환경제로의 전환이다. 베인앤컴퍼니와 테마섹의 조사에 따르면 2030년까지 동남아의 녹색 경제 규모가 1조 달러에 이를 것으로 전망된다. 딜로이트 보고서는 강력한 기후 행동이 2070년까지 동남아에 12.5조 달러 규모의 새로운 경제 엔진으로 작동할 것으로 전망했다. 에너지와 그린 인프라 투자가 지속되고 있으며 화석연료가 아니라 태양광 등 재생에너지 비중을 높여가고 있다. 그린경제에 에너지 전환에 일본과 유럽, 중국기업들이 뛰어들고 있다. 유럽은 아세안의 그린전환에 2027년까지 13조8천억원 투자를 약속했고, 일본은 아세안의 재생에너지 프로젝트 등에 100억달러를 포함해 10조원 지원을 추진 중이다.2023 아세안 전략은아세안은 대외경제의존도가 높은 우리나라의 2위의 교역 대상이다. 또 글로벌 가치사슬이 흔들리고 미중갈등으로 한국의 선택지가 점점 좁아지는 상황에서 손잡을 수 있는 파트너가 아세안이기 때문에 중요성이 더 높아지고 있다. 윤석열 대통령도 한-아세안 정상회의에서 연대와 협력의 필요성을 강조했다. 한국기업들은 이미 아세안에 많이 진출해 있지만 앞으로 협력 범위를 더 넓혀나갈 필요가 있다. 탄소중립을 위한 그린협력과 식량 및 천연자원과 기술 생태계를 조성하는 경제안보, 디지털과 보건협력 등 한국과 아세안이 서로 필요로 하는 분야는 다양하다.그러나 윤석열 정부는 포괄적 인도태평양 전략 아래서 대 아세안 전략을 하위로 편입 시켰다. 경제안보를 강조하면서 편 가르기에 편승할수록 우리의 입지는 줄어든다. 아세안을 바라보는 시야를 보다 넓혀 지역 가치 사슬을 구축하고 강화해야 한다. 이미 글로벌 기업들이 치고 들어오는 상황에서 때를 기다리기만 해서는 나중에 끼어 들어갈 자리가 없을 수도 있다. 신남방정책의 이름이 사라진 자리에 기업의 아세안 진출을 지원할 정부의 새로운 ‘파트너쉽 전략 브랜드’가 필요한 시점이다.고영경 고려대학교 아세아문제연구원 아세안센터 연구교수. 말레이시아 교육부와 거버넌스 연구소 등 현지 기관과 다수의 대기업 해외 프로젝트에 참여했다. 여러 미디어와 강연을 통해 아세안 비즈니스 환경과 기업 사례를 소개하는 등 아세안 경제·산업 전문가로 활동하고 있다. ‘미래의 성장 시장 아세안’,‘아세안 슈퍼앱 전쟁’ 등의 책을 썼다."
2024-09-04,"코스닥 상장사 70%, 3분기 영업익 전망치 내려갔다","코스닥 지수가 전 거래일(769.21)보다 8.84포인트(1.15%) 하락한 760.37에 마감한 3일 오후 서울 중구 하나은행 딜링룸 전광판에 지수가 표시되고 있다. /뉴시스국내 증권사들이 코스닥 상장사들의 3분기(7~9월) 영업이익 전망치를 10개 중 7개꼴로 낮췄다.3일 금융정보 업체 에프앤가이드에 따르면, 지난달 30일 기준 증권사 3곳이 실적 전망을 제시한 코스닥 상장 52사 중 36사(69.2%)의 3분기 영업이익 추정치가 한 달 만에 하향 조정됐다. 영업이익 추정치가 가장 많이 내려간 종목은 와이지엔터테인먼트다. 3분기 영업이익 추정치가 86억원에서 11억원으로 한 달 만에 87%가량 감소했다.JYP엔터테인먼트,SM엔터테인먼트도 영업이익 추정치가 한 달 만에 각각 13.9%, 12.8%가량 줄었다. 엔터테인먼트 업종 주가는 최근 주요 아티스트들의 활동 부재와 도덕성 논란, 기획 상품 판매량 감소 등으로 하락세다.게임 업종도 중국과 경쟁 심화 등으로 수익성이 악화되고 있다. 카카오게임즈의 3분기 영업이익 전망치는 232억원에서 92억원으로 한 달 새 60% 넘게 줄었다. 위메이드(-34.3%), 네오위즈(-22.5%)도 전망치가 줄었다. 이 외에도AI(인공지능) 반도체 업종 고점 우려에 반도체 장비 업체인 에스티아이와 심텍의 올 3분기 영업이익 전망치가 한 달 새 각각 46%, 38% 떨어졌다."
2023-12-05,무역의 날 60년… 손보익 등 4명 ‘금탑산업훈장’,"5일 열리는 제60회 무역의 날 기념식에서 해외시장 개척과 수출 확대 공로로 손보익 엘엑스세미콘 대표, 전세호 심텍 회장, 오석송 메타바이오메드 대표, 윤종찬 비엠티 대표가 금탑산업훈장을 받는다. 또 김준형 포스코퓨처엠 대표 등 6명은 은탑산업훈장을, 양국석 현대아이에프씨 대표 등 9명은 동탑산업훈장을 받는다. 이 밖에 577명이 정부 포상과 산업부장관 표창을, 80명이 무역협회장표창을 받는다."
2023-11-19,상장사 61% ‘3분기 영업이익’ 기대 못 미쳤다,"고금리·고유가에 전망 밑돌아/유한양행 제공올해 3분기(7~9월) 실적을 발표한 상장사의 60% 이상이 당초 시장 전망을 밑도는 성적을 기록했다는 집계가 나왔다.19일 금융정보업체 에프앤가이드의 집계에 따르면, 16일까지 3분기 실적을 발표한 국내 상장사 가운데 증권사 3곳 이상의 실적 전망이 있는 254곳 중 61%인 156곳이 전망 평균을 밑도는 영업이익을 낸 것으로 나타났다.3분기 영업이익이 시장 평균 전망을 가장 큰 폭으로 밑돈 기업은 유한양행이다. 유한양행은 9억원의 영업이익을 기록, 전망(176억원)을 95%나 밑돈 것으로 나타났다. 롯데관광개발, 한올바이오파마, 에스에프에이 등도 실제 영업이익이 전망의 90% 이상 밑돈 것으로 집계됐다. 조병현 다올투자증권 연구원은 “3분기에 금리와 유가가 고공행진하면서 전반적인 국내 기업 실적에 부담으로 작용했다”고 말했다.다만, 시장 전망을 상회한 실적을 낸 기업들도 있다. 유가증권시장 시가총액 상위 종목 중 삼성전자의 3분기 실적이 전망을 14% 웃돌았고,LG에너지솔루션과 포스코홀딩스도 각각 8%, 1% 웃돌았다.증권가에선 3분기에 기업 실적이 바닥을 쳤을 것이란 전망이 우세하긴 하지만, 향후 실적 전망은 낮아지는 추세에 있어 투자자들이 안심하지 못하고 있다.이날 에프엔가이드에 따르면, 증권사 3곳 이상이 4분기(10~12월) 실적 전망을 제시한 상장사 245곳 중 143곳(58%)의 4분기 영업이익 전망이 종전보다 하향 조정된 것으로 집계됐다.실적 전망이 가장 큰 폭으로 줄어든 곳은 효성화학으로 4분기 영업이익 전망이 지난달 말(145억원) 대비 72% 줄어든 40억원으로 집계됐다. 엘앤에프(-68%), 심텍(-66%),HMM(-63%), 제주항공(-48%), 에코프로비엠(-46%) 등의 실적 전망도 비교적 큰 폭으로 줄었다. 최유준 신한투자증권 연구원은 “일반적으로 4분기엔 다 음해 초 최고경영자(CEO) 교체 등을 앞두고 손실을 한 번에 털어내는 이른바 ‘빅 베스’(BigBath)가 발생할 수 있어 영업이익이 큰 폭으로 늘어나지는 않을 것”이라고 말했다."
2024-04-21,'큰손'도 2차전지株 부진에 눈물…국민연금 주식평가액 1.7조 증발,"올해 들어 국민연금의 주식 평가액이 지난해 말 대비 1조7000억원가량 감소한 것으로 나타났다. 2차전지 대형주의 주가가 줄줄이 하락한 영향이 컸다.지난 17일 서울 서대문구 국민연금공단 서울북부지역본부 종합상담실 모습. 뉴스121일 금융정보업체 에프앤가이드에 따르면 국민연금이 5% 이상 지분을 보유한 공시 대상 상장사는 지난 17일 기준 276개사, 주식 평가액은 총 138조6238억원으로 집계됐다. 지난해 12월 29일(282개사, 140조2793억원)과 비교해 종목 수는 6개 감소했고, 평가액은 1조6555억원(1.2%) 줄었다.코스피 2차전지 주요 종목의 주가 부진이 국민연금의 주식 평가액을 끌어내렸다. 지난해 말부터 지난 17일까지 국민연금 보유 종목 중 평가액 감소 폭 2~6위는 2차전지 종목이었다.LG에너지솔루션(-8525억원)을 비롯해POSCO홀딩스(-7290억원),LG화학(-6416억원), 포스코퓨처엠(-4744억원), 삼성SDI(-4663억원) 등이다.이들 종목에 대한 국민연금 지분율은 지난해 말 대비 현재까지 동일하다. 이들 종목의 주가 하락 폭만큼 주식 평가액이 줄어든 것이다.LG에너지솔루션 주가는 연초 이후 14.7% 떨어졌다.POSCO홀딩스는 25.7%,LG화학은 24.7%, 포스코퓨처엠은 30.6%, 삼성SDI는 18.2% 각각 내렸다.지난해 말 대비 국민연금 보유 주식 중 평가액 감소 폭이 가장 컸던 종목은NAVER다. 9956억원이 줄었다. 이 기간 국민연금 보유 지분율도 1.11%포인트 감소했다.반면 평가액이 가장 많이 증가한 종목은SK하이닉스였다. 지난해 말과 비교해 2조1399억원이 증가했다. 지분율 7.9%는 그대로 유지됐다.SK하이닉스 주가는 연초 이후 26.3% 올랐다. 삼성바이오로직스(6578억원),HMM(5065억원), 현대차(4989억원), 한미반도체(4713억원) 등의 평가액도 많이 늘었다.국민연금이 올해 1분기에 5% 이상 지분 보유 종목으로 신규 편입한 코스피 상장사는HMM,포스코인터내셔널, 엘앤에프, 다우기술, 경동나비엔, 케이씨텍, 자화전자 등이다. 코스닥 시장에선 대주전자재료, 에이비엘바이오, 엠로, 칩스앤미디어 등이 국민연금 5% 이상 지분 보유 종목에 새로 포함됐다.반면LG디스플레이, 쌍용C&E,SK가스, 이오테크닉스, 아프리카TV,심텍, 와이지엔터테인먼트 등에 대한 국민연금 지분율은 5% 미만으로 감소했다."
2022-01-23,‘3억+α 판매’ 삼성 갤럭시 도전에...덩달아 주목받는 부품사,"서울 서초구 삼성전자 서초사옥 내 딜라이트에 전시된 갤럭시 시리즈. [연합뉴스]삼성전자가 지난해 스마트폰 사업 부진을 딛고 올해 ‘3억+알파(α) 판매’에 도전한다. 삼성전자가 갤럭시 판매 확대 전략에 나서면서 ‘러닝메이트’인 부품업체들의 실적도 반등할 것이란 전망이 나온다.지난해 글로벌 스마트폰 시장 점유율 [카운터포인트리서치]━스마트폰 시장 1위 힘겹게 지킨 삼성지난해 삼성전자는 힘겹게 글로벌 스마트폰 시장 1위를 지켰다. 시장조사업체인 카운터포인트리서치에 따르면, 삼성전자의 지난해 전 세계 스마트폰 시장 점유율은 18.9%로 1위를 유지했다. 하지만 2위 애플(17.2%)과 점유율 격차는 1%포인트대로 좁혀졌다.특히 판매량 기준 성장률이 상대적으로 부진했다. 지난해 갤럭시 판매량은 전년 대비 0.9% 증가했다. 아이폰12‧13 시리즈가 연이어 흥행한 애플은 같은 기간 25.5% 늘었다. 시장 3위에 오른 샤오미는 판매량을 35.1% 늘렸고, 오포(4위)와 비보(5위)는 각각 32.8%, 25.2% 증가했다.한 증권사 스마트폰 담당 연구원은 “베트남 공장 생산 차질이 장기화했다면 삼성전자는 더 부진한 성적표를 받았을 것”이라며 “갤럭시 판매량이 정체되며 부품업체 실적과 주가도 부진했다”고 말했다.지난해 주요 스마트폰 브랜드의 전년 대비 소매 판매 증가율. [카운터포인트리서치]━갤럭시 호조로 부품업체 실적 개선 전망절치부심에 나선 삼성전자는 올해 스마트폰 시장 공세를 강화한다는 방침이다. 내부적으론 3억2000만 대 안팎의 판매 목표치를 세운 것으로 알려졌다. 시장조사업체와 금융투자업계 전망 역시 3억 대 안팎에 몰려 있다.삼성전자의 주요 부품업체들도 다시 주목받고 있다. 박강호 대신증권 연구원은 “올해 1분기 및 연간 판매량 증가로 삼성전자향 스마트폰 부품업체의 매출과 이익이 개선될 전망”이라고 밝혔다.특히 전년 대비 판매량이 2배가량 증가할 것으로 기대되는 폴더블폰, 2월 초 공개되는 갤럭시S22 시리즈, 5G 비중을 늘리고 성능을 높인 보급형 갤럭시A‧M 시리즈 흥행이 부품 업체 실적을 좌우할 전망이다.그래픽=신재민 기자shin.jaemin@joongang.co.kr━인터플렉스·덕산네오룩스 등 주목삼성 갤럭시의 서플라이 체인(공급망)에 속해 있는 업체 중 디스플레이 부문에선 인터플렉스와 덕산네오룩스, 솔루션첨단소재 등이 수혜를 받을 것으로 보인다. 특히 S펜 기능에 필수적인 ‘디지타이저’를 공급하는 인터플렉스가 주목받는다.김운호IBK투자증권 연구원은 “디지타이저 적용 모델이 갤럭시S 시리즈로 확대되고 있다”며 “올해 상반기에는 갤럭시S22 출시 효과를 얻으며 연간 디지타이저 매출이 전년 대비 3개 가까이 증가할 것”으로 내다봤다. 스마트폰의 유기발광다이오드(OLED) 패널 침투율이 늘면서 덕산네오룩스 등도 실적이 개선될 전망이다.갤럭시S22 추정 이미지 [렛츠고디지털]━카메라에선 엠씨넥스·와이솔 등 수혜카메라 부문에선 파트론과 엠씨넥스, 파워로직스, 나무가, 자화전자, 재영솔루텍, 동운아나텍, 옵트론텍 등이 주목받는다.고의영 하이투자증권 연구원은 “올해가 갤럭시 3억 대 판매 회복의 원년이 된다면 대표적인 카메라모듈 업체인 파트론에 긍정적으로 작용할 것”이라고 밝혔다. 오현진 키움증권 연구원은 “갤럭시 A시리즈 상단 모델까지만 적용됐던 손떨림보정부품(OIS) 기능이 저가형 A시리즈까지 확대가 예상되면서 엠씨넥스는 전년 대비 2배 이상의 물량 확대가 예상된다”고 말했다.통신부품 분야에선 와이솔과PI첨단소재 등의 실적 개선이 기대된다. 박강호 연구원은 와이솔에 대해 “삼성전자의 스마트폰 판매 확대 전략 속에 고성능 필터의 신규 매출이 반영되면서 와이솔의 수익성이 개선될 것”이라고 밝혔다. 인쇄회로기판(PCB) 분야에선 코리아서키트‧디에피‧대덕전자‧심텍 등이 갤럭시 판매량 확대에 힘입어 동반 성장할 것으로 전망된다."
2023-12-05,현대차·기아 ‘제60회 무역의 날’ 최고 수출탑…구자열 “내년엔 무역 흑자”,"윤석열 대통령이 5일 서울 강남구 코엑스에서 열린 제60회 무역의날 기념식에서 장재훈 현대자동차 대표에게 300억불 수출의 탑을 친수한 뒤 기념촬영을 하고 있다. 연합뉴스현대자동차와 기아가 나란히 역대 최대 수출 실적을 올리며 ‘최고 수출의 탑’을 수상했다.한국무역협회(무협)는 5일 서울 삼성동 코엑스에서 ‘제60회 무역의 날’ 기념식을 열었다. 무역의 날은 지난 1964년 사상 첫 1억 달러 달성을 기념해 제정됐다.올해 기념식 슬로건은 ‘수출입국(輸出立國) 60년, 다시 뛰는 대한민국!’이었다. 구자열 무협 회장은 “우리 수출은 그동안의 부진에서 벗어나 하반기부터 반등의 모멘텀을 되찾았다”며 “내년에는 정보기술(IT) 수요 회복에 힘입어 수출이 안정적인 성장세를 지속하고 무역수지 흑자를 이어갈 것”이라고 전망했다. 이어 “수출의 질적 성장을 위한 노력이 기업 투자와 일자리 창출로 이어져 한국 경제의 선순환을 이루게 될 것”이라고 강조했다.장재훈 현대자동차 사장(왼쪽)과 송호성 기아 사장이 5일 서울 강남구 삼성동 코엑스에서 열린 제60회 무역의 날 기념식에서 '수출의 탑' 수상 후 기념촬영을 하고 있다. 사진 현대차그룹이날 행사에서는 현대차가 최고상인 ‘300억불 수출의 탑’을 받았다. 수출의 탑은 단일 법인의 수출 실적이 신기록을 세울 때 주는 상이다.현대차는 지난해 7월부터 올해 6월까지 310억 달러(약 40조7000억원)어치의 수출을 기록해 전년 대비 29.6% 증가했다. 기아 역시 같은 기간 235억 달러(약 30조9000억원) 수출로 ‘200억불 수출의 탑’을 수상했다. 이번 수상은 현대차가 200억불 수출의 탑, 기아가 150억불 수출의 탑을 각각 수상한 2012년 이후 11년 만이다.이어LG이노텍이 100억불, 삼성SDI가 60억불 수출의 탑을 각각 수상하는 등 총 1704개사가 상을 받았다. 올해 수출의 탑 수상 기업의 91%는 중소기업이었으며, 산업별로는 자동차·2차전지·방위산업·원자력발전 관련 기업의 약진이 두드러졌다.수출 유공자 부문에서는 손보익LX세미콘 대표, 전세호 심텍 회장, 오석송 메타바이오메드 대표, 윤종찬 비엠티 대표이사가 각각 금탑산업훈장을 수훈하는 등 총 596명이 해외 시장 개척과 수출 확대에 앞장선 공로로 정부 포상 및 표창을 받았다. 기업인 80명은 무협 회장 표창을 받았다."
2024-12-25,"증권사들, 4분기 상장사 64% 목표주가 낮춰","‘유상증자’ 이수페타시스 50.1%↓ 가장 큰폭24일 오후 서울 중구 하나은행 본점 딜링룸에서 딜러가 업무를 보고 있다. 연합뉴스증권사들이 4분기 국내 경기 둔화 우려와 트럼프 2기 행정부의 관세 인상 불안감 등을 이유로 상장사 10곳 중 6곳 꼴로 목표주가를 낮춘 것으로 나타났다.25일 금융정보업체 에프앤가이드 집계를 보면, 증권사 3곳 이상이 목표주가를 제시한 281개 종목 중 지난 9월 말에 견줘 20일 현재 목표주가가 하향 조정된 종목이 63.7%에 이르는 179개로 나타났다. 목표주가가 상향 조정된 종목은 100개(35.6%)에 그쳤다. 2곳은 같은 수준을 유지했다.목표주가(목표가격)는 증권분석가가 기업의 내재가치와 시장 여건을 분석하여 일정 기간 안에 도달 가능성이 높다고 생각하는 주가 수준을 말한다.목표주가가 가장 큰폭으로 떨어진 종목은 이수페타시스였다. 평균 목표주가가 지난 9월 말 6만7250원에서 이달 3만3571원으로 50.1% 떨어졌다. 4분기 실적 전망이 나빠진 가운데, 이차전지 소재 기업 제이오 인수를 위한 대규모 유상증자 결정에 투자 위험이 부각된 까닭이다. 케이비(KB)증권은 11월27일 목표가격을 6만원에서 3만1천원으로 낮췄다.화장품 기업인 씨앤씨인터내셔널이 13만5천원에서 8만6429원으로 36.0% 낮아져 하향 조정폭이 두번째로 컸고, 인쇄회로기판업체인 심텍의 목표주가가 3만2천원에서 2만603원으로 35.6% 떨어져 그 뒤를 이었다.목표주가 하락률 상위 10개 종목 중 4개는 반도체 관련 기업, 3개는 화장품 관련 기업이었다. 반도체는 범용 메모리 수요 부진 등에 수익성 악화 우려로, 화장품 업종은 중국 소비 경기 침체와 미국 화장품 수출 정점 통과 우려가 반영된 영향으로 풀이된다.반면에 4분기 들어 평균 목표주가가 가장 큰폭으로 오른 종목은 엔터테인먼트 기업인 디어유로, 9월 말 3만3천원에서 이달 4만5375원으로 37.5% 상향 조정됐다. 비소세포폐암 치료제 ‘레이저티닙'(제품명 렉라자)의 미국 출시에 이어 다른 지역 출시가 기대되는 유한양행의 목표가가 34.4% 올라 뒤를 이었다. 방산주인 한화에어로스페이스는 32%, 현대로템은 25% 올랐다."
