date,title,content
2024-03-28,"쏘카, 박재욱 대표 연임 결정","박재욱 쏘카 대표./전국경제인연합회차량 공유 플랫폼 기업 ‘쏘카’가 정기 주주총회를 열고 박재욱 대표 연임을 확정했다.쏘카는 28일 서울 강남구 삼성동 섬유센터빌딩에서 진행한 주총에서 박 대표 연임 안건을 통과시켰다고 밝혔다. 재선출된 박 대표는 오는 2027년까지 임기를 이어간다. 박 대표는 “이번 주총과 이사회를 통해 쏘카가 추진하는 중장기 성장 전략인 ‘쏘카2.0′의 고도화와 모빌리 플랫폼 사업 전반을 지원하는 이사회 구성이 이뤄졌다”며 “통합 모빌리티 플랫폼으로 이해관계자와 주주들에게 더 큰 가치를 선사할 수 있는 쏘카가 되도록 최선의 노력을 다하겠다”고 말했다.이날 주총을 진행한 이사회는 사외이사 2인과 기타비상무이사 1인도 새로 선임했다. 신임 사외이사에는 윤자영 무신사 기타비상무이사(전 스타일쉐어 대표이사)와 이준만 서울대 경영대학 교수가 이름을 올렸다. 기타비상무이사에는 금현애 옐로우독 대표이사가 뽑혔다. 기존 사외이사인 강상우 센트랄그룹 총괄책임 사장은 재선임됐다.쏘카는 지난해 연 매출 3985억원, 영업손실 97억원을 기록했다. 매출은 전년 대비 0.2% 늘어났고, 영업이익은 적자 전환했다. 중장기 렌터카 사업인 ‘쏘카플랜’ 확대를 위해 중고차 매각을 최소화한 영향이 컸다. 10분 단위 단기 카셰어링 사업이 주력인 쏘카는 차량이 많이 필요하지 않은 비수기에는 운영 차량 일부를 중고차로 판매하는 방식으로 운영해왔다. 하지만 작년부터는 월 단위로 차량을 빌려주는 쏘카 플랜을 확대하면서 중고차 판매를 최대한 줄이고 있다."
2024-02-20,"쏘카, 흑자 전환 1년 만에 다시 적자 전환...이유는?","쏘카CI차량 공유 플랫폼 기업 쏘카가 지난해 실적을 발표했다.쏘카는 지난해 연 매출 3985억원, 영업손실 97억원을 기록했다고 20일 공시했다. 매출은 전년 대비 0.2% 늘었고, 영업이익은 적자 전환했다. 쏘카는 2022년만 해도 95억원의 영업이익을 내며 창사 이래 첫 흑자전환을 기록했었다. 쏘카 관계자는 “영업이익 적자전환은 중장기 렌터카 사업인 ‘쏘카플랜’ 확대를 위해 중고차 매각을 최소화한 영향이 컸다”며 “지난해 4분기 중고차 판매액의 경우 99.7% 감소했다”고 설명했다.10분 단위 단기 카셰어링 사업이 주력인 쏘카는 차량이 많이 필요하지 않은 비수기에는 운영 차량 일부를 중고차로 판매하는 방식으로 운영해왔다. 하지만 작년부터는 월 단위로 차량을 빌려주는 쏘카 플랜을 확대하면서 중고차 판매를 최대한 줄이고 있다. 작년 4분기 쏘카플랜 운영 차량 대수는 4670대로 1년 전 같은 시기(1260대)보다 3.7배 늘었다.쏘카는 다만 작년 하반기 들어 본격적인 실적 개선이 이뤄지고 있다고 봤다. 주력 사업인 카셰어링 부문 4분기 매출이 891억원으로 전년 동기 대비 22.2% 늘어났기 때문이다. 쏘카 관계자는 “철도, 숙박, 마이크로 모빌리티 등을 결합하는 등 플랫폼 확대 전략에 힘입어 플랫폼 부문 거래액은 102.6%, 월간 순방문자수(MUV)는 75.5% 상승한 156만명을 기록했다”며 “중고차 매출을 제외한 사업 부문은 21% 성장했다”고 밝혔다."
2024-01-10,쏘카 ‘자동차 경고등’ 검색 서비스 출시,"공유 차량 업체 쏘카는 270여 개에 달하는 ‘자동차 경고등’을 검색해 원인과 대응 방법을 확인할 수 있는 웹사이트 ‘경고등 닷컴’을 열었다고 9일 밝혔다.자동차는 엔진·타이어·브레이크 등 각종 부품에서 상시로 경고가 발생하는데, 종류가 많고 구별하기도 쉽지 않아 운전자가 불편을 겪는 경우가 많았다. 경고등 닷컴에선 차량에 뜬 경고등을 색상이나 문자, 모양 등으로 구별해 쉽게 찾을 수 있고 상세 페이지에서 해당 경고등의 의미, 원인, 대응 방법을 확인할 수 있다."
2023-08-16,렌터카 이젠 택시처럼 이용한다...쏘카 편도 서비스 이용자 수 3배 늘어나,"단기 렌터카를 택시처럼 사용하는 경우가 늘고 있다.차량 공유 서비스 기업 쏘카는 올해 7월까지 편도 서비스 이용건수가 지난해 동기 대비 약 280% 늘어났다고 16일 밝혔다. 쏘카 전체 예약에서 편도 서비스가 차지하는 비중 역시 커졌다. 전체 예약 중 10%가 편도 서비스였는데 이는 지난해 동기(2%) 대비 8%포인트 증가한 수준이다.이용자들은 주로 역사와 터미널, 공항 등 교통거점과 연계해 렌터카를 이용했다. 쏘카가 출발·반납지 데이터를 분석한 결과 대여가 가장 많았던 쏘카존은 서울역과 용산역, 서울고속버스터미널, 부산역, 김포공항 순으로 집계됐다. 차량을 반납한 곳도 주로 김포공항, 부산역, 대전역, 수서역, 울산역 등 교통거점 인근이었다. 장거리 여행이나 출장을 갈 때 단기 이동 수단으로 적극 활용된다는 뜻이다. 쏘카 관계자는 “쏘카존 편도를 이용하는 고객의 절반은 1시간 전에 서비스를 예약, 평균 이틀 전에 미리 예약하는 왕복과 달리 택시처럼 이동 직전에 서비스를 이용하는 패턴이 뚜렷하게 나타났다”고 설명했다.퇴근 수단으로도 자주 이용됐다. 대여시간대의 70% 이상이 퇴근 시간 전후인 늦은 오후부터 이른 새벽 사이로 나타났고, 대여 시점은 오후 7시, 반납시점은 오후 8시가 가장 많았다.쏘카는 지난 2018년 부름 서비스를 통해 편도 서비스를 처음 선보였다. 차량을 빌린 장소에서 반납하는 전통적인 렌터카 이용 방식에서 벗어나 원하는 곳에서 차량을 받고 또 다른 곳에서 차량을 반납하는 서비스다. 출시 초기 수도권에 한정됐던 서비스 범위는 현재 전국으로 확대돼 있다."
2023-08-08,"쏘카, 올 2분기 실적 발표...영업이익 16억원,  흑자 전환 성공","서울역 옥외주차장에 대기중인 쏘카. 차량들/뉴스1차량 공유 서비스 기업 쏘카가 올해 2분기 실적을 발표했다.쏘카는 2분기 매출은 1039억원, 영업이익은 16억원을 기록했다고 8일 밝혔다. 전년 동기 대비 각각 14.1%, 14.6% 오른 실적으로, 특히 영업이익은 지난해 1분기 49억원 적자에서 흑자 전환에 성공했다. 쏘카 측은 “인공지능(AI) 기술과 규모의 경제를 기반으로 한 수익성 개선이 2분기 흑자달성을 이끌었다”며 “AI를 활용한 운영고도화를 통해 사고비용 및 차량 유지관리비용을 절감해 2분기 매출액 대비 변동비 비중은 45.9%로 1년 새 13.7%포인트 감소했다”고 밝혔다.쏘카는 수요 기반 가격정책과 운영 효율화를 통해 월평균 차량 1대당 매출액을 181만원까지 끌어올렸다고 했다. 전년 동기 대비 15% 오른 수준이다. 반면AI를 통한 미신고 사고 적발 등 차량유지에 필요한 비용은 꾸준히 감소했다.쏘카는 신규 도입한 사업들도 시장에 안착하며 실적 개선을 돕고 있다고 밝혔다. 쏘카 앱에서KTX승차권을 예매한 뒤 카셰어링을 함께 예약한 이용건수는 1분기 대비 117% 증가했다. 지난 5월 말 출시한 쏘카페이는 출시 1개월 만에 10만명이 결제수단을 변경하며 결제비중의 20%를 돌파했다. 숙박과 차량 공유 서비스를 결합한 쏘카스테이는 출시 한 달 만에 거래액 10억원을 넘겼다.한편, 쏘카는 3분기 중 공유 전기 자전거 일레클 서비스를 쏘카 앱에 결합, 앱 내 이동수단을 추가한다. 또 차량 이용 중에도 반납지를 이용자가 편리하게 변경할 수 있도록 편도 서비스를 확대해 차량 공유 서비스 수요 기반을 확대할 방침이다."
2024-12-30,"[쫌아는기자들] 하이어다이버시티, 인구 절벽 문제를 해결할 외국인 타깃 서비스","@주3회 발행하는 뉴스레터 [쫌아는기자들] 입니다. 유료 가입https://page.stibee.com/subscriptions/158656 무료 가입https://page.stibee.com/subscriptions/143087@그때 투자(나는 그때 투자하기로 했다)에선 현업 투자자가 왜 이 스타트업에 투자했는지를 공유합니다.필자는 만 5살부터 결혼하여 분가하기 전까지 쭉 안산에서 거주하였는데, 다들 잘 알다시피 안산은 반월공단과 시화공단이 위치한 공업도시다. 2000년 전후 무렵으로 필자가 다니던 교회에 어느 순간부터 외국인 신도가 조금씩 늘어나기 시작했었다. 그전까지는 외국인이라 하면 ‘외국인 관광객’만 떠오르던 시절이라 외국인이 안산에서 먹고 자며 일한다는 것이 신기하게 느껴졌었다. 하지만 적은 인원이었고, 필자는 곧 대학에 입학하면서 안산을 벗어나게 되어 이러한 기억은 뒤로 한 채 일상 생활에 집중했었다.2022년 겨울 무렵, 송년회 겸하여 필자의 중학교 동창들과 안산역 인근에서의 모임을 가지게 되었다. 옛 추억에 이런저런 기대를 품고 약속 장소에 도착했을 당시 충격은 아직도 잊혀지지가 않는다. 오프라인 매장의 간판은 한글도 영어도 아닌 처음 보는 언어들로 가득했고, 길거리 오가는 행인 중 절반 이상이 외국인이었다. 방문한 안산역 대로변에 식당은 사장님과 종업원 모두 외국인이고 한국어로 소통이 불가해 영어로 주문을 해야 했었다. 안산에서 공인중개사를 운영하는 친구는 이미 안산은 내국인보다 외국인 비중이 훨씬 높고, 안산역 부근 빌라촌의 주 거주자는 외국인 근로자라고 설명했다. 국내 체류 외국인이 증가세라는 뉴스는 접했왔지만, 필자가 직접 접한 현실은 그 이상의 충격을 안겨주었다.그 이후 필자 머릿속에 외국인이라는 키워드는 한 자리를 꿰차게 되었다. 틈 날때마다 외국인이 늘어나는 이유는 무엇인지, 국내 경제와 산업에 어떤 영향을 초래하는지, 정부의 움직임은 어떠 한지 등 관심 가는 주제들을 하나씩 조사하였다.안산 원곡동의 한 휴대폰 판매점 /조선일보DB출산율 저하로 인한 경제활동인구 급감과 지방도시 소멸 이슈이미 모든 사람들이 잘 인지하고 있듯이 우리나라 출산율이 큰 폭으로 감소하고 있다. 합계출산율(15~49세 여성 한명이 낳을 것으로 예상되는 출생아 수)은 점차 줄어드는 추세이며 전문가들은 올해 합계출산율을 0.74명으로 예상하고 있다.출산율로 설명하니 아직 먼 미래로 생각할 수도 있지만 대입 응시자 수로 살펴보면 당장 임박한 문제임을 알 수 있다. 필자가 대입 수능을 봤던 2001학년도 대입 응시인원은 재수생을 포함하여 85만명에 육박하였으나 2021년 응시인원은 42만명으로 절반 가까이 줄어들었다. 2041학년도 대입 시험은 2022년생 출생아(약 25만명)가 치르게 될 텐데 미 응시인원과 재수생을 모두 감안하면 2041년 대입 응시인원은 2021년 응시인원의 절반을 조금 넘는 수에 그칠 것으로 보인다.외국인과 내국인 신생아 수를 비교해보는 것도 의미가 있다. 2023년 기준 신생아 수는 23만명이였는데, 신규 등록 외국인 수(주로 외국인 유학생과 근로자)는 28만명이다. 순증 인력 기준으로도 외국인이 내국인을 초월하기 시작했다. 중요한 점은 신생아는 성인이 되기까지 18년 이상이 필요한 반면, 외국인 유학생과 근로자는 이미 입국하는 시점부터 성인이라 사회 및 경제에 미치는 영향이 훨씬 클 것이라 예상된다.출산율 저하로 인해 국내는 심각한 경제활동인구 부족 현상을 겪을 것으로 보이고 경제도 하락할 가능성이 높아 보인다. 올해 3월 고용노동부 산하 한국고용정보원의 발표에 따르면 경제성장 하락을 막기 위해서는 2032년까지 약89만4천명의 추가 인력이 필요하다.더 심각한 예를 들자면, 지방도시들은 이미 소멸의 길을 걷고 있다. 한국고용정보원이 통계청 자료를 토대로 소멸위험지역 지수를 산출하고 있는데 소멸위험지역에 해당하는 지역이 전국 228개 시·군·구 중에 2000년 0개 → 2010년 61개 → 2020년 102개 → 2024년 130개로 매년 증가 추세이다. 참고로 소멸위험지수는 임신을 할 수 있는 20~39세 여성 인구 수를 65세 이상 노인 인구수로 나눈 값으로, 지수가 0.2이상 0.5 미만이면 소멸 위험 지구로, 0.2 미만이면 소멸 고위험 지역으로 본다.그래픽=조선디자인랩 권혜인인구 절벽을 해결하기 위한 정부의 다양한 정책들정부도 이런 심각성을 충분히 인지하고 외국인을 유입하기 위한 다양한 정책들을 펼치고 있다. 올해 12월 2일, 국민의 힘과 고용노동부는 국회 환경노동위원회 법안소위에 ‘외국인 근로자의 고용 등에 관한 법률 개정안’을 의원 입법 형식으로 제출했다고 한다. 개정안은 외국인 근로자 채용에 큰 걸림돌이던 ‘출국 후 재입국 제도’를 대폭 개선하고 있다.현재 외국인 근로자는 최장 4년 10개월 국내 체류 후 반드시 출국해 6개월이 지나야 재입국 후 4년 10개월을 더 근무할 수 있다. 앞으로는 일정 조건만 만족하면 출국 없이 최대 10년간 쭉 근무할 수 있는 ‘특례제도’가 도입된다. 외국인 유학생도 졸업 후 전문인력(E-7) 비자를 받지 못하면 본국으로 귀국해야 했지만 앞으로 비전문인력(E-9) 비자를 받아 장기 체류할 수 있게 된다. 중소기업 등이 정부 허가를 받아 외국의 비전문·미숙련 인력을 고용할 수 있는 고용허가제의 외국인력 쿼터도 2021년 5만2천명 → 2022년 6만9천명 → 2023년 12만명 → 올해 16만5천명으로 크게 상향하면서 중소기업의 인력 충원 고충을 덜어주고자 노력하고 있다. 법무부는 각 광역지자체가 지역의 특성을 반영한 맞춤형 비자제도를 설계하는 ‘광역형 비자 시범사업’을 2025년부터 2026년까지 2년간 시행하고자 12월 현재 광역지자체 공모 절차를 진행 중이다. 교육부도 올해 2030년까지 외국인 유학생을 30만명 유치하는StudyKorea300kProject를 발표한 바 있다.혹자는AI나 로봇 같은 첨단 기술들이 고도화되면 생산력 보완이 가능한데 굳이 인구 수에 연연할 필요 없지 않느냐고 주장하지만 필자는 반은 맞고 반은 틀린 의견이라 생각한다. 첨단 기술들을 한 단어로 정리하자면 생산력(즉, 공급)이라고 봐야 한다. 하지만 생산력은 소비력(즉, 수요)이 뒷받침되어야 의미가 있다. 첨단기술이 고도화 된다 해도 로봇이 맛집을 찾아다니지는 않을 것 같다. 넷플릭스나 유튜브를 감상하는AI모습은 상상이 잘 안된다. 이러한 소비력 관점에서는 첨단 기술이 사람을 결코 대체할 수 없을 것이라 생각했다. 시간이 흐를수록 정부, 기업, 교육기관 등 시장의 모든 플레이어들이 신흥 유입 인력인 ‘외국인’에 큰 관심을 가질 수 밖에 없다고 생각했다.큰 기대감 없이 진행한 ‘하이어다이버시티’ 첫 미팅위의 시장 트랜드를 조사하면서 외국인 산업을 타겟하는 스타트업들도 함께 조사했다. 몇 개 스타트업과 미팅도 가졌는데 대부분 이미 국내 입국한 외국인을 대상으로 하는 사업모델이였다. 그보다 조금 더 앞단에서 외국인을 접하는 기업을 만나고 싶다는 생각을 하던 참에 지인을 통해 ‘하이어다이버시티’를 소개 받았다. 하지만 전달받은 회사소개자료 만으로는 큰 기대를 하지 않았었다. 시장 규모에 관한 설명도 부실했고, 어떤 문제를 풀기 위해 무슨 서비스를 기획하고 있는지도 한눈에 들어오지 않았다. 한마디로 다듬어지지 않은 날 것 그대로의 회사 소개자료였다. 하지만 무려 3시간에 가까운 긴 첫 미팅을 가지면서 하이어다이버시티 심화용 대표님이 본 사업을 얼마나 깊게 고민 중이고, 이를 실행하고자 심혈을 기울이고 있다는 점도 느끼게 되었다. 회사소개자료도 투자 유치에 큰 관심이 없어서 꼭 필요한 경우에 사용하고자 간략한 대외용으로 제작했다는 점도 이때 함께 전달받았다.2023년 9월에 처음 인사드린 이후에도 수 차례 더 찾아뵈었고 투자하고 싶다는 생각에 제안을 드렸었다. 당시에 심화용 대표님은BEP를 맞춰가며 사업을 하고 계신터라 투자자를 적극적으로 알아보는 중은 아니였다. 오히려 투자를 받아야 하는 이유가 무엇이냐고 되물으셨었다. 필자는 ‘외국인 유입으로 인해 다양한 사업모델도 등장할 것이고, 그에 따른 각종 이슈들도 발생할테니 외부 조력자가 있는 편이 좋을 것이라 생각한다’며 설득하였다. 심 대표님은 그 말을 믿고 투자 라운드를 열었고, 필자는 그 신의를 지키고자 지금도 노력하고 있다.하이어다이버시티’,외국인 유학생 처음 접하는 한국 서비스하이어다이버시티 사업의 근간은 출입국 체류 행정 대행이다. 외국인들은 ’하이어비자’를 통해 외국인등록증 발급을 포함한 20가지 필수 행정을 처리할 수 있는데 하이어비자를 사용하면 외국인이 직접 행정기관에 방문할 필요도 없고, 공동인증서가 없어도 된다. 예를 들어 하이어비자에서 단 30초만 투자하면 외국인등록증(내국인으로 생각하면 주민등록증) 발급에 소요되는 시간이 기존 방식 대비 최대 70% 이상 단축되고 출입국 사무소에 내방할 필요가 없다. 하이어다이버시티는 본 서비스로 일단 대학의 문을 두드렸다. 현재 여러 대학과 협력 관계를 구축하였는데, 덕분에 해당 대학 입학 예정인 외국인 유학생이 한국에 발을 내딛기 전에 접하는 첫 번째 한국 서비스가 하이어비자가 되었다.하이어다이버시티 법인 설립 4년만에 99개 대학 부처와 협약 관계를 구축하였다. 법인 설립 첫해 협약 대학 부처가 단 2개였으니 매년 100% 이상 성장한 셈이다. 서울 거주 외국인 유학생 중 하이어다이버시티 서비스 이용자 비중은 이미 80%를 넘어서고 있다. 수도권 소재 대학에 재학 중인 외국인 유학생은 전국 외국인 유학생의 절반에 해당하는 8만명인데 이미 하이어다이버시티는 수도권 소재 대학의 51%를 확보하면서 1위 사업자 입지를 다졌다. 이를 토대로 내년에는 지방 소재 대학으로 사업을 확장할 수 있는 충분한 경험과 레퍼런스를 확보하였다.그래픽=조선디자인랩 한유진/하이어다이버시티외국인 근로자로 시장 확대 및 무궁무진한 사업 기회가 존재하는 시장하이어다이버시티는 출입국 체류 행정 대행을 넘어서서 외국인 유학생들이 국내 생활에 정착하는데 필요한 각종 부가 서비스도 제공하고 있다. 내국인과 달리 외국인은 입국 초기에 본인 신원을 인증할 수단이 없으므로 국내 서비스를 이용하는데 어려움이 많다. 네이버, 쿠팡 등의IT서비스에 가입하려면 핸드폰 번호 기반 본인 인증이 선행되어야 하는데 외국인은 본인 명의 핸드폰 개통에도 수 개월이 걸리는게 현실이다. 금융 업무 또한 마찬가지다. 하이어다이버시티는 은행 계좌/카드 개설, 모바일 개통 등을 지원하는 부가서비스를 운영하고 있다. 특히 은행 계좌의 경우, 외국인등록증 발급 전이라도 국내 시중은행(기업은행, 하나은행, 우리은행, 신한은행 등)을 통해 계좌 개설이 가능하다. 올해 쏘카와 제휴하여 외국인 유학생 대상으로 국내 최초로 카셰어링 서비스를 제공한 이력도 있다. 최근에는 우체국EMS와 외국인 유학생들이 더욱 편리하게 본국으로 택배를 발송하는 협약을 체결하기도 하였다. 하이어다이버시티는 이러한 생활 편의 서비스를 하나씩 추가하면서 외국인들의 한국 생활 적응에 일조하고자 한다.지금까지 하이어다이버시티는 외국인 유학생 중심의 사업을 전개하였지만 하이어다이버시티가 제공하는 각종 서비스들은 외국인 유학생에게만 필요한 것들이 아니다. 한국에 정착하려는 모든 외국인들에게 공통적으로 필요한 서비스라고 할 수 있다. 올해 7월경 잡코리아의 외국인 인재 채용 전용 서비스 ‘클릭’과 ‘외국인 근로자 일자리 정착을 위한 업무협약’을 체결하였다. 하이어다이버시티는 자사의 출입국 체류 행정 대행 서비스를 활용하여 외국인 등록번호 발급 서비스, 부동산 보증금 보호, 빠른 원화 수신계좌 발급 서비스 등을 제공하기로 하였다. 외국인 유학생에서 쌓은 경험과 레퍼런스를 기반으로 외국인 근로자에게도 소프트랜딩할 수 있을 것으로 기대한다.우리나라 외국인 주민 수는 2023년 말 기준 5%에 달한다. 경제협력개발기구(OECD)는 총인구에서 외국인 주민 비율이 5%를 넘으면 다문화·다인종 국가로 분류한다고 한다. 공단은 물론이고 지방 농어촌이나 재래시장에 방문해 보면 외국인 근로자가 없는 지역을 찾기가 더 힘들 정도이다. 이미 외국인은 우리 삶에 깊게 관여되어 있다. 앞으로 얼마나 많은 외국인이 한국에 정착할지 정확하게 예측할 수는 없지만 지금보다 많아질 것은 자명하다. 이러한 메가 트렌드 속에서 하이어다이버시티가 중요한 역할을 수행함과 동시에 사업도 크게 성장하기를 진심으로 기원한다."
2022-11-03,"쏘카, 퇴출근용 구독상품 출시","차량공유 플랫폼 쏘카가 출퇴근 직장인 전용 차량 구독 상품 ‘퇴출근형’을 출시했다고 2일 밝혔다. 퇴근시간대에 차량을 빌려 출근 후에 반납한다는 의미다. 차량 대여료·보험료·주차비가 모두 포함된 상품으로, 월 10회 이용 기준 16만9000원, 15회 기준 21만9000원이다. 쏘카는 “대중교통으로 장시간 통근하거나, 자차를 이용하더라도 주차비에 부담을 느끼는 젊은층 맞춤 상품”이라며 “준중형 10회형 구독의 경우 서울 자차 출퇴근보다 한 달에 최대 52만원 저렴하다”고 했다.쏘카가 출시한 출퇴근 전용 구독상품 포스터. /쏘카 제공퇴출근형 구독 상품은 두 종류다. 매월 정회진 횟수만큼 이용하는 회차형(10회, 15회)과 지정된 쏘카 차량을 고정적으로 이용할 수 있는 점유형이다. 점유형 상품 구독료는 월 29만9000원부터 32만9000원까지로 차종에 따라 달라진다. 최대 2인까지 운전자를 설정할 수 있어, 직장 동료와 카풀도 가능하다./쏘카회차형 상품은 매주 월~목요일 오후 6시부터 다음 날 오전 10시까지 최대 16시간 대여할 수 있고, 점유형은 이용자가 출근한 뒤에는 차량을 다른 쏘카 이용자도 쓸 수 있다. 점유형 이용자가 퇴근하기 전까지는 빌렸던 장소에 반납하는 식으로 운용된다. 이용 가능 차종은 경차·준중형·중형·소형SUV·준중형SUV등이다. 쏘카는 “12월 31일까지 첫 달 구독료를 최대 7만원 할인 제공한다”고 했다."
2022-09-22,"쏘카, 내려도 너무 내리네","상장 한달, 공모가의 3분의 2로고금리·사업성·규제 ‘3중고’ 탓지난달 22일 상장한 차량 공유 서비스 업체 쏘카 주가가 연일 하락세다.21일 쏘카 주가는 전날보다 2.2% 하락한 1만8150원에 마감했다. 최근 8일 연속 떨어지며 연일 최저가 기록을 쓰고 있다. 공모가(2만8000원)와 비교하면 35% 내렸다. 공모가부터 회사의 희망 가격(3만4000~4만5000원)보다 크게 떨어져 한차례 굴욕을 겪었는데 상장 이후 주가가 더 떨어진 것이다.쏘카 주가 부진은 장기적인 사업 모델에 대한 의구심, 모빌리티 시장에 대한 규제가 주요 원인으로 꼽힌다. 쏘카의 수익 모델은 현재로서는 렌터카 사업에 국한된 실정이다. 박재욱 쏘카 대표는 지난달 상장을 앞두고 개최한 기자간담회에서 “상장을 통해 조달한 자금으로 수퍼앱 역량을 강화하겠다”고 했다. 다양한 신사업을 발굴하고 이를 쏘카 앱 하나로 이용할 수 있게 하겠다는 것이다. 지난해 말에는 온라인 주차 플랫폼과 전기자전거 공유 플랫폼을 인수하기도 했다. 하지만 지난 1분기 매출의 97.3%가 카셰어링(차량 대여)에서 나왔다. 사업 영역이 확장되기까지 오랜 시간이 걸릴 것으로 예상되는 데다 지난해 209억원, 올해 상반기 71억원 등 영업손실도 이어지고 있다.모빌리티 시장은 각종 규제가 심해 새로운 사업을 추진하기 어려운 분야다. 최근 몇 년간 모빌리티 업계에선 쏘카의 ‘타다’,카카오모빌리티의 ‘스마트호출’ 등 새로운 수익 모델을 도입하려는 시도가 있었다. 하지만 택시업계와 같은 기존 사업자들과 갈등이 불거지면서 규제가 생겨났다. 타다는 국회에서 ‘타다금지법’이 통과되며 서비스가 중단됐고, 시간대에 따라 탄력 요금제를 적용하는 스마트호출 역시 과도한 유료화라는 논란 끝에 폐지됐다. 쏘카가 새로운 성장 동력을 찾는 게 쉽지 않다는 지적이 나오는 이유다.상장을 늦춘 다른 기업들과 달리 금리가 가파르게 오르고 글로벌 경기가 부진한 가운데 무리하게 상장에 나선 것도 주가 하락을 부추겼다는 지적이다. 한승한SK증권 연구원은 “국내외에서 계속되는 금리 인상이 쏘카처럼 성장 과정에 있는 플랫폼 기업들의 주가 하락의 주요 요인으로 작용하고 있다”고 했다. 상장 한 달이 되는 22일엔 기관이 보유한 보통주 197만주의 보호예수가 해제돼 주가 추가 하락 요인도 있다."
2022-09-20,"지난달 상장 쏘카, 2만원선 붕괴","박재욱 쏘카 대표이사가 지난달 3일 오전 서울 영등포구 콘래드 서울 호텔에서 열린 쏘카 기업공개(IPO) 기자간담회에 참석해 기업정보 프리젠테이션을 하고 있다. /뉴시스지난달 상장한 차량 공유 업체 쏘카 주가가 처음으로 2만원대 아래로 떨어졌다. 19일 한국거래소에 따르면 이날 쏘카 주가는 전거래일 대비 6.5% 하락한 1만8800원에 마감했다. 추석 연휴 전이었던 지난 7일부터 7거래일 연속 하락세다. 현 주가는 지난달 22일 상장할 때 공모가(2만8000원)보다도 약 33% 낮은 수준이다. 이날 기관 투자자는 8억여원어치를 순매도해 주가 하락을 주도했다.앞서 쏘카는 기업 공개(IPO) 과정에서 진행한 기관 투자자 수요예측에서도 56대1 수준의 낮은 경쟁률을 기록하는 등 저조한 흥행 성적을 보였다. 이후 결정된 공모가도 당초 희망 공모가 범위(3만4000~4만5000원)를 크게 밑돌았다. 쏘카는 현재 가치보다는 미래 가치가 기대되는 성장주 종목인데, 최근 국내외 금리 인상으로 시장의 돈줄이 막히면서 당장의 실적을 요구하는 투자자들의 눈높이에 맞지 않았다는 업계의 분석이 나온다.한승한SK증권 연구원은 “쏘카는 우버·그랩 등 글로벌 모빌리티 플랫폼 대비 고평가된 측면이 있다”며 “증시 전반이 침체기인 점 등을 감안할 때 단시일 내에 주가가 상승세로 전환하기는 쉽지 않을 것”이라고 말했다."
2022-09-16,"쏘카, 원하는 곳에 반납… ‘편도 서비스’ 정식 개시","차량 공유 서비스 업체 쏘카는 15일 “당초 차량을 대여한 지점이 아닌 원하는 장소에 차량을 반납할 수 있는 편도 서비스를 14일부터 시작했다”고 밝혔다. 다만 편도 서비스는 차량을 빌린 곳 반경 50㎞ 이내에서 허용되고, 별도의 추가 요금이 부과된다. 서비스 지역은 수도권과 부산·대구·세종·창원 등 전국 10개 지역이다.쏘카의 편도 서비스는 차량을 대여했던 ‘쏘카존’(대여소)에 차량을 반납할 필요 없이 사용자가 원하는 곳에 반납할 수 있는 서비스다. 차량을 대여한 곳에서 반경 50㎞ 이내 합법적으로 주차할 수 있는 장소라면 다 가능하다. 기존 대여료·주행요금에 더해 편도 이용에 따른 기본 요금 1만원과 대여 지점과 반납 장소의 거리에 따라 ㎞당 800원의 추가 비용을 내면 된다. 유료 주차장에 차량을 반납할 경우 주차 요금은 쏘카가 부담한다.편도 서비스가 정식 서비스로 전환하면서 전체 쏘카존의 80%인 3900여 곳에서 편도 서비스가 적용된다. 쏘카 관계자는 “택시가 잡히지 않는 심야 시간에 귀가하려는 이용자들이나 간단한 이삿짐을 옮기려는 소비자들의 호응이 높았다”고 했다."
