date,title,content
2024-10-31,"아모레퍼시픽, 3분기 매출은 11% 영업이익은 160% 증가","아모레퍼시픽그룹이 올해 3분기 매출 1조 681억 원과 영업이익 750억 원을 기록했다. 전년 동기 대비 매출은 11% 증가했고, 영업이익은 160% 상승했다.31일 아모레퍼시픽그룹은 올해 3분기 경영 성과를 발표했다. 아모레퍼시픽그룹 측은 “라네즈 등 주요 브랜드들이 북미에서 좋은 실적을 거둔 것과 더불어, 서구권 매출 비중이 높은 코스알엑스 실적이 들어오면서 서구권 매출이 급증하는 성과를 거뒀다“며 ”주요 자회사 중에서는 에스쁘아와 아모스프로페셔널, 오설록의 매출이 증가했다”고 밝혔다.서울 용산구 아모레퍼시픽 본사. /뉴스1주력 계열사 아모레퍼시픽의 국내 사업은 전년 대비 1.6% 하락한 매출 5345억 원을 기록했다. 면세점 매출은 하락했으나, 국내 온·오프라인 채널에서 매출이 늘었다. 국내 영업이익은 151% 증가했다.주요 브랜드 중에서는 헤라, 아이오페, 에스트라, 미쟝센, 라보에이치, 일리윤 등이 국내 멀티브랜드숍(MBS)과 이커머스 채널 중심으로 선전한 것으로 나타났다.해외 사업에선 미주 매출이 108% 증가하고EMEA(유럽·중동·아프리카) 매출은 339% 늘었다. 기타 아시아 지역 역시 활발한 신규 브랜드 진출과 함께 코스알엑스 편입 효과로 매출이 52% 증가했다. 아시아태평양(APAC) 지역에서는 설화수와 라네즈를 중심으로 매출이 성장했으며, 일본에서도 라네즈와 프리메라 등이 선전하며 매출이 증가했다. 다만 중화권에서는 전체 매출이 하락하고, 사업 구조 개선 작업으로 적자폭도 확대됐다.이니스프리는 면세 매출 축소로 전체 매출이 하락했다. 영업이익도 감소했다. 에뛰드 역시 오프라인 채널 재정비로 인해 전체 매출은 감소했다. 마케팅 투자 확대로 영업이익도 하락했다. 에스쁘아는 국내MBS채널에서 선전하며 전체 매출과 영업이익이 모두 성장했다. 오설록은 매출이 늘어난 데 더해 마케팅 비용 효율화로 영업이익도 큰 폭으로 증가했다.아모레퍼시픽그룹 측은 “성장 잠재력이 큰 미국, 일본, 영국, 인도 등을 글로벌 거점 시장으로 설정해 집중 육성하겠다“며 ”중국 사업의 구조 재편과 경쟁력 확보에도 힘쓰겠다”고 밝혔다."
2024-08-06,"아모레퍼시픽, 2분기 매출 1조57억원·영업이익 122억원 거둬… 지난해 대비 소폭 개선","아모레퍼시픽그룹이 올해 2분기에 매출 1조57억원, 영업이익 122억원을 거뒀다. 지난해 같은 기간 대비 매출은 2.4% 줄었고, 영업이익은 4.2% 증가했다. 당초 증권가에선 1분기 영업이익 727억원을 올린 아모레퍼시픽그룹이 2분기에도 영업이익 800억원대의 호실적을 거둘 것으로 전망했지만, 실제로는 작년보다 소폭 개선되는 것에 그쳤다. 아모레퍼시픽그룹은 이에 대해 “중화권 시장 상황이 예상보다 좋지 못했고, 국내에서도 면세점이나 방문 판매를 통한 매출이 줄어든 결과”라고 밝혔다.아모레퍼시픽 기업 로고. /아모레퍼시픽아모레퍼시픽그룹의 주력 계열사인 아모레퍼시픽의 국내 매출은 전년 동기 대비 7.8% 하락한 5119억원, 영업이익은 58.7% 하락한 152억원으로 나타났다. 주된 판매 통로였던 면세점에서의 고급 화장품 판매가 부진한 결과다. 이외 주요 브랜드의 광고비와 마케팅 비용도 증가했다. 다만 해외에서는 매출 3815억원으로 지난해 대비 2.5% 증가했고, 51억원의 영업이익을 내며 흑자전환에도 성공했다. 중화권에서는 매출이 44% 감소해 영업손실을 냈지만, 지난해 자회사로 편입한 화장품 업체 ‘코스알엑스’ 제품이 미주·유럽 등에서 큰 인기를 끌며 이를 메꿨다. 아모레퍼시픽 관계자는 “코스알엑스의 선전 덕에 미주 지역 매출은 전년 대비 65%, 유럽·중동·아프리카 매출은 182% 증가했다”고 했다.아모레퍼시픽그룹 다른 계열사 중에선 오설록이 매출 221억원, 영업이익 27억원으로 각각 전년 동기 대비 12%, 247% 증가하며 호실적을 거뒀다. 이니스프리도 매출은 13% 감소했지만 마케팅 비용을 효율화한 결과 영업이익 13억원을 내며 흑자전환했다.아모레퍼시픽 관계자는 “현재 성장 잠재력이 큰 미국, 일본, 영국, 인도 등을 글로벌 거점 시장으로 설정해 집중 투자하고 있다”며 “실적이 부진한 중국에서는 사업 구조 재편과 경쟁력 확보에 힘쓰고 있다”고 했다."
2024-07-25,"아모레퍼시픽, 아마존 행사서 뷰티·퍼스널 케어 1~3등 차지","아모레퍼시픽이 세계 최대 전자 상거래 업체인 미국 아마존의 온라인 쇼핑 행사 ‘프라임 데이’에서 뷰티&퍼스널 케어 부문 전체 1~3위(판매 수량 기준)를 차지했다.‘프라임 데이’는 아마존 유료 서비스 회원을 대상으로 열리는 연중 최대 할인 행사로, 지난 16~17일 이틀 간 진행됐다. 24일 아모레퍼시픽에 따르면, 코스알엑스, 라네즈, 에스트라 등 여러 아모레퍼시픽의 글로벌 브랜드가 행사에 참여해 뷰티&퍼스널 케어 부문 전체 랭킹 1~3위에 오르는 실적을 세웠다고 한다. 코스알엑스의 대표 제품인 ‘어드벤스드 스네일 96 뮤신 파워 에센스’가 랭킹 1위를 차지했고, 라네즈의 대표 립 제품인 ‘립 글로이 밤-베리향’과 ‘립 슬리핑 마스크-베리향’이 각각 2위와 3위였다. 이 외에도 에스트라의 기초 화장품인 ‘아토베리어365 크림’이 페이셜 크림&모이스처 부문 랭킹 2위를 기록하는 등 다른 부문에서도 좋은 성과를 거뒀다.아모레퍼시픽 관계자는 “인공지능을 활용한 마케팅 활동 강화, 검색 키워드 최적화 등을 통해 글로벌 고객 접점을 확대하고, 고객 니즈를 충족하는 브랜드와 제품을 계속 선보일 것”이라고 했다."
2024-01-30,"아모레퍼시픽그룹, 영업이익 44% 감소","아모레퍼시픽의 대표적인 화장품 브랜드 설화수 제품. /아모레퍼시픽 제공아모레퍼시픽그룹의 작년 영업이익이 44.1% 감소했다. 면세와 중국 매출 감소가 주된 원인인 것으로 분석된다.코스피 상장사 아모레퍼시픽그룹은 30일 연결 기준 작년 한 해 영업이익이 1520억원으로 전년 대비 44.1% 감소했다고 공시했다. 매출은 4조213억원으로 10.5% 줄었다. 순이익은 2347억원으로 57.3% 증가했다. 아모레퍼시픽그룹의 4분기 영업이익은 299억원으로 전년 동기 대비 62% 감소했다. 같은 기간 매출과 순이익은 각각 1조180억원과 479억원이었다.해외 시장에서는 미주, 유럽·중동·아프리카(EMEA), 일본 등이 선전했다. 그러나 면세와 중국 매출 감소로 전체 매출과 영업이익이 줄어든 것으로 분석된다. 주력 계열사 아모레퍼시픽의 작년 영업이익은 1082억원으로 49.5% 줄었고, 매출은 3조6740억원으로 11.1% 감소했다. 순이익은 1739억원으로 34.5% 증가했다.국내사업 영업이익은 1464억원으로 34% 감소했다. 이는 면세, 이커머스 채널의 매출 감소와 마케팅 비용 증가 때문이다. 국내사업 매출은 2조2108억원으로 14.4% 줄었다. 해외사업은 432억원의 영업손실을 기록하며 적자로 전환했다. 해외사업 매출은 1조3918억원으로 5.5% 감소했다. 중국 사업의 손실이 아시아 전체 영업이익을 적자에 빠뜨린 것으로 해석된다.아모레퍼시픽의 4분기 영업이익은 207억원으로 63.7% 감소했다. 4분기 매출과 순이익은 각각 9260억원과 382억원이었다. 에뛰드를 제외한 다른 계열사들은 대부분 영업이익이 감소했다. 에뛰드의 작년 영업이익은 148억원으로 195.5% 증가했지만 이니스프리(-68.2%), 에스쁘아(-15.8%), 아모스프로페셔널(-4%), 오설록(-37.9%)은 모두 영업이익이 감소했다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2023-03-09,"아모레퍼시픽 본사 설계한 치퍼필드, 건축계 노벨상인 ‘프리츠커상’ 받아","주변 환경에 순응하는 건축겸손하고 절제된 디자인 호평로비 개방한 아모레퍼시픽 본사“공존과 교감 보여준 건축” 평가'건축 노벨상'으로 불리는 프리츠커상 20203년 수상자로 선정된 영국 건축가 데이비드 치퍼필드. /photocourtesyofTomWelsh서울 용산 아모레퍼시픽 사옥 디자인으로 한국에서도 유명한 영국 건축가 데이비드 치퍼필드(70)가 올해 프리츠커상 수상자로 8일 선정됐다. 프리츠커상은 ‘건축 노벨상’으로 통하는 국제 건축 분야에서 최고의 권위를 가진 상으로 매년 3월 수상자를 발표한다.치퍼필드는 건축계 내부뿐만 아니라 대중적으로도 널리 알려져 있다. 화려하고 과장된 형태를 내세우기보다 절제된 디자인으로 주변의 맥락에 순응하는 건축을 해왔다. 심사위원단은 이런 태도를 ‘명상적 디자인’으로 규정하면서 그의 건축이 “섬세하면서도 강력하고, 차분하면서도 우아하다”고 평가했다. 이어 “기후변화에 대응하고 사회적 관계를 변화시키며, 도시에 활력을 불어넣는다”고 선정 이유를 밝혔다.데이비드 치퍼필드의 대표작 중 하나인 아모레퍼시픽 신사옥. 로비 공간을 개방하고, 외벽을 파내듯 마련한 공간에 공중 정원을 조성해 서울 용산 도심에 숨통을 틔운 건축으로 평가받는다. /Noshe심사위원단이 사례로 든 그의 대표작 중에는 오래된 건축물을 복원한 작업이 많다. 독일 베를린 신(新)박물관은 2차 대전으로 훼손된 벽의 잔해를 보존해 건물이 가진 역사를 드러냈다. 이탈리아 베네치아 산마르코 광장의 16세기 관청 건물을 문화 시설로 복원한 프로쿠라티에 베키에는 전통 장인들과 협력해 벽과 바닥을 마감하고, 폐쇄돼 있던 건물을 일반에 개방했다. 지역성과 공공성, 역사를 중시하는 태도가 드러난 작품들이다.로비에 사방으로 큼직한 출입구를 만들어 누구나 쉽게 드나들 수 있도록 디자인한 용산 아모레퍼시픽 신사옥 내부. /photocourtesyofNoshe서울의 아모레퍼시픽 사옥도 대표작 중 하나로 언급됐다. 이 건물은 외부에 루버(차광판)를 촘촘하게 설치해 에너지 효율을 높이고, 로비 공간을 사방으로 개방해 주변을 지나는 누구나 쉽게 드나들도록 했다. 이런 디자인으로 “개인과 집단, 사적인 것과 공공적인 것, 일과 휴식이 조화를 이루도록 했으며, 공존과 교감의 기회를 사회에 부여했다”는 평가를 받았다.치퍼필드는 “기후변화와 사회적 불평등이라는 과제를 해결하기 위해 건축가로서 할 수 있는 역할에 계속 관심을 기울이라는 격려의 의미로 받아들인다”고 수상 소감을 밝혔다."
2022-12-13,"아모레퍼시픽 사장 김승환, 그룹지주사 사장엔 이상목","지주회사인 아모레퍼시픽그룹의 김승환(54) 대표이사 사장이 주력사인 아모레퍼시픽 신임 사장에 임명됐다.김 사장은 2006년 입사 후 전략기획 및 인사 업무와 해외 사업 확장을 주도해온 글로벌 사업 전문가다. 2021년 지주회사 대표로 선임된 이후에는 직급제를 폐지하고, 보상제도 정립, 사내 소통 확대 등 조직·제도 혁신을 이뤘다는 평가를 받는다. 아모레퍼시픽에서는 해외 사업과 신사업 확장에 집중할 것으로 예상된다.지주회사인 아모레퍼시픽그룹 신임 사장에는 아모레퍼시픽 경영지원 유닛장과 그룹기획실장을 겸임한 이상목(53) 부사장이 승진 임명됐다. 이 사장은 2003년 입사 후 재무 관련 업무를 맡아온 재무 전문가이다. 2016년 이후 재경·법무·지식재산 등 경영지원 업무를 총괄했고, 2021년부터 그룹의 경영관리를 책임져왔다.업계에서는 최근 중국 시장 축소로 매출과 영업이익이 감소한 아모레퍼시픽그룹이 50대 젊은 해외 사업 전문가와 재무 전문가를 사장으로 선임해 중국 이외 해외 사업과 신사업을 공격적으로 추진할 것으로 예상한다. 지난 5년간 아모레퍼시픽 대표이사로 재직했던 안세홍 사장은 퇴임 후 경영 자문 역할을 하게 된다."
2023-03-08,"아모레퍼시픽 사옥 설계한 치퍼필드, ‘건축 노벨상’ 수상","'건축 노벨상'으로 불리는 프리츠커상 20203년 수상자로 선정된 영국 건축가 데이비드 치퍼필드. /TomWelsh제공서울 용산 아모레퍼시픽 사옥 설계로 한국에서도 잘 알려진 영국 건축가 데이비드 치퍼필드(70)가 ‘건축 노벨상’으로 불리는 프리츠커상 올해 수상자로 8일 선정됐다. 치퍼필드는 독일 신(新) 베를린 박물관, 미국 세인트루이스 미술관, 일본 이나가와 묘지 예배당 등 전세계에서 작품 활동을 하며 건축계는 물론 대중에게도 널리 알려졌다.심사위원단은 그의 건축이 “섬세하면서도 강력하고, 차분하면서 우아하다”고 평가하면서 “기후 변화에 대응하고 사회적 관계를 변화시키며, 도시에 활력을 불어넣는 건축을 통해 새 건물은 물론 복원 건축물의 기능성과 접근성을 새롭게 상상했으며, 건축물의 역사적 문화적 배경에 대한 경외심을 드러냈다”고 선정 이유를 설명했다.과장된 몸짓을 하기보다는 주변에 자연스럽게 순응하는 건축을 추구해온 치퍼필드 디자인의 키워드 중 하나는 ‘절제’다. 이런 ‘명상적 디자인’ 태도 역시 높은 평가를 받았다. “불필요한 움직임, 트렌드와 유행을 피하는 것은 현대 사회에 가장 적절한 메시지”라는 것이다.전쟁으로 파손됐던 벽의 흔적을 보존해 건축물의 역사를 드러내 보인 독일 신 베를린 박물관 내부. /UteZscharntforDavidChipperfieldArchitects함께 소개된 대표작 중에는 오래된 건축물을 복원한 작업이 많다. 독일 신(新) 베를린 박물관은 19세기 중반에 지어져 2차대전 중에 파괴된 건축물을 되살린 프로젝트. 전쟁으로 훼손된 벽과 오래된 프레스코화의 흔적을 살려 건물의 역사를 드러냈다. 이탈리아 베니스의 16세기 관청 건물을 복원한 프로쿠라티에 베키에는 전통 장인들과 협업해 바닥과 벽의 마감을 완성하고, 오랫동안 닫혀 있던 건물을 일반에 개방해 쓰임새를 재정의했다. 건축물이 가진 역사적, 사회적 맥락(context)을 존중하고, 공공성을 중시하는 치퍼필드의 태도가 드러나는 작품들이다.로비를 휴식공간처럼 사용할 수 있도록 디자인한 서울 용산 아모레퍼시픽 신사옥. /photocourtesyofNoshe서울 용산 아모레퍼시픽 본사 사옥./2022.04.19./전기병 기자서울의 아모레퍼시픽 사옥도 대표작 중 하나로 언급됐다. 기업의 사옥이지만 로비 등의 공간을 시민들이 쉴 수 있는 장소로 개방한 것이 특징. 이를 통해 “개인과 집단, 사적인 것과 공공적인 것, 일과 휴식이 조화를 이루도록 했으며 공존과 교감의 기회를 사회에 부여했다”는 평가다.치퍼필드는 “건축의 본질과 의미뿐 아니라 기후변화나 사회적 불평등이라는 과제를 해결하기 위해 건축가로서 기여할 수 있는 부분에 계속 관심을 기울이라는 격려의 의미로 받아들인다”는 수상 소감을 밝혔다."
2022-05-17,"이번엔 아모레퍼시픽…직원들, 30억 횡령해 코인 투자·불법 도박","서울 용산구 한강대로 아모레퍼시픽 본사. /뉴스1아모레퍼시픽 직원들이 30억원 규모의 회삿돈을 빼돌려 가상자산 투자와 불법 도박 등에 쓴 것으로 확인됐다.17일 업계에 따르면 아모레퍼시픽 영업담당 직원 3명은 거래처에 상품을 공급하고 대금을 착복하거나 허위 견적서 또는 세금 계산서를 발행하는 식으로 회사 자산을 가로챘다. 상품권 현금화 등의 편법도 사용한 것으로 드러났다.이들은 이렇게 횡령한 회삿돈을 주식과 가상자산 투자 및 불법도박 자금으로 사용했다. 또 일부 직원들에게 불법도박 홈페이지를 소개해 10여 명이 모여 사내나 재택근무지에서 불법도박도 벌인 것으로 드러났다.아모레퍼시픽 관계자는 “사내 감사 과정에서 자체 적발된 사항이고 현재 대부분의 횡령액을 회수했다”고 밝혔다. 그러면서도 해고 등의 징계 수위는 밝히지 않았다. 아모레퍼시픽 사내 인사위원회는 이들을 징계 처분한 것으로 알려졌다.클리오에 이어 화장품 업계 최대 규모 아모레퍼시픽에서도 이 같은 일이 발생하면서 기업 내부통제에 대한 비판이 커지고 있다. 서울 성동경찰서는 지난 13일 클리오 직원 A씨를 특정경제범죄 가중처벌 등에 관한 법률(특경법)상 업무상횡령 혐의로 구속했다. 과장급 영업직원으로 근무한 A씨는 지난해 초부터 올해 초까지 약 1년간 홈쇼핑 화장품 판매업체로부터 받은 매출 일부를 개인 통장으로 입금하는 등 수법으로 18억9000만 원가량을 횡령한 혐의를 받는다. 횡령 액수는 2020년 클리오 연간 영업이익 62억원의 약 30%에 달한다. 클리오 측은 A씨의 임차보증금 및 은행 계좌에 가압류를 진행했으나, 횡령액 대부분을 이미 도박에 탕진해 추징 보전이 어려운 상황으로 전해졌다.앞서 연초 오스템임플란트에서는 상장 기업 사상 최대 규모인 2215억 원대 횡령 사건이 발생했다. 이어 계양전기와 우리은행 등에서도 줄줄이 직원들의 회삿돈 횡령 사건이 발생했다."
2023-07-22,"에쓰오일 이재민 성금 5억, 효성·LX·우아한형제들 3억씩, 삼양·아모레퍼시픽 각각 2억","집중호우로 수해를 당한 이재민을 돕기 위한 기업 성금과 물품 기부가 이어지고 있다.한국타이어 임직원이 지난 20일 집중호우 피해를 본 충북 청주시 흥덕구 오송읍에서 토사와 농가 부유물 등을 제거하는 지원 활동을 진행하고 있다. /한국타이어앤테크놀로지에쓰오일은 이재민 구호와 신속한 피해 복구를 위해 성금 5억원을 전국재해구호협회에 전달했다고 21일 밝혔다. 효성그룹과LX그룹도 각각 3억원을 수해 돕기 성금으로 냈다. 배달앱 배달의민족을 운영하는 우아한형제들은 희망브리지 전국재해구호협회에 3억원을 기부했다. 또 특별재난지역으로 선포된 전국 13개 지역 피해 업주에게 한 달 치 앱 광고비와 중개이용료를 전액 지원하기로 했다.삼양그룹은 대한적십자사에 성금 2억원과 5000만원 상당의 의약품을 기탁했다. 아모레퍼시픽그룹은 2억원을,LIG그룹·세종텔레콤·한국타이어앤테크놀로지·도미노피자는 각 1억원을 이재민 돕기에 보탰다. 생활용품기업 한국P&G는 침수 피해를 본 충북 청주 운천초, 대구 경원고 복구 지원을 위해 성금 3000만원을 기부했다.SPC는 이날과 24일 각각SPC삼립빵과 생수 총 1만2000개를 추가 지원하기로 했다. 하림산업은 전날 익산시청과 익산푸드통합지원센터에 ‘더미식(The미식)’ 밥 등 구호 물품 2000개를, 아워홈은 희망브리지 전국재해구호협회와 대한적십자사 충북지사를 통해 생수 2만3000병과 간편식 2000인분을 전달했다. 도미노피자는 세종시 수해 복구를 위해 노력하는 이들에게 피자를 제공했다. 충북 청주의LG에너지솔루션 오창 에너지플랜트 임직원 80여 명은 청주 흥덕구 오송읍 일대 주택 침수, 토사 유출 현장을 찾아 수해 복구 작업을 도왔다."
2023-09-01,LG “그래도 중국” vs 아모레 “이제는 일본”,"화장품 빅2, 中서 매출비중 10%대 급락에 ‘정반대 전략’지난 30일 중국 상하이에 있는 ‘탱크 상하이 아트센터’.중국 인기 아이돌 판청청과 왕훙(網紅·인플루언서) 100여 명이LG생활건강의 ‘더 히스토리 오브 후’(이하 더후)의 ‘천기단’을 들고 기념 샷과 동영상을 찍고 있었다. 이날 행사는LG생활건강의 고급 화장품 브랜드 ‘더 후’의 대표 제품인 천기단이 13년 만에 새 단장을 해 첫선을 보인 자리였다. 브랜드 표기에도 변화를 줬다. 더후를 대표하는 ‘후(后)’ 디자인은 그대로 남기고 ‘Thehistoryof后’를 ‘TheWhoo’로 축약해 고객들이 쉽게 부를 수 있게 했다.한국도 아닌 중국에서 ‘새 단장 행사’를 가진 것은 “한한령과 코로나 이후 주춤했던 중국 시장 공략을 본격화하겠다”는 의미로 해석됐다.LG생활건강이 중국에서 홍보 행사를 연 것은 4년 만이기도 하다.한때 프랑스, 일본 화장품 업체들을 제치고 중국 등 글로벌 시장에 K뷰티의 점유율을 확장하던 국내 화장품 업체들이 코로나 해제를 계기로 해외시장 개척에 본격 나서기 시작했다. 특히 국내 ‘빅2′ 화장품 기업인 아모레퍼시픽과LG생활건강은 해외시장 공략에 나서면서 각각의 전략으로 특화에 나서고 있어 주목을 받고 있다.코로나 이전까지만 해도 해외 매출의 절반 이상을 담당했던 중국 매출 비중이 10%대로 줄어든LG생활건강과 아모레퍼시픽의 해외 시장 공략법이 대비되고 있다.LG생활건강은 고급 화장품 이미지를 공고히 해 중국 시장 재공략에 나섰고, 아모레퍼시픽은 세계 3대 화장품 시장인 일본으로 눈을 돌리고 있다. /LG생활건강·아모레퍼시픽, 그래픽=김현국‘기초’ 강조한LG와 ‘색조’ 등 외연 넓히는 아모레LG생활건강은 일단 중국 시장을 재공략한다는 계획이다. 중국 브랜드와 경쟁해야 하는 페이스샵 등 저가 브랜드는 온라인 판매 위주로 전략을 수정했다. 후 같은 고급 브랜드는 백화점 매장 중심으로 홍보하고, 주요 온라인 쇼핑몰에서 해당 브랜드 정보만 받아보는 충성 고객을 늘려 매출을 높인다는 구상이다. 중국 고객을 끌어들이기 위해 천기단 제품을 리뉴얼하면서 중국 고객들이 좋아하는 스토리를 입히는 데도 집중했다. 새롭게 단장한 천기단은 중국 소비자에게 친숙한 ‘한방’ 기술을 적용했다는 점을 강조하고, 아시아 여성 1만7000여 명의 피부 데이터를 조사해 기능성을 강화했다는 점을 내세우고 있다. 젊은 고객들을 대상으로는 ‘숨 37℃’를 주력 브랜드로 키운다는 방침이다.아모레퍼시픽은 중국 이외 시장까지 노리고 있다. 코로나 기간 중국에서 에뛰드, 헤라, 아이오페 브랜드의 오프라인 매장을 철수하고 온라인 판매에 집중하고 있는 아모레퍼시픽은 상대적으로 일본과 중동 소비자들이 좋아하는 색조 화장품이나 특화된 화장품 라인을 내세우는 전략을 활용하고 있다. 아모레퍼시픽의 메디 뷰티 브랜드 ‘에스트라’는 9월 일본을 시작으로 글로벌 시장에 진출한다. 아모레퍼시픽은 지난 6월 28일부터 2주간 일본 도쿄 하라주쿠에 있는 ‘아모파시페스(アモパシフェス·아모레페스티벌)’라는 이름의 행사를 열었는데 이틀 만에 방문 예약이 완료되고, 10만개에 이르는 고객 체험용 샘플이 모두 소진됐다. 일본에서 한국 화장품의 인기를 확인한 아모레퍼시픽은 일본의 대표 화장품·미용 종합 정보 사이트 ‘앳코스메’의 온·오프라인 매장에 에스트라 브랜드를 들여놓으면서 일본 시장 진출에 속도를 낸다는 목표다.좀처럼 살아나지 않는 중국 시장코로나 엔데믹이 되면 다시 회복 될 것으로 기대한 중국 시장이 좀처럼 활력을 보이지 않고 있다. 아모레퍼시픽은 올 상반기 중국에서 3000억원,LG생활건강은 3777억원을 벌어들였는데 이는 전체 매출의 15%, 10.8%에 그쳤다. 중국 경기가 악화한 상황에서 국산품 애용을 뜻하는 궈차오(國潮·애국 소비) 열풍이 불고, 면세점을 오가며 중국에 한국 화장품을 판매해온 다이궁(代工·보따리 장수)도 위축된 탓도 있다.이 때문에 국내 화장품 ‘빅2′들은 세계 최대 화장품 시장인 미국에는 공통적으로 공을 들이고 있다. 유로모니터에 따르면 2021년 기준 전 세계 화장품 시장 규모는 5298억3500만달러(약 688조9974억원)이다. 이 중 미국이 918억6750만달러로 가장 크고, 중국(824억1965만달러)과 일본(329억5300만달러)이 뒤를 잇는다."
2024-12-11,대기업 화장품·펫 용품까지… 여기에 ‘다이소’,"다이소로 모여드는 대기업들5000원 이하 제품만 판매하는 초저가 생활용품점 ‘다이소’에 입점하는 대기업이 늘고 있다. 내수(內需) 침체 장기화에도 ‘가성비’를 앞세워 공격적으로 매장 수를 확장하는 다이소를 활용해 소비자와의 접점을 더 늘리기 위해서다. 기존에도 문구류나 간식류를 다이소에서 판매하는 기업이 있었지만, 최근엔 화장품이나 반려동물용품 등 판매 품목이 더 다양해지고 있다. 국내 화장품 업계 ‘양강’인LG생활건강과 아모레퍼시픽 모두 올해 다이소 전용 제품을 선보였다.지난달 서울 중구 다이소 명동역점에서 고객들이 진열된 화장품을 살펴보고 있다. /연합뉴스깨끗한나라는 반려동물 전문 브랜드 ‘포포몽’ 제품을 전국 다이소 매장에서 판매한다고 10일 밝혔다. 기존엔 이커머스 중심으로 판매했는데, 다이소 전용 제품으로 펫티슈 5종, 강아지·고양이 샴푸 3종, 고양이모래 1종을 출시했다. 가격은 모두 1000~5000원 선이다. 깨끗한나라 관계자는 “반려동물용품 시장에서 소비자 대상 입지를 넓히는 데 다이소 입점이 도움이 될 것으로 판단했다”고 말했다.대기업 입점이 가장 활발한 분야는 화장품이다. 초저가 화장품이 인기를 끌면서LG생활건강과 아모레퍼시픽이 올해 다이소에 입점했다.LG생활건강은 4월 온더바디의 세컨드 브랜드인 ‘퓨어더마’를, 아모레퍼시픽도 9월 ‘미모 바이 마몽드’를 출시해 다이소에 처음 입점했다. 화장품 용량을 줄이는 방식으로 판매 가격을 5000원 이하로 책정했다.애경산업은 1998년 출시한 국내 최초 여드름 케어 브랜드 ‘에이솔루션’을 지난해 다이소에 입점시키더니 지난달엔 색조 화장품 중심의 ‘투에딧 바이 루나’도 출시했다. 종근당건강도 다이소 전용 브랜드 ‘클리덤’을 내놓고 콜라겐 화장품을 판매하고 있다.대기업들이 다이소에 입점하는 주된 이유는 오프라인 유통 채널 중 다이소만큼 빠르게 성장하는 곳이 없기 때문이다. 전국 다이소 매장은 작년 기준 1519개로 2019년(1361개) 대비 158개(12%) 늘었다. 같은 기간 매출은 2조2362억원에서 3조4604억원으로 55% 급증했다. 유통 업계 관계자는 “대형 마트나 이커머스 같은 기존 판로 외에 다이소를 주요 유통 채널로 삼는 기업들이 점점 많아지고 있다”고 했다."
