date,title,content
2024-12-31,﻿상속 없이 주식 부자 된 인물 2위는 방시혁…1위는?,"방시혁 하이브 이사회 의장(왼쪽), 박순재 알테오젠 대표. /뉴스1국내 주식부호 상위 50명 중 상속 대신 창업으로 부를 쌓은 인물이 10년 전에 비해 2배 이상 늘어난 것으로 나타났다.31일 기업분석연구소 리더스인덱스에 따르면 지난 27일 기준 국내 주식부호 현황을 10년 전(2014년 12월 20일)과 비교해 조사한 결과, 주식부호 상위 50명 중 ‘창업 부호’는 5명에서 12명으로 140% 증가했다.이번 조사는 10년 전 부호 순위와 비교한 것으로, 올해는 개인별 보유 주식을 연말 종가로 계산했다. 비상장사 보유지분은 순자산가치에 보유지분율로 평가해 반영했다.창업 부호 중에서는 박순재 알테오젠 대표(8위)가 50인에서 가장 높은 순위를 차지했다. 이어 방시혁 하이브 이사회 의장(10위), 박현주 미래에셋그룹 회장(11위), 김범수 카카오 경영쇄신위원장(12위), 장병규 크래프톤 이사회 의장(13위), 서정진 셀트리온 회장(18위), 이중근 부영그룹 회장(19위0, 이동채 에코프로그룹 전 회장(20위), 이해진 네이버 글로벌투자책임자(23위) 등이 뒤를 이었다.방준혁 넷마블 이사회 의장(24위), 박진영JYP엔터테인먼트 대표 프로듀서(40위), 김상헌DN그룹 회장(41위)도 새롭게 명단에 포함됐다.창업부호를 탄생시킨 업종은 10년 새 크게 달라졌다. 10년 전에는 고(故) 김정주 넥슨 창업주(11위), 김범수 당시 다음카카오 이사회 의장(12위), 이해진 네이버이사회 의장(22위) 등 정보기술(IT) 분야가 주를 이뤘으나 올해에는 엔터테인먼트, 바이오, 이차전지 등으로 다양해졌다.지난 10년간 창업부호 6명, 상속형 부호 12명 등 총 18명이 새롭게 주식부호 상위 50위 명단에 이름을 올렸다. 신규 진입한 주식부호 중 지분가치가 가장 높은 부호는 조정호 메리츠금융 회장(9조9213억원·2위)이다.전체 주식부호 1위는 10년간 삼성그룹 오너일가가 지키고 있다. 10년 전에는 이건희 선대 회장이 12조912억원으로 1위였으나 현재는 이재용 삼성전자 회장이 12조1671억원으로 그 자리를 대신하고 있다. 다만 이 회장의 삼성 계열사 보유 가치는 크게 떨어졌다. 연초 이 회장이 보유한 주식 지분은 14조3755억원이었지만, 1년 새 그 가치가 15.4%(2조2084억원) 하락한 것으로 집계됐다.이 회장 외에 다른 삼성가 3명도 상위권을 차지했다. 홍라희 전 삼성미술관 리움 관장(5조4824억원‧3위), 이부진 호텔신라 사장(4조9023억원‧4위), 이서현 삼성물산 전략기획담당 사장(4조2336억원‧6위)이다. 이들은 10년 전에는 주식부호 순위 10위권 밖에 있었으나 상속과 함께 보유 자산을 키운 것으로 분석됐다.여성 부호는 현재 기준 총 7명으로, 모두 상속으로 부를 일궜다. 홍라희 전 리움 관장, 이부진 사장, 이서현 사장, 최기원SK행복나눔재단 이사장(30위), 김영식 여사(故 구본무LG선대회장 부인‧36위), 이명희 신세계그룹 회장(49위) 등 6명은 10년 전에도 주식부호 50위 안에 들었다. 여기에 구연경LG복지재단 대표(45위)가 새로 포함되면서 1명이 더 늘어났다.주식부호 50인의 평균 나이는 10년 전 55.9세에서 올해는 61.3세로 5.4년 많아졌다. 정기선HD현대 수석부회장(39위)이 42세로 가장 나이가 적었으며 정몽구 현대자동차 명예회장(5위)이 86세로 최고령이었다.주식부호 상위 50명의 지분 가치는 84조1235억원에서 86조798억원으로 10년간 2.3% 증가하는 데 그쳤다. 이 기간 코스피‧코스닥 시장 가치가 1311조원에서 2319조원으로 76.9% 늘어난 것과는 크게 차이 난다. 리더스인덱스는 “지난 10년 동안 경영권 승계와 상속 과정에서 보유 지분이 분산된 데다, 새롭게 편입된 창업 부호들의 지분가치가 올해 들어 하락한 것이 주된 원인”이라고 분석했다."
2024-09-10,‘경영 복귀’ 에코프로그룹 이동채… 첫 목표는 ‘배터리소재 가격파괴’,"간담회서 “안주하면 회사 사라져”연매출 약 7조원대 국내 최대 배터리 소재 기업 에코프로그룹의 이동채<사진>전 회장이 경영 일선에 복귀했다. 이 전 회장은 복귀 후 직원 간담회에서 전기차·배터리 업계에 닥친 캐즘(일시적 수요 정체)을 언급하며 “에코프로도 현재에 안주하다가는 3~4년 뒤에 사라질 수 있다”며 향후 글로벌 선두 기업과 협력을 강화한 ‘배터리 소재 가격 파괴’를 목표로 제시했다.에코프로그룹은 이 전 회장이 이달 초 충북 청주시 오창 본사에서 중국 전구체(양극재 중간 재료) 제조사인GEM의 쉬카이화 회장, 왕민 부회장을 만나GEM이 보유한 인도네시아 제련소 인수 등을 논의했다고 9일 밝혔다.GEM은 세계 1위 전구체 제조 기업으로 에코프로와 약 10년간 협력 관계를 이어오고 있다.1998년 자본금 1억원에서 출발한 에코프로는 작년 삼원계 배터리용 양극재 출하량 세계 1위 기업으로, 현재 약 3500명을 고용한 대기업으로 성장했다. 작년 연결 기준 매출 7조2590억원으로, 현재 충북 오창, 경북 포항 국내 사업장 외에도 헝가리, 캐나다 등에 생산 거점을 확충하고 있다.이 전 회장은 최근 직원 간담회에서 캐즘 위기와 돌파구를 여러번 강조했다고 한다. 이 전 회장은 “2~3년 전만 해도 전기차의 모든 배터리는 삼원계가 차지할 것으로 예상해 너도나도 증설 경쟁에 나서 과잉 투자를 해왔다”며 “캐즘이 상당 기간 지속될 것”이라고 했다. 에코프로도SK온, 포드와 추진 중인 캐나다 합작 공장 속도 조절에 들어갔다.그러면서 이 전 회장은 “지난 10년과GEM과 맺어온 돈독한 신뢰를 기반으로 제련, 전구체, 양극소재를 아우르는 통합 시스템을 구축할 사업을 인도네시아에서 추진할 것”이라고 했다.GEM은 현재 인도네시아에서 연간 15만t의 니켈을 생산할 수 있는 제련소를 운영하고 있다. 니켈은 에코프로 등 K배터리 기업의 주력인 삼원계 배터리에서 원가의 약 40%를 차지한다. 저렴한 가격을 내세운 중국 기업의LFP(리튬인산철) 배터리와 경쟁하기 위해선 원가 인하가 당면 과제다. 에코프로 관계자는 “GEM제련소를 통해 니켈을 저렴하게 공급받고, 기술 경쟁력을 더해 ‘가격 혁신’을 추구할 것”이라고 밝혔다. 에코프로 창업주이자 현재 최대 주주(18.83%)인 이 전 회장은 지난달 광복절 특별사면을 받은 후 이사회에서 상임고문으로 임명됐다."
2024-09-09,"이동채 전 에코프로 회장 경영 복귀…“캐즘 돌파구 찾아야, 안주하면 3~4년 뒤 기업 사라질 수 있어”","에코프로 최대주주인 이동채 전 에코프로 회장이 광복절 특별사면 후 약 한 달 만에 경영에 복귀했다. 전기차·배터리 캐즘(일시적 수요 정체) 돌파구를 찾기 위해 글로벌 기업과 소재 분야 협력을 강화한다는 계획이다.이동채(가운데) 전 에코프로 회장은 최근 허개화GEM회장(오른쪽), 왕민GEM부회장(왼쪽)과 충북 청주시 에코프로 본사에서 인도네시아 소재 사업 협력 방안을 논의했다./에코프로에코프로는 이 전 회장이 최근 충북 청주시 오창에 있는 에코프로 본사에서 중국 전구체 제조사인GEM허개화 회장과 만나 인도네시아 사업 협력을 논의했다고 9일 밝혔다. 양극재 제조 계열사인 에코프로비엠이GEM과 양극재 소재 생태계 전반을 아우르는 사업을 인도네시아에서 추진하고, 에코프로머티리얼즈는GEM의 인니 니켈 제련소 지분을 인수해 전구체에 이어 제련업에 진출하기로 했다.GEM은 2001년 설립된 중국 1위의 리사이클 업체로서 연간 30만t 전구체 생산 능력을 보유하고 있고, 인도네시아에서는 연간 15만 t을 생산할 수 있는 니켈 제련소를 운영 중이다.이 전 회장은 이 같은 내용을 임직원에게도 공유하며 캐즘 돌파구 모색을 강조했다고 한다. 이 전 회장은 “파괴적 혁신 없이 현재의 캐즘을 돌파할 수 없다”라며 “지난 10년동안GEM과 맺어온 돈독한 신뢰를 기반으로 제련, 전구체, 양극소재를 아우르는 통합시스템을 구축할 사업을 인도네시아에서 추진키로 했다”라고 말했다.허GEM회장도 “이 전 회장, 에코프로와 10년 동안 협력을 바탕으로 현재의 배터리 소재 사업의 위기를 타개하기 위해 한 몸이 되기로 했다”라며 “하이니켈 분야의 세계적 강자인 에코프로와 협력을 공고히 하고 기술혁신을 통해 최후의 승자가 될 것”이라고 설명했다.이 전 에코프로 회장은 “과잉 캐파로 인한 캐즘이 상당 기간 지속할 것인데, 에코프로도 현재에 안주하다가는 3~4년 뒤에는 사라질 수 있다”라며 “GEM과 함께 구축하는 통합 밸류 체인이 배터리 캐즘을 극복하는 돌파구가 될 것”이라고 말했다. 에코프로는 이와 관련GEM과 실무작업을 추진할TF를 구성하고 이른 시일 내에 사업 구도를 마무리 지을 계획이다."
2024-09-02,에코프로 과장급 ‘5000만원’ 받는다,"2년전 약속 ‘RSU25만주’ 지급에코프로그룹이 다음 달 임직원들에게 수백억 원 상당의RSU(양도제한조건부주식)를 지급한다고 1일 밝혔다.RSU는 회사가 보유한 자사주를 임직원에게 주기로 약정한 뒤, 일정 기간이 지나서 지급하는 주식이다. 직원들이 회사의 장기적인 성장에 기여하도록 동기부여하는 성과 보상 제도로 부상하고 있다.에코프로그룹은 지난 2022년 9월 당시 재직하던 2706명에게 2024~2025년이 되면 회사 주식 25만4913만주를RSU로 지급하기로 했다. 이에 따라 다음 달과 내년 10월에 절반씩 나눠 지급할 예정이다. 당시 개인별 직급·근속 연수·연봉 등을 종합 고려해 2022년 당시 연봉의 15∼20% 수준으로 책정됐다.에코프로 과장급의 경우 당시 1400만원 상당의RSU를 약정 받았으나, 주가 상승 효과로 5000만원 상당의 보상을 받게 된다. 에코프로 주가가 2022년 9월 2만5000원대였으나, 현재 8만5600원까지 올랐기 때문이다. 에코프로비엠은 주가가 2022년 9월 10만원대에서 현재 16만원대로 오른 상태다. 물론 직원들이 최종 매도를 언제 하느냐에 따라 최종 수익은 달라질 수 있다.한편, 에코프로그룹의 지주사 에코프로는 ‘전기차 캐즘(수요 정체)’ 여파로 올 상반기 영업손실액 845억원을 내며 적자 전환했다. 양극재 생산 자회사 에코프로비엠의 영업이익도 전년 동기 대비 95% 감소했다."
2024-04-02,에코프로가 찾은 돌파구는 ‘원가혁신’,"‘2년내 30% 절감’ 목표로TF구성이차전지 소재 기업 에코프로는 앞으로 2년 안에 생산 원가 30% 절감을 달성하기 위해 ‘원가 혁신TF(태스크포스)’를 구성했다고 1일 밝혔다. 작년 하반기부터 본격화한 전기차·배터리 시장 캐즘(Chasm·대중화 전 일시적 수요 둔화기)을 극복하려는 것이다.에코프로는 이날 충북 오창 본사에서 2분기 조회식을 열고, 6월 말까지 약 100일 동안 제품별 원가를 분석하고 현재 수준을 평가해 앞으로 2년 내 원가 30%를 절감할 방안을 도출한다는 목표를 제시했다. 원가 혁신TF는 가공비, 원재료비, 투자비 및 생산성 세 분과로 나뉘어 주요 제품별 원가를 분석한다.연초 수립했던 임직원KPI(핵심성과지표)도 원가 절감 등 혁신 지표를 대폭 반영해 재수립하기로 했다. 올해 연말 사장단 및 임원 인사에도 혁신 지표를 주요 기준으로 삼기로 했다.에코프로는 임원뿐 아니라 모든 직원의 혁신 의욕을 고취하기 위해 아이디어 공모전을 열고, 수상자에게 상금과 승진 가점을 부여하기로 했다. 또, 아이디어가 실제 이행돼 성과를 낼 경우 그에 상응하는 성과급도 부여하기로 했다. 송호준 에코프로 대표는 “혁신 성과는 철저하게 혁신한 임직원에게만 돌려드리기 위해 제도화할 것”이라고 했다."
2024-11-03,"캐즘 극복나선 에코프로, 기아타이거즈 우승 비결 배운다","배터리 소재 기업 에코프로는 2024 프로야구에서 우승한 기아의 비결을 임직원에게 5가지 성공 요인으로 분석해 공유했다고 3일 밝혔다. 전기차·배터리 캐즘(일시적 수요 정체) 한파를 극복해야 하는 배터리 산업이 프로야구 시즌 초반 부진을 딛고 우승까지 달성한 기아의 성공을 분석해 기업 경영에서 배울 점을 찾겠다는 것이다.지난달 28일 광주 기아챔피언스필드에서 열린 프로야구 '2024 신한SOL뱅크KBO포스트시즌' 한국시리즈 5차전 삼성 라이온즈와KIA타이거즈의 경기에서 7대5로 승리하며 시리즈 전적 4대1로 통합 우승을 차지한KIA이범호 감독 및 선수들이 환호하고 있다./뉴스1에코프로 사내 홍보 채널인 ‘에코톡톡’은 지난달 30일 ‘천만 관중 시대 연 프로야구에 경영의ABC가 들어 있다’는 제목의 콘텐츠를 통해 기아의 우승 비결을 △신구(新舊)의 조화, △포수의 희생정신, △데이터의 중요성, △위기 뒤 기회, △ 리더의 소통 능력 등 다섯 가지 요인을 꼽아 임직원들에게 소개했다.기아는 시즌 초반 주축 투수들의 잦은 부상, 예상치 못한 에이스 외국인 투수의 부상 등 우려 요인이 많았지만 이범호 감독의 리더십과 탄탄한 팀워크를 바탕으로 정규리그, 한국시리즈 모두 우승을 차지했다.에코톡톡은 기아의 우승 요인으로 첫 번째 ‘신구 세대의 조화’를 꼽았다. 선수단 노장 선수의 경험과 신예 선수들의 도전정신이 시너지를 낸 것이 우승 비결 중 하나라고 분석했다. 기업 역시 풍부한 경험을 갖춘 원로들과 패기 넘치는 젊은 인재들이 도전정신을 발휘할 때 경쟁력을 극대화할 수 있다고 에코톡톡은 분석했다.에코프로 사내 홍보 채널 에코톡톡에 올라온 콘텐츠 표지 사진./에코프로두 번째 요인은 ‘포수의 희생정신’이다. 프로야구에서 모든 스포트라이트는 타자와 투수에게 쏠린다. 하지만 한 경기당 27개의 아웃카운트를 잡아내는 ‘팀의 살림꾼’ 포수의 희생정신이 없으면 경기에서 이길 수 없다. 포수는 감독의 사인을 야수에게 전달하고 수비 위치를 조정하는 등 마운드 위의 플레잉 코치이며, 때로는 홈으로 쇄도하는 상대팀 주자를 육탄으로 막아내는 궂은 일도 도맡는다. 에코톡톡은 “기업에서도 드러나지 않지만 분야별로 희생정신을 바탕으로 묵묵히 조직을 위해 자신을 던지는 직원들의 성과를 인정하고 대우해줘야 한다”며 “현장의 운영 직원들은 야구경기로 비유하면 포수 역할”이라고 설명했다.세 번째 요인은 ‘데이터 활용 능력’ 이다. 기아는 데이터 분석을 통해 타자들 체력이 6월에 급격히 떨어지면서 승률이 낮다는 것을 분석하고 체력 훈련에 집중했던 것으로 알려졌다. 야구에서 감독들이 데이터를 활용해 전략을 짜고 용병술을 구사하는 것처럼 기업 역시 데이터의 활용 능력이 회사의 성장에 매우 중요한 부문이다. 문제의 원인을 해결하는 데 생산 현장의 데이터가 ‘키(key)가 되고 연구개발도 실패한 실험의 데이터 분석을 통해 성공 확률을 높여 나간다.네 번째 요인은 위기 뒤에는 반드시 기회가 온다는 것이다. 야구에서 병살타로 득점 기회를 살리지 못하면 다음 이닝에 위기에 빠지게 되며 반대로 상대팀을 병살 처리하면 다음 이닝에 승기를 잡는 경우가 많다. 경영도 마찬가지로 위기 상황에서 많은 기업이 도태될 때 슬기롭게 위기를 극복한 기업은 위기 뒤 찾아오는 기회를 통해 독보적인 성장을 이룰 수 있다.마지막으로, 에코톡톡은 리더의 소통 능력에 주목했다. 기아타이거즈 이범호 감독은 올해 초만 해도 1군 타격 코치였지만, 시즌 개막 전 전지훈련 도중 감독직을 맡았다. 이범호 감독은 선수단으로 들어가 함께 몸을 부딪치며 훈련에 임했고 활발한 소통을 통해 어수선했던 팀 분위기를 하나로 모을 수 있었다고 에코톡톡은 분석했다.에코프로 관계자는 “기아 타이거즈의 우승 과정을 보면 조직의 융합, 구성원의 희생정신, 솔선수범하는 리더 등 기업 경영에 참고될 만한 요인들이 많다”며 “프로야구팀들의 부침은 기업의 부침과 흡사한 점이 많기에 우승한 팀을 통해 성공 요인을 벤치마킹하는 것은 기업경영에도 큰 도움이 된다”고 말했다."
2024-03-11,"에코프로, 공장 증설 등 올해 국내 1.2조원 투자","에코프로 포항캠퍼스 전경. /에코프로 제공이차전지 소재 기업 에코프로는 생산 거점인 경북 포항캠퍼스를 중심으로 올해 국내에 1조2000억원을 투자한다고 10일 밝혔다.에코프로는 배터리 소재 분야에서 전구체 공장 증설에 6900억원을 투자하고, 양극재와 수산화리튬 공장 증설에 각각 3200억원, 1600억원을 투자한다는 계획이다. 에코프로가 지난 2020년부터 51만여㎡ 규모로 조성 중인 포항캠퍼스는 총 4개 사이트로 구성돼 있는데 올해 투자금액을 포함해 5년간 포항캠퍼스에 투입되는 총 투자액은 5조5000억원에 이른다.에코프로 관계자는 “폐배터리 재활용부터 전구체 및 수산화리튬 제조, 양극재 생산까지 이차전지 생태계 조성을 고도화해 미래 시장을 선점할 것”이라며 “내년 포항 4캠퍼스가 본격 가동되면 지금 2200여 명인 임직원이 3000명 정도로 늘어 일자리 창출에도 기여할 것”이라고 했다."
2024-01-22,"에코프로, 임직원 90%가 지방 출신이라는데","배터리 소재 기업 에코프로는 임직원 10명 가운데 9명이 서울·수도권이 아닌 지방 출신이라고 21일 밝혔다. 에코프로는 충북 청주시 오창에 본사를 두고, 경북 포항에 주요 생산 공장을 운영하고 있다.에코프로머티리얼즈 사옥 전경.(에코프로머티리얼즈 제공)에코프로에 따르면, 작년 말 기준 전체 임직원 3362명 중 3017명(89.7%)은 지방에 주소지를 두고 있다. 서울·인천·경기 등 수도권 출신 직원은 345명(10.3%)이다. 출신 학교에서도 지방대, 지방 소재 고등학교를 졸업한 직원이 2867명으로 전체의 85.3%에 달했다. 에코프로 관계자는 “국내 시가총액 30위권 이내 기업 중 지역 인재 비율이 90%에 달하는 기업은 에코프로가 유일하다”고 했다.에코프로의 충북 오창 사업장에 근무하는 직원 1200여 명은 대부분 충청 지역 대학·고등학교 출신이다. 양질의 일자리로 분류되는 상용 근로자 기준, 충북은 2020년 45만8900명에서 지난해 50만5800명으로 증가했다. 경북의 상용 근로자 수는 같은 기간 63만8400명에서 65만500명으로 증가했다. 에코프로 관계자는 “창업주 이동채 전 회장은 평소 지방 인구 감소와 소멸화를 막기 위해 기업의 책무를 강조해왔다”고 했다."
2024-01-21,에코프로 직원 10명 중 9명은 지역 인재…“지방 일자리 기여”,"배터리 소재 기업 에코프로는 임직원 10명 가운데 9명이 서울·수도권이 아닌 지방 인재 출신이라고 21일 밝혔다. 충북 청주시 오창에 본사를 두고, 경북 포항에 주요 생산 거점이 있는 에코프로는 지속적으로 지역 인재 채용을 확대하고 있다.에코프로비엠 청주 오창 본사 전경./에코프로에코프로에 따르면, 지난해 말 기준 회사 전체 직원 3362명 중 3017명(89.7%)은 지방에 주소지를 두고 있다. 서울, 인천, 경기 등 수도권 출신 직원은 345명(10.3%)에 그쳤다.출신대학 및 고등학교별로 분석해도 지방대, 지방 소재 고등학교를 졸업한 직원은 2867명으로 전체 85.3%에 달했다. 계열사별 지방 출신 비중은 에코프로씨엔지(97.4%), 에코프로머티리얼즈(96.1%), 에코프로이엠(94.8%), 에코프로이노베이션(94.7%), 에코프로비엠(92.5%)이었다. 에코프로 관계자는 “국내 시가총액 30위권 이내 기업 중 지역 인재 비율이 90% 달하는 기업은 에코프로가 유일하다”고 했다.에코프로는 지방의 일자리 질 향상에도 기여했다는 평가를 받는다. 본사가 있는 충북 오창에 근무하는 직원은 약 1200명으로 대부분 충청지역 대학·고등학교 출신이다. 통계청에 따르면 에코프로 본사가 있는 충북 지역에서 양질의 일자리로 꼽히는 상용근로자 수는 2020년 45만8900명에서 지난해 50만5800명으로 증가했다. 생산공장이 있는 포항캠퍼스를 포함한 경북의 상용근로자 수는 같은 기간 63만8400명에서 65만500명으로 증가했다. 에코프로는 2025년까지 약 2조5000억원을 투자해 포항에 제2포항캠퍼스를 조성할 방침이다.에코프로 관계자는 “창업주인 이동채 전 회장은 에코프로가 지역을 기반으로 성장해 글로벌 이차전지 소재 기업으로 발돋움한 만큼 지방 인구 감소와 소멸화를 방지하기 위해 기업인으로서의 책무를 다해야 한다고 강조해 왔다”고 설명했다."
2023-12-21,"에코프로, 공익재단 설립","이동채 前 회장 등 1000억 출연이차전지 소재 기업 에코프로는 지방의 문화·예술·교육 인프라 지원을 위해 1000억원을 출연한 공익재단을 만든다고 20일 밝혔다. 재단 설립 지원을 위해 에코프로그룹 창업주인 이동채 전 회장 가족이 소유한 컨설팅 기업 데이지파트너스가 약 1000억원을 출연한다. 데이지파트너스는 에코프로 지분 5.37%를 보유하고 있다. 재단은 내년 3월쯤 설립을 위한 법적 절차가 마무리될 예정이다. 에코프로는 “공익재단 설립은 지방에서 사업을 일으켜 세계적 기업으로 발돋움한 에코프로 성장 모델의 연장선상에서 서울과 수도권보다 상대적으로 낙후한 지역의 문화·예술·교육 인프라를 개선하는 것이 목적”이라고 설명했다. 창업주인 이 전 회장은 충북 오창 본사, 포항 생산 기지를 바탕으로 기업을 키웠고, 오래전부터 지방 인구 감소와 소멸 방지를 위해 기업인으로서 책무를 고민하다가 공익재단 설립을 구상했다고 회사 측은 전했다. 에코프로는 “앞으로 재단 출연 기금을 5000억원 규모로 늘릴 계획”이라고 했다."
