date,title,content
2023-12-06,에코프로비엠 11월 이후 64% 급등… 증권가선 또 “고평가”,"개인이 1431억 순매수에코프로비엠 청주 오창 본사. /에코프로 제공코스닥 시가총액 1위 기업 에코프로비엠의 주가가 대규모 공급 계약 체결 소식 등에 힘입어 지난달부터 60% 넘게 급등했다. 하지만 증권가에선 에코프로비엠 주가가 고평가 돼 있다는 지적이 잇따르고 있다.이차전지 핵심 소재인 양극재 생산 기업 에코프로비엠 주가는 지난달 1일 18만8600원에서 5일 30만8500원까지 63.6% 급등했다. 삼성SDI와 43조원 규모의 양극재 공급 계약을 체결했다는 소식이 전해진 지난 4일엔 15.4%나 폭등하기도 했다.주가 상승세를 뒷받침한 것은 개인 투자자였다. 개인은 11월 이후 에코프로비엠 주식을 1431억원어치 순매수(매수가 매도보다 많은 것)했다. 반면 외국인과 기관은 각각 968억원, 574억원어치 순매도했다.대규모 계약이란 호재에 개인들은 열광하지만, 에코프로비엠에 대한 여의도 증권가의 시선은 차갑다. 유진투자증권은 ‘매도’ 투자 의견을 유지했다. 한병화 연구원은 “글로벌 배터리 밸류체인에서 국내 양극재 업체들만 지나치게 높은 밸류에이션(평가 가치)을 받는 상황으로, 일시적인 수급 요인을 제외하면 정당화되기 어렵다”고 말했다.대신증권은 목표 주가를 30만원에서 25만원으로 낮췄다. 전창현 연구원은 “중장기 생산 확장 계획과 그룹사를 통한 밸류체인 수직 계열화 등은 긍정적이지만, 밸류에이션 부담을 고려할 필요가 있다”고 했다. 하이투자증권은 ‘중립’ 투자 의견을 유지했다. 정원석 연구원은 “전기차 배터리 수요 둔화 우려, 내년 11월 미국 대선에서 정권 교체 가능성이 부각되는 등 바이든 정부의 친환경 정책의 불확실성이 커지는 점을 고려할 때 주가 상승 여력은 제한적”이라고 했다."
2023-12-01,"에코프로비엠, 삼성SDI에 5년간 44조원 규모 양극재 공급","이차전지 소재 기업 에코프로비엠이 배터리 제조사 삼성SDI에 앞으로 5년간 44조원 규모의 하이니켈 양극재를 공급한다. 연평균 8조8000억원 규모로 지난 4월 포스코퓨처엠-LG에너지솔루션(7년간 30조원), 지난 1월 포스코퓨처엠-삼성SDI(10년간 40조원) 계약을 뛰어넘는 대형 계약이다.에코프로비엠 청주 오창 본사 전경./에코프로에코프로비엠은 1일 “2024 1월 1일부터 2028년까지 5년간 삼성SDI에 약 43조8676억원 규모의 하이니켈 양극재를 공급하는 계약을 체결했다”고 공시했다. 에코프로비엠은 삼성SDI의 국내외 배터리 공장에 하이니켈NCA양극재를 공급하게 된다.양극재는 배터리 용량과 출력을 결정하는 핵심 소재로 전기차 배터리 원가의 40% 이상을 차지하는데, 에코프로비엠은 니켈 함량이 높은 니켈·코발트·알루미늄(NCA) 하이니켈 양극재 글로벌 1위 기업이다.에코프로비엠은 2022년 말 기준 연산 약 18만t 양극재 생산능력을 보유해,LFP(리튬인산철)를 제외한 양극재 시장에서 글로벌 점유율 1위(약 6.6%)를 기록했다. 에코프로비엠과 삼성SDI는 2011년 첫 양극재 공급을 시작한 이래 지금까지 긴밀한 협력을 이어오고 있다. 2021년에는 양사 합작으로 양극재 기업 ‘에코프로이엠’도 설립했다."
2023-12-02,"에코프로비엠, 44조원 규모 양극재 삼성SDI에 5년 공급","이차전지 소재 기업 에코프로비엠은 1일 “2024년 1월 1일부터 2028년까지 5년간 삼성SDI에 약 43조8676억원 규모의 하이니켈 양극재를 공급하는 계약을 체결했다”고 공시했다. 연평균 8조8000억원 규모로 지난 4월 포스코퓨처엠과LG에너지솔루션(7년간 30조원) 계약보다 많다.양극재는 이차전지 핵심 소재로, 특히 니켈 함량을 80~90%대로 높인 하이니켈 양극재는 배터리 출력과 성능을 향상시켜 고성능 전기차에 주로 쓰인다. 에코프로비엠은 2022년 말 기준 연산 약 18만t 양극재 생산능력을 보유하고 있다. 에코프로비엠은 삼성SDI의 국내외 배터리 공장에 하이니켈 양극재를 공급하게 된다. 양사는 앞서 2021년 양극재 합작기업 ‘에코프로이엠’도 설립했다."
2023-05-04,에코프로비엠에 이례적 ‘매도 의견’ 보고서,에코프로비엠 본사 /에코프로 제공코스닥 시가총액 1위 에코프로비엠에 대해 ‘매도’ 의견의 증권사 보고서가 나왔다. 국내 증권사들은 특정 종목에 대한 매도 의견을 거의 제시하지 않기 때문에 이번 매도 의견은 이례적이다.3일 한병화 유진투자증권 연구원은 2차전지 소재 기업인 에코프로비엠에 대한 투자 의견을 종전 ‘중립’에서 ‘매도’로 하향 조정했다. 지난 3월 말 주가가 과열권에 있다며 ‘매수’에서 ‘중립’으로 투자 의견을 내린 지 한달여 만이다.한 연구원은 “현재 주가는 2030년까지의 예상 성장을 반영한 상태”라며 “2030년에 가까워질수록 전기차와 배터리 시장의 성장률이 10%대로 낮아지기 때문에 적용 평가가치(밸류에이션)가 하향되는 건 합리적”이라고 했다.국내 업체에 유럽과 일본 업체들까지 더해져 증설 경쟁 강도가 높아진 상황도 지적했다. 그러면서 “결론적으로 2030년까지 에코프로비엠의 성장이 예정대로 진행된다는 가정하에 우리 증권사는 20만원 이상의 주가는 고평가라 판단한다”고 했다. 이날 에코프로비엠 주가는 6.6% 하락한 24만9500원을 기록했다. 목표주가보다는 5만원쯤 높다.앞서 김현수 하나증권 연구원도 지난달 에코프로비엠의 지주 회사 에코프로에 대해 ‘매도’ 의견을 제시해 투자자들의 주목을 받았다.
2024-09-02,에코프로 과장급 ‘5000만원’ 받는다,"2년전 약속 ‘RSU25만주’ 지급에코프로그룹이 다음 달 임직원들에게 수백억 원 상당의RSU(양도제한조건부주식)를 지급한다고 1일 밝혔다.RSU는 회사가 보유한 자사주를 임직원에게 주기로 약정한 뒤, 일정 기간이 지나서 지급하는 주식이다. 직원들이 회사의 장기적인 성장에 기여하도록 동기부여하는 성과 보상 제도로 부상하고 있다.에코프로그룹은 지난 2022년 9월 당시 재직하던 2706명에게 2024~2025년이 되면 회사 주식 25만4913만주를RSU로 지급하기로 했다. 이에 따라 다음 달과 내년 10월에 절반씩 나눠 지급할 예정이다. 당시 개인별 직급·근속 연수·연봉 등을 종합 고려해 2022년 당시 연봉의 15∼20% 수준으로 책정됐다.에코프로 과장급의 경우 당시 1400만원 상당의RSU를 약정 받았으나, 주가 상승 효과로 5000만원 상당의 보상을 받게 된다. 에코프로 주가가 2022년 9월 2만5000원대였으나, 현재 8만5600원까지 올랐기 때문이다. 에코프로비엠은 주가가 2022년 9월 10만원대에서 현재 16만원대로 오른 상태다. 물론 직원들이 최종 매도를 언제 하느냐에 따라 최종 수익은 달라질 수 있다.한편, 에코프로그룹의 지주사 에코프로는 ‘전기차 캐즘(수요 정체)’ 여파로 올 상반기 영업손실액 845억원을 내며 적자 전환했다. 양극재 생산 자회사 에코프로비엠의 영업이익도 전년 동기 대비 95% 감소했다."
2022-01-27,"에코프로비엠, 주식 내부자거래 혐의로 수사","주가 19% 떨어져24일 청주 에코프로비엠 공장이 화재로 검게 그을려 있다. /연합뉴스2차 전지 소재 생산 업체로 최근 코스닥 시가총액 1위에 올랐던 에코프로비엠이 주식 내부자거래 혐의로 검찰 수사를 받고 있는 것으로 알려졌다. 26일 금융당국과 금융투자업계 등에 따르면, 금융위원회 자본시장조사단은 지난해 9월 여러 차례에 걸쳐 에코프로비엠 현장 조사를 진행했다. 남부지검 금융·증권범죄수사협력단도 압수수색을 실시했고, 모 회사인 에코프로의 핵심 임원들이 피의자로 입건된 것으로 알려졌다.26일 오후 이 같은 소식이 알려지자 에코프로비엠 주가는 전날보다 19.15% 하락한 32만8500원에 마감했다.주요 혐의는 2020년 2월 3일SK이노베이션과 에코프로비엠이 맺은 2조7412억원 규모의 장기공급계약 공시 이전에 핵심 임원들이 내부정보를 이용해 주식거래를 했다는 내용이다. 공시 당일 주가는 20.98% 급등했고, 전날까지 5만원대였던 주가는 공시 날부터 9거래일 연속 상승해 9만원대를 넘어섰다.금융위는 사건을 인지한 뒤 패스트트랙으로 사건을 처리했다. 증권선물위원회 등을 거치지 않고 검찰과 협력해 압수수색 등 즉각적인 수사에 나서는 방식이다. 혐의가 어느 정도 드러났거나 빠른 조사가 필요할 때 택하는 조치로, 핵심 피의자들의 증거인멸 우려가 있을 때 진행한다. 수사 당국은 일부 임원들이 가족, 지인 등 차명으로 주식거래를 했는지도 들여다보는 것으로 전해졌다."
2022-01-26,“코스닥 시총 1위 딱 하루 하더니”…2차전지 대장주 에코프로비엠 19% 급락,"[왕개미연구소]24일 청주 에코프로비엠 공장이 화재로 검게 그을려 있다. /연합뉴스최근 코스닥 시가총액 1위에 올랐던 2차 전지 기업 에코프로비엠이 주식 내부자거래 혐의로 검찰 수사를 받고 있다는 소식에 26일 급락했다.이날 에코프로비엠은 전날보다 19.1% 하락한 32만8500원에 마감했다. 이날 오전만 해도 주가가 41만2500원까지 오르면서 양호한 흐름을 보였지만, 오후 2시 50분쯤 금융당국 조사를 받고 있다는 소식이 나오면서 급락했다.에코프로비엠은 지난 2020년 2월SK이노베이션과 2조7412억원 규모의 장기공급 계약을 했는데, 공시 이전 핵심 임원들이 내부 정보를 이용해 주식 거래를 한 것으로 알려졌다. 계약 공시 당일 주가는 21% 가량 뛰었다. 공시 이후에도 상승세는 계속 이어져서 5만원대였던 주가는 9거래일 만에 9만원대를 넘겼다.2차 전지 관련 기업인 에코프로비엠은 실적 기대감으로 최근 1년 동안 120% 넘게 상승했다. 지난 18일 4년 11개월 동안 코스닥 시총 1위 자리를 지켜왔던 셀트리온헬스케어를 제치고 코스닥 시총 1위에 올라 화제가 됐다. 다음 날 셀트리온헬스케어 주가가 반등하면서 시총 1위 자리는 내줬다.에코프로비엠은 공인회계사 출신인 이동채 회장이 지난 1998년 세운 2차 전지 전문기업으로, 국내 1위 양극재 제조사다. 양극재는 전기차 배터리 원가의 50%를 차지하는 핵심 부품이다.2차 전지 대장주인 에코프로비엠 주가 급락으로, 2차전지 관련 상장지수펀드(ETF)도 적잖은 타격을 입을 전망이다.TIGER2차전지테마ETF는 이날 2.7% 하락해 2만원에 마감했고,KODEX2차전지산업ETF는 4.3% 하락해 1만9480원에 마쳤다. 두ETF의 시가총액은 2조3000억원에 달한다."
2022-01-19,"에코프로비엠, 코스닥 시총 1위 등극","2차전지株, 1년새 127% 뛰어셀트리온헬스케어 2위로 밀려18일 코스닥 시장에서 2차 전지 관련주인 에코프로비엠이 시가총액 1위에 올랐다. 셀트리온헬스케어가 2018년 2월 9일부터 지켜온 ‘코스닥 대장주’ 자리를 차지하게 됐다. 이날 에코프로비엠은 전날보다 0.74% 오른 43만8300원에 마감했다. 시가총액은 10조456억원으로, 셀트리온헬스케어(10조148억원)를 시총 1위 자리에서 밀어냈다. 셀트리온헬스케어는 셀트리온 그룹과 관련한 분식회계 의혹이 불거지면서 최근 4거래일 연속 주가가 하락하면서 약세다. 지난 2020년 말만 해도 시가총액이 27조원에 육박했지만, 지금은 10조원대로 줄어들었다. 셀트리온헬스케어의 약세 탓도 있지만, 전기차의 ‘심장’이라고 할 수 있는 2차전지 관련 기업인 에코프로비엠은 실적 기대감에 힘입어 최근 1년 동안 127% 상승했다. 에코프로비엠은 공인회계사 출신인 이동채 회장이 지난 1998년 세운 2차 전지 전문기업으로, 국내 1위 양극재 제조사다. 양극재는 전기차 배터리 원가의 50%를 차지하는 핵심 부품이다."
2023-08-18,"SK온·에코프로비엠·포드, 캐나다에 양극재 합작공장 건설","SK온이 양극재 생산 업체 에코프로비엠, 미국 완성차 업체 포드와 함께 캐나다에 합작공장을 세운다.SK온과 에코프로비엠, 포드의 캐나다 배터리 양극재 합작공장 조감도. /SK온3사는 17일(현지 시각) 캐나다 퀘백주 베캉쿠아시에서 양극재 공장 건설을 공식 발표했다. 베캉쿠아시 산업단지 내 27만8000㎡(8만4000평) 부지에 총 12억캐나다달러(약 1조2000억원)를 투자해 합작공장을 짓는다는 계획이다. 연산 4만5000t 규모로 2026년 상반기 가동이 목표다.에코프로비엠이 지난 2월 설립한 현지 법인 ‘에코프로 캠 캐나다’가 공장을 운영하고,SK온과 포드는 지분을 투자한다. 캐나다 연방정부와 퀘벡 주정부는 총 6억4400만캐나다달러(약 6400억원) 규모의 재정 지원을 약속했다.SK온 관계자는 “이번 합작공장을 통해 북미에서 소재(양극재), 부품(배터리), 완제품(전기차)으로 이어지는 밸류체인을 공고하게 구축하고, 배터리 핵심 소재의 안정적인 공급이 가능해졌다”고 했다. 이미 세 업체는 에코프로비엠의 양극재로SK온이NCM9 배터리를 만들고, 포드가 이를 대형 전기 픽업트럭인F-150 라이트닝에 공급하는 협업 체계를 구축한 상태다. 이번 공장 건설을 통해 이런 협력 체계가 더욱 공고해졌다는 것이다.캐나다는 미국과 자유무역협정(FTA)을 체결했기 때문에, 미국의 인플레이션 감축법(IRA) 대응도 한층 수월해질 것으로 기대된다. 캐나다에서 생산된 양극재는IRA의 핵심 광물 보조금 요건을 충족한다.SK온은 현재 북미에서 배터리 공장 2개를 운영하고 있고, 완성차 업체들과의 합작법인을 통해 총 4개의 공장을 더 건설할 예정이다. 이 공장들이 완공되면SK온의 북미 연간 배터리 생산 규모는 180GWh(기가와트시)를 넘게 된다. 이는 전기차 170만대 이상에 배터리를 공급할 수 있는 양이다. 에코프로비엠은 현재 국내 18만t 규모의 양극재 생산능력을 2027년 총 71만t까지 늘리겠다는 계획이다."
2023-08-19,"SK온·에코프로비엠·포드, 캐나다에 양극재 합작공장","1조2000억원 투자… 2026년 가동배터리 제조 기업인SK온이 양극재 생산 업체 에코프로비엠, 미국 완성차 업체 포드와 함께 캐나다에 총 12억 캐나다 달러(약 1조2000억원)를 투자해 매년 4만5000t의 이차전지용 양극재를 생산할 수 있는 공장을 짓는다. 양극재는 배터리 성능을 좌우하는 핵심 소재로, 3사는 이를 통해 북미 지역에서 소재(양극재), 부품(배터리), 완제품(전기차)으로 이어지는 밸류체인을 강화하게 된다.3사는 17일(현지 시각) 캐나다 퀘백주 베캉쿠아시 산업단지 내 27만8000㎡(8만4000평) 부지에 2026년 상반기 가동을 목표로 이 같은 합작 공장을 건설한다고 발표했다. 에코프로비엠이 지난 2월 설립한 캐나다 현지 법인 ‘에코프로 캠 캐나다’가 공장을 운영하고,SK온과 포드는 지분 투자를 하는 식이다. 캐나다 연방정부와 퀘벡 주정부도 총 6억4400만 캐나다 달러(약 6400억원) 규모의 재정 지원을 약속했다.앞서SK온과 포드는 지난해 총 10조2000억원을 투자해 북미 합작 법인 블루오벌SK를 설립하고, 미국 내 총 3개의 배터리 합작공장을 추진하고 있다. 이 공장에서 에코프로비엠의 양극재를 공급받아SK온이 배터리를 만들고, 이를 포드의 전기 트럭F-150 라이트닝에 공급할 예정이다. 여기에다 양극재를 전문적으로 생산하는 이번 캐나다 합작 공장 건설을 통해 협력 체계가 더 공고해졌다는 평가가 나온다."
