date,title,content
2024-12-14,"영풍정밀, 장형진 영풍 고문 등에 9300억 손배소","“MBK측에 유리한 조건으로고려아연 지분 넘겨 주주 손해”서울 종로구 고려아연의 모습. /뉴스1최윤범 고려아연 회장 측이 지분의 70% 이상을 가진 회사인 영풍정밀이 장형진 영풍 고문과 박영민·배상윤 대표 등 영풍 등기이사 5명을 상대로 9300억원대의 손해배상 소송을 제기했다. 영풍정밀은 영풍의 지분 4.39%를 보유한 주요 주주이면서, 고려아연 지분도 1.8% 갖고 있다.영풍정밀은 13일 “지난 10일 서울중앙지법에 장 고문 등을 상대로 9300억원대의 주주대표 손해배상 소송을 제기했다”고 했다. 영풍정밀은 고려아연 경영권 분쟁 과정에서, 장 고문 등이MBK측에 유리한 조건으로 영풍이 가진 고려아연 지분을 넘긴 탓에 영풍 주주들이 그만큼 손해를 보게 됐다고 주장한다.영풍은 지난 9월 고려아연 경영권 분쟁이 시작될 때MBK가 요구할 경우 보유하고 있는 고려아연 지분 약 274만주를 넘기도록 콜옵션을 줬다. 영풍정밀은 이때MBK가 매수할 수 있는 주식 가격이 9월 주식 공개매수 당시 가격인 1주당 66만원이라고 의심한다.영풍정밀은 “영풍 강성두 사장은 공식 석상에서 고려아연 주식을 추후 매각할 경우 주가가 100만원 이상이 될 것이라고 입장을 밝힌 바 있는데,MBK가 1주당 66만원에 274만주를 사면 9300억원대의 이익을 보게 되는 셈”이라고 했다. 그만큼 영풍 주주들이 피해를 본다는 것이다.그러나 재계에서는 향후 고려아연 주가 흐름을 예측할 수 없고,MBK측의 매수 가격 역시 영풍정밀 측 추정일 뿐이라 향후 법적 분쟁이 어떻게 흘러갈지 현재로선 단정할 수 없다는 의견도 있다."
2024-10-23,영풍정밀 공개매수 성공… 고려아연서 경영권 지켜,"오늘 고려아연 공개매수도 마감양측은 회견·입장문 통해 설전고려아연 이사회가 열린 지난 11일 오전 서울 종로구 고려아연 본사 안내판의 모습. /뉴스1MBK·영풍 연합과 경영권 분쟁 중인 고려아연 최윤범 회장 측이 22일 승부처 중 하나였던 영풍정밀 공개 매수에 성공했다. 고려아연 지분 1.85%를 보유한 영풍정밀은 경영권 분쟁 승부처로 꼽혀 양측 모두 공개 매수에 나섰는데, 지난 14일 먼저 끝난MBK공개 매수에는 목표 물량의 0.01%(830주)만 모였다.최 회장 측 영풍정밀 공개 매수 주관사는 이날 지난 21일까지 진행된 공개 매수 청약 결과를 공지했다. 최대 매수 목표로 제시한 551만2500주 중 549만2083주(99.6%)가 청약해 사실상 목표 물량을 달성하고 영풍정밀 경영권을 지켰다.양측이 지난 한 달여간 경쟁한 공개 매수는 오는 23일 마감하는 최 회장 측의 고려아연 자사주 공개 매수로 우선 일단락될 예정이다.MBK는 지난 14일 종료된 고려아연 공개 매수에서 지분 5.34%를 추가 확보해 지분율을 38%까지 올렸다.이와 관련해 고려아연 박기덕 사장은 22일 오전 서울 중구 코리아나호텔에서 기자회견을 열고MBK측은 고려아연을 경영할 의지도 전문성도 없다고 비판했다. 박 사장은 “MBK는 오로지 거대 자본만을 무기로 상대방을 기습적으로 밀어붙여 돈이 되는 회사를 헐값에 약탈하는 기업 사냥꾼일 뿐”이라며 “고려아연의 사업과 가치를 분석하거나 평가하고 논할 전문성도 능력도 없다”고 했다. 또, 두 차례 법원에서 기각된MBK측의 ‘고려아연 자사주 매입 금지·중지’ 가처분과 관련해 “시장 질서 교란에 해당돼MBK측 공개 매수는 적법성과 유효성에 중대한 법적 하자가 발생할 수 있다”고 주장했다.이에 대해MBK측은 입장문을 내고 “주주들이MBK측 공개 매수에 참여한 건 최윤범 회장의 전횡으로 기업 거버넌스가 훼손됐고 주주 가치가 하락했다는 최대 주주(영풍 측)의 우려를 지지했기 때문”이라고 반박했다."
2024-10-11,"고려아연 최윤범 회장 측, 영풍정밀 공개매수가 3만→3만5000원 인상","최윤범 고려아연 회장 측이MBK-영풍과 공개매수 경쟁을 벌이는 영풍정밀 공개매수 가격을 기존 3만원에서 3만5000원으로 올린다.최윤범 고려아연 회장이 2024년 10월 2일 오후 서울 용산구 그랜드하얏트 호텔에서 열린 고려아연 기자회견에 참석해 발언하고 있다. /김지호 기자11일 영풍정밀은 주식시장 개장 전 공시를 통해 최윤범 회장 측의 특수목적법인(SPC) 제리코파트너스가 진행하는 영풍정밀 공개매수와 관련해 공개매수 가격을 3만5000원으로 정정한다고 밝혔다.영풍정밀은 고려아연 지분 1.85%를 보유하고 있어, 양측 경영권 분쟁의 ‘캐스팅보트’로 꼽혔다. 지난달 13일MBK측이 먼저 2만원에 공개매수를 시작했다가 2만5000원으로 인상했고, 최 회장 측이 ‘맞불’ 공개매수에 나서며 3만원에 공개매수를 시작했다. 이후 지난 4일MBK측도 영풍정밀 공개매수가를 3만원으로 올리면서 양측의 가격 경쟁이 계속 이어졌다."
2024-10-11,금융 당국 개입으로… 영풍정밀 주가 7.5% 급락,"고려아연·MBK경영권 분쟁일러스트=조선디자인랩·Midjourney국내 산업계 최대 규모의 적대적 M&A로 진행되던 고려아연 경영권 분쟁이 금융 당국의 개입으로까지 확대되면서 ‘돈의 전쟁’이 주춤한 사이 10일 관련 기업들의 주가도 일단 하락 및 보합세를 보였다.이날 증권가에 따르면, 최근 한 달 새 경영권 분쟁 바람을 타고 급등했던 고려아연, 영풍정밀 주가는 공개매수 가격을 밑돌았다. 고려아연 지분 1.85%를 보유해MBK-영풍과 고려아연 최윤범 회장 간의 경영권 분쟁에 있어 ‘캐스팅 보트’로 꼽힌 영풍정밀 주가는 이날 7.54% 급락하며 3만1250원을 기록했다. 공개매수 이전 9000원대였던 영풍정밀 주가는 최근 장중 3만6700원까지 올랐었다. 고려아연 주가는 이날 전날 대비 1.68% 소폭 상승에 그치며 78만9000원을 기록했다.그래픽=김성규현재 양측의 공개매수 가격은 주당 고려아연 83만원, 영풍정밀 3만원이다. 금융소득 규모에 따라 차이는 있지만 공개매수 주주는 대략 10~20%대 세금이 예상된다. 현재 주가는 장중 주식을 매입해 공개매수에 참여하면 세금까지 내고 나면 손해를 보는 가격대다. 지난 9일MBK가 “더 이상 고려아연과 영풍정밀 공개매수 가격을 높이지 않겠다”고 밝히는 등 공개매수 가격 추가 인상 가능성이 작아지자 일단 시장도 관망한 것으로 풀이됐다.다만, ‘가격 유지’를 밝힌MBK와 달리 최 회장 측은 추가 인상 가능성이 남아있다. 공개매수 가격이 같은 상황에서 세금이나 종료일 조건에서 불리할 가능성이 큰 최 회장 측은 경영권 방어를 위해 추가 공개매수 가격 인상이 불가피하기 때문이다.고려아연은 11일 오전 이사회를 열기로 했다. 이날 최 회장 측이 공개매수 가격 인상을 논의할 가능성이 크다. 관련법에 따라 기존 종료일(23)이 연장되지 않고 가격을 올릴 수 있는 마지막 날이 11일이기 때문이다. 11일 이사회에서 의결하고 공시 등 후속 절차를 여기면 주말 휴일을 제외하고,MBK공개매수 종료일인 14일에 주주들에게 더 높은 가격을 제시할 수 있다.다만, 지난 8일 금융감독원이 양측 공개매수 경쟁과 관련해 시세조종 등 불공정거래에 대해 조사를 착수하며 ‘경고’ 수위를 높인 것은 부담이다."
2024-10-07,"고려아연, 영풍정밀 공개 매수 가격 또 올릴 듯","현재 3만원… 오늘 이사회서 논의영풍정밀 “MBK연합은 배임”사모 펀드MBK와 영풍 연합에 맞서 고려아연 경영권 분쟁을 벌이는 최윤범 고려아연 회장 측이 7일 계열사 영풍정밀에 대한 대항 공개 매수 가격을 올릴 방침인 것으로 알려졌다.6일 재계와IB(투자은행) 업계 등에 따르면, 최윤범 회장과 최창규 영풍정밀 회장 등 최씨 일가가 출자해 만든 특수 목적 법인(SPC) 제리코파트너스는 7일 오전 이사회를 열어 영풍정밀 공개 매수 가격을 높이는 방안을 논의한다. 영풍정밀은 고려아연 지분 1.85%를 갖고 있어 이번 분쟁의 핵심 승부처로 꼽힌다. 최씨 일가는 영풍정밀 지분 약 35%를 보유하며 현재 경영권을 갖고 있다. 장형진 영풍 고문 등MBK·영풍 측은 약 21%다.MBK의 경우 지난달 13일 1주당 2만원으로 영풍정밀 주식 공개 매수를 시작, 지난달 26일 2만5000원으로 가격을 한 번 올렸다. 지난 2일 최씨 일가 측이 주당 3만원으로 대항 공개 매수에 나서자MBK는 이틀 뒤 같은 가격으로 매입가를 또 올렸다. 여기에 7일 최씨 일가가 또 ‘맞불’을 놓을 기세다.약 4주 새 공개 매수 가격이 50% 치솟으면서 같은 기간 영풍정밀 주가는 9370원(지난달 12일)에서 3만1850원(지난 4일)으로 240% 올랐다. 공개 매수 이후에는 주가가 이전 수준으로 돌아갈 수 있어, 뒤늦게 투자에 나선 사람들이 피해를 볼 우려도 있다. 영풍정밀은 지난 6월 말 기준 소액 주주 8208명이 전체 지분의 약 36%(약 574만주)를 들고 있다.한편 영풍정밀은 이날 서울중앙지법에 “영풍 측 장형진 고문과 사외이사 등이MBK와 연합해 고려아연 공개 매수에 나선 것은MBK에만 유리하고 영풍 법인에는 손해를 끼치는 결정”이라며 이들이 맺은 계약 효력을 중지해달라는 가처분 신청을 냈다. 영풍정밀은 고려아연뿐만 아니라 영풍 지분도 4.39% 가진 주주다."
2024-10-04,"‘고려아연 맞불’ MBK 측, 영풍정밀 공개매수가 재인상","주당 2만5000원서 3만원으로고려아연 경영권 분쟁을 벌이고 있는 사모펀드MBK와 영풍 측이 영풍정밀 공개매수가를 주당 3만원으로 인상하기로 했다. 영풍정밀은 고려아연 지분 1.85%를 보유한 주요 관계사로, 고려아연 경영권 확보를 위한 핵심 기업이다. 현재MBK·영풍 측이 공개 매수를 진행 중인 가운데 고려아연 현 경영진인 최씨 일가가 대항 공개매수에 나서자 재차 인상으로 맞불을 놓은 것이다. 양측의 경영권 분쟁이 끝없는 ‘치킨게임’ 양상으로 번지고 있다.3일 투자은행(IB) 업계에 따르면,MBK·영풍 연합은 영풍정밀 공개매수가를 4일부터 기존 2만5000원에서 3만원으로 인상하기로 했다. 지난달 13일 2만원으로 시작한 공개매수가를 2만5000원으로 한 차례 올린 데 이어 두 번째 인상이다. 당초 이달 6일까지 진행하기로 했던 공개 매수 기간도 14일까지로 연장한다.이는 최씨 일가가 지난 2일부터 21일까지 주당 3만원에 영풍정밀 주식 393만7500주(25%)를 사들이는 대항 공개매수에 나선 것에 대한 반격의 성격이다. 현재 최씨 일가는 최창규 회장과 최윤범 회장 등을 포함해 영풍정밀 지분 35.45%를 보유하고 있다. 장형진 영풍 고문 등 장씨 일가의 지분율(21.25%) 대비 10%포인트 이상 높다. 영풍정밀은 시가총액이 4000억원가량으로 상대적으로 경영권 수성(守城)에 들어가는 비용이 적다. 영풍정밀 경영권을 확보하는 기업은 상대 측의 지분 손실까지 감안하면 3.7%의 고려아연 지분을 확보하는 효과가 있다.업계에선MBK가 현재 진행 중인 고려아연 공개매수 가격을 기존 75만원에서, 4일 시작되는 고려아연의 자사주 매입가(83만원)보다 높게 올릴 가능성도 있다고 보고 있다."
2024-10-10,"영풍정밀 10%대 급락... 막판 협상, 고려아연 추가 인상 가능성 주목","사진=뉴시스, 김지호기자,  연합뉴스 /그래픽=백형선고려아연 경영권 분쟁의 승부처인 영풍정밀 주가가 10일 오전 10% 급락하며 3만원대로 내려 앉았다. 고려아연은 오전 10시40분 현재 전거래일과 비슷한 77만원대에 거래되고 있다. 전날MBK파트너스가 공개 매수 가격을 더 이상 올리지 않겠다고 밝힌 이후 약세를 보이고 있다. 지난 8일 금융감독원의 경고 이후 경영권 분쟁 양측과 시장이 소강 상태에 접어들었다.고려아연 지분의 1.85%를 보유해 ‘핵심 승부처’로 꼽히는 영풍정밀의 현재 주가는 양측 공개매수가인 3만원에 맞춰 하락한 것이다.MBK와 영풍 연합은 지난달 주당 2만원에 공개 매수를 시작했다가 2만5000원으로 올렸고, 고려아연 현 경영진인 최윤범 회장 측이 3만원을 제시하자 지난 4일 3만원으로 ‘맞불’을 놓은 상태다. 고려아연 공개매수가는 양측 모두 83만원이다.MBK는 9일 입장문에서 “고려아연의 주당 83만원, 영풍정밀 주당 3만원의 공개매수 가격은 각 회사의 현재 적정가치 대비 충분히 높은 가격”이라고 밝힌 바 있다.업계에선 양측이 여전히 치열한 수싸움을 벌이고 있다고 본다.MBK가 일단 금융당국의 지적을 수용하는 모습을 보이는 것 같지만, 사실은 고려아연 측 역시 매수가를 인상하지 못하게 부담을 준 전략이란 것이다. 만약 양 측 모두 추가 가격 인상없이 승부를 이어가면, 공개 매수가 14일에 끝나는MBK측이 고려아연(23일 종료)보다 더 유리하다는 평가다. 또 계속되는 ‘치킨게임’으로 고려아연과 영풍정밀 인수 가격이 지나치게 높아지면MBK측이 향후 투자금 회수에 부담이 될 것을 고려한 조치로 해석된다.시장의 관심은 양측의 막판 타협 가능성과 고려아연 측의 공개 매수가 추가 인상에 쏠려있다. 고려아연은 9일 “법원이 허용하여 진행 중인 자기주식 공개매수 및 소각을 완료해 자사주 취득을 통한 주주환원과 주주가치 제고에 최선을 다하겠다”는 입장을 내놨다. 시장에선 고려아연 측이MBK측보다 조금이라도 고려아연, 영풍정밀 공개매수가를 올려MBK의 공개 매수를 저지하고 과반 지분 확보에 나설 가능성이 있다고 본다.법원 결정도 변수다. 현재MBK측이 신청한 고려아연의 자사주 공개매수 절차 중지 가처분에서, 법원이MBK측 손을 들어줄 경우 14일MBK측 공개 매수가 실패로 끝이 나더라도 고려아연 측의 자사주 매입이 중단될 가능성이 크기 때문이다. 그러면MBK가 ‘2차 공개 매수’를 시작해 경영권 확보를 시도할 수 있다. 법원 결정은 21일 전후로 나올 전망이다."
2024-10-10,MBK “추가 가격 인상 안 한다”… 더 치열해지는 수싸움,"금감원의 고려아연 사태 압박,  외견상 수긍하는 모습이지만김광일MBK파트너스 부회장이 지난 9월 19일 오전 서울 중구 롯데호텔에서 열린MBK파트너스 고려아연 공개매수 관련 기자간담회에 입장하고 있다. /뉴스1주식 공개 매수를 통해 고려아연 경영권 확보를 노리는MBK와 영풍 측이 9일 “더 이상 고려아연과 영풍정밀의 공개 매수 가격을 높이지 않겠다”고 발표했다.MBK측은 지난달 13일부터 고려아연은 1주당 66만원에, 영풍정밀은 1주당 2만원에 공개 매수를 시작했다. 고려아연 현 경영진인 최윤범 회장 측이 지난 2일 여기에 맞서 자사주 매입과 대항 공개 매수를 하고,MBK도 4일 매수 가격을 또 높이면서 양측이 제시한 매수 가격은 고려아연 83만원, 영풍정밀 3만원까지 올랐다. 이런 국면에서MBK가 먼저 “최윤범 회장 측이 매수 가격을 올려도 우리는 추가 인상을 하지 않겠다”고 밝힌 것이다.이날 재계와 자본시장 안팎에서는MBK발표에 다양한 노림수가 반영돼 있다는 분석이 나왔다. 출혈 경쟁을 지양하겠다는 ‘명분’을 내세운 것 같지만, 실제로는 가격 인상 부담을 덜고 현재 상대적으로 불리한 처지에서 가격 인상을 검토 중인 고려아연을 압박하는 등의 실리가 담긴 선택이라는 것이다.◇”추가 인상 없다”에 담긴 수싸움고려아연 경영권 분쟁이 과열되자 지난 8일 이복현 금융감독원장은 “위법 행위가 없는지 엄정하게 조사하겠다”고 했다.MBK도 이에 수긍하듯 이날 “지금 이상의 가격 경쟁은 고려아연과 영풍정밀 재무 구조에 부담을 주게 돼, 기업 가치 및 주주 가치를 떨어뜨리고 글로벌 경쟁력을 악화시킨다”고 밝혔다.속내는 복잡하다는 분석이 많다. “우리는 금융 당국의 지적을 수용한다”는 모습이지만 사실은 고려아연 측이 매수 가격을 인상하지 못하게 부담을 주는 전략이기도 하다는 것이다. 현재 양측의 공개 매수 가격은 똑같은데, 만약 과열 우려를 의식해 둘 다 추가 가격 인상 없이 승부를 이어간다면 오는 14일 공개 매수가 고려아연(23일) 측보다 먼저 끝이 나는MBK가 더 유리하다.조건도MBK가 더 좋다는 평가가 있다.MBK공개 매수는 양도소득세(세율 22~27.5%)를 내는데, 고려아연 자사주 매입에 응하면 배당소득세(세율 15.4%)를 낸다. 하지만 금융 소득이 연 2000만원 넘는 개인 투자자는 여기에다 최대 49.5% 세율의 금융소득종합과세 대상까지 될 수 있다.매수 가격이 오르며MBK측의 실질 부담이 커진다는 점도 감안된 것으로 보인다. 사모펀드인MBK는 장기적으로 고려아연 지분을 매각해 수익을 내야 하는데, 평소 50만원대의 고려아연 주식을 90만원대로 사들이면 5~6년 뒤에도 투자금 회수가 쉽지 않을 것이란 예상이 많다. 거기다 정부가 고려아연을 국가 핵심 기술 보유 기업으로 지정하는 것을 검토하고 있다. 국가 핵심 기술을 보유한 기업은 해외 인수·합병(M&A) 때 정부 승인을 받아야 해,MBK입장에선 해외 매각이 어려워져 이만한 회사를 매수할 곳을 국내에서 찾는 것도 부담이다.MBK는 대신 앞으로 고려아연 측의 법적 리스크를 더 부각할 것으로 보인다. 지난 2일 고려아연 측이MBK측 공개 매수를 저지하기 위해 자사주 매입을 발표하자,MBK는 “회삿돈으로 자사주를 사서 경영권을 방어하는 것은 배임 소지가 있으니 이를 중단시켜달라”라며 서울중앙지법에 가처분 신청을 냈다. 이르면 21일 전후 결과가 나올 예정이다.◇고려아연 “자사주 매입 계획대로 추진”고려아연 측은 이날MBK입장에 대해 “현재 우리가 진행 중인 자사주 공개 매수 및 소각을 마쳐서 주주 가치를 높이는 것이 시장의 혼란을 최소화하는 것”이라고 했다. 매수 가격을 동결하겠다는 입장에 호응하지 않은 셈이라, 매수 가격 추가 인상을 적극 검토하고 있다는 뜻으로 해석됐다. 시장에서는MBK가 추가 인상을 하지 않겠다고 한 만큼 이르면 11일 상대보다 조금이라도 고려아연, 영풍정밀의 공개 매수 가격을 높여서MBK공개 매수를 저지하는 동시에 과반 지분 확보에 나설 가능성이 높은 것으로 보고 있다.또 남은 핵심 변수는 법원 결정이다. 만약 법원이MBK측의 손을 들어줄 경우, 14일MBK측 공개 매수가 실패로 끝이 나더라도 고려아연 측의 자사주 매입이 중단될 가능성이 크기 때문이다. 그러면MBK가 ‘2차 공개 매수’를 시작해 경영권 확보를 시도할 수 있다. 이 경우 최윤범 회장 측은 대항 공개 매수에 나서기 위해 회사가 아닌 개인 주주 자격으로 대규모 자금을 조달해야 하는 부담이 생긴다."
2024-10-07,‘83만원’ 공개매수 고려아연 2R 돌입…영풍정밀은 또 강세,"주식 공개매수가격이 ‘주당 83만원’까지 오른 고려아연 지분 확보 싸움이 7일 다시 시작됐다. 이날 오전 장 초반 고려아연 주가는 공개매수가격인 83만원에는 미치지 못한 77만원대를 오갔지만, 경영권 분쟁의 핵심인 계열사 영풍정밀 주가는 또 강세를 보였다.7일 오전 서울 종로구 고려아연 본사./뉴시스지난 4일 영풍-MBK측이 공개매수가격을 75만원에서 83만원으로 올려, 먼저 올린 최윤범 고려아연 회장 측과 동일한 조건을 제시하면서 고려아연 지분 경쟁은 ‘연장전’으로 접어들었다. 4일은 휴일을 제외하고 애초MBK측의 공개매수 마감일이었는데, 장중 고려아연 주가가 당시 공개매수가(75만원)보다 높은 수준을 유지하자MBK는 가격 인상으로 공세를 높였다.이날 고려아연 주가는 상대적으로 변동이 크지 않았지만, 양측 경영권 분쟁의 핵심으로 꼽히는 영풍정밀 주가는 장 초반부터 8~9% 급등해 크게 뛰었다. 고려아연 지분 약 1.8%를 보유한 영풍정밀이 경영권 분쟁의 승부처로 꼽히면서, 양측은 공개매수가를 연달아 올리며 영풍정밀 확보 경쟁을 펼치고 있다. 최 회장 측이 영풍정밀 공개매수를 위해 설립한 특수목적법인 제리코파트너스는 이날 이사회를 소집하고 공개매수가를 현재 3만원에서 추가로 더 올릴 것으로 알려졌다.한편, 이날 국회 산업통상자원중소벤처기업위원회 국정감사에는 증인으로 채택됐던 장형진 영풍 고문, 김병주MBK대표, 최윤범 회장 모두 불출석할 예정이다. 장 고문과 김 대표는 해외 출장 등을 이유로, 최 회장은 이사회 참석 등 현안 업무를 이유로 출석할 수 없다고 의견을 낸 것으로 전해졌다."
2024-10-02,"고려아연, 영풍정밀 대항 공개매수 들어가","“자사주 취득 이후 전량 소각할 것”법원, 오늘 가처분 인용 여부 결정최윤범 고려아연 회장(왼쪽)과 장형진 영풍 고문. /뉴스1경영권 분쟁 중인 고려아연의 최윤범 회장 등 최씨 일가가 고려아연의 주요 관계사인 영풍정밀 대항 공개 매수에 나선다. 영풍정밀은 고려아연 지분 1.85%를 보유한 기업으로, 사모 펀드MBK와 영풍 측이 고려아연 지분 확보를 위해 공개 매수를 진행 중인 곳이다. 영풍정밀은 시가총액이 4000억원가량으로 상대적으로 경영권 수성(守城)에 들어가는 비용이 적다.1일 재계에 따르면, 최씨 일가는 2일부터 21일까지 주당 3만원에 영풍정밀 주식 393만7500주(25%)에 대한 공개 매수에 들어간다. 현재 최씨 일가는 최창규 회장과 최윤범 회장 등을 포함해 영풍정밀 지분 35.45%를 보유하고 있다. 장형진 영풍 고문 등 장씨 일가의 지분율(21.25%) 대비 10%포인트 이상 높다.MBK·영풍 측이 지난달 13일부터 이달 6일까지 영풍정밀 대상 공개 매수를 진행 중인 만큼 확고하게 경영권을 지키기 위한 것이다.MBK연합의 공개 매수가는 최초 주당 2만원이었지만 분쟁이 격화하면서 현재 2만5000원까지 가격이 올라갔다. 1일 현재 영풍정밀 주가는 2만5300원이다.또 고려아연 측은 2일 자사주 취득에 대한 법원의 결정이 나오면, 이사회 의결을 거쳐 자사주 매입에 나설 전망이다. 현재MBK측의 공개 매수 단가인 주당 75만원보다 높은 가격이 될 것으로 예상된다. 일각에선 80만원대를 전망한다. 고려아연은 자사주 취득이 허용되면, 이후 이를 전량 소각하겠다는 방침도 밝혔다. 자사주 취득으로 회사의 경영권을 지키고, 취득한 주식을 소각해 주주 환원에 나선다는 명분이다.고려아연의 이 같은 방침은 일각에서 주장하는 배임 논란을 차단하고 법원 결정을 유리하게 끌어내려는 것으로 해석된다. 고려아연 관계자는 “자사주 매입은 특정 주주를 방어하기 위한 것이 아니라 회사 전체를 위한 것으로, 자사주 매입과 소각은 일반 주주들에게도 혜택이 될 것”이라고 했다."
