date,title,content
2024-07-29,6600억대 부당이익 ‘영풍제지 주가조작’ 사건 자금책 구속 기소,"관련자 총 24명 재판 진행 중서울남부지방검찰청./뉴스1‘영풍제지 주가 조작’ 사건의 주요 공범인 자금책이 구속 상태로 재판에 넘겨졌다.서울남부지검 금융·증권범죄합동수사부(부장 공준혁)는 상장사 영풍제지의 주가를 띄워 약 6616억원의 부당이득을 취한 사건의 자금책 김모(69)씨를 지난 26일 구속 기소했다고 29일 밝혔다. 김씨는 총책 이모(55·구속)씨 등과 함께 시세조종을 공모하고 약 170억원의 자금을 제공해 수백억원을 챙긴 혐의(자본시장법위반)를 받는다.영풍제지 주가조작 일당은 2022년 10월부터 작년 10월까지 증권계좌 330여개를 이용해 매수·매도가를 미리 정해놓고 주식을 거래하는 방식 등으로 주가를 끌어올린 것으로 조사됐다. 이에 따라 영풍제지 주가는 2022년 10월 25일 3484원에서 이듬해 10월 4만8400원까지 약 14배 상승했다가 이후 30%가량 급락한 바 있다. 일당이 취한 부당이득은 총 6616억원으로 알려졌다. 단일 종목 주가조작 범행 가운데 역대 최대 규모다.검찰은 작년 10월부터 이달까지 총책 이씨를 비롯한 관련자 24명을 기소했다. 20명은 구속 상태로, 4명은 불구속 상태로 1심 재판이 진행 중이다. 검찰 관계자는 “시세조종 사범 등 금융·증권 범죄를 엄단함으로써 선량한 일반투자자를 보호하겠다”고 밝혔다."
2024-07-15,6600억대 부당이익 ‘영풍제지 주가조작’ 사건 공범 추가 구속,"서울남부지검./뉴스1검찰이 ‘영풍제지 주가조작’에 가담한 시세조종 일당 1명을 추가 구속했다고 15일 밝혔다.서울남부지검 금융·증권범죄합동수사부(부장 공준혁)는 지난 12일 ‘영풍제지 주가조작’ 사건의 자금책 김모(69)씨에 대한 구속영장을 발부받았다고 이날 밝혔다. 1인 기업 대표 김씨는 영풍제지 주가조작 사건의 총책 이모씨에게 100억원대의 자금을 제공하고 시세조종 주문을 제출해 수백억원을 챙긴 혐의(자본시장법 위반)를 받는다.영풍제지 주가조작 일당은 2022년 10월부터 작년 10월까지 증권계좌 330여개를 이용해 매수·매도가를 미리 정해놓고 주식을 거래하는 방식 등으로 주가를 끌어올린 것으로 조사됐다. 이에 따라 영풍제지 주가는 2022년 10월 25일 3484원에서 이듬해 10월 4만8400원까지 약 14배 상승했다가 이후 30%가량 급락한 바 있다. 일당이 취한 부당이득은 총 6616억원으로 알려졌다. 이는 단일 종목 주가조작 범행 가운데 역대 최대 규모다.검찰은 작년 10월부터 올 5월까지 총책 이씨를 비롯한 관련자 23명을 기소했다. 19명은 구속 상태로, 4명은 불구속 상태로 1심 재판을 받고 있다. 검찰 관계자는 “향후에도 시세조종 사범 등 금융·증권 범죄를 엄단함으로써 선량한 개미투자자를 보호하고 시장질서를 어지럽히는 금융·증권사범은 대가를 치르게 됨을 알리겠다”고 밝혔다."
2024-04-09,‘영풍제지 주가조작’ 시세조종 공모자 2명 추가로 구속,"검찰이 영풍제지 주가조작에 가담한 시세조종 일당 2명을 지난 7일과 8일 각각 추가로 구속했다고 9일 밝혔다.영풍제지 불공정 거래 의혹과 관련해 자본시장법 위반 혐의를 받는 김모씨 등 3명이 작년 10월 17일 오후 서울 양천구 서울남부지법에서 열리는 구속 전 피의자심문(영장실질심사)에 출석하는 모습. /뉴스1서울남부지검 금융.증권범죄합동수사부(부장 하동우)는 상장사인 영풍제지 주가를 띄워 총 6166억원 상당의 부당이득을 취득하고 도피하던 피의자 2명을 추적해 검거한 후 지난 7일과 8일 구속했다고 9일 밝혔다.이로써 이 사건으로 구속된 인원은 14명으로 2명 늘었다. 총책 이모(54)씨를 비롯한 주가조작 일당과 이씨의 도피를 도운 운전기사 A씨 등 검찰이 현재까지 재판에 넘긴 이들은 총 16명이다. A씨에 대해서는 지난 5일 1심에서 징역 10개월에 집행유예 2년이 선고됐다. 나머지 15명에 대해서도 현재 1심 재판이 진행되고 있다.검찰에 따르면 이들 일당은 2022년 10월부터 작년 10월까지 13개월 동안 총 330여 개 증권계좌를 이용해 가장･통정매매, 고가매수 주문 등 시세조종 주문을 제출해 영풍제지 주가를 상승시켜 총 6616억원 상당의 부당이득을 취득한 혐의(자본시장법 위반)를 받는다. 2022년 10월 25일 기준 3484원이던 영풍제지 주가는 2023년 10월 17일 4만8400원으로 14배가량 급등했다."
2024-02-14,영풍제지 주가조작 주범 구속기소…부당이득 6600억 단일종목 사상 최대,"MZ조직원들, 한강뷰 초고가 오피스텔서 수억원대 슈퍼카 운전도황우진 서울남부지방검찰청 전문공보관이 14일 서울 양천구 남부지방검찰청에서 영풍제지 주가조작 중간수사결과 발표를 하고 있다. /뉴시스‘영풍제지 주가조작’ 사태를 주도한 뒤 해외로 도주하려다 붙잡혀 구속된 총책이 14일 재판에 넘겨졌다. 주가조작 일당이 이번 사태로 벌어들인 부당이득은 도합 6616억원으로 집계돼 단일종목 사상 최대 규모 주식 범죄로 파악됐다.서울남부지검 금융·증권범죄합동수사부(부장 하동우)는 이날 코스피 상장사 영풍제지의 주가를 조작한 조직의 총책 이모(54)씨를 자본시장법 위반 혐의로 구속 기소하고 주식을 매매해 주가조작에 가담한 그의 여동생 이모(51)씨 등 2인을 같은 혐의로 불구속 기소했다고 밝혔다. 주범 이씨의 도주를 도운 A 법무법인의 사무장 2인도 범인도피 혐의로 이날 불구속 기소됐다. 이로써 재판에 넘겨진 영풍제지 주가조작 사태의 피고인은 16명으로 늘었다. 주가조작 사범은 12명, 범인도피 사범은 4명이다.검찰에 따르면 주가조작 일당은 2022년 10월부터 지난해 10월까지 13개월간 총 330여개 증권계좌를 이용해 가장･통정매매, 고가매수 주문 등 시세조종 주문을 제출해 영풍제지 주가를 상승시켜 총 6616억원 상당의 부당이득을 취득한 혐의(자본시장법 위반)를 받는다. 2022년 10월 25일 기준 3484원이던 영풍제지 주가는 2023년 10월 17일 4만8400원으로 14배가량 급등했다. 이들은 약 1년간 가장·통정매매 14만 8615회(약 1억1788만 주), 고가매수 주문 6만5924회(약 5000만 주), 물량소진 주문 1만2643회(약 1112만 주), 시가관여 주문 98회(약 33만 주), 종가관여 주문 168회(약 38만 주) 등 총 22만7448회(약 1억7965만 주)의 시세조종 주문을 제출했다.이씨의 도피를 도운 일당은 지난해 10월 이씨에게 차량을 제공하고 수억 원 상당의 도피자금을 전달한 혐의(범인도피)를 받는다. 또한 이들은 수사기관의 추적에 혼선을 주기 위해 휴대전화 2대를 다른 장소에 보관·은닉하는 등 이씨에게 각종 편의를 제공하기도 했다.이번 수사는 이씨 일당의 주가조작 혐의를 포착한 금융 당국이 지난해 10월 남부지검에 패스트트랙으로 이 사건을 이첩하면서 시작됐다. 검찰은 신속히 강제수사에 착수해 주요 조직원 4명을 동시에 체포했고, 범행 현장인 사무실을 압수수색해 주요 증거 자료를 확보했다. 금융감독원과 긴밀히 협조한 검찰은 같은달 19일에는 영풍제지 주식에 대해 거래정지 조치가 내려지게 하는 등 이씨 일당의 추가 수익 실현을 차단하기도 했다.수사망이 좁혀오던 지난해 10월 자취를 감춘 이씨는 지난달 24일 밀항 브로커에게 4억8000만원을 건네고 전남 여수에서 베트남으로 향하는 배에 올라탔으나 익명의 신고를 받은 해양경찰에 의해 지난달 25일 제주 해상에서 체포됐다. 이씨의 신병을 인계받은 검찰은 그를 지난달 29일 구속했고 보름이 지난 오늘 기소에 이르렀다.일당은 총책 이씨를 중심으로 총 20명이 3개의 팀을 이뤄 각각 점조직 형태로 나뉘어 범행한 것으로 파악됐다. 당초 검찰은 3개 팀 중 1개 팀만 인지해 부당이득액을 2789억원으로 추정했으나 수사 과정에서 다른 2개 팀을 추가 적발하면서 부당이득액을 6616억원으로 다시 산정했다. 검찰에 따르면 이씨는 1개 팀만 갖고 범행을 시작했지만 갈수록 범행 규모가 커지며 2개 팀을 추가로 구성한 것으로 전해졌다.그중 1개 팀은 20대와 30대로 구성된 일명MZ조직원들로 구성된 팀으로 확인됐다. 이들 조직원들은 동향 출신의 20~30대 또는 과거 같은 유사투자자문회사에서 근무하며 친분을 다진 인물들로 한강 뷰가 펼쳐진 초고가 오피스텔에 거주하면서 수억원대 슈퍼카를 운전했던 것으로 조사됐다. 또한 수억원씩 현금을 소지하며 고가 명품을 구입하고, 총책 이씨와 함께 유흥 목적으로 해외여행을 하거나 수시로 강남 소재 고급 유흥주점에서 거액을 소비하는 등 주가조작 범죄 수익으로 과시적 호화생활을 영위한 것으로도 파악됐다. 이들은 검찰 수사가 개시되자, 먼저 도주한 조직원에게 모든 책임을 떠넘기고 남은 이들은 단순히 계좌를 빌려준 것으로 가장하기로 약속하고 도주한 조직원에 대한 고소장을 작성해두는 모습도 보였다.검찰은 영풍제지 주가조작 사태가 단일 종목에 대해 이뤄진 범행 중 최대 규모로 파악된다고도 했다. 검찰 관계자는 “대부분 단일 종목에 대해서는 500억원 정도 규모로 범행이 이뤄지고 1000억원을 넘는 것도 흔치 않는다”고 했다. 검찰은 7000억대 부당이득을 올린 역대 최대 규모 주가조작 사건SG증권발 폭락사태와 비교했을 때SG사태는 4년에 걸쳐 장기간에 이뤄진 사태인데 반해 영풍제지 사태는 13개월만에 이러진 범죄라는 점, 8개 종목에 대해 이뤄진SG사태와 달리 단일 종목에 대해 이뤄진 범죄라는 점 등을 들어 이범 범죄의 중요성에 대해 역설했다.검찰은 아직 종적을 감춘 주가조직 일당에 대해 체포영장을 발부받아 추적 중이며, 여권무효화, 적색수배 조치가 진행 중인 해외 도주 조직원 1명에 대해서는 사법공조 등을 통해 국내 송환을 추진한다는 방침이다. 주가조작에 관여한 추가 공범을 비롯해 조직원들의 도피를 도운 사법방해사범에 대해서도 계속 수사할 예정이다. 다만 검찰은 지난달 19일부터 시행된 자본시장법상 형벌감면 신청 제도를 활용해 자수 또는 자발적 신고하거나 수사·재판 과정에서 협조하는 경우 감경 구형을 검토할 예정이라고 했다.검찰 관계자는 “피고인들의 범행이 초래한 사회적 피해가 심대하다”며 “그에 상응하는 형이 선고되도록 공소유지에 최선을 다하고, 이들 주가조작 조직이 범행을 통해 취득한 부당이득에 대해서도 끝까지 추적해 범죄수익을 철저히 박탈할 것”이라고 했다. 이어 “시장 질서를 어지럽히는 금융·증권사범은 반드시 대가를 치르고, 범죄수익은 한 푼도 챙길 수 없다는 메시지가 전달되도록 최선을 다하겠다”고도 했다."
2024-01-28,"검찰, 제주 밀항 시도한 ‘영풍제지 주가조작’ 총책 구속영장 청구",제주에서 밀항단속법 위반 혐의로 체포된 영풍제지 주가조작 사태 주범이 숨어있던 어선 선수 창고의 모습. /서귀포해양경찰서검찰이 ‘영풍제지 주가조작 사태’ 총책이자 주범으로 지목된 사채업자 이모씨에 대해 구속영장을 청구했다.서울남부지검 금융증권범죄합동수사부(부장 하동우)는 영풍제지 주가조작 사건에서 자본시장법 위반 혐의를 받는 이모씨에 대해 28일 구속영장을 청구했다고 밝혔다. 이씨가 총책으로 있는 조직은 3만8875회에 걸쳐 코스피 상장사인 ‘영풍제지’의 주식 3597만주를 시세조종해 2789억원의 부당이득을 챙긴 혐의를 받는다.앞서 이씨는 지난 26일 새벽 제주도 해상 선박에서 밀항을 시도하다 경찰에 붙잡혔다. 검찰은 대검찰청으로부터 인력을 지원받아 검거반을 편성해 약 3개월 동안 이씨를 추적해왔다. 검찰은 현재까지 주가조작 일당과 이씨를 도운 조력자 등 총 11명을 구속해 재판에 넘긴 상태다.지난 19일 열린 공판에서 영풍제지 주가조작 일당은 혐의를 대체로 인정하며 “주범의 부탁을 받고 구체적인 사정도 모른 채 주식을 매수·매도했다”고 밝히기도 했다.
2024-01-19,"‘영풍제지 주가조작’ 일당, 법정서 혐의 인정 “주범 지시 따랐다”","영풍제지 불공정 거래 의혹과 관련해 시세 조종을 주도한 것으로 의심되는 신모씨와 김모씨가 2023년 10월 20일 서울 양천구 서울남부지방법원에서 열리는 구속 전 피의자심문(영장실질심사)에 출석하고 있다. 이들은 올해 주가 조작 자금을 모집하는 등 영풍제지 주가를 인위적으로 끌어올린 혐의를 받고 있다. /뉴스1‘영풍제지 주가조작’ 의혹과 관련해 재판에 넘겨진 시세조종 일당이 재판에서 혐의를 대체로 인정했다. 다만 자신들은 현재 도피 중인 주범의 지시에만 따랐다고 주장해 범행 가담 정도에는 이견의 여지가 있다고 항변했다.서울남부지법 형사합의12부(재판장 당우증)는 19일 오전 자본시장과 금융투자업에 관한 법률 위반 등 혐의로 기소된 윤모씨 등 9명과 범인도피 혐의를 받는 정모씨 등 2명에 대한 2차 공판을 진행했다.이날 피고인들은 대부분 혐의를 인정했지만 주범의 지시에 따른 것이라고 했다. 이날 윤모씨의 변호인은 “본인과 가족·지인 명의 계좌를 빌려 영풍제지 주식을 사고판 것은 사실”이라면서도 “시세조종은 도피 중인 주범 이모씨의 지시로 이뤄졌고, 피고인이 의사결정을 하지 않았다”고 했다. 공범 김모씨 측 변호인도 “피고인은 주식거래를 한 것에 대해 반성하고 잘못을 뉘우치고 있다”면서도 “자본시장법을 위반했다는 인식은 작년 5월 이전까지는 없었고, 4월까지는 범죄의 고의가 없는 상태에서 주식거래를 한 것”이라고 했다.이들이 취한 것으로 알려진 2789억원의 부당 이득도 산출 방식이 잘못됐다는 주장이 나왔다. 검찰에 따르면 이들은 작년 영풍제지 주식을 총 3만8875회(3천597만주 상당) 시세조종 해 2789억원 상당의 부당 이득을 취한 혐의를 받는다. 이들의 범행으로 무상증자를 반영한 수정주가 기준으로 지난해 초 5829원이었던 영풍제지는 8월 5만원대까지 올랐다. 연초 이후 10월 17일까지 주가 상승률은 약 730%에 달했다. 윤씨 측 변호인은 “영풍제지 주가 상승이 100% 피고인들의 시세조종 거래에서 이뤄졌다고 보기 어렵기 때문에 부당이득도 재산정돼야 한다”고 했다.영풍제지 주가조작 사건은 작년 7월 이상 주가 흐름을 인지한 금융당국이 검찰에 사건을 이첩하면서 수면 위로 떠올랐다. 검찰은 작년 10월 17일 영풍제지 주가조작에 가담한 것으로 의심되는 윤씨 등에게 체포영장을 발부하고 영풍제지에 대한 압수수색을 단행하는 등 수사에 착수했다.한편 검찰은 주범 이씨의 행방을 계속 쫓는 동시에 조만간 약 5명의 주가조작 공범을 추가 기소할 방침이다.영풍제지 주가조작에 대한 다음 재판은 다음달 21일 열린다."
2024-01-29,‘영풍제지 주가조작’ 총책 구속…“증거인멸·도망 염려”,"제주에서 밀항단속법 위반 혐의로 체포된 영풍제지 주가조작 사태 주범이 숨어있던 어선 선수 창고 모습. /서귀포해양경찰서 제공법원이 ‘영풍제지 주가조작 사태’의 총책이자 주범으로 지목된 사채업자 이모씨에 대해 구속영장을 발부했다. 지난 26일 제주도 해상 선박에서 밀항을 시도하다 경찰에 붙잡힌 지 사흘 만이다.서울남부지법 유환우 영장전담 부장판사는 29일 이씨에 대한 구속영장을 발부했다고 밝혔다. 유 판사는 “증거인멸 및 도망의 염려가 있다”며 영장을 발부했다고 밝혔다.이씨는 이날 오전 10시 30분으로 예정됐던 구속 전 피의자 심문에 출석하지 않겠다고 변호인을 통해 밝혔다. 이씨 변호인은 이날 재판부에 불출석 사유서를 제출했다고 한다.앞서 검찰은 지난 28일 이씨에 대해 자본시장법 위반 혐의로 구속영장을 청구했다. 이씨가 총책으로 있는 일당은 3만8875회에 걸쳐 코스피 상장사인 ‘영풍제지’의 주식 3597만주를 시세조종해 2789억원의 부당이득을 챙긴 혐의를 받아왔다. 검찰은 대검찰청의 인력을 지원받아 검거반을 편성해 약 3개월 동안 이씨를 추적했고, 이씨는 지난 26일 새벽 제주도 해상 선박에서 밀항을 시도하다 경찰에 붙잡혔다."
2023-12-08,‘영풍제지 주가조작' 총책 도피 도운 법무법인 변호사 구속,"영풍제지 주가조작 의혹과 관련해 총책의 도피를 도운 혐의를 받는 변호사 김모씨가 8일 오후 서울 양천구 서울남부지법에서 열린 구속 전 피의자 심문(영장실질심사)에 출석하고 있다./뉴시스‘영풍제지 주가조작' 의혹과 관련해 시세조종 총책의 도피를 도운 혐의를 받는 법무법인 대표 변호사가 구속됐다.서울남부지법 유환우 영장전담 부장판사는 영풍제지 주가조작 총책의 도피를 도운 혐의를 받는 법무법인 대표 변호사 김모씨에 대한 구속영장을 발부했다고 8일 밝혔다. 유 판사는 “도주 우려가 인정된다”며 발부 이유를 설명했다.검찰에 따르면 김씨는 현재 도주 중인 총책 이모씨를 승용차에 태워 도피를 돕고, 수사기관의 위치 추적을 피할 수 있도록 도운 혐의를 받는다.앞서 서울남부지검 금융·증권범죄합동수사부는 지난달 16일에도 김씨에 대한 구속영장을 청구했지만 당시 법원은 “범죄 혐의를 다툴 여지가 있고 도주와 증거인멸의 우려가 있다고 보기 어렵다”며 이를 기각했다. 검찰은 증거와 혐의사실을 보완해 지난 6일 김씨에 대한 구속영장을 재청구했다.현재까지 검찰은 주가조작에 가담한 조직원 7명과 총책의 도피를 도운 운전기사 등 8명을 구속 기소했다. 이들 조직은 3만8875회에 걸쳐 영풍제지 주식 3597만주를 시세조종해 2789억원의 부당이득을 챙긴 혐의를 받는다. 검찰은 대검찰청으로부터 수사 인력을 지원받아 도주 중인 총책을 추적 중이다."
2023-11-04,"영풍제지 주가조작 혐의… 검찰, 일당 4명 구속 기소","서울남부지검 금융·증권범죄합동수사부(부장 하동우)가 ‘영풍제지 주가 조작’ 혐의로 김모씨 등 4명을 3일 구속 기소했다.검찰에 따르면 김씨 등은 작년 10월부터 올해 10월까지 110여 개 계좌를 동원해 3만8875차례에 걸쳐 코스피 상장사인 영풍제지 주가를 인위적으로 끌어올린 혐의 등을 받고 있다. 이들이 주가 조작을 위해 사고판 주식은 3597만주에 이르는 것으로 조사됐다. 이 과정에서 약 2789억원의 부당 이득이 발생한 것으로 검찰은 보고 있다.영풍제지 주가는 작년 10월 3000원대였는데 지난 8월에는 5만원대까지 뛰었다. 올해 들어 지난달 17일까지 주가 상승률이 약 730%로 집계됐다.금융 당국은 지난 8월 영풍제지 주가에 수상한 흐름이 있다는 점을 감지해 조사한 뒤 사건을 검찰에 넘겼다. 이에 따라 검찰은 지난달 20일 김씨 등을 구속했고 같은 달 23일 영풍제지 사무실 등을 압수 수색했다.영풍제지 주식은 거래가 정지됐다가 지난달 26일 거래가 재개된 후 6거래일 연속 하한가를 기록했다. 검찰이 주가조작 일당을 구속 기소한 이날 영풍제지 주가는 전일 대비 5.24% 오른 4220원으로 마감됐다.검찰 관계자는 “공범 등 범행 전모를 확인하기 위해 수사를 계속하는 한편, 범죄 수익 박탈에도 만전을 기할 것”이라고 밝혔다."
2023-11-03,영풍제지 미수금 사태 책임···키움증권 사장 물러날 듯,황현순 키움증권 대표이사. /뉴스1키움증권이 영풍제지 미수금 사태에 대한 경영 책임을 물어 황현순 사장을 경질하기로 가닥을 잡았다.3일 금융투자업계에 따르면 키움증권은 황 사장을 비롯한 주요 임원에 대해 내부적으로 해임 결정을 내린 것으로 알려졌다. 이를 골자로 한 내부 조직개편안은 이달 중 열릴 이사회에서 최종 확정될 예정이다. 키움증권 측은 “아직 이사회 일정 등 결정된 것이 없다”고 했다.이번 인사는 시세조종에 연루된 영풍제지 미수거래를 차단하지 않아 4943억원의 막대한 미수금이 발생한 것에 대한 문책성 성격이 강한 것으로 전해졌다.시세조종 세력의 주도로 영풍제지 주가는 올 들어서만 7배 넘게 올랐다. 한국거래소가 경고 사인을 보내면서 주요 증권사는 올 상반기부터 대부분 영풍제지 미수거래를 막았으나 키움증권에선 지난달 18일 영풍제지 하한가 사태가 터질 때까지 미수거래가 가능했다. 그 결과 4943억원의 미수금이 발생해 회사의 리스크 관리 능력이 도마에 올랐다.이로써 황 대표는 2026년 3월까지인 임기를 다 채우지 못하고 물러나게 됐다. 그는 작년 1월 취임해 임기 1년을 채우고 지난 3월 재선임됐다. 그러나 지난 4월 말 차액결제거래(CFD) 서비스를 이용한 ‘라덕연 사태’에 이어 지난달 ‘영풍제지 하한가 사태’까지 잇따라 주가조작 사건에 휘말리며 퇴진하게 됐다.
