date,title,content
2024-05-24,"오뚜기 3세 함연지, 미국법인 입사해 마케팅 업무","오뚜기 오너가 3세 함연지. /샌드박스오뚜기 함영준 회장의 딸 함연지(32)씨가 오뚜기 미국법인인 오뚜기아메리카에 입사했다.24일 식품업계에 따르면 함씨는 올해 초부터 오뚜기아메리카에서 인턴으로 일해왔고, 최근 정식 입사해 마케팅 업무를 맡고 있는 것으로 알려졌다.함씨는 미국 뉴욕대 티시예술대학을 졸업하고 국내에서 뮤지컬 배우로 활동해 왔다. 또 함씨는 그동안 유튜브 채널을 운영하며 일상을 공개해 왔다. 그러다 지난해 12월 유튜브 활동을 중단하면서 경영에 참여하기 위해 준비를 하는 게 아니냐는 추측이 나오기도 했다.함 회장의 아들인 함윤식씨는 지난 2021년 오뚜기에 입사해 경영관리 부문에서 일하고 있고, 사위이자 함연지씨 남편인 김재우씨는 2018년 오뚜기에 입사했다가 현재 휴직하고 미국에서 유학 중이다. 지난해 11월 함 회장은 사돈이자 함연지씨 시아버지인 김경호 전LG전자 부사장을 글로벌사업본부장(부사장)으로 영입했다."
2023-11-28,"오뚜기, ‘함영준 회장 사돈’ 김경호 전 LG전자 부사장 영입...글로벌사업본부장 맡겨","김경호 오뚜기 글로벌사업본부장. /오뚜기오뚜기가 함영준 회장의 사돈인 김경호(59·사진) 전LG전자 부사장을 영입해 지난 1일 글로벌사업본부장(부사장)으로 선임했다고 28일 밝혔다. 기존 글로벌사업부 조직을 글로벌사업본부로 격상하고 김 부사장에게 초대 본부장을 맡겼다.본격적인 해외 시장 공략을 위한 인사란 설명이다. 오뚜기는 “김 신임 부사장은 글로벌 시장에 대한 높은 이해도와 탁월한 비즈니스 역량을 보유하고 있다”며 “김 부사장 영입을 통해 미래 성장 기반을 다지고 해외 시장에서의 입지를 넓혀가겠다”고 했다.1964년생인 김 부사장은 서울대 국제경제학과를 졸업하고KAIST경영정보시스템 박사 학위를 취득한 뒤 액센츄어 등 컨설팅 업계에서 일했다. 2009년LG전자에 입사해CIO정보전략팀장(전무),BS유럽사업담당(부사장) 등을 거쳤다.한편에선 함 회장이 사돈 관계인 김 부사장을 영입해 중책을 맡김으로써 가족 경영 기조가 더 강화됐다는 얘기도 나온다. 김 부사장은 함영준 회장의 장녀인 뮤지컬배우 함연지씨의 시아버지다. 연지씨 남편이자 김 부사장 아들인 김재우씨도 지난 2018년 오뚜기에 입사해 현재 미국에서 근무 중인 것으로 알려졌다.오뚜기 관계자는 “전문적인 분석과 전략 수립으로 국내외 시장에서 가시적 성과를 거둔 김 부사장이 오뚜기의 글로벌 경쟁력 제고를 이끌 적임자”라며 “급변하는 시장 상황에 기민하게 대응하기 위한 전략을 추진해 글로벌 영향력을 확대해 나갈 것”이라고 말했다."
2024-08-16,"오뚜기, 3분카레·케첩 등 24개 제품 가격 인상… “원료 가격 오른 탓”","오뚜기가 이달 말부터 대형마트·편의점에서 판매하는 가정간편식(HMR), 케첩 등 제품 24개 가격을 평균 10% 인상한다고 16일 밝혔다. 오뚜기 측은 “가격 인상 폭은 7%(케첩)에서 15%(후추류) 사이로 다양하며, 원료 가격으로 인한 압박에 따른 것”이라고 했다.오뚜기는 대형마트, 편의점에서 판매하는 가정간편식(HMR), 케첩 등 24개 제품 가격을 오는 30일부터 최대 15% 인상한다고 16일 밝혔다. 사진은 이날 서울 한 대형마트의 케첩 매대. /연합뉴스대형마트 등에서 판매되는 케첩, 스파게티 소스, 후추와 참기름, 볶음참깨 등 제품 가격은 오는 30일 오른다. 토마토 케첩(300g) 제품은 1980원에서 2100원으로, 참기름(320㎖)은 9590원에서 1만750원으로 각각 오른다. 순후추(50g) 가격은 4845원에서 5560원으로, 볶음참깨(200g)는 5280원에서 5960원으로 인상된다. 편의점에선 ‘3분카레’ 등HMR제품과 케첩, 스파게티 소스, 후추 가격이 다음달 1일부로 인상된다. 가격 인상 폭은 10~15%로 예상된다.오뚜기 관계자는 “케첩이나 스파게티·파스타 소스 등의 원료인 토마토 페이스트는 지난해 8월 대비 가격이 30% 올랐고, 후추류는 90% 올랐다”며 “정부 요청에 따라 가격 인상을 한 차례 보류했지만, 더 이상은 버티기 어렵다는 판단에 따라 가격을 인상한 것”이라고 했다. 오뚜기는 지난해 12월 1일부로 이들 제품 가격을 올리기로 했다가 가격 인상을 자제해달라는 정부 요청을 받아들여 철회했다."
2023-09-14,"공정위, ‘부당 내부거래 혐의’ 오뚜기·광동제약 현장 조사","정부 세종청사 공정거래위원회공정거래위원회가 오뚜기와 광동제약 등 중견기업들의 부당 지원 혐의에 대한 조사에 착수한 것으로 파악됐다.14일 공정위는 오뚜기와 광동제약에 조사관을 보내 현장 조사를 진행했다고 밝혔다. 공정위는 중견 기업집단의 내부거래 현황에 대한 모니터링 결과 다수 집단의 부당 지원 혐의를 포착한 것으로 전해졌다.공정위 관계자는 “연초부터 중견 기업집단이 승계 등을 위해 내부 회사의 경쟁력을 높여주는 등의 부당 지원 행위를 중점적으로 감시해왔고, 이번 조사도 그 연장선상에 있다”고 했다.이날 한기정 공정거래위원장은 취임 1주년 기자간담회에서 “중견 기업집단은 이사회에서 총수가 차지하는 비중이 높아 대내외적 감시를 덜 받는데, 국민 생활과 밀접한 제약과 식품 등 업종에서 높은 영향력을 지니고 있다”며 “시장 지배력이 높은 중견 집단의 부당 내부거래에 대해서는 대기업과 다름없이 엄정히 법을 집행하겠다”고 밝혔다."
2024-12-03,컵라면 전성시대… 年 10억개 팔린다,"10년 새 매출 2배로 늘어그래픽=박상훈컵라면 매출이 가파르게 늘고 있다. 작년 국내 매출이 처음으로 1조원을 넘겼고 올해는 1조386억원을 올릴 것으로 전망된다. 연간 10억개가 팔린 셈이다. 10분 안에 1000원 안팎으로 한 끼를 해결해 주는 컵라면은 경기 불황일 때 잘 팔리는 대표 식품이다. 업계에선 “값이 싸고 간편해 1997년 외환 위기, 2008년 리먼 사태를 비롯해 경기가 안 좋을 때마다 매출이 오르는 경향을 보인다”고 한다.아직 국내에서 봉지 라면과 컵라면 판매 비율은 7대3 정도다. 하지만 1인 가구 증가에 불황까지 겹쳐 컵라면이 봉지 라면보다 성장세가 훨씬 가파르다. 이런 소비자들을 겨냥해 식품 업계는 봉지 라면으로 팔던 제품을 컵라면으로도 내놓고, 800원짜리 초저가형 컵라면, 양을 8배 늘린 컵라면까지 내놓고 있다.그래픽=박상훈1년에 10억개 팔리는 컵라면내수 부진으로 식품 업계 대부분이 고전하지만, 컵라면 매출은 최근 10년 사이 약 2배로 늘었다. 시장조사 기관 유로모니터에 따르면, 2014년 6741억원이던 컵라면 매출은 올해 1조386억원까지 올라섰다. 성장 속도만 보면 이미 한계점에 다다른 봉지 라면보다 컵라면이 빠르다. 봉지 라면 판매량은 전년 대비 2022년엔 10.4%, 작년에는 4% 늘었지만, 컵라면은 2022년 15.7%, 작년 7.4% 증가했다. 컵라면 시장에서 점유율 1위를 차지하는 농심 제품들도 최근 매출이 크게 늘었다. 2020년부터 작년까지 연평균 성장률을 보면 김치사발면이 12.6%, 육개장사발면은 9.1%, 신라면 용기면은 5.9%를 기록했다.컵라면 시장이 확대되자 라면 업체들은 잇따라 봉지 라면 제품을 컵라면으로도 내놓고 있다. 농심은 주력 상품인 신라면블랙, 짜파게티 더블랙을 전자레인지에서도 익힐 수 있는 용기 면으로 만든 ‘신라면블랙사발’ ‘짜파게티 더블랙 사발면’을 내놨다. 마라 맛과 매운맛 컵라면도 잇따라 시장에 등장했다. 올해 오뚜기는 편의점 세븐일레븐과 협업해 ‘대파열라면’을 내놨고, 팔도는 종전 왕뚜껑에 마라 맛을 합친 ‘마라맛 킹뚜껑’,삼양식품은 ‘간짬뽕 엑스 컵라면’을 출시했다.편의점 “컵라면 소비자를 잡아라”소비자가 갑자기 늘어난 것도 아닌데 컵라면 매출이 왜 늘었을까. 업계에선 컵라면이 대표적 불황 식품이라는 점을 주목한다. 외식 물가가 치솟고 소비 심리가 위축된 상황에서 빠르고 싸게 한 끼를 해결할 수 있는 컵라면이 인기를 끌고 있다는 것이다. 라면 업체 관계자는 “인건비, 원재료 인상으로 김밥 한 줄에 5000원, 분식집 라면 한 그릇에 4500원이 일반화해 컵라면만큼 가격 대비 만족도가 뛰어난 게 없다고 생각하는 사람이 많아졌다고 본다”고 말했다.실제 컵라면은 봉지 라면보다 저렴하다. 대형 마트 기준으로 컵라면 대부분이 개당 1000원이 넘지 않는다. 농심 육개장 사발면은 하나에 780원, 오뚜기 진라면 컵은 747원, 팔도 김치도시락 컵면은 870원 수준이다. 라면 업계 관계자는 “가격만 따질 경우 봉지 라면보다 컵라면이 훨씬 저렴하다”고 말했다.소비자들의 수요를 파악하고 발 빠르게 대응하는 편의점 업계도 ‘컵라면족’ 잡기에 힘을 쏟고 있다. 컵라면을 조리할 수 있는 뜨거운 물과 바로 먹을 수 있는 테이블 등을 놓는 편의점은PB(자체 브랜드) 컵라면도 확대하고 있다.GS25는 팔도점보도시락, 공간춘, 오모리점보도시락 등 특대형 시리즈 라면을 들여놨다. 일반 컵라면보다 8배 이상 크게 만든 대용량PB컵라면이다.CU는 올해 초 880원짜리 초저가 육개장컵라면을 선보였다.실제 편의점GS25에서 올해 9월까지 판 라면 가운데 컵라면 비율은 80%나 됐다. 올해GS25의 컵라면 매출은 작년과 비교해 19.6% 늘어났다. 세븐일레븐의 올해 컵라면 매출도 작년보다 15% 늘었다.GS25 관계자는 “컵라면을 찾는 소비자가 늘면서 컵라면을 살 때 삼각김밥이나 도시락을 할인해 주거나, 탄산음료를 주는 묶음 구성도 늘리고 있다”고 말했다.유튜브, 틱톡 등에서는 한국의 컵라면을 소개하거나 맛있게 먹는 법을 담은 콘텐츠 조회가 많게는 수백만 회를 기록하기도 한다. 라면을 흔히 컵라면과 동일시하는 미국 등에서도 한국 컵라면의 인기가 높아지고 있다고 한다. 농심은 지난달 미국LA제2 공장에 1억6000만개를 생산할 수 있는 용기 면(컵라면) 라인을 증설해 가동 중이다. 농심이 미국 법인에서 연간 생산 가능한 컵라면은 6억6000만개로 늘었다. 농심 관계자는 “미국인들에게 익숙한 건 봉지 라면보다 컵라면”이라며 “한국 라면의 인기가 높아지면서 컵라면 라인 증설을 결정했다”고 말했다."
2022-12-26,날개단 K푸드… 농심·롯데·오뚜기 매출 3조 돌파,"적극적 해외시장 공략 큰 성과농심·롯데제과·오뚜기 등이 올해 실적 호조로 식품 업계 ‘매출 3조원 클럽’에 진입할 것으로 예상된다. 이로써 우리나라 식품 기업 중에 매출 3조원을 넘긴 기업이 총 7개에 이를 전망이다. 지난 2019년CJ제일제당이 매출 3조원을 돌파한 이후 동원F&B,대상, 현대그린푸드가 3조원 클럽에 이름을 올렸고, 올해 농심·롯데제과·오뚜기 등도 가입할 예정이다.지금까지 식음료 업계에서 매출 3조원은 다른 나라 이야기로 인식돼 왔다. 국내 시장 규모가 제한적인 데다가 대형 유통업체들이 자체 브랜드(PB) 상품까지 내놓으면서 시장 경쟁이 갈수록 치열해지기 때문이다. 이런 상황에서도 국내 식품 업체들이 적극적인 해외시장 공략으로 성과를 내고 있다. 식품 업계 관계자는 “식품은 물가 당국의 가격 통제를 받기 때문에 내수 시장에서 성장은 한계가 있다”면서 “수년 전부터 해외시장을 공략한 것이 K컬처 분위기를 타고 큰 성과를 내고 있다”고 말했다.◇올해 농심·롯데·오뚜기 3조 클럽 가입국내 증권가에 따르면 농심의 올해 매출액은 전년 대비 18.2% 늘어난 3조1462억원(SK증권)으로 추정된다. 올해 4월 미국 제2공장을 가동하기 시작하면서 북미 지역 매출이 사상 최대 실적을 기록했기 때문이다. 미국 2공장 가동이 시작되면서 연간 5억개였던 라면 생산 능력이 8억5000만개로 늘었고, 올해 1~3분기 매출은 전년 대비 37.3% 늘어난 4170억원을 기록했다. 이는 같은 기간 중국·일본·베트남 등 미주 외 지역 매출 증가율(12.4%)의 배 이상 수치다. 올해 북미 법인 매출은 4억800만달러(약 5238억원)를 기록할 것으로 추정된다.올해 오뚜기 매출은 작년보다 15%가량 증가한 3조1480억원(한화투자증권)으로 예상된다. 오뚜기는 지난달 방탄소년단(BTS)의 멤버 진을 광고 모델로 내세우며 본격적인 해외 인지도 높이기에 나서고 있다. 오뚜기의 해외 매출은 2019년 2110억원에서 올해 3000억원 이상으로 증가할 전망이지만, 아직 해외 사업 매출 비율은 전체의 10% 내외에 그친다. 오뚜기는 2018년 베트남 하노이에 ‘오뚜기 베트남 박닌 공장’을, 2020년 1월 ‘오뚜기 베트남 빈즈엉 공장’을 준공해 베트남을 ‘글로벌 오뚜기’의 핵심 기지로 삼고 동남아 시장을 적극적으로 공략하고 있다.롯데제과는 올해 7월 롯데푸드와 합병으로 덩치를 키웠다. 두 회사의 작년 매출액만 합해도 이미 3조7000억원에 달하는데다가 올해 1~3분기까지 누적 매출액이 3조480억원에 달했다. 롯데제과는 최근 기존 수출 유통망을 활용해 롯데푸드의 인기 제품인 캔햄을 싱가포르, 대만, 홍콩, 필리핀 등 동남아 시장에 본격 출시하고 있다. 최근 인사에서LG생활건강에서 북미 사업을 이끌어온 이창엽 전LG생활건강 사업본부장을 신임 대표로 영입한 것도 해외 사업을 확장하기 위한 것으로 해석된다.◇오리온·하이트진로·롯데칠성음료도 3조 클럽 눈앞에식품 업계에서는 2025년까지 오리온·하이트진로·롯데칠성음료도 매출 3조 클럽에 가입할 수 있을 것으로 예상한다. 오리온은 2005년 법인 설립 이후 올해 처음으로 연매출 4000억원을 돌파한 베트남 시장을 중심으로 성장을 이끌겠다는 계획이다. 베트남 하노이 공장에 생산동을 신축하고, 호찌민 공장 증축과 제3공장 건립도 추진해 생산량을 확대한다는 것이다.하이트진로 역시 올해 10월 미국 코스트코에 과일 리큐르 4종을 입점시키고, 일본 수출용 진로를 43년 만에 리뉴얼하며 해외시장 확대에 나서고 있다. 롯데칠성음료는 내년 매출 3조원을 돌파할 수 있을 것이란 전망도 나온다. 롯데칠성은 생수 브랜드 아이시스를 미국·러시아·동남아에 수출하고, 처음처럼 같은 주류의 해외 판로 개척에도 나서고 있다."
2022-09-16,"오뚜기 라면도,  포장김치도 11% 뛰었다","얼어붙는 하반기 식탁물가배추값은 24% 치솟아값싼 중국산 김치 수입 늘어오뚜기는 오는 9월10일부터 진라면, 진 비빔면, 진짬뽕, 컵누들 같은 주요 제품의 출고 가격을 11% 가량 올린다고 16일 밝혔다. /오뚜기식탁 물가가 계속해서 뛰고 있다. 하반기 장바구니의 충격이 더 커질 것으로 우려된다.오뚜기 라면도 11% 인상…진라면은 15.5% 뛰었다오뚜기는 다음 달 10일부터 진라면, 진 비빔면, 진짬뽕, 컵누들 같은 주요 제품의 출고 가격을 11% 가량 올린다고 16일 밝혔다. 작년 8월에 13년만에 제품 출고 가격을 올린 이후 1년 2개월만에 다시 가격을 올린 것이다. 이에 대형마트에서 판매되는 진라면은 기존 620원에서 716원으로 15.5%가 오르고, 진비빔면은 970원에서 1070원으로 10.3%가 오르게 된다. 진짬뽕의 경우는 1495원에서 1620원으로 8.4%, 컵누들은 1280원에서 1380원으로 7.8%가 가격이 올라간다.라면을 비롯한 각종 가공식품 가격은 이미 줄줄이 오른 상황이다.  앞서 농심은 지난 15일부터 신라면을 비롯한 주요 제품의 출고 가격을 평균 11.3% 인상했다. 팔도도 오는 10월 1일부터 제품 가격을 평균 9.8% 인상한다고 밝힌 바 있다. 국내 주요 라면 업체 중 삼양식품만 아직 인상 계획을 밝히지 않은 상태인데, 삼양식품 역시 조만간 제품 가격을 올릴 것이라는 관측이 나오고 있다.김장, 이젠 하기도 겁나고 사 먹기도 부담된다 …비비고·종가집김치 가격도 올랐다식품업체들이 판매하는 포장 김치 가격도 잇따라 오르고 있다. 최근 배추 생육 환경이 좋지 않아 추석 이후 가을 배추 가격이 가파르게 오르고 있는 데다, 김치에 들어가는 각종 농산물 가격이 크게 오르면서 신선식품 가격은 물론이고 포장김치 가격까지 뛰어오르고 있는 상황이다.CJ제일제당은 15일부터 ‘비비고’ 김치 가격을 채널별로 평균 11% 가량 올렸다. 비비고 포기배추김치(3.3㎏)의 마트 가격은 3만800원에서 3만4800원이 됐다. /뉴스1CJ제일제당은 15일 ‘비비고’ 김치 가격을 채널별로 평균 11% 가량 올렸다. 비비고 포기배추김치(3.3㎏)의 마트 가격은 3만800원에서 3만4800원으로 조정됐다.국내 포장김치 시장 점유율 1위 업체인 대상은 다음 달 1일부터 ‘종가집’ 김치 가격을 평균 9.8% 올리기로 했다. 농협중앙회는 조만간 한국농협김치의 가격 인상을 검토하고 있다. 아직 인상폭과 시기는 정해지지 않았다.배추 가격은 24% 가량 뛰어오르고 있다. 추석 이후 더욱 가파르게 있어 주부들 사이에선 “가을 김장을 포기해야겠다”는 말이 나오는 상황이다.16일 한국농수산식품유통공사(aT) 농산물유통정보에 따르면, 배추 도매가격은 지난 14일 기준 10㎏에 3만4240원으로 1년 전 1만4792원 대비 2.3배 올랐다. 한달 전과 비교해도 2배 수준이다.김치에 들어가는 다른 농산물 가격도 1년 전에 비해 크게 올랐다. 무는 14일 기준 20㎏에 2만7580원으로 1년 전 1만1020원의 2.5배가 됐다. 양파는 15㎏에 2만2760원이다. 1년 전의 1.6배나 올랐다.김치가 金치 되니…값싼 중국산 김치 수입 늘었다김장재료 가격이 가파르게 오르고 있다. 16일 한국농수산식품유통공사(aT) 농산물유통정보에 따르면, 배추 도매가격은 지난 14일 기준 10㎏에 3만4240원으로 1년 전 1만4792원 대비 2.3배 올랐다. 무는 14일 기준 20㎏에 2만7580원으로 1년 전 1만1020원의 2.5배가 됐다./뉴스1김치 가격이 너무 비싸다 보니 최근엔 값싼 중국산 김치 수입도 늘어나고 있다. 관세청 수출입무역통계에 따르면 올해 들어 8월까지 중국산 김치 수입액은 1억 986만 2000달러로 지난해 같은 기간의 8609만 9000달러보다 27.6% 증가했다. 8월 김치 수입액은 1337만 6000달러로 지난해 8월보다 41.1% 늘었다."
2024-12-11,공무원 접고 도전한 ‘48년 식초 명인’… 이젠 아들이 수출,"[명문 장수 기업] (5) 식초 생산 유일한 中企 ‘천연식품’새콤한 맛을 내는 식초는 한식에서 필수 ‘K조미료’ 중 하나로 꼽히지만, 국내에서 식초를 자체 생산하는 기업은 그리 많지 않다. 딱 네 곳만이 국내에서 식초를 만든다. 이 중 세 곳이CJ제일제당·대상·오뚜기 등 대기업들이고, 나머지 한 곳이 중소기업인 경북 영천의 천연식품이다.임경만 천연식품 회장이 지난 여름 경북 영천 천연식품 본사에서 보리식초를 숙성하는 옹기를 살펴보고 있다. 천연식품은 우리나라에서 유일하게 식초를 직접 생산하고 판매하는 중소기업이다. 조선시대 식초 발효법에서 아이디어를 얻어 자체 개발한 보리식초는 천연식품의 주력 상품으로 꼽힌다. /천연식품식초가 대량 생산하기엔 까다로운 발효 식품이라서 남다른 노하우가 필요하고, 제품 단가가 높지 않아 수익을 내는 것도 쉽진 않다. 이 호락호락하지 않은 환경 속에서 천연식품은 48년 동안 식초를 빚고 판매해왔다. 지난해 매출은 90억원으로 현재 국내 식초 시장에선 점유율 6% 정도를 차지한다. 현재 자체 제품 외에도 샘표·사조·풀무원·롯데웰푸드 등 여러 기업의 식초 제품을OEM(주문자 상표 부착 생산) 방식으로 생산하고 있다. 지난 2019년엔 창립자인 임경만(81) 회장이 농림축산식품부 ‘식품 명인’에 선정되기도 했다.본래 임 회장의 첫 직장은 국세청이었다. 세무 공무원으로 사회 생활을 시작해 8년 이상 공무원으로 일했다. 그러던 중 “너만의 업(業)을 하라”는 부친의 조언을 듣고 시작한 게 식초 개발이었다. 왜 하필 식초였을까. 임 회장은 “어린 시절 어머니를 도와 식초를 빚어보기도 했고, 세무 공무원 시절에도 주세(酒稅)를 부과하기 위해 양조 지식을 습득했기 때문에 식초를 직접 만들 수 있을 것이라고 생각했다”고 했다. 술을 빚은 후 발효 과정을 한 번 더 거쳐 알코올이 초산(醋酸)으로 변하면 식초가 된다.막상 뛰어든 식초 개발은 그러나 실패의 연속이었다. 공무원 시절에 만났던 동료 도움을 받아 일본산(産) 식초 발효기까지 구했지만 정작 식초 발효에 필수적인 초산균(醋酸菌)이 없어 식초를 만들지 못했다고 했다. 균을 자체 배양하기 위해 온갖 실험을 하면서 밤잠을 설쳤지만 쉽게 성공하진 못했다. 수소문 끝에 일본산 식초 균주를 분양받았고, 이후 반년간 연구·개발 과정을 또다시 거듭해야 했다. 그렇게 1977년 첫 제품인 ‘천연양조식초’를 출시했다. 이는 1969년 ‘환만식초’ 후 국내 기업이 개발한 두 번째 식초이기도 하다. 천연식품은 이후 샘표, 이마트 같은 다른 유통 업체들과OEM계약을 체결하고 제품을 판매하면서 본격적인 궤도에 오르게 됐다.중소기업인 덕분에 오히려 그만큼 다양한 식초 제품을 생산, 납품할 수 있었던 것도 천연식품의 경쟁력을 키웠다. 다른 식품 기업들은 양조식초처럼 일반 제품을 대규모로만 판매, 생산하지만, 천연식품의 경우엔 현미식초·사과식초·마늘식초처럼 시장에서 널리 판매되는 주요 제품을 만드는 것은 물론이고, 거래처 요구에 따라 ‘뽕나무 식초’ 같은 제품을 소량 생산하는 주문도 소화하는 것이다.2016년부터 천연식품에 합류해 회사를 경영하고 있는 임 대표 아들 임재성 천연식품 전무./김동환 기자자체 브랜드도 직접 개발했다. 보리를 볶은 후 발효시키는 조선시대 식초 제조법을 재현해 2018년 출시한 ‘보리식초’다. 현재 천연식품의 주력 제품으로 꼽힌다. 이 제품으로 임 회장은 2019년 농림축산식품부 ‘식품 명인’에 선정되기도 했다. 임 회장은 “어린 시절 어머니와 함께 빚었던 기억을 되살려 만든 제품이 보리식초”라면서 “그 특유의 은은한 향과 맛을 알리고 싶었는데 식품 명인으로도 선정돼 기쁘다”고 했다.현재 천연식품은 임 회장의 아들 임재성(47) 전무가 대를 이어 맡고 있다. 임 전무는 금융 공기업에 다니다가 2016년부터 천연식품에 합류했다. 3년간의 현장 경험을 거쳤고 현재 생산 물량 확대와 수출 판로 개척에 힘쓰고 있다. 임 전무는 “생산 가능한 물량을 기존 대비 2배로 늘렸고, 거래처도 50% 정도 새로 뚫었다”고 했다.임 회장 부자는 최근 식초 음료도 새롭게 개발해 일본·미국 등에서 수출을 시작했다. 현재 ‘선드럭’ 등 일본의 유명 드럭스토어가 내놓는 식초 음료PB상품을OEM방식으로 생산·수출하고 있고, 앞으로 더 다양한 제품을 만들어 수출 물량을 키우겠다는 계획을 갖고 있다. 임 전무는 “식초를 활용한 소스, 음료까지 새로운 제품을 계속해서 개발해 해외 시장을 더욱 적극적으로 확대해 나가겠다”고 말했다."
2023-12-24,"오뚜기3세 함연지, 돌연 유튜브 활동 중단선언…왜?","남편 김재우씨(왼쪽)와 함연지씨. /함연지 유튜브오뚜기가 3세인 뮤지컬 배우 함연지(31)씨가 돌연 유튜브 활동을 중단하겠다고 선언해 그 배경에 관심이 쏠리고 있다. 함영준 오뚜기 회장의 장녀인 함연지씨는 뮤지컬 배우로 활동하며 다양한 방송에도 출연해왔으며, 2019년부터는 ‘햄연지’라는 유튜브 채널을 운영하면서 자신의 일상을 공개해왔다. 유튜브 채널 구독자수는 현재 47만여 명이다.함연지씨는 지난 22일 자신의 유튜브 채널을 통해 앞으로 영상 업로드를 중단한다고 공지했다.현재 미국에서 남편과 함께 거주 중인 함연지씨는 “미국 시장에 한국 음식을 어떻게 하면 잘 알릴 수 있을까 고민을 깊게 하고 있다”며 “일하는 것도 즐겁고 이런 루틴 있는 생활도 너무 잘 맞아서 굉장히 의미 깊은 하루하루를 보내고 있다”고 했다.함연지씨는 “지난 4년간 여러분과 제 하루하루를 공유하면서 소통하면서 달려왔는데 앞으로는 제 마음의 소리에 귀 기울여보는 시간을 가져보는 것도 좋겠다는 생각이 들었다”며 “소소한 하루하루를 느끼고 즐기면서 그런 것들의 의미를 느껴보고 싶다는 생각이 들었다”고 했다.그러면서 “주말에도 좀 쉬고 카메라 없이 나들이도 가보고, 일상 속에서 진정한 저 자신을 찾아보며 더 좋은 사람이 되도록 노력하고 있겠다”고 밝혔다.함씨 남편 김재우씨도 “정말 많은 분들이 사랑을 주셔서 정말 감사했다”며 “함연지 아끼고 사랑해주면서 살고 있겠다”고 했다.함연지씨가 돌연 유튜브 활동을 중단한 것과 관련 일각에선 함씨가 본격적인 경영참여를 준비 중인 것 아니냐는 분석이 나오고 있다.오뚜기는 지난달 함연지씨의 시아버지인 김경호 전LG전자 부사장을 영입해 글로벌사업본부장(부사장)으로 선임했다. 기존 글로벌사업부 조직을 글로벌사업본부로 격상하고 김경호 부사장에게 초대 본부장을 맡긴 것이다. 오뚜기는 이에 대해 본격적인 해외 시장 공략을 위한 인사라고 설명했다.함연지씨 남편이자 김경호 부사장의 아들인 김재우씨도 2018년 오뚜기에 입사해 현재 미국에서 근무 중이다."
2024-08-08,美서 출시됐는데 인기 폭발… 한국으로 역수출된다는 K 라면,"오뚜기가 미국에서만 판매되던 수출 전용 제품 ‘보들보들 치즈볶음면 매운맛’을 국내에 정식 출시한다. 2022년 4월 미국에서 출시된 이 제품이 국내 여행객이나 소비자들 사이에서 인기를 끌자 국내 출시를 결정한 것이다.오뚜기 관계자는 “해당 제품을 맛보기 위해 해외에서 제품을 구매하거나 역직구를 하는 소비자들이 늘고 있다”며 “해외 전용 제품을 국내에서 정식 출시하는 것은 보들보들 치즈볶음면이 처음”이라고 했다. 오뚜기에 따르면 해당 제품 현지 판매량은 2022년 출시 당시 매달 평균 2000여 박스(박스당 30개입)에서 올해에는 매달 평균 3500박스까지 늘었는데, 이에 따라 국내에서도 제품 경쟁력이 충분하다고 판단한 것이다.보들보들 치즈볶음면 매운맛. /오뚜기오뚜기의 ‘보들보들’ 시리즈는 2010년 국내에서 처음 출시됐다가 2년만에 단종됐고, 이후 수출 전용으로 전환돼 10여년간 해외에서 꾸준한 매출 성장세를 보이고 있다. 치즈라면(봉지라면·컵라면)과 치즈볶음면의 두 종류가 해외에서 판매되고 있다. 이번에 출시된 제품은 치즈볶음면 중에서도 매운맛을 더한 제품으로, 매운맛을 나타는 지표인 스코빌 지수는 4500SHU에 달한다. 삼양식품 불닭볶음면과 비슷한 수준이다.오뚜기는 이 제품을 오는 13일부터 네이버쇼핑 생방송을 통해 선보일 계획이다. 이후 오뚜기몰 등 다양한 온라인 쇼핑몰을 통해 구매할 수 있다."
