date,title,content
2024-12-23,오리온 3세 담서원 전무로 승진,"담서원 오리온 전무. /뉴스1오리온그룹 담철곤 회장의 장남이자 오너가(家) 3세인 담서원(35) 씨가 입사 이후 3년 5개월 만에 전무로 승진했다.오리온그룹은 23일 담서원 상무를 전무로 승진하는 내용의 2025년 정기인사를 단행했다고 밝혔다.담 전무는 2021년 7월 오리온 경영지원팀 수석부장으로 입사했으며, 1년 5개월 만인 2022년 12월 인사에서 경영지원팀 상무로 승진한 바 있다. 이번 전무 승진은 상무 승진 후 2년 만이다.1989년생인 담서원 전무는 담철곤 오리온 회장과 오너 2세 이화경 부회장 부부의 장남이다.담 전무는 뉴욕대학교를 졸업한 뒤 베이징대에서 경영학석사(MBA)를 취득했다. 오리온 입사 직전 카카오엔터프라이즈에서 근무한 이력도 있다.담 전무는 오리온그룹의 사업전략 수립과 관리, 글로벌 사업 지원, 신수종 사업 등 경영 전반에 걸친 실무 업무를 수행하며 사실상 경영 수업을 받고 있다. 지난해부터는 오리온의 전사적 관리시스템(ERP) 구축 과정에서도 주도적 역할을 하고 있다.담 전무는 현재 오리온홀딩스 지분 1.22%와 오리온 지분 1.23%를 보유하고 있다."
2024-01-15,"오리온, 레코켐바이오 5000억원에 인수","레고켐바이오사이언스 로고./뉴스1오리온이 5500억원을 투자해 바이오 기업 레고켐바이오사이언스(이하 ‘레고켐바이오’) 지분 25%를 확보, 최대 주주가 된다. 레고켐바이오는 차세대 항암제로 불리는 항체·약물 접합체(ADC)를 가진 신약 개발 회사로 오리온은 이를 통해 차세대 항암제 시장에 진출한다는 계획이다.오리온은 레고켐바이오 최대 주주인 김용주 대표 및 특수 관계인 지분 140만주를 사들이고, 제3자 배정 유상증자를 통해 796만3283주를 배정받아 전체 지분의 25% 이상을 확보해 최대 주주로 올라선다고 15일 공시했다. 인수 주체는 홍콩 소재 오리온 계열사인 팬오리온코퍼레이션으로, 중국 지역 7개 법인의 지주사다. 대금 납입 예정일은 3월 29일이다. 인수 절차가 마무리되면 오리온은 레고켐바이오를 계열사로 편입하게 되며 기존 경영진 및 운영 시스템은 그대로 유지한다는 계획이다.레고켐바이오는 독자 연구 개발한 차세대ADC기술을 기반으로 신약을 개발해 온 회사다. 2015년부터 현재까지 총 13건의 기술이전 계약을 맺었고, 현재까지 기술이전료만 8조7000억원에 달한다.오리온은 지난 2020년 10월 오리온홀딩스와 산둥루캉의약과의 합자 계약을 체결해 다음 해 3월 산둥루캉하오리요우라는 합자 법인을 설립해 중국에서 대장암 체외 진단 임상을 진행 중이다. 900억원 규모 결핵 백신 공장 준공도 앞두고 있다. 한국에서는 2022년 12월 하이센스바이오와 합작해 오리온바이오로직스를 설립, 바이오 시장에 진출했다.허인철 오리온 부회장은 “고령화 사회에 진입하면서 암 치료제 시장은 급성장하고 있으며 내성과 부작용을 최소화한 차세대 암 치료제인ADC기술이 떠오르고 있다”며 “글로벌 신약 개발을 위해 대규모 투자를 결정했다”고 말했다."
2023-03-14,자본시장법 ‘특정 성별 독점 금지’ 개정 이후… 여성 사외이사 영입 잇따라,"KAI·두산에너빌리티·SK이노 등국내 대표 방산업체 한국항공우주산업(KAI)은 13일 공시한 주주총회 소집 공고에서 김경자 전 수출입은행 부행장을 사외이사로 신규 선임한다고 밝혔다. 1999년 설립 이후 첫 여성 사외이사다. 김 부행장이 사외이사로 합류하면서KAI는CEO(최고경영자)를 포함한 전체 등기이사 6명 가운데 여성이 한 자리를 차지하게 됐다.국내 기업에 여성 사외이사가 크게 늘고 있다. 중공업·방산 분야만 해도KAI외에 두산에너빌리티(옛 두산중공업)가 설립 이후 첫 여성 사외이사 선임에 나선다. 두산에너빌리티는 최태현 김앤장 고문과 함께 여성인 이은형 국민대 교수를 오는 29일 열리는 주총에 사외이사 후보로 올렸다. 회사 관계자는 “창립 이후 60여 년 만의 첫 여성 이사”라고 말했다. 정유·화학업계에선SK이노베이션이 김주연 전 한국P&G대표와 이복희 전 듀폰코리아 대표 등 여성 사외이사 두 명을 선임한다.IT(정보 기술)나 유통 분야도 여풍은 거세다.LG디스플레이는 박상희 카이스트 교수를 사외이사로 선임하고,SK하이닉스 주총에선 김정원 김앤장 고문이 사외이사에 오를 예정이다. 두 곳 모두 한 명이던 여성 사외이사가 두 명으로 늘어난다. 오리온홀딩스는 관료 출신인 박혜경 연세대 교수, 신세계인터내셔날은 추호정 서울대 교수를 사외이사로 영입하고, 아모레퍼시픽그룹은 이은정 라인플러스 대표를 선임할 예정이다.이사회를 특정 성별이 독식하지 못하게 개정돼 지난해 8월부터 시행된 자본시장법이 여성 사외이사 확대를 촉발한 배경이다. 개정법 유예 기간 종료를 1년여 앞두고 기업들이 대거 여성 사외이사를 영입하고 있다는 것이다. 다만 여성 사외이사도 남성과 마찬가지로 교수나 관료, 법조계 인사로 출신이 편중된 점은 문제로 꼽힌다. 유정주 전경련 기업정책팀장은 “가뜩이나 인력 풀도 좁은데 사외이사 자격에 대한 제약까지 많다 보니 한계가 있다”며 “전문성을 가진 분이 더 참여할 수 있도록 제도 개선이 필요하다”고 말했다."
2024-06-10,"“고맙다, 더위야”... 빙과株 무더기 신고가 행진","10일 전국 대부분 지역의 낮 기온이 30도 이상 오르는 등 무더위가 시작된 가운데, 빙과 관련주(株)가 급등세를 보이고 있다.한국거래소에 따르면, 이날 오후 2시 30분 현재 유가증권 시장에서 가격제한폭(30%)까지 오른 종목을 포함 상위 탑5 종목은 모두 빙과 관련주다. 이날 장중에 크라운제과(1만1140원)와 해태제과식품(7820원)이 모두 상한가를 찍으면서 1년 내 최고가에 거래되는 중이다. 같은 시간 해태제과식품 모회사인 크라운해태홀딩스(7940원) 역시 26%대 상승세다.지난 6일 서울 종로구 광화문광장 분수대를 찾은 어린이들이 더위를 식히고 있다./뉴스1메로나와 바나나우유 등을 생산하는 빙그레는 이날 장중 11만5500원까지 오르면서 1년 내 최고가를 찍었다. 올해 외국인과 기관이 모두 매수하면서 주가가 111%(10일 장중 최고점 기준) 오르는 등 연일 상승세다. 이날 거래량이 160만주를 돌파하면서 주가는 2014년 2월 이후 10여년 만에 10만원 대에 올라섰다. 증권가에서는 빙그레가 1분기에 이어 2분기에도 국내외에서 호실적을 이어갈 것이라고 전망한다.죠스바, 월드콘, 구구콘, 돼지콘, 설레임 등을 파는 롯데웰푸드 역시 이날 12% 상승한 17만원대에 거래됐다. 장중 18만5500원까지 오르면서 52주 최고가를 찍었다.한편, 이날 음식료주도 동반 상승세를 보였다. K푸드 열풍이 전세계로 확산되는 트렌드를 반영한 것으로 보인다. 농심이 이날 오후 2시 현재 15% 가까이 올라 53만원대에 거래되고 있고, 오리온 역시 7%대 상승세를 보이고 있다. 대상, 롯데칠성 등도 상승률 상위 종목에 랭크됐다."
2023-06-16,[부음] 김성욱 前 문예서림 대표 별세 외,"▲김성욱前 문예서림 대표 별세,강은숙남편상,김현철서호홀딩스 개발본부장·김강은부친상,나영주짐보리 은평센터 원장 시부상=14일11시26분 삼성서울병원, 발인 16일11시, (02)3410-6908▲임영수별세,임기근기획재정부 예산총괄심의관·임정근조선대 근무 부친상=14일21시30분 광주광역시 브이아이피장례타운, 발인 17일8시, (062)521-4444▲조정한별세,김혜경·김교필前 휴온스 감사·김교윤前대한방사선방어학회장·김교영오리온엔지니어드카본즈 대표 모친상,장희숙·이연순갤러리연 대표·김수정시모상,김정진·김가은·김가현·김정민조모상=14일18시12분 서울아산병원, 발인 17일5시, (02)3010-2000"
2024-12-23,"오리온 3세 담서원, 2년 만에 전무 승진","오리온 담철곤 회장 장남 담서원 전무. 사진 오리온오리온그룹 오너 3세인 담서원(35) 씨가 입사 3년 5개월 만에 전무로 승진했다. 담 전무는 오리온그룹 담철곤 회장과 오너 2세 이화경 부회장 부부의 장남이다.23일 오리온그룹은 내년도 정기 임원인사를 발표하고 담 전무를 포함한 14명의 승진자 명단을 공개했다. 1989년생인 담 전무는 미국 뉴욕대 커뮤니케이션 학사, 중국 베이징대 경영학석사(MBA)를 취득했다. 이후 카카오엔터프라이즈 재무팀에서 2년간 근무하다 2021년 7월 오리온 경영관리파트 수석부장으로 입사했다. 입사 1년 5개월 만에 상무로, 다시 2년 만에 전무로 승진했다.오리온그룹에 따르면 담 전무는 그룹의 사업전략 수립과 관리, 글로벌 사업 지원, 신수종 사업 등 경영 전반에 걸친 실무 업무를 수행하며 경영 수업을 받고 있다. 올해 3월부터는 해외법인을 통해 지분을 인수한 리가켐바이오의 사내이사로 선임돼 주요 의사 결정에 직접 참여하고 있다.이번 승진으로 오리온의 경영권 승계가 본격적으로 진행될 것이라는 전망이 나온다. 현재 담 전무는 지주사인 오리온홀딩스의 지분 1.22%와 지난 2018년 증여받은 오리온 지분 1.23%를 갖고 있다. 오리온 관계자는 “지주회사 체제에서 전문경영인 중심의 책임 경영을 하고 있다”라고 말했다.오리온 본사 전경 이미지. 사진 오리온한편 이번 인사에서 이성수 오리온 중국법인 대표가 전무에서 부사장으로 승진했다. 오리온 측은 “이 부사장은 현지화 전략을 통해 매출과 이익의 성장을 이끌었다”고 설명했다. 1991년 오리온에 입사한 이 대표는 2000년부터 중국법인에서 근무하며 광저우 공장장, 베이징 랑방공장장 등을 역임한 중국 사업 전문가로 올해 1월부터 중국법인 대표를 맡고 있다."
2024-01-18,레고켐 투자 발표 이틀 만에 시총 1조원 날아간 오리온…왜?,"서울 한 마트에 진열된 오리온 초코파이 모습. 연합뉴스-23.3%.지난 15일 제약사인 레고켐바이오사이언스 투자를 발표한 오리온이 이틀 만에 코스피 시장에서 받아본 결과표다. 11만7100원이었던 오리온 주가는 17일 장 중 52주 최저가를 찍는 등 8만9800원으로 내려앉으면서 시가총액 1조793억원이 사라졌다. 지주사인 오리온홀딩스와 레고켐바이오 주가도 줄줄이 큰 폭으로 하락했다.오리온은 15일, 홍콩 소재 계열사인 팬오리온코퍼레이션이 레고켐바이오의 지분 25.73%(936만3283주)를 약 5484억원에 인수한다고 공시했다. 레고켐바이오 창업자 김용주 대표와 박세진 사장으로부터 구주 140만주를 주당 5만6186원에 인수하고, 제3자 배정 유상증자로 5만9000원에 신주 796만3283주를 배정받는 식이다. 오리온은 “회사의 지속적 성장을 위한 사업 포트폴리오 확대 및 신사업 바이오 분야의 경쟁력 강화”를 위한 것이라고 밝혔다. 레고켐바이오는 차세대 항암제로 불리는 항체·약물 접합체(ADC)로 기술력을 인정받은 기업이다. 오리온은 지난 2022년 12월 치과 질환 치료제 개발 회사 하이센스바이오와 합작회사 오리온바이오로직스를 설립하고, 중국에서 대장암 체외진단 임상을 진행 중인 등 ‘미래 먹거리’로 바이오 부문 진출에 속도를 올려 왔다.오리온이 중국 국영제약기업 ‘산둥루캉의약’과 함께 설립한 합자법인 ‘산둥루캉하오리요우’ 건물 모습. 사진 오리온 홈페이지 캡처하지만 시장에선 ‘잘 나가던’ 기존 사업이 신규 사업으로 자칫 피해를 보는 건 아닌지 우려가 앞서는 모습이다. 초코파이와 포카칩 등 유명 제품을 앞세워 제과 부문에서 꾸준히 흑자를 내 온 오리온이 3년간 적자를 본 레고켐바이오를 인수한 이상, 당분간 자금 유출이 불가피할 거라고 본 것이다.실제로 오리온홀딩스는 2017년부터 7년 연속 연결 기준 흑자를 기록했지만, 레고켐바이오는 연결 기준 2021년 277억원, 2022년 503억원, 지난해 3분기 556억원의 영업손실을 기록하는 등 적자 폭을 키워왔다. 제과 사업이 주력인 오리온이 레고켐바이오와 어떤 시너지를 낼 수 있을지에 대한 의구심도 컸다. 지난해 3분기 기준 오리온홀딩스 전체 매출 중 제과 부문 비중은 96.9%로, 바이오 부문의 존재감은 미미한 수준이다.━한신평 “오리온, 인수 부담 흡수 가능”다만 증권가에선 “시장의 우려가 과도하다”는 지적이 나온다. 레고켐바이오 투자액수가 오리온에게 큰 부담이 되지 않는 데다가, 제과 부문 매출에도 변동이 없을 것으로 예상되면서다. 한국신용평가는 17일 “이번 인수에 따른 손익 및 재무부담은 오리온의 이익창출력과 재무구조를 통해 흡수 가능한 수준”이라며 “오리온 제과 부문은 핵심 이익창출 기반 역할을 하며 재무안정성을 지지할 전망이다. 레고켐바이오는 이번 출자금과 보유 유동성 등을 통해 상당 기간의 투자재원을 마련한 것으로 판단된다”고 평했다.메리츠증권 김정욱 연구원도 “실적 반영 과정에서 연결 편입 가능성이 매우 희박해 실적 가시성 및 재무구조에 미치는 영향은 미미할 전망”이라며 “이후 레고켐바이오 연구개발 단계에서 단기간에 대규모 추가 투자 가능성은 매우 낮다”고 봤다. 그는 “기존 레고켐바이오 보유 현금과, 얀센 기술 수출 수익, 오리온 투자금 등 7000억~1조원 가량을 확보해 최소 5~7년 자금 조달 이슈를 해결했다고 판단한다”고 했다."
2023-04-11,"[Biz & Now] 오리온홀딩스, 제주용암수 중국 수출 계약 체결","오리온홀딩스, 제주용암수 중국 수출 계약 체결오리온홀딩스는 중국 청도시영평시장관리유한공사, 청도국서체육문화산업 유한공사와 ‘제주용암수 중국 수출 계약’을 체결했다고 10일 밝혔다. 청도시영평시장관리유한공사는 중국에서 칭다오 맥주를 유통·판매하는 회사로 향후 오리온홀딩스의 제주용암수를 중국 내 판매·유통하고, 청도국서체육문화산업 유한공사와 함께 스포츠 행사 연계한 마케팅 활동을 펼칠 계획이다. 오리온홀딩스 관계자는 “중국 시장 진출로 음료 사업 성장세가 가속화할 것으로 기대한다”고 말했다."
2022-11-29,"과자회사가 치과질환 치료제 사업 한다...오리온, 바이오 합작사 설립","오리온홀딩스는 난치성 치과질환 치료제 개발 기업 하이센스바이오와 합작투자 계약을 체결했다고 29일 밝혔다. 사진 오리온오리온홀딩스가 난치성 치과 질환 치료제 개발 기업 하이센스바이오와 합작 투자 계약을 맺었다.두 회사는 29일 서울 용산구 오리온홀딩스 본사에서 허인철 오리온홀딩스 대표, 박주철 하이센스바이오 대표가 참석한 가운데 투자 계약 체결식을 했다.오리온홀딩스와 하이센스바이오는 각각 60%, 40%의 지분율로 치과 질환 치료제 사업 추진을 위한 합작회사 ‘오리온바이오로직스’(가칭)를 다음 달 중으로 설립한다. 사업 진행에 따라 자본금을 165억원까지 출자할 계획이다.오리온홀딩스는 하이센스바이오가 보유한 시린이·충치·치주질환 등과 관련한 전문치료제 기술을 도입하고 아시아 시장에서 상용화를 위한 제품 개발과 임상 인허가를 추진한다. 향후 구강청결제와 치약 등 의약외품뿐 아니라 식품 소재 사업까지 진출할 계획이다.한편 오리온그룹은 글로벌 식품·헬스케어 기업으로 제2의 도약을 선언하고 음료·간편대용식과 바이오 사업을 3대 신사업으로 선정한 바 있다. 중국 국영 제약기업 ‘산둥루캉의약’과 함께 합자 법인 ‘산둥루캉하오리요우’를 설립하고 국내 바이오 기술의 중국 내 상용화도 추진하고 있다.박주철 하이센스바이오 대표는 “중국·베트남 등 아시아 시장에서 탄탄한 사업 기반을 구축한 오리온그룹과 협업하며 다양한 구강 건강 관련 제품을 개발하겠다”고 밝혔다."
2022-11-30,"[Biz & Now] 오리온·하이센스, 치과 질환 치료제 합작사 설립","오리온홀딩스와 하이센스바이오는 29일 서울 용산구 오리온홀딩스 본사에서 허인철 오리온홀딩스 대표, 박주철 하이센스바이오 대표가 참석한 가운데 합작투자 계약 체결식을 했다. 두 회사는 각각 60%, 40%의 지분율로 치과 질환 치료제 전문기업 ‘오리온바이오로직스’(가칭)를 다음 달 설립한다. 오리온그룹은 음료, 간편대용식과 바이오 사업을 3대 신사업으로 추진 중이다."
