date,title,content
2023-12-01,오리콤 사장 박병철,두산그룹의 종합광고대행사 오리콤은 박병철 부사장을 최고경영자(CEO) 사장으로 승진 임명했다고 30일 밝혔다.
2023-12-21,두산에너빌 정연인 부회장 승진,"두산그룹은 20일 정연인<사진>두산에너빌리티 대표이사 사장을 내년 1월 1일 자로 부회장으로 승진 발령하는 등 임원 21명에 대한 승진 인사를 발표했다. 신임 정 부회장은 1987년 한국중공업(현 두산에너빌리티)에 입사해 베트남VINA법인장, 관리부문장, 최고운영책임자(COO) 등을 지냈다.박지원 회장과COO인 정연인 부회장, 최고재무책임자(CFO)인 박상현 사장 3인 각자대표 체제는 유지된다.▲㈜두산▷상무 권영민 김봉효▲두산에너빌리티▷상무 김승민 김종우 김지현 이경렬 이기철 이지훈 최항석 한명훈▲두산밥캣▷상무 김대왕 신윤철 아담 콜린스 브래디 시버트 재로드 스텍 트람파스 굿맨슨▲두산퓨얼셀▷상무 방원조▲두산로보틱스▷상무 김상욱▲두산모빌리티이노베이션▷상무 김봉경▲오리콤▷상무 정승우"
2023-09-08,"고무줄 바지 입고 경차로 반찬 배달... 앗, 전직 회장님이시네","2021년 두산그룹에서 떠난 박용만 전 대한상공회의소 회장. /박 전 회장 페이스북2021년 두산그룹 내 모든 직책에서 물러난 박용만 전 대한상공회의소 회장이 자신의 경차를 자랑하며 ‘대한민국에서 만든 자동차 중 최고’라고 했다.박 전 회장은 7일 자신의 페이스북에 기아자동차에서 출시한 경차 ‘레이’ 앞에서 포즈를 취하고 있는 사진을 올렸다. 박 전 회장은 고무줄 바지를 입고, 장갑을 낀 편안한 모습이다.박 전 회장은 레이에 관해 “골목길이 비좁고 주차도 아주 어려운 동네를 다녀도 걱정이 없다”며 “주방서 만든 반찬을 배달하느라 레이를 탈 때마다 감탄에 감탄을 한다”고 했다. 이어 “소형차지만 실내가 워낙 넓고 천정이 높아 아주 쾌적하고, 짐이 한없이 들어간다”며 “게다가 뒷문 중 하나는 슬라이딩 도어라 좁은 골목에서 차를 타고 내리는 데에도 문제가 없다”고 했다.그는 “전자장치나 편의 장치들도 꼭 필요한 건 다 있고, 꼭 필요하지 않은 것들만 없다”며 “불법이지만 할 수 없이 이 차에 9명이 타고 산비탈을 올라간 적도 있다”고 했다. 박 전 회장은 2011년에 첫 출시된 레이를 세 대째 사서 운행 중이라고 했다. 그는 “대한민국에서 만든 자동차 중 정말 칭찬받고, 상 받아야 하는 차가 레이”라며 “우리나라 환경에 가장 필요한 차를 참 안성맞춤으로 잘 만들었다”고 했다.박용만 전 회장이 자신이 이사장으로 있는 재단 '같이 있는 길'을 통해 도시락을 배달하고, 음식 재료를 손질하고 있다. /박 전 회장 페이스북박 전 회장은 두산그룹을 떠난 후 본인이 이사장을 맡고 있는 재단법인 ‘같이 걷는 길’을 통해 지역사회에 대한 봉사, 소외계층 구호 사업을 펼치고 있다. 재단은 동대문 상권 활성화와 소상공인 상생을 실현하고자 2015년 설립됐다. 2020년부터 동대문 인근 지역의 소외계층에 도시락을 배달하고 있다.박 전 회장은 이전부터 소셜미디어를 통해 도시락에 들어갈 재료를 손질하는 모습, 비오는 날에도 도시락을 배달하는 모습 등을 공개했다.박 전 회장은 박승직 두산 창업주의 손자이며 박두병 초대회장의 5남이다. 형제 경영 전통에 따라 박용현 전 회장의 후임으로 두산그룹 회장직에 올랐다. 2021년 11월 두산경영연구원 회장직과 그룹 회장직에서 사임했다. 두산그룹 경영 일선에서 모두 물러난 뒤 지난해 3월 두 아들(박서원 전 오리콤 부사장, 박재원 전 두산중공업 상무)과 함께 보유하던 주식을 전량 매각하고 그룹에서 완전히 손을 뗐다."
2023-09-07,"RM·블랙핑크도 왔네… 프리즈×키아프, 첫날부터 수십억대 작품 판매 이어져","세계적 아트페어 어제 동시 개막“작년 프리즈 서울을 보고 나서 ‘서울로 가야 한다’고 말하는 갤러리가 정말 많아요.”아트페어 ‘프리즈 서울(FriezeSeoul)’과 ‘키아프(Kiaf)’가 공동 개막한 6일 오후 서울 코엑스 전시장. 호주의 갤러리로는 유일하게 프리즈 서울에 참가한 ‘스테이션 갤러리’의 관계자는 “참가 기준이 높아 작년에는 문턱을 넘지 못했지만 올해 다시 문을 두드려 참여하게 됐다”며 현지 갤러리들의 분위기를 전했다. “작년 프리즈 서울이 성공적이었잖아요. 해외 갤러리들이 서울에 오고 싶어 하는 분위기예요.”국제 아트페어 '프리즈 서울'과 '키아프'가 6일 동시에 개막했다. 프리즈 서울에 참가한 데이비드 즈워너 갤러리 부스에서 관람객들이 구사마 야요이의 '호박'을 보고 있다. /뉴시스지난해에 이어 올해 두 번째로 열린 프리즈 서울 현장은 최근 가라앉은 세계 미술 시장이 활기를 되찾은 듯한 분위기였다. 해외 미술관, 갤러리 관계자들과 컬렉터뿐 아니라 방탄소년단(BTS)과 블랙핑크, 기업인들도 찾았다. 한 해외 갤러리 관계자는 “요즘 유럽 미술 시장은 ‘판매 제로’일 정도로 분위기가 꺼져 있는데, 한국 미술 시장은 상황이 좋은 편”이라며 “프리즈 서울이 일본·중국·대만 등 아시아 여러 나라의 컬렉터들을 만날 좋은 기회가 되고 있다”고 했다.해외 기관·중국 컬렉터 많이 찾아첫날 프리즈 서울은VIP대상으로 진행됐다. 초반부터 인파가 크게 몰렸던 작년 행사와는 달리 이날은 대체로 여유 있게 전시장을 둘러볼 수 있었다. 프리즈 측이 초청 인원을 제한하고 시간대별로 입장 시간을 나눠 인원을 분산했기 때문이다. 오후 3시 무렵이 되자 조금씩 북적거리기 시작했고, 해외 컬렉터들도 점점 늘어났다. 정도련 홍콩M+ 뮤지엄 부관장, 토비아스 버거 홍콩 타이쿤미술관 관장 등 해외 미술계 인사들이 잇따라 방문했다. 영어뿐 아니라 곳곳에서 중국어도 많이 들렸다. 갤러리현대 관계자는 “관람객이 분산되면서 작년처럼 긴 대기줄은 없었지만, 구겐하임 미술관이나 뉴욕 현대 미술관(MoMA)같이 해외 기관 손님들이 투어를 많이 왔다”면서 “작년엔 코로나 여파로 방문이 쉽지 않았던 중국인 컬렉터들도 올해는 많이 왔다”고 말했다.'프리즈 서울'이 개막한 6일 서울 코엑스 전시장을 찾은 관람객들이 작품을 감상하고 있다. /뉴스1유명인들도 전시장을 찾았다. 방탄소년단의RM과 지민이 공식 입장 시작 전 행사장을 찾았고, 블랙핑크의 지수와 로제도 목격됐다. 최지우, 황신혜, 전인화 등 배우, 김범수 카카오 창업자와 이웅렬 코오롱 명예회장, 박서원 전 오리콤 부사장 등 기업인들도 방문했다. 박서보·김구림·제이디차 등 작가들도 현장을 찾았다.첫날부터 구사마 ‘호박’ 77억원에 판매특히 해외 ‘메가’ 갤러리들과 17세기부터 최근까지 작품을 볼 수 있는 ‘프리즈 마스터즈’ 섹션에 대해 관심이 뜨거웠다. 하우저앤워스, 데이비드 즈워너, 화이트 큐브 등 해외 유명 갤러리들이 이날 작품 판매 소식을 전했다. 데이비드 즈워너는 580만달러(약 77억3000만원)에 달하는 구사마 야요이의 ‘붉은 신의 호박’ 회화 작품이 판매됐다. 하우저앤워스는 래시드 존슨의 회화 작품을 97만5000달러(약 13억원)에, 조지 콘도의 회화 작품을 80만달러(약 10억7000만원)에 판매했다. 올해 국내에 지점을 오픈한 화이트 큐브도 게오르크 바젤리츠 등의 작품을 수십억원에 판매했다.‘초특급 작품’은 지난해에 비해 많지 않았다. 이 때문에 컬렉터 사이에선 “심심하다”거나 “대형 갤러리들이 올해는 힘을 빼고 나왔다”는 이야기도 나왔다. 하지만 ‘아는 사람은 다 아는’ 수억~수십억원대 수작들이 많이 왔다는 게 미술계의 평가다.국제 아트페어 '프리즈 서울'과 '키아프'가 6일 동시에 개막했다. 사진은 코엑스에서 개막한 '키아프'를 찾은 관람객 모습. /뉴시스이날 함께 개막한 ‘키아프’에도 많은 관람객이 찾았다. 작년엔 프리즈 서울로 큰 관심이 집중돼 키아프 성과가 좋지 않았다는 불만이 있었다. ‘서정아트’의 이윤정 시니어 큐레이터는 “오늘 개막 후 3시간 만에 홍순명 작가의 작품 3점 중 2점이 팔렸다”며 “프리즈 서울 영향으로 그냥 둘러보는 관람객보다 구매를 마음먹고 오는 컬렉터들이 늘어나 시너지가 있는 것 같다”고 했다. ‘갤러리 서림’의 김성옥 대표는 “밥 한 술에 배부르기를 바라기보다 프리즈 서울을 계기로 발돋움해 국제화의 기회로 삼는 게 좋다고 본다”고 말했다."
2023-09-02,[부음] 황경춘 前 AP통신 서울지국장 별세 외,"황경춘 前AP통신 서울지국장황경춘 前AP통신 서울지국장황경춘(99·사진) 전AP통신 서울지국장이 지난달 31일 별세했다. 미국 군정청 통역관으로 시작해 6·25전쟁 발발 후 코리아타임스에서 기자 생활을 했다. 4·19 때 경찰의 발포 사실을 해외로 타전했고, 1970년대 군사정권 시절 김영삼·김대중 등 야권 정치인을 자주 취재했다. 유족은 황윤옥(아시안타이거스 상무)·황옥심(미국호텔협회교육원 한국교육원장)·황윤철(전 오리콤 국장)·황윤미·황윤희씨 등 1남 4녀. 빈소는 신촌세브란스병원. 발인 3일 오전, (02)2227-7556▲이정재별세,임창숙·임창옥·임창열서양화가·임동열모친상,권오창장모상,성명신·이혜원·이순정시모상,임의균스티비 대표·임대균조모상=31일13시 노원을지대병원, 발인 3일14시, (02)970-8444▲전증희을지재단 명예회장 별세,박준영을지재단 회장·박준숙범석한술장학재단 이사장 모친상,최원식을지대 석좌교수 장모상,홍성희을지대 총장 시모상=1일0시5분 노원을지대병원, 발인 3일11시, (02)970-8807▲홍영희별세,홍기춘·홍기복아이농 대표·홍정원·홍기선부친상,이재원키움증권 기업금융부문 상무·오세웅장인상=1일5시 삼육서울병원, 발인3일6시30분, (02)2210-3413"
2024-11-28,[중앙광고대상] 심사위원 및 행사일정,"심사위원 및 행사일정▶전문가 심사위원 명단-심사위원장: 중앙대학교 이명천 광고홍보학과 교수-심사위원: 강상욱 차이커뮤니케이션 상무, 김미경 오리콤ECD,신병재HS애드 통합솔루션 5팀장, 이광현 대홍기획 상무(가나다순)▶심사일정 및 배점 기준-후보작 접수: 10월 1~25일-온라인 독자 투표: 11월 13~20일-전문 심사위원 평가: 11월 13~20일-평가 기준: 전문가 심사 40%, 독자투표 40%, 정성평가 20%-시상식: 12월 5일 오전 10시 30분, 웨스틴조선 서울 오키드룸"
2023-12-21,[인사] 포스코홀딩스 外,◆포스코홀딩스 ▶사장 김지용 ▶부사장 홍영준 ◆포스코 ▶부사장 천시열 이동렬 ▶상무 이영걸 ▶상무보 서광일 ◆포스코퓨처엠 ▶부사장 엄기천 ◆포스코스틸리온 ▶사장 김봉철 ◆포스코엠텍 ▶사장 정범수 ◆포스코A&C ▶사장 김우기 ◆포스코HY클린메탈 ▶대표 임지우◆두산에너빌리티 ▶부회장 정연인 〈신규임원〉 ◆㈜두산 ▶권영민 김봉효 ◆두산에너빌리티 ▶김승민 김종우 김지현 이경렬 이기철 이지훈 최항석 한명훈 ◆두산밥캣 ▶김대왕 신윤철 아담콜린스 브래디시버트 재로드스텍 트람파스굿맨슨 ◆두산퓨얼셀 ▶방원조 ◆두산로보틱스 ▶김상욱 ◆두산모빌리티이노베이션 ▶김봉경 ◆오리콤 ▶정승우
2023-11-28,"[제59회 중앙광고대상] AI로 연결된 세상, 친근한 메시지로 다가간 듯","[수상소감 ] 대상SKT기업 브랜드 캠페인김희섭SK텔레콤은 2023년 새 기업 브랜딩 캠페인 ‘SKT의 인공지능(AI)은 어디에나 있다,AI투 에브리웨어(AItoEverywhere)’를 시작했습니다. 세상을 연결하여 시대를 바꾸어 왔던SK텔레콤은AI회사로 변화·혁신할 것을 선포하며AI기술을 세상 모든 곳과 연결해 새로운 시대를 만들어가고 있습니다. 서비스에서 산업까지, 땅에서 하늘까지, 사람에서 동물까지, 누구나 언제 어디서나 보편적으로AI를 만나게 하는 것이SK텔레콤의 새 캠페인이 추구하는 주된 방향입니다.그중 시작한 인쇄 광고는SK텔레콤AI변화 혁신의 5대 핵심 영역인 고객·기술, 시공간, 산업(AIX), 핵심 사업모델,ESG(환경·사회·지배구조)를 효과적으로 담아내고 고객과 기업, 그리고 산업까지 펼쳐지는 ‘AItoEverywhere’라는 비전을 ‘SKT의AI는 어디에나 있다’라는 핵심 메시지와 비주얼로 표현한 것입니다. 세상 곳곳에서 역할을 하는SK텔레콤의AI기술을 한장에 담기 위해 하늘에서 세상을 내려다보는 독특한 앵글로 구도를 잡고 3차원(3D) 모델링과 렌더링 방식으로 제작했습니다.SK텔레콤의 다양한AI서비스를 쉽게 이해할 수 있도록 간결하게 구성하려고 한 것이 좋은 결과를 만들어 냈다고 생각합니다.SK텔레콤은 앞으로도AI를 중심으로 지속적인 기술 발전을 통해 서비스를 개선하고 다양한 신규 서비스를 추가하여 고객에게 더 나은 서비스를 선보일 수 있도록 노력할 것입니다. 끝으로 저희SK텔레콤에 값진 수상의 영광을 주신 광고대상 심사위원과 관계자 여러분, 그리고 독자 여러분께 깊은 감사의 말씀을 전합니다.김희섭SK텔레콤CPRO[심사평] 기술 발달할수록 감성 터치하는 광고 힘 발휘이명천미국 크리에이티브 명예의 전당에 오른 광고대행사DDB의 신화적 아트디렉터 밥 게이지는 “광고가 제품이나 기술을 팔기보다는 제품이 주는 편익과 소비자가 그것을 통해 얻을 수 있는 만족을 팔아야 한다”고 강조한다. 카메라보다는 사랑을, 화장품보다는 아름다움을 향한 소비자의 욕망을 보여주라는 의미다. 크리에이티브는 그렇게 태어난다.제59회 중앙광고대상 심사는 사랑을 말하는 광고와 소비자 욕망을 향해 다가가는 크리에이티브를 찾는데 주안점을 뒀다. 반도체 기술과 로봇공학이 발달하면 할수록 소비자 욕구와 필요, 본질에 충실한 크리에이티브가 힘을 발휘할 수 있기 때문이다.심사기준은 예년과 같았다. 독자 심사위원 1000여명과 광고전문가 심사위원의 온라인 평가 점수를 각각 40%씩, 그리고 본부위원회 평가를 20% 반영했다. 대상 한 편을 포함하여 9개 부문별 최우수상, 2개의 ‘베스트 커뮤니케이션상’,1개의 ‘베스트 캠페인상’을 선정했다.SK텔레콤이 5년 연속 대상 수상 영예를 이어갔다. ‘인공지능(AI)은 어디에나 있다’라는 헤드라인을 가진 정보 중심적인 광고다. 특히AI가 우리 삶 속으로 급속히 스며들면서 그 부작용에 대한 사회적 논의마저 활발해 지고 있는 것도 독자 심사위원으로부터 관심을 끄는데 영향을 미친 것으로 보인다.올해 수상작의 공통점은 코로나19 팬데믹 마무리와 함께AI의 확산을 비롯해 새로운 환경 속으로 진입하고 있음을 반영한 시의성 있는 메시지라는 것이다. 부문별 최우수상을 받은SK주식회사·신한은행·SK이노베이션·롯데관광·신한카드·한양사이버대·한국도로공사·동서식품·동화약품, 베스트 커뮤니케이션상을 수상한KT&G·현대모비스, 베스트 캠페인상의GS칼텍스 등이 이번 중앙광고대상을 빛냈다. 제59회 중앙광고대상 수상 광고주와 광고인께 진심으로 축하드린다. 높은 관심을 보여주신 독자 심사위원과 전문가 심사위원, 또한 중앙일보와 중앙광고대상을 성원해준 모든 독자와 광고인께 감사드린다.이명천 심사위원장·중앙대 광고홍보학과 교수심사위원 및 행사일정▶전문가 심사위원 명단- 심사위원장: 중앙대학교 이명천 광고홍보학과 교수- 심사위원:  강상욱 디렉터스컴퍼니 부사장, 박소연 오리콤 국장, 박영환HS애드 통합솔루션 2사업부장, 이광현 대홍기획ECD(가나다 순)▶심사일정 및 배점기준- 후보작 선정: 10월 1일~10월 31일- 온라인 독자투표: 11월 13일~11월 20일- 전문 심사위원 평가: 11월 13일~11월 17일- 평가기준: 전문가 심사 40% + 독자투표 40% + 정성평가 20%- 시상식: 12월 12일 10:30~12:00, 웨스틴 조선 서울 2층 오키드룸▶온라인 독자투표 이벤트 당첨자조민식(3358), 김정규(4587) 외 18명 개별통보(메가박스 관람권 지급)중앙광고대상 독자투표에 참여해 주셔서 감사합니다."
2023-09-01,4·19도 그가 알렸다…'현대사 증인' 황경춘 전 AP서울지국장 별세,"한국 현대사의 주요 장면을 취재한 황경춘 전AP통신 서울지국장(사진)이 지난달 31일 오후 5시 30분 숙환으로 별세했다. 향년 99세. [사진 유족·연합뉴스]4·19 혁명, 80년대 민주화운동 등 한국 근현대사의 주요 사건을 취재한 원로 언론인 황경춘 전AP통신 서울지국장이 지난달 31일 별세했다. 99세.고인은 일제강점기인 1924년 부친이 미쓰비시 탄광에서 일할 때 일본 후쿠오카에서 태어났다. ""한국에 가서 우리말을 공부하라""는 부친의 뜻에 따라 귀국해 진주고를 졸업했고, 이후 일본 주오(中央)대 전문부법학과에 진학했으나 학도병으로 징집됐다. 1945년 해방 후엔 미국 군정청에서 통역관으로 일했고, 부산제1공중 교사, 생필품관리원 부산사무소통역관, 주한미대사관 신문과장으로 활동했다.기자 생활을 시작한 것은 한국전쟁이 터진 이후다. 전쟁 때문에 서울에서 부산으로 내려온 코리아타임스에서 기자로 일하다가 1957년AP통신으로 옮겨 31년간 서울 특파원과 지국장으로 활약했다. 외신기자클럽 회장, 타임 서울지국 특파원 등으로도 활동했다.취재 현장의 황경춘 전AP통신 서울지국장(왼쪽). [사진 유족·연합뉴스]5·16 군사정변, 12·12 사태, 5·18 민주화운동, 6월 항쟁까지 요동치며 격변하는 한국 현대사가 고인의 취재 현장이었다. 1960년 4·19 혁명 때는 경찰의 발포 사실이 해외로 알려질 수 있도록 역할을 했다. 군사정권 시절 김영삼 등 야권 정치인을 자주 취재했으며, 김대중 납치 사건 때는 활발하게 기사를 썼다. 1980년 5·18 민주화운동 취재 당시엔 외신 보도를 문제 삼은 전두환 정권에 의해 뉴욕타임스 등 다른 외신 기자들과 함께 사흘간 강제 구금당하기도 했다.타임에서 1992년까지 일했고, 퇴직 후에는 프리랜서로 꾸준히 글을 썼다. 2008년부터 칼럼 전문 사이트인 자유칼럼그룹 홈페이지에 한 달에 한 차례 정도 '황경춘의 오솔길'이라는 코너로 칼럼을 게시했다. 임종 며칠 전까지도 칼럼을 걱정할 정도로 마지막까지 언론인의 역할을 다하려 했던 것으로 알려졌다.유족은 황윤옥(아시안타이거스 상무)·황옥심(미국호텔협회교육원 한국교육원장)·황윤철(전 오리콤 국장)·황윤미·황윤희 씨 등 1남 4녀가 있다. 빈소는 신촌연세장례식장(신촌세브란스병원 장례식장) 3호실이다."
2022-11-23,"[제58회 중앙광고대상] SK텔레콤 ‘만나봐! 키워봐! 일상의 디지털 메이트, 에이닷’","[수상소감] 친근한 소재로 고객 호감 끌어내 좋은 결과김희섭SK텔레콤CPRO2022년 5월,SK텔레콤은 세상에 없던 인공지능(AI) 서비스 ‘A.(에이닷)’을 출시했습니다. 에이닷은SK텔레콤이 고객과 함께 키워나가는 성장형AI서비스입니다. 고객과 친밀한 관계를 맺고, 일상을 함께 하며, 모바일 환경에서 다양한 일을 처리해 주는 ‘일상의 디지털 메이트’가 되는 것을 핵심 가치로 삼고 있습니다.에이닷의 목표는 고객이 좋아하고 필요로 하는 모든 것을 학습하고, 나아가 고객이 무엇을 원하는지 먼저 알아차려 선제적으로 도움을 주는 것입니다. 이에 ‘세상에서 나를 가장 잘 아는 든든한 친구’가 되는 것을 표현하고자 ‘일상의 디지털 메이트, 에이닷’이라는 캠페인 슬로건 아래 다양한 광고 캠페인을 론칭했습니다.신문 광고를 통해선 에이닷의 탄생을 세상에 알리고, 에이닷 브랜드 로고 각인과 서비스 가치 전달을 위한 ‘에이닷 론칭’ 편을 선보였습니다. 에이닷 론칭 편에서는 고객에게 친숙한 ‘인형뽑기 기계’를 활용했습니다. 3D 에이닷 로고 인형을 통해 브랜드 로고를 각인시킴과 동시에 에이닷을 통해 음악·영화·드라마 등 다양한 콘텐트를 무료로 즐길 수 있다는 메시지를 간결하고 강렬한 비주얼로 표현했습니다. 친근한 일상 속 소재를 활용한 직관적인 표현으로 브랜드를 각인시키고 고객의 호감도를 얻고자 했던 노력이 좋은 결과를 만들어 냈다고 생각합니다.SK텔레콤은 앞으로도 에이닷을 비롯해 고객 피드백을 꾸준히 수렴해 서비스를 개선하고, 다양한 신규 서비스도 지속해서 선보여 고객 만족도를 높일 수 있도록 노력할 것입니다. 끝으로 저희SK텔레콤에 값진 수상의 영광을 주신 광고대상 심사위원 및 관계자 여러분, 그리고 독자 여러분께 깊은 감사의 말씀을 전합니다. 감사합니다.김희섭SK텔레콤CPRO[심사평] 엔데믹·뉴노멀 시대로 진입 알리는 메시지이명천 심사위원장·중앙대 광고홍보학과 교수전문가란 어떤 분야를 연구하거나 그 일에 종사해 그 분야에 상당한 지식과 경험을 가진 특별한 사람을 일컫는다. 광고에서는 좀 다르다. 광고에서 전문가는 특별함을 노골적으로 드러내서는 안 된다. 보통 소비자의 눈높이에서 그들의 마음을 읽고 보편타당한 언어로 표현할 때 기발하다는 평가를 받고 전문가로서 대접받게 된다. 그것이 크리에이티브의 본질이고 광고 대가 리오 버넷(LeoBurnett)이 강조하는 ‘커먼 터치(commontouch)’의 의미다.‘제58회 중앙광고대상’은 엔데믹으로 옮겨가는 시점에서 광고의 뉴노멀을 찾는 암중모색의 기회였다. 평범하고 편안하기 때문에 오히려 기발한 크리에이티브를 찾는데 주안점을 뒀다.1000여명의 독자 심사위원들과 광고전문가 심사위원들의 온라인 평가점수를 각각 40%씩, 본부위원회 평가 20%를 반영해 최종 수상작을 결정했다.올해에도SK텔레콤이 4년 연속 대상 수상의 영예를 이어갔다. “만나봐! 키워봐! 일상의 디지털 메이트, 에이닷” 이라는 헤드라인의 광고는 뉴노멀 삶의 단면을 보여준다.올해 수상작들의 공통점은 엔데믹과 뉴노멀 시대로 진입하고 있음을 반영한 시의성 있는 메시지라는 것이다. 부문별 최우수상을 받은SK주식회사, 신한은행,SK이노베이션, 롯데관광, 신한카드, 한양사이버대학교, 한국도로공사, 동서식품, 동화약품 그리고 베스트 커뮤니케이션상을 수상한 현대모비스와KT&G,베스트캠페인상의GS칼텍스, 해외홍보상의 중국 저장성(浙江省) 등이 수상의 영예를 안았다.수상 광고주와 광고인들께 진심으로 축하드린다. 심사위원들, 중앙일보와 중앙광고대상을 성원해주시는 모든 독자와 광고인께 감사드린다. 내년 제59회 중앙광고대상은 경제 활성화와 함께 더욱 성대하게 진행될 수 있기를 기원한다.이명천 심사위원장·중앙대 광고홍보학과 교수제58회 중앙광고대상 수상작심사위원 및 행사일정▶전문가 심사위원 명단-심사위원장: 중앙대학교 이명천 광고홍보학과 교수-심사위원: 강상욱 디렉터스컴퍼니 부사장, 박소연 오리콤 국장, 박영환HS애드 사업부장, 이광현 대홍기획GCD(가나다 순)▶심사일정 및 배점기준-후보작 선정: 9월 19일~10월 31일 -온라인 독자투표: 11월 7~14일-전문 심사위원 평가: 11월 7~11일  -평가기준: 전문가 심사 40%+독자투표 40%+정성평가 20%-시상식: 12월 6일 10:30~12:00, 그랜드 인터컨티넨탈 서울 파르나스 2층 오키드룸▶온라인 독자투표 이벤트 당첨자안지오(1576), 송창미(8430) 외 18명 개별통보 (메가박스 관람권 지급)중앙광고대상 독자투표에 참여해 주셔서 감사합니다.중앙일보 대상-SK텔레콤 ‘만나봐! 키워봐! 일상의 디지털 메이트, 에이닷’SK주식회사 ‘우리에게도 스윗 지구에게도...’SK이노베이션 ‘그린으로 플렉스’롯데관광 ‘이집트 여행’신한카드 ‘너답게 다 플레이 해’한양사이버대학교 ‘세상을 이롭게 하는 교육’한국도로공사 ‘고속도로의 스마트한 진화’신한은행 ‘금융, 내 본능대로 만들어줘!’동서식품 ‘맥심과 함께 풍성한 한가위 되세요’동화약품 ‘국민 생활 건강 캠페인’GS칼텍스 ‘에너지에 혜택을 더하다....’현대모비스 ‘모빌리티가 육체라면...’KT&G ‘세계 속으로 뻗어가는 스무살 청년...’저장성 ‘일상감각(日常感覺)’포스코홀딩스 ‘아르헨티나 염호 리튬 개발...’SK㈜ ‘어스윗어스’글로벌세아 ‘내일을 희망으로 만드는 기술’현대모비스 ‘모빌리티가 육체라면...’KB금융그룹 ‘세상을 바꾸는K-Bee프로젝트’신한투자증권 ‘신한투자증권이 새롭게...’GS칼텍스 ‘계절따라 응원메시지’GS칼텍스 ‘계절따라 응원메시지’GS칼텍스 ‘계절따라 응원메시지’GS칼텍스 ‘계절따라 응원메시지’GS칼텍스 ‘계절따라 응원메시지’헤이딜러 ‘내차 사진관’오리엔트골프(야마하) ‘MakeWaves’불가리 ‘디바스 드림’티파니 ‘2022FWCollection’PCD‘j’adore’"
