date,title,content
2022-06-21,궁금할 때 차트,"궁금할 때 차트(6월 3주)극장 3사 거래액2019년 5월1584억원2019년 8월2259억원2020년 5월135억원2020년 8월776억원2021년 5월397억원2021년 8월697억원2022년 5월1475억원※CGV,롯데시네마, 메가박스 등 극장 3사에서 관객이 결제한 금액은 코로나 이전 수준으로 회복되고 있다.<자료: 와이즈앱>영화 예매율/롯데엔터테인먼트1 탑건: 매버릭2 마녀23 헤어질 결심4 범죄도시25 브로커6 버즈 라이트이어7 극장판 윌벤져스: 수상한 캠핑 대소동8 모어9 룸 쉐어링10 쥬라기 월드: 도미니언<자료: 영화진흥위원회 통합전산망>뮤지컬 판매(주간)1 데스노트2 킹키부츠3 아이다4 웃는 남자5 서편제6 베어 더 뮤지컬7 니진스키8 마타하리9 미아 파밀리아10 모래시계<자료: 인터파크>넷플릭스 시리즈 글로벌(주간)1 기묘한 이야기2 피키 블라인더스3 퍼스트 킬4 인티머시5 착한 신도: 기도하고 복종하라6 링컨 차를 타는 변호사7 신이 선택한 바보8 나는 못난이 베티9 우리들의 블루스10 서바이빙 서머<자료: 플릭스패트롤>"
2024-12-19,"와이즈버즈, 구글 에이전시 엑설런스 어워즈 앱 성장 부문 수상","디지털 광고대행사 와이즈버즈는 구글에서 주최하는 2024 에이젼시 엑설런스 어워즈(GoogleAgencyExcellenceAwards)에서 대한민국의 앱 성장 부문 수상 기업으로 선정되었다고 19일 밝혔다.이 어워즈는 최고의 디지털 마케팅 대행사를 선정하고 구글의 광고 솔루션을 사용해 고객의 성공에 기여한 노고를 치하하는 자리로 전세계 구글 파트너사 대상으로 진행되는 글로벌 행사이다. 2024 에이젼시 엑설런스 어워즈는 ▲글로벌 성장, ▲리드 생성, ▲미디어 통합, ▲앱 성장, ▲온라인 판매, ▲우수 업무 환경, ▲측정 솔루션, ▲크리에이티브 적용 8개 시상 부문에서 업계를 선도하는 우수한 대행사를 선정하였고 와이즈버즈는 8개 부문 중 글로벌 성장, 온라인 판매, 앱 성장 3개 부문의 최종 후보에 올랐다.이중 아모레퍼시픽 캠페인을 통해 앱 성장 부문을 수상함으로써, 구글 광고 솔루션을 활용해 광고주의 앱 설치 수 성장을 이루고 신규 고객 확보 및 앱 활성화를 통한 매출 증대 등 비즈니스를 확장하는데 큰 역할을 한 것을 인정받았다. 또, 자회사인 애드이피션시가 진행한 여기어때 캠페인도 앱성장 부문에 후보로 오르며 양사 모두 앱 마케팅에 있어 전문적인 운영역량과 노하우를 보유하고 있음을 증명했다.와이즈버즈 김종원 대표는 “자회사인 애드이피션시까지 양사 모두 2024 구글 프리미어 파트너로서 최선의 성과를 낸 한해였다”면서 “내년에도 양사가 보유하고 있는 광고 운영역량과 구글 광고 솔루션에 대한 전문성을 적극 활용해 광고주의 캠페인 성과를 고도화하는데 집중할 것”이라고 소감을 밝혔다.한편, 와이즈버즈는 메타, 구글, 틱톡, 네이버, 카카오, X 등의 미디어 세일즈 파트너로 디지털 광고 분야에서 탄탄한 입지를 다져왔으며, 퍼포먼스 마케팅에 특화된 애드이피션시를 인수하고 국내 디지털 광고 대행 분야에서의 경쟁력을 강화해 나가고 있다."
2024-12-06,"와이즈버즈, 유튜브 웍스 어워즈 코리아 ‘베스트 숏츠’ 수상","디지털 광고대행사 와이즈버즈는 ‘2024 유튜브 웍스 어워즈 코리아’ 베스트 숏츠 부문 수상 기업으로 선정됐다고 6일 밝혔다.구글은 지난 27일 글로벌 디지털 영상 광고제인 유튜브 웍스 어워즈 코리아 시상식을 개최했다. 올해로 6회를 맞은 이번 시상식은 역대 최대 출품작 수를 기록했으며 예선을 통해 총 53개의 파이널리스트를 선정했다. 이중 소비자와 진정성 있는 소통을 기반으로 비즈니스 성장을 이끌어 낸 혁신적인 유튜브 캠페인으로 높은 마케팅 성과를 창출한 파트너사를 선정해 11개 카테고리에 대해 시상을 진행했다.와이즈버즈는 파이널리스트 중 6개 부문에 이름을 올렸으며, 이 중 컴투스 ‘미니게임천국’ 재출시 켐페인은 ‘베스트 숏츠’ 부분을 시상했다. 특히, 이번 캠페인은 유튜브 숏츠에 최적화된 크리에이티브를 활용한 전략적 광고 운영을 통해 캠페인 성과를 극대화했다. 광고 영상 공개 이후 약 3주만에 조회수 1백만을 기록했으며, 앱설치 캠페인 없이 출시 9일만에 1백만 누적 다운로드를 달성하며 높은 마케팅 성과를 거뒀다.이 밖에도 와이즈버즈는LG전자와 바슈롬코리아의 캠페인으로 베스트 브랜딩, 베스트 브랜드 팬덤 등의 여러 부문에 파이널리스트로 이름을 올렸으며, 22년 청정원 안주야 캠페인, 23년 하나은행 머니드림 캠페인에 이어 3년 연속 유튜브 웍스 어워즈 코리아에서 본상을 수상했다. 와이즈버즈는 이번 수상을 통해 세분화되어가는 트렌드의 흐름을 반영해 광고주에게 최적의 디지털 마케팅 솔루션을 제시하는 기업으로 입지를 공고히 하게 됐다.와이즈버즈 김종원 대표는 “구글의 프리미어 파트너사로서 유튜브 웍스 어워즈 코리아에서 3년 연속 본상을 수상함으로써 와이즈버즈만의 노하우를 인정받으며 파트너십을 더욱 공고히 하게 되어 의미가 크다”면서 “빠르게 변화하고 있는 미디어 환경의 새로운 기술을 적극 수용해 글로벌 트렌드를 선도하는 한국 브랜드의 성공적인 파트너로 자리매김할 것”이라고 말했다."
2024-12-02,"와이즈버즈, 첫 ‘틱톡 데이’ 성황","틱톡데이에서 와이즈버즈 최호준 전무가 숏폼 트렌드에 대해 설명하고 있다.디지털 광고대행사 와이즈버즈는 자회사인 퍼포먼스 마케팅 기업 애드이피션시와 함께 틱톡 포 비즈니스와 협업해 개최한 첫 ‘틱톡 데이(TikTokDay)’를 성황리에 마쳤다고 2일 밝혔다.지난 28일 삼성동 코엑스 스튜디오에서 개최된 제1회 틱톡 데이는 와이즈버즈와 애드이피션시의 광고주 마케팅 담당자 100여명이 참석해 틱톡에 대한 높은 관심을 증명했다. 이날 행사는 틱톡과 숏폼에 대한 이해를 높일 수 있는 3개의 세션을 통해 숏폼 트렌드를 공유하고 성공 사례를 기반으로 성공적인 마케팅 인사이트를 도출하는데 초점을 뒀다.행사에 참석한 마케터들은 점점 더 짧고 강렬한 숏폼 영상을 선호하는 트렌드와 이에 가장 특화된 매체인 틱톡의 사용 연령층이 점차 높아지는 것에 공감하며, 향후 마케팅에 숏폼을 효율적으로 활용할 수 있는 방법을 모색하는데 집중했다. 이어 마련된 네트워킹 시간을 통해 업계별 주요 이슈와 트렌드, 실질적인 팁을 공유하는 시간을 가졌다.와이즈버즈와 애드이피션시가 틱톡과 함께한 ‘틱톡 데이’는 약 100여명의 광고주가 참석해 성공리에 마무리했다.이날 행사를 주관한 와이즈버즈와 자회사 애드이피션시는 틱톡과 긴밀한 협업을 이어오며 다양한 캠페인 경험과 성공사례를 쌓아 나가고 있다. 특히, 양사는 틱톡을 비롯한 다양한 플랫폼에서 캠페인을 성공적으로 이끌고 있는 광고본부 및 40여명이 넘는 디자인 부서를 보유한 광고대행사로 틱톡을 활용한 마케팅에서 고객사의 캠페인 목적에 따른 최적화된 전략을 제시할 예정이다.와이즈버즈 김종원 대표는 “전세계적으로 가장 주목받고 있는 플랫폼인 틱톡에 대한 높은 관심을 확인한 자리였다”면서 “자회사인 애드이피션시와 와이즈버즈의 운영 노하우와 맨파워를 기반으로 틱톡과 긴밀하게 협업해 최고의 성과를 내는 성공 파트너로 자리 매김할 것”이라고 말했다.한편, 와이즈버즈는 틱톡의 주요 협력사로서뿐만이 아니라 구글, 메타, 네이버, 카카오, X 등의 공식 미디어 세일즈 파트너로 디지털 광고 분야에서 탄탄한 입지를 다져왔으며, 퍼포먼스 마케팅에 특화된 애드이피션시를 인수하고 국내 디지털 광고 대행 분야에서의 경쟁력을 강화해 나가고 있다."
2024-11-21,"와이즈버즈, 틱톡과 ‘틱톡 데이’ 개최","디지털 광고대행사 와이즈버즈는 자회사인 퍼포먼스 마케팅 기업 애드이피션시와 함께 틱톡 포 비즈니스와 협업하여 ‘틱톡 데이(TikTokDay)’를 개최한다고 21일 밝혔다.오는 28일 삼성동 코엑스 스튜디오에서 열리는 틱톡 데이는 업계 관계자들을 대상으로 최근 가장 주목받고 있는 플랫폼인 틱톡과 함께 숏폼 콘텐츠에 대한 인사이트를 제시할 전망이다. 특히, 와이즈버즈와 애드이피션시가 해를 거듭하며 쌓아온 여러 틱톡 마케팅 성공사례를 적극 공유해 브랜드 마케팅에 바로 접목할 수 있는 최적의 전략을 제공하는 것이 큰 특징이다.이번 틱톡 데이는 틱톡과 숏폼에 대한 이해를 높일 수 있는 3개의 세션으로 구성했다. 먼저 ▲‘마케터가 알아야 할 틱톡의 모든 것’이라는 세션을 통해 변화하는 틱톡 유저와 플랫폼의 특징에 대해 자세히 설명할 예정이다. 두번째는 와이즈버즈와 애드이피션시의 실무를 담당하고 있는 팀장들이 직접 발표에 나서 성공적인 풀퍼널과 구매 전환 캠페인의 사례를 통해 ▲’틱톡에서 캠페인 성과를 내는 방법’을 이야기한다. 마지막으로 ▲’지금 쉽게 시작하는 틱톡 크리에이티브’를 주제로 8가지 크리에이티브 공식에 대한 팁을 알려준다.이 밖에도 틱톡 데이 참석자들만을 위한 특별 프로모션도 소개하며, 업계 관계자들간 네트워킹을 위한 시간도 마련할 계획이다. 또, 추첨을 통해 노트북, 호텔 식사권 등의 다양한 경품도 증정한다.와이즈버즈 김종원 대표는 “이번 틱톡 데이는 틱톡과 함께 마련한 첫번째 마케팅 행사라는 점이 큰 의미를 가진다” 면서 “틱톡의 주요협력사로서 틱톡을 활용하는 마케터들이 보다 효율적으로 채널을 운영할 수 있도록 양사가 힘을 합쳐 다양한 프로모션을 마련할 계획이다”고 말했다.한편, 와이즈버즈는 틱톡의 주요 협력사로서뿐만이 아니라 구글, 메타, 네이버, 카카오, X 등의 공식 미디어 세일즈 파트너로 디지털 광고 분야에서 탄탄한 입지를 다져왔으며, 퍼포먼스 마케팅에 특화된 애드이피션시를 인수하고 국내 디지털 광고 대행 분야에서의 경쟁력을 강화해 나가고 있다."
2024-03-26,"와이즈버즈, 원셀프월드와 투자 계약 체결","디지털 광고대행사 와이즈버즈는 블록체인 기술기업인 원셀프월드에 유상증자 배정을 통한 투자 계약을 체결했다고 26일 밝혔다.이번 투자는 원셀프월드의 블록체인 기술을 와이즈버즈의 디지털마케팅 네트워크 및 기술 노하우와 접목시켜 웹3.0 서비스 시장에서 신규 비즈니스를 창출하는 등 전략적인 사업 외연 확장을 위해 이뤄졌다.원셀프월드는 가장 쉽고 대중적인 웹3.0 서비스를 추구하는 블록체인 기술 회사다. 남녀노소 누구나 쉽게 사용할 수 있는 웹3.0 서비스를 추구하며, 블록체인 기술을 담은 취향인증 리워드앱 마이비(MyB)를 오는 4월 출시할 예정이다.이번 투자 계약을 통해 파트너십을 공고히 한 양사는 마이비의 성공적인 론칭을 위해 함께 힘쓸 계획이다. 마이비는 기존의 앱테크 방식에서 벗어나 취향 소득을 제공함으로써 소비자들의 수용도를 높였였으며, 디지털지갑과 소울바운드토큰(SoulBoundToken) 기술을 접목해 더욱 세분화된 타깃팅이 가능진 것이 큰 특징이다. 원셀프월드의 블록체인 기술력에 와이즈버즈의 디지털마케팅 노하우를 접목시켜 앱테크 시장에서 빠르게 자리잡을 것으로 전망된다.원셀프월드의 조창현 대표는 “출시를 앞두고 있는 마이비 서비스의 성공적인 시장 진입과 지속적인 성장을 위한 광고주 영업 측면에서 큰 도움을 받을 것으로 기대한다”면서 “와이즈버즈의 마케팅 노하우와 접점을 확대할 수 있는 대중적인 블록체인 기술 개발에 힘쓸 것이다”고 밝혔다.와이즈버즈 김종원 대표는 “이번 투자는 높은 시장 성장이 예상되는 웹3.0 시장 진출의 초석을 깐 셈이다”면서 “앞으로 기존 디지털마케팅의 한계를 극복하기 위한 기술 투자 등 적극적인 활동을 이어 나갈 것”이라고 말했다."
2024-03-05,"와이즈버즈, 2024 구글 프리미어 파트너 선정","디지털 광고대행사 와이즈버즈는 ‘2024 구글 프리미어 파트너’에 선정됐다고 5일 밝혔다.'구글 프리미어 파트너'는 국가별 상위 3% 이내 파트너사에 부여하는 최고 등급이다. 디지털 마케팅 부문의 프리미엄 파트너로 선정되려면 △고객 성장 △신규 고객 증가 △고객 유지 △제품 다각화 △연간 광고비 지출 등에서 골고루 월등한 실적을 달성해야만 가능하다.와이즈버즈는 최적화 광고 기술 솔루션을 기반으로 구글을 비롯한 메타, 네이버, 카카오 등의 공식 미디어 세일즈 파트너 큰 폭의 성장세를 이어오고 있다. 지난해에는 퍼포먼스 마케팅에 큰 강점을 가지고 있는 애드이피션시를 인수하고, 양사의 기술력과 노하우를 적극 공유하며 국내 디지털 광고 대행 분야의 입지를 공고히 했다.애드이피션시는 2023년 구글 프리미어 파트너 어워즈에서 ‘우수 업무 환경’ 부분을 수상한 바 있으며, 이번 ‘2024 구글 프리미어 파트너’에도 동시 선정되는 쾌거를 이뤘다. 양사 모두 구글의 최신 광고 및 마케팅 도구 및 기술지원 및 제품 교육지원, 베타상품 참여 기회 등을 제공받으며, 시너지를 극대화해 나갈 예정이다.와이즈버즈 김종원 대표는 ""애드이피션시와 동시에 구글 프리미어 파트너에 선정된 것이 매우 의미 있는 일”이라며, “와이즈버즈와 애드이피션시 양사의 기술 노하우를 적극 활용해 구글 프리미어 파트너십을 강화하고, 고객사의 매출 증대를 위해 최선을 다할 것”이라고 말했다."
2023-10-12,"와이즈버즈, 디지털 퍼포먼스 광고 대행사 애드이피션시 인수","디지털 광고대행사 와이즈버즈는 애드이피션시 주식 95%인 3만 8천주를 740억원에 양수한다고 12일 밝혔다.와이즈버즈는 메타와 구글의 글로벌 미디어 세일즈 파트너사로 온라인 광고 대행, 모바일 광고의 기획 및 관련 소프트웨어 개발을 주로 한다.애드이피션시는 네이버 검색 광고 공식 대행사로 ▲20년도 매출 182억원, 영업이익 54억원, ▲21년도 매출 193억원, 영업이익 44억원, ▲22년도 매출 232억원, 영업이익 56억원을 기록한 회사다.이번 인수는 기존 사업과의 연계를 통한 시너지 창출 및 사업경쟁력 확보를 목적으로 하며, 인수를 통한 와이즈버즈의 취급고는 약 4천억원으로 예상된다."
2024-07-01,"와이즈버즈, 당근 전문가모드 공식 대행사 선정","디지털 광고대행사 와이즈버즈는 ‘2024 당근 전문가모드 공식 대행사’에 선정됐다고 1일 밝혔다.당근 전문가모드는 중소형 광고주가 직접 진행하는 간편모드와 달리 목표 맞춤형 광고 및 정밀한 타깃 적용이 가능한 광고 플랫폼이다. 해당 상품은 광고 성과 측정 도구를 활용한 맞춤 보고서 생성이 가능해, 성과를 한눈에 확인하고 이를 기반으로 향후 광고 방향성에 대한 인사이트를 얻을 수 있는 것이 큰 특징이다.국내 최대 하이퍼 로컬 플랫폼인 당근은 개인 간 거래 중개서비스를 바탕으로 성장해 누적 가입자수 약 3천 8백여명, 월간 활성 사용자 수 1천 9백만명을 돌파하는 등 대한민국 대표 지역 커뮤니티 서비스로 자리잡았다.와이즈버즈는 이번 당근과의 파트너십을 계기로 당근 전문가광고의 최신 광고 및 기술 지원, 베타 상품 참여 기회, 교육 지원 등을 제공받아 시너지를 극대화해 나갈 예정이다. 특히, 지난해 인수한 애드이피션시와 광고주 및 인프라 등을 적극 공유해 당근 전문가모드 광고 상품 판매에 적극적으로 나설 계획이다.와이즈버즈 김종원 대표는 ""이번 당근 전문가모드 공식 대행사 선정은 와이즈버즈의 디지털 광고 전문성에 퍼포먼스 마케팅에 강점이 있는 애드이피션시의 인수 시너지가 반영된 결과다”면서 “양사의 노하우를 적극 활용하고, 당근과의 긴밀한 협업을 통해 하이퍼 로컬 플랫폼에 최적화된 광고 솔루션을 제시해 매출 및 마케팅 성과를 극대화는 데 집중할 것”이라고 말했다.한편, 와이즈버즈는 구글, 메타, 틱톡, 네이버, 카카오 등 다양한 공식 미디어 세일즈 파트너로 디지털 광고 분야에서 탄탄한 입지를 다져왔으며, 지난해 퍼포먼스 마케팅에 특화된 애드이피션시를 인수하고 국내 디지털 광고 대행 분야에서의 경쟁력을 강화해 나가고 있다."
2023-07-18,"와이즈버즈, 日현지 법인 설립…해외시장 공략 나서","디지털 광고대행사 와이즈버즈는 일본 법인 설립을 완료하고 본격적으로 일본 광고 시장 공략에 나선다고 18일 밝혔다.와이즈버즈는 지난 10년간 메타를 비롯한 구글, 트위터, 틱톡의 글로벌 미디어 세일즈 파트너사로 견고하게 입지를 다져왔다. 와이즈버즈는 이번 일본 법인 설립을 통해 그간 다져온 노하우를 기반으로 일본 내 이커머스 업종을 타깃으로 퍼포먼스 마케팅 전문 광고대행사로 차별화해 나갈 계획이다.와이즈버즈 재팬은 현지 전문 인력 세팅을 마무리하고, 와이즈버즈가 자체 개발한 광고 최적화 솔루션을 현지화시켜 적용해 나가는 데 집중하고 있다. 현지 법인은 코로나19 이후 큰 폭의 성장세를 보이고 있는 일본 이커머스 기업에 최적화 광고 솔루션을 제시하는 것은 물론, 일본 시장 진출을 계획하는 국내 기업들에게 성공적인 마케팅 파트너로 자리매김해 나갈 전략이다.오랜 기간 메타의 공식 비즈니스 파트너로서 최적화 광고 솔루션 기술을 공급하고 있는 와이즈버즈는 최근 출시된 스레드의 일본 론칭에 주목하고 있다. 트위터 사용율이 높은 일본인들이 사용 편의를 크게 개선한 스레드로의 전환율이 매우 높을 것으로 예상하고, 와이즈버즈 재팬의 최적화 솔루션을 적용한 광고상품 개발에 박차를 가하고 있다.와이즈버즈 광고사업부를 총괄하는 메타 출신의 최호준 전무는 ""일본은 현지화가 매우 중요한 나라로 일본 광고 시장상황에 능통한 전문가 집단을 구축하고 와이즈버즈 고유의 기술력을 접목하는 데 집중했다”면서 “메타의 스레드가 일본 유저들에게 큰 호응을 얻고 있는 가운데 와이즈버즈 재팬의 맨파워가 확보된 만큼, 국내 기업의 성공적인 일본 진출을 위한 최선의 솔루션을 제공할 것”이라고 포부를 밝혔다.국내 광고 시장 대비 약 4배 규모이자 글로벌 세계 3위 규모의 광고시장을 형성하고 있는 일본은 코로나19 이후 이커머스 업종의 지속적인 성장으로 디지털 광고 시장이 가파르게 성장하고 있다."
