date,title,content
2023-10-25,비트코인 10% 급등에 관련 주식도 뛰어,"비트코인 가격이 급등하자 국내 증시에서 관련 주가 큰 폭으로 뛰었다. 24일 우리기술투자는 전날보다 8.59% 오른 4300원에 거래를 마쳤다. 우리기술투자는 국내 최대 가상 화폐 거래소인 업비트 운영사 두나무의 지분을 보유하고 있다. 가상 화폐 거래소 빗썸과 관련이 있는 것으로 알려진 위지트가 가격 제한 폭(29.99%)까지 올랐고, 다날(21.65%), 갤럭시아머니트리(9.58%) 등 가상 화폐 관련 주로 분류되는 종목들 주가도 급등했다.가상 화폐 시세 정보 사이트 코인마켓캡에 따르면, 24일 오후 비트코인 가격은 하루 전보다 10%가량 급등한 3만3900달러(약 4554만원) 부근에서 거래되고 있다.비트코인 가격이 급등한 것은 비트코인 현물ETF(상장지수펀드) 승인 기대가 높아졌기 때문이다. 이날 블룸버그 인텔리전스의 애널리스트 에릭 발추나스는 소셜미디어 X(옛 트위터)에 “블랙록의 비트코인 현물ETF가 미국 중앙예탁청산기관(DTCC)에 등록됐다”며 “블랙록 비트코인ETF의 티커(종목 약어)는IBTC가 될 것”이라고 했다. 그는 블룸버그 인터뷰에서 “비트코인ETF가 완전히 승인된 것은 아니지만,ETF출시 전 처리해야 할 사항들을 모두 해결했다는 의미”라고 설명했다."
2024-01-12,美 비트코인 현물 ETF '국내 거래' 금지에...국내 코인 관련주 '우수수',"비트코인 일러스트. /로이터미국이 비트코인 현물ETF(상장지수펀드)를 승인했다는 소식에 전날 급등했던 국내 가상화폐 관련주들이 12일 장 초반 줄줄이 급락하고 있다. 금융위원회가 국내 증권사 앱을 통해 이ETF를 거래하는 것을 ‘불법’이라고 제동을 걸었기 때문이다.이날 코스닥 시장에서 한화투자증권와 우리기술투자는 각각 15%, 4% 하락하고 있다. 이들은 국내 최대 가상화폐 거래소인 업비트의 운영사, 두나무 지분을 갖고 있어 전날 나란히 상한가를 쳤던 종목이다.또다른 가상화폐 거래소 빗썸 운영사 지분을 갖고 있는 티사이언티픽도 11% 하락한 1660원을 기록하는 중이다. 전날 상한가를 찍었던 티사이언티픽의 대주주, 위지트는 현재 12% 하락하고 있다. 블록체인 핀테크업체 갤럭시아머니트리 역시 7.4% 하락 중이다.전날 일제히 급등했던 가상화폐 관련주들이 하루 만에 약세로 돌아선 것은 미국의 11개 비트코인 현물ETF를 국내 투자자들은 거래하기 쉽지 않게 됐기 때문이다.지난 11일 장 마감 이후 우리나라 금융위원회는 비트코인 현물ETF가 현행 자본시장법에 따른 투자 중개 상품의 라이선스 범위 밖의 상품이라고 판단해 국내 금융투자업자(증권사)의 중개를 허용하지 않기로 했다고 밝혔다. 비트코인은 현행 자본시장법에 명시된 투자상품에 해당되지 않는다는 것이다. 자본시장법상 금융투자업자는 법에 명시된 상품 이외의 매매가 금지된다.➡️드디어 미국에서도 제도권에 들어온 비트코인! 앞으로 코인 시장 전망에 대해 포항공대 출신 주식 전문가 이효석HS아카데미 대표가 알려드립니다. 네이버 등 포탈사이트에서 이효석 대표 영상을 보시려면 다음 링크를 복사에서 접속해보세요.https://youtu.be/qAAbMKmZB0U"
2024-01-12,"비트코인 현물 ETF, 美선 하루 6조원 거래됐는데 한국선 ‘그림의 떡’","국내 거래 막힌 비트코인 현물ETF...증권업계 혼란 가중미국 증권거래위원회(SEC)가 비트코인 현물 상장지수펀드(ETF)의 상장과 거래를 공식 승인한 11일 오전 서울 서초구 빗썸 고객센터 전광판에 이더리움 등이 상승세를 보이고 있다. /뉴스1미 증권거래위원회(SEC)가 비트코인 현물ETF(상장지수펀드) 11개의 상장을 승인하고 첫 거래일인 11일(현지 시각), 하루 동안 46억달러(약 6조원) 규모가 거래된 것으로 나타났다. 첫날부터 대규모 거래가 일어난 것이다.비트코인ETF를 향한 투자 열기가 뜨겁지만 국내 투자자들에겐 ‘그림의 떡’이다. 국내 거래가 막혀 있기 때문이다. 특히 11일 금융 당국이 “국내 증권사를 통해 미국에 상장된 비트코인 현물ETF를 거래하는 것은 위법”이라는 유권해석을 내리면서 증권업계 혼란이 가중되고 있다. 미래에셋증권은 11일 오후부터 캐나다와 독일에 상장된 비트코인 현물ETF의 신규 매수 서비스를 중단했다. 2년 넘게 거래돼 온 상품이지만 당국의 지침에 따라 새로 사지는 못하게 막고 기존 고객의 매도만 허용하기로 한 것이다.KB증권은 12일부터 23개 비트코인 선물ETF신규 매수를 중단시켰다. 여기엔 ‘2X 비트코인 스트래티지ETF’도 포함됐다. 작년 국내 투자자가 2500만달러(약 328억원)어치를 순매수했을 정도로 인기였던 상품 거래가 갑자기 막힌 것이다.KB증권은 “당국의 명확한 가이드라인이 있을 때까지 거래를 보류키로 했다”고 설명했다.전날 금융위원회는 “국내 증권사가 해외 상장 비트코인 현물ETF를 중개하는 것은 가상 자산에 대한 정부의 입장 및 자본시장법에 위배될 소지가 있다”는 유권해석을 내렸다.ETF의 기초 자산인 비트코인은 자본시장법상 금융 투자 상품이 아니기 때문에 증권사가 이를 중개하는 것은 위법이라는 것이다. 개인 투자자들은 “시대착오적 조치”라며 불만을 제기하고 있다. 혼란이 커지자 금융위는 “가상 자산에 대한 규율이 마련되고 있고, 해외 사례도 있는 만큼 개선안을 추가 검토해 나갈 예정”이라고 밝혔다.비트코인ETF국내 거래가 막히자 국내 가상 화폐 관련주 주가는 12일 줄줄이 급락했다. 가상 화폐 거래소 업비트 운영사 지분을 갖고 있어 전날 나란히 상한가를 기록한 한화투자증권과 우리기술투자는 각각 15%, 9% 하락했다. 다른 거래소 ‘빗썸’ 운영사 지분을 보유한 티사이언티픽도 전날 20% 급등했다가 하루 만에 11% 하락했다."
2023-11-15,비트코인 급등·빗썸 IPO 소식에 관련주 들썩,비트코인 일러스트. /연합뉴스비트코인 가격 상승과 가상 화폐 거래소 빗썸의 기업공개(IPO) 추진 소식이 호재로 작용하며 가상 화폐 관련주가 상승세를 보였다.14일 코스닥시장에서 티사이언티픽 주가는 전 거래일보다 7.5% 급등한 1841원으로 마감했다. 최근 일주일 상승률은 26.1%에 달한다. 이 회사는 올해 상반기 말 현재 빗썸 운영사인 빗썸코리아 지분 7.2%를 보유하고 있어 가상 화폐 관련주로 분류된다. 티사이언티픽 지분 19.9%를 보유한 위지트도 최근 일주일 새 27.9% 올랐다. 또 가상 화폐 거래소 지분을 보유한 우리기술투자(16.7%)와 한일진공(18.7%) 등의 주가도 급등세를 나타냈다.가상 화폐 관련주 급등의 배경으로는 우선 최근 비트코인 가격 상승세가 꼽힌다. 미국 증권거래위원회(SEC)가 글로벌 자산운용사들의 비트코인 현물 상장지수펀드(ETF)를 승인할 것이라는 기대감 때문에 비트코인 가격은 지난주 3만7000달러를 넘어서는 등 최근 한 달 새 30% 이상 급등했다. 비트코인 현물ETF가 출시되면 기관 투자자의 자금이 들어와 비트코인 수요가 늘어날 것이란 예상 때문이다.빗썸이IPO를 추진한다는 소식도 호재로 작용했다. 빗썸코리아는 지난달 말 삼성증권을 주관사로 선정했다. 2025년 하반기 상장이 목표다.
2024-01-11,美 비트코인 ETF 상장 승인 소식에 국내 관련주 급등 출발,"11일 오전 서울 중구 하나은행 본점 딜링룸에서 딜러들이 업무를 보고 있다. 연합뉴스미국 증권거래위원회(SEC)의 비트코인 현물 상장지수펀드(ETF) 상장 승인 소식에 국내 증시에서 관련 종목들 주가가 급등한 채 출발했다.11일 코스닥시장에서 오전 9시 32분 현재 우리기술투자는 전날보다 19.77% 오른 7390원에 거래되고 있다. 한화투자증권은 코스피시장에서 22.16% 상승한 4135원을 기록 중이다.우리기술투자와 한화투자증권은 국내 최대 가상화폐거래소인 업비트 운영사 두나무의 지분을 보유하고 있다.국내 가상화폐 거래소 빗썸 운영사인 빗썸코리아 지분이 있는 티사이언티픽과 티사이언티픽의 대주주 위지트도 각각 19.44%와 15.74% 오름세를 보이고 있다.블록체인 핀테크업체 갤럭시아머니트리는 10.12% 상승 중이다.SEC는 10일(현지시간) 성명을 통해 다수의 비트코인 현물 상장지수상품(ETP)의 상장 및 거래를 승인했다고 발표했다.이에 따라 세계 최대 자산운용사인 블랙록을 비롯해 그레이스케일, 피델리티 인베스트먼트 등이 신청한 11개 비트코인 현물ETF가 오는 11일부터 미국 주식시장에 상장돼 거래될 예정이다.금융전문가 디지털자산협의회 창립자인 릭 에델만은 이날 미 경제매체CNBC방송에서 ""ETF는 낮은 비용과 높은 유동성 등 명백한 이유로 미국에서 가장 인기 있는 투자 수단""이라며 ""마침내 출시되면서 개인 투자자와 기관 투자자 양쪽에서 엄청난 자산이 몰릴 것""이라고 전망했다.다만 ""이런 자산 흐름에는 며칠, 몇 주가 아닌 몇 달이 걸릴 것""이라고 말했다."
2024-01-12,첫날 6조 팔린 美 비트코인 ETF…한국은 '금지령'에 서학개미 혼란,"10일 미 증권거래위원회(SEC)가 비트코인 현물 상장지수펀드(ETF) 상장 및 거래를 승인했다. 로이터=연합뉴스비트코인의 현물 상장지수펀드(ETF)가 뉴욕 증시에 입성한 첫날인 11일(현지시간), 상장된 11개ETF의 하루 거래액은 6조원을 넘어선 것으로 나타났다. 하지만 한국에선 금융당국이 미국 비트코인 현물ETF거래에 브레이크를 걸면서 투자자와 증권업계의 혼란이 커지고 있다.이날 뉴욕증시에는 그레이스케일 운용사의 ‘그레이스케일 비트코인 트러스트(종목명GBTC)’ 포함 11개 비트코인 현물ETF가 상장됐다. 로이터통신에 따르면 이날 약 46억 달러(6조원) 상당이 거래됐고, 그레이스케일을 비롯해 블랙록과 피델리티 운용사가 선보인ETF의 거래량이 두드러졌다.금융정보업체LSEG에 따르면 그레이스케일 비트코인 트러스트 거래액은 11일 종가 기준 약 23억 달러다. 전체 11개ETF거래액의 절반 정도를 차지했다. 이날 거래액 규모로는 세계 최대 금 현물ETF인SPDR골드 셰어즈 거래액(12억3000만 달러)도 넘어섰다. 다만 그레이스케일의ETF는 기존의 비트코인 신탁(트러스트) 상품을ETF전환에 따른 거래량이 대다수를 차지한 것으로 전문가들은 분석한다.세계 최대 자산운용사인 블랙록의 ‘아이셰어즈 비트코인 트러스트‘(종목명IBIT)의 거래 규모는 종가 기준 9억5000만 달러로 거래량 2위다. 앞서 암호화폐 운용사들은 앞다퉈 수수료 면제 등 파격적인 조건을 내걸며 고객 끌어들이기에 나섰다. 투자자들은 거래량이 많고 자산 규모가 큰 상품에 몰리는 만큼 초기에 형성된 시장점유율이 잘 바뀌지 않아서다.━한국선 ‘미국 비트코인 현물ETF금지령’…투자자ㆍ업계 혼란그러나 '미국 비트코인 현물ETF'상장 소식 이후 한국에서 투자자와 증권업계가 혼란스러운 상황이다. 금융당국이 미국 증시에 상장된 비트코인 현물ETF투자에 ‘제동’을 걸었기 때문이다. 11일 금융위원회는 비트코인 현물ETF가 자본시장법상 “투자 중개 상품 라이선스 범위에 속하지 않는다”고 판단하고 국내 증권사의 중개를 허용하지 않기로 했다. 현행법상 비트코인은ETF의 기초자산으로 볼 수 없다는 의미다.KB증권이 12일 고객들에게 '암호화폐 기초 선물ETF'거래를 제한한다는 공지..KB증권 홈페이지 캡쳐비트코인 현물ETF매매를 준비했던 국내 증권사들은 부랴부랴 거래 제한을 안내했다. 투자자 커뮤니티에선 서학개미(미국 주식을 사는 국내 투자자)들의 불만의 목소리가 커졌다. 한 개인투자자는 “한국 금융당국의 조치는 수 년 전에 머물러 있는 것 같다”며 “이대로라면 후진적인 시장 환경에서 벗어나지 못하는 것”이라고 비난했다.서학개미의 실망감은 시장에도 영향을 미쳤다. 상승세를 타던 국내 암호화폐 관련주 주가도 급락했다. 12일 암호화폐 거래소 업비트 운영사인 두나무 지분을 가진 한화투자증권(14.89%)과 우리기술투자 주가(9.1%)는 급락했다.증권업계도 혼선을 빚고 있다. 12일 미래에셋증권 등 일부 증권사는 기존엔 거래를 중개했던 캐나다ㆍ독일 비트코인 현물ETF에 대해 거래를 중단했다. 암호화폐업계에 따르면 2021년 2월 이후 캐나다와 독일, 호주 등 시장에 상장된 비트코인 현물ETF는 20여개에 이른다.KB증권은 이날 비트코인이 아닌 다른 암호화폐를 기초자산으로 하는 해외 선물ETF신규 매수까지 제한했다.KB증권은 공지를 통해 “ETF에 대해 금융당국의 명확한 가이드라인이 있기 전까지 암호화폐 선물ETF의 신규 매수를 제한하게 됐다”고 알렸다.다만 금융당국은 비트코인 선물ETF에 대해선 국내 증권사의 거래 중개를 계속 허용한다는 방침이다. 선물ETF의 경우 시카고상품거래소(CME)에 상장된 비트코인 선물 지수에 따라 거래되는 만큼 기초자산 요건을 충족하고 있다는 판단에서다. 익명을 요구한 금융당국 관계자는 “미국 외 국가에서 상장된 비트코인 상품까지 중단한 것은 증권사가 자체 해석을 통해 내린 조치”라며 “추가적인 법적 검토를 통해 조금씩 정리를 해 나갈 계획”이라고 말했다.서지용 상명대학교 경영학부 교수는 “비트코인 현물에 대한 기초자산 논의가 그간 소홀하게 진행된 측면이 있다”며 “투자 기회 확대, 과세 제도 정비 등을 위해선 기초자산으로 해석해나갈 필요가 있을 것”이라고 말했다."
2023-12-10,"""비트코인 겨울 이겼다"" 서학개미 130억원어치 사들인 이 것","미국 주식 투자하는 서학개미들이 이달 들어 미국 최대 암호화폐 거래소 코인베이스를 130억원어치 사들였다. 비트코인 가격이 지난해 4월 이후 처음으로 4만 달러를 넘어서자 투자금이 암호화폐 관련 주식에 몰리고 있다.코인마켓캡에 따르면 비트코인 가격은 10일 4만3894달러로 연초 이후 160% 이상 치솟았다. 사진은 셔터스톡.10일 한국예탁결제원에 따르면 이달 들어 8일까지 국내 투자자들은 코인베이스를 980만2000달러(약 129억원)어치 순매수했다. 미국 주식(상장지수펀드 제외) 중 소매업체인 메종솔루션스(1971만 달러)에 이어 두 번째로 순매수 규모가 컸다. 코인베이스 순매수 순위는 지난달 31위(869만9000달러)에서 2위로 솟구쳤다. 뒤를 이어 엔비디아(826만7000달러), 화이자(772만3000달러), 마이크로소프트(730만5000달러) 등 순이었다.박경민 기자서학개미가 코인베이스에 몰린 건 비트코인 영향이 컸다. 코인마켓캡에 따르면 비트코인 가격은 이달 10일 오후 3시 기준 4만3894달러로 지난달 말(3만7712달러)보다 16%가량 뛰었다. 연초와 비교하면 160% 이상 치솟았다.내년 '비트코인 관련 호재가 많다'는 시장의 기대가 가격을 끌어올리고 있다. 내년 1월 중 비트코인 현물 상장지수펀드(ETF)가 승인될 것이라는 시장의 예상이 커진 데다 4월 중엔 비트코인 채굴(공급)이 절반으로 줄어드는 반감기가 예정돼 있다.현물ETF가 출시될 경우 기관투자자 등의 투자가 가능해져 비트코인에 대규모 자금이 유입되는 등 수요가 급증할 수 있다. 여기에 반감기가 겹치면 공급이 줄면서 암호화폐 가격 상승을 자극할 수 있다는 얘기다. 암호화폐 투자업체인 갤럭시디지털 홀딩스의 노보그라츠 최고경영자는 블룸버그와의 인터뷰에서 “비트코인ETF가 거래되면 첫해에 수십억 달러의 자금이 유입되고, 비트코인에 대한 당국의 심리도 긍정적으로 바뀔 것”이라고 예상했다.비트코인 가격이 들썩이자 그동안 ‘암호화폐의 겨울’을 이겨낸 기업도 덩달아 주가가 뛰고 있다. 우선 코인베이스 주가는 연초 33.6달러에서 이달 8일 146.6달러까지 뛰었다. 최근 한 달 사이 주가 상승률은 57.8%에 이른다. 비트코인을 대량 보유한 마이크로스트레티지 주가는 8일 기준 올해 들어 313% 뛰었다. 또 클린스파크(414.4%), 마라톤디지털홀딩스(393.5%) 등 일부 채굴기업 주가는 연초 이후 300% 이상 치솟았다. 국내에선 암호화폐 거래소인 업비트 운영사 두나무 지분을 보유한 한화투자증권과 우리기술투자가 이달 들어 주가가 각각 15%, 27% 상승했다.박경민 기자전문가들은 내년에도 암호화폐 관련 주가 상승세가 이어질 수 있지만, 과도한 투자는 유의해야 한다고 강조한다.ETF승인이 무산될 우려와 함께 암호화폐의 가격 변동성에 대한 회의적인 시각 때문이다.세계 최대 자산운용사인 뱅가드는 “암호화폐의 높은 변동성은 투자자들이 장기적으로 수익을 창출할 수 있도록 돕는다는 우리의 목표에 반한다”며ETF출시에 회의적이 입장이다. 특히 코인베이스 등 관련 종목의 경우 주가가 급등한 점도 부담 요인으로 작용한다. ‘돈나무 언니’로 알려진 캐시 우드가 이끄는 아크인베스트먼트는 이미 차익 실현을 위해 코인베이스 주식을 대량으로 매도하고 있다.홍성욱NH투자증권 디지털자산 담당 연구원은 “현물ETF승인이 3월까지 미뤄질 수 있고 규제 리스크가 완전히 해소된 것은 아닌 만큼 승인 차질로 하락하더라도 감당할 수 있는 정도로 투자해야 한다”고 조언했다."
2023-12-11,“비트코인 뜬다” 서학 개미들 암호화폐 관련주 폭풍매수,"미국 주식에 투자하는 서학개미들이 이달 들어 미국 최대 암호화폐 거래소 코인베이스를 130억원어치 사들였다. 비트코인 가격이 지난해 4월 이후 처음으로 4만 달러를 넘어서자 투자금이 암호화폐 관련 주식에 몰리고 있다.박경민 기자10일 한국예탁결제원에 따르면 이달 들어 8일까지 국내 투자자들은 코인베이스를 980만2000달러(약 129억원)어치 순매수했다. 미국 주식(상장지수펀드 제외) 중 소매업체인 메종솔루션스(1971만 달러)에 이어 두 번째로 순매수 규모가 컸다. 코인베이스 순매수 순위는 지난달 31위(869만9000달러)에서 2위로 솟구쳤다. 뒤를 이어 엔비디아(826만7000달러), 화이자(772만3000달러), 마이크로소프트(730만5000달러) 순이었다.서학개미가 코인베이스에 몰린 건 비트코인 영향이 컸다. 코인마켓캡에 따르면 비트코인 가격은 이달 10일 기준 4만3900달러로 지난달 말(3만7712달러)보다 16%가량 뛰었다. 연초와 비교하면 160% 이상 치솟았다. 내년 1월 중 비트코인 현물 상장지수펀드(ETF)가 승인될 것이라는 시장의 예상이 커진 데다 4월 중엔 비트코인 채굴이 절반으로 줄어드는 반감기가 예정돼 있다.박경민 기자관련 기업도 덩달아 주가가 뛰고 있다. 코인베이스 주가는 연초 33.6달러에서 이달 8일 146.6달러까지 뛰었다. 클린스파크(414.4%), 마라톤디지털홀딩스(393.5%) 등 일부 채굴기업 주가는 연초 이후 300% 이상 치솟았다. 국내에선 암호화폐 거래소인 업비트 운영사 두나무 지분을 보유한 한화투자증권과 우리기술투자가 이달 들어 주가가 각각 15%, 27% 상승했다.전문가들은 과도한 투자는 유의해야 한다고 강조한다.ETF승인이 무산될 우려와 함께 암호화폐의 가격 변동성에 대한 회의적인 시각 때문이다. 홍성욱NH투자증권 디지털자산 담당 연구원은 “현물ETF승인이 3월까지 미뤄질 수 있고 규제 리스크가 완전히 해소된 것은 아닌 만큼 승인 차질로 하락하더라도 감당할 수 있는 정도로 투자해야 한다”고 조언했다.◆코인거래소 예치금도 이자 지급=내년 7월부터 가상자산거래소에 예치한 돈에 대해서도 이자가 지급될 전망이다. 대체불가능토큰(NFT)과 예금토큰은 가상자산의 범위에서 제외된다. 금융위원회는 이날 이런 내용의 가상자산이용자보호법 시행령·감독규정 제정안을 발표했다. 시행령과 감독규정은 다음달 22일까지 입법예고를 거친 뒤 내년 7월 시행될 예정이다. 지금까지 가상자산사업자는 투자자들이 투자를 위해 코인거래소에 예치한 원화를 은행 계좌 등에 넣어두고 여기서 발생하는 이자를 독차지했다."
2022-05-12,"1000대 기업 매출 1700조 넘었다…삼성전자, 20년째 ‘톱’","지난 1월 서울 서초구 삼성 사옥 모습. 당시 삼성전자는 코로나19 사태 장기화에도 반도체 호황에 힘입어 사상 최대 매출 실적을 올렸다고 발표했다. [연합뉴스]국내 1000대 기업 중 지난해 매출 10조원, 1조원 넘긴 기업은 각각 34곳, 229곳인 것으로 나타났다. 최근 1년 사이 매출이 10조원 넘게 불어난 기업은 삼성전자·포스코홀딩스·포스코인터내셔널·SK하이닉스·에쓰오일 5곳이었다. 크래프톤·국도화학·선진·DB하이텍 등은 ‘1조 클럽’에 가입했다.12일 기업분석기관 한국CXO연구소는 이 같은 내용을 담은 ‘국내 1000대 상장사 매출 현황 분석’ 결과를 발표했다. 조사 대상은 국내 상장사 중 매출 기준 상위 1000곳이다. 개별 및 별도 재무제표 금액을 기준으로 했다.[자료CXO연구소]연구소에 따르면 1000대 상장사 중 801곳이 코로나19 상황에서도 매출이 상승한 것으로 나타났다. 1000대 기업 매출 규모(1734조원)도 처음으로 1700조원을 돌파했다. 2020년(1489조원)과 비교하면 1년 새 245조원(16.4%) 넘게 증가했다.매출 1조원 클럽에 가입한 기업은 역대 최다였던 2019년(209곳)보다 20곳 많아졌다. 해운업체인HMM은 매출이 1년 새 120% 가까이 성장하며 지난해 처음으로 매출 10조원 클럽에 들었다.지난 한해 매출 증가율이 1000%를 넘어선 곳도 있다. 벤처캐피털인 우리기술투자는 2020년 기준 436억원(1500위)이던 매출이 지난해에는 8118억원(266위)으로 1760% 오른 것으로 조사됐다. 이 회사가 보유하던 업비트 운영사 ‘두나무’의 지분 가치가 크게 오르면서 평가 이익이 높아진 덕분이다.[자료CXO연구소]반면 대우조선해양은 매출이 2020년 7조원대에서 지난해 4조원대로 1년 새 2조5000억원 넘게 줄어든 것으로 파악됐다.GS건설도 8조8000억원대에서 7조7000억원대로 최근 1년 새 1조원 이상 매출이 감소했다. 전반적으로 조선·중공업·건설 업계에서 매출이 떨어진 곳이 많았다.1996년부터 2021년까지 26년간 매출 변동 현황을 살핀 결과 삼성전자는 2002년부터 지난해까지 20년 연속 국내 재계 매출 1위를 달성한 것으로 나타났다.1996년 삼성전자 매출은 약 16조원으로 삼성물산과 현대종합상사에 이어 3위였으나, 2002년(매출 39조8131억원) 1위에 오른 데 이어 지난해는 199조7447억원(연결 기준 279조원)으로 200조원에 근접했다. 최근 1년 새 매출 증가율은 20%대 수준으로, 올해는 삼성전자가 연결 기준 매출 300조원, 별도 기준 200조원을 넘어설 것인지가 관심사다.[자료CXO연구소]오일선 한국CXO연구소 소장은 “코로나19 상황에서 호텔, 공연 및 교육, 중저가 항공 관련 기업들은 매출 실적이 저조한 반면 전자와 반도체, 해운, 석유화학, 철강 등은 실적이 크게 호전돼 업종 간 매출 양극화가 심화됐다”며 “새 정부는 산업 생태계가 복원될 수 있도록 정교한 정책을 마련해야 한다”고 말했다."
2024-07-22,‘트럼프 리스크’ 파랗게 질린 반도체·2차전지주…바이든 사퇴 반영,"미 대선 불확실성에 코스피도 약세도널드 트럼프 전 미국 대통령이 지난 18일 공화당 전당대회장에서 후보 수락 연설을 하고 있다.AFP연합뉴스코스피가 22일 조 바이든 미국 대선 후보의 사퇴 등 미 대선 불확실성 및 미국 기술주 약세에 반도체 및 2차전지주를 중심으로 큰 폭의 하락세를 보이고 있다.이날 오전 10시5분 기준 코스피는 전장보다 28.06(1.0%) 내린 2767.40에 거래중이다. 시가총액 상위 종목 중 삼성전자(-1.18%),SK하이닉스(-2.63%), 한미반도체(-3.77%),SK하이닉스의 중간지주회사인SK스퀘어(-5.23%) 등 반도체주와LG에너지솔루션(-3.18%), 삼성SDI(-2.52%),SK이노베이션(-1.88%) 등 2차전지주, 그리고 북미시장 매출액 비중이 높은 현대차(-2.32%), 기아(-1.72%) 등이 내리고 있다.조 바이든 미국 대통령이 대선을 107일 앞둔 21일(현지시간) 민주당 대선 후보직 전격 사퇴를 발표했다. 바이든 대통령은 성명 발표 직후에 자신의 러닝메이트인 카멀라 해리스 부통령을 당 대선 후보로 지지한다는 입장을 밝혔다. 사진은 2021년 6월 백악관에서 해리스 부통령의 연설 장면을 지켜보는 바이든 대통령의 모습. 연합뉴스바이든 후보의 사퇴로 도널드 트럼프 후보의 당선 가능성에 베팅하는 이른바 ‘트럼프 트레이드’가 확산하고, 바이든이 추진해온 반도체 및 이차전지에 대한 보조금 정책이 흔들리게 될 거라는 우려가 작용하고 있다는 분석이 나온다. 미래에셋증권은 “바이든 대통령의 대선 후보 사퇴 영향을 주시하는 가운데 미국 기술주 약세에 투자 심리가 위축되는 모습”이라며 “반도체 업종에 광범위한 매도 압력이 가해지면서 국내 증시의 추가 상승 여력이 제한될 것”이라고 설명했다.반면 트럼프 후보의 대통령의 당선 가능성이 여전히 높다는 관측 등에HD현대건설기계(4.06%), 삼부토건(12.30%), 우리기술투자(5.09%), 한화투자증권(3.11%) 등 관련 종목이 오르고 있다.지난주 말 뉴욕증시는 크라우드스트라이크의 업데이트로 교통·통신·금융 인프라가 동시다발로 마비되는 ‘마이크로소프트(MS)발IT대란’이 발생한 가운데 차익 실현 매물 등이 출회되며 하락했다. 다우존스30산업평균지수가 0.93% 내렸고 스탠더드앤드푸어스(S&P)500지수와 나스닥지수도 각각 0.71%, 0.81% 하락했다. 기술주 중 엔비디아(-2.6%),AMD(-2.7%), 브로드컴(-2.0%) 등이 내리면서 필라델피아 반도체지수는 3.1% 하락했다.이날 오전 10시15분 현재 서울 외환시장에서 원-달러 환율은 전날보다 1.30원 내린 1388.90원에 거래중이다."
