date,title,content
2024-12-13,"고객 대출금 177억 횡령해 ‘가상화폐 투자’ 은행 직원, 징역 15년",창원지법 전경. /뉴스1고객 대출금 177억 원을 횡령한 우리은행 전(前) 직원에게 중형이 선고됐다.창원지법 형사2부(재판장 김성환)는 특정 경제범죄 가중처벌 등에 관한 법률 위반(사기) 등 혐의로 기소된 우리은행 전(前) 직원 30대 A씨에게 징역 15년을 선고했다고 13일 밝혔다.또 우리은행에 105억2000만 원을 배상할 것도 명령했다.A씨는 지난해 7월부터 올해 5월까지 35회에 걸쳐 개인과 기업체 등 고객 17명 명의로 허위 대출을 신청한 뒤 대출금 177억 7000만 원을 빼돌린 혐의로 기소됐다.그는 지난해 7월부터 9월 사이 개인 대출고객 2명에게 연락해 ‘남아 있는 대출 절차를 위해 이미 입금된 대출금을 잠시 인출해야 한다’고 속여 2억2000만 원을 지인 계좌로 받기도 했다.A씨는 이미 대출받은 고객 17명의 명의를 도용해 ‘여신거래약정서’ 등 대출 신청 서류를 위조한 뒤 해당 은행 본점 담당자에게 보내고 마치 고객의 정상적인 대출 신청인 것처럼 속였다.그는 이렇게 빼돌린 돈 대부분을 가상화폐에 투자했던 것으로 드러났다.재판부는 “A씨는 자신을 믿고 대출 업무를 맡긴 피해자들을 배신했고 은행 종사자들과 시장 신뢰에도 큰 악영향을 끼쳤다”며 “범행 수익 상당을 가상화폐에 투자했으며 성실히 살아가는 시민의 근로 의욕을 저해하는 등 사회에 끼친 해악도 크다”고 밝혔다.
2024-11-22,"檢, ‘우리은행 부당대출’ 손태승 前 우리금융지주 회장 구속영장 청구","손태승 우리금융지주 회장. /조선일보DB우리은행 부당대출 의혹에 연루된 손태승 전 우리금융지주 회장이 22일 구속 기로에 놓였다.서울남부지검 금융조사1부(부장 김수홍)는 우리은행 불법대출 사건과 관련해 손 전 회장에 대해 특정경제범죄가중처벌 등에 관한 법률 위반(배임) 혐의로 구속영장을 청구했다고 이날 밝혔다.검찰은 우리은행이 2020년 4월부터 지난 1월까지 손 전 회장 친인척 관련 법인이나 개인사업자에게 350억원 규모의 부당대출을 했다는 현장검사 결과를 금융당국으로부터 넘겨받아 수사 중이다. 또 그외에도 100억원대의 추가적인 불법 대출이 손 전 회장의 지시 또는 묵인하에 이뤄진 것은 아닌지도 조사 중이다.검찰은 구속영장 청구에 앞서 지난 20~21일엔 손 전 회장을 피의자 신분으로 불러 소환조사를 진행했다.검찰은 손 전 회장의 친인척 부당대출 의혹 및 사후조치와 관련해 조병규 은행장을 비롯한 현 경영진이 취임 후 부당대출이 이뤄진 과정을 인지했음에도 금융당국에 제대로 신고하지 않은 부분도 수사하고 있다. 검찰은 지난 18일부터 3일 연속 서울 중구 우리은행 본점에 있는 우리금융지주 등을 압수수색했으며, 손 전 회장의 처남 김모씨를 비롯해 관련자 3명을 재판에 넘겼다.한편 손 전 회장에 대한 구속 전 피의자 심문(영장실질심사)은 오는 26일 오후 2시 서울남부지법에서 열린다."
2024-11-19,"검찰, ‘부당 대출 의혹’ 우리은행 본점 이틀 연속 압수수색","서울 중구 우리은행 본점 모습. /뉴스1손태승 전 우리은행금융지주 회장의 친인척이 460억원대 부당 대출을 받은 의혹과 관련해 수사 중인 검찰이 이틀째 우리은행 본점을 압수수색하고 있다.서울남부지검 금융조사1부(부장 김수홍)는 우리은행장 사무실과 우리금융지주 회장 사무실, 우리은행 본점 대출 관련 부서 등을 압수수색하고 있다고 19일 밝혔다.앞서 검찰은 조병규 우리은행장을 피의자 신분으로 전환했다. 검찰은 조 행장을 비롯한 현 경영진이 부당대출을 인지하고도 금융당국에 즉시 보고하지 않은 부분을 들여다보고 있다.우리은행과 우리금융저축은행 등 계열사들은 손 전 회장 친인척에게 2020년 4월부터 올해 1월까지 460억원대 부당 대출을 해준 혐의를 받고 있다.손 전 회장의 친인척이 우리은행에서 대출을 받으면서 대출 심사와 사후 관리 과정에서 통상적인 절차를 따르지 않고 부적정하게 취급한 것으로 검찰은 보고 있다.한편 검찰은 지난 9월 손 전 회장의 처남인 김모씨를 특정경제범죄가중처벌법상 횡령·사문서 위조·위조사문서행사 등 혐의로 구속기소했고, 부당대출을 주도한 혐의로 우리은행 전 본부장 임모씨도 재판에 넘겼다. 지난 18일에는 우리은행 전 부행장 성모씨가 구속기소됐다."
2024-11-18,"檢, ‘손태승 친인척 부당대출’ 의혹 前 우리은행 부행장 구속 기소","서울 중구 우리은행 본점./뉴스1손태승 전 우리금융지주 회장의 ‘친인척 부당대출 의혹’과 관련해 대출을 주도한 혐의를 받는 전직 우리은행 부행장이 구속 상태로 재판에 넘겨졌다.서울남부지검 금융조사1부(부장 김수홍)는 특정경제범죄가중처벌등에관한법률(배임) 위반 혐의를 받는 전직 우리은행 부행장 성모씨를 18일 구속 기소했다고 이날 밝혔다. 지난달 31일 구속된 지 18일 만이다.성씨는 지난 2022년 9월부터 2023년 5월까지 4회에 걸쳐 총 154억원의 불법 대출을 승인한 것으로 조사됐다. 이날 성씨가 기소됨으로써 부당대출 의혹 관련 재판에 넘겨진 사람은 손 전 회장의 처남 김모씨, 임모 전 우리은행 본부장까지 총 3명이다.남부지검은 이날 오전부터 우리은행장 사무실 및 우리금융지주 회장 사무실 등을 대상으로 압수수색을 진행하며 현직 경영진을 대상으로도 수사 범위를 확대하고 있다. 임종룡 우리금융지주 회장이 손 전 회장 친인척을 둘러싼 우리은행의 부당대출을 알고도 감독 기관에 보고하지 않았는지 살펴보기 위함이다.검찰은 우리은행이 2020년 4월부터 지난 1월까지 손 전 회장의 친인척과 관련된 업체 등에 대해 도합 350억원 규모의 특혜성 부당대출을 내줬다는 금융감독원의 통보를 받고 수사에 착수했다. 현재 검찰은 이외의 추가 불법 대출금도 새롭게 파악했다고 알려졌다."
2024-11-01,"우리은행, 기업대출에 급제동... 조병규 행장 “전략 변화에 사과드린다”","11월부터 임직원 핵심성과평가지표 변경서울 중구 우리은행 본사 전경./뉴스1‘기업 금융 명가 재건’을 내세워 기업대출을 확대해왔던 우리은행이 연말까지 기업대출 영업에 제동을 걸고 나섰다.1일 금융권에 따르면, 우리은행은 11월부터 취급되는 신규 기업대출 실적은 직원 핵심성과평가지표(KPI)에서 제외하기로 했다. 당초 11월이었던 기업대출 잔액 평가기간이 한달 단축됐다. 또, 오히려 11~12월 두 달간은 대출잔액을 줄일 경우에는KPI가점을 주기로 했다.우리은행 관계자는 “대출을 전면 중단하는 것은 아니고 속도 조절 차원”이라며 “건전성 관리 차원에서 사업 연도 말에 통상적으로 시행되는 정책”이라고 했다. 기업대출을 축소해 자본적정성 지표인 보통주자본(CET1) 비율을 높이기 위한 조치로 해석된다.하지만, 갑자기 바뀐 전략에 임직원들의 불만이 크다. 우리은행은 지난해 ‘기업 금융 명가 재건을 위한 전략 발표회’를 열고 “오는 2027년까지 기업 대출을 30조원 늘려 기업 대출 시장점유율 1위를 달성하겠다”며 공언하기도 했다.조병규 우리은행장도 지난 31일 전 직원들에게 이메일을 보내 사과했다. 조 행장은 “최근 대내외 경영환경의 급변으로 인해 전략 방향을 일부 수정해야 하는 상황에 직면했다”며 “현 상황을 사전에 예측하고 신속하게 대응하지 못한 점 사과드린다”고 썼다.그는 “밸류업 계획에 따른 시장과의 약속을 지키기 위해서는 연말까지 은행의 자본 비율을 안정적으로 유지해야 하는 상황”이라며 “환경 변화 대응과 밸류업 계획 완수를 위해 대출 자산 감축은 물론 임대업 등 특정 업종에 치우친 자산의 리밸런싱과 연체율 관리가 반드시 필요하다”고 했다."
2024-10-31,‘친인척 부당 대출’ 우리은행 前 부행장 구속영장 발부...現 임원은 영장 기각,"서울 중구 우리은행 본점 모습./뉴스1손태승 전 우리금융지주 회장의 ‘친인척 부당대출 의혹’과 관련해 대출을 주도한 혐의를 받는 전직 우리은행 부행장이 구속됐다.서울남부지법 정원 영장 전담 부장판사는 31일 오후 2시쯤부터 특정경제범죄가중처벌 등에 관한 법룰 위반(배임) 혐의로 우리은행 전현직 임원 성모씨와 강모씨에 대한 구속 전 피의자 심문을 진행했다.재판부는 “증거 인멸 및 도망할 염려가 있다”며 전직 우리은행 부행장인 성씨에 대한 구속영장을 발부했다. 한편 우리은행 본부장을 맡고 있는 현직 임원 강씨에 대한 구속영장은 기각됐다.재판부는 “범죄사실에 대하여 일부 다투고 있어 피의자의 방어권을 보장할 필요가 있고 주거가 일정하다”며 “다른 공범들과 특별한 인적 관계에 있지 아니한 점 등에 비추어 증거인멸이나 도망의 염려가 있다고 단정할 수 없어 구속의 필요성이나 상당성을 인정하기 어렵다”고 강씨의 기각 사유를 밝혔다.이들은 손 전 회장의 친인척 부당대출에 관여한 혐의를 받는다. 검찰은 지난 29일 이들에 대한 구속영장을 청구한 바 있다.한편, 검찰은 지난달 25일 우리은행 본부장 출신 임씨에 대한 구속 영장을 청구했고, 법원은 이틀 뒤 구속 전 피의자 심문을 연 뒤 “증거 인멸 및 도망할 염려가 있다”며 구속 영장을 발부했다.부당대출 의혹을 받는 손 전 회장의 처남 김모씨는 지난달 24일 특정경제범죄가중처벌법상 횡령 등 혐의로 구속 기소돼 임씨와 함께 오는 11월19일 첫 재판을 받을 예정이다."
2024-10-15,"檢, 허위 대출로 ‘180억 횡령’ 우리은행 전 직원에 20년 구형","서울 중구 우리은행 본점 모습. /뉴스1대출 관련 서류를 조작하는 수법으로 180억원에 가까운 돈을 횡령한 혐의(특정경제범죄 가중처벌 등에 관한 법률상 사기)를 받는 우리은행 전 직원에게 검찰이 징역 20년을 구형했다.창원지검은 창원지법 형사2부(부장 김성환) 심리로 열린 이번 사건 결심 공판에서 이같이 선고해달라고 재판부에 요청했다고 15일 밝혔다. 또 벌금 1억원과 추징금 105억4000여만원도 함께 구형했다.우리은행 경남 김해의 한 지점에서 근무하던 A씨는 지난해 7월부터 지난 5월까지 35차례에 걸쳐 개인·기업체 등 고객 17명 명의의 대출 서류를 위조하는 방법으로 허위 대출을 신청하고, 대출금 등 177억7000만원을 빼돌린 혐의로 구속 기소됐다.검찰 조사결과 A씨는 마치 고객의 정상적인 대출 신청이 있는 것처럼 속여 범행을 이어간 것으로 드러났다. 특히 결재권자가 부재할 때는 관행적으로 실무담당자가 시급한 대출 결재를 대신 해온 점, 지점 대출 요청을 받은 본점이 대출명의자가 아닌 지점으로 대출금을 송금하고 이를 지점에서 처리하도록 하는 경우 등 은행 차원의 관리·감독이 미흡한 점을 노린 것으로 조사됐다.A씨는 또 지난해 7월부터 9월 사이에는 개인 대출고객 2명에게 연락해 “남아 있는 대출 절차를 위해 이미 입금된 대출금을 잠시 인출해야 한다”고 속여 2억2000만원을 지인 계좌로 받기도 했다.그는 이렇게 빼돌린 돈 대부분을 가상자산 투자와 기존 채무를 돌려막는 데 쓴 것으로 드러났다. 이날 검찰은 “피해액 중 105억원은 아직 회수되지 않았고, 기소 전 몰수 보전으로 확보된 44억원을 제외하더라도 피해액은 60억원이 넘는다”면서 “사실상 회복이 불가한 금액이 60억원인 만큼 징역 20년을 선고해달라”고 밝혔다.A씨 측 변호인은 “피해자인 우리은행에도 관리 감독 부실의 책임이 있었고, A씨가 70억원 상당을 변제한 후 자수한 점 등을 참작해달라”고 재판부에 요청했다. A씨는 최후진술에서 “엄청난 피해액을 한평생 갚는다 해도 어렵겠지만, 제 삶이 다할 때까지 변제의 책임을 다하겠다”며 “우리은행과 피해자들에게 피해를 끼쳐 진심으로 사죄드린다”고 말했다.이번 사건 선고는 오는 12월 12일 열릴 예정이다.한편, 우리은행 측은 자체 내부통제 시스템을 통해 이상 징후를 포착했으며, 은행 측이 소명을 요구하자 A씨는 지난 6월 10일 경찰에 자수했다. 경찰은 이날 A씨를 긴급체포했고, 6월 12일 영장을 발부받아 구속했다."
2024-10-15,"檢, ‘손태승 친인척 부당대출’ 주도한 우리은행 전 본부장 구속 기소","손태승 전 우리금융지주 회장 친인척 부당대출 의혹과 관련해 대출을 주도한 핵심 인물로 알려진 우리은행 임모 전 본부장이 지난달 27일 서울 양천구 서울남부지방법원에서 열린 구속 전 피의자 심문(영장실질심사)에 출석하고 있다. /뉴시스손태승 전 우리금융지주 회장의 친인척에 대한 부당대출을 주도한 혐의를 받는 우리은행 임모 전 본부장이 15일 구속 상태로 재판에 넘겨졌다.서울남부지검 금융조사1부(부장 김수홍)는 특정경제범죄가중처벌 등에 관한 법률 위반(배임·수재 등) 혐의로 임 전 본부장을 구속 기소했다고 이날 밝혔다.검찰에 따르면 임 전 본부장은 우리은행 신도림금융센터장과 선릉금융센터장으로 재직할 당시 손 전 회장의 처남인 김모씨와 친분을 쌓아 부당대출에 관여한 혐의를 받는다.검찰은 우리은행이 2020년 4월부터 올해 초까지 손 전 회장의 친인척과 관련된 업체 등에 대해 도합 350억원 규모의 특혜성 부당대출을 실행했다는 금융감독원 조사 결과를 넘겨받아 수사 중이다.검찰은 지난달 25일 임 전 본부장에 대한 구속영장을 청구했고, 법원은 이틀 뒤인 27일 영장실질심사를 진행한 후 “증거 인멸 및 도망할 염려가 있다”며 구속영장을 발부했다.앞서 손 전 회장의 처남 김씨도 특정경제범죄가중처벌법상 횡령 등 혐의로 지난달 24일 구속 기소됐다. 김씨는 아내 명의의 회사 자금을 유용하는 등 혐의를 받는다."
2024-10-02,우리은행 이번엔 55억원 금융사고... 올들어 3번째 사고 터져,"전직 지주사 회장 친인척이 연루된 대규모 부당대출 사건으로 몸살을 앓고 있는 우리은행에서 또 금융사고가 발생했다.2일 금융권에 따르면 우리은행은 55억5900만원 규모의 금융사고가 발생했다고 지난달 30일 은행 홈페이지에 공시했다. 한 시행사가 지난 7월 담보 물건으로 제공한 경기 지역 주거용 오피스텔의 분양대금 관련 서류를 허위로 제출했는데, 이를 걸러내지 못했다는 것이다. 우리은행은 이를 8월 영업점 감사 과정에서 적발했고, 추가 조사를 거쳐 대출 관련자를 사기 혐의로 형사 고소할 방침이다.허위 대출 금액 중 손실 예상액은 명확하지 않으나, 우리은행은 사고 대출의 담보가액이 80억원에 달한다고 설명하고 있다. 은행 관계자는 “대출 연체가 없고 담보 여력도 양호해 현재까지 대출 회수에는 문제가 없는 것으로 파악하고 있다”고 했다.서울 중구에 있는 우리은행 전경/우리은행우리은행은 올해만 3번째 금융사고 공시를 했다. 지난 6월에 경남 김해 지점의 한 대리급 직원이 대출 신청서와 입금 관련 서류를 위조해 105억원 상당을 부당 대출해 이를 빼돌렸다고 밝혔다. 또 손태승 전 우리금융지주 회장의 인척에 대한 164억원 규모의 부당대출이 있었다고 지난 8월 뒤늦게 공시해 비판을 받았다. 우리은행과 우리금융은 2일부터 금융감독원의 정기검사를 받고 있다."
2024-09-27,‘손태승 친인척 부당대출’ 의혹...우리은행 前본부장 구속,"손태승 전 우리금융지주 회장 친인척 부당대출 의혹과 관련해 대출을 주도한 핵심 인물로 알려진 우리은행 임모 전 본부장이 27일 서울 양천구 서울남부지방법원에서 열린 구속 전 피의자 심문(영장실질심사)에 출석하고 있다./뉴시스손태승 전 우리금융지주 회장의 350억원대 친인척 부당 대출과 관련해 이를 주도한 혐의를 받는 우리은행 전 본부장이 27일 구속됐다.서울남부지법 한정석 영장전담 판사는 이날 오후 2시쯤 특정경제범죄가중처벌법상 배임·수재 혐의로 임모 전 본부장에 대한 영장실질심사를 진행했다. 한 판사는 “증거를 인멸할 염려와 도망할 염려가 있다”며 임 전 본부장에 대한 구속영장을 발부했다.검찰에 따르면 임 전 본부장은 우리은행 신도림금융센터장, 선릉금융센터장을 맡으며 손 전 회장의 처남 김모씨와 친분을 쌓은 뒤 부당 대출을 주도한 혐의를 받는다.이날 오후 1시 50분쯤 서울남부지법에 출석한 임 전 본부장은 “친인척 관련 대출이 정상적인 절차를 밟았느냐” “대출해주고 대가성 금품을 받았느냐” 등의 질문을 받지 않고 묵묵히 법정에 들어갔다.우리은행은 지난 2020년 4월부터 올해 1월까지 손 전 회장의 친인척에게 350억원 규모의 부당 대출을 내준 사실이 지난달 초 금융당국에 의해 적발된 바 있다.앞서 검찰은 지난달 27일 손 전 회장의 친인척 부당 대출과 관련, 서울 중구 우리은행 본점 및 선릉금융센터 등 사무실 8곳과 사건 관계자 주거지 4곳 등에 검사와 수사관을 보내 압수수색을 진행했다. 또한 검찰은 지난 24일 손 전 회장의 처남 김씨를 특정경제범죄가중처벌법상 횡령·사문서위조 등 혐의로 구속기소했다."
