date,title,content
2024-08-05,“현금화 중단했다” 위믹스 유통량 조작...장현국 前 위메이드 대표 재판행,"장현국 위메이드 대표가 작년 5월 19일 경기도 성남시 분당구 위메이드 본사에서 열린 국민의힘 코인게이트 진상조사단 2차 회의에서 발언하고 있다./뉴스1허위 발표로 투자자들을 속여 가상화폐 유통량을 조작한 혐의를 받고 있는 장현국 전 위메이드 대표가 불구속 상태로 재판에 넘겨졌다.서울남부지검 금융조사1부(부장 김수홍)는 “코인 현금화를 중단하겠다”는 허위 발표로 위믹스 코인 시세 및 주가를 관리한 코인 발행사 위메이드와 장 전 대표를 각각 자본시장법위반 혐의로 각각 불구속 기소했다고 5일 밝혔다.검찰에 따르면 2020년 10월 위메이드는 위믹스 코인을 가상자산 거래소에 상장한 후 시세가 급등하자 2022년 1월까지 자신이 보유한 위믹스 코인 약 2900억원을 대량으로 현금화했다. 이 돈은 다른 게임회사를 인수하는 등 사업 자금으로 사용됐다. 이 사실이 뒤늦게 외부에 알려지자 위메이드는 투자자들의 비난에 직면했고, 위믹스 코인 시세 및 위메이드 주가가 하락했다.같은 해 2월 장 전 대표는 기자 간담회까지 열며 위믹스 코인의 현금화 중단 선언을 했다. 장 전 대표의 말은 거짓으로 밝혀졌다. 위메이드는 기존의 직접적인 코인 매도 방식이 아닌, 코인을 펀드에 투자한 후 ‘스테이블 코인’으로 회수하는 등 간접적인 방식으로 같은해 10월까지 3000억원 상당의 코인을 현금화했다. 이로써 위메이드는 위믹스 코인 시세 및 주가 하락이 방지되는 등의 이익을 취했다.다만 검찰은 투자자들의 위믹스 코인 매수대금을 위메이드나 장 전 대표가 직접적으로 취득하였다고 보기 어려워 사기 혐의에 대해서는 ‘혐의없음’ 처분을 했다.검찰 관계자는 “앞으로도 금융범죄중점검찰청으로서 수사역량을 발휘하여 자본시장의 공정한 거래질서 확립을 위해 노력하겠다”고 했다."
2024-03-21,1년 만에 연봉 94% 줄어든 장현국 위메이드 부회장,"장현국 전 위메이드 대표/뉴스1한때 게임업계 연봉 1위를 기록했던 장현국 전 위메이드 대표의 작년 연봉이 10억원에 그친 것으로 나타났다. 국내 게임업계가 일부 기업을 제외하고 대거 실적이 악화하면서 경영진 보수 역시 많이 삭감되는 분위기다.위메이드가 21일 공시한 사업보고서에 따르면, 장 전 대표는 지난해 급여 10억원, 복리후생비 300만원으로 총 10억300만원을 받았다. 상여금도 없었고, 주식매수청구권(스톡옵션) 행사도 하지 않았다.장 전 대표는 지난 2022년만 해도 약 173억원의 보수를 수령해 주요 게임사 임원 중 연봉 1위를 기록했다. 당시 급여는 10억원으로 같은 수준이었지만, 상여금(81억2000만원)과 스톡옵션 행사에 따른 차익(81억7000만원)이 컸다. 1년 만에 연봉이 94% 줄어든 것이다.위메이드는 지난해 매출은 늘었지만, 적자폭이 커지는 등 수익성 악화를 겪었다. 지난해 영업손실액은 1126억원으로 전년 영업손실(849억원) 대비 300억원 가까이 적자폭이 커졌다. 위메이드는 “매출 연동비용과 사업 확장에 따른 인건비가 늘며 영업이익이 감소했다”고 밝혔다. 장 전 대표는 지난 14일 급작스럽게 대표직을 내놓고 물러났다. 신임 대표는 위메이드 창업자인 박관호 위메이드 이사회 의장이 맡게 됐다. 박 대표의 작년 연봉은 16억원이었다.국내 게임업계는 전반적으로 경영진 보수를 줄이는 경향을 보이고 있다. 실적 악화로 창사 이래 처음 공동대표 체제까지 도입한 엔씨소프트의 김택진 대표 역시 지난해 연봉이 72억원으로 전년(123억원) 대비 42% 감소했다."
2023-11-07,"위메이드, 3분기 매출 2355억원...역대 분기 최대 기록","위메이드위메이드가 3분기 연결 기준 매출액 2355억원을 기록했다고 공시했다. ‘미르의 전설 2,3′ 중국 라이선스 계약과 ‘나이트 크로우’의 안정적인 매출에 힘입어 역대 분기 최대 매출을 기록했다.위메이드는 3분기 영업이익은 454억원을 기록했다고 밝혔다. 전년 동기 280억원, 전 분기 403억원의 영업손실을 봤지만, 흑자 전환에 성공했다. 위메이드는 ‘미르4′와 ‘미르M’의 중국 퍼블리싱 계약도 연내에 마무리할 계획이다.위메이드는 내년 매 분기 게임을 출시하겠다는 계획이다. 1분기 블록체인을 접목한 ‘나이트 크로우’ 글로벌 버전과 실사 캐릭터 기반 야구 게임 ‘판타스틱4 베이스볼’,2분기 ‘미르4′ 중국 서비스, 3분기 신규IP로 개발 중인 대작MMORPG‘레전드 오브 이미르’ 출시, 4분기 ‘미르M’중국 서비스를 준비 중이다.위믹스(WEMIX) 블록체인 사업 역시 계속 확장하고 있다. 지난 9월 위메이드는SK플래닛과 블록체인 및 플랫폼 시장 생태계 확장을 위해 전략적 제휴를 진행했다. 더불어, 웹 3.0 생태계 구축을 비롯해 기술 혁신을 도모할 글로벌 파트너사들과 지속적으로 협력을 강화하고 있다.위메이드 장현국 대표는 “이번 분기는 대내외 어려운 여건 속에서도 그 동안의 장기적인 노력이 괄목할 만한 사업적 성과로 이어졌다”라고 말하며 “레벨업 된 지속가능한 투자 역량을 기반으로 지속가능한 성장을 성취해 나가겠다”고 전했다."
2023-06-30,"검찰, ‘위믹스 초과물량 유통 의혹’ 위메이드 압수수색","검찰이 김남국 무소속 의원이 대량 보유했던 것으로 알려진 가상화폐 ‘위믹스’의 발행사 위메이드에 대한 강제수사에 들어갔다.경기 성남시 분당구 판교 위메이드 본사. /뉴스1서울남부지검 금융조사1부(부장 직무대리 채희만)는 30일 오전 경기 성남시에 있는 위메이드 본사 등을 압수 수색했다. 지난달 30일 업비트 등 국내 3대 가상화폐거래소를 압수 수색해 위믹스 발행과 유통량 등 거래 내역을 확보한 검찰이 위메이드 초과 물량 의혹과 관련한 본격 수사에 나선 것이다.이날 강제수사는 앞서 위믹스 투자 피해자들이 지난달 11일 서울남부지검에 장현국 위메이드 대표를 사기 및 자본시장법상 사기적 부정거래 혐의로 고소한 사건과 관련돼 있다. 국내 5대 거래소가 만든 디지털자산 거래소협의체(닥사,DAXA)는 위메이드가 애초 공시한 물량과 달리 위믹스를 초과 유통시켰다는 등 이유로 작년 11월 24일 위믹스 코인의 거래 중지를 통보했다. 이에 위메이드는 가처분을 냈지만 법원이 기각하면서 위믹스는 그해 12월 8일 거래소에서 상장폐지됐다.이 과정에서 2000원대였던 위믹스 가격이 200원대로 추락했고, 투자자들은 위메이드로 인해 커다란 피해를 입었다며 고소장을 제출했다. 투자 피해자들은 고소장에서 “위메이드가 위믹스 발행 과정에서 유통량에 대한 고의적이고 심각한 허위사실로 투자자를 기망해 막대한 이익을 챙겼다”고 주장했다. 위믹스는 지난 2월 코인원에서 재상장돼 유통 중이다.한편, 서울남부지검 형사6부(부장 이준동)는 위믹스 대량 보유 의혹에서 시작된 김남국 의원 수사를 이어가는 중이다. 검찰은 지난달 24일과 26일 위메이드에서 김 의원의 위믹스 거래 내역 등을 확보한 이후 김 의원에게 적용 가능한 혐의를 다각도로 검토 중이다."
2023-06-02,‘김남국 코인 수사’ 위메이드 압수수색,"위믹스 유통량 관련 한차례 ‘입법 로비’ 수사로 이어질듯김남국 의원의 ‘위믹스 코인 60억원 보유’ 의혹을 수사 중인 서울남부지검이 위믹스를 발행한 게임업체 위메이드에 대한 수사를 본격화하고 있다. 검찰은 최근 위메이드에 이어 위믹스를 상장했던 가상 화폐 거래소에 대한 압수수색도 단행했다.1일 본지 취재를 종합하면, 검찰은 지난달 24일과 26일 경기 성남 위메이드 본사를 압수수색해 김 의원의 위믹스 거래 내역 등을 확보한 것으로 알려졌다. 검찰은 또 지난달 15일 가상 화폐 거래소 업비트와 빗썸을 압수수색한 데 이어 같은 달 31일에는 업비트와 빗썸을 다시 압수수색하고 코인원도 압수수색 대상에 추가했다. 거래소(5월 15일)와 위메이드(5월 24·26일)에 대한 1차 압수수색은 김 의원의 코인 거래 내역 확보 차원인 반면, 코인원을 포함한 2차 압수수색은 위믹스의 상장·유통 관련 자료를 확보하기 위한 것으로 알려졌다. 검찰은 김 의원의 계좌 정보 등을 확인해 자금 흐름과 출처를 추적하고 있다. 위메이드에 대해서는 위믹스 유통량을 조작하고 위믹스를 ‘입법 로비’에 사용했다는 의혹이 제기돼 있다.검찰은 지난달 31일 압수수색에서 위믹스 상장과 물량, 유통 기록 등 자료를 가져갔다고 한다. 특히 이번 압수 수색 대상엔 업비트와 빗썸에 이어 가상 화폐 거래소 시장점유율 3위인 코인원도 들어갔다. 위믹스는 작년 12월 업비트·빗썸·코인원·코빗 등 가상 화폐 거래소 4곳에서 유통량 허위 공시를 이유로 상장 폐지됐는데, 올해 2월 코인원에 재상장됐다. 검찰은 위메이드가 사전에 밝힌 유통량보다 많은 코인을 공급해 피해자들에게 손해를 끼쳤는지 수사 중이다.위믹스 유통량에 대한 검찰 수사는 위메이드의 ‘입법 로비’ 의혹 수사로 이어질 전망이다. 업계에선 위메이드가 주력하는 P2E(PlaytoEarn·돈 버는 게임) 사업은 국내에서 불법으로 규정돼 있는데, 초과 유통된 위믹스가 국회의원 등에 대한 로비용으로 쓰인 것 아니냐는 얘기가 나온다. 남부지검 관계자는 입법 로비 의혹에 대해 “의미 있게 보고 있다”고 말했다. 위메이드 관계자는 “위믹스를 임의로 추가 발행하거나 물량을 허위로 조작하지 않았다”며 “로비설도 사실무근”이라고 했다."
2023-06-01,"검찰, 위메이드 압수수색… ‘김남국 위믹스’ 거래자료 확보","'위믹스 보유 의혹'으로 더불어민주당을 탈당한 김남국 무소속 의원이 지난달 31일 서울 여의도 국회의원회관 사무실에서 나오고 있다./뉴스1검찰이 김남국 의원의 ‘위믹스 보유 의혹’을 규명하기 위해 발행사 위메이드를 압수수색한 것으로 알려졌다. 검찰은 앞서 김 의원이 이용한 코인 거래소에서 계좌 정보와 입출금 내역 등을 확보한데 이어 위메이드에서 위믹스 거래 내역을 압수하며 수사를 본격화하고 있다.1일 법조계에 따르면 서울남부지검 형사6부(부장 이준동)는 지난달 24일과 26일 경기 성남에 있는 위믹스 발행사 위메이드를 압수수색했다. 검찰은 김 의원의 거래 정보와 내역 등을 확보한 것으로 알려졌다. 김 의원은 작년 초 위믹스 80만개를 빗썸에서 업비트로 옮기다가 ‘이상 거래’로 감지돼 금융정보분석원(FIU)에 적발됐다.검찰은 지난달 15일 김 의원이 위믹스 등을 매매‧보관한 거래소 업비트와 빗썸, 카카오 계열사를 압수수색했다. 같은 달 22일에는 김 의원이 이용한 가상 화폐 예치·교환 서비스 업체인 ‘오지스’도 압수수색했다.법원에서 발부된 압수수색 영장에는 정치자금법 위반, 조세포탈, 범죄수익 은닉 등이 적힌 것으로 알려졌다. 검찰은 김 의원의 코인 거래 내역을 분석해 투자금의 흐름과 출처를 쫓고 있다.검찰은 위믹스와 관련해 ‘유통량 조작 의혹’에 대해서도 수사를 진행하고 있다. 남부지검 금융조사1부(부장 직무대리 채희만)는 지난달 31일 업비트와 빗썸, 코인원을 압수수색해 위믹스 상장과 물량, 유통 기록 등 자료를 가져갔다. 위메이드는 사전에 밝힌 유통량보다 더 많은 코인을 공급해 피해자들에게 손해를 끼쳤다는 의혹을 받고 있다.위믹스 투자자 20여명은 이와 관련해 지난달 11일 장현국 위메이드 대표를 사기 및 자본시장법 위반 등 혐의로 고소했다. 장 대표는 피의자로 입건된 것으로 파악됐다.위메이드 측은 유통량 조작 논란에 대해 부인했다. 위메이드 관계자는 “위믹스를 임의로 추가 발행하거나 물량을 허위로 조작한 적 없다”며 “코인 유통량의 기준이 불명확한 상황에서 거래소와 유통량에 대한 정의가 달랐던 것”이라고 말했다."
2023-05-25,"‘입법 로비’ 의혹 위메이드, 여야 의원실 8곳 14차례 방문","국회 출입 기록 공개‘입법 로비’ 의혹을 받는 게임 업체 위메이드 직원이 2020년 9월부터 2023년 4월까지 국회를 총 14회 직접 방문한 것으로 드러났다. 그 중 11회는 작년 10월부터 올해 4월까지로 집중됐다.이광재 국회 사무총장이 25일 서울 여의도 국회 소통관에서 김남국 의원에 대한 국회 입법 로비 의혹이 불거진 게임사 '위메이드'의 국회 출입 기록 관련 기자회견을 하고 있다. 2023.5.25/뉴스1이광재 국회 사무총장은 25일 기자회견을 열어 21대 국회(2020년~현재) 기간 내 위메이드 직원의 국회 방문 기록 조회 내역을 공개했다. 국회 운영위원회가 전날 전체회의를 열어 여야 합의로 위메이드 직원의 국회 출입기록을 공개하기로 의결한 데 따른 것이다.공개된 내역에 따르면 소속을 ‘위메이드’라고 적은 사람이 2022년 10월부터 올 4월까지 6개월 동안 국회를 총 11회 방문했다. 방문지는 정희용·윤창현(이상 국민의힘) 의원실과 김성주·오기형·김종민·김한규(이상 더불어민주당) 의원실, 민주당에서 제명당한 무소속 양정숙 의원실 등이었다. 2020년 9월에는 ‘위메이드엔터테인먼트’로 소속을 적은 사람이 국민의힘 허은아 의원실을 세 차례 방문했다. 방문한 직원은 총 세 명이며, 방문 경위 등은 전산상으로 확인이 불가능하다고 이광재 사무총장은 전했다.다만 위메이드 직원이 해당 의원들을 직접 만났는지는 미지수다. 공개된 내역에 있는 방문지 외에 다른 의원실 등을 방문했을 가능성 역시 배제할 수는 없다. 외부인이 국회에 출입하면 안내데스크에 소속과 이름, 방문 장소 등을 적어 제출한다. 방문 장소를 의원실로 적으면 직원이 해당 의원실에 전화해 약속 여부를 확인한 뒤 출입증을 발급하는 절차를 거친다. 이 사무총장은 “단순 출입기록이므로 의원실에 가서 의원을 만났는지 비서관을 만났는지, 명의만 빌린 건지는 사실 알 수 없다”며 “(방문 장소로 적은) 그 방 외에 다른 방도 방문한 경우가 있을 수 있는데 전산상으로 확인할 수는 없다”고 했다.이날 국회 사무처는 직원이 들어가고 나온 시각은 공개하지 않았다. 이 사무총장은 “더 자세한 기록은 국회 운영위에 확인해달라”고 했다. 개인정보 보호 측면을 의식한 것으로 보인다.명단에 이름이 오른 민주당 김한규 의원은 이날 “위믹스가 상장 폐지된 뒤 위믹스를 발행한 위메이드 측에서 경위를 설명하겠다고 사무실을 방문해 보좌진을 만났고 저는 만나지 않았다”며 “당시 위믹스 상장 폐지가 기사화된 이후 정무위 소속인 저희 의원실에서 어떤 이유로 상장 폐지됐는지, 거래소 측 과실은 없는지 챙겨볼 때였다”고 했다. 김 의원은 “위메이드 측에서 설명 외에 다른 제안이나 경제적 이익 제공은 없었으며 저를 포함해 어느 보좌진도 위믹스에 투자한 바 없다”고 했다.민주당 김종민 의원은 “당시 보좌관이 면담 요청을 받아 위메이드 측과 면담했다”며 “위메이드는 ‘국내 가상자산거래소의 위믹스 거래지원 종료 관련’ 제목의 자료를 준비해 위메이드 거래지원 종료에 따른 투자자 보호 방안과 국내 가상자산 시장의 가상자산 거래 종료와 관련된 기준 마련 필요성에 대해 설명했다”고 했다. 김 의원은 “위메이드 측이 작년 11월 위믹스 거래지원 종료 방침에 따라 관련 상임위 여야 의원실을 찾아 설명한 것으로, 위메이드 입법 로비 등과는 전혀 무관한 사안이며 저를 비롯한 의원실 직원 전원은 위믹스 등 가상자산에 투자한 바가 없다”고 했다."
2023-05-20,"김남국이 낸 법안, 위메이드가 사활 건 ‘P2E 코인’에 호재","[김남국 코인 논란] 게임社 ‘입법 로비’ 의혹으로 번져김남국 의원의 '위믹스' 등 코인게이트 조사에 나선 국민의힘 코인게이트 진상조사단장인 김성원 의원과 간사인 윤창현 의원 등이 19일 오전 경기 성남시 위메이드 본사를 방문해 기자회견을 하고 있다. /뉴시스김남국 의원의 ‘위믹스 코인 60억원 보유’ 논란이 ‘입법 로비’ 의혹으로 번지고 있다.본지 취재를 종합하면, 가상 화폐 위믹스 코인을 발행한 위메이드의 임직원은 지난 3년간 국회 본청과 의원회관을 14차례 드나들었다. 가상 화폐 업계에서는 이를 통해 가상 자산과 게임 관련 ‘입법 로비’가 이뤄졌을 가능성이 제기된다. 실제 김 의원은 위믹스 등을 보유했던 시기에 가상 자산에 대한 과세(課稅)를 유예하거나 게임 머니를 가상 화폐 범주에 포함시키는 법안을 발의했다. 위메이드나 위믹스 보유자에게 호재인 법안들이었다.김 의원의 가상 자산, 게임 관련 국회 활동 가운데 상당수는 ‘돈 버는 게임(P2E·PlaytoEarn)’과 연관돼 있다. ‘P2E’란 게임에서 얻은 아이템 등을 가상 화폐와 교환해 현금화하거나 다른 재화로 바꾸는 개념이다. 김 의원이 거래한 코인 40여 종 가운데 위믹스와 마브렉스, 젬허브 등은 대표적인 국산 P2E 코인이다.하지만 P2E와 연결된 게임이 국내에서 유통되지는 못했다. 현행 게임산업진흥법이 사행성 문제 등을 이유로 게임에서 획득한 재화를 현금화하는 것을 금지하기 때문이다. P2E 회사들은 게임물관리위원회를 상대로 수차례 행정소송을 제기했지만 모두 패소했다.업계에서는 위메이드를 비롯한 P2E 업체들은 이 문제를 해결하기 위해 여야를 막론하고 공격적인 입법 로비를 펼쳤다는 얘기가 파다하다. 이는 P2E 업체에 유리한 법안을 발의하는 등의 김 의원 국회 활동을 두고 입법 로비 의혹이 불거진 배경이다.가상자산(암호화폐) 이상 거래 의혹 논란에 자진 탈당한 김남국 더불어민주당 의원./ 뉴스1김남국 의원은 민주당 소속이었던 2021년 7월 가상 화폐에 대한 과세를 유예하는 법안(소득세법 개정안)을 노웅래 민주당 의원 등과 발의했다. 국민의힘 윤창현·유경준 의원 등도 비슷한 법안을 대표 발의했다. 또 김 의원은 작년 12월에는 과세를 2년 늦추는 법안을 통과시키는 데 찬성표를 던졌는데, 이 법안은 여야 의원 40명이 공동 발의한 것이다.김 의원은 또 2021년 12월 위믹스와 같은 ‘게임 머니’ 기반 코인을 가상 화폐 범주에 포함시키는 게임산업진흥법 개정안 발의에 참여했다. 민주당 전용기 의원이 대표 발의했고 같은 당 김영배, 오영환, 최혜영 의원 등도 참여했다. 김 의원은 다음 달인 2022년 1월 국회에서 열린 ‘P2E 게임 논란, 어떻게 볼 것인가’ 토론회에도 명단에 이름을 올렸다.민주당 이재명 대표도 대선 후보 시절 국산 P2E 코인을 활성화해야 한다고 했다. 이 대표는 2021년 12월 인터뷰에서 “(P2E를) 네거티브하게 볼 필요는 없다고 생각한다”며 “외국 코인을 사서 국부(國富)를 유출하기보다 국내에 ‘시뇨리지(화폐 주조 차익)’를 획득할 수 있는 방식으로 가야 한다”고 했다. ‘P2E 금지’를 쇄국 정책에 비유하기도 했다. 이 대표의 당시 발언은 가상 자산 및 게임 업계에 큰 호재로 받아들여졌다.위메이드의 주식 및 위믹스 코인 가격은 김 의원 등의 입법 활동과 맞물려 1년 동안 큰 폭으로 올랐다. 2021년 2월 2만원 초반대였던 위메이드 주가는 그해 11월 24만원까지 치솟은 뒤 작년 2월 10만원대를 기록했다.위믹스 코인 가격은 2021년 2월 개당 200원이었지만 같은 해 11월 최고 2만8900원까지 약 145배로 폭등했다. 이에 대해 김 의원은 지난 8일 입장문에서 “가상 화폐 투자 과정에서 투명하고 합법적으로 거래했다”며 “어떠한 불법성도 없이 떳떳하다”고 주장했다. 본인의 돈을 갖고 내부 정보 없이 투자했다는 취지였다.한국게임학회는 19일 ‘위믹스발 코인 게이트’ 토론회를 개최하고 입법 로비 의혹을 제기했다. 위정현 학회장은 “(위메이드는) P2E 합법화를 위해 정치권 로비에 사활을 걸 수밖에 없는 사업 구조를 갖고 있다”며 “업계·정치권의 이익 공동체를 분쇄하기 위해 의원·보좌관 전수 조사를 해야 한다”고 말했다.위메이드 측은 입법 로비 의혹을 강하게 부인했다. 장현국 위메이드 대표는 이날 국민의힘 ‘코인 게이트 진상조사단’과의 면담에서 “한국에서 P2E가 합법화되는 건 요원했기 때문에 글로벌에서 (사업을) 전개하겠다고 밝힌 바 있다”며 “2021년도에는 대관 팀도 없었다”고 했다. 장 대표는 “김 의원에게 어떤 경로로든 위믹스를 전달한 적도 없다”며 “김 의원이 왜 위믹스 거래 내역을 공개하지 않는지 모르겠다”고 한 것으로 전해졌다."
2023-05-11,게임계 진흙탕 싸움으로 번진 ‘김남국 코인 사태’...위메이드 “게임학회가 후원금 요구”,"경기 성남시 분당구 판교 위메이드 본사/뉴스1김남국 더불어민주당 의원의 ‘60억원 코인’ 논란의 주체인 ‘위믹스’ 코인을 발행한 게임사 위메이드가 11일 한국게임학회가 제기한 로비 의혹에 정면 반박했다. 이번 사태가 게임계의 진흙탕 싸움으로까지 번지고 있는 것이다.11일 위메이드 측은 “게임학회 측의 로비설은 사실무근”이라고 반박했다. 그러면서 “오히려 한국게임학회에 각종 학술발표대회뿐 아니라 설립 20주년 기념 학술대회 등과 관련해 5회에 걸쳐 2800만원을 후원했었다”며 “불과 며칠 전인 5월 8일에도 위메이드에게 한국게임학회 춘계 학술발표대회 명목으로 500만원 후원 요청이 들어왔었다”고 했다.앞서 게임학회는 전날 “수년 전부터 불법 돈 버는 게임(P2E·PaytoEarn)을 운영하는 업체와 단체 등이 국회에 로비한다는 소문이 무성했다”는 내용의 성명서를 냈다. 로비 의혹이 있는 업체명을 따로 밝히진 않았지만, 업계에선 위믹스 발행사인 위메이드가 로비의 주체로 지목됐었다.가상 화폐를 발행한 뒤 이를 게임에 사용하는 P2E는 현재 사행성을 이유로 국내서 막혀있다. 한국게임학회는 그동안 국내 P2E 허용에 대해 부정적인 입장을 견지해온 반면, 위메이드는 위믹스 코인을 발행하고 해외에서 블록체인 게임을 개발·운영 하는 등 정반대의 길을 걸어왔다.게임학회는 이어 “국회의원과 보좌관 등 위믹스를 보유한 사람들의 현황을 전수조사하라”고 촉구했다. “P2E게임에 대한 허용 요구가 여야를 막론하고 국회를 중심으로 계속 분출한 것은 바로 이런 이익공동체가 형성된 결과가 아닌가 의심할 수밖에 없다”는 것이다."
2023-03-23,위메이드 “상폐 거친 후 단단해져...年 1만개 게임 아우르는 사업자 될 것”,"장현국 위메이드 대표 간담회“앞으로 모든 게임에 블록체인 적용될 것이다”22일(현지시각) 미 샌프란시스코에서 열린GDC2023에서 장현국 위메이드 대표가 사업 비전을 밝히고 있다. /김성민 기자“P2E(플레이하면서 돈을 버는) 게임은 재미가 없다는 인식이 있습니다. 하지만 그건 오해입니다.”22일(현지시각) 장현국 게임업체 위메이드 대표는 ‘게임 개발자 콘퍼런스(GDC) 2023′이 열리는 미 샌프란시스코 모스콘센터에서 간담회를 갖고, “올해 북미에서 인기를 끄는 스타일의 게임에 블록체인 토큰경제(토크노믹스)를 도입해 성공을 거두고, 블록체인을 활용한 P2E 게임이 재미가 없다는 오해를 불식시키겠다”고 했다.GDC는 전 세계 개발자들이 모여 최신 동향과 기술, 전망을 공유하는 콘퍼런스다. 올해로 37회를 맞았다. 인기 게임 미르4, 미르M을 개발한 위메이드는 작년에 이어 올해도 메타, 아마존웹서비스(AWS) 등과 함께 행사 메인 스폰서로 나섰고 블록체인 기술을 활용한 토큰경제 생태계를 선보였다. 게임의 토큰경제란 사용자가 게임 속에서 얻는 재화를 가상화폐(코인)로 받고, 이를 환전해 실제 세계에서 거래가 이뤄지는 가상화폐로 획득할 수 있는 것이다. 위메이드는 이러한 블록체인 기술을 기반으로 여러 게임 플레이에서 나오는 토큰과NFT(대체불가능토큰)를 위메이드가 발행하는 위믹스라는 가상화폐로 바꿔 여러 게임 간 재화를 통일하는 플랫폼이 되겠다는 계획이다.사실 위메이드는 국내에서 블록체인 기반 게임 대중화를 이끄는 업체다. 장 대표는 “토큰경제를 도입하지 않는 게임은 ‘왜 내가 게임 속에서 돈과 시간을 들여 획득한 코인을 거래하지 못하느냐’는 사용자의 반발에 부딪힐 수 있다”며 “앞으로 모든 게임이 블록체인, 토큰경제를 적용한 게임이 될 것”이라고 했다. 그는 “위메이드에서는 모든 게임을 토큰경제 적용을 염두에 두고 만든다”며 “2018년엔 블록체인 관련 전담 인력이 2명에 불과했지만 지금은 1700여명의 전사 인력이 블록체인 업무에 직·간접적으로 연관돼 있다”고 했다.작년 12월 경기 성남시 분당구 판교에 있는 위메이드 본사 앞. 당시 위메이드가 발행하는 위믹스 코인은 4개 가상화폐 거래소에서 상장폐지를 당했다. 이후 올 2월 코인원에서 거래가 재개됐다. /뉴스1위메이드는 작년 말 발행하던 가상화폐 위믹스가 거래소에서 상장폐지되며 위기를 겪었다. 위메이드가 위믹스의 발행량을 허위로 공시했다는 이유였다. 하지만 가상화폐 거래소 코인원이 올 2월 위믹스 거래를 재개하며 기사회생했다. 장 대표는 “위메이드, 위믹스가 얼만큼 신뢰를 회복했느냐에 대해선 다양한 시각이 있을 것”이라며 “하지만 단편적으로 보면 거래 중단 전 위믹스 시세와 현재 시세가 상당히 비슷한 수준이다. 거래 중단에 대한 문제는 상당부분 신뢰가 회복됐다고 보는 게 맞을 것”이라고 했다.장 대표는 위믹스 상장폐지를 겪으며 회사가 더 단단해졌다고 했다. 그는 “어려운 일을 겪으며 비전이 더욱 구체화됐고 확고해졌다. 전략도 효과적으로 바뀌었다”며 “올해 그동안 준비해왔던 것을 시장에 보여주고 다시 자리를 잡아갈 것”이라고 했다.그는 작년 적자를 기록했던 실적도 올해 흑자 전환할 것이라고 자신했다. 장 대표는 “월 단위로 보면 2~3월부터 흑자가 날 것으로 예상되고 4월에 신작 게임도 나오는 만큼 올해 전체 흑자 달성엔 문제가 없다”고 했다.위메이드는 블록체인 게임 생태계의 허브를 꿈꾼다. 이를 위해 작년 9월 블록체인 게임 네트워크인 위믹스 3.0을 내놨다. 게임 업계에선 이러한 네트워크를 메인넷이라고 부른다. 다른 업체들의 게임을 이 네트워크에 올려 위믹스 코인을 기반으로 한 토큰 생태계를 구축하는 것이다.위메이드는 3~5년 내에 위믹스 메인넷에 연간 1만개의 게임이 올라오는 것을 목표로 하고 있다. 장 대표는 “게임사들이 블록체인 게임을 내놓을 때 가장 먼저 찾는 플랫폼이 되려한다”며 “올해 전체 게임 생태계 메인넷 5위로 올라서고, 블록체인 게임 플랫폼 내에선 계속해서 압도적인 1위 사업자가 되겠다”고 했다."
