date,title,content
2023-11-30,"유니드 정의승 사장, 부회장 승진…이우일 총괄부사장도 사장 승진","OCI그룹 계열 화학기업 유니드는 30일 정의승(65) 대표이사 사장이 부회장으로 승진하고, 이우일(42) 대표이사 총괄부사장이 사장으로 승진했다고 밝혔다. 이 신임 사장은 이화영 유니드 회장의 장남이다.유니드 정의승(왼쪽) 신임 부회장과 이우일 신임 사장./유니드이번 인사는 지난 3월 이우일 대표이사 취임 후 실시한 첫 임원 인사다. 유니드글로벌상사에선 곽현철 상무가 신규 선임됐다. 부회장 1명, 사장 1명, 상무 1명 등 총 3명이 승진했다.유니드는 “이번 인사는 젊은 리더십을 통한 조직문화 혁신과 미래 경쟁력 확보에 초점이 맞춰져 있다”며 “새로운 리더십을 통해 급변하는 시장에 유연하게 대응하고 신(新)성장 동력을 확보하여 미래 경쟁력을 지속 강화할 것”이라고 했다."
2023-12-01,"유니드 부회장 정의승, 사장에 이우일 승진","OCI그룹 계열의 화학 기업 유니드는 30일 정의승(65) 대표이사 사장이 부회장으로, 이우일(42) 대표이사 총괄부사장이 사장으로 승진했다고 밝혔다. 이 신임 사장은 이화영 유니드 회장의 장남이다. 유니드 관계자는 “새로운 리더십을 통해 급변하는 시장에 유연하게 대응하고 신(新)성장 동력을 확보하여 미래 경쟁력을 강화할 것”이라고 했다."
2023-03-17,[경제계 인사] 유니드 각자대표에 3세 이우일 선임 외,"유니드 각자대표에 3세 이우일 선임OCI그룹 화학 계열사 유니드가 16일 이우일<사진>총괄부사장을 정의승 현 대표와 함께 각자대표로 선임했다. 이 각자대표는OCI창업주 일가 3세이자 이화영 유니드 회장의 장남이다. 2011년 유니드에 입사해 화학사업부 해외영업팀, 전략기획실장 등을 거쳤다.▲아시아나항공▷부사장 원유석▷전무 조영석 현일조 김광석▷상무 김길성 윤찬의 박수상 이승환 태기팔 이중기 전미선 한상덕 유병국 김영섭 ▲아시아나IDT▷상무 송영우 나용삼 ▲에어부산▷상무 마호진 민경제 ▲에어서울▷상무 송길영 ▲아시아나에어포트▷상무 고순열 문세환"
2022-12-05,[경제계 인사] 유니드 총괄부사장에 이우일 외,유니드 총괄부사장에 이우일OCI그룹 계열 화학기업유니드는 4일 이우일 부사장이 총괄부사장으로 승진했다고 밝혔다. 이 총괄부사장은 이화영 유니드 회장의 장남이다.▲㈜유니드▷전무 홍지완▷상무 유세영 최준우▲유니드글로벌상사▷사장 이종탁▲농협중앙회▷상무 나중수 신영수 문상철 박상용 정용왕▷상무보 남궁관철 박흥연 이재호▷경기 지역본부장 홍경래▷전북 김영일▷전남 박종탁▷경북 윤성훈▷제주 윤재춘▷부산 정병규▷대구 손원영▷울산 김창현▲농협경제지주▷상무 박서홍 이방현 이찬호
2022-12-04,"이우일  유니드 부사장, 총괄 부사장으로 승진",OCI그룹 계열 화학기업 유니드는 4일 이우일 부사장이 총괄부사장으로 승진했다고 밝혔다. 이 총괄부사장은 이화영 유니드 회장의 장남이다.▲㈜유니드▷전무 홍지완▷상무 유세영 최준우▲유니드글로벌상사▷사장 이종탁
2022-03-14,유니드 2억원 산불성금,화학제품 및 목재 전문기업 ㈜유니드는 동해안 산불에 따른 피해 복구 및 이재민 구호를 위한 성금 2억원을 전국재해구호협회에 14일 전달한다고 13일 밝혔다. 회사 측은 “산림 자원을 활용하는 기업으로서 피해 주민들이 하루빨리 삶의 터전을 되찾기를 기원하는 마음”이라고 말했다. 유니드는 2019년 강원도 인제 산불 때도 성금 1억원을 전달했다.
2023-12-02,마지막 1% 결정하는 ‘소부장’… 산업의 소금·섬유의 반도체 세계 장악,"[한국 경제의 ‘뉴 엔진’ 3부]④ K 소재·부품·장비, 세계가 주목태양광 패널 핵심 소재인POE(폴리올레핀 엘라스토머)의 모습. 전 세계에서 이를 개발·양산할 수 있는 기업은LG화학을 비롯해 미국 다우케미칼과 엑손모빌, 일본 미쓰이, 사우디 사빅과 합작한 국내SK지오센트릭 등 정도에 불과하다.자료=LG화학지난 10월 6일 울산 남구의 화학 업체 유니드 공장. 배용상 부공장장이 설비의 덮개를 열자, 흰색 가루들이 타닥타닥 소리를 내며 기계 안에서 떨어져 내렸다. 고순도 염화칼륨과 소금물을 전해조(電解槽)에 투입해 화학반응을 일으킨 다음, 300℃로 가열해 생산한 고체 가성 칼륨이었다.‘산업의 소금’이라 불리는 가성 칼륨은 태양광, 반도체, 수소 등 첨단 산업부터 농약, 의약품, 식품첨가물까지 필수적으로 쓰이는 소재로 꼽힌다. 유니드는 해마다 한국과 중국을 합쳐 전 세계 가성 칼륨 수요의 3분의 1을 생산, 미국 옥시켐과 올린, 벨기에 이노빈 등을 제치고 세계 1위를 지키고 있다. 유니드의 가성 칼륨이 없으면 최첨단 산업부터 농업·제약 산업까지 타격을 입고, 심지어 스포츠 음료 생산에도 영향을 준다. 유니드 울산 공장은 세계 최대 규모 칼륨 공장으로 언론에 공개되기는 이번이 처음이었다.◇산업의 근간 소부장, 새로운 엔진으로 부각소재·부품·장비, 이른바 ‘급소 기술’이라 불리는 소부장은 짧은 시간에 압축 성장을 하며 세계적인 경쟁력을 갖춘 반도체·조선·철강·디스플레이 등 주요 제조업과 달리 우리 산업계가 상대적으로 미흡한 분야로 꼽혀왔다.하지만 가성 칼륨과 같이 세계시장을 장악한 소부장이 하나둘씩 등장했고, 첨단 산업에서도 글로벌 경쟁을 이겨내는 기업들이 속속 나타난다. 전 세계 자동차 타이어의 절반 이상에 들어가는 타이어 코드를 비롯해 ‘섬유의 반도체’라 불리는 스판덱스는 물론 각종 반도체용 제조·검사 장비와 디스플레이용 필름 등에서 세계 1위를 차지하고 있다.울산KPX케미칼 공장에서 한 직원이 반도체 웨이퍼의 표면을 매끈하게 만들어주는CMP(Chemical-mechanicalpolishing)패드를 살펴보는 모습. /KPX케미칼기술력이 국제 질서를 만들고, 국제 패권을 결정하는 이른바 기정학(技政學·techpolitics)의 시대에 기술력의 핵심인 소부장이 우리 산업의 뉴엔진으로 떠오르고 있다. 이차전지 산업의 밑바탕에LG화학, 포스코퓨처엠 같은 소재 업체가 있고, 수출 효자 자동차의 배경에 품질 높은 자동차 부품이 있는 것처럼 결국 소재→부품→완제품으로 이어지는 제조업 가치 사슬에서 소재·부품 기술력이 궁극적으로 국가 제조업, ‘메이드 인 코리아’의 경쟁력을 결정한다는 것이다.◇탄소섬유·POE등 소부장 씨앗 성장지난 10월 6일 전북 전주시 덕진구의 효성첨단소재 공장. 700m에 이르는 라인 끝에 있는 와인딩 공정에 들어서니 하나당 실 2만4000개씩 묶인 탄소섬유 400~500가닥이 머리 위로 옮겨지며 실패에 감기고 있었다. 탄소섬유는 무게는 철의 4분의 1 수준이지만, 강도는 철의 10배, 탄성은 철의 7배에 이르는 소재다. 최송주CTO(최고 기술 책임자)는 “단면적 1㎟인 탄소섬유는 700㎏ 정도인 경차를 매달아도 버틸 수 있다”고 말했다.이 같은 특성 덕에 탄소섬유는 2010년대 중반 이후 항공기, 차량은 물론 수소와CNG(압축천연가스) 탱크, 건축 등으로 용도가 확대되며 시장이 폭발적으로 커지고 있다. 일본 업체가 장악한 세계시장에서 효성은 2013년 연산 2000t 양산에 성공한 뒤 해마다 증설에 나서고 있다. 최송주CTO는 “2028년까지 전주 공장 기준 연산 2만4000t까지 늘리며 전 세계 시장의 10%를 차지하는 게 목표”라고 말했다.미래가 유망한 소부장은 탄소섬유만이 아니다. 태양광 패널 핵심 소재인POE(폴리올레핀 엘라스토머)는 전 세계적으로LG화학을 비롯해 미국 다우케미칼과 엑손모빌, 일본 미쓰이, 사우디 사빅과SK지오센트릭 등만 개발·양산에 성공한 최첨단 소재다.그래픽=송윤혜◇韓 소부장, 한계보다 기회 말할 때국내 소부장 업계는 과거엔 한계가 먼저 부각됐지만, 이제는 한계보다는 기회를 얘기할 때라는 목소리가 커진다. 소부장 분야 사업체 수와 종업원 수는 전체 제조업에서 절반에 미치지 못하지만, 부가가치 비율은 57.1%로 절반 이상이다. 노민선 중소벤처기업연구원 연구위원은 “일본 수출 통제가 논란이 된 2010년대 말 이후 몇 년 사이에 소부장 생태계가 빠르게 자리 잡으면서 이제는 소부장을 기회로 접근할 때가 됐다”고 말했다. 2001년 부품소재발전기본계획으로 첫 닻을 올린 국내 소부장 정책은 이후 소부장 경쟁력 강화 대책으로 발전한 뒤, 현 정부 들어 글로벌화 전략으로 확대되고 있다.정은미 산업연구원 본부장은 “소부장이 바탕이 돼야 패스트 팔로어를 벗어나 세계시장을 선도할 수 있다”며 “소비자의 선택을 받도록 하는 마지막 1%를 결정하는 소재 경쟁력을 확보하기 위해 소부장의 중요성은 더 커질 것”이라고 말했다."
2022-04-16,첫 응모작으로 서도대전 1위한 기업인,"화학 소재 생산 유니드 이화영 회장15일 이화영 유니드 회장이 서울 을지로 페럼타워 서실에서 붓글씨를 쓰고 있다. /장련성 기자誓海魚龍動 盟山草木知(서해어룡동 맹산초목지).충무공 이순신 장군은 한산도에서 이 같은 시구를 남겼다. ‘바다에 맹세하니 어룡이 꿈틀대고 산에 다짐하니 초목이 알아듣는다’는 의미로, 왜적에 맞서는 애국의 결의를 드러낸다. 기업인인 유니드 회장 이화영(71)씨는 이 열 글자를 행초서 붓글씨로 옮겨썼다. “뜻이 좋은 데다 글씨로도 잘 표현할 수 있을 것 같았다”고 말했다. 이씨는 이 글씨로 사단법인 한국서도협회 주최 ‘제28회 대한민국서도대전’ 대상(문화체육관광부 장관상)을 받았다. 첫 공모전 응모였다.처음 서예를 접한 건 20년 전, 부친 이회림(1917~2007)OCI그룹 창업자가 이끌었다. “선친께서 평소 글씨를 많이 쓰셨다. 2002년 어느 날 붓 던져주시며 ‘글씨 한번 써보라’고 하시더라. 몇 자 써봤더니 곧장 아는 스님께 전화를 걸어 ‘이번 주부터 우리 아이 글씨 좀 가르쳐주시오’ 하셨다. 가끔 내게 참을성이 부족하다며 ‘忍’(참을 인)자를 써주시곤 했는데 그런 마음 아니었을까.” 10여 년 전부터는 서예가 무림 김영기 선생을 사사(師事)하고 있다.이씨는 1997년부터 유니드를 이끌고 있다. 기초화학 소재인 가성칼륨·탄산칼륨 생산 세계 1위 기업이다. 가구·인테리어 용도MDF(가공목재) 국내 시장점유율 1위이기도 하다. 지난해에는 회사 설립 후 처음 매출액 1조원을 돌파했다. “다혈질이었는데 서예를 하면서 차분해졌다. 싫은 소리도 덜 하게 됐다.” 얼마 전 이씨는 아들에게 ‘和而不同’(화이부동)을 서예로 써줬다. 남과 화목하되 똑같아지지는 말라는 군자의 자세를 당부한 것이다.매일 오후 집무실 옆에 마련한 서실에서 붓을 든다. “쓸수록 끝이 없다는 걸 느낀다”며 “정진해서 지금보다 한 차원 높은 글씨를 쓰고 싶다”고 말했다. 시상식은 6월 3일 오후 4시 서울 예술의전당 서예박물관에서 열린다."
2022-11-22,[부음] 김옥수씨 별세 외,"▲김옥수별세,최원찬KB증권 컴플라이언스본부장·최원열·최원희前 건국대 경영대학 행정실장 모친상,이정우前GS건설 장치기계팀장 장모상=20일16시50분 이대목동병원, 발인 23일4시, (02)2650-2743▲신한순별세,최운실한국지역사회교육재단 이사장·최운정모친상,이금구·윤덕희장모상=15일9시 아주대병원, 발인 23일9시, (031)219-4591▲양기철별세,양두호금융감독원 회계심사국 팀장·양현정구갈중 교사·양윤호서부발전 과장 부친상=20일5시20분 제주대병원, 발인 22일9시30분, (064)717-2900▲이영애별세,송진희광주 디자인진흥원장·송윤배자영업·송현배경기대 교수·송현희하늬맘 대표 모친상,김명중前EBS사장·김종민독일 거주 장모상,홍덕희시모상=20일17시30분 익산 원광대병원, 발인 22일9시, (063)855-1734▲이창열별세,이근영조선일보CS두암센터장 장인상=21일8시 무안장례식장, 발인 23일7시, (061)454-9340▲정재선별세,정준양EY한영 감사본부 전무·정하규이마트24SCM총괄팀장·정은조부친상,심병석유니드 C/A사업1팀장 장인상,강영욱·윤서연시부상=20일19시 서울아산병원, 발인 23일5시, (02)3010-2000"
2022-10-06,"‘쪼개기 상장’ 부담되네, 기업개편 트렌드는 인적분할","소액주주 반대·심사 강화…DB하이텍·풍산 등 ‘물적분할’ 잇단 철회최근 인적분할·물적분할 등 기업 지배구조 개편 움직임이 활발하다. 주가가 바닥을 기면서 지분 인수 등 지배구조 개편에 필요한 비용이 줄어들자, 상당수 기업은 “지금이 적기”라며 앞다퉈 기업분할에 뛰어들고 있다. 특히 재작년LG화학과LG에너지솔루션의 물적분할로 기존 투자자들이 거세게 반발한 사례를 겪으면서, 최근 시장에서는 인적분할이 활발하게 이뤄지고 있다. 반면 물적분할을 발표했던DB하이텍·풍산은 소액주주들의 집단 반발에 부딪혀 당초 계획을 줄줄이 철회하고 있다. 최근 금융 당국도 물적분할에 대한 규제를 강화해 앞으로 물적분할은 더욱 힘들어질 전망이다.한화·현대백·코오롱은 인적분할 중한화솔루션은 최근 갤러리아 부문을 9(존속법인 한화솔루션) 대 1(신설 한화갤러리아)로 인적분할한 뒤, 한화갤러리아를 내년 3월 신규 상장하겠다고 밝혔다. 재계 일각에서는 김승연 한화그룹의 셋째 아들 김동선 상무가 갤러리아 신사업전략실장으로 일하고 있는 점을 고려해, 이번 인적분할을 승계 문제와 연결지어 해석하는 시각도 있다. 김동관 한화솔루션 부회장, 김동원 한화생명 부사장, 김동선 한화솔루션 갤러리아부문 상무 등 한화 3형제가 각각 제조·금융·유통 이렇게 3부문으로 나눠 갖는다는 시나리오다.현대백화점그룹도 지난달 주력 계열사인 현대백화점과 현대그린푸드를 각각 인적분할해, 지주회사 체제로 전환하겠다고 밝혔다.현대백화점은 신설 법인인 현대백화점홀딩스와 존속법인인 현대백화점으로 분리된다. 현대백화점홀딩스는 현대백화점이 46.3%의 지분을 보유한 백화점 운영업체 한무쇼핑을 자회사로 지배하고, 현대백화점은 온라인 가구·매트리스 기업인 지누스와 면세점 사업을 자회사로 두는 방식이다. 현대그린푸드도 임대사업, 신규 투자 등을 목적으로 하는 사업 부문을 현대지에프홀딩스(존속회사)와 푸드서비스, 유통 사업, 식재 사업을 목적으로 하는 현대그린푸드(신설회사)로 분리하기로 했다.코오롱글로벌도 지난 7월 인적분할을 통해 수입차 판매·AS부문 신설 회사인 코오롱모빌리티그룹을 세우기로 했다. 코오롱모빌리티는 이웅열 명예회장의 아들 이규호 부사장이 대표로 선임됐다. 화학 소재 기업인 유니드, 건축자재 회사인 아주산업도 최근 이사회에서 인적분할을 결정해 각각 오는 11월, 12월 분할이 이뤄진다.주요 기업들이 최근 인적분할에 적극적으로 나서는 것은 규제 강화로 발목이 잡힌 물적분할의 대안으로 떠오른 측면도 있다. 금융위원회는 지난달 4일 상장 기업의 주주가 물적분할에 반대하는 경우 기업에 주식을 매수해달라고 요구할 수 있는 ‘주식매수청구권’을 부여하고, 물적분할 후 자회사 상장 시 심사를 강화하겠다고 밝혔다.소액주주 반대에DB하이텍·풍산 물적분할 줄줄이 중단반면 최근 물적분할을 추진했던 기업들은 소액 주주들의 반발로 계획을 속속 철회하고 있다. 파운드리(반도체 위탁생산)와 팹리스(반도체 설계) 부문을 운영하고 있는DB하이텍은 팹리스 부문을 물적분할해 자회사로 분사하는 방안을 검토해왔다. 이 소식이 알려지자 소액주주들은 온라인카페를 만들어 물적분할 반대 집단 행동에 나서며, 차라리 인적분할을 하라고 제안했다. 이들은 회사를 상대로 주주명부 열람·등사를 요구하며 가처분 신청을 제기했고, 국회의원들에게 김준기DB그룹 창업회장을 국정감사 증인으로 신청해달라고 요청하기도 했다. 이들의 거센 반발에DB하이텍은 지난달 “현재 진행 중인 분사 작업 검토를 중단하기로 했다”고 공시했다.풍산도 방산사업부를 풍산디펜스로 물적분할하는 안을 이달 말 임시주주총회에서 통과시킬 계획이었지만, 지난 4일 철회했다. 그룹 측은 기존 주주가치 훼손을 막기 위해 풍산디펜스 비상장 상태로 유지하겠다고 밝혔지만, 주주들이 유망 사업인 방위산업을 분리 계획에 반발하며 풍산 주가가 폭락했다. 게다가 물적분할에 대한 엄격한 규제가 시행되기 전의 꼼수 분할이라는 논란과 함께 류진 회장이 국감 증인으로 채택되는 일까지 발생하자 결국 계획을 접었다. 최준선 성균관대 법학전문대학원 명예교수는 “최근 물적분할에 대한 사회적 여론이 악화되고 기업 이미지까지 덩달아 나빠지자, 경영 효율화 등을 위해 기업분할을 고려하고 있는 많은 기업이 인적분할 방안에 눈을 돌리고 있다”고 말했다.☞물적분할·인적분할물적분할은 회사를 둘로 나눈 뒤 기존 회사가 신설 회사의 주식을 100% 소유하는 형태로, 기존 주주는 신설 회사 주식을 배정받지 못한다. 핵심 사업 부문을 떼낸 신설 회사 상장을 통해 대규모 자금 유치가 가능하지만 ‘주주 가치 훼손’ 논란이 불가피하다. 반면 인적분할은 기존 회사 주주들도 신설 회사 지분을 받기 때문에 이런 비판에서 상대적으로 자유롭다."
