date,title,content
2023-03-02,[경제계 인사] 유진기업 외,▲유진기업▷사장 유석훈▷상무 성백민 손현대▷상무보 박철수 심재영 임진택 ▲동양▷전무 권용대 황승률▷상무보 안준수 유정민 황부익 ▲유진투자증권▷상무 김관석 이승우 조희선▷상무보 김구환 ▲유진투자선물▷상무보 장동훈 장만우 ▲유진로지스틱스·유진소닉▷전무 유재송▷상무 배재일▷상무보 국문일 장종식 ▲동화기업▷상무 김용원 ▲유진엠▷상무 윤남일▲신영증권◇전무▷구조화금융본부 배준성▷CM본부 신혁진◇상무▷WM사업본부 임동욱▷리서치센터 김학균▷FICC본부 전윤구▷ECM본부 정성진▷홀세일본부 신영수▷헤리티지솔루션본부 오영표
2023-10-23,"유진그룹, 3199억에 YTN 인수","보도전문채널YTN인수전에서 최종 낙찰자로 유진그룹이 선정 됐다고 발표한 23일 오후 서울 마포구YTN사옥의 모습./뉴스1보도 전문 채널YTN의 공공기관 지분 매각에서 유진그룹이 최종 낙찰자로 선정됐다.YTN지분 매각을 진행 중인 한전KDN과 마사회는 23일 서울 그랜드하얏트서울호텔에서 열린 입찰에서 “최종 낙찰자로 유진그룹 지주사인 유진기업을 선정했다”고 밝혔다. 유진그룹이 한전KDN(21.43%)과 마사회(9.52%)가 보유한YTN지분 30.95%를 인수하면, 그동안 정부 산하 공기업들이 소유하고 있던YTN의 첫 민간 최대 주주가 될 전망이다. 유진기업은 이날YTN지분 30.95%를 인수하는 대가로 최고 낙찰가인 3199억원을 제시했다. 이는YTN의 시가총액 2520억원(23일 기준)을 훨씬 상회한다. 코스닥 상장사인YTN의 시가총액은 한때 4000억원에 육박했으나, 최근 급락했다. 하지만YTN이 보유한 남산서울타워와 상암동 본사 건물 등 자산 가치는 시가총액을 훨씬 상회한다는 평가도 있다.그래픽=김현국YTN지분 매각은 작년 11월 기획재정부가 ‘공공기관 자산 효율화’를 위해 공기업 지분 매각을 승인한 이후 한전KDN과 마사회 등의 지분을 각각 별도로 매각하는 방안이 유력했으나, 최근 매각 주관사인 삼일회계법인이 두 회사의 지분을 합쳐 30%가 넘는 최대 지분을 매각하기로 하면서 급물살을 탔다. 현행 방송법상 자산 규모 10조원 이상 대기업과 일간신문은 보도채널 지분을 30% 넘게 소유할 수 없다는 규정 때문에 이후 중견그룹들이YTN지분 인수에 관심을 보인 배경으로 지목되고 있다.이번 인수전은 입찰 참가 신청 마감인 지난 20일까지 유진그룹, 한세실업, 글로벌피스재단 등이 신청서를 제출해 3파전 양상이 펼쳐졌다. 방송가에선 “30% 넘는 지분이 매물로 나오면서 경영권 프리미엄이 더해졌다”고 보고 있다.유진그룹은 유진기업·유진투자증권·동양·유진로지스틱스 등 건축·금융·물류 등에서 52개 계열사를 거느린 중견그룹이다. 올초 공정거래위가 발표한 공시대상기업집단 순위에서 78위, 공정거래법상 그룹 자산은 5조3440억원, 매출액은 4조650억원이다. 방송 분야에선 1997년 이후 부천·김포와 서울 은평 지역에서 40만 가입자를 확보한 케이블TV사업자로도 활동했으나, 2006년CJ홈쇼핑에 3581억원에 지분을 매각한 뒤 방송에선 손을 뗐었다.유진그룹은 한전KDN및 마사회와 계약 체결 후 30일 이내에 방송통신위원회에 최다액 출자자 변경 승인을 신청하고, 60일 이내에 승인을 받으면 정식으로YTN의 새 최대 주주가 된다. 방송법에선 방송의 공적 책임과 공정성 및 공익성의 실현 가능성, 사회적 신용 및 재정적 능력, 시청자의 권익 보호 등을 심사 요건으로 제시하고 있다.YTN은 지상파YTN라디오(37.08%)와YTNDMB(28.52%) 지분도 갖고 있어 인수 기업의 지상파 방송사 소유 규제 위반 여부도 따져야 한다.언론노조 등은 민간 최대 주주 등장에 반발하고 있다. 민노총 산하인 전국언론노동조합YTN지부는 이날 성명을 내고 “윤석열 정권의 언론 장악 시도”라며 “언론 장악 하청업체는YTN에 발 못 붙인다”라고 했다. 하지만 1997년 외환 위기 이후 계속되어온YTN의 이른바 ‘공적 소유 구조’ 변화가 오히려 정치적 간섭에서 벗어날 수 있는 기회로 작용할 것이라는 의견도 많다."
2023-10-23,YTN 최종 낙찰자 유진그룹…인수가 3199억원,"YTN상암동 사옥 전경. /뉴스1보도전문 채널YTN최종 낙찰자에 유진그룹 지주사인 유진기업이 선정됐다.23일 투자은행(IB) 업계에 따르면, 이날YTN매각 측인 한전KDN과 한국마사회는 인수가로 3199억원을 써낸 유진기업을 최종 낙찰자로 선정했다.이번 매각 대상YTN지분은 한전KDN(21.43%)과 한국마사회(9.52%)를 합쳐 30.95%다. 관련 절차가 마무리되면 유진그룹은YTN최대주주가 된다.유진그룹은 앞으로 방송통신위원회의 최다액출자자 변경 승인을 받아야 정식으로YTN의 새 최대 주주가 될 수 있다.방통위는 방송법 등에 따라 위원회 의결을 거쳐 ▲ 방송의 공적 책임·공정성 및 공익성의 실현 가능성 ▲ 사회적 신용 및 재정적 능력 ▲ 시청자의 권익 보호 ▲ 대기업·언론사·외국인 등에 대한 방송사 소유 규제 등을 고려해 승인 여부를 결정한다.유진그룹은 건자재·유통, 금융, 물류·IT,레저·엔터테인먼트 사업 등에서 50여개의 계열사를 거느리고 있다.앞서 지난 20일 마감된YTN공기업 지분 매각 입찰에는 최종적으로 유진그룹을 포함해 한세실업, 글로벌피스재단 등 3곳이 참여했다."
2024-01-03,"[기업 브리핑] 유진그룹, ‘기부 시무식’서 성금 10억","유진그룹은 2일 시무식에서 사회복지공동모금회와 대한적십자사에 각 5억원씩, 총 10억원 성금을 기탁하는 행사를 열었다. 성금 기탁에는 유진기업과 유진투자증권, 동양, 푸른솔골프클럽 등 주요 계열사가 참여했다."
2024-06-04,[부음] 강규원씨 별세 외,"▲강규원별세,장영순남편상,강성진한국경제TV상무·강미성·강형래·강형탁부친상=2일20시 서울성모병원, 발인 5일7시, (02)2258-5951▲이세종前 대전 세종정신과 원장 별세,윤영순남편상,이규백고려대 바이오의공학부 교수·이규홍前 사학연금 자금단장·이규광대전 세종정신과 원장·이은영부친상,김배수신기율한의원장 장인상,한미선·김희정·이효진대전 세종정신과 의사·양혜선대전 유성여고 교사 시부상=2일16시 대전 을지대병원, 발인 5일7시30분, (042)259-1081▲최태경별세,백정자남편상,최소영파이낸셜뉴스 교열팀장·최하영·최시영우신운수 근무 부친상,신수용목양종합건축사사무소 상무·김권대경남 창원 모란여성병원 의무원장 장인상,강진실청담병원 간호사 시부상=3일2시 서울성모병원, 발인 5일5시, (02)2258-5969▲장이금별세,박선이여성문화네트워크 대표·박인이월간 산 근무·박상률유진기업 고문 모친상=3일0시30분 서울대병원, 발인 5일7시30분, (02)2072-2014"
2022-12-20,대기업 가동률 70%대로 추락… 침체가 코로나보다 셌다,"경기 침체 여파로 올 3분기 국내 대기업의 가동률이 1년 전보다 2%포인트(p) 이상 하락해 70%대로 떨어졌다. 건설 자재와 조선·기계 설비 업종의 가동률이 가장 큰 폭의 하락세를 보였다.기업분석연구소 리더스인덱스는 20일 “국내 매출 상위 500대 기업 중 가동률을 공시한 200개 기업을 분석한 결과, 이들 기업의 올해 3분기 평균 가동률은 78.4%로 집계됐다”고 밝혔다. 이는 작년 3분기(80.5%)보다 2.1%p 하락한 것으로 코로나 확산 첫해인 2020년 3분기(79.4%)보다도 낮은 수치다. 리더스인덱스는 “기업들이 설비투자를 통해 생산능력은 늘렸지만 글로벌 경기 침체로 생산 실적은 그에 미치지 못해 가동률이 떨어진 것”이라고 분석했다.업종별로는 건설 자재 업종의 하락 폭이 가장 컸다. 건설 자재 업종 가동률은 올해 3분기 70.5%로 작년 3분기보다 7.4%p 하락했다. 같은 기간 조선·기계 설비 업종의 가동률(72.9%)도 7.4%p 하락했다. 이어 에너지(-6.4%p), 석유화학(-5.4%p), 유통(-3.2%p), 철강(-2.5%p),IT·전기전자(-2.2%p) 순으로 가동률 하락 폭이 컸다. 전체 14업종 중 가동률이 1년 전보다 상승한 곳은 자동차 및 자동차 부품(2.5%p), 제약(0.8%p)뿐이었다.기업별로는 레미콘·골재 제조 업체 유진기업의 가동률(52.7%)이 1년 새 27.4%p 급락해 낙폭이 가장 컸다. 석유화학기업 가동률 하락 폭도 컸는데, 애경케미칼은 76.7%에서 53.8%로 22.9%p 떨어졌다. 반면 새 주인을 찾은 쌍용자동차는 가동률이 1년 전보다 60%p 상승했고 매일유업(23.3%p),KG스틸(16.3%p) 등도 가동률이 크게 올라갔다. 매출 상위 20대 기업 중에서는 기아(12.6%p), 현대모비스(4.4%p),LG에너지솔루션(20%p)을 제외한 나머지 기업의 가동률이 모두 감소했다."
2022-06-10,화물연대 파업에 건설현장 공사 중단 ‘초읽기’,"수도권의 한 아파트 단지 공사현장./연합뉴스나흘째 이어진 화물연대 총파업의 여파로 수도권 레미콘 공장들이 운영을 중단하면서 건설현장도 비상이 걸렸다. 레미콘을 공급받지 못하면 건설의 핵심인 골조 공사를 할 수 없어 현장의 모든 작업이 사실상 ‘올스톱’된다. 주요 건설사들은 “대체 공정 업무를 하고 있어 아직 공사가 중단될 정도는 아니다”라면서도 “운송 중단이 장기화하면 공사를 멈출 수밖에 없다”고 전한다. 다음 주가 되면 실제 공사가 중단되는 현장이 속출할 것으로 전망된다.10일 건설업계에 따르면 삼표산업, 유진기업, 아주산업 등 레미콘 대표 기업들의 수도권 공장이 전날부터 대부분 가동을 멈추면서 이들 공장에서 레미콘을 공급받는 주요 건설 현장들 역시 골조 작업을 중단하고 대체 업무를 하고 있다.시멘트와 골재, 물 등을 배합해 만드는 레미콘은 공급받는 즉시 타설을 해야 하기 때문에 현장에서 재고로 비축하는게 불가능한 구조다. 그렇기 때문에 레미콘 공급이 끊기면 관련 공정은 차질이 불가피하다. 한 건설사 관계자는 “골조 공사가 많이 진행된 현장은 내장재 설치 등 후속 작업을 저층부부터 하면서 시간을 벌 수 있지만, 골조 초기 현장은 콘크리트 타설 전에 하는 임시 뼈대(갱폼) 설치 작업이 끝나면 할 일이 없다”고 말했다. 다른 건설사 관계자는 “철근은 파업이나 원자재 가격 상승에 대비해 최대한 물량을 확보해놨지만 레미콘은 재고 확보가 불가능한 자재”라며 “며칠은 버티겠지만 다음주부터는 공사가 전면 중단되는 현장이 나올 것”이라고 전했다.건설사들은 공사 중단 사태가 장기화하면 사업에 큰 타격이 될 것으로 우려하고 있다. 장마철이 오면 또 한동안 공사를 못 하기 때문에 6~7월 중에 최대한 작업을 서둘러야 하는데 자재 운송이 중단되면서 금쪽 같은 시간만 흘러가고 있다는 것이다. 한 중견 건설사의 현장소장은 “화물연대 파업이 오래 지속될 거라면 차라리 장마라도 빨리 오게 기우제를 지내고 싶은 심정”이라고 말했다.건설현장 공사 중단으로 인한 피해는 결국 일반 국민들에게 돌아갈 가능성이 크다. 건설사들은 파업으로 인해 공기가 늦어진 만큼 공사가 정상화된 후 최대한 서둘러야 하는데, 이 과정에서 부실 시공이나 안전 사고가 발생할 가능성이 높아진다."
2022-06-10,부품 납품차량 차단… 현대차 울산공장 가동률 50%로,"화물연대 파업 3일째9일 화물연대 총파업이 사흘째로 접어들면서 시멘트·레미콘, 자동차 업계 피해가 커지고 있다. 전국 시멘트 출하가 사실상 중단돼 레미콘 공장들이 잇따라 가동 중단되고, 현대차 울산공장은 이틀째 생산라인들이 멈춰 서기를 반복해 수천개 자동차 부품사 공장까지 마비될 위기에 처했다.전국민주노동조합총연맹 공공운수노조 화물연대본부(화물연대) 파업 이틀째인 8일 산업계 곳곳에서 물류 차질 현상이 심화되고 있다. 특히 화물연대의 파업이 집중된 시멘트 업계에선 출하 중단으로 하루에 100억원 이상의 매출 손실이 발생하고 있고, 일부 레미콘 공장은 시멘트 공급이 끊기면서 가동이 중단됐다. 사진은 9일 서울의 한 시멘트 공장./연합뉴스국내 2위 레미콘 업체 삼표산업은 이날 “시멘트 재고가 바닥나 전국 17곳(수도권 15곳, 지방 2곳) 레미콘 공장의 가동이 전면 중단됐다”고 밝혔다. 대형 레미콘 업체인 유진기업과 아주산업 공장도 절반 넘게 멈췄다. 레미콘 업체는 통상 이틀치 정도의 시멘트를 재고로 보유하는데 시멘트 수송이 막히면서 더 이상 생산할 수 없게 된 것이다. 한 레미콘 업체 관계자는 “10일부터는 사실상 전국 레미콘 공장이 셧다운될 수 있다”고 말했다. 충북 단양의 한 시멘트 공장에선 화물연대 조합원들이 시멘트 전용 화물차가 아닌 일반 트럭으로 운송되는 시멘트 물량까지 봉쇄했다. 한국시멘트협회는 7~9일 사흘간 시멘트 출하가 막히면서 450억원이 넘는 손실이 발생한 것으로 추산했다. 레미콘이 조달돼야 공사를 할 수 있는 건설업계도 비상이다. 한 대형 건설사 관계자는 “다음 주까지 파업이 이어지면 심각한 상황이 될 수 있다”고 말했다.화물연대가 8일부터 자동차 부품 공급을 중단하면서 현대차 울산공장은 다수 생산 라인 가동률이 50% 수준으로 떨어진 것으로 알려졌다. 현대차 울산공장은 총 17개 차종, 하루 평균 5000대를 생산하는데 약 2500대(약 1000억원) 생산 피해를 보고 있는 것이다. 부품사 연합체인 한국자동차산업협동조합은 9일 호소문을 내고 “자동차는 ‘적시 공급(Justintime)’ 시스템이라 부품 하나만 없어도 전체가 멈춘다”며 “화물연대 파업은 생존을 위협하는 행위”라고 비판했다. 조합은 “완성차 탁송차(카캐리어)에는 안전운임보다 더 높은 운임을 주고 있는데도 파업에 참여하고 있다”며 “수개월째 차를 기다리는 고객 피해까지 커질 것”이라고 지적했다.타이어 업계도 피해가 확산되고 있다. 한국타이어 관계자는 “타이어 출하량이 평소 대비 40% 수준”이라며 “수출용 타이어를 선적해야 할 부산항이 화물연대에 의해 막혀 제품을 배에 실을 수 없는 상황”이라고 말했다."
2022-04-26,5월부터 레미콘 가격도 오른다… 13.1% 인상 합의,"국토부, 지난달 건축비 2.6% 올려“자재값 15% 오르면 추가 조정”시멘트·철근·목재 등 건설 원자재 가격이 급등한 가운데 다음 달부터 레미콘 가격도 인상된다. 건자재 가격의 ‘도미노 인상’이 아파트 분양가에도 영향을 미칠 것이라는 전망이 나온다.26일 레미콘 업계에 따르면, 유진기업·삼표산업·아주산업 등 서울·경기·인천 138개 레미콘 업체와 건설 업계는 5월 1일부터 레미콘 단가를 1㎥당 7만1000원에서 8만300원으로 13.1% 인상하기로 합의했다. 수도권에서 가격 협상이 타결됨에 따라 지방에서도 비슷한 수준으로 가격 인상이 이뤄질 전망이다.26일 레미콘업계에 따르면 수도권 경인지역 레미콘사와 건설업계는 5월 1일부로 레미콘 단가를 13.1% 인상하는 데 합의했다. 사진은 26일 오후 경기도 고양시의 한 레미콘 업체 모습. /연합뉴스레미콘사들은 “최근 1년 새 시멘트 가격은 15~17%, 골재 가격은 15% 이상 급등했다”며 레미콘 납품 단가를 올려야 한다고 요구해왔다. 레미콘 업계가 19% 이상 인상을 요구했지만, 건설사들은 6% 안팎 인상률을 제시해 협상에 난항을 겪었다. 이에 레미콘 업계는 이달 27일부터 공장 조업과 레미콘 납품을 중단하겠다며 건설사를 압박했다. 이에 건설 업계가 단가 인상률을 상향 조정하고, 레미콘 업계는 가격 인상 시점을 5월로 늦추기로 하면서 합의점을 찾았다.최근 국내 건설 현장은 원자재 가격 인상에 따른 업체 간 갈등이 곳곳에서 빚어지고 있다. 지난 20일엔 호남·제주 지역 골조 공사 전문 업체 52개사가 공사를 중단하면서 원청 업체인 건설사를 대상으로 공사비 인상 요구를 관철했다.건자재 값 인상으로 아파트 건축비가 오르면 소비자가 부담하는 분양가 인상이 불가피하다. 국토교통부는 아파트 등 공동주택 기본형 건축비를 작년 9월 3.42%, 지난달엔 2.64% 올렸다. 국토부 관계자는 “주요 자재 가격이 15% 이상 변동하는 경우 추가 조정도 가능하다”고 말했다."
2023-12-12,"'YTN 인수 추진' 유진기업, 자금난 루머 퍼뜨린 유포자 고소","서울 마포 상암동YTN본사 사옥. 연합뉴스유진그룹 모회사인 유진기업이 최근YTN인수 추진 과정에서 퍼진 '자금난' 루머와 관련해 법적 대응에 나섰다.유진기업은 12일 서울 영등포경찰서 사이버범죄수사팀에 '유진그룹이 자금난에 시달린다'는 루머를 퍼뜨린 유포자에 대해 정보통신망 이용 촉진 및 정보보호 등에 관한 법률 위반(명예훼손)으로 고소했다고 밝혔다.앞서 유진그룹은 지난 10월YTN지분 매각 입찰에서 3199억원을 써내 낙찰자로 선정됐다. 이후 정보지 등을 통해 유진그룹이 인수자금 마련에 어려움을 겪는다는 소문이 돌았다.유진그룹은 이와 관련 ""인수 자금 마련에는 전혀 문제가 없다""고 밝혔다."
