date,title,content
2023-09-13,정치 테마주 주의… 선거 직전엔 급락하더라,"증시 지지부진에 단기 차익 노려총선 7개월이나 남았는데 과열초전도체, 신소재 맥신(Mxene), 양자컴퓨터 등 과학 테마주에 이어 정치 테마주가 들썩이고 있다. 지명도가 높은 한동훈 법무장관과 관련됐다고 소문난 기업들이 테마주로 묶여 주가가 급등하는 것이다.사외이사가 한 법무장관과 서울대 법대, 컬럼비아대 로스쿨 동문이라 ‘한동훈 테마주’로 분류되는 코스닥 상장 의료AI기업 ‘노을’은 지난달 28일부터 이달 8일까지 10거래일동안 주가가 두배 가까이(99%) 올랐다. 같은 기간 태양금속(33%)과 나우IB·부방(이상 15%), 극동유화(9%) 등 다른 한동훈 테마주도 크게 뛰었다. 태양금속은 회장이 한 장관과 같은 청주 한씨라는 이유로, 부방과 극동유화는 사외이사가 서울대 동문이라는 이유로 한동훈 테마주에 편입됐다.반면, 재판 등 법적 부담이 커진 이재명 더불어민주당 대표 관련주는 힘을 받지 못하고 있다. 에이텍과 이스타코는 대선 직전 해였던 2021년 고점 대비 70~90% 가량 빠진 상태다.LCD디스플레이 상품 제조업체인 에이텍은 대표가 성남창조경영CEO포럼 운영위원이었다는 이유로 성남시장 출신인 이재명 대표 테마주로 분류됐다. 부동산 관련 업체인 이스타코는 지난 대선 당시 이 대표의 부동산 공약 관련주로 꼽혀 주가가 급등했었다.전문가들은 정치 테마주 투자에 유의해야 한다고 지적한다. 정작 해당 정치인과의 연관성이 불분명한 경우가 많다는 이유에서다. 국회의원 총선거(내년 4월)를 7개월이나 앞둔 시점에 정치 테마주가 과열되는 것도 이례적이다. 증권가에선 “증시가 횡보하는 국면에서 단기 차익을 노린 투자자들이 끊임없이 테마를 찾는 과정에서 정치 테마가 주목받은 것으로 보인다”고 했다.이런 테마주는 변동성도 크다. 한동훈 테마주 중 대장주격이었던 오파스넷은 올 들어 지난달 25일까지 130% 상승해 고점을 찍었으나 이후 8거래일만에 20% 하락했다.자본시장연구원이 작년 2월 발표한 ‘20대 대통령 선거 정치테마주 현상에 대한 소고’ 보고서에 따르면 정치 테마주는 여론 조사 지지율 등락이나 정치적 이벤트에 따라 급등락을 반복하다가 선거 직전(선거일 기준 13~24거래일 전)부터 급락하는 흐름을 보였다."
2022-02-27,"고점 대비 반토막 난 대선 테마주, 더 떨어질 수 있다는데","20대 대통령 선거일을 열흘 정도 남겨둔 시점에서 대선 테마주들의 주가가 지난해 연초 이후 기록한 고점 대비 거의 절반 수준까지 하락한 것으로 나타났다. 이재명 더불어민주당 대선 후보 테마주나 윤석열 국민의힘 후보 테마주 모두 고점 대비 높은 하락률을 기록 중이다. 사진은 이재명 더불어민주당 대선 후보가 27일 오후 부산 부산진구 쥬디스태화 앞에서 열린 '부산을 위해, 나를 위해 이재명아이가!'부산 집중유세에서 지지자와 시민들에게 인사하는 모습/뉴스1지난해 급등한 대선 테마주들이 고점의 반 토막 수준까지 하락한 것으로 나타났다. 과거 대선에서 선거일이 임박할수록 대선 테마주 주가가 급락했기 때문에 추가적인 주가 하락 가능성도 남아 있다.27일 한국거래소에 따르면, 부동산 매매·임대업체 이스타코는 지난 25일 1795원으로 거래를 마감했다. 지난해 최고점 대비 75.1% 하락한 수준이다. 이스타코는 더불어민주당 이재명 후보의 공약인 ‘장기 공공 주택 정책’ 수혜주로 분류되며 지난해 6월 29일에는 7200원까지 올랐었다.윤석열 국민의힘 대선 후보 테마주인NE능률도 주가가 크게 떨어졌다. 이 회사는 최대 주주인 윤호중hy(옛 한국야쿠르트) 회장이 윤 후보와 같은 파평 윤씨라는 이유로 지난해 주가가 급등했었다. 지난해 6월 9일에는 주가가 2만7750원까지 올랐었는데, 현재 주가는 1만3400원으로 고점 대비 51.7% 하락한 상태다. 안철수 국민의당 후보의 테마주인 안랩 역시 지난달 5일 12만500원까지 주가가 치솟았지만, 지난 25일에는 6만8800원에 머물렀다./그래픽=박상훈/그래픽=박상훈대선 테마주, 후보 가리지 않고 하락세지난해 국내 증시에서는 대선 테마주들의 주가가 급등하는 현상이 이어졌다. 지난해 한국거래소가 대선 주자 등 정치인과 관련된 인터넷상의 소문 때문에 주가가 급등한 종목에 ‘사이버 얼럿(cyberalert)’을 발령한 횟수는 총 32회로 직전 대선이 있었던 2017년(39회) 다음으로 많았다. ‘윤석열 테마주’와 관련해 16번, ‘이재명 테마주’를 대상으로 11번 사이버 얼럿이 발령됐다.하지만 선거일이 가까워지면서 대선 테마주 주가는 후보에 관계없이 하락세를 보이고 있다. 이재명 테마주로 분류된 한국종합기술은 지난해 6월 주가가 1만2200원까지 올랐었지만, 지난 25일 종가는 6480원이었다. 또 다른 이재명 테마주인 글로벌에스엠도 지난해 3월 주가가 1415원까지 올랐지만, 지난 25일에는 주가가 957원으로 지난해 고점보다 32.4% 낮아졌다.선거일 13~24거래일 전부터 급락한 대선테마주윤석열 테마주로 분류됐던 웅진도 25일 주가(1830원)가 지난해 6월 3일 기록한 고점 3835원보다 52.3% 낮았다. 또 다른 윤석열 테마주 깨끗한나라 역시 25일 주가가 4105원으로 지난해 4월 최고점(8520원)의 절반 수준이었다.자본시장연구원 남길남 선임연구위원이 이번 20대 대선을 앞두고 83종목이 대선 테마주로 분류된 원인을 분석한 결과, ‘대선 후보와 회사 경영진 사이에 공통 지인이 있는 경우’가 44%로 가장 많았다. 대선 후보와 회사 경영진의 사적 인연(18%)이나 학연(16%) 때문에 테마주로 분류된 경우가 그다음으로 많았다.지난해나 올해 초 기록한 고점 대비 주가가 크게 하락한 것은 어느 대선 후보의 테마주나 마찬가지다. 사진은 윤석열 국민의힘 대선 후보가 27일 서울 여의도 중앙당사에서 열린 안철수 국민의당 대선 후보와의 단일화 관련 기자회견에서 취재진의 질문에 답하는 모습./뉴스1선거일 임박하면 더 빠지는 테마주과거 대선에서도 대선 테마주 주가는 선거일이 임박한 시점부터 급락한 것으로 나타났다. 남길남 위원이 18~19대 대선에서 지지율 상위 후보 두 명의 테마주 64종목을 분석한 결과, 선거일 13~24거래일 전부터 주가가 빠르게 하락하는 모습을 보였다. 64개 종목의 대통령 선거일 291거래일 전 주가지수를 100으로 설정했을 때 18대 대선에서는 대선 15거래일 전 196.35이었던 지수가 선거 당일에는 111.39로 43.3% 하락했다. 19대 대선 때도 대선 23거래일 전 206.99였던 지수가 선거 당일 138.27로 33.2% 하락했다.남 위원은 “이번 20대 대선에서는 (대선 테마주에 대한) 공매도 거래가 규제되고 있기 때문에 선거일에 임박해서 주가가 하락했던 패턴이 약해질 수 있다”면서도 “하지만 향후 주가 하락 폭은 더 커질 수 있기에 투자자 주의가 요구된다”고 했다. 지난해 5월부터 공매도는 코스피200과 코스닥150 구성 종목에 대해서만 부분적으로 허용되고 있다. 대선 테마주들은 대부분 시가총액이 작은 중소형주로 공매도 허용 종목이 아니다. 당장 이번 대선 전후로 테마주들의 주가 하락 폭이 과거보다 작을 수는 있지만, 이후 주가 하락 국면이 시작되면 하락 폭이 더 클 수 있다는 것이다."
2022-03-11,"‘尹 테마주’ 신원종합개발 상한가, ‘安 테마주’ 써니전자 12% 올라","대부분 테마주, 고점대비 반토막이재명 테마주는 일제히 하락9일 치러진 20대 대선에서 윤석열 국민의힘 후보가 당선되면서 대선 테마주의 운명도 갈렸다. 윤석열 테마주가 대체로 강세를 보인 가운데 윤 당선인과 단일화한 안철수 국민의당 대표 테마주도 동반 오름세였다. 반면 이재명 더불어민주당 후보 테마주는 급락세를 면치 못했다.신원종합개발은 10일 개장 직후 주가가 급등세를 타더니 상한가(30% 상승)까지 오르며 9230원에 마감했다. 이 회사는 대주주 겸 대표와 사외이사 등이 윤 당선인과 같은 서울대 법대 출신이라는 이유로 윤석열 관련주로 꼽혀왔다.안철수 관련주인 안랩도 이날 내내 사겠다는 사람이 몰리면서 4.24% 상승한 7만3800원에 거래를 마쳤다. 안랩 출신 인사가 대표이사를 지냈다는 이유로 안철수 테마주로 분류돼온 써니전자는 이날 12.71% 급등한 3280원에 마감했다.그렇다고 당선인 측 테마주가 모두 급등한 것은 아니다. 대주주가 윤 당선인과 같은 파평 윤씨라는 이유로 내내 테마주로 묶였던NE능률은 0.33% 상승하는 데 그쳤고, 당선인 아내 김건희씨가 운영하는 코바나컨텐츠를 후원한 사실 때문에 테마주가 된 노루홀딩스 주가는 제자리걸음이었다.이재명 테마주는 일제히 내렸다. 최대 주주가 이 후보와 친분이 있다는 이유로 급등락을 반복했던 에이텍은 -15.35%, 정책 관련 테마주로 엮였던 동신건설은 -18.56%,TS트릴리온은 -21.48%, 이스타코는 -6.03% 하락하는 등 큰 폭의 내림세를 보였다.이날 급등락이 엇갈리긴 했지만, 그간 테마주로 불렸던 종목들은 당선인 관련주건 낙선자 관련주건 관계없이 대부분 대선일이 가까워지면서 고점 대비 50% 이상 급락한 것이 특징이다. 남길남 자본시장연구원 실장은 “선거 때마다 예외 없이 벌어지는 현상”이라고 지적했다.이날은 오히려 윤 당선인 정책 관련주인 원전주와 건설주가 뚜렷한 상승세를 보인 게 특징이다. 정권 교체로 탈원전 기조에서 벗어날 것이라는 기대감에 보성파워텍(15.93%), 일진파워(4.49%), 우리기술(4.41%) 등이 올랐다.또 재건축·재개발 규제가 풀릴 것이라는 기대 속에GS건설(8.18%) 현대건설(8.94%)HDC현대산업개발(8.26%) 등 건설주도 일제히 큰 폭으로 올랐다. 이 밖에 플랫폼 기업에 대한 규제 완화를 기대하는 투자자들이 네이버와 카카오 주식을 쓸어담으면서 두 종목이 각각 8.54%, 8.58% 상승 마감했다."
2022-03-10,윤석열 당선에 尹安 테마주도 ‘어퍼컷’,"이재명 테마주는 큰 폭 하락변동성 커 차익실현 매물도 다수 출현...투자 주의윤석열 국민의힘 대선후보가 공식선거 운동 첫날이던 지난달 15일 오후 부산 서면 젊음의 거리에서 열린 유세에서 '어퍼컷 세리머니'를 선보이고 있다./뉴스19일 치러진 제20대 대통령 선거에서 윤석열 국민의힘 후보가 신승하면서 10일 개장 초반 윤석열 테마주가 일제 강세를 보이고 있다. 안철수 국민의당 대표 테마주도 오름세다. 반면 이재명 더불어민주당 후보 테마주는 모두 급락하고 있다.오전 9시30분 현재NE능률은 10%대 상승 중이고 신원종합개발은 16%가량 급등하고 있다.NE능률은 대주주인 윤호중HY(옛 한국야쿠르트) 회장이 윤 후보와 같은 파평 윤씨라는 이유로 테마주로 꼽혀왔다. 신원종합개발은 대주주인 우진호 대표이사와 장용석 사외이사가 윤 후보와 같은 서울대 법대 출신이라는 이유로 윤석열 관련주로 꼽혔다.안랩도 개장 초반 4% 이상 상승하다 현재는 2%대 후반 오름세를 보이고 있다. 안랩은 안철수 국민의당 대선 후보가 창업한 회사다. 현재 안 후보가 지분 18.6%를 보유한 대주주로 있다. 송태종 전 대표이사가 안랩 출신이라는 이유로 안철수 테마주로 엮여 있는 써니전자도 6%대 상승 중이다.반면 최대주주가 이재명 후보와 친분이 있다는 이유로 이재명 테마주로 꼽혀왔던 종목들은 일제히 폭락세다. 에이텍은 전 거래일 대비 17%가량 하락중이고 에이텍티앤도 15%대 하락세를 기록하고 있다.이밖에 이재명 정책 관련 테마주로 엮였던 동신건설(-20.6%),TS트릴리온(-22.7%), 이스타코(-13.5%) 등도 큰 폭의 내림세를 보이고 있다."
2022-03-03,"이재명 테마주 급락, 윤석열 안철수株 급등","삼부토건 11%, 안랩 7% 등 올라윤석열 국민의힘 대선 후보와 안철수 국민의당 대선 후보가 3일 오전 서울 여의도 국회 소통관에서 단일화 기자회견을 마치고 손을 맞잡고 있다. 2022.3.3/뉴스1 ⓒNews1 구윤성 기자국민의힘 윤석열 대통령 후보와 국민의당 안철수 후보가 3일 새벽 회동을 통해 전격 단일화에 합의하자 대선 주자 테마주도 요동쳤다. 대체로 윤 후보와 안 후보 관련 테마주는 큰 폭으로 오르고, 더불어민주당 이재명 후보와 관련된 테마주는 급락하는 모습이었다.이날 국내 주식시장에서 안 후보 테마주인 안랩은 전날보다 7.27% 상승한 7만800원에 마감했다. 장 초반에는 12%대 급등하기도 했다. 안랩은 안 후보가 창업한 회사다. 현재 안 후보가 지분 18.6%를 보유한 대주주로 있다. 송태종 전 대표이사가 안랩 출신이라는 이유로 안철수 테마주로 엮여 있는 써니전자도 이날 3.26% 상승한 3010원에 마감했다.윤 후보 테마주로 꼽히는 노루홀딩스도 단일화 소식이 알려지자 개장과 동시에 10% 넘게 뛰었다가 4.31% 오른 1만2100원에 거래를 마쳤다. 이 주식은 자회사인 노루페인트가 윤 후보 아내 김건희씨가 운영하는 코바나컨텐츠를 후원한 사실 때문에 테마주로 분류됐다.NE능률은 20% 넘는 폭등세로 출발했다가 전날보다 4.03% 오른 1만2900원에 마감했다. 이 주식은 대주주인 윤호중HY(옛 한국야쿠르트) 회장이 윤 후보와 같은 파평 윤씨라는 이유로 테마주로 꼽혀왔다. 또 삼부토건은 전 거래일보다 10.98% 오른 2425원에 거래가 종료됐다. 삼부토건은 조남욱 전 회장 측이 2002∼2015년 윤 후보에게 김, 멜론, 곶감, 밤 등 명절 선물을 줬다고 알려지면서 ‘윤석열 테마주’로 거론됐다.반면 야권 단일화로 상황이 불리해졌다는 관측이 나오는 이재명 테마주는 큰 폭으로 내렸다. 이 후보의 공약인 탈모 치료제 건강보험 적용 관련 테마주인TS트릴리온은 8.59% 하락한 1170원에, 이 후보의 장기공공주택 공약 관련주로 꼽히는 부동산 매매·임대 업체 이스타코는 8.99% 떨어진 1620원에 거래를 마쳤다."
2023-11-29,사진 한 장에 불붙은 ‘한동훈 테마주’… 씁쓸합니다,"[비즈 톡]대상홀딩스 주가가 이틀 연속 폭등했습니다. 28일 대상홀딩스는 25.17% 급등 마감했습니다. 전날엔 가격 제한폭까지 치솟았습니다. 대상홀딩스 우선주는 27~28일 이틀 연속 가격 제한폭까지 뛰며 신고가를 경신했습니다.온라인 커뮤니티대상그룹 관련주가 이처럼 이틀 연속 급등한 것은 지난 주말 공개된 사진 한 장 때문입니다. 한 온라인 커뮤니티에 한동훈 법무부 장관과 배우 이정재씨가 나란히 찍은 사진이 올라왔습니다. 두 사람이 함께 서울 서초구에 있는 유명 고깃집에서 저녁을 먹고 나오는 길에 찍힌 사진이라고 합니다. 두 사람은 서울 압구정동에 있는 현대고 동기 동창이라고 합니다. 장관과 배우 친구가 함께 저녁 먹은 것과 대상홀딩스 주가 폭등이 무슨 관련이 있을지 의아할 텐데요. 이정재씨와 임세령 대상그룹 부회장이 공개 연애 중이고, 임 부회장은 대상홀딩스 주식 19.9%를 가진 2대 주주입니다. 한 장관 고등학교 동기의 애인 회사가 ‘한동훈 테마주’로 묶이면서 주가가 폭등한 겁니다.선거철이 되면 정치 테마주가 판치는 건 어제오늘 얘기가 아닙니다. 정치인과 지연·학연·혈연을 넘어 이젠 고등학교 동창의 연인 회사까지 연결한 정치 테마주가 등장한 걸 보니 말문이 막힐 지경입니다. 한편으론 기업 활동이 여전히 인맥과 특혜에 좌우된다고 생각하는 한국인 심리가 반영된 것 같아 씁쓸할 따름입니다.기업 실적이 뒷받침되지 않는 주가 급등은 거품일 뿐입니다. 과거 정치 테마주가 이를 고스란히 증명하고 있습니다. 이재명 테마주였던 이스타코는 2021년 고점보다 70~90% 낮은 가격에 거래되고 있고, 오세훈 서울시장 관련주로 꼽혔던 진양화학·진양산업이나 안철수 국민의힘 의원 테마주인 안랩 역시 고점의 절반 수준입니다.자본시장연구원에 따르면 정치 테마주는 관련 후보의 여론조사 지지율 등락이나 정치적 이벤트에 따라 주가가 급등락을 보이지만 선거일이 임박해지면 빠르게 하락하는 게 특징이라고 합니다. 무턱대고 정치인 테마주 투자에 나섰다간 패가망신할 수 있다는 걸 명심해야 합니다."
2022-06-28,반년만에 주가 3배… 곡물값 뛰자 대박 친 종목은?,"올해 상반기 주가 상승률 분석‘신송간장’으로 잘 알려진 신송식품의 지주사 신송홀딩스는 올해 상반기에만 주가가 5000원대에서 1만6000원대까지 3배 이상으로 치솟았다. 최근 5년간 5000원 전후에서 맴돌던 주가가 지난 3월 말 오르기 시작하더니 2주 전에는 장중 2만원까지 근접했다. 세계 경제가 코로나에서 벗어나면서 인플레이션이 본격화된 데다 러시아·우크라이나 전쟁 장기화로 곡물 가격이 앞으로도 급등할 것이라는 전망이 영향을 준 것으로 보인다.신송홀딩스 관계자는 “특별히 주가에 영향을 줄 만한 경영상 이슈 등 내부적인 요인이 없어 최근 주가 급등은 우리도 의아했다”며 “곡물가 급등 추세와 함께 신송홀딩스 계열사가 해외 무역사업도 하다 보니 투자자들의 관심이 커졌던 것으로 판단하고 있다”고 말했다.식품과 곡물 관련 기업들이 올해 상반기 코스피와 코스닥 종목 중 주가 상승률 상위권을 차지했다. 27일 한국거래소에 따르면, 연초 이후 이날까지 코스피 시장에서 주가 상승률이 가장 높은 기업은 신송홀딩스로 나타났다. 신송홀딩스는 주가가 5210원(1월 3일)에서 1만5800원(6월 27일)으로 무려 203% 상승했다. 원전 관련주로 분류되는 한신기계(166%)가 뒤를 이었고, 3위는 사료회사인 고려산업(156%)이 차지했다.우크라이나 수도 키이우에서 서쪽으로 60㎞ 떨어진 마카리우 지역의 지난 16일 모습. 러시아와 전쟁을 치르느라 파종을 하지 못한 밭이 텅 비었다./연합뉴스코스닥 주가 상승률 1, 2위 모두 사료회사코스닥 시장에서는 올해 상반기 주가 상승률 1·2위 업체가 모두 사료회사였다. 현대사료는 주가가 연초 3214원에서 현재 3만5350원으로 무려 1000%나 상승했고, 한일사료 역시 같은 기간 376%로 높은 상승률을 기록했다. 다만 현대사료의 경우 연초에 장외 시장에서 주가가 6개월간 2000배 급등해 논란이 됐던 두올물산이라는 회사가 인수하면서 주목받았고, 뒤이어 액면분할까지 단행하는 등 실적 이외에도 주가에 영향을 미치는 다른 재료들이 있었다는 평가를 받는다.식품·곡물 관련 기업의 주가가 큰 폭으로 오른 건 무엇보다 2월 말 시작된 러시아와 우크라이나 전쟁 때문이다. 러시아와 우크라이나 두 국가가 수출하는 밀과 옥수수는 전 세계에서 비율이 각각 30%, 20%를 차지한다. 밀과 옥수수 가격은 연초 대비 20% 이상 오른 상태다. 특히 우크라이나의 경우 전쟁으로 인해 주요 곡물 파종 시기(4월)를 놓쳤고, 이로 인해 재배 면적은 30% 이상 감소했을 것으로 추정된다. 곡물가 상승세가 내년에도 이어지면서 사료산업, 식품산업의 가격 인상으로 이어져 매출액이 성장할 가능성이 크다./그래픽=김성규”원가 상승 부담 전가할 수 있는 기업 가려야”국내외 증시가 급락했던 이달에도 식품·곡물 관련 기업으로는 외국인의 자금 유입이 계속됐다. 이달 들어 외국인은 국내 음식료품 업종을 573억원 순매수했다. 특히 외국인은 6월 한 달간(1~27일) 코스피 시장에서 순매수를 기록한 날은 단 이틀에 불과했는데, 식품주는 3, 14, 17, 22, 23일을 제외하고는 모두 순매수했다.다만 올해 하반기 식품주들의 수익성에 대해서는 우려의 목소리도 나온다. 곡물가 등 원가 상승 부담이 식품 업종에 반영될 수밖에 없기 때문이다. 대신증권에 따르면, 올해 하반기 국내 식품주들의 매출액은 전년 대비 8.8% 증가할 것으로 보이지만 영업이익은 0.2% 감소할 것으로 전망된다. 한유정 대신증권 애널리스트는 “가파른 원가 상승 부담을 가격 인상으로 소비자나 고객사들에 전가할 수 있는 기업과 전가하지 못하는 기업 간 차별화가 예상된다”고 밝혔다.정치 테마주는 하락률 커상반기에 빛을 본 식품·사료업체들과 정반대로 올해 주가가 많이 떨어진 기업들 목록에는 정치 테마주들이 여럿 포함됐다. 코스피 종목 하락률 상위 5개 종목 중 2개 종목이 지난 대통령 선거 후보 관련 종목들이었다. 하락률이 둘째로 높았던 타이어 금형 제조업체인 다이나믹디자인(-69%)이라는 회사는 사외이사인 안영규씨가 윤석열 대통령과 사법연수원 동기로 알려지면서 ‘윤석열 테마주’로 주목받았다. ‘이재명 테마주’로 분류됐던 이스타코는 수익률이 -61%로 하락률 상위 5위 자리에 올랐다.상반기 주가 하락률이 가장 높았던 코스피 기업은 연초 4795원에서 현재 904원으로 81% 하락한 비케이탑스였다. 이 회사는 지난해 재무제표에 대한 감사의견 거절에 이어 20억원의 지분 매각 결정 공시를 번복해 최근 불성실공시법인으로 지정받았다. 코스닥 기업 중에서는 엘아이에스가 수익률 -81%로 하락률이 가장 높았다. 엘아이에스는 최근 부도설이 불거졌지만, 회사 측은 이를 부인했다."
2024-12-06,탄핵 정국 속 요동친 증시…불안한 '개미' 7500억원어치 던졌다,"윤석열 대통령에 대한 탄핵 표결을 앞두고 6일 국내 증시가 크게 출렁였다. 코스피는 장중 한때 2400선을 내줬다가 이후 회복했지만, 종가 기준으로 사흘 연속 내림세를 벗어나지 못했다. 코스닥지수는 1% 넘게 하락 마감했다. 개인 투자자들이 코스피와 코스닥 시장 합쳐 이날만 7500억원 어치가 넘는 주식을 팔아치웠다.6일 오후 서울 중구 하나은행 본점 딜링룸 전광판에 이날 거래를 마감한 코스피와 원/달러 거래가가 표시돼 있다. 이날 코스피는 급박해진 탄핵 정국에 개인투자자의 투매가 잇따르자 2420대로 밀렸다. 연합뉴스이날 한국거래소에 따르면 코스피는 전날보다 0.56% 떨어진 2428.16에 장을 마감했다. 이날 코스피는 상승 출발했으나 정치적 불확실성이 부각되자 하락 전환해 오전 10시 53분에는 2397.73을 기록하기도 했다. 코스피가 장중에 2400선을 밑돈 건 지난달 15일 이후 3주 만에 처음이다.코스피는 이후 낙폭을 줄였지만, 플러스(+)로 돌아서지는 못했다. 개인이 5776억원, 외국인이 3093억원 어치를 팔았다. 기관이 8259억원 어치 물량을 받아냈다. 이날 기관의 순매수 규모는 지난 9월 19일(8795억원) 이후 가장 크다.코스피 시총 상위 종목 중에서는 삼성전자(0.74%),LG에너지솔루션(2.23%) 주가가 올랐다. 반면SK하이닉스(-3.41%), 현대차(-0.49%) 등은 약세를 보였다.코스닥지수 낙폭은 더 컸다. 이날 코스닥지수는 전 거래일 대비 1.43% 하락한 661.33에 거래를 마쳤다. 오전 10시 57분에는 644.39까지 떨어졌다. 장중 기준으로 지난 2020년 5월 4일(635.16) 이후 4년 7개월 만에 최저치다. 다만 코스닥지수 역시 반등해 낙폭을 줄였다. 코스피와 마찬가지로 코스닥지수도 3거래일 연속 떨어졌다. 개인은 코스닥 시장에서도 1745억원 규모의 순매도를 나타냈다. 외국인과 기관은 각각 349억원, 1416억원 어치를 사들였다.가뜩이나 부진한 국내 증시에 정치적 불확실성까지 번지며 코스피와 코스닥이 약세를 면치 못하고 있다. 서울 여의도 증권가 모습. 연합뉴스알테오젠(-1.61%),HLB(-0.96%), (-0.76%), 휴젤(-1.85%), 클래시스(-3.34%) 등 코스닥 시총 상위 종목 주가 다수가 내렸다. 에코프로비엠(0.39%), 에코프로(1.58%) 주가는 상승했다.이날 주식 시장은 한동훈 국민의힘 대표의 윤 대통령에 대한 직무 정지 필요성 언급 등 개장 이후 탄핵 관련 움직임이 급박하게 전개되면서 요동쳤다. 여기에 ‘2차 계엄 가능성’도 투자 심리를 흔든 것으로 풀이된다. 조승래 더불어민주당 수석대변인은 이날 ‘2차 계엄령’ 우려에 대해 “관련 제보 혹은 문제 제기가 당에도 많이 들어오고 있다”라고 전했다. 다만 군 당국은 “2차 계엄은 없다”며 진화에 나섰다.김지원KB증권 연구원은 “2차 계엄설 등의 소식에 증시 혼란이 가중되며 오전 한때 코스피와 코스닥 모두 낙폭이 커졌다”라며 “이후 낙폭은 줄었지만, 개인 등 시장 참여자들이 정국을 주시하면서 탄핵 표결을 앞두고 관망하는 모양새를 보였다”라고 설명했다.이날 상당수 정치 테마주는 폭등세를 기록했다. 디티앤알씨오(29.86%)가 가격 제한폭까지 오른 것을 비롯해 대상홀딩스(15.42%), 덕성(10.03%) 등 ‘한동훈 테마주’로 분류된 종목이 가파른 상승폭을 기록했다. 이재명 민주당 대표 관련 테마주로 엮인 오리엔트정공(29.77%), 이스타코(29.97%) 주가는 이날 상한가를 기록했다."
2022-03-03,"尹·安 단일화 뒤 '안랩' 주가 급등, 10% 뛰어…李테마주는 약세","윤석열 국민의힘 대선 후보와 안철수 국민의당 대선 후보가 3일 오전 서울 여의도 국회 소통관에서 단일화 기자회견을 마친 뒤 손을 맞잡고 있다. 뉴스1윤석열 국민의힘 대선후보와 안철수 국민의당 대선후보의 단일화 선언에 3일 장 초반 두 후보의 테마주로 엮이는 종목이 급등하는 양상을 보이고 있다. 반면 이재명 더불어민주당 대선후보의 테마주는 약세다.이날 한국거래소에 따르면 오전 9시 50분 현재 안 후보가 창업한 회사이자 대주주로 있는 '안랩'은 전날 종가대비 10.3% 상승한 7만2800원에 거래되고 있다. 지난달 28일단일화 협상 불발로 3개월래 최저액(6만3500원)을 찍었지만, 단일화가 성사되며 가격이 확 뛴 것이다. '안철수 테마주'로 거론되는 써니전자(6.35%) 등도 동반 상승했다.윤 후보의 테마주로 분류되는 노루홀딩스우는 전 거래일보다 29.09% 치솟은 6만3900원에 거래 중이다. 또 덕성우(15.26%), 노루페인트우(14.14%), 삼부토건(14.87%), 덕성(10.42%),NE능률(6.85%), 희림(6.65%) 등이 큰 폭으로 올랐다.반면 이 후보의 테마주로 분류되는 종목들은 약세다. 탈모 공약 관련주로 연초에 급등한TS트릴리온은 현재 5.86% 하락했다. 또 이스타코(-13.20%), 형지엘리트(-7.37%), 오리엔트정공(-4.52%) 등도 내림세를 보였다.한편 이날 개장 전 윤 후보와 안 후보는 단일화를 전격 선언했다. 두 후보는 국회 소통관에서 기자회견을 열어 ""더 좋은 대한민국을 만드는 시작으로서의 정권교체, 즉 '더 좋은 정권교체'를 위해 뜻을 모으기로 했다""고 밝혔다."
2022-03-08,대선 하루전 이재명·윤석열 테마주 모두 급락… 홍준표·안철수 테마주 상승,"대선을 하루 앞둔 8일 증권시장에서는 이재명 테마주와 윤석열 테마주가 동반 하락했다. 재료 소멸 심리가 반영된 결과로 풀이된다.이날 증시는 우크라이나 침공의 영향 등으로 코스피와 코스닥이 각각 1.09%, 1.29% 하락했다. 그러나 정치 테마주는 시장보다 훨씬 큰 폭으로 하락했다.지난 7일 오후 서울 중구 하나은행 딜링룸의 모습. 뉴시스NE능률은 전날보다 16.68% 하락한 9040원에 장을 마쳤다.NE능률은 윤호중 회장이 윤석열 국민의힘 대선후보와 같은 파평 윤씨라는 이유로 테마주로 분류됐다. 덕성(-16.28%), 위즈코프(-7.21%), 서연탑메탈(-8.23%) 등 윤 후보 테마주로 알려진 주식이 일제히 급락했다.이재명 후보 테마주도 비슷한 추세다.이 후보의 고향인 안동에 본사가 있다는 이유로 테마주로 분류된 동신건설은 이날 14.91% 하락해 1만9400원으로 장을 마쳤다. 이 밖에 이재명 테마주로 알려진 이스타코(-9.03%), 프리엠스(-10.90%), 에이텍(-10.56%)도 10% 안팎 하락했다.정치 테마주는 기업의 실질적인 가치가 아닌 정치적인 이유로 급상승과 하락을 반복하기 때문에 정상적인 투자  대상이 되기 어렵다. 정치 테마주는 일반적으로 선거 결과가 나오기 약 6개월 전에 고점을 찍는 경우가 많다. 뒤늦게 투자에 뛰어드는 일반 투자자는 손실을 보기 일쑤다.반면 차기 대선을 노리는 대권 주자의 테마주는 대선을 하루 앞두고 상승세를 탔다. 홍준표 테마주로 꼽히는 경남스틸은 4.92% 상승했다. 안철수 테마주인 안랩도 5.67% 상승하며 장을 마쳤다."
