date,title,content
2024-11-11,‘코로나 치료 효과’ 뻥튀기로 주가 띄우기... 일양약품 검찰 송치,김동연 일양약품 대표이사. /조선일보DB자사 백혈병 치료제가 마치 코로나19 치료 효과가 있는 것처럼 부풀려 발표해 주가를 띄운 혐의를 받는 일양약품 관계자들이 검찰에 넘겨졌다.서울경찰청 금융범죄수사대는 지난달 31일 김동연·정유석 일양약품 공동대표 2명과 일양약품 법인을 자본시장법 위반 혐의로 검찰에 불구속 송치했다고 11일 밝혔다.경찰에 따르면 이들은 2020년 3월 자사 백혈병 치료제 ‘슈펙트’가 해외 약품과 비교해 코로나19 치료에 우수한 효능을 보였다는 내용의 허위 보도자료를 내 주가를 띄운 혐의를 받는다. 당시 일양약품의 주가는 2만원을 밑돌다가 2020년 7월 10만6500원까지 올랐다.앞서 일양약품 측은 보도자료에 잘못된 정보를 넣은 적이 없고 데이터에 근거해 정확하게 자료를 작성했다고 주장했다. 그러나 경찰은 일양식품이 사실과 다르거나 자사에 유리한 내용만 보도자료에 담은 것으로 봤다. 또 주가가 상승했을 때 경영진 일가가 보유 주식을 매도해 경제적 이익을 취득한 것으로 판단했다.금융범죄수사대는 2022년 일양식품 일부 주주들의 관련 고소 건을 병합해 수사해 왔다. 지난 1월에는 일양약품 강남 본사를 압수수색 했다.
2024-01-05,"경찰, '코로나 치료제 주가조작 의혹' 일양약품 압수수색","연구 결과 발표 후 4개월 만에 주가 5배 올라경찰이 백혈병 치료제가 코로나바이러스를 감소시킨다는 발표를 해 주가를 띄웠다는 의혹을 받는 일양약품 본사를 압수수색했다.서울경찰청 반부패·공공범죄수사대 청사./뉴스1서울경찰청 금융범죄수사대는 5일 오전 서울 강남구에 있는 일양약품 본사에 수사관들을 보내 압수수색을 진행했다고 밝혔다.일양약품은 팬데믹 초기인 2020년 3월 고려대 의과대학에 의뢰한 연구 결과를 인용하며 ‘당사의 백혈병 치료제가 코로나바이러스를 70% 감소시킨다’는 내용을 발표해 주가를 띄웠다는 의혹을 받고 있다. 당시 2만원대였던 일양약품 주가는 발표 이후 4개월 만에 10만원을 넘었다.일양약품이 한 연구 결과 발표에는 ‘연구팀이 질병관리본부에서 분양 받은 바이러스를 이용해 해당 치료제를 시험을 진행한 결과, ‘투여 후 48시간 내 대조군 대비 70%의 코로나19 바이러스가 감소함을 확인했다’는 내용이 포함된 것으로 알려졌다."
2023-10-23,병원 영업에 TV광고까지… 2000억 규모 ‘독감백신 전쟁’,"무료 접종용 백신 입찰 끝나자 민간시장서 2차전 격돌아침저녁으로 쌀쌀한 늦가을 날씨가 시작되면서 제약사들의 독감 백신 영업에 불이 붙었다. 올해는 코로나19 백신 생산으로 독감 백신 생산을 중단했던SK바이오사이언스가 돌아오는 등 공급 업체가 늘어나 더욱 치열한 경쟁이 예상된다. 올해 일반인을 대상으로 하는 국내 민간 독감 백신 시장은 2000억원 규모로 추정된다. 전문가들은 코로나 엔데믹 이후 처음 맞는 겨울인 데다, 마스크를 쓰지 않는 사람이 급증해 독감 백신 접종이 무엇보다 중요하다고 강조한다.그래픽=김현국◇영업력 집중하고TV광고까지올해 정부가 출하를 승인한 독감 백신은 9사 11품목이다. 이 중 8종이 국산이고, 3종이 외국산이다. 이 중 1차전 격인 정부 구매 국가필수예방접종(NIP) 사업 입찰에 성공한 제약사는 6곳이다.SK바이오사이언스가 242만도스(1회 투약량)로 전체의 21.6%를 차지해 가장 많고, 프랑스 사노피(200만도스), 한국백신(175만도스),GC녹십자(174만도스), 일양약품(170만도스), 보령바이오파마(160만도스) 순이다.현재 제약사들은 무료 접종 대상을 제외한 일반인을 대상으로 개별 병·의원에서 약 2000만도스를 공급하는 민간 시장에서 2차전을 벌이고 있다. 국내 제약사들은 탄탄한 네트워크를 내세워 영업에 주력하고 있다. 한 제약 업계 관계자는 “사람들 대부분이 제품을 선택하지 않고 가까운 병원이 갖춘 백신을 접종받기 때문에 영업에 집중하고 있다”며 “(의사들에게) ‘덜 아픈 백신이 뭐예요’ ‘더 효과 좋은 백신이 뭐예요’ 하는 질문을 받았을 때 우리 백신을 추천해달라고 이야기하기도 한다”고 했다. 상대적으로 영업망이 부족한 외국계 제약사들은TV광고까지 하고 있다. 영국 글락소스미스클라인(GSK)은 배우 차인표를 내세워 ‘국내 최초 4가 독감 백신’ 등의 내용을 홍보하고 있고 프랑스 사노피는 영·유아, 임신부, 심혈관 질환자를 대상으로 한 개별 연구 결과가 있는 백신이라는 점 등을 내세우고 있다.◇백신이 무슨 차이? 생산 방식 달라독감 백신을 차별화는 데는 어려움이 있다. 전 세계 백신 제조사가 세계보건기구(WHO)에서 그해 유행할 가능성이 높은 바이러스를 같이 받아 배양·생산하기 때문이다. 함량 기준도 정해져 있어 임상 효과도 비슷할 수밖에 없다. 하지만 제약사들은 생산 방식, 면역 증강제 포함 여부 등 차이점을 내세운다.SK바이오사이언스는 국산 백신 중 유일한 세포 배양 방식 백신이라는 점을 홍보하고 있다. 심한 달걀 알레르기가 있으면 유정란에 바이러스를 배양해 만든 유정란 방식 백신보다 세포 배양 방식 백신이 더 안전한 것으로 알려져 있다. 반면 유정란 방식 독감 백신을 판매하는GC녹십자는 이에 대해 “전 세계 독감 백신 85%를 유정란 유래 방식으로 만든다”며 “이미 누적 생산량 3억도스를 돌파하는 등 제품력과 안전성을 인정받았다”고 했다.A형 독감 바이러스 두 종류와 B형 한 종류 등 독감 바이러스 세 가지를 예방하는 ‘3가 백신’인지, A형과 B형을 각각 두 종류씩 예방하는 ‘4가 백신’인지 하는 것도 차이점이다. 올해 국내 무료 접종 백신은 모두 4가 백신이고, 전문가들은 두 백신 모두 독감 예방에 큰 차이가 없는 것으로 본다. 한편 이달 들어 주춤했던 독감 환자 증가세는 다시 가팔라지고 있다. 지난 20일 질병관리청에 따르면 41주 차(10월 8~14일) 독감 외래 환자 대 의사 비율은 1000명당 15.5명으로 집계 됐다. 유행 기준인 6.5명의 2배를 넘는 수치다. 특히 올해는 독감과 코로나가 동시에 유행하는 ‘트윈데믹’ 우려도 나온다. 이 때문에 보건 당국은 독감과 코로나19 백신을 동시에 접종받기를 권한다."
2023-03-03,[부음] 김정옥 별세 외,"▲김정옥별세,서은영·서은진·서교일동은학원 이사장 모친상,이건웅·최동수·조용성장모상,김정원시모상=2일7시45분 순천향대서울병원, 발인 4일9시, (02)797-4444▲심복임별세,김일주드링크인터내셔널 회장 장모상=1일16시 전남 나주애향장례식장, 발인 4일11시, (061)334-9000▲이봉희별세,김신자·김승무·김승조前 항공우주연구원장·김영숙·김승인·김승애·김승우순천향대 총장 모친상,박명수·정명구·김진희장모상,이옥상·이경숙·이동원前MBC국장 시모상=1일12시43분 순천향대서울병원, 발인 3일12시, (02)798-1421▲이영자별세,정도언일양약품 회장·정영준동방에프티엘 회장·정재형동경J트레이딩 사장·정재훈·정성혜모친상=2일9시14분 서울대병원, 발인 4일8시, (02)2072-2091"
2022-09-27,"“이 병원선 4만5000원, 저 병원선 2만원” 고물가에 저렴한 독감백신 찾아 삼만리","맘카페마다 싼 곳 문의 글 잇달아“외국산 더 비싸… 효능 차이없어”대학생·중학생 딸을 둔 주부 최모(48)씨는 올해 독감 백신을 어디서 맞을지 고민하다가 매년 가던 집 근처 병원 대신 차로 20분 걸리는 다른 병원에서 맞기로 했다. 다름 아닌 ‘가격’ 때문이다. 최씨는 “동네 병원에서 1인당 4만5000원씩 주고 독감 주사를 맞았는데, 조금 멀어도 2만4000원에 접종해 주는 곳을 찾았다”며 “온 가족 접종이면 10만원 가까이 아끼는 셈”이라고 했다.독감(인플루엔자) 무료 예방접종을 하루 앞둔 20일 광주 북구보건소 접종실에서 감염병예방팀 직원들이 의료기관에 추가 공급할 백신의 수량을 확인하고 있다. 질병관리청은 21일부터 생후 6개월부터 13세 이하 어린이를 대상으로 독감 국가예방접종을 실시한다.2022.9.20/뉴스116일 ‘인플루엔자(독감) 유행주의보’ 발령 이후 전국에서 본격적으로 독감 예방 접종이 이뤄지는 가운데 접종 예정자들이 조금이라도 저렴하게 독감 백신을 맞을 수 있는 병·의원을 찾아 나서고 있다. 무료 접종 대상인 생후 6개월~만 13세, 임신부, 만 65세 이상 외에는 병·의원이나 보건소 등에서 유료로 독감 백신을 접종해야 하는데, 백신 가격이 1만~5만원대까지 천차만별이기 때문이다.인터넷 맘카페 등에는 지역 내 ‘독감 주사 저렴한 곳’을 묻고 댓글을 통해 인근 주요 병원의 가격 정보를 공유하는 글이 하루에 수십 건씩 올라오고 있다. 건강보험심사평가원 홈페이지를 통해 각 병원 예방접종료를 확인하는 방법을 알려주는 글도 올라온다. 일부 병원은 독감 예방접종을 대상포진·비타민D 주사 등과 묶어 가격을 할인해주는 이벤트를 내걸고 있다.병원마다 예방접종 가격이 다른 것은 각 병원이 백신 종류·물량을 정해 따로 계약하고 직접 가격을 책정하기 때문이다. 특히 소비자 입장에선 최근 고(高)물가로 가계 부담이 커지면서 ‘저렴한 독감 백신’ 수요가 전보다 더 늘었다.식약처에 따르면 올해 독감 백신은 지난 23일까지 2349만명분이 국가 출하 승인을 받았고, 다음 달 말까지 총 2553만명분이 출하될 예정이다. 모두 한 번 접종으로 4종류의 독감 바이러스를 예방하는 이른바 ‘4가 백신’이다.독감 백신은 제조 방식에 따라 계란을 배양해 생산하는 ‘유정란 백신’과 동물세포를 이용한 ‘세포 배양 백신’으로 나뉜다. 국내 제약사(보령바이오파마 2품목, 보령제약,GC녹십자, 한국백신 2품목, 일양약품) 7품목과 다국적 제약사(사노피파스퇴르,GSK)의 수입 2품목 등 9종은 모두 유정란 백신이다. 식약처 관계자는 “수입 백신이 가격이 다소 높게 형성돼 있지만 효능에는 차이가 없다”고 했다.이 밖에 무료 접종 대상인 생후 6개월~만 13세 어린이 중 중증 계란 알레르기 등이 있는 경우엔 다음 달 5일부터 의사 소견서·진단서를 지참하고 지정된 보건소나 위탁의료기관에서 세포 배양 백신(시퀴러스사 ‘플루셀박스’)으로 접종할 수 있다."
2022-06-28,"셀트리온, 코로나 치료제 개발 중단...임상환자 채우기 어려워","인천에 있는 셀트리온 본사 건물.셀트리온이 코로나 복합 치료제의 임상 3상 시험을 중단했다. 백신 접종자가 늘어난 상황에서 오미크론 변이 출현 이후 규제기관이 요구하는 임상 환자수를 채우기 어려워졌기 때문으로 해석된다.셀트리온은 “오미크론 변이 이후 급변하고 있는 글로벌 코로나19 환경에 대응하기 위해 흡입형 칵테일 항체치료제의 임상시험과 상업화 준비를 잠정 중단하기로 결정했다”고 28일 밝혔다.◇임상 환자 모집 어렵고 긴급승인 혜택 사라져셀트리온은 코로나 항체치료제 ‘렉키로나’의 흡입형에 변이 바이러스 대응력이 뛰어난 후보항체 ‘CT-P63′물질을 더한 칵테일 흡입제 치료제를 개발해 루마니아 등 일부 국가에서 임상 3상 시험계획을 승인받았다. 하지만 셀트리온은 “글로벌 규제기관들이 요구하는 임상 3상 환자 규모가 예상보다 커지고 있어 사업 타당성이 미미할 것으로 판단했다”고 밝혔다.임상 1상은 안전성, 2상에서는 효능을 확인한다. 대규모 사람을 대상으로 하는 3상을 마쳐야 정식 의약품으로 등록받을 수 있다.셀트리온은 오미크론 하위 변이의 전 세계 확산과 백신처방 확대로 코로나바이러스의 풍토병 (엔데믹)전환이 급속도로 진행되고 있어 임상시험 환자 모집이 어려워졌다고 설명했다. 또 규제기관들이 본격적인 코로나 엔데믹 진입에 발맞춰 긴급승인과 같은 ‘패스트트랙’ 절차도 없애고 있는 점도 영향을 미쳤다고 덧붙였다.셀트리온은 “이번 개발 중단에도 불구하고 코로나19 팬데믹(대유행) 현황을 면밀히 모니터링하면서, 팬데믹 초기부터 구축해온 코로나19 대응 칵테일 후보항체군에 대한 관리와 연구는 지속하겠다”고 밝혔다.◇국내 코로나 치료제, 백신 개발 중단 잇따라코로나 치료제·백신 개발을 중단한 회사는 셀트리온만이 아니다. 지금껏 30곳 이상 회사가 임상 허가를 받고 개발에 나섰지만SK바이오사이언스만 코로나 백신 허가를 앞두고 있는 실정이다.백신도 12곳이 임상시험 승인을 받았지만SK바이오사이언스만 품목 허가를 신청한 상태다.HK이노엔은 지난 5월 코로나 백신의 국내 임상시험을 중단한다고 밝혔다. 제넥신은 지난 3월 백신 개발을 포기했고, 나머지 회사들도 초기 단계인 임상 1~2상에 머물러 있다. 유바이오로직스는 3상 중이다.코로나 치료제는 19곳이 임상 승인을 받았지만GC녹십자는 혈장 치료제 개발을 일찌감치 포기했고, 부광약품·일양약품 등도 먹는 치료제 개발을 중단했다. 큐리언트도 남아프리카공화국에서 진행하던 임상 2상을 지난 2월 중단했다. 식약처로부터 판매 승인을 받은 셀트리온 항체 치료제는 변이에 효과가 떨어진다는 이유로 국내 공급이 중단됐다.업계에서는 “제약·바이오 업체들이 코로나 치료제, 백신 개발로 주가를 띄우다가 상황이 바뀌자 잇따라 개발을 중단해 업계 전체 신뢰만 떨어뜨렸다”고 지적한다."
2022-05-16,주가만 띄우다 끝? 코로나 백신·치료제 잇따라 개발중단,"임상 허가 30곳 넘게 받았지만 제대로 된 제품 내놓은 곳 없어코로나 백신을 개발 중이던HK이노엔은 지난 9일 국내 임상시험을 중단한다고 밝혔다. 작년 7월 식품의약품안전처로부터 임상 1상을 허가받은 지 1년도 안 돼 포기를 선언한 것이다.HK이노엔은 “국민 다수가 코로나에 감염됐고 여러 차례 백신 접종으로 면역력이 확보됐다”며 “대규모 유행 발생 가능성이 줄어드는 등 상황이 급변했다”고 이유를 밝혔다.HK이노엔 사옥./뉴스1국내 제약·바이오사들이 잇따라 코로나 치료제·백신 개발을 중단하고 있다. 지금껏 30곳 이상 회사가 임상 허가를 받고 개발에 나섰지만 2년 넘도록 제대로 된 제품을 내놓은 곳은 단 한 곳도 없는 실정이다. 치료제·백신 개발 착수 소식에 치솟았던 주가는 코로나 이전 수준으로 다시 떨어졌다. 바이오 업계 관계자는 “치료제·백신 개발이 쉽지 않다는 것은 회사가 가장 잘 알고 있었을 것”이라며 “결과적으로 코로나를 이용해 주가 띄우기에만 몰두한 셈이 됐다”고 말했다.백신·치료제 개발 포기 잇따라국산 백신 개발은 해외와 비교해 속도가 늦다. 식약처에 따르면 코로나 백신 임상 승인을 받은 곳은 12곳이다.SK바이오사이언스가 임상 3상을 마치고 품목 허가를 신청했고, 유바이오로직스가 3상을 진행 중이다. 하지만 제넥신은 지난 3월 백신 개발을 포기했고, 나머지 회사들도 초기 단계인 임상 1~2상에 머물러 있다. 임상 1상은 안전성, 2상에서는 효능을 확인한다. 대규모 사람을 대상으로 하는 3상을 마쳐야 정식 의약품으로 등록받을 수 있다.백신 접종률이 높아졌고 엔데믹(풍토병)으로 전환되면서 국산 백신 개발은 더 어려워진 상황이다.mRNA백신 개발에 나선 국내 바이오 기업 큐라티스는 지난해 7월부터 임상에 나섰지만 시험 대상자를 모집 중이고, 아이진은 작년 8월부터 지금까지 임상 1상 진행 중이다. 게다가 화이자와 모더나, 노바백스 등 해외 백신이 남아도는 상황에서 대규모 자금을 투입해 개발에 성공하더라도 백신 팔 곳이 마땅치 않아 매출도 장담 못 한다.코로나 치료제 개발은 더 심각하다. 식약처에 따르면 임상 승인을 받은 곳은 19곳이다. 하지만GC녹십자는 혈장 치료제 개발을 일찌감치 포기했고, 부광약품·일양약품 등도 먹는 치료제 개발에 손을 뗐다. 큐리언트도 임상 대상자 모집에 어려움을 겪으며, 남아프리카공화국에서 진행하던 임상 2상을 지난 2월 중단했다. 식약처로부터 판매 승인을 받은 셀트리온 항체 치료제는 변이에 효과가 떨어진다는 이유로 국내 공급이 중단됐다.주가 띄우기에 신뢰도 바닥 떨어져코로나 초기부터 국내 연구·개발(R&D) 규모나 기술력으로는 국산 치료제·백신 개발이 쉽지 않을 것이라고 전문가들은 예상했다. 하지만 제약사들은 정부 예산 지원에 의존해 너도나도 뛰어들었다. 지난해 코로나 치료제·백신 개발 예산은 1528억원 책정됐고, 올해는 3210억원으로 늘었다. 정부 예산 지원은 물론 코로나 치료제·백신 개발에 나선다는 보도자료 한 줄에 주가까지 폭등하니 제약사 입장에선 남는 장사였다.하지만 업계에서는 “일부 회사의 코로나를 이용한 주가 띄우기 경쟁이 결과적으로 제약·바이오 업계 전체 신뢰만 떨어뜨렸다”고 지적한다. 실제로 코로나 치료제 개발에 나섰던 신풍제약은 한때 주가가 19만원을 넘었지만, 지금은 2만원대로 떨어졌다. 셀리드는 지난 12일 오미크론용 백신 임상 1·2상을 신청했다고 발표했지만, 주가가 오르기는커녕 오히려 7.3% 떨어졌다. 소액주주들 사이에서는 “새로운 변이가 또 나오면 어떻게 하느냐” “언제 임상 3상하고 제품을 출시하느냐”라는 반응이 나왔다."
2022-04-11,"8개 제약사, 우크라이나에 30억 상당 의약품 후원","9일 경기 안산시 단원구 후원물품 집하장에서 글로벌생명나눔 관계자들이 우크라이나 후원 의약품을 포장하고 있다./제약바이오협회국내 8개 제약사가 우크라이나에 30억 상당의 의약품을 후원한다.한국제약바이오협회는 11일 “8개 회원사가 글로벌생명나눔을 통해 30억원 상당의 의약품, 의약외품, 건강기능식품 등을 우크라이나에 전달한다”고 밝혔다. 후원에 참여한 제약사는 ▲경동제약 ▲대웅제약 ▲동국제약 ▲일양약품 ▲제뉴파마 ▲퍼슨 ▲하나제약 ▲한미약품 8사다.제약사들은 항생제, 화상연고 등 우크라이나 대사관 긴급지원요청 의약품을 신속 지원키로 했다. 지난 9일 항생제 등 2억3000만원 상당은 포장을 마쳤으며, 추가 물품을 포함해 조만간 우크라이나 정부 군의무사령부에 항공편으로 전달할 예정이다.드미트로 포노마렌코 주한 우크라이나 대사는 “긴급 상황에서 의약품 등을 후원해주신 글로벌생명나눔과 한국제약바이오협회 회원사 여러분께 진심으로 감사의 말씀을 드린다”고 말했다.한편 이번 후원은 글로벌생명나눔이 우크라이나 본국과 난민촌 국민을 지원하기 위한 필수의약품 등 필요 물자를 협회에 요청함에 따라 이뤄졌다. 글로벌생명나눔은 해외 의료 빈곤지역, 해외 재난현장 등에 의료물품 및 의료기기를 지원하고 국제구호개발 관련 연구 등을 진행하는 국제구호 전문 비정부기구(NGO)다."
2024-03-12,mRNA 백신개발단 예산 끊겨 해산…“팬데믹 또 오면 어쩌나”,"머지않아 또 찾아올 팬데믹(세계적 유행병)에 대응하려면 백신이 필수적이다. 코로나19 때 15만명의 사망을 막았다. 가장 신속하게 만들 수 있는 무기가mRNA백신이다. 그런데 정부의mRNA지원 정책이 흔들리고 있다. 다음 팬데믹 대비에 차질이 생기고 빈약한 국내 백신 업계의 기반이 무너져 ‘국가 보건안보’가 위태로워질 수 있다는 우려가 나온다.10일 질병관리청에 따르면 올해mRNA백신 개발 예산은 267억원이다. 2022~2023년 연평균 447억원의 60%에 지나지 않는다. 이로 인해 당장 ‘디지스 X 대응mRNA백신개발사업단(KmVAC)’이 이달 말 끝난다. 홍기종 사업단장(가천대 의대 미생물학과 교수)은 지난 7일 중앙일보와의 통화에서 “지난 2년 정부의 사업단 지원 예산(340억원)이 이달 말 사라진다”며 “코로나19가 끝난 마당에 굳이 2단계 지원이 필요하냐는 지적이 나온 것으로 알고 있다”고 말했다.홍 단장은 “2년 투자 덕분에 목표 지점의 80%까지 도달했다고 본다. 2~3년 더 지원해주면 미국의 화이자·모더나와 품질이 유사한mRNA백신을 만들 수 있을 텐데 올해 지원이 끊겨 아쉽다”며 “새로운 팬데믹이 4~5년 후 온다고 가정하면 2~3년 안에mRNA백신 생산 준비를 끝내야 한다”고 말했다.정부는 2022~2023년mRNA백신 연구 70개 과제를 지원했다. 특히 임상시험과 핵심요소 기술 개발 과제에 집중했다. 덕분에 한국형mRNA구조체·전달체 기술을 확보했고, 9건의 기술을 기업에 이전했다. 또 3개 기업이mRNA백신 1, 2차 임상시험을 진행하고 있다. 하지만 코로나19 종식과 더불어 관심이 뚝 떨어졌다. 한국이 주춤하는 사이 일본은 지난해 다이이찌산쿄를 비롯한 두 개 회사가mRNA백신을 개발해 자국민에게 맞힌다. 중국에서도 성공 소식이 들린다.일본은 코로나19 유행 기간에 1조 원을 민간 기업에 지원했다. 백신 개발을 위한 범정부기구(SCARDA)를 만들어 인허가, 특허 출원, 공장 설립 등을 전폭적으로 지원했다. 반면 한국은 지원금도 적고, 이마저 올해 쪼그라들었다. 게다가 질병청·식약처·복지부·과학기술부·산업자원부 등 관련 부처가 제각각 지원하면서, 중복·사각지대가 생겼다. 질병청 관계자는 “일본처럼 지원체계를 일원화하고 한정된 예산을 백신 제품화에 집중적으로 쏟아야 한다. 앞으로 2~3년이 골든타임”이라고 말한다.미국 화이자·모더나는 코로나19와 독감을 동시에 막는 콤보 백신 개발에 한창이다. 내년 중 상용화할 가능성이 크다. 한국에선 녹십자·SK바이오사이언스·일양약품이 독감 백신만 생산한다. 한 번 접종에 두 가지 효과를 내는 콤보 백신의 선호도가 높을 수밖에 없다. 홍 교수는 “콤보 백신이 들어오면 국내 독감 백신 시장이 많이 잠식될 것”이라고 우려했다.mRNA백신에 투자를 확대할 이유는 또 있다. 이 백신은 뎅기열 등의 다른 감염병, 암 같은 질병 예방과 치료에 적용할 수 있다. 코로나19 때처럼 백신 보유국이 자국 우선 정책으로 나올 수 있어 보건 안보 측면에서도 중요하다.mRNA백신 개발에 뒤처지면 백신 종속에서 벗어나기 힘들 것이란 게 전문가들의 지적이다."
2022-11-21,현상순 아시아경제 대표 한양언론인상 수상,"한양대 출신 언론인 모임인 한양언론인회는 ‘제17회 한양언론인상’ 수상자로 현상순 아시아경제 회장(사진 왼쪽), 이수형 법률신문 대표(가운데), 송기용 머니투데이 편집국장(오른쪽)을 선정했다고 21일 밝혔다.‘한양을 빛낸 동문상’수상자로는 천경준 씨젠 회장, 고춘홍 이브자리 회장, 김동연 일양약품 대표, 김희근 벽산엔지니어링 회장, 김형일 한양 부회장, 이방수LG에너지솔루션 사장, 전해상 도레이첨단소재 대표 사장, 황현식LGU플러스 대표 등 16명이 선정됐다. 시상식은 22일 서울 중구 프레지던트호텔에서 열린다."
