date,title,content
2024-12-23,"기아, 소형 SUV ‘시로스’ 인도서 첫 공개","/현대자동차·기아기아는 차체 길이가 4m 이하인 소형SUV(스포츠유틸리티차량) ‘시로스(Syros)’를 인도에서 세계 최초로 공개했다고 22일 밝혔다. 기아 ‘쏘울’과 비슷한 크기로 경쟁 차량보다 넓은 실내 공간을 갖췄고, 파노라마 디스플레이와 전방 충돌 방지 등 첨단 운전자 보조 시스템도 장착했다. 내년부터 인도를 시작으로 아시아태평양, 중남미, 아프리카, 중동 등에서 판매할 계획이다. 아직 국내 출시 계획은 없다. 기아 관계자는 “첨단 기술과 대담한 디자인을 갖춘 시로스를 통해 인도 자동차 시장에서 입지를 더 강화해 나갈 것”이라고 했다."
2024-12-27,"경찰, 양경수 민주노총 위원장 집시법 위반 소환조사",양경수 전국민주노동조합총연맹(민노총) 위원장이 27일 오전 서울 용산경찰서에서 지난 12일 서울 용산구 일대에서 열린 대통령 규탄 집회 관련 집회 및 시위에 관한 법률(집시법) 위반 혐의 조사를 위해 출석했다. /뉴시스서울 용산경찰서는 27일 오전 민주노총 양경수 위원장을 집회 및 시위에 관한 법률(집시법) 위반 혐의로 소환해 조사했다. 경찰은 지난 12일 민노총 집회에서 발생한 불법 행위의 사전 기획 여부를 들여다보고 있다. 이날 오전 9시 30분쯤 용산서에 출석한 양 위원장은 “헌법 가치를 부정한 범죄자를 체포하라는 국민 요구를 알리려 한 것”이라며 “집회를 과도하게 제한하는 경찰의 행태에 부당함을 제기할 것”이라고 했다. 경찰에 따르면 양 위원장은 오전 중 조사를 받고 돌아간 것으로 전해졌다.12일 오후 2시 민노총은 서울 세종대로에서 12·3 비상계엄을 규탄하는 집회를 연 뒤 오후 3시쯤 용산 대통령실로 향해 차로로 행진했다. 이 과정에서 경찰은 삼각지역 인근에서 집회를 벌이고 있던 보수 단체와 민노총이 마주쳐 충돌을 빚을 걸로 예상하고 숙대입구역~삼각지역 사이 남영삼거리 일대에 바리케이드를 설치해 민노총 행진을 막았다. 민노총 집회 참가자들은 “비켜라” “열어라” 외치며 경찰을 밀거나 바리케이트를 넘어 차량통제가 이뤄지지 않은 차로로 진입했다.경찰과 대치하던 민노총은 잠시 해산한 뒤 오후 5시쯤 한강진역 2번 출구에서 다시 집결했다. 시위대는 대통령 관저 방면으로 행진하며 차량이 통행하는 차도에 기습적으로 들어서서는 “윤석열 체포” “윤석열 구속”을 외쳤다. 시위대가 한남대로 상행선 전 차선(3개 차로)을 모두 점거하면서 이날 5시 12분쯤 한남대로 차량 통행이 제한됐다. 시위대가 밀려오며 경찰이 도로 위에 만든 전방 저지선이 뚫리기도 했다.비상계엄 사태 이후 민노총 집회에 기세가 몰리면서 민노총 간부진에 대한 경찰 수사는 잠정 중단됐던 걸로 알려졌다. 경찰은 지난달 9일 민노총 집회에서 경찰과 일부 참가자가 충돌을 빚고 경찰 기물을 파손한 폭력 사태가 사전 기획된 것이었는지 여부를 두고 지난달 22일 양 위원장을 서울지방경찰청 공공수사대로 소환했다. 해당 집회에서 발생한 폭력 행위로 경찰관 105명이 부상을 입은 것으로 조사됐다.경찰 관계자에 따르면 12·3 비상계엄 이후 집회에 대해 경찰은 위법 행위 제한보다는 안전 관리에 중점을 두고 있었다. 인파가 몰리며 집회 장소를 벗어나는 등 행위를 하나하나 가려 제재하기에는 현실적인 어려움이 따랐기 때문이다. 용산서의 이번 양 위원장 소환은 불법·폭력 집회에 대한 경찰 수사 재개의 신호탄이라는 분석이 나온다.
2024-12-22,"기아, 인도에서 콤팩트 SUV ‘시로스’ 세계 최초 공개","내년 인도 시작으로 중동, 중남미 등 공략셀토스보다 작고, 쏘울과 비슷한 크기아직 국내 출시 계획은 없어기아가 4m 이하 콤팩트SUV'시로스'를 인도에서 세계 최초로 공개했다고 22일 밝혔다. 사진은 기아 시로스 외장 이미지./기아기아가 길이(전장) 4m 이하 콤팩트 스포츠유틸리티차(SUV) ‘시로스(Syros)’를 인도에서 세계 최초로 공개했다.기아는 22일 이같이 밝히고, 내년부터 인도를 시작으로 아시아·태평양, 중남미, 아프리카·중동 등의 시장을 공략하겠다고 했다. 기아 관계자는 “시로스는 그리스 키클라데스 제도에 있는 섬 이름”이라며 “전통과 서구문화가 조화를 이루는 시로스 섬처럼 경쟁 모델과 차별화하겠다는 의미를 담았다”고 말했다.전장 3995㎜, 전폭 1805㎜, 전고 1625㎜로 과거 기아의 베스트셀러 쏘울(전장 4196mm,전폭 1801mm,전고 1600mm)과 비슷한 크기다.외관은 전면엔 기아의 패밀리룩인 ‘스타맵 시그니처LED라이팅’과 ‘디지털 타이거 페이스’가 적용됐으며, 사이드 미러에서 바닥으로 기아 로고를 비추는 퍼들 램프도 채택됐다. 실내에는 12.3인치HD디스플레이 클러스터, 5인치 공조, 12.3인치 인포테인먼트 시스템이 이어진 파노라믹 디스플레이, 하만 카돈 프리미엄 사운드 시스템 등이 적용됐다. 전방 출동 방지 보조, 차로 유지 보조 등 첨단 운전자 보조 시스템도 이용할 수 있다.기아 '시로스' 후면./기아1.0 가솔린 터보와 2.5 디젤로 출시된다. 이광구 기아 인도권역본부장은 “기아는 고객 중심 디자인과 혁신적인 기술로 인도 자동차 시장에서 새로운 기준을 세우고 있다”며 “첨단 기술과 대담한 디자인 등을 갖춘 시로스를 통해 인도 시장에서 입지를 한층 더 강화해 나갈 것”이라고 말했다. 아직 국내 출시 계획은 없다."
2024-08-06,"北, 이동식 미사일 발사대 250대 전방에 배치","사거리 110㎞ ‘화성-11라’용 공개평양서 인도식 - 지난 4일 평양에서 열린 신형 전술 탄도미사일 무기 체계 인계 인수 기념식에 김정은 북한 국무위원장이 딸 주애와 함께 참석했다고 조선중앙통신이 보도했다. /조선중앙통신 연합뉴스북한 조선중앙통신은 전방에 배치할 신형 전술 탄도미사일 발사대 250대를 국경 제1선 부대들에 인도하는 행사가 지난 4일 평양에서 열렸다고 5일 보도했다. 북한은 이미 장사정포 수백 문으로 우리 수도권을 겨누고 있고, 지난 3월에는 600mm초대형 방사포라고 불리는 단거리탄도미사일(SRBM)을 다수 배치했다고 주장했다. 유사시 ‘소나기 미사일 공격’으로 우리 군의 미사일 방어망을 무력화하겠다는 위협이다.김정은은 이날 “대화를 하든 대결을 하든 강력한 군사력을 보유해야 한다”고 했는데, 미국 대선을 앞두고 협상력을 높이기 위한 행보라는 해석도 나온다. 김정은이 대화를 언급한 것은 약 3년 만이다.군 당국은 이날 북한이 공개한 사진에서 식별된 이동식 발사대(TEL)는 근거리탄도미사일(CRBM) ‘화성-11라’를 위한 것으로 보고 있다. ‘화성-11라’는 사거리가 약 110㎞로, 오로지 대남 위협·공격 목적의 무기 체계다. 과거 북한의 ‘서울 불바다’론은 전면전 상황에서 북한의 장사정포 사격을 전제로 했는데, 앞으로는 발사대 250대에서 벌일 근거리탄도미사일 공격도 추가될 수 있다는 것이다. 북한 주장대로라면 발사대별로 발사관 4개를 갖춰 산술적으로 미사일 1000발을 순차적으로 발사할 수 있다는 의미다. 북한은 2022년부터 이 근거리탄도미사일을 시험 발사해 왔는데, 우리 군의 방공망으로 요격이 가능하지만 물량 공세로 이어질 경우 전수 방어는 어려울 것으로 전망된다.양욱 아산정책연구원 연구위원은 “북한은 화성-11라에 전술핵탄두 장착이 가능하다고 주장하고 있는 만큼 재래식 무기 체계인CRBM에 핵탄두를 일부 탑재해 ‘섞어 쏘기’ 방식으로 우리를 공격할 수 있다”고 했다.다만 군 관계자는 “북한이 이처럼 많은 발사대에 들어갈 미사일을 원활하게 생산해 물량을 맞출 수 있을지는 미지수”라며 “현시점까지는 전방 배치를 위한 전술적 조치도 이뤄지지 않은 것으로 파악하고 있다”고 했다. 북한 무기 체계의 정확도 및 신뢰도 문제도 있어 당장 실질적 위협은 아닐 수 있다는 주장도 나온다.이 같은 북한의 행보는 미국 대선을 앞두고 존재감을 확보하기 위한 움직임이라는 해석도 나온다. 박원곤 이화여대 교수는 “바이든 정부 시절 ‘대화’란 얘기가 전혀 없다가 미국 대선을 앞두고 입장을 선회했다”며 “비핵화가 아닌 핵 군축을 두고 협상할 수 있다는 의미로 해석이 가능하다”고 했다."
2024-12-23,내일 국무회의서 쌍특검 안 다룬다...”헌법 검토할 시간 더 필요”,"총리실, 野 ‘추가탄핵’ 언급에 “책임 있는 정당이 진지하게 한 말인가”한덕수 대통령 권한대행 국무총리가 23일 서울 종로구 국무총리공관에서 경제 단체 대표들과 오찬 간담회에 앞서 기념 사진을 남기고 있다. 왼쪽부터 이호준 한국중견기업연합회 상근부회장, 김기문 중소기업중앙회 회장, 손경식 한국경영자총협회 회장, 한 대행, 최태원 대한상공회의소 회장, 류진 한국경제인협회 회장, 윤진식 한국무역협회 회장의 모습. /국무총리실한덕수 대통령 권한대행 국무총리가 오는 24일부터 국내에 있는 외국 상공회의소 관계자들과 간담회를 하고, 정부의 경제 회복 의지를 밝힐 계획이라고 국무총리실이 23일 밝혔다. 총리실은 더불어민주당에서 국무위원을 추가로 탄핵소추해 국무회의를 중단시킬 가능성을 언급한 데 대해서는 “책임 있는 정당이 진지하게 말한 것이라고 생각하기 어렵다”고 했다.방기선 국무조정실장은 이날 오후 정부서울청사에서 기자들과 만난 자리에서 “한 대행이 24일부터 주한 일본상공회의소와의 간담회를 시작으로 주요국의 주한 상공회의소들과 릴레이 간담회를 하고, 수출 기업 방문도 이어나갈 계획”이라고 밝히고, 이는 “정부의 경제 회복 의지를 표명하고, 경제 정책을 안정적으로 일관성 있게 이끌어나가겠다는 것을 강조하는 행보”라고 설명했다.한 대행은 이날 경제 6단체 대표들과의 오찬 간담회 자리에서도 “현재의 권한대행 체제의 근본은 헌법과 법률을 충실히 지켜서 우리나라가 법치주의와 민주주의가 강한 나라로 (국제사회에) 다시 각인되고, 정책 결정이 대한민국의 미래를 위한 결정이 되도록, 정책 간 일관성과 정합성을 계속 지켜나가는 것”이라고 했다. 방 실장은 또 “한 대행이 연말에는 국민을 위해 헌신하고 계시는 소방서와 군부대 등을 방문해 격려할 계획”이라며 “특히 소방서를 방문해 국민 안전을 위해 묵묵히 소임을 다하고 있는 소방 공무원들에게 감사를 표하고, 전방 군부대를 방문해 국가 방위에 애쓰고 있는 장병을 현장에서 따뜻하게 격려하고자 한다”고 했다.한편 24일 정기 국무회의에는 내란 특검법과 김건희 여사 특검법을 법률로 공포하는 안건은 올라가지 않을 예정이다. 총리실 고위 관계자는 이날 오후 정부서울청사에서 기자들에게 “(두 법안의 공포가) 짧은 시간 내에 고민해서 그냥 답변드릴 수 있는 것이었다면 좀 더 빨리할 수 있겠지만, 여러 헌법적·법률적인 요소를 살펴봐야 하는 고차방정식”이라며 “그 방정식을 푸는 데 조금 더 시간을 주었으면 한다”고 했다.이 관계자는 우원식 국회의장이 한 대행에게 상설특검 후보자 추천 의뢰를 이날 곧바로 하라고 요구한 데 대해서는 “상설특검은 정치권에서도 서로 다른 생각들을 갖고 있고, 해석의 문제도 다양하게 있는 것으로 안다”며 “(우 의장이) 오늘까지 결론을 내달라고 말씀하셨지만, (정부는) 다양한 헌법적·법률적 해석과 이견을 검토해야 한다”고 했다.이 관계자는 한 대행이 “권한대행 체제의 근본은 정책 일관성”이라고 강조한 것과 관련해서는 “우리(정부)는 정치적인 흐름에 따라 좌지우지되지 않고, 헌법과 법률, 국가의 미래를 바라보면서 결정한다는 일관성을 지키겠다는 것”이라고 했다.이 관계자는 그러면서 내란 특검법, 김 여사 특검법 공포 등의 문제가 여야정 협의체에서 논의돼야 할 것이라고 했다. 이 관계자는 “여러 정치적인 난제들이 행정부로 넘어와 있는 상황이긴 하지만, 근본적으로는 굉장히 정치적인 문제들”이라며 “여야정 협의체에서 그런 정치적인 문제들이 심도 있게 논의되고 여야가 합의를 이끌어낼 수 있다면 그것이 가장 바람직한 상황 아니겠느냐”라고 했다.총리실 고위 관계자는 또 더불어민주당이 국무위원을 추가로 탄핵소추해 국무회의가 제 기능을 하지 못하게 하는 방안을 거론한 것에 대해서는, “(국무위원들이 탄핵소추를 당해 직무가 정지되면) 의사정족수가 (충족) 안 되기 때문에 (국무회의가 멈춘다는 것이) 맞는 말이다”라고 했다.이 관계자는 “그러면 정부가 (국회에서 넘어온 법안을) 공포하지 못하는 상황이 되고, 그러면 국회의장이 (대신 법안을) 공포할 수 있다”며, “총리실에 (이에 대한) 특단의 대응 방안이 있을 수는 없다”고 했다.이 관계자는 “다만 현재 의원 숫자가 제일 많은, 책임 있는 정당으로서 그런(국무회의 중단) 상태까지 염두에 두고 진지하게 말한 것이라고 생각하기는 쉽지 않을 것”이라고 기대했다."
2024-04-11,"전방주시 안하다 전봇대 ‘꽝’... 화제의 홍보영상, 또 그 소방관이네","전방주시하지 않은 채 춤추다 기둥에 부딪혀 넘어지는 영상을 연출한 소방관. /유튜브 소방관삼촌현직 소방관이 직접 전한 전방주시 홍보 영상이 화제다. 이 소방관은 앞서 겨울철 빙판길 안전사고 주의를 안내하기 위해 빙판길에서 슬릭백을 추다 넘어지는 영상을 연출해 이목을 끌었던 바 있다.유튜브 채널 ‘소방관삼촌’에는 10일 운전 시 전방주시 주의를 요하는 내용의 홍보 영상이 올라왔다.영상은 주황색 근무복을 입은 소방관이 갑자기 조수석에서 내려 서행하는 차를 따라 춤을 추는 장면으로 시작한다. 그러나 전방을 주시하지 않아 소방관은 얼마 뒤 전봇대에 머리를 박고 쓰러지고, 바로 ‘교통사고 원인 1위 전방주시 태만’ ‘봄철 졸음운전 주의’ ‘운전 중 휴대폰 사용금지’ 등의 안내 문구가 담긴 장면으로 이어진다. 이는 움직이는 차에서 내려 춤을 추는 최근 유행 숏폼 챌린지를 패러디한 것이다.전방주시 안내 문구. /유튜브 소방관삼촌15초도 되지 않는 길이의 영상이지만, 네티즌 반응은 뜨거웠다. 영상에는 “전방주시의 중요성이 한방에 와닿는다” “센스가 너무 좋다” “뇌에 쏙 박힌다” 등의 댓글이 달렸다. 다른 소셜미디어와 온라인 커뮤니티 등에도 영상이 공유됐고, 네티즌들은 일제히 ‘기발하다’며 응원의 목소리를 보냈다.이 소방관은 지난 1월 빙판길에서 슬릭백(공중부양 춤)을 추는 영상으로 이미 한차례 화제를 모았다. 겨울철 빙판길 안전사고 예방 홍보를 위해 슬릭백을 추다 의도적으로 미끄러져 넘어지는 모습을 연출한 영상이었는데, 당시에도 온라인상에서 “메시지가 명확하게 전달되고 웃기기까지 하다” “국민의 안전을 위해 살신성인하는 자세 멋지다” 등의 긍정적인 반응이 잇따랐다.과거 나경진 소방교가 제작했던 겨울철 빙판길 안전사고 예방 홍보 영상. 빙판길에서 슬릭백을 추다 넘어지는 모습을 연출했다. /유튜브 소방관삼촌이처럼 몸 던져 안전 홍보 영상을 제작하는 이 소방관 정체는 충북 청주시에서 근무하는 나경진 소방교다. 나 소방교는 과거 구조대원으로 활동하다, 현재는 안전 교관으로 일하고 있다. 유튜브 채널은 공식적인 담당 업무가 아니지만, 조직에 도움이 되기 위해 취미 삼아 하는 일이라고 한다. 나 소방교는 지난달 31일CBS라디오 ‘오뜨밀 라이브’에서 “일이라고 생각하지 않고 취미라고 생각하고 있어서 재밌고 즐겁게 하고 있는 것 같다”며 “담당자가 아니라 예산이 없다 보니까 섭외를 할 때도 그냥 커피 한잔 사주면서 영상을 찍는다”고 했다.나 소방교는 처음 유튜브를 시작하게 된 이유에 대해선 충주시 유튜브를 운영하는 김선태 주무관 영향이 컸다고 밝혔다. 나 소방교는 “3년전 충주에서 근무하시는 김선태 주무관님 영상을 우연히 보게됐다”며 “딱딱하고 재미없을 수 있는 지역 홍보 영상도 재밌게 만드시는 걸 보면서 ‘나도 저렇게 소방 조직과 관련된 홍보 영상을 재미있게 만들어보자’라는 생각을 했다”고 했다.나 소방교는 “소방 업무를 하다 보면 정신적으로 몰리는 경우가 있는데, 저 같은 경우 영상 작업 그리고 운동을 하면서 스트레스를 풀어내는 편”이라며 “영상을 만들어서 사람들이 보고 좋아해 줄 때 뿌듯하다”고 했다."
2024-12-24,"자전거로 횡단보도 건너던 고교생, 우회전 차에 치여 숨져","경찰 로고. /뉴스124일 오전 8시 41분쯤 경기 안산시 상록구 본오동 한 사거리에서 우회전하던 쏘렌토 차량이 자전거를 타고 횡단보도를 건너던 고교생 A(17)군을 들이받고, 이어 우측 인도로 돌진해 B(16)양 등 여고생 2명을 들이받았다.A군은 구급대원들에 의해 심정지 상태로 인근 병원에 옮겨졌으나 숨졌다. B양 등 2명은 부상으로 치료를 받았으며 생명에 지장은 없는 상태이다. 피해자들은 당시 인근의 학교로 등교하던 길이었던 것으로 파악됐다.당시 차량 운전자인 50대 여성 C씨는 보행 신호에 따라 횡단보도를 건너던 A군을 미처 보지 못하고 사고를 낸 것으로 나타났다. 또 당황한 C씨가 브레이크가 아닌 가속 페달을 밟으면서 차량이 인도로 돌진했던 것으로 경찰은 보고 있다.경찰은 교통사고 처리 특례법 위반(치사상) 혐의로 C씨를 형사 입건해 조사할 방침이다.경찰 관계자는 “사거리에서 전방에 주행 신호를 받았을 경우 우회전을 하려면 보행자가 있는지 확인하고 서행해야 한다”며 “자세한 사고 경위를 조사할 예정”이라고 말했다."
2024-12-22,“내년 수출 전망 어둡다… 가전·반도체 여건 악화”,"/뉴시스세계 각국의 수입 규제와 경기 회복 부진 등 여파로 내년 1분기 우리 기업 수출이 주춤할 것이란 전망이 나왔다. 특히 북미·유럽에서 수요가 둔화한 가전 수출 전망이 어두웠다.22일 한국무역협회(KITA) 국제무역통상연구원에 따르면 내년 1분기 수출산업경기전망지수(EBSI)는 96.1로 100을 밑돌았다. 이 지수는 국내 수출 기업을 대상으로 다음 분기 수출 경기 전망을 물은 것으로, 기준선(100)보다 낮으면 직전 분기보다 상황이 안 좋아질 것으로 본다는 의미다.이 지수가 기준선 아래로 내려간 건 올해 1분기(97.2) 이후 4분기 만에 처음이다. 연구원은 “응답의 92.7%가 지난 4일(비상계엄 사태) 이전에 제출돼 환율 변동성에 대한 우려가 덜 반영됐을 수 있다”고 했다.조사에 따르면 주요 15대 품목 중 10개 품목이 100보다 낮은 값을 기록해 수출 여건이 악화할 것으로 내다봤다. 특히 가전(52.7) 품목은 주요 수출 대상국인 북미, 유럽연합(EU)의 수요가 위축돼 수출 역성장 가능성이 가장 큰 것으로 나타났다.반도체(64.4) 수출 전망도 좋지 않았다. 연구원은 “중국의 범용 D램 수출 증가로 인한 경합이 심해지고, 전방 산업재고도 증가하면서 수출 여건 악화가 예상된다”고 했다.반면 선박(146.4), 자동차·자동차부품(130.7) 등은 전분기에 이어 수출 호조를 이어갈 것으로 조사됐다.항목별로 보면 수입규제·통상마찰(74.5), 수출상품 제조원가(82.7)’ 등 9개 항목에서 여건 악화가 전망됐다. 대부분 항목이 100 이하를 기록한 가운데, 주요국 자국 우선주의 심화로 수입규제가 대폭 확대될 것이라는 우려가 가장 두드러졌다. 반면 석유제품과 자동차·자동차부품을 중심으로 수출단가(106.2) 여건은 전분기와 비슷하거나 소폭 개선될 것으로 평가됐다.허슬비 한국무역협회 연구원은 “트럼프 2기 행정부 출범 이후 통상 환경이 악화할 우려가 있다”며 “글로벌 불확실성이 커지는 만큼 우리 수출 기업들은 각국의 통상 정책을 면밀히 모니터링하고 원자재 수급 관리에 철저히 대비해야 한다”고 했다."
2024-12-25,"경찰, ‘노상원 별동대’ 의혹 구삼회 2기갑여단장 소환","12·3 비상계엄 사태를 사전에 모의한 혐의를 받는 노상원 전 정보사령관이 24일 서울 은평구 서부경찰서에서 검찰로 송치되고 있다. /뉴스1‘12·3 비상계엄’ 사태를 수사 중인 경찰이 노상원 전 정보사령관 주도로 구성된 계엄사령부 비공식 조직 ‘수사2단’의 수뇌부로 지목된 구삼회 육군 제2기갑여단장(준장·육사 50기)을 소환해 조사하고 있다.경찰청 국가수사본부 비상계엄 특별수사단은 25일 오전부터 구 여단장을 소환해 관련 의혹을 집중 조사 중이라고 밝혔다. 구 여단장은 노 전 사령관이 육사 출신 인사들을 중심으로 사조직처럼 꾸린 것으로 알려진 ‘수사2단’에서 단장으로 내정된 인물로, 계엄 선포 이후 중앙선거관리위원회(선관위) 서버 확보를 주요 임무로 맡았던 것으로 전해졌다.구 여단장은 특히 지난 12월 3일 비상계엄 선포 당일 열린 ‘롯데리아 2차 회동’에 참석했다. 당시 구 여단장은 노 전 사령관, 김용군 예비역 대령 등과 만나 회의를 가진 뒤 경기 성남 판교의 정보사령부 100여단으로 이동한 것으로 알려졌다.이와 관련해 내란 세력이 만일의 사태에 대비해 전방에 배치된 기갑부대까지 동원하려 했던 것 아니냐는 의혹도 제기되고 있다. 특히 구 여단장은 노 전 사령관이 과거 경호실 군사관리관으로 재직하던 시절, 수방사 1경비단에서 함께 근무하며 인연을 맺은 것으로 알려졌다.경찰은 구 여단장을 상대로 롯데리아 회동의 구체적 경위와 수사2단의 구성 및 역할, 군부대 동원 계획 등을 조사할 방침이다."
2024-06-07,北 오물풍선 예상된 날 전방 사단장 음주회식…긴급 감찰,"지난 2일 오전 10시 22분쯤 경기도 안산시 단원구의 한 빌라 주차장에, 북한에서 날아온 것으로 추정되는 오물 풍선이 떨어졌다. 풍선은 주차장에 주차돼 있던 승용차에 떨어져 앞유리창이 박살 났다. 다행히 당시 승용차에는 아무도 탑승해있지 않아 다친 사람은 없었다. /뉴스1북한이 남쪽으로 오물 풍선을 살포할 당시 경기도 파주 최전방의 육군 제1보병사단장이 음주 회식 중이었던 것으로 확인됐다. 합동참모본부는 전날 “대남 오물 풍선이 예상된다”며 각급 부대에 대비 태세 강화를 지시한 상태였다.7일 육군 등에 따르면 지상작전사령부는 육군 1사단장이 지난 1일 북한의 오물풍선 추가 살포가 예상됐던 날 참모들과 음주 회식을 했다는 제보 내용을 접수해 긴급 감찰을 진행하고 있다.지난 1일 북한은 오후 8시쯤부터 대남 오물 풍선을 보내기 시작했다. 1사단장은 이 같은 사실이 알려진 후에도 작전 지휘 현장이 아닌 회식 자리에 있다가 뒤늦게 사복 차림으로 부대에 복귀했다고 한다.합동참모본부는 전날인 지난달 31일에 “6월 1일부터 북풍이 예고되어서 대남 오물 풍선이 예상된다”며 각급 부대에 대비 태세 강화를 지시한 상태였다.육군 측은 “상급부대 차원에서 사실관계를 확인했고, 그 결과에 따라 엄중하게 조치할 것”이라고 했다.육군 관계자는 조선닷컴에 “작전에 꼭 필요한 인원들은 지휘소에 위치하고 있었다”면서 “당시 중령급 참모를 반장으로 한 긴급조치조가 소집되어 임무를 수행 중이었다”고 밝혔다."
