date,title,content
2022-12-01,제주은행 주가는 왜 별안간 뛰어올랐나,"[백브리핑]제주은행 주가가 연일 급등하고 있습니다. 29일 22% 넘게 오른 데 이어 30일에도 11.5% 상승하면서 사흘 전까지만 해도 8000원이었던 주가가 1만1000원을 넘어섰습니다. 올 들어 최고가입니다.제주은행이 여타 은행에 비해 특별한 호재가 있는 것도 아닙니다. 3분기 순이익이 68억원 남짓으로 지난해보다 역성장해서 실적만 본다면 오히려 주가가 떨어져도 이상하지 않은 상황입니다.그런데도 주가 그래프를 밀어올린 건 시장에 떠돈 ‘설(說)’이었습니다. 네이버와 두나무 등 테크 기업이 조만간 이 은행 인수에 나선다는 이야기가 돌면서 단기 차익을 노린 개미 투자자들이 달라붙은 것인데, 이런 설의 배경은 최근 금융위원회 발표 때문에 나온 것으로 보입니다.지난 11월 중순 금융위는 은행 등 금융회사가 비(非)금융 분야 사업에 진출할 수 있도록 규제를 없애주는 이른바 ‘금산분리 개선 방안’을 곧 내놓겠다고 했습니다. 제주은행은 신한금융지주가 75%를 보유하고 있습니다. 신한금융지주라는 우산 아래 신한과 제주 등 2개의 은행이 있는 것이죠. 규제가 완화될 경우 빅테크 기업 입장에서는 은행업 라이선스를 확보하기 위해 은행 인수에 나설 가능성이 있고, 신한금융은 굳이 2개의 은행을 갖고 있을 필요가 없으니 한 곳을 팔아 다른 사업에 투자할 자금을 확보하지 않겠느냐는 것이 M&A(인수·합병) 설의 시나리오인 것 같습니다.하지만 제주은행 주가가 들썩인 게 이번이 처음이 아니라는 점이 흥미롭습니다. 지난해 초에도 네이버 인수설이 돌아 주가가 들썩였고, 이후 넥슨 인수설이 불거지며 단기 투자가 몰렸습니다. 그때마다 대주주인 신한금융이 제주은행 매각 가능성을 일축하자 주가가 다시 제자리를 찾곤 했습니다.불나방같이 테마를 쫓는 투자자들이 제주은행을 사들이고 있기는 합니다만, 어찌 보면 투자자들이 그만큼 성장성 있는 기업 출현에 목 말라 있다는 뜻은 아닐까요. 40여 년 지속된 금산분리 규제를 현실에 맞게 새로 디자인해 금융과 빅테크가 결합한 새로운 성장 기업이 진짜 출현한다면, 단타족들이 아닌 장기 투자자들이 몰려들지도 모르겠습니다."
2023-11-07,1등 은행도 꼴찌도 고액 연봉… 독과점 과실 나눠먹어,"18개 은행 평균 연봉 1억355만원일러스트=이철원국책은행을 제외한 국내 18곳 은행 가운데 평균 연봉이 1억원을 넘는 곳이 10곳인 것으로 나타났다.KB국민·신한·하나·우리·NH농협 등 5대 은행은 물론이고, 규모가 작은 지방은행 중에서도 부산은행과 경남은행 연봉이 1억원을 넘을 정도로 은행권의 연봉이 다른 업종에 비해 ‘상향 평준화’된 것이다. 1위 은행과 꼴찌 은행 간의 연봉 차이도 다른 업종보다 훨씬 작았다. 전문가들은 “은행 면허만 있으면 치열한 경쟁을 하지 않아도 안정적인 이자 이익을 올릴 수 있는 은행산업의 과점 체제가 ‘연봉 상향 평준화’의 원인”이라고 지적하고 있다.은행 18곳 중 절반 이상이 ‘억대 연봉’은행연합회가 최근 발표한 국내 은행들의 지난해 경영 현황 보고서에 따르면 18곳 은행 전체(산업은행·수출입은행 제외) 임직원의 평균 연봉은 1억355만6667원에 달한다. 외국계 은행인 씨티은행(1억1918만원)이 1위였고, 이어 토스뱅크(1억1604만원), 하나은행(1억1424만원),KB국민은행(1억1369만원), 부산은행(1억1225만원) 등의 순이었다. 또 신한은행(1억1078만원), 경남은행(1억851만원),NH농협은행(1억622만원), 우리은행(1억476만원), 카카오뱅크(1억306만원)까지 합쳐 총 10곳 은행이 우리나라 샐러리맨들의 꿈으로 불리는 ‘억대 연봉’ 대열에 합류했다.그래픽=이철원억대 연봉에 들지 못한 나머지 은행들의 연봉 수준도 높은 편이었다. 연봉 순위 11위인SC제일은행(9994만원)부터 18위인 제주은행(8517만원)까지 평균 연봉 8500만원을 넘기지 못한 은행은 한 군데도 없었다.KB국민·신한·하나·우리·NH농협 등 국내 5대 은행이 은행권 전체 자산과 당기순이익의 70%를 차지할 만큼 지배적 위치를 점하고 있지만, 나머지 13곳 은행들의 평균 연봉이 대형 은행들과 비슷하거나 오히려 더 많은 것이다. 은행 간판만 달고 있으면 모두가 고연봉을 받다 보니 연봉을 가장 많이 받는 곳(씨티)과 가장 적게 받는 곳(제주)의 격차는 3400만원에 불과했다. 업권 전체 평균 연봉이 1위 기업의 87%에 육박할 정도다. 제주은행의 평균 연봉은 2021년 기준 우리나라 임금 근로자 평균 연봉(3996만원)의 2배가 넘는다.과점 체제가 낳은 연봉 상향 표준화연봉 격차가 이렇게 적은 업종은 국내에서 은행권이 거의 유일하다. 통상 같은 업계 내에서는 업체 간 치열한 생존 경쟁이 펼쳐지고, 소수의 몇몇 기업만이 기술 및 서비스 혁신을 통해 높은 점유율을 차지하며 확고한 우위를 점한다. 이에 따라 리딩 기업과 후발 주자 간 임금 격차도 크게 벌어지는 것이 일반적이다. 고용노동부에 따르면 삼성전자가 속한 ‘전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업’ 분야의 지난해 임직원 평균 연봉은 8163만원이다. 평균 연봉이 1위인 삼성전자(1억3500만원)의 60.5% 수준으로 은행권과 큰 격차가 난다. ‘자동차 트레일러 제조업’ 근로자의 평균 연봉(6389만원)도 이 분야 1위인 현대차(1억500만원)의 60% 수준에 그친다. 정보서비스업 근로자들의 평균 연봉(6192만원)은 1위 네이버(1억3449만원)의 절반에도 미치지 못할 만큼 격차가 크게 벌어져 있다.은행권이 다른 업종과 달리 연봉 편차가 거의 없게 된 배경으로 전문가들은 공고한 과점 체제를 지적한다. 자기자본 기준 등 진입 장벽이 높고, 30여 년간 인터넷은행을 빼고 새 은행이 나오지 않았을 정도로 정부의 인·허가 문턱이 높다 보니 어떤 은행이든 예금과 대출 금리 간 차이를 둔 ‘이자 장사’만으로 막대한 수익을 올릴 수 있게 됐다는 것이다. 업무 성과와 상관없이 ‘철밥통 호봉제’ 속에 근속 연수만 쌓이면 두둑한 임금을 받을 수 있는 것도 전(全) 은행 고연봉의 배경이다. 양준모 연세대 경제학과 교수는 “은행 산업은 과점화되어 있고 안정적 수익 기반을 갖고 있어서 어느 은행이든 별 노력도 없이 돈을 많이 벌고 있다”며 “우리나라 경제 규모가 커진 만큼 건전한 지방은행과 신규 은행의 진입을 허용해 경쟁을 촉진시켜야 한다”고 말했다."
2023-09-27,“생활비 없어서”...은행 모금함 훔친 40대 여성 이번엔 동사무소,"절도 혐의로 입건된 40대 A씨가 은행에 있는 사랑의 모금함을 훔치는 장면. /제주동부경찰서제주에서 은행을 돌며 사랑의 모금함을 훔쳐 경찰 조사 받고 있던 40대가 이번에는 동사무소에서 같은 범행을 저질러 결국 구속됐다.27일 제주동부경찰서는 특정범죄가중처벌등에관한법률상 절도 혐의로 40대 여성 A씨를 붙잡아 조사 중이라고 밝혔다. A씨는 지난 18일 오후 1시쯤 제주시 한 주민센터에서 사랑의 모금함 2개를 훔친 혐의를 받는다. 모금함에는 모두 12만원 정도 들어있던 것으로 파악됐다. 주민센터 신고로 수사에 나선 경찰은 지난 20일 제주시내에서 마땅한 주거지 없이 돌아다니던 A씨를 붙잡았다.A씨는 지난 지난 1일부터 4일 사이 제주 시내 농협 본점 등 금융권 3곳에서 사랑의 모금함 4개를 훔친 혐의로 불구속 조사를 받던 중이었다. 모금함에는 모두 20여만 원의 현금이 들어있었다. 당시 경찰 조사에서 A씨는 “기초생활 수급자 혜택이 끊긴 후로 생활비가 없어 훔쳤다”고 진술했다.경찰은 A씨에 대해 법원으로부터 구속영장을 발부받았으며, 자세한 사건 경위를 조사 중이다."
2023-09-11,은행 돌며 불우이웃돕기 모금함 훔친 40대 여성,절도 혐의로 입건된 40대 A씨가 은행에 있는 사랑의 모금함을 훔치는 장면. /뉴스1제주 지역에서 은행을 돌며 불우이웃돕기 모금함을 훔친 40대 여성이 경찰에 붙잡혔다.제주동부경찰서는 11일 절도 혐의로 40대 여성 A씨를 입건해 조사하고 있다고 밝혔다.A씨는 지난 1일부터 4일까지 제주도 내 은행에서 4회에 걸쳐 창구 등에 놓여있는 불우이웃돕기 모금함을 훔친 혐의다.A씨가 훔친 모금함에는 각각 5만~10만원의 현금이 있던 것으로 조사됐다.A씨는 지난 5일 모금함을 훔쳤던 은행에 재방문했다가 A씨를 알아본 직원에게 붙잡혔다.A씨는 경찰 조사에서 “기초생활 수급자 혜택이 끊겨 식비 등 생활비가 없어 모금함을 훔쳤다”고 진술했다.경찰은 자세한 사건 경위를 조사 중이라고 밝혔다.
2022-11-24,"지방기업들, 10% 넘는 고금리 대출도 ‘울며 겨자먹기’","치솟은 금리 감수하며 ‘버티기’자금 시장이 얼어붙으면서 기업들이 은행 대출 쪽으로 눈을 돌리고 있지만 치솟은 금리 탓에 부담이 커지고 있다. 전체 19개 은행 중 산업·농협·한국씨티은행 등 3곳을 제외한 나머지 은행의 지난달 신규 기업대출 평균 금리가 모두 연 5%를 넘겼다. 특히 지역 중소기업들이 주로 거래하는 지방은행의 평균 금리가 가파르게 오르고 있다.서울시내 한 은행영업점 기업고객 창구./뉴시스23일 은행연합회에 따르면, 지난달 신규 취급된 전북은행의 기업대출 평균 금리는 전월 대비 0.52%포인트 오른 연 6.16%로 19개 은행 중 가장 높았다.이 밖에 경남은행(5.75%)을 비롯해 제주은행(5.57%), 광주은행(5.53%), 대구은행(5.51%) 등 다른 지방은행 기업대출(신규) 평균 금리도 지난달 일제히 5% 중반대로 올라섰다.은행의 기업대출 금리는 기업 신용도나 보증, 담보 여부에 따라 천차만별이지만 최근 들어선 연 10% 넘는 고금리 대출 비율이 늘고 있는 추세다.전북은행의 지난 8~10월 연 10% 이상 기업대출(신용) 비율은 25%로 직전 3개월보다 5.1%포인트 높아졌다. 같은 기간 제주은행도 연 10% 이상 기업 신용대출 비율이 4.7%에서 7.2%로 확대됐고,NH농협은행(5.9%→ 6.3%)과 우리은행(4.6%→5.2%)에서도 각각 증가세를 보였다.일선 기업들 사이에서는 “은행 대출을 받을 수만 있으면 다행이다”라는 말도 나오고 있다. 경기 악화 등에 대비해 은행들이 최근 기업대출 문턱을 높이면서 신용등급이 낮거나, 매출이 적은 기업은 대출이 거절되는 경우가 늘었기 때문이다.한 지방은행 관계자는 “예전엔 굳이 보지 않던 직원 증감 추이나 매출처별 세금계산서를 일일이 확인하는 등 ‘돋보기’ 심사를 하고 있는 실정”이라고 했다. 중소기업의 신용위험에 대한 경계감이 커지고 있다보니 대출 심사를 엄격하게 하고 있는 것이다.앞서 지난 9월 한국은행은 회사를 운영해 이자 비용조차 감당하지 못하는 ‘한계기업’ 비율이 작년 14.9%에서 올해는 18.6%까지 높아질 수 있다고 예측한 바 있다. 은행들마다 리스크 관리를 위해 대출 기업의 사업성을 더 면밀히 검토하고, 기업이 속한 업황 전망까지도 참고하는 등 보수적으로 심사하는 분위기다."
2022-08-22,"가계 대출금리 가장 높은 은행은 전북, 예금금리 가장 낮은 은행은 토스","예대금리차 최대 전북銀, 최소 부산銀은행연합회 홈페이지 공시서울 시내에 은행ATM기계가 나란히 설치된 모습/뉴시스19개 은행 중 가계 예금금리와 대출금리 차이를 뜻하는 예대금리차가 가장 큰 은행은 6.33%포인트에 달하는 전북은행으로 집계됐다.전북은행은 예금금리 평균(3.13%)이 은행권 4위였지만, 대출금리가 평균 9.46%로 압도적인 1위여서 예대금리차가 크게 벌어진 것으로 조사됐다. 전북은행 측은 “신용점수가 낮은 취약 계층에 대한 중금리 대출을 적극적으로 한 영향”이라고 했다.가계 예대금리차가 가장 적은 곳은 부산은행으로 0.82%포인트였다. 평균 예금 금리(3.05%)가 12위로 낮았지만, 평균 대출 금리가 3.87%로 최하위권이었다. 단순히 예대금리차가 크다고 예금 이자가 낮다고 하기는 어렵다는 뜻이다.22일 은행연합회 홈페이지의 ‘7월 예대금리 차 공시자료’에 따르면, 가계 예대금리차는 전북은행에 이어 2위 토스뱅크(5.60%포인트), 3위 케이뱅크(2.46%포인트), 4위 카카오뱅크(2.33%포인트) 등으로 인터넷전문은행들이 상위권을 차지했다. 전북은행과 마찬가지로 중금리 대출 비중이 높아 예대금리 차가 큰 것으로 보인다.예대금리 차는 평균 대출금리(해당 월에 신규 취급한 가계대출 및 기업대출의 가중평균 금리)에서 저축성 수신금리(해당 월에 신규 취급한 순수 저축성예금 및 시장형 금융상품의 가중평균금리)의 차이다.5대 은행(KB국민·신한·하나·우리·농협) 중에서는 신한은행이 1.62%포인트로 가장 컸다. 우리은행과 농협은행이 1.40%포인트로 2위,KB국민은행 1.38%포인트, 하나은행 1.04%포인트 순이었다.평균 가계 대출 금리 평균은 전북은행(9.46%), 토스뱅크(6.60%), 광주은행(6.24%), 케이뱅크(5.20%), 제주은행(4.86%) 등 순이었다. 5대 은행 중에선 신한은행(4.57%),KB국민(4.36%), 우리(4.22%), 하나(4.12), 농협(3.94%) 순으로 나타났다.평균 예금금리가 가장 높은 곳은 씨티은행(3.74%)이며 그 뒤로 제주은행(3.32%), 산업은행(3.23%), 수협(3.14%), 전북은행(3.13%) 등 순이었다. 토스뱅크의 평균 예금금리(1%)가 전체 중 가장 낮았다.가계대출에 기업대출까지 합친 전체 예대금리차의 경우는 토스뱅크가 5.65%포인트로 가장 높았다. 이어 전북은행(4.59%포인트), 광주은행(2.50%포인트), 케이뱅크(2.45%포인트), 카카오뱅크(2.33%포인트), 제주은행(1.75%포인트) 등 순이었다. 예대금리 차가 가장 낮은 곳은 산업은행(0.53%포인트)으로 집계됐다.이전까지 은행권은 예대금리 차를 5개 신용등급으로 나눠 공시했으나 지난 7월분부터 9개 구간으로 더 세분화해 매달 은행연합회 소비자포털에 공시한다."
2022-02-10,"[단독] 청년희망적금 금리, KB가 10.49% 최고","은행 앱에서 가입자격 확인 가능금리 연 9.31% 일반적금(과세상품)과 유사정부 장려금과 비과세 혜택 등을 합쳐 연 9%대 금리를 받을 수 있는 청년희망적금 대상자 확인 서비스가 9일부터 시작됐다. 18일까지KB국민·신한·하나·우리·NH농협·기업·부산·대구·광주·전북·제주은행 등 11개 은행 앱을 통해 조회하면 2~3일(영업일 기준) 이내로 가입 가능 여부를 확인할 수 있다.작년 총급여 3600만원 이하인 만 18~34세가 대상이며 한도는 매월 50만원이다. 만기는 2년이고, 가입 신청은 21일부터다. 소득이 없는 사람은 가입할 수 없다.11개 은행 모두 기본금리는 5%로 같지만 우대금리가 0.5~1.0%포인트로 상이하다.KB국민은행이 최고 금리가 연 6.0%(우대금리 포함)로 가장 높다. 6개월 이상 급여이체나 예·적금 첫 거래 시 각각 0.5%포인트, 자동이체를 신청하면 연 0.3%포인트 우대금리가 제공되는데, 합산해서 최대 1.0%포인트까지 받을 수 있다.기업은행은 최고 금리가 연 5.9%로 두번째로 높다. 이어 신한·하나·우리은행(연 5.7%),NH농협·대구·부산·제주은행(연 5.5%) 등의 순이다.은행 금리에 최대 4%의 정부 저축장려금과 이자 소득에 대한 비과세 혜택 등을 감안하면 만기 시 실제 이자율은KB국민은행의 경우 10.49%로 높아진다. 기업은행은 연 10.38%, 신한·하나·우리은행은 연 10.14%, 나머지 은행은 연 9.90%가 된다. 비대면 가입이나 자사IRP(개인형퇴직연금) 가입, 주택청약 신규 가입 등 은행별로 우대금리 조건이 다르기 때문에 자신에게 가장 유리한 은행을 고르는 게 좋다.상품 출시 첫 주인 21~25일은 출생연도별로 5부제 가입 방식이 적용된다."
2024-09-06,지방은행 수난 시대… 이젠 인터넷 은행에도 밀린다,"갈수록 입지 좁아져그래픽=양인성한때 지역 경제의 중추 역할을 하던 지방은행들이 생존 위기에 내몰렸다. 전국 영업망을 기반으로 한 시중은행의 침투와 플랫폼을 등에 업은 인터넷전문은행의 매서운 성장세에 지방은행의 설 자리는 점점 좁아지고 있다. 최근엔 지방은행의 맏형 격인 부산은행이 24년 동안 맡아온 부산시금고를 시중은행에 빼앗길 처지에 놓이면서 ‘지방은행 수난시대’라는 말도 나온다.가계 대출, 인터넷은행에 따라잡혀5일 금융감독원 금융통계 시스템에 따르면, 2024년 3월 말 기준 경남·부산·전북·광주·제주은행과 시중은행으로 전환한iM뱅크(옛 대구은행) 등 6곳의 가계대출 잔액은 68조8627억원으로 집계됐다. 카카오뱅크·토스뱅크·케이뱅크 등 인터넷전문은행 3곳의 가계 대출 잔액은 66조483억원으로 지방은행을 바짝 뒤쫓고 있다. 인터넷전문은행은 2017년 국내에 처음 출범했는데, 출범 8년 만에 지방은행 가계 대출 규모를 따라잡은 것이다.3년 전인 2021년까지만 해도 지방은행 가계 대출 규모(58조7469억원)는 인터넷전문은행(25조4363억원)의 2배 이상이었다. 하지만 인터넷전문은행의 가계 대출 규모는 2022년(36조1539억원), 2023년(48조2118억원) 등 큰 폭으로 성장하다가 올해엔 60조원을 넘었다. 인터넷전문은행의 낮은 금리뿐만 아니라 지난해 출시된 대출 갈아타기 서비스 등의 영향이다.또, 은행들이 싼값에 자금을 조달할 수 있는 요구불예금도 인터넷전문은행으로 쏠리는 추세다. 모임통장과 같은 각종 이색 통장 등 고객이 좋아할 만한 상품을 적극적으로 시장에 내놓으면서 고객을 확보한 결과다. 요구불예금은 예금주가 지급을 원하면 언제든지 조건 없이 지급하는 예금으로 통장 이자율이 굉장히 낮다. 은행은 요구불예금을 높은 이자로 대출해 수익을 얻을 수 있기 때문에 은행 자금 조달의 효자 노릇을 한다.2021년까지만 해도 지방은행의 요구불예금은 28조원 수준으로 인터넷 전문은행(약 14조)보다 많았다. 하지만 2022년 인터넷전문은행에 역전당해, 2024년엔 지방은행(26조5200억)과 인터넷은행(48조2857억)은 배 가까이 차이가 난다.그래픽=양인성비수도권 지자체 금고 낙찰률은 50% 수준심지어 최근엔 시중은행이 지방자치단체 금고 유치에 발을 뻗으며, 지방은행은 지자체 금고 사업권 확보도 쉽지 않다. 이자율이 연 1%가 채 안 되는 지자체 금고는 지방은행의 안정적인 수익원으로 여겨진다. 지자체 금고로 선정되면 해당 지자체와 산하기관의 예산과 기금을 관리할 수 있다.최근엔 부산시금고를 두고 부산은행과 시중은행이 쟁탈전을 벌이고 있다. 시 전체 예산의 70%를 차지하는 주금고는 2001년부터 부산은행만 신청하며 독점해왔다. 하지만, 지난달 14일까지 진행된 올해 주금고 공모에는 부산은행뿐만 아니라KB국민은행,IBK기업은행도 뛰어들었다. 올해 24년 만에 처음으로 은행 간 경쟁 구도가 형성된 것이다.이를 두고 지역 노동계와 시민단체 등에선 “지역 소멸을 부추기는 행위를 자행하는 지역 시금고 유치 과당경쟁을 즉시 중단해야 한다” 등 비판 목소리가 나오기도 했다.5일 민병덕 더불어민주당 의원실 자료에 따르면, 5대 은행(KB국민·신한·하나·우리·NH농협)의 비수도권 지자체 금고 낙찰률은 최근 3년 연속 90%를 웃돌고 있다. 반면, 지방은행의 낙찰률은 3년 연속 50% 안팎으로 2건 중 1건만 낙찰받는 수준이다.주담대 틈새 시장도 가로막혀지방은행들은 활로를 찾기 위해 시중은행보다 낮은 금리로 주담대 시장에 뛰어드는 차별화 전략을 펴기도 했다. 지난달 초 부산은행이 1조원 한도로 선보인 주담대 특판은 최저 2% 후반대 금리로 불과 13일 만에 완판됐다.하지만 금융 당국이 가계 대출 급증을 막기 위해 은행들에 대한 개입을 강화하면서 한 달 만에 분위기가 반전됐다. 시중은행들이 주담대 문턱을 높이는 추세에 맞춰, 지방은행들도 ‘풍선 효과’를 막기 위해 주담대 금리를 잇따라 올리고 있는 것이다.5일 금융권에 따르면,iM뱅크는 전날부터 주담대 금리를 0.5%포인트 인상했다. 부산은행과 경남은행도 지난달 말부터 각각 0.4%포인트, 0.2%포인트씩 주담대 금리를 올렸다.지방은행 관계자는 “시중은행이 금리를 올리면서 지방은행 금리가 상대적으로 낮아보이자 쏠림 현상을 우려하는 목소리가 많아졌다”며 “사실 지방은행들은 올해 가계 대출 증가율이 미미했기 때문에 상대적으로 대출 여력이 있는 상황”이라고 했다.하나금융연구소는 최근 보고서를 내고 “기업 및 기관 영업에서 시중은행의 지방 침투가 가속되고, 가계 부문에서 인터넷전문은행과의 금리 경쟁이 심화되면서 지방은행은 변화의 기로에 서 있다”며 “지방은행의 역할이 약화되긴 했어도 지역주민과 기업에 자금을 공급하면서 지역 경제를 지원하는 지방은행의 역할은 필요하다”고 했다.☞지방은행전국적인 영업망을 갖춘 시중은행과 달리 본점을 지방에 두고 영업 구역도 해당 지역에 집중돼 있는 은행을 말한다. 시중은행과 인터넷은행은 전국을 영업 구역으로 하지만, 지방은행은 정관에서 특정 지역으로 영업을 제한하고 있다. 최소 자본금은 시중은행은 1000억원인 데 반해, 지방은행과 인터넷은행은 250억원이다."
2024-06-18,올해 국내 주식 거래 58%가 ‘당일 단타’,"[모닝]올해 국내 주식시장 거래량의 절반 이상이 주식을 구입한 날 바로 되파는 단타 매매인 ‘데이트레이딩(당일매매)’으로 나타났다. 거래 대금 기준으로도 데이트레이딩 비율이 50%에 육박했다. 데이트레이딩 주체는 개인 투자자가 70% 이상을 차지했다.17일 한국거래소에 따르면, 올 들어 지난 13일까지 유가증권시장(코스피)과 코스닥시장의 데이트레이딩은 총 1021억주로 전체 거래량의 58%를 차지했다. 같은 기간 데이트레이딩 거래 대금은 총 1111조원으로 전체의 48%였다. 시장별로 데이트레이딩 거래 대금 비율은 코스닥이 57.1%, 코스피가 40.1%였다. 코스닥의 데이트레이딩 거래 대금 비율은 2005년 관련 집계를 시작한 후 최고치다.데이트레이딩 주체는 개인 투자자 비율이 71.3%였고, 외국인과 기관은 각각 17.8%, 10.2%였다. 코스피에서 데이트레이딩 비율이 가장 높은 종목은 자동차 부품 회사인 삼성공조(84%)였고, 이어 코오롱모빌리티그룹(80%), 동일고무벨트(79%), 비상교육(78%), 제주은행(78%) 등의 순이었다. 코스닥에서는 기업인수목적회사(SPAC·스팩) 종목들이 상위권을 차지했다."
2024-04-22,'기업 밸류업' 일환...배당소득 분리과세 방침 발표에 금융주 급등 중,"정부가 기업 밸류업(가치 제고) 프로그램의 일환으로 배당확대 기업의 주주를 대상으로 배당소득을 분리과세하는 방안을 추진하겠다고 밝힌 뒤, 22일 금융 관련 주들의 주가가 상승세를 타고 있다.최상목 부총리 겸 기획재정부 장관이 18일(현지시간) 미국 워싱턴D.C.세계은행에서 가진 기자간담회에서 답변하고 있다. /연합뉴스22일 오후 2시 30분 기준 제주은행은 전 거래일 대비 4.49% 상승한 1만5580원에 거래 중이다.KB금융은 전 거래일 대비 9.73% 상승한 7만원, 신한지주는 6.59% 상승한 4만4500원에 거래되고 있다.하나금융지주는 전거래일 대비 8.78% 상승한 5만7100원, 메리츠금융지주는 5.60% 상승한 7만9100원에 거래되고 있다.최상목 부총리 겸 기획재정부 장관은 지난 21일 밸류업의 일환으로 배당 확대 기업의 주주를 대상으로 배당소득을 분리과세하는 방안을 추진하겠다고 밝혔다. 배당소득 분리과세는 입법 사항이며, 국회의 법 개정 절차가 필요하다.금융주는 대표적으로 주가순자산비율(PBR)이 낮은 저PBR주로 현 정부의 기업 밸류업 프로그램의 대표적인 수혜주로 꼽혀왔다."
