date,title,content
2024-12-30,"참사 하루 만에...제주항공 동일 기종, 또 랜딩기어 이상으로 회항","29일 태국을 출발한 제주항공 소속 여객기가 무안국제공항 착륙과정에서 사고가 발생, 많은 인명피해가 났다. /김영근 기자전남 무안국제공항에서 발생한 제주항공 여객기 참사 하루 만에 제주항공의 같은 기종 여객기가 랜딩기어(비행기 바퀴 등 이착륙에 필요한 장치) 이상으로 회항하는 일이 벌어졌다. 제주항공은 이륙 전에는 장비 결함을 발견하지 못했고, 운항 도중 이상을 발견했다고 밝혔다.30일 제주항공에 따르면, 이날 오전 6시 37분 김포공항에서 출발한 제주행 7C101편에서 이륙 직후 랜딩기어 이상이 발견됐다. 제주항공은 탑승 승객 161명에게 랜딩기어 문제에 따른 기체 결함을 안내한 뒤 회항했다. 제주항공 측은 “김포공항에서 항공기를 교체한 후 다시 운항할 예정”이라고 밝혔다.랜딩기어는 전날 무안공항에서 발생한 제주항공 여객기 참사의 사고 원인으로 지목된 부품이다. 비행 안전과 직결된 필수 장치로, 안전한 이착륙을 보장하는 한편 비상 착륙 시 충격을 완화해 준다. 당시 사고기는 랜딩기어 3개가 모두 작동하지 않은 상태에서 동체착륙을 시도하다 사고를 맞았다.이날 회항한 항공편에 투입된 기종은 보잉의 B737-800으로, 전날 참사가 벌어진 기종과 같다. 제주항공은 총 39대의 여객기 중 37대를 이 기종으로 운영하고 있다."
2024-12-31,"무안 출신 박나래, 사랑의열매에 제주항공 참사 희생자 추모 성금 전달","코미디언 박나래씨/조선DB사랑의열매는 지난 30일 코미디언 박나래씨가 제주항공 참사 희생자들을 추모하기 위해 성금을 기부했다고 31일 밝혔다. 다만, 사랑의열매는 박씨 측의 의사에 따라 성금 규모는 공개하지 않기로 했다고 한다.전남 무안 출신인 박씨는 “사랑하는 가족들을 잃고 비탄에 잠긴 유가족분들께 깊은 애도와 위로를 전한다”며 “추운 날씨에 현장에서 힘써주시는 모든 분들께도 진심으로 감사하다”고 전했다.한편, 박씨는 지난 2020년 코로나 피해지원성금으로 5000만원을 사랑의열매에 기부하고 국제구호개발NGO,병원 등에 마스크 1만 장, 소아·청소년 환자 지원을 위한 성금을 기부하는 등 나눔을 꾸준히 실천해왔다."
2024-12-31,제주항공 참사 생존자 “트라우마 때문에 안정 취하고 싶다”,"제주항공 참사의 유이한 생존자인 여성 승무원 구모씨가 지난 29일 오후 서울 송파구 아산병원에 도착해 응급실로 이동하고 있다./뉴스1지난 29일 오전 발생한 제주항공 참사의 생존자 중 한 명인 승무원 구모(25)씨 측이 “트라우마 때문에 당분간은 안정을 취하고 싶다”는 뜻을 전했다. 구씨는 도합 179명의 사망자를 낸 이 참사의 유이한 생존자 중 한 명이다. 생존자들은 여객기 후미에서 승객 서비스를 맡았던 이들로, 사고기 충돌 과정에서 동체 꼬리 부분이 떨어져 나가면서 목숨을 건졌다.구씨는 사고로 발목과 머리 등을 다쳤으나 생명에는 지장이 없는 상태다. 상대방과 대화가 가능한 상황인 구씨는 현재 보호자의 보살핌을 받고 있다고 한다.구씨는 구조 직후 목포중앙병원에서 봉합 치료와 정밀 검사 등을 받았고, 사고 당일 저녁 서울 송파구 서울아산병원으로 옮겨졌다."
2024-12-31,"‘무안 출신’ 박나래, 제주항공 참사 피해 지원금 기부","박나래/JDB엔터테인먼트코미디언 박나래가 전남 무안국제공항에서 발생한 제주항공 여객기 참사 피해 지원을 위해 기부금을 전달했다.30일 연예계 따르면, 박나래는 전날 관할 지자체에 연락해 제주항공 여객기 참사 지원에 힘써달라며 기부금을 전달했다. 기부 액수는 박나래의 의사에 따라 공개되지 않았다.그는 전날 소셜미디어에 “삼가 고인의 명복을 빕니다”라는 문구와 흰 국화꽃이 담긴 사진을 올려 희생자들을 추모했다.박나래는 전남 무안군 출신으로 목포에서 유년 시절을 보냈다. 2019년 박나래가MBC방송연예대상 대상을 타자 박나래의 고향에는 ‘무안군 일로읍 망월리OOO딸 박나래MBC연예대상 수상’이라는 플래카드가 걸리기도 했다.지난 29일 오전 9시3분쯤 태국 방콕에서 출발해 무안국제공항으로 향하던 제주항공 7C2216편은 랜딩기어가 펼쳐지지 않은 상태에서 동체 착륙을 시도하다가 활주로 끝 콘크리트 둔덕과 충돌했다. 이 사고로 탑승객 181명 중 179명이 사망하고 승무원 2명이 구조됐다."
2024-12-30,"제주항공, 이틀새 항공권 6만8000건 취소 발생","무안 제주항공 참사 이튿날인 30일 서울 강서구 한국공항공사 항공지원센터 내 제주항공 사무실 앞 창에 조기가 비치고 있다. /연합뉴스전남 무안공항에서 일어난 제주항공 여객기 참사 이후 제주항공에서 약 6만 8000건의 항공권 취소가 발생한 것으로 나타났다.30일 제주항공에 따르면 29일부터 30일 오후 1시까지 국내선이 3만 3000여건, 국제선이 3만 4000여건 취소됐다. 제주항공은 수수료 없이 취소를 받아주고 있다. 이와 관련 송경훈 제주항공 경영지원본부장은 “평소보다 취소량이 조금 많은 수준”이라면서도 “신규 유입량도 여전히 유지 중”이라고 설명했다.업계에서는 당분간 취소가 더 이어질 수 있다는 반응이 나오고 있다. 이날도 김포공항에서 출발한 제주행 7C101편의 B737-800이 랜딩기어 이상으로 회항한 후 대체 편을 투입하는 과정에서 탑승객 21명이 불안하다는 이유 등으로 탑승을 포기한 사례도 있었다."
2024-12-30,"제주항공 사고기, 이틀간 13차례 운항했다","[무안공항 참사] 제주항공 주력 항공기 B737-800제주항공이 새로 도입하는 보잉B 737-800 제트기.29일 전남 무안공항에서 사고가 발생한 제주항공 여객기는 사고 직전 48시간 동안 공항 총 8개를 오가는 13차례의 운항을 한 것으로 나타났다. 지난 27일부터 28일까지 이틀간 짧게는 38분에서, 길게는 5시간 46분에 달하는 중·단거리 비행을 쉴 새 없이 반복한 것이다. 사고기는 공항에 도착해 통상 1시간 남짓 대기한 뒤 곧바로 승객을 태우고 다음 도착지로 출발했다. 예를 들어, 사고 하루 전인 28일 사고기는 일본 나가사키 공항에 오후 12시 4분 도착해, 12시 52분 무안공항으로 다시 출발했다. 항공업계에선 이에 대해 “노선에 따라 다르지만 단거리 노선 위주일 경우, 이렇게 돌리는 경우도 있다”고 설명한다.그래픽=김현국이 비행기는 2009년 9월에 미국 보잉사가 제작한 B737-800 기종으로, 6시간 이하 중·단거리 노선에 주로 쓰인다. 제주항공이 보유한 여객기 39대 가운데 37대가 해당 기종일 만큼 제주항공의 주력 항공기다. 이번 사고기의 기령(비행기 연령)은 15년으로, 노후 항공기로는 분류되지 않는다. 국토교통부에서는 통상 기령 20년 이상을 노후 항공기로 분류한다. 다만 항공 전문가들은 “항공기의 단순 연령보다는 실제 비행시간과 이착륙 횟수가 큰 영향을 미친다”며 “이번처럼 단거리 비행이 많은 경우 기체 피로가 더 빠르게 증가할 가능성도 있다”고 지적한다. 제주항공의 여객기 월평균 가동 시간(올해 3분기 기준)은 418시간으로 대한항공(355시간) 대비 18% 많다.이에 대해 제주항공 송경훈 경영지원본부장은 이날 브리핑에서 “무리한 운항이라고 할 수는 절대 없다”며 “계획된 일정에 맞춰 항공기 정비 등을 철저히 하고 있고 출발 전후 꼼꼼하게 정비를 진행하고 있다”고 말했다. 또 아직 사고 조사가 끝나지 않았음에도, “오늘 이 문제는 항공기 정비 소홀과 관련된 이슈가 아니다”라고 발언해 논란이 일기도 했다.B737-800기는 제주항공뿐 아니라 국내외 항공사들이 약 4400대를 운용 중인 보잉의 대표적인 ‘베스트셀러’다. 그런 만큼 항공사고도 여러 건 보고돼 있다. 지난 2022년 중국 동방항공의 여객기 추락으로 탑승객 132명이 전원 사망한 사고와 동일 기종이다. 올해 3월에는 미국 애리조나주 피닉스로 향하던 알래스카항공 B737-800 여객기의 객실에서 연기가 나 포틀랜드 공항으로 회항한 사례가 있다. 지난 4월에는 미국 사우스웨스트 항공의 휴스턴행 여객기 엔진 커버가 상공 3000m에서 떨어지는 사고로 비상착륙하기도 했다.☞제주항공제주항공은 애경그룹의 자회사로 지난 2005년 제주특별자치도와 민관 합작으로 설립된 국내 1호 저비용 항공사(LCC)이다. 현재 국내 9곳의LCC가운데 매출액과 탑승객 수로 업계 1위다. 작년 매출은 1조7240억원, 영업이익은 1698억원이다."
2024-12-31,‘제주항공 참사’ 사망자 179명 중 174명 신원 확인… 4명 장례절차 돌입,"지난 30일 무안 종합 스포츠파크에 차려진 합동 분향소에서 한 아이 엄마가 자동차 장난감을 국화 사이에 놓고 있다. /장련성 기자제주항공 여객기 참사 사흘째인 31일, 사망자 179명 중 174명의 신원이 확인됐다.수습 당국은 이미 장례식장으로 옮겨진 4명을 포함해 총 32명이 이날 검시 및 검안을 마치고 장례 절차를 밟을 수 있을 것으로 봤다.박상우 국토교통부 장관은 이날 오전 9시 무안국제공항에서 브리핑을 열고 이같이 밝혔다.박 장관은 “희생자 179명 가운데 4명은 장례를 위한 유가족 시신 인도절차를 마쳤다. 신원 확인과 검시 및 검안이 끝난 고인 28명도 유족 동의를 받으면 이날 오후 2시부터 장례 절차를 할 수 있도록 하겠다”고 했다.이어 “신원 확인이 현재까지 안 된 고인은 5명으로, 이 분들은 여러 가지 사유로 정밀 검사가 필요하다. 최대한 빨리 신원을 확인해 이날 중으로 신원 확인할 수 있도록 노력하겠다”고 밝혔다.현재 희생자들은 이날 새벽 설치가 마무리된 냉동 컨테이너 11대에 안치되고 있다."
2024-12-29,소방청 “구조된 2명 외에 제주항공 탑승자 대부분 사망 추정”,"소방 “무안공항 사고, 조류충돌·기상악화 추정 ""“꼬리 일부 말고 형체 알아보기 힘들 정도”0초0초광고 후 계속됩니다.다음 동영상subjectauthor취소소방청 “구조된 2명 외에 제주항공 탑승자 대부분 사망 추정”조선일보재생1.1K재생 (space/k)재생01:200:00:00재생 (space/k)재생음소거 (m)음소거00:00/01:20실시간설정전체 화면 (f)해상도자동 480p자막사용 안함재생 속도1.0x (기본)인기 구간 표시해상도자동 (480p)480p360p270p144p자막설정사용 안함옵션글자 크기배경색재생 속도0.5x1.0x (기본)1.5x2.0x죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.도움말음소거 상태입니다.도움말라이선스디버그 정보 다운로드고화질 재생이 가능한 영상입니다.설정에서 해상도를 변경해보세요.더 알아보기00:0029일 오전 전남 무안국제공항 활주로에 여객기가 추락해 사고 수습이 이뤄지고 있다. /뉴스129일 오후 전남 무안군 한국공항공사 무안공항 관리동 3층에서 활주로 이탈 사고 항공기 탑승 가족들을 상대로 소방 당국이 브리핑을 진행하고 있다./뉴시스소방청은 29일 무안공항 제주여객기 사고에서 구조된 2명은 남자(22) 승무원과 여자(25) 승무원이라고 밝혔다.이들은 항공기 꼬리부분에서 구조된 것으로 알려졌다. 남자 승무원은 현재 목포한국병원에 입원 중이나 가족 뜻에 따라 서울 이대병원으로 후송될 예정이다. 또 여성 승무원은 목포중앙병원으로 후송된 상태다. 이들은 생명에는 지장이 없는 상태로, 중경상을 입은 것으로 알려졌다.전남소방본부는 이날 브리핑에서 “담장과 충돌한 이후 기체 밖으로 승객들이 쏟아졌다. 생존 가능성이 거의 없다”고 설명했다.소방 관계자는 “승객들이 충돌 충격에 의해 활주로 부분으로 이탈해 시신 훼손이 심각한 상태”라고 말했다. 또 “총 탑승자 181명 중 구조된 2명을 제외하고 대부분 사망한 것으로 추정한다”고 밝혔다. 이어 “동체는 거의 파손됐고 사망자들도 신원 확인이 어려운 상태”라며 “유해 위치를 확인해 수습하고 있어서 시간이 소요되고 있다”고 덧붙였다.이번 사고 원인으로는 “새 떼와의 충돌 등이 추정된다”고 설명했다.이날 오전 9시 5분께 무안국제공항에서는 태국 방콕발 제주항공 7C2216편 항공기가 착륙 중 활주로 외벽에 충돌했다.항공기 기체는 충돌 후 꼬리 칸을 제외하면 형체가 남지 않을 정도로 불에 탔고, 전체 탑승자 가운데 승무원 2명만 구조돼 목포지역 병원으로 분산 이송됐다."
2024-12-31,"김동연 경기도지사, 제주항공 참사 희생자 합동분향소 조문","김동연 경기도지사가 31일 오전 수원역에 마련된 제주항공 희생자 합동분향소를 찾아 조문하고 있다. /경기도김동연 경기도지사가 31일 김성중 행정1부지사, 고영인 경제부지사, 조선호 소방재난본부장, 주요 실국장들과 수원역에 마련된 제주항공 여객기 사고 희생자 합동분향소를 방문해 희생자들을 추도했다.김 지사는 이날 조문록에 ‘우리 모두의 아픔입니다. 끝까지 함께 하겠습니다. 희생자분들의 명복을 빕니다’라고 적은 뒤 대표로 헌화했다.조문을 마친 김동연 지사는 취재진에게 “경기도 희생자분들과 유가족들에게 경기도가 할 수 있는 최선을 다해서 위로할 수 있도록 하겠다”며 “오늘 2024년 마지막 날인데 참담하지만 경기도가 할 수 있는 모든 지원을 하겠다”고 말했다.경기도는 지난 29일 사고 발생 이후 희생자 운구 이송을 위한 119구급차 6대를 현장으로 보냈으며 경기도 쉼터버스와 방한물품, 식료품 등 구호물품을 지원했다.수원역 로비 인근과 의정부역 광장에 마련된 합동분향소는 1월 10일까지 운영한다. 한편 지난 29일 발생한 제주항공 여객기 사고 희생자 중 경기도민은 5명으로 알려졌다."
2024-12-31,"제주도, 제주항공 참사 도민 유가족에  안전보험금 지급","지난 30일 오후 제주시 제주도의회 대회의실에 마련된 '제주항공 여객기 사고 희생자 합동분향소'에서 오영훈 제주지사가 분향하고 있다./뉴시스제주도가 무안공항 제주항공 참사로 희생된 제주도민 부부 유가족에게 도민안전보험금과 재난지원금을 지급한다.제주도는 31일 무안공항에서 발생한 제주항공 여객기 사고로 숨진 제주도민 유가족에게 도민안전보험금 최대 2000만원과 재난지원금 최대 3500만원(장례비 1500만원, 구호금 최대 2000만원) 등 최대 5000만원을 지원할 계획이라고 밝혔다.이번 사고로 제주도민 A(71)씨와 B(69)씨 부부가 숨졌다.도민안전보험은 제주에 주민등록을 둔 도민이면 사유 발생일로부터 3년 내 청구 가능하다. 제주도는 재난지원금에 대해서는 중앙사고수습본부의 재난 복구계획이 시달되는 즉시 지급 절차를 이행할 예정이다.제주도개발공사도 유가족 지원에 나섰다. 개발공사는 제주삼다수 500㎖짜리 2240병과 2L짜리 576병을 무안공항 내 유가족들에게 지원할 계획이다.제주도는 사고 당일인 지난달 29일 중앙협력본부 세종사무소 직원을 무안공항에 급파해 유가족 지원 업무를 시작했고, 공항확충지원단과 사회재난과 직원 2명도 투입해 유가족을 지원하고 있다. 또 제주에서 장례를 치르길 희망하는 유족들과 장례 절차를 협의 중이며, 유족 대표단과 당국 간 의견 조율을 거쳐 장례를 진행할 예정이다."
