date,title,content
2024-01-04,"차바이오텍, 차백신연구소 면역증강제 활용해 항암요법 공동 개발","차바이오텍CI./차바이오텍 제공차바이오텍이 개발 중인NK세포(NaturalKillercell·자연살해세포)치료제의 항암 효과를 높이기 위해 자회사인 차백신연구소와 항암요법을 공동 개발한다고 4일 밝혔다.차바이오텍은NK세포와 차백신연구소의 면역증강제 엘팜포(L-pampo)를 함께 배양해NK세포의 면역 반응을 강화하고 항암 효과를 높인다는 계획이다. 앞으로 두 물질을 함께 배양할 때NK세포의 활성인자와 비활성인자를 분석하고 항암 효능을 평가해 새NK세포 치료법을 개발한다는 방침이다.엘팜포는 차백신연구소가 독자개발한 면역증강제로TLR2와TLR3 리간드(수용체에 특이적으로 결합하는 물질)의 복합체다. 우리 몸의 선천성 면역에 관여하는 세포 내 단백질인TLR을 자극해 체내 면역세포를 활성화해 면역반응을 유도하는 원리다. 백신제형으로 사용될 때는 항원의 면역원성을 높여주는 면역증강제의 역할을 하고, 면역항암제로 사용될 때는 암세포의 사멸을 유도해 종양미세환경을 저면역원성에서 고면역원성으로 조성하는 역할을 한다. 차바이오텍과 차백신연구소는 엘팜포가NK세포에서 발현하는TLR2와TLR3와 반응해 항암 효과를 높일 것으로 기대하고 있다.차바이오텍 이현정 대표는 “개발 중인NK세포치료제의 파이프라인을 확대·강화하기 위해서 면역항암제, 항체 등과 다양한 병용 치료요법을 추진하고 있다”며 “차백신연구소가 이미 면역관문억제제와 엘팜포 병용 시 항암효과를 비임상에서 확인한 만큼NK세포와 함께 활용해 새로운 항암요법을 개발할 수 있을 것”이라고 했다."
2024-02-28,[경제계 인사] 한국수입차협회 틸 셰어 회장 재선임 외,한국수입차협회 틸 셰어 회장 재선임한국수입차협회는 틸 셰어 폴크스바겐그룹코리아 대표를 협회 회장으로 재선임했다고 27일 밝혔다.한국패션산업협회 15대 회장 성래은한국패션산업협회는 지난 23일 이사회를 열고 15대 회장에 성래은(46) 영원무역그룹 부회장을 선임했다고 27일 밝혔다.한국바이오의약품협회 5대 이사장 오상훈오상훈 차바이오텍 대표가 27일 한국바이오의약품협회 제5대 이사장으로 선출됐다.대웅제약 신임 대표 박성수대웅제약이 다음 달 박성수 부사장을 신임 대표로 선임할 예정이라고 27일 밝혔다. 신임 대표는 이창재 대표이사와 함께 각자 대표 체제로 대웅제약을 이끌 전망이다.
2023-07-08,국내 제약사는 ‘먹는 치매약’ 임상 중,"10여개 업체들 개발 뛰어들어국내 제약바이오 업계에서도 알츠하이머 치료제 개발에 두각을 나타내는 업체들이 있다.아리바이오는 한국과 미국에서 동시에 먹는 알츠하이머 치료제 ‘AR1001′에 대한 임상시험을 진행하고 있다. 지난달 식품의약품안전처에 임상 3상 계획서를 신청했고, 미국에서는 식품의약국(FDA)의 허가를 받아 지난해 12월부터 임상을 진행하고 있다. 회사에 따르면AR1001은 뇌 신경세포의 신호 전달을 활성화하면서 신경세포의 사멸을 막고 생성을 촉진한다. 또 뇌에서 각종 독성 단백질이 축적되는 것을 막는 효과도 있다. 식약처가 임상을 허가하면 아리바이오와 삼진제약이 공동으로 150명의 환자를 모집해 임상을 시행할 예정이다.젬벡스는 신약물질GV1001을 알츠하이머 치료제로 개발하고 있다. 국내에서는 임상 3상을 허가받았고 미국 등에서는 임상 2상 단계에 있다. 이 외에 차바이오텍이 줄기세포 치료를 통한 알츠하이머 정복에 도전하고 있고 디앤디파마텍, 보로노이, 오스코텍, 엔케이맥스 등의 알츠하이머 치료 신약 물질이 임상 1~2상 단계에 있다.7일FDA승인을 얻은 레켐비는 우리나라 식약처에도 지난달 허가 신청을 완료했다. 업계에서는 이르면 내년 하반기, 늦어도 내후년 초에는 승인이 가능할 것으로 보고 있다. 다만 식약처 승인 이후에 실제로 환자가 사용하기 위해서는 국민건강보험 등재 여부에 대한 심사를 거쳐야 한다. 박재경 하나증권 연구원은 “알츠하이머 치료제 신약이라는 새 시장이 열리는 것은 국내 제약 바이오 업계에도 기회가 될 수 있다”며 “후발 주자들은 기존 치료제들이 충족시키지 못한 수요를 공략할 수 있기 때문에 꼭 먼저 출시하는 것이 유리한 것은 아니다”라고 했다."
2023-05-03,K바이오 1분기 기술수출 2조원 넘겼다,올 1분기 국내 바이오 기업들의 기술 수출 실적이 2조원을 돌파했다.올 들어 가장 먼저 수출 계약을 알린 지씨셀은 지난 1월 미국 아티바 바이오테라퓨틱스에 T세포 림프종 치료제 후보물질 ‘AB-205′를 기술 수출했다.AB-205는 동종 제대혈 유래 자연살해(NK) 세포 치료제다. 이어 이수앱지스가 면역항암제 옵디보의 바이오시밀러(바이오 복제약) ‘ISU106′을 러시아 알팜에 기술 이전했다.HK이노엔도 브라질 대형 제약사 유로파마와 위식도 역류 질환 신약 ‘케이캡정’의 기술 수출 계약을 체결했다.대웅제약은 씨에스파마슈티컬스(CSP)와 특발성 폐섬유종 신약 ‘베르시포로신’의 중화권 기술 수출 계약을 맺은 데 이어 지난 28일에도 미국 바이오 기업 비탈리바이오에 자가면역질환 치료제 후보물질을 기술 수출했다. 차바이오텍은 지난 3월 일본 아스텔라스의 자회사인 아스텔라스 재생의학센터(AIRM)와 기술 이전 계약을 체결하고AIRM에 망막색소상피세포(RPE)·배아세포 기술을 이전한다.올 1분기 최대 규모의 기술 수출 기업은 바이오오케스트라다. 한국제약바이오협회에 따르면 바이오오케스트라는 다국적 제약사와 최대 약 1조1050억원 규모의 기술 이전 계약을 체결했다.
2022-12-15,[경제계 인사] 고려아연 외,▲고려아연▷부회장 노진수▷사장 박기덕▷임원 권인대 이상근 안영탁 이상훈 김민철 최헌식▲차바이오텍▷사장 이현정▲아이에이치큐(IHQ)▷부사장 정박문 박종철▷전무 정혜전 권오준▷상무 김명래 정진용 김현수
2022-05-06,요즘 제약·바이오 대세는 ‘세포·유전자 치료제’,"국내 제약·바이오 기업들과 대기업들이 세포·유전자 치료제 위탁개발생산(CDMO·ContractDevelopment&ManufacturingOrganization) 사업에 뛰어들고 있다. 코로나 백신 개발에 사용된mRNA같은 유전물질들이 치료제로 주목받으면서 세포·유전자 치료제 시장이 급성장하고 있기 때문이다.CDMO는 의약품 생산시설이 부족하거나 아예 없는 고객사의 위탁을 받아 의약품을 대신 개발·생산하는 것을 말한다.차바이오텍의 미국 자회사 마티카 바이오테크놀로지는 지난 3일 텍사스주에서 세포·유전자 치료제CDMO시설 준공식을 열었다. 마티카바이오는 500리터(L) 용량의 세포 배양기를 갖춘 제조 설비에서 세포·유전자 치료제의 핵심 원료들을 생산·개발할 예정이다. 동아쏘시오그룹의CDMO전문 기업 에스티팜은 지난 3일 북미 소재 바이오 기업과 177억원 규모의 유전자 치료제 핵심 원료(지질) 공급 계약을 맺었고, 한미정밀화학도 세포·유전자 치료제 분야로CDMO사업 영역을 확장한다고 지난 2일 밝혔다.국내 중견·중소 제약사들이 이 시장에 뛰어드는 것은 대규모 공장이 없어도 기술력만으로 사업을 수주할 수 있기 때문이다. 바이오 업계 관계자는 “세포·유전자 치료제는 계약 물량이 몇 십 L 단위로 규모 자체는 작지만 고부가가치 물질”이라고 말했다.국내 대기업들도 세포·유전자 치료제CDMO를 미래 먹거리로 점찍었다. 삼성바이오로직스는 한 공장에서mRNA,세포 치료제 등 다양한 바이오 의약품을 생산할 수 있는 5공장을 연내에 착공할 예정이다.SK바이오사이언스도 세포·유전자 치료제CDMO시장에 진출한다고 밝혔다.SK팜테코와CJ제일제당은 해외CDMO기업 지분 투자를 통해 세포·유전자 치료제 사업에 진출했다.시장분석 기관 이밸류에이트파마에 따르면 글로벌 세포·유전자 치료제 시장은 지난해 74억7000만달러(약 9조4500억원)에서 2026년에는 555억9000만달러(약 70조3500억원)로 연평균 49.1%씩 성장할 전망이다."
2024-06-05,차바이오텍 美 자회사 “세포·유전자치료제 생산량 4배로 늘린다 ”,"폴 김 마티카 바이오테크놀로지 대표가 4일(현지시간) 미국 샌디에이고에서 열린 기자간담회에서 세포·유전자치료제(CGT) 위탁개발생산(CDMO) 사업 계획을 밝히고 있다. 사진 차바이오그룹차바이오텍의 세포∙유전자치료제(CGT) 위탁개발생산(CDMO) 미국 자회사인 마티카 바이오테크놀로지가 미국 현지 생산시설을 확대하고 실적 향상을 노린다. 폴 김 마티카 바이오 대표는 4일(현지시간) 미국 샌디에이고에서 열린 기자간담회에서 “글로벌CGT수요가 급증하며 관련CDMO시장이 크게 성장할 전망”이라며 “2~3년 내 미국 텍사스에 2공장을 추가로 건설해 늘어나는 수요에 대응하겠다”고 밝혔다.지난 2019년 미국 텍사스에서 문을 연 마티카 바이오는 2022년 한국 기업 최초로 세포·유전자치료제 전문CDMO시설을 세우고 이듬해CGT생산 효율을 높이는 자체 세포주 ‘마티맥스’를 개발하는 등CGTCDMO사업에서 성과를 내고 있다. 2공장이 완공되면 현재 연간 500리터 규모인 생산용량이 2000리터로 늘어나고 연구개발 단계부터 임상 생산, 상업화 생산 등 의약품 개발 전 단계를 효율화할 수 있다.4일(현지시간) 미국 샌디에이고에서 열린 마티카 바이오테크놀로지 기자간담회에서 관계자들이 질의응답을 하고 있다. 왼쪽부터 양은영 차바이오그룹 사업총괄 부사장, 오상훈 차바이오텍 대표, 폴 김 마티카 바이오테크놀로지 대표. 사진 차바이오그룹차바이오텍은 세포·유전자치료제 시장이 아직 초기 단계로 대부분 임상 제품 생산에 머물고 있다고 설명했다. 하지만 최근 의약품 허가를 받는 치료제가 늘어나며CDMO수요도 지속적으로 증가할 것이라는 분석이 나온다. 국가생명공학정책연구센터에 따르면 글로벌CGT시장은 2027년 417억 7000만 달러(54조 8230억원) 규모로 성장할 것으로 전망이다.김 대표는 미국 정부가 추진 중인 생물보안법의 영향으로 미국 내 생산기지를 갖춘 마티카 바이오의 매출도 향상될 것으로 기대했다. 그는 “2022년부터CGT분야에서 마티카 바이오의 매출이 발생하기 시작했고 실적이 성장 추세를 보이고 있다”며 “차바이오텍의 글로벌 네트워크를 이용해 전 세계 바이오 기업들의 전략적CDMO파트너가 되는 것이 목표”라고 말했다."
2024-06-06,[Biz & Now] 차바이오텍 자회사 “미국 생산 확대”,차바이오텍의 세포·유전자치료제(CGT) 위탁개발생산(CDMO) 미국 자회사인 마티카 바이오테크놀로지가 미국 현지 생산시설을 확대하기로 했다. 폴 김 마티카 바이오 대표는 4일(현지시간) 미국 샌디에이고에서 열린 기자간담회에서 “2~3년 내 미국 텍사스에 2공장을 추가로 건설해 늘어나는 수요에 대응하겠다”고 밝혔다. 마티카 바이오는 2022년 한국 기업 최초로 세포·유전자치료제 전문CDMO시설을 세우는 등 이 분야에서 성과를 내고 있다.
2022-05-04,"차바이오텍 美자회사, 세포·유전자치료제 생산시설 가동","마티카 바이오 건물. [차바이오텍 제공]차바이오텍은 미국 자회사인 마티카 바이오테크놀로지가 세포·유전자치료제 위탁개발생산(CDMO) 시설을 준공하고 본격적으로 가동한다고 4일 밝혔다.미국 텍사스주 칼리지스테이션에 지어진 이 시설은 미국 식품의약국(FDA)에서 인정하는 우수 의약품 제조 및 품질관리기준에 맞춰 설계됐다.500L 용량의 바이오리액터(세포 배양기)와 최신 기술이 적용된 제조 설비 등을 갖췄다. 마티카 바이오는 이곳에서 세포·유전자치료제의 핵심 원료를 생산해 공급할 예정이다.송윤정 마티카 바이오 대표는 ""모기업인 차바이오텍이 20년 넘게 쌓아온 세포치료제 연구개발 경험과 노하우를 도입해 글로벌 세포·유전자치료제CDMO시장을 선도하겠다""고 말했다."
2024-06-04,"세계 최대 '바이오USA' 막올랐다…K바이오, CDMO 영토 넓힐까","세계 최대 제약·바이오 전시회인 ‘2024 바이오 인터내셔널 컨벤션(바이오USA)’가 3일(현지시간) 미국 샌디에이고에서 개막했다. 김경미 기자세계 최대 제약·바이오 전시회인 ‘2024 바이오 인터내셔널 컨벤션(바이오USA)’가 3일(현지시간) 오후 미국 샌디에이고 컨벤션센터에서 개막했다. 6일까지 나흘간 열리는 이번 전시회에는 전 세계 1500여개 제약·바이오 기업과 관계자 2만여 명이 방문할 것으로 예상된다. 행사에는 국내 47개 제약·바이오기업이 전시공간을 꾸리고 해외 사업 영토 확장에 나섰다.미국 바이오협회가 주관하는 바이오USA는 매년 미국 내 바이오 클러스터(산업단지)가 있는 주요 도시를 순회하며 열린다. 이곳에서 다양한 기술 소개와 수출입 계약, 투자 유치 등이 이뤄진다. 올해 전시회가 열리는 샌디에이고는 1000개 이상의 바이오 기업과 연구소가 모인 도시로, 보스턴·샌프란시스코 등과 함께 미국의 대표적인 바이오 클러스터로 꼽힌다.━K바이오기업 대거 출격삼성바이오로직스는 3일(현지시간)부터 6일까지 미국 캘리포니아주 샌디에이고에서 열리는 ‘2024 바이오 인터내셔널 컨벤션(바이오USA)’에 참가한다. 사진 삼성바이오로직스국내에서는 삼성바이오로직스, 셀트리온, 롯데바이오로직스,SK바이오사이언스·SK바이오팜 등이 자체 부스를 운영한다. 특히 올해는 크고 작은 국내 위탁개발생산(CDMO) 기업들이 바이오USA를 찾았다. 지난달 17일 미국 하원에서 생물보안법이 통과하며 미·중 바이오 기업 간 거래가 제한되자 한국이 반사이익을 볼 수 있을 것이라는 기대가 커진 까닭이다. 실제로 중국의 대표적인CDMO기업 우시바이오로직스는 올해 바이오USA에 참가하지 않았다.스위스 론자, 중국 우시바이오로직스, 미국 캐털란트와 함께 글로벌CDMO톱4로 꼽히는 삼성바이오로직스는 올해로 12년 연속 단독 부스를 마련했다. 전시장 중심부에 139㎡(42평) 규모의 부스를 꾸리고 새로운 위탁개발(CDO) 슬로건 ‘신속하게, 유연하게, 고객을 중심으로(Agile.Flexible.FocusedonYou.)’를 공개하며 글로벌 고객 수주에 나섰다. 브랜드 인지도를 높이기 위해 샌디에이고 공항에서 전시장까지 이어지는 도로에 140개 이상의 배너를 설치하고 전시장 메인 로비에 디지털 배너 영상 광고도 게재했다. 이 회사 관계자는 “삼성바이오로직스의 혁신과 성과를 홍보하는 ‘콘텐트 월’을 설치했다”며 “내년에 준공될 인천 송도 5공장과 세계 최대 수준의 바이오의약품 생산능력(78만4000리터)도 영상 콘텐트로 보여줄 예정”이라고 말했다.━CDMO반사이익 볼까롯데바이오로직스는 3일(현지시간)부터 6일까지 미국 캘리포니아주 샌디에이고에서 열리는 ‘2024 바이오 인터내셔널 컨벤션(바이오USA)’에 참가한다. 사진 롯데바이오로직스3년째 단독 부스를 마련한 롯데바이오로직스도 예비 고객사를 위한 회사 소개에 주력하고 있다. 미국에 증설 중인 항체약물접합체(ADC) 생산 시설과 현재 착공 중인 송도 공장 등CDMO생산 거점 홍보에 나섰다. 이 회사의 김경은 사업개발부문장은 “이번 바이오USA를 기점으로 고객들에게 구체적인 사업 전략을 제시하고 파트너십을 구축하겠다”며 “한국과 미국 생산시설의 기술과 위치 시너지는 롯데가 글로벌 톱10CDMO기업으로 성장하는 핵심 축이 될 것”이라고 설명했다.동아쏘시오그룹의 에스티팜은 핵산치료제CDMO,차바이오텍의 미국 자회사 마티카 바이오테크놀로지는 세포·유전자치료제(CGT)CDMO사업 시설을 중점 소개하며 수주전에 뛰어들었다. 오상훈 차바이오텍 대표는 “해외 바이오 기업들의 연구·개발(R&D) 투자가 확대되면서 바이오 산업 전반의 사업 환경이 개선되고 있다”며 “우리의 세포치료제 기술력과CDMO경쟁력을 소개하고 글로벌 시장을 개척하겠다”고 말했다━신약으로 기회 모색3일(현지시간) 미국 샌디에이고에서 개막한 2024 바이오 인터내셔널 컨벤션(바이오USA) 전시장 앞 가로등에 삼성바이오로직스 홍보 현수막이 걸려있다. 사진 삼성바이오로직스신약 개발사들도 이번 전시회에 출전했다.GC녹십자의 계열사GC셀은 항암면역세포치료제 기술을 알릴 예정이다.SK바이오팜은 질병의 원인이 되는 단백질을 제거하는TPD신약 개발 현황 소개한다.셀트리온은 최근 미국에 출시한 바이오시밀러 ‘짐펜트라’와 새롭게 허가 받은 ‘옴리클로’를 들고 나왔다. 셀트리온 관계자는 “글로벌 바이오 산업의 최대 행사인 바이오USA에서 셀트리온의 의약품 개발 역량과 기술 경쟁력에 시너지를 더할 수 있는 파트너십을 모색하기 위해 다양한 기업들과 소통할 계획”이라고 말했다.한국바이오협회와 대한무역투자진흥공사(KOTRA)는 공동으로 국고지원 한국관을 운영한다. 넷타겟, 누리바이오, 뉴로핏, 서울바이오허브 등 41개 바이오 기업·기관의 홍보를 돕는다. 협회는 “올해는 지난해보다 한국관을 확대해 역대 최대 규모로 운영한다”며 “신약개발 분야에만 국한하지 않고 플랫폼 기술과 위탁서비스, 의료기기 등 바이오산업의 다양한 기업을 지원하게 됐다”고 설명했다. 한국바이오협회는 ‘한·미 바이오산업 협력 라운드테이블’과 ‘코리아 바이오테크 파트너십(KBTP) 2024’도 개최해 해외 진출을 준비하는 우수 K바이오기업을 소개할 예정이다."
