date,title,content
2024-12-31,"[단독] 카카오모빌리티, 금감원 감리 방해한 정황","검찰 “당시 사내 변호사 조사 막아”검찰이 카카오모빌리티가 지난해 금융감독원 회계 감리를 받을 때 전직 직원이 조사받지 못하도록 방해한 정황을 포착해 수사 중인 것으로 30일 전해졌다.본지 취재를 종합하면, 카카오모빌리티의 매출 부풀리기 의혹 등을 수사 중인 서울남부지검 금융조사2부(부장 장대규)는 최근 이런 정황을 확보했다고 한다.금감원은 작년 7월 카카오모빌리티가 가맹 택시 사업 매출을 의도적으로 부풀렸다는 의혹에 대한 회계 감리에 착수했다. 카카오모빌리티는 택시 운수 회사에서 운임의 20%를 받고, 광고비·데이터 제공 등 명목으로 운임의 16~17%를 되돌려줬다. 카카오모빌리티의 실제 매출은 운임의 3~4%에 불과하지만 회사가 상장을 앞두고 의도적으로 매출을 부풀렸다는 것이 금감원의 판단이었다.금감원은 감리 과정에서 카카오모빌리티가 가맹 사업 구조를 논의할 당시, 사내 변호사였던 A 변호사가 “이렇게 매출을 계산하면 분식 회계 문제가 생길 수 있다”고 수차례 이의를 제기했다는 단서를 확보했다고 한다. 이에 A 변호사를 조사하려고 출석 요구를 했지만, 카카오모빌리티 측이 “출석하지 말아 달라”고 그를 회유했다는 것이다. 이 과정에서 회사 측은 “불출석 과태료가 나오면 회사가 대신 내주겠다”는 말도 한 것으로 전해졌다. 결국 금감원은 A 변호사를 조사하는 데 실패한 것으로 알려졌다.검찰은 당시 카카오모빌리티 경영진이 이런 ‘조사 방해’ 상황을 보고받고도 승인했다는 정황에 대해 수사 중인 것으로 알려졌다.한편 금감원은 카카오모빌리티의 매출 부풀리기 혐의에 대해 가장 높은 징계 기준인 ‘고의 1단계’를 적용해 금융위원회에 올렸다. 그러나 금융위 증권선물위원회(증선위)는 지난 11월 ‘고의’보다 수위가 낮은 ‘중과실’로 제재 수위를 낮추고 회사에 과징금 34억여 원을 부과했다.남부지검은 금융위 측에서 카카오모빌리티에 대한 심의 자료를 건네받아 범죄 혐의가 없는지 들여다보고 있다.검찰은 이와 별도로 카카오모빌리티가 일반 택시를 배제하고 가맹 택시에 콜을 몰아준 이른바 ‘콜 몰아주기’ 의혹, 경쟁 가맹 택시에 일반 호출을 차단한 ‘콜 차단’ 의혹에 대해서도 수사 중이다. 두 사건 모두 공정거래위원회가 조사해 과징금을 부과하고 검찰에 고발했다.공정위는 지난해 2월 콜 몰아주기 사건으로 카카오모빌리티에 과징금 257억원을 부과했다. 콜 차단 사건으로는 지난 9월 과징금 724억원을 잠정 부과했다가, 지난 17일 151억원으로 재산정했다. 이는 카카오모빌리티 매출액을 택시 회사에서 받은 수수료 전액을 기준으로 계산하는 ‘총액법’에서 택시 회사에 돌려준 액수를 뺀 ‘순액법’으로 다시 계산했기 때문이다.검찰은 지난달 콜 몰아주기와 콜 차단 혐의로 카카오 본사와 카카오모빌리티 사무실 등을 2주 간 압수 수색해 전산 자료와 회사 내부 문서 등을 확보했다.한편 카카오그룹은 창업주 김범수 경영쇄신위원장이 ‘SM엔터테인먼트 시세 조종’ 혐의로 구속됐다가 101일 만인 지난 10월 31일 보석으로 석방돼 이례적인 조기 보석 논란을 빚기도 했다."
2024-12-24,법원 “카카오 김범수 보석 취소할 이유 없다”…검찰 항고 기각,"법원이 카카오 창업주 김범수 경영쇄신위원장의 보석을 취소해달라는 검찰의 신청을 받아들이지 않았다.SM엔터테인먼트 시세조종 의혹을 받는 김범수 카카오 경영쇄신위원장./뉴스124일 법조계에 따르면 서울고법 형사20부(재판장 홍동기)는 전날 김 위원장에 대한 검찰의 보석 취소 신청을 기각했다. 이에 따라 김 위원장은 불구속 상태에서 계속 재판을 받게 됐다.재판부는 “증거를 인멸하거나 도망할 염려의 정도, 피고인의 방어권 행사를 위한 불구속 재판의 필요성 등을 종합하면 보석을 허가할 이유가 있다고 판단한 원심 결정을 충분히 수긍할 수 있다”고 밝혔다.앞서 김 위원장은SM엔터테인먼트(SM) 인수 과정에서 경쟁 상대인 하이브의 공개 매수를 방해하기 위해SM주가를 하이브의 공개 매수가(12만원)보다 높게 고정시키려고 시세를 조종한 혐의(자본시장법 위반 등)로 지난 7월 구속 기소됐다.김 위원장은 구속 101일만인 지난 10월 보석으로 풀려났다. 법원은 김 위원장의 보석 조건으로 보증금 3억원 납부, 증인·참고인 접촉 금지, 소환 시 의무 출석 등을 제시했다.그러나 서울남부지검 금융조사2부(부장 장대규)는 김 위원장의 보석을 허가한 재판부에 보석 결정을 취소해달라며 항고장을 제출했다. 항고는 법원의 결정을 다시 판단해 줄 것을 요구하는 것이다.당시 검찰은 향후 중형 선고가 예상돼 도망 염려가 있다는 점, 증인신문 예정인 주요 증인들이 여전히 피고인의 지배 하에 있어 진술 회유 등으로 증거인멸 개연성이 높다는 점 등을 들어 항고했다고 밝혔다."
2024-12-25,카카오 김범수 ‘조기 보석’ 논란,"법원, 검찰의 취소 신청 기각SM엔터테인먼트 시세조종 의혹을 받는 김범수 카카오 경영쇄신위원장이 지난 11월 15일 오전 서울 양천구 서울남부지방법원에서 자본시장과금융투자업에관한법률위반 공판에 출석하기 위해 차량에서 내리고 있다. /뉴스1법원이 ‘SM엔터테인먼트 시세조종’ 혐의로 기소된 카카오 창업주 김범수 경영쇄신위원장의 보석(保釋)을 취소해달라는 검찰의 신청을 받아들이지 않았다. 이에 따라 지난 10월 구속된 지 101일 만에 보석으로 석방된 김 위원장은 계속 불구속 상태에서 재판을 받게 됐다. 법조계에서는 “다른 기업인들과 비교하면 이례적인 ‘조기 보석’”이라는 말이 나온다.24일 법조계에 따르면, 서울고법 형사20부(재판장 홍동기)는 지난 23일 김 위원장에 대한 보석을 취소해달라는 검찰의 항고를 기각했다. 재판부는 “증거를 인멸하거나 도망할 염려의 정도 등을 종합하면 보석을 허가할 이유가 있다고 판단한 원심 결정을 수긍할 수 있다”고 했다.앞서 서울남부지법 한정석 영장전담 부장판사는 지난 7월 “증거 인멸과 도주 우려가 있다”며 김 위원장을 구속했다. 하지만 1심 재판을 진행하던 서울남부지법 형사15부(재판장 양환승)는 지난 10월 보석을 허가했다. 검찰은 “김 위원장이 주요 증인을 회유할 우려가 있다”며 항고했지만 서울고법은 받아들이지 않았다. 차장검사 출신 변호사는 “1심 법원이 3개월 만에 판단을 뒤집었는데 2심 법원도 문제가 없다고 본 것”이라며 “구속 만기를 앞두고 보석이 허가되는 다른 기업인들과 비교하면 이례적”이라고 했다.통상 법원은 1심 구속 기한(6개월) 안에 재판을 마무리하지 못하는 경우 구속 만기를 한 달 정도 앞두고 보석을 허가한다. 김용빈 전 대우조선해양건설 회장은 허위 공시로 285억원의 부당 이익을 챙기고 회사 자금을 횡령한 혐의 등으로 작년 4월 구속돼 5개월 만인 같은 해 9월 보석 석방됐다. 안승호 전 삼성전자 부사장도 회사 내부 기밀 자료를 이용해 삼성전자에 대한 특허 침해 소송을 제기한 혐의로 지난 6월 구속됐다가 같은 해 11월에 5개월 만에 보석으로 풀려났다. 검찰은 재항고 여부를 검토 중인 것으로 알려졌다."
2024-12-17,"'콜 차단' 카카오모빌리티 과징금, 724억원→151억원으로 재산정","서울역 택시 승강장에 정차한 카카오 택시. /뉴스1경쟁사 가맹택시들에 부당하게 ‘콜(호출) 차단’을 한 혐의를 받는 카카오모빌리티에 대해 공정거래위원회가 부과한 과징금이 724억원에서 151억원으로 줄었다.카카오모빌리티가 ‘매출 부풀리기’를 했다는 금융위원회 산하 증권선물위원회(증선위)의 최근 판단에 따라 과징금 기준이 되는 매출액이 줄어든 데 따라 조정한 것이다.공정위는 카카오모빌리티의 공정거래법 위반 혐의에 관해 이같이 과징금을 재산정해 확정했다고 17일 밝혔다.카카오모빌리티는 경쟁사 가맹 택시들의 영업 정보 제공을 요구하고 이를 거부할 경우 부당하게 콜을 차단한 혐의를 받는다.이번 공정위의 과징금 재산정은 지난 9월 25일 전원회의에서 결정한 시정명령과 검찰 고발, 과징금 산정 비율(5%)은 그대로 유지한 채, 카카오모빌리티의 매출액에 대한 증선위의 최종 판단을 반영한 조정이다.공정위의 과징금은 불공정 행위로 얻은 ‘관련 매출액’을 기준으로 위반 행위 정도에 따라 일정 비율을 곱해 산정한다.카카오모빌리티는 그동안 재무제표에 가맹택시로부터 받은 가맹수수료(약 19%)와 택시에 지급한 업무제휴수수료(약 16.7%) 전액을 각각 영업수익과 영업비용으로 인식하는 방식, 이른바 ‘총액법’으로 회계처리를 했다.공정위는 지난 9월 이 총액법 기준에 따라 과징금 산정 비율을 적용해 724억원을 잠정 부과하는 조치를 했다.이때 잠정적으로만 부과한 것은 증선위가 카카오모빌리티의 총액법 적용이 정당한지 여부를 조사 중이었기 때문이다.결국 증선위는 지난달 6일 회사가 가맹수수료에서 업무제휴 수수료를 차감한 금액(약 2.3%)만 영업수익으로 인식하는 ‘순액법’을 적용해 매출을 산정하는 것이 회계처리 기준에 부합한다고 판단했다. 총액법 적용은 ‘중대한 과실’이라며 제재를 결정했다.공정위는 이같은 증선위 결정에 발맞춰 순액법을 적용, 줄어든 관련 매출액에 산정 비율을 곱해 과징금을 다시 확정했다."
2024-12-18,"‘콜 차단’ 카카오모빌리티 과징금, 724억→151억원","‘순액법’으로 재산정한 결과경쟁사 가맹 택시들에 부당하게 ‘콜(호출) 차단’을 한 혐의를 받는 카카오모빌리티에 대해 공정거래위원회가 부과한 과징금이 724억원에서 151억원으로 줄어들었다. 최근 금융 당국이 과징금 기준이 되는 카카오모빌리티 매출액의 계산 방식을 명확히 한 데 따른 것이다.공정위는 17일 카카오모빌리티의 공정거래법 위반 혐의에 관해 이같이 과징금을 재산정해 확정했다고 밝혔다. 앞서 9월 공정위는 카카오모빌리티가 경쟁사 가맹 택시들의 영업 정보 제공을 요구하고 이를 거부할 경우 부당하게 콜을 차단한 혐의에 대해 724억원의 과징금을 잠정 부과했다.과징금이 ‘잠정 부과’된 이유는, 과징금 산정의 기준이 되는 카카오모빌리티의 매출액이 확정되지 않았기 때문이다. 당시 금융위원회 산하 증권선물위원회(증선위)는 카카오모빌리티 매출액을 종전부터 해 오던 ‘총액법’ 대신 ‘순액법’으로 다시 계산해야 하는지 심사 중이었다.총액법은 카카오모빌리티가 가맹 택시에서 받은 수수료 전액(19%)을 매출로 계산하는 방식인 반면, 순액법은 그 수수료 가운데 다시 택시 측에 돌려준 부분(16.7%)을 제외하고 나머지만 매출로 잡는 방식이다. 예컨대 카카오모빌리티의 작년 매출은 순액법 기준 6018억원이지만, 총액법 기준으로는 1조원 정도로 추정된다.증선위는 심사 끝에 지난달 “순액법 적용이 맞다”고 결론 냈다. 이에 따라 이날 공정위도 순액법에 따라 과징금을 재산정했다. 공정위 관계자는 “카카오모빌리티의 ‘콜 차단’ 혐의 사실은 그대로지만, 매출액 계산 방식을 순액법으로 확정하면서 과징금 액수만 조정된 것”이라고 말했다."
2024-12-19,"검찰, 명태균 ‘황금폰’서 尹통화·김여사 카톡 확보","15만여 파일 복구김영선 공천 전날 대통령 부부 통화 녹음여권 정치인과 소통 흔적도정치 브로커 명태균(54·구속)씨의 ‘공천 거래’ 의혹을 수사 중인 검찰이 명씨의 이른바 ‘황금폰’에서 15만개가 넘는 파일을 복구했다. 파일 대다수는 카카오톡 메시지로 전해졌다. 이 가운데 김건희 여사와 주고받은 메시지도 있는 것으로 전해졌다. 검찰은 김영선 전 의원 공천 전날 명씨가 윤석열 대통령 부부와 나눈 통화 녹음도 확보했다.명태균씨가 지난달 8일 정치자금법 위반 혐의 피의자 신분으로 검찰 조사를 받기 위해 창원지방검찰청에 출석하고 있다. /뉴스119일 본지 취재를 종합하면 창원지검 전담수사팀(팀장 이지형 차장검사)은 지난 12일 명씨 측으로부터 제출받은 휴대전화 3대와USB1개에 대한 디지털 포렌식을 마무리했다. 명씨 측 대리인인 남상권 변호사는 “휴대전화 1개에서만 메시지, 카톡, 녹음된 음성이 복구된 게 15만 5000여개가 된다”고 했다.복구된 파일의 대다수는 카톡 메시지라고 한다. 이 안에는 명씨가 그동안 언론에 언급한 여권 정치인들과 나눈 메시지도 다수 있는 것으로 전해졌다. 특히 검찰은 2021년 4~5월쯤 명씨가 김 여사에게 보낸 카톡 메시지도 확보한 것으로 전해졌다.검찰은 또 2022년 5월 9일 명씨와 윤 대통령이 나눈 통화 녹음 파일 원본을 확보한 것으로 전해졌다. 이날은 2022년 6·1 국회의원 보궐선거 창원 의창 지역 국민의힘 공천 후보 발표 하루 전이었다. 김영선 전 의원은 이 통화 다음날 창원 의창 지역 국민의힘 후보로 공천받았고, 이후 당선됐다.더불어민주당 박찬대 원내대표가 지난 10월 31일 오전 국회 원내대표실에서 윤석열 대통령과 명태균씨의 통화녹음 파일을 공개하는 기자회견을 하고 있다. 통화시점은 윤 대통령 취임 하루 전이자 6.1 재보선 공천 확정 발표 하루 전인 2022년 5월9일로 박 원내대표는 “윤 대통령의 불법 공천개입 육성이 확인됐다”고 주장했다. /이덕훈 기자앞서 더불어민주당이 지난 10월 31일 공개한 명씨와 윤 대통령의 통화 녹음 파일에는 윤 대통령이 “내가 김영선이 경선 때부터 열심히 뛰었으니까 김영선이를 좀 해줘라 그랬는데, 말이 많네 당에서”라고 말하는 음성이 담겼다. 이후 명씨가 “이 은혜 평생 잊지 않겠습니다”라고 한다.명씨를 대리하는 남상권 변호사는 최근 언론 인터뷰 등에서 “언론에 공개된 대화 내용은 전체의 80% 정도다”고 주장한 바 있다. 그러면서 빠진 부분에는 윤 대통령이 윤상현 의원에게 김영선 전 의원 공천 문제를 다시 한번 확인해보겠다는 취지의 내용이 담겼다고 했다. 검찰이 이번에 명씨 휴대전화에서 확보한 녹음 파일은 윤 대통령과 명씨가 나눈 통화 전체 파일로, 총 2분가량 분량인 것으로 전해졌다. 앞서 검찰은 강혜경씨가 검찰에 제출한PC에서 명씨가 ‘대통령과 대화’라는 이름의 파일을 카톡 메시지 ‘나에게 보내기’ 기능으로 전송한 기록을 파악한 바 있다. 당시 검찰은 해당 파일의 용량 크기를 통해 ‘2분’ 정도 분량일 것으로 추정했었다.윤상현 의원. /연합뉴스검찰은 또 황금폰 안에서 명씨가 윤 대통령과 통화한 당일 김 여사와 통화한 녹음 파일도 확보한 것으로 전해졌다. 명씨는 지난 2022년 6월 15일 지인과의 대화에서 “(윤 대통령 전화를) 바로 끊자마자 마누라(김건희 여사)한테 전화 왔어. ‘선생님, 윤상현이한테 전화했습니다. 보안 유지하시고 내일 취임식 꼭 오십시오’ 이래 가지고 전화 끊은 거야”라고 했다. 윤상현 의원은 당시 국민의힘 공천관리위원장이었다. 윤상현 의원은 이 같은 의혹에 “당시 대통령 부부의 전화를 받은 적 없다”고 부인했다.검찰은 공천 개입 의혹 수사와 관련해 지난 17·18일 당시 국민의힘 공천관리위원회에 참여했던 한기호, 강대식 의원을 잇따라 조사했다. 또 지난달 27일에는 국민의힘 당사 등을 압수수색해 공천 관련 자료를 확보한 상태다."
2024-12-07,[요즘 서점가] 카카오 전성기 일궈낸 디자이너의 에세이 ‘2위’,"브랜드 전문 잡지 매거진B의 발행인이자 디자이너 조수용의 첫 에세이 ‘일의 감각’(레퍼런스 바이 비)이 지난달 12일 출간 이후 2주 만에 에세이 분야 베스트셀러 2위에 올랐다. 종합 순위는 12위. 김범수 카카오 이사회 의장과 함께 카카오를 이끌었던 ‘일의 일대기’로 독자들의 이목을 끌었다.그래픽=조선디자인랩 김영재책은 저자가 디자이너로서 처음 일을 시작한 시기부터 네이버의 브랜드 마케팅 및 디자인 총괄, 카카오 공동대표를 지내고 매거진B를 창간하기까지의 이야기를 담았다. 자신이 걸어온 길을 공감, 감각, 본질, 브랜드, 나로서 살아가는 나 등 다섯 가지 단어로 설명한다. 전체 구매자의 78.1%가 3040이다. 예스24 관계자는 “저자의 성공 스토리가 일에 대한 고민이 많은 직장인들에게 큰 영감을 주며 인기를 끌고 있다”고 했다."
2024-12-31,﻿상속 없이 주식 부자 된 인물 2위는 방시혁…1위는?,"방시혁 하이브 이사회 의장(왼쪽), 박순재 알테오젠 대표. /뉴스1국내 주식부호 상위 50명 중 상속 대신 창업으로 부를 쌓은 인물이 10년 전에 비해 2배 이상 늘어난 것으로 나타났다.31일 기업분석연구소 리더스인덱스에 따르면 지난 27일 기준 국내 주식부호 현황을 10년 전(2014년 12월 20일)과 비교해 조사한 결과, 주식부호 상위 50명 중 ‘창업 부호’는 5명에서 12명으로 140% 증가했다.이번 조사는 10년 전 부호 순위와 비교한 것으로, 올해는 개인별 보유 주식을 연말 종가로 계산했다. 비상장사 보유지분은 순자산가치에 보유지분율로 평가해 반영했다.창업 부호 중에서는 박순재 알테오젠 대표(8위)가 50인에서 가장 높은 순위를 차지했다. 이어 방시혁 하이브 이사회 의장(10위), 박현주 미래에셋그룹 회장(11위), 김범수 카카오 경영쇄신위원장(12위), 장병규 크래프톤 이사회 의장(13위), 서정진 셀트리온 회장(18위), 이중근 부영그룹 회장(19위0, 이동채 에코프로그룹 전 회장(20위), 이해진 네이버 글로벌투자책임자(23위) 등이 뒤를 이었다.방준혁 넷마블 이사회 의장(24위), 박진영JYP엔터테인먼트 대표 프로듀서(40위), 김상헌DN그룹 회장(41위)도 새롭게 명단에 포함됐다.창업부호를 탄생시킨 업종은 10년 새 크게 달라졌다. 10년 전에는 고(故) 김정주 넥슨 창업주(11위), 김범수 당시 다음카카오 이사회 의장(12위), 이해진 네이버이사회 의장(22위) 등 정보기술(IT) 분야가 주를 이뤘으나 올해에는 엔터테인먼트, 바이오, 이차전지 등으로 다양해졌다.지난 10년간 창업부호 6명, 상속형 부호 12명 등 총 18명이 새롭게 주식부호 상위 50위 명단에 이름을 올렸다. 신규 진입한 주식부호 중 지분가치가 가장 높은 부호는 조정호 메리츠금융 회장(9조9213억원·2위)이다.전체 주식부호 1위는 10년간 삼성그룹 오너일가가 지키고 있다. 10년 전에는 이건희 선대 회장이 12조912억원으로 1위였으나 현재는 이재용 삼성전자 회장이 12조1671억원으로 그 자리를 대신하고 있다. 다만 이 회장의 삼성 계열사 보유 가치는 크게 떨어졌다. 연초 이 회장이 보유한 주식 지분은 14조3755억원이었지만, 1년 새 그 가치가 15.4%(2조2084억원) 하락한 것으로 집계됐다.이 회장 외에 다른 삼성가 3명도 상위권을 차지했다. 홍라희 전 삼성미술관 리움 관장(5조4824억원‧3위), 이부진 호텔신라 사장(4조9023억원‧4위), 이서현 삼성물산 전략기획담당 사장(4조2336억원‧6위)이다. 이들은 10년 전에는 주식부호 순위 10위권 밖에 있었으나 상속과 함께 보유 자산을 키운 것으로 분석됐다.여성 부호는 현재 기준 총 7명으로, 모두 상속으로 부를 일궜다. 홍라희 전 리움 관장, 이부진 사장, 이서현 사장, 최기원SK행복나눔재단 이사장(30위), 김영식 여사(故 구본무LG선대회장 부인‧36위), 이명희 신세계그룹 회장(49위) 등 6명은 10년 전에도 주식부호 50위 안에 들었다. 여기에 구연경LG복지재단 대표(45위)가 새로 포함되면서 1명이 더 늘어났다.주식부호 50인의 평균 나이는 10년 전 55.9세에서 올해는 61.3세로 5.4년 많아졌다. 정기선HD현대 수석부회장(39위)이 42세로 가장 나이가 적었으며 정몽구 현대자동차 명예회장(5위)이 86세로 최고령이었다.주식부호 상위 50명의 지분 가치는 84조1235억원에서 86조798억원으로 10년간 2.3% 증가하는 데 그쳤다. 이 기간 코스피‧코스닥 시장 가치가 1311조원에서 2319조원으로 76.9% 늘어난 것과는 크게 차이 난다. 리더스인덱스는 “지난 10년 동안 경영권 승계와 상속 과정에서 보유 지분이 분산된 데다, 새롭게 편입된 창업 부호들의 지분가치가 올해 들어 하락한 것이 주된 원인”이라고 분석했다."
2024-12-03,"[조형래 칼럼] 영웅을 죽이는 사회, 영웅을 만드는 사회","빌 게이츠나 머스크도감추고 싶은 흑역사 많지만미국인의 꿈을 이룬 인물로 부각한국의 창업자 카카오 김범수는사법 리스크에 과징금·여론 뭇매까지관용 없는 우리 사회가어렵게 일군 기업 망가뜨릴까 우려SM엔터테인먼트 시세조종 의혹을 받는 김범수 카카오 경영쇄신위원장이 지난달 15일 오전 서울 양천구 서울남부지방법원에서 자본시장과금융투자업에관한법률위반 공판에 출석하기 위해 차량에서 내리고 있다. /뉴스1천사의 미소를 지닌 빌 게이츠 마이크로소프트 창업자의 실제 성격은 정반대였다. 지독한 일중독이었던 그는 직원이든 동업자든 성에 차지 않으면 “내가 들어본 것 중 가장 멍청한 소리”라고 독설을 퍼부었다. 경쟁 업체를 죽이기 위해서는 수단·방법을 가리지 않았다. 대표적인 사건이 넷스케이프 죽이기다. 1990년대 인터넷이 태동하면서 넷스케이프가 인터넷 접속 프로그램 시장을 선점하자, 그는 막강한PC운용체제 ‘윈도’에 자사의 인터넷 접속 프로그램 ‘익스플로러’를 끼워 팔고, 심지어 넷스케이프로 인터넷에 접속하면 오류가 발생하도록 조작해 기어이 넷스케이프를 망하게 했다.그는 이 일로 법무부로부터 독점 소송을 당한다. 지금도 남아 있는 빌 게이츠의 증언 영상을 보면 못마땅한 표정으로 “기억나지 않는다”를 연발하고 심지어 손가락질과 기지개까지 하는 장면도 나온다. 법원이 게이츠를 망신 주기 위해 영상을 공개했지만 게이츠에 대한 여론의 지지는 흔들리지 않았다. 시쳇말로 싸가지 없는 그의 태도를 비난하기보다는 그가 소프트웨어를 앞세워 일본 제조업에 밀려 죽어가던 미국의 첨단 산업을 일으켰다는 것을 더 높이 평가했다. 그렇게 그는 미국 기업가의 표상이 되었다.한국은 어떤가? 아무리 뛰어난 기업가라도 한 번 스텝이 꼬이면 나락으로 떨어진다. 요즘 카카오 김범수 창업자가 그런 케이스다. 주가 시세조종 혐의로 구속된 그는 10월 말 101일 만에 보석으로 풀려났다. 하지만 채 일주일도 안 돼 검찰이 다시 카카오 본사와 계열사인 카카오모빌리티를 압수수색하는 것을 지켜봐야 했다. 이번엔 공정거래위원회가 택시 호출 서비스 플랫폼인 카카오모빌리티에 대해 독점력 남용으로 검찰에 고발했기 때문이다. 검찰은 무려 2주일간 다섯 차례에 걸쳐 카카오를 샅샅이 뒤졌다.카카오는 과징금 폭탄도 맞았다. 공정위는 10월 카카오모빌리티의 콜(호출) 차단, 즉 경쟁업체 가맹택시에 콜을 주지 않은 행위에 대해 724억원의 과징금을 부과했다. 작년 2월에는 자사 가맹 택시에 콜을 몰아주는 방식으로 비(非)가맹택시를 차별했다며 271억원을 부과했다. 여전히 적자에서 벗어나지 못한 스타트업에 영업 이익의 3~4년치에 해당하는, 토종 플랫폼 기업 사상 최대 규모의 과징금을 부과한 것이다. 카카오 측 반론은 차치하더라도 경쟁 택시에 대한 ‘콜 차단’과 자사 택시에 대한 ‘콜 몰아주기’가 어떻게 보면 같은 사안의 양면(兩面)으로 볼 수 있고 위반 시기도 상당 부분 겹친다. 이외에도 금융감독위원회가 최근 회계처리 기준 위반으로 과징금 34억원을 또 물렸다.더 난감한 것은 김범수 창업자가 십자포화를 맞고 있는데도 여전히 비판의 목소리가 크다는 사실이다. 카카오뱅크·페이 등 알짜 계열사의 쪼개기 상장과 일부 경영진의 스톡옵션 먹튀 논란, 이로 인한 주가 폭락으로 200만 소액 주주들의 미운털이 단단히 박힌 탓이다. 우리사주를 배정받은 직원들도 평균 1억원 이상 손실을 본 상태여서 부글부글 끓고 있다.이런 난맥상의 가장 큰 책임은 규모에 맞는 기업 문화와 경영 시스템을 정착시키지 못한 김범수 창업자에게 있을 것이다. 그는 회사를 키운 뒤 증시 상장을 하거나 매각을 해서 큰돈을 버는 성공 방식을 너무 즐겼다. 계열사 숫자가 한때 150여 개에 이르고 골목 상권 침해 등 잦은 구설에 오른 것도 남의 돈으로 잔치를 하는 비즈니스 모델 탓이 크다. 하지만 이 난맥상을 풀 수 있는 유일한 인물도 김범수 본인이다. 카카오 그룹이 불과 10년 만에 급격히 몸집을 불렸기 때문에 구성원들이 매우 이질적이며 소속감도 약해 김범수가 아니면 구심점 역할을 할 사람이 없다.김범수 창업자는 네이버의 이해진, 엔씨소프트의 김택진과 함께 한국의 인터넷 시대를 연 주역이다. 그는 한게임을 창업해 네이버와 합병하고 절치부심하다가 모바일 메신저 카카오톡을 만들었다. 그가 없었다면 한국인들은 카카오톡 대신 페이스북의 왓츠앱이나 중국의 위챗을 쓰고 있을지 모른다. 회초리를 들어서 야단치면 될 일에 칼을 휘둘러 기업을 망가뜨려서는 안 된다.△매일 조선일보에 실린 칼럼 5개가 담긴 뉴스레터를 받아보세요. 세상에 대한 통찰을 얻을 수 있습니다. 구독하기 ☞https://page.stibee.com/subscriptions/91170"
2024-12-30,"﻿“비행기 추락하면 알바 구하라고 연락해” 카페 관리자 망언, 본사 사과","한 프랜차이즈 카페에서 아르바이트했다는 네티즌은 29일 카페 관리자에게서 받은 카카오톡 메시지를 공개했다. /X(옛 트위터)한 프랜차이즈 카페 관리자가 전남 무안국제공항에서 발생한 여객기 참사를 언급하며 “비행기 추락하면 결근 안 생기게 나에게 먼저 연락하라”고 발언해 공분을 샀다. 논란이 커지자 카페 본사는 “책임을 통감한다”며 사과했다.공차코리아는 30일 공식 소셜미디어 계정에 “무안국제공항에서 발생한 안타까운 사고로 소중한 생명을 잃으신 분들과 유가족분들께 깊은 애도의 뜻을 전한다”며 “이번 사고로 상처받으신 모든 분께 진심으로 위로의 말씀을 드린다”고 밝혔다.이어 “이번 공차 신세계 대구 가맹점에서 발생한 부적절한 발언으로 불편과 상처를 드린 점에 대해 진심으로 사과드린다”며 “이는 공차코리아의 기본 가치와 윤리에 반하는 일이었으며 고객님들께 큰 실망을 안겨드린 점에 대해 책임을 통감한다”고 했다.조사 결과 가맹점 관리자가 부적절한 행동을 한 것으로 확인됐다고 공차코리아는 밝혔다. 그러면서 “이 사안을 엄중히 검토하고 있으며 관련 직원에 대해 적절한 조치를 진행하고 있다”며 “이러한 일이 다시는 발생하지 않도록 내부 관리 체계를 강화하고 개선책을 마련하겠다”고 했다. 또한 “이번 일로 마음의 상처를 받으신 아르바이트생에게도 다시 한번 진심으로 사과드린다”고 했다.공차코리아가 30일 공식 소셜미디어에 올린 사과문. /페이스북가맹점주는 자필 사과문을 공개했다. 점주는 “저희 직원의 부적절한 행동으로 많은 분들께 큰 심려를 끼쳐드린 점 진심으로 사과드린다”며 “이 모든 일은 점주인 저의 관리 소홀에서 비롯된 것으로, 깊이 반성한다”고 했다. 이어 “앞으로 매장 운영과 직원 교육을 철저히 개선해 재발 방지를 위해 최선을 다하겠다”며 “고객 여러분의 신뢰를 회복할 수 있도록 최선을 다하겠다”고 했다.이 카페에서 아르바이트했다고 밝힌 A씨는 전날 X(옛 트위터)에 “이게 지금 아르바이트생한테 할 소리냐? 어른이 쪽팔리지도 않나. 인류애 떨어진다”며 카페 관리자에게 받은 카카오톡 메시지를 공개했다.메시지에서 관리자는 “오늘 비행기 터진 거 봤지? 방학 때 해외가는 놈들 좀 있던데 추락할 일 생기면 아빠, 엄마보다 나한테 먼저 ‘알바 구하세요’ 하면서 카톡 보내라. 결근 안 생기게”라고 했다.이를 본 네티즌들은 카카오맵에 “저게 농담이냐?” “사람이 아니다” 등의 리뷰를 남기며 별점 최저점인 1점을 연이어 남겼다. 일부 네티즌은 프랜차이즈 본사에 민원을 넣었고, 이 카페가 입점한 백화점 ‘고객의 소리’에도 민원을 제기한 것으로 알려졌다."
