date,title,content
2024-12-26,"코스맥스그룹, 2025년 정기 임원 인사... 연구조직 세분화","코스맥스그룹이 26일 정기 임원 인사를 단행했다. 코스맥스그룹 측은 ‘미래 경쟁력 확보’를 인사 핵심으로 내세우고 연구 조직을 대대적으로 개편했다.코스맥스CI/코스맥스이번 인사에서 이상인 코스맥스광저우 총경리(사장)가 코스맥스차이나 총경리로, 양치연 코스맥스차이나 마케팅 부문장(부사장)이 코스맥스광저우 총경리로 이동했다. 이상인 사장은 2017년부터 코스맥스광저우 총경리를 맡으며 ‘퍼펙트다이어리’ 등 중국 내 대형 브랜드와 거래를 성사시켜 법인 안정화에 기여했다는 평을 받고 있다. 양치연 부사장은 코로나 시기였던 2021년 코스맥스차이나 역대 최대 매출 달성에 기여하는 등 코스맥스 중국사업 확대에 일조했다. 코스맥스그룹 측은 “각 신임 총경리들이 기존 법인에서 성공 경험을 토대로 중국 화장품 시장에서 새로운 도약을 위한 기회를 발굴해 줄 것으로 기대한다”고 밝혔다.코스맥스그룹은 대표급 전보와 함께 ‘미래 경쟁력 강화’와 ‘다양성·역동성 확대’에 중점을 둔 임원 승진자 명단 28명을 공개했다.김남중 코스맥스 마케팅부문장(전무)과 김승민 코스맥스차이나 경영관리부문장(전무)이 부사장으로 승진했다. 김남중 부사장은 이번 승진과 함께 건강기능식품 관계사인 코스맥스엔비티 대표에 내정됐다.연구·혁신(Research&Innovation) 부문에선 10명의 승진자가 나왔다. 대표적으로 크림 제형 개발을 주도해 온 지진구 코스맥스CL랩장과 강병하 코스맥스차이나 제형연구소장이 펠로우1(Fellow1·상무급)으로 승진했다.코스맥스그룹은 이번 인사와 함께 핵심 연구 조직인 코스맥스 R&I센터를 대대적으로 개편했다. 제형별로 합쳐져 있던 조직을 세분화하고, 기존 18개 랩을 23개로 확대했다. 마스크시트와 팩 제형 강화를 위한PM랩과 친환경 포장재 전문성 강화를 위한PS랩을 각각 신설하고, 자외선차단제 혁신을 위한SC(SunCare)랩을 독립·확대했다.코스맥스그룹 측은 “세계적인 초격차 연구기술 경쟁력을 확보하고 세계 최고 수준의 기술 개발을 주도해 변화하는 고객 요구에 신속하게 대응하겠다”고 밝혔다.아래는 코스맥스그룹 임원 인사 명단.<코스맥스비티아이>◇ 전무 승진 ▲이진일◇ 상무보 승진 ▲김상준 ▲서미숙◇Fellow2(상무보급) 승진 ▲윤석균<코스맥스>◇ 부사장 승진 ▲김남중◇ 전무 승진 ▲박진호◇ 상무 승진 ▲신병모◇ 상무보 승진 ▲남중현 ▲여연화 ▲박미주◇Fellow1(상무급) 승진 ▲지진구◇Fellow2(상무보급) 승진 ▲김성용 ▲김정겸 ▲문선영 ▲여현주 ▲우수연<코스맥스차이나>◇ 사장 전보 및 총경리 선임 ▲이상인◇ 부사장 승진 ▲김승민◇Fellow1(상무급) 승진 ▲강병하<코스맥스광저우>◇ 부사장 전보 및 총경리 선임 ▲양치연<코스맥스타일랜드>◇ 상무 승진 ▲강민구<코스맥스엔비티>◇ 상무 승진 ▲박종철◇ 상무보 승진 ▲김도형 ▲김혜진 ▲문기화<코스맥스바이오>◇ 상무보 승진 ▲김재환 ▲박일서<코스맥스파마>◇ 상무보 승진 ▲박명훈<코스맥스네오>◇ 상무 승진 ▲박인성<코스맥스아이큐어>◇ 상무보 승진 ▲차지훈"
2024-12-27,[경제계 인사] 코스맥스차이나 총경리에 이상인 외,"코스맥스차이나 총경리에 이상인코스맥스그룹은 26일 코스맥스차이나 총경리(사장)에 이상인<사진> 코스맥스광저우 총경리를, 코스맥스광저우는 양치연 코스맥스차이나 마케팅부문장을 총경리로 선임했다고 밝혔다. 건강기능식품 관계사인 코스맥스엔비티 대표엔 김남중 코스맥스 마케팅부문장이 내정됐다.▲코스맥스비티아이▷전무 이진일▲코스맥스▷전무 박진호▷상무 신병모▲코스맥스차이나▷부사장 김승민▷상무 강병하▲코스맥스타일랜드▷상무 강민구▲코스맥스엔비티▷상무 박종철▲코스맥스네오▷상무 박인성KB금융지주 글로벌 부문장 이재근KB금융지주는 26일 이재근 현KB국민은행장을KB금융지주 글로벌 부문장으로, 이창권 현KB국민카드 사장을 디지털·IT부문장으로 임명했다.▲KB금융지주◇전무▷전략담당(CSO) 박영준▷리스크관리담당(CRO) 염홍선 ▲KB국민은행◇상임감사위원 이성재 ◇부행장▷디지털영업그룹 송병철▷기업고객그룹 송용훈▷여신관리심사그룹 윤준태▷준법감시인 이수진▷강남지역영업그룹 고덕균▷강북지역영업그룹 박선현▷개인고객그룹 곽산업▷영업그룹 박병곤▷CIB영업그룹 심재송▷AI·DT추진그룹 조영서▷경영지원그룹 최석문 ◇상무▷리스크관리그룹 박영진▷WM고객그룹 이윤석▷금융AI1센터장 김병집▷금융AI2센터장 이경종▲생명보험협회◇수석상무▷전략기획본부장 김인호"
2024-08-12,코스맥스 2분기 역대 최대 매출…상반기 1조원 첫 돌파,"2분기 영업이익 467억원…전년比 1.5%↑코스맥스의 '3WAAU샴푸' '3WAAU트리트먼트'는 1대1 문진 후 1260만 가지 조합 중 나에게 맞는 단 하나의 레시피로 제조된다. /코스맥스화장품 연구∙개발∙생산(ODM) 기업 코스맥스가 지난 2분기 역대 최대 매출을 기록했다. 코스맥스는 2분기 매출액(연결 기준) 5515억원을 기록했다고 12일 공시했다. 코스맥스 사상 최대 분기 매출로, 분기 최대 실적을 냈던 지난 1분기(5268억원)도 넘어섰다. 전년 동기보다는 15.1% 늘었다. 같은 기간 영업이익은 467억원으로 전년 동기보다 1.5% 증가했다.코스맥스는 올 상반기 연결 매출 1조783억원을 기록했다. 글로벌 화장품ODM업계에서 반기 매출이 1조원을 넘은 것은 이번이 처음이다. 앞서 코스맥스는 지난해 국내 연결 매출 1조7775억원을 기록했다.이 같은 실적 개선에는 화장품 인디브랜드 확대와 수출 외연 확장 등이 주 요인으로 분석된다. 국내 중소 인디브랜드 화장품이 미국, 일본 등으로 수출을 확대하고 한국을 찾는 외국인이 늘면서다.K뷰티 확산세에 힘입어 인도네시아, 태국 등 동남아 지역 법인도 함께 성장세를 기록했다. 인도네시아 법인 매출은 전년 동기 대비 23% 늘어난 254억원, 태국은 전년 동기보다 50.8% 증가한 103억원을 기록했다. 특히 기초, 선케어, 색조 부문에서 매출 성장이 두드러졌다.코스맥스 관계자는 “K 인디브랜드의 세계화와 지속적인 혁신 제품 출시, 생산능력 확대 등으로 역대 최대 매출을 달성했다”며 “하반기에도 고객사와 동반 성장하는 코스맥스가 되기 위해 노력할 것”이라고 했다."
2024-08-06,"코스맥스 임직원, 아이 세명 낳으면 6000만원 받는다","첫째 1000만원, 둘째 2000만원셋째부터는 3000만원 주기로코스맥스는 이달부터 출산하는 직원에게 △첫째 1,000만 원 △둘째 2,000만 원 △셋째 출생 시 3,000만 원을 각각 지원하는 업계 최대 규모의 출산장려금 제도를 신설한다고 5일 밝혔다. /코스맥스화장품 연구·개발·생산(ODM) 기업 코스맥스가 직원 출산 장려금 지원 제도를 신설, 세 아이를 낳아 키우는 직원에게 최대 6000만원을 지급한다고 5일 밝혔다. 기존에는 법정 육아휴직(1년)과 출산휴가(남성 10일, 여성 90일)만 지원했는데, 출산 장려금을 지급하고 육아휴직 제도도 확대하기로 했다. 코스맥스와 지주사 코스맥스비티아이(BTI) 임직원이 대상이다.코스맥스는 이달부터 임직원이 첫째를 출산하면 1000만원, 둘째는 2000만원, 셋째부터는 3000만원의 출산 장려금을 지급하기로 했다. 쌍둥이를 출산해도 같은 기준이 적용된다. 쌍둥이가 첫째·둘째면 각각 1000만원과 2000만원을, 둘째·셋째면 각각 2000만원과 3000만원을 받을 수 있다. 입사 전 아이가 있어도 입사 후에 둘째·셋째를 낳으면 각각 2000만원과 3000만원이 지급된다.육아휴직 때 결재 절차를 거치지 않는 ‘자동 육아휴직 제도’도 이달부터 시행한다. 코스맥스 측은 “휴직을 신청하려는 직원들이 눈치 보지 않고 자유롭게 할 수 있도록 절차를 간소화한 것”이라고 설명했다. 배우자가 아이를 출산했을 때 10일씩 쓸 수 있던 휴가는 최대 20일로 늘어난다. 초등학교 2학년(만 8세) 이하 자녀를 둔 직원은 유치원 학예회나 졸업식, 초등학교 입학식 등에 참석할 수 있게 유급휴가를 매년 이틀씩 더 받는다.코스맥스 관계자는 “저출생 위기 극복에 도움이 되기 위해 출산·양육 복지 정책 확대를 검토했고, 지난달 경영진 회의에서 세부 계획이 확정됐다”며 “직원들이 자녀 탄생과 성장의 기쁨을 온전히 느낄 수 있도록 적극적으로 지원하겠다”고 말했다."
2024-07-11,"코스맥스그룹, 새 CI 공개","화장품 연구개발·생산 전문 기업인 코스맥스그룹이 새 기업 이미지(CI·사진)를 10일 공개했다. 기존CI아래에 표기돼있던 ‘K뷰티의 과학(TheScienceofKoreanBeauty)’이란 문구를 삭제하고, 코스맥스의 경영 철학(바름·다름·아름)을 상징하는 심볼을 기존 우측 상단에서 우측 중앙으로 옮겨 배치했다."
2024-01-30,[기업 브리핑] 코스맥스 평택2공장 가동… 색조 생산 확대,화장품 연구·개발·생산(ODM) 기업 코스맥스가 경기도 평택 고렴산업단지에 평택2공장을 준공하고 가동을 시작했다고 29일 밝혔다. 이 공장은 연 1억3000만개 제품 생산이 가능한 색조 전용 공장이다. 이로써 코스맥스의 국내 화장품 생산 능력은 연 7억8000만개로 확대됐다.
2023-08-14,"단일 화장품 아시아서 최대… 코스맥스, 中 합작공장 가동","화장품ODM(제조자 개발 생산) 기업인 코스맥스는 중국 화장품 기업 이센그룹과 합작한 화장품 공장이 준공돼 본격 가동을 시작했다고 13일 밝혔다. 중국 광저우시 광둥성에 조성된 이 공장은 6만593㎡(약 1만8320평) 규모로, 단일 화장품 공장으로는 아시아 최대 규모다.이번에 가동된 공장은 코스맥스가 2017년 준공한 상하이 2공장 이후 6년 만에 가동하는 최신 공장이다. 태양광발전 등 자원 절약 설비와 수자원·대기오염을 최소화하는 정화 설비를 갖췄다. 자동화 공정과 물류 시스템도 적용됐다. 일차적으로 매달 500만개의 화장품을 생산할 계획이며 추후 매달 3000만개까지 생산량을 늘릴 예정이다.앞서 코스맥스는 2020년 이센그룹과 자본금 4억위안(약 734억원) 규모의 합작회사를 설립하고, 2021년 3월 공장 건설 계획을 밝혔었다. 이센그룹은 중국 1위 색조 화장품 브랜드 퍼펙트 다이어리의 모회사로 2020년 뉴욕증권거래소에 상장했다. 코스맥스는 퍼펙트 다이어리 브랜드 출범 당시부터 화장품 개발 및 생산을 맡아오고 있다."
2024-08-05,"코스맥스, 아이 셋 낳으면 6000만원 준다...육아휴직도 ‘자동 신청’","입사 후 셋째 낳아도 3000만원“눈치 보지 말고 써라” 육휴 자동신청“입학·졸업식 가라” 이틀 유급휴가코스맥스는 이달부터 출산하는 직원에게 △첫째 1000만원 △둘째 2000만원 △셋째부터는 3000만원을 각각 지원하는 출산장려금 제도를 신설한다고 5일 밝혔다. /코스맥스국내 화장품 연구·개발·생산(ODM) 기업 코스맥스가 이달부터 아이 셋을 낳은 직원에게 출산장려금 6000만원을 지급하기로 했다. 코스맥스와 지주사 코스맥스비티아이(BTI) 임직원이 대상이다. 기존에는 최대 1년의 법정 육아휴직과 출산휴가(남성 10일, 여성 90일)만 지원해왔지만, 새로운 제도를 계기로 출산·양육 지원을 확대해 체계적인 복지 시스템을 정립하겠다는 취지다.◇셋째 낳으면 3000만원 지급5일 코스맥스는 이달부터 임직원 대상 출산∙양육 복리후생 제도를 확대한다며 이 같이 밝혔다. 이달부터 출산하는 직원에게는 △첫째 1000만원 △둘째 2000만원 △셋째 이상 출생 시 3000만원을 출산장려금으로 지원한다.쌍둥이를 출산해도 일반 출산과 동일하게 지급한다. 예를 들어 첫째·둘째 쌍둥이를 낳으면 각 1000만원과 2000만원을, 둘째·셋째 쌍둥이를 낳으면 각 2000만원과 3000만원을 받을 수 있다. 이미 코스맥스에 입사하기 전에 아이를 낳았더라도 입사 후 둘째나 셋째를 낳으면 각각 2000만원과 3000만원이 지급된다.◇결재절차 없앤 ‘자동 육아휴직’ 도입육아휴직 제도도 대폭 개편된다. 육아휴직을 눈치 보지 않고 쓸 수 있도록 하는 ‘자동 육아휴직 제도’가 이달 중 시행된다. 회사에 신청하기만 하면 별도의 결재 절차 없이 육아휴직이 적용된다. 출산한 여성 직원은 자동으로 6개월, 남성 직원도 법정 배우자 출산휴가(10일) 이후 1달 동안 ‘아빠 당연 육아휴직’이 자동 적용된다.이미 코스맥스는 임신 중인 여성 직원이나 초등학교 2학년(만 8세) 이하 자녀를 양육하려는 남녀 직원 전체에게 육아휴직을 최대 1년까지 보장하고 있다. 자동으로 신청된 육아휴직이 끝나더라도 이미 보장된 육아휴직을 1년 한도 내에서 자율적으로 쓸 수 있다는 뜻이다.◇원하면 출산휴가 10일 더…“입학·졸업식 가라” 유급휴가도이 밖에도 양육 환경에 따라 선택적으로 사용할 수 있는 배우자 출산휴가 제도도 이달 중으로 확대 시행된다. 배우자가 아이를 낳으면 법정 출산휴가를 10일까지 쓸 수 있었는데, 희망할 경우 최대 10일의 무급휴가를 더 쓸 수 있게 된다. 초등학교 2학년(만 8세) 이하 자녀를 둔 임직원이 자녀 입학식·졸업식에 참석할 수 있도록 연간 이틀의 유급휴가를 ‘자녀 돌봄 휴가’ 명목으로 부여한다.코스맥스 관계자는 “출산 양육·복지와 관련해서는 이미 수년 전부터 내부적으로 환경 및 나눔 경영의 일환으로 계속 논의해왔다”며 “경영진 회의를 거친 후 구체적인 시행 방안이 지난 달 최종 확정됐고, 정부의 저출생 위기 해결 독려 분위기와 산업·업계 상황 등을 반영해 세부 시행계획을 결정했다”고 설명했다."
2024-02-07,"향수도 '할랄'으로 내놓는다... 코스맥스, 인도네시아에 할랄 향수 연구소 설립","코스맥스인도네시아는 5일 인도네시아 자카르타에 위치한 라 스위트 시마투팡 호텔에서 '코스맥스 이노베이션 콘퍼런스 2024'를 성료했다./코스맥스화장품 연구·개발·생산(ODM) 기업 코스맥스가 ‘할랄’ 향수 연구·개발에 나선다. 보통 향수에서 주로 쓰이는 머스크향은 사향 노루, 용연향은 향유고래 등 동물성 원료를 기반으로 한다. 코스맥스는 할랄 인증을 받은 원료로만 생산된 할랄 향수로 할랄 시장과 동남아시아 향수 시장을 공략한다는 계획이다. 이를 위해 인도네시아 연구소 내에 향료 연구소를 신설했다고 7일 밝혔다.코스맥스는 지난 5일 인도네시아 자카르타에서 ‘코스맥스 이노베이션 콘퍼런스’를 열고, 이 자리에서 인도네시아 R&I(Research&Innovation)센터 내 신설한 향료랩을 소개했다. 인도네시아 식약청과원료 및 부자재 기업, 투자사 등 인도네시아 화장품 산업 주요 관계자 300여명이 참석한 자리였다.코스맥스는 덥고 습한 기후적 특성을 반영해 현지 소비자들이 선호하는 강한 향의 플로럴∙프루티 계열 향수들로 구성된 8가지 향수 키트도 선보였다.2022년 기준 인도네시아 향수 시장은 약 7조 7000억 루피아(한화 약 6514억원) 규모로 오는 2027년까지 연 평균 7.4% 성장률 기록할 전망이다. 세계 4위 인구 규모(약 2억 8000만명)를 기반으로 연평균 5% 내외의 높은 경제 성장률을 기록하는 인도네시아가 신흥 경제국으로 부상하면서 향수 시장 등도 커질 것으로 기대하고 있다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2024-10-15,中 시장 포기 않는 중소·중견기업들 “아직 기회 있다”,"대기업 투자는 위축됐지만…국내 침대 매트리스 기업 지누스가 지난 7월 중국 상하이에 최초로 문을 연 단독 매장 모습. 지누스는 징동닷컴·핀둬둬 등 현지 온라인 플랫폼은 물론이고, 앞으로 오프라인 단독 매장을 늘려 중국 내 영업망을 넓혀나가겠다는 전략이다. 지누스는 상하이 매장을 시작으로 연내 중국에서만 10여 개 매장을 추가로 열 계획이다. /지누스세계 1위 화장품ODM(연구·개발·생산) 업체인 코스맥스는 1300억원을 투자해 중국 내 첫 연구개발 단지인 ‘중국 미(美)의 중심’을 짓고 있다. 2004년 중국에 진출한 코스맥스는 지난 2021년 중국 매출이 6328억원까지 늘며 전성기를 누렸지만, 지난해엔 경기 침체로 2021년 대비 16% 감소했다. 하지만 향후엔 중국 내 화장품 수요가 크게 증가할 것으로 보고 추가 투자에 나선 것이다.코스맥스는 상하이와 광저우에 공장을 두고 화장품 브랜드들의 의뢰를 받아 제품을 생산한다. 고객의 90%는 중국 화장품 브랜드사들로, 이들도 업계 1위를 알아보고 찾아오고 있다. 코스맥스는 이번 투자로 중국 내 연구개발 기능을 강화해 중국 매출을 지난해 5403억원에서 5년 내에 1조원까지 늘리겠다는 목표다. 코스맥스 관계자는 “중국 15억 인구 중 화장하는 인구는 2억명 정도이고, 나머지는 스킨·로션조차 안 바르는 인구”라며 “최근 중국 정부의 경기 부양책으로 중국 3선·4선급(인구 100만~400만) 도시의 경제 활동이 늘어나면, 화장하는 인구도 4~5년 내에 현재의 2배로 늘 것으로 보고 있다”고 말했다.오는 2026년 준공을 목표로 중국 상하이에 짓고 있는 코스맥스의 연구개발 단지 조감도. /코스맥스한국 주요 기업들은 2017년 중국의 ‘사드 보복’ 이후 중국 시장에서 고전을 거듭해왔다. 롯데·이마트 등 유통 기업들은 쫓겨나듯 철수했고, 자동차·석유화학 업체들은 현지 시장에서 존재감이 미미해졌다. 중국 트라우마와 미·중 갈등에 따른 공급망 재편으로 중국 투자는 위축되고, 중국은 갈수록 어려운 시장이 되고 있다. 하지만 여전히 중국에 기회가 있다고 보고, 중국과 연을 끊지 않고 새롭게 도전하는 우리 중소·중견 기업들이 있다. 화장품, 유아용품, 가구, 의류 등 소비재를 중심으로 ‘고급 제품’을 선호하는 중국 신세대 ‘주링허우’(90년대생)를 공략하는가 하면, 중국 업체들이 장악한 산업의 틈새를 파고든 기업도 있다.90년대생 부모, 한국 제품 선호주방용품 업체인SGC솔루션의 ‘글라스락’은 최근 ‘주링허우’로 불리는 중국 90년대생 부모를 공략해 분유 셰이커, 이유식 제조기, 젖병 소독기 등 유아용 소형 가전을 출시했다. 최근 중국에선 내열 이유식 용기, 프리미엄 이유식 냄비뿐 아니라, 각종 가전제품까지 첨단 ‘육아템’(육아 아이템)들이 인기를 끌고 있다. 글라스락은 용기 외에 소형 가전까지 제품군을 늘리면서 올해 중국 매출이 전년 대비 2배 이상이 될 것으로 보고 있다. 글라스락 관계자는 “1990년대생 부모들 사이에서 자녀를 위해 쓰는 물건은 알리·테무의 싼 제품보다 프리미엄 제품을 써야 한다는 인식이 확산되고 있다”며 “한한령이나 애국소비 트렌드가 아직 남아 있다고는 하지만, 지난 10년 이상 현지 소비자와 협력사에 신뢰를 쌓아온 덕분에 수요가 이어지고 있다”고 말했다.침대 매트리스 기업 지누스는 지난 7월 중국 내 최초 단독 매장을 상하이에 열었다. 최근 중국 현지 이커머스 플랫폼인 징둥닷컴과 핀둬둬에도 진출해 영업망을 넓히고 있다. 가구업계 최초로 서울 동대문에 단독 면세 매장도 열었다. ‘지누스 면세 1호점’은 중국인 개별 관광객을 위해 중국 현지에 매트리스를 무료 배송해주는 서비스로 인기를 끌고 있다. 지누스 관계자는 “중국에서 2030 고객 중심으로 미국 아마존 1위 기록을 썼던 지누스 매트리스가 신문물처럼 알려지며 입소문을 타고 있다”며 “중국에서도 미국에서처럼 판매 신화를 기록하길 기대하며 연말까지 10여 개 매장을 열 계획”이라고 말했다.요가복 브랜드 젝시믹스를 운영하는 브랜드엑스코퍼레이션은 지난 7월 상하이를 시작으로 지난달까지 중국 심양, 제남에 총 7개 매장을 열었고 연말까지 내륙 곳곳에 20개 이상으로 확대한다는 계획이다. 지난 2020년 중국법인을 설립한 후 대형 온라인몰인 ‘티몰’ ‘징둥닷컴’에서 ‘아시안 핏’을 강점으로 내세우며 이름을 알린 뒤 오프라인 매장을 낸 것이다. 젝시믹스 관계자는 “중국에선 애슬레저(운동복 겸 일상복) 시장이 2030을 중심으로 이제 막 뜨고 있다”며 “매장 방문 고객 중 80% 이상이 무조건 제품을 구매하고, 한 번 살 때 3~4벌 이상씩 사고 있을 만큼 매출 증가세가 빠르다”고 말했다.중국이 자국 업체 중심으로 구축해 놓은 배터리 생태계의 틈새를 파고든 기업도 있다. 2021년부터 경북 칠곡군에서 이차전지 분리막 장비를 만들고 있는 에스티영원은 중국에 분리막 생산 장비를 수출 중이다. 2022년부터 중국에만 99억, 지난해 568억, 올 상반기에만 460억원을 수출했다. 중국 분리막 제조 업체들은 주로 독일과 일본의 장비를 수입해 써왔는데, 에스티영원이 14~15개월 납기를 10개월까지 줄이고 가격도 20~30% 저렴하게 공급하자 잇따라 계약을 늘리고 있다. 권순식 에스티영원 대표는 “중국의 기술 수준이 많이 올라왔다고는 하지만, 아직 우리가 수출이 가능한 분야가 남아 있다”며 “절대 포기해선 안 되는 시장”이라고 말했다."
