date,title,content
2024-12-26,"코스맥스그룹, 2025년 정기 임원 인사... 연구조직 세분화","코스맥스그룹이 26일 정기 임원 인사를 단행했다. 코스맥스그룹 측은 ‘미래 경쟁력 확보’를 인사 핵심으로 내세우고 연구 조직을 대대적으로 개편했다.코스맥스CI/코스맥스이번 인사에서 이상인 코스맥스광저우 총경리(사장)가 코스맥스차이나 총경리로, 양치연 코스맥스차이나 마케팅 부문장(부사장)이 코스맥스광저우 총경리로 이동했다. 이상인 사장은 2017년부터 코스맥스광저우 총경리를 맡으며 ‘퍼펙트다이어리’ 등 중국 내 대형 브랜드와 거래를 성사시켜 법인 안정화에 기여했다는 평을 받고 있다. 양치연 부사장은 코로나 시기였던 2021년 코스맥스차이나 역대 최대 매출 달성에 기여하는 등 코스맥스 중국사업 확대에 일조했다. 코스맥스그룹 측은 “각 신임 총경리들이 기존 법인에서 성공 경험을 토대로 중국 화장품 시장에서 새로운 도약을 위한 기회를 발굴해 줄 것으로 기대한다”고 밝혔다.코스맥스그룹은 대표급 전보와 함께 ‘미래 경쟁력 강화’와 ‘다양성·역동성 확대’에 중점을 둔 임원 승진자 명단 28명을 공개했다.김남중 코스맥스 마케팅부문장(전무)과 김승민 코스맥스차이나 경영관리부문장(전무)이 부사장으로 승진했다. 김남중 부사장은 이번 승진과 함께 건강기능식품 관계사인 코스맥스엔비티 대표에 내정됐다.연구·혁신(Research&Innovation) 부문에선 10명의 승진자가 나왔다. 대표적으로 크림 제형 개발을 주도해 온 지진구 코스맥스CL랩장과 강병하 코스맥스차이나 제형연구소장이 펠로우1(Fellow1·상무급)으로 승진했다.코스맥스그룹은 이번 인사와 함께 핵심 연구 조직인 코스맥스 R&I센터를 대대적으로 개편했다. 제형별로 합쳐져 있던 조직을 세분화하고, 기존 18개 랩을 23개로 확대했다. 마스크시트와 팩 제형 강화를 위한PM랩과 친환경 포장재 전문성 강화를 위한PS랩을 각각 신설하고, 자외선차단제 혁신을 위한SC(SunCare)랩을 독립·확대했다.코스맥스그룹 측은 “세계적인 초격차 연구기술 경쟁력을 확보하고 세계 최고 수준의 기술 개발을 주도해 변화하는 고객 요구에 신속하게 대응하겠다”고 밝혔다.아래는 코스맥스그룹 임원 인사 명단.<코스맥스비티아이>◇ 전무 승진 ▲이진일◇ 상무보 승진 ▲김상준 ▲서미숙◇Fellow2(상무보급) 승진 ▲윤석균<코스맥스>◇ 부사장 승진 ▲김남중◇ 전무 승진 ▲박진호◇ 상무 승진 ▲신병모◇ 상무보 승진 ▲남중현 ▲여연화 ▲박미주◇Fellow1(상무급) 승진 ▲지진구◇Fellow2(상무보급) 승진 ▲김성용 ▲김정겸 ▲문선영 ▲여현주 ▲우수연<코스맥스차이나>◇ 사장 전보 및 총경리 선임 ▲이상인◇ 부사장 승진 ▲김승민◇Fellow1(상무급) 승진 ▲강병하<코스맥스광저우>◇ 부사장 전보 및 총경리 선임 ▲양치연<코스맥스타일랜드>◇ 상무 승진 ▲강민구<코스맥스엔비티>◇ 상무 승진 ▲박종철◇ 상무보 승진 ▲김도형 ▲김혜진 ▲문기화<코스맥스바이오>◇ 상무보 승진 ▲김재환 ▲박일서<코스맥스파마>◇ 상무보 승진 ▲박명훈<코스맥스네오>◇ 상무 승진 ▲박인성<코스맥스아이큐어>◇ 상무보 승진 ▲차지훈"
2024-12-27,[경제계 인사] 코스맥스차이나 총경리에 이상인 외,"코스맥스차이나 총경리에 이상인코스맥스그룹은 26일 코스맥스차이나 총경리(사장)에 이상인<사진> 코스맥스광저우 총경리를, 코스맥스광저우는 양치연 코스맥스차이나 마케팅부문장을 총경리로 선임했다고 밝혔다. 건강기능식품 관계사인 코스맥스엔비티 대표엔 김남중 코스맥스 마케팅부문장이 내정됐다.▲코스맥스비티아이▷전무 이진일▲코스맥스▷전무 박진호▷상무 신병모▲코스맥스차이나▷부사장 김승민▷상무 강병하▲코스맥스타일랜드▷상무 강민구▲코스맥스엔비티▷상무 박종철▲코스맥스네오▷상무 박인성KB금융지주 글로벌 부문장 이재근KB금융지주는 26일 이재근 현KB국민은행장을KB금융지주 글로벌 부문장으로, 이창권 현KB국민카드 사장을 디지털·IT부문장으로 임명했다.▲KB금융지주◇전무▷전략담당(CSO) 박영준▷리스크관리담당(CRO) 염홍선 ▲KB국민은행◇상임감사위원 이성재 ◇부행장▷디지털영업그룹 송병철▷기업고객그룹 송용훈▷여신관리심사그룹 윤준태▷준법감시인 이수진▷강남지역영업그룹 고덕균▷강북지역영업그룹 박선현▷개인고객그룹 곽산업▷영업그룹 박병곤▷CIB영업그룹 심재송▷AI·DT추진그룹 조영서▷경영지원그룹 최석문 ◇상무▷리스크관리그룹 박영진▷WM고객그룹 이윤석▷금융AI1센터장 김병집▷금융AI2센터장 이경종▲생명보험협회◇수석상무▷전략기획본부장 김인호"
2023-04-03,[경제계 인사] 코스맥스비티아이 대표 이병만·이병주,"코스맥스그룹은 이사회를 열고 지주사인 코스맥스비티아이 신임 대표에 이병만 전 코스맥스 대표(사장)와 이병주 전 코스맥스 미국법인 대표(사장)를 각각 선임했다고 2일 밝혔다. 이병만 대표는 코스맥스그룹 창업주인 이경수 회장의 장남, 이병주 대표는 차남이다."
2024-08-06,"코스맥스 임직원, 아이 세명 낳으면 6000만원 받는다","첫째 1000만원, 둘째 2000만원셋째부터는 3000만원 주기로코스맥스는 이달부터 출산하는 직원에게 △첫째 1,000만 원 △둘째 2,000만 원 △셋째 출생 시 3,000만 원을 각각 지원하는 업계 최대 규모의 출산장려금 제도를 신설한다고 5일 밝혔다. /코스맥스화장품 연구·개발·생산(ODM) 기업 코스맥스가 직원 출산 장려금 지원 제도를 신설, 세 아이를 낳아 키우는 직원에게 최대 6000만원을 지급한다고 5일 밝혔다. 기존에는 법정 육아휴직(1년)과 출산휴가(남성 10일, 여성 90일)만 지원했는데, 출산 장려금을 지급하고 육아휴직 제도도 확대하기로 했다. 코스맥스와 지주사 코스맥스비티아이(BTI) 임직원이 대상이다.코스맥스는 이달부터 임직원이 첫째를 출산하면 1000만원, 둘째는 2000만원, 셋째부터는 3000만원의 출산 장려금을 지급하기로 했다. 쌍둥이를 출산해도 같은 기준이 적용된다. 쌍둥이가 첫째·둘째면 각각 1000만원과 2000만원을, 둘째·셋째면 각각 2000만원과 3000만원을 받을 수 있다. 입사 전 아이가 있어도 입사 후에 둘째·셋째를 낳으면 각각 2000만원과 3000만원이 지급된다.육아휴직 때 결재 절차를 거치지 않는 ‘자동 육아휴직 제도’도 이달부터 시행한다. 코스맥스 측은 “휴직을 신청하려는 직원들이 눈치 보지 않고 자유롭게 할 수 있도록 절차를 간소화한 것”이라고 설명했다. 배우자가 아이를 출산했을 때 10일씩 쓸 수 있던 휴가는 최대 20일로 늘어난다. 초등학교 2학년(만 8세) 이하 자녀를 둔 직원은 유치원 학예회나 졸업식, 초등학교 입학식 등에 참석할 수 있게 유급휴가를 매년 이틀씩 더 받는다.코스맥스 관계자는 “저출생 위기 극복에 도움이 되기 위해 출산·양육 복지 정책 확대를 검토했고, 지난달 경영진 회의에서 세부 계획이 확정됐다”며 “직원들이 자녀 탄생과 성장의 기쁨을 온전히 느낄 수 있도록 적극적으로 지원하겠다”고 말했다."
2024-08-05,"코스맥스, 아이 셋 낳으면 6000만원 준다...육아휴직도 ‘자동 신청’","입사 후 셋째 낳아도 3000만원“눈치 보지 말고 써라” 육휴 자동신청“입학·졸업식 가라” 이틀 유급휴가코스맥스는 이달부터 출산하는 직원에게 △첫째 1000만원 △둘째 2000만원 △셋째부터는 3000만원을 각각 지원하는 출산장려금 제도를 신설한다고 5일 밝혔다. /코스맥스국내 화장품 연구·개발·생산(ODM) 기업 코스맥스가 이달부터 아이 셋을 낳은 직원에게 출산장려금 6000만원을 지급하기로 했다. 코스맥스와 지주사 코스맥스비티아이(BTI) 임직원이 대상이다. 기존에는 최대 1년의 법정 육아휴직과 출산휴가(남성 10일, 여성 90일)만 지원해왔지만, 새로운 제도를 계기로 출산·양육 지원을 확대해 체계적인 복지 시스템을 정립하겠다는 취지다.◇셋째 낳으면 3000만원 지급5일 코스맥스는 이달부터 임직원 대상 출산∙양육 복리후생 제도를 확대한다며 이 같이 밝혔다. 이달부터 출산하는 직원에게는 △첫째 1000만원 △둘째 2000만원 △셋째 이상 출생 시 3000만원을 출산장려금으로 지원한다.쌍둥이를 출산해도 일반 출산과 동일하게 지급한다. 예를 들어 첫째·둘째 쌍둥이를 낳으면 각 1000만원과 2000만원을, 둘째·셋째 쌍둥이를 낳으면 각 2000만원과 3000만원을 받을 수 있다. 이미 코스맥스에 입사하기 전에 아이를 낳았더라도 입사 후 둘째나 셋째를 낳으면 각각 2000만원과 3000만원이 지급된다.◇결재절차 없앤 ‘자동 육아휴직’ 도입육아휴직 제도도 대폭 개편된다. 육아휴직을 눈치 보지 않고 쓸 수 있도록 하는 ‘자동 육아휴직 제도’가 이달 중 시행된다. 회사에 신청하기만 하면 별도의 결재 절차 없이 육아휴직이 적용된다. 출산한 여성 직원은 자동으로 6개월, 남성 직원도 법정 배우자 출산휴가(10일) 이후 1달 동안 ‘아빠 당연 육아휴직’이 자동 적용된다.이미 코스맥스는 임신 중인 여성 직원이나 초등학교 2학년(만 8세) 이하 자녀를 양육하려는 남녀 직원 전체에게 육아휴직을 최대 1년까지 보장하고 있다. 자동으로 신청된 육아휴직이 끝나더라도 이미 보장된 육아휴직을 1년 한도 내에서 자율적으로 쓸 수 있다는 뜻이다.◇원하면 출산휴가 10일 더…“입학·졸업식 가라” 유급휴가도이 밖에도 양육 환경에 따라 선택적으로 사용할 수 있는 배우자 출산휴가 제도도 이달 중으로 확대 시행된다. 배우자가 아이를 낳으면 법정 출산휴가를 10일까지 쓸 수 있었는데, 희망할 경우 최대 10일의 무급휴가를 더 쓸 수 있게 된다. 초등학교 2학년(만 8세) 이하 자녀를 둔 임직원이 자녀 입학식·졸업식에 참석할 수 있도록 연간 이틀의 유급휴가를 ‘자녀 돌봄 휴가’ 명목으로 부여한다.코스맥스 관계자는 “출산 양육·복지와 관련해서는 이미 수년 전부터 내부적으로 환경 및 나눔 경영의 일환으로 계속 논의해왔다”며 “경영진 회의를 거친 후 구체적인 시행 방안이 지난 달 최종 확정됐고, 정부의 저출생 위기 해결 독려 분위기와 산업·업계 상황 등을 반영해 세부 시행계획을 결정했다”고 설명했다."
2023-12-27,[경제계 인사] 한진 외,▲한진▷전무 이충규▷상무 송대길 이혜준▲키움증권▷사장 엄주성▷전무 구성민▷상무 김지산▲키움투자자산운용▷부사장 김기현▷전무 김재호▷상무 윤진웅 박동귀▲키움인베스트먼트▷전무 김대현▲키움캐피탈▷사장 최창민▲키움에프앤아이▷부사장 송호영▲코스맥스비티아이▷상무 이경훈 김경록▷상무보 윤상호▲코스맥스▷상무 박형근 신봉철 이준배 이화영▷상무보 박래혁 윤성현 최석원 임현주▲코스맥스차이나▷사장 박명삼▷상무 정윤성▷상무보 서동하 이광수▲코스맥스광저우▷상무보 박상식▲코스맥스인도네시아▷전무 이영하▷상무보 이용현▲코스맥스엔비티▷전무 임재연 김세혁▲코스맥스엔비티USA▷부사장 안재식▲코스맥스엔비티차이나▷상무 김관용▲코스맥스바이오▷상무보 김호기▲코스맥스네오▷상무보 조형근
2023-08-14,[부음] 유용태 前 강릉경찰서장 별세 외,"▲유용태前 강릉경찰서장 별세,엄안자남편상,유상철HJ중공업 대표·유황근그룹 마카 대표 부친상,정재인장인상=12일20시30분 강원 춘천 호반장례식장, 발인 15일8시, (033)254-9102▲이은규별세,이길성조선일보 경영기획부장·이창성KB국민은행 당감동 지점장·이미화영도구청 근무 부친상=13일5시 부산 인창병원, 발인 15일11시, (051)464-5822▲정영섭前 광진구청장 별세,정일화·정은경·정은하부친상,김흥배인터캐피탈 전무이사,지준한성대학교 교수 장인상=12일11시 서울아산병원, 발인 15일7시40분, (02)3010-2000▲최동연별세,최종욱·최미숙금천경찰서 경감·최종상경찰대학 치안정책연구소장·최서우·최종진광진경찰서 경위 부친상,홍재호·문제윤장인상=13일3시 전남 구례병원, 발인 15일9시, (061)783-1400▲한순화별세,임상규·임시연·임성화모친상,이호영LG업무지원담당 상무·이병만코스맥스비티아이 대표 장모상=13일1시15분 여의도성모병원, 발인 15일10시, (02)3779-1918"
2022-06-29,"현대차, 정진기 언론문화상 과학부문 대상","정진기언론문화재단은 제40회 정진기언론문화상 과학기술 연구 부문 대상 수상자로 현대자동차가 선정됐다고 밝혔다. 전기차의 시동과 주행, 충전 등 주요 기능을 제어하는 전기차 전용 차량 제어기를 개발한 공로를 인정받았다. 우수상은 피부 장벽을 구성하는 새 미생물 그룹을 찾아내고 상품화에 성공한 이동걸 코스맥스비티아이 R&I 센터 수석 연구원이 받는다. 경제·경영 도서 부문 대상에는 신재용 서울대 경영학과 교수가 저술한 ‘공정한 보상’이 선정됐다."
2022-12-30,[경제계 인사] 신한은행 외,▲신한은행◇경영진 신규 선임▷경영기획그룹 김기흥 부행장▷기업그룹 김윤홍 부행장▷디지털전략사업그룹 임수한 부행장▷ICT그룹 황인하 부행장▷경영지원그룹 용운호 부행장▷연금사업그룹 박의식 상무▷정보보호본부 윤준호 상무◇준법감시인 신규 선임▷이영호 상무▲신한금융지주◇본부장 전보▷원신한지원부 천상영▲DB손해보험◇부문장 승진▷개인사업부 안승기◇상무 신규 선임▷자산운용리서치 홍헌표▲코스맥스비티아이▷부사장 신윤서▷전무 강승현▲코스맥스▷사장 박명삼▷전무 홍장욱 박천호▷상무 김선철 전용석▷이사 김종수 최재우▲코스맥스차이나▷전무 김영희▲코스맥스인도네시아▷전무 정민경▲코스맥스엔비티▷전무 권순구▷상무 정해정▲코스맥스바이오▷전무 정현묵▲한국항공우주산업▷상무 김지홍▷상무보 최종원 김재홍 박종인 강민성 태진수 신상준▲풍산홀딩스▷부회장 박우동 ▷전무 류승훈 ▲풍산▷부사장 서정국 ▷전무 우제원 남정대 ▷상무 김순철 윤영태 박철민 박진홍
2023-12-26,12월 27일 인사,⊙ 문화체육관광부 <임용> ◇고위공무원 △장관정책보좌관 김기동 <전보> ◇과장급 △국민소통실 정책포털 표광종⊙ 국토교통부 <전보> ◇과장급 △장관실 비서실장 성호철⊙ 여성가족부 <전보> ◇과장급 △운영지원 남상희 △청소년활동진흥 양철수 △청소년자립지원 유정미⊙ 국세청 ◇고위공무원 가급 △부산국세청장 김동일 ◇고위공무원 나급 △인천국세청장 박수복 △징세법무국장 양동훈 △개인납세국장 민주원 △복지세정관리단장 이승수 △서울국세청 조사3국장 이성진 △중부국세청 징세송무국장 정용대 △〃 조사2국장 한창목 △부산국세청 성실납세지원국장 양철호 △〃 징세송무국장 최영준 △〃 조사1국장 유재준 △〃 조사2국장 지성⊙ 경찰청 <승진> ◇경무관 <과장> △경찰청 경제범죄수사 김종민 △〃 반부패·공공범죄수사 임경우 △〃 치안상황대응 김성재 △〃 치안상황 송유철  △〃 과학수사 이상국 △〃 미래치안정책 강상길 △서울청 경무기획 강순보 △〃 경비 주진우 △〃 치안정보분석 이관형 △강원청 경비 이동우 △전북청 〃 임종명 △경기남부청 수사 송병선 △인천청 형사 오승진 △충북청 경무기획정보화장비 신효섭 △부산청 경무기획 김만수 △대구청 범죄예방대응 최미섭 <담당> △경남청 생활안전부 강기중  △서울청 경무부 경무기획 남제현 <서장> △경기 남부청 평택 김진태 △서울청 혜화 박종섭 △전남청 순천 김남희 <담당관> △경찰청 수사심사정책 김형률 △〃 홍보 김동욱 △〃 인사 박재현 △〃 감찰 허명구 △부산청 청문감사인권 이봉균 △서울청 홍보 김문영 △경북청 〃 유오재 △전남청 112치안종합상황실장 임태오 △제주청 〃 오인구 △서울청 101경비단 부단장 조정래⊙ 한국연구재단 <승진> △정책연구실장 조영돈 <전보> △인문사회연구기획실장 강병옥 △학술총괄〃 허정은 △대학교육〃 문선영⊙ 한국철도기술연구원 ◇수석연구원 △철도시험인증센터 이영훈 신덕호 △신교통혁신연구소 윤혁진 △미래교통물류연구소 김정현 이경철 박기준 △차세대철도차량본부 이호용 △첨단궤도토목본부 고태훈 최일윤 △스마트전기신호본부 김명룡 이우동 △기획조정본부 문진한⊙ 중소기업중앙회 <승진> ◇1급 △제조혁신실 김기훈 △공제기획실 박승찬 △외국인력지원실 이기중⊙ 서울신문 ◇상무 △프레스센터본부장 이호정 △경영〃 김재욱 ◇상무보 △콘텐츠본부장 겸 편집인 김성수 △논설실장 진경호 △마케팅본부장 안미현 △마케팅본부 부본부장(사업담당) 임철재 △마케팅본부ESG위원장 문소영 ◇이사 △프레스센터본부 부본부장(제작담당) 한정일⊙ 티브이조선 <보도본부> △부본부장 김동욱 △보도국장 이재홍 △팩트체크장 구본승 △보도운영부장 정인영 ◇보도위원실 △보도해설위원 장원준 △편집에디터 박영석 ◇보도국 △경제부장 안형영 △사회〃 최현묵 △사회정책〃 윤슬기 △전국〃 이일주 △편집2〃 안석호⊙ 디지비(DGB)금융그룹 <승진>DGB금융지주 ◇부사장 △그룹감사총괄 김철호 △ESG전략경영연구소장 겸 이사회사무국장 강정훈 ◇전무 △그룹지속가능경영총괄 성태문 ◇상무 △그룹준법감시인 박성진 대구은행 ◇부행장 △ICT그룹 이상근 △영업지원그룹 이해원 ◇부행장보 △기업고객그룹 박동희 △자금시장그룹 이종우 △공공금융그룹 김기만 ◇상무 △여신그룹 신성우⊙ 대신파이낸셜그룹 <임명> 대신증권 ◇이사대우(영업점장) △부산센터 권현미 ◇이사대우(부서장) △결제업무부 이선영 △신기술금융본부 윤병권 대신저축은행 ◇이사대우(부서장) △기업금융부 이형 대신자산신탁 ◇이사대우(부서장) △신탁1본부 김동욱 대신경제연구소 ◇이사대우(부서장) △지속가능센터 안상희 대신프라이빗에쿼티 ◇이사대우(부서장) △경영관리본부 배광록⊙ 다우키움그룹 <승진> 키움증권 △사장 엄주성 △전무 구성민 △상무 김지산 △상무보 김태현 장지영 김기만 오성욱 박상욱 김대욱 홍완기 △이사 구명훈 민석주 정상협 △이사대우 이종형 고강인 최명재 박영권 이영정 박종현 키움투자자산운용 △부사장 김기현 △전무 김재호 △상무 윤진웅 박동귀 △상무보 안형상 김안호 김흥수 △이사 김종협 △이사대우 노신윤 조미영 김경주 키움인베스트먼트 △전무 김대현 △이사대우 조명수 키움프라이빗에쿼티 △이사 김석태 키움캐피탈 △사장 최창민 △상무보 김영남 키움에프앤아이 △부사장 송호영 △이사대우 장준수⊙ 코스맥스그룹 <승진> 코스맥스비티아이 ◇상무 △이경훈 김경록 ◇상무보 △윤상호 코스맥스 ◇상무 △박형근 신봉철 ◇상무보 △박래혁 윤성현 ◇연구직Fellow1(상무급) △이준배 이화영 ◇연구직Fellow2(상무보급) △최석원 임현주 코스맥스차이나 ◇사장 △박명삼 ◇상무 △정윤성 ◇상무보 △서동하 이광수 코스맥스광저우 ◇상무보 △박상식 코스맥스인도네시아 ◇전무 △이영하 ◇상무보 △이용현 코스맥스엔비티 ◇전무 △임재연 김세혁 코스맥스엔비티USA◇부사장 △안재식 코스맥스엔비티차이나 ◇상무 △김관용 코스맥스바이오 ◇상무보 △김호기 코스맥스네오 ◇상무보 △조형근⊙ 웅진그룹 <선임> 웅진 ◇상무 △금융팀장 김현호 △DCS사업본부장 신성철 웅진씽크빅 ◇상무 △도서개발실장 안경숙⊙ 한진 <승진> ◇임원 △전무 이충규 △상무 송대길 이혜준
