date,title,content
2023-11-10,"키움증권 대표, 영풍제지 미수금 사태로 사임","황현순 키움증권 대표가 지난달 28일 오전 서울 영등포구 여의도 금융투자협회에서 열린 증권사CEO시장현안 소통회의 후 취재진의 질문을 받고 있다. /뉴스1키움증권 황현순 대표가 영풍제지 미수금 사태에 책임을 지고 사임하기로 했다. 키움증권은 9일 “황 대표가 대규모 미수 채권 발생에 따른 도의적 책임을 지기 위해 이사회에 사임 의사를 전달했다”고 밝혔다.올 들어 주가가 이상 급등한 영풍제지에 대해 다른 증권사들은 미수 거래를 차단했다. 미수 거래는 정해진 증거금률만 내고 나머지는 해당 종목을 담보로 증권사로부터 초단기로 돈을 빌려 투자하는 방식이다. 하지만 키움증권만은 증거금률을 40%로 유지하면서 미수 거래가 가능하도록 내버려뒀다. 이런 상황에서 지난달 18일 영풍제지가 시세조종에 연루됐다는 소식이 전해지자 영풍제지 주가는 하한가로 떨어졌고, 거래는 정지됐다. 그 직후 키움증권엔 영풍제지와 관련, 4943억원의 미수금이 쌓였다. 26일 거래가 재개돼 키움증권은 담보로 잡혀 있는 주식을 팔아 채권을 회수하는 반대 매매에 나섰지만, 영풍제지 주가가 6거래일 연속 하한가를 기록하면서 4943억원의 미수금 중 610억원을 회수하는 데 그쳤다.키움증권은 오는 16일 이사회를 열고 황 대표 사임에 따른 후속 방안을 논의할 예정이다. 업계에선 키움증권 전략기획본부 엄주성 부사장, 홀세일총괄본부 박연채 부사장 등이 후임으로 거론된다."
2023-11-08,"키움증권, 영풍제지 미수금 4943억 중 610억만 회수","키움증권이 지난달 말 ‘영풍제지 하한가 사태’로 발생한 4943억원의 미수금 중 610억원만 반대매매로 회수했다고 밝혔다.키움증권은 지난 6일 장 마감 후 공시를 통해 “영풍제지 거래 재개 후 반대매매 대상 수량이 모두 체결돼 미수금을 일부 회수했다”며 “현재 미수금은 약 4333억원”이라고 밝혔다. 반대매매로 고작 610억원을 회수하는 데 그친 것이다.초단기 돈을 빌려 주식을 사는 미수 거래를 이용한 투자자는 2거래일 뒤 증권사에 돈을 갚아야 한다. 만약 빌린 돈을 갚지 못하면 증권사는 투자자의 주식을 강제로 팔아 빚을 회수한다. 이를 반대매매라고 한다.시세 조종에 연루된 영풍제지는 지난달 26일 거래를 재개했지만 지난 2일까지 6거래일 연속 하한가를 맞으며 반대매매가 원활하게 이뤄지지 못했다.현재 남은 4000억원대 미수금은 키움증권의 3분기 잠정 순이익 2040억원의 2배가 넘는 규모다. 키움증권 측은 “고객과 상환 협의, 법적 조치 등 미수금 회수를 위해 최대한 노력할 예정”이라며 “고객의 변제에 따라 최종 미수 채권 금액은 감소될 수 있으며, 손실액은 4분기 실적에 반영할 계획”이라고 밝혔다. 이 같은 소식이 알려진 7일 키움증권 주가는 1.7% 하락 마감했다."
2023-10-23,"주가조작 연루된 강제매각 하루 5200억, 키움증권發 폭락 사태","하루에 5200억원 쏟아져… 미수금 대비 비율도 사상 최고치초단기로 돈을 빌려 주식을 샀다가 이를 갚지 못해 주식을 강제로 처분당하는 반대매매가 사상 최고로 치솟았다. 이렇게 ‘빚투’(빚내서 투자) 경고음이 커지는 가운데 키움증권이 영풍제지 하한가 사태로 5000억원 가까운 미수금이 발생했다고 밝혔다. 주가 조작까지 연루된 빚투가 반대매매를 부를 악순환 우려도 커지고 있다.22일 금융투자협회에 따르면 지난 19일 기준 미수 거래 반대매매 규모는 5257억원을 기록, 관련 통계를 집계한 2006년 4월 이후 17년 만에 최대를 기록했다. 지난달 하루 평균 반대매매 규모(510억원)의 10배를 뛰어넘는다. 미수 거래란 종목별로 정해진 증거금률만큼만 내고, 나머지는 증권사로부터 돈을 빌려 주식을 사는 투자 방식이다. 예를 들어 특정 종목의 증거금률이 40%라면, 100만원어치 주식을 살 때 투자자는 40만원만 내고 나머지 60만원은 증권사로부터 빌려 살 수 있다. 미수 거래를 이용한 투자자는 2거래일 뒤 증권사에 돈을 갚아야 한다. 만약 빌린 돈을 갚지 못하면 증권사는 투자자의 주식을 강제로 팔아 빚을 회수한다. 이를 반대매매라고 한다. 반대매매가 큰 폭으로 늘었다는 건 빚투에 나선 투자자가 돈을 갚지 못해 주식을 강제로 팔아치운 경우가 늘었다는 것을 뜻한다. 미수금(투자자가 미수 거래로 돈을 빌렸다가 갚지 못한 돈) 대비 반대매매 금액의 비율을 의미하는 반대매매 비율(69%) 역시 사상 최고치로 뛰어올랐다. 글로벌 금융 위기 상황이었던 2008년에도 미수금 대비 반대매매 비율 최고치는 23%(2008년 10월 27일)에 불과했다.그래픽=김의균◇미수 거래로 몰리는 빚투반대매매 규모와 비율이 사상 최고치로 뛰어오른 것은 우선 주가가 투자자의 예상과 달리 하락했기 때문으로 풀이된다. 지난 9월 15일 2601.28이었던 코스피는 한 달이 채 되지 않은 이달 10일 2402.58까지 200포인트(7.6%) 가까이 내렸다. 이에 주가를 단기 저점이라고 생각한 일부 투자자들이 이익을 극대화하기 위해 증권사로부터 대거 돈을 빌려 투자에 나선 것이다. 하지만 코스피는 미국 국채 금리 급등이 계속되고 중동발 긴장이 고조되면서 20일 오히려 올해 1월 중순 이후 최저치인 2375로 내렸다.일각에선 지난 4월 말SG증권발 무더기 주가 하락 사태로 증권사들이 차액결제거래(CFD) 문턱을 높이면서 빚투에 나선 투자자들이 대거 미수 거래로 몰렸다는 분석도 나온다.CFD는 투자자가 증거금 40%로 최대 2.5배까지 주식에 투자한 뒤 나중에 시세 차익만 정산하는 장외 파생 상품이다. 자기 자금이 적어도 돈을 빌려 주식 투자를 할 수 있게 해줘서 빚투 수단 중 하나였다. 하지만 ‘라덕연 일당’의 주가 조작을 촉발했다는 지적을 받자CFD규제가 강화됐다. 그러자 이번엔 개인 투자자들이 미수 거래로 방향을 바꿨다는 것이다.◇키움증권 미수금 4900억 발생이런 상황에서 최근 주가 조작에 연루된 의혹이 있는 영풍제지의 하한가로 한 증권사에서 대규모 미수금이 발생했다. 지난 20일 장 마감 후 키움증권은 “영풍제지 하한가로 미수금 4943억원이 발생했다”고 공시했다. 영풍제지는 특별한 호재가 없었음에도 올 들어 7배 이상으로 주가가 뛰었다가 지난 19일 하한가를 기록했고 20일 거래가 정지됐다. 이에 투자자들이 키움증권에서 미수거래를 위해 빌린 돈을 갚지 못하는 사례가 속출하면서 5000억원에 가까운 미수금이 발생한 것이다. 키움증권은 영풍제지 거래가 재개되면 반대매매를 통해 미수금을 회수할 계획이다. 이 경우 반대매매가 쏟아지면서 주가가 하락해 다시 반대매매를 부르는 악순환이 생길 가능성도 제기된다.증권가에선 키움증권의 부실한 내부 통제가 주가 조작의 빌미를 제공하고 투자자 피해를 키웠다는 말이 나온다. 주요 증권사들은 올 초부터 지난 7월까지 영풍제지 증거금률을 100%로 올리면서 미수 거래를 막았다. 그런데 키움은 40%로 유지하다가 19일에서야 100%로 올렸기 때문이다. 실제 영풍제지 주가 조작 혐의를 받는 세력은 100여 개에 달하는 계좌를 동원해 영풍제지 시세를 조종했는데, 이 계좌 중 상당수가 키움증권 계좌인 것으로 알려졌다. 한 증권사 임원은 “키움은 지난 4월SG증권발 주가 폭락 사태 때 곤욕을 치렀음에도 내부 통제 프로세스가 제대로 작동하지 않는 것 같다”고 꼬집었다."
2023-10-23,"키움증권, 영풍제지 미수금 공시에 주가 20% 넘게 급락","키움증권 본사. /뉴스1국내 온라인 주식 거래의 강자 키움증권이 연이어 주가조작 사태에 휘말리며 뭇매를 맞고 있다. 지난 4월 말SG증권발(發) 무더기 하한가 사태 때 키움증권이 속한 다우키움그룹 김익래 회장이 대규모로 주식을 팔았다는 의혹이 제기된 데 이어, 이번엔 허술한 리스크 관리로 영풍제지 시세 조종을 사실상 방치했다는 비판을 받는다.23일 키움증권 주가는 영풍제지 하한가 사태로 약 5000억원의 미수금이 발생했다는 소식에 20% 넘게 급락했다. 이날 장 초반부터 약세를 보인 키움증권은 전 거래일 대비 23.9% 하락한 7만6300원에 거래를 마쳤다.키움증권은 지난 20일 장 마감 이후 “영풍제지 하한가로 미수금 4943억원이 발생했다”고 공시했다. 미수금이 올 상반기 키움증권 순이익(4258억원)을 넘어서는 규모다. 키움증권은 영풍제지 거래가 재개되면 반대매매를 통해 미수금을 회수할 계획이지만, 주가가 추가로 하락할 가능성이 높기 때문에 회수가 쉽지 않을 것으로 보인다.온라인 주식 커뮤니티에선 키움증권을 향해 “개미들이 제일 많이 사용하는 증권사인데 뒤통수를 쳤다” “올해만 벌써 두 번째. 제대로 책임을 물어야 한다”는 불만이 터져나왔다.주가조작 일당 놀이터 된 키움증권영풍제지는 특별한 호재성 공시 없이 올해만 주가가 7배 이상 뛰었다가 지난 19일 돌연 하한가를 기록했고, 이튿날부터 거래가 정지됐다. 시세조종 혐의를 받고 있는 피의자 4명은 지난 20일 검찰에 구속됐다.이에 투자자들이 키움증권에서 미수거래를 위해 빌린 돈을 갚지 못하는 사례가 속출하면서 5000억원에 육박하는 미수금이 발생했다. 미수거래란 정해진 증거금률만 내고 나머지는 증권사에서 빌려 주식을 산 뒤 2거래일 이전까지 증권사에 돈을 갚는 초단기 ‘빚투’(빚내서 투자) 방식이다.그래픽=김현국대부분 증권사들은 석연치 않은 주가 흐름을 보인 영풍제지의 미수거래를 막았다. 삼성·미래에셋·NH투자·한국투자·신한투자증권 등은 한국거래소가 영풍제지를 올해 두 차례나 투자주의 종목으로 지정하며 경고하자 지난 7월까지 증거금률을 100%로 올려 사실상 미수거래를 차단했다. 전액 현금으로만 매수할 수 있게 한 것이다.반면 키움증권은 영풍제지 미수거래 증거금률을 40%로 유지해오다 해당 종목이 하한가를 기록한 지난 19일에야 100%로 조정했다. 증권가에선 주가 조작 세력이 그간 증거금률이 낮은 키움증권 계좌를 통해 돈을 빌려 주식을 사는 방식으로 주가를 띄웠을 가능성이 높은 것으로 보고 있다.금융 당국에 따르면 영풍제지 시세 조종 일당은 약 1년간 100여 개의 계좌를 동원해 영풍제지 주가를 조금씩 끌어올렸는데, 의심 계좌의 상당수가 키움증권에서 개설된 것으로 알려졌다. 키움증권이 허술한 리스크 관리로 영풍제지 주가 조작 일당에게 판을 깔아줬다는 지적이 나오는 이유다. 최근 60거래일간 영풍제지 주식 거래가 가장 많았던 증권사는 키움증권(순매수 673만주)으로 한국투자증권(91만주 순매도), 제이피모건(12만주 순매수) 등 다른 증권사를 압도했다.그래픽=김현국키움증권이 주가 조작과 관련해 연이어 구설에 오르자 투자자들의 불신은 확대되고 있다.SG증권발 주가 폭락 사태 이후 다른 증권사들은 리스크 관리를 강화했지만, 정작 당사자인 키움증권은 안이하게 대처했기 때문이다.키움증권 실적 충격 불가피증권사들은 키움증권의 실적 눈높이를 낮추고 있다. 5000억원에 달하는 영풍제지 미수금 회수 가능성이 낮기 때문이다.삼성증권 정민기 연구원은 이날 키움증권에 대한 보고서에서 “영풍제지가 거래 재개된 후 3거래일 연속 하한가를 기록할 경우 (미수금 중) 2000억원, 5거래일 연속 하한가일 경우 약 3500억원의 손실이 예상된다”고 지적했다.KB증권도 이날 보고서에서 키움증권의 올해 영업이익 추정치를 23% 낮췄다. 목표 주가는 현 13만원에서 12만3000원으로 5.4% 하향 조정했다.키움증권 신용도가 영향을 받을 가능성도 있다. 나이스신용평가 이규희 책임연구원은 “이번 사태가 키움증권의 평판 및 신뢰도에 영향을 미쳐 고객기반 훼손으로 이어지면 중장기적 실적 저하가 나타날 가능성이 있다”며 “미수금 확정 손실 규모 및 영업 기반 훼손 가능성 등을 점검하고 필요 시 신용도에 반영할 예정”이라고 밝혔다."
2023-10-23,영풍제지 사태로 증권사 중 키움만 주가 24% 폭락한 이유,"키움증권 본사./뉴스1영풍제지 하한가 사태로 약 5000억원의 미수금이 발생한 키움증권 주가가 24% 가까이 폭락했다.23일 서울 주식시장에서 키움증권 주가는 전날보다 23.93% 내린 7만6300원에 마감했다. 지난 19일 시세조종 의혹으로 매매거래가 정지된 영풍제지 사태의 여파로 해석된다.키움증권은 지난 20일 장 마감 이후 공시를 통해 “영풍제지 하한가로 인해 고객 위탁계좌에서 4943억원의 미수금이 발생했다”고 밝혔다. 영풍제지는 올 들어 700% 넘게 급등했다가 지난 18일 돌연 하한가를 기록했고 19일부터는 거래가 정지된 상태다. 검찰은 자본시장법 위반 혐의로 영풍제지 주가조작 일당을 체포하고 이들 주거지 등을 압수수색했다.앞서 미래에셋증권과 한국투자증권,NH투자증권 등 주요 증권사들은 지난 7월까지 영풍제지 증거금률을 100%로 상향하는 등 사실상 미수거래를 막았다. 반면 키움증권은 최근까지도 영풍제지 증거금률을 40%로 유지하다가 거래가 정지된 19일에서야 100%로 조정했다. 이에 키움증권의 리스크 관리 시스템에 허점이 있는 것 아니냐는 지적이 나오고 있다.증권가에선 키움증권의 4분기 실적 쇼크를 우려하고 있다.KB증권은 이날 영풍제지 미수금 관련 비용 부담을 이유로 키움증권의 올해 연간 이익 전망치를 전년 대비 23.3% 하향 조정했다. 또 목표주가를 기존 13만원에서 12만3000원으로 낮췄다. 강승건KB증권 연구원은 “영풍제지의 거래정지 전 3일 평균 거래대금이 3464억원이었다는 점을 감안하면 미수거래가 비정상적으로 큰 비중을 차지했으며 키움증권에 쏠림 현상이 나타났다고 판단된다”고 설명했다.키움증권의 예상 손실금은 영풍제지 거래정지가 풀린 뒤 반대매매가 종료된 이후 1차적으로 집계될 예정이다."
2023-07-28,"검찰, ‘SG 주가 폭락’ 연루 의혹 키움증권 압수수색","소시에테제네랄(SG)증권발 주가폭락 사태를 수사 중인 검찰이 28일 키움증권을 압수수색하고 있다./뉴스1소시에테제네랄(SG)증권발 주가 폭락 사태를 수사 중인 검찰이 28일 다우키움그룹 김익래(73) 전 회장을 입건하고 키움증권을 압수 수색했다.서울남부지검 금융증권범죄합동수사부(부장 단성한)는 이날 오전 서울 영등포구 여의도에 있는 키움증권 본사와 김 전 회장 자택에 검사와 수사관을 보내 폭락 당시 거래 내역 등 자료를 확보하고 있다. 압수수색에 앞서 김 전 회장을 자본시장법 위반 등 혐의로 입건하기도 했다.다우키움그룹 김익래(73) 전 회장은 지난 4월SG증권발 주가 폭락 사태가 벌어지기 직전 급락 종목 중 하나인 다우데이타 주식을 대량 매도해 폭락 사태와 연관된 것 아니냐는 의혹을 받고 있다. 그는 논란이 커지자 지난 5월 그룹 회장과 키움 증권 이사회 의장 자리에서 물러났다.김 전 회장은 지난 4월 20일 다우키움그룹의 지주사인 다우데이타 주식 140만 주를 시간외매매로 매도해 약 605억원을 확보했다. 금융감독원 전자공시시스템에 따르면 김 전 회장은 주당 4만3245원에 주식을 처분했다.하지만 그로부터 2거래일 뒤인 4월 24일,SG증권을 통해 나온 매도 물량으로 다우데이타를 비롯해 서울가스·선광·삼천리 등 8개 종목 주가가 폭락하면서SG증권발 주가 폭락 사태가 발생했다. 같은 달 27일 다우데이타 주가는 1만6490원을 기록해 김 전 회장이 팔았던 가격보다 62%나 폭락했다.이에 대해 김 전 회장 측은 지난 2021년 자녀들에게 주식을 증여하면서 생긴 증여세를 내기 위해 일부 지분을 매도한 것이라고 설명했다. 그러나 이번 사태의 주가 조작 몸통으로 지목된 라덕연 H투자컨설팅업체 대표는 “김 회장이 승계 목적으로 다우데이타 주가를 내리기 위해 대량 매도를 해 주가 폭락을 유발했다”고 주장했다.앞서 검찰은 지난 5월 24일 키움증권,KB증권에 대해 압수 수색을 벌인 바 있다.라 대표 등과 일당들은 이미 자본시장법·범죄수익은닉규제법 위반 혐의로 서울남부지법에서 재판을 받고 있다. 라 대표 일당은 2019년 5월부터 지난 4월까지 매수·매도가를 미리 정해놓고 주식을 사고파는 통정매매 등 방식으로 8개 상장사 주가를 띄워 약 7305억원의 부당이익을 올린 혐의를 받는다."
2023-05-24,"檢, ‘SG사태’ 관련 키움증권·KB증권 압수수색","서울 영등포구 여의도 키움증권 본사 /뉴스1SG증권발 주가 폭락 사태를 수사 중인 검찰이 24일 키움증권을 압수 수색하고 있다.서울남부지검은 이날 오전부터 서울 여의도에 있는 키움증권 본사를 압수 수색하고 있다고 밝혔다. 검찰은 이번 주가 폭락 사태의 핵심 인물로 지목된 라덕연(42) H투자컨설팅업체 대표 등이 주가 조작에 이용한 것으로 알려진 차액결제거래(CFD)와 관련된 기록을 확보하고 있다.CFD는 투자자가 40%가량의 증거금으로 2.5배만큼 주식을 주문한 뒤 나중에 시세 차액만 정산하는 고위험 상품이다. 주식이 없어도 증거금(담보액)만 내면 증권사가 대신 매매한 뒤 차익은 투자자에게 주고 증권사는 수수료를 가져간다. 증권업계에선 투자자가 아닌 증권사가 주식을 사고팔기 때문에, 주가 조작 세력이 노출을 피하고자CFD계좌를 이용한 것으로 보고 있다.이번 주가 폭락 사태는 외국계 증권사인SG증권의CFD계좌에서 별다른 이유 없이 8개 종목에 대한 대량 매도가 발생하면서 시작됐다. 이후 주가가 급락하자 이 계좌에 돈을 빌려준 증권사들이 반대매매(대출금 상환을 위해 담보로 잡은 주식을 강제 매각하는 것)에 나서며 급락 폭이 커진 것으로 알려졌다.한편 다우키움그룹 김익래(73) 전 회장은SG증권발 주가 폭락 사태가 벌어지기 직전 급락 종목 중 하나인 다우데이타 주식을 대량 매도했는데, 이와 관련해 주가 조작 세력과 연관된 것 아니냐는 의혹을 받고 있다. 검찰의 이번 압수 수색이 김 전 회장에 대한 것은 아닌 것으로 전해졌다.김 회장은 지난달 20일 다우키움그룹의 지주사인 다우데이타 주식 140만주를 시간외매매로 매도해 약 605억원을 확보했다. 금융감독원 전자공시시스템에 따르면 주당 4만3245원에 처분했고, 이로 인해 김 회장의 다우데이타 보유 지분은 26.66%에서 23.01%로 감소했다.하지만 그로부터 2거래일 뒤인 지난달 24일,SG증권을 통해 나온 매도 물량으로 다우데이타를 비롯해 서울가스·선광·삼천리 등 8개 종목 주가가 폭락하면서SG증권발 주가 폭락 사태가 발생했다. 데우데이타 주식 역시 하락했고 지난달 27일 다우데이타 주가는 1만6490원을 기록했다. 김 회장이 팔았던 가격보다 62%나 폭락한 것이다.이에 대해 김 회장 측은 지난 2021년 자녀들에게 주식을 증여하면서 생긴 증여세를 내기 위해 일부 지분을 매도한 것이라고 설명했다. 김 회장이SG증권발 폭락 사태가 발생하기 직전에 주식을 매도한 것은 우연이라고 했다.그러나 이번 사태의 주가 조작 몸통으로 지목된 라덕연 H투자컨설팅업체 대표는 “김익래 다우키움그룹 회장이 승계 목적으로 다우데이타 주가를 내리기 위해 대량 매도를 해 주가 폭락을 유발했다”고 주장하고 있다.한편 검찰은 키움증권과 함께 서울 여의도에 있는KB증권에 대해서도 압수 수색을 진행하고 있다.KB증권도 라 대표 등 주가 조작 일당이 시세 조종에 활용한CFD계좌를 개설한 증권사 중 한 곳이다."
2023-05-10,"키움증권, 호실적에도 목표주가 낮아져… SG발 폭락 사태의 그림자","지난 4일 서울 영등포구 여의도 키움증권 본사 모습. /뉴스1SG증권발(發) 주가 폭락 사태의 불똥이 튀고 있는 키움증권이 1분기(1~3일) 호실적을 기록했지만, 증권가 일부 애널리스트는 오히려 목표 주가를 낮춰 잡았다. 이번 사태로 투자자뿐 아니라 키움증권도 상당한 손실을 봤을 수 있다는 우려 때문이다.임희연 신한투자증권 연구원은 10일 보고서에서 키움증권 목표 주가를 13만5000원에서 12만원으로 11% 내렸다. 그러면서 “(SG증권발 사태로) 업계 전반에CFD(차액결제거래) 손실 우려가 불거지고 있다”며 “키움증권은 리테일(개인 고객) 점유율(30%) 기준 국내 1위 사업자인 만큼, (CFD관련) 손실 규모가 클 개연성을 배제할 수 없다”고 했다. 키움증권이 전날 공시한 올 1분기 잠정 영업이익은 3889억원으로 작년보다 82%나 증가했다. 하지만 악재가 호재를 덮었다는 얘기다.삼성증권 정민기 연구원도 이날 “최근CFD사태에 따른 영향으로 개인투자자 비중이 높은 키움증권은 미수 채권 발생과 일부 충당금 전입 영향이 불가피할 것”이라며 키움증권 목표 주가를 기존 13만7000원에서 12만5000원으로 낮췄다.CFD거래는 투자자가 증거금 40%만 있으면 2.5배만큼 주식을 증권사에 주문할 수 있다. 때문에 이번 사태의 바탕이 된 주가조작에 이용됐다는 지적이다. 또 이 상품은 주가가 폭락하면 거꾸로 원금의 최대 2.5배를 증권사에 물어내야 한다. 그런데 이번 폭락에 투자금을 날린 투자자가 속출하자 증권사가 ‘못 받는 돈’이 확 늘어날 것이란 분석이다.키움증권은 그룹사인 다우키움그룹의 김익래 전 회장이 이번 주가 폭락 전 주식을 대량 매도해 구설수에 올랐다. 김 전 회장은 주가 폭락 연루 의혹을 부인했지만, 지난 4일 “국민께 상실감을 드린 데 책임을 통감한다”며 회장직에서 사퇴했다."
2024-12-20,"대신증권, 10번째 ‘종투사’로 지정될 듯","대신증권이 종합금융투자사(종투사) 지정을 눈앞에 뒀다.금융위원회 증권선물위원회는 지난 18일 제22차 회의에서 대신증권의 종투사 지정 안건을 통과시켰다. 오는 24일 금융위에서 최종 의결하면 모든 절차는 마무리되고, 대신증권은 10번째 종투사로 이름을 올리게 된다.종투사란, 중소기업 창업과 성장을 지원하고 기업의 해외 프로젝트 수행 시 종합적 금융 서비스 제공하기를 목표로 대형 증권사를 투자은행(IB)으로 육성한다는 취지로 마련한 제도다.자본시장법에 따르면 종투사는 3조원 이상의 자기자본 요건을 갖춘 증권사가 금융위에 지정 신청하면, 금융위는 신용 공여 업무 수행에 따른 위험 관리 능력, 내부 통제 기준 등 내용을 검토해 지정 여부를 결정한다.종투사가 되면 신용 공여 한도가 자기자본의 100%에서 200%로 늘어나고, 헤지펀드에 자금을 대출하는 프라임브로커리지 서비스도 할 수 있게 되는 등 영업 여건이 크게 좋아진다.금융 당국의 종투사 지정은 지난 2022년 키움증권 이후 2년 만이다. 현재 종투사는 미래에셋증권, 한국투자증권,NH투자증권, 삼성증권,KB증권, 메리츠증권, 하나증권, 신한투자증권, 키움증권 등 9곳이다."
2024-12-18,자녀에게 미국 주식 줘볼까… 연말 주식 증정 이벤트,"증권사들이 연말을 맞아 미성년 자녀나 연인에게 주식을 선물할 때 혜택을 주는 이벤트를 진행하고 있다.키움증권은 크리스마스를 맞아 미성년 자녀에게 미국 주식을 선물하는 이벤트를 이달 말까지 진행한다고 17일 밝혔다. 이벤트 대상은 미성년 자녀를 둔 부모로, 키움증권에서 자녀 명의의 비대면 계좌가 미국 주식을 거래한 이력이 없는 경우 참여할 수 있다. 참여자는 애플·엔비디아·테슬라·알파벳(구글) 중 자녀에게 선물하고 싶은 주식을 선택하고 간단한 게임 이벤트에 참여하면, 최소 3만원에서 최대 10만원 상당의 주식을 100% 지급받을 수 있다.유안타증권도 오는 31일까지 주식 선물하기 서비스를 이용하는 고객들을 대상으로 경품을 주는 이벤트를 진행한다. 지인이나 가족 등에게 3만원 이상의 국내외 주식을 선물하고 지인이 선물받기를 완료한 투자자들을 대상으로 추첨을 통해 케이크·커피 교환권 또는 2만원, 1만원, 5000원 주식 쿠폰을 증정하기로 했다. 선물한 종목이 미국 주식일 경우 룰렛 참여 기회를 추가로 받을 수 있다.증권업계 관계자는 “주식 선물 주기 등을 통해 신규 고객을 확보하려는 증권사들의 이벤트가 앞으로도 활발해질 것”이라고 했다."
