date,title,content
2023-12-18,[경제계 인사] 태광산업 새 대표에 성회용 외,태광산업 새 대표에 성회용태광그룹은 태광산업 신임 대표에 성회용(60) 티캐스트 대표를 선임했다고 17일 밝혔다.SBS보도국장을 지낸 성 대표는 지난 6월 태광그룹에 합류해 계열사 대표 협의체인 경영협의회 부의장을 맡아 왔다.▲태광산업▷상무 이명철▷상무보 이두열 황태영▲대한화섬▷대표 오용근▲흥국생명▷전무 허정민▷상무 오세일▷상무보 강현호 김정배▲흥국화재▷전무 유진우▷상무 최강환▷상무보 김주희 정영구▲흥국증권▷상무보 박성진▲고려저축은행▷상무보 김정기▲티캐스트▷대표 엄재용 ▷상무보 이충효
2023-02-09,태광산업 맹공하는 트러스톤 “배당 20%로 올리고 감사위원 바꿔야”,"행동주의 펀드인 트러스톤자산운용(트러스톤)이 태광산업에 독립적인 감사위원을 새로 선임하고, 배당 성향을 올리라고 요구했다. 지난해 태광산업이 계열사인 흥국생명 유상증자에 참여하는 것을 반대해 무산시킨데 이어 경영에 깊숙이 관여하는 모양새다.9일 트러스톤에 따르면 회사는 전날 이 같은 내용이 담긴 주주서한을 태광산업에 보냈다. 트러스톤 측은 주주서한에서 “태광산업의 주가순자산비율(PBR)은 7일 현재 0.17배로 상장사 가운데 최하위에 머물고 있다”며 “보유중인 현금성자산과 회사의 영업가치 등을 고려하면 현재 시가총액은 터무니없이 낮은 수준”이라고 지적했다. 이어 “부채비율은 지난 2014년 이후 30%를 넘은 적이 없으며, 최근 10년 간 누적 영업이익은 8000억 원, 이자보상배율은 50배가 넘을 정도로 재무구조가 건실하다”며 “그런데도 최근 2년간 평균배당성향은 0.3%로 전 상장사 가운데 최하위권”이라고 꼬집었다.트러스톤측은 이러한 관행이 이사회가 견제기능을 제대로 하지 못하고 있기 때문이라고 지적하며 이사회 독립성 확보를 위해 조인식 전 국민연금CIO직무대리를 감사위원 겸 사외이사에 추천했다. 트러스톤은 “태광산업은 지난 2021년에 이어 지난해에 잇따라 2명의 분리선출로 감사위원을 선임했다. 이는 1명의 감사위원만 분리선출로 하도록 규정한 현행 상법을 위배한 것”이라며 “이는 올해 임기 만료되는 감사위원 자리를 염두에 둔 소수주주의 주주제안을 막기 위한 꼼수”라고 했다.또 배당과 관련해서는 “주주환원을 위해 배당성향을 국내 상장사 평균인 20% 이상으로 올려야 한다”며 “이와 함께 주가 저평가의 또 다른 요인으로 꼽히는 거래부진현상을 극복하기 위해서는 유동성공급이 시급하고 이를 위해 액면분할이 필요하다”고 했다. 현재 태광산업 주가는 73만원대로 코스피 상장사 가운데 2위다. 비싼 가격 때문에 최근 1년간 하루 평균 거래량은 554주로 코스피 상장사 가운데 네 번째로 낮다."
2022-12-15,"시장 반발 이길 수 없었다… 태광산업, 흥국생명 지원 철회","4000억 지원 철회 후 주가 상승사진은 서울 종로구 흥국생명 본사. /연합뉴스태광산업이 태광그룹 계열사인 흥국생명 지원에 나서려고 했지만, 무산됐다. 태광산업은 전날인 14일 공시를 통해 “흥국생명 전환우선주 인수를 검토했으나, 상장사로서 기존 사업 혁신 및 신사업 개척에 집중하기 위해 인수하지 않기로 결정했다”고 했다. “흥국생명 유상증자 참여에 관해 검토 중이나 확정된 게 없다”고 공시한 지 닷새 만이다. 15일 태광산업 주가는 전날 대비 2.61% 오른 74만8000원에 마감했다. 문제가 불거진 이후 줄곧 주식을 팔았던 외국인 투자자들이 돌아온 것이 눈에 띈다.최근 시장에서는 태광산업이 5억달러 규모의 신종자본증권(자본으로 인정받는 영구채의 일종) 조기 상환으로 지급여력(RBC) 비율 맞추기에 어려움을 겪고 있는 흥국생명에 4000억원 정도를 지원할 것이라는 관측이 제기됐다. 흥국생명이 제3자 배정 유상증자를 실시하면 태광산업이 전환우선주를 인수하는 방식으로 자금을 댈 것으로 예상됐다.계열사 지원 막은 행동주의 펀드문제는 태광산업이 흥국생명 지분을 한 주도 갖고 있지 않은 회사이고, 흥국생명은 이호진 전 태광그룹 회장 일가가 지분 100%를 보유한 회사라는 점이다. 태광산업 주주들이 반발했다. 태광산업 지분을 5.8% 보유한 행동주의 펀드 트러스톤자산운용이 이사회에 내용증명을 통해 소송도 불사하겠다고 했다. 경제개혁연대와 사단법인 한국기업거버넌스포럼 등 시민사회 단체들도 논평을 내고 반대했다. 이호진 전 태광그룹 회장이 사재를 출연해 해결해야 한다는 목소리도 커졌다.흥국생명에 급전이 필요해진 것은 5년 전 발행한 5억달러 규모의 신종자본증권 때문이다. 통상 신종자본증권은 발행 5년 후 조기상환권(콜옵션) 행사를 통해 투자자들에게 투자금을 돌려주는 게 관행인데, 갑자기 2배 넘게 치솟은 금리 탓에 자금 조달이 부담스럽자 조기 상환하지 않겠다고 선언했다. 금융 당국에서도 일단 허용했지만, 레고랜드 사태로 위축된 채권 시장 불안이 가중되자 입장을 바꿔 조기 상환을 요구한 것으로 알려졌다. 5600억원 중 4000억원을 은행들이RP(환매조건부채권)를 통해 긴급 지원했다.RBC비율도 권고치(150%) 아래로 떨어졌다. 이 때문에 자금 수혈이 필요했다.태광그룹 비상장 계열사가 지원키로흥국생명은 태광산업의 지원 대신 2800억원을 태광그룹 비상장 계열사들로부터 갹출받아 급한 자금을 마련키로 했다. 김규식 한국기업거버넌스포럼 회장은 “과거에는 상장사를 동원해 부실 계열사를 지원해도 시장에서 그러려니 하고 말았다. 이런 일이 쌓여서 한국 시장 저평가 요인이 됐다”며 “이번 일은 자본 시장 수준이 한 단계 올라가는 계기가 될 것”이라고 했다."
2022-12-13,"“태광산업, 흥국생명 지원 안돼”…트러스톤, 내용증명 발송","14일 이사회 앞두고 압박”강행시 주주대표소송 불사”사진은 서울 종로구 흥국생명 본사. /연합뉴스태광산업의 흥국생명 지원에 반기를 든 트러스톤자산운용이 13일 태광산업 이사진에게 내용증명을 보냈다. 최대주주인 이호진 전 태광그룹 회장 개인을 위해 지분관계도 없는 회사에 부당 지원하지 말고, 회사와 일반 주주의 이익을 위한 결정을 내려달라는 것이다. 만약 이사회에서 흥국생명 지원 결정을 내릴 경우, 소송도 불사하겠다는 입장도 내놨다. 14일로 예정된 태광산업 이사회에서는 흥국생명이 추진하는 4000억원 유상증자 참여와 관련된 안건이 논의될 것으로 관측된다.이날 트러스톤이 태광산업 이사회에 보낸 내용증명 골자는, 회사 측이 계획하는 흥국생명 유상증자 참여가 상법과 공정거래법 등에 위배된다는 것이다.트러스톤 측은 “상법 제542조의9 제1항에서는 상장회사가 지분 10% 이상을 소유한 주요주주 및 특수관계인에게 자금 지원적 성격의 증권 매입을 하는 것을 금지하고 있다”며 “흥국생명은 태광산업의 최대주주인 이호진 회장의 특수관계인에 해당하므로, 태광산업이 흥국생명에 자금을 지원하기 위해 흥국생명의 유상증자에 참여한다면 상법에서 금지하는 신용공여에 해당한다”고 주장했다. 여기에 찬성한 이사는 상법 제624조의2에 따라 형사처벌의 대상이 되고, 상법 제634조의3에 따라 태광산업 또한 벌금을 물게 될 것이라는 게 트러스톤 측의 해석이다. 회사 측은 “이 경우 주주대표소송을 통해 이사에게 책임을 묻는 등 법적 절차를 밟을 것”이라고 밝혔다.또 트러스톤은 유상증자 참여가 공정거래법상 계열회사 부당지원 행위에 해당할 가능성이 있다고도 밝혔다. 공정거래법상 계열회사의 지분을 전혀 보유하고 있지 않은 회사가 제3자 배정 방식을 통해 해당 계열회사 유상증자에 참여하면서 제3자가 인수하지 않을 정도의 고가로 주식을 인수하는 경우 ‘계열회사 부당지원행위’에 해당한다. 회사 측은 “이번 유상증자의 거래조건이 아직 알려지지 않았지만, 긴급한 자금조달이 필요한 흥국생명 내부 상황과 높은 시장금리를 고려하면 이번 신주 발행이 시장가격보다 상당히 낮은 금액으로 이루어지지 않는다면 외부 제3자의 인수가능성은 낮다”고 말했다. 계열회사 부당지원에 해당할 가능성이 크다는 주장이다.이호진 전 태광그룹 회장이 2018년 12월 12일 서울 서초구 서울중앙지방법원에서 횡령·배임 혐의와 관련한 파기환송심 1차 공판을 마친 후 법정을 나서며 취재진 질문에 대답하고 있다. 태광산업은 이 전 회장과 특수관계인이 지분 54.53%를 보유한 상장사이고, 흥국생명은 이 전 회장 일가가 100% 보유한 비상장사다./뉴스1태광산업 지분 5.8%를 보유한 주요주주 트러스톤이 강한 반기를 들고 나섰고, 경제개혁연대와 사단법인 한국기업거버넌스포럼 등 시민단체들도 잇따라 반대 성명을 내면서 태광산업 이사진이 계획대로 안건을 처리할 수 있을지 주목된다.흥국생명은 이호진 전 태광그룹 회장 일가가 100% 보유한 비상장사로, 지난달 조기상환을 맞았던 5억 달러(약 5600억원) 규모 외화 신종자본증권 조기 상환권(콜옵션) 논란을 일으켰다. 치솟은 금리 때문에 신규 자금 조달에 어려움이 예상되자, 콜옵션을 행사하지 않기로 했다가 입장을 번복했다. 5600억원 중 4000억원을 시중은행이RP(환매조건부채권)를 통해 긴급 지원했는데, 만기가 돌아오는RP상환에 돈이 필요한 상황이다. 이 돈을 같은 태광그룹 우산 아래 있는 계열회사 태광산업이 지원하려는 것이다. 상장사인 태광산업은 흥국생명 지분이 한 주도 없는 상태에서 지원에 나서 논란이 되고 있다."
2022-12-12,"“1株도 없는 태광산업, 왜 흥국생명 지원하나” 주주·시민단체 반발","태광산업, 흥국생명 4000억원 지원 계획에자산운용사·시민단체 한 목소리로 ‘반대’사진은 서울 종로구 흥국생명 본사. /연합뉴스태광산업이 최근 유동성 마련에 어려움을 겪고 있는 흥국생명에 4000억원가량을 지원할 것이라는 관측이 제기된 가운데, 태광산업 일반주주뿐만 아니라 경제 시민단체들도 들고 일어났다. 흥국생명에 지분이 한 주도 없는 상장회사 태광산업이 흥국생명을 지원하는 것은 배임 소지가 있다는 것이다.12일 사단법인 한국기업거버넌스포럼은 성명을 내고 “태광산업과 흥국생명이 표면적으로는 같은 태광그룹 계열사로 분류돼 있긴 하나, 태광산업은 흥국생명 주식을 단 1주도 보유하고 있지 않다”며 “동일한 지배주주를 갖고 있다는 것 말고는 사실상 관계가 없는 흥국생명의 유동성 위기를 왜 태광산업이 해결해야 하는지, 아무런 타당한 이유를 찾을 수 없다”고 지적했다. 앞서 9일에는 태광산업 지분 5.8%를 보유한 트러스톤자산운용이 반대 성명을 냈고, 11일에는 경제개혁연대도 같은 목소리를 냈다.흥국생명은 이호진 전 태광그룹 회장 일가가 100% 보유한 비상장사로, 지난달 조기상환을 맞았던 5억 달러(약 5600억원) 규모 외화 신종자본증권 조기 상환권(콜옵션) 논란을 일으켰다. 갑자기 치솟은 금리 탓에 신규 자금조달이 부담스럽자, 콜옵션을 행사하지 않기로 했다. 가뜩이나 레고랜드 사태로 위축된 채권 시장에 풍파가 일자, 다시 콜옵션을 행사하기로 입장을 번복했다. 5600억원 중 4000억원을 시중은행이RP(환매조건부채권)를 통해 긴급 지원했는데, 만기가 돌아오는RP상환에 돈이 필요한 상황이다. 이 돈을 지배주주가 같은 태광산업이 지원하려는 것이다.태광그룹 모회사인 태광산업은 이호진 전 태광그룹 회장이 29.45%, 조카인 이원준씨(7.49%) 등 특수관계인이 지분 54.53%를 보유하고 있다. 트러스톤자산운용 측은 지난 9일 “태광산업 이사회가 소수 주주 이익에 반하는 의사결정을 할 경우, 법적 절차를 포함한 모든 수단을 강구해 주주로서 권리를 행사하겠다”는 입장을 내놨다. 시장에서는 유상증자 납입금지 가처분 소송이나 이사회 결의 무효소송 등이 거론된다.태광산업 측은 논란이 일자 조회공시 답변을 통해 “흥국생명 유상증자에 참여에 관해 검토 중이나 아직 확정된 사항은 없다”고 밝혔다."
2022-12-09,“태광산업의 흥국생명 4000억 증자 반대”…주요주주 들고 일어났다,"지분 5.8% 보유한 트러스톤자산운용, 주주행동 나서태광산업은 흥국생명 지분 0%, 대주주만 100% 가져”성과는 대주주가 독식, 위기만 공유” 비판서울 종로구 흥국생명 본사./연합트러스톤자산운용이 태광산업의 흥국생명 4000억원 유상증자 참여 움직임과 관련해, “대주주 이호진 회장을 위해 태광산업과 태광산업 주주들의 희생을 강요하는 결정”이라며 반대 입장을 밝혔다.9일 트러스톤자산운용은 입장문을 내고 “태광산업이 흥국생명의 유상증자에 참여한다면 이는 대주주를 위해 태광산업 소액주주의 권리를 희생하는 결정이라는 점에서 분명한 반대입장을 밝힌다”고 강조했다.금융업계에선 태광산업이 조만간 이사회를 열어 제3자 배정 방식으로 흥국생명에 약 4000억원 유상증자에 참여하는 안건을 의결할 예정이라는 관측이 나오고 있다. 흥국생명은 지난달 조기 상환을 맞았던 5억 달러 규모 외화 신종자본증권에 대해 조기 상환권(콜옵션)을 행사하지 않기로 했다가 이를 번복했다. 채권 시장에 불안이 커지자, 입장을 뒤집은 것이다. 콜옵션 행사를 위한 자금을 마련을 목적으로 대주주 일가가 나설 수밖에 없을 것이라는 관측이 나오는 가운데, 태광산업의 유상증자 움직임이 가시화하자 태광산업 주요주주가 반기를 든 것이다.태광그룹 모회사인 태광산업은 이호진 전 태광그룹 회장이 29.45%, 조카인 이원준씨(7.49%) 등 특수관계인이 지분 54.53%를 보유하고 있다. 트러스톤자산운용은 현재 지분 5.8%를 가진 주요 주주다. 흥국생명은 이호진 전 회장이 56.3%를 보유하는 등 친인척이 100% 지분을 가졌다. 상장사인 태광산업은 지분을 한 주도 갖고 있지 않다. 트러스톤은 이 점을 지적하고 있다.트러스톤 측은 “흥국생명은 이호진 회장을 비롯한 태광그룹 대주주 일가가 100% 지분을 보유하고 있으며, 태광산업은 흥국생명 지분을 1주도 갖고 있지 않다”며 “이런 상황에서 태광산업이 흥국생명의 3자 배정 유상증자에 참여하는 것은 대주주를 위해 태광산업과 태광산업 주주 희생을 강요하는 결정이라고 볼 수밖에 없다”고 반발했다.트러스톤은 또 “태광산업이 현재 보유 중인 1조2000억원의 현금자산 활용방안에 대해 회사 측이 본업의 경쟁력을 강화하는 방안을 내놓겠다고 해온 만큼, 흥국생명 유상증자 참여는 이런 답변과도 완전히 배치되는 결정”이라고 지적했다. 그러면서 “성과는 대주주가 독식하고, 위기 상황만 소수 주주와 공유하겠다는 발상으로, 태광산업 이사회가 이런 의사결정을 승인할 경우 법적 절차를 포함한 모든 수단을 강구해 태광산업 주주로서 권리를 행사할 것”이라고 밝혔다."
2022-01-28,"태광산업, 신임 대표로 조진환·정철현 내정","태광산업이 신임 대표로 조진환 티엘케미칼 대표·정철현 알켄즈 전무를 내정했다고 28일 밝혔다. 조 내정자는 석유화학을, 정 내정자는 섬유 사업을 담당한다. 정 내정자는 태광산업 자회사 대한화섬 대표도 겸임할 예정이다.조진환 태광산업 석유화학 사업 대표 내정자. /태광산업정철현 태광산업 섬유 사업 대표 내정자. /태광산업조 내정자는 1982년 태광산업에 입사해 프로필렌 공장 및AN공장 건설에 직접 참여했다. 석유화학 2·3공장장, 울산본부 설비관리실장(석유·화섬 총괄)을 거친 뒤 올해 초 티엘케미칼 대표이사에 선임되는 등 화학공장 설비 전문가다.정 내정자는 1989년 대한화섬에 입사해 2012년까지 대한화섬 공장장, 나일론·아크릴 공장장 등을 역임했다. 태광산업 측은 “폴리에스터, 나일론, 아크릴 등 섬유사업 전반에 대한 지식과 경험이 풍부하다”고 했다. 두 내정자는 오는 3월 이사회 및 정기 주주총회에서 정식 선임될 예정이다.태광산업은 기존 대표였던 정찬식·박재용 사장이 일신상 이유로 사의를 표했다고 밝혔다. 정 사장은 지난해 3월, 박 사장은 2020년 7월 선임됐다. 태광산업 관계자는 사장 교체 이유에 대해 “27일 시행된 중대재해처벌법에 대비해 현장 경험이 풍부한 대표의 필요성이 높아졌다”고 했다."
2022-12-28,"태광산업, 흥국화재 지분 19.5% 인수","태광산업 석유화학 3공장 전경. /뉴스1태광그룹 섬유·석유화학 계열사 태광산업이 흥국화재 지분 일부를 인수했다고 28일 공시했다.이날 태광산업은 지난 27일 흥국생명으로부터 흥국화재 보통주 1270만 7028주를 추가 매입했다고 밝혔다. 이에 따라 최대주주 흥국생명에 이어 2대주주인 태광산업이 보유한 흥국화재 지분은 기존 19.63%에서 39.13%로 늘었다.태광산업은 “최근 주식시장 하락으로 흥국화재 주식이 저평가됐다”며 “지분법 이익 증가 등 향후 기대되는 투자이익을 반영해 흥국화재 지분을 확대하기로 했다”고 밝혔다.이어 “자금지원적 성격의 증권 매입, 공정거래법상 부당지원 등에 대해서도 법률적 검토를 통해 문제가 없음을 확인했다”고 말했다."
2022-05-15,LG생건·태광산업도 우수수... 100만원 넘는 ‘황제주’ 실종사태,"증시 약세가 이어지면서 국내 증시에서 주가가 100만원이 넘는 ‘황제주’가 사라졌다.15일 한국거래소에 따르면 국내 증시에서 주가가 가장 높은 태광산업의 주가는 지난 9일 100만1000원에서 10일 99만7000원으로 떨어졌고, 이후 13일(98만6000원)까지 4일 연속 90만원대에 머물렀다.작년 말 주가가 109만7000원으로 황제주였던LG생활건강은 지난 13일 주가가 69만4000원으로 떨어졌다.LG생활건강은 2017년 10월 13일 이후 4년 넘게 황제주 자리를 지켜왔지만, 올 들어 중국의 코로나 봉쇄 여파로 화장품 매출이 급감해 실적 부진에 빠졌다.지난해 잠시 황제주 반열에 올랐던LG화학과 엔씨소프트, 삼성바이오로직스도 올해 약세다. 지난해 1월 13일 100만원까지 올랐던LG화학은 지난 13일 51만원으로 마감했다. 엔씨소프트 주가(13일·43만9500원)는 지난해 2월 최고점(103만8000원)의 절반 이하로 떨어졌다. 삼성바이오로직스 주가도 지난해 8월 17일 101만2000원에서 지난 13일 78만5000원으로 하락했다."
2024-11-30,"동국제강 사장 최삼영, 동국씨엠 사장 박상훈 외","동국제강 사장 최삼영, 동국씨엠 사장 박상훈동국제강그룹은 최삼영 동국제강 대표와 박상훈 동국씨엠 대표가 각각 부사장에서 사장으로 승진한다고 29일 밝혔다. 장세주 동국홀딩스 회장 장남인 장선익 동국제강 구매실장(전무)은 신설되는 동국씨엠 구매실장을 겸직하기로 했다.▲동국홀딩스▷전무 신용준▲동국제강▷전무 곽진수 이찬희▲동국씨엠▷사장 이현식▷전무 김도연▷상무 남돈우태광산업 공동대표 오용근태광그룹은 오용근 태광산업 지원본부장을 공동대표로 내정하며 부사장으로 승진시킨다고 29일 밝혔다.▲티시스▷사장 유태호▷전무 이재석 ▲태광산업▷상무 황태영 성정훈 ▲흥국생명▷상무 조학래 신봉열▲KT▷전무 김병균 유용규 이종식 이원준 정재욱▷상무 권갑석 김유태 박세근 박철호 박태호 방대혁 손정엽 송영태 송창석 신영운 오성민 윤영균 이경채 이정수 이진권 임혜진 정찬호 지승훈 지영근 최영 최광철 최동렬 함형민 ▲KT스카이라이프▷전무 조일 ▲KT서비스남부▷전무 박성열 ▲비씨카드▷상무 박복이 ▲KT에스테이트▷상무 서대석 ▲KT인베스트먼트▷상무 배한철 ▲KTSAT▷상무 박현배 ▲KT스포츠▷상무 나도현 ▲나스미디어▷상무 한수경"
