date,title,content
2023-02-21,염색샴푸 5개 성분 사용 금지… 토니모리 “관련 제품 이미 생산 중단”,"식품의약품안전처는 21일 일부 염색 샴푸 등에 쓰이는 총 5가지 염모제 성분을 사용 금지 원료로 지정한다고 발표했다. 금지 성분명은o-아미노페놀, 염산m-페닐렌디아민,m-페닐렌디아민, 카테콜, 피로갈롤 등 5가지. 이 5가지 성분은 사람 유전자에 손상이나 돌연변이를 일으키는 ‘유전 독성’ 가능성을 배제할 수 없다는 판정을 받았다.토니모리 '튠나인 내추럴 체인지 블랙샴푸'./토니모리홈페이지식약처는 “일상생활 중 경미하게 (이 성분에) 노출되는 정도로 실제 위해(危害) 가능성은 작다”면서도 “예방 차원에서 노출을 최소화하려는 것”이라고 설명했다. 이 성분을 포함한 제품은 오는 8월 22일부터 제조하거나 수입할 수 없고, 이미 출시한 제품은 2025년 8월 21일까지만 판매할 수 있다. 이전에 염색 샴푸 제품 ‘모다모다’에서 문제가 됐던 ‘1,2,4-THB(트리하이드록시벤젠)’ 성분은 이번 심사에서는 포함하지 않았다.시중에서 판매되는 염색 샴푸는 대기업에서 중소기업 제품까지 수십종에 달한다. 성분은 제품 설명서에 나오긴 하지만 수십가지가 넘는다. 식약처가 이번에 이런 사용 금지 성분이 들어있는 제품명을 공개하지 않은 탓에, 이 5가지 성분이 들어 있는지를 확인하기 위해서는 소비자가 깨알 같은 제품 설명서를 일일이 들여다봐야 하는 불편이 따른다. 식약처는 “앞으로 온라인에서 위해 성분명으로 검색하면 어떤 제품에 들어있는지 알 수 있도록 시스템을 만들고 있다”고 전했다.실제 매장에선 이 5가지 금지 성분 중 한두 개가 들어 있는 염색 샴푸를 쉽게 찾을 수 있다.o-아미노페놀이 포함돼 논란이 됐던 토니모리는 “현재 (금지 성분이 든 제품을) 생산하지 않고 있다”고 밝혔다. 다만 판매 금지까지 기간이 남아 있어 해당 제품이 여전히 판매되고는 있다. 생활용품 대기업인 아모레퍼시픽과LG생활건강은 자사 염색 샴푸에는 금지 성분이 들어 있지 않다고 밝혔다. 유통 업계 관계자는 “금지 성분을 포함하지 않은 염색 샴푸는 대부분 제조사에서 이를 공개적으로 홍보하고 있어 구별할 수 있다”고 말했다."
2024-04-18,"푸드, 미용, 패션... 잘 나가는 K컬처株","시장 불안에도 상대적 안정성일부 종목은 52주 신고가카디비가 불닭볶음면 먹방 영상을 공개했다. /카디비 틱톡K푸드·K뷰티·K패션을 이끄는 ‘K컬처주’들이 부상하고 있다. 이들은 고(高)물가·고유가·고환율의 악재가 겹친 상황에서도 상대적으로 안정성을 띠며 주목받고 있다.음식료품 업종인 삼양식품·빙그레·동원F&B는 52주 신고가를 경신 중이다. 삼양식품은 최근 한 달간 40.43%, 1년간 124.87% 올랐다. 빙그레와 동원F&B도 최근 한 달간 각각 22.83%와 18.48%, 1년간은 45.80%와 23.06% 올랐다. 삼양식품은 불닭볶음면, 빙그레는 메로나와 바나나맛우유, 동원F&B는 김 등이 해외에서 인기를 끌었기 때문으로 보인다.특히 불닭볶음면은 지난달 미국 래퍼 카디비가 먹는 영상을 틱톡에 올리는 등 소셜미디어를 중심으로 유행하고 있다. 삼양식품의 올해 1분기 연결 매출액은 전년 동기 대비 27% 상승한 3119억원, 영업이익은 80.4% 증가한 430억원으로 추정된다. 김태현IBK투자증권 연구원은 “까르보 불닭볶음면 등 수출 제품 포트폴리오가 다변화되고 있는 점은 해외 시장에서의 성장 여력 및 지속성 측면에서 긍정적으로 평가된다”고 했다.화장품주도 다시 살아나고 있다. 최근 한 달간 토니모리는 45.8%, 아모레퍼시픽은 31.2% 상승했다. 중국 판매 실적이 바닥을 친 데다, 한국을 방문하는 중국인 관광객이 늘면서 면세 매출이 증가했기 때문이다. 한국관광공사에 따르면, 지난 2월 한국을 방문한 중국인 관광객 수는 2019년 동월 대비 70% 넘게 늘었다.배우 라나 콘도르 등을 중심으로 한국식 화장이 유행하면서 수출도 늘었다. 한국무역협회에 따르면, 지난 1~2월 한국의 화장품 수출은 전년 같은 기간보다 36.2% 증가했다. 한유정 한화투자증권 연구원은 “아모레퍼시픽의 경우 오는 2분기부터 설화수 리뉴얼에 대한 효과가 나타나고 세포라 등 뷰티 플랫폼에서 매출이 증가하면서 성장세는 지속될 것”이라고 말했다.섬유 의복 업종에서는 한세실업·태평양물산 등의 주가가 선방했다. 해외 수출 매출이 대부분인 한세실업은 최근 미국 운동복 시장에 도전장을 냈다."
2024-02-08,말라죽던 메타버스가 ‘2.0’으로 부활한다,"첨단 기기 본격 출시에 콘텐츠도 기지개…AI열풍까지 한몫침체기에 빠져 있던 메타버스가 부활의 조짐을 보이고 있다. 국내외 빅테크가 새로운 메타버스 헤드셋을 출시하거나 출시를 준비하고 있고, 메타버스 확산의 가장 큰 걸림돌로 꼽혔던 콘텐츠 시장도 다시 기지개를 켜고 있다. 이른바 메타버스 2.0 시대가 본격화할 조짐이다.6일 글로벌 시장조사 기관 리서치앤드마켓에 따르면 글로벌 메타버스 시장은 2030년까지 1조3034억달러(약 1770조원) 규모로 성장할 전망이다. 연평균 성장률 48%에 육박하는 수치다. 메타버스 이용률도 같은 기간 14.6%에서 39.7%까지 2.7배 수준으로 늘어날 것으로 분석됐다. 업계 관계자는 “팬데믹 기간 메타버스 열풍이 불었다가 엔데믹과 함께 순식간에 거품처럼 꺼졌다”며 “메타버스가 부침을 거듭하는 과정에서 기술이나 서비스 고도화에 집중한 기업들이 남아 승부를 벌일 것”이라고 했다.국내외 기술기업 다 뛰어들어코로나로 인해 급격히 도래한 비대면 사회에서 메타버스는 제대로 된 개념도 만들어지기도 전에 성급하게 각광받은 신기술이라는 평가가 많았다. 메타와 마이크로소프트를 비롯한 수많은 기업이 메타버스가 미래라며 대규모 투자 계획을 발표하고 기기와 서비스를 내놓았다. 하지만 일상 회복 단계에 들어가자 콘텐츠 부족과 기기의 불편함 등 단점이 부각되면서 시장이 차갑게 식었다. 시장조사 기관 서카나 데이터에 따르면 지난해 말까지 미국 가상현실(VR) 헤드셋과 증강현실(AR) 안경 매출은 6억6400만달러로 2022년(11억달러) 대비 절반 가까이 줄었다.얼어붙은 메타버스 시장에 훈풍이 분 것은 빅테크들이 업그레이드된 메타버스 기기를 출시하면서다. 지난해 말 메타가 혼합현실(MR) 기기 메타퀘스트3를 출시한 데 이어 올해 애플은MR헤드셋 비전 프로를 출시했다. 퀘스트의 판매 호조 덕분에 메타의 메타버스 개발 부서인 리얼리티랩스 4분기 매출은 처음으로 10억달러를 돌파했다. 전년 같은 기간보다 47.3% 증가한 수치다. 마크 저커버그 메타CEO는 지난 4분기 실적 발표에서 “메타버스를 통해 회사를 강력한 기술 회사로 만들 장기 비전을 가지고 있다”고 말했다.그래픽=백형선삼성전자도 참전 준비를 서두르고 있다. 삼성전자는 지난해 2월 구글, 퀄컴과 협력해 확장현실(XR) 기기를 개발하고 있다는 사실을 공개했다. 이미 스마트폰으로 다져온 협력 관계를XR기기 분야로 확장하는 것이다. 구글이 지난해AR하드웨어 팀을 해체한 만큼 구글과 삼성전자의 동맹이 한층 공고해질 것이라는 전망이 나온다.LG전자는 올해TV사업을 이끄는 홈엔터테인먼트(HE) 사업 본부에XR사업 담당 조직을 새로 만들었다.옥석 가리기 끝나자 진검 승부지난해 국내 기업들은 메타버스 사업을 대거 정리했다. 싸이월드와 한글과컴퓨터가 합작한 ‘싸이타운’ 플랫폼은 지난해 서비스를 중단했고 넷마블에프앤씨는 자회사 ‘메타버스월드’의 전 직원을 대상으로 구조 조정을 실시했다. 메타버스에 적극적이었던 유통 업계도 하나둘씩 손을 뗐다.GS25, 토니모리, 배스킨라빈스 등은 팬데믹 기간 메타버스 플랫폼 제페토에 가상 공간을 만들었지만 지난해 중순 이후로 업데이트를 하지 않고 있다.메타버스 ‘빙하기’에도 메타버스를 포기하지 않은 국내 기업들은 올해 메타버스가 해빙기를 맞을 것으로 기대하고 있다. 네이버는 최근 제페토를 운영하는 손자회사 네이버제트에 1000억원을 빌려주기로 했다. 네이버는 “제페토가 4억명에 달하는 이용자를 바탕으로 글로벌 사업 확장에 속도를 올릴 것으로 기대하고 자금 대여를 결정했다”고 했다. 애플이MR헤드셋을 내놓자 지난 2년간 자체 메타버스 플랫폼 칼리버스를 개발해온 롯데정보통신은 칼리버스에 비전 프로 적용을 추진하고 있다.메타버스 업계는 생성형 인공지능(AI) 열풍이 메타버스 확산에도 큰 역할을 할 것으로 기대한다. 이미지 생성AI를 활용하면 메타버스 내에서 더 정교한 환경을 손쉽게 만들 수 있다. 또 음성이나 문자를 통해 쉽게 의사소통이 가능해지기 때문에 사용자들의 만족감도 극대화할 수 있다는 것이다."
2023-08-29,‘日 오염수 방류’ 뒤 한국 화장품·여행주 급등,"중국 반일 감정 고조 반사이익수산물 업체 주가는 크게 하락지난 27일 인천국제공항 제1터미널로 입국한 중국인 여행객들이 버스를 탑승하기 위해 이동하고 있다./뉴시스일본 후쿠시마 제1원자력발전소의 오염수 방류가 이슈가 되면서 국내 증시에서 각종 테마주 현상이 벌어지고 있다.28일 국내 증시에선 중국 내 반일 감정이 고조된다는 소식에 중국 소비 관련 종목들이 반사이익을 얻었다. 화장품 용기 제조업체 펌텍코리아는 전날보다 11.2% 급등했고, 아모레G(4.81%), 토니모리(+5.96%), 아모레퍼시픽(3.30%),LG생활건강(2.00%) 등 다른 화장품 관련주 주가도 일제히 상승했다. 중국인들이 일본산 화장품 대신 국산 화장품을 쓸 것이란 기대감 때문으로 풀이된다.중국인들이 일본 대신 한국으로 여행 올 것이란 기대감에 여행 관련주 주가도 들썩였다. 노랑풍선(5.69%), 레드캡투어(3.67%), 참좋은여행(3.62%) 등 여행사주와 현대백화점(4.17%),HDC(2.32%), 호텔신라(1.58%) 등 면세점주, 롯데관광개발(+6.49%),GKL(0.98%), 파라다이스(0.94%) 등 카지노주도 이날 상승세를 나타냈다.국내 증시에 상장된 중국 기업들의 주가도 중국인들의 ‘애국 소비’가 늘어날 것이란 기대감에 상승세를 탔다. 정밀 코팅 신소재 전문기업GRT주가가 상한가를 기록했고, 화장품 제조업체 오가닉티코스메틱 주가도 3.98% 올랐다.국내 지방자치단체들이 방사능 탐지기를 추가로 구매하고 있다는 소식에 휴대용 방사능 측정기 제조업체인 오르비텍 주가는 28.23% 급등했다.반면 오염수 방류에 타격을 받을 것으로 예상되는 수산물 제조업체 주가는 일제히 하락했다. 한성기업이 7.28% 급락한 것을 비롯해 동원수산(-5.41%), 사조씨푸드(-1.86%) 등은 하락을 면치 못했다."
2023-08-11,급등세 이어가는 ‘유커’ 관련주...상승폭은 줄어,"중국이 자국민의 한국 단체여행을 허용하기로 함에 따라 국내 여행·호텔·면세업계의 기대감이 고조되는 가운데 11일 오전 서울 중구 롯데면세점 명동본점에서 외국인 관광객들이 입장을 위해 대기하고 있다. /연합뉴스중국인의 한국행 단체 관광이 재개된다는 소식에 11일 주식시장에서 화장품과 카지노, 면세점, 항공 등 유커(游客·중국인 관광객) 관련 기업들 주가가 이틀째 상승세를 이어가고 있다. 다만 상승폭이 전날보다 떨어지고 있다.11일 오후 2시 기준 한국화장품은 전날에 이어 상한가를 이어가고 있다. 코리아나(19.39%), 제이준코스메틱(22.54%), 리더스코스메틱(10.16%) 등 화장품주는 전날 상한가에 이어 이날도 급등하고 있다. 역시 10일 상한가였던 마녀공장(7.29%), 토니모리(5.39%), 잇츠한불(9.17%)은 상승세가 전날보다는 줄었다.화장품은 방한 중국인의 쇼핑 목록 1위다. 중국인 관광객의 40%가 20~30대 여성인 만큼, 앞으로 단체 관광이 재개되면 화장품 매출이 급증할 것이란 기대가 이틀 연속 반영되고 있다.중국인들에게 인기가 많은 ‘설화수’ 제조사 아모레퍼시픽 주가는 전날 7.76% 오른 데 이어 이날은 0.69% 올랐고, 브랜드 ‘후’ 제조사LG생활건강도 전날 13.31% 상승했지만 이날은 0.3% 오르며 상승세가 주춤해지고 있다.화장품주 외에 카지노주와 항공주, 소비주는 혼조세를 보이고 있다.제주 드림타워 내 카지노를 운영하는 롯데관광개발이 10일 상한가로 마감했는데 이날은 4.42% 주가가 빠졌다. ‘세븐럭’ 운영사인GKL(그랜드코리아레저)도 10일 20.45% 올랐다가 이날 0.06% 오르고 있고, 파라다이스는 전날 18.13% 오른 데 이어 이날은 1.64% 오르며 소폭 상승세를 이어가고 있다.면세점 매출 비율이 80%를 차지하는 호텔신라 주가는 전날 17.3% 상승한 데 이어 11일 2.3% 오르고 있다. 중국인의 1인당 평균 지출 경비는 외국인 평균보다 높다. 전날 큰 폭으로 뛰었던 현대백화점(1.99%), 글로벌텍스프리(0.11%)가 소폭 상승세를 이어가고 있고, 신세계(-1.18%)는 하락 중이다.대한항공 주가는 1.01% 올랐지만 아시아나항공은 3.2% 떨어지고 있다. 전날엔 아시아나항공(9.42%) 상승세가 대한항공(2.9%)보다 강했었다. 대한항공 계열인 저비용항공사 진에어는 이날 주가가 0.26% 빠지고 있다.여행사 중에는 노랑풍선(9.76%) 상승세가 강하고, 참좋은여행(6.88%)과 모두투어(1.97%)도 전날에 이어 상승 중이다."
2023-08-11,화장품·면세점·항공·여행株 일제히 폭등,"[6년 만에 돌아오는 유커]중국인의 한국행 단체 관광이 재개된다는 소식에 10일 주식시장에서 화장품과 카지노, 면세점, 항공 등 유커(游客·중국인 관광객) 관련 기업들 주가가 일제히 폭등했다. 11종목이 상한가(30% 상승)를 기록했는데 이 중 10개가 화장품 관련주였다. 이날 코스피가 0.14% 떨어지는 등 전체 증시는 하락세였지만, 중국인 관광 테마주만 ‘펄펄’ 난 것이다.이날 한국화장품과 코리아나, 리더스코스메틱, 토니모리, 잇츠한불, 제이준코스메틱, 마녀공장 등 10개 화장품주는 장 초반부터 상한가를 쳤다. 화장품은 방한 중국인의 쇼핑 목록 1위다. 전통적으로 중국인 관광객의 40%가 20~30대 여성인 만큼, 앞으로 단체 관광이 재개되면 화장품 매출이 급증할 것이란 기대가 반영됐다.중국인들에게 인기가 많은 ‘설화수’ 제조사 아모레퍼시픽 주가는 7.76% 올랐고,LG생활건강(브랜드 ‘후’)은 13.31% 상승했다.카지노주도 동반 상승했다. 제주 드림타워 내 카지노를 운영하는 롯데관광개발이 상한가로 장을 마쳤고 ‘세븐럭’ 운영사인GKL(그랜드코리아레저)이 20.45%, 파라다이스가 18.13% 올랐다.면세점 매출 비율이 80%를 차지하는 호텔신라 주가는 17.3% 상승했다. 한국관광공사에 따르면 한국을 방문한 중국인들의 1인당 평균 지출 경비는 1689달러(2019년)로 외국인 평균(1239.2달러)이나 일본인(675달러)보다 훨씬 많다. 그만큼 많은 돈을 쓰고 간다는 것이다. 이런 기대감에 현대백화점(+15.4%), 글로벌텍스프리(+15.59%), 신세계(+9.33%) 등 다른 소비주도 대부분 큰 폭으로 뛰었다.중국인 승객 증가 기대로 대한항공과 아시아나항공 주가는 각각 2.90%, 9.42% 올랐다. 저가 항공사인 에어부산(+12.16%), 티웨이항공(+6.56%), 진에어(+6.74%) 등도 들썩였다. 노랑풍선(+17.4%)과 하나투어(+10%), 모두투어(+6.62%) 등 여행사 주가도 일제히 강세를 보였다.글로벌 명품 업체 주가도 올랐다. 이날 유럽 증시에서 루이비통과 에르메스 등 명품 업체 주가는 1~2%대 상승세를 보였다. 골드만삭스에 따르면, 유럽 명품 판매의 약 25%를 중국 국적 소비자가 차지하고 있다."
2022-04-05,이제 2차는 노래방? TJ미디어 올들어 86% 올라,"여행·항공·주류·엔터·카지노 등경제활동 재개 리오프닝株 들썩주가 대부분 두자릿수 상승률“이미 크게 올라, 투자 주의해야”올해 대부분의 리오프닝(reopening·경제활동 재개)주가 두 자릿수 주가 상승률을 기록한 것으로 나타났다. 리오프닝주는 코로나 사태로 위축됐던 대면 경제활동이 재개됐을 때 수혜를 볼 것으로 예상되는 업종의 주식을 의미한다.4일 한국거래소에 따르면, 올 들어 지난 1일까지 노래방 기기 업체인TJ미디어의 주가는 86.1% 올랐다. 주류·음료 업체인 롯데칠성은 같은 기간 36% 상승했고, 하이트진로도 25.2% 올랐다. 정부가 사적 모임 인원이나 식당 영업 시간에 대한 규제를 단계적으로 완화하고 있는데, 머지않아 사회적 거리 두기가 종료될 것이라는 기대감이 반영된 것이다.그래픽=송윤혜대면 콘서트가 재개될 것이라는 전망에 대형 연예기획사들의 주가도 올랐다. 와이지엔터테인먼트의 주가는 올 들어 27.7% 올랐고,JYP엔터테인먼트는 24.1% 상승했다. 영화관 운영 업체인CJCGV도 12% 올랐다.정부는 앞으로 코로나 확진자 수가 안정적인 수준으로 관리된다면 실내 마스크 착용 정도를 제외한 나머지 방역 규제도 해제할 계획이다. 야외 마스크 착용 의무가 해제될 가능성이 생기면서 화장품 업체들의 주가도 많이 올랐다. 잇츠한불의 주가가 45.2% 올랐고, 토니모리는 22% 상승했다.해외에서 입국한 사람 중 코로나 백신 접종자에 대한 자가 격리가 해제되면서 여행·항공주도 날아올랐다. 제주항공이 27.6% 올랐고, 진에어(19.2%)와 티웨이항공(13.2%)도 모두 두 자릿수 상승률을 기록했다. 여행사인 레드캡투어(19.7%), 하나투어(17.3%), 모두투어(10.3%)도 10% 넘게 올랐다. 여행사 등에 투자하는 ‘TIGER여행레저 상장지수펀드(ETF)’는 10% 상승했다. 위축됐던 관광이 활성화될 것이라는 기대감에 대표적인 카지노주인 강원랜드의 주가가 16.4% 올랐고,GKL(16%)과 파라다이스(15.4%)도 상승세를 보였다. 숙박 업종의 호텔신라 주가도 6.8% 상승했다.코스피가 올 들어 지난 1일까지 8% 하락한 것을 고려하면 리오프닝주들의 강세가 두드러진다. 다만 방역 조치 해제로 기업의 실적이 개선될 것이라는 기대감 때문에 주가가 이미 크게 오른 만큼 앞으로 리오프닝주에 대한 투자에 주의해야 한다는 지적도 나온다. 편득현NH투자증권WM마스터즈 전문위원은 “정부의 거리 두기 완화 방침이 점점 구체화되고 있는 가운데 일부 리오프닝주의 주가는 코로나 이전보다도 높은 수준까지 오르는 등 과열 양상을 보이고 있다”며 “코로나 기간 동안 해당 기업의 경쟁력이 제대로 유지되었는지, 향후 이전과 같은 경영 성과를 낼 수 있을지 등을 꼼꼼히 따져보고 투자를 결정할 필요가 있다”고 했다.☞리오프닝(reopening)주코로나 사태로 위축됐던 대면 경제 활동이 재개됐을 때 수혜를 볼 수 있는 업종 주식. 주로 여행·항공이 주목받았지만, 노래방·주류·화장품·카지노 주식 등도 포함된다."
2023-11-20,"성신여대, 토니모리와 뷰티산업 발전 위한 협약 체결","성신여대 이성근 총장(왼쪽)와 토니모리 김승철 대표이사가MOU체결 후, 기념사진을 촬영하고 있다.성신여자대학교가 15일 글로벌 뷰티 브랜드 토니모리와 뷰티산업 관련 연구 개발, 브랜드 국제화, 전문 인재 양성 등의 산학협력을 위한 업무협약(MOU)을 체결했다고 16일 밝혔다.성신여대 돈암 수정캠퍼스에서 개최된 협약식에는 성신여대 이성근 총장과 토니모리 김승철 대표이사를 비롯하여 성신여대 전용필 연구산학협력단장, 이형민 국제대외협력처장, 윤태진 진로취업처장, 김주덕 뷰티융합대학원장 및 토니모리 배진형 상무, 김재희 이사 등 양 기관 관계자가 참석했다.양 기관의 주요 협약 내용은 ▲공동 관심 분야의 기술 개발 및 산학 연구과제 공동 수행 ▲협력사업 발굴 및 추진 ▲협력 분야 인재발굴을 위한 인턴 및 현장실습 운영 ▲취·창업 연계 및 관련 교육 프로그램 운영 ▲협력 분야 국내·외 진출을 위한 인력 교류 및 세미나 개최 추진 등이다.이번 협약을 기반으로 성신여대와 토니모리는 마케팅IC-PBL(IndustryCoupledProblemBasedLearning) 교과목 및 뷰티 콘텐츠 제작 관련 교과목 개발을 비롯하여 화장품 리서치 등 기초연구 중심의 협업을 통한 화장품 연구 개발, 토니모리의 전문 취업 특강 및 인턴십, 현장실습 등을 통한 학생들의 진로 및 취업 역량 강화, 지역 주민들을 대상으로 한 다양한 온·오프라인 뷰티 및 예술 프로그램도 지원 등 폭넓은 협업을 도모할 계획이다.성신여대 이성근 총장은 “이번MOU를 발판으로 글로벌 기업으로 성장, 발전하고 있는 토니모리와 함께K-뷰티업계를 이끌어갈 미래 인재들에게 창업, 연구개발 등 다양한 기회를 지속해서 확대할 수 있도록 노력하겠다”고 말했다."
2022-09-06,"토니모리 '염색샴푸' 시장서 퇴출 우려…""식약처 사용금지 추진 성분 포함""","토니모리의 염색샴푸 '튠나인 내추럴 체인지 블랙샴후'.사진 토니모리 홈페이지 캡처화장품 브랜드 토니모리가 판매하는 염색샴푸 '튠나인 내추럴 체인지 블랙샴푸'가 시장에서 퇴출될 위기에 놓였다.식품의약품안전처는 6일 염색샴푸에 사용되는 5개 염모제 성분을 화장품 원료로 사용하는 것을 금지하는 방안을 추진하고 있다고 밝혔다. 사용 금지가 추진되는 5개 성분은'o-아미노페놀'과 '염산m-페닐렌디아민','m-페닐렌디아민'과 '카테콜',그리고 '피로갈롤'이다.식약처는 오는 26일까지 이 성분을 화장품 원료로 사용 금지하는 것에 대해 의견을 받은 뒤, 후속 절차를 거쳐 올해 말까지 고시 개정 절차를 완료한다는 계획이다.특히 이 가운데 'ㅇ-아미노펠'은 토니모리의 염색샴푸 '튠나인 내추럴 체인지 블랙샴푸'에 사용되고 있는 성분이다. 식약처의 계획대로 해당 성분이 사용 금지될 경우, 내년 6월부터 튠나인 내추럴 체인지 블랙샴푸의 생산이 중단되고 판매가 금지될 전망이다. 개정일 6개월 후부터는 모든 화장품에 해당 성분 사용이 금지되기 때문이다.한편, 식약처의 이번 5개 성분에 대한 사용금지 추가 지정 추진은 올 초 '모다모다 샴푸' 논란으로 시작된 염모제 성분 76종에 대한 위해평가의 첫 결과다. 식약처는 늦어도 내년까지 염모제 성분 76종에 대한 평가를 마친다는 방침이다.위해평가 대상에는 아모레퍼시픽의 유명 염색샴푸 '려 더블이펙터 블랙 샴푸' 제품의 '2-아미노-6클로로-4-니트로페놀' 성분도 포함된 것으로 알려졌다."
2024-12-18,"'297억' 신세계 이명희 회장 한남동 집, 10년 연속 공시가 1위","서울 중구 충무로 1가 네이처리퍼블릭 명동월드점의 모습. 뉴스1서울 명동의 네이처리퍼블릭 부지가 22년째 전국에서 ‘가장 비싼 땅’으로 나타났다. 이명희 신세계그룹 총괄회장의 서울 용산구 한남동 자택은 10년 연속으로 표준 단독주택 공시가격 1위 자리를 지켰다.18일 국토교통부는 내년 1월 1일 기준으로 조사·산정한 표준지(60만 필지), 표준주택(25만 가구)의 공시가격 안을 발표했다. 표준지와 표준 단독주택은 전체 토지(3559만 필지)와 단독주택(408만 가구) 중 대표성이 있는 곳을 추린 ‘표본’이다. 개별공시지가와 개별주택가격은 표준지·표준주택 공시가격을 토대로 시‧군‧구에서 산정한다.박경민 기자표준 단독주택 공시가격 1위는 이명희 신세계그룹 총괄회장의 집으로 알려진 서울 용산구 이태원로55라길 단독주택(연면적 2862㎡)이다. 공시가 예정액은 297억2000만원으로 지난해(285억7000만원)보다 4.0% 올랐다. 해당 주택은 10년째 표준주택 공시가격 1위를 지키고 있다. 2위는 이해욱DL회장의 강남구 삼성동 주택(연면적 2617.4㎡)으로 내년 예정 공시가격이 192억1000만원이다. 3위는 삼성그룹 호암재단이 용산구 이태원동에 보유한 삼성그룹의 영빈관인 승지원(연면적 609.6㎡)이며, 내년 공시가격은 179억원으로 나타났다.표준지의 경우 서울 중구 충무로 1가 네이처리퍼블릭 부지(169.3㎡)의 내년 공시지가가 1㎡당 1억8050만원으로 가장 높았다. 지난해(1억7540만원)와 비교해 공시가격이 2.9% 오른 해당 부지는 22년째 표준지 공시가 1위를 지키고 있으며, 전체 면적으로 따진 토지 가액은 305억5865만원에 달한다. 전국 땅값 2위인 명동2가 우리은행 부지(392.4㎡)의 내년 공시지가는 1㎡당 1억7940만원이며, 3위인 충무로2가 부지(300.1㎡)는 1억6530만원으로 올해와 변동이 없었다. 땅값 4위인 충무로2가의 토니모리(71㎡) 부지는 1㎡당 1억6250만원이다.박경민 기자내년 공시가격은 지난달 19일 국무회의에 보고한 ‘2025년 부동산 가격 공시를 위한 현실화 계획 수정방안’에 따라 올해와 동일한 시세반영률(표준지 65.5%, 표준주택 53.6%)이 적용됐다. 올해 대비 표준지 공시가격은 2.93%, 표준주택은 1.96% 올랐다. 지난해 표준지가 1.10%, 표준주택이 0.57% 오른 것과 비교하면 상승 폭이 커졌다.표준지 공시가격은 서울(3.92%)·경기(2.78%)·대전(2.01%)·부산(1.84%)·인천(1.83%) 등 순으로 많이 올랐다. 서울에서는 강남(5.01%)·용산(4.78%)·서초(4.76%)·성동(4.67%)·종로구(4.00%) 등 순으로 공시가격이 상승했다. 표준주택은 서울(2.86%)·경기 (2.44%)·인천(1.70%)·광주(1.51%)·세종(1.43%) 등 순으로 변동 폭이 컸으며, 서울에서는 용산(3.70%)·강남(3.53%)·성동(3.41%)·동작구(3.28%) 등 순이었다.내년 표준지는 60만 필지이며, 공시지가의 정확성 제고를 위해 올해보다 2만 필지를 추가했다. 표준주택 역시 25만 가구로, 표준주택의 대표성을 확보하기 위해 주택멸실·용도변경·개발사업 등과 관련된 올해 표준주택 중 4000가구를 교체했다.토지·단독주택 보유세의 기준이 되는 표준지와 표준 단독주택의 내년 공시가격이 올해보다 오르면서 부동산 보유세 부담은 올해보다 늘어날 전망이다. 한편 아파트를 포함한 공동주택 공시가격은 내년 3월 공개된다. 공동주택 역시 올해와 동일한 시세반영률 적용하기로 했지만, 올해 서울 일부 지역 아파트값 급등으로 공시가격 상승 폭은 지역에 따라 편차를 보일 것으로 예상된다."
