date,title,content
2024-02-22,토스뱅크 대표 이은미 내정,"토스뱅크의 신임 대표로 이은미 전DGB대구은행 최고재무책임자(CFO)가 내정됐다. 21일 토스뱅크는 임원후보추천위원회가 이 전CFO를 차기 대표 후보로 단수 추천했다고 밝혔다. 임추위는 “금융 당국과의 원활한 소통 능력과 솔선수범의 리더십을 보유하고 있어 토스뱅크의 안정적 성장을 이끌어갈 최적의 후보자”라고 추천 이유를 설명했다. 1973년생인 이 후보자는 삼일회계법인, 스탠다드차타드(SC), 도이치은행 서울 지점,HSBC등을 거쳐 지난해부터 대구은행에서 시중은행 전환을 주도했다.이 후보자는 다음 달 28일 정기 주주총회와 이사회를 거쳐 대표로 취임할 예정이다. 이 후보자가 토스뱅크 대표로 취임하면, 권선주 전IBK기업은행장과 유명순 한국씨티은행장, 강신숙Sh수협은행장에 이어 국내 네 번째 여성 은행장이 된다."
2024-12-31,5대銀 모두 ‘예대금리차 1%p’ 넘겨,"작년 3월 이후 1년 8개월만/뉴시스금리 인하기에 접어들었지만 은행들이 예금 금리만 먼저 내리고 대출 금리는 높게 유지하면서 예금 금리와 대출 금리 차이가 확대되고 있다. 지난달 국내 5대 은행의 예대 금리차는 1년여 만에 모두 1%포인트대로 벌어졌다.30일 은행연합회 소비자포털에 공시된 ‘예대금리차 비교’ 통계에 따르면 11월 기준KB국민·신한·하나·우리·NH농협 등 5대 은행에서 취급한 가계 대출의 예대 금리차는 1~1.27%포인트로 집계됐다. 이는 햇살론뱅크·햇살론15 등 정책서민금융은 제외한 것이다. 5대 은행의 가계 예대 금리차가 모두 1%포인트를 넘은 것은 작년 3월 이후 20개월 만이다.은행별로 보면,KB국민은행과NH농협은행이 1.27%포인트로 가장 컸고, 이어 하나(1.19%포인트), 우리(1.02%포인트), 신한(1%포인트) 순이었다.KB국민은행의 경우 작년 2월(1.48%포인트)이후 21개월 만에 예대 금리차가 제일 크게 벌어졌다. 대부분 은행들이 8월 이후 예대 금리차가 계속해서 커지는 추세다.전체 19개 은행 중에서는 전북은행의 예대 금리차가 5.93%포인트로 가장 높았다. 전북은행은 “(대출 금리가 더 높은) 중저신용자 대출 취급 비율이 38.5%로 높기 때문”이라고 설명했다. 토스(2.48%포인트), 한국씨티은행(2.41%포인트), 카카오뱅크(2.04%포인트) 등은 2%포인트를 넘었다.이에 금융 당국의 ‘관치금리’가 은행들의 배만 불리고 있다는 지적이 나온다. 은행들은 지난 8월부터 당국의 가계 대출 관리 압박에 가산금리를 붙여 대출금리를 높였다. 한국은행이 두 차례 연속 기준금리를 0.25%포인트씩 내리면서 예금 금리는 하락하고 있지만, 당국의 압박에 대출 금리는 여전히 높게 유지되는 것이다.예대 금리차는 12월에도 확대될 가능성이 높다. 이날KB국민은행이 예·적금 금리를 최대 0.2%포인트 내리는 등 이달 들어 5대 은행이 일제히 예금 금리를 내리고 있기 때문이다. 다만 내년 초에는 이런 흐름이 꺾일 것이란 전망도 나온다. 은행들은 새해 들어 가계 대출 총량이 새로 생기면서 대출 총량 관리 압박이 줄고, 이에 가산금리 인하 등으로 대출 금리를 내릴 가능성이 점쳐지기 때문이다."
2024-01-19,"토스뱅크, 업계 최초로 환전 수수료 없애","살 때와 팔 때 같은 환율 적용인터넷 은행 토스뱅크가 국내 금융사 최초로 환전 수수료를 받지 않기로 했다. 18일 토스뱅크는 미국 달러, 일본 엔화, 유로화 등 통화 17개를 24시간 환전할 수 있는 외환 서비스를 출시하면서 이 같은 방침을 밝혔다.기존 은행들은 원화를 외화로 바꿀 때는 매매기준율(외화를 사고팔 때 기준점이 되는 환율)보다 높은 환율을 적용했고, 외화를 원화로 바꿀 때는 이보다 낮은 환율을 적용했다. 그리고 그 차액만큼을 환전 수수료로 가져갔다. 하지만 토스뱅크는 기존 은행이 거래 실적이나 장소에 따라 제각각인 환전 수수료가 고객의 불편을 낳았다고 판단, 모든 고객에게 외화를 살 때와 팔 때 같은 환율을 적용하기로 했다.토스뱅크 앱에서 외화 통장을 바로 만들 수 있다. 외화 통장은 기존 토스뱅크 체크카드를 그대로 활용하는데, 이 카드로 해외에서 결제할 때나 자동화기기(ATM)에서 입출금할 때도 수수료가 없다. 다만, 토스뱅크가 제휴하지 않은 일부ATM의 경우엔 수수료가 발생할 수 있다.환전 수수료가 사라지면서 전 세계 통화를 실시간으로 주식처럼 사고팔 수도 있게 됐다. 김승환 외환서비스 프로덕트오너(PO)는 “‘환테크’는 더 이상 고액 자산가의 영역이 아니다”라고 말했다."
2023-11-29,"토스뱅크, 중·저신용자 대출 비율 목표 달성 못할 듯","인허가 심사 불이익 받을 가능성최근 토스뱅크의 중·저신용자 대출 비율이 인터넷 은행 3사 중 유일하게 하락하면서, 연말까지 금융 당국과 약속한 비율을 달성하는 것이 사실상 어려워졌다는 분석이 나온다.28일 금융 업계에 따르면, 토스뱅크의 3분기(7~9월) 말 기준 중·저신용자 대출 비율은 34.5%로 2분기 말(38.5%)보다 약 4%포인트 떨어졌다. 카카오뱅크와 케이뱅크는 같은 기간 각각 1%포인트, 2.5%포인트 오른 것과 대비됐다. 중·저신용자 대출 비율이란 총 신용 대출 잔액에서 신용 평점 하위 50% 고객에 대한 잔액이 차지하는 비율이다.업계에선 토스뱅크의 연말 목표치인 44%는 사실상 달성 불가능해졌다는 관측이 지배적이다. 남은 3개월 안에 10%포인트 가까이 늘리는 것이 쉽지 않기 때문이다. 지난 2021년 인터넷 은행 3사는 금융 당국과 함께 이 비율의 향후 3년 목표치를 정했다. 취약 계층에 대한 자금 공급을 늘리겠다는 약속이었다. 목표치를 넘지 못하면 향후 당국의 각종 인·허가 심사에서 불이익을 받을 가능성이 크다.특히 토스뱅크는 올해도 목표치를 달성하지 못할 경우, 3사 중 유일하게 ‘3년 연속 미달’을 기록하게 된다. 2021년엔 3사가 모두 목표에 미달했지만, 작년엔 토스뱅크만 미달했다. 올해는 카카오뱅크와 케이뱅크가 각각 목표치인 30%, 32%에 미달하고 있지만, 높여야 하는 폭이 1.3~5.5%포인트로 토스뱅크보다 작다.토스뱅크는 중·저신용자 대출 비율이 낮아진 데 대해 “자산 건전성 관리 때문에 불가피했다”는 입장이다. 2분기 말 토스뱅크의 연체율은 1.56%로, 카카오뱅크(0.52%)나 케이뱅크(0.86%)보다 높았다."
2024-12-23,다시 보기 영상으로 이달 말부터 만나요,"본지 유튜브서 강연 무료 공개지난 20일 서울 강남구 세텍에서 2025 대한민국 재테크 박람회가 열렸다. 이상우 인베이드투자자문 사장이 내년에도 부동산으로 돈 버는 법을 주제로 강연하고 있다. /고운호 기자‘2025 대한민국 재테크 박람회’ 둘째 날인 21일에는 젊은 층의 관심이 높았다. 한 20대 커플은 “주말에 데이트도 하고 돈 버는 비법도 배워갈 겸 함께 오게 됐다”고 말했다.다양한 방송에서 20~30대의 재테크 멘토로 활동하고 있는 김경필 머니트레이닝랩 대표는 ‘진짜 노후 준비법’ 강연에서 “경기 수축 국면이 예상되는 만큼, 오버슈팅(단기 급상승)한 미국 주식시장에 과도한 쏠림 투자를 하는 것은 경계해야 한다”며 “노후 대비는 수익률이 아니라 안정성의 게임”이라고 강조했다.요즘 대중화된ETF(상장지수펀드) 투자 전략 강연도 큰 관심을 받았다. 김남호 타임폴리오자산운용 펀드매니저와 김효식 삼성액티브자산운용 팀장의 강연이 끝나자 개인 상담을 받고자 20여 명의 참관객이 긴 줄을 섰다. 두 사람은 기다린 모든 사람의 질문에 일일이 답했다. 김남호 매니저는 “마지막 강연이었는데도 열기가 대단했다”며 “재테크 박람회의 위력을 실감했다”고 말했다.30여 개 기업 부스에는 볼거리가 풍성했다. 5000원 캐시가 충전된 갤럭시아머니트리의 선불카드 1000장은 순식간에 동이 났다. 생성형 인공지능(AI) 검색을 서비스하는 스타트업 뤼튼테크놀로지스와 삼성금융네트웍스, 토스뱅크가 이벤트로 배포한 타포린백도 인기였다.금융 상담 코너도 북적였다. 동양생명과DB손해보험 부스에는 보험 리모델링을 고민하는 참관객들의 상담이 이틀간 이어졌다. 한국거래소KRX금시장 부스에서는 금 투자를 온라인으로 간편하게 하는 방법을 소개했다.연 인원 2만여 명이 참관한 이번 행사는 동영상과 서적으로도 다시 만날 수 있다. 강연 다시 보기 영상은 이달 말부터 조선일보 경제 유튜브 채널인 ‘조선일보 머니(youtube.com/@chosunmoney)’를 통해 순차적으로 공개된다. 지방에 거주해 참석하지 못했거나 1·2관 강연 시간이 겹쳐 미처 듣지 못했다면 유튜브에서 ‘조선일보 머니’를 검색해 영상으로 보면 된다. 구독 버튼을 누르면 쏠쏠한 금융 투자 강연을 무료로 시청할 수 있다. 강연 내용을 정리한 책은 내년 2월 출간될 예정이다."
2024-02-14,"大魚들이 돌아온다... 토스·야놀자·컬리 등 유니콘 기업들, 상장 재도전","토스·야놀자·컬리 등 플랫폼 기업,IPO다시 나서기로일러스트=김성규토스(비바리퍼블리카)·야놀자·컬리 등 유니콘(기업 가치 1조원 이상 비상장 스타트업)으로 평가받던 기업들이 올해 기업공개(IPO)에 나선다. 각각 금융, 여가 플랫폼, 전자 상거래 분야 기업이다. 이들은 지난 몇 년간 급격한 외형 성장을 이뤘다가 지난해 금리가 오르고 인플레이션 압력이 높아지며 시장 유동성 악화로 기업 가치가 크게 하락했다. 상장 유망주로 꼽히던 이들은 지난해IPO시장 문턱에서 발걸음을 돌렸다가 강도 높은 체질 개선을 거쳐IPO재도전에 나선다.大魚의 귀환?2021년 정점을 찍었던 플랫폼 스타트업들의 몸값은 1~2년 사이 반 토막이 났다. 유동성이 활발하던 팬데믹 기간에 사업 확장에 무리한 투자를 했다가 팬데믹이 끝나면서 자금 경색 국면을 맞았기 때문이다. 토스는 2021년 기업 가치가 30조원에 육박하는 수준까지 올랐지만 최근 장외시장 거래가를 기준으로 계산한 기업 가치는 8조8973억원이다. 고점의 30%에도 미치지 못하는 셈이다.컬리 역시 2021년 기업 가치 4조원을 인정받고 2500억원을 투자받았지만 현재 장외시장 기업 가치는 6795억2466만원으로 평가받는다. 지난해 상장을 목표로 2022년부터 준비에 들어갔지만 기업 가치가 급락하면서 결국 지난해 1월 상장 계획을 철회했다. 야놀자도 2021년 소프트뱅크의 비전 펀드 투자를 받을 당시 기업 가치가 8조원 이상에 달했지만 현재는 절반 수준이다.세 기업의IPO재도전 전략은 큰 틀에서 비슷하다. 성장·혁신·내수를 추구하던 기업의 목표를 수익·안정·글로벌화로 전환하는 식이다. 특히 그동안 매출을 늘리는 데만 골몰하던 이 기업들이 영업이익을 내는 데 집중하면서 업계에서는 “상장을 염두에 두고 실적 반등을 노리는 것”이라는 분석이 나온다.그래픽=김성규수익성 개선이 관건새해 들어 상장 준비를 시작한 비바리퍼블리카는 올해IPO시장의 최대어로 꼽힌다. 토스는 지난달 9일 국내외 주요 증권사에서 상장 입찰 제안서(RFP)를 받은 뒤 이달 초IPO대표 주관사로 한국투자증권과 미래에셋증권을 선정했다. 증권사들은 토스의 공모 후 시가총액으로 12조~16조원을 예상했다. 이 경우 유니콘이었던 비바리퍼블리카는 데카콘(기업 가치 10조원 이상 비상장사)으로 국내 증시에 입성하게 된다. 2016년 실적 공시를 시작한 이래 연간 실적에서 흑자를 기록한 적이 없지만 최근 자회사들이 약진하고 있다. 토스뱅크와 토스증권은 지난해 3분기 창사 이래 처음으로 흑자 전환에 성공했다.3년 전부터 상장이 거론된 야놀자는 지난해 말 뉴욕증권거래소 출신인 알렉산더 이브라힘을 최고재무책임자(CFO)로 선임하면서 올해 본격적인 상장 준비에 나선 것으로 알려졌다. 2021년 비전 펀드에서 2조원의 투자를 받은 것을 계기로 미국 증시 상장도 고려하고 있는 것으로 알려졌다. 야놀자는 클라우드 부문 매출이 증가하면서 지난해 3분기 영업이익 120억원을 거뒀다.지난해 12월 창립 9년 만에 처음으로 월간 흑자(EBITDA·상각 전 영업이익 기준)를 기록한 컬리 역시 연내 상장 예비심사를 신청할 것으로 알려졌다. 컬리는 지난해 상장에 고배를 마신 뒤 평택과 창원물류센터 증설에 투자하고 마케팅비를 줄였다. 또 지난해 9월 신선 식품을 찾는 30~40대 여성을 공략해 런칭한 뷰티 컬리가 거래액 3000억원을 달성하는 등 수익성 개선에 성과를 보이고 있다.문제는 상장 준비에 들어간 유니콘 플랫폼들이 부분적으로는 실적 개선을 이뤘지만 아직 연간 적자를 벗어나지 못했다는 것이다. 업계 관계자는 “유동성 잔치로 전례 없는 호황을 누린 유니콘 플랫폼 스타트업들이 처음 상장을 노렸던 2021년, 2022년과 지금의 시장 상황이 많이 달라졌다”며 “이들이 상장을 순조롭게 이루기 위해선 시장에 확실하게 수익성이 개선됐다는 것을 보여줘야 한다”고 했다."
2023-07-08,토스뱅크 일부 서비스 장애...이용자 불편,"인터넷은행인 토스뱅크가 8일 오전 일부 서비스에 오류가 생겨서 사용자들이 불편을 겪었다.강남구 토스뱅크 본사의 모습/연합뉴스토스뱅크는 이날 오전 9시 10분부터 9시 30분까지 대출 실행, 신규 예·적금 가입 등 일부 서비스 접속이 원활하지 않았던 것으로 알려졌다. 사용자별로 앱을 쓰지 못한 시간은 차이가 나지만 평균 20분 안팎인 것으로 전해졌다.토스뱅크는 “시스템 업데이트로 인해 일부 고객에게 오류가 발생했다.현재는 조치를 완료한 상태”라며 “이번 사안을 분석해 유사한 일이 발생하지 않도록 하겠다”고 밝혔다."
2024-12-21,강연마다 ‘앞자리 사수’ 전쟁… 30분 전부터 긴 줄,"[2025 대한민국 재테크 박람회] 행사 첫날, 추위에도 1만여 명 모여영하의 날씨는 재테크 정보를 얻기 위한 참관객들의 열정을 막지 못했다. 20일 서울 강남구 대치동 세텍(SETEC)에서 열린 ‘2025 대한민국 재테크 박람회’에는 첫날에만 1만여 명의 참관객이 박람회장을 찾았다.'2025 재테크 박람회'에서 김광석 한국산업경제연구원 경제분석실장의 강연에 참관객들이 빼곡하게 들어차 있다. /고운호 기자행사 시작 30분 전부터 박람회장의 전시관 두 곳에는 각각 긴 줄이 늘어섰다. 이날 첫 번째로 입장한 유홍렬(77)씨는 “신문에서 박람회 소식을 접하고 경기 구리에서 아침 일찍 왔다”며 “상속세와 증여세 관련 정보가 제일 관심사”라고 했다. 재테크에 대한 관심은 남녀노소를 가리지 않았다. 서울 마포에서 온 이민주(26)씨는 “이제 막 돈을 벌기 시작하고 돈을 모으다 보니 재테크에 관심이 많다”며 “친구가 박람회 소식을 알려줘 함께 왔다”고 했다.세법, 투자, 부동산뿐 아니라 은퇴 생활, 건강 관리까지 각 분야 1타 강사들의 강연에 대한 관심은 뜨거웠다. 프레젠테이션 화면이 넘어갈 때마다 내용을 사진으로 남겨두려는 참관객들로 연신 찰칵 소리가 났다. 필기를 하며 듣는 사람들도 많았다. ‘부스트라다무스(부동산+노스트라다무스)’로 불리는 이상우 인베이드투자자문 사장, ‘수퍼개미’ 남석관 베스트인컴 회장, 강창희 행복100세자산관리 연구회 대표 등의 강연마다 시작하기 30분 전부터 앞자리를 차지하려는 줄이 이어졌다. 노년 근력 운동법에 대해 강연한 김헌경 전 도쿄건강장수의료센터 연구부장이 자신의 저서 ‘근육이 연금보다 강하다’를 선물하겠다고 하자 30여 명이 손을 들었고, 세무법인 다솔의 안수남 대표가 강연을 마치자 참관객들은 그의 명함을 받기 위해 몰려들었다.KB·신한·우리·하나·NH농협 등 5대 금융지주를 비롯해 은행, 증권, 보험, 핀테크(IT를 접목한 금융) 업체 등 30여 곳 금융회사가 마련한 홍보 부스의 각종 이벤트와 사은품도 참관객들의 발길을 사로잡았다. 여러 금융사가 한 번에 모인 만큼 보험과 재무 설계 등을 비교해 상담받으려는 사람들로 부스마다 북적였다. 토스뱅크와DB손해보험에서 진행한 색깔공 뽑기 이벤트에는 매 시간 줄이 길게 늘어섰다. ‘돈이 들어온다’는 은행 달력, 텀블러, 에코백, 수건 등 금융회사들이 준비한 사은품도 인기였다."
2023-03-14,평균연봉 1억2000만원... 토스뱅크도 주요 은행 추월,"/뉴시스인터넷 전문은행인 토스뱅크의 연봉이KB국민은행 등 주요 시중은행보다 높은 것으로 드러났다.14일 토스뱅크가 공시한 ‘2022년 지배구조 및 보수체계 연차보고서’에 따르면, 지난해 토스뱅크 임직원의 평균 연봉은 1억1900만원이었다. 직원은 388명, 보수총액은 462억5700만원이었다. 2021년(6100만원)과 비교하면 두 배 가까이 늘었는데, 토스뱅크가 2021년 10월 출범해 크게 차이가 난 것으로 보인다.토스뱅크의 평균 연봉은 앞서 공개된KB국민은행(1억1300만원)이나 우리은행(1억400만원) 등 주요 시중은행보다 높은 수준이다. 출범 초기인 만큼 전문성이 높은 고연차 경력직 위주로 채용하고, 인재를 유치하기 위해 일시적 보상안 등을 지급해 개발자를 충원한 영향도 있다는 설명이다.카카오뱅크의 지난해 임직원 평균 연봉도 높은 수준이었다. 카카오뱅크의 임직원 평균 보수는 1억4600만원으로 집계됐다. 스톡옵션 행사 차익(542억원)을 빼면, 1인당 보수는 1억700만원 수준이라는 게 카카오뱅크의 설명이다.케이뱅크의 경우 지난해 임직원 평균 보수가 9600만원으로, 1억원에 약간 못미쳤다. 2021년(8000만원)보다는 20%가량 늘었다."
2023-01-31,토스뱅크는 “금리인하요구권 쓰실 때” 알려주던데… 다른 은행은 왜 안 할까요,"[Biz톡]금융 회사에서 대출을 받은 사람들에겐 금리인하요구권이 있습니다. 대출을 받을 때보다 월급이 오르거나 승진을 해서 신용도가 높아지면 은행을 상대로 “대출 금리를 내려 달라”고 요구할 수 있는 권리인데요. 인터넷전문은행인 토스뱅크가 작년에 받은 금리인하요구 건수가 시중은행보다 2배 이상 많았다는 자체 통계를 발표했습니다. 총 18만9000건으로, 4대 시중은행(KB국민·신한·하나·우리) 평균인 약 8만건의 2.36배라는 것입니다.시중은행에 비해 덩치가 훨씬 작은 토스뱅크에 금리 인하 요구가 몰린 것은 무엇 때문일까요? 토스뱅크가 다른 은행보다 금리를 높이 책정했기 때문일까요? 아닙니다. 오히려 역설적으로 토스뱅크가 금리인하요구권 안내에 가장 적극적이었기 때문입니다.금리인하요구권 제도는 2019년 6월부터 시행됐습니다. 하지만 좋은 취지에도 불구하고 이런 제도가 있다는 사실조차 모르는 대출자들이 많습니다. 금리인하요구권 사용이 지지부진하자, 금융 당국이 2022년부터 금융사들이 대출자들을 상대로 연 2회는 반드시 금리인하요구권에 대해 안내하도록 했습니다.토스뱅크는 여기서 더 한발 나아가 취업이나 승진, 이직, 성실 상환 등으로 신용점수가 상승한 경우 먼저 고객들에게 금리 인하를 요구할 수 있다고 알려주는 서비스를 제공하고 있습니다. 신용점수가 올라간 사실을 알게 된 고객들이 금리인하요구권을 적극 행사하도록 한 것이죠. 토스뱅크 관계자는 “알림을 받은 고객 중 32.1%가 금리 인하 혜택을 누릴 수 있었고, 금리 인하를 받은 고객들은 최초 대출 시보다 평균 0.8%포인트, 최대 7.3%포인트 금리가 낮아진 것으로 나타났다”고 했습니다.반면 상당수 은행들은 여전히 금리인하요구권 안내에 소극적입니다. 인터넷은행 카카오뱅크가 고객들의 신용도 변화 수치를 반영해 분기별로 알림서비스를 보내고 있고, 신한은행은 작년 5월부터 금리 인하 요구 안내 문자를 월 1회 정기적으로 발송합니다. 이들을 제외하면 대부분 당국의 지침대로 연 2회 정기 안내에 그치고 있는 실정입니다. 금융회사 입장에선 금리인하요구권은 수익 감소로 연결이 되기 때문에 굳이 적극적으로 안내할 유인이 없는 것이죠. 당국이 금리인하요구권 제도를 활성화하기 위해서는 모범적인 은행들에 대해 인센티브를 주는 방안을 고민해야 할 것 같습니다."
