date,title,content
2024-12-17,[경제계 인사] 티와이홀딩스 대표이사 오동헌 외,"티와이홀딩스 대표이사 오동헌태영그룹 지주회사 티와이홀딩스는 오동헌 부사장이 사장으로 승진해 신임 대표이사에 내정됐다고 16일 밝혔다.한미반도체 회장 곽동신한미반도체는 곽동신(50) 부회장이 회장으로 승진했다고 16일 밝혔다. 곽 회장은 한미반도체 곽노권 창업주의 아들로, 1998년 회사에 입사했다."
2022-12-01,[경제계 인사] 티와이홀딩스 외,▲티와이홀딩스▷전무 양윤석 황선호▷상무보 송용호▲태영건설▷부사장 이승모▷전무 안치열▷상무 이현석▷상무보 김영수 김인섭 백두성 이봉재 임기형 정광섭 조현민▲에코비트▷전무 이혜리 정세형▷상무 김수미▷상무보 신준식 윤상병 주승환▲이데일리▷사장 이익원▷상무 고규대▲KG케미칼▷부사장 김재익▷전무 김재수▷상무 백민제▲KG할리스F&B▷부사장 이종현▲KG이니시스▷전무 이선재 전승재▲KGE&C▷전무 윤병석▲KG스틸▷상무 조기연 한상무▷상무(보) 민영득▲KG모빌리언스▷상무 유충균▷상무(보) 최현수▲KGICT▷상무(보) 정철환▲KGE&C▷상무(보) 박상영 장호석▲KG제로인▷대표이사 한수혁▲대유에이텍▷전무 김현태▷상무 범형택▲대유에이피▷상무 김영남▲대유홀딩스▷상무 최광옥▲대유몽베르조합▷상무 장관희▲대유글로벌▷상무보 최재인▲대보정보통신▷부사장 최재훈 ▷상무보 이형채 이성진 임주환 황지환 유도삼▲대보건설▷전무 이동우 ▷상무보 진상균 조영찬 이윤석 이병복 김영관▲대보유통▷상무보 최영우▲대보그룹▷전무 정승인▲바디프랜드▷대표이사 김흥석▲DB자동차보험손해사정▷대표이사 유세종 ▲DBCNS▷대표이사 이대진▲현대해상▷CPC전략부문장 이권도▷AM영업부문장 한정근▷개인영업부문장 박종필▷인사총무지원부문장 진한승
2024-01-09,윤세영 태영 창업회장 “티와이홀딩스·SBS  주식 담보도 검토”,"윤세영 태영그룹 창업회장이 9일 오전 서울 영등포구 태영건설 여의도 사옥에서 워크아웃 관련 기자회견을 하고 있다. 왼쪽은 윤석민 태영그룹 회장./뉴스1태영건설 워크아웃(기업 구조 개선 작업)을 신청한 태영그룹이 기존 자구계획 외에 다른 계열사 매각과 담보 제공을 약속했다. 부족할 경우 지주회사인 티와이홀딩스와SBS주식도 담보로 제공할 방침을 밝혔다.윤세영 태영그룹 창업회장은 9일 서울 여의도 태영건설 본사에서 기자회견을 열어 “티와이홀딩스와 대주주인 윤석민 회장, 그리고 창업자인 제가 채권단에 확약했다”며 “기존 자구계획에 포함된 내용 이외에 다른 계열사 매각이나 담보제공을 통해 추가 자금 확보해서 투입할 계획도 갖고 있다”고 밝혔다.이어 “채권단 여러분의 지원만 바라지 않고 저희가 해야할 자구노력을 더욱 충실히 수행하겠다”며 “만약 그래도 부족할 경우에는 지주회사인 티와이홀딩스와SBS주식도 담보로 해서 태영건설을 꼭 살리겠다”고 했다.앞서 태영그룹은 지난 8일 워크아웃 개시를 위한 전제 조건이었던 태영인더스트리 매각 대금 중 미납분 890억원을 태영건설에 모두 집어넣는 등 당초 제시했던 4가지 자구안을 모두 지키기로 약속했다. 윤 창업회장은 “워크아웃 신청 이후 열흘 남짓한 기간 동안 채권단에 제출한 자구계획을 성실히 이행하기 위해 최선을 다 했으나 일부 자구계획의 미이행 논란을 자초하기도 했다”며 “채권단 여러분께 오해와 혼란을 드린 점 사과드린다”고 했다.태영그룹 윤세영 창업회장이 9일 오전 서울 여의도 태영건설 본사에서 워크아웃 관련 기자회견을 하고 있다. /연합뉴스그동안 태영그룹 측은 경영권이 흔들릴 수 있다며 사주 일가 지분의 담보 제공 또는 매각 가능성을 배제했다. 그러나 정부와 채권단의 압박에 결국 티와이홀딩스와SBS지분 담보 제공을 검토하기로 한 것으로 보인다. 윤 창업회장에 이어 윤석민 회장도 “태영건설을 살리기 위해 필요하다면 티와이홀딩스와SBS보유지분도 담보로 제공하고 창업회장님과 뜻을 같이해 태영건설 워크아웃을 성공적으로 마무리하겠다”고 했다.이와 관련해 최금락 티와이홀딩스 부회장은 “기존 네 가지 자구책이 철저하게 이행만 되어도 워크아웃 플랜이 확정되는 4월까지는 태영건설의 유동성 부족 문제가 해소될 것이라 판단하고 있다”며 “여러 사정에 의해 그러지 못할 경우 대주주의SBS와 티와이홀딩스 지분 모두를 걸겠다는 각오를 표명한 것”이라고 설명했다.다만, 일각에서 거론되는SBS지분 매각과 관련해서는 “방송기업이라 일반기업과 달리 법적 규제가 굉장히 많아 실제적으로 매각은 어렵다”며 “담보 제공 자체는 유권 해석을 받아보니 별 문제가 없어서 분명하게 말씀드린 것”이라고 했다.채권단의 사재 출연 요구가 받아들여지면서 태영건설 워크아웃 개시에 청신호가 켜졌다. 채권단은 11일 협의회를 열고 워크아웃 개시 여부를 투표로 결정한다."
2024-08-27,"태영건설 ‘자구안 핵심’ 에코비트, 2조원에 매각","IMM컨소시엄과 매매계약 체결에코비트에너지경주 전경. /에코비트태영건설의 워크아웃(기업 구조 개선 작업) 일환으로 매각을 추진한 폐기물 처리 업체 에코비트가 2조700억원에 매각된다. 태영그룹은 확보한 자금으로 고금리에 빌린 차입금을 갚아 재무구조 안정화에 속도를 내겠다는 계획이다. 에코비트 매각 건은 태영그룹이 채권단에 약속했던 자구안 가운데 핵심 내용이었던 만큼, 매각이 성공적으로 마무리되면 태영건설 워크아웃 조기 졸업에도 청신호가 켜질 전망이다.태영그룹 지주회사인 티와이홀딩스는 사모펀드IMM컨소시엄(IMM프라이빗에쿼티·IMM인베스트먼트)에 에코비트 지분 전부를 2조700억원에 매각하는 주식 매매 계약을 체결했다고 26일 밝혔다. 에코비트는 단순 폐기물과 폐수뿐만 아니라 의료 폐기물까지 처리 가능한 국내 1위 종합 폐기물 처리 업체다. 지난해 매출액 6744억원, 영업이익 1100억원을 기록했다. 현재 티와이홀딩스와 글로벌 사모펀드인 콜버그크래비스로버츠(KKR)가 지분을 50%씩 보유하고 있다.이번 매각은 태영건설 워크아웃 작업의 일환으로 이뤄진 것이다. 태영건설은 부동산PF(프로젝트파이낸싱) 대출 부실로 인해 올 초 기준 우발 채무가 2조5000억원에 달한다. 태영건설은 에코비트 매각 등을 핵심으로 하는 1조6000억원 규모의 자구안을 바탕으로 채권단의 동의를 얻어 올해 1월부터 워크아웃이 개시됐다.이번 매각 절차가 마무리되면 태영건설 워크아웃 조기 졸업에도 청신호가 켜질 것이란 지적이다. 티와이홀딩스는 매각 대금 중 50%를 수령하게 된다. 이 중KKR에 티와이홀딩스 지분을 담보로 빌린 대출금 4000억원과 이자 등을 상환하면 5000억원가량의 현금을 확보할 수 있을 것이란 전망이 나온다.이에 앞서 태영그룹은 계열사 블루원 소유 골프장 4곳을 매각해 3000억원을 마련하고, 태영건설 소유 광명 테이크호텔(1100억원)과 여의도 사옥(2500억원)도 매각을 준비하고 있다. 또 세운5구역(세운5-1·3) 재개발사업 지분과 시공권을GS건설에 파는 식으로 부동산 자산 매각에도 나선 상태다."
2024-01-10,"태영,SBS 지분도 내놨지만...건설사들, 상반기만 12조 갚아야","[태영 추가 자구안 발표] 부동산PF發 위기는 여전뉴스1‘태영건설 워크아웃(기업 구조 개선 작업)’과 관련해 채권단과 금융 당국이 오너의 사재 출연을 요구하자, 태영그룹은 윤석민 회장 등 오너들이 보유한 지주회사 티와이(TY)홀딩스와 티와이홀딩스가 가진 방송사SBS지분을 담보로 제공하겠다는 안을 내놨다. ‘지분 담보’는 당장 지분을 매각해서 자금을 넣는 것은 아니다. 하지만 워크아웃 과정에서 태영건설의 자금이 부족해지면, 오너들은 이 지분을 담보로 내놓고 자금을 대출받아 투입하기로 채권단과 합의했다. 이 때문에 지분 담보도 사재 출연과 같은 효력을 갖는다는 것이 채권단의 판단인 것으로 알려졌다.태영건설이 워크아웃을 통해 회생하는 것으로 방향이 잡히면서 건설 업계는 한숨 돌리는 분위기다. 하지만 올 상반기 중PF(프로젝트 파이낸싱) 만기가 줄줄이 돌아오는 데다 건설 경기 침체도 회복될 기미가 안 보이고 있어 살얼음판 같은 긴장감은 여전하다.PF는 건설사들이 건설 비용을 조달하기 위해 금융회사에서 빌리는 돈인데, 최근 고금리와 공사비 급등으로 착공이 미뤄지면서PF대출 상환에 어려움을 겪고 있다.그래픽=박상훈◇기존 자구안인 자회사 매각 등으로 1조5000억원 조달태영건설의 워크아웃이 시작되면 태영그룹은 자회사 매각, 부실 사업장 정리, 인력 구조 조정 등 본격적인 기업 체질 개선 작업에 돌입하게 된다. 이날 제시한 자구안 중 물류 자회사 태영인더스트리의 매각 대금 1549억원은 이미 태영건설에 투입됐다.업계가 가장 관심을 갖는 것은 환경 전문 기업인 자회사 에코비트의 매각이다. 2022년 매출 7560억원, 영업이익 2255억원의 실적을 거둬 ‘알짜’라는 평가를 받는다. 시장에서 평가받는 기업 가치는 2조~3조원에 달한다. 해외 사모 펀드KKR과 티와이홀딩스가 지분을 절반씩 갖고 있다. 최금락 티와이홀딩스 부회장은 “KKR도 에코비트를 공동 매각하기로 합의했다”고 말했다.그래픽=박상훈에코비트 매각 때까지 태영그룹은 우선적으로 다른 자회사 지분을 담보로 대출을 받아 태영건설을 지원할 것으로 관측된다. 골프·레저 자회사 블루원과 농산물 창고업을 하는 평택싸이로가 대상이다. 티와이홀딩스와 그룹 오너 일가가 가진 두 회사의 지분 가치를 더하면 조달 가능한 돈은 2000억원 정도로 예상된다. 이 같은 자구안으로 태영그룹이 마련할 수 있는 전체 자금은 1조5000억~1조6000억원 정도로 추산된다. 다만 자회사 매각이 지연되거나 매각 대금이 적어 조달 자금이 부족해지면 태영은 오너 일가 소유 티와이홀딩스 및SBS지분을 담보로 추가 자금 조달에 나서게 된다. 태영 관계자는 “4월 이전에 자구안이 충실히 이행되면 유동성 문제가 발생하지 않을 걸로 예상하지만 혹시 돈이 부족하면 오너의 지분을 담보로 자금을 조달할 것”이라고 말했다. 태영 측은 미디어 계열사인SBS미디어넷 등 다른 계열사를 활용해 자금을 추가 조달하는 방안도 채권단과 협의 중이다.◇PF불안은 여전태영건설 워크아웃으로 당장 협력사들이 줄도산하는 사태는 막았지만, 건설 업계 위기감은 여전하다. 지난 부동산 호황기에 무리하게 추진했던 건설 현장이 아직 정리되지 않고 있는 데다, 고금리 기조도 당분간 이어질 가능성이 높기 때문이다. 특히 부채 비율이 높고 지방 사업장이 많은 일부 중견 건설사 사이에선 “작년보다 올 상반기가 더 큰 고비”라는 말이 나온다.한국신용평가에 따르면 작년 9월 말 기준 국내 대표 건설사 16곳이PF대출에 대해 보증을 선 금액은 총 28조3000억원으로 2020년 말(16조1000억원)에 비해 75% 늘었다. 공사가 제대로 진행되지 않으면 건설사들이 고스란히 물어줘야 할 돈이다. 국내 건설사들의 순차입금도 2018년 4000억원, 2021년 1조4000억원에서 작년 9월 10조5000억원으로 급증했다. 한국기업평가가 23개 증권사를 조사한 결과에 따르면 올 상반기 중 만기가 돌아오는PF는 11조9000억원에 달한다.김정주 건설산업연구원 연구위원은 “현재PF대출 만기가 연장된 사업장 대부분은 분양 또는 매각에 실패해 사업성을 확보하기 어려운 곳들”이라며 “세제 및 금융 지원, 개발 계획 변경 등을 통해 사업성을 최대한 높여주고, 정상화가 어려운 곳은 신속하게 정리해PF불안이 거시경제 전반으로 전이되는 것을 막아야 한다”고 말했다."
2024-01-10,"태영, SBS 지분도 담보로 내놓는다","윤세영 창업회장, 추가 자구안지주사 지분도 담보 제공 밝혀윤세영 태영그룹 창업회장이 9일 태영건설의 워크아웃(기업 구조 개선 작업)을 위해 오너들이 보유한 지주회사 티와이(TY)홀딩스와 티와이홀딩스가 가진 방송사SBS지분을 채권단에 담보로 제공하겠다고 발표했다. 그동안 금융 당국과 채권단이 태영건설의 워크아웃 전제 조건으로 요구한 오너가 사재 출연을 받아들인 것이다. 이에 따라 11일 예정된 채권자협의회에서 태영건설의 워크아웃 수용 가능성이 커졌다. 건설업계의 ‘프로젝트 파이낸싱(PF)’ 부실 위기도 한고비 넘길 수 있게 됐다는 평가가 나온다. 워크아웃은 기업이 도산을 피하기 위해 채권 금융회사 지원을 받아 추진하는 재무 구조 개선 작업이다. 채권단의 75%가 동의하면 태영건설 워크아웃이 시작되는 데 부채 상환이 유예되고, 일부 부채를 탕감받게 된다. 대신 자산 매각 등 강도 높은 구조조정을 해야 한다.윤세영 태영그룹 창업회장은 이날 서울 여의도 태영건설 본사에서 기자회견을 열고 “채권단의 지원만 바라지 않고, 저희가 해야 할 자구 노력을 더욱 충실히 수행하겠다”며 “만약 그래도 부족할 경우 티와이홀딩스와SBS주식도 담보로 해서 태영건설을 꼭 살리겠다”고 밝혔다.태영그룹은 지난 3일 채권단 설명회에서 태영인더스트리 매각 대금 1549억원을 태영건설에 투입하고, 에코비트와 블루원, 평택싸이로 등 계열사 매각 또는 담보 제공을 자구안으로 제시했다. 그러나 채권단과 금융 당국은 워크아웃 개시를 위해선 기존 자구안에 더해 태영그룹 오너 일가가 추가로 사재를 출연해야 한다고 요구해왔다.그동안 태영그룹 측은 ‘경영권이 흔들릴 수 있다’며 사주 일가 지분의 담보 제공이나 매각 가능성을 배제했다. 그러나 채권단과 당국의 압박이 거세지고, 워크아웃 무산 가능성까지 거론되자 결국 티와이홀딩스와SBS지분 담보 제공을 수용하기로 한 것으로 풀이된다. 하지만 두 회사 지분을 담보로 조달할 구체적 액수에 대해서는 명확히 밝히지 않았다. 최금락 태영그룹 부회장은 “방송 기업이라 일반 기업과 달리 법적 규제가 아주 많아 실제로 매각은 어렵다”며 “담보 제공을 통해 자금을 조달할 수 있다”고 말했다."
2024-01-09,"태영, 지주사 오너 지분 33.7% 담보로 내놓는다… 워크아웃 급물살","자구안 이행하고 ‘+α’도 내놓기로8일 서울 영등포구 한국수출입은행에서 태영건설 워크아웃 관련 현안을 논의하기 위한 ‘거시 경제·금융 현안 간담회’가 열렸다. 왼쪽부터 박춘섭 대통령실 경제수석, 이창용 한국은행 총재, 최상목 경제부총리, 김주현 금융위원장, 이복현 금융감독원장, 강석훈 산업은행 회장이 자리했다. /기획재정부태영그룹이 대주주들의 티와이홀딩스 지분을 채권단에 담보로 제공하기로 하면서 태영건설 워크아웃(기업 구조 개선 작업) 협상이 급물살을 타게 됐다. 윤석민 회장 등 대주주들의 사재(私財)인 티와이홀딩스 지분(33.7%)을 담보로 내놓는 것은 채권단과 금융 당국이 요구한 추가 자구안의 핵심이었다.앞서 태영그룹과 채권단은 태영인더스트리 매각 대금이 태영건설에 제대로 지원됐는지를 두고 공방을 벌였고, 한때 워크아웃 무산 가능성까지 제기됐었다.태영 측이 지난달 28일 태영건설의 워크아웃을 신청하면서 태영인더스트리 매각 대금 1549억원을 태영건설에 지원하기로 약속했는데, 이 중 890억원을 티와이홀딩스의 태영건설 연대보증 채무를 갚는 데 쓴 것이 발단이었다. 금융 당국과 채권단은 “티와이홀딩스의 채무 변제에 사용한 자금은 오너 일가의 경영권 유지를 위한 목적일 뿐, 태영건설을 지원한 것이라고 볼 수 없다”고 했지만, 태영 측은 “태영건설을 대신해 티와이홀딩스가 개인투자자 보호 차원에서 직접 상환한 것이기 때문에 태영건설에 지원한 것이 맞는다”는 주장을 이어왔다.◇태영 측 약속 이행에 분위기 급반전팽팽하게 맞서던 양측의 분위기가 바뀐 것은 8일 태영 측이 그동안 태영건설에 지급하지 않았던 태영인더스트리 매각 자금 중 890억원을 추가로 완납하면서부터다. 채권단 관계자는 “태영인더스트리 매각 자금 완납을 통해 태영 측이 계열사 에코비트·블루원·평택싸이로 등의 지분을 팔거나 담보로 제공하겠다는 기존 자구 계획도 성실하게 이행하겠다는 의지를 분명히 밝힌 것”이라고 말했다.그래픽=양진경티와이홀딩스는 윤세영 창업 회장의 딸 윤재연 블루원 부회장에게SBS주식 117만여 주를 담보로 제공하고 330억원을 빌리는 등 890억원을 마련해 태영건설에 지원했다. 골프·리조트 계열사인 블루원에서 100억원을 추가로 빌렸고, 티와이홀딩스 회삿돈까지 투입했다.이날 오전 최상목 경제부총리가 주재한 거시경제·금융현안 간담회에서는 태영 측의 약속 이행에 대해 “일부 진전이 있었다”는 긍정적인 평가가 나왔다. 회의 직후 금융 당국은 “여러 불확실성을 감안해 모든 가능성을 열어두겠다”면서도 채권단에 “자구 노력 의지가 확인될 경우 워크아웃 절차를 정상 진행해 달라”고 당부하기도 했다.◇채권단 75% 동의받는데 큰 문제 없을 듯기존 자구안을 성실히 이행하겠다는 약속에 이어 채권단과 금융 당국이 태영 측에 추가적으로 요구했던 ‘플러스 알파 (+α)’까지 이행하면서 태영건설의 워크아웃 개시 가능성은 한층 높아졌다. 금융 당국 고위 관계자는 “기존 자구안이 실행되기까지 시간이 걸리기 때문에 워크아웃이 순조롭게 진행되기 위해서는 추가 자금이 필요하다는 게 채권단의 생각”이라며 “이에 따라 지주사 지분을 담보로 돈을 마련하는 추가 자구안을 요구한 것”이라고 말했다.이복현 금융감독원장은 9일 오전 주요 금융지주 회장들과 회의를 갖고 태영건설 워크아웃 관련 사안을 논의한다. 산업은행을 포함한 은행권의 의결권이 33%에 달해 워크아웃 개시에 필요한 75% 중 상당 부분을 차지하기 때문에 이들과의 논의가 가장 우선이라는 판단 때문이다. 채권단 관계자는 “은행권과 건설공제조합, 새마을금고·신협의 채권 의결권을 모두 합하면 워크아웃 동의를 받는 데 큰 문제가 없을 것으로 판단한다”고 말했다."
2024-01-09,"태영, 지주사 오너 지분 담보로 내놓기로",티와이홀딩스 지분 33.7% 보유오늘 태영건설 추가 자구안 발표태영건설 워크아웃(기업 구조 개선 작업)을 신청한 태영그룹이 지주회사인 티와이홀딩스의 대주주 지분을 채권단에 담보로 내놓기로 했다. 윤석민 회장을 비롯한 대주주들은 티와이홀딩스 지분 33.7%를 보유하고 있다. 채권단 고위 관계자는 8일 “태영그룹이 9일 오너 일가가 보유한 티와이홀딩스 지분을 담보로 내놓는 것을 포함한 추가 자구안을 발표할 것으로 알고 있다”고 말했다.태영그룹은 8일 워크아웃 개시를 위한 전제 조건이었던 태영인더스트리 매각 대금 중 미납분 890억원을 태영건설에 모두 집어넣는 등 당초 제시했던 4가지 자구안을 모두 지키기로 약속했다. 그러나 에코비트와 블루원 등 계열사를 매각하는 데 시간이 걸리기 때문에 중간에 필요한 자금을 채권단에서 지원받는 조건으로 지주사 지분을 담보로 내놓기로 한 것이다.태영 측의 지주사 지분 담보 제공으로 대주주 사재를 추가로 출연하라는 채권단 요구가 받아들여짐에 따라 태영건설 워크아웃은 속도감 있게 진행될 전망이다. 채권단은 11일 협의회를 열고 워크아웃 개시 여부를 투표로 결정할 방침이다.
2024-01-09,"이복현, 태영 윤세영 만나 ‘담판’ … “지주사 유동성 어렵게 만들면 안돼”","이복현 금융감독원장이 9일 오전 서울 중구 은행연합회에서 열린 신년 금융현안 간담회에서 인사말을 하고 있다. /연합뉴스이복현 금융감독원장은 9일 태영건설 워크아웃과 관련해 “채무자 측이 회사를 살리려는 의지가 확인될 경우 채무자의 직접 채무뿐만 아니라 직간접 채무, 이해관계자에 대한 지원 등도 폭넓게 고려하는 것이 워크아웃 본래 취지에 부합한다”고 밝혔다.이 원장은 이날 오전 서울 중구 은행연합회에서 7개 금융지주(KB,신한, 하나, 우리, 농협, 한투, 메리츠) 회장, 산업은행 회장, 기업은행장과 함께 ‘신년 금융 현안 간담회’를 열고 이같이 말했다.이 원장은 “그룹 내 일부 계열사의 워크아웃 과정에서 모회사를 포함한 그룹 전체의 유동성에 문제가 생기는 의도치 않은 결과를 피할 수 있도록, 워크아웃 신청기업뿐만 아니라 모기업 등 연관회사의 유동성 상황을 종합적으로 고려하여 판단할 필요가 있다”고 했다.이는 태영건설이 신청한 워크아웃이 개시되면, 채권단이 지주사 티와이홀딩스를 포함한 태영그룹 전반의 유동성에 문제가 생기지 않도록 지원해야 한다는 시각으로 풀이된다.보증채무 청구, 태영홀딩스에 집중돼이런 ‘지주사 유동성 지원’ 발언 배경엔, 최근 이 원장이 태영그룹 윤세영 창업회장을 직접 만나 티와이홀딩스의 어려운 자금 사정에 대해 설명 들은 것이 작용한 것으로 알려졌다.이 원장은 이날 간담회를 마친 뒤 기자들과 만나 “(지난 4일 신년 간담회 이후) 윤세영 회장이 보자고 해서 한 번 만났다”며 지난주 중후반 이후부터 (태영 측의 자구 의지에 대해) 상당한 불신이 쌓였는데. 그런 상황에서  어떤 어려움이 있었는지에 대해 얘기를 들었다”고 했다.그에 따르면, 이 만남에서 윤 회장은 ‘부동산 프로젝트파이낸싱(PF) 관련 보증채무 청구가 티와이홀딩스에 집중되고 있다'는 설명을 한것으로 보인다. 그런 상황에서 디폴트(채무 불이행)을 막기 위해 일부 자금으로 태영건설 대신 티와이홀딩스를 방어했다는 취지다.이 원장은 “특정 계열사의 워크아웃은 해당 기업만의 문제가  아니라 전체 (그룹) 유동성을 챙겨 봐야 한다”며 채권단이 (티와이홀딩스에) 보증 채무 정구를 일제히 해 해당 기업의 유동성을 어렵게 만드는 것은 (워크아웃 취지와) 맞지 않는다”고 했다.결국 협의 과정 막판에 금융 감독 당국의 이 원장과 태영그룹의 윤 회장이라는 ‘투 톱'이 만나 큰 그림 차원에서 협상의 물꼬를 튼 것 아니냐는 풀이가 나온다.금융당국, 부동산PF정상화 속도낼 듯이 원장은 부실기업에 대한 채권금융사의 선제적 구조조정을 당부하기도 했다.  그는 “향후 취약기업의 구조조정이 지연돼 시장 불안요인으로 작용되지 않도록 하기 위해서는 채권금융사가 보다 엄중한 상황 인식을 바탕으로 적극적이고 선제적인 구조조정 노력을 해야 한다”고 말했다.그러면서 “만약 향후 1~2년 내에 다시 저금리 환경에 기반한 부동산 호황이 올 수 있다는 막연한 기대를 근거로 예상되는 손실인식을 지연하고 구조조정을 미루기만 하는 금융사가 있다면 감독당국은 좌시하지 않고 엄중 대응할 것”이라고 말했다.이 원장은 부동산PF사업의 정상화 추진에 대해서도 언급했다. 이 원장은 “이번 사안을 계기로 시장불안 요인으로 작용하고 있는 부동산PF사업장을 전체적으로 종합 점검해 사업성이 없는PF사업장이 보다 신속히 정리될 수 있도록 속도를 낼 필요가 있다”며 “부동산PF문제는 작년부터 채권 금융사들의 적극적인 협조에 힘입어 대주단협약을 가동하는 등 연착륙 유도가 이뤄지고 있어 시스템리스크 발생 등의 문제가 없다는 견해가 많지만, 그 정리 속도가 너무 느리다는 비판도 없지 않다”고 말했다."
2024-01-08,"“태영, 사재 출연·SBS지분 매각 등 ‘새 돈’ 넣어라”... 초고강도 압박","태영건설 워크아웃 무산설 나와태영그룹에 대한 정부와 채권단의 고강도 압박이 이어지고 있는 것은 태영 측이 워크아웃(기업 구조 개선 작업)을 통해 거액의 빚 탕감을 바라면서도 스스로 고통을 분담하겠다는 자세를 보이는 데 주저하고 있다는 판단 때문이다. 태영그룹 윤석민 회장이 약속했던 태영건설 지원 대신 지주사인 티와이홀딩스 빚을 갚는 데 먼저 쓰거나, 사재를 조건 없이 내놓는 대신 대출하는 형태로 지원하는 모습을 보이면서 “태영그룹이 꼬리 자르기식으로 태영건설을 버리려는 것 아니냐”는 우려가 크다.오는 11일 채권단 회의에서 최대 600여 곳에 달하는 태영건설 채권자 중 75% 이상이 회사 측 자구안에 동의하지 않으면 워크아웃은 무산된다. 태영에 남은 선택지는 법정관리나 청산뿐이다. 7일 금융 당국 고위 관계자는 “태영 측이 사안을 매우 안이하게 보는 것 같다. 지금으로선 자구 노력이 턱없이 부족하다”면서 “정부는 어떤 경우에도 원칙에 따라 처리하려고 한다. 법정관리도 시나리오에 있다”고 말했다.법정관리는 워크아웃보다 강도 높은 기업 구조조정으로, 기업에 돈을 빌려준 금융 채권은 물론 일반적 상거래 채권까지 모든 채무가 동결된다. 추가 자금 지원도 없다. 법적 강제력을 앞세워 부실을 털어낼 수 있다는 장점이 있지만, 이 과정에서 많은 협력사가 피해를 볼 가능성이 있다. 또 채권단과 대주주가 협의해 경영하는 워크아웃과 달리, 법정관리에서는 대주주 경영권을 뺏는 경우가 많다.◇기존 자구안+’알파’ 요구하는 채권단금융 당국과 채권단에 따르면, 태영그룹은 주말 사이 채권단이 워크아웃 개시를 위한 전제조건으로 기존에 내걸었던 자구안 4가지를 충실히 이행하겠다는 뜻을 전달했다. 4가지 자구안은 자회사 태영인더스트리 매각 대금(1549억원)의 태영건설 지원, 에코비트 매각 추진 및 매각 대금 지원, 블루원 지분 담보 제공 및 매각 추진, 평택싸이로 지분 62.5% 담보 제공 등이다. 이 중 첫째인 태영인더스트리 매각 대금 지원과 관련, 당국·채권단과 태영의 줄다리기가 치열했다. 태영그룹은 매각 자금 중 890억원을 태영건설에 지원하지 않고 대신 지주사 티와이홀딩스의PF(프로젝트 파이낸싱)사업장 연대보증 채무를 갚는 데 넣었다. 워크아웃 신청 때는 계열사 매각 대금을 태영건설 살리기에 사용하겠다고 해놓고, 실제론 지주사 빚 상환에 동원한 것이다.금융 당국 관계자는 “기존 자구안은 워크아웃을 신청한 태영 측이 당연히 이행해야 할 전제조건이자, 논의의 베이스라인(출발선)”이라면서 “이를 이행하는 건 당연하고, ‘플러스 알파’를 가져오는 게 중요하다. 이런 내용이 있는지를 볼 것”이라고 말했다. 당국과 채권단은 태영그룹 사주 일가의 추가 사재 출연과 필요시SBS지분 매각 등을 통해 태영건설에 ‘새 돈’이 들어가는 모습이 확인돼야 한다는 입장이다. 태영그룹이 이런 내용까지 담은 추가 자구안을 내놓을지가 관건이다.그래픽=김성규◇”SBS지키려다SBS까지 잃을 수도”채권단 안팎에선 7일까지도 태영 측이 사재를 출연하면서까지 워크아웃에 돌입하기보다 법정관리에 대비해 티와이홀딩스 연대채무 상환과 자본 확충을 하면서 지주사와 알짜 계열사SBS지키기에 나섰다고 보고 있다. 현재 티와이홀딩스가 태영건설PF사업장 등에 대해 신용 보강 목적으로 연대보증을 선 규모가 3000억원대를 넘는 것으로 알려졌다. 채권단 안팎에선 태영그룹 측이 수많은 채권자와 협력사를 놔두고 자기 이익 챙기기에만 급급한 모습을 보일 경우, 결국 지키고자 하는SBS대주주 자격 논란으로까지 이어질 수 있다는 얘기도 나온다.회사가 현재까지 내놓은 자구 노력에 대해선 시각차가 크다. 태영은 “그룹과 건설 자체 자금으로 마련한 자구안 규모가 1조2000억원에 달한다”고 주장하고 있는 반면, 채권단은 “대부분이 앞으로 갚을 빚이거나, 계열사 매각 대금을 당겨 쓴 것”이라는 입장이다.우발채무 규모 역시 천지차이다. 태영그룹이 채무자 설명회에서 공개한 내용에 따르면 태영건설의 유위험 보증채무(우발채무)는 브리지보증(1조2193억원)과 분양률 75% 미만 본PF보증(1조3066억원) 등 2조5259억원이다. 반면 채권단은PF보증 규모로 볼 때 우발채무가 최대 9조원이 될 가능성이 있다고 추산한다.☞워크아웃과 법정관리’워크아웃(기업 구조 개선 작업)’과 ‘법정관리’는 모두 기업이 경영난에 빠졌을 때 외부 기관이 개입해 구조조정을 진행하는 절차다. 워크아웃은 구조조정의 주체가 채권단이고, 법정관리는 법원이다. 통상 워크아웃으로 기업 부실이 해결되지 않을 때 법정관리로 넘어간다. 워크아웃은 대주주가 채권단과 협의해 경영을 맡지만, 법정관리는 대주주 경영권을 뺏는 경우가 많다."
