date,title,content
2024-03-08,"팬오션, 국내 첫 자율운항 실증선박 명명식","팬오션은 울산 현대미포조선에서 2척의 1800TEU(1TEU는 20피트 컨테이너 1개)급 컨테이너선 명명식을 개최했다고 8일 밝혔다. 이중 국내 첫 자율운항 실증 선박에는 포스 싱가포르(POSSINGAPORE)호라는 이름이 붙었다.포스 싱가포르호는 지난 2020년 해양수산부와 산업통상자원부가 공동으로 추진한 자율운항선박 기술개발 사업에 선정돼 자율운항실증선박으로 지정 발주된 컨테이너 선박이다. 포스 싱가포르호를 통해 자율 항해 및 기관 자동화 시스템 실증이 진행된다. 포스 싱가포르호는 이달 말 팬오션에 인도된다.또 다른 선박은 포스 램차방(POSLAEMCHABANG)으로 명명됐다. 이날 명명식에는 팬오션 안중호 사장, 현대미포조선 김형관 사장, 해양수산부 송명달 차관 등이 참석했다.팬오션은 8일 울산 현대미포조선에서 1800TEU급 컨테이너선 2척에 대한 명명식을 개최했다고 밝혔다. 사진은 현대미포조선 김형관 사장, 해양수산부 송명달 차관, 팬오션 안중호 사장 등이 명명식에 참석한 모습. /팬오션"
2023-02-10,"팬오션, 지난해에도 사상 최대 실적 경신… 올해는 운임 하락으로 약세 전망","벌크선사 팬오션이 지난해에 이어 올해에도 최대 실적을 경신했다. 팬오션은 10일 지난해 연결 기준 매출이 전년 대비 39% 상승한 6조4203억원, 영업이익은 전년 대비 38% 상승한 7896억원을 기록했다고 밝혔다.팬오션 정기선 /팬오션다만 4분기 실적은 해상 운임이 하락하며 전년 동기 대비 감소했다. 벌크선 운임 지표인 발틱운임지수(BDI)는 2021년 4분기 평균 3498포인트에서 지난해 4분기 1523포인트로 56% 하락했다. 이 때문에 팬오션의 영업이익 역시 2021년 4분기 2207억원에서 지난해 4분기 1573억원으로 29% 감소했다.팬오션은 올해 전망에 대해 “중국 경제 활동 재개 기대감이 있지만, 브라질 우기 및 호주 사이클론 시즌 등 계절적 요인에 유럽의 이상기온으로 인한 겨울철 석탄 수요 감소가 더해지며 1분기 시황이 약세가 될 것”이라고 했다. 또 “철저한 시장 분석 및 선제적 리스크 관리를 통한 선대(船隊) 확보 및 운용, 사업 포트폴리오 확장 등 시장 대응력 강화 노력을 지속하겠다”고 했다."
2022-12-26,[경제계 인사] 팬오션  외,▲팬오션 ▷전무 김동균 ▷상무 양찬현 ▷상무보 박성진 서보남▲케이조선 ▷전무 이창배 ▷상무 이상봉 ▷이사 김일환 김현성 문성운 박혜기 이규호
2024-02-07,HMM 협상 왜 결렬됐나... ‘실질적 경영권 요구’가 막판 걸림돌,"인수 부담 커져, 재매각 시점도 불투명하림은 20% 급락, 팬오션은 20% 급등/HMM제공국내 최대 해운사인HMM매각을 위한 주주 간 계약 협상이 6일 최종 결렬됐다. 매각 측인 산업은행·해양진흥공사(해진공)와 인수 우선협상대상자인 하림그룹·JKL컨소시엄은 기한을 연장해가며 협상을 이어갔지만, 정부의 ‘경영권 개입’ 등을 놓고 막판까지 줄다리기를 하다 결국 협상이 백지화됐다.◇막판 걸림돌은 ‘실질적 경영권’투자은행(IB) 업계에 따르면, 그간 배당 제한과 잔여 영구채 주식 전환 유예 등을 요구해온 하림 측은 협상 막바지에 이르러 매각 측 요구를 대부분 수용했다. 단, 마지막 단계에 걸림돌이 된 것은 ‘경영권 개입’ 부분이다.산은과 해진공은 “국가 기간산업이자 유일한 원양 국적선사를 매각하는 건인데다, 7조원 정도의 공적 자금을 투입하다 보니 보수적으로 볼 수밖에 없었다”는 입장이다. 이에 산은과 해진공은 하림에 일정 기간 경영권 관여를 요구한 것으로 알려졌다. 중요한 경영 사항에 대해서는 사전 협의나 동의를 받아야 한다는 내용 등이었다. 이에 하림이 ‘매각 측 요구를 다 받아줬는데 경영 간섭까지 받는 것은 과하다’는 입장을 보이면서 판이 깨지게 됐다.하림이 재무적 투자자(FI)인JKL파트너스의 ‘5년간 주식 보유 조건’을 예외로 해달라고 요구한 것도 이견이 좁혀지지 않았다. 주식 보유 기간을 3년으로 줄이자는 중재안도 있었지만 해진공이 5년을 고수했다.잔여 영구채 주식 전환 유예는 하림 측이 일찌감치 포기한 것으로 알려졌다. 산은·해진공이 보유한 1조6800억원어치의 영구채가 주식으로 전환되지 않을 경우 하림은 지분율 57.9% 수준을 유지할 수 있다. 반면 2025년까지 잔여 영구채가 전량 주식으로 전환되면 하림의 지분율은 38.9%로 떨어지고, 3년간 최대 2850억원의 배당금도 받지 못하게 된다. 이런 조건까지 받아들였는데도 매각 측이 마지막까지 경영권 개입을 요구하자 하림이 손을 털었다는 게 업계 평가다.전북 익산시 망성면 하림 2공장 전경. /뉴스1◇매각 측도 내내 엇박자매각 측도 속사정은 달랐다.HMM을 가급적 빨리 정리하고 싶은 산은과 최소한의 안전장치를 마련하고 싶은 해진공의 입장 차도 협상에 걸림돌이 됐다.강석훈 산업은행 회장은 작년 6월 기자간담회에서 “HMM주가가 1000원 움직이면 산은BIS자기자본비율이 0.07%포인트 움직인다”면서 “재무구조가 안정화되려면HMM매각이 중요하다”고 했다.HMM노조는 지난달 30일 국민의힘 한동훈 비상대책위원장에게 “산은은 구조조정 기업의 민영화라는 명목을 앞세워 산업 논리보다는 금융 논리로 공적 자금 회수에만 몰두한 나머지 자산 규모 26조원, 유보금만 10조원인HMM을 하림그룹에 6조4000억원에 졸속으로 넘겨버리려 한다”며 “무리해서 인수하겠다는 하림그룹의 잘못보다 우선협상대상자로 선정한 산은의 잘못이 더 크다”는 내용의 서한을 전달했다.반면, 해수부와 해진공은HMM이 국내 유일 대형 컨테이너 선사라는 특수한 지위 때문에 안전장치를 마련해야 한다는 입장이었다. 정부 관계자는 “HMM이 보유한 현금이 인수 자금의 원리금을 상환하는 데 쓰이는 게 아니라 해운업에 재투자될 수 있도록 하기 위해 여러 안전장치를 마련하려 했는데, 협상 과정에서 잘 받아들여지지 않았다”고 했다.서울 여의도 산업은행. /뉴스1◇새 주인, 찾을 수 있나…재매각 일정은?딜 관계자들은 재매각을 얘기하기는 이른 시점이라고 말한다. 현재 산은과 해진공이 보유한 1조6800억원어치의 영구채를 내년까지 다 주식으로 전환하게 되면 현재 7억주 수준인HMM의 발행주식 총수가 내년엔 10억주로 늘어난다. 매각 대금이 더 커져 매도가 더 어려워지게 되는 것이다. 한 업계 관계자는 “국내 10대 그룹이 아니면 인수가 어려워보인다”며 “매각은 상당 기간 어려울 것”이라고 전망했다.한편HMM인수에 실패한 하림 주가는 7일 장 초반 19.8% 하락한 3000원에 거래됐다. 하림지주는 2.7%, 피인수기업인HMM은 3.6% 하락 중이다. 반면 하림그룹 계열사이자HMM인수 주체로 나선 팬오션은 20% 넘게 급등했다. 하림이HMM인수자금 확보를 위해 팬오션 유상증자를 단행할 것이란 우려가 해소되며 주가에 긍정적으로 작용한 것이다."
2024-01-18,홍해 상선 공격받자 해운주 연일 강세,"팔레스타인 가자지구 지원을 위해 연료를 싣고 수에즈 운하로 향하던 이라크 유조선이 지난달 21일(현지시각) 이라크 바스라 항구에 정박해 있다. 예멘의 친이란 반군 세력인 후티는 수에즈 운하가 있는 홍해 항로에서 여러 차례 상선 공격을 벌였다. /로이터 연합뉴스주요 무역로 중 하나인 홍해의 항해 위험성이 커지면서 해운주가 연일 강세다. 이스라엘·하마스 전쟁에서 하마스를 지지하는 친(親)이란 성향 예멘 후티 반군은 작년 말부터 홍해를 지나는 유조선, 컨테이너선 등 상선(商船)을 공격하고 있다. 이로 인해 생긴 물류난으로 해상 운임이 치솟고 있기 때문이다.17일 코스피는 2.5% 떨어졌지만, 대한해운(17.8%), 흥아해운(5.3%),STX그린로지스(5.3%), 팬오션(3.1%), 인터지스(2.4%), 태웅로직스(1.4%) 등 해운주는 급등하거나 상승세를 보였다. 다만,KSS해운(-0.42%)은 소폭 떨어졌다.해운주는 지난 한 달간 전반적으로 상승세를 보였다. 지난달 15일과 비교하면 한 달 새 흥아해운은 주가가 106% 올라 2165원에서 4455원이 돼 두 배로 뛰었다. 대한해운은 33%, 태웅로직스는 28%,KSS해운은 5.4%, 인터지스는 5% 올랐다.STX그린로지스는 1.3% 떨어졌는데 같은 기간 코스피가 5% 가까이 빠진 데 비해선 선방했다.다만 팬오션은 지난달 18일 하림그룹이 해운사HMM인수 자금을 마련하기 위해 자회사 팬오션의 유상증자를 하겠다고 밝힌 영향으로 한 달간 주가가 17% 떨어졌다."
2023-12-19,"‘황금알’ 해운사 HMM 품은 하림, 재계 13위 도약","해운 1위HMM6조4200억에 인수 우선협상 내년 계약 예정국내 최대 해운사인HMM을 인수할 최종 후보로 하림그룹이 선정됐다.KDB산업은행과 한국해양진흥공사(해진공)는HMM주식 약 3억9879만주(57.9%) 매각을 위한 우선 협상 대상자로 하림·JKL파트너스 컨소시엄을 선정했다고 18일 밝혔다. 인수가는 6조4200억원으로 알려졌다.하림은 지난달 본입찰에서 동원그룹과 2파전을 벌였다. 하림 측이 동원(약 6조2000억원)보다 2000억원 넘게 인수 희망 가격을 써낸 것이 결정적 승인이었다. 산은·해진공과 하림은 추가적인 협상을 거쳐 내년 상반기 중 주식매매계약(SPA)을 체결하기로 했다.HMM은 현대그룹 계열사였던 현대상선이 전신으로, 지난 2016년 해운업 위기 때 산업은행 등 채권단에 경영권이 넘어갔다. 2017년 국내 1위 한진해운이 파산하면서HMM은 ‘국내 최대 해운사’ 타이틀을 얻었고, 2021~2022년 해운업 호황의 수혜를 누리며 몸값이 높아졌다. 현재 시가총액은 약 12조원 수준이다.육계(닭고기) 생산 기업으로 출발한 하림은 지난 2015년 사료로 쓰이는 곡물 운송을 위해 국내 1위 벌크 선사인 팬오션을 1조원에 인수했다. 이번에 국내 1위이자 세계 8위 해운사인HMM인수에 성공할 경우 초대형 국적선사로 부상하게 된다.일러스트=김성규재계 27위의 하림은HMM인수를 성공적으로 마치면 재계 13위로 껑충 뛰어오르게 된다. 하림그룹 자산 규모는 올해 공정위 집계 기준 17조원. 하림이 인수하려는HMM의 자산은 8조8000억원 많은 25조8000억원이다. 새우(하림)가 고래(HMM)를 삼키는 격이란 얘기가 나오는 이유다. 인수에 성공할 경우 하림의 자산은 42조8000억원으로 불어나,CJ그룹(40조7000억원)을 앞서게 된다.하림은 육계(닭고기) 브랜드로 잘 알려진 종합 식품기업이다. 1978년 육계 사업을 시작했고, 이후 축산뿐만 아니라 사료·식품가공 등으로 사업을 넓혔다. 2015년엔 국내 최대 벌크선사 팬오션(옛STX팬오션) 지분 58%를 1조80억원에 인수했다. 사료 원료인 곡물을 운송하는 벌크선 인프라가 필요했기 때문이다. 이번에 컨테이너 선사HMM까지 품에 안으면 명실상부한 종합 물류 기업으로 거듭나게 된다.원래 현대그룹 계열사(현대상선)였던HMM은 2008년 글로벌 금융 위기 이후 해운 업황이 악화되면서 직격탄을 맞았다. 2011~2015년 5년간HMM의 누적 순손실은 약 3조원에 달했다. 2016년HMM은 만기가 도래한 회사채의 원리금을 지급하지 못했고, 8000억원 넘는 회사채가 사실상 부도 상태에 빠졌다. 이후 경영권이 산업은행 등 채권단으로 넘어갔다.코로나 팬데믹 때 상황은 반전됐다. 각국 정부가 코로나 부양책을 펴자, 해운 물동량이 급증하며 해상 운임이 크게 올랐다.HMM은 2021년과 작년 각각 7조4000억원과 10조원에 달하는 역대급 영업이익을 올렸다. 산은 등은HMM의 경영이 정상화됐다고 판단, 공적자금을 회수하기 위해 올해 매각 작업에 돌입한 것이다.일각에서는 하림이 ‘승자의 저주’에 빠질 수 있다는 지적도 나온다. 조(兆) 단위 인수 대금을 마련하기가 녹록지 않은 데다 최근 해운업이 불황기에 접어들었기 때문이다.하림은 입찰 과정에서 산은·해진공이 보유한 1조6800억원의 영구채(債)에 대해 “앞으로 3년간 주식으로 전환하지 말아 달라”고 요구했지만, 정부 반대에 막혀 철회한 것으로 알려졌다. 영구채가 주식으로 전환될 경우 하림은 3년간 최대 2850억원의 배당금을 못 받게 된다."
2023-12-14,유력 후보의 온갖 요구... 하림에 휘둘리는 ‘HMM 매각’,"지분 5년 보유 완화 등 요구… 채권단, 유찰시킬 수도 없어 속앓이국내 최대 해운사인HMM의 ‘매각 시계’가 점점 늦춰지고 있다. 지난달 본(本)입찰에서 하림그룹과 동원그룹의 2파전으로 좁혀진 가운데, 당초 지난주로 예상됐던 최종 인수 후보자(우선 협상 대상자) 발표가 계속 미뤄지고 있는 것이다. 업계에선 “동원보다 높은 가격을 써내 우위를 점한 하림이 최종 인수 가격을 낮추기 위해 무리한 요구 사항을 제시하고 있다”는 지적이 나온다.13일 투자은행(IB) 업계와 해운업계 등에 따르면, 하림그룹·JKL파트너스 컨소시엄은 지난달 마감된HMM본입찰에서 약 6조4000억원을HMM매수 희망가로 써낸 것으로 알려졌다. 경쟁자인 동원그룹 측은 6조2000억원을 써냈다고 한다. 공개되진 않았지만 매각 측인 산업은행과 한국해양진흥공사(해진공)의 희망가(예정 가격)는 최소 6조3500억원인 것으로 알려졌다. 하림만 500억원 차이로 간신히 커트라인을 넘은 것이다.그래픽=김성규‘사실상 단독 후보’된 하림의 무리한 요구동원의 탈락으로 하림이 사실상 단독 후보가 됐는데도 우선 협상 대상자가 발표되지 않는 이유는 뭘까. 이 사안을 잘 아는 관계자들은 “하림이 입찰 신청을 하며 써낸 각종 요구 사항이 매각 측의 전제 조건과 충돌하기 때문”이라고 말했다. 당초 매각 측은 본입찰 전 인수 후보자들에게 주주간계약서(SHA) 초안을 보냈는데, 여기에 ‘매각 조건’이 담겨 있었다. 주요 내용은 ‘HMM인수 뒤 보유 지분 5년 보유’ ‘연간 배당금 최대 5000억원(3년간)으로 제한’ ‘매각 측의 사외이사 지명권’ 등이었다. 향후 인수자 측이HMM을 제대로 경영하지 않고, 10조원 넘는 현금성 자산을 빼먹거나 단기적으로 주가를 올린 뒤 지분을 팔고 빠지는 ‘먹튀’ 위험을 예방하기 위한 조치였다.동원은 이 조건들을 그대로 수용했지만, 하림은 각종 역(逆)제안을 펼친 것으로 알려졌다. ‘지분 5년 보유’ 조건에 대해 “인수 파트너인JKL파트너스를 예외로 해달라”는 제안을 한 것이다.JKL파트너스 같은 사모펀드는 수익을 내는 게 급선무이기 때문에, 5년 보유 조건은 과도하게 불리하다는 이유에서다. 만약 이 조건이 받아들여지면JKL측은 인수 뒤 주가가 오르면, 바로 수익을 내고 빠져나갈 수 있다. 매각 측의 사외이사 지명권은 불가하다는 내용도 ‘역제안’에 포함된 것으로 전해졌다.산은과 해진공이 보유한 1조6800억원의 영구채(債) 전환 관련 역제안도 있었다. 하림 측이 “앞으로 3년간 영구채를 주식으로 전환하지 말아 달라”고 요구한 것이다. 영구채를 주식으로 전환할 경우 인수 측의 지분율은 57.9%에서 38.9%로 떨어진다. 반대로 전환하지 않으면 인수 측의 지분율이 높게 유지되면서, 3년간 최대 2850억원의 배당금을 더 챙길 수 있다.유찰이냐 매각이냐 갈림길에 선 산은산은 측은 하림의 역제안에 대해 부정적인 입장이다. 특히 영구채에 대해 “전환 유예는 불가하다”는 거절 의사를 밝힌 것으로 알려졌다. 그러나 그렇다고 하림과의 협상 테이블을 깨긴 어려운 상황이라고 한다. 해운업 불황으로HMM의 시장 가치는 향후 더 하락할 수 있기 때문이다. 최근 글로벌 해운 운임 지표인 상하이컨테이너운임지수(SCFI)는 1000선을 약간 넘는 수준으로, 해운 호황기였던 작년 초와 비교하면 5분의 1 토막이 났다. 경기 침체 우려로 해운 물동량이 감소한 탓이다.업계 전문가들은 “하림이 이런 상황을 예측하고, ‘유리한 고지’에서 각종 역제안을 던진 것 아니냐”는 분석을 내놓는다. 일단 입찰가를 높여서 부른 뒤, 각종 ‘추가 요구’를 관철시키려 했다는 것이다. 그러나 매각 측이 하림의 요구 조건을 들어주면, 이번엔 동원 측이 ‘불공정 입찰’을 주장할 수 있게 된다. 한 업계 관계자는 “하림과 동원의 입찰가 차이가 2000억원 정도인데, 이는 매각 조건에 따라 얼마든지 뒤집힐 수 있기 때문”이라고 말했다.해양수산부는 하림 먹튀 우려매각 측인 산은과 해진공 간의 입장 차이도 불거지고 있는 것으로 알려졌다. 산은은 빠른 매각을 원하지만, 해진공을 산하에 둔 해양수산부는 하림 측의 ‘먹튀’를 특히 크게 우려한다는 것이다.하림은 2015년 벌크선사인 팬오션을 인수한 뒤 계열사인 하림USA가 2021년 자금난에 빠지자 300억원대의 팬오션 자금을 하림USA유상증자에 투입했다. 이를 두고 “하림이 팬오션을 자금 공급책 역할로 이용한 것 아니냐”는 논란이 있었는데, 이번에도 하림이HMM을 돈줄로 활용할 것이라는 우려가 나온다.해수부 고위 관계자는 “단순 금융 논리에 치우쳐 빠른 매각을 최우선 순위로 두진 않을 것”이라며 “국내 최대 국적 선사라는 중요성, 해운 산업에 미칠 영향, 국가 미래 경쟁력 강화 등 여러 측면에서 종합적으로 검토해 적격 인수자를 찾겠다”고 말했다."
2023-12-20,"HMM 품은 하림, 6조 넘는 인수 자금 문제없나","시너지 효과는 어떻게…국내 최대 해운사인HMM(옛 현대상선)의 인수 우선협상자로 하림그룹 컨소시엄이 선정되면서 300여 척 선대(船隊)를 갖춘 초대형 국적 선사 탄생도 가시화됐다. 향후 본계약 협상이 남았지만, 컨테이선 위주HMM과 벌크선 위주 하림그룹 팬오션이 통합 선대를 꾸리면 한국 국적 선사 최초로 300척 이상 선박을 운영하는 선사가 된다. 해운 업계에선 “컨테이너선과 벌크선을 모두 운영하며 포트폴리오를 늘린 건 장점이지만, 6조원 넘는 인수 자금 조달과 최근 급락한 해운 운임 등 불황에 대한 대응도 중요하다”는 평가가 나왔다.그래픽=김현국조선·금융·항만 연계한 국가 기간산업 활로 찾나해운은 무역으로 먹고사는 한국에서 원자재 및 수출입 물량 운송의 99%를 담당하는 핵심 산업이다. 선박을 공급하는 조선, 자금을 지원하는 금융, 화물을 하역하는 항만, 화물 운송과 모두 이어지는 중추 산업으로 연관 산업으로 파급 효과도 크다.그러나 2017년 당시 국내 1위이자 세계 7위 컨테이너선사였던 한진해운이 파산하면서 ‘한국 해운’ 산업도 크게 꺾였다. 당시 공적 자금을 투입해 한진해운을 살려야 한다는 의견도 있었지만 금융 당국, 산업은행 등 채권단은 ‘부실기업 퇴출’이란 원칙을 내세웠고, 결국 한진해운은 사라졌다. 당시 국내 2위였던HMM이 국내 1위 선사 자리를 이어받아 한국 해운의 명맥을 유지했지만 경영난은 비슷했다.이후HMM도 산은 관리에 있다가 코로나 팬데믹 기간 해운 호황이 이어지면서 ‘경영 정상화’ 판단에 따라 매각 절차가 본격화했다. 최근 해운 운임이 급락했지만HMM의 현금성 자산만 10조원에 달한다.韓 구조조정 때 몸집 키운 경쟁사들... 인프라 확대 관건인수 절차가 마무리되면 300척 규모 선사가 탄생하지만, 인수 후 시너지는 지켜봐야 한다는 의견이 지배적이다. 정해진 항로를 주기적으로 운항하는 컨테이너선은 ‘버스’,광물·곡물 등 특정 화물을 부정기적으로 운반하는 경우가 많은 벌크선은 ‘택시’와 비슷해 같은 해상 운송이라도 다른 시장이나 마찬가지이기 때문이다.선사 순위 지표인 컨테이너선 선복량(적재량)에서도 80만TEU(1TEU는 20피트 컨테이너 1개) 수준으로, 약 3% 점유율에 머무를 것으로 예상된다.HMM은 현재 약 78만TEU(2.8%)로 글로벌 8위지만, 팬오션의 컨테이선 비율이 작은 영향이다. 글로벌 1위 스위스MSC(553만TEU·19.7%), 2위 덴마크 머스크(412만TEU·14.6%)와 격차는 매우 크다.지난 10년간 한국 해운의 구조조정으로 놓친 항만 터미널 등 인프라 구축도 급선무다. 한국해양수산개발원 고병욱 해운연구본부장은 지난 7월 인천국제해양포럼 토론회에서 국적 선사들의 역량 강화 방안과 관련해 “코로나19 물류 대란으로 약 2년간 사상 유례없는 초초황으로 선사들의 막대한 수익금이 발생했고,MSC,머스크 등 글로벌 선사들은 물류 자산에 대한 막대한 투자를 이어가고 있다”며 “우리 국적 선사인HMM등은 아직 가시적인 자산 투자 활동을 내놓고 있지 않는데 선박 확보뿐만 아니라 지난 10여 년간 구조조정으로 놓친 항만 터미널 등 자산 확대에 대한 숙제도 있다”고 했다.하림의 향후 자금 조달 문제, 급락한 운임 등 경기 불황에 대한 불안감도 여전하다.HMM인수가는 6조4000억으로 알려졌는데 하림의 현금 보유액 10조원의 60%를 넘는다. 하림은 컨소시엄을 꾸린 국내 사모펀드 운용사인JKL파트너스와 유가증권 매각, 영구채 발행 등으로 인수 자금을 마련해야 한다.앞서 하림이 채권단이 보유한HMM영구채 주식 전환을 3년간 유예해달라고 요구하면서 ‘특혜 논란’과 함께 우선협상대상자 발표가 지연되기도 했다. 채권단이 영구채 전환을 유예하면 그 사이 하림은 수백억 원대 추가 현금 배당이 가능했기 때문이다. 한 해운업계 관계자는 “매각 측이 제안을 거부해 없던 일이 됐지만, 하림 자금력의 의구심을 갖게 하는 대목이었다”고 했다. 그 밖에 2년 새 약 5분의 1 수준으로 하락한 해상 운임, 인수 과정에서HMM노조의 반대도 주요 변수로 남아있다."
2023-12-19,"반군 공격 계속되는데… 한국 화물선, 내일 홍해 통과","정부, 청해부대와 실시간 모니터링지난 5일 예멘 알살리프 항구 앞바다에서 후티 반군 병사가 해변을 걸어가고 있다. /연합뉴스우리나라 국적선이 예멘 반군의 공격 가능성이 있는 홍해를 20일 지날 예정인 것으로 파악됐다. 예멘의 이슬람 반군 ‘후티’가 이스라엘과 관계없는 민간 상선까지 공격하기 시작한 15일 이후 우리 선박이 홍해를 통과하는 것은 처음이어서 정부와 해운업계의 긴장감이 높아지고 있다.18일 해양수산부와 해운업계 등에 따르면 우리나라 해운업체 ‘팬오션’의 화물선(벌크선) ‘팬 퀀텀’호가 20일 홍해를 통과해 아덴만 인근을 지날 예정이다. 유럽을 출발한 팬 퀀텀호는 지난 주말쯤 수에즈 운하를 거쳐 홍해에 진입해 머무르고 있는 것으로 전해졌다. 현재 홍해 안에 정박한 선박 200여 척 가운데 우리나라 국적선은 팬 퀀텀이 유일하다고 정부는 밝혔다.앞서 후티 반군은 지난주 중순부터 이스라엘의 가자지구 공격에 대응한다는 명목으로 홍해를 지나는 민간 상선들에 대해 무차별 공격을 감행하고 있다. 지난 15일에는 덴마크 국적 세계 최대 해운사인 머스크의 화물선 ‘머스크 지브롤터’와 스위스 국적MSC의 ‘팔라티움3′ 화물선, 독일 하파크-로이트의 컨테이너선 ‘알자스라’호를 미사일과 무인기로 공격했다. 이에 맞서 16일에는 미군 중부사령부와 영국 구축함이 후티 반군의 드론을 각각 14대, 1대 격추했다.현재 팬 퀀텀호는 해외 업체가 빌려 사용하는 것으로 알려졌다. 팬오션 관계자는 “지금이라도 유럽 쪽으로 회항해 아프리카로 우회할지 등의 결정은 용선(傭船·배를 빌려 사용함) 업체와 화물 주인 등이 결정할 사항”이라고 했다.해수부 등 관계 부처는 팬 퀀텀호가 홍해를 지나는 과정에서 공격받는 일이 없도록 대책 마련에 나섰다. 정부 관계자는 “하루 50여 척이 홍해를 지나간다는 점을 고려하면 공격받는 일이 잦은 건 아니지만, 만일의 경우에 대비하고 있다”고 말했다. 정부는 아덴만에 주둔하고 있는 청해부대, 홍해를 지키는 다국적 연합해군 등과 공조해 팬 퀀텀호가 홍해를 지날 때 실시간으로 모니터링한다는 방침이다.한편, 지난 14일에는 포스코 화물을 싣고 튀르키예로 향하던 불가리아 벌크선 ‘MV루엔’호가 아덴만에 진입하기 전 소말리아 해적에게 피랍된 것으로 파악됐다."
2024-12-03,[경제계 인사] 롯데바이오로직스 대표이사 제임스 박 외,롯데바이오로직스 대표이사 제임스 박롯데바이오로직스는 신임 대표이사 사장으로 제임스 박(58) 전 지씨셀 대표이사를 지명했다고 2일 밝혔다.서브원 대표이사 이국환글로벌 구매 설루션 전문 기업인 서브원은 신임 대표이사로 이국환 전 우아한형제들 대표이사를 지명했다고 2일 밝혔다.▲삼성디스플레이▷부사장 기창도 김봉한 윤지환 이호중 한준호 황의훈▷상무 강의식 김성철 김영석 김현영 박순룡 송봉섭 오현욱 최동완 한상면▲삼성전기▷부사장 김희열 오창열▷상무 강병우 김태영 박재성 손용훈 송용준 이민곤 조영일▲삼성SDI▷부사장 김윤태 남주영 박규성▷상무 김익수 김현욱 남중현 변상원 송정훈 안희정 유형우 황선욱▲삼성SDS▷부사장 신계영 전민섭 황수영▷상무 김성범 노광빈 민대홍 서진우 이관희 이동섭 이명교 최병철▲삼성글로벌리서치▷상무 이성혁 임명기▲에코프로▷전무 이승환 이수호 김순주▲에코프로비엠▷전무 방한민 최윤영▷상무 이현진 오동구 공보현▲에코프로이엠▷부사장 이규봉▲에코프로머티리얼즈▷전무 강동현▷상무 이성준▲호반그룹▷부사장 김준석▷상무 서동진▲호반건설▷상무 이규재▲호반산업▷전무 김용일▲대한전선▷전무 백승호▷상무 남정세▲호반서서울(서서울CC)▷상무 이은래▲삼성금거래소▷상무 이영만▲팬오션▷상무 정상진 서보남
