date,title,content
2024-12-24,"포스코, 10개월 만에 핵심 계열사 대표 3명 교체","장인화 체제 첫 대규모 인사포스코그룹이 주력 계열사인 포스코와 포스코이앤씨, 포스코퓨처엠 대표이사를 10개월 만에 일제히 교체하는 2025년 정기 임원 인사를 23일 실시했다. 승진 규모를 지난해보다 30% 이상 축소하면서 전체 임원 수를 15% 줄였다.그래픽=조선디자인랩 정다운철강 계열사인 포스코 신임 대표에는 이희근 설비강건화TF팀장이 사장으로 승진해 임명됐고, 건설 계열사인 포스코이앤씨는 정희민 건축사업본부장(부사장)이 대표를 맡는다. 이차전지 사업을 맡은 포스코퓨처엠 대표에는 엄기천 에너지소재사업부장(부사장)이 임명됐고, 로봇·AI(인공지능) 등 미래 사업을 담당하는 포스코DX새 대표에는 심민석 포스코 디지털혁신실장이 임명됐다. 이들은 각사 주주총회와 이사회를 거쳐 임명될 예정이다.기존 포스코 이시우 대표와 포스코이앤씨 전중선 대표, 포스코퓨처엠 유병옥 대표는 장인화 회장 선출 직후인 지난 2월 각 회사의CEO가 됐는데 10개월 만에 물러나게 됐다. 이시우 대표는 최정우 전 포스코 회장 시절 포스코 사장이 돼 2월 포스코 단독 대표가 됐다. 장인화 회장과 회장 자리를 두고 경쟁하던 전중선 사장도 당시 포스코이앤씨 대표로 임명됐었다. 유병옥 대표도 같은 시기 사장 승진과 함께 포스코퓨처엠CEO가 됐지만 이번에 물러나게 됐다.이번 정기 인사에서 승진자는 62명으로 지난해 92명에서 33% 줄였다. 지난 3월 취임한 장인화 회장이 실시한 사실상 첫 대규모 인사다. 포스코그룹은 “전체 조직을 슬림화해 의사 결정 속도를 높이고 검증된 우수 인재를 중심으로 과감한 세대교체로 불확실한 경영 여건을 돌파한다는 취지를 담았다”고 설명했다."
2024-04-25,"포스코DX, 1분기 매출 4401억원, 영업이익 352억원","4월 개최된 스마트팩토리자동화 전시에서 관람객이 포스코DX의 디지털 트윈을 체험하고 있다./포스코DX포스코DX는 25일 지난 1분기 매출 4401억원, 영업이익 352억원을 기록했다고 밝혔다. 이는 전년 동기 대비 매출은 8.3%, 영업이익은 17.5%가 증가한 것이다. 회사 측은 이차전지를 비롯해 포스코 그룹에서 추진하고 있는 철강, 친환경 미래소재 등 주력사업에 대한 스마트팩토리, 공장자동화, 산업용 로봇 등 사업 기회가 증가한 결과라고 설명했다.포스코DX는IT(InformationTechnology)와OT(OperationTechnology)를 융합해 제철소, 이차전지 등 다양한 분야에 스마트팩토리를 선도적으로 구축해왔다. 올해부터는 산업용AI와 로봇을 융합한 ‘인텔리전트 팩토리’로 한 단계 진화, 발전시켜 나가며 생산성을 더욱 높여 나갈 계획이다. 이를 위해 포스코DX는 기존AI조직을 확대 개편한AI기술센터 발족해 산업현장에 필요한 핵심기술 개발과 상용화, 현장 확산을 빠르게 실행할 수 있는 체계를 갖췄다. 또 로봇 자동화를 전담하는 로봇자동화센터를 신설해 고위험·고강도 산업 현장에 로봇을 적용하기 위한 컨설팅, 설계, 시스템 구축 등 역량을 강화하고 제철소와 물류센터를 비롯한 다양한 산업 현장에 이를 적용해 나가고 있다."
2024-01-22,“산업용 로봇·AI육성해 새로운 도약” 포스코DX 창립 14주년,"정덕균 포스코DX사장이 22일 창립 14주년 기념식에서 기념사하고 있다. /포스코DX“산업용 로봇, 인공지능(AI), 메타버스, 디지털트윈 등의 기술을 기반으로 하는 신사업 육성을 통해 새로운 성장의 시대를 열어나가겠습니다.”22일 정덕균 포스코DX사장이 회사 창립 14주년을 맞아 산업 현장에 특화한 신사업을 성장 동력으로 삼겠다는 비전을 발표했다. 지난 2010년IT(정보 기술)와OT(운영 기술) 기업의 통합으로 출범한 포스코DX는 지난해 3월 ‘산업 전반의 디지털 대전환(DX·DigitalTransformation)을 선도하는 기업’이라는 의미를 담아 현재의 사명으로 변경했다.포스코DX는 올해 디지털 대전환을 더욱 고도화하겠다는 전략이다. 특히AI,디지털트윈 등 기술을 적용하는 것 뿐 아니라 포스코 그룹이 특화한 철강 및 이차전지 산업에서 축적한 기술과 노하우를 다른 제조업으로도 확산하겠다는 목표다. 실제 올해 이차전지소재사업실을 신설해 포스코 그룹이 추진하고 있는 친환경 미래소재 부문의 자동화와 스마트팩토리 구축 사업의 효율성을 높이고 있다. 이밖에 로봇자동화센터를 두고 고위험 산업 현장에 로봇을 적용하기 위한 컨설팅, 설계, 시스템 구축 등을 추진하고 있다.포스코DX관계자는 “그동안의 사업구조 개편 노력과 혁신활동으로 회사의 실적이 견조한 성장세를 이어가면서 기업가치 또한 큰폭으로 상승하고 있다”며 “올해는 기술을 기반으로 하는 신사업 발굴에 적극 나서 성장을 이어나가겠다”고 말했다."
2024-01-23,"포스코DX, 작년 영업이익 1106억원…71% 증가","포스코DX로고. /포스코DX포스코그룹의 정보 통신 기술(ICT) 계열사인 포스코DX가 작년 매출 1조4859억원, 영업이익 1106억원을 기록했다고 23일 공시했다. 매출은 전년 대비 28.9%, 영업이익은 71% 증가했다.이같은 실적 개선은 스마트팩토리, 산업용 로봇 등 신사업 분야를 적극 추진한 결과다. 포스코DX관계자는 “이차전지를 비롯한 친환경 미래 소재 분야로 사업 확대를 추진하고 있는 포스코 그룹사를 대상으로 공장자동화, 스마트팩토리, 산업용 로봇 등 신사업 기회가 증가한 결과”라며 “지속적인 사업구조 개편 노력과 혁신 활동으로 지난해 실적이 견조한 성장세를 이어갈 수 있었다”고 분석했다.포스코DX는 올해도 로봇과 인공지능(AI) 등 기술을 기반으로 하는 신사업을 적극 발굴해 나갈 예정이다."
2024-01-23,[기업 브리핑] 창립 14주년 포스코DX “로봇·AI로 성장”,"포스코DX가 창립 14주년인 22일 “산업 현장에 특화한 기술 기반 신사업 발굴, 육성을 통해 새로운 성장의 시대를 열어가겠다”고 밝혔다.포스코DX는 올해 로봇, 인공지능, 디지털 트윈, 메타버스 등 미래 기술을 고도화하고, 철강과 이차전지 산업에서 축적한 노하우를 활용해 신시장을 개척할 계획이다. 2010년 국내 최초로 정보기술(IT)과 운영기술(OT) 기업의 통합으로 출범한 포스코DX는 2021년 적자로 어려움을 겪었지만 저수익·부실 사업을 정리하면서 2022년 하반기부터 탄탄한 성장세를 이어오고 있다. 지난 2일에는 ‘이차전지소재사업실’을 신설해 포스코 그룹이 추진하고 있는 친환경 미래 소재 부문 자동화와 스마트팩토리 구축 사업 효율성을 높이고, 지난해부터 추진해온 로봇 자동화 사업도 강화했다."
2024-01-02,"포스코DX, 유가증권시장 이전 상장… 2일 거래 시작","포스코DX의 무인크레인 시스템이 철강 제품을 옮기고 있다./포스코DX포스코DX가 2일부터 유가증권시장에서 매매를 시작한다.포스코DX는 이날 “코스닥에서 유가증권시장으로 이전 상장을 해 2024년 새해 장 시작부터 첫 매매를 시작한다”고 밝혔다. 앞서 포스코DX는 지난해 10월 5일 임시주총을 개최해 유가증권시장으로 이전 상장을 본격 추진한 후 지난해 연말 한국거래소 유가증권시장본부로부터 상장에 적격 하다는 심사결과를 받았다.포스코DX는 “유가증권시장으로 이전을 추진한 것은 디지털 전환 대표기업으로 자본시장 내에서 위상을 재포지셔닝함으로써 궁극적으로 주주 가치를 극대화하기 위해서”라며 “기관투자자의 수급을 개선하는 등 투자자의 저변이 확대될 것으로 기대한다”고 했다.포스코DX는 지난해 3분기까지 누계 기준 매출 1조1302억원, 영업이익 964억원을 달성했다. 지난해보다 각각 59%, 95% 증가한 수치다. 포스코DX는 “이차전지를 비롯한 친환경 미래소재 분야로 사업확대를 추진하고 있는 포스코 그룹사를 대상으로 스마트팩토리, 산업용 로봇을 비롯한 공장자동화 분야의 사업기회가 증가한 결과”라고 했다.포스코DX는 지난 연말 조직개편을 통해 이차전지소재사업실을 신설해 관련 사업조직을 통합함으로써 그룹사가 추진하고 있는 친환경 신소재 사업 자동화를 전담하게 된다. 또한 포스코DX는 고위험·고강도 산업 현장에 로봇을 적용하기 위한 컨설팅, 설계, 시스템 구축 및 운영 등 로봇 엔지니어링 전반을 추진하고 있다. 이와 함께 1000억원을 상회하는 한진택배 메가허브 물류센터 구축 사업을 성공적으로 수행하는 한편 포스코 그룹의 통합 물류 플랫폼 개발도 추진하고 있다."
2023-10-24,"포스코DX, 3분기 영업이익 322억원… 89.5% 증가","포스코DX스마트팩토리./포스코DX포스코DX가 3분기 매출 3545억원, 영업이익 322억원을 기록했다고 24일 밝혔다. 지난해보다 각각 48%와 89.5% 늘어난 수치다. 포스코DX는 “포스코 그룹이 추진하고 있는 신성장 사업에서 인프라 구축을 담당하는 포스코DX의 역할이 실적에 반영된 것으로 보인다”고 했다.포스코DX의 3분기 누계 기준 매출은 1조1302억원, 영업이익은 964억원을 기록했다. 지난해보다 매출은 59%, 영업이익은 95% 증가한 실적이다. 포스코DX는 “이차전지를 비롯해 친환경 미래소재 분야로 사업확대를 위해 설비 증설을 추진하고 있는 포스코 그룹사 대상으로 스마트팩토리, 공장자동화, 산업용 로봇 등 사업 기회가 증가한 결과다”라고 설명했다.포스코DX는 고위험·고강도 산업 현장에 로봇을 적용하기 위한 컨설팅에서부터 시스템 설계 및 구축, 운영 등 전체적인 로봇 자동화 사업을 추진하고 있다. 올 들어 제철소와 이차전지소재 생산 공장 등으로 로봇 적용이 확대되고 있는 추세다.한편, 포스코DX는 기업가치 재평가를 통한 주주가치 제고를 위해 유가증권시장으로 이전 상장을 추진하고 있다. 이를 위해 지난 10월 5일, 임시주총을 열고 “코스닥 시장 조건부 상장폐지 및 유가증권시장 이전 상장” 안건을 승인했다."
2023-11-15,MSCI 한국 지수에 금양·포스코DX·SKT  편입,"9월 11일 부산 기장군 동부산E-파크 산업단지에서 열린 금양 이차전지 생산공장 기공식 행사에서 박형준 부산시장, 류광지 금양 회장이 참석자들과 시삽을 하고 있다./연합뉴스모건스탠리캐피털인터내셔널(MSCI) 한국 지수에 3종목이 편입되고, 4종목이 편출됐다.15일 글로벌 주가지수 산출업체MSCI는 11월 정기 리뷰에서 포스코DX,금양,SK텔레콤을 한국 지수에 새로 편입한다고 밝혔다. 롯데에너지머티리얼즈, 카카오게임즈, 팬오션,BGF리테일은MSCI한국 지수에서 빠지게 됐다.MSCI는 전체 시가총액과 유동 시가총액을 기준으로 지수 편입 종목을 선정한다. 지수에 편입되면 지수를 추종하는 글로벌 패시브 자금이 유입될 수 있다. 유진투자증권은SK텔레콤에 유입될 패시브 자금 규모를 1940억원가량으로 추정했다. 금양과 포스코DX에도 각각 1980억원, 1650억원이 들어올 전망이다. 반면 편출된 종목들은 500억~700억원가량의 패시브 자금이 빠져나갈 것으로 예상했다.다만 전문가들은MSCI한국 지수 편입이 주가에 꼭 긍정적인 영향을 미치는 것은 아니라고 본다. 김동영 삼성증권 연구원은 “최근엔MSCI편입 예상 종목들의 경우 주가에 선반영되는 경우가 많았다”면서 “많이 올랐던 종목들은 이벤트 소멸에 따른 주가 되돌림이 나타날 수도 있다”고 말했다.이번 정기 리뷰 결과가 실제 지수에 반영되는 시점은 11월 30일 장 마감 이후다."
2023-07-12,"[기업 브리핑] 포스코DX, 佛기업 ‘엑소텍’과 파트너십 체결",포스코DX는 물류 자동화 로봇·시스템을 공급하는 프랑스 기업 ‘엑소텍’과 파트너십을 체결했다고 11일 밝혔다. 포스코DX는 엑소텍이 생산하는 물류 로봇 ‘스카이팟’을 통합 물류 창고 프로젝트에 적용하고 국내외 물류 자동화 시장 공략을 위해 협력한다. 스카이팟은 최대 12ｍ 높이까지 저장할 수 있도록 설계돼 기존 무인 운반 시스템의 단점인 높이 제한을 극복했다.
2023-03-30,“2030년 매출 4조 내겠다”...포스코DX  새 비전 선포,"포스코DX직원들이 새로운 사명과 비전 슬로건을 들고 달성 의지를 다지고 있다 /포스코DX포스코DX(옛 포스코ITC)가 인공지능(AI), 디지털 트윈 등의 기술로 산업 전반의 디지털 전환(DX)을 선도해 2030년까지 매출 4조원을 달성하겠다고 밝혔다.30일 포스코DX는 사명 변경에 맞춰 글로벌DX선도기업으로 도약하겠다는 새로운 비전을 내놨다. 앞서 최근 주주총회를 통해 포스코ICT에서 포스코DX로 사명을 바꾼 데 이어 미래 성장 로드맵을 발표한 것이다.포스코DX는 미래 성장사업 발굴과 육성에 더욱 속도를 내 2030년까지 매출 4조원을 달성하겠다는 포부다. 현 정덕균 사장 취임 이후 부실 사업을 정리하는 등 사업 포트폴리오를 조정하며 지난해 매출 1조원 클럽에 진입했다.포스코DX는AI,디지털트윈 등의 기술을 적용해 산업현장의 스마트팩토리를 더욱 고도화하고 산업용 로봇의 자동화와 스마트 물류 자동화 등 신사업을 집중 육성할 계획이다.정덕균 사장은 “산업계가 직면한 디지털 전환은 우리의 소명임과 동시에 새로운 성장의 기회가 될 수 있다” 면서 “회사의 새로운 사명이 의미하는 바와 같이 산업 전반의DX를 리딩 하는 대표기업으로 성장해 나갈 수 있도록 노력하겠다”고 말했다."
